author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"徐强,庞钧文,吴志鹏",投资建议：我们预计公司2025-2027年的归母净利润分别为154.36/186.37/223.69亿元，EPS分别为7.45/8.99/10.79元。公司作为全球光伏逆变器和储能龙头，产品竞争力处于行业领先地位，业绩持续成长可期，参考可比公司，给予公司2026年23xPE，目标价为206.76元，首次覆盖给予“增持”评级。全球储能需求爆发，储能系统出货快速增长。根据2025年10月28日投资者关系活动记录表，公司25年储能出货目标40-50GWh，26年的发货目标还在研讨规划中，预计26年全球储能市场还能保持40-50%增速。基于对全球市场的展望以及公司在全球市场的领先地位，我们认为26年公司储能业务的增长有望高于行业水平。25年，公司沙特7.8GWh全球最大构网型储能项目并网运行，体现了公司在大型项目中技术优势和交付能力保障。户用储能系统通过全球首个UL 9540B大规模火烧测试，安全稳定性得到了验证。光伏逆变器稳步向好，维持行业领先地位。公司在逆变器领域一直保持领先的份额和盈利能力，25年前三季度，光伏逆变器业务收入同比增长约6%，各市场的盈利能力保持稳定，相比24年同期毛利率有所提升，主要是国内发货占比从48%下降到40%，市场结构的变化带来毛利率的提升。根据彭博新能源财经《2024逆变器可融资性调查报告》，阳光电源蝉联全球第一。为巩固行业领先地位，公司发布全球首款功率达到400kW+的组串式逆变器SG465HX和全球首款分体式模块化逆变器1+X 2.0，打造5A 融合系统解决方案。凭借电力电子领域的技术积累，布局AIDC相关业务。随着AIDC的快速发展，数据中心电源正在从原来UPS为主的交流供电系统向800V等直流供电系统演进。公司在切入固态变压器SST及电源解决方案方面具备优势，根据2025年10月28日投资者关系活动记录表，相关的产品方案将根据客户需要和项目进度来交付，与国际头部云厂商、国内头部的互联网企业开展合作，开展产品立项和开发，争取在2026年实现产品的落地和小规模的交付。风险提示：政策风险；竞争加剧；行业需求下滑；技术进步不及预期。,,国泰海通,增持,[None],2026-02-27,,买入,8455772,pdf_downloads/2026/2026-02-27/300274-阳光电源（300274）：储能表现持续亮眼，AIDC相关业务值得期待.pdf,300274,阳光电源,阳光电源（300274）：储能表现持续亮眼，AIDC相关业务值得期待
"徐柏乔,李丹怡",光伏逆变器市占率稳居前列，储能业务跃升为新增长引擎。 阳光电源是全球较早布局光伏逆变器领域的厂商之一，深耕电力电子与新能源电源转换技术，围绕光伏、储能、风电及氢能等方向持续拓展业务布局，构建覆盖核心设备制造—系统集成—能源服务的完整产业链体系，形成多业务协同发展的“源—网—荷—储”一体化布局。公司光伏逆变器及储能系统产品矩阵完善，覆盖户用、工商业及大型地面电站等全场景应用，出货量与市占率长期稳居全球前列，是国家电投、华能集团等国内电力央企及特斯拉、谷歌等海外头部客户的重要供应商。逆变器： 全球光伏装机需求持续攀升，支撑逆变器需求中长期增长。从装机规模看，全球光伏需求保持长期增长趋势。2015–2030 年全球光伏新增装机由 53GW 提升至约 930GW，2025E、2026E 年新增装机预计分别达到 610GW 和 642GW。随着行业进入市场化阶段，海外装机占比持续提升，成为全球光伏装机增长的主要驱动力。从出货规模看，2024 年公司全球逆变器出货量达 147GW，同比增长 13.08%，连续多年位居全球第一，对应全球市场份额约 23%–25%。结合在手订单及海外市场需求情况，预计 2025 年全年海外逆变器出货量有望达到 90–100GW。公司产品目前已覆盖全球 180 余个国家和地区，光伏逆变器可融资性长期位居全球前列，品牌与渠道优势显著。储能: 大储加速放量，储能业务兑现增长。2025年随公司的业务结构迎来质变，储能业务反超光伏逆变器，成第一增长引擎。预605GWh，年复合增长率超过 50%。在此背景下，阳光电源依托构网型储能技术、一体化系统解决方案及海外标杆项目积累，有望充分受益于行业景气上行。截至 2025 年三季度末，公司储能业务在手订单规模充足，海外订单占比高，区域结构以欧洲、中东及美洲为主，为后续业绩释放提供保障。公司发布三季度报告：根据公司发布的2025年三季度报告，前三季度实现营业收入664.02亿元，同比增长32.95%；归母净利润118.81亿元，同比大幅增长56.34%，综合毛利率提升至34.88%，净盈利能力显著增强。经营活动现金流净额增至99.14亿元，回款能力大幅改善。在业务结构优化与费用管控持续推进的背景下，公司中长期业绩增长具备较高可见度。盈利预测与投资建议。我们预计，2025-2027年，公司归属母公司净利润分别为157.4亿元、192.1亿元、228.2亿元。对应每股收益分别为7.59元、9.26元、11.01元。基于同业估值水平，考虑全球光伏储能市场的前景，且公司作为全球光伏逆变器龙头企业，多赛道布局新能源产业，规模效应突出，营收利润双增，储能业务爆发构筑新成长极，给予公司2026年PE 22X，对应目标价206元。首次覆盖，给予“优于大市”评级。风险提示: 1.能源及储能相关政策推进不及预期；2.全球储能行业发展不及预期；3.储能企业出海进展不及预期；4.原材料价格上涨幅度高于预期；5.储能系统单价不及预期。,,海通国际证券,优于大市,[None],2026-01-16,,买入,8336834,pdf_downloads/2026/2026-01-16/300274-阳光电源（300274）：首次覆盖：逆变器筑基+储能领航双驱动，储能高增长跃升为新增长引擎，锚定全球能源龙头.pdf,300274,阳光电源,阳光电源（300274）：首次覆盖：逆变器筑基+储能领航双驱动，储能高增长跃升为新增长引擎，锚定全球能源龙头
"肖索,贾惠淋",坚持全球市场布局，逆变器、储能海外发货占比提升：2025年前三季度，公司光伏逆变器业务营收同比增长6%；毛利率同比有所提升，主要因为国内发货占比由去年同期48%下降至40%。2025年前三季度，公司储能发货同比增长70%，海外发货占比从去年同期的63%提升至83%，储能毛利率保持稳定。公司坚持长期深耕全球市场，已在海外建设了超20家分支机构和60多家代表处，520+服务网点，为全球客户提供全链服务。布局AIDC打开新的增长曲线：凭借公司在高压等领域的技术沉淀，公司布局SST等AIDC产品。公司表示会努力与国际头部云厂商、国内头部的互联网企业开展合作，开展产品立项和开发，争取在2026年实现产品的落地和小规模的交付。持续加大研发投入，经营性现金流大幅改善：公司重视技术创新，继续加大研发投入，前三季度投入31.4亿元，同比增长32%；截至2025年三季度末，公司研发人员超7000人。2025年前三季度公司经营活动产生的现金流量净额99亿元，同比大幅改善。投资建议考虑公司作为光储双龙头，AIDC进一步打开远期空间，全球竞争力显著。我们预计公司2025-2027年EPS分别为7.15/9.47/11.22，对应公司11月6日收盘价，2025-2027年PE分别为28.7/21.7/18.3，维持“买入-A”评级。风险提示海内外政策变动风险；原材料价格波动风险；需求不及预期；市场竞争加剧等风险；汇率波动风险等。,,山西证券,买入-A,[None],2025-11-11,,买入,7614437,pdf_downloads/2025/2025-11-11/300274-阳光电源（300274）：前三季度经营现金流同比高增，AIDC产品未来可期.pdf,300274,阳光电源,阳光电源（300274）：前三季度经营现金流同比高增，AIDC产品未来可期
张志邦,主要观点：业绩情况：2025年前三季度盈利高增，单季毛利率创年内新高公司2025年前三季度实现营收664.02亿元，YoY+32.95%；归母净利润118.81亿元，YoY+56.3%；扣非归母净利114.86亿元，YoY+55.6%。毛利率34.88%，同比+3.56pct；净利率18.00%，同比+2.53 pct。若加回资产及信用减值12.80亿元，经营性净利润约131.61亿元。   公司2025Q3单季营收228.69亿元，YoY+20.83%；归母净利润41.47亿元，YoY+57.04%；扣非归母净利39.91亿元，YoY+59.76%。单季毛利率35.87%，同比+6.35pct，环比+2.12pct，创年内新高，主要系海外高毛利市场出货占比提升，支撑毛利率提升。光伏逆变器业务：业务稳健增长，新品引领行业发展2025年前三季度公司光伏逆变器业务同比增长6%，收入结构同比改善带动毛利率增长。2025年前三季度逆变器国内市场发货占比从去年同期48%下降到今年40%。公司产品远销全球100多个国家和地区，具备优秀的全球品牌溢价能力。报告期内发布全球首款400kW+组串逆变器SG465HX和分体式模块化逆变器1+X 2.0，持续引领行业技术创新。储能系统业务：营收高增，海外高毛利订单占比持续提升2025年前三季度公司储能发货同比增长70%，储能发货结构变化显著，海外发货占比从去年同期63%攀升至83%。公司持续看好储能领域增长，预计2025年公司储能出货40-50GWh。预计明年全球储能市场维持40%-50%高增速。当前中国储能市场从强制配储逐渐转向价值驱动市场，明年中国储能有望新增150-200GWh；欧洲市场储能盈利模式逐渐完善，预计欧洲未来三年有50%增速；美国AI发展带来大量新增电力负荷需求，光储一体共建将成为重要解决方案。AIDC：新业务布局加速，打造第三增长极公司依托在电能转换领域的技术积累，切入AIDC市场，重点布局海外高端市场。当前数据中心电源正从原来UOS为主的交流供电系统向800V直流供电系统演进。公司在高压方面具备优势，公司逆变器、储能系统普遍1500V，同时公司在固态变压器有技术沉淀，已经在35kV固态变压器技术上预研10年左右。目前公司正积极与国际头部云厂商，国内头部互联网企业展开合作，2026年有望产品落地交付。投资建议考虑全球储能市场高增长，我们预计公司2025-2027年归母净利润分别为154.5/183.4/206.0亿元（前值分别为149/160/178亿元），对应PE27/23/20x，维持“买入”评级。风险提示全球光储需求不及预期；公司订单交付不及预期；海外贸易政策变化。,,华安证券,买入,[None],2025-11-10,,买入,7601725,pdf_downloads/2025/2025-11-10/300274-阳光电源（300274）：盈利高增，单季毛利率创年内新高.pdf,300274,阳光电源,阳光电源（300274）：盈利高增，单季毛利率创年内新高
"杨阳,许紫荆",事件：公司发布2025年三季报：2025年前三季度，公司实现营收664.02亿元，同比+32.95%，实现归母净利润118.81亿元，同比+56.34%；2025Q3实现营收228.69亿元，同比+20.83%，实现归母净利润41.47亿元，同比+57.04%。观点：公司利润率不断提升，业绩超预期。公司发布2025年Q3业绩，实现收入为228.69亿，同比+20.83%，环比-6.65%，实现归母净利润为41.47亿，同比+57.04%，环比+6.10%。毛利率35.87%，同比+2.29pct，环比+0.64pct。净利率17.45%，同比+2.99pct，环比+1.24pct。海外增长较快，储能业务持续发力。2025H1国内、海外收入分别为181.55亿、253.79亿，占比分别为41.7%/58.3%，国内、外收入同比增长3.48%、88.32%。分行业来看，光伏、储能行业收入分别为225.13亿、178.03亿，占比分别为51.72%、40.89%，同比增长4.84%、127.78%。公司给予储能全年40-50gwh的发货目标，明年预计还会保持较快的增长。公司作为国内储能龙头企业，大力拓展海外高毛利率市场，业绩持续向好。凭借高压电力电子技术优势，公司全面布局aidc产品。储能系统、逆变器普遍在800V、1500V以上，公司高压技术储备有优势。除此之外，公司研发35kv固态变压器10年左右，有深厚的技术积累。英伟达白皮书提到SST配大储方案，公司可以提供绿电到高压直流到机柜的全套电源架构，未来公司努力对接头部互联网厂商，争取2026年实现产品落地和小规模交付。盈利预测及投资评级：公司作为全球储能行业龙头之一，业绩有望实现快速增长，同时aidc业务有望开辟第二增长曲线。海内外储能需求持续爆发，我们上调公司盈利预测，预计公司2025-2027年归母净利润分别为150.90（前值132.36）/177.29（前值157.53）/202.61亿元，当前股价对应PE为27.5/23.4/20.5倍。维持“买入”评级。风险提示：宏观经济不及预期；政策落地不及预期；技术进步不及预期；下游需求不及预期；原材料价格波动风险；行业竞争格,,华龙证券,买入,[None],2025-11-07,,买入,7600683,pdf_downloads/2025/2025-11-07/300274-阳光电源（300274）：盈利能力提升，全面布局aidc产品.pdf,300274,阳光电源,阳光电源（300274）：盈利能力提升，全面布局aidc产品
"曾韬,黄林","阳光电源(300274)事件：25Q1-3营收664.02亿元，同比 32.95%，归母净利润118.81亿元，同比 56.34%，扣非净利润114.86亿元，同比 55.63%。25Q3单季营收228.69亿元，同比 20.83%，环比-6.65%，归母净利润41.47亿元，同比 57.04%，环比 6.10%，扣非净利润39.91亿元，同比 59.76%，环比 4.50%，高于预期。储能增长强劲，出海推高盈利。储能业务方面，25Q1-3储能发货同比 70%，收入同比 105%；海外发货占比从2024年同期的63%攀升至83%，主要得益于全球需求强劲、品牌口碑效应及新品研发投入。2025年储能出货目标40-50GWh，受益于新能源配储的需求、电网安全以及欧洲动态电价的出台，用户侧需求爆发，预计2026年全球储能增速约40%-50%，公司有望保持高增。2026年实现AIDC供电产品落地和小规模交付。公司新成立的事业部计划开拓AIDC电源领域，依托1500V光储系统经验、固态变压器技术积淀，把握AIDC绿电直连机遇，公司正积极同国际头部云厂商和国内头部互联网企业开展合作，预计2026年实现产品落地和小规模交付。盈利持续高增，经营性现金流大幅改善。25Q3公司毛利率35.87%，同比 6.35pcts/环比 2.12pcts，净利率18.03%，同比 3.87pcts/环比 1.55pcts。公司费用率7.96%，同比 0.45pcts/环比 1.30pcts。其中销售/管理/财务费用率分别为5.44%/1.90%/0.62%，同比 0.14pcts/ 0.38pcts/-0.07pcts,环比 0.01pcts/-0.16pcts/ 1.45pct。25Q3公司经营活动产生的净现金流为64.79亿元，同比 90.14%/环比 294.10%。投资建议：我们预计公司2025/2026年营收901.80亿元/1084.24亿元，归母净利润139.66亿元/160.44亿元，EPS为6.74元/7.74元，对应当前股价PE为28.43倍/24.74倍，维持“推荐”评级。风险提示：储能政策变化带来的风险；市场竞争格局恶化导致产品利润率大幅下滑的风险；海外进展不及预期的风险。",,银河证券,推荐,[None],2025-11-04,,买入,7384432,pdf_downloads/2025/2025-11-04/300274-阳光电源（300274）：25Q3业绩点评：光储龙头业绩高增，加速布局AIDC.pdf,300274,阳光电源,阳光电源（300274）：25Q3业绩点评：光储龙头业绩高增，加速布局AIDC
"邓永康,朱碧野,王一如,林誉韬",业绩持续亮眼，布局AIDC搭建第二增长曲线  事件：2025年10月28日，公司发布2025年三季报。2025年前三季度，公司实现营业收入664.02亿元，同比+32.95%；实现归母净利润118.81亿元，同比+56.34%；实现扣非净利润114.86亿元，同比+55.63%。2025Q3公司实现营业收入228.69亿元，同比+20.83%，环比-6.65%；实现归母净利润41.47亿元，同比+57.04%，环比+6.10%；实现扣非净利润39.91亿元，同比+59.76%，环比+4.50%。受益于储能需求高增长，储能业务表现亮眼。受益于海外储能需求高景气，公司高盈利的海外发货更高，带动公司储能业务高增长。2025年全年公司储能出货目标40-50GWh，相比2024年28GWh的发货量有望大幅提升。展望2026年，全球储能市场有望保持40-50%的高增速，主要得益于新能源配储的需求增加、从电网安全稳定性角度有配储需求、用户侧市场在政策带动下需求高增、数据中心发展带来配储需求等。公司储能业务有望受益于全球储能需求的增长，保持较好的发展态势。布局AIDC搭建第二增长曲线。公司已成立AIDC事业部，全方位布局AIDC，产品布局包括一次电源、二次电源等，公司在高压、固态变压器SST等方面有技术沉淀，在数据中心绿电直供方面也有优势。公司正在加大投入，努力与国际头部云厂商、国内头部的互联网企业开展合作，开展产品立项和开发，争取在2026年实现产品的落地和小规模的交付。AIDC业务有望成为公司第二成长曲线。经营性现金流大幅改善。2025年前三季度，公司经营活动产生的现金流量净额为99.14亿元，同比大幅改善；其中2025Q3，公司经营活动产生的现金流量净额为64.79亿元，同环比大幅改善。公司经营性现金流大幅改善主要得益于回款的增长，由于海外回款效率整体更高，海外销售占比提升带动经营性现金流改善；同时公司多方面努力改善应收账款，比如细化客户的信用管理、后期应收的管理、加强回款力度的考核等，多种方案并行，逐步改善现金流，经营活动质量改善明显。投资建议：我们预计公司2025-2027年营收分别为927.49、1095.55、1325.00亿元，对应增速分别为19.1%、18.1%、20.9%；归母净利润分别为151.45、180.17、213.97亿元，对应增速分别为37.2%、19.0%、18.8%，以10月31日收盘价为基准，对应2025-2027年PE为26X、22X、18X，公司储能业务快速增长，维持“推荐”评级。风险提示：下游需求不及预期，市场竞争加剧等。,,民生证券,推荐,[None],2025-11-02,,增持,7260508,pdf_downloads/2025/2025-11-02/300274-阳光电源（300274）：业绩持续亮眼，布局AIDC搭建第二增长曲线.pdf,300274,阳光电源,阳光电源（300274）：业绩持续亮眼，布局AIDC搭建第二增长曲线
"文昊,郑民康",毛利率提升推动业绩超预期，储能和AIDC需求高增支撑未来增长毛利率提升推动业绩超预期：2025年前三季度收入/盈利664/119亿元（人民币，下同），同比增33%/56%；3季度收入/盈利229/41.5亿元，同比增21%/57%，环比-7%/+6%，盈利超出我们和市场预期。3季度毛利率35.9%，同/环比提高6.4/2.1个百分点，创出近年新高；销售/管理/研发/财务费用率5.4%/1.9%/4.8%/0.6%，同比+0.1/+0.4/+0.1/-0.1个百分点；经营活动现金流64.8亿元，同比大增90%；期末合同负债环比降3%。储能出货爆发式增长，海外占比大幅提升：前三季度储能系统收入288亿元，同比大增105%，发货29GWh，大增70%，海外发货占比由去年同期的63%大幅提升至83%，公司指引全年发货40-50GWh；逆变器收入234亿元，增长12%，海外发货占比由去年同期的52%提升至60%；海外收入占比提升推动储能和逆变器毛利率同比提高；新能源投资开发收入113亿元，下降13%，主要由于136号文对户用光伏业务产生一定影响。储能需求超预期高增，毛利率有望保持高位： 在新能源占比提升、储能经济性提高等因素推动下，前三季度全球储能新增装机增速高达68%，超出市场预期，其中公司出货占比较高的海外大储增速更快。公司预计2026年全球增速仍将高达40-50%，公司增速将更快。在需求持续旺盛的背景下，我们预计公司凭借全球领先的市场地位和品牌溢价能力，储能系统毛利率将保持高位。AIDC业务进展顺利：公司AIDC业务聚焦800V直流供电系统，依托1500V逆变器/储能技术及35kV固态变压器优势，正与国内外头部云厂商、互联网企业合作开发产品，目标2026年实现产品落地及小规模交付。IEA预计2025-30年仅美国AIDC配储需求就高达230GWh。维持买入：我们上调2025-27年盈利14%/34%/54%，2024-27年复合增速高达29%。由于业绩增速大幅提高，我们将估值基准由17倍市盈率上调至22倍，并切换至2026年，目标价上调至220.00元（原119.00元），维持买入。,,交银国际,买入,[None],2025-10-30,,买入,7038671,pdf_downloads/2025/2025-10-30/300274-阳光电源（300274）：毛利率提升推动业绩超预期，储能和AIDC需求高增支撑未来增长.pdf,300274,阳光电源,阳光电源（300274）：毛利率提升推动业绩超预期，储能和AIDC需求高增支撑未来增长
"曾朵红,郭亚男,胡隽颖",事件：公司25年Q1-3营收664亿元，同比+32.9%，归母净利润118.8亿元，同比+56.3%，扣非净利润114.9亿元，同比+55.6%，毛利率34.9%，同比+3.6pct，归母净利率17.9%，同比+2.7pct；其中25年Q3营收228.7亿元，同环比+20.8％/-6.6％，归母净利润41.5亿元，同环比+57%/+6.1％，扣非净利润39.9亿元，同环比+59.8%/+4.5％，毛利率35.9%，同环比+6.4/+2.1pct，归母净利率18.1%，同环比+4.2/+2.2pct。费用率维持稳定，现金流大幅改善：公司25年Q1-3期间费用78.3亿元，同比+24.5%，费用率11.8%，同比-0.8pct，其中Q3期间费用29.2亿元，同环比+26.5%/+2%，费用率12.8%，同环比+0.6/+1.1pct。25年Q1-3经营性净现金流99.1亿元，同比+1133.1%，其中Q3经营性现金流64.8亿元，同环比+90.1%/+294.1%。25年Q3末存货299.3亿元，较年初+3.1%。布局AIDC打造第三增长曲线：公司把握AIDC快速发展机遇，依托电力电子技术优势，设立相关事业部开展AIDC电源业务，争取明年推出产品，有望打造第三增长曲线。盈利预测与投资评级：考虑公司毛利率表现优异，我们上调25~27年盈利预测，预计25~27年归母净利润分别为143/172/193亿元（前值为140/162/179亿元），同比增长29.9%/20.1%/12.1%，对应PE为27.7/23.1/20.6x，考虑公司逆变器、储能业务毛利率表现较好，全球储能出货继续高增，盈利能力维持高位，维持“买入”评级。风险提示：竞争加剧，政策不及预期。,,东吴证券,买入,[None],2025-10-30,,买入,6992075,pdf_downloads/2025/2025-10-30/300274-阳光电源（300274）：2025年三季报点评：储能发货高增盈利向好，AIDC布局持续推进.pdf,300274,阳光电源,阳光电源（300274）：2025年三季报点评：储能发货高增盈利向好，AIDC布局持续推进
殷晟路,业绩依旧强劲，经营现金流大幅提升阳光电源发布2025年三季报，公司前三季度营业收入664.02亿元，同比增长32.95%；归母净利润118.81亿元，同比增长56.34%；第三季度营业收入228.69亿元，同比增长20.83%；归母净利润41.47亿元，同比增长57.04%。公司前三季度经营活动现金流净额 99.14 亿元，同比大幅增长1133.14%，经营质量显著提升。考虑到公司作为行业龙头企业充分受益于全球储能需求高增，我们上调公司盈利预测，预测公司2025-2027年归母净利润为161.5/200.8/222.5亿元（原2025-2027年为134.4/156.8/165.4亿元），EPS为7.79/9.68/10.73元，对应当前股价PE为21.3/17.1/15.5倍，维持“买入”评级。海外出货占比进一步提升逆变器业务方面，公司2025年前三季度光伏逆变器收入同比增长约6%，各市场盈利能力保持稳定。国内发货占比由去年同期的48%降至40%，高毛利海外市场占比相应提高，毛利率有所提升。储能业务表现强劲，前三季度发货量同比增长70%，出货结构显著优化，海外发货占比由63%提升至83%，支撑毛利率保持稳定。产品方面公司持续加大研发投入，相继推出PowerTitan3.0 AC智储平台与PowerStack 255CS系统，持续巩固市场竞争力。AIDC需求打开公司成长空间公司凭借电力电子技术积累，积极推进SST等AIDC电源产品研发，目前与国际头部云厂商、国内头部的互联网企业对接，争取在 2026年实现产品的落地和小规模的交付，AIDC电源有望成为公司第三增长曲线。此外下一代高功率数据中心需解决负载波动，叠加数据中心用电成本高昂，配套储能需求强，为公司带来新的增长机遇。风险提示：储能系统产品毛利率下滑超预期；海外贸易政策变动影响公司出货。,,开源证券,买入,[None],2025-10-29,,买入,6986448,pdf_downloads/2025/2025-10-29/300274-阳光电源（300274）：公司信息更新报告：出货结构持续优化，经营现金流大幅提升.pdf,300274,阳光电源,阳光电源（300274）：公司信息更新报告：出货结构持续优化，经营现金流大幅提升
