author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"吕若晨,倪欣雨",2026年1月20日│中国内地 饮料 公司发布业绩预告，预计25年归母净利润15.8-17.4亿，同比增长50.00%-65.00%；扣非归母净利润14.6-15.6亿，同比增长40.00%-50.00%；2025年度非经常性损益主要系公司确认了子公司土地收储款，增加归母净利润约1.32亿元。公司预告对应25Q4归母净利润亏损0.3-1.9亿（24Q4为亏损2.3亿），扣非归母净利润亏损1.2-2.3亿（24Q4为 亏损2.2亿），从利润中枢看Q4公司实现减亏，土地收储显著增厚利润，经营性利润整体符合Wind一致预期。25年为五年规划收官之年，市场化机制下，U8放量、降本增效成果集中释放，带动利润高增，26年U8全国化、10元价位带新品推广有望带动公司结构继续向上，内部将本提效仍有空间，看好利润继续释放，维持“买入”评级。U8全国化稳步推进，看好新品接力25年U8延续较快增长，华北基地市场持续提升非现饮覆盖率，非基地市场借助百城工程加大投放、聚焦餐饮实现点状破局，在东三省、山东、四川、两湖、华东等竞对核心市场亦实现较多增量，此外公司坚持渠道健康发展，保持渠道库存健康与渠道价差合理，驱动吨酒收入持续提升。展望来看，我们认为新区域持续打开U8发展天花板，并为10元新品推广打好基础，结构升级仍有空间；饮料业务有望在基地市场持续铺货、贡献增量；纳豆业务受益下游健康化趋势亦有较大景气空间。结构优化/降本增效有望带动利润率持续提升公司盈利能力持续提升，25Q1-3公司归母净利率同比提升3.2pct，核心得益于成本红利/结构升级/减员提效/子公司减亏，对比同业，公司净利率仍有较大提升空间，我们测算25年扣非净利率约10%（按照公司预告中枢测算），（按Wind一致预期，2025年华润啤酒/青岛啤酒归母净利率为15%/14%），核心抓手在于：1）U8及白啤/精酿等带动结构继续升级；2）内部产效/人效提升、子公司减亏仍有空间；3）纳豆等利润业务持续发展。盈利预测与估值考虑25年土地收储贡献增厚公司利润，且U8放量趋势好，我们上调公司盈利预测，预计 25-27年EPS 0.60/0.69/0.80元（较前次上调6%/4%/4%），参考26年可比公司PE均值18x，考虑公司25-27年公司净利润CAGR（29%）高于可比均值（8%），给予公司26年25xPE，目标价17.25元（前值16.75元，对应26年25x PE），维持“买入”评级。风险提示：竞争加剧，行业需求不及预期，食品安全问题。,,华泰证券,买入,[None],2026-01-21,,买入,8348352,pdf_downloads/2026/2026-01-21/000729-燕京啤酒（000729）：业绩高增，26年空间与动能仍足.pdf,000729,燕京啤酒,燕京啤酒（000729）：业绩高增，26年空间与动能仍足
"李梓语,黄越",25年业绩亮眼，26年持续突破事件：公司发布2025年业绩预告，预计全年实现归母净利润15.84至17.42亿元，同比+50%至+65%；预计全年实现扣非归母净利润14.57至15.61亿元，同比+40%至+50%，其中非经常性损益主要系公司确认了子公司土地收储款，增加归母净利润约1.32亿元。Q4淡季业绩稳健，亏损预计收窄。2025Q4预计实现归母净利润-1.87至-0.29亿元，中值为-1.08亿元，去年同期为-2.32亿元，同比亏损收窄；2025Q4预计实现扣非归母净利润-2.28至-1.24亿元，中值为-1.76亿元，去年同期为-2.21亿元。坚持大单品战略，攻坚关键业务领域变革。公司坚定推进大单品战略，围绕产品力、品牌力、渠道力积极探寻创新路径，深化卓越管理体系建设，推行品牌年轻化、时尚化、高端化建设，实施梯度化市场开发策略，燕京U8继续保持稳健增长态势。公司持续攻坚生产、营销、市场和供应链等关键业务领域变革，扎实推进各项战略举措，强健组织机制保障，以产品升级、市场升级和管理升级，全面提升管理质效，系统激活运营效率和增长潜力，企业经营效益持续向好。投资建议：大单品持续放量，利润率稳步提升。收入端，公司大单品U8系列矩阵完善，保持快速增长；同时推行“啤酒+饮料”的组合营销，倍思特汽水、纳豆等非啤酒产品有望成为贡献新的营收来源之一。利润端，高端化的持续加速，叠加生产、市场、供应链等九大变革的推进，在数字化赋能和管理体系优化的背景下，利润弹性有望得到进一步释放。我们预计公司2025-2027年归母净利润分别同比+60.6%/+18.3%/+15.0%至17.0/20.1/23.1亿元，维持“买入”评级。风险提示：行业竞争加剧；原材料成本上涨；餐饮需求恢复不及预期。,,国盛证券,买入,[None],2026-01-21,,买入,8348163,pdf_downloads/2026/2026-01-21/000729-燕京啤酒（000729）：25年业绩亮眼，26年持续突破.pdf,000729,燕京啤酒,燕京啤酒（000729）：25年业绩亮眼，26年持续突破
"訾猛,颜慧菁,陈力宇,苗欣",投资建议：维持“增持”评级。维持公司2025-2027年EPS预测分别为0.57、0.71、0.82元，参考可比公司平均估值，考虑燕京啤酒净利率提升空间较显著、业绩增速较快，给予2026年25X PE，目标价17.75元（原目标价15.86元）。啤酒行业企稳恢复，区域龙头优势明显。啤酒行业竞争格局平稳，龙头向上推进结构升级的长期导向并未扭转，吨价提升速度虽阶段性放缓但仍保持相对韧性，我们预计未来随着餐饮场景修复及终端消费逐步提振，结构升级、吨价提升以及效率优化仍将驱动盈利提升，回顾历史上的CPI回升期，啤酒板块毛销差扩张、有望受益。以燕京代表的区域龙头依靠大单品份额提升实现快于行业的增长，且对自身产品结构和盈利形成正向拉动，相对优势有望延续。燕京啤酒改革势能强劲，盈利具备进一步提升空间。公司十四五期间通过全方位改革，销量和收入增速快于行业，归母净利率从2021年的1.9%升至2024年的7.2%，ROE则从1.7%升至7.4%，25年至今盈利能力持续显著改善。我们认为公司管理效率提升和机制优化下，净利率将进一步提升：1）U8等中高端产品持续放量提升占比，带动吨价和盈利提升；2）改革持续驱动供应链和人员提效，叠加一次性的前置费用逐步减少；3）纳豆业务快速成长贡献可观利润增量。静态对标其他国内啤酒龙头，不考虑其他公司后续的净利率提升，我们估测公司啤酒业务的净利率仍有至少5-6pct的提升空间。U8大单品放量持续，U8以上价位拓展空间大。U8成长型市场四川、湖南、广东、山东、东北2024年合计的啤酒总产量达1636万吨、占全国46.5%，我们认为U8在上述区域势能向上、全国化开拓潜力大，我们预计U8 2026年销量将超百万吨、未来有望成为销量150万吨以上级别的大单品。同时我们认为公司在U8之上的10元价格带有明显空间布局强力的全国化单品，此前公司在10元价位倾注资源尚少、缺乏主推产品，而U8在8元价位成功能帮助公司形成深厚利润基础并沉淀产品打造经验和团队组织能力，为高端单品的打造奠定基础，从而进一步打开产品结构升级和盈利提升空间。风险提示：渠道拓展不及预期、原材料成本上涨、终端需求偏弱。,,国泰海通,增持,[None],2025-12-30,,买入,8303254,pdf_downloads/2025/2025-12-30/000729-燕京啤酒（000729）：深度报告：改革蓄势，再谱新篇.pdf,000729,燕京啤酒,燕京啤酒（000729）：深度报告：改革蓄势，再谱新篇
范林泉,投资评级与估值：公司坚定推进大单品战略，U8成长延续，增长态势强劲。我们预计公司2025/2026/2027年营业收入分别为156.9/167.2/177.0亿元，同比增长7.0%/6.6%/5.9%，归母净利润分别为14.5/17.6/20.3亿元，同比增长36.9%/22.0%/15.3%，对应PE分别为23.6X/19.4X/16.8X。首次覆盖，给予&quot;买入&quot;评级。行业与公司分析：啤酒行业竞争格局稳定，2021年以来行业产量企稳在3500万千升左右，量稳价增为行业发展主旋律。公司主营啤酒研发、生产与销售，形成以U8、V10、狮王精酿、漓泉1998为中高端产品代表，以鲜啤、清爽为腰部产品代表，以各区域特色产品为基础产品的产品矩阵。公司凭借U8大单品的成功打造与全国化布局，近年来销量增速持续跑赢行业，盈利能力加速修复。关键假设点：中高档啤酒方面，U8大单品延续强劲增长态势带动产品结构升级，在现有基础上仍有提升空间，中高档啤酒收入有望持续增长，预计2025/2026/2027年中高档啤酒收入分别为95.1/102.1/109.2亿元，同比增长7.3%/7.3%/7.0%，毛利率分别为52.0%/54.0%/55.0%。普通啤酒方面，公司产品结构升级过程中，鲜啤、清爽等腰部产品及各区域特色产品保持平稳运营，预计2025/2026/2027年普通啤酒收入分别为44.5/45.3/46.0亿元，同比增长2.0%/1.8%/1.5%，毛利率稳定在31.4%/31.5%/31.5%。其他业务方面，公司积极拓展产品品类边界，预计2025/2026/2027年其他业务收入分别为17.2/19.8/21.8亿元，同比增长20.0%/15.0%/10.0%，毛利率分别为23.5%/23.3%/23.2%。有别于市场的认识：市场认为啤酒较为同质化、公司大单品U8增长空间有限、渠道推力有限等，但我们认为：1）U8差异化定位清晰，产品力构筑竞争壁垒。U8产品品质具有差异化竞争优势。U8差异化定位&quot;小度酒大滋味&quot;，是少数以整米酿酒的啤酒产品，通过小度特酿技术，降低了啤酒中的乙醛含量，在同等麦芽浓度下酒精度数更低，既保证了口感，又不易上头，有利于吸引年轻消费群体。2）U8大单品战略已验证成功，增长潜力充足。公司目前形成以U8、V10、狮王精酿、漓泉1998为中高端产品代表，以鲜啤、清爽为腰部产品代表、以各区域特色产品为基础产品的产品矩阵，其中大单品U8赢得了消费者的广泛认可，销量逐年快速攀升。2024年U8销量69.6万千升（占公司啤酒销量比例17.4%），同比增长31.4%（公司啤酒销量同比增长1.6%），2021-2024年CAGR达38.8%，实现全国化布局与销量双突破。2025年U8系列产品仍延续强劲增长态势，全年90万吨销量目标有望达成，25H1中高档产品销量同比增长9.3%（公司啤酒销量234.8万千升，同比增长2.0%）。U8放量带动公司中高档产品销量占比由2019年的54.6%提升至25H1的70.1%，产品结构优化成效显著。从公司目标看，U8阶段性销量占比目标为30%，在现有规模基础上仍有提升空间，增长潜力充足。3）全国化扩张贡献增量，基地外市场持续突破。公司确定U8战略核心地位，U8是公司第一款全国化的单品，自上市以来便大力推广，由单独销售团队运作，政策针对性更强，资源投入更为聚焦。在现有优势市场，公司深挖终端单点效率，在非即饮渠道提升罐装产品销量，进一步提升U8在终端的销量占比；在弱势市场，以总分共建的方式组合总部与分公司资源，选择部分&quot;高容量、高结构、高成长性&quot;的城市打造样板市场。公司启用年轻化代言人，进一步提升品牌影响力，叠加单独销售团队的针对性运作，U8在弱势市场的渗透率提升有望持续提高。公司25H1中高档产品同比增长9.3%，基地外市场中华东、华中增量贡献较大，收入同比增速分别为20.5%、15.4%。此外，公司2024年启动罐化率专项提升工程并纳入子公司考核，加大罐装产品推广发力零售渠道，罐化率提升将进一步推动吨价提升。华北地区受益于U8在北京、河北市场的良好表现，25H1毛利率较2022年提升9.3pct至44.3%，产品结构升级对盈利能力的拉动效应已经显现。4）渠道利润分配机制形成正向循环，渠道积极性高。U8渠道利润高于竞品，公司提供返利补贴，高渠道利润带来强推力。渠道端的利益绑定机制保障了终端推广意愿，形成&quot;渠道盈利-推广意愿强-销量增长-规模效应显现&quot;的正向循环。股价的催化剂：1）百县工程叠加百城工程，区域扩张节奏上修。在百县工程基础上，公司2025年启动百城工程，精选高线城市（高容量、高结构、高成长性），通过总分共建打造样板市场，持续挖掘强势市场增长潜力，同时强化空白市场布局。25H1华北地区营收占比56.7%，优势市场深挖与弱势市场突破并进，区域扩张节奏上修。2）即时零售渠道拓展打破传统渠道壁垒。啤酒具有高即时性、低便携性、夜间高频的消费特征，与即时零售渠道适配度较高。随着消费者对于快速、便捷的购物体验需求日益增加，歪马送酒等即时零售渠道正在迅速崛起，成为啤酒行业的重要增长点。公司积极拥抱新兴零售渠道，积极拓展以歪马、酒小二等为代表的即时零售渠道，打破传统渠道壁垒，贡献边际增量。3）成本红利持续释放叠加费效优化，盈利弹性显现。成本端，2025年进口大麦采购价格仍有小幅下降，叠加包材价格同比回落，成本端红利延续，25Q1-3毛利率47.2%（同比提升2.1pct）。产能端，随着工艺技术及设备升级，公司产能利用率由2021年的40.2%提升至25H1的71.2%，折旧摊销占收入比例由2021年的6.2%下降至25H1的3.8%，资产运营效率持续改善。管理端，公司持续深化改革，优化人员治理与供应链管理，数字化赋能深化成本管控。收入端增长与成本端优化共振下，净利率提升潜力将持续兑现。风险提示：1）原材料成本大幅波动风险；2）U8销量增长不及预期；3）产品结构升级不及预期；4）行业竞争加剧；5）食品安全风险。,,爱建证券,买入,[None],2025-12-24,,买入,8271908,pdf_downloads/2025/2025-12-24/000729-燕京啤酒（000729）：首次覆盖报告：大单品战略成效显著，成长动能持续释放.pdf,000729,燕京啤酒,燕京啤酒（000729）：首次覆盖报告：大单品战略成效显著，成长动能持续释放
陈文倩,燕京啤酒(000729)“二次创业、复兴燕京”逆市突围实现四连增存量竞争环境下，面对更丰富的消费场景，增长更快的年轻化消费群体，燕京啤酒抓住行业发展趋势，提出“二次创业复兴燕京”，打造核心大单品燕京U8转型破局。公司2024年实现营收146.67亿元/+3.20%；实现归母净利10.56亿元/+63.74%，创历史新高。通过卓越管理体系建设和数字化改造，公司销售费用率连续四年下降，燕京啤酒实现经营指标四连增。在行业整体产量微降的背景下逆势突围展现出强劲的市场竞争力与发展韧性。啤酒行业近年量平价增，企业产品结构升级应对伴随经济增长和消费升级，啤酒产量触顶回落，啤酒行业也从最初的“一城一啤”格局发展至今的“五强争霸”格局，CR5市占率从2017年的76%提升至2024年近90%，行业进入寡头竞争阶段，龙头企业从“抢份额”转向“提利润”。燕京啤酒2025年上半年，公司中高端产品营收占比首破70%，凭借产品升级与精细化管理，盈利能力显著提升。未来啤酒行业中长期发展，适龄饮酒人群近年总量将保持平稳，老龄化限制销量增长空间，啤酒市场存量竞争激烈，研发创新推动产品结构升级成为共识。扩展产品线，探索新品借助渠道等共性，为企业成长探索新的增长点扩展U8系列，从基础款U8小度酒到升级款U8Plus及限量营销款三大产品线，覆盖日常饮用、聚会场景及高端消费需求，助力公司高端化战略落地。倍斯特汽水被定位为燕京“创新战略支点”，借助啤酒与汽水在生产设备、供应链，以及餐饮和商超终端等方面的高度协同优势，优先进入火锅店、烧烤店、夜市等餐饮现饮场景。稳定的股利分配政策回报股东公司高度重视股东投资回报，积极实施连续、稳定的股利分配政策，制定了《未来三年股东回报规划（2024-2026）》并推动落地执行。就2024年度而言，公司预计每10股派发现金股利1.90元（含税），共计派发现金5.36亿元。该笔现金分红在当年实现归属于上市公司股东净利润中占比50.73%，现金分红金额较上年同比增长90%。盈利预测及投资建议公司进一步夯实“中国人自己的啤酒”品牌定位，放大品牌核心价值。构建内容营销体系，开展多样化种草活动，打造媒介矩阵，实现全国赋能与区域全面覆盖。公司中高档啤酒销量占比持续增长，推动公司毛利率净利率上行，我们预期公司2025-2027年预计实现收入153/161/167亿元，同比增长4.6%/4.8%/3.8%，预计实现归母净利润15.24/16.68/17.68亿元，同比增长44.4%/9.5%/6.0%，估值分别为22.5/20.5/19.4，EPS分别0.54/0.59/0.63元，公司当下PEG0.47明显低于其他企业，公司继续大力推进燕京U8等中高端啤酒增长，提升公司毛利率水平，首次覆盖给予“强烈推荐”评级。风险提示：餐饮等终端消费恢复不及预期压力；行业发展趋势由量增转向质升，企业面临新品研发和推广不及预期等经营风险；消费习惯变化等风险；食品安全、生产经营等风险。,,诚通证券,强烈推荐,[None],2025-12-18,,买入,8271772,pdf_downloads/2025/2025-12-18/000729-燕京啤酒（000729）：首次覆盖：守正创新深耕市场，加速赶超再创辉煌.pdf,000729,燕京啤酒,燕京啤酒（000729）：首次覆盖：守正创新深耕市场，加速赶超再创辉煌
黄静,受宏观经济环境和外部政策影响，公司增长动能有所转弱。2025Q1-3，公司实现营业收入134.33亿元，同增4.57%；实现归母净利润17.70亿元，同增37.45%，实现扣非归母净利润16.85亿元，同增33.59%；单Q3，公司实现营业收入48.75亿元，同增1.55%；实现归母净利润6.68亿元，同增26.00%；实现扣非归母净利润6.49亿元，同增24.60%。量稳价增，U8增长势头良好。2025年前三季度，公司啤酒销量为349.52万千升，同比增长1.39%；吨营收为3843元/千升，同比增长3.13%。单三季度，公司啤酒销量为114.35万千升，同比增长0.10%；吨营收为4263元/千升，同比增长1.45%。报告期内，面对复杂变动的市场环境，公司坚定执行大单品战略，核心产品燕京U8保持良好增长态势，有力地带动整体产品结构升级，而其他产品业务表现承压，或存在季节间节奏问题。降本增效趋势延续，带动净利率提升。2025Q3，公司综合毛利为50.15%，同比和环比分别提升2.16pp、2.45pp。毛利率提升主要受益于吨营收提升和吨成本下降，其中，吨营业成本同比下降2.76%。费用方面，销售费用率/管理费用率/财务费用率分别为13.80%/11.77%/-1.22%，分别同比-0.06/-0.87/+0.06pp。共同作用下，净利率提升2.79pp至16.17%。盈利预测与投资建议：预计公司2025-2027 年营业收入分别为152.33/158.17/163.57亿元，同比增长3.86%/3.83%/3.41%；归母净利润分别为15.51/18.06/20.32亿元，同比增长46.89%/16.46%/12.54%；对应当前股价的PE分别为22/19/16倍。公司以改革变革为主线，坚持大单品战略，核心产品表现优异。展望未来，U8有望保持良好增长态势，带动产品继续中高端化升级；经营效率提升，单位成本和费率下行，有望带动利润率持续提升。因此，维持“增持”评级。风险提示：行业竞争加剧；原材料价格大幅波动；食品安全问题等。,,财信证券,增持,[None],2025-10-24,,增持,6839789,pdf_downloads/2025/2025-10-24/000729-燕京啤酒（000729）：量稳价增，盈利能力提升.pdf,000729,燕京啤酒,燕京啤酒（000729）：量稳价增，盈利能力提升
"王言海,张馨予",U8势能维持，核心指标持续改善驱动盈利向上事件：2025年10月20日，公司发布2025年三季报。2025年前三季度公司营收/归母净利润/扣非后归母净利润分别134.3/17.7/16.9亿元，同比+4.6%/+37.4%/+33.6%；25Q3公司营收/归母净利润/扣非后归母净利润分别48.7/6.7/6.5亿元，同比+1.5%/+26.0%/+24.6%。U8大单品整体维持良好势能，全国化+全渠道扩张稳步推进。25Q3公司营收同比增1.5%，其中量/价分别增+0.1%/+1.4%。Q3公司营收环比有所降速，我们认为一方面有非酒业务影响，同时25Q3啤酒板块下游需求在政策等外部影响下整体较弱，预计对公司销量、货折力度均产生一定影响。其中U8大单品整体维持良好势能，全国化+全渠道扩张稳步推进。核心财务指标持续改善，驱动盈利能力持续向上。25Q3公司扣非归母净利率同比+2.7pct至13.7%，拆解来看：1）Q3公司吨成本同比-2.8%，如期转负，带动综合毛利率同比+2.2pct至50.2%；2）Q3公司管理费用率同比-0.9pct至10.1%，体现出改革持续显效，销售费用率则持平微降；3）公司所得税率维持低位13%，少数股东损益占比则进一步-2.2pct至15.3%，体现出子公司盈利结构持续改善。改革红利释放+结构不断改善，持续看好公司利润率弹性。近几年公司利润弹性具备明显alpha，无论是U8的成长速度还是改革落地后各项财务指标的显著优化都在持续兑现其改善和成长逻辑。我们认为公司业绩高增确定性首先来自于利润率提升路径清晰，持续兑现则来自于公司改革决心非常坚定，且是系统性的、全面的改革，并在近几年经营势能持续向上的过程中已形成正循环。啤酒行业利润率与产品结构、经营效率、区域结构等因素相关，中期维度看公司净利率提升进程刚过半。展望后续，U8全国化、全渠道布局将不断深化，不同区域市场阶段不同因此成长得以持续接力，同时“十五五”产、销、供应链有望继续全方面提升，盈利能力提升路径明朗。投资建议：考虑到25Q4公司将有望持续减亏，25Q3业绩释放节奏符合我们此前预期，我们维持对公司25年全年的盈利预测。基于公司大单品持续全国化以及改革深化，我们预计2025-2027年公司营收156.20/164.48/171.88亿元，同比增长6.5%/5.3%/4.5%；归母净利润分别为 16.10/19.59/23.22亿元，同比增长52.5%/21.7%/18.5%。当前市值对应PE分别为21/17/14x，维持“推荐”评级。风险提示：原材料价格上涨超预期、啤酒高端竞争加剧、食品安全问题等。,,民生证券,推荐,[None],2025-10-23,,增持,6698483,pdf_downloads/2025/2025-10-23/000729-燕京啤酒（000729）：U8势能维持，核心指标持续改善驱动盈利向上.pdf,000729,燕京啤酒,燕京啤酒（000729）：U8势能维持，核心指标持续改善驱动盈利向上
王芳,"事件：公司发布2025年三季度报告。2025Q1-Q3公司实现营收134.33亿元，同比增长4.57%，归母净利润17.70亿元，同比增长37.45%，扣非后归母净利润16.85亿元，同比增长33.59%。2025Q3公司实现营收48.75亿元，同比增长1.55%；归母净利润6.68亿元，同比增长26.00%，扣非后归母净利润6.49亿元，同比增长24.60%。观点：公司利润增速快于收入增速，毛利率和净利率提升，降本增效成果显著。2025年Q1-Q3，燕京啤酒毛利率为47.19%，同比提升2.10pct，我们认为主因公司产品结构持续优化和部分原材料带来的成本红利。公司销售费用率/管理费用率/财务费用率分别为11.59%/10.24%/-1.20%，同比分别变化-0.40pct/-0.98pct/+0.07pct，公司净利率为15.32%，同比提升3.53pct，公司销售费用率和管理费用率呈下降态势，净利率提升，盈利能力增强。公司坚定大单品战略执行，燕京U8继续保持良好增长态势，有力带动产品结构升级、市场形态焕新和盈利水平提升。同时，公司着力攻坚关键业务领域，深化管理体系建设，以“全渠道融合+区域深耕”夯实市场增长基础，加快供应链智能化转型和数字化建设步伐，有效促进全链条效率提升。2025年1-9月,公司实现啤酒销量349.52万千升（含托管经营），同比增长1.39%；实现营业收入1,343,282.98万元，同比增长4.57%；实现利润总额240,360.16万元，同比增长36.18%；实现归属于上市公司股东的净利润177,045.53万元，同比增长37.45%。经营基础面稳定向好，为公司持续健康发展奠定了坚实的基础。公司以消费者需求为导向，通过产品创新与营销模式升级持续夯实市场基础。在产品端，公司大力实施大单品营销战略，形成以燕京U8、燕京V10、漓泉1998、燕京狮王系列为代表的大单品矩阵，以“中高端+腰部+区域特色”三层架构匹配并满足不同消费需求。同时，公司推行“啤酒+饮料”组合营销，落地多元化战略，产品矩阵不断优化，打造立体化市场布局。在营销策略方面，公司通过文化IP打造、线上线下融合推广及数字化转型，构建全渠道营销矩阵，不断提升品牌影响力。盈利预测及投资评级：基于公司产品结构优化，降本增效成果显著，我们上调此前的盈利预测，并增加2027年预测值，公司2025/2026/2027营业收入分别为155.36亿元/163.24亿元/171.34亿元（2025/2026年前值为154.43亿元/160.97亿元），同比增长5.93%/5.07%/4.96%；归母净利润分别为15.68亿元/18.59亿元/20.47亿元（2025/2026年前值为12.39亿元/14.57亿元），同比增长48.49%/18.59%/10.09%；对应2025年10月20日收盘价，PE分别为22.5X/18.9X/17.2X，我们维持公司“增持”评级。风险提示：食品安全风险；消费复苏不及预期；新品推广不及预期风险；市场竞争加剧的风险；原材料成本上行导致毛利率和利润下降的风险；第三方数据统计偏差风险。",,华龙证券,增持,[None],2025-10-23,,增持,6698398,pdf_downloads/2025/2025-10-23/000729-燕京啤酒（000729）：毛利率和净利率提升，降本增效成果显著.pdf,000729,燕京啤酒,燕京啤酒（000729）：毛利率和净利率提升，降本增效成果显著
"熊欣慰,赖思琪",报告摘要事件：2025Q1-3公司收入为134.33亿元，同比增长4.57%；归母净利润为17.70亿元，同比增长37.45%；扣非后归母净利润为16.85亿元，同比增长33.59%。2025Q3公司收入为48.75亿元，同比增长1.55%；归母净利润为6.68亿元，同比增长26.00%；扣非后归母净利润为6.49亿元，同比增长24.60%。Q3量价增速放缓，毛利率继续提升。2025Q1-3公司啤酒销量为349.52万千升，同比增长1.39%；2025Q3啤酒销量为114.35万千升，同比增长0.10%。2025Q1-3公司吨酒营收同比增长3.13%至3843元/千升，主要受益于产品结构提升，公司坚定大单品战略执行，燕京U8继续保持良好增长态势，有力带动产品结构升级、市场形态焕新和盈利水平提升；2025Q3公司吨酒营收同比增长1.45%至4263元/千升。Q3公司啤酒销量和吨酒营收增速对比上半年放缓，主要系禁酒令等因素影响，啤酒行业需求表现疲软。受益于原材料成本下行，以及公司持续推进降本增效，2025Q3公司吨酒成本同比下降2.76%至2125元/千升，带动2025Q1-3吨酒成本同比下降0.81%至2030元/千升。降本增效推动费用率下降，盈利能力继续提升。2025Q1-3公司毛利率同比提升2.10个pct至47.19%，Q3毛利率同比提升2.16个pct至50.15%，主要受益于产品结构升级带来的均价提升以及成本下降的红利。2025Q1-3公司销售、管理、研发、财务费用率同比分别-0.40、-0.98、-0.07、+0.07个pct至11.59%、10.24%、1.62%、-1.20%；2025Q3公司销售、管理、研发、财务费用率同比分别-0.06、-0.85、-0.02、+0.06个pct至13.80%、10.06%、1.71%、-1.22%。综合来看，2025Q1-3公司归母净利率同比提升3.15个pct至13.18%，扣非后归母净利率同比提升2.73个pct至12.54%；2025Q3公司归母净利率同比提升2.66个pct至13.70%，扣非后归母净利率同比提升2.46个pct至13.30%。盈利预测：在行业承压的背景下，U8仍保持高速增长趋势。随着改革深入，降本增效开始体现，公司期间费用率持续下降，加速利润弹性释放。根据公司季报，考虑到成本红利释放和降本增效超预期，我们上调盈利预测，预计公司2025-2027年收入分别为154.27、160.99、166.86亿元（前值为157.61、165.07、171.31亿元），同比增长5%、4%、4%，归母净利润分别为15.97、18.95、21.42亿元（前值为14.77、17.54、19.90亿元），同比增长51%、19%、13%，EPS分别为0.57、0.67、0.76元，对应PE为21.0、17.7、15.7倍，维持“买入”评级。风险提示：全球经济增速放缓；食品安全风险；因不可抗要素带来销量的下滑；市场竞争恶化带来超预期促销活动；研报信息更新不及时的风险,,中泰证券,买入,[None],2025-10-22,,买入,6680706,pdf_downloads/2025/2025-10-22/000729-燕京啤酒（000729）：U8保持良好增长，利润弹性持续释放.pdf,000729,燕京啤酒,燕京啤酒（000729）：U8保持良好增长，利润弹性持续释放
"朱会振,舒尚立",事件：公司发布2025年三季报，前三季度实现收入134.3亿元，同比+4.6%，实现归母净利润17.7亿元，同比+37.4%；其中25Q3实现收入48.8亿元，同比+1.6%，实现归母净利润6.7亿元，同比+26.1%。Q3销量维持稳健增长，吨价提升有所放缓。量方面，前三季度公司实现销量349.5万吨，同比增长1.4%；单三季度实现销量114.4万吨，同比+0.1%；其中公司大单品U8预计仍维持较快增速。价方面，随着整体产品结构持续提升，前三季度公司吨价同比+3.1%至3843元/吨水平，其中单三季度吨价为4263元/吨，同比+1.5%。单Q3吨价提升环比有所放缓，或与公司在旺季加大货折促销力度有关。产品结构提升+费用端降本增效，Q3利润率持续改善。前三季度公司毛利率为47.2%，同比+2.1pp；其中Q3单季度毛利率为50.2%，同比+2.2pp；毛利率提升主要系部分啤酒原材料价格持续下行，叠加U8放量带动产品结构升级所致。费用方面，25Q3公司销售费用率为13.8%，同比-0.1pp，主要由于公司积极控制渠道费投力度；25Q3管理费用率为10.1%，同比-0.9pp，主要系持续强化卓越管理体系与供应链建设，降本增效成效持续显现。综合来看，2025年前三季度/单三季度公司净利率分别同比+3.5pp/+2.8pp至15.3%/16.2%。U8全国化势能强劲，改革深化助力业绩稳增。1）产品端：公司将在全国范围内坚定贯彻U8大单品战略，借助U8产品之利打入弱势市场攫取份额，且基地市场依托U8持续提升产品结构；公司亦积极推出高端新品满足消费者个性化需求，整体高端化升级势能强劲。2）渠道端：公司25年在过往百县工程基础上启动百城工程，优选重点高线城市加大投入力度；此外公司亦积极开展与酒类即时零售平台等新兴渠道的合作，借力新渠道持续提升产品能见度和非主销区铺市率。3）改革方面，公司将持续深化包括生产、市场和供应链在内的九大变革，总部职能不断强化以提升管理效能。展望未来，随着管理改革与成本下行的红利持续，在U8全国化扩张强劲势能带动下，公司未来业绩值得期待。盈利预测与投资建议。预计2025-2027年EPS分别为0.54元、0.64元、0.74元，对应动态PE分别为23倍、19倍、17倍。维持“买入”评级。风险提示：原材料价格波动风险，高端化竞争加剧风险。,,西南证券,买入,[None],2025-10-22,,买入,6681487,pdf_downloads/2025/2025-10-22/000729-燕京啤酒（000729）：U8高增态势延续，Q3利润端持续改善.pdf,000729,燕京啤酒,燕京啤酒（000729）：U8高增态势延续，Q3利润端持续改善
