author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"方竞,张文雨",EMS龙头再出发，转型半导体封测业务。深科技是全球领先的EMS企业，成立于1985年，拥有30多年丰富的产品生产制造经验。公司在2015年成立子公司沛顿科技，进军存储封测业务。当前公司主营业务为存储半导体、高端制造和计量智能终端。2023年H1公司实现营收77.41亿元，同比增长2.5%，从业务结构来看，2023年H1高端制造、存储半导体、计量终端业务在收入中分别占比65.1%，17.6%，16.8%。2023年6月19日，原沛顿科技董事长周庚申出任深科技代行董事长，体现公司在半导体封测业务的积极布局与战略转型。存储封测业务打开成长空间。存储芯片在集成电路市场总规模中占据可观比重，据Gartner数据，2022年全球DRAM市场规模816亿美元，NAND市场规模605亿美元。从市场格局上，全球存储芯片市场被海外三大厂商三星、海力士、美光所垄断，据Trendforce数据，2022年Q4全球DRAM市场三星占据45.1%份额，海力士和美光分别占据27.7%和23.0%份额；据CFM闪存市场数据，2022年Q4全球NAND市场三星占据33.8%份额，铠侠、海力士、西数分别占据18.7%，16.7%，15.8%份额。而以长存长鑫为代表的国内存储厂商快速发展，带来国产供应链机遇。从封测端看，芯片制程持续升级，存储密度持续提高，提高了存储封测工艺要求。TSV、混合键合（HB）等新封装技术亦得到广泛应用。深科技在2015年收购沛顿科技100%股权，进军存储封测赛道。沛顿科技曾是美国金士顿科技公司于国内投资的外商独资企业，为包括金士顿科技在内的全球客户提供全方位的封测服务。收购完成后，公司相继多次引入产业资本、地方政府投资，扩建DRAM和NAND封装产能。2023年H1沛顿实现营收19.1亿元，同比增长50.2%。高端制造业务持续稳健。公司高端制造业务主要为电子设备制造，广泛覆盖消费电子、通信、硬盘、汽车电子与医疗电子等领域，在EMS行业深耕38年业务规模稳定。2023年H1，公司高端制造实现营业收入50.39亿元，毛利率8.46%。计量智能终端盈利成长性凸显。下游主要覆盖智能电表、水表、气表等产品，已有超过20年经验，广泛销售至全球40个国家，2023年H1公司再次中标国家电网项目，保持盈利能力，上半年该业务实现营收13.00亿元，同比增长103.28%，毛利率大幅提升至32.03%，同比提升15.4 pct，为公司贡献利润增量。投资建议：我们预计公司2023-2025年营收分别为175.13/194.88/215.30亿元，归母净利润分别为7.35/9.73/12.23亿元，对应现价PE分别为36/28/22倍。我们看好公司转型存储封测带来的成长性，首次覆盖，给予“推荐”评级。风险提示：半导体封测行业周期性变化；行业竞争加剧；客户导入不及预期。,,民生证券,推荐,[None],2023-11-23,,增持,5398813,pdf_downloads/2023/2023-11-23/000021-深科技（000021）：EMS龙头再出发，存储封测打开成长空间.pdf,000021,深科技,深科技（000021）：EMS龙头再出发，存储封测打开成长空间
"杨旭,王芳,赵晗泥",一、事件概述2021/8/25公司发布半年报，实现营收80亿元，同比+14%。二、分析与判断Q2业绩受消费电子业务拖累1）21H1：实现营收80亿元，同比+14%；毛利率9%，同比-3.0pct；归母净利润2.7亿元，同比+42%；扣非归母0.7亿，同比-76%。2）21Q2：实现营收41亿元，同比+14%，环比+8%；毛利率11%，同比-4.0pct，环比+3.0pct；归母净利润0.73亿元，同比-34%，环比-64%。扣非归母0.05亿，同比-97%，环比-93%。3）Q2业绩下滑主要受①手机业务亏损0.73亿元，同期小幅盈利；②深科技惠州支付员工分流安置费0.56亿元。存储封测：产能满载，合肥新厂房年底有望投产1）21H1实现净利润0.64亿元，同比-14%。本期出货量同比大幅增长，但受产品结构阶段性调整、研发投入、以及人员组建影响，业绩略有下滑。2）全球top、大陆第一+dram/nand/模组全覆盖+优质客户（金士顿、西部数据等）发展多年，技术客户俱佳。3）长鑫+长存引领大陆存储从0-1，公司已处于发展风口。长鑫/长存达产后营收体量各1000亿元，规划产能每月分别为36万片/30万片，2021年长鑫/长存产能预计将有望迅速拉升至12/8-10万片。目前公司深圳厂满负荷运行，合肥厂将加速扩产为大客户提供产能保障。4）2020年全球DRAM/NAND市场规模652/552亿美金，估算大陆DRAM/NAND市场规模222/204亿美金，大市场提供公司长期发展“赛道”。5）公司与合肥经开委合作，沛顿将与国家大基金二期、合肥经开投创和中电聚芯共出资30.6亿元设立合肥沛顿，出资比例（暨股权比）分别为55.88%/ 31.05%/ 9.8%/ 3.27%。其中首期出资4亿2020年已完成，2021/6月公司审议通过剩余出资。6）项目进展：2021/6完成一期主体结构封顶，有望于2021年年底实现产能。其他业务：手机业务剥离持续推进，其他业务提供稳定利润1）智能电表：成都子公司2021年营收8.5亿，同比-18%；净利润1.6亿，同比-16%。公司持续开拓海外市场，本期继续开拓阿拉伯、意、英、马来等国业务。2）消费电子：该业务长期亏损，本期因手机厂商原材料紧缺以及客户新品尚处研发期，主要经营该业务的桂林子公司亏损073亿，去年同期有小幅盈利。2021/6公司公告变更消费电子业务的剥离计划，由于领益智造的退出，公司持有的博晟科技持股比例由34%变更为48%，出表计划不变。公司积极推动业务整合，目前深科技惠州已完成业务搬迁。3）医疗器械：疫情期间，公司呼吸机产品市场稳中有增，病毒检测订单持续增加。4）汽车电子/超级电容：与知名汽车动力电池系统企业建立合作，已有数款量产；与国际领先的超级电容厂商形成长期稳定的合作。5）深科技城：彩田工业园一期项目C 座已封顶，预计2021年年底竣工，验收招商预租赁工作已正式启动。预计一期完工后，每年贡献5-6亿租金。,,民生证券,推荐,[None],2021-08-26,,增持,4599461,pdf_downloads/2021/2021-08-26/000021-深科技（000021）：沛顿项目顺利推进，Q2业绩主要受消费电子拖累.pdf,000021,深科技,深科技（000021）：沛顿项目顺利推进，Q2业绩主要受消费电子拖累
"闫慧辰,黄乐平",高端制造业务回暖，深科技业绩增势持续深科技1H21营收79.55亿元(YoY:14.4%)，归母净利润2.73亿元(YoY:42.3%)，其中2Q21营收41.28亿元(YoY:13.7%，QoQ:7.9%)，归母净利润0.73亿元（YoY:-34.0%，QoQ:-63.5%）。我们看好公司通过消费电子、通讯业务整合及存储封测业务产能导入而深化核心增长动能，维持公司21/22/23年归母净利润预测10.64/15.08/18.81亿元，维持预测公司21/22/23年EPS为0.68/0.97/1.21元。Wind一致预期下21年可比公司PE均值25.59倍，我们维持深科技34倍21年预期PE，目标价为24.48元，维持买入评级。2Q21利润下滑源于低毛利率业务占比提升和费用影响1H21营收增长主要源于高端制造业务回暖：1）抗疫延续及常规需求复苏带动医疗产品订单增加；2）数款汽车电子产品进入量产，但消费电子业务依然表现不佳。同时，高端存储增长但硬盘数据存储下滑导致存储业务表现平稳。由于高端制造业务占比提升但毛利率较低，1H21毛利率同比下滑2.7pct至8.95%。此外，公司1H21销售费用及管理费用增幅较大（分别增长46.7%和42.4%），主要系出口销售运费增加和深科技惠州支付员工分流安置费0.56亿元。同时金融衍生品到期交割受益减少，最终导致利润下滑。关注合肥沛顿项目扩产完成后的业绩弹性公司高端存储封测产能保持满负荷状态。公司年内完成非公开发行募集资金14.74亿元，全力扩建优质产能、推动合肥沛顿存储项目。项目一期已于今年6月顺利封顶，力争年内将形成有效产能，满产可实现月封测DRAM4800万颗，NAND 320万颗和内存模组246万条的产能。同时下半年硬盘数据存储也有望回暖。1H21因受封测业务产品结构阶段性调整以及研发投入增加、合肥沛顿存储公司筹建和人才队伍组建等影响，业务利润略有下降。长期看，存储业务将重塑公司业绩，带动公司毛利率和ROE的提升。消费电子资产整合持续推进，优化业务结构报告期内，公司持续推进通讯与消费电子业务资产整合事宜。公司已终止21年2月25日签署的《关于对外投资设立参股公司暨整合通讯与消费电子业务的公告》，并于6月18日与桂林高新集团重新签署新的投资协议，组建博晟科技，通讯与消费电子业务的整合事宜正持续推进。风险提示：半导体行业景气度不及预期；存储器国产替代进度不及预期。,,华泰证券,买入,[None],2021-08-26,,买入,4599345,pdf_downloads/2021/2021-08-26/000021-深科技（000021）：关注沛顿产能释放及公司资产整合.pdf,000021,深科技,深科技（000021）：关注沛顿产能释放及公司资产整合
王芳,"一、事件概述2021/6/18公司公告变更对外投资事项。二、分析与判断消费电子整合持续推进，不改出表计划公司公告变更消费电子业务的剥离计划。原计划中，公司和桂林高新、领益智造分别出资3.1/3.2/2.7亿元，分别持股34%/36%/30%共同设立博晟科技，收购全资公司全资子公司深科技桂林；更后，公司和桂林高新分别出资2.0/3.2亿元，分别持股48%/52%，出表计划不变，进度有望加快。战略发展方向：存储封测1）全球top、大陆第一+dram/nand/模组全覆盖+优质客户（金士顿、西部数据等）发展多年，技术客户俱佳。2）长鑫+长存引领大陆存储从0-1，公司已处于发展风口。长鑫长存达产后营收体量各1000亿元，规划产能每月分别为36万片/30万片，2021年长鑫/长存产能预计将有望迅速拉升至12/8-10万片。目前公司深圳厂满负荷运行，合肥厂将加速扩产为大客户提供产能保障。3）2020年全球DRAM/NAND市场规模652/552亿美金，估算大陆DRAM/NAND市场规模222/204亿美金，大市场提供公司长期发展赛道。厚安全垫提供支撑，传统智能制造提供至少约8亿净利1）智能电表：成都子公司2020年营收21亿，同增21%，净利润3.6亿，同增4%。公司持续开拓海外市场，本期新设印度、以色列子公司。2）医疗器械：呼吸机客户市场稳定，新产品获得放量，未来将加大投入家用医疗品，便携式及慢病管理类医疗器械。3）汽车电子/超级电容：与知名的动力电池系统企业长期合作，多产品实现稳定量产 , 预计未来五年CAGR为50%。全球最大的大容量单体生产制造基地，年产超300万只。投资建议预计21-23年公司营业收入分别为166/184/207亿元，归母净利润分别为10/13/15亿，对应估值分别为25/20/17倍，参考SW电子2021/6/18最新TTM估值40倍，我们认为公司被低估，维持“推荐”评级。风险提示中美贸易摩擦加剧，大客户出货量不及预期。",,民生证券,推荐,[None],2021-06-21,,增持,4535317,pdf_downloads/2021/2021-06-21/000021-深科技（000021）：消费电子整合持续推进，不改出表计划.pdf,000021,深科技,深科技（000021）：消费电子整合持续推进，不改出表计划
王芳,"一、事件概述2021/4/30公司公布2020年年报和2021年一季报。21Q1：实现营收38亿元，同增15%，环减13%。毛利率7.8%，同减2pct，环减2pct。实现归母净利润2亿元，同增146%，环减51%，位于预告区间顶部，其中公允价值变动收益较上年同期增加 4.7 亿元。归母扣非净利润0.6亿，同减39%，环增110%。其中存储封测产能利用率饱满，业绩大幅增长，消费电子业务亏损拖累业绩。二、分析与判断20年同比高增长1）2020年：实现营收150亿元，同增13%。毛利率11%，同增1.8pct。实现归母净利润8.6亿元，同增143%。其中智能电表、汽车电子、医疗业务表现亮眼，硬盘业务贡献稳定利润，消费电子拖累业绩。此外投资收益较上年同期增加1.9亿（联营公司昂纳科技集团进行私有化，公司出售股份获得1.79亿投资收益，持股比例下降至17.785%）、公允价值变动收益较上年同期增加3.8亿（主要为金融衍生品公允价值变动收益2.6亿）。归母扣非净利润3亿，同增90%。2）20Q4：实现营收44亿元，同增40%，环增21%。毛利率9.8%，同减2.5pct，环减1.4pct。实现归母净利润4.1亿元，同增431%，环增62%。战略发展方向：存储封测1）20年实现净利润0.85亿元，同增8%。2）全球top、大陆第一+dram/nand/模组全覆盖+优质客户（金士顿、西部数据等）发展多年，技术客户俱佳。3）长鑫+长存引领大陆存储从0-1，公司已处于发展风口。长鑫长存达产后营收体量各1000亿元，规划产能每月分别为36万片/30万片，2021年长鑫/长存产能预计将有望迅速拉升至12/8-10万片。目前公司深圳厂满负荷运行，合肥厂将加速扩产为大客户提供产能保障。4）2020年全球DRAM/NAND市场规模652/552亿美金，估算大陆DRAM/NAND市场规模222/204亿美金，大市场提供公司长期发展赛道。5）公司于2020年4月2日与合肥经开管理委员会签署《战略合作框架协议》，沛顿将与国家大基金二期、合肥经开投创和中电聚芯分别共出资30.6亿元设立合肥沛顿，按照出资比例其股权占比分别为55.88%、 31.05%、 9.8%、 3.27%。厚安全垫提供支撑，传统智能制造提供至少约8亿净利1）智能电表：成都子公司2020年营收21亿，同增21%，净利润3.6亿，同增4%。公司持续开拓海外市场，本期新设印度、以色列子公司。2）通讯及手机业务：该业务长期亏损，公司于2021年2月24日与桂林高新集团及领益智造签署《投资协议》共同设立博晟科技，分别持股34%/36%/30%，新设完成后将收购深科技桂林从而完成剥离，目前计划顺利推进中。3）医疗器械：呼吸机客户市场稳定，新产品获得放量，未来将加大投入家用医疗品，便携式及慢病管理类医疗器械。4）汽车电子/超级电容：与知名的汽车动力电池系统企业长期合作，多产品实现稳定量产 , 预计未来五年CAGR为50%。全球最大的大容量单体生产制造基地，年产超300万只。",,民生证券,推荐,[None],2021-05-06,,增持,4505196,pdf_downloads/2021/2021-05-06/000021-深科技（000021）：消费电子拖累业绩，持续看好存储封测赛道.pdf,000021,深科技,深科技（000021）：消费电子拖累业绩，持续看好存储封测赛道
"刘叶,胡剑","以存储芯片封测业务为成长主引擎，深科技业绩增势持续深科技20年营收149.67亿元(YoY:13.2%)，归母净利润8.57亿元(YoY:143.3%)，符合业绩快报（营收149.42亿元,归母净利润8.42亿元）。1Q21营收38.27亿元(YoY:15.2%)，归母净利润2.00亿元（YoY：146.0%），主要系：1）主营业务整体平稳发展，存储芯片封测供不应求；2）金融衍生品交割收益和公允价值变动收益合计 1.58亿。1Q21扣非归母净利润0.64亿元（YoY：-39.43%），主要系通讯业务出现较大幅度亏损。我们继续看好公司重点发展存储芯片封测，及通讯组装业务重组后带来业绩提升的潜力，预计21/22/23年EPS为0.72/1.03/1.28元，目标价24.48元，维持买入评级。2020年毛利率创20年新高，重视研发投入支撑战略转向根据年报，20年毛利率同比增长1.7pct至10.85%，为2001年以来新高，其中存储半导体业务在存储芯片封测业务拉动下，毛利率同比大幅度提升5.27pcts至14.98%，高端制造业务毛利率同比提升0.93pct至6.11%。2020年公司继续加强研发投入支撑战略转向，研发合计支出2.55亿元（YoY：22.6%），新申请专利107项，新获专利67项。2020年财务费用出现较大增长（2.71亿元， YoY 255.4%），主要系受2020年衍生品到期交割收益较2019年同期减少及美元汇率波动产生的外币评估产生损失的共同影响存储芯片封测业务收入强劲成长，合肥沛顿进展有望提速根据20年年报，公司存储芯片封测业务收入实现同比大幅度增长，全资封测子公司沛顿科技营收28.76亿元（YoY：169.5%），净利润0.85亿元（YoY：13.3%）。20年10月，深科技拟定增募资17.1亿与大基金二期共同投资新建合肥沛顿先进存储封测厂（总投资30.7亿元），根据年报，各方已完成首期合计4亿元出资，完成投资金额2.24亿元。据 3月5日合肥产投消息，至20年底，合肥长鑫12寸存储器晶圆制造基地项目提前达到4万片/每月产能，开始启动6万片/月产能建设，我们认为在国产存储器设计、制造自主化提速之际，作为存储器封测自主化关键项目的合肥沛顿进展有望提速。目标价24.48元，维持买入评级结合21年通讯组装业务经营承压及整合费用增加，我们预计公司21/22/23年归母净利润为10.64/15.08/18.81亿元（21/22年前值：11.07/15.11亿元），Wind一致预期下21年可比公司PE均值28.86倍，看好公司通过重组通讯组装业务整合和存储半导体封测业务聚焦深化的成长潜力，维持深科技34倍21年预期PE，目标价为24.48元（前值：25.75元），维持买入评级。风险提示：疫情反复致行业景气下行；存储器国产替代进度不及预期。",,华泰证券,买入,[None],2021-05-05,,买入,4504888,pdf_downloads/2021/2021-05-05/000021-深科技（000021）：储存芯片封测业务助推业绩持续增长.pdf,000021,深科技,深科技（000021）：储存芯片封测业务助推业绩持续增长
王平阳,事件：公司2020年营业收入149.67亿元，yoy+13.18%，归母净利润8.57亿元，yoy+143.3%。2021Q1，公司营业收入38.27亿元，yoy+15.17%，归母净利润2亿元，yoy+145.95%。投资要点存储封测需求强劲，电子制造业务整合稳步推升：公司2021Q1归母净利润同比增长145.95%。公司不断优化业务结构，重点布局存储半导体、自主产品、高端制造等业务。2021Q1，公司经营业务整体平稳发展，主营业务利润同比增长10.19%。其中：公司半导体存储芯片封测业务产能供不应求，封测业务收入同比大幅增长，并继续保持了良好的发展势头。公司高端制造业务中的消费电子业务报告期内仍承受了较大的经营压力，并出现较大幅度亏损，该业务整合按计划推进中。此外，公司金融衍生品到期交割收益与未到期的公允价值变动收益合计为1.58亿元，导致公司非经常性损益增加。2021Q1，公司毛利率7.78%，yoy-1.96pct，主要受消费电子制造业务的影响，净利率6.02%，yoy+2.9pct，主要受公允价值变动净收益带动。本土存储器封测龙头，在本土存储器封测产业链核心地位凸显：公司封测技术覆盖DRAM，NAND等高端存储芯片产品，具备DDR4、PDDR4、封测能力，并继续推动DDR5、GDDR5等新产品的技术开发；公司存储器先进封装技术与国际一流企业同步、测试技术布局完善，公司叠8层芯片已经量产，机台最大可以做到叠16层芯片，技术竞争力突出；目前公司已成为国内唯一具有从高端DRAM/Flash封测到模组制造完整产业链的企业，可在7天内完成封装晶圆到内存成品工序，在行业内处于领先水平，同时，公司也是国内最大的独立DRAM内存芯片封测企业，在本土存储器封测领域的龙头地位显著；当前公司在存储器封测领域大力投入，扩建深圳、合肥厂区产能，持续巩固和扩大竞争优势；公司存储器封测对接金士顿、合肥长鑫等国内外龙头客户资源，在国内存储器封测产业链核心地位凸显。EMS市场地位领先，剥离低附加值业务聚焦高成长领域：电子应用规模扩张和更新换代推动EMS市场持续发展。通过剥离低附加值业务，公司EMS聚焦医疗/新能源汽车/计量系统等高成长应用智能制造，根据MMI 2020年全球50大EMS代工厂榜单，公司业务规模居全球EMS厂商第14位、中国大陆第3位，市场优势地位显著。盈利预测与投资评级：我们维持公司2021/2022年归母净利润预测10.95/15.17亿元，预计2023年归母净利润21.42亿元，当前市值对应2021/2022/2023年PE为23/17/12倍，维持“买入”评级。风险提示：市场需求不及预期；新品推出不及预期；客户开拓不及预期。,,东吴证券,买入,[None],2021-05-04,,买入,4504027,pdf_downloads/2021/2021-05-04/000021-深科技（000021）2020年报、2021年一季报点评：优势业务持续拓展，未来成长可期.pdf,000021,深科技,深科技（000021）2020年报、2021年一季报点评：优势业务持续拓展，未来成长可期
"刘高畅,郑震湘,陈永亮",公司发布一季度业绩预告。公司2020Q1实现归母净利润1.6~2.0亿元，同比增长100~150%。报告期内，公司保持高端制造业务基础上，继续推进发展存储半导体业务。目前，半导体存储芯片封测业务产能仍供不应求，生产一直处于满负荷状态，封测业务继续保持了良好的发展势头。公司目前是国内唯一具有从集成电路高端DRAM/Flash 晶圆封装测试到模组成品生产完整产业链的企业。公司具备多层堆叠封装技术，是国内唯一具有与世界知名中央处理器制造商开展测试验证合作资质的企业，所经测试过的存储器产品可直接配套其服务器投向市场，协助国内产业链上下游实现其平台的快速验证。目前公司芯片封测产品主要包括DDR3、DDR4，LPDDR3、LPDDR4、eMCP、USB、eMMC、ePOP、SSD、3D NAND以及Fingerprint指纹芯片等，具备wBGA/FBGA等国际主流存储封装技术，在此基础上不断研发先进封装FlipChip/超薄晶圆隐形切割技术、嵌入式系统级芯片封装技术。定增加码存储产业，合肥设厂参与产业链深度合作。公司拟定增募集不超过17.1亿元，投入沛顿存储的存储先进封测与模组制造项目。项目出资方还包括大基金二期、合肥经开创投、中电聚芯等。合肥项目有利于未来更好地服务国内存储大客户，与产业链深度合作。存储市场空间巨大，国产化持续突破。根据 WSTS 的数据， 2020年全球存储器市场规模达1194亿美元，占全球半导体市场约1/4。国内需求空间巨大，但国产化率却相当低。国内存储双雄加速扩产。合肥长鑫从19nm向17nm转移，加速技术提升，在北京设厂进一步扩产。长江存储二期合计规划产能30万片。长江存储2019年开始量产64层3D NAND，在2020年4月发布128层3D NAND，未来将加速产能和良率爬升。作为国内电子产品先进制造企业，公司重点布局半导体封测，加快产业横向、纵向整合。预计随着国内存储产业逐渐成熟，存储国产化渗透不断提升，沛顿科技配套能力不断加强，具有较强成长确定性。同时，公司不断加快提升高端电子产品制造能力、推进深科技城项目、加快产业基地建设，综合竞争力有望不断提升。预计公司2020~2022年归母净利润分别为8.42/10.76/14.44亿元，维持“买入”评级。风险提示：下游需求不及预期、新厂房投建不及预期,,国盛证券,买入,[None],2021-04-12,,买入,4480672,pdf_downloads/2021/2021-04-12/000021-深科技（000021）：一季报超预期，存储封测供不应求.pdf,000021,深科技,深科技（000021）：一季报超预期，存储封测供不应求
王平阳,投资要点存储封测、电子制造等优势业务持续拓展，公司2021Q1业绩高速增长：公司预计2021年第一季度归母净利润同比增长100%-150%，报告期内，公司在保持现有高端制造核心业务基础上，聚焦发展存储半导体业务，持续优化业务结构，公司存储芯片封测业务产能仍供不应求，生产一直处于满负荷状态，封测业务继续保持了良好的发展势头。同时，公司不断加大创新力度，多措并举拓展优势业务，提高运营效率，公司整体生产、经营情况良好，主营业务利润比去年同期有一定幅度的增长。此外，公司充分运用金融衍生工具规避汇率波动风险，报告期内金融衍生品到期交割收益与未到期的公允价值变动收益之和同比有所增加，导致公司非经常性损益增加。本土存储器封测龙头，在本土存储器封测产业链核心地位凸显：公司封测技术覆盖DRAM，NAND等高端存储芯片产品，具备DDR4、PDDR4、封测能力，并继续推动DDR5、GDDR5等新产品的技术开发；公司存储器先进封装技术与国际一流企业同步、测试技术布局完善，公司叠8层芯片已经量产，机台最大可以做到叠16层芯片，技术竞争力突出；目前公司已成为国内唯一具有从高端DRAM/Flash封测到模组制造完整产业链的企业，可在7天内完成封装晶圆到内存成品工序，在行业内处于领先水平，同时，公司也是国内最大的独立DRAM内存芯片封测企业，在本土存储器封测领域的龙头地位显著；当前公司在存储器封测领域大力投入，扩建深圳、合肥厂区产能，持续巩固和扩大竞争优势；公司存储器封测对接金士顿、合肥长鑫等国内外龙头客户资源，在国内存储器封测产业链核心地位凸显。EMS市场地位领先，剥离低附加值业务聚焦高成长领域：电子应用规模扩张和更新换代推动EMS市场持续发展。通过剥离低附加值业务，公司EMS聚焦医疗/新能源汽车/计量系统等高成长应用智能制造，根据MMI 2020年全球50大EMS代工厂榜单，公司业务规模居全球EMS厂商第14位、中国大陆第3位，市场优势地位显著。盈利预测与投资评级：我们维持2020/2021/2022年归母净利润预测8.42/10.95/15.17亿元，对应2020/2021/2022年EPS为0.57/0.74/1.03元。当前市值对应2020/2021/2022年PE为34/26/19倍，维持“买入”评级。风险提示：市场需求不及预期；新品推出不及预期；客户开拓不及预期。,,东吴证券,买入,[None],2021-04-12,,买入,4480925,pdf_downloads/2021/2021-04-12/000021-深科技（000021）2021年一季度业绩预告点评：优势业务持续拓展，业绩高速增长.pdf,000021,深科技,深科技（000021）2021年一季度业绩预告点评：优势业务持续拓展，业绩高速增长
"刘高畅,郑震湘,陈永亮",公司目前是国内唯一具有从集成电路高端DRAM/Flash 晶圆封装测试到模组成品生产完整产业链的企业。公司具备多层堆叠封装技术，是国内唯一具有与世界知名中央处理器制造商开展测试验证合作资质的企业，所经测试过的存储器产品可直接配套其服务器投向市场，协助国内产业链上下游实现其平台的快速验证。目前公司芯片封测产品主要包括DDR3、DDR4，LPDDR3、LPDDR4、eMCP、USB、eMMC、ePOP、SSD、3D NAND以及Fingerprint指纹芯片等，具备wBGA/FBGA等国际主流存储封装技术，在此基础上不断研发先进封装FlipChip/超薄晶圆隐形切割技术、嵌入式系统级芯片封装技术。沛顿科技积累了丰富的生产运营经验，拥有完善的治理架构，专业化的管理团队和拥有精湛技术的工艺研发团队。凭借先进的制造技术，结合SAP物料管控，MES自动化产品信息系统，公司已逐步发展出一套务实、成熟、一体化的管理体系。同时，已制定异常产品批次追踪和处理机制，内部评审质量提升机制，客户标准资料和内部文件管控系统，供应商管理体系等多套品质管理系统，为提供高品质的芯片封装及测试服务保驾护航。定增加码存储产业，合肥设厂参与产业链深度合作。公司拟定增募集不超过17.1亿元，投入沛顿存储的存储先进封测与模组制造项目。项目出资方还包括大基金二期、合肥经开创投、中电聚芯等。合肥项目有利于未来更好地服务国内存储大客户，与产业链深度合作。存储市场空间巨大，国产化持续突破。根据 WSTS 的数据， 2020年全球存储器市场规模达1194亿美元，占全球半导体市场约1/4。国内需求空间巨大，但国产化率却相当低。国内存储双雄加速扩产。合肥长鑫从19nm向17nm转移，加速技术提升，在北京设厂进一步扩产。长江存储二期合计规划产能30万片。长江存储2019年开始量产64层3D NAND，在2020年4月发布128层3D NAND，未来将加速产能和良率爬升。作为国内电子产品先进制造企业，公司重点布局半导体封测，加快产业横向、纵向整合。预计随着国内存储产业逐渐成熟，存储国产化渗透不断提升，沛顿科技配套能力不断加强，具有较强成长确定性。同时，公司不断加快提升高端电子产品制造能力、推进深科技城项目、加快产业基地建设，综合竞争力有望不断提升。预计公司2020~2022年归母净利润分别为8.41/10.55/14.44亿元，首次覆盖，给予“买入”评级。风险提示：下游需求不及预期；项目投资进度不及预期,,国盛证券,买入,[None],2021-03-25,,买入,4466487,pdf_downloads/2021/2021-03-25/000021-深科技（000021）：国内存储封测龙头，投资合肥项目卡位布局.pdf,000021,深科技,深科技（000021）：国内存储封测龙头，投资合肥项目卡位布局
