author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"苏凌瑶,陶波",公司发布2023年半年度报告，营业收入和毛利率稳健增长，半导体装备规模化效应初显，自研机器人零部件取得进步。给予增持评级。支撑评级的要点营业收入和毛利率稳健增长。2023年上半年，公司营收15.05亿元，YoY+41%；毛利率12.0%，YoY+1.4pcts；归母净利润-0.73亿元，YoY+51%；扣非归母净利润-1.27亿元，YoY+35%。半导体装备规模化效应初显。2023年上半年，公司半导体装备营收0.92亿元，YoY+137%，毛利率21.9%，YoY+4.8pcts，规模化效应初步显现。公司EFEM和大气机械手市场份额持续提升，两轴、三轴、四轴真空机械手、真空装载机、真空预对准机相继进入研发和验证阶段。随着国内设备进口受限幅度加剧，公司在半导体设备零部件国产替代领域有望取得长足进步。自研机器人核心零部件有望增厚利润。2023年上半年，公司优化控制器轨道规划算法，并提升了机器人轨迹精度和运动节拍；自研伺服电机覆盖范围扩展至6kg至500kg机器人产品；自研减速器覆盖范围扩展至35kg至80kg产品。公司自研核心零部件技术将进一步降低产品成本。估值考虑到公司2023年上半年尚未实现净利润的扭亏为盈，随着公司半导体装备业务规模化效应初步显现，且自研机器人核心零部件业务有望带来增量利润，我们预计机器人2023/2024/2025年营业收入分别为42.62/48.46/53.46亿元，对应2023/2024/2025年PS分别为4.3/3.8/3.5倍。预计机器人2023/2024/2025年EPS分别为-0.09/0.02/0.14元，对应的PE分别为-139.2/527.5/85.1倍。给予增持评级。评级面临的主要风险制造业投资不及预期。工业机器人市场竞争加剧。公司降本增效进度不及预期。EFEM和真空机械手市场竞争加剧。公司EFEM和真空机械手验证进度和出货量不及预期。,,中银国际,增持,[None],2023-08-29,,增持,5303915,pdf_downloads/2023/2023-08-29/300024-机器人（300024）：半导体装备规模化效应显现，自研机器人核心零部件带来增量利润.pdf,300024,机器人,机器人（300024）：半导体装备规模化效应显现，自研机器人核心零部件带来增量利润
"周尔双,朱贝贝,陈显帆",机器人(300024)事件：公司2020年上半年实现营收12.35亿元，同比-1.9%；实现归母净利1.33亿元，同比-38.4%；扣非归母净利0.54亿元，同比-63.5%。投资要点2020H1业绩出现下滑，复工复产有望推动业绩恢复2020H1公司营收利润出现下滑，其中Q1受到的影响最大，主要系上下游企业经营活动受到新冠疫情的负面影响所致。公司90%以上的收入来源于国内，在全国疫情得到稳定控制的形势下，2020Q2机器人与智能制造市场需求开始升温。Q2单季度公司实现营收7.66亿，环比+64%；归母净利润0.89亿元，环比+107%。我们判断，随着复工复产的有序进行，公司下半年的业绩有望继续恢复。分产品来看，公司的工业机器人业务2020H1实现收入4.65亿元，同比+2.1%，营收占比为38%，成长为公司的第一大业务。2020H1中国工业机器人产量为9.38万台，同比+10.3%，我们判断，伴随着行业复苏，公司的机器人业务收入规模有望继续提升。物流与仓储自动化成套设备收入为4.07亿元，同比-3.7%；自动化装配与检测生产线及系统集成收入为2.76亿元，同比-18.3%；交通自动化系统收入为0.34亿元，同比-19.7%。公司2020H1毛利率维持稳定，净利率下降明显2020H1公司毛利率为27.45%，同比-0.2pct。分业务看，物流与仓储自动化成套设备/工业机器人/自动化装配与检测生产线及系统集成的毛利率分别为26.3%/26.9%/30.1%，分别同比-2.9/-1.0/+4.4pct。2020H1公司净利率10.86%，同比-5.8pct。期间费用率合计22.4%，同比+1.5pct，其中管理费用率、财务费用率、销售费用率分别为15.58%/2.84%/4.01%，分别同比+1.6/-0.2/+0.1pct。其中研发费用0.5亿元，研发费用率4.03%，同比+0.7pct，继续加大技术布局。合同负债较大幅度增加，近期有望贡献业绩增量截至2020H1末，公司存货15.9亿元，较2019年末下降15亿元，主要是由于会计政策变更，公司将原存货中建造合同形成已完工未结算资产重分类至合同资产所致；2020H1公司合同负债/预收账款2.0亿元，较2019年末增加0.4亿元。合同负债的增加，相应表明公司销售规模在增加，我们预计将为公司近期业绩贡献增量。不断拓宽机器人应用领域，进军半导体领域成效显著2020年8月，公司发布定增预案，募集资金约18个亿，其中14.5亿用于投资半导体装备项目，进一步提高高端装备领域的产业规模，我们认为半导体装备有望在未来成为公司新的业务增长点。公司目前在半导体装备领域的主要产品有洁净机器人、大气机械手、EFEM、真空传输平台、OHT、STOCKER等。其中，洁净真空机器人的难度远远超过一般工业中使用的机器人，而公司是目前国内唯一的洁净真空机器人供应商，产品与美国供应商产品性能一致，可以实现直接替代。随着公司半导体装备产品线的不断丰富，公司从半导体设备供应商向半导体系统解决方案供应商转变。我们判断，公司多年来在泛半导体领域精耕细作，未来市占率和市场影响力将不断提升。盈利预测与投资评级：我们预计公司2020-2022年净利润分别为2.20/2.57/2.99亿，对应PE为114/97/84，维持“增持”评级。风险提示：工业机器人销量低于预期，新产品推广低于预期。,,东吴证券,增持,[None],2020-08-28,,增持,4320297,pdf_downloads/2020/2020-08-28/300024-机器人（300024）：受疫情影响业绩低于预期，静待行业复苏.pdf,300024,机器人,机器人（300024）：受疫情影响业绩低于预期，静待行业复苏
"关东奇来,李倩倩,黄波",机器人(300024)2019年业绩同比下降，关注机器人行业本土龙头长期发展潜力2019年收入27.45亿元/yoy-11%，归母净利润2.93亿元/yoy-35%，业绩低于我们预期。我们认为，海外疫情加剧、全球经济承压对行业需求及公司短期业绩增长带来较大压力，同时产业长期机遇仍值得关注：1）工业机器人实际应用效果正从替代人工变为提升制造效率、稳定产品品质及降低库存，人口结构变化将长期推动中国智能制造升级，中国与其他制造强国在机器人密度上的差距有望缩小；2）“新型基建”投资发力，机器人产业作为工业互联网发展的核心硬件支撑，5G时代有望加快发展。预计20~22年EPS为0.19（前值0.33）、0.21（前值0.40）、0.23元，“中性”评级。行业景气度短期承压，但机器人行业及公司长期成长趋势不改2019年受宏观经济及中美贸易摩擦等影响，机器人下游行业资本开支趋于谨慎，投资减缓，汽车、3C等行业需求下降，且市场竞争加剧致项目毛利率下降，对公司业绩产生一定影响。2019年毛利率27.92%/yoy-3.55pct，期间费用率23.61%/yoy+6.28pct（研发投入加大、全球网络化布局所致），净利率10.67%/yoy-3.85pct。据国家统计局数据，2020年1-3月国内机器人产量同比下滑8%，其中3月同比增12%。我们认为，国内疫情对一季度生产等方面的影响已经有序化解，海外疫情加剧、全球经济承压对机器人行业需求仍带来一定风险，但行业中长期的成长潜力仍值得关注。国内唯一一家洁净机器人供应商，半导体装备产品线不断丰富公司目前形成了包括洁净机器人、EFEM、Stocker、Mask搬运系统等的半导体装备布局。2019年主要进展包括：1）洁净机器人系列持续批量销售，真空机械手需求增加，依托大负载技术领先优势继续衍生新型号真空机器人，从性能指标到应用可无缝替代进口；2）EFEM产品化进程取得新突破，已经在国内多个设备厂及终端用户通过验证，部分型号已获批量订单，标志公司在高端半导体刻蚀机及其工艺技术领域开始实现国产化批量供应。3）8、12寸真空平台交付客户验证，相关设计已经申请专利技术；4）立式炉Stocker产品实现客户端导入，最新兼容款产品完成设计工作。技术研发底蕴深厚的机器人行业本土龙头，维持“中性”评级公司拥有完整机器人产业价值链，产品线布局多元化，行业与客户覆盖多样化，半导体装备布局潜力大。考虑到海外疫情加剧、全球经济承压或对机器人下游行业投资信心产生一定影响，我们下调2020、2021年公司收入预测，预计2020~2022年归母净利润为3.0（前值5.1）、3.3（前值6.2）、3.7亿元，对应PE为70、64、57倍。可比公司2020年PE均值为38倍（wind一致预测）。相比国内同行，公司具备技术/人才/品牌/项目经验优势；相比国外同行，公司具备成本/综合服务优势，我们认为目前的估值溢价是公司行业优势地位的体现，维持“中性”评级。风险提示：全球经济下行及海外疫情加剧；下游行业景气度下行及资本开支下降；市场竞争加剧；经营管理和人力资源不匹配发展需求；技术研发不及预期；毛利率大幅下降；应收账款出现大额坏账；存货发生大幅跌价。,,华泰证券,中性,[None],2020-04-28,,中性,4226725,pdf_downloads/2020/2020-04-28/300024-机器人（300024）：短期业绩承压，关注长期发展潜力.pdf,300024,机器人,机器人（300024）：短期业绩承压，关注长期发展潜力
"黄波,章诚,李倩倩,关东奇来",经营稳健的国产机器人龙头，首次覆盖，“中性”评级公司是国产机器人龙头，拥有完整机器人产业价值链，产品线布局多元化，行业与客户覆盖多样化。公司经营稳健，业绩短期承压，但具有较强的抗风险能力。相比国内同行，公司具备技术/人才/品牌/项目经验优势；相比国外同行，公司具备成本/综合服务优势。预计公司2019-21年EPS为0.28/0.33/0.40元，PE为49/42/34倍。给予20年PE估值40~44倍，目标价13.09~14.40元。目前估值溢价已体现其优势地位，首次覆盖，给予“中性”评级。工业机器人：2020-22年有望恢复平稳增长，长期来看仍具有成长性受到全球汽车/电子行业景气度下滑、贸易摩擦的不确定性影响，相关制造业资本开支或将缩减及延后，全球工业机器人2019年的销量或出现小幅下滑；而2020-22年，全球销量有望出现恢复性增长，增速趋于平稳。我们依然看好中国工业机器人市场中长期的发展潜力。19年1-6月公司工业机器人业务收入逆势增长23%。考虑到海外龙头规模较高的“天花板”、国内市场进口替代的广阔空间以及公司国产龙头地位，我们预计20-21年公司工业机器人业务增长有望高于行业整体增速。物流与仓储自动化：行业相对分散，智能物流综合实力增强社会物流成本加速回落，物流行业效率相比发达国家仍存提升空间，自动化渗透率仍然较低。物流与仓储自动化行业看重产品实力、项目实施经验以及资金周转能力，全球龙头立足于2~3个优势领域，向其他领域进行横向拓展。19年1-6月公司物流与仓储自动化业务收入同比增长10.7%，增速较18年1-6月下降22.1pct。考虑到项目人员扩张速度的限制以及项目长周期的特性，我们预计20-21年该业务收入将保持低速增长。新业务布局长远发展：半导体装备+特种机器人+智能服务机器人1）实现对半导体制造前端自动化传送设备的进口替代，拥有独立知识产权，产品获华创/中微/华星光电等客户认可，收购新盛FA完善产业链布局；2）特种机器人业务形成系统化管理和运营，2018年累计获得订单5.43亿元；3）服务机器人完善产业生态圈，2018年首批200台销往欧洲市场，医疗机器人产品储备增强，部分产品进入临床阶段。具备较强的抗风险能力，首次覆盖，“中性”评级我们预计公司2019-2021年收入为31.91/35.86/40.33亿元，归母净利润为4.36/5.11/6.16亿元，对应EPS为0.28/0.33/0.40元，PE为49/42/34倍。可比公司2020年PE均值为32.5倍。考虑到公司的龙头地位与较强的抗风险能力，给予公司2020年PE估值40~44倍，相对可比公司溢价率为23%~36%，目标价13.09~14.40元。目前估值溢价已体现公司的优势地位，首次覆盖给予“中性”评级。风险提示：下游行业投资增速下降；市场竞争加剧；经营管理和人力资源不匹配发展需求；技术研发不及预期；毛利率大幅下降；应收账款出现大额坏账；存货发生大幅跌价。,,华泰证券,中性,[None],2019-11-20,,中性,4019231,pdf_downloads/2019/2019-11-20/300024-机器人（300024）：经营稳健的国产机器人龙头.pdf,300024,机器人,机器人（300024）：经营稳健的国产机器人龙头
"周尔双,朱贝贝,陈显帆","事件：公司2019年H1实现营收12.58亿，同比+2.23%；归母净利2.15亿元，同比+1.12%；扣非归母净利1.48亿元，同比-27.70%。    
    投资要点    
    工业机器人领域再获突破，不断发展新的业务增长空间    
    公司业绩在2019年H1下游行业投资放缓的背景下，仍然实现了正增长。    
    分业务来看，2019年H1工业机器人板块收入4.56亿元，同比+23.01%，2019年Q1国内工业机器人销量同比下滑11.70%，上半年工业机器人下滑10.10%，公司机器人业务逆势增长原因在于机器人应用领域拓宽；物流与仓储自动化成套装备板块收入4.22亿元，同比+10.72%；自动化装配与检测生产线及系统集成板块收入3.38亿元，同比+2.89%；交通自动化系统板块业务收入4205万元，同比-56.41%。    
    值得注意的是：2019H1扣非利润大幅下降28%的原因是2019H1非经常性损益是6726万元（其中政府补助有8800万元），2018H1的非经常性损益是816万元。    
    盈利能力大幅下滑，期间费用率上升    
    2019年H1综合毛利率27.68%，同比-6.26pct，盈利能力大幅下滑原因主要在于：1）占营收比重36%的工业机器人业务由于制造业企业资本开支放缓和机器人行业整体销量不景气带来的毛利率下滑了3个百分点；2）收入占比34%的物流与仓储自动化业务由于行业竞争加剧带来的毛利率下滑了4个百分点；ROE（加权）3.45%，同比-0.08pct，略有下滑；净利润率为16.61%,同比-0.8pct，净利率略下滑，由于非经常性损益占比净利润的比例达31%。    
    2019H1期间费用率合计为20.95%，同比+4.27pct；销售费用率3.87%，同比+0.23pct；管理费用率（包含研发费用）14.03%，同比+1.76pct，增长原因主要在于研发费用率增长幅度较大，2019年H1为3.37%，同比+2.4pct；财务费用率为3.05%，同比+2.27pct，主要原因在于利息费用增长过快所致。    
    不断拓宽机器人应用领域，进军半导体领域成效显著    
    公司积极拓宽机器人应用场景。2019年H1，公司完成国产移动机器人在重型卡车装配线上的首次应用，该项目首次实现双车联动装配；公司与全球第二大港口运营商PSA新加坡港务集团合作，首次将移动机器人成功应用在港口领域，该款移动机器人额定负载高达65吨，定位精度±5cm，最大运行速度7m/s，制动距离
    公司半导体装备主要包括洁净机器人系列产品、EFEM、Stocker、Mask搬运系统等。目前公司是国内唯一一家洁净机器人供应商，公司已占据EFEM产品国内主导市场地位。随着公司半导体装备产品线的不断丰富，公司从半导体设备供应商向半导体系统解决方案供应商转变。公司多年来在泛半导体领域精耕细作，未来市占率和市场影响力将不断提升。    
    盈利预测与投资评级：    
    公司作为我国机器人行业龙头，主业业务在下游行业下滑情况下，仍然维持正增长。2019年半导体板块不断取得突破。预计公司2019-2021年实现归母净利润4.43/5.26/5.93亿元，对应PE52/44/39X。基于公司在技术、市场上优势，以及行业自身逐渐复苏的趋势，维持“增持”评级。    
    风险提示：工业机器人销量低于预期，新产品推广低于预期。",,东吴证券,增持,[None],2019-08-25,,增持,3883603,pdf_downloads/2019/2019-08-25/300024-机器人（300024）：业绩低于预期，工业机器人业务逆势增长.pdf,300024,机器人,机器人（300024）：业绩低于预期，工业机器人业务逆势增长
"倪正洋,周尔双,陈显帆","机器人(300024) 
    
   投资要点 
    
   辅助机器人项目获财政拨款， 国家持续增大机器人行业支持力度： 科技部近期公示了 2018 年度国家重点研发计划“智能机器人”重点专项项目，公司申报的“面向半失能老人的辅助机器人技术与系统”项目获中央财政拨款，体现公司在智能机器人行业的龙头地位。本次国家公示的项目牵头承担单位总共计 50 家，目前已公布的项目经费总额超 5.3 亿元。 体现国家对智能机器人行业支持力度不断加大。 
    
   18 年扣非归母净利同比+23%， 19Q1 业绩增速中枢预计同比+15%： 公司 2018 年实现营收 30.95 亿元，同比+26.05%；归母净利润 4.49 亿元，同比+3.93%；扣非归母净利润 3.61 亿元，同比+23.18%。分板块看， 主要板块均实现较为增长。其中工业机器人收入 9.35 亿元，同比+22.06%，物流与仓储自动化收入 9.70 亿元，同比+35.41%，自动化装配检测及系统集成收入 8.23 亿元，同比+7.59%，交通自动化收入 3.62 亿元，同比+85.05%。 此外，公司披露 2019 年一季度业绩预告， 预计实现归母净利润 6391 万元~7608 万元，同比+5%~25%，持续稳健增长。 
    
   行业暂处低谷，政策支持+行业自身增长属性带动行业回暖： 机器人是高端制造投资升级的重要资本开支， 目前行业暂处低谷期。 根据国家统计局，以国内工业机器人产量同比数据进行分析， 2018 年 9 月起工业机器人单月产量增速转负，至 2019 年 2 月，产量仍同比下滑。但随着国内 PMI 指数 3 月重新站上 50，国家对制造业的宽松政策持续释放，包括减税、宽松贷款环境等措施提振制造业投资信心， 叠加机器人整体行业目前渗透率仍低，自身成长性依然出色，我们预计工业机器人销量也将逐渐触底回暖。 
    
   机器人行业龙头地位突出，进军半导体成效显著： 公司是中国机器人产业 TOP10 核心牵头企业， 龙头地位突出。 SCR5 协作机器人获世界机器人大会最具创新产品奖； 2018 年承揽纸业行业第一条全自动化生产线。此外，公司设立半导体装备 BG， 打破国外半导体设备前端自动化传输领域的封锁；新型 EFEM 产品通过华创、中微等客户验证，获得批量订单；完成对韩国新盛 FA 公司 80%股权的收购。 总的来看，公司进军半导体产业成效显著，未来该板块业务有望持续放量。 
    
   盈利预测与投资评级： 公司作为我国机器人行业龙头，主业业务持续增长。 2018 年公司进军半导体市场，同样取得显著成效， 半导体市场有望成为公司未来重要业绩增长点。预计公司 2019-21 年实现归母净利润6.05/7.95/9.85 亿元，对应 PE 48/36/29 X。 基于公司在技术、 市场上优势，以及行业自身逐渐复苏的趋势，维持“增持”评级。 
    
   风险提示： 行业竞争加剧；市场复苏低于预期；半导体市场拓展低于预",,东吴证券,增持,[None],2019-04-11,,增持,3704389,pdf_downloads/2019/2019-04-11/300024-机器人（300024）：业绩稳步提升，国家支持持续加大.pdf,300024,机器人,机器人（300024）：业绩稳步提升，国家支持持续加大
黄文忠,"事件：
    
    公司发布年报，2018年公司实现营业收入30.95亿元，同比增长26.05%；归属上市公司股东净利润4.49亿元，同比增长3.93%；
    
    实现归属上市公司股东的扣除非经营性损益后的净利润3.61亿元，同比增长23.18%。
    
    事件点评：
    
    物流与仓储系统维持快速增长，交通自动化系统业务增长显著。公司归属上市公司股东净利润增速之所以低于扣除非经营性损益后的净利润增速，主要因公司2018年计入当期损益的政府补助为1.12亿元，较上年减少5,855.60万元。业务板块方面，工业机器人业务销售收入9.35亿元（同比+22.06%），物流与仓储自动化成套装备业务销售收入9.70亿元（同比+35.41%），自动化装配与检测生产线及系统集成业务销售收入8.23亿元（同比+7.59%），交通自动化系统业务收入3.62亿元（同比+85.05%）。公司四大业务板块中，物流与仓储系统维持快速增长，为公司业务的主要增长动力；交通自动化系统大幅增长，销售收入首次突破3亿元。
    
    工业机器人强化行业地位，行业应用实现新突破。1）工业机器人强化行业地位。公司完成负载20KG的协作机器人与复合机器人的产品定型，研发出第二代乒乓球机器人庞伯特。报告期公司协作系列机器人成功进入汽车、家电、半导体及医疗行业，打开协作机器人市场化的新局面。2）工业机器人行业应用实现新突破。工业机器人在船舶、重型机械、铸管、阀门精密铸造等行业实现应用方面的新突破；公司已与中国船舶、中船重工两大集团开展合作，将机器人融入船体制造的生产工艺流程；公司完成全国首套应用于阀门精密铸造行业的机器人生产线；此外，公司参与港珠澳大湾区重要的交通枢纽“深中通道”项目的建设，实现公司工业机器人首次在隧道工程建设中成功应用。
    
    经营性现金流大幅改善。报告期内，公司加强应收账款管理，销售回款好转，销售商品提供劳务收到的现金与营业收入之比为93.30%，较上年提升8.41pp。经营活动现金流净额2015年以来首次转正，2018年为5,463万元，上年为-3.86亿元。
    
    投资建议：
    
    我们预计公司2019-2021年的归母净利润分别分别为5.57亿元、7.88亿元和8.89亿元，对应EPS分别为0.36元、0.50元和0.57元。2019-2021年，当前股价对应P/E分别为55倍、40倍和35倍。考虑物流与仓储业务维持快速增长，半导体开启新征程，韩国新盛FA公司业绩贡献可期，我们维持其“增持”投资评级。
    
    风险提示：
    
    工业机器人下游需求持续放缓，半导体业务发展不及预期，行业竞争加剧。",,长城国瑞证券,增持,[None],2019-03-20,,增持,3681410,pdf_downloads/2019/2019-03-20/300024-机器人（300024）：物流与仓储维持快速增长，半导体开启新征程.pdf,300024,机器人,机器人（300024）：物流与仓储维持快速增长，半导体开启新征程
范益民,"进军半导体行业将提升工业机器人及自动化系统集成业务的天花板：公司已于2018年设立了半导体装备事业群，未来将面向芯片和面板制造提供自动化解决方案。公司在半导体行业系统集成领域已研发出洁净机器人、晶圆加工真空传导平台等产品，并已通过国产半导体设备龙头华创和中微等客户的验证，获得批量订单。另外，公司在2017年已通过子公司完成了韩国新盛80%股权的收购，新盛的工厂自动化在全球半导体与面板享誉盛名，未来有望通过优势互补，携手打开国内巨大的半导体自动化系统集成市场。公司在工业、协作、移动机器人等领域产业规模上均处于领先地位，在当前我国整体工业景气下滑的现状下，通过加快在半导体等新兴、高端领域布局，将显著提升公司工业机器人及自动化系统集成业务的天花板。
    
    投资建议：我们预测公司2019-2021年营业收入分别为38.24亿元、47.49亿元、59.15亿元；归母净利润分别为5.61亿元、7.21亿元、8.95亿元；按当前股价及盈利预测，2019年PE为55倍，考虑到公司在工业机器人集成、仓储物流自动化、智能交通等领域较强的竞争力，以及公司积极进军半导体、服务机器人，并利用品牌优势加大在智慧工厂和工业互联网领域的布局，我们给予“增持-A”评级。",,华金证券,增持-A,[None],2019-03-18,,增持,3679791,pdf_downloads/2019/2019-03-18/300024-机器人（300024）：物流与交通业务发力，进军半导体提升自动化集成天花板.pdf,300024,机器人,机器人（300024）：物流与交通业务发力，进军半导体提升自动化集成天花板
"何敏仪,张豪杰","2018年业绩平稳增长，第四季度利润有所下滑。2018年，公司实现营收30.9亿元，同比增长26.1%；实现归母净利润4.5亿元，同比增长3.9%。2018年经济下行压力凸显，工业机器人行业下游自动化改造需求减弱，影响公司业绩的快速增长。第四季度，公司实现营收10.2亿元，同比增长31.2%，环比增长20.9%；实现归母净利润1.2亿元，同比降低24.3%，环比增长3.4%。第四季度，公司经营压力显现，利润同比有所下滑，但营收仍实现较快增长。2018年，公司工业机器人/物流仓储自动化/自动化装配与检测生产线/交通自动化系统业务收入分别同比增长22.1%/35.4%/7.6%/85.1%，物流仓储、交通自动化业务实现较快增长。
    
    2019年一季度经营状况出现边际改善，业绩趋于平稳。2019年一季度，公司预计实现归母净利润6391.0万元-7608.3万元，预计同比增长5%-25%。2019年一季度，公司主营业务收入持续稳定增长，归母净利润同比出现提升，业绩迎来边际改善。公司订单量稳中趋好，细分领域拓展初显成效。
    
    2018年盈利能力有所降低，现金流情况明显改善。2018年，公司毛利率达31.5%，同比降低1.8pct；净利率达14.7%，同比降低3.4pct。工业机器人/物流仓储自动化/自动化装配与检测生产线/交通自动化系统毛利率分别为28.8%/30.8%/36.4%/28.2%，分别同比降低1.2/0.6/1.4/2.7个百分点。公司各项业务毛利率均出现同比下滑现象，盈利能力进一步减弱。2018年公司经营活动现金净流量达5462.7万元，同比增加4.4亿元；第四季度经营活动现金净流量达5.4亿元，改变前三季度现金流为负的状况，公司销售回款大幅增加，现金流情况明显改善。
    
    多领域积极布局，构建全产业链竞争优势。公司已形成以自主核心技术、核心部件、核心产品及行业系统解决方案为一体的全产业价值链。业务涵盖工业机器人、移动机器人、洁净机器人、特种机器人、服务机器人等全系列机器人产品，并积极拓展数字化工厂业务。2018年，公司协作系列机器人成功进入汽车、家电、半导体及医疗行业；并开拓以芯片制造、面板制造为代表的泛半导体领域，提供设备与自动化解决方案。
    
    投资建议：公司是我国机器人行业龙头企业，积极构建全产业链竞争优势。我们预计公司2019/2020年的每股收益分别为0.34/0.43元，当前股价对应PE分别为57.5/46.3倍，给予公司“谨慎推荐”评级。",,东莞证券,谨慎推荐,[None],2019-03-15,,增持,3678506,pdf_downloads/2019/2019-03-15/300024-机器人（300024）：机器人行业龙头企业，全面布局构建竞争优势.pdf,300024,机器人,机器人（300024）：机器人行业龙头企业，全面布局构建竞争优势
刘兰程,"1．事件公司发布2018年年报，2018年公司实现营业收入30.95亿元，比上年同期增长26.05%；实现归属上市公司股东的扣除非经营性损益后的净利润3.61亿元，比上年同期增长23.18%。公司发布2019年一季度业绩预告，一季度公司主营业务收入持续稳定增长，归属于上市公司股东的净利润预计为6391.00-7608.34万元，同比增长5%-25%。2．我们的分析与判断（一）各版块业务均有增长，交通自动化增长较快根据公司公告，2018年公司营收为30.95亿，同比增长26.05%，主营业务智能装备制造营收为30.91亿元，同比增长26.49%，毛利率为31.39%，比上年同期下滑1.55pct；其中工业机器人业务营收为9.35亿，同比增长22.06%；物流与仓储自动化成套设备营收为9.70亿，同比增长35.41%；自动化装配与检测生产线及系统集成营收为8.23亿元，同比增长7.59%；交通自动化系统营收为3.62亿，同比增长85.05%。公司三费均有不同程度上涨，其中销售费用增长31.37%，管理费用增长10.61%，财务费用增长291.60%，主要为公司贷款利息费用增加影响。公司继续增加研发投入，2018年研发人员数量继续上升，研发投入金额为1.95亿元，同比增长18.40%，研发投入占营业收入比例为6.30%，维持在较好水平。2018年资本化研发支出占研发投入比例为35.23%，比上年增长3.37pct；占当期净利润比重为15.09%，比上年增长3.37pct。（二）中国工业机器人产量出现下滑，长期看仍有较大增长空间受全球经济增速放缓、中美贸易战等因素影响，2018年中国汽车、消费电子（智能手机等）等销量下滑，而工业机器人最大的下游客户为汽车及消费电子行业，因此2018年9月份以来中国工业机器人产量也出现了近年来的首次下滑。根据国际机器人联合会（InternationalFederationofRobotics以下简称IFR）的统计数据，中国工业机器人市场仍将维持较快速度增长，2018-2020年销量复合增速有望达22%，除汽车、
3．投资建议我们认为随着人工成本的增加，工业机器人和物流仓储自动化未来仍有较大市场空间，除此之外，公司与国防领域合作的特种机器人也存在较大蓝海市场，公司主业有望保持稳定增长。我们预计2019-2021年公司EPS分别为0.35/0.41/0.45元，对应PE为56/48/44倍，维持“谨慎推荐”评级。4．风险提示工业机器人行业竞争加剧、下游投资下滑等。",,银河证券,谨慎推荐,[None],2019-03-15,,增持,3678600,pdf_downloads/2019/2019-03-15/300024-机器人（300024）：各项业务稳健增长，扣非利润增速较快.pdf,300024,机器人,机器人（300024）：各项业务稳健增长，扣非利润增速较快
