author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"谢春生,范昳蕊",2025年11月02日│中国内地 计算机应用 公司发布2025年三季报，前三季度实现营业收入28.39亿元，同比增长4.72%，实现归母净利润-6.17亿元，去年同期为-11.76亿元，扣非净利润-9.32亿元，亏损同比减少28.47%。其中，25Q3营业收入10.96亿元，同比增长18.22%，归母净利润1.53亿元，24Q3为-3.56亿元，实现上市以来Q3单季度归母净利润首次转正，扣非净利润-1.62亿元，亏损同比减少63.93%。25Q3销售回款12.24亿元（同比+70.53%），经营性现金流净额1.01亿元（同比+118.47%），核心财务指标表现强劲，实现历史性突破。我们看好公司作为网络安全行业龙头的长期竞争力，维持“买入”评级。期间费用率显著下降，销售回款大幅改善2025前三季度公司毛利率为52.27%，同比下降3.55pct，三费总额同比大幅下降4.20亿元，为利润端改善提供了坚实基础，销售/管理/研发费率分别为35.59%/12.11%/29.41%，同比下降7.77/2.45/8.93pct。2025Q3公司毛利率为51.62%，同比下滑1.79pct，销售/管理/研发费率分别为28.10%/9.57%/22.37%，同比下降11.33/4.71/12.53pct。2025前三季度公司销售回款为28.81亿元，同比增长12.72%，单三季度销售回款12.24亿元，同比增长70.53%。公司经营效率持续提升，费用控制成效显著。深化渠道改革，行业地位持续巩固渠道改革方面，7月公司召开全国渠道合作伙伴大会，释放超2万家指名客户，推进渠道与省分区业务本地化融合，升级“江河平台”，优化项目报备机制，提升商机转化率，推出21款渠道专属分销产品及限时促销爆品，强化市场竞争力。行业地位方面，公司凭借在漏洞报送、威胁情报共享等领域的突出表现，斩获多项国家级荣誉。在“AI+安全”领域，AISOC产品在某全球知名豪华车企落地，大模型卫士系统获权威认证，发布“大模型安全护栏”，彰显全面布局与领先地位。在IDC、赛迪等权威报告中，公司连续多年在多个细分市场位居第一，行业地位进一步巩固。大客户战略成果显著，客户结构不断优化公司坚定执行大客户战略，第三季度在金融、能源、制造、烟草、工控及政府等多个重点行业连续斩获千万级及五百万级以上大单。前三季度客户结构持续优化，企业级客户收入占比高达78.26%。百万级以上客户贡献收入占比超70%，五百万级以上客户占比近50%，客户粘性与价值持续提升。金融、运营商、特种、制造业、能源及信息技术六大核心行业合计收入贡献接近70%，其中运营商与制造业收入同比增速分别达60%和46%，显示出强劲的行业竞争实力。盈利预测与估值维持盈利预测，我们预计2025-27年收入分别为51.37/60.70/71.76亿元。参考可比公司Wind平均4.9倍26PS，考虑公司是中国电子体系稀缺安全平台及新兴安全产品加速放量，给予公司6.0倍26PS，目标价53.38元（前值52.48元，对7.0倍25PS，可比均值5.7x）。风险提示：政府支出压力增大；市场竞争加剧。,,华泰证券,买入,[None],2025-11-02,,买入,7298276,pdf_downloads/2025/2025-11-02/688561-奇安信（688561）：25Q3业绩实现历史性突破.pdf,688561,奇安信,奇安信（688561）：25Q3业绩实现历史性突破
"吴鸣远,胡昕安",事项:公司发布 2025 年半年度报告:2025 年上半年，实现营业收入17.42亿元，同比下滑 2.30%;归母净利润亏损 7.7 亿元，上年同期亏损 8.2 亿元;归母扣非净利润亏损 7.7 亿元，上年同期亏损8.54 亿元。评论:三费呈下降趋势，人效提升。2025 年上半年公司实现营业收入17.42亿元，同比减少 2.30%，主要受到宏观经济、产业政策、行业竞争态势等因素的影响。利润方面同比亏损收窄，主要系费用侧投入减少，其中三费(研发费用、销售费用、管理费用)总额为 15.30 亿元，同比降低 2.57 亿元，同比下降14.37%，三费费用率同比下降 12.38 个百分点。此外，公司人均创收 24.44万元，同比增长 14.93%;人均销售回款23.23万元，同比增长6.03%。“AI+”推进，赋能产品。公司积极拥抱AI，取得显著效果，1)AI+产品:天眼、天擎、椒图、安全监管、防火墙、数据安全、威胁情报、盘古和工业互联网等核心产品围绕“AI+”持续开展创新升级。2)AI智能体:自研安全智能体框架，可基于大模型实现自主任务规划与工具编排，实现动态求解复杂安全问题，并提供可扩展的自进化方案。3)AI代码助手:公司开发人员AI代码助手的使用率已超过 90%，AI生成代码量占比 5%，新开发的代码全部经过 AI进行审核。国际化提速，成果显著。海外市场方面，2025年上半年公司积极拓展海外业务，树立了一些标杆案例:1)中标某国有银行的最大海外分支机构项目，涉及终端安全产品及安全服务，金额超2000万元。2)中标西亚某国轨道交通系统的网络安全项目，在海外轨道交通工控安全市场实现重要突破。投资建议:考虑 2025 年上半年营业收入企稳，但2024 年全年营收下滑较多，我们调整盈利预测，预计公司 2025-2027年营业收入分别为46.12/49.40152.99 亿元(2025-26年原值为 70.18178.08 亿元)，对应增速6.0%17.1%/7.3%;归母净利润为-3.201-0.5711.42 亿元(2025-26 年原值2.33/3.82 亿元 )，同比分别为收窄 76.8%收窄 82.1%/扭亏;估值方面，结合行业可比公司估值水平，考虑公司作为网络安全行业龙头，我们给予公司2025年7倍PS，对应目标价47.12元，维持“强推”评级。风险提示:行业竞争加剧;政策推动不及预期;产品应用不及预期，,,华创证券,强推,[None],2025-09-01,,买入,6375699,pdf_downloads/2025/2025-09-01/688561-奇安信（688561）：2025年半年报点评：提质增效效果显著，“AI+”持续赋能.pdf,688561,奇安信,奇安信（688561）：2025年半年报点评：提质增效效果显著，“AI+”持续赋能
"谢春生,范昳蕊",2025年8月30日│中国内地 计算机应用 奇安信发布2025年半年报，实现营业收入17.42亿元，同比下降2.30%，实现归母净利润-7.7亿元，同比亏损收窄6.16%。其中，25Q2营业收入10.56亿元，同比下降2.07%，归母净利润-3.52亿元，同比亏损扩大3.54%。收入下滑主要是由于客户预算收紧，安全投入倾向存量系统维护，部分新建需求出现延期，以及公司贯彻“现金流优先”战略聚焦高质量收入。公司聚焦核心产品，上半年十余款主力产品新签订单额同比增约6%。我们看好AI浪潮来临所带来的增量安全需求，公司作为行业龙头有望率先受益，维持买入评级。费用率显著下降，精准施策加强回款及市场销售2025H1公司毛利率为52.68%，同比下降4.4pct，销售/管理/研发费率分别为40.30%/13.71%/33.84%，同比下降5.10/0.99/6.28pct。公司成立回款专班，精准施策，Q2回款10.34亿元，同比增8%，现金流管理成效显著。25H1企业级客户收入占比 78.74%，成为收入主要引擎，政府、公检法司客户收入占比分别为 14.54%、6.72%。公司深耕200家超大客户，上半年在金融、运营商、能源等六大行业连中千万级大单，并拿下某国有银行最大海外分支机构项目及西亚轨交标杆项目。渠道端释放2万指名客户，推出20余款专属分销爆品，商机转化率显著提升。下半年公司将持续聚焦核心客户及有效市场，改革营销体系，提升经销商体系效能，实现全年利润率水平有所改善。新兴安全领域布局成果显著，新产品 25 年加速放量公司围绕云与大数据、终端、边界、安全运营及工业互联网五大领域密集推出20余款新品，全面覆盖等保、关基、零信任、大模型安全需求，新品全部适配信创环境，兼顾合规、高性能与易运维，巩固多个产品领域领先地位。上半年云与大数据安全板块凭数据安全管控平台及大模型卫士新品，新签额同比增长逾24%；工业互联网安全在能源及特种行业实现突破，新签额同比增长逾61%；安全服务依托实战攻防演练，新签额同比增长逾24%。公司在新兴安全领域布局进入收获期，为下半年收入增长提供良好支撑。AI赋能核心产品，打造行业标杆案例公司持续加强AI赋能核心产品，天眼、天擎等围绕“AI+”创新升级，自研安全智能体框架基于大模型实现自主任务规划，提升了对复杂安全问题处理效率与准确性。内部研发提效方面，公司自研“奇安信 CodeGen” AI 代码助手，具备代码自动补全、完整功能模块生成及代码漏洞智能检查等核心能力，目前开发人员对该工具的使用率已超 90%，AI 生成代码量占比达 5%，且所有新开发代码均通过 AI工具进行安全与合规性审核。客户案例上，公司AISOC 智能安全运营机器人新签及试运行客户大增、告警准确率提升，“AI+代码卫士”在近10家金融头部客户验证成功，应用巡检智能体在能源单位试点落地，进一步实现客户端产品落地。盈利预测与估值维持盈利预测，我们预计2025-27年收入分别为51.37/60.70/71.76亿元。参考可比公司Wind均5.7倍25PS，考虑公司是中国电子体系稀缺安全平台及新兴安全产品加速放量，给予公司7.0倍25PS，目标价52.48元（前值37.49元，对5.0倍25PS，可比均值4.2x）。风险提示：政府支出压力增大；市场竞争加剧。,,华泰证券,买入,[None],2025-08-31,,买入,6371306,pdf_downloads/2025/2025-08-31/688561-奇安信（688561）：费用率显著下降，核心产品加速AI.pdf,688561,奇安信,奇安信（688561）：费用率显著下降，核心产品加速AI
"苏仪,闻学臣",备注：股价截止自2025年08月29日收盘价，每股指标按照最新股本数全面摊薄报告摘要2025年8月28日，公司发布2025H1业绩。2025H1公司实现营收17.42亿元，同比下降2.30%；实现归母净利润-7.70亿元，同比亏损收窄（上年同期为-8.20亿元）；实现归母扣非净利润-7.70亿元，同比亏损收窄（上年同期为-8.54亿元）。2025Q2公司实现营收10.56亿元，同比下降2.07%；实现归母净利润-3.52亿元，同比亏损扩大（上年同期为-3.40亿元）。内外部多重因素持续影响业绩释放，企业级客户仍为收入端主要引擎。2025H1公司营收同比下降2.30%，收入结构方面，企业级客户继续成为公司收入端的主要引擎。2025H1公司企业级客户/政府客户/公检法司分别占主营业务收入比为78.74%/14.54%/6.72%。能源、金融、运营商和特种这四大行业合计占公司主营业务收入比重超过50%。从收入的体量分布上看，百万级以上客户收入比重超过60%，尤其是500万级以上的关基行业大客户，贡献了其中主要的收入。2025H1公司归母净利润和归母扣非净利润均同比亏损收窄。但公司亏损仍受以下因素影响：1）网安行业方面。受宏观环境及政府财政情况影响，客户普遍削减预算，项目延期情况依旧存在。行业价格竞争激烈，预算向毛利率相对较低的网络安全服务倾斜的趋势越发明显。2）公司战略方面。公司坚定贯彻“现金流优先”的战略，业务的取舍也在一定程度上影响了公司的营收规模。毛利率持续下滑，三费管控力度加强。2025H1公司整体毛利率为52.68%，同比下降4.40pcts，毛利率下滑原因主要受以下因素影响：1）行业价格竞争短期内加剧。2）公司网络安全服务占比上升，影响了公司整体毛利率。3）公司渠道改革进行中，尚未充分发挥好渠道与大客户直销体系间的互补作用。2025H1公司销售/管理/研发费用分别为7.02/2.39/5.89亿元，分别同比变化-13.28%/-8.90%/-17.60%。2025H1公司销售/管理/研发费用率分别为40.30%/13.71%/33.84%，分别同比变化-5.10pcts/-1.00pcts/-6.28pcts。在费用支出方面，公司进一步执行了严格的费用管控，2025H1公司三费总金额较去年同期降低2.57亿元。产品AI赋能进一步深化，研发创新成果显著。产品AI化方面，公司进一步取得阶段性成果：1）天眼、天擎、椒图、安全监管、防火墙、数据安全、威胁情报、盘古和工业互联网等核心产品围绕“AI+”持续开展创新升级。2）公司自研了安全智能体框架，基于大模型实现自主任务规划与工具编排。3）截至2025年6月末，公司开发人员AI代码助手的使用率已超过90%，AI生成代码量占比5%，新开发的代码全部经过AI进行审核。4）典型客户案例方面，“AI+代码卫士”在北京银行、人保科技等近10家头部客户验证成功。新产品发布方面，公司分别推出了：1）奇安云镜（零信任SASE）。2）新一代网络资产攻击面管理系统（CAASM），该系统直击企业网络资产“盘不清”、受害资产“找不到”、安全隐患“扫不着”、海量漏洞“改不完”、违规资产“管不了”等安全痛点。3）公司针对客户规模大小的区别，推出了两款不同的解决方案，一是“大模型安全空间”，二是“奇安天界大模型安全一体机”。能力及奖项方面，2025年上半年，公司参与已发布的网络安全国家标准共计7项，行业标准1项。在IDC的最新报告中，公司除了在安全软件市场三大核心领域——终端安全、数据安全、安全分析和情报，以及安全咨询服务市场蝉联份额第一以外，同时还入选我国大模型安全保护市场的全部7个细分领域以及安全智能体市场的5个领域，成为“安全+AI”赛道覆盖最广的厂商。,,中泰证券,增持,[None],2025-08-30,,增持,6369611,pdf_downloads/2025/2025-08-30/688561-奇安信（688561）：多重因素致业绩承压，产品AI深化成果显著.pdf,688561,奇安信,奇安信（688561）：多重因素致业绩承压，产品AI深化成果显著
"苏仪,闻学臣",报告摘要2025年4月30日，公司发布2024年度报告和2025年第一季度报告。2024年公司实现营收43.49亿元，同比下降32.49%；实现归母净利润-13.79亿元，同比转亏；归母扣非净利润-16.12亿元，同比亏损扩大。25Q1公司实现营收6.86亿元，同比下降2.65%；实现归母净利润-4.18亿元，归母扣非净利润-4.10亿元，亏损较去年同期收窄。内外部多重因素导致公司业绩短期承压，现金流回归有利于公司长期经营。2024年公司业绩面临较大压力，主要受以下三方面影响：1）行业因素。受宏观环境及政府财政情况影响，客户普遍削减预算，项目延期情况较为突出。行业价格竞争出现应激反应，同时客户在预算受限的情况下更关注现有系统的维护而非项目新建，预算向毛利率相对较低的网络安全服务倾斜，对行业盈利能力带来冲击；2）“现金流优先”战略。公司坚定贯彻“现金流优先”战略，业务的取舍在一定程度上影响了公司的营收规模，但公司全年经营性现金流净额为-3.42亿元，同比减少净流出4.36亿元，经营性现金流实现持续改善；3）持续研发投入。2024年公司研发平台已量产，并已着手实现产品AI化，利用AI新技术重新赋能公司产品线，研发效率显著提升，但研发费用投入总额仍处于较高水平，2024年公司研发投入14.11亿元，占营业收入的比例32.45%，较2023年增加9.39个百分点。多方因素导致业绩短期承压，但长期来看，公司战略正逐步生效，现金流回归支持公司度过行业低谷，有利于公司的长期经营。AI全面参与公司产品研发与业务布局。公司在产品研发、业务布局方面全面拥抱AI，Xlab实验室在全球率先通过对DeepSeek遭受的网络攻击捕获跟踪和分析研判，自研的QAX安全大模型将DeepSeek引入威胁研判、安全运营、渗透测试和漏洞管理、供应链安全等场景之中。同时，公司已在内部大面积使用AI辅助编程，截至2025年一季度末，研发人员AI代码助手的使用率接近80%。2025年2月，“AI+代码卫士”产品在北京银行正式上线，依托已深度集成DeepSeek的QAX安全大模型底座，在代码审计与修复流程中实现AI“原生化”。稳居市场领先地位的同时持续拓宽公司发展机遇。IDC等权威第三方市场研究机构排名上，公司连续七年位居终端安全软件市场第一、连续五年位居安全分析和情报市场第一、连续五年位居IT安全咨询服务市场第一、连续四年位居网络威胁检测与响应市场第一、连续三年位居数据安全软件市场第一。公司在行业中多年持续维持领先地位，2024年公司中标中国电信、中国移动、中国联通、头部金融机构、大型能源公司等客户的网安或信创项目，公司2024年大单持续涌现，支撑业绩维稳向好。盈利预测与投资建议：目前经济形势仍然有一定压力，企业IT支出意愿与能力持续受限，不过公司本身近年来加强自身效率提升，在现金流和利润端加大优化提效力度。因此，我们调整2025-2026年盈利预测，并新增2027年盈利预测。我们预测公司2025-2027年营收分别为45.58/48.35/51.88亿元（2025-2026年前预测值为73.24/82.91亿元），归母净利润分别为-4.36/-0.80/0.85亿元（2025-2026年前预测值为2.92/5.00亿元）。公司持续在网络安全领域保持领先地位，全面实现AI赋能，虽然公司因战略转型导致业绩短期承压，在长期来看市场布局的优化和保持良好现金流有利于公司长期经营，在宏观环境改善预期下，我们认为公司业绩有望稳中向好，维持“增持”评级。风险提示：政策落地缓慢，公司业务进展不及预期，安全需求与相关预算下降风险，宏观经济波动风险，市场竞争加剧等。,,中泰证券,增持,[None],2025-08-22,,增持,6338639,pdf_downloads/2025/2025-08-22/688561-奇安信（688561）：业绩持续承压但现金流改善，AI全面赋能产品研发与业务布局.pdf,688561,奇安信,奇安信（688561）：业绩持续承压但现金流改善，AI全面赋能产品研发与业务布局
"刘雯蜀,刘静一",公司发布2024年年报，2024年全年实现营业收入43.49亿元，同比下降32.49%；归母净利润-13.79亿元，由盈转亏，扣非后归母净利润-16.12亿元，亏损扩大。单Q4而言，2024Q4实现营业收入16.39亿元，同比下降40.55%；归母净利润-2.03亿元，扣非后归母净利润-3.09亿元，归母及扣非净利润均由盈转亏。公司发布2025年一季报，2025年一季度实现营业收入6.86亿元，同比下降2.65%；归母净利润-4.18亿元，扣非后归母净利润-4.1亿元，归母及扣非净利润均实现亏损缩窄。点评：行业需求结构调整冲击盈利，公司坚定现金流优先战略优化运营提质效2024年，公司实现营业收入43.49亿元，同比下降32.49%，归属于上市公司股东的净利润亏损13.79亿元。业绩下滑主要受宏观经济波动、客户IT预算缩减及行业需求结构调整影响。分业务来看，公司网络安全产品业务营收26.53亿元，同比下降44.03%；网络安全服务营收8.55亿元，同比微增9.79%；硬件及其他业务营收8.23亿元，同比下降8.10%。面对激烈的市场竞争，公司坚定执行“现金流优先”战略，严控项目回款质量，全年收现比达109.40%，经营性现金流净额-3.42亿元，同比改善4.36亿元，创上市以来最优水平。尽管短期收入承压，但现金流优化为长期经营韧性奠定基础。未来公司计划通过聚焦高价值客户、优化业务结构，逐步平衡收入规模与盈利能力的矛盾。降本增效三费管控显效，但营收波动推升占比，2025年利润修复可期公司2024年在费用端展现较强的管控力度，人员优化和运营效率提升效果明显。公司2024年三费合计同比下降12.66%，其中：销售费用14.92亿元，同比下降19.33%；管理费用5.12亿元，同比下降10.98%；研发费用14.11亿元，同比下降4.99%。公司收入端的超预期波动导致费用占比被动上升，稀释了降本效果。展望未来，随着公司对费用精细化管理的深化，动态匹配人员规模与市场需求，并严控非薪酬支出，我们认为公司2025年利润有望获得一定修复。四轮驱动战略升级攻坚2025面向2025年，公司提出“四个聚焦”战略升级，以实现收入稳步增长的目标：1）聚焦核心产品，推动终端安全、边界安全等四大场景产品AI化，加速AISOC、天眼等主力产品的AI赋能；2）聚焦核心客户和有效市场，向头部大客户集中，向直签模式集中，实现能力下沉，拉动营收增长；3）聚焦经销商体系效能提升，释放高价值客户资源，强化与集成商、运营商等产业伙伴合作；4）聚焦海外市场，加速拓展重点国家，提升海外收入占比。AI布局方面，公司有望借力DeepSeek开源大模型技术，深化AI在威胁检测、安全运营等场景的应用。公司将持续优化自主研发的QNA威胁检测引擎的性能，有效提升对网络威胁的处理能力。同时公司还与北京银行、人保科技合作“AI+代码卫士”项目，持续优化AI驱动能力。盈利预测与估值考虑到下游预算恢复节奏略慢于我们此前预期，基于公司2024年的收入和利润基数我们调整此前盈利预测，预计2025-2027年公司营业收入为44.35、46.08、48.49亿元，归母净利润-3.09、-0.19、1.09亿元。尽管公司短期业绩仍旧承压，但考虑到公司经营质量以及现金流水平获得实质性提升，长期而言随着AI能力的赋能公司具有较高的业绩弹性，维持“买入”评级。风险提示市场竞争加剧；产品回款周期延长；新业务拓展不及预期。,,浙商证券,买入,[None],2025-05-15,,买入,6056169,pdf_downloads/2025/2025-05-15/688561-奇安信（688561）：2024年报、2025一季报点评：现金流优化提质增效，四轮驱动战略攻坚2025.pdf,688561,奇安信,奇安信（688561）：2024年报、2025一季报点评：现金流优化提质增效，四轮驱动战略攻坚2025
"谢春生,范昳蕊","公司2024年实现营业收入43.49亿元，同比下降32.49%，扣非净利润-16.12亿元（2023年-0.97亿元），与此前业绩预告相符。公司2025Q1实现收入6.86亿元，同比下降2.65%，扣非净利润-4.10亿元（2024Q1 -5.24亿元）。2024年公司亏损扩大一方面来自于网络安全行业整体景气度低迷，另一方面来自于相对低毛利率的安全服务收入占比有所提升。我们看到公司2024年加速人员优化，年底人员数量减少19%，随着2025年收入端恢复增长，盈利能力有望提升，维持买入评级。现金流显著改善，持续经营能力加强2024年网络安全行业处于低迷期，公司坚定贯彻“现金流优先”的战略，虽然导致营业收入和利润受到一定损失，但公司经营性现金流创上市以来最好水平：全年收现比为109.40%，同比大幅提高26.04%，人均销售回款62.85万元，同比提升9.46%，经营性净现金流-3.42亿元，同比净流出收窄4.36亿元。我们认为公司当前的战略转型为长期持续经营提供支持，只有充足的现金才能维持公司正常运营并保障公司度过行业低谷。积极拥抱技术变革，AI赋能内外部应用2024年公司重点投入AI，AISOC、天眼、天擎EDR、椒图等部分主力产品已经实现AI化，未来还会在全线主力产品中加速铺开。公司自研的QAX安全大模型将DeepSeek引入威胁研判、安全运营、渗透测试、漏洞管理等多个产品中。公司内部发布的“奇安信CodeGen”实现了代码自动补全、生成、BUG检查等能力。截止2025年一季度末公司研发人员AI代码助手使用率接近80%，“AI+代码卫士”也在北京银行、人保科技等客户处上线。信创市场不断突破，构成增量市场公司成功入围解决方案案例。公司网神跨网文件安全交换管理解决方案入围工信部“2024年信息技术应用创新解决方案”，并已在多个行业实现规模化落地并取得业务效率优化成果，成为电力、医疗、保密跨网数据交换的标准化工具。此外，近日公司中标某大型能源央企基于信创平台的零信任系统，公司在国家关基领域信创竞争力持续加强，有望持续把握信创市场机会。盈利预测与估值考虑公司调整经营策略聚焦高质量收入，我们下调2025/2026年收入预测30%/26%至51.37/60.70亿元，并预计2027年收入为71.76亿元。参考可比公司Wind一致预期平均25PS为4.2x，考虑公司是中国电子体系稀缺安全平台，我们给予公司5x 25PS，对应目标价37.49元（前值42.98元,对应4.0x 25PS，可比均值3.4x）。风险提示：政府支出压力增大；市场竞争加剧。",,华泰证券,买入,[None],2025-05-01,,买入,6036466,pdf_downloads/2025/2025-05-01/688561-奇安信（688561）：现金流优先战略初见成效.pdf,688561,奇安信,奇安信（688561）：现金流优先战略初见成效
吴鸣远,近期，公司发布2024年三季度报告：2024年前三季度，实现营业收入27.11亿元，同比下滑26.47%；归母净利润亏损11.76亿元，上年同期亏损12.23亿元；归母扣非净利润亏损13.03亿元，上年同期亏损13.06亿元。评论：业绩短期承压，企业用户构筑公司护城河。2024年前三季度，实现营业收入27.11亿元，同比下滑26.47%，营收短期承压；归母净利润亏损11.76亿元，上年同期亏损12.23亿元，利润亏损同比收窄。从行业结构上看，前三季度，企业级客户、政府客户、公检法司分布占主营比例为77.42%、16.07%、6.51%，企业级客户仍为公司收入主要来源。从收入的体量分布上看，大客户是坚实基本盘和护城河，其中百万级以上客户创收占营收比重超过67%，500万级以上大客户创收占营收比重接近50%，500万以上大客户单体创收增速超17%。坚持提质增效，坚持现金流管理助力健康发展。公司持续推进提质增效战略，前三季度费用总计同比下降23.63%，其中，研发费用同比下降20.47%，管理费用同比下降16.76%，销售费用同比下滑29.17%。公司前三季度经营性现金流净额-13.70亿元，同比增加4.57亿元，改善措施效果显著。中国电子增持，战略协同加速。7月31日，中电金投拟增持公司5%的股份，10月9日，已完成过户，目前中国电子合计控制公司23.10%的股份，中国电子对奇安信的增持，双方未来将实现更为深入的战略协同，通过整合双方资源，助力中国电子保障国家网络安全，提升公司竞争力。投资建议：考虑公司今年业绩承压，我们调整盈利预测，预计2024-2026年营业收入分别为60.39/70.18/78.08亿元（2024-25年原值为90.42/106.76亿元），归母净利润分别为0.82/2.33/3.82亿元（2024-25年原值为4.04/8.24亿元）。估值方面，结合行业可比公司估值水平，考虑公司作为行业龙头，我们给予公司2025年4倍PS，对应目标价41元，维持“强推”评级。风险提示：行业竞争加剧；AI发展不及预期；海外市场拓展不及预期。,,华创证券,强推,[None],2024-11-05,,买入,5819239,pdf_downloads/2024/2024-11-05/688561-奇安信（688561）：2024年三季报点评：业绩短期承压，加强现金流管理.pdf,688561,奇安信,奇安信（688561）：2024年三季报点评：业绩短期承压，加强现金流管理
"谢春生,范昳蕊",公司发布2024年三季报，前三季度实现营业收入27.11亿元，同比下降26.47%，实现归母净利润-11.76亿元，同比亏损收窄3.84%。其中，24Q3营业收入9.27亿元，同比下降22.95%，归母净利润-3.56亿元，同比亏损扩大3.71%。2024前三季度经营性现金流-13.7亿元，23年同期为-18.28亿元，现金流情况显著改善。今年7月，公司战略股东中国电子全资子公司中电金投增持5%的公司股份，目前中国电子合计控制公司23.10%的股权，我们预计未来公司与中国电子将进一步加强业务协同，为公司业务发展以及资金供给提供有力支持，维持买入评级。合计三费率受收入下滑影响短期提升，预计四季度毛利率环比提升2024前三季度公司毛利率为55.82%，同比下降4.92pct，销售/管理/研发费率分别为43.36%/14.56%/38.34%，同比变动-1.65/1.7/2.89pct。2024Q3公司毛利率为53.41%，同比下滑6.87pct，销售/管理/研发费率分别为39.44%/14.28%/34.91%，同比变动-0.35/1.66/6.8pct，主要是由于公司人员成本较为刚性，收入下滑导致短期三费用提升。聚焦企业级客户市场，大客户战略持续推进前三季度公司企业级/政府/公检法司客户收入占比77.42%/16.07%/6.51% 百万级客户成为公司收入来源主体，100万以上大客户创收贡献占比超67%；500万以上大客户创收占公司营业收入比例近50%，创收增速超17%。公司在金融、制造、能源、政数等一批行业中斩获多个近千万元级大单。公司信创终端产品成功中标中国移动2024年至2026年终端安全软件产品集采项目，获得超70%的采购份额，充分验证公司在运营商行业信创安全竞争优势。核心产品领域竞争优势进一步加强根据IDC发布的《中国IT安全软件市场跟踪报告，2024H1》，公司在终端安全、数据安全、安全分析与情报三大关键领域进一步强化了市场领导地位。公司在2024H1中国终端安全软件市场市占率达14.68%，2024H1中国数据安全软件市场市占率达6.25%，2024H1中国安全分析与情报市场市占率达7.37%，均位列第一。,,华泰证券,买入,[None],2024-10-31,,买入,5811374,pdf_downloads/2024/2024-10-31/688561-奇安信（688561）：现金流显著改善，与中国电子加强协同.pdf,688561,奇安信,奇安信（688561）：现金流显著改善，与中国电子加强协同
"闻学臣,苏仪",投资事件：公司发布2024年半年报：2024年上半年公司营业收入17.83亿元，同比下降28.17%；归母净利润-8.20亿元，亏损同比收窄6.78%；扣非归母净利润-8.54亿元，亏损较上年同期收窄12.78%。2024年单Q2公司营业收入10.78亿元，同比下降30.76%；归母净利润-3.40亿元，亏损同比收窄1.87%；扣非归母净利润-3.30亿元，亏损同比收窄4.54%。营收同比下降，公司聚焦核心优质客户。2024年上半年公司营业收入17.83亿元，同比下降28.17%；单Q2公司营业收入10.78亿元，同比下降30.76%。从行业结构上看，企业级客户继续成为2024上半年收入贡献的主要来源，企业级客户、政府客户、公检法司分别占主营业务收入比为80.81%、13.35%、5.84%。企业级客户中，从收入的体量分布上看，百万级以上客户创收占营收比重超过70%，百万级以上客户单体创收增速接近38%，其中五百万级以上客户创收占营收比重超过50%。收入的区域结构方面，港澳地区同比增长504.08%，重庆同比增长99.99%，河北同比增长38.67%，浙江同比增长25.15%，新疆同比增长19.22%，北京同比增长3.50%。公司从侧重规模转向侧重质量，重视回款。2024年上半年公司归母净利润-8.20亿元，亏损同比收窄6.78%；扣非归母净利润-8.54亿元，亏损较上年同期收窄12.78%。2024年上半年公司销售回款18.38亿元，同比增长 2.48%；经营性现金流净额-8.26亿元，同比增加5.73亿元，同比增长40.97%；三费金额同比下降27.67%。公司以高质量发展为目标，坚持以销售回款与毛利作为核心考核指标不动摇，实现了销售回款和净利润的双增长，经营性现金流净额显著优于去年同期，三费金额同比进一步下降。2024年上半年公司销售费用/管理费用/研发费用分别为8.10/2.62/7.15亿元，同比下降31.42%/18.61%/26.11%。成立“特区”联动作战，进一步推动海外布局。据CIAA发布的《2023年中国网络安全市场与企业竞争力分析报告》中，公司连续三年蝉联“中国网安产业竞争力50强”第一，市占率进一步提升至9.83%。针对一些特定省份中的客户特点，公司在当地打通并融合了军团、区域和渠道这三大营销组织角色，先后成立江苏、浙江、陕西、新疆等“特区”。在特定省份中，打造营销体系的“一盘棋”，加强行业与区域间的协同、直销与渠道间的协同，提升资源的联动效率。海外市场方面，上半年公司以国际研发中心和国际业务总部香港作为桥头堡，加快了在印尼、阿曼、埃及等国家的业务布局进度。投资建议：由于经济恢复不及预期，公司战略有所调整，我们下调盈利预测，预计2024-2026年公司收入为66.43/73.24/82.91亿元（调整前2024-2025年预测值为公司收入103.41/131.53亿元；归母净利润1.37/2.92/5.00亿元（调整前2024-2025年预测值为4.64/7.71亿元）。公司2024/2025/2026年EPS分别为0.20/0.43/0.73元（调整前2024-2025预测值为0.68/1.13元）。考虑到公司核心产品线持续领跑行业，给予“增持”评级。风险提示：政策落地缓慢，疫情影响原材料成本及项目交付，公司业务进展不及预期，市场竞争加剧，尚未盈利的风险，业绩大幅下滑或亏损的风险,,中泰证券,增持,[None],2024-09-05,下调评级,增持,5755782,pdf_downloads/2024/2024-09-05/688561-奇安信（688561）：聚焦高质量发展，利润与销售回款均改善.pdf,688561,奇安信,奇安信（688561）：聚焦高质量发展，利润与销售回款均改善
