author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
胡博,三季度煤炭产销环比改善，四季度业绩仍有修复空间。2025年三季度，公司实现原煤产量882.02万吨，同比减少3.31%；商品煤总销量1215.29万吨，同比下降1.03%。尽管产销量同比变化不大，但公司三季度煤炭产销比出现显著修复。其中2025年二季度公司自产煤产销比实现1.47，三季度为0.93，环比改善明显。考虑四季度煤价持续上涨及长协倒挂解除，后续公司业绩仍有较强修复动力。高分红承诺，红利价值可期。公司承诺2024-2026年拟分配股息不少于当年实现的可供分配利润的60%，随着未来业绩企稳改善，公司红利价值仍可期。资源接续意愿仍存。出于资源接续需求，公司坚持资源扩张战略，密切关注山西省内探矿权出让机会，以保障长期稳定的煤炭供应能力。同时，近期公司控股子公司参与竞拍以3.02亿元取得210万吨/年的煤炭产能置换指标。投资建议预计公司2025-2027年归母净利分别为15.12/16.95/19.62亿元，2025-2027年动态PE分别为14.8\13.2\11.4倍，考虑公司未来业绩存在环比改善预期及红利价值，维持“增持-A”投资评级。风险提示1）宏观经济增速不及预期风险；2）煤炭产销比修复不及预期；3）煤炭价格超预期下行风险；4）安全生产风险等。,,山西证券,增持-A,[None],2025-11-05,,增持,7436679,pdf_downloads/2025/2025-11-05/600546-山煤国际（600546）：产销比修复，未来业绩仍有改善空间.pdf,600546,山煤国际,山煤国际（600546）：产销比修复，未来业绩仍有改善空间
刘永芳,核心要点：1-9月公司营收和净利同比双降，Q3单季度营收环比提高2025年前三季度，公司实现营业收入153.32亿元，同比下降30.20%，实现归属于母公司所有者的净利润10.46亿元，同比下降49.74%，扣除非经常性损益归属于母公司的净利润10.88亿元，同比下降50.23%，经营活动现金流净额22.19亿元，同比下降38.22%，EPS（基本）0.53元/股，同比下降49.52%。2025年第三季度，公司实现单季度营业收入56.73亿元，环比增加9.98%，实现归属于母公司所有者的净利润3.91亿元，环比下降2.18%，扣除非经常性损益归属于母公司的净利润4.06亿元，环比下降1.69%，经营活动现金流净额26.89亿元，环比增加302.54%。Q3自产煤产销增加、售价降低，贸易煤量价齐降煤炭生产业务：2025年前三季度原煤产量2664.14万吨，同比增加8.73%，销量1981.99万吨，同比增加5.31%，营业收入100.95亿元，同比减少20.72%，销售均价509.31元/吨，吨煤成本253.83元/吨。2025年第三季度，单季度原煤产量882.02万吨，环比增加0.94%，销量947.43万吨，环比增加59.77%，营业收入43.39亿元，环比增加38.57%，售价457.96元/吨，环比下降13.27%，吨煤230.72，环比下降16.94%，实现毛利率49.62，环比增加2.23个百分点。整体看，产销方面，公司产量稳步推进，受“反内卷”的影响较小，当前已完成全年目标产量的76%，三季度在高温天的影响下，公司销量实现大幅提升，成功实现去库目标。售价方面，虽然三季度港口Q5500的动力煤上涨近90元/吨，由于公司存在消化之前的库存，导致三季度售价环比下降。盈利方面，今年来煤价整体呈下降趋势，相较于2024年，前三季度公司营收下降；从第三季度看，公司紧抓“迎峰度夏”窗口，销量大幅提升，营收环比好转，另外公司创新营销模式，进一步压降成本，使公司毛利率仍保持在高位，环比小幅上涨。煤炭贸易业务：2025年上半年，贸易量11021.65万吨，同比下降28.50%，营业收入46.67亿元，同比减少46.93%，销售均价456.82元/吨。2025年第三季度，贸易煤销量267.86万吨，环比下降38.07%，营业收入11.24亿元，环比下降39.88%，售价419.79元/吨，环比下降2.92%，吨煤营业成本409.74元/吨，环比下降4.04%，毛利率2.39%，环比增加1.14个百分点。整体看，6月前后受政府部门对进口煤严控进口的指导影响，公司贸易煤销量大幅减少，营收也出现大幅下降，但公司精细化管理，成本管控较为突出，毛利率实现环比小幅增加。现金流大幅提升，子公司成功竞得煤炭产能指标2025Q3，公司经营活动现金流净额为26.89亿元，远超二季度的6.68亿元，一方面与公司实施全员营销、拓展终端客户群，带动煤炭产销量提升，营收环比增加有关；另一方面与公司构建现代公司治理体系，激发“人努力”，管控成本，并催收之前的应收账款相关。公司三季度货币资金仍有59.80亿元，资产负债率进一步下降到49.71%，为稳定分红提供保障。2025年8月31公司公告，控股子公司长春兴煤业与韩家洼煤业通过竞拍方式，以3.02亿元总价收购间接控股股东山西焦煤集团下属5座煤矿合计210万吨/年煤炭产能置换指标。这将进一步稳定公司煤炭产能，提高企业核心竞争力，实现矿井集约高效和经济效益最大化。投资建议2025年11月以来，南方天气转凉，制冷用电负荷降低，电厂煤炭日耗震荡下降，但北方温度转冷，进入供暖季，取暖用煤增加，电煤需求整体偏强；供给端因“反内卷”，安监检查和环保政策趋紧，供给受限，在供需收紧的格局下，煤价预计仍有震荡向上运行的可能。考虑公司2025年原煤目标产量3500万吨，我们维持原盈利预测，预计2025-2027年公司归母净利润为14.98/16.80/18.61亿元，对应EPS分别为0.76/0.85/0.94元/股，对应2025年11月4日收盘价的PE分别为12.79/11.41/10.30倍，因公司分红比例高并有持续可能，维持“谨慎推荐”评级。风险提示：国际环境不确定性增强，煤炭需求不及预期,,大同证券,谨慎推荐,[None],2025-11-04,,增持,7437622,pdf_downloads/2025/2025-11-04/600546-山煤国际（600546）：三季度营收边际好转，公司成功竞得产能指标.pdf,600546,山煤国际,山煤国际（600546）：三季度营收边际好转，公司成功竞得产能指标
"高升,李睿,刘波",事件：山煤国际发布三季度报告，2025年前三季度公司实现营业收入153.32亿元，同比下降30.20%；实现归母净利润10.46亿元，同比下降49.74%；扣非后净利润10.88亿元，同比下降50.23%；经营活动现金流量净额22.19亿元，同比下降38.21%；基本每股收益0.53元/股，同比下降49.52%。2025年第三季度，公司单季度营业收入56.73亿元，环比上涨9.98%；单季度归母净利润3.91亿元，环比下降2.18%。点评：2025前三季度，煤炭产销量保持增长且吨煤销售成本实现同比下降。产销量方面：2025年前三季度，公司实现原煤产量2664.14万吨，同比增加8.73%；自产煤销量1981.99万吨，同比增加5.31%。价格方面：2025年前三季度，公司实现销售均价509.31元/吨，同比下降24.72%。成本方面：2025年前三季度，公司实现吨煤销售成本253.83元/吨，同比下降13.3%。2025前三季度，公司实现煤炭生产业务收入100.95亿元，同比下降20.72%；煤炭生产业务成本50.31亿元，同比下降8.70%；毛利50.63亿元，同比下降29.89%。三季度去库存成效显著，销量大幅回升。产销量方面：2025年第三季度，公司实现自产煤销量947.43万吨，环比增加59.77%。价格方面：2025年第三季度，公司实现自产煤售价为457.96元/吨，环比下降13.27%。成本方面：2025年第三季度，公司实现自产煤销售成本230.72元/吨，环比下降16.94%。综合来看，虽然煤价下行趋势延续，但公司销量环比显著提升且单季度成本明显下降，为公司业绩提供了有效支撑。当前公司仍有部分库存煤炭待售，我们预计煤炭价格企稳回升叠加库存煤炭持续销售，公司业绩有望稳中向好。产能核增手续完善，成长战略延续。为进一步稳定公司煤炭产能，公司已购买210万吨煤炭产能置换指标用于核增产能置换。在资源接续方面，公司将资源扩张作为重要战略，持续关注山西省内探矿权出让机会，全力争取后备煤炭资源。盈利预测及评级：公司拥有低成本的竞争优势、较优的资产质量和相对稳定的高分红高股息，我们看好公司未来估值修复空间。我们预计，2025-2027年归母净利润为17.01/19.38/20.57亿，EPS分别0.86/0.98/1.04元/股；我们看好公司的投资价值，维持公司“买入”评级。风险因素：国内宏观经济增长不及预期；安全生产风险；产量出现波动的风险。,,信达证券,买入,[None],2025-11-03,,买入,7327759,pdf_downloads/2025/2025-11-03/600546-山煤国际（600546）：Q3销量环比提升，业绩有望边际改善.pdf,600546,山煤国际,山煤国际（600546）：Q3销量环比提升，业绩有望边际改善
"张津铭,刘力钰,高紫明,鲁昊,张卓然",Q3销量结构调整煤价下滑，Q4业绩有望边际修复公司发布2025年三季度报业绩公告。2025前三季度营业收入153.32亿元，同比减少30.20%；归母净利润10.46亿元，同比减少49.74%。2025Q3营业收入56.73亿元，同比减少28.27%，环比+9.98%；归属母净利润3.91亿元，同比减少50.53%，环比-2.18%。Q3贸易煤规模收缩，销量结构调整煤价下滑产销方面，25Q3公司原煤产量882万吨，同比-30.8万吨，环比+8.5万吨；商品煤销量1215万吨，同比-12.6万吨，环比+189.8万吨，其中自产煤销量947万吨（同比+257.1万吨，环比+354.4万吨）、贸易煤销量为268万吨（同比-269.7万吨，环比-164.7万吨）。利价方面，25Q3自产煤售价458元/吨，同比-30.6%，环比-13.3%；自产煤成本231元/吨，同比-14.0%，环比-16.9%；自产煤吨煤毛利为227元/吨，同比-42.0%，环比-9.2%；贸易煤吨煤毛利10元/吨，同比-49.1%，环比+85.4%。从山焦集团购买210万吨指标，用于长春兴与韩家洼核增2025年10月31日发布公告，宣布下属子公司长春兴煤业、韩家洼煤业通过参与竞拍的方式购买间接股东山西焦煤集团有限责任公司5座煤矿的产能指标合计210万吨/年，用于核增产能置换，购买价格合计3.02亿元。投资建议。考虑公司三季报业绩符合预期，我们维持原盈利预测。预计2025-2027年公司归母净利润分别为20.66亿元、24.12亿元、25.92亿元，对应PE分别为10.6X，9.1X，8.4X。风险提示：煤炭价格大幅下跌，公司产量不及预期，煤炭需求不及预期。,,国盛证券,增持,[None],2025-11-02,,增持,7246480,pdf_downloads/2025/2025-11-02/600546-山煤国际（600546）：Q3销量结构调整煤价下滑，Q4业绩有望边际修复.pdf,600546,山煤国际,山煤国际（600546）：Q3销量结构调整煤价下滑，Q4业绩有望边际修复
"张绪成,程镱",Q3利润总额环比大增，去库致销量大增，维持“买入”评级公司发布2025年三季报，2025年前三季度公司实现营业收入153.32亿元，同比-30.20%；实现归母净利润10.46亿元，同比-49.74%；实现扣非后归母净利润10.88亿元，同比-50.23%。单季度看，Q3公司实现营业收入56.73亿元，环比9.98%；实现归母净利润3.91亿元，环比-2.18%；实现扣非后归母净利润4.06亿元，环比-1.69%。Q3归母净利润环比小幅下滑，主要受所得税费用及少数股东损益增加影响，而公司利润总额环比大幅增长72.7%至12.02亿元。考虑到公司Q3销量大幅提升，去库存进展顺利，我们维持2025-2027年公司盈利预测，预计2025-2027年公司实现归母净利润为15.4/17.9/20.1亿元，同比-32.3%/+16.3%/+12.4%；EPS分别为0.77/0.90/1.01元；对应当前股价PE为14.3/12.3/10.9倍。公司经营基本面稳健，且承诺维持高水平分红，投资价值凸显，维持“买入”评级。Q3自产煤销量大增，销售结构变化致均价成本双降Q3销量环比大增，去库存效果显著：2025年前三季度公司原煤产量2664.14万吨，同比+8.73%；自产煤销量1981.99万吨，同比+5.31%。单季度看，2025Q3原煤产量882.02万吨，环比+0.98%；自产煤销量947.43万吨，环比+59.77%。销量大增主要系公司抓住迎峰度夏旺季需求，并积极创新营销模式，成功实现降库存目标。公司库存已由二季度末的约383万吨降至三季度末的170-180万吨，并计划于年底恢复至年初约32万吨的水平。 销售结构变化致均价承压：2025Q3公司自产煤吨煤售价为458元/吨，环比-13.27%。售价下降主要因销售结构变化，为弥补前期销量及去库存，Q3动力煤销量占比大幅提升。Q3自产煤销量中，动力煤为723万吨，冶金煤为224万吨。 吨煤成本受益于结构优化，毛利率环比改善：2025Q3公司自产煤吨煤成本为230.7元/吨，环比-16.94%。成本下降同样主要受低成本动力煤销量占比提升影响。得益于成本降幅大于价格降幅，Q3自产煤毛利率为49.62%，环比提升2.23个百分点。 贸易煤业务受政策影响收缩：2025Q3公司贸易煤销量267.86万吨，环比-38.07%。销量下降主因是5、6月份接到政府部门窗口指导要求严控进口煤。强化项目环保建设，分红比例有望维持高水平强化项目建设环保升级：河曲露天等5座煤矿通过了国家一级安全生产标准化矿井初验；顺利完成所属矿井长春兴煤业矸石生态回填等环保项目，同时积极开展绿色矿山创建，2025H1共有经坊煤业等5座煤矿完成现场验收，公司生态环保主要指标持续向好。高分红长期投资价值凸显：2024年公司每股派发现金红利0.69元/股（含税），分红比例为60.3%，同比+30.05pct，分红比例望维持高水平，按2025年10月31日收盘价计算，当前公司股息率为6.25%。风险提示：经济增速低于预期；煤炭价格下跌风险；煤炭产销量不及预期。,,开源证券,买入,[None],2025-10-31,,买入,7270114,pdf_downloads/2025/2025-10-31/600546-山煤国际（600546）：公司信息更新报告：Q3利润总额环比大增，去库致销量大增.pdf,600546,山煤国际,山煤国际（600546）：公司信息更新报告：Q3利润总额环比大增，去库致销量大增
"周泰,李航,王姗姗,卢佳琪",业绩稳健，自产煤销量环比增幅明显、盈利提升事件：2025年10月30日，公司发布2025年三季报。25Q1-3，公司实现营业收入153.32亿元，同比下降30.2%；归母净利润10.46亿元，同比下降49.7%；扣非归母净利润10.88亿元，同比下降50.2%。25Q3营收环比增长，盈利环比稳健。25Q3，公司实现营业收入56.73亿元，同环比-28.3%/+10.0%；归母净利润3.91亿元，同环比-50.5%/-2.2%；扣非归母净利润4.06亿元，同环比-49.7%/-1.7%。25Q3公司四费环比+0.83亿元，费率环比+0.5pct，其中销售/管理/研发/财务费率分别环比+1.1/-0.7/+0.1pct和持平。25Q3自产煤销量环比大幅增长，成本压降致毛利率环比抬升。1）25Q3：原煤产量882.0万吨，同环比-3.3%/+1.0%；商品煤销量1215.3万吨，同环比-1.0%/+18.5%，其中自产煤销量947.4万吨，同环比+37.2%/+59.8%；吨煤售价449.5元/吨，同环比-29.0%/-7.8%，其中自产煤售价458.0元/吨，同环比-30.6%/-13.3%；自产煤吨煤成本230.7元/吨，同环比-14.0%/-16.9%；煤炭业务毛利率39.9%，同环比+3.7/+9.8pct，其中自产煤业务毛利率49.6%，同环比-9.7/+2.2pct。2）25Q1-3：公司实现原煤产量2664.1万吨，同比+8.7%；商品煤销量3003.6万吨，同比-9.3%，其中自产煤销量1982.0万吨，同比+5.3%；吨煤售价491.5元/吨，同比-24.4%，其中自产煤售价509.3元/吨，同比-24.7%；自产煤吨煤成本253.8元/吨，同比-13.3%；煤炭业务毛利率34.9%，同比+0.1pct，其中自产煤业务毛利率50.2%，同比-6.6pct。25Q3贸易煤销量环比下降，毛利率环比抬升。1）25Q3：贸易煤销量267.9万吨，同环比-50.2%/-38.1%；吨煤毛利10.0元/吨，同环比-49.1%/+85.4%；贸易煤毛利率2.4%，同环比-0.9/+1.1pct。2）25Q1-3：贸易煤销量1021.7万吨，同比-28.5%；吨煤毛利8.8元/吨，同比-53.5%；贸易煤毛利率1.9%，同比-1.1pct。投资建议：考虑煤价进入上行通道，中枢有望持续抬升，我们预计2025-2027年公司归母净利润为13.32/23.19/26.04亿元，折合EPS分别为0.67/1.17/1.31元/股，对应2025年10月30日收盘价的PE分别为16/9/8倍，维持“推荐”评级。风险提示：煤炭价格大幅下降；产量恢复不及预期。,,民生证券,推荐,[None],2025-10-31,,增持,7095419,pdf_downloads/2025/2025-10-31/600546-山煤国际（600546）：业绩稳健，自产煤销量环比增幅明显、盈利提升.pdf,600546,山煤国际,山煤国际（600546）：业绩稳健，自产煤销量环比增幅明显、盈利提升
胡博,产量增加，二季度煤炭产销环比改善：2025年上半年，公司实现原煤产量1782.12万吨，同比增加15.86%；商品煤总销量1788.35万吨，同比下降14.1%。产量增加主因低基数和公司统筹生产组织调度等原因。尽管二季度煤价下降，但公司二季度煤炭产销和营收均有所改善，其中二季度公司自产煤营业收入实现31.31亿元，环比增19.31%，销量实现593.01万吨，环比增34.3%；贸易煤营业收入实现18.70亿元，环比增11.83%，销量实现432.51万吨，环比增34.62%。高分红承诺，红利价值可期：公司承诺2024-2026年拟分配股息不少于当年实现的可供分配利润的60%，随着未来业绩企稳改善，公司红利价值仍可期。扩储意愿仍存：出于资源接续需求，公司坚持资源扩张战略，密切关注山西省内探矿权出让机会，以保障长期稳定的煤炭供应能力。投资建议预计公司2025-2027年归母净利分别为15.13/16.71/19.22亿元，2025-2027年动态PE分别为12.9\11.7\10.1倍，考虑公司当前业绩环比改善及红利价值，给予“增持-A”投资评级。风险提示1）宏观经济增速不及预期风险；2）煤炭产销比修复不及预期；3）煤炭价格超预期下行风险；4）安全生产风险等。,,山西证券,增持-A,[None],2025-09-09,,增持,6407923,pdf_downloads/2025/2025-09-09/600546-山煤国际（600546）：业绩环比改善，关注产销比修复.pdf,600546,山煤国际,山煤国际（600546）：业绩环比改善，关注产销比修复
"黄涛,王楠瑀",本报告导读： 2025H1 产量明显回复，Q2 销量环比恢复明显； 公司优化成本管控，2025H1 成本同比环比均大幅下滑，我们预计公司 H2产销量情况及业绩情况有望继续恢复。 投资要点： 维持“增持”评级。公司公告 2025年上半年实现总营业收入96.6亿元，同比减少31.28%；实现归母净利润6.54 亿元，同比减少49.25%，2025Q2 公司实现总营业收入51.58 亿元，同比减少33.03%，环比+14.56%；实现归母净利润4 亿元，同比减少43.45%，环比+56.91%。 给予公司25-27 年EPS 预测0.72/0.88/1.15(-0.22/-0.13/0)元。根据可比公司2026 年平均9.98x PE，考虑到公司产量逐渐恢复，给予公司2026 年13xPE，对应目标价11.43 元。 2025 年上半年开始产量明显回复，Q2 销量环比恢复明显。2025 年H1 公司原煤产量1782.12 万吨，同比+15.86%。自产煤销量 1034.56万吨，同比下降 13.19%%，销售均价556.34 元/吨；贸易煤销量753.79 万吨/-15.43%，销售均价 469.98 元/吨，进口量 369.19 万吨。2025Q2 实现原煤产量873.48 万吨/同比+11%/环比-3.87%，实现自产煤销量593.01 万吨/同比-11%/环比+34.3%，实现贸易煤销量432.51 万吨/同比-14.9%/环比+34.62%。我们认为2025Q2 已经清晰的成为此轮煤价下行周期的价格底部，预计煤炭价格中枢有望在25H2 及26 年逐步抬升。公司H2 产销量情况有望继续恢复。 公司优化成本管控，2025H1 成本同比环比均大幅下滑。2025 年H1公司自产煤销售均价为556.34 元/吨，同比从2024H1 的685.92 元/吨下滑18.9%；贸易煤销售均价469.98 元/吨，同比2024H1 的626.02元/吨下滑25%。公司自产煤吨煤成本实现275 元/吨，同比-10.4%，吨毛利实现281 元/吨，同比下降212.5 元/吨，同比-25.8%。2025Q2自产煤吨售价528 元/吨，同比-25%/环比-11%，吨成本277 元/吨，同比-9.1%/环比+2.4%；吨毛利250 元/吨，同比-37.5%/环比-22.5%。 公司优化成本管控，2025H1 成本同比均大幅下滑，主要原因在于公司产量恢复带来的采煤成本下滑叠加其他管理成本的控制显成效。 2025 年H1 煤炭贸易业务量增价减。公司2025H1 公司实现煤炭贸易业务收入 35.43 亿元，同比下降36.51%，贸易量753.79 万吨，同比下降 15.43%，销售均价 469.98 元/吨，进口量 369.19 万吨。 2025Q2 煤炭贸易业务收入18.7 亿元，同比下降35.28%，销量432.51万吨，销售均价432.43 元/吨，同比下降16.93%。 风险提示：煤价超预期下跌；宏观经济恢复不及预期。,,国泰海通,增持,[None],2025-09-05,,买入,6395359,pdf_downloads/2025/2025-09-05/600546-山煤国际（600546）：H1产量明显回复，Q2销量环比大幅提升.pdf,600546,山煤国际,山煤国际（600546）：H1产量明显回复，Q2销量环比大幅提升
张绪成,Q2业绩环比大幅改善，关注高分红价值。维持“买入”评级公司发布2025年中报，2025H1公司实现营业收入96.6亿元，同比-31.28%；实现归母净利润6.5亿元，同比-49.25%；实现扣非后归母净利润6.8亿元，同比-50.56%。Q2公司实现营业收入51.6亿元，环比+14.56%；实现归母净利润4亿元，环比+56.9%，实现扣非后归母净利润4.1亿元，环比+53.53%。考虑到公司上半年煤炭产销量，判断煤价运行趋势，我们上调2025-2027年公司盈利预测，预计2025-2027年公司实现归母净利润为15.4/17.9/20.1亿元（前值为14.8/16.9/19.3亿元），同比-32.3%/+16.3%/+12.4%；EPS分别为0.77/0.90/1.01元；对应当前股价PE为12.7/10.9/9.7倍。考虑到公司产能释放进展顺利，叠加分红比例有望维持高水平，公司长期投资价值凸显。维持“买入”评级。H1煤炭产量同比改善，吨煤售价承压致毛利下滑H1煤炭产量同比改善：2025H1公司原煤产量1782.1万吨，同比+15.86%，商品煤销量1788.4万吨，同比-14.15%，其中自产煤销量1034.6万吨，同比-13.19%，贸易煤销量753.8万吨，同比-15.43%。单季度来看， 2025Q2原煤产量873.5万吨，环比-3.87%，其中商品煤销量1025.5万吨，环比+34.44%，自产煤销量593万吨，环比+34.3%，贸易煤销量432.5万吨，环比+34.62%。吨煤售价承压：2025H1公司吨煤售价为519.9元/吨，同比-21.26%，其中自产煤吨煤价格为556.3元/吨，同比-18.89%，贸易煤吨煤价格为470元/吨，同比-24.93%；单季度来看，2025Q2公司吨煤售价为487.7元/吨，环比-13.42%，其中自产煤吨煤价格为528元/吨，环比-11.17%，贸易煤吨煤价格为432.4元/吨，环比-16.93%。H1自产煤毛利下滑：受价格下降影响，2025H1公司吨煤毛利为166.3元/吨，同比-26%，其中自产煤吨煤毛利为281.3元/吨，同比-25.76%，贸易煤吨煤毛利为8.4元/吨，同比-54.62%。单季度来看，2025Q2公司吨煤毛利为147元/吨，环比-23.52%，其中自产煤吨煤毛利为250.2元/吨，环比-22.55%，贸易煤吨煤毛利为5.4元/吨，环比-55.97%。强化项目环保建设，分红比例有望维持高水平强化项目建设环保升级：河曲露天等5座煤矿通过了国家一级安全生产标准化矿井初验；顺利完成所属矿井长春兴煤业矸石生态回填等环保项目，同时积极开展绿色矿山创建，2025H1共有经坊煤业等5座煤矿完成现场验收，公司生态环保主要指标持续向好。高分红长期投资价值凸显：2024年公司每股派发现金红利0.69元/股（含税），分红比例为60.3%，同比+30.05pct，分红比例望维持高水平，按2025年9月2日收盘价计算，当前公司股息率为7%。风险提示：经济增速低于预期；煤炭价格下跌风险；煤炭产销量不及预期。,,开源证券,买入,[None],2025-09-03,,买入,6389403,pdf_downloads/2025/2025-09-03/600546-山煤国际（600546）：公司信息更新报告：Q2业绩环比大幅改善，关注高分红价值.pdf,600546,山煤国际,山煤国际（600546）：公司信息更新报告：Q2业绩环比大幅改善，关注高分红价值
"刘永芳,温慧",山煤国际(600546)2025年8月27日，山煤国际公布2025年半年度报告2025年上半年，公司实现营业收入96.60亿元，同比下降31.28%，实现归属于母公司所有者的净利润6.55亿元，同比下降46.75%，扣除非经常性损益归属于母公司的净利润6.82亿元，同比下降50.56%，经营活动现金流净额-4.69亿元，同比下降119.71%，EPS（基本）0.33元/股，同比下降49.23%。2025年第二季度，公司实现单季度营业收入51.58亿元，环比增加14.56%，实现归属于母公司所有者的净利润4.0亿元，环比增加56.91%，扣除非经常性损益归属于母公司的净利润4.13亿元，环比增加53.53%，经营活动现金流净额6.68亿元，环比增加158.74%。上半年煤炭生产增产不增销，煤炭贸易量有所压缩煤炭生产业务：2025年上半年原煤产量1782.12万吨，同比增加15.86%，销量1034.56万吨，同比减少13.19%，营业收入57.56亿元，同比减少29.59%，吨煤营业成本159.64元/吨，同比减少32.87%，毛利29.11亿元，毛利率50.57%，同比降低4.68个百分点。2025年第二季度，单季度原煤产量873.48万吨，环比下降3.87%，销量593.01万吨，环比增加34.30%，营业收入31.31亿元，环比增加19.31%，吨煤营业成本188.56元/吨，环比增加43.01%，公司毛利14.84亿元，环比增加4.07%，毛利率47.39%，环比下降6.97个百分点。整体看，由于2024年上半年公司受“三超”检查的影响，煤炭产量减少，2025年煤炭产量在低基数和检查不严的作用下，产量增加；而上半年煤炭市场不景气，市场价格不断下调，港口库存偏高，公司煤炭销量下降，营业收入和毛利下滑幅度较大，在公司精细化管理下，毛利率虽小幅下滑但仍保持在高位。从单季度第二季度看，公司煤炭销量边际走好，营收和毛利较一季度大幅提升，但毛利率走低，营业成本有所提升。煤炭贸易业务：2025年上半年，贸易煤销量753.79万吨，同比下降15.48%，营业收入35.43亿元，同比减少36.51%，吨煤营业成本461.91元/吨，同比下降23.98元/吨，毛利0.63亿元，环比下降41.03%，毛利率1.78%，同比降低1.16个百分点。2025年第二季度，贸易煤销量432.51万吨，环比增加34.62%，营业收入18.70亿元，环比增加11.83%，吨煤营业成本427.04元/吨，环比减少15.98%，毛利0.23亿元，毛利率1.25%，环比下降1.11个百分点。整体看，同样受煤炭价格持续走低的影响，上半年煤炭贸易销量遭到压缩，营收和利润下降；从二季度单季度看，相较于一季度，贸易量和营收提升，但是毛利和毛利率减少，公司贸易业务在市场不景气时较为难做。公司进一步压降成本，经营活动现金流净额环比向好2025年上半年，公司“三费”进一步压降，销售费用1.56亿元，同比下降33.47%，管理费用6.48亿元，同比下降9.35%，财务费用同比下降27.29%。公司通过构建成本管控体系，将“产洗销贸运进”各环节成本纳入统一管理，持续开展“成本管家”行动，打通成本管理“最后一公里”，成本指标压降成效不断显现。2025年上半年，公司经营活动现金流净额-4.69亿元，同比减少119.71%，主要是报告期内煤炭价格下跌，销量下降，以及回款滞后，应收账款5.48亿元，同比增加82.98%，导致现金流入减少。从单季度看，二季度经营活动现金流净额6.68亿元，相较一季度-11.37亿元，环比增加158.74%，回款提速，现金流增多。积极拓展市场，增强经营管控能力公司坚持“量价联动、稳价保量”的原则，重点突破江苏、湖北、湖南等增量市场，积极开拓省内及河南区域的终端客户群体，实行销售团队全员营销，公司主要领导带队多次前往湖北等地电厂拜访对接，进一步拓宽销售渠道。公司建立“煤炭超市”的销售模式，以“水转水”方式实现“送煤到家”，辐射周边十余家电厂客户，有效缩短送货周期。公司加快构建现代企业治理体系，进一步完善“权责法定、权责透明、协调运转、有效制衡”的现代公司治理机制；深化三项制度和绩效管理改革，优化薪酬分配体系，构建与新质生产力发展相配套的以PBC为核心的绩效管理工作体系，充分激发“人努力”的主观能动性。投资建议2025年7月、8月正处“迎峰度夏”期间，天气温度高于往年，电厂煤炭日耗不断提升；强降雨频繁，煤矿正常生产受到干扰，在“反内卷”和超产检查的背景下，煤炭供给收紧，动力煤价格迎来一波上涨。当前“迎峰度夏”已近尾声，高温天范围缩小，电煤需求减少，但“反内卷”和超产检查持续，煤炭供给仍将受到限制，在供需双弱格局下，煤价或将开启下跌，但预计跌幅有限。考虑公司2025年原煤目标产量3500万吨，我们预计2025-2027年公司归母净利润为14.98/16.80/18.61亿元，对应EPS分别为0.76/0.85/0.94元/股，对应2025年9月3日收盘价的PE分别为12.79/11.41/10.30倍，因公司分红比例高并有持续可能，维持“谨慎推荐”评级。风险提示：国际环境不确定性增强，煤炭需求不及预期,,大同证券,谨慎推荐,[None],2025-09-03,,增持,6391128,pdf_downloads/2025/2025-09-03/600546-山煤国际（600546）：公司积极拓展市场，二季度业绩边际转好.pdf,600546,山煤国际,山煤国际（600546）：公司积极拓展市场，二季度业绩边际转好
