author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
程志峰,事件公司发布2023年第三季度财报。今年前三季度实现营业收入192.2亿元，同比减2.72%，归母净利润40.26亿元，同比增+15.31%；其中的Q1、Q2和Q3，单季实现营收为：57.4/64.8/69.9亿元，单季归母净利分别9.9/12.0/18.3亿元。报告披露今年前三季度的稀释EPS为0.21元/股，加权ROE为5.49%。点评公司以码头运营为核心，以港口物流和资本经营发展为重点的经营模式，主营业务主要包括集装箱、铁矿石、原油、煤炭、液化油品、粮食、矿建材料及其他货种的港口装卸及相关业务，同时从事综合物流、贸易销售等其他业务。看近2年，集装箱业务，营收占比30%左右，毛利润占比约38%，平均毛利率约为40%左右，此为公司核心业务；综合物流及代理，营收占比超35%，毛利润占比约为30%，平均毛利率约27%；其余业务包括大宗矿产和干散货的装卸，营收占比21%，毛利润占比约22%，平均毛利率约为35~38%左右。2023年前三季度，公司累计完成集装箱吞吐量3305万标准箱，同比增长4.0%，累计完成货物吞吐量84185万吨，同比增长5.6%。今年第三季度内，公司收购宁波大榭集装箱码头45%的股权，原持有其35%股权按公允价值重新计量，产生增值收益7.24亿元。投资评级我们看好公司在长三角地区港口资源整合力度，叠加对腹地货源基本盘的揽货方式拓展，首次覆盖，给予“增持”评级。风险提示港口跨区域竞争升级、外贸货量下滑超预期、港口收费政策变化。,,太平洋证券,增持,[None],2023-11-07,,增持,5381251,pdf_downloads/2023/2023-11-07/601018-宁波港（601018）2023年Q3点评：收购大榭码头，贡献第三季度业绩.pdf,601018,宁波港,宁波港（601018）2023年Q3点评：收购大榭码头，贡献第三季度业绩
陈晓,"事件:
    公司发布2018中报,上半年实现营业收入108.64亿元,同比增长35.67%;实现净利润15.63亿元,同比增长13.50%;实现扣非净利润14.94亿元,同比增长12.19%。
    投资要点:
    港口生产领域再创新高。
    上半年公司实现货物吞吐量3.92亿吨,同比增长6.9%;集装箱吞吐量上半年完成1402万标箱,同比增长7.4%,增幅高于沿海港口的平均水平。与此同时,集装箱航线航班也稳定增加,航线总数目前有249条,比去年年底新增6条,水水中转箱量同比增长10.6%,海铁联运得到了持续的发展,完成了26.3万标箱,同比增长44%。
    “一体两翼”全面提升。
    从区域来看,上半年宁波本港货物和集装箱吞吐量分别同比增长7.4%和3.8%;舟山本港分别同比增长24.3%和13.7%;嘉兴港务分别同比增长13.7%和15.3%;温州港集团分别同比增长6.6%和6.3%;义乌陆港集装箱作业量完成37.3万标箱,同比增长6.3%。宁波舟山两港实质性一体化以后,公司已能够统筹宁波舟山两港所有港口资源乃至全省沿海港口资源,进一步拓宽了港口业务未来发展空间。
    投资建议。
    公司是我国深水泊位最多的港口,同时也是国家“一带一路”战略中连接海运、铁路运输等多种运输方式的重要枢纽,未来将持续发挥港口传统优势,形成码头运作、现代物流、资本运作三轮驱动多元化发展模式。预计2018-2020年EPS分别为0.20元,0.23元和0.26元,维持“推荐”评级。
    风险提示。
    贸易摩擦不断升级的风险,周边港口竞争分流的风险。",,国联民生证券,推荐,[None],2018-09-07,,增持,2220751,"pdf_downloads/2018/2018-09-07/601018-宁波港(601018)：集装箱增速领跑行业,“一体两翼”全面提升.pdf",601018,宁波港,"宁波港(601018)：集装箱增速领跑行业,“一体两翼”全面提升"
"陈晓,王正成","事件：

公司发布2017年中报，上半年完成营业收入80.08亿元，同比下降7.19%；实现归母净利润13.77亿元，同比增长11.58%。

投资要点：公司上半年实现货物吞吐量3.66亿吨（+12.3%），集装箱吞吐量1305.4万TEU（+14.1%）。从整个宁波舟山港看，成为全球首个半年吞吐量突破5亿吨的港口。上半年港口集装箱吞吐量首次进入全球前三，在高基数的前提下能够实现14.7%的同比增幅，位列全球前十大港口增幅冠军。另外，在今年5月份集装箱吞吐量月增幅达到27%，在全球前十大港口中排名单月增幅首位。从分航线看，公司上半年欧线箱量、美东美西线箱量、东南亚线箱量均实现两位数增长，水水中转箱量同比增长25%（当前水水中转箱量公司占比已达27%），海铁联运箱量同比增长82%（截止目前公司海铁联运箱量已超过去年全年水平）。分货种看，公司上半年基础货种接卸量全面回升，其中铁矿石接卸量完成6668万吨，同比增长19.3%；煤炭接卸量完成2167万吨，同比增长11.1%；原油接卸量完成3799万吨，同比增长4.6%；液化品吞吐量完成480万吨，同比增长6.9%。鼠浪湖矿石中转码头逐步达到设计能力，上半年共接卸40万吨级船舶10艘次，该码头距离长江口较近，地理位置优势明显，去年四季度开始常态化每月靠泊两艘40万吨巨型矿石船，并与淡水河谷签订战略合作协议。今年5月24日全球最大集装箱船“东方香港”号（载箱量超过2.1万TEU），2月13日、8月7日全球最大原油船“泰欧”轮(42万载重吨)先后靠泊公司码头，显示公司码头接泊能力全球领先。上半年，证金公司持续增持公司股票，截至6月30日，持股比例由2016H的1.44%上升至2017H的4.66%，成为公司第二大股东。此外，公司成功被纳入MSCI指数，成为首批入选成分股的222家上市公司之一。

盈利预测

公司是我国深水泊位最多的港口，共拥有5万吨级以上的大型、特大型深水泊位93座，同时也是国家“一带一路”战略中连接海运、铁路运输等多种运输方式的重要枢纽。2016年成功实现宁波舟山港一体化后，公司港口叠加效应逐步显现，业绩不断释放，港口地位进一步提升，港口实力进一步增强。未来公司将充分发挥港口传统优势，形成码头运作、现代物流、资本运作三轮驱动多元化发展模式，业绩有望持续超出市场预期。预计2016-2018年EPS分别为0.21元，0.23元和0.25元，上调至“推荐”评级。

风险提示

航运市场波动的风险，相邻港口竞争的风险。",,国联民生证券,推荐,[None],2017-09-07,,增持,2061699,pdf_downloads/2017/2017-09-07/601018-宁波港：集装箱业务高歌猛进，一体化叠加效应显现.pdf,601018,宁波港,宁波港：集装箱业务高歌猛进，一体化叠加效应显现
"陈晓,王正成","事件：

公司发布2016年中报，报告期内，公司实现营业收入83.83亿元，同比下降2.58%，归属于上市公司股东的净利润11.82亿元，同比下降21.92%，归属于上市公司股东的扣除非经常性损益的净利润11.42亿元，同比下降23.27%。

投资要点：

业务规模整体下降，集装箱业务表现亮眼。上半年，公司货物吞吐量完成2.6亿吨，同比下降4.5%；集装箱吞吐量完成1164.7万标箱，同比增长3.1%。分项业务来看，集装箱装卸及相关业务报告期内实现营收13.69亿元，同比增长29.68%，表现亮眼。上半年公司整体业务毛利率为21.92%，较上年同期减少2.37个百分点。

资源整合稳步推进，市场拓展取得突破。报告期内，公司向控股股东宁波舟山港集团发行股份购买舟港股份资产取得重大进展。此外，公司上半年在港口生产总体保持稳定的前提下，市场拓展方面取得了一些新的突破。

投资合作取得新成果。一是项目建设有序推进。上半年，公司基建技改和合资合作项目投资共完成13.04亿元。二是合资合作成效明显。报告期内，公司积极推进梅山二期等国内合作项目。

投资建议：公司未来的主要看点在于宁波舟山港一体化，本次重组有利于推进浙江海洋经济发展示范区建设和舟山江海联运服务中心建设，发挥浙江不同区域的比较优势，优化形成重要海域基本功能区，构建以宁波—舟山港海域、海岛及其依托城市为核心区的“一核两翼三圈九区多岛”的海洋经济总体发展格局，看好公司重组完成后的持续发展。预计2016-2018年EPS分别为0.19元，0.20元和0.22元，维持“谨慎推荐”评级。

风险提示：航运业市场波动的风险，相邻港口竞争的风险。",,国联民生证券,谨慎推荐,[None],2016-09-01,,增持,1852200,"pdf_downloads/2016/2016-09-01/601018-宁波港(601018)：集装箱业务表现亮眼,看好宁波舟山港一体化.pdf",601018,宁波港,"宁波港(601018)：集装箱业务表现亮眼,看好宁波舟山港一体化"
"陈晓,王正成","事件：

宁波港7月1日发布公告，宁波港股份有限公司关于发行股份购买资产暨关联交易已获得中国证监会核准批复。本次重组为宁波港股份向控股股东宁波舟山港集团发行股份购买其持有的舟港股份85%的股份。本次重组后，公司将持有舟港股份100%的股份。

点评：

港口资源合理整合，推动集约化发展。伴随着我国经济增长方式的转变以及国家产业结构的调整，我国的化工、冶金、电力等重要产业的发展将更加注重规划，对于原油、矿石等战略资源的需求将呈现港口运输需求区域化的特点。在集装箱运输方面，我国的集装箱生成量也将随着我国经济增长方式的转变而发生变化。经济增长方式的变化和产业结构的调整势必改变我国对外贸易的结构，我国的外贸集装箱量将增幅放缓，进而可能影响到我国集装箱专业码头能力的利用。通过港口资源合理整合，能够让港与港之间充分发挥各自的优势资源，优化码头资源配置、提高码头资源综合利用能力，避免重复建设和恶性竞争。本次重组符合我国港口集约化发展的方向。

优化岸线资源开发，加快推进港口相关集疏运基础设施建设。港口资源整合有利于节约有限的岸线资源。岸线资源是不可再生的国家战略资源，港口属地化管理以及市场化经营以后，政府在岸线资源的总体掌控上难度增大，而港口间的资源整合能够实现有限岸线资源的高效利用，确保港口岸线作为国家稀缺战略资源的合理保护，符合国家可持续性发展的基本方针。同时，港口资源的区域整合能够避免重复建设和恶性竞争，节约港口资源开发的资金投入及社会成本。本次重组符合两港优化岸线资源开发，合理配置资源和明确功能布局等整体目标，将加快推进港口相关集疏运基础设施建设。

整合双方资源、发挥协同效应，提升整体实力。本次重组将加快宁波-舟山港一体化，实现两港优势互补，充分发挥宁波港的资金优势、管理优势和国际影响力，有效挖掘舟山港的资源优势和发展潜力，不断放大“1+1>2”的整合效应，促进宁波和舟山的两地双赢，进而推动浙江海洋经济强省建设，促进中国沿海港口的良性互动。合并完成后，两港将通过资产、人员、品牌、管理等各个要素的深度整合，加快推进港口综合规划、基础设施建设、重点港区开发、海事航运服务、口岸监管等五个一体化，从而推动上市公司资产规模扩大、业务收入增长、盈利能力提升，持续提升上市公司整体竞争实力。

盈利预测及估值：考虑到本次重组完全符合中共中央、国务院印发的《关于深化国有企业改革的指导意见》以及交通运输部印发的《关于推进港口转型升级的指导意见》要求，且有利于推进浙江海洋经济发展示范区建设和舟山江海联运服务中心建设，发挥浙江不同区域的比较优势，优化形成重要海域基本功能区，构建以宁波—舟山港海域、海岛及其依托城市为核心区的“一核两翼三圈九区多岛”的海洋经济总体发展格局，看好公司重组完成后的发展。预计2016-2018年EPS分别为0.20元，0.23元和0.27元，首次覆盖并给予“谨慎推荐”评级。

风险提示：航运业市场波动的风险，相邻港口竞争的风险。",,国联民生证券,谨慎推荐,[None],2016-07-05,,增持,1782693,"pdf_downloads/2016/2016-07-05/601018-宁波港(601018)公告点评：整合港口优质资源,提升整体竞争实力.pdf",601018,宁波港,"宁波港(601018)公告点评：整合港口优质资源,提升整体竞争实力"
苏宝亮,"业绩简评

宁波港2015年营业收入达到165.2亿，同比上涨23.15%。归属母公司净利润为25.54亿元，同比下降9.39%。公司拟每10股派发现金红利0.85元（含税）。

投资逻辑

贸易业务贡献营收，主业毛利下降拖累利润：2015年公司营业收入增长主要来源于14年8月成立的贸易公司贸易业务增量，但该业务毛利率仅2%，利润贡献微弱。公司港口业务整体来看，在量上同比小幅上升。全年货物吞吐量完成5.35亿吨，与上年持平；集装箱吞吐量完成2219.2万吨，同比增长6.1%。但整体各业务毛利率下降，导致利润增幅出现负增长。

宏观经济低迷，港口产能过剩，调整经营策略强化港口竞争力：2015年国内外经济增速放缓，导致外贸进出口业务量增速下降。同时近年港口集中建设导致产能过剩，竞争加剧，人工及折旧成本在不断上升，公司毛利率从2014年的31%下降至25%。公司面对激烈的市场环境，积极调整经营策略，强化服务质量，预计2016年在国家推进经济稳增长措施的情况下，业务量及收入触底反弹，毛利率下降速度减缓，降幅约1%。

港口资源整合，寻求协同发展：公司拟以每股8.16元的价格向宁波舟山集团发行3.7亿股收购舟港股份85%股份，重组后公司将以90.9%的股份控股舟港股份。宁波港吸收舟山港后将整合双方资源加快宁波-舟山港一体化，有效进行优势互补，优化资源配置，提高码头利用率。但从行业发展趋势来看，短期内整合很难对业绩有大幅提振，同时舟山港业务，资产体量相对较小，对宁波港利润影响不超过5%。

政策利好为公司带来新的发展机遇：国家面对宏观经济疲软的大环境，积极投入基础社设施建设，促进经济稳增长措施，公司业务预计将触底反弹。同时公司作为国内重要的铁矿石及大宗商品中转与储存基地，将主要受益于国家“一带一路”及长江经济带等战略部署，中长期来看公司将面临巨大需求的释放，利润有望回升。

投资建议

预计2016年国内外经济环境低迷将持续，公司积极调整经营策略、整合港口资源仅会对业绩进行改善，短期内难以改变增幅放缓的趋势，中长期来看可能受益于国家经济稳增长措施的推进及“一带一路”和长江经济带的战略部署。给与“增持”评级。

估值

我们预计公司2016-2018年EPS为0.22/0.22/0.24元/股。

风险

国内外经济增长持续放缓",,国金证券,增持,[None],2016-04-07,,增持,1742230,"pdf_downloads/2016/2016-04-07/601018-宁波港(601018)：港口步入发展新常态,整合增效渡过难关.pdf",601018,宁波港,"宁波港(601018)：港口步入发展新常态,整合增效渡过难关"
高世梁,"报告关键要素:

宁波-舟山港一体化。

事件:

宁波港（601018）定增收购舟山港股份有限公司（简称舟港股份）85%股份。

点评:

控股股东变更为宁波舟山港集团。15年9月公司公告，控股股东宁波港集团有限公司已完成和舟山港集团有限公司的合并事项，宁波港集团有限公司名称变更为宁波舟山港集团有限公司；股东及股东持股比例由原来的宁波市国资委100%持股变更为由宁波市国资委和舟山市国资委分别持股94.47%和5.53%。宁波舟山港集团有限公司持有公司75.46%的股份，为公司控股股东。

12月公司公告，浙江省国资委与宁波市国资委签署《关于浙江省国资委将所持省海港集团79.70%股权无偿划转给宁波市国资委的企业国有产权无偿划转协议》；浙江省国资委与舟山市国资委签署《关于浙江省国资委将所持省海港集团4.67%股权无偿划转给舟山市国资委的企业国有产权无偿划转协议》；宁波市国资委与省海港集团签署《关于宁波市国资委将所持宁波舟山港集团有限公司94.47%股权无偿划转给省海港集团的企业国有产权无偿划转协议》；舟山市国资委与省海港集团签署《关于舟山市国资委将所持宁波舟山港集团5.53%股权无偿划转给省海港集团的企业国有产权无偿划转协议》；通过上述无偿划转协议，宁波市国资委和舟山市国资委将所持有的合计100%宁波舟山港集团股权无偿划转至省海港集团；浙江省国资委将其所持有的省海港集团79.70%股权无偿划转至宁波市国资委，将其所持有的省海港集团4.67%股权无偿划转至舟山市国资委。公司控股股东仍为宁波舟山港集团，但根据省海港集团公司章程的约定，浙江省国资委为省海港集团的实际控制人，公司实际控制人由宁波市国资委变为浙江省国资委。

公司定增收购舟港股份。16年1月27日公司公布定增预案。公司拟30.12亿元向宁波舟山港集团定增不超过3.69亿股（每股8.16元）收购其持有的舟港股份85%股份（舟山港集团将予以注销）。本次重组前，公司持有舟港股份5.9%的股份，本次重组后，公司将持有舟港股份90.9%的股份，舟港股份持有公司0.17%股份（会转让并解决交叉持股问题）。

舟港股份情况。舟港股份成立于99年，是舟山港域最大公共码头运营商，主营业务包括港口装卸仓储、港口配套服务及港口综合物流。舟港股份所属码头主要用于接卸外贸货物，市场定位于大型散货船舶的中转储备。14年舟山港域港口吞吐量3.47亿吨，舟港股份权益货物吞吐量为5227.7万吨，占舟山港域总吞吐量的15.07%（舟山港域以货主码头为主）。而14年公司货物吞吐量为5.39亿吨，舟港股份的货物吞吐量只有公司的10%左右。

加快宁波-舟山港一体化，打造浙江港航强省。本次重组将加快宁波-舟山港一体化，实现两港优势互补，充分发挥宁波港资金优势、管理优势和国际影响力，有效挖掘舟山港的资源优势和发展潜力，不断放大“1+1>2”的整合效应，促进宁波和舟山的两地双赢，进而推动浙江海洋经济强省建设；通过港口资源合理整合，让港与港之间充分发挥各自的优势资源，优化码头资源配置、提高码头资源综合利用能力，避免重复建设和恶性竞争；给我国区域港群资源整合提供良好范例。

对业绩提升不大。以15年11月30日为截至时点，此次整合后公司总资产将从492.28亿提升到564.36亿。归属母公司所有者权益从321.6亿增长到335.25亿；营业收入从158.26亿提升到159.65亿，净利润从25.63亿增长到26.66亿。无论是业务量、资产还是收入利润规模，注入舟港股份对公司提升作用有限。

调降公司至“观望”的投资评级。预计15年公司每股收益为0.22元，16年完成定增后每股收益为0.23元，市盈率分别为37.09倍和35.48倍。由于公司从15年8月3日开始停牌且目前市盈率相比同类公司上港集团的17倍高出很多，公司复牌后股价会有调整要求。因此，我们调降公司至“观望”的投资评级。

风险提示：经济和贸易低迷导致港口业增速放缓。",,中原证券,观望,[None],2016-02-10,下调评级,中性,1724215,pdf_downloads/2016/2016-02-10/601018-宁波港(601018)点评报告：港口整合意义重大、业绩增厚效果有限.pdf,601018,宁波港,宁波港(601018)点评报告：港口整合意义重大、业绩增厚效果有限
辛潮东,"【交易策略点评】

技术走势分析：

该股为11月26日公司客户交易量最大的股票之一，宁波板块受到自贸区概念的推动出现快速上涨，该股为领涨个股之一，从联讯的分析系统看，机构线已经提前走牛，说明机构投资者已经布局提前布局该股，近期博弈线受到机构线的支撑转向向上，说明长短资金形成合力，从该股本周上涨力度来看，有可能出现强者恒强的走势，但从操作的角度看，风险因素也一定要考虑，所以如果介入该股要制定相应的风控措施。",,粤开证券,无评级,[None],2013-11-28,,,1049678,pdf_downloads/2013/2013-11-28/601018-宁波港：热门股点评.pdf,601018,宁波港,宁波港：热门股点评
江映德,"宁波港(601018.CH/人民币2.25,买入)2013年1-9月完成营业收入86.67亿人民币,同比增长48.6%;实现营业利润28.81亿元,同比增长17.8%;实现归属于母公司所有者净利润22.86亿人民币,同比增长2.4%,每股收益0.179元人民币。其中3季度净利润同比增长15.7%,基本符合我们的预期。前三季度公司扣非后的净利润同比增长10.4%,公司主营业务继续保持平稳增长。
    营改增以及企业合并范围变化导致收入和成本大幅增长。受营业税改征增值税导致的收入确认口径改变,公司原油中转业务和代理业务收入大幅增长;此外年初以来太仓武港以及浙江兴港货代纳入合并范围推动营业收入和营业成本大幅增长。从营业利润来看,前三季度同比增长17.8%,继续保持较快增长速度。而受上年合营企业转让泊位相关资产产生3.52亿元营业外收入使得同比基数高的因素影响,13年前三季度公司净利润增速回落,但扣非后净利润仍保持10%的增长速度。
    从业务量来看,2013年1-9月公司累计完成货物吞吐量3.67亿吨,同比增长10.1%;完成集装箱吞吐量1379万标准箱,同比增长7.9%。在全球经济疲软以及国内经济增速放缓的背景下,公司业务量继续保持较快增长速度,表现情况好于同等规模港口情况,与全国平均水平基本持平。
    在建项目陆续投产,短期使得折旧和财务成本压力增加,但打开长期成长空间。随着公司在建募投陆续转固并投入使用,折旧成本增加以及利息支出费用化使得财务费用上行对利润产生一定压力。但长期来看,公司成长空间被打开,未来随着欧美经济逐步好转,我国出口增速回升,公司集装箱码头产能利用率逐步上升有望带动公司业绩快速增长。
    综合来看,公司经营稳健,货种齐全,在宏观经济增速下行的背景下抗风险能力较强,再加上公司控制成本的努力,以及陆续投资的银行保险等股权贡献投资收益,公司未来业绩有望继续保持稳定增长。目前公司股价对应2013年市盈率仅10倍,估值较低,可作为防御性品种,我们暂维持对公司的盈利预测和买入评级不变。",,中银国际,买入,[None],2013-11-01,,买入,779928,pdf_downloads/2013/2013-11-01/601018-宁波港(601018)消息快报：宁波港(601018)2013年前三季度净利润同比增长2.4%.pdf,601018,宁波港,宁波港(601018)消息快报：宁波港(601018)2013年前三季度净利润同比增长2.4%
江映德,"宁波港(601018.CH/人民币2.65,买入)2013年上半年完成营业收入56.26亿人民币,同比增长46.2%;营业利润18.60亿元,同比增长15.4%;实现归属于母公司所有者净利润14.78亿人民币,同比略降3.6%,每股收益0.115元人民币。
    其中2季度营业利润和净利润同比分别增长15.7%和15.1%,2季度业绩略好于我们的预期。受2012年上半年合营企业转让泊位相关资产产生3.52亿元营业外收入使得上年同比基数高的因素影响,13年上半年公司净利润同比微跌。但从主营业务来看,仍保持平稳快速增长。
    从业务量来看,2013年上半年公司累计完成货物吞吐量2.39亿吨,同比增长8.8%;完成集装箱吞吐量892万标准箱,同比增长7.3%,其他各货种均保持平稳增长,其中受益于外贸煤炭进口速度较快,上半年公司煤炭接卸量完成2746万吨,同比增长22.8%。在全球经济疲软以及国内经济增速放缓的背景下,公司业务量继续保持较快增长速度,表现情况好于同等规模港口情况。
    营改增收入确认口径变化导致收入大幅增长,并压低毛利率。由于营业税改征增值税导致的收入确认口径改变,公司原油中转业务和代理业务收入大幅增长并带动主营业务收入大幅增长,并拖累综合毛利率下行。但是公司上半年加大成本控制力度,使得同口径下成本增幅仅5.4%,取得明显效果。此外,随着在建项目陆续转固,利息费用化增加使得财务费用上行也对利润产生一定压力。
    综合来看,随着新建码头陆续投产以及原有码头改造完成,公司港口货物吞吐量有望继续保持平稳较快的增长速度,表现优于同业水平。再加上公司控制成本的努力,以及合联营企业贡献投资收益的快速增长,公司未来业绩有望继续保持稳定增长。由于公司货种齐全,抗风险能力相对较强,且目前公司股价对应2013年市盈率仅11倍,估值较低,可作为防御性品种,我们暂维持对公司的盈利预测和买入评级不变。",,中银国际,买入,[None],2013-09-03,,买入,611246,pdf_downloads/2013/2013-09-03/601018-宁波港(601018)：2013年中期净利润同比略降3.6%.pdf,601018,宁波港,宁波港(601018)：2013年中期净利润同比略降3.6%
