author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
朱珠,全产业链布局，线上线下资源互动构建全渠道流量入口协同优势  ：建立融合媒体平台，打通内容、消费、文旅等产品及服务，实现多样化产业布局向多场景用户的转化，弥补移动互联网用户拓展的能力短板，助推公司线上线下创新场景的发展，截止2024年年底，东方明珠融合媒体平台服务全国IPTV用户超 6100万户，OTT用户超1.1亿户，广电5G用户超235万户；同时，借助标志性文化娱乐旅游资源，带动线下文化旅游及 IP 衍生消费，共同构筑起公司在文旅市场的核心竞争优势。通过内容、应用、运营平台到终端的深度协作，实现业务在全渠道、全终端之间的互动，筑高竞争壁垒。全牌照运营优势 ：拥有 IPTV 全国内容服务牌照、全国互联网电视集成播控牌照与内容服务牌照、全国数字付费电视集成播控牌照、全国手机电视集成播控牌照和内容服务牌照相关业务经营权，同时还拥有网络视频运营牌照、全国数字院线运营牌照、游戏游艺设备业务资质、影视剧及节目制作资质、网络游戏经营许可等业务牌照或资质，公司的全牌照运营优势日益凸显。,,华鑫证券,买入,[None],2025-09-11,,买入,6420890,pdf_downloads/2025/2025-09-11/600637-东方明珠（600637）：AI时代全牌照新媒体龙头如何看？.pdf,600637,东方明珠,东方明珠（600637）：AI时代全牌照新媒体龙头如何看？
朱珠,投资要点主业稳健利于平滑经济周期波动带来的不确定性公司2025上半年营收33.76亿元（同比+2.13%），归母净利润、扣非净利润分别为3.44、2.66亿元（同比-18.65%、-23.58%），经营活动现金流量净额5.06亿元（由负转正）。2025上半年公司主营业务智慧广电、文化消费、其它业务的收入分别为23.2、9.6、0.9亿元（同比+8.15%、-7.53%、-20.58%），收入占比分别为69%、28%、3%，毛利率分别为22.77%、47.33%、20%，其中智慧广电主要是融合媒体与智慧广电5G业务组成，融合媒体业务主要有线电视、IPTV、OTT、移动互联网终端、影视内容制作与发行、游戏等；总体看，智慧广电业务夯实了东方明珠收入基础盘，文化消费业务夯实毛利率基本盘；主业基础盘稳健有利于平滑经济周期波动的不确定性；2025上半年公司每10 股派发现金股利人民币0.50 元(含税)，积极践行股东回报。AI时代国有文化传媒集团数字化转型提速 商业模式新探索可期东方明珠是上海广播电视台(上海文化广播影视集团有限公司SMG)旗下统一的产业平台和资本平台，公司拥有国内全渠道视频集成与分发平台及独具特色的文化内容、文旅消费等资源，积极响应主流媒体变革号召，落实“全媒体传播建设工程”，推进传媒多模态语料库、文旅数据运营基座等建设，通过“内容+产品+服务”模式，助力公司从传统媒体向数智文化综合服务商的转型。同时，SMG作为控股股东，提供内容创制与技术协同支持，强化了公司在产业链上的资源整合能力。AI时代，作为传统国有文化传媒集团，如何抓住时代的红利？东方明珠加速数字化转型，建设生成式AI平台与大模型语料库，推出智能客服、生活助理智能体Agent等服务，提升个性化体验。同时，2025年东方明珠与上海头部的人工智能企业 MiniMax、阶跃星辰建立合作，共同开启数字人、多模型在电商领域的应用。向内积极提速数字化，向外以投资为支点扩朋友圈东方明珠夯实内容优势，深化线上与线下融合的体验经济，围绕“都市新生活、年轻新表达”定位持续推出精品内容如《蛮好的人生》《紫川》（第二季），并推动“影视IP+线下体验”文旅融合模式，带动线下打卡与消费；公司拥有并运营东方明珠广播电视塔、上海国际会议中心（东方滨江大酒店）、梅赛德斯-奔驰文化中心、东方绿舟等多个上海标志性文化旅游资源，构建了特色线下渠道矩阵。同时，积极推动文化内容出海发挥东方媒体城文化地产优势，续写东方文化新篇章；向外将发挥资本平台和产业平台作用，推进市场化投资项目开发储备及业务落地，且助力现有业务升级。盈利预测预测公司2025-2027年营收78.13、79.70、82.17亿元，归母净利润分别为7.35、8.05、8.79亿元，EPS分别为0.22、0.24、0.26元，当前股价对应PE分别为41.8、38.1、34.9倍，作为国有文化传媒集团排头兵，AI时代有望开启增长新引擎，通过技术赋能、内容升级、场景再造、产融结合等维度推动公司业务持续升级，国有文化传媒集团有肩负推动文化强国建设的重任，东方明珠不只是“一座塔”，更是文化数字化发展的新坐标，基于体制、资本、地理优势等维度看，东方明珠有望承接时代发展的新红利，首次覆盖，给予“买入”投资评级。风险提示新业务探索不及预期的风险、知识产权侵权风险、影视作品未过审查风险、线下文旅项目运营不及预期的风险、节目上线不及预期的风险、人才流失的风险、新技术应用不及预期的风险、宏观经济波动的风险。,,华鑫证券,买入,[None],2025-08-29,,买入,6364640,pdf_downloads/2025/2025-08-29/600637-东方明珠（600637）：公司动态研究报告：AI时代有望续写新篇章.pdf,600637,东方明珠,东方明珠（600637）：公司动态研究报告：AI时代有望续写新篇章
"周钊,朱珺","H1扣非归母净利同降22.1%，业绩承压公司21H1营收/归母净利/扣非归母净利45.11/8.37/5.84亿元，分别同比-13.2%/-16.4%/-22.1%，收入净利有所下滑主要受地产项目销售波动影响；21Q2营收/归母净利/扣非归母净利24.89/5.55/4.01亿元，分别同比-10.4%/-22.6%/-24.7%。我们维持盈利预测，预计公司21-23年归母净利16.74/17.49/18.45亿元，对应EPS 0.49/0.51/0.54元。21年可比公司Wind一致预期均值为20X PE，考虑到公司业绩增速不及可比公司，我们给予公司21年PE 18X，对应目标价8.82元，维持“增持”评级。推动“BesTV+媒体网络”战略，用户覆盖面持续扩宽公司以“BesTV+媒体网络”战略为核心，与SMG共同打造“B+会员”服务体系，实现多品类服务权益互通，用户覆盖面持续拓宽。截至21H1，BesTV拥有OTT用户7,409万，同增27.2%，IPTV用户6,010万，同增31.6%；有线电视渠道方面，付费电视有效用户达5,600万，同比基本持平，互动点播用户数1,850万，同增2.8%；东方购物会员总数1,136万，同降14.3%。线上业务基本稳定，文化和旅游承压公司流媒体业务聚合OTT、IPTV、电视购物、游戏业务等线上核心资源，21H1营收16.24亿元，同降0.75%；公司持续推进广电媒体融合发展、国网整合、广电5G项目等核心任务，广电网络营收14.12亿元，同降2.65%；文化和旅游业务营收12.81亿元，同降31.56%，主要系地产项目波动。毛利率有所下滑，期间费用率小幅提升21H1流媒体/广电网络/文化和旅游毛利率分别为61.2%/15.2%/9.2%，分别同比+18.3/+7.7/-46.6pct，流媒体毛利率提升主要系版权采购成本降低。受文化与旅游业务影响，21H1公司毛利率30.8%，同比-6.0pct，21Q2毛利率32.7%，同比-3.7pct。21H1公司销售/管理/研发/财务费用率8.1%/10.7%/2.5%/-2.1%，分别同比+1.0/+1.6/+0.3/-0.9pct，其中21Q2销售/管理/研发/财务费用率7.9%/10.2%/2.6%/-2.6%，分别同比+0.9/+1.3/+0.2/-1.4pct。流媒战略持续推进，维持“增持”评级公司“BestTV+媒体网络战略”持续推进，我们维持盈利预测，预计公司21-23年归母净利16.74/17.49/18.45亿元，对应EPS 0.49/0.51/0.54元。21年可比公司Wind一致预期均值为20X PE，我们给予公司21年PE 18X，对应目标价8.82元，维持“增持”评级。风险提示：付费电视用户数量下降，视频购物业务收入下滑。",,华泰证券,增持,[None],2021-09-01,,增持,4605833,pdf_downloads/2021/2021-09-01/600637-东方明珠（600637）：广电业务基本稳定，线下文旅承压.pdf,600637,东方明珠,东方明珠（600637）：广电业务基本稳定，线下文旅承压
"周钊,朱珺","2020年受疫情影响，公司主营业务相对承压公司20年实现营收/归母净利/扣非归母净利100.3/16.2/10.9亿元，同比-18.9%/-19.7%/+178.9%（20年年报调整后）。由于会计准则变更，营收低于我们预期（126.5亿元）；归母净利基本符合预期（15.84亿元）。21Q1营收/归母净利/扣非归母净利20.2/2.8/1.8亿元，同比-16.5%/-1.1%/-15.6%。我们调整公司21-23年归母净利为16.74/17.49/18.45亿元，给予公司21年PE 20X，对应目标价9.80元（前值10.12元），维持“增持”评级。剔除东方有线并表影响，主营业务相对承压受到疫情影响，公司主营业务相对承压。分板块看，20年影视互娱/媒体网络/视频购物/文旅消费/投资管理营收8.2/55.8/10.7/24.6/0.2亿元，分别同比+25.1%/+39.8%/-81.0%/+28.1%/-17.8%，媒体网络保持较快增长，主要系19Q4并表东方有线，传统IPTV/OTT则分别同比下滑16.7%/46.5%；视频购物收入确认由全额法改为净额法，收入下降而毛利同比提升65.1pct。顺应广电5G规划，持续推进BesTV流媒体战略公司顺应媒体融合趋势和国家广电5G规划，持续推进BesTV战略，20年推出全新“百视TV”流媒体产品。截至20年底，“百视TV”B+文娱产品月活达到300万，B+商城商品品类达到1,786个，IPTV/OTT业务用户分别达到5,865/6,071万，分别同比+1.4%/+41.0%，付费电视有效用户/互动点播用户分别达到5,700/2,100万，分别同比-5.0%/+23.5%。20年受会计准则变更影响，毛利率增加；期间费用率有所提升受会计准则变更影响，20年影视互娱/视频购物毛利率达到17.8%/83.9%，分别同比+16.7/+65.1pct，带动整体毛利率提升至34.2%，同比+10.6pct。2020年销售/管理/研发/财务费用分别为8.1%/9.8%/2.9%/-1.1%，分别同比+1.9/+2.4/+1.0/-0.4pct。流媒体战略逐步推进，维持“增持”评级公司BesTV流媒体战略逐步推进。由于会计准则变更，我们下调公司21-22年营收至103.6/108.5亿元（前值131.7/137.6亿元），上调21-22年毛利率至34.6%/34.5%（前值25.2%/27.0%），我们预计公司21-23年归母净利16.74/17.49/ 18.45亿元（21-22年前值17.65/20.05亿元），对应EPS0.49/0.51/0.54元，参考可比公司21年Wind一致预期平均PE 25.6X，考虑到公司业务多元化，较行业平均估值应有折价，给予公司21年PE 20 X，对应目标价9.80元（前值10.12元），维持“增持”评级。风险提示：付费电视用户数量下降、视频购物业务收入下降。",,华泰证券,增持,[None],2021-05-06,,增持,4505008,pdf_downloads/2021/2021-05-06/600637-东方明珠（600637）：持续推进流媒体战略，积极转型.pdf,600637,东方明珠,东方明珠（600637）：持续推进流媒体战略，积极转型
"周钊,朱珺","流媒体战略推进，维持“增持” 评级公司 Q1-Q3 实现营收 76.28 亿元，同比-10.85%；归母净利 13.07 亿元，同增 1.01%；扣非后归母净利 9.48 亿元，同比-2.2%。 Q3 单季分别实现营收/归母净利润/扣非归母净利润 17.28/3.06/1.98 亿元，同比-39.39%/+30.29%/-19.24%。扣非净利持续受疫情影响（包括影视、文旅等业务）。我们维持盈利预测，预计 2020-22 年归母净利润 15.84/17.65/ 20.05 亿元，EPS 0.46/0.52/0.59 元。 可比公司 20 年 Wind 一致预期平均 PE 30X， 存在广电整合溢价，公司业务多元化，较行业平均估值应有折价，给予公司20 年 22X PE 估值，对应目标价 10.12 元，维持“增持”评级。Q3 营收及毛利率同比明显波动，主因会计准则变更营收方面，公司 Q3 单季度实现营收 17.28 亿元，同比大幅下降 39.39%；Q3 毛利率 35.89%，同比提升 9.64pct， 主因会计准则变更影响。 根据公司 2019 年报， 自 2020 年起公司商品与服务收入确认由全额法逐步转为净额法，导致 Q3 期内公司旗下东方购物营收及利润率水平受到显著影响，带动整体营收增速及毛利率出现较为明显波动。东方有线并表后 Q3 期间费用率有所抬升，投资收益拉高净利率水平公司 20Q3 期间费用率同比增加 14.02pct 至 26.17%，其中销售/管理/研发/ 财 务 费 用 率 分 别 为 10.13%/14.07%/3.23%/-1.25% ， 同 比 +4.03pct/+7.42pct/+1.61pct/+0.96pct。销售费用率和管理费用率显著提升，主因公司 19Q4 并表东方有线，使得公司整体期间费用率同比提升。另外， 20Q3公司实现投资收益 1.82 亿元（19Q3 为亏损 0.23 亿元），对于净利润率水平提升存在明显贡献， 公司 Q3 净利润率同比增加 7.74pct 至 17.19%。持续发力 BesTV+流媒体战略， 顺应媒体融合趋势及广电 5G 建设公司于 9 月 3 日联合上海广播电视台、上海文化广播影视集团有限公司（SMG）召开 2020 年流媒体战略发布会，正式发布 BesTV+流媒体产品。公司将围绕 BesTV+平台为用户提供多内容、多服务、多场景、跨终端的融合媒体服务。截至 2020 年 6 月底，公司 BesTV 融合渠道平台服务 5,823万 IPTV 业务用户，拥有 4,566 万 OTT 业务用户、 1,800 万互动点播用户。此外，公司 BesTV+流媒体平台于 9 月 18 日获准成为中国广播电视网络有限公司“广电 5G 应用平台(上海试点)”，入局广电 5G 平台前期业务探索。流媒体战略推进，维持“增持” 评级公司顺应融媒体及广电 5G 建设趋势，持续发力 BesTV+流媒体战略。 我们维持盈利预测，预计 2020-2022 年净利润为 15.84/17.65/20.05 亿元， 对应 EPS 为 0.46/0.52/0.59 元。可比公司 2020 年行业平均 PE 水平 30X，存在广电改革的估值溢价，公司业务多元化，较行业平均估值应有折价，给予公司 20 年 22X PE 估值（前值 25X， Q3 业绩波动明显，影视文旅等业务依旧承压），调整目标价为 10.12 元（前值 11.50 元），维持“增持”评级。风险提示：付费电视用户数量下降、视频购物业务收入下降等",,华泰证券,增持,[None],2020-11-02,,增持,4366040,pdf_downloads/2020/2020-11-02/600637-东方明珠（600637）：Q3净利同增30%，流媒体战略推进.pdf,600637,东方明珠,东方明珠（600637）：Q3净利同增30%，流媒体战略推进
杨晓彤,东方明珠(600637)一、事件东方明珠发布2020年三季度报告。二、我们的分析与判断Q3营收小幅下滑，现金流充裕财务状况健康。2020年三季度公司实现营业收入76.28亿元，同比下降10.85%；归属于上市公司股东的净利润13.07亿元，同比上升1.01%。此外，公司现金流充裕，2020年Q3经营活动现金净流量24.08亿元，同比+125.08%，财务状况健康，抗结构性风险能力强。5G将推动“BesTV+”流媒体战略快速推进。中国广电股份有限公司于10月正式成立，东方明珠作为广电系公司中持有国网公司股份最多的一家，5G时代的开启为其在流媒体平台的发展提供优势。9月3日发布的“BesTV+”流媒体战略将打通渠道和内容、打通大屏和小屏、打通专网和移动互联网、打通线上和线下，并打造用户服务体系，实现内容与服务双轮驱动。公司中报数据显示BesTV移动端月活数约为8100万，公司原有的庞大用户基础或将直接转化为“BestTV+”用户流量，平台打造的全渠道文娱生活服务模式有望激发更多消费潜力，未来“BestTV+”有望为公司提供明显业绩增量。拥有大量精品游戏版权，联手移动进军云游戏领域。随着5G的商业落地加速，云游戏将依托5G得到快速发展，今年8月1日，公司正式成为中国移动咪咕快游云游戏战略合作伙伴，此次和中国移动联手进军云游戏领域，具备技术+内容优势，在未来云游戏市场有望较早受益。公司引入众多海外3A游戏，拥有《索尼克力量》《最终幻想15》《怀疑》等游戏版权。公司于今年再次引进《幻兽契约》、《密特拉之星》两款在日本表现较好的游戏并获得版号。三、投资建议公司一直在不断尝试多元化布局，持续看好公司的中长期表现。预计公司20、21年归母净利润分别为21.27亿元/26.53亿元，同比增长4.11%/24.72%，对应EPS分别为0.62/0.78，对应PE分别为14x/11x，给予推荐评级。四、风险提示市场竞争加剧的风险，监管政策变动的风险，知识产权侵权的风险，疫情状况影响的风险，公共卫生风险等。,,银河证券,推荐,[None],2020-10-29,,买入,4363401,pdf_downloads/2020/2020-10-29/600637-东方明珠（600637）2020Q3报告点评：流媒体战略快速推进，受益5G业绩将迎来催化.pdf,600637,东方明珠,东方明珠（600637）2020Q3报告点评：流媒体战略快速推进，受益5G业绩将迎来催化
马笑,"事件：2020年8月25日，公司披露2020年年中报告公司2020年上半年营收为59.00亿元，同比增长3.41%，归母净利润为10.03亿元，扣非归母净利润为7.5亿元，同比增长5.02%。一季度受新冠疫情影响，东方明珠二季度抓住媒体融合、国网整合和广电5G国家战略等发展机遇，全力推进BesTV+流媒体战略落地，同时，以OPG云为技术支撑，以文娱内容、垂直产业应用服务为产品形态，以有线网、电信网以及（移动）互联网、物联网为渠道载体，开展全渠道、全终端、全产业链的智慧运营，实现恢复增长,，其中媒体网络业务板块同比增长73.64%，文旅消费业务板块同比增长105.25%。公司有序进行新兴业务布局，着力推动BesTV+流媒体平台战略落地公司顺应媒体融合发展趋势，抓住广电5G国家战略机遇，重点推进BesTV＋流媒体战略落地。公司利用丰富的内容、服务、渠道等资源和能力优势，定位全国性广电5G平台运营商和内容服务商，公司已储备超过3000小时4K内容，初步建立超高清内容制播体系；公司以构筑BesTV+流媒体平台，打造新支撑、新动能、新场景，提供“最后一公里”解决方案；同时，建设智慧社区、城市大脑等项目为抓手，颠覆原有的单一业务模式，有序建设全方位、全领域的新兴业务布局。公司四大产业板块协同发展，坚守国际化战略，推进全渠道发展公司持续注重四大产业板块推进，明确行业定位，聚焦主营业务长期增长。公司推进融合媒体平台打造，不断夯实融合媒体产品在有线电视、IPTV、BesTV移动客户端的分发，强化渠道扩展和内容产品运营优势，扩大产品覆盖和用户规模，BesTV、IPTV用户规模达5823万，全国驻地规模29个，互联网电视、付费电视用户规模分别为4566万、5600万，互动点播品台合作达40个，用户达1800万。影视互娱业务坚守精品化路线，以输出优质内容为核心，上半年制作发行中的影视作品涵盖多项重点热点题材；坚守国际化战略，推动优质节目、影视、游戏海外推广的同时引进海外优质项目；视频购物业务围绕“稳住大屏，移动优先”的方针，推动建设以“巨人计划”等七大重点项目为基础的全媒体立体销售平台，探索创新与收益兼得的全新模式；文旅消费业务推进线上线下渠道融合创新，推进“东方智媒城”项目，打造媒体一体化平台，实现全国文旅项目的战略布局。看好BesTV+流媒体平台发展，公司战略布局有助于抓住媒体融合、广电5G战略机遇，维持“推荐”评级公司现行战略布局有助于抓住媒体融合、广电5G战略机遇，看好BesTV+流媒体平台发展。在媒体融合和广电5G战略背景下，公司基于现有的资源和能力优势，BesTV+流媒体平台有望成为新的营业增长点，OPG混合云平台促进实现技术赋能业务，扩大产品覆盖和用户规模，预计公司2020年-2022年营业总收入分别为132.18亿元、144.47亿元、150.72亿元，净利润分别为22.36亿元、24.91亿元、27.58亿元，同比增长9.4%、11.4%、10.7%，对应PE分别为16倍、14倍、13倍。维持“推荐”评级。风险提示：内容合规风险、流媒体+BesTV平台建设不及预期等。",,诚通证券,推荐,[None],2020-08-26,,买入,4318760,pdf_downloads/2020/2020-08-26/600637-东方明珠（600637）2020年中报预告点评：2020年H1业绩增长符合预期，推进BesTV+流媒体战略未来可期.pdf,600637,东方明珠,东方明珠（600637）2020年中报预告点评：2020年H1业绩增长符合预期，推进BesTV+流媒体战略未来可期
杨晓彤,"东方明珠(600637)一、事件东方明珠发布2019年年报：2019年公司实现营业收入123.45亿元，同比下降9.46%；归属于上市公司股东的净利润20.43亿元，同比上升1.37%.二、我们的分析与判断公司拥有国内领先的多渠道媒体网络融合平台，在IPTV、互联网电视、有线电视、移动视频等业务方面具有广泛用户基础。旗下子公司在视频购物行业处于龙头地位，同时积极探索“电购”+“电商”的互联网化购物新模式。（一）IPTV业务为业绩亮点，用户规模持续增长公司打造BesTV融合媒体平台，推进IPTV、互联网电视、有线电视、移动视频等多渠道发展。BesTVIPTV用户数由2013年的2000万人增长至2019年的5786万，Bestv移动端月活跃用户数达到8100万人。公司目前已成为全国最大的有线数字高清付费频道集成运营平台，用户规模持续增长。高、标清频道付费电视用户覆盖全国31个省、市、自治区2亿数字电视用户，拥有自有及集成的高清付费频道共计18套。高清频道已落地全国29个省、市、自治区，付费电视有效用户达6000万人，互动点播合作平台达到40个，用户达1700万。（二）5G+8K产业布局加速，持续推进媒体网络业务公司目前拥有3000小时4K内容储备，BesTV融合媒体平台4K专区已于多个省份落地，在4K领域具备一定领先优势。9月，公司推出全国首家以8K内容放映、8K沉浸式体验为特色8K影像实验室；2019年底，公司打造AI互动教育内容，完成了5G+4K，5G+VR多次直播尝试。未来5G也将持续助力4K/8K超高清发展，公司已与中国电信、富士康等行业领先的合作伙伴联合展示了基于5G网络传输8K视频应用，成立“5G+8K”产业联盟，通过整合各自优势资源，携手打造5G/8K业务领域的联合发展新格局。（三）直播电商迎来发展，视频购物业务有望高速增长如今，线上消费已成为越来越多消费者选择的购物方式，居民在线消费习惯已逐渐养成。受疫情影响，消费模式由线下转到了线上，电商直播迎来发展新机遇，消费的供给和需求两端都渴望直播电商的助力，未来行业规模有望保持高瞻。公司旗下东方购物为全国销售规模最大的视频购物平台，正积极运用直播途径促进业务发展，获评淘宝直播“2019年度优秀媒体公司”，且公司为解决电视购物当前在“用户服务、营商环境、风险控制、运营效率”等方面的困境所推出的视频购物中台“巨人计划”已取得阶段进展。2019年6月东方购物打造的“疯狂618”活动中，总订购额突破1.57亿元、订购量同比增长40.6%。其中与永达汽车、淘宝直播共同打造的“疯狂618，烈夜狂欢”网络直播节目，观看人数超过300万、总订购额突破5800万元；与京东、双立人打造的“东方购物×京东”双立人超级品牌日直播活动，订购额突破1000万元，访客环比增长300%。直播模式为视频购物业务增长创造机遇。（四）充分发挥平台优势，助力在线教育平稳运行受疫情影响，我国教育活动受到前所未有的冲击，教学沟通由线下转至线上，线上教育得到了广泛推广。疫情期间，公司从频道开设、安全播出、技术支撑、编排、运营服务等方面为百万学生提供全方位的安全保障，其旗下的百事通开设从小学一年级到高中三年级共十二个频道的直播课程，通过东方有线、百事通IPTV、BesTVAPP等平台平台，上线首日，观看课程直播的学生数高达143.3万人，占上海市中小学生总数的93.6%。未来公司还将继续发挥大屏、内容、用户基础等优势，继续推进在线教育业务的发展。三、投资建议5G+超高清的快速落地赋能公司对新媒体业务及电商直播业务的战略布局,我们看好公司在5G时期的成长机遇。预计公司20、21年归属于上市公司股东的净利润分别为21.27亿元/26.53亿元，同比增长4.11%/24.72%，对应EPS分别为0.62/0.78，对应PE分别为14x/11x，给予推荐评级。四、风险提示市场竞争加剧的风险，监管政策变动的风险，知识产权侵权的风险疫情状况影响的风险，公共卫生风险等。",,银河证券,推荐,[None],2020-04-30,,买入,4233194,pdf_downloads/2020/2020-04-30/600637-东方明珠（600637）2019年报点评：媒体网络业务持续看好，直播电商驱动业绩增长.pdf,600637,东方明珠,东方明珠（600637）2019年报点评：媒体网络业务持续看好，直播电商驱动业绩增长
胡皓,东方明珠(600637)事件：2020年1月13日，东方明珠旗下文化地产板块公司东方实业，与临港管理委员会签署合作协议，投资建设影视工业4.0示范实践区等项目，有利于公司补充内容业务，进一步丰富线上线下产业链。同时根据广电独家公号披露的SMG工作会议讲话，SMG面对新一轮发展机遇，继续践行媒体融合，结合公司购物等业务变化，加强娱乐内容投入，或迎来新一轮高速发展。视频购物业务贡献主要收入，媒体网络等业务稳健发展，现金储备充沛受到行业及公司业务整合影响，公司2015-2019年营收与净利润呈现下降趋势，电商购物成为公司业绩第一大支撑力。公司2015年重组后经过三年多整合，将14大事业群整合为4大产业板块：媒体网络、影视互娱、视频购物及文旅消费。2019年上半年，电视购物业务实现营收29.11亿元，媒体网络实现营收14.31亿元，文化旅游实现营收9.12亿元，影视互娱实现营收3.76亿，分别占比51%、25%、16%和7%。传统业务方面公司IPTV及PTT用户数不断增长，东方购物会员总数屡创新高，并且拥有东方明珠广播电视塔、上海国际会议中心、奔驰文化中心等上海本地不可复制、标志性文化娱乐旅游资源。截止2019年三季度，公司账面现金达70多亿元。公司东方购物迎来直播带货，有望建立内容生态打开视频购物的新发展公司旗下东方购物是目前全国销售规模最大的视频购物平台，截止2019年上半年，已实现注册会员1250万。东方购物以视频购物为特色，同时通过建立电视、网站、APP、OTT、IPTV等全通路渠道，形成了行业领先的“平台共享、多屏合一、全渠道覆盖”业务模式。2019年3月，公司与阿里巴巴合作，启动了“巨人计划”，打通东方购物传统业务与新商业模式间壁垒，搭建起视频购物的行业生态。公司积极推进视频购物新生态，有望协同娱乐内容发展。看好公司全牌照优势，建设“电购+电商”新生态，给予“推荐”评级公司的“电购+电商”新模式，加码多屏直播带货，未来发展可期。我们预测2019-2021年实现净利润分别为20.05亿元、20.87亿元、22.8亿元，同比增长-0.5%、4.1%、9.3%，对应EPS分别为0.59元、0.61元、0.67元。公司业务逐步改善，协同可期，有望把握发展新机遇，维持“推荐”评级。风险提示：战略推进不及预期、市场竞争加剧、视频购物业绩不及预期等。,,诚通证券,推荐,[None],2020-01-20,,买入,4145627,pdf_downloads/2020/2020-01-20/600637-东方明珠（600637）公司点评：业务协同再出发，迎来“文旅内容消费+视频电商购物”产业新生态.pdf,600637,东方明珠,东方明珠（600637）公司点评：业务协同再出发，迎来“文旅内容消费+视频电商购物”产业新生态
"徐林锋,李婉云",依托上海辐射全国，业务横跨多领域：公司是上海广播电视台、 上海文化广播影视集团有限公司（SMG）旗下统一的产业平台和资本平台。公司业务涵盖媒体网络、 视频购物、 影视娱乐以及文旅消费等，是上海本地的媒体和生活服务龙头，是中国媒体产业巨头。布局5G+8K，媒体网络业务迎来新变局：随着广电5G牌照发放以及广电全国一网推进，以及超高清成为国家战略，公司积极布局5G+8K业务。广电5G和超高清将是广电媒体实现崛起的新机遇，伴随新产业机遇到来，公司有望凭借产业和资本优势在新产业阶段实现跨越发展。发力直播带货，视频购物巨头迎来新机遇：公司是电视购物龙头，凭借其电视购物积累的优质产品供应链、 专业的直播经验，有望在网红直播带货领域快速崛起。 公司从2019年开始入局直播带货业务，凭借其产品价格优势、 强品牌认知以及专业化的带货经验，公司网红直播带货业务爆发，该业务正成为公司业绩的爆发点。整合媒体平台和资源，多业务协同发展初见成效：2019年开始公司重点发力整合旗下媒体平台和资源渠道。 以OPG云为基础，实现同一平台智慧连接，智慧汇集行为数据、 智慧挖掘数据价值、 智慧开展AI应用，打造融合媒体平台，汇聚视频内容、 游戏、 购物、 广告、 文旅、 教育等多元内容及服务，打通资源渠道，多业务协同发展初见成效。公司经营和业绩有望迎来反转：公司从2016年至今，由于管理和行业层面原因，业绩出现持续下滑。 随着5G+8K战略推进以及直播带货业务布局，公司发展将迎来反转。 预计公司2019-2021年归母净利润分别为19.1/21.8/25.8亿元，对应PE分别为20/18/15倍。投资建议：我们预计东方明珠当前股价对应的PE显著低于可对标公司（华数传媒、 芒果超媒、 元隆雅图、 星期六、 引力传媒）对应的wind一致预计PE水平。 因此，我们认为当前东方明珠的股价相比同行业其他公司而言具有性价比优势，首次覆盖，给予“ 买入” 评级。风险提示：核心带货人才流失风险，网红战略推进不及预期风险，宏观经济下行风险。,,华西证券,买入,[None],2020-01-20,,增持,4144191,pdf_downloads/2020/2020-01-20/600637-东方明珠（600637）深度报告：5G+8K带来业务新变局，直播带货打造业绩新爆点.pdf,600637,东方明珠,东方明珠（600637）深度报告：5G+8K带来业务新变局，直播带货打造业绩新爆点
