author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts,PE_2年前,PE_1年前,PE_当年,PE_明年,PE_后年,PE_大后年,EPS_2年前,EPS_1年前,EPS_当年,EPS_明年,EPS_后年,EPS_大后年
"陈海进,王紫敬,李雅文",业绩高增持续兑现，公司增长动能进一步强化。据公司25年业绩快报，25全年预计实现营收 143.76亿元，yoy+ 57%；归母净利润25.4亿元，yoy+32%。25Q4单季收入48.86亿元，yoy+61%。归母净利润5.8亿元，yoy+43%。公司预计26Q1营收中值40.65亿元，yoy+69%；归母净利润中值6.7亿元，yoy+32%（若加回股份支付费用，则对应归母净利润9.1亿元，yoy+80%）。我们认为梳理表观数字可以观察到公司营收连续三个季度维持高速增长，或体现DCU加速出货趋势。以开放兼容生态为底座，公司全场景算力适配能力持续强化。在技术层面，公司坚持基于x86指令集架构进行芯片研发，同时打造“CPU+DCU”双轮驱动的产品体系，形成了高度开放、全面兼容的产业生态。一方面，公司的CPU产品完全兼容主流x86软硬件生态，客户无需大幅改造现有系统即可完成国产化替代；另一方面，海光DCU对标国际主流GPGPU，算子覆盖度超99%，兼容CUDA，可满足从十亿级模型推理到千亿级模型训练的全场景需求。海光光合组织已聚合6000余家合作伙伴，完成15000余项软硬件测试，覆盖芯片设计、整机制造、软件适配全链条，在政务、金融、能源等领域的联合解决方案超15000个，形成“芯片-整机-应用” 的闭环生态。饱和式研发投入驱动产品快速迭代。截至公司25年12月投关公告，海光信息研发人员占比超85%，2025年前三季度，研发投入达29.35亿元，同比增长35.38%。未来海光信息会将全部资源集中于芯片设计迭代，持续推进C86架构的自主优化、DCU芯片与英伟达GPU的性能对标，在全栈能力上，海光信息将围绕互联总线与上下游厂商合作，全面打造GPGPU全栈产品。“饱和式”研发投入将直接为产品的快速迭代能力，让公司能够快速响应市场需求，在国产化替代、AI算力爆发等关键节点抢占先机。盈利预测与投资评级：公司拥有CPU和DCU两大国内领先产品。CPU方面，随着行业信创稳步推进，公司CPU产品收入会稳健增长。DCU方面，AI算力需求释放叠加国产化趋势加快，国产AI芯片厂商迎来历史性机遇。公司DCU产品性能生态位列第一梯队，新产品不断迭代。基于公司2025年业绩快报以及行业最新动态变化，我们调整2025-2027年归母净利润分别为25.42/41.22/65.06亿元（前值：31.16/46.17/65.29 亿元）。维持“买入”评级。风险提示：技术升级不及预期，需求不及预期，市场竞争风险，地缘政治风险等。,,东吴证券,买入,[None],2026-02-27,,买入,8455844,pdf_downloads/2026/2026-02-27/688041-海光信息（688041）：业绩高增验证景气，生态与研发共振打开成长空间.pdf,688041,海光信息,海光信息（688041）：业绩高增验证景气，生态与研发共振打开成长空间,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 25.42,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 41.22,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 65.06,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
章锋,核心观点业绩持续高增长，需求动力强劲。公司前三季度实现营收94.90亿元，同比+54.65%；归母净利润19.61亿元，同比+28.56%。单看第三季度，营收增速进一步提升至69.60%，呈现出加速增长态势。目前高端处理器的国产化率在增量空间以及存量替代方面加速明显，公司通过与整机厂商、生态伙伴在重点行业领域的深化合作，加速客户端导入，推动公司产品的市场版图扩展和销量提升。截止至Q3，公司合同负债高达28亿元（去年同期仅0.15亿元），存货达到65.02亿元，均创同期历史新高，我们认为，这些前瞻指标预示着下游需求旺盛，为未来业绩提供了坚实保障。“CPU+DCU”双轮驱动，生态壁垒深厚。CPU业务：海光CPU基于x86架构，是国内唯一生产x86芯片的企业，已广泛应用于电信、金融、互联网、教育、交通等行业领域，在信创市场的占比超过50%，软硬件生态成熟。近日公司向产业生态伙伴提供直连IP、开放协议及定制化指令集，开放CPU互联总线协议（HSL）。我们认为，此举有望降低异构算力协同壁垒，促进国产大算力体系的融合发展。DCU业务：海光DCU（协处理器）基于GPGPU架构，兼容“类CUDA”环境，对标CUDA的算子覆盖度超过99%。目前海光深算三号DCU研发进展顺利，已在科研（如支撑高能物理大模型“溪悟”）、医疗（与卫宁健康合作落地30多个项目）、天文（处理FAST数据效率较CPU提升百倍）等领域实现多元化落地。我们认为，受益于美国芯片产品出口禁令，海光DCU产品替代空间广阔。海光-曙光深度协同，首次授予股权激励。产业生态深度协同：海光信息专注于高端芯片设计的核心赛道，其第一大股东中科曙光聚焦算力基础设施集成，双方能够实现从芯片设计到算力服务的全链条协同发展。海光信息近期开放CPU互联总线协议并推出HSL（High-performanceScalableLink）总线生态，目标在于打破国产AI芯片间的互联壁垒，中科曙光也推出了AI计算开放架构。我们认为，随着合并的中止，双方战略重点已从“内部一体化整合”转向推动“外部产业开放协同。首次授予股权激励。2025年11月，公司首次向878名激励对象授予限制性股票，约占员工总数的30%。我们认为，股权激励的落地有助于绑定核心人才，为公司长期发展注入持久动力。投资建议我们认为，海光信息是国内高端处理器领域的领军企业，在AI算力需求爆发和国产替代加速的双重驱动下，展现了强劲的增长势头，大国博弈背景下未来仍将会持续受益，有望开启高成长通道。预计公司2025-2027年收入为130.60/178.57/283.76亿元，归母净利润为28.02/41.61/63.39亿元。首次覆盖，给予“买入”评级。风险提示行业竞争加剧，毛利率超预期降低；国际贸易风险；原材料价格波动的风险。,,上海证券,买入,[None],2026-01-12,,增持,8325631,pdf_downloads/2026/2026-01-12/688041-海光信息（688041）：2025Q3财报点评：业绩持续高增，国产算力领军加速崛起.pdf,688041,海光信息,海光信息（688041）：2025Q3财报点评：业绩持续高增，国产算力领军加速崛起,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 28.02,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 41.61,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 63.39,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
吴鸣远,办。此次大会以“智算无界、光合共生”为主题，聚焦AI计算开放架构，旨在推动中国AI计算产业的协同创新与生态共建。海光信息在会上正式发布“双芯战略”，宣布以“海光DCU+海光CPU”为核心，全面升级系统互联与软件生态体系。构建了兼容主流生态的双芯产品矩阵，在CPU产品基础上，公司进一步布局加速器产品与相关软件生态，异构算力平台能力持续增强。这一战略升级通过通用计算与AI加速的深度协同，更高效地承接从大模型训练到行业AI落地的多样化需求，并以系统级工程化能力构筑差异化壁垒。联规范是打通国产算力生态的关键一步。该规范提供了从总线协议、IP设计到指令集的全栈定义，旨在实现海光CPU与多元AI芯片的紧耦合互联，显著降低异构集成的复杂度和开发门槛。其开放策略有望吸引外设、OEM及系统厂商共建统一生态，为国产高性能计算集群的规模化复制与部署提供基础“高速路网”。放DTK、DAS、DAP三层软件栈，致力于打造开放统一的“中国版CUDA”生态。这一体系覆盖了从底层异构编程、算子优化到上层应用使能的全链路，其核心目的在于显著降低开发者的迁移与适配成本，截至目前，海光DCU已在20多个关键行业、300+应用场景实现广泛落地，将有效增强生态粘性，加速国产AI应用从“可用”到“好用”的规模化落地进程。正由芯片厂商向平台型国产算力核心枢纽升级，AI高景气与“十五五”战略有望放大其成长确定性。我们预计2025-2027年公司营业收入为137.4/195.0/263.3亿元；归母净利润为33.2/48.4/65.8亿元（前值29.0/42.2/57.2亿元）。估值方面采用PS法，考虑公司在国内x86架构CPU龙头地位基础上加速推进DCU与异构算力平台化布局，给予2026年40x PS，对应目标价约336元，上调至“强推”评级。风险提示：研发迭代不及预期；新品开拓不及预期；宏观环境波动等。,,华创证券,强推,[None],2025-12-24,上调评级,买入,8271888,pdf_downloads/2025/2025-12-24/688041-海光信息（688041）：发布开放平台战略，构建国产算力统一生态.pdf,688041,海光信息,海光信息（688041）：发布开放平台战略，构建国产算力统一生态,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 33.2,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 48.4,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 65.8,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
"舒迪,段笑南","本报告导读：
曙光 X640 性能出色，或加速国产卡训练场景突破，海光 DCU 芯片加速多场景拓
展，业绩预计快速增长。投资要点：维持“增持”评级，上调目标价至350.40元。公司是国内领先的高端处理器厂商，产品覆盖通用处理器（CPU）和协处理器（DCU）。考虑到国内AI需求加速增长，伴随国产替代趋势增强，业绩有望加速成长。我们维持公司2025/2026/2027年EPS为1.36/2.92/4.49元。参考可比公司PE估值，考虑到公司营收、净利润规模与寒武纪接近，给予其2026年120倍PE，上修目标价至350.4元。曙光X640性能、可靠性出色，或实现国产卡训练场景落地。根据中科曙光官网，曙光X640（1）算力密度高，基于高密架构设计实现单机柜640卡超高速总线互连，单机柜算力密度较业内其他超节点最大提升20倍。（2）兼容性强，可全面兼容主流AI计算软件生态，适配优化400+主流大模型；（3）其从单机RAS特性到集群智能运维与故障恢复机制，采用多层级多维度可靠性设计，通过30天+长稳运行可靠性验证，保障十万卡级超大规模集群拓展部署。我们认为基于高度可靠性与超大规模集群拓展能力，曙光X640或可弥补国产芯片单卡性能不足，加速国产算力芯片在大模型训练场景突破。海光DCU芯片加速多应用场景落地。油气领域：某石化集团采用海光CPU+DCU架构建设人工智能计算中心，支撑勘探、炼化等多项AI场景；电力领域：海光算力服务华能集团、国家能源集团等电力场景落地应用，实现风、光、储等多源能源的集中监测、状态分析与智能调度；通信领域：海光目前已与三大运营商联合构建覆盖全国的IT云、CT云与公有云算力基座。催化剂。AI应用收入加速闭环；海光DCU芯片训练场景突破。风险提示。海光DCU芯片性能迭代进度不及预期。",,国泰海通,增持,[None],2025-12-18,,买入,8253574,pdf_downloads/2025/2025-12-18/688041-海光信息（688041）：曙光 X640 有望突破训练场景，DCU 加速应用拓展.pdf,688041,海光信息,海光信息（688041）：曙光 X640 有望突破训练场景，DCU 加速应用拓展,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": null,
            ""eps"": 1.36,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": null,
            ""eps"": 2.92,
            ""pe"": 120
        },
        {
            ""year"": 2027,
            ""net_profit"": null,
            ""eps"": 4.49,
            ""pe"": null
        }
    ]
}",,,,120.0,,,,,1.36,2.92,4.49,
"吕伟,李萌","事件：11月21日，公司发布向激励对象首次授予限制性股票的公告。公司《2025年限制性股票激励计划（草案）》规定的限制性股票首次授予条件已经达成，确定2025年11月21日为首次授予日。25年股权激励首次授予，费用四年分摊。海光信息于2025年11月21日召开第二届董事会第十六次会议，审议通过了《关于向激励对象首次授予限制性股票的议案》，公司《2025年限制性股票激励计划（草案）》规定的限制性股票首次授予条件已经成就，同意确定2025年11月21日为首次授予日，并同意以90.25元/股的授予价格向符合授予条件的878名激励对象授予1,653.54万股限制性股票。从授予价格来看，90.25元/股为此前《2025年限制性股票激励计划（草案）》规定授予最低价格，对应11月21日收盘价206.30元/股的4.4折。从费用来看，公司于2025年11月21日对首次授予的1,653.54万股限制性股票的公允价值按照206.30元/股（授予日2025年11月21日收盘价）进行测算。需摊销25-28年总费用为19.59亿元，25/26/27/28年费用分别为1.06/12.04/4.68/1.82亿元。DCU业务加速崛起，深算三号进展积极。海光DCU产品聚焦AI算力、大数据处理场景，完全满足从十亿级模型端侧推理到千亿级模型训练的全场景需求。海光DCU以GPGPU架构为基础，兼容“类CUDA”环境，对标CUDA的算子覆盖度超过99%，拥有完整成熟的计算库，具备安全易用、无感迁移等优势，在大数据处理、人工智能、商业计算场景中实现了广泛落地。对于产品研发进度，公司各项工作均在有序推进中，其中，公司深算三号产品进展顺利。针对AI行业应用场景，海光DCU已形成多元化落地成果。在科研领域，支撑全球首个L2级高能物理大模型“溪悟”及科研智能体系统“赛博士”实现世界领先的数据分析效率；在医疗领域，与卫宁健康等伙伴合作的医疗AI解决方案已在全国30多个项目落地，为临床诊断、基因分析等提供高效算力支持；在天文领域，处理中国天眼FAST的海量观测数据时，计算效率较传统CPU提升超百倍，碳星识别等场景性能表现突出。此外，海光DCU配套的开发工具套件DTK、人工智能基础软件栈DAS及应用平台DAP组成的“三驾马车”，可全面覆盖从十亿级到千亿级模型的训练与推理需求，为各行业AI创新提供一体化支撑。投资建议：我们预计公司2025/2026/2027年营业收入分别为142.1/206.1/279.9亿元，归母净利润分别为29.3/46.9/67.1亿元，对应当前股价PE分别为164/102/71倍，看好公司受益AI浪潮下国产替代加速，维持“推荐”评级。风险提示：产品研发迭代不足的风险；下游需求波动的风险；市场竞争加剧的风险。",,国联民生证券,推荐,[None],2025-11-23,,增持,8201956,pdf_downloads/2025/2025-11-23/688041-海光信息（688041）：25年股权激励首次授予，DCU业务加速崛起.pdf,688041,海光信息,海光信息（688041）：25年股权激励首次授予，DCU业务加速崛起,"{
  ""forecasts"": [
    {
      ""year"": 2025,
      ""net_profit"": 29.3,
      ""eps"": null,
      ""pe"": 164
    },
    {
      ""year"": 2026,
      ""net_profit"": 46.9,
      ""eps"": null,
      ""pe"": 102
    },
    {
      ""year"": 2027,
      ""net_profit"": 67.1,
      ""eps"": null,
      ""pe"": 71
    }
  ]
}",,,164.0,102.0,71.0,,,,,,,
"童非,高宇洋,王凌涛,厉秋迪,张致远",公司首次授予激励对象公司于2025年11月21日召开董事会，审议通过了《关于向激励对象首次授予限制性股票的议案》，同意确定2025年11月21日为首次授予日，并同意以90.25元/股的授予价格向符合授予条件的878名激励对象授予1653.54万股限制性股票，约占本激励计划草案公告时公司股本总额的0.71%。截至2025年6月30日，公司共有员工2803人，激励对象占比超30%。本次激励授予范围广，股权价值高，回报力度大，有利于加深员工与公司的深度绑定，巩固核心人才壁垒，为公司长期发展注入持久动能。加强产业链合作交流，扩大软硬协同生态圈根据公司官方微信公众号， 公司与信安世纪共建AI密算联合实验室，依托双方在算力和密码领域的深厚积累，将密码技术深度嵌入算力芯片底层，为AI应用提供内生安全能力。公司同时与星环科技、海量数据签署战略合作协议，推进海光与数据库等关键软件产品的深度联合适配，同时针对特定领域需求定制解决方案，该举措将推动产品在垂直行业场景的落地。国产算力快速迭代，有望受益于算力产业链深度整合公司2025年5月26日公告，拟吸收合并中科曙光。11月，中科曙光发布scaleX640超节点，该技术有望成为突破国产算力瓶颈的关键。曙光scaleX640节点通过算、存、网、电、冷一体化紧耦合设计，创新采用“一拖二”高密方案，结合超高密度刀片、浸没相变液冷、高压直流供电等技术，实现单机柜640卡超高速互连；相比业界同类产品与传统方案，可实现综合算力性能倍增，同时帮助MoE万亿参数大模型训练推理场景实现30%-40%的性能提升。算力领军企业的强强联合或将实现技术发展成果的共享，促进产业链上下游优质资源的整合，进一步推动国产算力做大做强。盈利预测与估值我们预计公司25-27年分别实现收入142.1亿、207.0亿、291.5亿，同比增速为55%、46%、41%；归属母公司股东的净利润为29.8亿、43.4亿、64.1亿。对应25-27年PE估值分别为161、111、75倍，维持“买入”评级。风险提示产品研发不及预期、下游需求不及预期、业绩增长不及预期、政策落地不及预期、产业整合不及预期等。,,浙商证券,买入,[None],2025-11-23,,买入,8166626,pdf_downloads/2025/2025-11-23/688041-海光信息（688041）：点评：首次授予激励对象，产业链合作深化.pdf,688041,海光信息,海光信息（688041）：点评：首次授予激励对象，产业链合作深化,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 29.8,
            ""eps"": null,
            ""pe"": 161
        },
        {
            ""year"": 2026,
            ""net_profit"": 43.4,
            ""eps"": null,
            ""pe"": 111
        },
        {
            ""year"": 2027,
            ""net_profit"": 64.1,
            ""eps"": null,
            ""pe"": 75
        }
    ]
}",,,161.0,111.0,75.0,,,,,,,
"薛宏伟,蒯剑,浦俊懿,宋鑫宇,李晋杰",核心观点高端处理器业务带动营收、归母净利润持续增长。2025年前三季度，公司实现营收94.9亿元，同比增长54.6%，归母净利润19.6亿元，同比增长28.6%。25Q3单季度公司实现营收40.3亿元，同比增长69.6%，归母净利润7.6亿元，同比增长13.0%。公司通过与整机厂商、生态伙伴在重点行业和领域的深化合作，加速客户端导入，推动高端处理器产品市场版图扩展，实现营收及归母净利润的显著增长。公司AI芯片性能优异、生态建设进展突出。部分投资者认为未来国内AI算力芯片竞争可能较为激烈，担忧公司未来市场份额的提升情况。我们认为，公司AI芯片性能优异，生态建设进展突出，有望持续突出竞争优势。海光DCU集成超过2000个算子，对标CUDA的算子覆盖度超过99%，拥有完整成熟的计算库，覆盖AI训练、AI推理、AI4S和科学计算等场景，在大数据处理、人工智能、商业计算场景中进行广泛落地。在大模型适配方面，海光DCU已经与国内外主流大模型全面适配，并在AI领域打造出众多标杆产品方案。2025年9月29日，公司DCU产品实现对当日发布的DeepSeek- V3.2-Exp的无缝适配+深度调优，做到大模型算力“零等待”部署。公司持续加大研发投入，加速产品性能迭代。2025年前三季度公司研发投入达到 29亿元，同比增长35%；25Q3单季研发投入达12亿元，同比增长54%。公司秉持“销售一代、验证一代、研发一代”的产品研发策略，进一步加大研发投入，深耕高端处理器核心技术研发工作，持续加快产品升级迭代，持续布局人工智能计算以及科学运算等相关算力产业。公司未来有望加快研发项目和产品的技术更新与迭代升级，为新应用场景拓展提供技术支撑，同时助力公司强化核心专利布局，为市场竞争奠定基础。我们预测公司2025-2027年每股收益分别为1.18、 1.78、2.89元（原25-26年预测分别为1.23、1.63元，主要调整了营业收入与毛利率），采用绝对估值法（FCFF），给予222.86元目标价，维持买入评级。风险提示地缘政治导致流片进度不及预期，客户集中度较高风险，重要行业需求不及预期，市场份额提升不及预期对估值产生负面影响。,,东方证券,买入,[None],2025-11-12,,买入,7679561,pdf_downloads/2025/2025-11-12/688041-海光信息（688041）：收入利润双增，AI生态建设突破.pdf,688041,海光信息,海光信息（688041）：收入利润双增，AI生态建设突破,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 19.6,
            ""eps"": 1.18,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": null,
            ""eps"": 1.78,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": null,
            ""eps"": 2.89,
            ""pe"": null
        }
    ]
}",,,,,,,,,1.18,1.78,2.89,
"童非,王凌涛,厉秋迪,安子超,张致远","公司发布 2025 三季报，前三季度实现营业收入94.90亿元，同比增长54.65%；归母净利润19.61亿元，同比增长28.56%；扣非后归母净利润18.17亿元，同比增长23.18%。单Q3业绩加速释放，营业收入40.26亿元，同比增长69.60%；归母净利润7.60亿元，同比增长13.04%；扣非后归母净利润7.27亿元，同比增长10.56%。客户端导入加速，战略备货增加得益于市场拓展成功，公司 Q3 收入显著增长。公司通过与整机厂商、生态伙伴在重点行业和重点领域的深化合作，加速客户端导入，推动高端处理器产品的市场版图扩展。截至 9 月末合同负债 28.00 亿元，反映客户订单需求持续旺盛。为应对市场需求，公司持续增加战略备货，存货 65.02 亿元，环比增长 8.14%。毛利率稳定，研发费用增长Q3 毛利率为 60.03%，较上半年 60.15%基本持平。前三季度研发投入 29.35 亿元，同比增长 35.38%；三季度累计研发投入 12.24 亿元，同比增长 53.83%。研发投入增长原因包括：1）产品技术升级外；2）为新应用场景拓展提供技术支撑。生态合作深入，拟吸收曙光加强全栈能力海光依托海光生态合作组织（光合组织）构建了涵盖“芯片设计与制造—整机系统—软件生态—应用服务”的开放创新链，现已凝聚超 6,000 家上下游合作伙伴，共计完成了 1.5 万个软硬件适配，推出 1.5 万个联合解决方案。公司2025年5月26日公告，拟吸收合并中科曙光，合并后公司有望获得从芯片到服务器、数据中心服务的算力上下游全栈能力。盈利预测与估值我们预计公司25-27年分别实现收入142.1亿、207.0亿、291.5亿，同比增速为55%、46%、41%；归属母公司股东的净利润为29.8亿、43.4亿、64.0亿。对应25-27年PE估值分别为186、128、86倍，维持“买入”评级。风险提示产品研发不及预期、下游需求不及预期、业绩增长不及预期、政策落地不及预期等。",,浙商证券,买入,[None],2025-10-30,,买入,7059841,pdf_downloads/2025/2025-10-30/688041-海光信息（688041）：2025Q3 点评：CPU+GPU协同创新，筑牢国产算力根基.pdf,688041,海光信息,海光信息（688041）：2025Q3 点评：CPU+GPU协同创新，筑牢国产算力根基,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 29.8,
            ""eps"": null,
            ""pe"": 186
        },
        {
            ""year"": 2026,
            ""net_profit"": 43.4,
            ""eps"": null,
            ""pe"": 128
        },
        {
            ""year"": 2027,
            ""net_profit"": 64.0,
            ""eps"": null,
            ""pe"": 86
        }
    ]
}",,,186.0,128.0,86.0,,,,,,,
"陈耀波,李元晨","事件:海光信息发布 2025 年第三季度报告2025 年三季报正式披露，营业总收入94.90亿元，同比去年增长54.65%,归母净利润为 19.61 亿元，同比去年同期增长 28.56%，基本 EPS 为 0.85元，平均 ROE 为9.3%。公司第三季度实现营业收入 40.26 亿元，同比去年增长69.60%，归母净利润为 7.6亿元，同比去年同期增长13.04%。0公司业绩持续成长，与生态合作伙伴持续深入合作公司通过与整机厂商、生态伙伴在重点行业和重点领域的深化合作，加速客户端导入，推动高端处理器产品的市场版图扩展，实现了公司营业收入的显著增长。公司产品的市场销售大幅提升，带动2025 年前三季度和第三季度的利润总额显著增长。研发方面公司特续加大研发投入力度，产品竞争力不断增强，围绕新一代海光通用处理器芯片设计、海光处理器关键技术研发等项目的研发进度加快。0 投资建议我们预计公司 2025-2027年的营业收入分别为139.15 亿元、198.10亿元和 260.16 亿元，对比此前预期的 2027 年的营业收入 257.71 亿元有所提升:归母净利润 2025-2027年分别为32.33 亿、44.75 亿和 63.83亿元，对比此前预期的 2026年净利润 44.80 亿元基本维持一致，2027年的净利润的 63.31 亿元有所提升。每股 EPS 2025-2027 年为 1.39 元、1.93 元和 2.75 元。对应 PE 分别为 179X/129X/91X。维持“买入”评级。风险提示技术迭代不及预期、Al和超算需求不及预期、相关产品代工产能受限、通用计算服务器采购规模下降、并购重组不及预期。",,华安证券,买入,[None],2025-10-28,,买入,6903815,pdf_downloads/2025/2025-10-28/688041-海光信息（688041）：业绩持续成长，构建算力领域全栈能力深化生态合作.pdf,688041,海光信息,海光信息（688041）：业绩持续成长，构建算力领域全栈能力深化生态合作,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 32.33,
            ""eps"": 1.39,
            ""pe"": 179
        },
        {
            ""year"": 2026,
            ""net_profit"": 44.75,
            ""eps"": 1.93,
            ""pe"": 129
        },
        {
            ""year"": 2027,
            ""net_profit"": 63.83,
            ""eps"": 2.75,
            ""pe"": 91
        }
    ]
}",,,179.0,129.0,91.0,,,,1.39,1.93,2.75,
孙伯文,海光信息(688041)事件：2025年10月16日，公司发布2025年三季报。前三季度，公司实现总营业收入94.90亿元，同比增长54.65%；实现归母净利润19.61亿元，同比增长28.56%。观点：营收同比高增长，少数股东损益大幅增长扰动归母净利润。国产高端芯片市场需求攀升，公司紧抓人工智能时代机遇，加速在客户端的导入，实现营收高速增长。前三季度，公司实现总营业收入94.90亿元，同比增长54.65%；实现归母净利润19.61亿元，同比增长28.56%。单季度来看，2025Q3公司实现营业收入40.26亿元，同比+69.60%，实现归母净利润7.60亿元，同比+13.04%。2025Q3，公司少数股东损益为4.39亿元，同比增加2.3亿元，环比增加2.07亿元。受单季度少数股东损益大幅增加影响，公司报告期内归母净利润增速略缓。费用管控能力良好，维持高研发投入。公司前三季度销售毛利率为60.10%（去年同期为65.63%）；销售净利率为29.93%（去年同期为34.33%），同比皆有所下滑。费用端，公司前三季度销售费用率、管理费用率、财务费用率、研发费用率分别为3.49%、1.15%、-1.42%、27.24%；同比分别+1.53%、-0.51%、0.74%、-2.32%。公司销售费用率同比上升主要是因为公司为加大市场推广力度，快速扩充了市场及营销团队并积极推进生态建设。报告期内，公司保持高研发投入，前三季度公司研发投入合计29.35亿元（同比+35.38%），第三季度研发投入12.24亿元（同比+53.83%）。存货、合同负债创同期历史新高，拟吸收合并中科曙光增强上下游协同能力。报告期末，公司存货达65.02亿元（同比+66.89%）合同负债达28亿元（去年同期0.15亿元），均创同期历史新高。此外，根据2025年5月26日海光信息公告，海光信息拟吸收合并中科曙光。中科曙光以高端计算设备起家，目前主要收入来源为服务器、云基础设施，参控股海光信息、曙光数创（算力产业链液冷龙头）等多项优质资产。合并完成后，海光信息与中科曙光将完成从芯到云的全产业链补全，国产算力协同趋势进一步加强。盈利预测及投资评级：前三季度，公司乘人工智能东风，加速客户导入，营收端同比高速增长，下游需求预计持续强劲。报告期内，公司存货创同期历史新高，备货积极。此外，公司拟吸收合并中科曙光，产业协同能力有望进一步增强。我们预测公司2025-2027年归母净利润为30.89/46.42/63.75亿元，预测公司2025-2027年EPS分别为1.33/2.00/2.74元，当前股价为241.79元，对应2025-2027年PE分别为181.9/121.1/88.2倍，首次覆盖，给予“增持”评级。风险提示：供应链稳定风险；行业竞争加剧；技术迭代不及预期；毛利率不及预期；宏观环境不及预期。,,华龙证券,增持,[None],2025-10-23,,增持,6842728,pdf_downloads/2025/2025-10-23/688041-海光信息（688041）：2025 年三季报业绩点评报告：营收同比高增长，存货、合同负债创新高.pdf,688041,海光信息,海光信息（688041）：2025 年三季报业绩点评报告：营收同比高增长，存货、合同负债创新高,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 30.89,
            ""eps"": 1.33,
            ""pe"": 181.9
        },
        {
            ""year"": 2026,
            ""net_profit"": 46.42,
            ""eps"": 2.00,
            ""pe"": 121.1
        },
        {
            ""year"": 2027,
            ""net_profit"": 63.75,
            ""eps"": 2.74,
            ""pe"": 88.2
        }
    ]
}",,,181.9,121.1,88.2,,,,1.33,2.0,2.74,
