author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"赵峻峰,孟陆,余文心","本报告导读：
公司国内业务短期承压，海外市场较快增长，产品线持续丰富，维持增持评级。投资要点：维持增持评级。考虑行业复苏节奏和公司费用投入增加，下调2025~2026年EPS 预测至1.85/2.14元（原为2.63/3.03元），预测2027年EPS为2.47元，参考可比公司估值，给予2026年PE 21X，给予目标价至44.94元，维持增持评级。业绩符合预期。公司2025Q1-3实现营收31.27亿元（-7.48%），归母净利润8.60亿元（-10.11%），扣非归母净利润8.16亿元（-12.36%）。其中25Q3实现营收10.67亿元（-9.04%），归母净利润2.89亿元（-14.30%），扣非归母净利润2.69亿元（-18.82%）。Q1-3毛利率64.83%（-1.03 pp），扣非净利率26.08%（-1.45 pp），销售费用率18.83%（+2.52 pp），管理费用率5.22%（+0.84 pp），研发费用率12.56%（-2.56 pp），毛利率下降和销售管理费用率提升致盈利能力有所下降。国内短期承压，海外较快增长。受DRG政策全面执行、集采推进等影响，行业短期量价承压（部分项目解套餐，价格下调）。预计公司化学发光仪器和流水线装机顺利推进，随着行业政策逐步落地，行业生态趋于合理，进口替代进程加快，国内业务有望企稳回升。预计随着海外产品注册推进和市场开拓，海外市场实现较快增长。产品线进一步丰富。近期，公司全自动基因测序文库制备仪、腺病毒抗原检测试剂盒（胶体金法）、呼吸道合胞病毒抗原检测试剂盒（胶体金法）、甲型/乙型流感病毒抗原检测试剂盒（胶体金法）、单纯疱疹病毒1+2分型核酸检测试剂盒（PCR-荧光探针法）、甲氧基肾上腺素检测试剂盒（磁微粒化学发光法）、普通豚草过敏原特异性IgE抗体检测试剂盒（磁微粒化学发光法）等14项新产品获得医疗器械注册证。新产品注册证的取得，进一步丰富公司产品线，为后续增长奠定基础。风险提示：新品上市和推广低于预期；产品集采降价风险",,国泰海通,增持,[None],2025-11-26,,买入,8189749,pdf_downloads/2025/2025-11-26/603658-安图生物（603658）：2025年三季报点评：业绩短期承压，期待企稳复苏.pdf,603658,安图生物,安图生物（603658）：2025年三季报点评：业绩短期承压，期待企稳复苏
"郑辰,李婵娟,张良龙",事项：公司发布 25 年三季报，25Q1-3，营业收入 31.27 亿元（-7.48%），归母净利润8.60亿元（-10.11%），扣非净利润8.15亿元（-12.36%）。25Q3，营业收入10.67亿元（-9.04%），归母净利润2.89亿元(-14.30%)，扣非净利润2.69亿元(-18.82%)。评论：收入端预计仍受到行业环境影响。2025 年前三季度，公司实现营业收入 31.27亿元，同比下降7.48%；其中第三季度单季收入为10.67亿元，同比下降9.04%，业绩短期面临压力，预计仍是由于国内市场集采、检验项目价格下调等因素。利润端承压。2025Q1-3，公司归母净利润同比下滑 10.11%，扣非归母净利润同比下滑12.36%，降幅均大于收入端。2025Q1-3公司毛利率为64.83%，较去年同期的65.86%略有下降。费用端，销售费用率由去年同期的16.32%提升至18.83%，管理费用率由4.38%提升至5.22%，研发费用率由15.13%下降至12.56%，三费率合计提高0.78pct。此外，前三季度信用减值损失与资产减值损失合计-0.17亿元，较去年同期的-0.42亿元大幅减少，对利润起到了部分正面贡献。最终前三季度销售净利率为27.91%，下降0.77pct。IVD 产品体系持续完善。2025Q3 以来，安图及子公司的 AISPre 3200 全自动基因测序文库制备仪、呼吸道抗原检测试剂盒（胶体金法）三项产品、全自动微生物培养监测仪AutoBes X系列、EB病毒四项检测试剂盒、&quot;肺炎链球菌/嗜肺军团菌/卡他莫拉菌核酸检测试剂盒（PCR-荧光探针法）、全自动化学发光免疫分析仪AutoLumo S900系列等多个产品获批，IVD产品体系进一步丰富。截至2025年10月10日，公司已建立起涵盖300余种检测项目的免疫生化试剂全产业链解决方案。到2025年底，免疫生化产品线试剂产品数量预计可达338项。投资建议：由于 Q3 业绩持续承压，我们预计公司 25-27 年归母净利润为 11.8、13.7、15.9亿元（25-27年预测前值为12.6、14.7、17.3亿元），同比-1.5%、+16.4%、+16.1%，EPS分别为2.06、2.40、2.78元，对应PE分别为18、15和13倍。根据可比公司估值，给予公司2026年22倍估值，对应目标价约53元，维持“推荐”评级。风险提示：1、集采降价超预期；2、DRG、检验项目价格下调等影响超预期；3、海外市场拓展不及预期。,,华创证券,推荐,[None],2025-11-21,,增持,8160178,pdf_downloads/2025/2025-11-21/603658-安图生物（603658）：2025年三季报点评：国内IVD业务承压，持续完善产品体系.pdf,603658,安图生物,安图生物（603658）：2025年三季报点评：国内IVD业务承压，持续完善产品体系
"谭紫媚,李啸岩",事件：近日公司发布2025年第三季度报告：2025年前三季度，公司实现营业收入31.27亿元，同比下降7.48%，主要受集采等外部环境影响；归母净利润8.60亿元，同比下降10.11%；扣非归母净利润8.15亿元，同比下降12.36%。其中，公司第三季度实现营业收入10.67亿元，同比下降9.04%；归母净利润2.89亿元，同比下降14.30%；扣非归母净利润2.69亿元，同比下降18.82%。重视研发投入，多领域持续布局公司重视研发投入，多领域持续布局。2025年上半年，公司成功开发了多项新系列产品，新获试剂产品注册（备案）证书88项，涵盖磁微粒化学发光法、液相色谱-串联质谱法、干化学酶法、分子诊断等，检测项目覆盖血栓疾病、骨代谢、肿瘤、高血压、呼吸道相关疾病、传染病、优生优育等。公司细菌三联检产品已有三款产品上市，其中核酸检测“洋葱伯克霍尔德菌”为国内首家获得注册证的产品。该系列产品均可搭载全自动核酸提纯与实时荧光PCR分析系统，实现随到随检，进一步丰富了公司分子呼吸道产品线，为临床提供更精准、快速的解决方案。在仪器产品方面，公司成功推出液相色谱串联质谱系列产品，涵盖液相色谱串联质谱检测系统Automs TQ6000、全自动样本前处理设备及其配套试剂。在此基础上，通过前处理与串联质谱的整合，公司推出了国内首创的液相色谱串联质谱流水线AutomsQ600。同时，公司微生物质谱检测系统Autof T系列、全自动样本前处理系统AutoMaster、全自动化学发光免疫分析仪AutoLumo S900、微生物培养监测仪BC120 Plus等新品已陆续获证上市。在流水线产品方面，公司Autolas B-1 Star智能化流水线，集极速、精巧、智汇、全能应用等优势于一身，以助力解决门急诊及小型实验室的空间与效率难题。在NGS平台方面，全资子公司思昆生物已完成Sikun全系列产品布局，推出Sikun 2000、Sikun1000、Sikun 500、Sikun RapidGS 480四款基因测序仪及全自动病原分析系统（APAS），成功切入非临床市场，全自动基因测序文库制备仪AISPre3200已顺利进入试产阶段。其中，更加小巧灵活的Sikun RapidGS 480测序仪有助于推动适合基层医疗机构的测序体系落地。毛利率略有下降，费用率维稳2025年前三季度，公司的综合毛利率同比下降1.03pct至64.83%。销售费用率、管理费用率、研发费用率、财务费用率分别为18.83%、5.22%、12.56%、0.20%，同比变动幅度分别为+2.51pct、+0.84pct、-2.57pct、-0.03pct。其中，2025年第三季度的综合毛利率、销售费用率、管理费用率、研发费用率、财务费用率、整体净利率分别为65.61%、18.74%、5.71%、13.36%、0.19%、27.04%，分别变动-1.19pct、+3.14pct、+0.88pct、-1.82pct、盈利预测及投资评级：我们预计，2025-2027年公司营业收入分别为42.51/46.49/52.75亿元，同比增速为-4.92%/9.36%/13.47%；归母净利润分别为11.47/13.14/15.76亿元，同比增速为-3.96%/14.54%/19.98%；EPS分别为2.01/2.30/2.76元，当前股价对应2025-2027年PE为19/17/14倍。维持“买入”评级。风险提示：集采降价的风险，竞争格局恶化的风险，产品研发不及预期的风险。,,太平洋证券,买入,[None],2025-11-11,,买入,7614452,pdf_downloads/2025/2025-11-11/603658-安图生物（603658）：业绩短期承压，多领域布局持续深化.pdf,603658,安图生物,安图生物（603658）：业绩短期承压，多领域布局持续深化
谢木青,报告摘要公司发布2025年三季报，2025年前三季度公司实现营业收入31.27亿元，同比下滑7.48%；归母净利润8.60亿元，同比下滑10.11%；实现扣非净利润8.15亿元，同比下滑12.36%。分季度来看：2025年单三季度公司实现营业收入10.67亿元，同比下滑9.04%，实现归母净利润2.89亿元，同比下滑14.30%；实现扣非归母净利润2.69亿元，同比下滑18.82%。三季度业绩压力有所增加，主要受DRG/DIP支付改革、拆分检验套餐及检验结果互认等政策影响。盈利能力：公司2025年前三季度销售费用率18.83%，同比增加2.52pp，预计主要系规模效应减弱，公司依然持续加大在市场拓展等销售方面的投入所致；管理费用率5.22%，同比增加0.84pp；研发费用率12.56%，同比下降2.56pp，主要系公司对部分符合条件的研发支出进行资本化处理所致；财务费用率0.20%，同比下降0.03pp，公司2025年前三季度毛利率64.83%，同比下降1.03pp；销售净利率27.91%，同比下降0.77pp。集采带来阶段性扰动，随着装机突破，中长期看有较高成长性。8月15日，安徽省医保局发布二十八省体外诊断试剂集采拟中选产品价格，平均降幅52.62%，最高降幅为84.25%，预计公司化学发光业务价格有所承压，但公司有望借助集采加速国产替代进程，进一步巩固和提升市场占有率。在集采背景下，公司加速仪器装机，600速发光和生免流水线装机持续保持较高水平，中长期有望保持持续的高成长性。创新产品即将进入收获期，出海打开成长空间。随着公司超高速发光AutoLumoS900、微生物质谱检测系统AutofT系列、微生物培养监测仪BC120Plus、液相色谱串联质谱系列产品及液相色谱串联质谱流水线AutomsQ600、自主研发集成式智能化流水线AutolasB-1Star系列等陆续推出，以及全资子公司思昆生物完成Sikun全系列产品布局等，公司创新产品矩阵逐步进入兑现阶段。海外方面，公司已在中国香港、匈牙利、印尼设立子公司，推进本地化运营。产品已进入亚洲、欧洲、北美洲、南美洲、非洲等，涵盖100多个国家和地区。随着本地化运营逐步深入，后续海外有望贡献亮眼收入。盈利预测与估值：根据财报数据，我们预计公司短期持续受政策扰动，未来在出海和创新产品驱动下，有望恢复高成长性。预计2025-2027年营业收入42.49、48.74、56.15亿元(-5%、15%、15%)，调整前分别为45.12、52.44、62.79亿元；预计归母净利润11.07、12.71、14.81亿元(-7%、15%、17%)，调整前分别为11.80、13.99、17.44亿元。公司当前股价对应2025-2027年20、17、15倍PE，维持“买入”评级。风险提示：行业政策变化风险、市场竞争加剧风险、研究报告使用的公开资料可能存在信息滞后或更新不及时的风险等。,,中泰证券,买入,[None],2025-11-03,,买入,7300331,pdf_downloads/2025/2025-11-03/603658-安图生物（603658）：政策影响下阶段性承压，装机加速+创新+出海支撑中长期成长.pdf,603658,安图生物,安图生物（603658）：政策影响下阶段性承压，装机加速+创新+出海支撑中长期成长
"程培,孟熙","事件:公司发布2025年三季度报告，2025年1~9月实现营业收入31.27亿元(-7.48%)，归母净利润8.60亿元(-10.11%)，扣非净利润8.15亿元(12.36%)，经营性现金流8.45亿元(-10.91%)。2025Q3实现营业收入10.67亿元(-9.04%)，归母净利润2.89亿元(-14.30%)，扣非净利润2.69亿元(-18.82%)。2503业绩略有承压，静待主业企稳修复。202503公司营业收入及归母净利润均同比下滑，单季度毛利率为65.61%(同比-1.19pct/环比+1.78pct)。2025Q1-3销售/管理/研发费用率分别为18.83%/5.22%/12.56%，同比+2.51pct、+0.84pct、-2.57pct。公司202503业绩略有承压，预计主要是DRG/DIP支付方式改革及检验结果互认政策等持续对终端检验量构成压力。我们认为，随着肿标、甲功等项目的集采逐步落地，进口品牌价格调整后，以公司为代表的国产头部企业有望凭借价格优势加速进口替代进程,进而带动业绩的企稳回升。多元布局强化战略纵深，装机提速驱动未来成长。公司保持较高研发投入水平(2025Q1-3为3.93亿元，占营收比例为12.56%)，相继取得系列创新成果，仪器及试剂矩阵愈发丰富。2025年上半年公司新获试剂证书88项，盖磁微粒化学发光法、液相色谱-串联质谱法、干化学酶法、分子诊断等，检测项目覆盖血栓疾病、骨代谢、肿瘤、高血压、呼吸道相关疾病、传染病、优生优育等;仪器方面，公司成功推出液相色谱串联质谱系列产品，涵盖液相色谱串联质谱检测系统AutomsTO6000、全自动样本前处理设备及其配套试剂。在此基础上，通过前处理与串联质谱的整合，公司推出国内首创的液相色谱串联质谱流水线AutomsQ600,能为用户提供多场景化综合检测解决方案。同时，公司微生物质谱检测系统AutofT系列、全自动样本前处理系统AutoMaster、全自动化学发光免疫分析仪utoLumoS900、微生物培养监测仪BC120Plus等新品已陆续获证上市。NGS平台方面，全资子公司思昆生物已完成 Sikun全系列产品布局，推出Sikun 2000、Sikun 1000、Sikun 500、Sikun RapidGS480四款基因测序仪及全自动病原分析系统(APAS)，成功切入非临床市场，全自动基因测序文库制备仪SPre3200顺利进入试产阶段。投资建议:公司是国产化学发光龙头，以全自动流水线为核心的全品类扩张支撑未来可持续发展，内生增长确定性强，分子业务有望促成第二成长曲线。考虑到IVD集采结果执行、检验服务收费降价等因素仍对公司核心业务有负面影响，我们调整并预测公司2025-2027年归母净利润至11.69、13.43、15.33亿元，同比-2.16%/+14.89%/+14.15%，EPS分别为2.05/2.35/2.68元，当前股价对应2025-2027年PE19/16/14倍，维持“推荐”评级。风险提示:产品降价幅度超预期的风险、仪器装机数量不达预期的风险、新产品研发进展不及预期的风险。",,银河证券,推荐,[None],2025-10-31,,买入,7306177,pdf_downloads/2025/2025-10-31/603658-安图生物（603658）：2025年三季报业绩点评：Q3业绩略有承压，静待主业企稳修复.pdf,603658,安图生物,安图生物（603658）：2025年三季报业绩点评：Q3业绩略有承压，静待主业企稳修复
"代雯,孔垂岩,王殷杰",2025年10月30日│中国内地 医疗器械 公司9M25收入/归母净利润/扣非归母净利润分别为31.27/8.60/8.15亿元，同比-7.5%/-10.1%/-12.4%；3Q25收入/归母净利润/扣非归母净利润10.67/2.89/2.69亿元，同比-9.0%/-14.3%/-18.8%。3Q25业绩增速承压，我们看好后续政策影响消化后业绩恢复增长，维持买入评级。海外收入保持快速增长，磁微粒发光试剂收入承压公司海外业务持续拓展，我们估计9M25海外收入保持快速增长。磁微粒化学发光试剂受集采及DRGs等政策影响，收入承压，我们预期2026年相关影响基本消化，恢复增长。我们估计磁微粒化学发光仪2025年全年装机超1000台。公司持续发力流水线业务，进口线体A1/B1以及自主研发制造的流水线X1持续装机，处于国产领先地位。9M25公司销售费用率同比提升，毛利率同比略下降9M25销售/管理/研发/财务费用率分别为18.83%/5.22%/12.56%/0.20%，同比+2.52/+0.84/-2.56/-0.03pct。公司加大海外市场拓展，销售费用率同比上升；公司控制研发费用支出，导致相应费用率同比下降。9M25毛利率为64.83%，同比-1.03pct，我们认为9M25毛利率下滑主要由于部分产品集采后毛利率下降。国产IVD龙头企业，维持“买入”评级根据3Q25业绩，我们下调仪器装机及单产预期，上调费用率预期，预测25-27年归母净利润11.1/12.3/13.6亿元（相比前值下调11.6%/11.9%/11.8%），同比-7.1%/+10.8%/+10.4%，对应EPS 1.94/2.15/2.38元。我们给予26年21x PE估值（可比公司26年Wind一致预期均值21x），目标价45.19元（前值54.92元，25年25x PE）。风险提示：医院装机不及预期；项目收费降价超预期；国产品牌竞争加剧。,,华泰证券,买入,[None],2025-10-30,,买入,7048593,pdf_downloads/2025/2025-10-30/603658-安图生物（603658）：静待政策影响消化后业绩改善.pdf,603658,安图生物,安图生物（603658）：静待政策影响消化后业绩改善
"甘坛焕,何冠洲",业绩简述2025年10月29日，公司发布2025年三季度报告：2025年前三季度公司实现收入31.27亿元，同比-7%；归母净利润8.60亿元，同比-10%；实现扣非归母净利润8.15亿元，同比-12%； 2025Q3公司实现收入10.67亿元，同比-9%；归母净利润2.89亿元，同比-14%；实现扣非归母净利润2.69亿元，同比-19%。经营分析短期收入及利润率承压，后续有望逐步恢复。Q3公司收入毛利率65.61%，同比-1.19pct。公司国内市场通过集中带量采购落地工作，在原有用户基础上拓展新的客户，加速对其他品牌的市场置换，进一步巩固和提升了市场占有率，但由于国内试剂市场整体需求较弱及产品价格因素影响，业绩短期承压明显，后续有望逐步恢复。产品创新研发持续，新领域拓展有望逐步贡献长期增长。Q3公司研发费用达到1.43亿元，占营业收入比例13.36%，产品创新研发持续推进，2025年公司已成功推出液相色谱串联质谱系列产品，涵盖液相色谱串联质谱检测系统Automs TQ6000、全自动样本前处理设备及其配套试剂，通过前处理与串联质谱的整合，进一步推出了国内首创的液相色谱串联质谱流水线Automs Q600。同时微生物质谱检测系统Autof T系列、全自动样本前处理系统Auto Master、全自动化学发光免疫分析仪AutoLumo S900、微生物培养监测仪BC120 Plus等新品已陆续获证上市。在NGS方面，全资子公司思昆生物已完成Sikun全系列产品布局，推出Sikun 2000、Sikun 1000、Sikun 500、Sikun RapidGS 480四款基因测序仪及全自动病原分析系统，成功切入非临床市场，全自动基因测序文库制备仪AISPre3200已顺利进入试产阶段。海外市场拓展成果初现，稳步推进全球化战略。公司产品已进入亚洲、欧洲、北美洲、南美洲、非洲等，涵盖100多个国家和地区。公司已在中国香港、匈牙利、印尼设立子公司，以稳步推进全球化战略布局，未来海外市场收入占比预计还将持续提升。盈利预测、估值与评级预计公司2025-2027年归母净利润分别为11.08、13.40、16.17亿元，同比-7%、+21%、+21%，现价对应PE为20、16、14倍，维持“买入”评级。风险提示带量采购及其他医改政策风险；在研项目推进不达预期风险；产品推广不达预期风险；院内需求不及预期风险。,,国金证券,买入,[None],2025-10-30,,买入,7013286,pdf_downloads/2025/2025-10-30/603658-安图生物（603658）：三季度业绩短期承压，未来有望逐步恢复.pdf,603658,安图生物,安图生物（603658）：三季度业绩短期承压，未来有望逐步恢复
"郑辰,李婵娟","公司发布 25 年中报。2025 年上半年，公司实现营业收入 20.60 亿元（-6.65%），
归母净利润 5.71 亿元（-7.83%），扣非归母净利润 5.46 亿元（-8.79%）。单 25Q2，
实现营业收入 10.64 亿元（-4.79%），归母净利润 3.01 亿元（+1.97%），扣非归
母净利润 2.89 亿元（+1.58%）。评论：Q2 业绩环比改善，利润端恢复正增长。由于集采、检验项目价格下调等因素，
25H1 公司试剂收入 17.85 亿元（-3.89%），仪器收入 2.26 亿元（-17.57%）。
25H1 试剂毛利率下降至 68.44%（-3.06pct），总体毛利率略下降至 64.43%（-
0.94pct）。但与 25Q1 相比，Q2 营收下滑幅度收窄，且归母净利润恢复正增长，
出现环比改善。国内业务短期承压，海外业务保持较快增长。分地区看，25H1 境内收入 19.04
亿元（-8.32%），境外收入 1.57 亿元（+19.78%）。国内业务受政策性因素影响
短期承压，DRG、拆套餐等影响有望在年内出清，但集采影响或将持续。公司
持续加速全球化布局，产品已进入全球 100 多个国家和地区，并通过在中国香
港、匈牙利、印尼等地设立子公司加强本地化运营。持续重视研发投入，精准医疗与智慧化新品不断。2025 上半年公司研发投入
3.50 亿元，占营业收入比重达 16.99%。在持续高强度投入下，公司新品不断
推出：1）质谱领域：推出国内首创的液相色谱串联质谱流水线 AutomsQ600，
为用户提供多场景化的综合检测解决方案；2）测序领域：全资子公司思昆生
物完成 Sikun 全系列产品布局，推出 Sikun 2000、Sikun 1000、Sikun 500、Sikun
RapidGS 480 四款基因测序仪，并成功切入非临床市场；3）智慧化检验：完成
DeepSeek-R1 大模型本地化部署，升级“AI 检验临床辅助决策系统”，打造“知
识+服务”为核心的智慧型检验信息化平台。投资建议：我们维持盈利预测，预计公司 25-27 年归母净利润为 12.6、14.7、
17.3 亿元，同比增长 5.8%、16.4%和 17.4%，EPS 分别为 2.21、2.57、3.02 元，
对应 PE 分别为 19、16 和 14 倍。根据可比公司估值，给予公司 2026 年 20 倍
估值，对应目标价约 51 元，维持“推荐”评级。风险提示：1、集采降价超预期；2、DRG、检验项目价格下调等影响超预期；
3、海外市场拓展不及预期。",,华创证券,推荐,[None],2025-09-15,,增持,6439974,pdf_downloads/2025/2025-09-15/603658-安图生物（603658）：国内发光业务承压，Q2环比改善.pdf,603658,安图生物,安图生物（603658）：国内发光业务承压，Q2环比改善
"谭紫媚,李啸岩",事件：公司近期发布2025年半年度报告：2025年上半年，公司实现营业收入20.60亿元，同比下降6.65%；归母净利润5.71亿元，同比下降7.83%；扣非归母净利润5.46亿元，同比下降8.79%。其中，公司第二季度实现营业收入10.64亿元，同比下降4.79%；归母净利润3.01亿元，同比增长1.97%；扣非归母净利润2.89亿元，同比增长1.58%。化学发光设备快速装机，抵消行业部分负面影响随着集采陆续落地执行，化学发光产品的价格出现了一定的下调，同时由于DRG 政策的全面推行，使得整体市场的检测量有所减少。但公司2024年的化学发光装机量创了新高，带来了一定的增量，抵消了行业因素带来的部分负面影响。新品逐步落地，有望为业绩增长助力公司的液相色谱串联质谱检测系统产品目前已获证，该仪器的配套试剂主要有：营养代谢、内分泌代谢、药物浓度、疾病标志物等系列。同时，公司对测序仪同样寄予厚望，预计近期获证。未来随着配套试剂的陆续获证，两个系列产品应该会取得较好的市场表现。毛利率、费用率维持稳定趋势2025年上半年，公司的综合毛利率同比下降0.94pct至64.43%。销售费用率、管理费用率、研发费用率、财务费用率分别为18.88%、4.96%、12.15%、0.21%，同比变动幅度分别为+2.18pct、+0.82pct、-2.95pct、+0.04pct。其中，2025年第二季度的综合毛利率、销售费用率、管理费用率、研发费用率、财务费用率、整体净利率分别为63.83%、18.21%、4.11%、11.25%、0.17%、28.29%，分别变动-2.36pct、+1.42pct、+0.10pct、-5.04pct、+0.01pct、+1.87pct。盈利预测及投资评级：我们预计，2025-2027年公司营业收入分别为44.65/50.03/56.12亿元，同比增速为-0.14%/12.05%/12.17%；归母净利润分别为12.47/14.77/17.68亿元，同比增速为4.39%/18.43%/19.71%；EPS分别为2.18/2.58/3.09元，当前股价对应2025-2027年PE为19/16/13倍。维持“买入”评级。风险提示：集采降价的风险，竞争格局恶化的风险，新品推广不及预期的风险。,,太平洋证券,买入,[None],2025-09-07,,买入,6404227,pdf_downloads/2025/2025-09-07/603658-安图生物（603658）：化学发光业务改善，盈利能力维持稳定.pdf,603658,安图生物,安图生物（603658）：化学发光业务改善，盈利能力维持稳定
"谭国超,李婵","主要观点：事件：公司发布2025年半年度报告，2025年上半年，公司实现营业收入20.60亿元（yoy-6.65%），归母净利润5.71亿元（yoy-7.83%），扣非净利润5.46亿元（yoy-8.79%）。其中，2025Q2实现营业收入10.64亿元（yoy-4.79%），归母净利润3.01亿元（yoy+1.97%），扣非净利润2.89亿元（yoy+1.58%），经营性现金流2.44亿元（yoy+45.9%）。事件点评行业因素短期仍在，2025Q2发光业务有所改善可预期的未来几个季度，行业仍受到院端检验量承压、IVD集采全面执行等多重影响，2025Q2公司营业收入环比+6.9%、归母净利润同比增速回正（环比+11.7%），经营相对稳健。公司业绩边际改善、盈利能力回升，一方面主要是收入结构持续优化（主动收缩低毛利的代理业务、高毛利试剂业务占比提升），另一方面，2025Q2公司期间费用率显著改善，销售/管理/研发费用率分别为18.21%/4.11%/11.25%，环比-1.40pct、-1.77pct、-1.86pct。分区域来看，2025H1境内实现收入19.04亿元（yoy-8.32%），主要受国内行业政策环境影响所致；境外实现营收1.57亿元（yoy+19.78%），主要得益于公司持续加大全球市场布局，将产品推入亚洲、欧洲、非洲等100多个国家和地区。研发费用投入持续，多元布局测序平台等业务公司继续维持较高的研发投入，2022年—2024年研发投入分别为57,169.48万元、65,613.04万元和73,193.28万元，占当期营业收入的比重分别为12.87%、14.77%和16.37%，仪器及试剂矩阵愈发丰富。2025年上半年，公司新获试剂证书88项，涵盖磁微粒化学发光法、液相色谱-串联质谱法、干化学酶法、分子诊断等，检测项目覆盖血栓疾病、骨代谢、肿瘤、高血压、呼吸道相关疾病、传染病、优生优育等；仪器方面，公司成功推出液相色谱串联质谱系列产品，涵盖液相色谱串联质谱检测系统AutomsTQ6000、全自动样本前处理设备及其配套试剂。NGS平台方面，全资子公司思昆生物已完成Sikun全系列产品布局，推出Sikun2000、Sikun1000、Sikun500、SikunRapidGS480四款基因测序仪及全自动病原分析系统（APAS），成功切入非临床市场，全自动基因测序文库制备仪AISPre3200顺利进入试产阶段。投资建议我们预计公司2025-2027收入有望分别实现45.01亿元、49.75亿元和55.31亿元，同比增长分别约0.7%、10.5%和11.2%，2025-2027年归母净利润分别实现12.20亿元、14.03亿元和16.17亿元，同比增长分别约2.2%、14.9%和15.3%。2025-2027年的EPS分别为2.14元、2.45元和2.83元，对应PE估值分别为19x、17x和14x，维持“买入”评级。风险提示高速机装机进展不及预期风险。行业竞争加剧风险。",,华安证券,买入,[None],2025-09-05,,买入,6395286,pdf_downloads/2025/2025-09-05/603658-安图生物（603658）：2025Q2发光业务改善，政策环境压力下保持稳健.pdf,603658,安图生物,安图生物（603658）：2025Q2发光业务改善，政策环境压力下保持稳健
