author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
陶俞佳,主要观点：事件概况纽威股份于2025年10月25日发布2025年三季报。公司2025年前三季度实现营收56.03亿元，同比+25.76%，实现归母净利润11.14亿元，同比+34.54%，业绩表现超预期。业绩超预期，Q3归母净利同比+40.4%增长提速2025Q1~3公司实现营收56.03亿元，同比+25.76%，实现归母净利润11.34亿，同比+34.54%。单季度来看，2025 Q3实现营收22亿元，同比+35.95%， 2025Q3实现归母净利润4.77亿元，同比+40.43%。 利润率来看，25Q1~3公司实现毛利率36.93%，同比提升0.21pct；单季度来看，25Q3毛利率达至38.73%，环比Q2提升2.64pct。费用端来看，25Q3公司三费费率同比下降，环比略回升，占比由25Q2的8.6%提升至25Q3的9.2%，同比下降1.6pct。25Q1~3公司实现净利率20.1%，同比提升1.36pct；单季度来看，25Q3实现净利率21.92%，达近年新高，同比24Q3高位继续提升0.84pct，环比25Q2提升1.43pct，受益于产品结构及经营效率优化及公司海外市场开拓，公司盈利水平进一步提升。持续滚动股权激励绑定核心团队公司于2024年10月16日发布股权激励方案及滚动实施中长期激励计划的公告，公司股权激励计划滚动周期为1年。2025年7月18日公司发布2025年限制性股票激励计划首次授予激励对象名单，股权激励覆盖公司董事长、总经理等7位高管及147名中层管理人员及核心技术（业务）骨干。持续滚动的股权激励助力公司绑定核心团队。进一步提升上游供货能力及公司产能， 资质认证及客户覆盖持续拓宽公司于9月30日发布公告，拟建设高端铸钢泵阀件及结构件制造项目。为应对市场需求持续增长，公司拟实施产能扩建工程以提升整体生产能力和运营效率。公司拟投资的高端铸钢泵阀件和结构件制造项目用以完成公司产能置换及扩充，项目总投资约15亿元，预计建设期为2026年9月-2027年12月，建成后年产各类铸钢件4万吨，年产值约10亿元。2025H1公司持续向国际核聚变ITER项目交付近千台阀门，参与多个海外核电项目；公司蝶阀及闸阀项目获澳大利亚Watermark认证，东吴机械获得ASME UV证书、TSG超低温先导式安全阀证书同时扩大了CE PED认证范围，同时纽威石油设备在FPSO大口径高压特材阀门及海洋平台设备自动控制领域取得重大突破。盈利预测、估值及投资评级根据公司25年三季报，结合对公司产能及下游拓展的判断，我们调整公司盈利预测，2025-2027年营业收入分别为76.98/93.99/112.4亿元（2025-2027年前值72.82/83.79/95.56亿元），归母净利润分别为15.18/18.43/22.17亿元（2025-2027年前值14.47/16.54/19亿元），以当前总股本计算的EPS为1.96/2.38/2.86元（2025-2027年前值1.88/2.15/2.47元）。公司当前股价对2025-2027年预测EPS的PE倍数分别为27/22/19倍。公司作为国内工业阀门领先企业，高端市场及产品突破叠加下游持续景气，公司有望凭借上游产业链及产品渠道布局持续获取竞争优势，维持“买入”评级。风险提示1）原材料价格波动风险；2）公司下游需求不及预期风险； 3）汇率波动风险；4）地缘政治风险；5）行业周期性风险；6）市场竞争风险；7）技术升级风险。,,华安证券,买入,[None],2025-11-08,,买入,7585828,pdf_downloads/2025/2025-11-08/603699-纽威股份（603699）：25Q3点评：业绩超预期，Q3归母净利同比+40.4%增长提速.pdf,603699,纽威股份,纽威股份（603699）：25Q3点评：业绩超预期，Q3归母净利同比+40.4%增长提速
"邰桂龙,杨云杰",事件：公司发布2025年三季报，2025年前三季度实现营收56.0亿元，同比增长25.8%；实现归母净利润11.1亿元，同比增长34.5%。Q3单季度来看，实现营收22.0亿元，同比增长36.0%，环比增长19.0%；实现归母净利润4.8亿元，同比增长40.4%，环比增长27.6%。公司业绩维持高速增长。盈利能力保持高水平；在手订单饱满支撑业绩发展。2025年前三季度，公司综合毛利率为36.9%，同比+0.2pp；净利率为20.1%，同比+1.4pp；期间费用率为11.3%，同比-1.6pp。2025Q3，公司毛利率为38.7%，同比-0.2pp，环比+2.6pp；净利率为21.9%，同比+0.8pp，环比+1.4pp；期间费用率为10.1%，同比-1.8pp，环比-0.9pp。截至2025年三季度，公司合同负债6.5亿，同比年初+84.3%。工业阀门高景气，海外产能释放值得期待。根据2025年阀门行业研究与预测报告，全球阀门市场预计到2025年超过923亿美元，增长主要由能源转型和智能基础设施需求拉动，其中亚太和中东地区增长显著。公司持续为石油天然气、化工、海工造船、电力能源、氢能、储能、碳捕集及新能源等多元化领域提供高性能、高可靠性的系列产品。在产品体系方面，公司已形成球阀、蝶阀、闸阀、截止阀、止回阀、核电阀、高压API 6A阀、水下阀、安全阀、调节阀及液氢阀等领域的全品类布局。公司越南工厂扩建项目、沙特工厂新建项目预计于2026年建成投产，产能建成后有助于完善公司全球化战略，增强市场竞争力，提升海外市场份额。盈利预测与投资建议。预计公司2025-2027年归母净利润分别为15.6、19.6、22.9亿元，未来三年归母净利润复合增长率26%。海外工业阀门行业景气旺盛，公司在手订单充裕，海外业务拓展叠加新产能释放，长期增长可期，维持“买入”评级。风险提示：下游行业景气下行、海外市场发展不确定性、原材料成本上行、新建产能项目进度或不及预期等风险。,,西南证券,买入,[None],2025-10-31,,买入,7128062,pdf_downloads/2025/2025-10-31/603699-纽威股份（603699）：业绩维持高速增长，海外产能释放值得期待.pdf,603699,纽威股份,纽威股份（603699）：业绩维持高速增长，海外产能释放值得期待
"王华君,李思扬",2025年三季报：业绩同比增长34.5%；受益全球下游需求增长+产品高端化1）业绩：实现营收56.0亿元，同比+25.8%；归母净利润11.1亿元，同比+34.5%。单季度来看，2025Q3收入21.99亿元，同比+35.95%；归母净利润4.8亿元，同比+40.4%。预计受益于下游行业需求增长、及公司高端产品加速突破。2）盈利能力：毛利率36.9%、同比+0.2pct，净利率20.1%、同比+1.4pct。预计系公司高端产品持续突破。其中Q3单季度，公司毛利率38.7%，同比-0.16pct、环比+2.6pct，净利率21.9%、同比+0.8pct。受益规模效应盈利能力持续增强。3）订单： 2025年三季度末合同负债6.5亿元，同比增长256%，呈现加速趋势。存货27.2亿元，同比增长13.9%。公司在全球覆盖五大洲超过90个国家，在苏州、大丰和溧阳共建立了四家铸锻件的生产工厂，满足订单需求。4）股权激励：2025年7月，公司发布2025年限制性股票激励计划（草案），拟授予公司高管、中层管理人员和骨干共154人，占公告日股本总额1.00%。业绩考核目标为2025-2027年归母净利润不低于12.7/13.9/15.3亿元，授予价15.93元/股，彰显公司长期发展信心。纽威股份：全球布局+供应链打通+技术资质构筑核心壁垒，未来成长空间大1）核心优势：全球布局+供应链打通+技术资质构筑核心壁垒。公司在全球有近百家代理和分销商、覆盖超90个国家，具备全球服务能力。拥有三家阀门铸件厂+一家阀门锻件厂，保障供应的同时，对阀门产品的技术和材料创新具有明显的优势助力。同时公司已经拥有多项国际认证资质，通过众多全球客户考核获得合格供应商资格，可提供中高端阀门全套解决方案。2）成长空间：公司立足全球市场、2024年海外营收占比超60%，下游覆盖油气、海工造船、水处理、电力、新能源等主要领域。目前公司全球市占率较低，相比全球工业阀门龙头艾默生阀门业务营收存在较大差距，未来随着公司向中高端阀门的持续突破，成长空间大。盈利预测：预计2025-2027年公司归母净利润为15.3/18.2/21.2亿元，同比增长32%/19%/17%；对应PE为25/21/18；维持“买入”评级。风险提示：原材料价格上涨风险、汇率变动风险、下游资本开支不及预期。,,浙商证券,买入,[None],2025-10-28,,买入,6863238,pdf_downloads/2025/2025-10-28/603699-纽威股份（603699）：点评报告：三季报业绩超预期，合同负债同比增长256%.pdf,603699,纽威股份,纽威股份（603699）：点评报告：三季报业绩超预期，合同负债同比增长256%
倪正洋,2025年10月27日│中国内地公司发布三季报，2025Q1-Q3实现营收56.0亿元，同比+25.8%；归母净利润11.1亿元，同比+34.5%。单季度来看，2025Q3收入21.99亿元，同比+35.95%；归母净利润4.8亿元，同比+40.4%。公司前三季度营业收入实现稳健增长，维持“增持”评级。高端产品持续突破，费用端及经营活动现金流持续优化2025年前三季度，公司毛利率36.9%，同比+0.2pct，主要系公司高端产品持续突破，市场竞争力增强所致。其中Q3单季度，公司毛利率38.7%，同比-0.15pct。费用率方面，2025Q1-Q3期间费用率11.3%，同比-1.6pct，其中销售费用率6.4%，同比-0.6pct；管理费用率3.4%，同比-0.4pct；研发费用率2.0%，同比-0.1pct；财务费用率-0.5%，同比-0.51%。经营活动现金流16.73亿元，同比+171.7%，主要系本期销售商品收到的现金增加所致。深耕能源阀门中高端领域，产品质量赋能品牌竞争力公司是一家工业阀门制造商，自 1997 年成立以来，专注于为石油化工天然气电力等能源领域提供全套工业阀门解决方案。公司引进和开发了全套先进的检验和试验设备来控制从毛坯到成品的整个生产过程的质量。公司的铸造工厂先后取得了 ISO9001、欧盟承压设备证书 CE-PED、德国承压设备证书 AD2000、 核安全 1 级等资质认证，苏州铸造厂实验室获得了 CNAS 的认可，同时本公司铸件被 CCS、ABS、 DNV、LR、BV 等多家船级社批准，双相不锈钢和超级双相不锈钢铸件的生产质量体系通过挪威石油标准化组织（NORSOK）的专家审查，为公司高端铸件的生产提供了重要的质量保证。持续深化全球化发展，外销占比有望持续提升2024年公司海外营收38.13亿元，同比增长25.95%，海外毛利率41.72%，同比+9.95pct。公司已经形成了覆盖全球的多层次营销网络体系。公司在美洲、欧洲、东南亚、中东、非洲等国家或地区直接设立销售子公司或办事处，负责当地市场的开拓和运营；在需求旺盛的地区直接或通过经销商设立地区库存中心，及时满足客户的日常采购需求，为客户提供高效服务。在自有销售网络之外，公司在全球有近百家代理和分销商，覆盖亚、欧、南北美、非洲、大洋洲全部五大洲超过 80 个国家，将公司触角延伸到更多地区和细分市场领域。盈利预测与估值考虑到公司高端产品持续拓展，我们上调公司25-27年归母净利润(+5.83%/+9.48%/+13.36%/)至15.19/19.09/22.60亿元，同比增速分别为31.47%/25.65%/18.37%，对应EPS为1.96/2.46/2.91元。可比公司25年Wind一致预期PE均值为20倍，考虑到公司国际竞争优势凸显+高端产品业务拓展顺利，享有一定的估值溢价，给予公司25年26倍PE，给予目标价50.96元（前值39.27元，对应21倍25年PE）。风险提示：市场竞争加剧；运费与汇率波动；与石油化工行业需求关联性较高；新领域拓展不及预期。,,华泰证券,增持,[None],2025-10-27,,增持,6834544,pdf_downloads/2025/2025-10-27/603699-纽威股份（603699）：产品持续高端化，营收稳健增长.pdf,603699,纽威股份,纽威股份（603699）：产品持续高端化，营收稳健增长
"周尔双,韦译捷",投资要点事件：2025年10月24日，公司发布2025年三季度报告。Q3营收同比+36%，订单、现金流表现出色2025年前三季度公司实现营业收入56亿元，同比增长26%，归母净利润11.1亿元，同比增长35%，扣非归母净利润10.9亿元，同比增长33%。单Q3公司实现营业收入22亿元，同比增长36%，在手订单兑现提速；归母净利润4.8亿元，同比增长40%，扣非归母净利润4.7亿元，同比增长42%，规模效应、经营效率提升，利润增速高于营收。公司业绩维持快速增长，主要受益于：（1）中东油气全产业链投资增加，油服设备需求增长，（2）FPSO、LNG船订单、交付维持高位，（3）公司于大客户如沙特阿美新品扩批、提份额逻辑兑现，（4）新兴核电、水处理等板块增速良好。同时，公司在手订单饱满，现金流回款良好，2025前三季度合同负债6.5亿，同比增长256%；净现比1.6，同环比继续改善。展望未来，传统油气+战略新兴行业增长，公司于头部客户份额提升逻辑可持续，看好业绩持续稳健增长。毛利率维持高水平，费控能力持续提升2025年Q3公司实现销售毛利率38.7%，同比基本持平，销售净利率21.9%，同比提升0.8pct。2025年Q3公司期间费用率10.1%，同比下降1.8pct，其中销售/管理/研发/财务费用率分别为6.4%/2.5%/1.0%/0.3%，同比分别下降0.03/1.03/0.12/0.63pct。公司海外业务占比提升、经营效率提升与汇率波动影响相互抵消，毛利率维持高水平，规模效应摊薄费用，净利率稳中有升。2025年股权激励计划落地，调动团队积极性2025年7月公司发布2025年限制性股票激励计划（草案），拟授予公司高管、中层管理人员和骨干共154人限制性股票数量771.4万股，占公告日股本总额1.00%。业绩考核目标为2025-2027年归母净利润不低于12.7/13.9/15.3亿元，年同比增速10%。并于7月17日公告限制性股票授予，授予价15.93元/股。股权激励计划有助于绑定核心员工，调动团队积极性，彰显公司长期发展信心。盈利预测与投资评级：公司Q3业绩超预期，我们上调公司2025-2027年归母净利润预测为16（原值15）/19（原值18）/23（原值21）亿元，当前市值对应PE为22/18/15x，维持“买入”评级。风险提示：地缘政治冲突加剧、竞争格局恶化、原材料价格波动等,,东吴证券,买入,[None],2025-10-25,,买入,6774788,pdf_downloads/2025/2025-10-25/603699-纽威股份（603699）：Q3归母净利润+40%超预期，出海订单加速兑现.pdf,603699,纽威股份,纽威股份（603699）：Q3归母净利润+40%超预期，出海订单加速兑现
闫智,"纽威股份(603699)报告摘要事件:公司发布2025年半年报,2025H1实现营收34.04亿元,同比+19.96%;归母净利润6.37亿元,同比+30.44%;Q2单季度实现营收18.48亿元,同比+25.03%,环比+18.80%,归母净利润3.74亿元,同比+28.37%,环比+42.34%。业绩表现亮眼,规模效应驱动盈利高增长2025年上半年公司业绩表现优异,营收、归母净利润持续创同期历史新高,净利率18.9%、同比+1.5pct,主要受益于:1)LNG、海工、造船等下游高景气持续,我们判断公司前期高毛利订单确认收入提升盈利能力;2)新业务核电、水处理等领域订单快速放量;3)工艺设备升级、原材料价格下降等成本端改善。2025年上半年,公司合同负债5.05亿元,同比增长122.5%,反映在手订单充足,后续业绩有望持续高增。持续推动技术升级迭代,核电、FPSO等取得突破进展2025年上半年,公司研发费用9268万元,同比增长19.65%,持续推动技术升级迭代:1)完成超低温双偏心蝶阀的性能和寿命测试,实现了双偏心蝶阀在超低温工况下可靠密封的目标;2)持续突破核级设备技术壁垒,成功开展核一级轴流式止回阀、带位置指示核级止回阀的鉴定;3)研制出一系列FPSO大口径高压特材阀门并顺利通过多家国际知名客户测试验收;4)成功研制140Mpa海洋平台节流压井管汇及配套的远程液压控制系统,并顺利完成首个项目交付。中期看好海工、LNG等高景气下游放量,长期看好平台化成长逻辑公司作为国内工业阀门龙头,拥有覆盖全球90多个国家的多层次营销网络,成功中标F450FLN、VLAC船、North Filed South等国内外大型项目,在传统及新兴市场均表现强劲,国际竞争实力较强。中期来看,受益于全球能源结构转型,特别是LNG、海工船舶、核电等下游高景气度延续,公司订单充足;长期而言,公司全品类阀门解决方案能力、全球化渠道优势以及在新兴领域的持续突破,将支撑其平台化成长逻辑,市场份额与盈利能力有望持续提升。投资建议预计公司2025-27年实现营收74.60亿元/89.63亿元/107.72亿元,归母净利润14.86亿元/18.33亿元/22.55亿元,当前股价对应市盈率为17.8X/14.4X/11.7X,维持“买入”评级。风险提示汇率波动风险、原材料价格上涨、下游需求不及预期、新品开发不及预期、客户拓展不及预期",,中航证券,买入,[None],2025-09-11,,买入,6426018,pdf_downloads/2025/2025-09-11/603699-纽威股份（603699）：业绩表现亮眼，合同负债大幅增长.pdf,603699,纽威股份,纽威股份（603699）：业绩表现亮眼，合同负债大幅增长
倪正洋,2025年9月02日│中国内地 通用机械 公司是中国领先的工业阀门制造商，以能源行业为核心目标市场，积极拓展油气、化工等传统能源应用领域以及电力、海工、造船、精细化工、核电、氢能、储能和碳捕集等新兴领域，以持续扩大市场份额。考虑到公司在高端产品持续突破并加大海外拓展，尽管国内需求较为温和，但在海外占比提升下整体盈利能力有望持续提升，维持“增持”。盈利能力持续提升，费用率和经营活动现金流优化2025年H1实现营收34.04亿元（yoy+19.96%），归母净利6.37亿元（yoy+30.44%），扣非净利6.15亿元（yoy+27.37%）。25H1公司综合毛利率35.76%，同比+0.49pct。期间费用率方面，25H1整体费用率12.01%，同比-1.24pct，整体期间费用控制良好；其中销售费用率 6.38%，同比-0.76pct，主要系经营效率提升；管理费用率 3.91%，同比+0.04pct，主要系股份支付费用增加；财务费用率-1.01%，同比-0.51pct，主要系利息净流入增加；研发费用率 2.72%，同比-0.01pct。经营活动现金流9.13亿元，同比+1188.94%，主要系本期销售商品收到的现金增加所致。深化全球化发展，外销占比有望持续提升2024年公司海外营收38.13亿元，同比增长25.95%，海外毛利率41.72%，同比+9.95pct。2025上半年尽管地缘政治风险和国际贸易环境的不确定性依然存在，但通过“一带一路”和更高水平的对外开放政策，为中国阀门企业拓展国际市场创造了更多机会。中国阀门品牌凭借高性价比、可靠的产品质量和不断升级的技术能力以及“中国制造”的影响力，在国际市场上的认可度持续提升，尤其在亚太、中东、欧洲等市场表现突出。公司作为国内领先的工业阀门制造商，产品在众多国内外知名项目中得到全球客户的高度认可，未来海外营收规模和占比有望持续提升。高端阀门技术持续突破，高端化发展步伐稳健2025 上半年，工业阀门行业在绿色转型、国际化发展、智能化升级、高端产品国产化等方面均展现出积极态势。纽威股份积极研发了多个高端新品，例如超低温双偏心蝶阀可以为用户在低温乙烯、液化天然气运输船及空分等低温工况应用领域提供更优解决方案；复合高分子阀座高压全焊接管线球阀满足了高压气循环无可见泄漏的技术要求。此外25H1公司持续向国际核聚变ITER项目交付近千台阀门。继成功交付英国HPC项目后，凭借过硬的技术与服务赢得客户认可，参与到多个海外核电项目中。石油设备方面，25H1成功研制出一系列FPSO大口径高压特材阀门，并顺利通过多家国际知名客户的严格测试与验收，为公司在高端领域持续渗透奠定了坚实基础。盈利预测与估值我们上调公司毛利率并下调费用率，上调25-26年归母净利润48.31%/68.56%至14.35/17.45亿元，并新增27年预测归母净利润为20.07亿元，对应EPS为1.87/2.27/2.61元。上调盈利预测主要系毛利率较高的外销占比未来有望持续提升，以及高端产品有望持续突破，且公司内部管控持续优化，整体费用率下降，略下调营收增速主要系国内需求或较为温和。可比公司25年ifind一致预期PE均值为17倍，考虑到公司国际竞争优势凸显+高端产品业务拓展顺利，应有估值溢价，给予公司25年21倍PE，上调目标价为39.27元（前值24.13元，对应19倍25年PE）。风险提示：市场竞争加剧；运费与汇率波动；与石油化工行业需求关联性较高；新领域拓展不及预期。,,华泰证券,增持,[None],2025-09-02,,增持,6382934,pdf_downloads/2025/2025-09-02/603699-纽威股份（603699）：持续高端化和全球化的领先阀门制造商.pdf,603699,纽威股份,纽威股份（603699）：持续高端化和全球化的领先阀门制造商
陶俞佳,主要观点：事件概况纽威股份于2025年8月21日发布2025年中报。公司2025H1实现营业收入34.04亿元，同比+19.96%，实现归母净利润6.37亿元，同比+30.44%，业绩表现亮眼。25Q2单季度净利率达20.49%，盈利能力提升2025H1年公司实现营收34.04亿元，同比+19.96%，实现归母净利润6.37亿同比+30.44%。单季度来看，2025Q2实现营收18.48亿元，同比+25.03%，增速环比Q1提升10.6pct，2025Q2实现归母净利润3.74亿元，同比+28.37%，业绩表现符合预期。利润率来看，25H1公司实现毛利率35.76%，同比提升0.28pct；单季度来看，25Q2毛利率进一步提升至36.09%，环比Q1提升0.71pct。25H1公司实现销售净利率18.92%，同比提升1.51pct；单季度来看，25Q2实现销售净利率20.49%，环比25Q1提升3.44pct。费用端来看，25Q2公司三费费率进一步下降，占比由25Q1的10%进一步下降至25Q2的8.6%，体现公司成本管控能力的进一步增强，盈利水平进一步提升。持续研发投入，多领域高端产品获得突破公司2025H1研发费用达0.93亿元，研发费用率达2.72%。公司持续推动工艺技术改进与优化，持续实现高端产品及客户交付突破如：1）公司完成高压大口径平板闸阀通过检验并实现批量交付；2）完成复合高分子阀座高压全焊接管线球阀研发，与橡胶阀座相比，复合高分子材料能够承受更高的介质压力和更长久的耐老化寿命，且更耐磨损；3）取得高完整性压力保护系统产品研发突破，系统在响应时间、误动作率等核心指标方面达到国际领先水平，公司已成功承接多项订单并实际投入使用。核级阀门方面，2025H1公司核级阀门交付量再创新高，2025 H2有望随智能智造产线投入使用，核级阀门产能将实现进一步提升。同时公司持续突破核级设备壁垒，完成了国内某用户的核一级严重事故泄压阀的生产制造，并参与ACPR50S 实验堆防倒流装置的研发与生产。进一步提升上游技术实力，资质认证及客户覆盖持续拓宽在上游铸锻件供应层面，2025H1公司锻件工厂成功完成大吨位轴承外圈单内孔/双内孔台阶异性锻件、大直径轴承内圈单外圆台阶异型锻件、三通阀体仿形异型锻件等的研发和生产，技术实力再上新台阶。2025H1公司持续向国际核聚变ITER项目交付近千台阀门，参与多个海外核电项目；公司蝶阀及闸阀项目获澳大利亚Watermark认证，东吴机械获得ASME UV证书、TSG超低温先导式安全阀证书同时扩大了CE PED认证范围，同时纽威石油设备在FPSO大口径高压特材阀门及海洋平台设备自动控制领域取得重大突破。盈利预测、估值及投资评级根据公司25年中报，我们维持公司盈利预测为2025-2027年营业收入分别为72.82/83.79/95.56亿元，归母净利润分别为14.47/16.54/19亿元，以当前总股本计算的EPS为1.88/2.15/2.47元。公司当前股价对2025-2027年预测EPS的PE倍数分别为18/16/14倍。公司作为国内工业阀门领先企业，高端市场及产品突破叠加出口延续，在多下游需求持续中，公司有望凭借上游产业链及产品渠道布局持续获取竞争优势，维持“买入”评级。风险提示1）原材料价格波动风险；2）公司下游需求不及预期风险； 3）汇率波动风险；4）地缘政治风险；5）行业周期性风险；6）市场竞争风险；7）技术升级风险,,华安证券,买入,[None],2025-08-27,,买入,6354198,pdf_downloads/2025/2025-08-27/603699-纽威股份（603699）：25H1点评：业绩符合预期，产品及客户覆盖持续拓宽.pdf,603699,纽威股份,纽威股份（603699）：25H1点评：业绩符合预期，产品及客户覆盖持续拓宽
"王华君,李思扬",2025年上半年：业绩同比增长30%；受益全球多下游需求共振1）业绩：营业收入34亿元，同比增长20%，归母净利润6.4亿元，同比增长30%。其中单Q2单季：营收18.5亿元，同比增长25%，归母净利润3.7亿元，同比增长28%。全球阀门市场预计到2025年将超过923亿美元，由能源转型和智能基础设施需求拉动，亚太和中东地区表现尤为突出，公司作为国内龙头、海外领军者，有望充分受益。2）盈利能力：2025年H1毛利率35.8%，同比提升0.3pct，销售净利率18.9%，同比提升1.5pct。其中Q2单度：毛利率36.1%，同比下降1.4pct，销售净利率20.5%，同比提升0.6pc。受益于规模效应、公司盈利能力持续增强。3）订单： 2025年上半年合同负债5亿元，同比增长123%，呈现加速趋势。存货25.9亿元，同比增长9.8%。公司在全球覆盖五大洲超过90个国家，在苏州、大丰和溧阳共建立了四家铸锻件的生产工厂，满足订单需求。4）股权激励：2025年7月，公司发布2025年限制性股票激励计划（草案），拟授予公司高管、中层管理人员和骨干共154人，占公告日股本总额1.00%。业绩考核目标为2025-2027年归母净利润不低于12.7/13.9/15.3亿元，授予价15.93元/股，彰显公司长期发展信心。纽威股份：全球布局+供应链打通+技术资质构筑核心壁垒，未来成长空间大1）核心优势：全球布局+供应链打通+技术资质构筑核心壁垒。公司在全球有近百家代理和分销商、覆盖超90个国家，具备全球服务能力。拥有三家阀门铸件厂+一家阀门锻件厂，保障供应的同时，对阀门产品的技术和材料创新具有明显的优势助力。同时公司已经拥有多项国际认证资质，通过众多全球客户考核获得合格供应商资格，可提供中高端阀门全套解决方案。2）成长空间：公司立足全球市场、2024年海外营收占比超60%，下游覆盖油气、海工造船、水处理、电力、新能源等主要领域。目前公司全球市占率较低，相比全球工业阀门龙头艾默生阀门业务营收存在较大差距，未来随着公司向中高端阀门的持续突破，成长空间大。盈利预测：预计2025-2027年公司归母净利润为14.1/16.9/19.8亿元，同比增长22%/20%/17%；对应PE为18/15/13；维持“买入”评级。风险提示：原材料价格上涨风险、汇率变动风险、下游资本开支不及预期。,,浙商证券,买入,[None],2025-08-25,,买入,6345531,pdf_downloads/2025/2025-08-25/603699-纽威股份（603699）：点评报告：中报业绩符合预期，合同负债加速增长.pdf,603699,纽威股份,纽威股份（603699）：点评报告：中报业绩符合预期，合同负债加速增长
"周尔双,韦译捷",事件：2025年8月21日，公司发布2025年半年度报告。Q2归母净利润+28%与快报一致，订单、现金流均表现出色2025上半年公司实现营业总收入34.0亿元，同比增长20%，归母净利润6.4亿元，同比增长30%，扣非归母净利润6.2亿元，同比增长27%。单Q2公司实现营业总收入18.5亿元，同比增长25%，归母净利润3.7亿元，同比增长28%，扣非归母净利润3.7亿元，同比增长28%，业绩与快报一致，符合预期。公司业绩稳健增长，主要受益于：（1）中东油气全产业链投资增加，油服设备需求增长，（2）FPSO、LNG船订单、交付维持高位，（3）公司大客户如沙特阿美、ADNOC订单高增，新品扩批、提份额逻辑将持续兑现，且品牌、渠道、产能先发优势明显，市场地位稳固，（4）新兴核电、水处理等板块增速良好。同时，公司在手订单饱满，2025上半年合同负债5.0亿元，同比增长123%，现金流回款良好，净现比1.4，同环比改善。展望未来，传统油气+战略新兴行业增长，公司于头部客户份额提升逻辑可持续，看好业绩持续稳健增长。毛利率维持高水平，费控能力持续提升2025上半年公司实现销售毛利率35.8%，同比提升0.3pct，销售净利率18.9%，同比提升1.5pct，单Q2公司实现销售毛利率36.1%，同比下降1.4pct，我们判断系汇率波动影响，销售净利率20.5%，同比提升0.6pct。2025上半年公司期间费用率12.0%，同比下降1.4pct，其中销售/管理/研发/财务费用率分别为6.4%/3.9%/2.7%/-1.0%，同比分别变动-0.96/+0.04/-0.01/-0.51pct，受益于规模效应、经营效率提升，费控能力增强。2025年股权激励计划落地，调动团队积极性2025年7月公司发布2025年限制性股票激励计划（草案），拟授予公司高管、中层管理人员和骨干共154人限制性股票数量771.4万股，占公告日股本总额1.00%。业绩考核目标为2025-2027年归母净利润不低于12.7/13.9/15.3亿元，年同比增速10%。并于7月17日公告限制性股票授予，授予价15.93元/股。股权激励计划有助于绑定核心员工，调动团队积极性，彰显公司长期发展信心。盈利预测与投资评级：出于谨慎性考虑，我们维持公司2025-2027年归母净利润预测15/18/21亿元，当前市值对应PE为17/14/12x，维持“买入”评级。风险提示：地缘政治冲突加剧、竞争格局恶化、原材料价格波动等,,东吴证券,买入,[None],2025-08-21,,买入,6335881,pdf_downloads/2025/2025-08-21/603699-纽威股份（603699）：2025半年报点评：Q2归母净利润+28%符合预期，订单、现金流表现出色.pdf,603699,纽威股份,纽威股份（603699）：2025半年报点评：Q2归母净利润+28%符合预期，订单、现金流表现出色
