author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"武佳雄,顾真",福斯特光伏胶膜龙头续写太空光伏新篇章太空光伏要求材料具备抗辐照能力，公司具备宽口径光伏封装技术储备，积极探索太空环境新型解决方案；维持增持评级。支撑评级的要点公司具备宽口径光伏封装技术储备：公司是光伏胶膜龙头企业，在光伏胶膜辅材领域内市占率长期保持50%左右。在产品类型上，公司具备包括UVB胶膜、转光膜、高反黑胶膜、超高反白胶膜、高阻隔封边胶、PIB胶、高反黑背板等产品，致力于为TOPCon、HJT、薄膜电池、钙钛矿等新技术提供性价比最佳的封装方案。在抗紫外辐照细分方向上，公司具备DC光转换胶膜、UVB截止型胶膜两大产品系列，DC系列光转换胶膜可实现在阻隔紫外辐射对电池结构破坏的同时提升组件功率；UVB截止型胶膜可阻隔UVB波段，并且在长期UV辐照下保持良好稳定性。太空光伏要求材料具备抗辐照能力：航天器在轨道运行时会受到包括紫外辐照、原子氧剥蚀，导致航天器表面的有机材料、高分子材料等材料的性能下降或失效，需要使用新材料提高材料耐腐蚀性。当前在航天器上广泛应用的有机材料包括环氧树脂、聚氨酯（PU）、聚酰亚胺（PI）等，其中PI膜在国内研究较多，但为了更好满足太空环境需求，需要在PI膜上进一步沉积硅氧烷涂层以提高材料性能。总而言之，航天器防护材料具备高性能要求，且还在迭代过程中。公司积极探索太空环境新型解决方案：福斯特作为平台型的材料公司，除传统的光伏胶材料以外，公司还具备PI材料和PET材料的技术和生产能力，未来有望将各种不同类型的材料特性彼此结合，研发出适用于新型应用场景的新材料。公司具备自主研发的PI材料技术，并且已经在电子材料中得到商业化应用。公司目前正在探索太空光伏对组件封装材料的全新要求，通过以往在HJT封装技术中积累的紫外截止和紫外转化等技术，以及公司的PI材料技术，未来可能会在太空光伏中发挥作用。,,中银国际,增持,[None],2026-01-20,,增持,8346471,pdf_downloads/2026/2026-01-20/603806-福斯特（603806）：光伏胶膜龙头续写太空光伏新篇章.pdf,603806,福斯特,福斯特（603806）：光伏胶膜龙头续写太空光伏新篇章
"武佳雄,顾真",公司发布 2025 年三季报，三季度业绩环比显著提升;公司作为国产感光干膜龙头企业，有望伴随PCB国产化迎来新增长，维持增评级。支撑评级的要点2025 年前三季度业绩同比下降45.34%，三季度业绩环比显著提升:公司发布 2025 年三季报，前三季度公司实现营业收入117.88 亿元，同比减少22.32%;实现归母净利润6.88 亿元，同比减少 45.34%，实现扣非归母净利润 6.30 亿元，同比减少 48.29%。2025 年三季度公司实现归母净利润1.92 亿元，同比减少 41.79%，环比增长102.74%。三季度公司毛利率环比下降，净利率环比提升:2025年三季度，公司实现销售毛利率 8.89%，环比减少 2.47pct;实现销售净利率 4.80%，环比提升 2.76pct。2025 年前三季度，公司综合毛利率同比下降4.47 个百分点至11.09%，综合净利率同比下降2.62 个百分点至5.67%。国产感光干膜龙头企业，有望伴随 PCB 国产化迎来新增长:截至 2025年6月，公司拥有感光千膜设计产能 3.16亿平方米，是国产感光干膜龙头企业，已覆盖深南电路、鹏鼎控股、东山精密、沪电股份、健鼎电子、景旺电子、生益电子、南亚电子、超颖电子等行业头部企业，产品将围绕 AI 服务器等高端需求拓展至封装基板领域。随着在全球头部 PCB 客户中的供应占比提升，有望进入量利齐增的发展阶段。估值结合公司三季报业绩以及销售毛利率趋势，我们将公司2025-2027年预测每股收益更新为 0.39/0.7410.99 元(原 2025-2027 年预测为 0.68/0.84/0.94元)，对应市盈率39.8/21.2/15.8倍:维持着静评级。评级面临的主要风险价格竞争超预期:原材料成本压力超预期:新产能扩张与新业务开拓不达预期:光伏政策不达预期:国际贸易政策风险。,,中银国际,增持,[None],2025-11-04,,增持,7369898,pdf_downloads/2025/2025-11-04/603806-福斯特（603806）：三季度业绩环比改善，远期受益于PCB国产化.pdf,603806,福斯特,福斯特（603806）：三季度业绩环比改善，远期受益于PCB国产化
"曾朵红,郭亚男,徐铖嵘",事件：公司25年Q1-Q3营收117.9亿元，同比-22.3%，归母净利润6.9亿元，同比-45.3%，扣非净利润6.3亿元，同比-48.3%，毛利率11.1%，同比-4.5pct，归母净利率5.8%，同比-2.5pct；其中25年Q3营收38.3亿元，同环比-13.2％/-11.6％，归母净利润1.9亿元，同环比-41.8%/+102.7％，扣非净利润1.8亿元，同环比-43.2%/+154.5％，毛利率8.9%，同环比-3.9pct/-2.5pct，归母净利率5%，同环比-2.5pct/+2.8pct。胶膜出货环比略降、市占率稳中有升：25Q1-Q3公司胶膜出货21.09亿平，同比略增；其中25Q3胶膜出货约7.22亿平，环比下降约5%，测算单平净利2-3毛，持续优于同行。25年9-10月受粒子涨价传导、胶膜价格上涨三次，我们预计Q4盈利有望改善。随25年5月泰国二期产能释放，海外泰国+越南基地产能达6亿平，Q3进入满产。25年我们预计胶膜出货近30亿平，同增10%+，海外出货占比将提升至20%+；胶膜市占率保持50%+，海外市占率达60%+。感光干膜持续增长、结构有望优化： 25Q1-Q3公司感光干膜出货1.4亿平，其中Q3出货约0.5亿平、环比持平，同比持续增长。25年消费电子PCB和AI算力产品拉动公司中高端产品占比持续提升，均价和毛利率将逐步体现。费用持续下降、库存环比持平：公司25年Q1-Q3期间费用6.3亿元，同比-29.1%，费用率5.4%，同比-0.5pct，其中Q3期间费用2.1亿元，同环比-43.5%/-8.6%，费用率5.4%，同环比-2.9pct/+0.2pct；25年Q1-Q3经营性净现金流0.1亿元，同比-99.5%，其中Q3经营性现金流9亿元，同环比-52.1%/+299.2%；25年Q1-Q3资本开支3.1亿元，同比-46.9%，其中Q3资本开支1.3亿元，同环比+13.2%/+39.6%；25年Q3末存货19.6亿元，较年初增加5.1%。盈利预测与投资评级：考虑到行业竞争激烈、短期盈利承压，我们下调公司25-27年归母净利润至10.1/16.0/21.8亿元（25-27年前值为16/22/30亿元），同比-23%/+58%/+36%，对应PE为41/26/19倍，基于公司在胶膜环节的领先优势和电子材料放量前景，维持“买入”评级。风险提示：竞争加剧、政策不及预期。,,东吴证券,买入,[None],2025-11-02,,买入,7262006,pdf_downloads/2025/2025-11-02/603806-福斯特（603806）：胶膜市占率稳中有升，电子材料持续增长.pdf,603806,福斯特,福斯特（603806）：胶膜市占率稳中有升，电子材料持续增长
"邓永康,朱碧野,王一如,林誉韬",胶膜盈利阶段性承压，电子材料快速发展  事件：2025年10月29日，公司发布2025年三季报。2025年前三季度，公司实现营业收入117.88亿元，同比-22.32%；实现归母净利润6.88亿元，同比-45.34%；实现扣非净利润6.30亿元，同比-48.29%。25Q3公司实现营业收入38.29亿元，同比-13.18%，环比-11.65%；实现归母净利润1.92亿元，同比-41.79%，环比+102.74%；实现扣非净利润1.81亿元，同比-43.23%，环比+154.52%。胶膜盈利阶段性承压，9-10月胶膜价格持续上涨，有望带动公司盈利改善。根据索比咨询，25年8月初以来，原材料EVA粒子价格呈现波动上涨的趋势，10月22日粒子价格11750元/吨，相比8月初涨幅约16%。9月以来，光伏胶膜跟随粒子价格的上涨而持续提价，9月底透明EVA、白色EVA胶膜价格相比8月底分别上涨12%、11%至6.17、6.67元/平米；10月胶膜价格延续涨势，10月22日透明EVA、白色EVA胶膜价格相比9月底分别上涨1.5%、1.3%至6.26、6.76元/平米。展望2025Q4，随着光伏胶膜价格上涨，公司胶膜业务的盈利有望继续改善。多重优势有望助力公司平稳穿越周期。未来公司将继续加大研发投入，通过全系列的产品品类和优秀的成本控制能力，为XBC组件、TOPCon组件、HJT组件、0BB组件、薄膜电池组件、钙钛矿组件等新技术提供性价比最佳的封装方案；公司将加快海外光伏胶膜产能的扩张满足新兴市场高景气度的市场需求，继续稳定公司光伏材料的全球市场份额。公司通过差异化的产品开发和海外销售占比提升，努力降低行业因素带来的影响，有望平稳的穿越光伏行业周期。受益于消费电子复苏和AI应用加速演变，电子材料业务快速发展。公司电子材料事业部的主导产品为感光干膜、FCCL和感光覆盖膜。随着消费电子需求的复苏以及AI应用的加速演变，PCB将进入新的增长周期。公司电子材料业务已经取得核心原材料自供、华东华南双基地布局、海内外分切基地建设、研发和销售核心团队培养、全球头部PCB企业导入供应等众多成果，即将进入高速发展期。投资建议：我们预计公司2025-2027年营收分别为166.82、191.28、220.02亿元，对应增速分别为-12.9%、14.7%、15.0%；归母净利润分别为10.01、16.24、22.60亿元，对应增速分别为-23.5%、62.3%、39.2%，以10月31日收盘价为基准，对应2025-2027年PE为41X、25X、18X，公司是光伏胶膜的龙头企业，有望平稳穿越周期，维持“推荐”评级。风险提示：下游需求不及预期，市场竞争加剧等。,,民生证券,推荐,[None],2025-11-02,,增持,7260497,pdf_downloads/2025/2025-11-02/603806-福斯特（603806）：胶膜盈利阶段性承压，电子材料快速发展.pdf,603806,福斯特,福斯特（603806）：胶膜盈利阶段性承压，电子材料快速发展
"姚遥,张嘉文",业绩简评10月29日公司披露2025年三季报，前三季度实现营收117.88亿元，同比-22%，实现归母净利润6.88亿元，同比-45%。其中Q3实现营收39.29亿元，同比-13%、环比-12%，实现归母净利润1.92亿元，同比-42%、环比+103%。经营分析Q3出货环比略降，原材料及胶膜产品价格波动影响盈利。Q3公司实现营业收入39.3亿元，环比下降12%，主要因Q2光伏抢装背景下胶膜出货较多，Q3组件排产有一定回落，测算公司Q3胶膜出货7.22亿平、环降5%，市占率稳中有升。此外，7-8月胶膜价格处于较低水平，Q3公司销售毛利率8.89%，环比下降2.5 PCT。8月底原材料EVA树脂价格上涨带动胶膜价格上调，8-9月胶膜实现三次提价，预计当前盈利能力已有修复。光伏胶膜竞争格局优化，财务稳健保障公司穿越周期。今年以来胶膜环节产能出清速度加快，二三线企业收缩产能甚至退出市场，公司在二三线持续亏损的背景下仍维持盈利，行业竞争格局持续优化。此外，公司资产质量优秀、财务稳健，截止Q3末资产负债率仅19.74%，短期借款及长期借款余额为0，在手现金及银行承兑汇票合计约80亿，充足资金保障公司穿越行业周期。海外产能及差异化产品巩固盈利优势。公司海外布局行业领先，泰国二期2.5亿平胶膜产能已开始投产，有望带动海外出货提升、巩固盈利优势。此外，公司积极推进技术研发，为XBC、HJT、薄膜电池、钙钛矿组件等新产品提供性价比最佳的封装方案，有望凭借差异化产品改善盈利，进一步巩固头部优势。感光干膜逐步进入业绩释放期，第二增长曲线清晰。测算公司Q3实现感光干膜销量5000万平，环比持续增长。公司已覆盖鹏鼎、沪电、深南、景旺等头部PCB企业，并正围绕AI服务器等高端需求向封装基板领域拓展，随着全球头部客户供应占比提升、产品结构向高端产品转换，公司感光干膜业务有望进入“量价齐升”的业绩释放期。盈利预测、估值与评级根据我们对产业链价格及盈利的最新判断，调整公司2025-2027年归母净利润预测至10.9、18.2、26.5亿元，公司胶膜盈利优势显著、竞争格局持续优化，反内卷推动光伏行业景气修复，同时感光干膜等电子材料业务进入高速增长期，维持“买入”评级。风险提示下游需求不及预期、国际贸易恶化、新材料放量不及预期。,,国金证券,买入,[None],2025-10-29,,买入,7018066,pdf_downloads/2025/2025-10-29/603806-福斯特（603806）：胶膜格局优化，电子材料打开成长空间.pdf,603806,福斯特,福斯特（603806）：胶膜格局优化，电子材料打开成长空间
"刘强,钟欣材",事件一：公司近日发布2025年半年度报告，公司实现营业收入79.59亿元，同比-26.06%，实现归母净利润4.96亿元，同比-46.60%；其中Q2实现营收43.34亿元，同比-20.36%，环比+19.58%；实现归母净利0.95亿元，同比-76.75%，环比-76.41%。抢装带动H1出货，主链压力传导，光伏业务承压明显。2025年上半年，国内政策推动下，出现抢装情况，带动行业出货。公司2025年上半年实现光伏胶膜出货约13.86亿平，与2024年上半年几乎持平，实现营业收入72.15亿元，同比-26.97%。受到主产业链压力影响，胶膜产品售价下滑，报价与盈利承压明显。我们认为随着反内卷持续推进，随着主链产品报价回升，胶膜上游原材料供需好转，胶膜产品报价与盈利有望成功筑底，逐步进入修复阶段。海外布局效果持续显现，2025年海外收入占比有望进一步提升。根据2025年中报显示，公司国外营业收入约20.28亿元，同比+0.92%。随着公司泰国二期项目产能持续释放，公司海外营业收入占比有望进一步提升。第二增长曲线持续发力，电子材料业务保持高速增长。公司深耕电子材料，主导产品为感光干膜、FCCL和感光覆盖膜，下游知名客户覆盖面较广，公司电子材料业务充分受益于行业持续高速增长。2025年上半年，公司感光干膜销售量约0.9亿平方米，同+21.62%，营业收入约3.25亿元，同+17.93%。我们认为，基于较为全面的客户覆盖和品类开发，公司出货与市占率有望持续提升，产品结构进一步优化，公司出货量与盈利能力有望持续高速增长。投资建议：公司光伏业务短期承压，但是随着反内卷持续推进，随着光伏主产业链与胶膜行业筑底回升、公司海外产能放量以及电子材料业务放量，公司营业收入有望见底，盈利有望回升。考虑到短期公司光伏业务承压明显，我们下调公司2025-2027年盈利预测，预计2025-2027年营业收入分别为172.93亿元、201.65亿元、238.61亿元；归母净利润分别为 12.40亿元、16.22亿元、21.44亿元，对应 EPS 分别为0.48元、0.62元、0.82 元，维持“买入”评级。风险提示：原材料价格波动风险、下游需求风险、市场竞争加剧风险、政策风险。,,太平洋证券,买入,[None],2025-09-18,,买入,6451124,pdf_downloads/2025/2025-09-18/603806-福斯特（603806）：2025年中报点评：光伏业务承压，电子材料保持较高增长.pdf,603806,福斯特,福斯特（603806）：2025年中报点评：光伏业务承压，电子材料保持较高增长
"曾朵红,郭亚男",投资要点事件：公司25年H1营收79.6亿元，同-26.1%，归母净利润5亿元，同-46.6%，毛利率12.2%，同-4.5pct，归母净利率6.2%，同-2.4pct；其中25Q2营收43.3亿元，同环比-20.4％/+19.6％，归母净利润0.9亿元，同环比-76.7%/-76.4％，毛利率11.4%，同环比-6.7/-1.7pct，归母净利率2.2%，同环比-5.3/-8.9pct。光伏抢装推动出货环增。25H1公司胶膜出货13.87亿平，同比基本持平，25H1公司背板出货0.34亿平，同比-50%。25Q2胶膜出货约7.6亿平，环增20%+，考虑计提1.93亿资产及信用减值，测算单平净利3-4毛，环比下降，但表现仍优于同行。25年海外产能进一步加码，5月初泰国二期产能释放，泰+越基地产能达6亿平米，向中东印度市场供货。我们预计25年胶膜出货30亿平+，同增10%+，海外出货占比将提升至20%+，同比+12pct。第二曲线快速发展、感光干膜已达爆发前夕！感光干膜及铝塑膜等为公司第二增长曲线，25H1公司感光干膜出货0.9亿平，同比+22%，25H1铝塑膜出货666万平，同比+19%，出货持续快速增长。25年消费电子pcb和ai算力产品 拉动公司中高端占比持续提升，均价和毛利率将逐步体现。我们测算公司感光干膜全球市占率10-15%仍有巨大提升空间，25年及以后有望保持30%+年均增长。25Q2费用率进一步下降、期末库存略有提升。公司25年H1期间费用4.2亿元，同-18.9%，费用率5.3%，同+0.5pct，其中Q2期间费用2.3亿元，同环比-21.4%/+15.8%，费用率5.3%，同环比-0.1/-0.2pct；25年H1经营性净现金流-8.9亿元，同-198.2%，其中Q2经营性现金流-4.5亿元，同环比-148.3%/+4%；25年H1资本开支1.8亿元，同-62%，其中Q2资本开支1亿元，同环比-56%/+15.8%；25年H1末存货19.6亿元，较年初+4.9%。盈利预测与投资评级：我们基本维持预计公司25-27年归母净利润为16/22/30亿元，同增25%/37%/32%，对应PE为26/19/14倍，给予26年PE25x，对应目标价21.3元，维持“买入”评级。风险提示：竞争加剧、政策不及预期。,,东吴证券,买入,[None],2025-09-09,,买入,6410492,pdf_downloads/2025/2025-09-09/603806-福斯特（603806）：胶膜盈利持续稳健，电子材料增长迅速.pdf,603806,福斯特,福斯特（603806）：胶膜盈利持续稳健，电子材料增长迅速
"曾韬,黄林","事件：25H1营收79.59亿，同比-26.06%，归母净利润4.96亿，同比-46.60%，扣非净利润4.49亿，同比-50.08%。25Q2单季营收43.34亿，同比-20.36%，环比+19.58%，归母净利润0.95亿，同比-76.75%，环比-76.41%，扣非净利润0.71亿，同比-81.40%，环比-81.15%，低于预期。25H1胶膜量稳价减，营收短期承压。25H1光伏胶膜营收72.15亿元，占比90.65%，同比-26.97%，毛利率11.40%，同比-5.36pcts。25H1公司光伏胶膜销售量13.86亿平方米，与上年同期基本持平。光伏行业面临普遍亏损，胶膜单平报价下滑较快，最后导致营收和净利润下滑。公司凭借在技术研发、成本控制以及客户资源等方面的优势，在全球市场占有率长期保持50%左右，保持第一，大幅领先于竞争对手公司。我们认为随着反内卷持续推进，行业加快出清，公司通过差异化的产品开发和海外销售占比提升，盈利有望随之改善。胶膜海外产能放量，海外量利可期。25H1公司海外营收20.28亿元，占比25.48%，同比+0.92%，毛利率18.08%，同比-3.28pcts。公司是光伏胶膜行业内率先在海外布局产能的企业，目前分别在泰国和越南建有生产基地。2024年公司越南2.5亿平光伏胶膜产能逐步释放；2025H1泰国二期2.5亿平项目开始释放部分产能。我们认为2025年海外产能加码，有望满足新兴市场高景气度的市场需求，公司有望持续巩固龙头优势。电子材料高速增长，功能膜规模放量。（1）FCCL和感光覆盖膜。公司感光干膜销售量8,959.48万平方米，同比+21.62%，感光干膜营业收入3.25亿元，同比+17.93%，毛利率24.78%，同比+0.70pcts。主要受益于下游电子电路行业复苏和快速增长。根据Prismark预测，2023-2028年全球PCB产值的预计年复合增长率达5.40%。我们认为，随着AI算力基础设施和人形机器人等新兴产业的发展，高端电子材料有望受益于服务器、数据中心等领域需求高增，公司已经覆盖电子电路领域多家行业头部企业，电子材料业务有望打造公司第二增长曲线。（2）25H1公司铝塑膜营收0.64亿元，同比+9.37%，毛利率11.56%，同比+1.64pcts。公司铝塑膜销售量665.84万平方米，同比+18.77%，主要受益于新能源汽车、储能及消费电子需求扩张延续高速增长态势。我们认为随着半固态和固态电池应用加速，铝塑膜有望迎来爆发式增长。盈利短期承压。25Q2毛利率11.36%，同比-6.69pcts，环比-1.74pcts；净利率2.18%，同比-5.29pcts，环比-8.88pcts。25Q2销售/管理/研发/财务费用率分别为0.52%/1.48%/3.08%/0.18%，同比+0.08/+0.14/-0.20/-0.09pcts，环比+0.04/-0.44/+0.05/+0.18pcts。投资建议：公司光伏业务稳扎稳打，行业底部市占率稳中有升，公司营业收入有望见底，盈利有望回升。考虑到胶膜产品价格下滑，我们下调盈利预测，预计公司2025/2026年营收178.17亿元/199.98亿元，归母净利润12.32亿元/16.92亿元，EPS为0.47元/0.65元，对应PE为34.35倍/25.01倍，维持“推荐”评级。风险提示：光伏装机增速不及预期；原材料价格大幅波动；行业竞争加剧等。",,银河证券,推荐,[None],2025-09-09,,买入,6407426,pdf_downloads/2025/2025-09-09/603806-福斯特（603806）：25H1报业绩点评：胶膜盈利短期承压，电子材料持续放量.pdf,603806,福斯特,福斯特（603806）：25H1报业绩点评：胶膜盈利短期承压，电子材料持续放量
"张一弛,盛炜,蒋雨凯","公司发布 2025 年半年报。2025H1 公司实现营收 79.59 亿元，同比-26.06%；
归母净利润 4.96 亿元，同比-46.6%；毛利率 12.15%，同比-4.53pct；归母净利
率 6.23%，同比-2.4pct。
 2025Q2 公司实现营收 43.34 亿元，同比-20.36%，环比+19.58%；归母净利润
0.95 亿元，同比-76.75%，环比-76.41%；毛利率 11.36%，同比-6.69pct，环比1.74pct；归母净利率 2.18%，同比-5.29pct，环比-8.88pct。评论：胶膜龙头地位稳固，海外扩产落地助力盈利改善。2025H1 公司胶膜业务实现
营收 72.1 亿元，毛利率 11.4%。2025H1 胶膜出货 13.86 亿平，其中 Q2 出货约
7.5-7.7 亿平，环比增长约 20%，份额持续保持行业领先地位。主要系抢装需求
释放，二季度下游开工率环比增长，带动出货环比提升。盈利能力上公司仍旧
保持领先地位，上半年在同业公司盈利承压情况下，公司仍能实现正向盈利，
彰显了公司优秀的成本控制及经营管理能力。考虑美欧对光伏组件及其辅材的
原产地等特殊要求，公司加快海外产能扩张，海外盈利能力更优，出货占比提
升有望带动公司盈利修复。电子材料业务持续放量，打造第二增长极。2025H1 公司电子材料业务实现营
收 3.87 亿元，同比+16.8%，毛利率 21.9%；其中感光干膜业务营收 3.25 亿元，
同比+17.9%，毛利率 24.8%。公司电子材料核心产品为感光干膜、FCCL 和感
光覆盖膜等，2025H1 感光干膜出货约 8959.48 万平，同比+21.6%。随着 AI 服
务器和汽车智能化领域快速发展，PCB 产业景气度提升，公司已经覆盖电子电
路领域多家行业头部企业，随着公司产品结构优化以及规模效应显现，电子材
料业务有望成为公司第二增长极。严格控制回款风险，减值影响单二季度报表端业绩。公司在坏账准备计提政策
方面结合行业和下游客户实际情况，按信用期组合来确定预期信用损失率。
2025 年二季度公司计提信用减值准备损失 1.78 亿元，计提资产减值准备损失
约 0.15 亿元。投资建议：公司光伏胶膜领先地位稳固，电子材料业务持续突破。考虑胶膜业
务盈利能力阶段性承压，我们调整盈利预测，预计公司 2025-2027 归母净利润
分别为 12.17/19.44/23.84 亿元（前值 16.80/21.71/27.17），当前市值对应 PE 分
别为 31/20/16 倍。参考历史估值水平及可比公司估值，给予 2026 年 25x PE，
对应目标价 18.63 元，维持“推荐”评级。风险提示：终端需求不及预期，产能扩张进度不及预期，市场竞争加剧等。",,华创证券,推荐,[None],2025-09-04,,增持,6389849,pdf_downloads/2025/2025-09-04/603806-福斯特（603806）：减值影响报表端业绩，电子材料业务快速发展.pdf,603806,福斯特,福斯特（603806）：减值影响报表端业绩，电子材料业务快速发展
"张磊,李灵雪",事件2025年8月26日，福斯特发布2025年半年报，公司2025H1实现营业收入79.6亿元，同比减少26.1%，实现归母净利润5.0亿元，同比减少46.6%，实现销售毛利率12.2%，同比下降4.5pct；其中2025Q2实现营业收入43.3亿元，同比减少20.4%，环比增长19.6%，实现归母净利润0.9亿元，同比减少76.7%，环比减少76.4%，实现销售毛利率11.4%，同比下降6.7pct，环比下降1.7pct。光伏材料业务盈利承压2025H1公司光伏胶膜业务实现营业收入72.1亿元，同比减少27.0%，实现毛利率11.4%，同比下降5.4pct，实现销量13.9亿平，同比基本持平；同期光伏背板业务实现营业收入1.8亿元，同比减少57.8%，实现毛利率6.0%，同比提升1.7pct，实现销量3370万平，同比减少50.3%。受光伏胶膜市场价格大幅下降影响，公司胶膜业务盈利下滑，2025H1各类光伏主流胶膜行业均价同比下降约18%-33%，其中POE类降幅较大。公司积极推进海外市场布局，目前越南、泰国具备产线稳健运营，与海外组件客户建立良好合作关系。电子材料第二曲线稳步推进2025H1公司感光干膜业务实现营业收入3.2亿元，同比增长17.9%，实现毛利率24.8%，同比提升0.7pct，实现销量8959万平，同比增长21.6%。经过多年布局，公司目前已实现核心原材料自供，陆续导入全球头部PCB企业供应链，并在泰国投建分切产线，电子材料业务有望进入高速发展期。盈利预测及投资建议胶膜价格大幅下降影响公司业绩，我们预计公司2025-2027年营业收入分别为180.9/196.7/223.5亿元，同比增速分别为-5.5%/8.8%/13.6%；归母净利润分别为13.5/18.2/25.4亿元，同比增速分别为3.6%/34.4%/39.5%。EPS分别为0.52/0.70/0.97元。公司龙头地位稳固，龙头竞争优势突出，电子材料业务第二曲线快速成长，维持“买入”评级。风险提示：光伏装机增速不及预期；原材料价格大幅波动；行业竞争加剧。,,国联民生证券,买入,[None],2025-09-02,,买入,6381617,pdf_downloads/2025/2025-09-02/603806-福斯特（603806）：光伏胶膜盈利承压，电子材料业务快速成长.pdf,603806,福斯特,福斯特（603806）：光伏胶膜盈利承压，电子材料业务快速成长
