author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
伍云飞,核心观点疫情扰动出清，英科跻身头部。公司锚定一次性手套业务，业务辐射 120 余个国家地区。公司产品以出口为主，2024年境外收入80.6亿元（占比84.7%），境内收入14.6亿元（占比15.3%），经营稳健。疫情期间，一次性手套需求激增，行业整体扩产，公司扩产比例显著高于行业平均。在下行调整阶段，行业集中度提升，市场份额加速向龙头聚拢，英科跻身全球头部。2025年，全球手套销量有望追平2021年，价格趋稳小幅回升，“量增价减”趋势有望改变，一次性手套行业经过四年调整或已出清。产线先进，成本优势构筑核心壁垒。1）公司以第三代生产线为主，线速行业领先生产高效且能耗更低，生产技术竞争力强，良率长期稳定在99%以上；2）公司进行了“余热回收+智控变频+关键部件升级”全面节能技改，同时布局上游，降低了原材料波动对成本干扰。因此，对比同行，截至2025年三季度末，公司在毛利率和净利率方面都表现更好，成本优势全行业领先，市场地位有望进一步提升。量价逐级改善，具备业绩弹性。1）销量方面：公司成本优势显著，持续推进市场多元化战略，雄厚资金实力保障了产能仍有翻倍空间，未来有望迅速抢占市场，实现销量稳健增长；2）价格方面：手套行业属于充分竞争行业，价格涨跌主要取决供需关系变化，以及原材料价格波动。目前，供需格局相对平衡，价格不具备大幅波动的条件，也已经具备了一定的材料价格带来的成本传导能力。综合分析，在行业供需趋于理性平衡、竞争回归成本与效率的背景下，英科具备规模、成本与全球化优势，有望实现份额提升。盈利预测与投资建议2026年平均估值，给予公司2026年18倍市盈率，对应目标价为53.46元，首次给予“买入”评级。风险提示 关税摩擦加剧风险；成本上涨风险；市场需求变化风险；工程建设不达预期风险,,东方证券,买入,[None],2026-03-07,,买入,8488102,pdf_downloads/2026/2026-03-07/300677-英科医疗（300677）：首次覆盖报告：产能出清尾声，成本优势胜出.pdf,300677,英科医疗,英科医疗（300677）：首次覆盖报告：产能出清尾声，成本优势胜出
"王长龙,周明蕊",百尺竿头，更进一步——全球丁腈手套龙头周期复苏与进阶之路公司：公司专注一次性手套的生产和销售，在近年全球公共卫生事件中已积累大量资金并用于规模化扩产。2019年至2025H1，公司丁腈手套年化产能从190亿只增长至560亿只，已成为全球丁腈手套龙头。行业：丁腈手套综合性能优异，需求持续景气。丁腈手套过敏率低，综合性能表现优异，可应用于医疗、工业、民用等各类使用场景，渗透率持续提升。据马来西亚丁腈手套龙头贺特佳，25年全球橡胶手套需求约3250-3750亿只，未来有望保持大单位数增长趋势。从供需结构来看，欧美需求占比约60%；供给则集中在中国和马来西亚，各占比30%-40%。我们预计在需求稳健增长、供给集中度提升的背景下，行业竞争将进一步回归成本与效率。核心壁垒：技术领先+原材料自供/燃煤优势+规模效应，成本优势突出。丁腈手套行业竞争充分，成本优势为核心。公司通过技术、原材料、能源及规模四个维度构筑难以复制的成本壁垒：① 产线新、自动化水平高，生产效率持续领先；② 原材料与能源合计占成本约6-7成，其中公司核心原材料丁腈胶乳自供比例达80%，低于同业的外采依赖；同时公司为主要全球手套厂商中少数以燃煤为主要能源结构的企业，较天然气或外购蒸汽具备明显成本优势；③ 公司已成为全球最大的丁腈手套生产商，扩产仍在推进，规模效应有望进一步强化。量价修复叠加成本优势，结合规模化扩产能力，看好利润释放空间。短期来看，美国关税扰动及行业周期波动已基本消化，25Q4以来行业预计进入价格修复阶段，伴随着公司扩产持续推进，有望量价双升。①价：25Q3拐点已至，25Q4以来进入温和上涨通道。丁腈行业价格主要取决于三大因素：①行业供需；②原材料价格（主要为丁腈胶乳，上游丁二烯、丙烯腈）；③关税政策（影响区域市场供需→影响价格）。 25年前三季度在关税落地、非美市场竞争及原材料价格下行背景下，ASP处于下行通道；25Q4以来，随着去库结束、中小落后产能出清、关税扰动消化及需求回暖，行业价格已进入温和修复通道，预计26年ASP仍有上行空间。②量：在手现金充裕，扩产计划稳步推进。丁腈手套为重资产行业，双模手套单线投资可达3000万元，公司25Q3账面净现金51亿元，远超同业水平，为少数具备大规模扩产能力的公司。未来公司持续推进市场多元化战略，国内安庆新增产能也自24Q4稳步推进，叠加丁腈手套需求景气度持续，我们预计出货量有望持续增长。③针对原材料价格回升的市场担忧，我们认为其不改全年盈利能力向上趋势。25Q4以来原材料价格有所回升，公司作为丁腈手套龙头具备较强的价格传导能力，原料自供比例较高可缓冲成本波动。参考24年原材料涨价周期，行业价格向上，公司毛利率依然呈现季度环比提升态势。长期来看，在行业供需趋于理性、竞争回归成本与效率的背景下，头部厂商的分化逻辑愈发清晰。具备规模、成本与全球化能力的企业，有望持续提升份额。盈利预测与估值：我们预计公司2025-2027年营业收入分别为100.13/125.58/144.83亿元，分别同比增长5.15%/25.41%/15.34%，归母净利润分别为12.58/17.14/21.92亿元，分别同比-14.1%/+36.2%/27.9%。我们认为，公司是本轮手套行业复苏中确定性高、弹性优的核心受益标的，当前对应26年PE仅15.0X，首次覆盖予“买买入 评级。核心催化：产能扩张、同行产能减少/关停、手套行业价格提升。风险提示：海外关税政策变化的风险、市场竞争加剧的风险、汇率变化的风险、扩产不及预期的风险、原料价格波动的风险。,,国盛证券,买入,[None],2026-02-24,,买入,8436780,pdf_downloads/2026/2026-02-24/300677-英科医疗（300677）：全球丁腈手套龙头周期复苏与进阶之路：百尺竿头，更进一步.pdf,300677,英科医疗,英科医疗（300677）：全球丁腈手套龙头周期复苏与进阶之路：百尺竿头，更进一步
"陈曦炳,彭思宇,张超,凌珑",英科医疗是全球一次性手套龙头企业，业务布局多元且全球化优势显著。公司1993年以贸易起家，2009年转型自主生产后快速扩张，核心产品丁腈与PVC手套贡献超90%营收，海外收入占比稳定在85%左右，产品远销150个国家和地区，服务客户超15000名。经过疫情及后疫情时代的格局洗牌，公司已成为全球一次性手套龙头，产能规模全球领先，2025年手套产能达990亿只，产能、营收、利润规模领先同行。一次性手套行业扰动出清，供需格局持续优化。一次性手套行业呈现“中国 + 东南亚”双生产中心格局，而欧美为核心消费市场，从细分市场看，丁腈手套增速领先于其他品类，渗透率有望持续提升。行业经历了2022-2023年的去库存和价格战后，落后产能逐步出清，中国厂商凭借产业链优势实现份额提升。2025年美国关税政策重塑全球贸易流，中国厂商转向非美市场，马来西亚厂商则填补了美国市场的空缺。随着下游经销商库存出清和供需关系重回平衡，丁腈手套价格有望进入温和上行通道。英科医疗核心竞争力源于多维度成本壁垒与全球化运营能力。通过自动化生产线、丁腈胶乳自供（控股/参股多家胶乳厂）及“清洁燃煤+新能源”组合能源，公司成本显著低于国内外同行。2025年起受美国关税政策影响，公司在国内生产的手套基本退出美国市场，但通过强大的全球渠道拓展能力，成功将产能转向非美市场，维持了满产满销的状态，有效对冲了美国市场的暂时缺失。同时积极推进全球化供应链布局，助力公司在行业波动中稳步提升全球市场份额。投资建议：一次性手套行业供需格局有望持续优化，叠加公司产能规模扩张与产线升级，成本控制与盈利能力有望进一步增强。公司作为龙头企业，凭借规模化生产优势、全产业链布局及全球化渠道网络，有望进一步提升全球市场份额。维持盈利预测，我们预计公司2025-2027年营收99.9/120.1/138.8亿元，同比增速4.9%/20.2%/15.6%，归母净利润12.4/17.0/20.1亿元，同比增速-15.3%/37.1%/18.1%。综合绝对估值与相对估值，公司价格区间为43.99-48.50元，对应市值区间为288-318亿元，较当前股价有12-23%溢价空间，维持“优于大市”评级。风险提示：地缘政治风险；原材料涨价风险；产能进度不及预期风险；汇率风险。,,国信证券,优于大市,[None],2026-01-08,,买入,8317430,pdf_downloads/2026/2026-01-08/300677-英科医疗（300677）：手套行业回暖，龙头份额提升可期.pdf,300677,英科医疗,英科医疗（300677）：手套行业回暖，龙头份额提升可期
"谭国超,李婵",主要观点：全球手套行业领军企业，成本优势大且产能扩张快速。（1）行业处在供需格局改善的过程中，最差的时候已过。COVID-19疫情后，一次性手套行业即处在供需格局再平衡的过程中，2024年手套行业已经进入到供需平衡的格局。中美关税的风波打断了行业修复的进程，但2025年行业内厂家积极出海，渠道库存消化，终端需求持续增长，我们认为2026年行业重回供需平衡局面，2026年手套平均价格有望继续小幅回升。（2）英科医疗，具备成本优势，抓住疫情机会，盈利大增，为后续成长打下基础。过去10年，丁腈手套需求量快速增长，尤其疫情期间，公司抓住机遇，一次性手套产能从疫情前的190亿只（其中丁腈手套50亿只）扩张到目前的870亿只（其中丁腈手套560亿只）。同时，公司布局上游原材料丁腈胶乳，公司拥有安徽凯泽以及山东浩德控股丁腈胶乳原材料厂进行自供，原材料自供率超80%，同时在各大生产基地均有清洁能源生产指标，煤炭使用成本较天然气等其他能源具备成本优势，因此公司销售毛利率、销售净利润、ROE水平均在可比公司前列。（3）积极调整销售策略，应对中美关税风险。以2024年收入为例，公司美国市场收入占比约30-35%，2025年公司在国内生产的手套基本退出美国市场，但公司迅速调整销售策略，将国内产能转向欧洲、亚洲等非美市场，并成功维持满产满销的状态，2025年上半年海外非美市场销售收入同比增长约45%，国内市场销售收入同比增长约35%，展现了强大的全球渠道拓展能力。同时公司也在积极实施供应链全球化进程，以有效规避地缘政治风险。（4）管理层设置较高股权激励目标，向市场传递增长信心。公司2025年股权激励计划限制性股票已经授予，考核目标设涉及2026-2029年四个会计年度，2026-2029年归母净利润目标分别为16.8亿元、18.8亿元、22.8亿元和26.8亿元，2027-2029年复合增速约为16.8%，远超行业需求7-9%的复合增速。投资建议综上，我们预计2025-2027年公司营业收入将分别达到98.92亿元、117.27亿元和138.43亿元，同比增长分别为3.87%、18.55%和18.04%，归母净利润分别为11.86亿元、17.87亿元、22.21亿元，同比增长-19.1%、50.7%和24.3%。2025-2027年对应的EPS分别为1.81元、2.73元和3.39元，对应的PE分别为24x、16x和13x。考虑公司是全球一次性手套行业的头部企业，成本优势显著，产能稳步增长有望带动公司业绩持续增长，首次覆盖，给予“买入”评级。风险提示产能投放不及预期的风险。原材料上涨超预期的风险。市场竞争加剧的风险。,,华安证券,买入,[None],2025-12-26,,买入,8289555,pdf_downloads/2025/2025-12-26/300677-英科医疗（300677）：成本优势筑就护城河，成长为全球手套领军企业.pdf,300677,英科医疗,英科医疗（300677）：成本优势筑就护城河，成长为全球手套领军企业
"陈曦炳,彭思宇,张超,凌珑",归母净利润大幅增长，扣非利润有所下滑。2025年前三季度公司实现营收74.25亿元（+4.60%），归母净利润9.24亿元（+34.47%），扣非归母净利润4.84亿元（-19.32%），其中25Q3单季营收25.11亿元（-2.90%），归母净利润2.14亿元（+113.04%），扣非归母净利润0.84亿元（-25.87%）。25Q3收入同比微降，表明一次性手套行业价格仍处历史较低区间；归母净利润同比大增，主要得益于去年同期低基数及本期金融资产公允价值变动收益等非经常性损益贡献；扣非利润下滑较多，主要系汇兑损失较多的影响。毛利率下降，管理费用率提升较多。25Q3公司毛利率22.66%（-0.70pp），毛利率略有下滑。销售费用率3.13%（+0.57pp），管理费用率7.39%（+2.35pp），研发费用率4.20%（+0.19pp），财务费用率4.95%（-1.27pp），四费率19.68%（+1.84pp），管理费用率明显提升，主要系公司在海外建设工厂有一定费用投入。市场多元化布局推进顺利，非美市场及国内市场快速增长。2025年起，受美国关税政策影响，公司在国内生产的手套基本退出美国市场，但公司迅速调整销售策略，将国内产能转向欧洲、亚洲等非美市场，并成功维持满产满销的状态，2025年上半年海外非美市场销售收入同比增长约45%，国内市场销售收入同比增长约35%，展现了强大的全球渠道拓展能力。同时公司也在积极实施供应链全球化进程，布局海外产能，新产能将帮助公司重返价格更高的美国市场。投资建议：一次性手套行业供需格局有望持续优化，叠加公司产能规模扩张与产线升级，成本控制与盈利能力有望进一步增强。公司作为龙头企业，凭借规模化生产优势、全产业链布局及全球化渠道网络，有望进一步提升全球市场份额。我们预计公司2025-2027年营收99.9/120.1/138.8亿元，同比增速4.9%/20.2%/15.6%，归母净利润12.4/17.0/20.1亿元，同比增速-15.3%/37.1%/18.1%。综合绝对估值与相对估值，公司价格区间为44.07-48.59元，对应市值区间为289-318亿元，较当前股价有14-26%溢价空间，首次覆盖，给予“优于大市”评级。风险提示：药物研发失败风险；订单执行不及预期风险；监管政策风险。,,国信证券,优于大市,[None],2025-11-24,,买入,8168404,pdf_downloads/2025/2025-11-24/300677-英科医疗（300677）：套行业回暖，海外产能释放在即.pdf,300677,英科医疗,英科医疗（300677）：套行业回暖，海外产能释放在即
"盛丽华,陈峻",英科医疗(300677)行业拐点逐步显现，公司向全球丁腈手套龙头前进l业绩简评公司发布2025年三季度报，2025年前三季度公司实现营业收入74.25亿元，同比增长4.60%；实现归属于母公司所有者的净利润9.24亿元，同比增长34.47%；归属于母公司所有者的扣除非经常性损益的净利润为4.84亿元，同比下降19.32%。其中2025年Q3公司实现营业收入25.11亿元，同比下降2.90%；实现归属于母公司所有者的净利润2.14亿元，同比增长113.04%；归属于母公司所有者的扣除非经常性损益的净利润为0.84亿元，同比下降25.87%。25年前三季度经营分析英科医疗是全球领先的个人防护装备供应商。公司凭借卓越的一次性手套业务奠定了全球市场领导地位。目前公司一次性非乳胶手套年化产能达870亿只，其中丁腈手套560亿只、PVC手套310亿只，通过持续的产能扩充与装备升级，已构建起行业领先的规模化生产能力。2025年10月公司宣布获得知名市场研究机构尚普咨询集团颁发的“一次性手套全国销量第一”和“一次性丁腈手套全国销量第一”市场地位声明书，全面印证了在国内一次性手套市场的领先地位。公司加大对国内市场ToC端的品牌营销。线下渠道方面，一次性丁腈手套成功入驻山姆会员店、胖东来等高端商超，其中山姆渠道新品上线仅8天即登顶新品热度榜TOP1，展现出强劲的市场号召力；线上布局方面，公司4月与京东健康签署战略合作协议，双方将共同探索&quot;互联网+医疗健康&quot;创新服务模式，共建医疗防护新生态；“618活动”期间，英科医疗手套产品登顶全网电商各大榜单TOP1，进一步夯实线上市场领导地位。全渠道协同发力不仅加速了品牌下沉，更构建起覆盖C端用户的立体化服务网络。盈利预测预计公司2025-2027年收入端分别为99.28亿元、123.28亿元和154.00亿元，收入同比增速分别为4.25%、24.18%和24.92%，预计归母净利润2025年-2027年分别为12.70亿元、20.43亿元和30.91亿元，归母净利润同比增速分别为-13.37%，60.94%和51.28%。2025-2027年PE分别为19.96倍、12.40倍和8.20倍，2025-2027年PEG分别为-1.49、0.20和0.16。风险提示：市场供需关系变化和价格波动风险、原材料价格波动及供应稳定性风险、汇率波动风险、国际贸易摩擦影响。,,中邮证券,买入,[None],2025-11-10,,买入,7605478,pdf_downloads/2025/2025-11-10/300677-英科医疗（300677）：行业拐点逐步显现，公司向全球丁腈手套龙头前进.pdf,300677,英科医疗,英科医疗（300677）：行业拐点逐步显现，公司向全球丁腈手套龙头前进
"盛丽华,陈峻",业绩简评公司发布2025年三季度报，2025年前三季度公司实现营业收入74.25亿元，同比增长4.60%；实现归属于母公司所有者的净利润9.24亿元，同比增长34.47%；归属于母公司所有者的扣除非经常性损益的净利润为4.84亿元，同比下降19.32%。其中2025年Q3公司实现营业收入25.11亿元，同比下降2.90%；实现归属于母公司所有者的净利润2.14亿元，同比增长113.04%；归属于母公司所有者的扣除非经常性损益的净利润为0.84亿元，同比下降25.87%。25年前三季度经营分析英科医疗是全球领先的个人防护装备供应商。公司凭借卓越的一次性手套业务奠定了全球市场领导地位。目前公司一次性非乳胶手套年化产能达870亿只，其中丁腈手套560亿只、PVC手套310亿只，通过持续的产能扩充与装备升级，已构建起行业领先的规模化生产能力。2025年10月公司宣布获得知名市场研究机构尚普咨询集团颁发的“一次性手套全国销量第一”和“一次性丁腈手套全国销量第一”市场地位声明书，全面印证了在国内一次性手套市场的领先地位。公司加大对国内市场ToC端的品牌营销。线下渠道方面，一次性丁腈手套成功入驻山姆会员店、胖东来等高端商超，其中山姆渠道新品上线仅8天即登顶新品热度榜TOP1，展现出强劲的市场号召力；线上布局方面，公司4月与京东健康签署战略合作协议，双方将共同探索&quot;互联网+医疗健康&quot;创新服务模式，共建医疗防护新生态；“618活动”期间，英科医疗手套产品登顶全网电商各大榜单TOP1，进一步夯实线上市场领导地位。全渠道协同发力不仅加速了品牌下沉，更构建起覆盖C端用户的立体化服务网络。盈利预测预计公司2025-2027年收入端分别为99.28亿元、123.28亿元和154.00亿元，收入同比增速分别为4.25%、24.18%和24.92%，预计归母净利润2025年-2027年分别为12.70亿元、20.43亿元和30.91亿元，归母净利润同比增速分别为-13.37%，60.94%和51.28%。2025-2027年PE分别为20.19倍、12.55倍和8.29倍，2025-2027年PEG分别为-1.51、0.21和0.16。风险提示：市场供需关系变化和价格波动风险、原材料价格波动及供应稳定性风险、汇率波动风险、国际贸易摩擦影响。,,中邮证券,买入,[None],2025-11-07,,买入,7569018,pdf_downloads/2025/2025-11-07/300677-英科医疗（300677）：行业拐点逐步显现，海外产能投放在即.pdf,300677,英科医疗,英科医疗（300677）：行业拐点逐步显现，海外产能投放在即
彭波,"事件公司发布2025年三季度业绩，前三季度营业收入约74.25亿元（+4.60%，同比，下同），归母净利润约9.24亿元（+34.47%），扣非归母净利润约4.84亿元（-19.32%）。2025年Q3 营业收入约25.11亿元（-2.90%），归母净利润约2.14亿元（+113.04%），扣非归母净利润约0.84亿元（-25.87%）。核心观点全球手套龙头，积极开拓非美市场据公告，公司是全球领先的个人防护装备供应商，凭借卓越的一次性手套业务奠定了全球市场领导地位。截至25H1公司一次性非乳胶手套年化产能870亿只，其中丁腈手套560亿只、PVC手套310亿只，并且达到满产满销，公司仍然在积极进行产能规模扩张与技术升级，公司25年上半年个人防护板块营收达44.94亿元（+9.31%）。在美国贸易政策扰动的背景下，公司积极推行市场多元化战略，加快开拓国际新兴市场，降低对美国市场的依赖，积极实施供应链全球化进程，布局海外产能，加大非美地区营销力度，以此减少关税政策对营收及利润的影响，25年上半年海外非美市场销售收入同比增长约45%。营销网络遍布全球，加码线上渠道公司重视营销渠道搭建，积极开发覆盖全球的营销网络，截止至2025年上半年，海内外营销人数超500人，为150个国家和地区的超15,000名客户持续提供符合不同地方标准的高质量产品。公司与京东健康达成战略合作，构建包含天猫、京东等官方旗舰店的电商集群。同时拓展小红书、快手等新渠道，社交电商平台单日曝光量突破千万，2025年“618活动”，英科医疗手套产品登顶全网电商各大榜单TOP1。盈利预测与投资建议我们预计公司25-27年营业收入分别为99.8亿元/113.0亿元/122.8亿元，同比增长分别为4.8%/13.2%/8.7%；归母净利润为14.1亿元/16.8亿元/19.0亿元，同比增长分别为-3.7%/19.3%/12.8%，2025/10/31对应PE估值分别为18/15/14X。我们认为，公司为全球一次性手套龙头，在当下贸易环境下，积极开拓非美市场，加码线上渠道，持续维持竞争优势，持续覆盖，维持“买入”评级。风险提示市场竞争加剧风险；原材料价格上升风险；贸易政策扰动风险。盈利预测与估值",,甬兴证券,买入,[None],2025-11-06,,买入,7513611,pdf_downloads/2025/2025-11-06/300677-英科医疗（300677）：非美海外市场快速增长，加码线上渠道.pdf,300677,英科医疗,英科医疗（300677）：非美海外市场快速增长，加码线上渠道
"余文心,刘佳昆,毛宇翔,江珅",维持盈利预期及“增持”评级。我们维持公司盈利预期，预计2025-2027年公司EPS 2.22/2.93/3.57元，参考可比公司，考虑公司先发海外基地布局扩张竞争优势，未来产能释放有望打开业绩弹性，给予公司2025年22X PE，上调目标价至48.92元，给予“增持” 评级。三季度丁腈手套延续满产满销，单价略回落。三季度公司营收环比略增长，我们预计主要系上半年发往美国的部分PVC手套因关税推迟到三季度出货，收入确认集中三季度。我们预计三季度丁腈手套延续满产满销趋势，均价较二季度环比略下滑。主营利润稳定，汇兑扰动表观利润。我们预计三季度公司主营利润较二季度基本持平，其中PVC手套部分继续小幅亏损，丁腈手套单位盈利基本稳定。三季度受汇率变动影响，我们预计三季度汇兑亏损约1.1亿元，叠加确认部分海外工厂管理费用，致使表观盈利承压。海外产能释放在即，比较优势突出。我们预计2025年11-12月印尼及越南新产能将如期投放，有望带动四季度单价上行。公司综合成本优势来自原料自给，清洁燃煤，以及先进自动化产线，叠加印尼及越南关税相对马来西来有优势，成本较海外主要竞对优势明显。当前公司市占率不高，产能仍在扩张周期，份额提升弹性大。风险提示：原材料价格持续上涨，下游消费需求不及预期等。,,国泰海通,增持,[None],2025-11-04,,买入,7383778,pdf_downloads/2025/2025-11-04/300677-英科医疗（300677）：2025年三季报点评：三季度主营利润稳健，海外产能投放在即.pdf,300677,英科医疗,英科医疗（300677）：2025年三季报点评：三季度主营利润稳健，海外产能投放在即
"谭紫媚,李啸岩",事件：2025年10月28日，公司发布2025年第三季度报告：2025年前三季度，公司实现营业收入74.25亿元，同比增长4.60%；归母净利润9.24亿元，同比增长34.47%；扣非归母净利润4.84亿元，同比下降19.32%。其中，公司第三季度实现营业收入25.11亿元，同比下降2.90%；归母净利润2.14亿元，同比增长113.04%；扣非归母净利润0.84亿元，同比下降25.87%。手套龙头产能、成本优势兼具，海外投产在望、未来扩产空间充足公司为一次性手套行业全球龙头之一，产能暂居全球第二。截至2025年上半年，公司国内一次性非乳胶手套年化产能达870亿只，其中丁腈手套560亿只、PVC手套310亿只，毛利率领先可比同行。此外，公司为应对关税影响，公司积极拓展印尼、越南的产能，预计本季度陆续投产，未来海外产能持续扩展空间充足，看好海外产能释放对公司供应美国市场能力的加强。手套涨价逻辑有望兑现，上涨空间充足301关税实施前的抢出口导致了渠道库存升高，手套价格短暂承压，目前的渠道库存消化已进入尾声。友商由于低毛利率水平，具备涨价诉求；同时美元贬值利好产品价格的抬升，因此，在关税落地的契机下，手套价格有望迎来上涨。当前原料价格处于底部，手套产品具备进一步涨价的空间。毛利率、费用率小幅提升2025年前三季度，公司的综合毛利率同比增加1.27pct至23.70%。销售费用率、管理费用率、研发费用率、财务费用率分别为2.87%、6.44%、4.17%、1.71%，同比变动幅度分别为+0.02pct、+1.10pct、+0.04pct、+2.20pct，财务费用率的变动主要系汇兑、理财影响。其中，2025年第三季度的综合毛利率、销售费用率、管理费用率、研发费用率、财务费用率、整体净利率分别为22.66%、3.13%、7.39%、4.20%、4.95%、8.52%，分别变动-0.71pct、+0.58pct、+2.34pct、-0.18pct、-1.27pct、+4.64pct。盈利预测及投资评级：我们预计，2025-2027年公司营业收入分别为99.20/121.98/141.25亿元，同比增速为4.17%/22.96%/15.80%；归母净利润分别为14.30/18.39/23.29亿元，同比增速为-2.39%/28.56%/26.64%；EPS分别为2.18/2.81/3.56元，当前股价对应2025-2027年PE为18/14/11倍。维持“买入”评级。风险提示：全球贸易波动的风险，竞争格局加剧的风险，海外产能建设不及预期的风险。,,太平洋证券,买入,[None],2025-11-01,,买入,7411826,pdf_downloads/2025/2025-11-01/300677-英科医疗（300677）：手套价格回暖，海外扩产增加新动能.pdf,300677,英科医疗,英科医疗（300677）：手套价格回暖，海外扩产增加新动能
