author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"王翩翩,郁晾,闫广",2026年01月17日【事项】公司发布2025年新签合同公告。2025年公司新签合同共计712.4亿元，同比增长12%；对应25Q4单季度新签合同113.5亿元，同比增长7%。截至2025年四季度，公司在手订单664.6亿元，同比增长11.3%。【评论】分地区：海外拓展加速，国内工程拖累减少。分地区来看，2025年公司境内/境外分别新签合同262.1/450.2亿元，同比-4%/+24%，境外订单增长显著。从海内外占比来看，境外订单占比同比提升6.15pct至63.21%，公司加速拓展海外业务，发挥其国际工程央企优势。2025年境内工程服务新签订单80.9亿元，同比下降16%，占比同比下滑3.85pct至11.36%，境内工程的拖累逐步减少。分业务：全年装备新签高增，Q4运营新签增长。分业务来看，2025年公司高端装备业务新签93亿元，同比增长30%，实现高速增长，占总订单比例约13%；其中，矿山装备新签订单16.9亿元，同比增长129%，实现新签订单翻倍。同时，公司25Q4生产运营服务业务实现新签订单50亿元，同比增长19%，为25Q4主要拓展合同的方向。截至25H1，公司工程技术服务/生产运营管理/装备制造业务毛利率分别为13.1%/20.0%/19.3%，我们判断伴随公司高端装备和运营业务的拓展，公司毛利率有望回升。“十五五”期间有望延续增长，高股息奠定安全边际。目前公司在手订单充足，且海外地区业务有望加速发展，我们判断“十五五”期间公司有望延续高毛利业务的拓展，国内工程的拖累有望减少，实现业绩增长。同时，按照公司24年分红对应2026年1月14日收盘价市值计算，公司股息率为4.29%，构筑了一定安全边际。,,东方财富证券,增持,[None],2026-01-17,,增持,8338701,pdf_downloads/2026/2026-01-17/600970-中材国际（600970）：动态点评：25年境外、装备订单高增，境内工程拖累减少.pdf,600970,中材国际,中材国际（600970）：动态点评：25年境外、装备订单高增，境内工程拖累减少
"方晏荷,黄颖,樊星辰",2026年1月16日│中国内地 建筑施工 2026年1月14日，中材国际发布2025年四季度主要经营数据，单四季度新签订单合计为113.53亿元，同比+7%；25全年新签订单合计为712.35亿元，同比+12%，新签订单整体稳健增长，年末在手未完工合同665亿元，同比+11.3%，扭转了23-24年连续两年同比下降的趋势。同时，公司订单结构优化，逐步降低对国内水泥行业工程依赖，矿业一体化订单增长显著，未来长期成长路线逐步清晰，维持“买入”评级。“两外”业务步入发展新阶段，盈利能力、现金流或有稳健提升4Q25公司新签工程/装备/运维订单38.23/20.81/50.03亿元，同比+7.6%/-4.5%/+19.4%，占比为33.7%/18.3%/44.1%，运维订单占比显著提升；工程业务中，水泥矿山工程同比-28%至6.8亿元，占总订单为6.0%，总体看公司对于国内水泥工程依赖度显著降低。25全年公司新签工程/装备/运维订单427/93/170亿元，同比+14.9%/+29.9%/-1.7%，运维业务同比下降，主要为水泥运维同比-11.0%至24.75亿元，矿山运维同比+5.7%至114.5亿元。此外25年境内/境外新签订单分别为262/450亿元，同比-3.8%/+24.4%，占比为36.8%/63.2%。“两外”业务（水泥外、境外）逐步进入发展新阶段，我们预期将带动公司综合盈利能力及现金流显著改善。3Q25经营改善初现，金属矿山运维业务开拓初显9M25公司实现营收329.98亿元，同比+3.99%，归母净利20.74亿元，同比+0.68%，其中25Q3实现营收113.22亿元，同比+4.48%，归母净利润6.53亿元，同比-1.18%。前三季度累计综合毛利率同比-1.68pct至17.18%，其中25Q3为18.07%，同比+0.23pct，环比+1.56pct，三季度起盈利能力初步改善已现；25Q3单季经营性净现金流-0.2亿元，同比少流出11.2亿元，主要系单季收现比显著提升16.1pct至86.5%，付现比同比+1.7pct至85.8%。25年12月3日公司公告与吉林省金山投资有限公司签订了《吉林省金山投资有限公司大石河钼矿采选工程PC总承包合同》，合同总金额暂定为27亿元人民币，显示公司在金属矿山工程-装备-运维一体化逐步突破。盈利预测与估值我们维持公司25-27年归母净利润为31.31/31.96/32.48亿元。可比公司26年Wind一致预期平均9xPE，公司境外需求稳健，业务转型有序推进，高端装备出海成果显著，经营可持续性有望优于可比，给予公司26年12xPE，目标价14.64元（前值14.23元，对应25年12xPE），维持“买入”评级。风险提示：装备制造市占率提升不及预期，水泥生产线及矿山运维增量不及预期，水泥行业投资显著下滑。,,华泰证券,买入,[None],2026-01-16,,买入,8336794,pdf_downloads/2026/2026-01-16/600970-中材国际（600970）：“两外”战略推进，成长路线清晰.pdf,600970,中材国际,中材国际（600970）：“两外”战略推进，成长路线清晰
"韩其成,郭浩然,曹有成","本报告导读：
“十五五”公司会继续秉持稳中求进工作总基调，推动业绩向上、结构向优、质效
向好，全面融入集团产业布局，在集团海外再造中发挥更大的作用。投资要点：维持增持。受国内新增水泥产线放缓影响，下调预测2025-2027年EPS至1.15/1.20/1.26(原1.21/1.29/1.34)元增0.9%/4.9%/4.8%。给予公司12.4倍2025PE，对应维持目标价14.27元。前3季度归母净利润增0.68%，毛利率、费用率均同比下降。(1)2025前1.37/8.69/4.48%，2024Q1~Q4同比2.7/0.7/-1.1/0.7%)。归母净利润20.74亿元增长0.68%(2025Q1~Q3同比4.19/-0.65/-1.18%，2024Q1~Q4同比3.1/1.6/4.2/1.0%)，扣非归母净利润18.51亿元下降9.74%。(2)2025前3季度毛利率17.18%(-1.68pct)，期间费用率为8.95%(-1.46pct)，财务费用-0.88亿(2024年同期2.79亿)。前3季度归母净利率6.28%(-0.21pct)，加权ROE9.61%(-0.89pct)，资产负债率60.73%(-0.31pct)，应收账款112.26亿元同比下降2.59%，计提减值3.20亿元(2024年同期0.84亿)。Q3单季度经营现金流净流出收窄，前3季度境外新签合同增37%。(1)2025前3季度经营净现金流-6.29亿元(2024年同期-2.6亿元)，其中Q1~Q3分别为-18.7/12.7/-0.2亿元(2024Q1-Q4为-11.9/20.7/-11.5/25.5亿元)。公司力争实现经营活动净现金流与利润水平相匹配。(2)2025前3季度新签合同598.82亿元增长13%。其中境内新签185.78亿元下降18%，境外新签413.04亿元增长37%；工程技术服务新签388.87亿元增长16%，高端装备制造72.23亿元增长45%，生产运营服务120.09亿元下降8%，其中矿山运维81.16亿元下降1%，水泥运维18.20亿元下降13%。稳中求进推动业绩向上，估值底部分红具性价比。(1)“十五五”公司会继续秉持稳中求进工作总基调，推动业绩向上、结构向优、质效向好，全面融入集团产业布局，在集团海外再造中发挥更大的作用。(2)基于自身强大的核心竞争力，公司正稳步将业务延伸至矿山综合解决方案、绿能环保、固废资源化综合利用等新领域新赛道，打开公司成长空间，持续探索与公司战略协同的高价值方向。(3)中材国际当前2025PE8.0倍，PB1.08倍近10年分位数5%，股息率4.95%，2024年分红比例39.8%。公司2025、2026年每年现金分红比例同比增长不低于10%。风险提示：水泥行业需求下降，汇率波动风险等。",,国泰海通,增持,[None],2025-11-24,,买入,8168350,pdf_downloads/2025/2025-11-24/600970-中材国际（600970）：2025 三季报点评：Q3 经营现金流改善，海外订单快速增长.pdf,600970,中材国际,中材国际（600970）：2025 三季报点评：Q3 经营现金流改善，海外订单快速增长
龙天光,"同比下降1.18%；实现扣非净利润6.12亿元，同比下降5.73%。2025年前三季度，公司实现营业收入329.98亿元，同比增长3.99%；实现归母净利润20.74亿元，同比增长0.68%；扣非净利润18.51亿元，同比下降9.74%。2025年前三季度公司实现经营活动现金净流量-6.29亿元，同比多流出3.69亿元，主要是由于对供应商付款及支付各项税费等增加所致。2025前三季度，公司毛利率为17.18%，同比下降1.68pct；净利率为6.76%，同比下降0.09pct。期间费用率为8.95%，同比下降1.46pct。销售费用率为1.03%，同比下降0.12pct。管理费用率为4.74%，同比下降0.04pct。财务费用率为-0.27%，同比下降1.14pct，主要受益于利息收入。研发费用率为3.45%，同比下降0.16pct。公司资产负债率为60.73%，同比降低0.55pct。前三季度公司资产减值损失和信用减值损失合计3.20亿元，同比增加2.37亿元。资产处置收益0.86亿元，同比增加0.84亿元。2025年前三季度公司新签合同金额598.82亿元，同比增长13.44%。其中，境外新签订单合计413亿元，同比增长37%，细分行业中工程技术服务新签订单335.9亿元，同比增长38%。公司2025 Q3单季度新签合同金额187.18亿元，同比增长19.23%，其中境外新签合同金额134.65亿元，同比增长99.73%；境内新签合同52.53亿元，同比下降41%。截至报告期末，公司未完合同额为6,68.56亿元，同比增长7.77%。预计公司2025-2027年归母净利润分别为31.04、32.48、33.81亿元，分别同比+4%/+4.6%/+4.1%，对应P/E分别为7.87/7.52/7.23倍，维持“推荐”评级。固定资产投资下滑的风险；新签订单不及预期的风险；应收账款回收不及预期的风险。",,银河证券,推荐,[None],2025-11-05,,买入,7485583,pdf_downloads/2025/2025-11-05/600970-中材国际（600970）：收入如期稳健提升，海外订单增速快.pdf,600970,中材国际,中材国际（600970）：收入如期稳健提升，海外订单增速快
李阳,业务结构主动升级，超越水泥EPC公司为全球领先的水泥工程综合服务商，主营水泥EPC、装备制造、运维，25H1收入占比分别为58.0%、10.7%、28.8%，25Q1-Q3工程/高端装备制造/生产运营服务新签订单分别为335.9/38.1/34.4亿元，同比分别+38%/79%/-2%。装备业务“双外”延伸逻辑持续兑现，截至25H1，公司装备业务行业外/境外收入占比达37%/51%。公司收购合肥院后完善产品矩阵，2024年公司辊压机全球市占率第一，熟料输送机/篦冷机国内市占率达85%/70%。我们测算2024年水泥装备市占率约20%，较EPC业务的市占率水平仍有较大提升空间。连续十八年分红回馈股东，高股息性价比凸显公司自上市以来连续十八年分红，2024年分红比例/静态股息率分别为40%/4.8%。根据2024年7月公告，2024-2026年分红比例不低于当年实现可供分配利润的44%/48%/53%。根据我们的盈利预测，公司现价对应26年的股息率有望超6%。非洲、中东基建景气向上，境外订单占比近70%从2024年新签海外订单结构看，中东占比37.2%、非洲27.4%、欧洲16.3%。我们测算中东+非洲重点地区的年均新建需求约24亿美元。复盘出海历程，公司经历过“出海风浪”，持续深耕属地化布局、积累丰富经验，2022-2025H1公司海外业务重回增长趋势。25Q1-Q3公司新签合同金额598.82亿元，同比+13%，其中境外订单占比达69%。盈利预测、估值和评级我们看好公司①出海竞争优势及持续高增长；②结构优化，装备/运维占比提升，有利盈利能力与估值水平；③当前时点估值及股息率具备吸引力。我们预计公司2025-2027年归母净利润分别为 30.7、33.6、36.4亿，现价对应PE分别为8.1、7.4、6.8倍，给予2026年12xPE，对应目标价15.36元，首次覆盖，给予“买入”评级。风险提示国际经商环境变化、新业务开展不及预期；汇率波动风险；限售股解禁风险。,,国金证券,买入,[None],2025-10-30,,买入,7124804,pdf_downloads/2025/2025-10-30/600970-中材国际（600970）：公司深度研究：主动升级，放眼全球.pdf,600970,中材国际,中材国际（600970）：公司深度研究：主动升级，放眼全球
景丹阳,事件：2025年10月24日，公司发布2025年三季报。2025年前三季度，公司实现营业收入329.98亿元，同比增长3.99%，实现归母净利润20.74亿元，同比增长0.68%。观点：前三季度经营业绩整体稳健。第三季度，公司实现营业收入113.22亿元，同比增长4.48%，实现归母净利润6.53亿元，同比小幅下滑1.18%。前三季度营业收入、归母净利润同比分别增长3.99%、0.68%，整体保持稳健。由于对供应商付款及支付各项税费增加，公司前三季度经营活动现金流净额为-6.29亿元，略有波动。持续发力出海，海外新签订单高增。本季度，公司境外新签合同持续高增，同比增速100%，其中工程技术服务同比增长138%，境内方面，高端装备制造新签订单同比增长62%，延续增长势头。工程技术服务整体新签订单第三季度同比增长18%，前三季度新签订单增长16%，在手订单668.56亿元，同比增长7.77%。盈利预测及投资评级：2025年上半年公司收入、利润稳健增长，第三季度保持稳健。公司持续发力海外，新签订单同比翻倍，同时境内装备制造订单高速增长，带动整体新签订单稳步增长，有望为未来业绩持续增长提供保障。我们预计2025-2027年归母净利润分别为30.62/32.49/34.3亿元，对应PE分别为8.4倍、7.9倍、7.5倍，维持“买入”评级。风险提示：水泥行业景气度持续下滑；宏观经济复苏不及预期；地缘政治波动风险；海外水泥需求出现波动；数据引用风险。,,华龙证券,买入,[None],2025-10-29,,买入,6940006,pdf_downloads/2025/2025-10-29/600970-中材国际（600970）：2025 年三季报点评报告：业绩保持稳健，海外新签订单持续高增.pdf,600970,中材国际,中材国际（600970）：2025 年三季报点评报告：业绩保持稳健，海外新签订单持续高增
"武慧东,朱思敏",事件公司公告2025年三季报，2025Q1-3公司收入330亿元，yoy+4.0%;归母净利20.7亿元，yoy+0.7%;扣非归母净利18.5亿元，yoy-9.7%。2025Q3收入、归母净利、扣非归母净利分别为113、6.5、6.1亿元，yoy分别+4.5%、-1.2%、-5.7%。收入延续韧性增长，新签境外高增支撑公司增长动能2025Q1-3公司收入延续有韧性增长态势，我们预计境外增长好于境内。公司2025Q1-3新签合同额yoy+13%至599亿（其中25Q3新签yoy+19%至187亿）；其中工程/装备/运营新签yoy分别+16%/+45%/-8%至389/72/120亿元，境内/境外新签yoy分别-18%/+37%至186/413亿元。工程新签延续强劲增长动能、装备新签高增、运维新签在上年同期高基数背景下降幅边际收窄。境外新签占比yoy+12pct至69%。2025Q3末公司未完合同额669亿，较2024同期+8%，在手订单充足。Q3毛利率回升，减值拖累，经营回款表现改善2025Q1-3及2025Q3公司综合毛利率yoy分别-1.7/+0.2pct至17.2%/18.1%。2025Q3毛利率同环比回升，或反映结算合同质量呈提升态势。2025Q3期间费用率yoy-0.5pct至9.8%（财务费用率等同比下降），但单季减值损失规模较多（2025Q3为损失2.0亿元，yoy+2.0亿元）拖累净利。2025Q1-3及2025Q3公司归母净利率yoy分别-0.2/-0.3pct至6.3%/5.8%。2025Q1-3两金周转天数yoy+21天至227天，同期公司经营、投资活动净现金流yoy分别-4、+9亿至-6、+1亿元，Q3经营回款有所改善（Q3经营活动净现金流yoy+11亿至-0亿元）。看好增长动能，股息率有优势，维持“买入”评级我们继续看好公司水泥全产业链服务商竞争力及多元业务挖掘能力，持续增长动能较好。公司稳步推进业务结构优化且效果持续显现（如运维、装备业务贡献持续提升）。我们预计2025-2027年公司收入yoy分别+8%/9%/9%至500/543/591亿元；归母净利yoy分别+5%/9%/12%至31/34/38亿元。公司注重股东回报，现价对应公司2025年PE 8.0x，结合公司分红规划等，我们预计现价对应公司2025/2026年股息率分别为5.5%/6.4%，有吸引力，维持“买入”评级。风险提示：汇率大幅波动风险，战略执行力度低于预期，国内外水泥产业景气低于预期。,,国联民生证券,买入,[None],2025-10-27,,买入,6841421,pdf_downloads/2025/2025-10-27/600970-中材国际（600970）：增长有韧性，Q3毛利率回升.pdf,600970,中材国际,中材国际（600970）：增长有韧性，Q3毛利率回升
"黄颖,方晏荷,王玺杰,樊星辰",公司发布三季报：9M25实现营收329.98亿元，同比+3.99%，归母净利20.74亿元，同比+0.68%，其中25Q3实现营收113.22亿元，同比+4.48%，归母净利润6.53亿元，同比-1.18%，低于我们的预期（7亿元），主要系单季计提减值损失增加较多导致利润率低于预期。我们认为公司境外市场需求持续性较好，9M25新签合同额599亿元，同比+13%，保持稳健增长，截至25Q3末未完合同额669亿，同比+8%，在手订单充裕。中长期看，公司净利有望保持稳健增长，根据10月23日收盘价9.57元/股计算，预计25/26年股息率5.5%/6.1%，具备较好投资价值，维持“买入”评级。25Q3毛利率提升、费用率改善，减值增加影响净利率表现9M25公司综合毛利率同比-1.68pct至17.18%，其中25Q3为18.07%，同比+0.23pct，环比+1.56pct。9M25期间费用率8.95%，同比-1.46pct，其中销售/管理/研发/财务费用率同比-0.12/-0.04/-0.16/-1.14pct，25Q3期间费用率有所改善，同比-0.5pct至9.76%。25Q3减值支出合计1.96亿元，去年同期为冲回247万。综合影响下，公司25Q3归母净利率为5.77%，同比-0.33pct，环比-0.81pct。25Q3收现比大幅提高带动经营性现金流显著改善9M25公司经营性净现金流-6.29亿元，同比多流出3.69亿元，收现比84.4%，同比+5.94pct，付现比84.9%，同比+5.28pct，25Q3单季经营性净现金流-0.2亿元，同比少流出11.2亿元，主要系单季收现比显著提升16.1pct至86.5%，付现比同比+1.7pct至85.8%。截至25Q3末，公司资产负债率61.7%，同比-0.31pct，较25H1末-0.74pct；有息负债率为19.4%，同比+1.12pct，较25H1末-1.14pct。25Q3新签订单同比+19%，境外新签同比+100%9M25新签订单599亿元，同比+13%，其中25Q3单季新签187亿元，同比+19%，高基数下实现较高增长，结构上境外工程高景气，装备出海卓有成效。分业务看，前三季度工程技术/装备制造/运营服务分别新签389/72/120亿元，同比+16%/+45%/-8%；分地区看，境内新签186亿元，同比-18%，其中工程技术/装备制造/运营服务同比-43%/+20%/-11%；境外新签413亿元，同比+37%，占总新签比例达69%，其中工程技术/装备制造/运营服务同比+38%/+79%/-2%，Q3单季新签135亿元，同比+100%。盈利预测与估值我们维持公司25-27年归母净利润为31.31/31.96/32.48亿元。可比公司25年Wind一致预期平均10xPE，公司境外需求稳健，业务转型有序推进，高端装备出海成果显著，经营可持续性有望优于可比，给予公司25年12xPE，维持目标价为14.23元，维持“买入”评级。风险提示：装备制造市占率提升不及预期，水泥生产线及矿山运维增量不及预期，水泥行业投资显著下滑。,,华泰证券,买入,[None],2025-10-24,,买入,6708499,pdf_downloads/2025/2025-10-24/600970-中材国际（600970）：Q3现金流显著改善，境外订单高增长.pdf,600970,中材国际,中材国际（600970）：Q3现金流显著改善，境外订单高增长
"何亚轩,程龙戈,李枫婷",海外签单持续高增，股息率具备较强吸引力营收业绩稳健增长，全年股息率具备较强吸引力。2025Q1-3公司实现营业总收入330亿元，同增4%；实现归母净利润20.7亿元，同增0.7%，营收业绩维持稳健增长，增速符合预期。分季度看：Q1/Q2/Q3公司分别实现营业收入101/115/113亿元，同比-1%/+9%/+4%；实现归母净利润6.6/7.6/6.5亿元，同比+4%/-1%/-1%，Q3业绩小幅下行，主要因单季计提减值损失1.96亿元（上年同期为冲回0.02亿元），占单季归母净利润30%。根据公司此前公告分红规划，预计2025-2026年分红额将不低于可供分配利润的48.4%/53.2%，对应实际分红比例约44%/48%（10%盈余公积假设），若顺利实施，当前股价对应2025-2026年股息率分别为5.3%/6.4%，具备较强吸引力。Q3毛利率有所改善，减值增加致净利率下行。2025Q1-3公司综合毛利率17.18%，同降1.7pct；Q3单季毛利率18.07%，同增0.23pct，环比Q2提升1.6pct，盈利能力有所改善。Q1-3期间费用率8.95%，同降1.5pct（Q3单季同降0.5pct），其中销售/管理/研发/财务费用率分别同降0.12/0.04/0.16/1.14pct，财务费率下降较多，预计主要因本期欧元升值产生汇兑收益（上年同期埃镑等小币种贬值产生较多汇兑损失）。资产（含信用）减值损失3.2亿元，同比多计提2.4亿元；Q3单季多计提2亿元，预计主要因境内部分水泥业主回款放缓致账龄增加，应收组合计提额有所提升。投资收益同比增加0.94亿元，其中联营及合营公司投资收益（预计部分由中材水泥贡献）/以摊余成本计量的金融资产终止确认收益分别同增0.3/0.5亿元。归母净利率6.3%，同降0.21pct（Q3单季5.8%，同降0.3pct）。Q1-3经营现金流净流出6.3亿元，同比多流出3.7亿元；Q3单季净流出0.2亿元，同比少流出11.2亿元，单季现金流明显改善。海外签单延续高增，装备“两外”拓展成效显著。2025Q1-3公司新签合同额599亿元，同增13%，其中境内/境外签单分别同比-18%/+37%。分业务看：1）工程业务新签订单389亿元，同增16%，其中境内/境外分别同比-43%/+38%。当前非洲、中东等新兴区域基建需求旺盛，水泥新建产能需求持续增长，叠加多元化领域开拓，工程签单预计维持稳健增长。2）装备业务新签订单72亿元，同比高增45%，其中境内/境外分别同增20%/79%，境内在水泥产业承压背景下逆势增长，预计主要得益于外行业开拓；海外受益自给率提升、服务中心布局推进，签单大幅增长，有望带动明年装备收入显著改善。3）运维业务新签订单120亿元，同降8%，预计主要因部分业主续签有所滞后，短期影响签单增速。截至25H1末，公司在执行矿山运维项目312个（其中海外/外行业11/24个）、水泥产线71条（年供产能1.1亿吨），后续随着运维“两外”拓展提速，业务规模有望持续扩张。投资建议：公司前三季度业绩延续稳健增长，我们预计公司2025-2027年归母净利润分别为30/33/36亿元，同比增长1.4%/10.2%/9.2%，EPS分别为1.15/1.27/1.39元/股，当前股价对应PE分别为8.3/7.5/6.9倍，维持“买入”评级。风险提示：汇兑损失风险、海外业务经营风险、运维/装备拓展不达预期等。,,国盛证券,买入,[None],2025-10-24,,买入,6707617,pdf_downloads/2025/2025-10-24/600970-中材国际（600970）：海外签单持续高增，股息率具备较强吸引力.pdf,600970,中材国际,中材国际（600970）：海外签单持续高增，股息率具备较强吸引力
"任鹤,朱家琪",收入与利润小幅增长。2025上半年公司实现营业收入216.8亿元，同比+3.7%，实现归母净利润14.2亿元，同比+1.6%，实现扣非归母净利润12.39亿元，同比-11.6%。上半年非经常损益1.8亿元，其中处置非流动资产收益1.33亿元，同比增加约1.2亿元。境外新签订单增速较快，龙头地位稳固。2025上半年公司新签合同额411.6亿元，同比+11%，其中境外新签合同额278.4亿元，同比+19%，境内新签合同额133.3亿元，同比-2%。截至半年末在手订单620.4亿元，同比+3.7%。截至上半年末，公司累计在海外91个国家和地区承接了364条生产线，水泥工程服务市场份额连续17年稳居世界第一。汇率波动产生正向贡献，毛利率下滑但净利率同比持平。2025上半年公司毛利率为16.7%，较上年同期下降2.7pct，净利率为7.1%，较上年基本持平。期间费用率为8.5%，较上年下降2.0个百分点，其中销售/管理/研发/财务费用率分别为1.0%/4.6%/3.5%/-0.5%，分别较上年同期-0.2/-0.2/+0.0/-1.5pct。财务费用率明显下降主因欧元升值产生汇兑收益约1.37亿元，而上年同期主要由于小币种贬值产生约2.17亿元汇兑损失。加快付款导致半年度经营性现金流转负，高分红确定性强。2025上半年公司经营活动产生的现金流净额为-6.1亿元，同比由正转负，上半年收现比为83.3%，同比上升0.7pct，付现比84.4%，同比显著上升7.2个百分点。公司现金收款状况略有提升，而向分包分供付款增加导致经营性现金流转负。根据公司《2024年度“提质增效重回报”行动方案》，2025-2026年现金分红不低于当年可供分配利润的48.40%、53.24%，对应估算2025、2026年股利分配率不低于43.56%、47.92%，估算公司最新股价对应2025、2026年股息率将分别达到5.6%、6.5%。投资建议：维持盈利预测，维持“优于大市”评级。公司业绩保持稳健增长，在手订单充足，大力发展高端装备，加快运维服务商转型，盈利能力显著提升，协同集团资源加速出海，提高分红增厚回报。预测公司未来三年归母净利润为31.1/33.2/35.9亿元，每股收益1.18/1.26/1.36元，对应当前股价PE为7.8/7.3/6.8X，维持“优于大市”评级。风险提示：宏观经济波动风险；全球水泥行业下行风险；国际投资经营风险；汇率风险；盈利预测与估值风险等。,,国信证券,优于大市,[None],2025-08-29,,买入,6368203,pdf_downloads/2025/2025-08-29/600970-中材国际（600970）：经营稳健，境外订单增速较快.pdf,600970,中材国际,中材国际（600970）：经营稳健，境外订单增速较快
