author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
张志邦,主要观点：业绩情况：25Q1-Q3业绩稳健增长，Q3营收环比提速公司2025年Q1-Q3实现营业收入88.46亿元，同比+10.36%；实现归母净利润23.47亿元，同比+4.79%；实现扣非归母净利润22.79亿元，同比+9.38%。毛利率38.55%，同比-1.6Pct。25Q3受美元汇率下跌影响，汇兑损失超0.4亿元。公司2025年Q3实现营业收入33.11亿元，环比+11.51%，同比+1.32%；实现归母净利润8.25亿元，环比+1%，同比-17.84%；实现扣非归母净利润8.17亿元，环比-3.73%，同比-11.28%。业绩基本符合市场预期，Q3利润同比下滑主要系去年同期基数较高。业绩拆分：我们预计工商储业务表现亮眼，盈利能力维持高位我们预计公司Q1-Q3逆变器业务营收增长平稳，其中工商储产品凭借渠道及研发优势，起量显著，成为重要增长驱动力；储能电池包业务营收同比高增，公司储能电池与逆变器产品深度整合，与明星产品储能逆变器推广协同并进。产品覆盖户用、工商储及大型储能在内的全场景解决方案。家电业务受下游需求收缩影响，营收有所下滑。募投变更：积极应对市场变化，布局工商储产线项目考虑到传统逆变器市场增速有所放缓+工商储建设提速，公司10月公告终止此前“年产25.5GW组串式、储能逆变器”项目资金投入，新增建设“年产7GWh工商储生产线项目”，预计28年4月建成交付。根据项目可行性研究报告，项目建成后，预计可实现年收入48.8亿元，年净利润7.3亿元，有望为公司贡献业绩增量。展望：新兴市场优势稳固，工商储提升带动公司成长属性工商储没有库存影响，成长属性更明显。公司加速产品迭代，推出100kW-2.5MW模块化储能解决方案，具备高灵活性与成本优势。新兴市场替代柴油发电机需求刚性，欧洲市场受益于动态电价政策，工商储需求旺盛，将成为公司核心增长引擎。新兴市场高壁垒，欧洲市场稳复苏。公司在亚非拉市场具备显著的先发优势和渠道壁垒，新推出的离网储能逆变器精准满足非洲、东南亚等市场需求。欧洲市场去库存已近尾声，需求逐步复苏，尤其东欧市场表现亮眼。同时，公司积极在马来西亚布局产能，以应对美国市场关税政策的不确定性。投资建议我们预计公司2025-2027年归母净利润分别为33.80/41.65/48.57亿元（前值分别为35.50/43.94/51.23亿元），对应PE24/19/16x，维持“买入”评级。风险提示全球光储需求不及预期；公司订单交付不及预期；海外贸易政策变化。,,华安证券,买入,[None],2025-11-10,,买入,7599540,pdf_downloads/2025/2025-11-10/605117-德业股份（605117）：新兴市场布局领先，工商储业务表现亮眼.pdf,605117,德业股份,德业股份（605117）：新兴市场布局领先，工商储业务表现亮眼
"曾韬,何伟,黄林","事件：25Q1-3营收88.46亿元，同比+10.36%，归母净利润23.47亿元，同比+4.79%，扣非净利润22.79亿元，同比+9.38%。25Q3单季营收33.11亿元，同比+1.32%，环比+11.51%，归母净利润8.25亿元，同比-17.85%，环比+1.00%，扣非净利润8.17亿元，同比-11.28%，环比-3.73%，符合预期。新兴市场龙头，有望享全球光储红利。受益于新能源配储的需求、电网安全以及欧洲动态电价出台，用户侧需求爆发，预计2026年全球储能增速约40%-50%，公司是新兴市场出海龙头，海外市场较为分散，对以南非、巴西为代表的新兴市场占比持续提升，逆变器及电池包业务有望持续出货高增。布局7GWh工商储产线，产能扩张与市场扩张同步。根据公司公告，公司新增建设“年产7GWh工商储生产线项目”，产品涵盖60kWh至5MWh多系列集装箱及模块化储能系统，预计28年4月建成交付。项目建成后预计可实现年收入48.76亿元，年净利润7.34亿元，有望为公司贡献业绩增量。项目达产后产能（7GWh）为2024年实际产能的58倍，年营收规模48.76亿元达2024年的1.88倍，年净利润达7.34亿元为2024年1.19倍。布局AIDC，打造新成长曲线。公司依托自身在电力电子领域深厚的技术优势，布局AIDC市场，目前加速进行800V固态变压器SST的研发，有望于2026年实现突破。Q3汇兑损失较大，净利率短期承压。25Q3毛利率40.33 %，同比-4.17pcts/环比+ 2.62pcts，净利率24.89%，同比-5.83pcts/环比-2.60pcts；销售/管理/财务费用率为1.95%/2.93%/1%，同比-0.87pcts/+0.13pcts/+0.96pcts,环比-1.05pcts/+0.47pcts/+3.83pcts，财务费用主要为Q3汇兑损失达0.6亿元。投资建议：我们预计2025/2026年公司净利润分别达33.58/41.74亿元，对应EPS分别为3.71/4.62元，维持“推荐”评级。风险提示：原材料价格大幅上涨的风险；市场需求不及预期的风险；行业竞争加剧的风险；地缘政治的风险。",,银河证券,推荐,[None],2025-11-05,,买入,7455839,pdf_downloads/2025/2025-11-05/605117-德业股份（605117）：Q3 业绩点评：加速布局工商储及AIDC，打造新增长点.pdf,605117,德业股份,德业股份（605117）：Q3 业绩点评：加速布局工商储及AIDC，打造新增长点
"邓永康,朱碧野,王一如,林誉韬",工商储持续起量，储能电池包增长强劲 事件：2025年10月29日，公司发布2025年三季报。2025年前三季度，公司实现营业收入88.46亿元，同比+10.36%；实现归母净利润23.47亿元，同比+4.79%；实现扣非净利润22.79亿元，同比+9.38%。25Q3公司实现营业收入33.11亿元，同比+1.32%，环比+11.51%；实现归母净利润8.25亿元，同比-17.84%，环比+1.00%；实现扣非净利润8.17亿元，同比-11.28%，环比-3.73%。持续进行产品迭代并推出新品，工商储逆变器起量显著。2025年以来，欧洲市场去库进入尾声，户用储能市场需求逐步复苏、工商储快速发展，巴基斯坦、尼日利亚等新兴市场需求不减，澳大利亚在补贴下需求有望高增，全球储能需求保持高景气，带动公司储能逆变器业务发展。公司持续进行产品迭代并推出新品，面向新兴市场发布离网储能新机型3.6-6KW单相离网逆变器；并在原有商用储能系统基础上扩展功率段，推出100kW-2.5MW储能解决方案。公司研发团队不断推出适合海外本土需求的新产品，持续推进海外品牌建设。公司逆变器主要销往亚非拉、欧洲等市场，由于各地政策推动全球工商储需求快速提升，欧洲工商储在补贴支持、FIT退坡等催化下需求从0-1快速发展，巴基斯坦、缅甸、尼日利亚、中东国家在电价高涨、断电频发等催化下，工商储需求旺盛。2025年以来，公司工商储产品利用公司的渠道优势及研发优势，产品适配海外市场需求，起量显著。储能电池包增长强劲。基于用户需求和市场消费趋势，全球户储需求的增加，储能电池迎来快速增长，公司在全球市场积极布局，与明星产品储能逆变器推广协同并进，通过高规格参展与深度区域路演相结合的方式，持续推动品牌全球化战略落地，2025年以来，公司储能电池业务增长强劲，持续增厚公司利润。投资建议：我们预计公司2025-2027年营收分别为126.08、151.18、175.77亿元，对应增速分别为12.5%、19.9%、16.3%；归母净利润分别为32.63、39.47、46.28亿元，对应增速分别为10.2%、21.0%、17.2%，以11月3日收盘价为基准，对应2025-2027年PE为22X、18X、16X，公司工商储能逆变器持续放量，储能电池包有望延续高增长，维持“推荐”评级。风险提示：下游需求不及预期，市场竞争加剧等。,,民生证券,推荐,[None],2025-11-04,,增持,7390010,pdf_downloads/2025/2025-11-04/605117-德业股份（605117）：2025 年三季报点评：工商储持续起量，储能电池包增长强劲.pdf,605117,德业股份,德业股份（605117）：2025 年三季报点评：工商储持续起量，储能电池包增长强劲
"刘俊,边文姣",2025年11月01日│中国内地 电力设备与新能源 公司发布三季报，25Q3收入33.11亿元，同/环比+1.3%/+11.5%，归母净利8.25亿元，同/环比-17.8%/+1.0%，扣非净利8.17亿元，同/环比-11.3%/-3.7%，归母净利低于我们此前10.47亿的预期，或主要系25Q3部分发货产品延迟到四季度确收，以及热交换器业务同比下滑所致。我们看好公司新兴市场前瞻布局，工商储贡献业绩增量，维持“买入”评级。推测储能逆变器与电池包收入环增，热交换器与微逆或同比下滑我们推测公司Q3储能逆变器收入实现环增，户储逆变器在Q3旺季实现出货环增，工商储新品持续上量，公司电池包配套逆变器销售实现环增，推测公司微逆受到行业竞争加剧及公司收缩战略影响而出货同比下滑，热交换器受到行业需求放缓影响而同比下滑。公司25Q3毛利率/净利率达40.33%/24.89%，环比+2.62/-2.60pct，毛利率环比提升主要系高毛利率的储能逆变器收入占比提升；期间费用率达9.11%，环比+2.04pct，其中销售/管理/研发/财务费用率分别-1.05/+0.48/-1.22/+3.83pct，财务费用率增加主要系本季度产生约0.6亿汇兑损失。积极应对市场变化，布局工商储产线项目考虑到传统逆变器市场增速有所放缓+工商储建设提速，公司10月公告终止此前“年产25.5GW组串式、储能逆变器”项目资金投入，新增建设“年产7GWh工商储生产线项目”，预计28年4月建成交付。根据项目可行性研究报告，项目建成后，预计可实现年收入48.8亿元，年净利润7.4亿元，有望为公司贡献业绩增量。东南亚基地动工，助力公司辐射海外市场25年10月，公司马来西亚生产基地正式动工，基地主要用于光伏逆变器与储能系统的生产，未来产能落地有望提升公司全球产品供应与技术服务能力，助力公司辐射海外市场，并规避部分国际贸易摩擦风险。维持“买入”评级考虑到逆变器需求增速略有放缓，我们下修公司逆变器出货量假设，预计公司25-27年归母净利32.42/40.36/48.75（前值35.73/44.36/52.87亿元，下修9%/9%/8%）。参考可比公司26年Wind一致预期下平均PE 22倍，我们给予公司26年PE 22倍（前值25年21倍），目标价97.90元（前值82.95元），维持“买入”评级。风险提示：下游需求不及预期；原材料价格波动风险；行业竞争加剧。,,华泰证券,买入,[None],2025-11-02,,买入,7244492,pdf_downloads/2025/2025-11-02/605117-德业股份（605117）：确收推迟等影响Q3利润释放.pdf,605117,德业股份,德业股份（605117）：确收推迟等影响Q3利润释放
"曾朵红,郭亚男,余慧勇",事件：公司发布2025年三季度报告。2025Q1-3公司实现营业收入88.46亿元，同比+10.36%；归母净利润23.47亿元，同比+4.79%；毛利率38.55%，同比-1.60pct。2025Q3实现营收33.11亿元，同比+1.32%，环比+11.51%；归母净利润8.25亿元，同比-17.84%，环比+1.00%；毛利率40.33%，同比-4.17pct，环比+2.62pct。业绩略低于预期。25Q3逆变器及电池包出货环增，25Q4业绩有望持续环增。1）逆变器：我们估计公司25Q3逆变器出货同比略降，环比有所提升，考虑25Q3部分产品发出但延迟确收至25Q4；2）电池包：25Q3出货同环比均保持增长，尤其澳洲户储补贴政策刺激需求爆发下带动电池包需求快速提升。3）传统业务：公司25Q3家电及热交换器业务略有所下滑。展望25Q4，公司逆变器及电池包业务有望持续环增，26年澳洲市场高需求有望推动公司户储逆变器及电池包出货高增。汇率波动影响下期间费用率略有提升。公司2025Q3单季度期间费用3.02亿元，同比-6.42%，环比+43.71%；费用率9.11%，同比-0.75pct，环比+2.04pct，主要系受汇率波动影响，财务费用有所提升；经营性净现金流11.46亿元，同比-15.77%，环比+10.27%。截至2025Q3，公司存货14.49亿元，同比+4.99%；合同负债3.25亿元，同比-37.90%。盈利预测及投资评级：考虑市场增速略有放缓，我们略微下调公司25-27年盈利预测，预计25-27年公司归母净利润为33/40/48亿元（前值为36/43/52亿元），同增12%/21%/20%，对应PE为22/18/15倍，考虑公司业绩稳健增长，工商储逐步发力，给予26年25倍PE，对应目标价110元，维持“买入”评级。风险提示：竞争加剧、需求不及预期,,东吴证券,买入,[None],2025-10-31,,买入,7065179,pdf_downloads/2025/2025-10-31/605117-德业股份（605117）：汇兑及延迟确收略有影响，工商储及电池包继续发力.pdf,605117,德业股份,德业股份（605117）：汇兑及延迟确收略有影响，工商储及电池包继续发力
"张一弛,盛炜",公司发布 2025 年中报。2025H1 公司实现营收 55.35 亿元，同比+16.58%；归母净利润15.22亿元，同比+23.18%；毛利率37.48%，同比+0.33pct；归母净利率27.50%，同比+1.47pct。其中2025Q2公司实现营收29.69亿元，同比+3.65%，环比+15.70%；归母净利润8.17亿元，同比+1.72%，环比+15.74%；毛利率37.71%，同比+0.02pct，环比+0.51pct；归母净利率27.50%，同比-0.52pct，环比+0.01pct。费用端来看，2025Q2 公司期间费用率为 7.07%，同比-0.61pct，环比-0.70pct。其中：销售费用率为3.00%，同比+0.03pct，环比-0.19pct；管理费用率为2.46%，同比+0.10pct，环比-0.46pct；研发费用率为4.45%，同比+0.29pct，环比-0.69pct；财务费用率为-2.83%，同比-1.02pct，环比+0.63pct。欧洲去库存接近尾声，海外储能需求起量。2025 年上半年公司总计销售 76.38万台逆变器，其中户用储能逆变器27.27万台，工商储4.29万台，工商储产品利用公司的渠道优势及研发优势，产品适配海外市场需求，起量显著。对比上半年出口欧洲逆变器数据，欧洲市场去库存已进入尾声，市场需求逐渐复苏。伴随德国、英国、奥地利、西班牙等国家政策支撑、户用逆变器价格下降等因素，欧洲户用储能需求有望回暖。因地缘政治因素导致陷入电力危机的中东地区也逐步加大对工商储的政策支持，伊拉克于2025年4月推出专项低息贷款计划，支持工商业光储系统安装。根据S&amp;P Global Commodity Insights预测，2025-2028年全球储能新增需求年均复合增长率保持15%以上。高规格参与行业展会，推动品牌全球化战略落地。2025 上半年公司共主导参与4场国际储能展会，并组织开展了5场区域路演及品牌晚宴，业务触达7个重要市场。展会方面，先后亮相美国CES国际消费电子展、日本国际智慧能源周、乌兹别克斯坦能源展及肯尼亚能源展，系统展示了覆盖户用、工商储及大型储能在内的全场景解决方案。路演及品牌活动方面，4月开启西非路演，覆盖马里和尼日利亚三城；5月借德国展会之际举办新品发布晚宴；6月深入中美洲，在巴拿马与多米尼加开展路演。活动中重点发布包括离网逆变器、SE-F海王星系列电池、阳台储能解决方案、100KPCS及BOS-B工商储解决方案、MS-LC430光储充一体化解决方案在内的多款新品。投资建议：公司产品布局不断完善，并持续拓展市场的广度和深度，业绩有望延续增长。考虑行业竞争因素，我们调整盈利预测，预计公司2025-2027归母净利润分别为35.39/44.98/54.67亿元（前值40.02/50.49/61.40），当前市值对应PE分别为19/15/12倍。参考可比公司估值，给予2025年24x PE，对应目标价93.92元，维持“推荐”评级。风险提示：光伏装机不及预期；海外贸易壁垒提升；原材料成本大幅波动；公司新品推广不及预期；产品认证和市场拓展进度不及预期；市场竞争加剧等。,,华创证券,推荐,[None],2025-09-25,,增持,6478647,pdf_downloads/2025/2025-09-25/605117-德业股份（605117）：2025年中报点评：海外储能驱动高增长，工商储迎来新机遇.pdf,605117,德业股份,德业股份（605117）：2025年中报点评：海外储能驱动高增长，工商储迎来新机遇
"曾彪,吴鹏,郭琳",报告摘要事件：公司发布2025年半年报，2025H1实现营收55.35亿，同比+16.6%，归母净利润15.22亿，同比+23.2%，毛利率37.5%，同比+0.3pct；25Q2实现营收29.69亿，同比+3.7%，环比+15.7%，归母净利润8.17亿，同比+1.7%，环比+15.7%，毛利率37.7%，同比+0.0pct，环比+0.5pct。Q2业绩符合预期。2025二季度拆分：（1）逆变器板块：收入14.0亿，同比+3%，环比+13%。其中，储能逆变器销量18.4万台，同比+39%，环比+40%，对应收入为11.2亿，同比+18%，环比+15%，其中户储和工商储逆变器销量分别为15.7/2.7万台，同比分别+27%/+231%，环比分别+36%/+66%。同时，盈利能力相对稳定。（2）电池包板块：收入7.4亿，同比+56%，环比+9%，毛利率35.0%，同比-7.7pct，环比持平。（3）家电板块：热交换器收入5.0亿，同比-16%，环比+38%，毛利率13.2%，同比+3.5pct，环比+1.4pct；除湿机收入2.1亿，同比-25%，环比+9%，毛利率36.5%，同比-3.4pct，环比+0.9pct。欧洲需求恢复，东南亚、中东非、澳洲等新市场起量明显，公司针对不同市场、不同场景推出相应储能产品品类，凸显竞争力，打开储能业务增长空间。欧洲市场，去库存接近尾声以及东北欧、西班牙等地区补贴政策支持、用电安全性要求提升等因素，户储逐步回暖，同时良好套利机制驱动工商储快速放量；东南亚、中东非等地区基于电力供应紧张、电价过高以及战后重建等因素储能需求多点开花、贡献高增速；澳洲市场在补贴驱动下户储市场需求起量。25年上半年公司加快产品迭代升级，发布离网储能新机型3.6-6KW单相离网逆变器，满足欠发达地区离网用电需求，此外，在原有商用储能系统基础上扩展功率段，推出100kW-2.5MW储能解决方案，模块化和集装箱式设计有效降低30%总成本，公司产品竞争力持续凸显，有效满足多元市场需求。盈利预测与投资评级：展望全年，市场+产品+应用场景多维度拓展贡献业绩增量。从市场维度看，东欧、非洲、东南亚、中东等市场需求起量；从产品维度看，在发达市场工商储经济性优越，发展中市场缺电+柴发替代预期下，大功率（100kW以上）工商储产品加快放量，并带动电池包搭配销售，进一步支持业绩增长。考虑整体逆变器需求变化，我们下修业绩预期，预计公司25-27年实现归母净利润分别为35.9/44.0/51.0亿（前预测值为38.9/47.0/54.1亿），同比+21%/+23%/+16%，当前股价对应PE分别为18/15/13倍，维持“买入”评级。风险提示：需求不及预期；竞争加剧；原材料价格波动；海外拓展不及预期；贸易风险等。,,中泰证券,买入,[None],2025-09-14,,买入,6437495,pdf_downloads/2025/2025-09-14/605117-德业股份（605117）：25半年报点评：Q2业绩符合预期，工商储持续放量.pdf,605117,德业股份,德业股份（605117）：25半年报点评：Q2业绩符合预期，工商储持续放量
"王蔚祺,徐文辉","2025Q2实现归母净利润8.17亿元，同比+2%，环比+16%。公司2025上半年实现营收55.3亿元，同比+16.6%，实现归母净利润15.22亿元，同比+23%，2025上半年毛利率37.5%，同比+0.3pct，净利率27.5%，同比+1.5pct。2025Q2营收29.7亿元，同比+4%，环比+15.6%，2025Q2实现归母净利润8.17亿元，同比+2%，环比+16%，Q2毛利率37.7%，同比持平，环比+0.5pct；Q2净利率27.5%，同比-0.5pct，环比持平。储能业务出货快速增长，盈利能力稳定。公司2025上半年储能逆变器实现出货31.6万台，同比+48%，其中户用储能出货27.3万台，工商业储能实现出货4.3万台。我们估算对应2025Q2实现储能逆变器出货18.4万台，同比+39%，环比+39%，其中户用储能出货15.7万台，工商业储能出货2.7万台，出货占比约15%，环比+2.5pct。储能电池包业务2025上半年实现收入14.22亿元，同比+86%,毛利率35%，我们估算对应2025Q2储能电池包业务实现收入7.4亿元，同比+56%，环比+9%，储能逆变器与电池包业务毛利率整体稳定。展望全年，伴随欧洲市场工商储应用需求提升，新兴市场工商储及户储需求景气延续，我们预计公司储能业务延续增长，预计2025全年公司储能逆变器出货70-75万台，同比+30%-39%；预计2025全年储能电池包业务收入达到30-35亿元，同比+22%-43%。组串式逆变器稳健增长，环境电器业务营收承压。公司2025上半年组串式逆变器出货30.9万台，同比+21%，微型逆变器实现出货13.9万台，同比-43%。环境电器方面，除湿机2025上半年营收4.07亿，同比-10%，主要受到相关市场梅雨天气周期缩短、出口不确定因素增多等影响，热交换器2025上半年营收8.7亿，同比-18%，主要系下游客户需求收缩导致的下滑。公司发布员工持股计划草案，增强员工凝聚力。公司发布员工持股计划草案，计划不超过800人认购不超过190.72万股，占总股本0.21%，认购价格为30.19元/股，2025/2026年股份支付费用为0.15/0.45亿元，考核目标为2025年扣非归母净利润31亿元，员工持股计划草案推出有望激励核心员工，提升员工凝聚力。风险提示：海外市场开拓不及预期；下游需求不及预期；行业竞争加剧。投资建议：考虑到欧洲市场工商储应用需求提升，新兴市场工商储及户储需求景气延续，公司业绩有望延续稳健增长，我们给予公司2025-2027年盈利预测32.06/35.33/38.95亿元，同比+8.3%/+10%/+10%。当前股价对应PE分别为22/20/18倍，维持“优于大市”评级。",,国信证券,优于大市,[None],2025-09-08,,买入,6403625,pdf_downloads/2025/2025-09-08/605117-德业股份（605117）：储能业务出货快速增长，公司发布员工持股计划草案提升凝聚力.pdf,605117,德业股份,德业股份（605117）：储能业务出货快速增长，公司发布员工持股计划草案提升凝聚力
王子璕,"事件：近日，公司发布2025年半年度报告，2025年上半年公司实现营业收入55.4亿元，同比+16.6%，实现归母净利润15.2亿元，同比+23.2%。2025年2季度，公司实现营业收入29.7亿元，同比+3.7%，环比+15.7%，实现归母净利润8.2亿元，同比+1.7%，环比+15.7%。公司整体盈利能力保持稳定，储能电池包业务占比稳步提升业务结构方面，2025年上半年公司逆变器、储能电池包、热交换器、除湿机分别实现营业收入26.4亿元、14.2亿元、8.7亿元、4.1亿元，同比分别+13.9%、+85.8%、-17.8%、-10.3%，占比分别约47.9%、25.8%、15.7%、7.4%，占比较2024年全年分别变动-1.8%、+3.8%、-1.8%、-1.3%。业务结构上延续了2024年的态势，逆变器业务同比修复明显，储能电池包业务保持快速增长，占比持续提升。盈利能力上，2025年上半年公司毛利率为37.5%，同比+0.3pct，环比+0.5pct，其中逆变器、储能电池包、热交换器、除湿机业务毛利率分别为47.8%、35.0%、12.6%、36.1%，公司整体盈利能力基本保持稳定。工商储业务起量明显，储能电池包业务保持高增态势逆变器业务方面，2025年上半年公司逆变器出货76.4万台，同比约+7.3%，增速基本保持稳定。其中户用储能逆变器27.3万台，工商储4.3万台，工商储产品利用公司的渠道优势及研发优势，产品适配海外市场需求，起量显著，预计增量主要来自东南亚、非洲、中东等新兴市场。储能电池包业务保持快速增长态势，增长一方面来自于自供比例提升，同时也得益于公司通过高规格参展与深度区域路演相结合的方式开拓国际市场，上半年共主导参与4场国际储能展会，并组织开展了5场区域路演及品牌晚宴，业务触达7个重要市场。活动中重点发布包括离网逆变器、SE-F海王星系列电池、阳台储能解决方案、100K PCS及BOS-B工商储解决方案、MS-LC430光储充一体化解决方案在内的多款新品。除湿机和热交换器业务同比有所下滑，除湿机业务下滑主要系产品同质化竞争加剧，且上半年回南天天气特征相对较弱，热交换器业务主要系客户需求收缩导致。公司的环境电器市场策略明确，定位中高端人群市场，除湿机产品龙头地位稳固。盈利预测及投资建议公司是全球光储逆变器、储能电池核心供应商，通过工商业储能逆变器产品线功率段的拓宽以及电池包自供比例提升，公司光储业务有望保持持续增长。公司海外业务布局多元化优势明显，对单一市场依赖度较低，有望持续受益全球光储行业快速发展。我们预计公司2025至2027年，公司分别实现营业收入142.6亿元、175.7亿元、211.8亿元，同比增速分别约为27.3%、23.2%、20.5%，分别实现归母净利润36.8亿元、45.2亿元、54.7亿元，对应目前市值PE分别为16X、13X、11X，维持“推荐”评级。风险提示：（1）全球光伏、储能行业增长不及预期，公司在新兴市场份额处于领先地位，若新兴市场需求增长不及预期，将影响公司业绩；（2）政策风险：各国新能源政策将显著影响当地光储行业增长；（3）竞争加剧致产品价格超预期下跌的风险；（4）原材料价格波动超预期：光储产品直接材料占比较大，原材料价格波动将对产品毛利率产生影响；（5）全球贸易争端的风险：近期全球
贸易保护主义抬头，尤其以美国为甚。各国贸易摩擦将影响公司出海业务；（6）
汇率波动风险：公司海外收入占比较高，汇率的大幅波动将对公司报表端业绩
产生影响。",,诚通证券,推荐,[None],2025-09-04,,买入,6392234,pdf_downloads/2025/2025-09-04/605117-德业股份（605117）：工商储业务起量明显，新兴市场持续发力.pdf,605117,德业股份,德业股份（605117）：工商储业务起量明显，新兴市场持续发力
"开文明,刘清馨",核心观点公司发布2025年半年报，2025年上半年公司实现营业收入55.35亿元，同比+16.58%；归母净利润15.22亿元，同比+23.18%；扣非后归母净利润14.62亿元，同比+25.74%。2025年Q2公司实现营业收入29.69亿元，同比+3.65%，环比+15.7%；归母净利润8.17亿元，同比+1.72%，环比+15.74%；扣非后归母净利润8.49亿元，同比+15.09%，环比+38.59%。工商储产品起量显著。2025年上半年逆变器产品实现营收26.44亿元，同比+13.90%，占公司主营业务收入47.93%。2025年上半年公司总计销售76.38万台逆变器，其中户用储能逆变器27.27万台，工商储4.29万台。由于欧洲工商储在补贴支持、FIT退坡等催化下需求快速发展，巴基斯坦、缅甸、尼日利亚及中东国家在电价高涨、断电频发等催化下，工商储需求旺盛。公司工商储产品利用公司的渠道优势及研发优势，产品适配海外市场需求，起量显著。公司专注于挖掘新兴市场的应用场景，持续推动产品升级迭代。公司发布了离网储能新机型3.6-6KW单相离网逆变器；2025年上半年在原有商用储能系统基础上扩展功率段，推出100kw-2.5MW储能解决方案，同时研发团队不断推出适合海外本土需求的新产品，持续推进海外品牌建设。电池包与储能逆变器推广协同并进，实现高增。2025年上半年储能电池产品实现营业收入14.22亿元，同比+85.80%，占公司主营业务收入25.78%。公司在全球市场积极布局，与明星产品储能逆变器推广协同并进，持续推动品牌全球化战略落地。投资建议我们认为公司储能逆变器和电池包产品受益于户储和工商储市场蓬勃发展，出货量保持快速增长。预计公司2025-2027年营业收入分别为143.48亿元、178.35亿元、222.44亿元，同比分别+28.0%、+24.3%、+24.7%；归母净利润为38.26亿元、49.05亿元、62.02亿元，同比分别+29.2%、+28.2%、+26.4%。8月29日股价对应PE分别为15、12、9倍。维持“买入”评级。风险提示下游需求不及预期，市场竞争加剧，国际贸易政策不确定,,甬兴证券,买入,[None],2025-09-02,,买入,6382157,pdf_downloads/2025/2025-09-02/605117-德业股份（605117）：2025半年报点评：盈利稳定增长，工商储起量显著.pdf,605117,德业股份,德业股份（605117）：2025半年报点评：盈利稳定增长，工商储起量显著
