author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts,PE_2年前,PE_1年前,PE_当年,PE_明年,PE_后年,PE_大后年,EPS_2年前,EPS_1年前,EPS_当年,EPS_明年,EPS_后年,EPS_大后年
"韩其成,郭浩然,曹有成","本报告导读：中国化学己二腈等多品类受益化工景气改善，实业新材料资产有望重估。煤化工工
程国际领先，基础化工与石油化工占据较大的市场份额，海外业务不断突破。投资要点：投资建议：维持增持。维持预测2025-2027年EPS1.03/1.14/1.24元，增速11.0%/10.1%/8.9%，给予公司目标价13.46元，对应26年11.8倍PE。己二腈等多品类受益化工景气改善，实业新材料资产有望重估。(1)己二腈项目一期20万吨/年丁二烯法己二腈装置于2025年12月全面达产，标志着我国首台套丁二烯法己二腈工业化生产项目取得突破性进展。(2)天辰耀隆完成己内酰胺扩能改造，己内酰胺产能由20万吨/年提升至35万吨/年，2025年满负荷运行。(3)华陆公司气凝胶项目采用国内领先的全自动超临界干燥法工艺，规划建设规模30万方/年。(4)东华公司采用业内主流共酯化方法生产可降解材料PBAT，实业自主经营与EPC双线发力持续推进绿色转型的商业化实践。(5)自主研发HPPO工艺60万吨/年环氧丙烷项目2025年上半年完成建设并投料试车，已具备投产条件。煤化工工程国际领先，基础化工与石油化工占据较大的市场份额。(1)中国化学是石油和化学工业工程领域的国家队，拥有丰富的工程业绩与资质。创立70年来，承建了我国90%化工、70%石油化工、30%炼油项目，在海内外拥有丰富的工程业绩。 (2)化学工程业务是公司收入和利润的主要来源，近5年贡献营收比重平均78.61%，贡献毛利比重平均78.59%。(3)中国化学牵头组建新一代煤(能源)化工产业技术创新战略联盟，在煤制天然气、煤制油、煤制烯烃、煤制乙二醇等新型煤化工领域掌握一批关键技术，同时聚焦双碳，研发了多种低碳技术并实施了煤制甲醇、煤制烯烃等项目的绿色改造方案。中国化学是一带一路沿线化工主力军，国企改革将推动公司健康发展。(1)公司业务遍及全球80多个国家和地区，累计境外新签合同额超1000亿美元。2025年海外新签订单1245亿元同比增长9.89%(占比30.85%)，2025H1海外业务营业收入266亿元同比增长28.75%(占比29.53%)，海外业务毛利率8.90%。(2)股权激励考核以2021年业绩为基数，2023~2025年扣非归母净利润复合增长率不低于15%。2025年若实现股权激励，对应年度扣非归母增速不低于10.03%。(3)近4年分红比例约20%，大股东增持公司股份2亿元占比0.43%，将于2026年4月11日前增持完毕。(4)2013年来机构持仓占比最高11.11%，2025H1机构持仓8.02%。风险提示：实业项目盈利风险，化工资本开支下行，国际化经营风险等。",,国泰海通,增持,[None],2026-03-11,,买入,8501211,pdf_downloads/2026/2026-03-11/601117-中国化学（601117）：实业新材料有望重估，化工工程不断突破.pdf,601117,中国化学,中国化学（601117）：实业新材料有望重估，化工工程不断突破,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": null,
            ""eps"": 1.03,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": null,
            ""eps"": 1.14,
            ""pe"": 11.8
        },
        {
            ""year"": 2027,
            ""net_profit"": null,
            ""eps"": 1.24,
            ""pe"": null
        }
    ]
}",,,11.8,,,,,1.03,1.14,1.24,,
龙天光,"中国化学(601117)事件：公司发布2025年第三季度报告。业绩稳健提升，利润增速优于收入增速。2025Q3公司实现营收454.24亿元，同比增长4.32%；实现归母净利润11.31亿元，同比增长13.21%，实现扣非归母净利润10.11亿元，同比增长21.75%。单季度业绩增速较快。2025年前三季度，公司实现营业收入1,358.45亿元，同比增长1.26%；实现归母净利润42.32亿元，同比增长10.28%，实现扣非归母净利润40.14亿元，同比增长3.43%。利润增速高于收入增速，展现出持续增长动能。毛利率有所提升。公司2025年前三季度毛利率为9.43%，同升0.35pct，净利率为3.41%，同升0.27pct。2025年前三季度公司经营活动产生的现金流量净额为-55.75亿元，相较去年同期的-56.32亿元增加0.56亿元。期间费用率为5.65%，同升0.26pct。财务费用为1.70亿元，同比大幅下降47.22%，得益于利息费用降低。新签合同稳中有升，积极拓展化工新材料实业。2025年前三季度，公司实现累计新签合同额2,845.61亿元，同比增长0.17%。其中：境内新签合同2309.09亿元，同比增长5.74%，占新签合同总额的81.15%；境外新签合同536.52亿元，占新签合同总额的18.85%；从业务类型看，建筑工程新签合同2735.64亿元，占比96.14%；新签勘察设计监理咨询合同25.95亿元，占比0.91%；新签实业及新材料销售合同额78.51亿元，占比2.76%；新签现代服务业合同4.89亿元，占比0.17%。公司聚焦高性能纤维、相变材料、气凝胶等化工新材料领域，突破“卡脖子”技术，推动产业向高附加值方向升级。投资建议：预计公司2025-2027年归母净利润分别为62.91、68.27、74.70亿元，分别同比10.6%/8.5%/9.4%，对应P/E分别为7.56/6.97/6.37倍，维持“推荐”评级。风险提示：固定资产投资下滑的风险；新签订单不及预期的风险；应收账款回收不及预期的风险。",,银河证券,推荐,[None],2025-11-03,,买入,7335110,pdf_downloads/2025/2025-11-03/601117-中国化学（601117）：业绩稳健提升，积极拓展化工新材料实业.pdf,601117,中国化学,中国化学（601117）：业绩稳健提升，积极拓展化工新材料实业,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 62.91,
            ""eps"": null,
            ""pe"": 7.56
        },
        {
            ""year"": 2026,
            ""net_profit"": 68.27,
            ""eps"": null,
            ""pe"": 6.97
        },
        {
            ""year"": 2027,
            ""net_profit"": 74.70,
            ""eps"": null,
            ""pe"": 6.37
        }
    ]
}",,,7.56,6.97,6.37,,,,,,,
"武慧东,朱思敏","事件公司发布2025年三季报，2025Q1-3公司营业总收入1,363亿元，yoy+1%；归母净利润42亿元，yoy+10%；扣非归母净利润40亿元，yoy+3%。其中2025Q3营业总收入456亿元，yoy+4%；归母净利润11亿元，yoy+13%；扣非归母净利润10亿元，yoy+22%。2025Q3化学工程新签下降，基建和实业新签增长较快2025Q1-3公司新签合同额为2,846亿元，同比微增；其中2025Q3为785亿元，yoy-3%。分业务，2025Q1-3公司化学工程/基础设施/环境治理/实业及新材料/勘探设计/现代服务业新签合同额分别为2,262/435/39/79/26/5亿元，分别yoy+7%/-13%/-58%/+23%/-16%/-37%；其中2025Q3新签合同额分别为662/78/10/24/10/2亿元，分别yoy+8%/-47%/+170%/+9%/+2%/-12%。报告期内基建/实业及新材料业务新签合同额实现较快速增长。分区域，2025Q1-3公司境内外新签合同额分别为2,309/537亿元，分别yoy+6%/-18%；其中2025Q3新签合同额分别为663/122亿元，分别yoy+18%/-50%。盈利能力持续改善，减值转回对利润亦有正向贡献2025Q1-3公司综合毛利率9.4%,yoy+0.4pct；其中2025Q3为9.1%，yoy+0.7pct。2025Q1-3归母净利率为3.1%，yoy+0.3pct；其中2025Q3为2.5%，yoy+0.2pct。盈利能力呈持续改善态势。2025Q1-3期间费用率为5.6%，yoy+0.3pct；其中2025Q3为6.3%，yoy+0.2pct，期间费用率同比小幅增长。减值转回对利润有较好正面贡献，2025Q3公司应收款项单项减值转回1.9亿元，同比增加1.6亿元。“两商”战略转型前景值得期待，维持“买入”评级我们预计公司2025-2027年营业收入分别1,963/2,079/2,206亿元，分别yoy+6%/+6%/+6%，归母净利润分别62/67/72亿元，分别yoy+9%/+8%/+7%，EPS分别为1.02/1.10/1.18元。受益于化学工程快速增长以及实业新材料持续放量，公司业绩有望持续增长，维持“买入”评级。风险提示：专项债落地不及预期风险；订单推进不及预期风险；应收账款计提坏账风险。",,国联民生证券,买入,[None],2025-11-01,,买入,7164277,pdf_downloads/2025/2025-11-01/601117-中国化学（601117）：盈利能力加速提升，基建/实业新签增长较好.pdf,601117,中国化学,中国化学（601117）：盈利能力加速提升，基建/实业新签增长较好,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 62,
            ""eps"": 1.02,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 67,
            ""eps"": 1.10,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 72,
            ""eps"": 1.18,
            ""pe"": null
        }
    ]
}",,,,,,,,,1.02,1.1,1.18,
毕春晖,事件：公司公告1-3Q2025实现营收1358.45亿元同增1.26%；归母净利润42.32亿元同增10.28%；扣非归母净利润40.14亿元同增3.43%。Q3业绩增速有所提速，化工新签维持稳增。单季度来看，公司1Q-3Q2025分别实现营收444.99/459.23/454.24亿元，同比-0.98%/0.55%/4.32%；实现归母净利润14.45/16.57/11.31亿元，同比18.77%/2.12%/13.21%。公司1-3Q2025年实现新签订单2845.61亿元同增0.17%。其中，建筑工程、勘察设计、实业及新材料、现代服务业、其他业务分别实现新签订单2735.64/25.95/78.51/4.89/0.62亿元，分别同比0.94%/-16.05%/23.37%/-37.31%/-97.81%。建筑工程中，化学工程、基础设施、环境治理业务分别实现新签订单2261.7/434.97/38.97亿元，分别同比6.84%/-12.94%/-58.38%。分地区看，1-3Q2025公司境内、境外分别实现新签合同额2309.09/536.52亿元，分别同比5.74%/-18.36%。盈利能力有所提升，经营性现金流净流出略有减少。公司1-3Q2025销售毛利率为9.43%同增0.35pct；期间费用率5.65%同增0.26pct，其中公司销售/管理及研发/财务费用率分别为0.24%/5.26%/0.13%，同比变动0.01pct/0.36pct/-0.11pct；资产及信用减值损失率-0.12%同降0.16pct；归母净利率3.12%同增0.25pct；公司1-3Q2025经营性活动现金流净流出55.75亿元，较上年同期少流出0.56亿元；收现比103.00%同增10.9pct；付现比101.15%同增5.79pct；截至1-3Q2025公司应收账款及票据、存货+合同资产、应付账款及票据、预收账款+合同负债规模分别为439.6/575.2/1037.9/336亿元，较年初同比变动7.03%/9.94%/2.93%/10.91%。投资建议：我们预计公司2025-2027年实现归母净利润61.9/66.6/72.6亿元。对应PE分别为7.6/7.0/6.5倍，维持“增持”评级。风险提示：订单执行缓慢、政策推进不及预期、新业务推进不及预期。,,财通证券,增持,[None],2025-10-30,,增持,7047196,pdf_downloads/2025/2025-10-30/601117-中国化学（601117）：新签和业绩稳中有增，盈利能力同比改善.pdf,601117,中国化学,中国化学（601117）：新签和业绩稳中有增，盈利能力同比改善,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 61.9,
            ""eps"": null,
            ""pe"": 7.6
        },
        {
            ""year"": 2026,
            ""net_profit"": 66.6,
            ""eps"": null,
            ""pe"": 7.0
        },
        {
            ""year"": 2027,
            ""net_profit"": 72.6,
            ""eps"": null,
            ""pe"": 6.5
        }
    ]
}",,,7.6,7.0,6.5,,,,,,,
"黄颖,方晏荷,王玺杰,樊星辰",中国化学发布三季报：2025年Q1-Q3实现营收1363.00亿元（yoy+1.15%），归母净利42.32亿元（yoy+10.28%），扣非净利40.14亿元（yoy+3.43%）。25Q3实现营收455.78亿元（yoy+4.28%，qoq-1.07%），归母净利11.31亿元（yoy+13.21%，qoq-31.76%），基本符合我们的预期（11亿元）。公司9M25累计新签订单2846亿元，同比基本持平，我们认为海外石油化工投资景气较好，国内煤化工持续扩产投资有望增加，公司经营稳中向好，维持“买入”评级。25Q3毛利率、归母净利率同比均实现改善9M25公司综合毛利率9.72%，同比+0.3pct，25Q3单季毛利率9.13%，同比+0.71pct，环比-0.72pct。9M25公司期间费用率5.63%，同比+0.26pct，其中销售/管理/研发/财务费用率分别为0.24%/1.94%/3.32%/0.13%，同比+0.01/+0.07/+0.29/-0.11pct。25Q3单季期间费用率6.24%，同比+0.16pct，主要系财务费用小幅增加。9M25归母净利率为3.11%，同比+0.26pct，25Q3为2.48%，同比+0.2pct，环比-1.12pct。25Q3经营性现金流显著好转公司9M25经营活动现金流-55.75亿元，同比少流出0.56亿元，主业相关的收/付现比分别为103.0%/101.2%，同比+10.9/+5.8pct。25Q3单季经营活动现金流净额44.58亿元，同比多流入55.18亿元，主要是一方面，主业相关的收、付现比分别为109.4%/97.7%，同比+13.8/-2.2pct；另一方面，金融类经营活动现金流入同比+19.78亿元，金融类经营活动流出同比-17.25亿元。截至25Q3末，公司有息负债率7.0%，同比+0.7pct，资产负债率70.1%，同比+0.19pct。9M25新签订单保持稳健，化学工程、实业新材料表现较好9M25公司累计新签订单2846亿元，同比基本持平，其中25Q3新签785亿元，同比-2.5%。分业务看，9M25化学工程/基础设施/环境治理/实业与新材料新签2262/435/39/79亿元，同比+6.8%/-12.9%/-58.6%/+23.4%，与化工主业相关的化学工程及实业新材料表现出较好增长。分地区看，9M25境内/境外新签订单2309/537亿元，同比+5.7%/-18.4%，短期境外新签受高基数影响有所下滑，但长期来看，我们认为海外石油化工投资需求较好，有望保持景气。盈利预测与估值我们维持公司25-27年归母净利润为61.26/64.73/68.10亿元。可比公司25年Wind一致预期平均12xPE，认可给予公司25年12xPE，上调目标价至12.05元（前值11.03元，对应25年可比均值11xPE），维持“买入”评级。风险提示：毛利率持续下降，海外业务波动较大，化工实业投资不及预期。,,华泰证券,买入,[None],2025-10-30,,买入,7020145,pdf_downloads/2025/2025-10-30/601117-中国化学（601117）：Q3盈利能力、现金流均同比改善.pdf,601117,中国化学,中国化学（601117）：Q3盈利能力、现金流均同比改善,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 61.26,
            ""eps"": null,
            ""pe"": 12
        },
        {
            ""year"": 2026,
            ""net_profit"": 64.73,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 68.10,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,12.0,,,,,,,,,
"何亚轩,程龙戈,张天祎",Q3业绩加速增长，毛利率及现金流持续改善Q3营收及业绩加速增长。2025Q1-3公司实现营收1363亿元，同增1.2%；实现归母净利润42.3亿元，同增10.3%；扣非归母净利润40.1亿元，同增3.4%，符合预期。分季度看：Q1/Q2/Q3分别实现营业收入447/461/456亿元，同比-1%/+0.4%/+4%；实现归母净利润14.4/16.6/11.3亿元，同增19%/2%/13%，Q3收入业绩均环比提速，业绩增速高于收入主要因：1）毛利率同比明显提升（Q3单季同比+0.7pct）；2）减值损失转回增多（Q3单季同比多转回1.3亿元）。毛利率延续上行，Q3现金流大幅改善。2025Q1-3公司毛利率为9.43%，同比提升0.35pct（Q3单季同比提升0.71pct），毛利率延续上行趋势，盈利能力持续改善。Q1-3期间费用率5.63%，同比提升0.26pct（Q3单季+0.16pct），其中销售/管理/研发/财务费用率同比+0.01/+0.07/+0.29/-0.11pct，费用率上行主因研发费用率提升较多，Q3单季分别同比-0.03/-0.01/+0.07/+0.13pct。Q1-3/Q3资产（含信用）减值损失较上年同期减少2.1/1.3亿元。Q1-3投资收益较上年同期减少0.2亿元。Q1-3所得税率同比下降0.3pct。归母净利率3.1%，同比提升0.3pct（Q3单季2.5%，同比提升0.2pct）。Q1-3经营现金流净流出56亿元，较上年同期少流出0.6亿元；Q3单季净流入45亿元，同比多流入55亿元，现金流持续改善。化工主业签单稳健增长，Q3境内市场有所修复。2025Q1-3公司新签合同额2846亿元，同比增长0.2%；Q3单季新签合同额785亿元，同降3%，主因基础设施工程降幅较大。分业务看：工程承包累计新签合同额2736亿元，同比增长0.9%，其中化学工程/基础设施/环境治理分别新签2262/435/39亿元，同比+7%/-13%/-58%，化工主业稳健增长；勘察设计/实业/现代服务业分别新签合同额26/79/5亿元，同比-16%/+23%/-37%。分区域看：2025Q1-3境内/境外分别新签订单2309/537亿元，同比+6%/-18%；Q3单季境内/境外分别同比+18%/-50%，境内签单明显提速，海外短期下滑预计因大单造成的基数波动，9月上合峰会期间公司签署阿塞拜疆最大的石化综合体项目框架协议，总价约120亿美元，后续有望正式落地，海外市场成长空间仍然广阔。实业项目稳步推进，第二曲线潜力可期。公司持续推动“技术+产业”一体化模式，当前多个实业项目稳步推进：1）天辰齐翔己二腈项目85%负荷运行，前三季度累计生产己二腈6.9万吨。2）华陆新材气凝胶、天辰耀隆己内酰胺、内蒙新材煤制乙二醇项目满负荷运行，赛鼎科创相变新材料项目去年底投产至今运行平稳，负荷正常。3）天辰泉州、五环祥云磷氟新材料、西部新材超高分子量聚乙烯项目已建设完成。实业第二增长曲线增长可期，有望显著优化公司业务结构，带动盈利质量和估值提升。投资建议：我们预计公司2025-2027年归母净利润分别为64/73/81亿元，同增13%/13%/11%，EPS分别为1.05/1.19/1.32元，当前股价对应PE分别为7.3/6.5/5.8倍，维持“买入”评级。风险提示：实业不及预期、海外项目不及预期、汇兑风险等。,,国盛证券,买入,[None],2025-10-30,,买入,7018783,pdf_downloads/2025/2025-10-30/601117-中国化学（601117）：Q3业绩加速增长，毛利率及现金流持续改善.pdf,601117,中国化学,中国化学（601117）：Q3业绩加速增长，毛利率及现金流持续改善,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 64,
            ""eps"": 1.05,
            ""pe"": 7.3
        },
        {
            ""year"": 2026,
            ""net_profit"": 73,
            ""eps"": 1.19,
            ""pe"": 6.5
        },
        {
            ""year"": 2027,
            ""net_profit"": 81,
            ""eps"": 1.32,
            ""pe"": 5.8
        }
    ]
}",,,7.3,6.5,5.8,,,,1.05,1.19,1.32,
龙天光,中国化学(601117)境外收入增速较快。2025H1公司实现营收907.22亿元，同比下降0.35%；其中，化学工程实现营收748.12亿元，同比增长1.21%，占比83.06%;基建实现营收91.1亿元，同比下降10.02%，占比10.11%；环境治理实现营收5.11亿元，同比下降54.58%，占比0.57%;实业及新材料实现营收48.3亿元，同比增长8.73%，占比5.36%;现代服务业实现营收8.05亿元，同比增长7.81%，占比0.89%。公司境内实现营收634.69亿元，同比下降8.93%，境外实现营收265.99亿元，同比增长28.75%。报告期公司实现归母净利润31.02亿元，同比增长9.26%，实现扣非归母净利润30.03亿元，同比下降1.56%。报告期公司经营现金流量净额为-100.33亿元，同比多流出54.62亿元。盈利能力有所改善，新签合同稳中有升。公司2025H1毛利率为9.58%，同升0.18pct，净利率为3.74%，同升0.3pct。2025年上半年，公司新签合同2060.92亿元，同比增长1.24%。其中：境内新签合同1646.08亿元，同比增长1.46%，占新签合同总额的79.87%；境外新签合同414.84亿元，同比增长0.36%。从业务类型看，建筑工程新签合同1986.35亿元，占比96.38%；新签勘察设计监理咨询合同15.94亿元，占比0.77%；新签实业及新材料销售合同额54.89亿元，占比2.66%；新签现代服务业合同3.21亿元，占比0.16%。煤化工和实业项目成为增长点，境外市场表现亮眼。公司在传统化工、新型煤化工、化工新材料、绿色环保技术、氢能利用等多个领域通过自主创新和产学研协同创新等方式形成了系列工艺技术和工程技术，突破了己二腈、冷氢化法多晶硅、POE弹性体、高端环保催化剂等一批“卡脖子”关键核心技术，煤化工业务国内市占率超过90%。海外业务方面，公司在埃及、哈萨克斯坦等年度十大国别市场合同额占比超过70%，在“一带一路”沿线国家累计完成合同额超过1000亿美元，积累了宝贵的市场开发和项目执行经验。投资建议：预计公司2025-2027年归母净利润分别为60.84、66.15、72.36亿元，分别同比+6.96%/+8.73%/+9.38%，对应P/E分别为8.32/7.65/7.00x，维持“推荐”评级。风险提示：固定资产投资下滑的风险；新签订单不及预期的风险；应收账款回收不及预期的风险。,,银河证券,推荐,[None],2025-08-27,,买入,6354925,pdf_downloads/2025/2025-08-27/601117-中国化学（601117）：境外收入增速快，煤化工和实业助增长.pdf,601117,中国化学,中国化学（601117）：境外收入增速快，煤化工和实业助增长,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 60.84,
            ""eps"": null,
            ""pe"": 8.32
        },
        {
            ""year"": 2026,
            ""net_profit"": 66.15,
            ""eps"": null,
            ""pe"": 7.65
        },
        {
            ""year"": 2027,
            ""net_profit"": 72.36,
            ""eps"": null,
            ""pe"": 7.00
        }
    ]
}",,,8.32,7.65,7.0,,,,,,,
毕春晖,事件：公司公告1H2025实现营收904.22亿元同降0.21%；归母净利润31.02亿元同增9.26%；实现扣非归母净利润30.03亿元同降1.56%。其中，Q2单季营业收入为459.23亿元同增0.55%；归母净利润16.57亿元同增2.12%；扣非后归母净利润15.91亿元同降16.23%。基建及环保业务收入占比下滑，境外收入维持高增。分行业看，公司化学工程、基建、环保、实业、现代服务业分别实现营收748.12/91.10/5.11/48.30/8.05亿元，同比1.21%/-10.02%/-54.58%/8.73%/7.81%，上述业务分别实现毛利率10.17%/7.10%/6.26%/4.78%/12.59%，同比0.28pct/1.30pct/-2.05pct/-4.82pct/3.11pct。分地区看，公司境内、境外业务分别实现营收634.69/265.99亿元，同比-8.93%/28.75%。盈利能力有所提升，经营性现金流有所承压。公司1H2025销售毛利率为9.58%同增0.19pct；期间费用率5.34%同增0.29pct，其中公司销售/管理及研发/财务费用率分别为0.24%/4.96%/0.12%，同比变动0.03pct/0.5pct/-0.23pct，财务费用减少主要系公司本期汇兑损失同比减少1.47亿元；资产及信用减值损失率0.01%同降0.09pct；归母净利率3.43%同增0.3pct；公司1H2025经营性活动现金流净流出100.33亿元，较上年同期多流出54.62亿元 ，收现比99.58%同增9.34pct，付现比102.88%同增9.72pct。投资建议：我们预计公司2025-2027年实现归母净利润58.0/62.6/69.0亿元。对应PE分别为8.6 /7.9/7.2倍，维持“增持”评级。风险提示：订单执行缓慢、政策推进不及预期、新业务推进不及预期。,,财通证券,增持,[None],2025-08-26,,增持,6350597,pdf_downloads/2025/2025-08-26/601117-中国化学（601117）：新签和业绩稳中有增，盈利能力同比改善.pdf,601117,中国化学,中国化学（601117）：新签和业绩稳中有增，盈利能力同比改善,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 58.0,
            ""eps"": null,
            ""pe"": 8.6
        },
        {
            ""year"": 2026,
            ""net_profit"": 62.6,
            ""eps"": null,
            ""pe"": 7.9
        },
        {
            ""year"": 2027,
            ""net_profit"": 69.0,
            ""eps"": null,
            ""pe"": 7.2
        }
    ]
}",,,8.6,7.9,7.2,,,,,,,
"武慧东,朱思敏","事件公司发布2025年半年报，2025H1公司营业总收入907亿元，yoy-0.3%；归母净利润31亿元，yoy+9%；扣非归母净利润30亿元，yoy-2%。其中2025Q2营业总收入461亿元，yoy+0.4%；归母净利润17亿元，yoy+2%；扣非归母净利润16亿元，yoy-16%。化学工程/实业收入稳健增长，境外实现较好增长分业务，2025H1公司化学工程/基础设施/环境治理/实业及新材料/现代服务业收入分别为748/91/5/48/8亿元，分别yoy+1%/-10%/-55%/+9%/+8%。化学工程收入延续稳健增长态势，反映公司充足的在手订单及较好的推进节奏。2025H1公司新签合同额为2,061亿元，yoy+1%；其中化学工程新签yoy+6%/至1,600亿元。天辰、华陆、东华公司等实业项目陆续落地，实业及新材料业务收入稳步增长，支撑公司“两商”战略转型稳步推进。分区域，2025H1公司境内外收入分别为635/266亿元，分别yoy-9%/+29%；新签合同额分别为1646/415亿元，分别同比+1.5%/+0.4%。境外业务实现较好增长。盈利能力持续提升，化学工程/基建设施毛利率改善2025H1公司毛利率9.6%，yoy+0.2pct；其中2025Q2毛利率为9.8%， yoy-0.9pct。分业务，2025H1公司化学工程/基础设施/环境治理/实业及新材料/现代服务业务毛利率分别为10.2%/7.1%/6.3%/4.8%/12.6%，yoy分别+0.3/+1.3/-2.1/-4.8/+3.1pct。总体毛利率趋势大致稳定，项目结构变化或带来一定扰动。2025H1归母净利率3.4%，yoy+0.3pct；其中2025Q2归母净利率为3.6%，yoy+0.1pct。公允价值变动净损益对利润有一定影响，2025H1为-0.1亿元，yoy+1.9亿元。“两商”战略转型前景值得期待，维持“买入”评级我们预计公司2025-2027年营业收入分别1,963/2,079/2,206亿元，分别yoy+6%/+6%/+6%，归母净利润分别62/67/72亿元，分别yoy+9%/+8%/+7%，EPS分别为1.02/1.10/1.18元。受益于化学工程快速增长以及实业新材料持续放量，公司业绩有望持续增长，维持“买入”评级。风险提示：专项债落地不及预期风险；订单推进不及预期风险；应收账款计提坏账风险。",,国联民生证券,买入,[None],2025-08-26,,买入,6370248,pdf_downloads/2025/2025-08-26/601117-中国化学（601117）：盈利能力持续提升，实业收入稳步增长.pdf,601117,中国化学,中国化学（601117）：盈利能力持续提升，实业收入稳步增长,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 62,
            ""eps"": 1.02,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 67,
            ""eps"": 1.10,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 72,
            ""eps"": 1.18,
            ""pe"": null
        }
    ]
}",,,,,,,,,1.02,1.1,1.18,
"黄颖,方晏荷,王玺杰,樊星辰",公司发布半年报：25H1实现营收907.22亿元（yoy-0.35%），归母净利31.02亿元（yoy+9.26%），扣非净利30.03亿元（yoy-1.56%）。其中Q2实现营收460.69亿元（yoy+0.44%，qoq+3.17%），归母净利16.57亿元（yoy+2.12%，qoq+14.67%），基本符合我们的预期（17.24亿元）。公司7M25累计新签订单2248亿元，同比+4.4%，我们认为海外石油化工投资景气较好，国内煤化工持续扩产，公司经营稳中向好，25年首次增加中期分红积极回馈股东，分红比例19.7%，维持“买入”评级。化工主业稳健，境外项目顺利执行带动收入高增长25H1公司综合毛利率为9.86%，同比+0.11pct，25Q2综合毛利率9.85%，同/环比-0.90/+0.55pct。25H1化学工程/基础设施/环境治理/实业及新材料/现代服务业实现营收748/91/5/48/8亿，同比+1.2%/-10.0%/-54.6%/+8.7%/+7.8%，毛利率10.2%/7.1%/6.3%/4.8%/12.6%，同比+0.3/+1.3/-2.1/-4.8/+3.1pct。化工主业保持稳健，重点发展方向实业新材料收入稳定增长。分地区看，25H1境内、外营收分别为635/266亿元，同比-8.9%/+28.8%，毛利率9.85%/8.90%，同比+0.66/-1.20pct。加大业务拓展和技术创新力度，资产负债结构同比改善25H1期间费用率为5.32%，同比+0.29pct。其中，销售/管理/研发/财务费用率0.24%/1.97%/2.99%/0.12%，同比+0.03/+0.11/+0.38/-0.23pct，销售费用同比+14.5%，主要系大力拓展业务所致；重视技术创新，研发费用同比+14.2%。25H1归母净利率/扣非净利率为3.42%/3.31%，同比+0.30/-0.04pct。25H1经营性现金流净额为-100亿元，同比多流出55亿元，主要系财务公司回购业务资金净增加额同比减少42亿元所致，收/付现比99.6%/102.9%，同比+9.3/+9.7pct。公司有息负债率/资产负债率分别为9.2%/69.6%，同比-0.1/-0.3pct。25H1化工主业优势突出，新签订单同比+6.5%公司25H1新签订单2061亿元，同比+1.2%。分业务看，建筑工程承包新签1986亿元，同比+2.2%，其中，化工主业新签1600亿元，同比+6.5%，积极抢占前端制高点，承揽山能准东煤制烯烃、延长榆能煤制油等7个总体院业务；基础设施/环境治理新签357/29亿元，同比+1.5%/-67.3%。分地区看，境内、外新签1646/415亿元，同比+1.5%/+0.4%。7M24公司新签同比+4.4%，较上半年有所提速，境内、外新签同比+4.9%/2.5%。盈利预测与估值我们维持公司25-27年归母净利润为61.26/64.73/68.10亿元。可比公司25年Wind一致预期平均11xPE，认可给予公司25年11xPE，调整目标价至11.03元（前值9.03元，对应25年可比均值9xPE），维持“买入”评级。风险提示：毛利率持续下降，海外业务波动较大，化工实业投资不及预期。,,华泰证券,买入,[None],2025-08-26,,买入,6349680,pdf_downloads/2025/2025-08-26/601117-中国化学（601117）：化工主业优势突出，境外收入高增长.pdf,601117,中国化学,中国化学（601117）：化工主业优势突出，境外收入高增长,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 61.26,
            ""eps"": null,
            ""pe"": 11
        },
        {
            ""year"": 2026,
            ""net_profit"": 64.73,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 68.10,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,11.0,,,,,,,,,
