author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"郑辰,王宏雨",前言：沉舟侧畔千帆过，口腔医疗服务龙头再起航。2021年年中以来，通策医疗的股价经历了一段长达四年的单边下行。这一轮深度回调，不仅是受市场流动性收紧导致的估值中枢下移影响，其背后更反映了市场在政策不确定与宏观消费环境波动等因素冲击下，对口腔医疗行业原有成长逻辑的质疑。站在当前时点，公司已在前所未有的压力测试后完成蜕变，正从过往高客单价、高毛利的消费升级模式，向高效率、规模化和普惠性的品质医疗范式进行跃迁。近几年口腔行业发生了哪些变化？1）消费需求分层、行为更趋理性。当消费需求分层、行为更趋理性，口腔医疗行业并非表现为完全放弃治疗，而是倾向于选择性价比更高的产品与服务。这一趋势在兼具医疗与消费属性的隐形正畸领域表现得尤为明显，无论是隐适美还是时代天使，其出厂价在过去三年持续下探。2）集采杠杆带来种植牙价格快速下降，中低端市场成为必争之地。尽管种植牙集采对行业是一次压力测试，但长远来看，更是一场全国范围内的种植牙科普教育：价格显著下探大幅提升了医疗服务的可及性，并有效激发了中低端市场的全面增长。通策医疗如何重塑增长曲线？向内解放生产力：大部制改革重构生产关系。通策医疗大部制改革的核心意义，不仅在于打破传统连锁属地化管理的桎梏，更为公司构建了以专科能力为基石、由数字化系统实现全域调度的垂直化组织体系，从而为公司向平台化转型、运营效率提升与规模化扩张奠定基础。向外谋增长：网格化营销变革，飞入寻常百姓家。公司正在稳步构建覆盖约3000万消费者的市场网格化体系，覆盖了接近50%的省内人口。我们预计，随着种植与正畸业务推出面向下沉市场的中低端产品，两大核心业务的增长动能有望全面释放。同时，伴随客群规模扩张与业务协同效应形成良性循环，修复、大综合及儿科业务也有望受益。AI中台夯实新基建底座。通策医疗的数智大脑以AI中台为中枢，业务与数据中台为双引擎，通过HIS原生融合，将AI深度嵌入诊疗全流程，驱动运营、临床与服务全面升级。投资建议：结合公司维持现有中高端市场优势的基础上开始渗透低价市场，我们调整2025-2027年公司归母净利润预测分别为5.27、6.70和7.53亿元（预测前值分别为5.12、5.71和6.17亿元），同比增长5.1%、27.1%和12.4%。当前股价对应2025-2027年PE分别为43、34和30倍。考虑到公司近年来品牌力持续增强，并且正处在战略转型的关键阶段，未来业绩具备明确且较快的增长前景，我们认为应适当给予较高的估值水平，参考可比公司给予2026年45倍估值，对应目标价约67元。给予“强推”评级。风险提示：1、医疗服务价格调整幅度超预期；2、公司内部管理改革不及预期；3、医疗事故等风险；4、产品结构变化带来毛利率下降的风险。,,华创证券,强推,[None],2026-03-02,上调评级,买入,8471758,pdf_downloads/2026/2026-03-02/600763-通策医疗（600763）：沉舟侧畔千帆过，口腔医疗服务龙头再起航.pdf,600763,通策医疗,通策医疗（600763）：沉舟侧畔千帆过，口腔医疗服务龙头再起航
"郑辰,王宏雨",公司发布 2025 年三季报，前三季度实现营业收入 22.90 亿元(+2.56%)，归母净利润5.14亿元(+3.16%)，扣非归母净利润5.09亿元(+3.09%)；单2025Q3实现营业收入8.42亿元(+2.34%)，归母净利润1.92亿元(同比+2.15%)，扣非归母净利润1.92亿元(+1.68%)；业绩稳健增长，基本符合预期。业绩稳健增长，正畸业务复苏重获增长动力。2025 前三季公司实现营业收入22.90亿元(+2.56%)。公司前三季度营收结构均衡，正畸与综合业务两者合计占比过半。其中，正畸业务收入 4.26亿元，Q3收入1.97 亿元，Q3占比 25%;综合业务收入6.04亿元，Q3收入2.1亿元，Q3占比 27%;儿科、种植、修复Q3业务分别占比18%、16%和14%。正畸业务是营收核心增长引擎之一，主要由于以下两大因素：（1）集采政策的全面落地稳定了市场预期，此前被抑制的刚性需求集中释放（2）儿童早矫作为关键增长点，其双位数增长为整体业务提供了强动动力。正畸业务单Q3病例量增长10.6%，复苏态势显现。公司2025年前三季度营收同比增长2.56%，在居民消费意愿偏谨慎的背景下展现了良好的经营韧性。盈利水平稳定，经营性现金流充裕。2025 前三季度公司实现毛利率 41.7%与去年同期41.8%基本持平，销售费用率维持在1.17%低位，体现了公司品牌力与自然获客能力，管理费用率和研发费用率为9.19%和1.88%，保持稳定。归母净利率22.4%微增，主要系蒲公英医院利润贡献率大幅提升。蒲公英医院持续带动省内区域医疗服务收入，我们预计第三季度仍保持同比增长态势。同时2025年前三季度公司经营活动产生的现金流量净额为6.82亿元（+5.34%），经营性现金净流量/净利润达到1.11，现金流较充裕。聚焦内生，数字化赋能推动效率提升。公司的核心驱动力将从外延扩张转向内生效率提升，大力推行“大部制”改革，旨在打破医生资源壁垒，通过数字化手段帮助释放现有1600多名医生的生产力。投资建议：公司积极贯彻落实各项战略行动计划，不断夯实人才储备、拓展新院及分院建设。考虑消费医疗复苏节奏，我们预计25-27年归母净利润为5.12、5.71和6.17亿元，同比增速为2.2%、11.5%和8.0%。参考其他同处扩张期的医疗服务公司，并结合公司历史估值及行业趋势，给予2026年40倍目标PE，对应51.10元目标价，维持“推荐”评级。风险提示：自建或并购新店进展不及预期、市场竞争加剧。,,华创证券,推荐,[None],2025-11-08,,增持,7590668,pdf_downloads/2025/2025-11-08/600763-通策医疗（600763）：2025年三季报点评：业绩稳健增长，复苏趋势延续.pdf,600763,通策医疗,通策医疗（600763）：2025年三季报点评：业绩稳健增长，复苏趋势延续
甘坛焕,业绩简评2025年10月27日，公司发布2025年第三季度报告。25年前三季度公司实现营业收入22.90亿元（同比+2.56%），归母净利润5.14亿元（同比+3.06%），扣非归母净利润5.09亿元（同比+2.98%）。单季度来看，25Q3公司实现收入8.42亿元（同比+2.34%），归母净利润1.92亿元（同比+2.06%），扣非归母净利润1.92亿元（同比+1.60%）。经营分析业绩保持稳健增长，核心业务趋势向好。盈利能力方面，前三季度公司毛利率为41.69%，同比微降0.13个百分点；销售净利率为26.91%，同比微降0.04个百分点。在种植牙集采等行业变化背景下，公司盈利能力维持稳定，成本管控和经营效率优异。期间费用率方面，前三季度公司销售、管理、研发费用率分别为1.17%、9.19%、1.88%，合计12.24%，较去年同期的11.99%略有上升，主要系管理费用增加所致，整体保持在合理水平。其中，销售费用率持续处于行业较低水平，展现品牌护城河优势。 现金流方面，前三季度经营活动产生的现金流量净额为6.82亿元，同比增长5.39%，高于利润增速，公司整体盈利质量高，现金回款能力较好。紫金港总院顺利启航，新开院区进度良好。 作为公司未来在杭州区域规模最大的总院，紫金港院区一期已于2025年6月底正式运营，初期投放42张牙椅，7月开始正式试运营。紫金港总院的定位是承接区域内高净值客户和复杂病例，并作为重要的教学和专家资源平台。其产能的逐步释放，将有效提升公司在核心区域的辐射能力和品牌影响力，为公司下一阶段的增长奠定坚实基础。此外，公司其他新开医院进展良好，预计年底医疗机构总数达90多家，新院区陆续开业有望为公司后续增长奠定基础。盈利预测、估值与评级公司作为行业龙头，有望深入夯实区域龙头壁垒，我们预计25-27年公司归母净利润为5.26/5.56/5.91亿元，分别同比增长5%、6%、6%，EPS分别为1.95、1.81、1.89元，现价对应PE为36、34、32倍，维持“增持”评级。风险提示政策性风险；市场竞争加剧风险；人才短缺风险；跨区发展风险；医疗安全性事故纠纷风险等；合规监管风险。,,国金证券,增持,[None],2025-10-28,,增持,6917370,pdf_downloads/2025/2025-10-28/600763-通策医疗（600763）：业绩稳健增长，复苏趋势延续.pdf,600763,通策医疗,通策医疗（600763）：业绩稳健增长，复苏趋势延续
"代雯,高鹏,杨昌源",2025年10月27日│中国内地 医疗服务 公司1-3Q25实现收入/归母净利22.90/5.14亿元（yoy+2.6%/+3.2%），其中3Q25实现收入/归母净利8.42/1.92亿元（yoy+2.3%/+2.3%），整体保持平稳增长。考虑公司齿科诊疗服务能力行业领先，浙江省内服务网络布局完善并积极拓展省外市场，看好公司中长期具备广阔发展空间。维持“买入”。毛利率及三项费用率保持平稳，现金流水平积极向好公司1-3Q25毛利率41.7%（yoy-0.1pct），1-3Q25销售/管理/研发费用率分别1.2%/9.2%/1.9%，分别yoy+0.02/+0.2/+0.04pct，公司毛利率及三项费用率均保持平稳。公司1-3Q25经营性现金流量净额6.82亿元（yoy+5.3%），现金流水平趋势良好。看好公司25全年整体保持向好发展公司收入1-3Q25整体保持增长，看好公司各项核心业务25全年趋势向上，基于：1）种植：公司种植业务能力过硬且种植数积极起量，看好板块25年收入保持增长。2）正畸：行业渗透率较低且公司正畸方案多样，看好板块25年实现稳健发展。3）儿科：儿童齿科护理需求相对刚性且公司品牌影响力较高，看好板块25年收入有所增长。4）修复及大综合：公司综合口腔诊疗能力及服务网络布局行业领先，看好板块25年积极发展。积极推进各级医院建设，品牌力持续提升公司积极强化各级医院业务能力建设及区位布局，整体品牌力持续提升，包括：1）区域总院：公司杭口、城西、宁口等区域总院整体诊疗能力全面且区域辐射范围较广，看好其持续发挥旗舰作用并积极提升整体竞争力。2）蒲公英分院：我们推测1-3Q25公司蒲公英分院整体收入同比实现稳健增长，考虑公司蒲公英医院经营质量持续优化，看好其25年持续增厚公司整体业绩。3）浙江省外医院：公司持续通过“并购+加盟”策略完善浙江省外服务网络，看好公司浙江省外医院积极贡献业绩增量。盈利预测与估值我们维持盈利预测，预计公司25-27年归母净利为5.28/5.63/6.05亿元。公司为国内民营口腔服务行业龙头，诊疗能力过硬且服务网络持续完善，给予公司25年46x PE（可比公司Wind一致预期均值43x），维持目标价54.34元不变。风险提示：市场竞争加剧，医疗事故和纠纷，业务扩张不及预期。,,华泰证券,买入,[None],2025-10-28,,买入,6885151,pdf_downloads/2025/2025-10-28/600763-通策医疗（600763）：3Q25业绩整体延续增长趋势.pdf,600763,通策医疗,通策医疗（600763）：3Q25业绩整体延续增长趋势
"郑薇,林艾灵","事件2025年8月23日，公司发布2025年中报，2025H1公司实现营收14.48亿元（yoy+2.68%），归母净利3.21亿元（yoy+3.67%）；其中2025Q2实现营收7.04亿元（yoy+0.24%），归母净利润1.37亿元（yoy+0.44%）。毛利率保持稳定，销售费用率保持低位水平展现公司强品牌力毛利率层面，2025H1公司毛利率为40.75%（yoy-0.08pct），整体保持平稳；其中2025Q2毛利率37.09%（yoy+0.10pct）。费用率层面，2025H1公司销售/管理/研发费用率分别为1.01%/9.60%以及1.68%（yoy+0.02pct/+0.00pct/+0.05pct），公司销售费用率在民营医疗机构中保持低位，展示公司于浙江省内过硬的品牌影响力。正畸业务拉动公司业绩稳增长分板块来看，正畸业务企稳回升，恢复增长动力；修复业务存在刚需属性，增长稳健。1）种植：2025H1营收为2.55亿元（yoy+0.02%），占收入比重为18.9%（yoy-0.50pct）；2）正畸：2025H1营收为2.29亿元（yoy+7.75%），占收入比重为17.00%（yoy+0.80pct）；3）儿科：2025H1营收为2.36亿元（yoy-1.48%）,占收入比重为17.60%（yoy-0.70pct）；4）修复：2025H1营收为2.30亿元（yoy+3.59%），占收入比重为17.10%（yoy+0.20pct）。依托“区域总院+分院”架构夯实省内业务，“并购优质标的+轻资产加盟”模式加速全国覆盖省内，公司以区域总院为核心中枢，实现诊疗流程标准化，降低分院拓展的边际获客成本；通过“蒲公英计划”深化省内渗透。省外，公司“并购优质标的+轻资产加盟”组合拳以更低成本、更高效率实现全国化网络布局。截至2025年6月30日，公司旗下运营医疗机构89家（同比增加5家）。投资建议：维持“买入”评级我们预计公司2025-2027年营业收入分别为30.29/33.36/37.37亿元，同比分别+5.40%/+10.13%/+12.01%；归母净利润分别为5.19/5.85/6.75亿元，同比增速分别为3.55%/12.61%/15.50%。EPS分别为1.16/1.31/1.51元，维持“买入”评级。风险提示：省外经营不及预期风险；监管政策趋严风险；集采降价风险。",,国联民生证券,买入,[None],2025-09-10,,买入,6415136,pdf_downloads/2025/2025-09-10/600763-通策医疗（600763）：正畸业务拉动公司业绩稳增长.pdf,600763,通策医疗,通策医疗（600763）：正畸业务拉动公司业绩稳增长
"彭娉,郑琴,余文心",维持增持评级。2025年上半年公司实现收入14.48亿元（+2.68%），归母净利润3.21亿元（+3.67%），扣非归母净利润3.17亿元（+3.85%）。考虑消费复苏节奏，调整2025-2027年预测EPS为1.20/1.29/1.41元（原为1.26/1.36/1.49元），参考可比公司，给予2025年PE 40.5X，对应目标价为48.48元，维持“增持”评级。正畸业务企稳回升，重现增长动力。截至2025年上半年，公司旗下运营医疗机构89家，拥有专业医疗人员4452名，医疗空间面积逾26万平方米，配置牙科诊疗单元3100余台，口腔医疗门诊量173.22万人次（+1.21%）。2025年上半年公司的种植/正畸/儿科/修复/大综合业务分别实现营收2.55/2.29/2.36/2.30/3.94亿元，同比分别增长0.02%/7.75%/-1.48%/3.59%/2.44%。依托“区域总院+分院”架构，深化省内渗透。公司以浙江省为战略腹地形成五大区域集团（杭口平海、城西、宁波、绍兴、浙中），同时依托总院资源快速复制服务能力，形成“品牌辐射-客户导流-资源反哺”闭环。2025年上半年，48家蒲公英分院实现营收3.93亿元（+21%），净利润5368万元（+36%），门诊量同比增长23%。AI技术驱动型服务创新。和仁科技自研的MindHub人工智能中台，为公司在临床诊疗、患者服务、运营管理等多场景提供智能化支撑，一方面助力医生便捷进行语音记录、备忘录润色、接诊及会诊要点总结，另一方面辅助医生进行更全面和精准的临床诊断，形成医生经验+大模型建议的双重验证，为患者提供更加科学合理、精准有效的诊断及治疗方案。我们认为这些能提升公司运营效率，有助于公司后续更进一步的扩张版图。风险提示。客单价下降的风险，市场竞争加剧的风险，扩张进度不及预期的风险。,,国泰海通,增持,[None],2025-09-09,,买入,6407704,pdf_downloads/2025/2025-09-09/600763-通策医疗（600763）：业务全面恢复中，省内扩张稳步推进.pdf,600763,通策医疗,通策医疗（600763）：业务全面恢复中，省内扩张稳步推进
"余汝意,阮帅","2025年上半年业绩稳健增长，盈利能力有所提升2025年上半年公司实现营收14.48亿元（同比+2.68%，下文都是同比口径），归母净利润3.21亿元（+3.67%），扣非归母净利润3.17亿元（+3.85%），毛利率40.75%（-0.08pct），净利率26.26%（+0.2pct），口腔医疗门诊量累计达173.22万人次（+1.21%）。2025Q2公司实现营收7.04亿元（+0.24%），归母净利润1.37亿元（+0.44%），扣非归母净利润1.35亿元（-0.20%）。考虑公司新医院投入折旧影响，我们下调2025-2026年业绩预测（原预测为6.17、6.86亿元），新增2027年业绩预测，预计公司2025-2027年归母净利润为5.59/6.10/7.02亿元，当前股价对应PE为37.4/34.2/29.7倍，考虑公司口腔品牌实力及新院开业带来的增量，维持“买入”评级。正畸业务呈复苏趋势，牙椅数达3100余台2025上半年公司正畸业务实现营收2.29亿元（+7.75%），呈现复苏趋势，种植业务2.55亿元（+0.02%），儿科业务收入2.36亿元（-1.48%）。2025年上半年公司修复业务实现收入2.30亿元（+3.59%），大综合业务实现收入3.94亿元（+2.44%）。截至2025年6月30日，公司旗下运营医疗机构89家，拥有专业医疗人员4,452名，医疗空间面积逾26万平方米，配置牙椅3,100余台。构建“三三制”模式推动发展，三大总院业务有所下滑公司通过构建高效的“总部-区域集团-医院”三级管理架构，持续优化资源配置与标准化运营流程，显著提升整体运营效率。通过“蒲公英计划”深化省内渗透，构建规模化复制的核心增长引擎。2025上半年公司三大总院（杭口平海总院、杭口城西总院、宁口总院）实现收入4.97亿元（-8.67%），净利润2.44亿元（-11.92%）。2025年上半年公司销售费用率、管理费用率、研发费用率、财务费用率分别为1.01%、9.60%、1.68%、1.46%，同比+0.02pct、持平、+0.05pct、-0.15pct。风险提示：医疗风险、竞争风险、声誉风险等。",,开源证券,买入,[None],2025-08-28,,买入,6361376,pdf_downloads/2025/2025-08-28/600763-通策医疗（600763）：公司信息更新报告：2025上半年业绩稳健增长，正畸业务企稳回升.pdf,600763,通策医疗,通策医疗（600763）：公司信息更新报告：2025上半年业绩稳健增长，正畸业务企稳回升
甘坛焕,"业绩简评2025年8月23日，公司发布2025年半年度报告。25H1公司实现营业收入14.48亿元（同比+2.68%），归母净利润3.21亿元（同比+3.66%），扣非归母净利润3.17亿元（同比+3.84%）。 单季度来看，25Q2公司实现收入7.03亿元（同比+0.24%），归母净利润1.37亿元（同比+0.47%），扣非归母净利润1.35亿元（同比-0.20%）。经营分析业绩平稳增长，正畸业务持续复苏。25H1公司业绩实现平稳增长，门诊量达173.22万人次（同比+1.21%）。分业务看，正畸业务表现亮眼，实现收入2.29亿元（同比+7.75%），延续了Q1的复苏态势。种植业务收入2.55亿元，同比基本持平（同比+0.02%），集采后“以量补价”效应持续，业务发展稳固。修复（同比+3.59%）与大综合（同比+2.44%）业务作为基础刚需，为公司提供了可靠的业绩支撑。儿科业务收入2.36亿元，同比下降1.48%。“区域总院+分院”模式持续深化，扩张成效显著。25H1公司旗下运营医疗机构 89 家，拥有专业医疗人员 4452 名，医疗空间面积逾26 万平方米，配置牙科诊疗单元 3100余台。拆解来看，省内业务作为基本盘，实现医疗服务收入13.2亿元，同比+2.95%；省外业务收入1.25亿元,同比持平微降（同比-0.05%），经营韧性十足。“医疗+科技”双轮驱动，数字化赋能提升运营效率。公司持续深化“医疗+科技”战略，将AI技术作为核心竞争力之一。基于和仁科技自研的 MindHub 人工智能中台，为公司在临床诊疗、患者服务、运营管理等多场景提供智能化支撑，一方面助力医生便捷进行语音记录、备忘录润色、接诊及会诊要点总结，另一方面辅助医生进行更全面和精准的临床诊断。此外在供应链精益化层面，公司整合 CBCT 影像AI 分析技术，临床决策效率显著提升。盈利预测、估值与评级公司作为行业龙头，有望深入夯实区域龙头壁垒，我们预计25-27年公司归母净利润为5.37/5.74/6.10亿元，分别同比增长7%、7%、6%，EPS分别为1.20、1.28、1.36元，现价对应PE为39、36、34倍，维持“增持”评级。风险提示政策性风险；市场竞争加剧风险；人才短缺风险；跨区发展风险；医疗安全性事故纠纷风险等；合规监管风险。",,国金证券,增持,[None],2025-08-24,,增持,6340626,pdf_downloads/2025/2025-08-24/600763-通策医疗（600763）：公司点评：业绩平稳增长，.pdf,600763,通策医疗,通策医疗（600763）：公司点评：业绩平稳增长，
"代雯,高鹏,杨昌源",2025年8月23日│中国内地 医疗服务 公司1H25实现收入14.48亿元（yoy+2.7%）、归母净利3.21亿元（yoy+3.7%），整体实现平稳增长。公司同日发布公告，拟出资4600万元收购上海存济口腔门诊部有限公司100%股权；考虑标的医院定位中高端且业务规划齐备，看好其后续积极拓展公司品牌辐射范围并进一步优化公司业务区域布局和产品服务结构。公司口腔综合诊疗实力业内领先且服务网络持续完善，发展趋势向上，维持“买入”评级。过硬区域品牌力助力销售费用率保持较低水平公司1H25毛利率为40.7%（yoy-0.1pct），整体保持平稳。公司1H25销售/管理/研发费用率分别为1.0%/9.6%/1.7%（yoy+0.02/+0.00/+0.05pct），公司浙江省内品牌力过硬，销售费用率持续处于较低水平。公司1H25经营活动现金流量净额3.56亿元（yoy+9.7%），现金流水平进一步改善。正畸业务领衔1H25公司整体收入增长1）种植：1H25收入2.55亿元（yoy+0.02%）；展望25全年，考虑行业需求持续释放且公司种植方案丰富，看好板块25年收入平稳增长。2）正畸：1H25收入2.29亿元（yoy+7.8%）；考虑行业渗透率提升空间明确且公司正畸服务能力过硬，看好板块25年实现稳健发展。3）儿科：1H25收入2.36亿元（yoy-1.5%）；考虑儿童口腔护理重视度日渐提升，看好25年板块实现向好发展；4）修复/大综合：1H25实现收入2.30/3.94亿元（yoy+3.6%/+2.4%），考虑公司综合口腔诊疗能力全面且专家资源充沛，看好25年板块发展持续向上。区域总院有序分流，蒲公英分院快速发展1）区域总院：1H25杭口/城西/宁口分别实现收入2.40/1.76/0.81亿元（yoy-10.3%/-8.4%/-4.2%），我们推测主因蒲公英分院诊疗能力持续提升，相关医生及患者资源内部分流。考虑公司区域总院品牌效应明显，看好其积极发挥标杆作用并持续提升公司整体竞争力。2）蒲公英分院：我们推测1H25公司蒲公英分院收入同比较快增长，看好25年蒲公英分院实现提质提速发展。3）浙江省外医院：公司积极通过“并购优质标的+轻资产加盟”策略加速全国化网络布局，看好公司持续拓展浙江省外业务并积极贡献业绩增量。盈利预测与估值考虑行业需求恢复仍待一定周期，我们调整公司收入增速预测，预计25-27年归母净利至5.28/5.63/6.05亿元（相比前值下调3%/4%/4%）。考虑公司口腔诊疗区域影响力过硬且服务网络持续拓展，给予25年46x PE（可比公司Wind一致预期均值42x PE），对应目标价54.34元（前值54.80元，对应25年45x PE vs可比公司Wind一致预期均值41x PE）。风险提示：市场竞争加剧，医疗事故和纠纷，业务扩张不及预期。,,华泰证券,买入,[None],2025-08-24,,买入,6340811,pdf_downloads/2025/2025-08-24/600763-通策医疗（600763）：正畸领衔收入增长，业务区域积极拓展.pdf,600763,通策医疗,通策医疗（600763）：正畸领衔收入增长，业务区域积极拓展
"Ping Peng,Qin Zheng,Wenxin Yu,Kehan Meng",本报告导读：公司省内蒲公英分院已进入业绩贡献期，与总院矩阵成型，省外探索并购和加盟新扩张模式，当前种植牙集采影响已过，其他业务刚需静待复苏，维持优于大市评级。投资要点：维持优于大市评级。2024年公司实现收入28.74亿元（+0.96%），归母净利润5.01亿元（+0.20%），扣非归母净利润4.96亿元（+3.18%）。考虑消费复苏节奏，调整2025-2026年预测EPS为1.26/1.36元，新增2027年预测EPS为1.49元，参考可比公司，给予2025年PE 37X，对应目标价为46.67元（原为71.24元，2024年38X PE，1.4-for-1拆股后相当于51元，-8%），维持优于大市评级。种植牙以量换价表现亮眼，消费降级下正畸收入短期承压。截至2024年底，公司口腔医疗服务营业面积超过26万平米，开设牙椅3100台，口腔医疗门诊量达353.34万人次。2024年医疗服务收入27.32亿元（+1.62%），其中种植/正畸/儿科/修复/大综合分别实现收入5.30亿元/4.74亿元/5.01亿元/4.62亿元/7.65亿元，同比变动10.60%/-5.05%/0.29%/1.53%/1.27%，种植牙以量补价，集采效应释放。2024年牙科种植6.6万颗，同比超20%增长；正畸业务受市场消费降级、观望情绪影响但市场刚需保持稳定；大综合与修复业务的刚需支撑收入稳健增长。省内蒲公英计划深入推进与总院矩阵成型。公司深化“区域总院+分院”的发展模式，目前已完成浙江省五大口腔医疗集群布局（杭口平海、杭口城西、宁波口腔、杭口绍兴、杭口浙中），2024年杭口、城西以及宁口三大总院分别实现收入5.48亿元、3.82亿元、1.84亿元。在总院的建设方面，紫金港院区一期计划2025年5月份开业，浙中总院目前在装修中。在分院的布局方面，2024年蒲公英已开业44家，其中60%已实现收支平衡，2025年截至目前已新开3家蒲公英亿元，预计下半年还有3家开业。省外并购与加盟双轮驱动。公司全面调整省外扩张策略，从传统自建模式转向“并购优质标的+轻资产加盟”组合拳，以更低成本、更高效率实现全国化网络布局。通过湖南省“娄底口腔医院”等标杆项目验证了并购整合与标准化输出的可行性，2024年省外实现收入2.77亿元（+4.83%）。公司将开放数字化中台，加盟商接入通策云平台，共享AI排班、病例质控等工具，降低单体成本。风险提示。客单价下降的风险，市场竞争加剧的风险，扩张进度不及预期的风险。,,海通国际证券,优于大市,[None],2025-05-15,,买入,6056158,pdf_downloads/2025/2025-05-15/600763-通策医疗（600763）：2024年报点评：省内外同步扩张，业务刚需静待恢复.pdf,600763,通策医疗,通策医疗（600763）：2024年报点评：省内外同步扩张，业务刚需静待恢复
