author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"曾朵红,司鑫尧,许钧赫",电力设备民企龙头迈向全球，出海业务扬帆启航。思源电气于1993年在上海交大创办，2003年在深交所上市，凭借敏锐的战略眼光，公司在从单一产品拓展至开关、线圈、无功补偿、变压器等全产业链布局的同时大力布局海外业务。得益于在产品系列完善和海外布局上的持续投入，公司近年来业绩持续高增，2025年公司业绩大超预期，根据业绩快报，实现营收/归母净利润212/32亿元，同比增长37%/54%，19-25年营收/归母净利润CAGR分别为22%/34% 。我们认为得益于公司内部极强的管理α与供应链整合能力，叠加全球电网投资Supercycle的行业β，公司正处于向全球一流电力设备商跨越的关键节点，业绩有望持续加速向上。全球电网进入supercycle上行周期，公司出海业务进入10-100的加速收获期。全球电网受AI算力中心建设、新能源并网及欧美电网设备更新三重逻辑驱动，进入长景气周期，海外电力设备巨头新增订单高速增长，在手订单交付周期普遍超过2年，给国内厂商提供了极佳的出海机会，公司在海外市场多点开花：1）新兴市场：在竞争加剧下份额仍保持稳固；2）欧洲&中东：借本土龙头产能不足+优质供应能力实现德国等优质市场的快速突破且订单加速放量，欧洲和中东市场有望成为公司第二基石市场；3）北美：24年实现破冰25年订单大幅增长，加速进入1-10的订单放量阶段。基于海外市场的持续突破，公司海外收入高速增长，24年达31亿元，12-24年CAGR达33%，我们预计25年订单超100亿元，为未来的持续高增提供了较高的确定性。欧美等高端市场的加速渗透，在推动公司营收高增的同时将大幅提升公司的盈利能力，25年公司归母净利率达14.92%，同比+1.66pct，我们预计随着海外收入的占比提升，公司的盈利能力将继续快速增长。国内电网基本盘稳固&成长产品突破，储能、超级电容等有望成为第二曲线。国内十五五电网投资预期乐观，主网扩容确定性强。公司基本盘产品电抗器、电容器招标份额稳定，成长期产品GIS成功跻身前三大供应商 ，高盈利产品750kV GIS实现中标突破。在新业务方面，公司横向布局储能、超级电容、高压套管及中压开关等业务 ，大储、户储产品分别在国内外稳步推进，超级电容已进入台达、麦米供应链并开启批量出货，新业务有望成为公司的第二增长极。盈利预测与投资评级：公司作为稀缺的一次设备加二次设备全覆盖的平台型企业，在海外高端市场的突破验证了其全球竞争力 。我们预计公司2025-2027年归母净利润分别为31.63/46.84/63.22亿元（前值为31.63/45.23/60.59亿元），同比+54%/+48%/+35%，对应PE为58x、39x、29x。考虑到公司海外业务增长具备高确定性，盈利能力处于上升通道，给予2027年40倍PE，目标价323.6元，维持“买入”评级 。风险提示：电网投资不及预期、新业务拓展不及预期、海外EPC项目进度及拓展不及预期等、竞争加剧。,,东吴证券,买入,[None],2026-03-09,,买入,8492990,pdf_downloads/2026/2026-03-09/002028-思源电气（002028）：乘出海浪潮启发展新阶段，优质经营赋能加速腾飞.pdf,002028,思源电气,思源电气（002028）：乘出海浪潮启发展新阶段，优质经营赋能加速腾飞
"肖索,贾惠淋",“十五五”电网投资规划超预期，公司网内业务基本盘向好。国家电网1月15日宣布，“十五五”期间（2026-2030年）公司固定资产投资预计达到4万亿元，较“十四五”投资增长40%，年均投资额约8000亿元。我们预计特高压、配网、智能电网等领域将会是重要的投资方向。国网、南网均为公司重要客户，公司坚持深耕和拓展国内市场，巩固并提升主流产品在电网客户的市场份额，未来将显著受益于电网投资的增长。海外变压器紧缺，出海增长可期。海外数据中心建设加速，北美等地区电力结构性短缺趋势进一步强化。2025年中国变压器出口额达646亿元人民币，同比增长约36%，创历史新高。截至2025年上半年，公司海外营收占比33.68%，同比+9.12pct。公司在沙特合资建厂以应对海外客户需求，预计未来公司海外收入占比有望持续提升。投资建议公司是国内变压器龙头企业，将充分受益于国网资本开支的增长；同时，北美缺电等因素下，公司产品出海有望增长。我们预计公司2025-2027年EPS分别为4.05/5.37/7.36，对应公司1月28日收盘价，2025-2027年PE分别为47.3/35.7/26.0，首次覆盖，给予“买入-A”评级。风险提示包含但不局限于以下风险：1、政策性风险：电力行业的发展易受国家宏观经济政策、产业发展及基本建设等因素影响，若政策变化可能对公司经营产生影响。2、汇率波动风险：公司出口业务已遍布100多个国家和地区，结算币种涉及美元、欧元、英镑、巴西雷亚尔、澳元等多种货币，汇率波动会对公司业绩产生一定影响。3、市场竞争风险：公司多种产品技术和市场都相对成熟，主要客户招标采取招标方式，市场竞争加剧会对公司产品价格产生影响。4、料价格上涨风险：公司原材料包含铜等大宗商品，若价格上涨会对公司业绩产生负面影响。,,山西证券,买入-A,[None],2026-02-01,,买入,8401079,pdf_downloads/2026/2026-02-01/002028-思源电气（002028）：海内外需求共振，公司业绩持续向好.pdf,002028,思源电气,思源电气（002028）：海内外需求共振，公司业绩持续向好
"杨睿,王涵",2025年业绩超预期，海外业务将持续注入增长动能 思源电气(002028.SZ)2025年业绩超预期公司发布2025年业绩快报，2025年公司实现营收212.1亿元，同比增长37%；实现归母净利润31.6亿元，同比增长54%；实现扣非归母净利润29.6亿元，同比增长58%。就2025Q4来看，公司实现营收73.8亿元，同比增长46%，环比增长38%；实现归母净利润9.7亿元，同比增长74%，环比增长8%；实现扣非归母净利润9.2亿元，同比增长95%，环比增长15%。在美国供应高压变电站设备，盈利水平有望持续提升受美国电网扩容改造&amp;AIDC建设放量等需求驱动，美国高压设备供应紧张，电力变压器PPI指数持续上升。根据Wood Mackenzie报告，2025Q2美国升压变压器、电力变压器交付周期已分别达到143周、128周。需求提升加之供给有限，我们预计海外大型变压器的供需格局持续偏紧。根据2025年10月24日发布的投资者关系活动记录表，公司在美国市场的主要产品为高压变电站设备。我们预计公司凭借国内完备的产业链和制造优势，有望在美国市场快速渗透，盈利能力具备快速提升动力。国内电网景气持续，公司中标表现亮眼国内持续加大电网相关投资，根据中国电力报公众号，“十五五”期间，国家电网公司固定资产投资预计达到4万亿元，较“十四五”投资增长40%；此外，据南网50Hz公众号，南方电网公司2026年固定资产投资安排1800亿元，连续五年创新高，年均增速达9.5%。公司近年网内中标表现亮眼，根据Data电力公众号，2025年国网输变电设备6批中标结果中，上海思源高压开关有限公司750KV组合电器是位列TOP 1的企业。我们认为，在国内电网投资的带动下，公司的国内业务也有望实现可观增长。投资建议在全球AIDC快速发展&amp;电网建设投资持续增长的驱动下，电力设备需求迎来景气周期。公司作为国内输变电设备龙头企业，国内外业务表现亮眼，后续业绩有望持续增厚。调整盈利预测，我们将公司2025/2026年收入预测由此前的187.7/230.7亿元上调为212.1/ 268.3亿元，新增2027年收入预测350.0亿元，2025-2027年收入分别同比增长37.2%/26.5%/30.5%；2025/2026年归母净利润预测由此前的25.4/31.3亿元上调为31.6/42.4亿元，新增2027年归母净利润预测为60.2亿元，2025-2027年归母净利润分别同比增长54.3%/34.2%/41.8%；EPS分别为4.05/5.43/7.71元，对应PE分别为47X/35X/25X（以2026年1月27日收盘价189.26元计算），维持“增持”评级。风险提示海外AIDC建设不及预期、国际贸易政策风险、市场竞争加剧、原材料涨价等。,,华西证券,增持,[None],2026-01-27,,增持,8365947,pdf_downloads/2026/2026-01-27/002028-思源电气（002028）：2025年业绩超预期，海外业务将持续注入增长动能.pdf,002028,思源电气,思源电气（002028）：2025年业绩超预期，海外业务将持续注入增长动能
"刘俊,边文姣,戚腾元",2026年1月15日│中国内地 电气设备 思源电气发布25年业绩快报：全年实现营收212.05亿元（yoy+37.18%），归母净利31.63亿元（yoy+54.35%），超我们此前预期29.22亿元，业绩持续超预期释放。公司作为电力设备民营企业龙头具备强阿尔法属性，内生增长动力强劲。全球高压电网设备持续紧缺，AI进一步放大缺口，公司海外订单持续高增，加速突破北美数据中心领域；国内中标份额持续提升，与怀柔实验室合作布局IGCT领域，我们继续看好公司受益于海外、网内双市场高景气，维持“买入”评级。公司业绩持续超预期释放公司2025年实现营业收入212.05亿元（yoy+37.18%），归母净利润31.63亿元（yoy+54.35%）；其中Q4实现营收73.78亿元，同比增长（yoy+46.08%，qoq+38.43%），归母净利润9.71亿元（yoy+74.18%，qoq+8.09%）；业绩持续超预期释放。我们认为公司业绩高速增长主要受益于海外市场高质量订单高增，带动盈利能力显著提升；叠加国内网内输变电市场投资强劲，公司中标份额持续提升。AIDC放大电网设备缺口，公司海外业务高速迈进海外方面，全球电网进入投资上行周期，欧美电力公司电网资本开支规划保持快速增长。AIDC进一步抢占传统领域供给资源，国内企业突破北美高压市场，供应格局存在重塑逻辑。同时，相比于传统电网领域，AIDC领域具备涨价潜力与更高的利润空间。供应紧缺外溢为公司提供出海加速窗口期。根据Wind，25年1-11月国内变压器出口金额达到80.8亿美元，同增35%。同时，我们强调公司的高电压等级产品出海具备更强持续性。25H1公司海外、国内毛利率分别为 35.69%、29.73%。伴随海外收入占比持续提升，叠加公司优质数据中心领域订单快速增长，公司整体盈利能力有望持续提升。“十五五”国网计划投资4万亿，公司中标份额持续攀升根据国家电网公司，“十五五”期间，国家电网公司固定资产投资预计达到4万亿元，较“十四五”投资增长40%，我们认为主网仍将是重点投资建设方向。25年1-6批国网输变电招标金额高达918.8亿元，同比2024年增长25%。思源电气在 25年1-6批中标金额合计达到70.15 亿元，同比增长 82.5%；中标份额达到7.6%，同比提升2.4pct。公司在多个核心产品领域份额均位居行业前列，在25年第6批招标中斩获220/330/500/750kV全高压等级最高中标份额，市占份额快速攀升，内生动力强劲。公司计划使用不超过4亿元和以怀柔实验室为代表的技术方在北京市怀柔区共同设立合资公司，进行基于IGCT器件平台的电力电子相关技术产品研产销等，我们认为此举对于公司进军柔直领域、打开新的增量市场，以及提升国内输变电装备市场地位具备重要战略意义。盈利预测与估值考虑到公司海外订单高增，叠加受益于数据中心高景气，我们上调公司26-27年归母净利润（16.96%/22.92%）至45.04/60.31（前值38.51/49.06）亿元，对应EPS为5.77/7.72元。可比公司26年Wind一致预期PE均值为27倍，考虑到公司为民营主网设备龙头，海外市场开拓能力强劲，国内市场地位持续提升，具备强阿尔法属性，我们给予公司2026年35倍PE，目标价为201.95元（前值147.9元，对应26年30倍PE）。风险提示：电网投资不及预期，新业务开发不及预期，行业竞争加剧，原材料涨价。,,华泰证券,买入,[None],2026-01-16,,买入,8336795,pdf_downloads/2026/2026-01-16/002028-思源电气（002028）：业绩持续超预期释放.pdf,002028,思源电气,思源电气（002028）：业绩持续超预期释放
"曾朵红,司鑫尧",事件：公司发布25年业绩快报，公司预计25年实现营收212.05亿元，同比+37%，预计归母净利润31.63亿元，同比+54%，扣非净利润29.58亿元，同比+58%，其中预计25Q4实现营收73.78亿元，同环比+46%/38%，归母净利润9.97亿元，同环比+79%/11%，扣非净利润9.22亿元，同环比+95%/15%。海外新市场顺利突破，业绩大超市场预期。受益于国际业务不断突破，盈利能力提升有望成为常态。25年公司归母净利率14.92%，同比+1.66pct，扣非归母净利率13.95%，同比+1.80pct，其中25Q4归母净利率13.51%，同比+2.47pct，扣非净利率12.50%，同比+3.13pct。公司盈利能力持续提升且幅度较大，我们预计主要系公司国际业务利润率显著高于国内业务，海外业务收入占比提升有望拉动公司盈利能力不断提升。我们认为，随着公司北美市场高压电力变和罐式断路器等订单交付，公司利润率水平有望超市场预期。国内+海外市场需求共振，supercycle+经营α共驱加速增长。1）国内：“十五五”国家电网固定资产投资超4万亿，同比“十四五”增长40%，我们预计公司网内750kV GIS开始放量、大幅提升开关业务毛利率，二次设备份额稳步提升，网内基本盘稳固且持续向好，我们认为公司26年国内网内业务有望实现加速增长；国内网外业务培育SSC、构网型储能等拳头产品，成长为细分领域的单相冠军，我们认为26年公司国内网外业务收入有望实现20%以上增长。2）海外：公司国际业务全面开花，我们预计公司25年订单同比有望保持50%以上增长，其中北美市场突破亮眼，我们认为，在全球电网建设的supercycle和AI基础设施建设浪潮中，公司有机会成长为国际一线电力设备供应商。盈利预测与投资评级：考虑到公司盈利能力的持续超预期，我们上修公司25-27年预测归母净利润分别为31.63/45.23/60.59亿元（此前预测30.17/40.69/52.82亿元），同比+54%/43%/34%，给予26年40x PE，对应目标价为231.6元/股，维持“买入”评级。风险提示：海外市场订单交付不及预期，原材料波动幅度过大，竞争加剧等。,,东吴证券,买入,[None],2026-01-16,,买入,8336176,pdf_downloads/2026/2026-01-16/002028-思源电气（002028）：业绩大超预期，稳步迈进nextlevel.pdf,002028,思源电气,思源电气（002028）：业绩大超预期，稳步迈进nextlevel
姚遥,业绩简评2026年1月15日公司披露2025年业绩快报，2025年实现营收212.1亿元，同比增长37.2%；实现归母净利润31.6亿元，同比增长54.5%。其中，Q4实现营收73.8亿元，同比增长46.1%；实现归母净利润9.7亿元，同比增长74.1%，Q4业绩大超预期。经营分析25年业绩持续超预期核心源自：①23Q2以来海外订单持续释放、②部分交付25Q1后国内750kV高毛利订单。2025年1-11月我国电力变压器出口55亿美元，同比+49%，自23年以来维持高速增长。公司海外订单加速释放，25H1海外市场实 现营收28.6亿元，同比+89%，叠加部分交付25Q1后国内750kV高毛利订单，增速超市场预期，成为业绩“压舱石”。主网招标中份额大幅提升、海外电力变压器持续紧缺，26年国内/外均会交付更好/更快的订单，业绩有望持续超预期。 25年国网输变电设备招标919亿元，同比+26%，公司中标同比+82%，显著高于行业增速，份额提升明显，主要系750kV GIS中标超预期。“十五五”国家电网公司固定资产投资预计达到4万亿元，较“十四五”投资增长40%，我们预计主网加强仍是重点投资方向，公司有望持续受益。同时海外尤其是北美市场电力变压器持续紧缺，公司有望突破北美市场，加速兑现海外高质量订单。看好后续超级电容、特高压换流阀、储能等新业务多点开花。①在数据中心行业高景气背景下，公司超级电容器具备导入数据中心的能力，AIDC业务有望持续落地；②与怀柔实验室设立合资公司经营基于IGCT器件平台的电力电子相关技术产品，后续有望切入特高压领域；③与宁德时代签署三年合作备忘录，目标合作电量50GWh，加速储能系统规模化应用，进一步打开成长空间。盈利预测、估值与评级公司发展战略明确、业务规划清晰，在国内电网投资加速、海外电力设备需求持续景气背景下，预计公司各类产品收入仍将持续高速增长。我们预计公司25-27年归母净利润31.6/43.1/57.6亿元，同比增长54/36/34%。公司股票现价对应PE估值为38/28/21倍，维持“买入”评级。风险提示投资/海外拓展/产品推广不及预期、原材料上涨、行业竞争加剧,,国金证券,买入,[None],2026-01-16,,买入,8335911,pdf_downloads/2026/2026-01-16/002028-思源电气（002028）：Q4业绩大超预期，看好26年多点开花.pdf,002028,思源电气,思源电气（002028）：Q4业绩大超预期，看好26年多点开花
"张志邦,郑洋",主要观点：业绩公司公布2025年第三季度报告。2025前三季度实现营收138.27亿元，同比增长32.86%，实现归母净利21.91亿元，同比增长46.94%，扣非归母净利润20.36亿元，同比增长44.87%。2025Q3实现营收53.30亿元，同比增长25.68%，实现归母净利8.99亿元，同比增长48.73%，扣非归母净利8.00亿元，同比增长41.63%。2025前三季度毛利率为32.32%，同比提升0.90Pct；2025Q3毛利率为33.25%，同比提升2.29Pct。合同负债同比增长29.52%，2025Q3单季度经营性现金流明显改善截至2025Q3，公司合同负债达到28.96亿元，较去年同期增长29.52%。2025Q3公司单季度经营活动产生的现金流净额为11.45亿元，较今年前两个季度有较大改善。公司深耕海外市场，自2020年以来海外营收逐年增长，2020-2024年间海外业务CAGR为26.98%，保持强劲增长态势。海外市场中欧洲、北美洲等电力发达地区输配电设备运行多年，有较大的改造更换空间；东南亚、中东、非洲等地区电力基础设施建设落后，存在较大的新建业务机会。投资建议我们预计25-27年收入分别为194.25/233.10/279.72亿元（前值186.80/224.16/268.99亿元）；归母净利润分别为28.67/34.85/38.12亿元（前值27.69/33.58/36.62 亿元），对应PE分别37/30/28倍，维持“买入”评级。风险提示市场竞争加剧；汇率波动风险；新产品推进速度不及预期。,,华安证券,买入,[None],2025-11-04,,买入,7386281,pdf_downloads/2025/2025-11-04/002028-思源电气（002028）：25Q3收入、利润同比均实现高增，合同负债同比高增支撑公司业务增长.pdf,002028,思源电气,思源电气（002028）：25Q3收入、利润同比均实现高增，合同负债同比高增支撑公司业务增长
"杨阳,许紫荆",事件：公司发布2025年三季报：2025年前三季度，公司实现营收138.27亿元，同比+32.86%，实现归母净利润21.91亿元，同比+46.94%；2025Q3实现营收53.30亿元，同比+25.68%，实现归母净利润8.99亿元，同比+48.73%。观点：盈利能力不断提升，业绩超预期。公司发布2025年Q3业绩，实现收入为53.30亿，同比+25.68%，环比1.13%，实现归母净利润为8.99亿，同比+48.73%，环比6.2%。毛利率33.25%，同比+2.29pct，环比+0.64pct。净利率17.67%，同比+2.99pct，环比+1.24pct。海外收入增速迅猛，带动公司盈利能力提升。2025H1国内、海外收入分别为56.4亿、28.6亿，占比分别为66.3%/33.7%，国内、外收入同比增长21.1%、88.95%，国内、海外业务的毛利率分别为29.73%、35.69%。近年来海外电力设备供给紧缺，公司凭借完善的海外渠道和技术优势，在海外持续拿下大订单，高毛利率的海外收入占比提升，公司盈利能力增强。公司存货、预付款项同比大幅提升，在手订单饱满。三季度公司预付款项、存货分别为7.9亿、50.3亿，同比增加48.08%、44.58%，业务快速增长，带来存货和支付供应商的货款增加。盈利预测及投资评级：公司是具备向欧美市场出海能力的优秀电网设备供应商，在海外市场电力设备紧缺的背景下，公司具备较强的渠道和技术优势，有望持续受益海外市场的爆发需求。预计公司2025-2027年归母净利润分别为26.95/36.17/48.10亿元，当前股价对应PE为37.5/28.0/21.0倍。维持“买入”评级。风险提示：宏观经济不及预期；政策落地不及预期；技术进步不及预期；下游需求不及预期；原材料价格波动风险；行业竞争格局变化；地缘政治风险。,,华龙证券,买入,[None],2025-11-03,,买入,7309250,pdf_downloads/2025/2025-11-03/002028-思源电气（002028）：2025 年三季报点评报告：海外市场增长迅猛，盈利能力不断提升.pdf,002028,思源电气,思源电气（002028）：2025 年三季报点评报告：海外市场增长迅猛，盈利能力不断提升
"曾韬,黄林",事件：公司25Q1-3营收138.27亿元，同比+32.86%，归母净利润21.91亿元，同比+46.94%，毛利率32.32%，同比-0.9pcts，净利率16.42%，同比+1.82pcts。Q3单季营收53.30亿元，同比+25.68%，环比+1.14%，归母净利润8.99亿元，同比+48.73%，环比+6.26%，毛利率33.25%，同比+2.29pcts，环比+0.64pcts，净利率17.67%，同比+2.99pcts，环比+1.24pcts，高于预期。国内电网市场份额稳步提升，合资布局IGCT阀组。国内25年1-9月电网投资4378亿元，同比+9.90%，国网输变电设备25年1-4批中标额达681.9亿元，同比+22.9%，公司前四批中标合计超48.4亿元，同比+73.5%，中标份额达到7.1%，同比+2.1pcts，主要得益于25年实现750kV组合电器中标突破。9月，公司公告设合资公司，专注于基于IGCT器件产品研发、生产及销售。公司深耕和拓展国内市场，有望受益于电网投资提速。海外放量突破提振盈利。根据IEA数据，2030年全球电网投资有望翻番达6000亿美元，电气设备需求旺盛，变压器1-9月合计出口459.1亿元，同比+39%。公司海外收入20-24年CAGR 约24.47%。2025H1 海外营收28.62亿元，同比+88.95%，占总营收比33.68%，同比+9.12pcts。我们认为伴随海外营收占比进一步提升，公司盈利能力将持续增厚。超级电容有望成为新增长点。公司通过参股子公司烯晶碳能切入超级电容赛道，目前成功获得车企的重大定点项目，未来有望拓展至AIDC领域，打造全新增长曲线。投资建议：我们预计公司2025/2026年营收194.10亿元/243.45亿元，归母净利润28.58亿元/36.10亿元，EPS为3.67元/4.64元，对应PE为35.27倍/27.93倍，维持“推荐”评级。风险提示：产业链价格波动的风险；政策变化的风险；行业竞争加剧风险；汇率波动的风险。,,银河证券,推荐,[None],2025-11-03,,买入,7305726,pdf_downloads/2025/2025-11-03/002028-思源电气（002028）：海内外持续突破，业绩高增盈利亮眼.pdf,002028,思源电气,思源电气（002028）：海内外持续突破，业绩高增盈利亮眼
"王蔚祺,王晓声",收入利润快速增长，盈利能力持续提升。2025年前三季度公司实现营收138.27亿元，同比+32.86%；归母净利润21.91亿元，同比+46.94%；扣非净利润20.36亿元，同比+44.87%。2025年前三季度公司毛利率32.32%，同比+0.90pct.；净利率16.42%，同比+1.82pct.。三季度业绩超预期，盈利能力再创新高。三季度公司实现营收53.30亿元，同比+25.68%，环比+1.13%；归母净利润8.99亿元，同比+48.73%，环比+6.20%。三季度公司毛利率33.25%，同比+2.29pct.，环比+0.63pct.；净利率17.67%，同比+2.99pct.，环比+1.24pct.。海外业务持续放量，收入占比持续提升。2025年上半年公司海外收入28.6亿元，同比+89%，海外收入占比高达34%；毛利率35.69%，同比+1.87pct.。2022年以来，海外电力设备供给持续偏紧，公司凭借多重优势海外业务持续放量，其中变压器随着公司产能的释放有望贡献较大弹性。设立合资公司布局IGCT阀组，持续拓展业务领域。2025年9月，公司公告计划使用自有资金和怀柔实验室在北京怀柔设立合资公司，从事基于IGCT器件的电力电子相关技术产品研发、生产和销售。其中，公司投资额不超过4亿元，出资比例暂定70%，怀柔实验室以知识产权形式出资，出资比例暂定30%。超级电容应用进步显著，成功获得重大定点。2024年以来，公司超级电容产品在车载电源领域，成功获得车企的重大定点项目，为其车载后备电源系统提供核心元件，在电力系统领域应用亦有重大突破，尤其是在静止型同步调相机（SSC）、配网后备电源等创新应用场景。风险提示：国内电网投资不及预期；公司海外业务开拓不及预期。投资建议：上调盈利预测，维持“优于大市”评级。考虑到公司海外业务进展，上调盈利预测。我们预计公司2025-2027年实现归母净利润30.50/40.45/49.50亿元（原预测值为27.88/36.59/45.16亿元），当前股价对应PE分别为31/24/19倍，维持“优于大市”评级。,,国信证券,优于大市,[None],2025-10-24,,买入,6730227,pdf_downloads/2025/2025-10-24/002028-思源电气（002028）：三季度业绩再创新高，海外业务持续放量.pdf,002028,思源电气,思源电气（002028）：三季度业绩再创新高，海外业务持续放量
