author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts,PE_2年前,PE_1年前,PE_当年,PE_明年,PE_后年,PE_大后年,EPS_2年前,EPS_1年前,EPS_当年,EPS_明年,EPS_后年,EPS_大后年
"刘一鸣,石佳艺",本报告导读：中国汽研发布2025年业绩预告，2025年净利润稳健增长，后续强检业务将受益L3法规落地将，给予“增持”评级。投资要点：给予“增持”评级。中国汽研2025年实现归母净利润10.6亿元，同比增长18%，公司2025年维持稳健的经营势头，考虑到L3智驾强检业务将拉开序幕，中国汽研作为国内领先一流的检测公司将受益强检市场空间扩容，我们维持公司26-27年EPS预测分别1.28/1.58元，参考可比公司，给予公司2026年23倍PE，上调目标价至29.50元。中国汽研发布2025年业绩预告，中国汽研2025年营业收入49.7亿元，同比增长5%；实现归母净利润10.6亿元，同比增长18%。其中，四季度实现收入19.4亿元，同比+18%，环比+74%；实现归母净利润3.9亿元，同比+66%，环比+53%。L3智驾强检市场即将扩容。工信部网站2025年12月15日发布消息，工业和信息化部许可了两款L3级自动驾驶车型产品，标志着智能驾驶正式进入L3时代。通过L3强检认证的车辆方可进行相应宣传，这将对强检市场空间极大扩容。中国汽研作为领先的汽车检测机构，客户积累和业务能力行业居前，率先布局华东检测基地和南方试验场，有望充分强检市场扩容趋势。风险提示：新车型数量下降，全球智能驾驶进展不及预期。,,国泰海通,增持,[None],2026-01-21,,买入,8349591,pdf_downloads/2026/2026-01-21/601965-中国汽研（601965）：25Q4业绩预增，强检业务受益L3级别智驾推进.pdf,601965,中国汽研,中国汽研（601965）：25Q4业绩预增，强检业务受益L3级别智驾推进,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 10.6,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": null,
            ""eps"": 1.28,
            ""pe"": 23
        },
        {
            ""year"": 2027,
            ""net_profit"": null,
            ""eps"": 1.58,
            ""pe"": null
        }
    ]
}",,,23.0,,,,,,1.28,1.58,,
"何俊艺,白臻哲",备注：股价截止自2025年11月01日收盘价，每股指标按照最新股本数全面摊薄报告摘要公司发布2025年三季报，前三季度实现营收30.2亿元，同比下滑0.8%，实现归母净利润6.7亿元，同比下滑0.6%，实现扣非后净利润6.1亿元，同比增长1.5%。拆分来看，Q3实现营收11.1亿元，同比+6.4%，环比+8.8%；实现归母净利润2.6亿元，同比-4.1%，环比+11.7%；实现扣非后净利润2.3亿元，同比-1.5%，环比+0.6%。Q3毛利率明显提升，研发费用率增加较多。Q3公司毛利率47.5%，同比+2.2pp，环比+2.3pp；期间费用率10.9%，同比-1.3pp，环比+0.2pp；研发费用率8.7%，同比+2.6pp，环比+2.8pp；净利率24.3%，同比-2.9pp，环比+0.6pp。收入下滑系公司优化业务板块，加强创新业务布局未来可期。前三季度公司收入微幅下滑，主要系公司优化产业板块资源配置，加速推进产品结构优化与转型升级，主动退出部分缺乏竞争力的专用车业务。公司未来将加强创业业务布局，重点攻坚新能源、智能网联、车规级芯片等关键技术服务能力，形成核心技术壁垒，持续提升国际市场服务能力和影响力。盈利预测：考虑收入与利润增长不及预期，下调2025-2027年归母净利润为9.6/11.2/13.1（前值为10.5/12.2/13.5），考虑公司加强创新业务布局未来可期，维持“增持”评级。风险提示：智能网联业务进展不及预期。,,中泰证券,增持,[None],2025-11-03,,增持,7300329,pdf_downloads/2025/2025-11-03/601965-中国汽研（601965）：三季报点评：业务结构优化，毛利率显著提升.pdf,601965,中国汽研,中国汽研（601965）：三季报点评：业务结构优化，毛利率显著提升,"{
  ""forecasts"": [
    {
      ""year"": 2025,
      ""net_profit"": 9.6,
      ""eps"": null,
      ""pe"": null
    },
    {
      ""year"": 2026,
      ""net_profit"": 11.2,
      ""eps"": null,
      ""pe"": null
    },
    {
      ""year"": 2027,
      ""net_profit"": 13.1,
      ""eps"": null,
      ""pe"": null
    }
  ]
}",,,,,,,,,,,,
"石金漫,张渌荻","中国汽研(601965)核心观点事件：公司发布2025年三季度报告，2025年前三季度公司实现营业收入30.24亿元，同比-1.14%，实现归母净利润6.66亿元，同比1.13%，实现扣非归母净利润6.15亿元，同比3.14%。2025Q3，公司实现营业收入11.14亿元，同比9.33%，环比8.79%，实现归母净利润2.57亿元，同比0.14%，环比11.70%，实现扣非归母净利润2.25亿元，同比-1.5%，环比0.57%。核心主业强韧劲带动业绩稳健，精益化管控驱动毛利率显著提升，研发投入持续加大。收入端，前三季度营收微降主要系主动退出部分盈利能力较弱的专用车业务，而核心的汽车技术服务业务实现收入27.49亿元，同比5.62%，彰显主业韧性。盈利端，2025前三季度，公司毛利率为46.15%，同比3.94pct，环比0.78pct；Q3单季度毛利率为47.47%，同比2.18pct，环比2.28pct，Q3整体毛利率显著提升，主要系公司将高效与精益化管控深化为企业内生动力，经营质效持续提升。费用端，25Q3期间费用率20.20%，同比0.08pct，环比-0.19pct，其中25Q3销售/管理/研发/财务费用率分别为3.23%/7.27%/8.71%/0.99%，同比0.08/0.59/2.50/0.99pct,环比-0.19/0.04/2.85/0.69pct。研发费用率增幅较快，主要系聚焦科技创新，围绕核心技术突破、关键产品研发，持续打造高效技术研发创新体系。公司重点攻关新能源、智能网联、车规级芯片等关键技术服务能力，形成核心竞争壁垒。L2强标公开征求意见稿发布，智能化检测需求有望扩容。9月17日，工信部公开对《智能网联汽车组合驾驶辅助系统安全要求》强制性国家标准，向社会征求意见，征求意见稿明确规定了智能网联汽车基础单车道、基础多车道、领航组合驾驶辅助系统的安全要求。征求意见稿明确描述了相应的检验与试验方法，以杜绝非专业第三方针对组合驾驶辅助系统的相关测试。L2强标的逐步落地有望推动智能网联汽车检测行业空间显著扩容，单车型检测认证费用有望提升。 产能布局多点开花，华东总部基地、南方试验场等项目推动产能升级，助力业绩兑现。公司多个基地和试验场取得重大进展，华东总部基地总投资超23亿元，聚焦新能源、智能驾驶、通信软件、零部件与材料的研发及测评，在苏州建设了百余个行业先进试验室，覆盖从纳米到整车的“材料-芯片-零部件-整车”全链条研发测试体系。南方试验场已于2025年7月全面启用，目前其飞行汽车机库及起降广场已投入使用，客户已可正常开展飞行汽车相关的研发测试。南方试验场由公司与中国质量认证中心联合收购，是中国首个兼容传统汽车和新能源智能网联及无人驾驶测试汽车的试验中心，主要包含高速环道、动态广场、山路、越野路等19种测试道路。公司通过新基地的投产进一步部署全国主要汽车产业集群，有助于提升智能化检测带来的增量订单的承接能力，支撑业绩兑现。投资建议：展望26、27年，公司成长性受益于以下三个方面：1)国内新能源汽车产销量的快速增长带动三电系统、智驾系统等测试以及充电设施运维等技术服务需求的增长，带动公司主业汽车检测订单向上；2）智能网联汽车相关强检标准加速落地，强检项目的增加直接带动检测市场规模扩容；3）公司产能布局多点开花，华东总部基地、南方试验场等项目推动产能升级，助力业绩兑现。预计2025年-2027年公司将分别实现营业收入53.88/64.03/75.69亿元，实现归母净利润10.95/13.24/15.95亿元，EPS分别为1.09/1.32/1.59元/股，对应PE15.96x/13.20x/10.96x，维持“推荐”评级。风险提示：政策落地不及预期的风险；新能源汽车渗透率不及预期的风险；技术升级不及预期的风险等。",,银河证券,推荐,[None],2025-10-31,,买入,7108828,pdf_downloads/2025/2025-10-31/601965-中国汽研（601965）：2025年三季报业绩点评：Q3业绩稳健，产能先发布局迎L2强检催化.pdf,601965,中国汽研,中国汽研（601965）：2025年三季报业绩点评：Q3业绩稳健，产能先发布局迎L2强检催化,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 10.95,
            ""eps"": 1.09,
            ""pe"": 15.96
        },
        {
            ""year"": 2026,
            ""net_profit"": 13.24,
            ""eps"": 1.32,
            ""pe"": 13.20
        },
        {
            ""year"": 2027,
            ""net_profit"": 15.95,
            ""eps"": 1.59,
            ""pe"": 10.96
        }
    ]
}",,,15.96,13.2,10.96,,,,1.09,1.32,1.59,
"黄细里,孙仁昊",公告要点：公司公布2025年三季度报，公司2025年Q3实现营收11.14亿元，同环比+9.33%/+8.79%；归母净利润2.57亿元，同环比+0.14%/+11.70%；扣非归母净利润2.25亿元，同比+3.58%（调整后），业绩基本符合我们的预期。聚焦高毛利检测业务，收入结构持续优化。2025Q3检测业务收入占比同比提升，公司检测业务收入10.3亿元，占比93%，同环比+2.7pct/-2.0pct；2025Q1-Q3，公司实现总营收30.24亿元，同比降低1.14%，但其中检测业务收入达27.49亿元，同比+5.62%，凸显公司持续聚焦主业，业务结构持续优化。盈利稳健释放，研发投入持续强化技术壁垒。公司盈利中枢稳中有升，2025Q3毛利率达47.47%，同环比+2.18pct/+2.28pct，主要受益于公司业务结构优化，检测业务占比提升。2025Q3公司期间费用率20.19%，同环比+4.14pct/+3.42pct，主要系公司加大研发投入，筑牢核心竞争能力，公司研发费用0.97亿元，同环比+50.26%/+61.11%，彰显公司坚持创新驱动战略，积极跟进汽车行业技术进步。尽管2025Q3期间费用率较高，但归母净利率仍达23.1%，维持环比增长态势。技术能力持续提升，为国标落地提供核心测试能力支撑。公司2025年9月智能网联汽车质量检测检验中心（湖南）大王山试验场、国家智能网联汽车（长沙）测试区完成地图部署备案工作，标志着双场地已具备城市道路及高速公路全场景下进行自动辅助导航功能测试的能力，成为全球首例具备地图支撑功能的测试场地，为智能网联国标落地构建了关键测试能力支撑，进一步完善行业标准落地的实操基础。盈利预测与投资评级：由于下游车企竞争加剧，我们维持公司2025-2027年的营收预测为54.7/70.0/83.9亿元，同比增速+17%/+28%/+20%；下调2025-2027年归母净利润为10.1/12.3/14.7亿元（原为11.1/13.9/17.2亿元），同比增速+11%/+22%/+20%，对应PE 分别为17/14/12倍，考虑到L2国标落地会为公司带来较多业绩增量，维持“买入”评级。风险提示：智能电动汽车行业发展不及预期，法律法规限制自动驾驶发展，下游车企价格战超预期。,,东吴证券,买入,[None],2025-10-30,,买入,7033981,pdf_downloads/2025/2025-10-30/601965-中国汽研（601965）：2025 年三季报点评：业务结构持续优化，业绩基本符合预期.pdf,601965,中国汽研,中国汽研（601965）：2025 年三季报点评：业务结构持续优化，业绩基本符合预期,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 10.1,
            ""eps"": null,
            ""pe"": 17
        },
        {
            ""year"": 2026,
            ""net_profit"": 12.3,
            ""eps"": null,
            ""pe"": 14
        },
        {
            ""year"": 2027,
            ""net_profit"": 14.7,
            ""eps"": null,
            ""pe"": 12
        }
    ]
}",,,17.0,14.0,12.0,,,,,,,
付秉正,"中国汽研(601965)智驾标准进入密集发布期，中长期成长性无虞事件中国汽研发布2025年三季报，公司前三季度实现营业收入30.24亿元，同比-1.14%。实现归母净利润6.66亿元，同比+1.13%，实现扣非归母净利润6.15亿元，同比+3.41%，业绩表现略低于预期。点评一、聚焦核心主业，营收稳健增长。25年前三季度汽车技术服务业务实现收入27.49亿元，同比+5.62%;装备制造业务实现收入2.75 亿元，同比-39.70%。25Q3单季度实现营收11.14亿元，同比+9.33%。公司克服行业“价格战”沿产业链向前传导压力，核心业务汽车技术服务实现稳定增长，市场占有率继续提升。报告期内，装备制造业务同比下滑，主要系公司推进产品结构优化，主动退出部分缺乏竞争力的专用车业务。二、毛利率提升，强化研发投入。25Q3单季度综合毛利率为47.5%,同比+2.19pct，环比+2.28pct。费用率方面，Q3销售/管理/研发/财务费用率分别为3.24%/7.25%/8.73%/0.97%，同比分别+0.06pct/+0.60pct/+2.55pct/+0.93pct，公司研发强度有所加强。盈利能力方面，归母净利润为2.57亿元，同比+0.14%，对应净利润率为23.12%，同比-2.77pct，环比+0.60pct。三、智能网联汽车标准进入密集发布期，看好公司中长期成长性。国内首个L2级智驾强标《智能网联汽车 组合驾驶辅助系统安全要求》正处于征求意见阶段，拟于2027年1月1日实施。以L2强标为代表的智能网联汽车标准进入密集发布、实施周期，有望推动行业新车型迭代提速，进一步打开法规及非法规研发类测试的增量空间。公司具备研发及资质壁垒，并可借助兄弟公司中国质量认证中心有限公司CQC的品牌效应和市场地位，继续提升自身在汽车认证、检验领域核心竞争力。投资策略：预计公司2025-2027年营收为50.06/55.88/64.85亿元，归母利润为10.29/12.05/14.34亿元，对应PE为17.1/14.6/12.3倍。维持“买入”评级。风险提示：检测认证资质准入放宽，行业竞争加剧；新车型数量增量不及预",,中邮证券,买入,[None],2025-10-30,,买入,7026314,pdf_downloads/2025/2025-10-30/601965-中国汽研（601965）：智驾标准进入密集发布期，中长期成长性无虞.pdf,601965,中国汽研,中国汽研（601965）：智驾标准进入密集发布期，中长期成长性无虞,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 10.29,
            ""eps"": null,
            ""pe"": 17.1
        },
        {
            ""year"": 2026,
            ""net_profit"": 12.05,
            ""eps"": null,
            ""pe"": 14.6
        },
        {
            ""year"": 2027,
            ""net_profit"": 14.34,
            ""eps"": null,
            ""pe"": 12.3
        }
    ]
}",,,17.1,14.6,12.3,,,,,,,
"崔琰,完颜尚文",25Q3营收稳健 打造智能网联检测综合能力事件：公司发布2025年三季度报告，2025年前三季度营收30.24亿元，同比-0.76%；归母净利润6.66亿元，同比-0.56%；扣非归母净利润6.15亿元，同比+1.50%；其中2025Q3营收11.14亿元，同比+6.36%，环比+8.79%；归母净利润2.57亿元，同比-4.15%，环比+11.70%；扣非归母净利润2.25亿元，同比-1.50%，环比+0.57%。营收稳健增长 持续加大研发投入。1）收入端：2025Q3营收11.14亿元，同比+6.36%，环比+8.79%，整体实现稳健增长；2）利润端：归母净利润2.57亿元，同比-4.15%，环比+11.70%；扣非归母净利润2.25亿元，同比-1.50%，环比+0.57%。2025Q3毛利率为47.47%，同比+2.19pct，环比+2.28pct，归母净利率为23.12%，同比-2.54pct，环比+0.60pct。公司将高效与精益化管控深化为企业内生动力，经营质效持续提升；3）费用端：2025Q3销售/管理/研发/财务费用率分别为3.24%/7.25%/8.73%/0.97%，同比分别+0.06/+0.60/+2.55/+0.93pct，环比分别-0.14/+0.04/+2.84/+0.68pct。研发费用率同环比增长，主要系公司紧跟车企需求、持续加大研发投入。积极推进国际化能力建设，助力中国汽车产品进军国际市场。公司于2025年初正式成立海外事业部，力争通过精准把握中国车企产品和产能出海过程中的技术服务需求痛点，伴随车企的全球布局，提供一站式、一体化的质量技术服务。未来随着我国企业海外建厂、本土化运营程度的增加，属地化服务需求将不断增加，后续公司将在持续提升属地化服务能力的基础上，积极开展各国标准法规、市场准入研究，继续依托中国中检海外资源，推动重点国家和地区属地化服务能力布局。设立信息智能事业部 构建智能网联检测综合测评能力。公司围绕汽车智能网联领域设立了信息智能事业部，聚焦汽车智能化、网联化产业前沿，专注智能基石、智能安全、智能应用3大技术方向。公司围绕智能汽车的安全性、体验性、智能化等维度，已打造出涵盖仿真测试、场地测试、道路测试、网络安全测试、数据安全测试、软件升级测试、数据记录测试等方面的综合测评能力，后续将持续在智驾测评、车路协同、数据仿真、整车工具等技术领域深入钻研，构建国内领先、世界一流的综合服务能力。投资建议：汽车检测行业优质稀缺标的，具有资产和资质双重壁垒；公司业绩与行业销量脱钩，汽车新车推出速度加快及产品升级有望驱动公司业绩成长。预计公司2025-2027年收入为47.78/54.65/63.06亿元，归母净利润为9.86/12.14/14.64亿元，对应EPS为0.98/1.21/1.46元，对应2025年10月27日16.78元/股的收盘价，PE分别为17/14/11倍，维持“推荐”评级。风险提示：检测政策推进不及预期；原材料价格上涨；技术创新不及预期等。,,民生证券,推荐,[None],2025-10-28,,增持,6899835,pdf_downloads/2025/2025-10-28/601965-中国汽研（601965）：系列点评六：25Q3营收稳健，打造智能网联检测综合能力.pdf,601965,中国汽研,中国汽研（601965）：系列点评六：25Q3营收稳健，打造智能网联检测综合能力,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 9.86,
            ""eps"": 0.98,
            ""pe"": 17
        },
        {
            ""year"": 2026,
            ""net_profit"": 12.14,
            ""eps"": 1.21,
            ""pe"": 14
        },
        {
            ""year"": 2027,
            ""net_profit"": 14.64,
            ""eps"": 1.46,
            ""pe"": 11
        }
    ]
}",,,17.0,14.0,11.0,,,,0.98,1.21,1.46,
"刘一鸣,石佳艺",给予“增持”评级。中国汽研第三季度业绩稳健，我们维持25-27年EPS预测分别1.10/1.31/1.59元，参考可比公司，给予公司2025年25倍PE，上调目标价至27.55元。中国汽研发布2025年三季报，第三季度实现收入11.1亿元，同比+9%，环比+9%；实现归母净利润2.6亿元，同比+0%，环比+12%；净利率24.3%，同比-2.9pcts，环比+1.3pcts。我们在2025年9月18日报告《L2强标开启征求意见，智驾商业化更进一步》中提到，智能网联汽车组合驾驶辅助系统安全要求》开启公开征求意见，我们认为L2标准的确立将有效规范行业宣传，提升消费者认知，对于车企推进智能驾驶研发也将起到正面效果，后续随着L2法规正式落地，检测业务提供商将迎来新一轮增长。 2025半年报在建工程约为20.9亿元，比2024年报的9.5亿元增加11.4亿元，华东基地已在2025上半年开园，公司对于南方试验场投入也在增加，产能提前布局将确保订单的获取以及收入增长。风险提示：新车型数量下降、全球智能驾驶进展不及预期。,,国泰海通,增持,[None],2025-10-28,,买入,7170396,pdf_downloads/2025/2025-10-28/601965-中国汽研（601965）：三季度业绩稳健，智驾法规加速落地将推动收入增长.pdf,601965,中国汽研,中国汽研（601965）：三季度业绩稳健，智驾法规加速落地将推动收入增长,"{
  ""forecasts"": [
    {
      ""year"": 2025,
      ""net_profit"": null,
      ""eps"": 1.10,
      ""pe"": 25
    },
    {
      ""year"": 2026,
      ""net_profit"": null,
      ""eps"": 1.31,
      ""pe"": null
    },
    {
      ""year"": 2027,
      ""net_profit"": null,
      ""eps"": 1.59,
      ""pe"": null
    }
  ]
}",,,25.0,,,,,,1.1,1.31,1.59,
"郑连声,郭婧雯",投资要点业绩总结：2025年上半年实现营业收入19.1亿元，同比-6.4%；实现归母净利润4.1亿元，同比+1.8%。经营分析：25H1，公司整体营收结构优化，核心的汽车技术服务业务收入17.2亿元，同比+2.9%，收入占比提升至90.0%；装备制造业务收入2.0亿元，同比-47.8%，收入占比下降。盈利能力方面，毛利率为45.4%，同比提升4.8pp，主要受益于高毛利的技术服务业务收入占比提升。费用端，公司持续加强研发投入，研发费用1.2亿元，同比+16.5%，研发费用率6.2%；销售及管理费用管控良好，同比略有下降；财务费用因项目建设资金投入增加导致利息收入减少而有所增加。汽车技术服务：新能源与智能网联驱动，核心业务稳健增长。作为公司的基本盘，汽车技术服务业务凭借在新能源与智能网联领域的领先布局，实现收入17.2亿元，同比增长2.9%，成为业绩的压舱石。1）业务结构持续向高景气领域倾斜，其中新能源及智能网联汽车开发和测评业务表现亮眼，实现收入3.1亿元，同比+22.9%；测试装备业务同样+22.9%。旗下子公司中汽院智能网联公司业绩爆发，上半年实现净利润0.7亿元，同比激增172.5%，彰显公司在智能网联测试领域的龙头地位和高成长性。2）全国化产能布局加速落地，公司华东总部基地正式开园，将构建覆盖长三角“材料-芯片-零部件-整车”全链条一站式服务能力；联合收购的南方试验场完成交割，填补了华南大型综合场地资源的短板，为承接未来智能网联汽车强检增量需求奠定坚实基础。3）国际化进程稳步推进，新成立海外事业部，并与乌兹别克斯坦、尼日利亚、匈牙利等国签订战略合作协议，打造汽车出海一站式认证服务平台，打开海外市场增长空间。装备制造业务：主动优化结构，聚焦核心零部件。公司主动进行战略收缩，剥离低附加值业务，推动业务提质增效。1）25H1装备制造业务实现收入2.0亿元，同比-47.8%，主因公司主动退出利润率较低的专用汽车改装与销售业务，该板块收入同比-68.5%。2）结构调整成效初显，高附加值业务实现高速增长。轨道交通及专用汽车零部件业务实现收入0.5亿元，同比大幅增长97.0%，反映了公司聚焦核心零部件、提升产品竞争力的战略初见成效。3）此外，公司在机器人检测领域持续布局，旗下凯瑞机器人公司获批筹建重庆市无人机系统产品质量检验检测中心，有望受益于低空经济及机器人产业发展，或成新增长点。盈利预测与投资建议。我们预计25-27年的归母净利润为10.3/13.1/15.5亿元，对应的EPS为1.03/1.31/1.55元。考虑到前装检测行业空间扩容，智能化需求快速增长，中国汽研受益于新能源汽车检测需求、智能网联强检标准落地及产能升级，且智能化检测布局完善；公司2025上半年公司部分产品线市场策略调整导致整体收入同比下降，历史来看收入上、下半年季节性明显，下半年业绩可期，给予25年22倍PE，目标价22.66元，首次覆盖给予“买入”评级。风险提示：下游新技术发展不及预期的风险；强检标准落地不及预期的风险；公司盈利能力下降的风险等。,,西南证券,买入,[None],2025-09-10,,买入,6443912,pdf_downloads/2025/2025-09-10/601965-中国汽研（601965）：2025 年半年报点评：全领域资质筑壁垒，多赛道布局拓增长.pdf,601965,中国汽研,中国汽研（601965）：2025 年半年报点评：全领域资质筑壁垒，多赛道布局拓增长,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 10.3,
            ""eps"": 1.03,
            ""pe"": 22
        },
        {
            ""year"": 2026,
            ""net_profit"": 13.1,
            ""eps"": 1.31,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 15.5,
            ""eps"": 1.55,
            ""pe"": null
        }
    ]
}",,,22.0,,,,,,1.03,1.31,1.55,
"刘一鸣,石佳艺",本报告导读： 德赛西威2025 上半年业绩亮眼，智能座舱、智能驾驶业务产品迭代、定点获取双轮驱动，出海布局加速，有望将国内电动化、智能化产品在全球市场复制。 投资要点： 目标价23.14 元，维持“增持”评级。考虑到2025上半年公司部分产品线市场策略调整导致整体收入同比下降，但公司历史来看收入上、下半年具有明显季节性，我们仅略微下调25-27 年EPS 盈利预测，分别1.10/1.31/1.59 元，给予公司2025 年21 倍PE，目标价23.14元，维持“增持”评级。 中国汽研发布2025 半年报，2025 上半年实现收入19.1 亿元，同比-6%；实现归母净利润4.1 亿元，同比+2%；净利率22.5%。其中25Q2实现收入10.2 亿元，同比-12%，环比+15%；归母净利润2.3 亿元，同比-2%，环比+29%；Q2 净利率23.7%，同比+1.1pcts，环比+2.6pcts。 2025 上半年产能布局多点开花。2025 上半年，华东总部基地正式开园，以属地化技术能力赋能长三角区域汽车产业高质量发展；联合关联方中国质量认证中心实现对南方试验场控股，填补公司在华南区域大型综合场地资源的短板；成立海外事业部，联合控股股东中国中检海外资源和行业组织初步建立涵盖欧洲、东南亚、日韩、中东等重点地区海外服务网络。 2025 上半年多项智驾强检政策法规出台，带动强检市场扩容。2025年5 月，国家标准化管理委员会发布《轻型汽车自动紧急制动系统（AEBS）技术要求及试验方法》强制性国家标准（征求意见稿），新标准由推荐性转为强制性，适用范围扩展至N1 类载货汽车，同时还首次将仿真试验纳入验证体系。2025 年6 月，全国标准信息公共服务平台公示了关于征求《智能网联汽车组合驾驶辅助系统安全要求》拟立项强制性国家标准项目意见的通知，拟明确智能网联汽车组合驾驶辅助系统安全性相关的技术要求。 风险提示：新车型数量下降，行业内卷导致强检付费下降,,国泰海通,增持,[None],2025-08-30,,买入,6369394,pdf_downloads/2025/2025-08-30/601965-中国汽研（601965）：智驾强检有望加速，产能布局多点开花.pdf,601965,中国汽研,中国汽研（601965）：智驾强检有望加速，产能布局多点开花,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 4.1,
            ""eps"": 1.10,
            ""pe"": 21
        },
        {
            ""year"": 2026,
            ""net_profit"": null,
            ""eps"": 1.31,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": null,
            ""eps"": 1.59,
            ""pe"": null
        }
    ]
}",,,21.0,,,,,,1.1,1.31,1.59,
"黄细里,孙仁昊",公告要点：公司公布2025年半年报，业绩略低于我们的预期。公司2025年H1实现营收19.11亿元，同比-6.36%；归母净利润4.09亿元，同比+1.77%；扣非归母净利润3.90亿元，同比+3.31%。2025Q2单季实现营收10.2亿元，同环比-10.15%/+15.35%；归母净利润2.3亿元，同环比-2.85%/+29.43%；扣非归母净利润2.3亿元，同环比-0.28%/+34.94%。技术能力持续提升叠加补足试验场资源，新能源与智能网联布局持续深化。公司通过2025年5月收购中认车联网作为公司智能网联检测能力的重要补充。2024年底公告控股南方试验场35.15%股权，并于2025年6月正式并表，填补华南地区大型综合试验场空白，2025上半年贡献营收3159.94万元、贡献净利润272.11万元。2024年收购的天平公司于2025年上半年贡献净利润1342.92万元，协同效应逐步释放，进一步夯实利润基础。聚焦高毛利检测业务，收入结构持续优化。2025H1新能源及智能网联检测业务收入3.1亿元，同比+23%，增速显著跑赢传统检测业务，成为新的业绩增长极。2025Q2检测业务占比环比提升，公司检测业务收入9.22亿元，同环比-1.28%/+16.12%，占公司总营收比重90.08%，同环比+7.00pct/+0.60pct，公司通过前瞻性技术储备和服务能力提升，在新能源领域持续拓展业务边界，实现订单规模稳步增长。盈利稳健释放，研发投入强化技术壁垒。公司盈利中枢稳中有升，2025Q2毛利率达45.19%，同环比+3.87%/-0.39%，主要受益于检测业务占比提升。2025Q2公司研发费用0.60亿元，同环比+9.32%/+4.20%，彰显公司坚持创新驱动战略，积极跟进汽车行业技术进步。尽管2025Q2期间费用率16.78%，同环比+2.63pct/+0.24pct，主要受收入规模下降影响，但归母净利率仍达22.5%，同环比+1.69%/+2.45%。盈利预测与投资评级：考虑到L2国标落地会为公司带来较多业绩增量，我们维持公司2025-2027年的营收预测为54.7/70.0/83.9亿元，同比增速+17%/+28%/+20%；维持2025-2027年归母净利润为11.1/13.9/17.2亿元，同比增速+23%/+25%/+23%，对应PE 分别为17/14/11倍，维持“买入”评级。风险提示：智能电动汽车行业发展不及预期，法律法规限制自动驾驶发展，下游车企价格战超预期。,,东吴证券,买入,[None],2025-08-27,,买入,6355040,pdf_downloads/2025/2025-08-27/601965-中国汽研（601965）：2025 中报点评：传统检测业务收入略降，业绩略低预期.pdf,601965,中国汽研,中国汽研（601965）：2025 中报点评：传统检测业务收入略降，业绩略低预期,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 11.1,
            ""eps"": null,
            ""pe"": 17
        },
        {
            ""year"": 2026,
            ""net_profit"": 13.9,
            ""eps"": null,
            ""pe"": 14
        },
        {
            ""year"": 2027,
            ""net_profit"": 17.2,
            ""eps"": null,
            ""pe"": 11
        }
    ]
}",,,17.0,14.0,11.0,,,,,,,
