author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"刘威,沈唯","本报告导读：公司是三代制冷剂核心先锋，随着下游需求增长，三代制冷剂价格有望持续向上。
此外，公司还积极布局氟产业链上下游。投资要点：首次覆盖，“增持”评级。公司深耕氟化工领域，受益于制冷剂价格趋势上行，公司业绩有望持续向上。综合PE及PB估值，给予目标价79.10元，首次覆盖，“增持”评级。公司氟制冷剂业务为主要收入、毛利来源，配额占比较高。HFCs 制冷剂为目前我国正在发展的第三代主流制冷剂，主要用于空调、冰箱、汽车等设备制冷系统。根据《蒙特利尔议定书》基加利修正案，我国 HFCs 生产量和消费量已于2024年以2020-2022 年平均值为基础进行冻结，并于 2024 年对 HFCs 的生产和消费实行配额管理，将自2029年开始削减。根据生态环境部公示的 2025 年度HFCs 生产配额情况，公司HFC-134a、HFC-125、HFC-32、HFC-143a作为制冷剂用途的生产配额占全国生产配额的比例分别为23.97%、18.43%、11.81%、15.48%。需求维持增长叠加供给端受配额管理限制，三代制冷剂价格趋势向上。其中，R32市场均价自2023年初的13472元/吨上涨至2026年初的63000元/吨，涨幅高达368%，而汽车空调用R134a市场均价自2023年初的23500元/吨上涨至2026年初的58000元/吨，涨幅高达146.81%。公司在巩固原有氟化工产业基础上，积极完善上下游产业链一体化布局。2025年上半年，公司稳步推进各项目建设，福建东莹已建成的 1500 吨/年六氟磷酸锂产能处于试生产及技改阶段。浙江三美5000 吨/年聚全氟乙丙烯及 5000 吨/年聚偏氟乙烯项目、年智能分装3,500 万瓶罐制冷剂生产线及配套设施项目已完成主体工程，处于设备安装阶段。同时，公司稳步推进浙江三美的科创中心（办公大楼）、AHF 技改项目、催化剂项目、中试基地项目、环氧氯丙烷项目，重庆嘉利合氟化工一体化（一期）项目、甲烷氯化物及四氯乙烯技改项目等。风险提示。制冷剂配额管理政策变化风险；下游需求不及预期风险；替代品成本下降风险。",,国泰海通,增持,[None],2026-02-24,,买入,8437614,pdf_downloads/2026/2026-02-24/603379-三美股份（603379）：首次覆盖报告：制冷剂核心先锋，持续布局氟产业链.pdf,603379,三美股份,三美股份（603379）：首次覆盖报告：制冷剂核心先锋，持续布局氟产业链
"王亮,王海涛",事件：公司发布2025年三季报，期内实现营业收入44.29亿元，同比增长45.72%；实现归母净利润15.91亿元，同比增长183.66%。点评：公司第三季度业绩稳健增长。2025三季度，公司实现营业收入44.29亿元，同比增长45.72%；实现归母净利润15.91亿元，同比增长183.66%。其中，第三季度单季营收16.01亿元，同比增长60.29%；归母净利润5.96亿元，同比增长236.57%。第三季度公司单季利润创历史新高，主要受益于制冷剂行业高景气度影响，产销量价齐升给公司带来丰厚利润。公司主营的R32、R134a等制冷剂产品价格持续走高，以R32为代表的主流产品价格维持高位，目前市场价已突破6万元/吨，较2024年初的1.5万元/吨上涨约3倍。氟聚合物项目加速落地，新型制冷剂研发打开长期空间。公司持续推进产业链一体化布局，福建东莹六氟磷酸锂项目已进入试生产阶段，浙江三美聚全氟乙丙烯及聚偏氟乙烯项目主体工程完工，规划产能各5000吨，有望切入新能源电池粘结剂、光伏背板膜等高增长领域。此外，公司联合高校推进HFO系列发泡剂研发，瞄准HFCs削减后的替代市场，技术储备已覆盖混配制冷剂、含氟精细化学品等方向，为未来行业切换期抢占先机奠定基础。公司前三季度研发费用7895万元，同比增长39%，新增专利申请30余项，聚焦新型环保制冷剂及氟聚合物领域。投资建议：三美股份是国内制冷剂行业先进企业，在三代制冷剂领域具有规模优势，有望充分受益于制冷剂行业的高景气度。预计公司2025-2027年EPS为3.42/4.30/5.00元，维持“买入”评级。风险提示：原材料价格剧烈波动；需求下滑；项目进展不及预期。,,太平洋证券,买入,[None],2025-11-07,,买入,7575212,pdf_downloads/2025/2025-11-07/603379-三美股份（603379）：2025 年三季报点评：制冷剂高景气周期推动公司单季利润创历史新高.pdf,603379,三美股份,三美股份（603379）：2025 年三季报点评：制冷剂高景气周期推动公司单季利润创历史新高
翟绪丽,事件：公司发布2025年三季报，报告期内实现营业收入44.29亿元，同比+45.72%，实现归母净利润15.91亿元，同比+183.66%。其中第三季度实现营业收入16.01亿元，同比+60.29%，环比-0.88%，实现归母净利润5.96亿元，同比+236.57%，环比+0.37%，再创单季度历史新高。2025年前三季度氟制冷剂价格大幅上涨带动业绩大幅上涨。自2024年初开始，国家对三代制冷剂实施配额管理，行业竞争格局持续改善。在对配额政策的理性预期下，受供给端刚性约束以及需求端双重驱动，2025年前三季度制冷剂价格整体保持上涨，成本端窄幅波动，行业盈利能力持续提升。具体来看，2025年前三季度，公司氟制冷剂产量13.26万吨，同比+4.27%，外销量9.54万吨，同比-1.88%，外售均价39830元/吨，同比大幅上涨56.50%，实现营业收入38.00亿元，同比+53.56%。氟制冷剂价格大幅上涨带动公司整体业绩大幅增长，同时盈利能力大幅提升，2025年前三季度，公司整体毛利率为50.73%，同比提升22.45pct，整体净利率为35.67%，同比提升17.28pct。2024年作为三代制冷剂的配额元年，开启了新的景气周期，2025年至今延续了上行趋势。据百川盈孚，2025年第三季度，三代制冷剂R32/R134a/R125的均价分别为57851/50873/45500元/吨，同比分别为+59.99%/+59.09%/+46.06%，环比分别为+16.14%/+6.68%/+0.51%，延续上涨趋势。进入四季度，传统消费淡季效应因市场结构不断优化、企业生产配额全年统筹优化使用等而弱化，三代制冷剂价格仍处于上涨通道，10月29日，三种制冷剂的价格分别达到63000/54000/45500元/吨。公司作为制冷剂行业龙头之一，未来将充分受益于行业景气周期。2025年，公司拥有R22生产配额7826吨，国内占比5.25%；拥有R32生产配额33103吨，国内占比11.81%；拥有R134a生产配额49915吨，国内占比23.97%；拥有R125生产配额30825万吨，国内占比18.43%。未来公司将充分受益于制冷剂行业的景气周期。投资建议：我们预计公司2025-2027年归母净利润分别为20.49/24.60/28.93亿元，EPS 分别为 3.36/4.03/4.74元/股，对应 PE 分别为17/14/12倍，考虑公司作为国内制冷剂行业龙头，将充分受益于制冷剂行业的景气修复，维持“买入”评级。风险提示：上游原材料价格大涨；配额政策变化风险；下游需求不及预期；新建项目投产进度不及预期。,,首创证券,买入,[None],2025-10-30,,买入,7036640,pdf_downloads/2025/2025-10-30/603379-三美股份（603379）：制冷剂价格持续上涨，公司充分受益高景气周期.pdf,603379,三美股份,三美股份（603379）：制冷剂价格持续上涨，公司充分受益高景气周期
"金益腾,毕挥,李思佳","2025Q3利润增幅年内新高，制冷剂主升行情进行时，维持“买入”评级公司2025前三季度实现营收44.29亿元，同比+45.72%；实现归母净利润15.91亿元，同比+183.66%；毛利率达50.73%，同比+22.45 pcts；净利率达35.67%，同比+17.27 pcts。其中Q3单季度实现营收16.01亿元，同比+60.29%；实现归母净利润5.96亿元，同比+236.57%；毛利率达52.90%，同比+21.82 pcts，环比+1.3 pcts。受益于制冷剂价格超预期恢复性上涨，公司业绩持续高增，我们上调公司盈利预测，预计公司2025-2027年归母净利润23.63、33.66、39.33（前值20.80、26.08、29.72）亿元，EPS分别为3.87、5.51、6.44（前值3.41、4.27、4.87）元，当前股价对应PE为14.5、10.2、8.7倍。我们看好制冷剂景气趋势的延续，价格、盈利、估值提升空间依然较大，维持“买入”评级。制冷剂保持恢复性上涨态势，趋势仍在延续，当下确定性、空间弹性兼具公司2025前三季度氟制冷剂、氟发泡剂、氟化氢销量分别为9.54、0.65、5.01万吨，分别同比-1.9%、-10.5%、-1.8%；营收分别为38.00、1.56、4.18亿元，分别同比+53.6%、+28.2%、+6.7%；均价分别为39,830、23,896、8,330元/吨，分别同比+56.5%（+14,380元/吨）、+43.2%、+8.6%。公司Q3单季度氟制冷剂、氟发泡剂、氟化氢销量分别为3.34、0.22、1.77万吨；营收分别为13.81、0.59、1.41亿元；均价分别为41,297、26,286、7,981元/吨，其中氟制冷剂均价同比+55.6%（+14,765元/吨），环比+2.4%（+979元/吨）。 我们认为：HFCs制冷剂作为功能性制剂，“刚需消费品”属性与全球“特许经营”商业模式的“基因”逐步形成，其价格持续恢复性上涨、毛利恢复性上升，趋势或仍将延续。当下公司既具备确定性（估值低、趋势强），又具备较大向上空间（价格空间、估值弹性）双重特征，性价比显著。风险提示：安全生产风险，政策变化风险，终端消费不振。",,开源证券,买入,[None],2025-10-28,,买入,6902690,pdf_downloads/2025/2025-10-28/603379-三美股份（603379）：公司信息更新报告：Q3利润断层增长，制冷剂行情趋势延续，当下确定性、弹性空间兼具，主升正在进行中.pdf,603379,三美股份,三美股份（603379）：公司信息更新报告：Q3利润断层增长，制冷剂行情趋势延续，当下确定性、弹性空间兼具，主升正在进行中
"杨林,张歆钰",公司2025年前三季度归母净利润15.91亿元，同比大幅增长183.66%。2025年10月27日，公司发布《2025年第三季度报告》。根据公司公告，2025年前三季度公司实现营业收入44.29亿元，同比增长45.72%；实现归母净利润15.91亿元，同比增长183.66%；实现扣非后归母净利润为15.80亿元，同比增长188.06%；公司前三季度毛利率达50.7%，同比增长22.5pct；前三季度净利率达35.7%，同比增长17.3pct。其中第三季度单季实现营收16.01亿元，同比增长60.29%；实现归母净利润5.96亿元，同比增长236.57%，环比二季度（5.94亿元）略增，需求淡季下实现利润增长，体现出公司制冷剂产品价格增长的韧性；实现销售毛利率52.9%，同比增长21.8pct，环比增长1.3pct；实现销售净利率36.9%，同比增长19.4pct，环比增长0.4pct。公司业绩大幅增长的核心驱动力源于制冷剂业务的强劲表现：第三代制冷剂（HFCs）自2024年起实施配额制度，行业供给格局发生根本性变革，从过剩竞争转向供给受限，公司凭借领先的生产配额优势，充分享受行业景气上行红利。制冷剂均价逐季增长，盈利能力显著提升。2025年前三季度，公司氟制冷剂业务表现强劲，尽管销量同比有所下滑，但价格的强劲上涨成为业绩核心驱动力。2025年前三季度，公司氟制冷剂销量为9.54万吨，同比下降1.85%，但销售均价达到3.98万元/吨，同比大幅上涨56.50%。其中第三季度实现制冷剂销量3.34万吨，同比提升7.45%，环比下滑4.08%；第三季度实现制冷剂销售均价4.13万元/吨，同比提升55.65%，环比提升2.43%。在配额制度的刚性约束下，公司凭借行业领先的配额地位，特别是在R32、R134a、R125等主流产品上分别拥有11.8%、24.0%、18.4%的全国生产配额市场竞争优势明显，保障了公司在制冷剂高景气周期中的核心受益地位。2026年制冷剂配额总量设定与分配方案发布，看好制冷剂长期景气度。2025年10月24日，生态环境部正式印发《2026年度消耗臭氧层物质配额总量设定与分配方案》和《2026年度氢氟碳化物配额总量设定与分配方案》。二代制冷剂方面，2026年R22生产配额削减3000吨，R141b生产配额清零。三代制冷剂方面，在2025年度配额（含增发配额）基础上，增发3000吨R245fa，增发50吨，其他品种各生产单位可申请的生产配额与内用配额与2025年度永久性配额调整价增发后的配额相同；2026年三代制冷剂品种间可调整两次，合计不能超过该品种配额量的30%。虽然2026年R141b生产配额将清零，但公司正推进四代发泡剂的研发以应对R141b配额清零。积极延伸产业链，向氟聚合物、新能源材料等高附加值领域布局。公司在巩固氟化工主业的同时，稳步推进产业链一体化和高端化转型。2025年前三季度，公司多个重点项目建设取得积极进展：福建东莹年产1500吨六氟磷酸锂项目处于试生产及技改阶段；浙江三美5000吨/年聚全氟乙丙烯（FEP）、5000吨/年聚偏氟乙烯（PVDF）、年智能分装3500万瓶罐制冷剂项目已完成主体工程，进入设备安装阶段。此外，公司还在推进科创中心、催化剂项目、重庆嘉利合氟化工一体化项目等多个工程，为长远发展储备动能。同时，公司积极布局第四代制冷剂，积极切入新一代产品市场，为未来技术迭代和市场拓展奠定基础。风险提示：氟化工需求疲弱；项目投产进度不及预期；产品价格大幅下滑等。投资建议：维持盈利预测，维持“优于大市”评级。随着三代制冷剂产品供给侧结构性改革不断深化，行业竞争格局趋向集中，三代制冷剂有望保持长期的景气周期，公司作为行业领先企业将持续受益。未来，公司将积极布局新材料、新能源等业务领域，并通过子公司向氟化工下游高附加值领域延伸。2024年以来，公司制冷剂产品价格持续上涨，带动公司利润增长，2025年制冷剂价格将持续上涨，对应制冷剂板块毛利率水平快速上行，我们维持公司盈利预测：预计公司2025-2027年归母净利润分别为21.07/25.21/27.74亿元，同比增长170.6%/19.7%/10.0%；摊薄EPS为3.45/4.13/4.54元；对应当前股价对应PE为16.3/13.6/12.4X。维持“优于大市”评级。,,国信证券,优于大市,[None],2025-10-28,,买入,6892973,pdf_downloads/2025/2025-10-28/603379-三美股份（603379）：制冷剂价格逐季提升，需求淡季彰显经营韧性.pdf,603379,三美股份,三美股份（603379）：制冷剂价格逐季提升，需求淡季彰显经营韧性
"张玮航,许隽逸,黄楷",事件2025年前三季度公司实现营业收入44.29亿元，同比+45.72%；归母净利润15.91亿元，同比+183.66%；扣非归母净利润15.80亿元，同比+188.03%。2025Q3公司实现营业收入16.01亿元，同比+60.29%、环比-0.88%；归母净利润5.96亿元，同比+236.57%、环比+0.37%；扣非归母净利润5.94亿元，同比+240.40%、环比+0.59%。前三季度经营性净现金流达15.61亿元，创历史新高，同比+393.25%。氟制冷剂产销量同环比增长，氟发泡剂均价环比持续提升氟制冷剂方面，2025Q3，公司均价达到4.13万元/吨，分别实现产销量4.44、3.34万吨，分别同比+12.7%、+7.5%。受Q3传统淡季影响产销量环比下滑，氟制冷剂业务营收环比小幅-1.7%。前三季度，氟制冷剂销量合计9.54万吨（2025年公司R22/R142b生产配额分别为7826/614吨），三代制冷剂配额/销量按下游需求正常消化/释放；氟发泡剂方面，近年来我国R141b的淘汰进程持续快于《蒙特利尔议定书》对发展中国家的要求，2025年供给降速大于需求下滑，公司通过对受控品的精准运营，将政策性配额优势转化为持续的利润增厚，凸显出出色的周期驾驭与价值创造能力：2025年Q1至Q3，公司氟发泡剂均价分别达2.15、2.39、2.63万元/吨，其中Q3均价环比+10.2%、同比+54.6%，营收环比+16.2%、同比+57.6%。内在质量叠加核心竞争力提升，稳固氟制冷剂+发泡剂领军地位公司在氟化工景气上行周期中，凭借领先的配额规模优势、高效运营及产销协同能力，充分实现了毛利率与费用管控能力的同步优化、内在质量的提升；同时，经营性净现金流创历史新高、稳健的财务结构为公司未来进行战略投资、技术提升提供了坚实基础。我们长期看好公司持续稳固氟制冷剂+氟发泡剂行业领军地位。投资建议考虑到三季度淡季公司制冷剂销量环比有所下滑，我们预计公司2025-2027年营业收入分别为64.88/74.50/78.23亿元，同比增速分别为60.61%/14.82%/5.01%，归母净利润分别为22.08/27.14/30.06亿元，同比增速为183.58%/22.95%/10.76%，EPS分别为3.62/4.45/4.92元/股，3年CAGR为56.89%。看好公司持续把握行业发展新机遇，筑牢氟化工龙头地位，维持“买入”评级。风险提示：政策变动风险、市场风险、国际贸易风险、化工安全生产风险。,,国联民生证券,买入,[None],2025-10-28,,买入,7170586,pdf_downloads/2025/2025-10-28/603379-三美股份（603379）：归母净利增长184%，经营性净现金流创新高.pdf,603379,三美股份,三美股份（603379）：归母净利增长184%，经营性净现金流创新高
翟绪丽,事件：公司发布2025年中报，报告期内，公司实现营业收入28.28亿元，同比+38.58%，实现归母净利润9.95亿元，同比+159.22%。其中第二季度实现营业收入16.16亿元，同比+49.36%，环比+33.32%，创单季度历史新高，实现归母净利润5.94亿元，同比+158.98%，环比+48.33%，同样创单季度历史新高。2025H1氟制冷剂价格大幅上涨带动业绩大幅上涨。自2024年初开始，国家对三代制冷剂实施配额管理，行业竞争格局持续改善。在对配额政策的理性预期下，受供给端刚性约束以及需求端双重驱动，2025年上半年制冷剂价格整体保持上涨，成本端窄幅波动，行业盈利能力持续提升。具体来看，2025年上半年，公司氟制冷剂产量8.83万吨，同比+0.51%，外销量6.20万吨，同比-6.27%，外售均价39038元/吨，同比大幅上涨56.53%，实现营业收入24.19亿元，同比+46.59%。同时氟制冷剂营业成本下降5.30%，两者共同作用使得其毛利率大幅提升24.88pct至54.59%，盈利能力大幅提升，带动公司整体业绩大幅上涨。2024年作为三代制冷剂的配额元年，开启了新的景气周期，2025年至今延续了上行趋势。据百川盈孚，2025年第二季度，三代制冷剂R32/R134a/R125的均价分别为49811/47689/45270元/吨，同比分别为+49.63%/+52.41%/+8.35%，环比分别为+12.73%/+6.84%/+3.97%，延续上涨趋势。进入三季度，传统消费淡季效应因市场结构不断优化、企业生产配额全年统筹优化使用等而弱化，制冷剂价格仍处于上涨通道，9月1日，三种制冷剂的价格分别达到60000/51500/45500元/吨。公司作为制冷剂行业龙头之一，未来将充分受益于行业景气周期。2025年，公司拥有R22生产配额7826吨，国内占比5.25%；拥有R32生产配额33103吨，国内占比11.81%；拥有R134a生产配额49915吨，国内占比23.97%；拥有R125生产配额30825万吨，国内占比18.43%。未来公司将充分受益于制冷剂行业的景气周期。投资建议：基于上半年业绩，我们上调公司2025-2027年归母净利润分别为20.49/24.60/28.93亿元，EPS 分别为 3.36/4.03/4.74元/股，对应 PE 分别为19/15/13倍，考虑公司作为国内制冷剂行业龙头，将充分受益于制冷剂行业的景气修复，维持“买入”评级。风险提示：上游原材料价格大涨；配额政策变化风险；下游需求不及预期；新建项目投产进度不及预期。,,首创证券,买入,[None],2025-09-02,,买入,6390653,pdf_downloads/2025/2025-09-02/603379-三美股份（603379）：制冷剂价格持续上涨，公司业绩屡创新高.pdf,603379,三美股份,三美股份（603379）：制冷剂价格持续上涨，公司业绩屡创新高
"许隽逸,张玮航,黄楷",事件2025年上半年公司实现营业收入28.28亿元，同比+38.58%；归母净利润9.95亿元，同比+159.22%；扣非归母净利润9.86亿元，同比+163.61%。其中，2025Q2公司实现营业收入16.16亿元，同比+49.36%，环比+33.32%；归母净利润5.94亿元，同比+158.98%，环比+48.33%；扣非归母净利润5.90亿元，同比+168.64%，环比+49.15%。氟制冷剂持续处于景气上行通道中，均价同比高增带动业绩2025年，第二代氟制冷剂（HCFCs）生产配额进一步削减，第三代氟制冷剂（HFCs）继续实行生产配额管理，竞争格局持续优化，下游空调、汽车、冷链等需求快速增长，制冷剂整体市场价格持续上行。2025年上半年，公司氟制冷剂、氟发泡剂、氟化氢营收分别为24.19、0.98、2.76亿元，分别同比变化+46.71%、+15.33%、+1.80%；销售均价分别同比变化+56.53%、+36.87%、+11.79%；产量分别同比变化+0.51%、+11.69%、-4.00%，外销量分别同比变化-6.27%、-15.74%、-8.94%。积极完善一体化布局，液冷方案革新带来新亮点项目建设方面，2025上半年，福建东莹已建成的1500吨/年六氟磷酸锂产能处于试生产及技改阶段；浙江三美5000吨/年FEP及5000吨/年PVDF项目、年智能分装3500万瓶罐制冷剂生产线及配套设施项目已完成主体工程，处于设备安装阶段。此外近期全球液冷方案迎来革新机遇，双相冷板式液冷有望考虑采用R134a、R1233zd等液冷介质，中长期维度全球制冷剂需求前景仍然广阔；即将进入9月，汽车销售旺季有望季节性加持R134a需求。投资建议考虑到竞争格局持续优化，下游需求增长，市场价格稳步上行，我们预计公司2025-2027年营业收入分别为67.20/75.75/78.23亿元，同比增速分别为66.36%/12.71%/3.27%，归母净利润分别为23.44/27.90/30.60亿元，同比增速为201.14%/18.99%/9.68%，EPS分别为3.84/4.57/5.01元/股，3年CAGR为57.81%。看好公司持续把握行业发展新机遇，筑牢氟化工龙头地位，维持“买入”评级。风险提示：政策变动风险、市场风险、国际贸易风险、化工安全生产风险。,,国联民生证券,买入,[None],2025-08-26,,买入,6348313,pdf_downloads/2025/2025-08-26/603379-三美股份（603379）：制冷剂价格弹性推动业绩高增长，液冷方案革新带来新亮点.pdf,603379,三美股份,三美股份（603379）：制冷剂价格弹性推动业绩高增长，液冷方案革新带来新亮点
"杨林,张歆钰",制冷剂均价及利润率快速提升，公司2025年上半年归母净利润同比增长159%。2025年8月22日，公司发布2025年半年度报告。根据公司公告，2025年上半年，公司实现营业收入28.28亿元，同比增长38.58%；实现归属于上市公司股东的净利润9.95亿元，同比增长159.22%；实现归属于上市公司股东的扣除非经常性损益的净利润9.86亿元，同比增长163.61%。其中第二季度实现营收16.16亿元，同比增长49.36%；实现归母净利润5.94亿元，同比增长158.98%。业绩大幅增长的主要原因是，随着第二、三代氟制冷剂配额制度的持续实施，行业供需格局优化，公司核心产品氟制冷剂销售均价同比显著提升，盈利能力大幅增强。制冷剂均价逐季增长，盈利能力显著提升。2025年上半年，公司氟制冷剂业务表现强劲，尽管销量同比有所下滑，但价格的强劲上涨成为业绩核心驱动力。2025年上半年，公司氟制冷剂销量为6.20万吨，同比下降6.20%，但销售均价达到3.90万元/吨，同比大幅上涨56.53%。其中第二季度实现制冷剂销售均价4.03万元/吨，同比提升55.06%，环比提升7.82%。在配额制度的刚性约束下，公司凭借行业领先的配额地位，特别是在R32、R134a、R125等主流产品上分别拥有11.8%、24.0%、18.4%的全国生产配额，以及在发泡剂R141b拥有100%的生产配额，市场竞争优势明显，保障了公司在制冷剂高景气周期中的核心受益地位。2025年上半年，公司氟制冷剂毛利率提升至54.59%，带动公司整体毛利率提升至49.50%。主流制冷剂品种价格价差持续上行，看好制冷剂长期景气度。截至2025年8月23日，R22受益于高温旺季需求好转，低位货源已较为稀缺。为应对高价对出货的影响，厂家主动调整策略，增加小规格包装供应。此举降低了采购门槛，有效刺激了市场需求，持续高温对制冷剂消费形成有力支撑。叠加政策管控带来的供应约束，市场整体上行趋势未改，目前报价达4-4.05万元/吨；R32当前报价区间为5.9-6万元/吨，预计后续仍将上行；R134a得益于内贸配额消化，短期成交价稳定在5.0-5.1万元/吨，但后续企业报盘预期上涨；R125以内需自用为主，外贸市场相对平淡；R227ea受消防领域打假补库需求增加及自身开工不足的双重影响，市场供不应求，报价已至7.6万元/吨。积极延伸产业链，向氟聚合物、新能源材料等高附加值领域布局。公司在巩固氟化工主业的同时，稳步推进产业链一体化和高端化转型。2025年上半年，公司多个重点项目建设取得积极进展：福建东莹年产1500吨六氟磷酸锂项目处于试生产及技改阶段；浙江三美5000吨/年聚全氟乙丙烯（FEP）、5000吨/年聚偏氟乙烯（PVDF）、年智能分装3500万瓶罐制冷剂项目已完成主体工程，进入设备安装阶段。此外，公司还在推进科创中心、催化剂项目、重庆嘉利合氟化工一体化项目等多个工程，为长远发展储备动能。同时，公司积极布局第四代制冷剂，积极切入新一代产品市场，为未来技术迭代和市场拓展奠定基础。风险提示：氟化工需求疲弱；项目投产进度不及预期；产品价格大幅下滑等。投资建议：上调盈利预测，维持“优于大市”评级。随着三代制冷剂产品供给侧结构性改革不断深化，行业竞争格局趋向集中，三代制冷剂有望保持长期的景气周期，公司作为行业领先企业将持续受益。未来，公司将积极布局新材料、新能源等业务领域，并通过子公司向氟化工下游高附加值领域延伸。2024年以来，公司制冷剂产品价格持续上涨，带动公司利润增长，考虑到2025年制冷剂价格将持续上涨，对应制冷剂板块毛利率水平快速上行，我们谨慎上调公司盈利预测：预计公司2025-2027年归母净利润分别为21.07/25.21/27.74亿元（前值为15.98/18.44/19.59亿元），同比增长170.6%/19.7%/10.0%；摊薄EPS为3.45/4.13/4.54元；对应当前股价对应PE为16.0/13.3/12.1X。维持“优于大市”评级。,,国信证券,优于大市,[None],2025-08-23,,买入,6340414,pdf_downloads/2025/2025-08-23/603379-三美股份（603379）：制冷剂价格逐季提升，公司利润率快速增长.pdf,603379,三美股份,三美股份（603379）：制冷剂价格逐季提升，公司利润率快速增长
"金益腾,毕挥,李思佳","2025H1利润大幅增长创新高，制冷剂主升行情正在进行，维持“买入”评级公司2025H1年实现营收28.28亿元，同比+38.58%；实现归母净利润9.95亿元，同比+159.22%；毛利率达49.50%，同比+22.59 pcts；净利率达34.96%，同比+16.15 pcts。其中Q2单季度实现营收16.16亿元，同比+49.36%，环比+33.32%；实现归母净利润5.94亿元，同比+158.98%，环比+48.33%；毛利率达51.60%，同比+21.03 pcts，环比+4.9 pcts。受益于制冷剂价格恢复性上涨，公司业绩持续高增。我们维持公司盈利预测不变，预计公司2025-2027年归母净利润20.80、26.08、29.72亿元，EPS分别为3.41、4.27、4.87元，当前股价对应PE为16.2、12.9、11.3倍。我们看好制冷剂景气趋势的延续，维持“买入”评级。制冷剂行情保持恢复性上涨态势，趋势仍在延续公司2025H1氟制冷剂、氟发泡剂、氟化氢销量分别为6.20、0.43、3.24万吨；营收分别为24.19、0.98、2.76亿元；均价分别为39,038、22,662、8,522元/吨。其中氟制冷剂均价同比+56.53%（+14,098元/吨）。Q2单季度氟制冷剂、氟发泡剂、氟化氢销量分别为3.49、0.21、1.67万吨；营收分别为14.06、0.50、1.39亿元；均价分别为40,318、23,858、8,324元/吨。其中氟制冷剂均价同比+55.06%（+14,317元/吨），环比+7.82%（+2,926元/吨）。我们认为，公司制冷剂景气在2024年有所修复后，2025年保持良好态势，趋势未止，主升正在进行中。中期分红强化回报，各在建项目顺利进行公司发布2025半年度利润分配方案，拟向全体股东每10股派发现金红利3.20元（含税），不送红股，不以资本公积转增股本。截至2025年7月31日，公司总股本610,479,037股，以此计算合计拟派发现金红利195,353,291.84元（含税），占2025年半年度归属于上市公司股东净利润的比例为19.64%。同时，公司六氟磷酸锂、聚全氟乙丙烯、聚偏氟乙烯、制冷剂灌装线以及各类技改项目稳步推进。风险提示：安全生产风险，政策变化风险，终端消费不振。",,开源证券,买入,[None],2025-08-23,,买入,6340352,pdf_downloads/2025/2025-08-23/603379-三美股份（603379）：公司信息更新报告：2025H1利润大幅增长创历史新高，制冷剂行情保持恢复性上涨态势，主升正在进行中.pdf,603379,三美股份,三美股份（603379）：公司信息更新报告：2025H1利润大幅增长创历史新高，制冷剂行情保持恢复性上涨态势，主升正在进行中
