author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts
"苏晨,陈传红",报告摘要业绩符合预期，锂电材料高增。1）中国宝安：2021Q1-Q3营收122亿，同比+74.6%，主要由于子公司贝特瑞锂电材料业务高增。2021Q1-Q3归母净利润8.9亿，扣非归母净利润3.7亿，同比+408%。其中Q3营收41.6亿，同比+39.6%，归母净利润2.1亿，扣非归母净利润1.1亿，同比+514.7%。2）贝特瑞：2021Q1-Q3营收68.5亿，归母净利润10.9亿，Q3归母净利润3.6亿，扣非净利润3.06亿，业绩符合预期。1）负极材料一体化布局加速，静待产能投放。公司公告，贝特瑞拟与山西君东等投建“年产7万吨人造石墨一体化”项目（预计23年、24年分别投产4万吨、3万吨），此前已分别与京阳合作8万吨（预计22年、23年各投产4万吨）、福鞍控股合作10万吨（预计22年、23年分别投产5万吨），四川5万吨（预计22年投产2万吨，23年投产3万吨），合计共新增30万吨一体化产能，包括造粒、包覆、石墨化等工序，投产后成本有望大幅降低。2）正极材料迎来加速放量周期，有望贡献显著利润增量。贝特瑞高镍三元正极客户均为海外重点电池厂商，欧美电动化加速将推动贝特瑞高镍正极快速放量。目前贝特瑞现有高镍正极材料产能约3.3万吨/年，在建产能5万吨/年（权益产能2.5万吨），预计随产能逐步爬坡后，单吨盈利有望持续提升。贝特瑞在石墨化新工艺&amp;负极新材料保持行业领先，有望逐步兑现。在双控持续加码背景下石墨化高能耗扩产难度加大，石墨化新工艺大幅降低能耗，推广后有望获得扩产&amp;成本优势，贝特瑞在下代产品硅碳负极保持行业领先，具有较高的盈利能力，随高镍三元放量，搭配硅碳负极比例有望进一步提升，贝特瑞有望受益。投资建议：预计2021-2023年公司营收分别为146亿、204亿、277亿，同比分别+37.8%、+39.5%、+36.2%，我们维持盈利预测，预计21-23年归母净利润分别为10.13亿、15.6亿、23.8亿， EPS分别为0.39元、0.6元、0.92元，对应PE分别为50倍、32倍、21倍。维持“增持评级”。风险提示：新能源汽车补贴政策不及预期，新能源汽车销量不及预期，行业扩产加速导致价格低于预期的风险，行业测算偏差风险。公司产能扩产不及预期，负极产品价格低于预期。公司产能及销售测算偏差风险：针对公司锂电类业务的测算，基于一定前提假设，存在实际达不到，不及预期风险。部分业务亏损加大，资产整合进度不及预期风险。,,中泰证券,增持,[None],2021-10-25,,增持,4655267,pdf_downloads/2021/2021-10-25/000009-中国宝安（000009）：业绩符合预期，一体化布局再加码.pdf,9,中国宝安,中国宝安（000009）：业绩符合预期，一体化布局再加码,"{
    ""forecasts"": [
        {
            ""year"": 2021,
            ""net_profit"": 10.13,
            ""eps"": 0.39,
            ""pe"": 50
        },
        {
            ""year"": 2022,
            ""net_profit"": 15.6,
            ""eps"": 0.6,
            ""pe"": 32
        },
        {
            ""year"": 2023,
            ""net_profit"": 23.8,
            ""eps"": 0.92,
            ""pe"": 21
        }
    ]
}"
"苏晨,陈传红","老牌产业集团，治理优化有望踏上新征程。中国宝安覆盖以锂电材料、生物医药、房
地产为核心的三大业务板块。旗下贝特瑞为全球锂电材料负极龙头，正极业务稳健发
展。旗下马应龙、大佛药业主要经营药品制造业务。公司深耕房地产三十余年，“江南系
列”已形成一定的品牌影响力。粤民投入局中国宝安有望理顺公司治理，优化管理层架
构，激活员工积极性。凭借其强大的资源整合能力，有望对旗下产业进行新一轮梳理，
集中发力于锂电材料、医药核心业务，带动集团踏上新征程。锂电材料：负极+高镍正极双龙头，产能加速扩张。1）负极：一体化布局再添成本优
势，硅碳负极一马当先。贝特瑞立足天然石墨，负极出货量多年全球第一，人造石墨
后来居上，产业链一体化布局优势明显。贝特瑞在下一代材料——硅碳负极上布局保
持领先，已进入松下、三星供应链体系进行配套，实现硅碳负极规模量产的公司。此
外，贝特瑞逐步开启一体化布局，覆盖针状焦、石墨化两大核心成本因素，预计新产
线投产后，成本优势将进一步扩大。2）正极：贝特瑞正极核心产品包括 NCA、NCM8
11 等，目前已通过海外核心客户认证，产能稳步推进。公司核心客户是欧美电动化的
主要受益者，随美国电动化激励政策落地+欧洲持续加速渗透，预计贝特瑞正极业务将
迎来迅速增长期。医药&amp;房地产：1）医药：公司持有马应龙 29%股份，其为 400 年老牌药业，具有深厚
的品牌影响力。马应龙是肛肠业务的行业龙头，市占率近 50%，同时不断拓展大健康、
医疗诊断业务，2017-2020 年营收稳健增长，从 17.5 亿至 27.9 亿，2021Q1 公司营收
8.6 亿，同比+157%，归母净利润 1.17 亿，同比+7.2%，随新业务不断拓展，营收盈
利有望进一步增厚。2）房地产：受行业层面影响，公司房地产业务承压，公司积极调
整发展战略，逐渐剥离非核心资产带动资金快速回笼，2020 年处置港宝置业、湖北宝
安等股权，处置损益 5.1 亿改善公司资金状况，有利于公司加速向高科技产业集团积极
转型。投资建议：预计 2021-2023 年公司营收分别为 146 亿、204 亿、277 亿，同比分别+3
7.8%、+39.5%、+36.2%，归母净利润分别为 6.3 亿、12.56 亿、21.6 亿，同比分别4.7%、+99.2%、+72%，EPS 分别为 0.24 元、0.49 元、0.84 元，对应 PE 分别为 71
倍、36 倍、21 倍。利用分部估值，参考锂电、医药板块可比公司，给予锂电板块（贝
特瑞）81 倍、医药板块（马应龙）39.8 倍估值，对应 21 年公司市值为 737.2 亿。首
次覆盖，给予“增持评级”。风险提示：新能源汽车补贴政策不及预期，新能源汽车销量不及预期，行业扩产加速
导致价格低于预期的风险，行业测算偏差风险。公司产能扩产不及预期，负极产品价
格低于预期。公司产能及销售测算偏差风险：针对公司锂电类业务的测算，基于一定
前提假设，存在实际达不到，不及预期风险。部分业务亏损加大，资产整合进度不及
预期风险。",,中泰证券,增持,[None],2021-07-08,,增持,4553025,pdf_downloads/2021/2021-07-08/000009-中国宝安（000009）：公司治理有望优化，电池材料业务迎高增长期.pdf,9,中国宝安,中国宝安（000009）：公司治理有望优化，电池材料业务迎高增长期,"{
    ""forecasts"": [
        {
            ""year"": 2021,
            ""net_profit"": 6.3,
            ""eps"": 0.24,
            ""pe"": 71
        },
        {
            ""year"": 2022,
            ""net_profit"": 12.56,
            ""eps"": 0.49,
            ""pe"": 36
        },
        {
            ""year"": 2023,
            ""net_profit"": 21.6,
            ""eps"": 0.84,
            ""pe"": 21
        }
    ]
}"
,"事件:
    据中国宝安(000009.CH/人民币14.57, 未有评级)9月10日晚上的公告,公司控制子公司贝特瑞发明公开了一种超级电容器,要解决的技术问题是提高超级电容器的功率密度。该发明采用以下技术方案:一种超级电容器,设有正极和负极,负极由负极集流体与涂布于集流体上的负极混合材料组成,负极混合材料由负极活性物质、导电剂和粘结剂组成,所述负极活性物质是石墨烯,负极混合材料由 85-96wt%的石墨烯、2-10wt%的导电剂和 2-10wt%的粘结剂组成。该发明与现有技术相比,采用具有高比表面积、高导电性的石墨烯材料作为电极活性物质,由此制得的超级电容器具有高能量、比容量≥150F g-1、大于30,000次的长循环寿命的特点。
    点评:
    1. 通过我们的测算,该类型超级电容器具有超过 40wh/kg 能量密度的性能,也就是说其储能能力已达到铅酸电池水平。目前常见的超级电容器质量能力密度在 20wh/kg 以内,而贝特瑞本次公告的产品性能远好于行业水平,由于超级电容器在充放电速度和使用寿命等方面有非常优秀的性能表现,贝特瑞在该领域的技术突破这将加快超级电容器在新能源汽车等终端领域应用的速度。
    2. 公司自 2012年以来,公告了多项关于石墨烯的专利。公司石墨烯产品主要应用于电极材料领域,之前的公告主要展示了公司在石墨烯材料本身的一些技术突破,而本次公告则表明公司通过石墨烯已能够开发出新能源优异的终端产品,我们认为这展现了贝特瑞在石墨烯领域已从上游原材料加工到终端产品生产实现技术布局,这将为公司在石墨烯产业中形成强大的竞争力奠定基础。
    3. 据 9月 10日中国宝安公告的贝特瑞审计报告,公司 2014年~2015年收入预计将达到 12.65亿和15.69亿,净利润预计将达到 1.27亿元和 1.61亿元,收入增速为 35.9%、24.1%,净利润增速为 35.9%、27.3%。贝特瑞作为中国宝安高新技术业务板块中的核心资产,在保持公司在全球锂电池负极材料天然石墨市场龙头地位的同时,发力人造石墨产品,新的业务线有望成为公司营业收入和盈利新的增长点,从而继续提升高新技术业务在中国宝安公司业务结构中的地位,为企业顺利实现转型保驾护航。
    4. 据中国宝安 2014年 6月的公告,公司在公司章程中明确指出公司未来将聚焦高新技术产业。我们之前分析过公司在资产负债结构和现金流量的状况,我们认为公司未来的转型大概率的将通过资产结构的调整来实现,那么公司持续的资产变化将为公司带来投资机会。
    5. 目前我们对该股未有评级,但重点推荐关注中国宝安。",,中银国际,,[None],2014-10-16,,,822036,pdf_downloads/2014/2014-10-16/000009-璞玉共精金*公司*中国宝安(000009)子公司贝特瑞公告超级电容器专利 通过领先技术展示公司强健肌肉.pdf,9,中国宝安,璞玉共精金*公司*中国宝安(000009)子公司贝特瑞公告超级电容器专利 通过领先技术展示公司强健肌肉,"{
  ""forecasts"": [
    {
      ""year"": 2014,
      ""net_profit"": 1.27,
      ""eps"": null,
      ""pe"": null
    },
    {
      ""year"": 2015,
      ""net_profit"": 1.61,
      ""eps"": null,
      ""pe"": null
    }
  ]
}"
"石磊,陈慎","2011年一季度业绩概述：公司2011年一季度营业收入6.59亿元，同比下降24.99%；营业利润1.75亿元，同比增长4.55%；归属母公司净利润为1.03亿元，同比增长26.47%，每股收益0.09元。

    业绩提升源于投资收益增长和所得税率下降。公司一季度营业收入同比下降25%,毛利率与去年同期基本持平，期间费用率同比提升5个百分点至24.2%，本期依然实现净利润增长主要源于一季度公司获得了8364万元的投资收益，同比增加9655%，主要系公司子公司出售已解禁的鼎汉技术股份以及对深鸿基的投资收益增加所致。另外公司一季度所得税率仅为15.6%，同比下降约11个百分点，进一步拓宽了利润空间。

    销售同比下降。公司一季度销售商品及提供劳务收到的现金为7.04 亿元，同比下降41.53%，总体销售情况较去年同期下降，同时由于旗下房地产公司支付的土地保证金增加，导致公司经营性净现金流为-2.38 亿元，同比减少180.48%。销售的下降也为公司全年的业绩蒙上一定不确定性，公司一季度末预收款项为7.82 亿元，较年初仅增加约6000 万元。

    财务杠杆良好。截至一季度末公司账面现金为14.86亿元，账面现金/（短期借款+一年内到期非流动负债）为1.6，与年初持平，速动比率为0.98，较年初增加0.12，短期来看支付能力较高。扣除预收款项后的真实负债率为53.64%，较年初下降约2 个百分点，长期财务结构较行业同类公司并不高。

    无新增项目，出售上海物业回笼资金。公司一季度并无新增项目储备，但对其持有的物业作出了调整。公司4月份以3.64 亿元出售了旗下上海宝安企业、宝安大酒店及宝安物业三家公司（宝安大厦裙楼、写字楼、宝安大酒店总共可售面积约4.32 万平米），再加上该三家公司所欠4.46 亿元欠款，总共可回笼8.1 亿元，产生约2 亿元的收益。公司表示此举主要是为了盘活存量低效资产，改善财务杠杆。

    石墨资源基本确定。公司的高新技术产业一直颇受资本市场关注，一季度主要有两个信息较为重要：1、贝特瑞新产品石墨烯通过小试，正在进行中试；2、鸡西市柳毛地区的石墨矿资源基本确定为鸡西市柳毛郎家沟公司基本情况（2011 年3 月31 日止）主要财务指标（单位：百万元）矿段和柳毛站前矿段，其中站前矿段有采矿证，郎家沟矿段的采矿证正在办理之中，估计两个矿段的石墨矿石储量有5000 万吨以上。目前石墨烯依然遥不可及，而上游石墨矿的落实对于公司的新能源产业有着较为实际及深远的影响，公司旗下新能源业务主要平台贝特瑞公司对石墨矿的需求较大（负极材料、石墨深加工），目前所使用石墨原材料主要来源于采购，未来若能顺利实现上游资源的自给，将较好地优化其成本结构。公司石墨矿石资源若按照我国晶状天然石墨7.5%的品位，以及-195 鳞状石墨3000 元/吨的价格计算，价值约在112 亿元左右（该计算方法存在较多假设，且未考虑公司所占权益，一切以公司公告的确切数据为准）。

    股权激励已授予完成。公司于2010 年11 月份启动股权激励草案，拟向195 位激励对象以14.60 元的行权价格授予不超过7500 万份的股票期权，目前股票期权已于2 月18 日授予完成。激励草案行权条件ROE 最高为8%，净利润每年同比增长速度要保持在20%以上，公司2007 年以来ROE 一直保持在10%以上，我们认为ROE指标的完成难度不大，而业绩增速在传统业务保持稳定的前提下，高新技术业的高增长是公司未来实现顺利行权的最大看点。

    创投业务再结硕果。公司旗下中国风投公司（49.56%）投资的铁汉生态（300197）于3 月29 日深市上市，首发市盈率达110 倍。目前公司创投业务已协助多个公司完成IPO，收益颇丰。未来创投业务还将受益于“新三板扩容”带来的更多政策、资金支持、退出渠道的拓宽、上市进程加快等利好。

    盈利预测及投资评级。我们预计公司2011-2012 年可分别实现每股收益0.36 元和0.40 元，以昨日收盘价18.39 元计算，对应的动态市盈率分别为52 倍和47 倍，公司题材众多，涉及新能源及医药等多个高成长产业，且可能有子公司分拆上市，维持“增持”评级。

    风险提示：大盘系统性风险和房地产调控政策风险；项目销售和开发进度可能不达预期；公司矿产资源目前仍在协调之中，交易价格和交易方式尚未明确，且公司无法确定能否取得相关矿产",,天相投顾,增持,[None],2011-04-28,,增持,538612,pdf_downloads/2011/2011-04-28/000009-中国宝安(000009)：一季度减收增利源于投资收益增加.pdf,9,中国宝安,中国宝安(000009)：一季度减收增利源于投资收益增加,"{
    ""forecasts"": [
        {
            ""year"": 2011,
            ""net_profit"": null,
            ""eps"": 0.36,
            ""pe"": 52
        },
        {
            ""year"": 2012,
            ""net_profit"": null,
            ""eps"": 0.40,
            ""pe"": 47
        }
    ]
}"
"石磊,陈慎","2010 年业绩概述：公司实现营业收入32.17 亿元，同比减少1.61%；营业利润5.24 亿元，同比增加4.9%，实现归属母公司所有者净利润3.25 亿元，同比增长28.41%。实现每股收益0.30 元。分配预案为每10 股派分0.2 元。净利润的提升主要原因为非经常性损益增加：报告期内公司追回深信泰丰代偿款以及处置长期股权投资导致营业外收入和投资收益同比增加。

    房地产业务收入下降。2010 年公司主要结算项目有海口“宝安·江南城”三期、海口“宝安·滨海豪庭”、万宁“宝安·椰林湾”一期、惠州“宝安·山水江南”一期等项目，共实现房地产业务营业收入11.88 亿元，同比下降29.64%，毛利率为39.13%，同比上升8 个百分点，收入下降、毛利提升的原因主要在于调控下公司房地产项目销售情况下降，但是所售项目多位于海南，受益于2010 年年初海南房地产市场的景气且品质较为高端所致。公司目前在建拟建权益项目储备建面共约480 万平方米，持有物业建面约24 万平方米，另外还拥有武汉、鄂州、红安等风景区的经营权，具有较高开发价值和可持续经营能力，但在2011 年楼市调控政策持续压制的情况下，公司房地产业务增长前景有限。

    高新技术业务发展势头迅猛。2010 年公司高新技术产业实现4.7 亿元，同比增加61.57%，近三年的增长速度保持在50%以上，毛利率为39.56%，同比上升13 个百分点，其中主要为集团控股的深圳贝特瑞公司（51.91%）贡献，2010 年贝特瑞在出口业务的带动下销售收入突破4 亿元，同比增长40%以上，为10 年来最好业绩。关于贝特瑞需要关注以下几点：1、公司位于黑龙江鸡西的石墨产业园于今年正式投产，为公司产能扩张提供基础；2、对于产业上游资源的控制。公司目前在鹤岗探索石墨矿，如能实现矿产自给，将会对公司产生十分积极的影响 ；3、新产品产业化进程。公司的革命性产品石墨烯已经完成小试，正在进行中试；4、公司具备分拆上市的预期。另外公司2010 年分别投资控股了宁波拜特、大地和、新疆鹏远等公司，完善了新能源产业链，我们认为在国家战略性新兴产业政策扶持下，未来公司高新技术产业的高速增长势头仍能持续。

    风险提示：大盘系统性风险和房地产调控政策风险；项目销售和开发进度可能不达预期。",,天相投顾,增持,[None],2011-03-23,上调评级,增持,570383,pdf_downloads/2011/2011-03-23/000009-中国宝安(000009)：高新技术和生物医药为成长主要驱动力.pdf,9,中国宝安,中国宝安(000009)：高新技术和生物医药为成长主要驱动力,"{
    ""forecasts"": [
        {
            ""year"": null,
            ""net_profit"": 3.25,
            ""eps"": 0.30,
            ""pe"": null
        }
    ]
}"
,"事件

    我们于2 月16 日赴中国宝安总部进行调研。

    投资要点

    临时股东大会审议公司股权激励方案获得通过。方案向激励对象授予不超过7500 万份股票期权，行权价格为14.60 元。方案跨度从2011 年-2015 年，时效长且行权条件高。如果所有期权都能顺利行权，则在未来5 年有望为公司带来约11 亿的筹资资金。既能满足公司对于资金的需求，又能达到公司对员工的激励效果。

    公司介绍说石墨烯的研制开始于四年前，由专门的技术团队进行研发，拥有独立自主的知识产权。虽然目前已进入中试阶段，现在离石墨烯的投产和推广应用还有很长一段距离。石墨烯要产生效益也需要社会的产业配套、设备工艺等多方面的条件支持。石墨烯的发展前景广阔是可以确定的。

    高新科技是公司未来发展的重点，特别是新材料领域。公司希望不断提高高新科技业务对业绩的贡献。11年主要以加强销售和管理，加强研发新产品为主，同时继续完善产业链。

    公司会继续加快非核心资产的处理进程，希望获得更多的流动资金以满足主营业务的需求。目前资产清理推进仍然存在不少困难。

    公司控股的深鸿基有望成为集团的地产业务平台。至于宝安集团的地产项目资产是否会注入到深鸿基中目前未有时间表。

    根据股权激励方案，第一个行权期的行权条件是11年加权平均净资产收益率不低于6%，扣除非经常损益后净利润比考核基数（09 和10 年扣除非经常损益的净利润的平均值）增长不低于20%。估计公司有能力达到该目标。在不考虑股本增加的前提下，预计10-12 年的EPS 分别为0.38、0.57 和0.88 元/股，维持“强烈推荐”评级。",,广州证券,强烈推荐,[None],2011-02-22,,买入,698195,pdf_downloads/2011/2011-02-22/000009-中国宝安(000009)：发力高科技，股权激励助推业绩持续增长.pdf,9,中国宝安,中国宝安(000009)：发力高科技，股权激励助推业绩持续增长,"{
  ""forecasts"": [
    {
      ""year"": 2010,
      ""net_profit"": null,
      ""eps"": 0.38,
      ""pe"": null
    },
    {
      ""year"": 2011,
      ""net_profit"": null,
      ""eps"": 0.57,
      ""pe"": null
    },
    {
      ""year"": 2012,
      ""net_profit"": null,
      ""eps"": 0.88,
      ""pe"": null
    }
  ]
}"
王艺默,"事件

    近日我们参加了中国宝安公司在深圳召开的股东大会，会议期间总裁陈政立等高管就公司经营现状，以及未来发展规划等问题与投资者进行了交流。

    会议要点

    管理层控股较低问题

    公司大股东一直以来没有增持过股权，使得宝安公司股权较为分散。本次股东大会通过的7500万股股权激励也仅占公司股本的6.88%。对于公司领导团队控股较低的问题，公司高管表示，增持股权还需量力而行，长期以来公司面临现金不足的问题，高管没有足够的资金来增持股权。2010年公司购买椰岛的资金也是通过银行贷款解决的，所以公司高管只有在现金充裕的情况下才会考虑增持股份一事。

    石墨烯产量以及时间表

    大概是四年前，公司总经理看到关于石墨烯的资料，由于公司主营产品中有石墨这一品种，因此要求研发团队进一步开发研究，现在是深圳贝特瑞的纳米子公司进行研发。目前已完成石墨烯制备工艺的小试，正在进行中试，并已提交了该产品相关技术的发明专利申请一项，还没有具体的产量时间表。石墨烯的需要主要还是靠下游驱动，从实验到量产不是短期之内可以看到的，但是对其未来发展前景还是非常乐观的。",,信达证券,买入,[None],2011-02-21,,买入,698022,pdf_downloads/2011/2011-02-21/000009-中国宝安(000009)：石墨烯让股价飞.pdf,9,中国宝安,中国宝安(000009)：石墨烯让股价飞,"{
    ""forecasts"": [
        {
            ""year"": null,
            ""net_profit"": null,
            ""eps"": null,
            ""pe"": null
        }
    ]
}"
黄鹤,"公司主营业务包括房地产、新能源、医药三个部分。其中房地产是主要利润来源，而新能源正逐步从小而强向大而全转变，是公司业务新的利润增长点。生物医药业务如马应龙具有相当的品牌效应。

    1、地产主业稳扎稳打

    今年新设了三家房地产公司，其中两家位于环渤海地区的天津和山东，环渤海地区发展潜力大，还有一家新设公司位于新疆，具备长远的开发价值。

    2、负极材料稳坐江山

    贝特瑞BTR负极材料行业市场占有率中国排名第一，BTR 是我国锂离子电池石墨类负极材料国家标准制定单位，属于行业龙头。公司其它新能源业务发展也具有一定潜力。

    3、马应龙药业稳获利润

    公司持有上市公司马应龙的股权，马应龙药业正逐步推广八宝眼霜，向药妆领域扩展，医药行业受经济周期影响较小，经营业绩稳定增长。

    4、前三季度营业收入21.76 亿元，同比减少5.28%；实现归属于母公司所有者的净利润2.53 亿元，同比增长31.09%，每股收益 0.23元。其中第三季度实现营业收入5.50 亿元，同比增长2.29%，归属于母公司净利润0.59亿元，同比增长60.0%。

    5、预计10、11年EPS为0.38、0.61元，其中10年地产贡献EPS 0.25元。公司经营稳健，题材众多，首次给予增持评级。",,大通证券,增持,[None],2010-12-29,,增持,694568,pdf_downloads/2010/2010-12-29/000009-中国宝安(000009)：三角形的结构最稳.pdf,9,中国宝安,中国宝安(000009)：三角形的结构最稳,"{
  ""forecasts"": [
    {
      ""year"": 2010,
      ""net_profit"": null,
      ""eps"": 0.38,
      ""pe"": null
    },
    {
      ""year"": 2011,
      ""net_profit"": null,
      ""eps"": 0.61,
      ""pe"": null
    }
  ]
}"
王立,"事件：

    公司发布2010年半年度报告，报告期内，集团共实现营业收入16.26亿元，比上年同期减少7.59%；实现净利润1.89亿元，比上年同期增长21.48%。

    评论：

    积极因素：

&#61656;  财务方面，公司新能源业务领域，控股62.3%的贝特瑞销售收入同比增长47%，净利润同比增长48%；控股52.26%的宁波拜特销售收入同比增长119%，净利润同比增长176%。公司生物医药业务领域，控股的马应龙药业实现主营业务5.69亿元，同比增长9.4%，实现经营性净利润8433万元，同比增长29.8%。

&#61656;  新能源技术方面，报告期内，贝特瑞申请了11项国内发明专利和2项国际发明专利，获得了5项国内发明专利。在锂电池材料技术之外，公司向产业链下游延伸，控股了宁波拜特和大地和两家公司。形成了“电池正负极材料—电池集成—电机—充电”一整套较为完整的产业链布局。

&#61656;  医药市场方面，报告期内，统筹推进基本药物目录、医保目录、社区目录、新农合目录工作及招投标工作，均以合理价位中标。在已公布医保目录的省份中，马痔栓和龙珠软膏均进入地方目录，同时，公司还大力推广八宝眼霜，开拓药妆市场。大佛药业在巩固达芬霖高端市场基础的同时，加强中低端市场开发，提高产品覆盖，销售收入大幅增长。

    消极因素：

&#61656;  公司房地产业务受房地产调控和结算时间的影响，报告期内营业收入同比下降27.96%，但毛利率大幅提升了15.86个百分点，达到44.68%。

&#61656;  由于上半年证券市场表现不佳，集团证券投资出现亏损。",,东兴证券,推荐,[None],2010-08-18,,增持,685274,pdf_downloads/2010/2010-08-18/000009-中国宝安(000009)2010年半年报点评：新能源业务快速发展，距离三足鼎立仍有差距.pdf,9,中国宝安,中国宝安(000009)2010年半年报点评：新能源业务快速发展，距离三足鼎立仍有差距,"{
  ""forecasts"": [
    {
      ""year"": null,
      ""net_profit"": null,
      ""eps"": null,
      ""pe"": null
    }
  ]
}"
,"一季度业绩概述：公司一季度实现营业收入8.79 亿元，同比增长0.88%；营业利润1.67 亿元，同比增长24.16%；归属母公司净利润0.82 亿元，同比增长25.15%。实现每股收益0.075 元。

    主营业务概述：公司业务涉及房地产、生物医药、高新技术等领域。其中，生物医药方面，公司持有约30%的马应龙股份，对应市值约20 亿元；此外还持有大佛药业等公司股权。高新技术方面，公司主要持有生产锂电池负极材料的贝特瑞，生产三元正极材料的天骄科技等，2010 年产能有望大幅提高。各项业务成长潜力较好。房地产业务方面，公司项目分布于海口、武汉及深圳、惠州。此外，公司还将开拓山东、新疆等地区的房地产市场。由于现有项目取得时间较早，其楼面地价相对较低。随着2009 年房价的上涨，尤其是海南房价的上升，公司未来毛利率提升空间较大。报告期末，公司预收款为7.53 亿元，比期初增加47.93%，主要为房地产销售增加。

    创投业务成为未来看点：2009 年11 月，公司对中国风险投资有限公司进行增资，出资比例提高至50.97%，成为控股股东。该公司参股的鼎汉技术和鼎龙股份先后在创业板上市，参股的皇氏乳业在中小板上市。公司持有天骄科技75%的股权，持有贝瑞特54.76%的股权，不排除公司将子公司分拆上市的可能。

    盈利预测和评级：预计公司2010-2011 年可分别实现每股收益0.41 元和0.54 元，以4 月29 日的收盘价11.30 元计算，对应的动态市盈率分别为28 倍和21 倍。因估值吸引力不大，维持 “中性”投资评级。但公司涉及海南、武汉等区域，以及新能源、生物医药、创投等概念，若分拆子公司上市，则带来交易型机会。",,天相投顾,中性,[None],2010-04-30,,中性,675563,pdf_downloads/2010/2010-04-30/000009-中国宝安(000009)：房地产销售情况良好.pdf,9,中国宝安,中国宝安(000009)：房地产销售情况良好,"{
    ""forecasts"": [
        {
            ""year"": 2010,
            ""net_profit"": null,
            ""eps"": 0.41,
            ""pe"": 28
        },
        {
            ""year"": 2011,
            ""net_profit"": null,
            ""eps"": 0.54,
            ""pe"": 21
        }
    ]
}"
