author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
闻宏伟,春节动销开门红，一季度增长有望超预期。节前经营布局：1）通过渠道下沉网点到村镇、2）增派临时导购推销礼盒、3）在网吧、洗浴中心等渠道投放。在出行稳步增长及天气晴热催化下，春节动销表现较好：2026年1-2月核心单品能量饮料增长约20%，第二曲线“补水啦”同比高增。春节期间旗下椰汁品牌“海岛椰”礼盒热销，同比增300%。在25Q1的高基数上，我们预计26Q1收入有望实现30%左右的增长。出海战略加速落成，H股上市+进军东南亚市场。公司国际化战略迈出关键一步，于2026年2月3日在港交所完成H股上市，募集净额约100亿港元，计划用于海外供应链建设、渠道开拓和品牌推广。与印尼三林集团合资成立印尼东鹏维生素功能饮料公司，借助其在当地成熟的渠道网络（三林集团拥有超1.1万家小型商超），并在越南、马来西亚等地组建本土团队加速布局人口结构年轻、能量饮料需求旺盛的东南亚市场。短期“糖税”传闻扰动无碍长期价值，渠道产品双轮驱动成长。2月因市场传闻对含糖饮料加征更高税率，引发股价短期回调，我们认为该政策短期内难以落地，待市场情绪修复，前期回调或提供较好的投资窗口。渠道运营持续扩充优化，通过1）冰柜投放提速：26年计划投放冰柜12-20万台（现40万台），目标3-5年内达到100万台；2）数字化赋能：依托行业领先的“五码合一”数字化系统，实现对渠道库存及终端动销的实时透视，以数据驱动精准铺货与费效优化，运营效率持续提升。平台化布局键入佳境：能量饮料持续纵向创新迭代、仍具有较大增长空间；横向快速孵化新品类，第二曲线电解质饮料继续推广、维持高增。通过扩充规格匹配多场景，果茶推出大包装新规格进军餐饮渠道，椰汁礼盒市场反响佳，奶茶及焙茶新品具性价比优势、口味差异化，矩阵日益丰富。盈利预测与投资建议：据公司公告，25年收入/归母扣非净利预增31-33%/26-33%。我们预计因新品毛利率爬坡+天津新厂投产满足北方市场需求+PET及白砂糖成本下降，2026年利润增速快于收入。我们预计公司2025-2027年营业收入分别为209.9/ 260.5/309.4亿元，同比增长32.5%/24.1%/18.7%（原：31.8%/ 21.6%/18.2%）；归母净利润为 46/58.9/70.9亿元，同比增长38%/27.9%/20.3%（原：37.4%/26.2%/19.4%）；EPS分别为8.9/ 11.3/13.6元（原：8.8/11.1/13.2元）。参考可比公司估值，维持26年30x PE，目标价为340元（原：333元），维持“优于大市”评级。风险提示：行业竞争激烈、原材料价格上行。,,海通国际证券,优于大市,[None],2026-03-06,,买入,8485575,pdf_downloads/2026/2026-03-06/605499-东鹏饮料（605499）：跟踪报告：Q1收入增长有望超预期，短期“糖税”传闻扰动无碍长期逻辑.pdf,605499,东鹏饮料,东鹏饮料（605499）：跟踪报告：Q1收入增长有望超预期，短期“糖税”传闻扰动无碍长期逻辑
刘光意,研究缘起：迈向平台型公司，当前再迎布局时点。东鹏饮料正逐渐从大单品型公司成长为平台型饮料巨头，能量饮料持续性与新品扩张节奏成为影响业绩与股价的核心因素。2025H2，能量饮料增速波动叠加净利率改善幅度放缓导致公司迎来阶段性调整。当前时点来看，我们认为公司基本面已有较多积极因素累积，股价具备较强安全边际，重申对公司的推荐逻辑。能量饮料：短期增速企稳改善，长期仍有增量空间。1）短期来看，根据终端动销监测数据，25Q4公司能量饮料业务增速已有企稳改善迹象，我们判断2026年企稳趋势有望延续，主要得益于基数逐渐走低，公司加大冰柜投放力度有望提振单点卖力，以及开启新一轮组织架构变革提振终端动销。2）长期来看，我们认为公司能量饮料主业仍有较大增长空间，一方面省外市场核心人群平均消费量对标广东仍有较大增长潜力，模型测算公司能量饮料远期收入空间约250亿元以上；另一方面核心消费人群仍在扩容，根据QuestMobile监测数据， “新蓝领”人数25H1已增至约7000万人，并且25H2仍保持快速增长趋势。潜力新品：看好奶茶与焙好茶，关注3-5月动销催化。1）奶茶新品，性价比优势明显（3.5~4元/500ml），主打港式与低糖特色，与阿萨姆等主流大单品形成差异化；考虑到公司产品力与渠道力具备优势，叠加奶茶行业竞争格局或形成利好催化，我们判断公司奶茶新品有望实现快速增长；从节奏来看，奶茶2025年11月在部分区域网点上市，目前初步动销反馈较好，3~5月铺货速度加快后有望推动收入加速增长。2）焙好茶新品，同样性价比优势明显（3元/500ml），口味具备差异化（焙茶工艺+特色茶种），相较于三得利乌龙茶等具备竞争优势；我们认为当前无糖茶行业仍属于增量市场，公司有望凭借产品与渠道优势享受品类增量红利，在高线市场实现份额提升，在下沉市场抢占增量；从节奏来看，焙好茶新品2026年1月已开始铺货，可关注3月之后动销表现。毛利率：内部与外部等多个因素共振下仍有提升空间。1）成本红利：白糖和瓶胚为二大核心原材料（成本占比约50%），预计二者价格2026年延续下行趋势，有望推动公司毛利率提升0.5~1pct；2）新品毛利率爬坡：预计未来补水啦与果之茶收入快速放量，规模效应下单品毛利率持续爬坡，根据我们的敏感性模型分析，有望推动公司毛利率提升0.1~0.4pct。3）运输半径优化：2026年公司天津基地投产，按照规划将满足北方市场产能需求，可通过缩短运输半径降低运输成本，我们保守测算将推动公司毛利率提升0.4pct。综上所述，内外部多因素共振下有望推动公司毛利率提升1~2pct。投资建议：预计2025~2027年收入分别同比+33%/28%/22%，归母净利润分别同比+37%/30%/23%，当前股价对应PE分别为33/25/20X。我们认为公司能量饮料主业增速短期企稳改善，奶茶与无糖茶新品亦有望在旺季形成催化，当前估值具备一定安全边际、低于可比公司平均水平，维持“推荐”评级。风险提示：行业竞争进一步加剧的风险；新品旺季表现不及预期的风险；食品安全风险。,,银河证券,推荐,[None],2026-02-24,,买入,8437303,pdf_downloads/2026/2026-02-24/605499-东鹏饮料（605499）：动态更新报告：迈向平台型公司，再迎布局时点.pdf,605499,东鹏饮料,东鹏饮料（605499）：动态更新报告：迈向平台型公司，再迎布局时点
"张潇倩,杜宛泽,隋牧含",一句话逻辑：公司是国内能量饮料龙头，特饮稳增长+新品类放量+渠道深化驱动单点卖力提升，叠加规模化优势及成本优化，有望驱动公司业绩超预期。超预期的点：市场认为：公司特饮产品高基数下面对红牛等竞争对手的资源投入下增速可能趋缓；同时第二大单品补水啦行业竞争加剧，后续新品发展存在较大不确定性。我们认为：核心单品特饮省内持续下沉，省外空间仍存，26年预计保持15%-20%左右增长；补水啦行业天花板提高，公司凭借高性价比和品牌先发优势以及较强渠道执行力进一步巩固行业地位，26年仍是重要的品类增长抓手；新品类蓄势待发，伴随公司单点卖力提升及渠道进一步深化，驱动后续业绩超预期。驱动因素如下：1、单点卖力的提升驱动渠道全品类增长，主要抓手在于高覆盖网络+高周转模型：1）公司当前430万销售网络仍在持续扩张，26年省外网点有望持续扩张，省内继续下沉，为规模增长打下良好基础；2）在渠道深化方面依托冰柜的持续投放和陈列优化提升单点卖力；3）多品类SKU的补充进一步提升单点效率；4）依托“一元乐享”等促销为终端赋能，提振购买频次和产品曝光度；5）数字化供应链体系维系终端高周转，带来更好的动销，促进终端网点的单点销售。2、能量饮料景气度仍存，25-29年市场规模CAGR在10%以上，而东鹏的高性价比和强终端执行力及掌控力能够帮助公司在竞争中通过更高铺货率，更好陈列，更高动销抢占市场份额。虽然红牛等竞争对手加大投入，但其渠道策略和价格带更偏向高端和核心城市，东鹏特饮拥有更广的下沉市场和即时渠道，同时省外市场空间广阔，渗透率有望进一步提升，驱动特饮品类的快速增长。3、运动饮料行业玩家增多，但当前行业天花板持续提高，25-29年市场规模CAGR预计为12.2%，其中电解质水行业预计25年235亿元，当下仍在高速成长期。东鹏补水啦当前处于龙二地位，26年预计将保持快速增长主要得益于品牌已经建立消费者心智培养，借助特饮打下的完整高效的销售网络（其他品牌较难比拟的铺市速度和广度），配合单点卖力的提升，驱动补水啦的高速增长。4、26年成本红利和规模优势有望驱动公司盈利能力的持续提升。催化剂：A+H资本平台落地、月度动销数据、新品类规模增长等。盈利预测及估值我们预计2025-2027年收入增长分别为209.5/261.0/317.6亿元，同比增长分别为32.3%/24.6%/21.7%；实现归母净利润45/58/71亿元，同比增长分别为35.6%/27.5%/24.2%。预计2025-2027年ESP分别为8.67/11.06/13.73元，对应PE分别为30/23/19倍。参考行业可比公司龙头农夫山泉，其矿泉水业务龙头地位稳固且增长稳健，无糖茶业务是具备高景气度赛道的子板块，近年增长快速，其26年PE为29倍。东鹏饮料功能饮料龙头地位稳固，能量饮料增长稳健，补水啦电解质水景气度较高，行业天花板持续提升，多品类成长逻辑清晰，参考农夫山泉当前估值，我们给予2026年30X，对应市值1725亿，具备30%左右空间，维持“买入”评级。风险提示：原材料价格上涨、新品推广不及预期、行业竞争加剧、A+H股价联动波动风险。,,浙商证券,买入,[None],2026-02-02,,买入,8384776,pdf_downloads/2026/2026-02-02/605499-东鹏饮料（605499）：更新报告：26年增长抓手清晰，看好公司平台化布局.pdf,605499,东鹏饮料,东鹏饮料（605499）：更新报告：26年增长抓手清晰，看好公司平台化布局
"欧阳予,范子盼,董广阳","公司与三林集团签署合作协议，共同拓展印尼市场。1月30日，公司公告与RICHSTREAM(印尼华商巨擘三林集团旗下投资公司)签署合作协议，总投资3亿美元，分6期完成;合作形式为双方共同持股香港路径公司(东鹏持股51%，RICHSTREAM持股49%)，并通过该公司持股东鹏印尼公司。公司拟于2月3日H股上市发行，近日公司正式刊发H股招股说明书，拟于2月3日挂牌上市。本次发行基础股数为4088.99万股，最大发行规模不超过4702.33万股，发行价格上限为每股248港元。东鹏公告拟与三林集团达成战略合作，双方共同设立子公司拓展印尼市场。我们在2025年深度报告《掘金东南亚能量饮料市场一一潜力剖析与路径展望》中已对东南亚能量饮料市场潜力与扩张路径做出前瞻深度分析，当前公司与三林集团合作可谓迈出关键一步，未来有望以印尼为支点，辐射东南亚市场:印尼市场空间广阔，或为东南亚扩张的战略支点。25年为东鹏出海元年为8.46L/4.23L)，行业空间广阔，且行业格局相对分散。未来公司有望打开印尼市场，并逐步辐射东南亚。三林集团渠道资源丰富，将有力助推东鹏印尼布局。三林集团是亚洲最具影响力的跨国企业之其旗下拥有印尼最大的综合食品企业Indofood，24年营收规模约人民币528亿元，其中，消费品品牌业务/面粉业务/农业综合业/分销业务/其他业务及内部抵消分别占比63.3%/26.4%/13.8%/6.0%/-9.5%,Indofood 在方便面市场份额超过70%.同时，Indofood在印尼拥有超过75万个销售网点，且三林集团旗下便利店品牌Indomaret覆盖印尼全部省份，门店数超2.3万家(测算占印尼连锁便利店份额40%以上)。此次合作三林集团将开放自身分销网络以加速东鹏品牌落地，市场打开后亦有望助力工厂建设H发行摊薄比例符合预期，募资夯实国内外布局基础。公司公告H股发行价格为248港元(测算对应当前价为88折)基础股数4088.99万股(其中，香港/国际发售分别占比10%/90%);若超额配售权悉数行使，最大发行规模不超过4702.33万股，约占发行前A股总股本的9.0%，占发行后A+H总股本的8.3%，摊薄比例可控且符合市场前期预期。同时，此次港股发行资金将用于国内产能布局和供应链升级、品牌及数字化建设、国内运营渠道网络、拓展海外市场业务等，夯实国内外扩张基础。投资建议:年内高增动能仍足、海外打开长期空间，维持“强推”评级。结合春节错期及前期业绩预告，我们调整 2025-2027年归母净利润预测至44.9/57.0/68.6亿元(前期预测为 45.8/58.0/69.7亿)。而随新财年冰柜前置投放，12月以来终端动销已在改善，预计2月春节返乡催化动销进一步提速我内有计大单品仍可智梦成东在村新到着开花公箱鉴发仍然突出，当前26年PE仅23倍，回调给予布局良机，维持目标价340元，重申“强推”评级。风险提示:网点扩张、新品推广、海外拓展不及预期、原材料价格大幅上涨等",,华创证券,强推,[None],2026-02-02,,买入,8382622,pdf_downloads/2026/2026-02-02/605499-东鹏饮料（605499）：跟踪点评：携手三林共拓印尼，海外扩张更进一步.pdf,605499,东鹏饮料,东鹏饮料（605499）：跟踪点评：携手三林共拓印尼，海外扩张更进一步
吴文德,事件一：1月30日，东鹏饮料集团与印尼华商巨头三林集团正式签署战略合作协议，双方将共同投资印度尼西亚东鹏维生素饮料公司，负责在印尼建设生产基地及开展产品销售业务，项目总投资预计3亿美元。事件二：公司确定本次H股发行的最终价格为每股248港元（不包括1％经纪佣金、0.0027％香港证券及期货事务监察委员会交易征费、0.00565％香港联交所交易费及 0.00015％香港会计及财务汇报局交易征费），预计2026年2月3日在香港联交所挂牌上市。H股发行锚向海外，东南亚市场初具雏形。公司H股招股说明书明确12%募集资金将用于拓展海外市场业务，目前公司产品已出口至25个国家和地区，已在印度尼西亚、越南、马来西亚设立子公司，并计划以海南、昆明基地作为东南亚出口枢纽。全球能量饮料需求增长，看好亚太地区成长潜力。日益增长的健身趋势及繁忙生活方式驱动着全球能量饮料消费量的增加，根据Wise GuyReports，2024年能量饮料全球市场规模692.5亿美元，其中亚太地区市场规模120亿美元，预计2035年达到180亿美元。公司作为国内能量饮料龙头，具有较强的产品力、资金优势以及供应链优势，与印尼三林集团合作有望加速公司在东南亚市场的渗透与拓展。盈利预测：通过港股上市以及与三林集团签署战略合作协议，公司有望加速推进全球化进程，打开海外增长空间，进一步发挥规模化及产业链优势。我们预计2025-2027年公司实现营业收入211/265/319亿元（同比+33%/+26%/+20%），实现归母净利润45/58/70亿元（同比+35%/+28%/+22%），对应PE分别为29X/23X/19X，维持“买入”评级。风险提示：新品推广不及预期，工厂投产进度不及预期，渠道拓展速度放缓，行业竞争加剧，海外拓展不及预期等。,,财通证券,买入,[None],2026-02-02,,买入,8387510,pdf_downloads/2026/2026-02-02/605499-东鹏饮料（605499）：港股上市，牵手三林，东方大鹏，扬帆起航.pdf,605499,东鹏饮料,东鹏饮料（605499）：港股上市，牵手三林，东方大鹏，扬帆起航
"何长天,田海川",报告摘要日本作为咖啡消费成熟市场，其现制咖啡与即饮咖啡的发展路径具参照价值。现制咖啡在日本历经四轮迭代：早期欧美风格传统咖啡馆完成消费启蒙，聚焦高端小众圈层；本土连锁品牌凭借口味适配与亲民定价推动大众化扩容；消费升级催生精品化浪潮，手冲、冷萃等品类满足风味体验需求；便利店咖啡最终掀起革命，7-11、罗森等依托密集门店与高性价比实现全场景渗透，完成价格下沉与品质提升转型。在此过程中，两者关系从弱关联并行过渡到市场竞争，最终形成场景互补与品质协同格局。两大关键节点重塑行业生态：1969年UCC罐装咖啡实现即饮咖啡全民普及，奠定市场基础；1996年星巴克以“第三空间”定位培育高端消费习惯，推动咖啡从“功能性饮品”升级为“生活方式载体”。场景分工上，现制咖啡聚焦线下社交、即时享用等场景，即饮咖啡覆盖居家、办公、户外等非门店场景，形成全时段消费闭环；便利店渠道实现客流协同，现制咖啡培育的核心用户反向带动即饮咖啡需求。截至2023年，日本即饮咖啡市场规模达9300亿日元，形成三得利BOSS与可口可乐GEORGIA双寡头格局，行业发展稳定。中国咖啡市场呈高速增长特征，现制咖啡崛起成为核心驱动力，深刻影响即饮咖啡市场。当前现制咖啡行业已进入本土品牌主导的规模化阶段，瑞幸、库迪等凭借“外卖+数字化”模式优化效率、降低门槛，通过大数据匹配需求、推出爆款，叠加规模化采购降本，带动15元以下价格带咖啡占比提升。2024年中国人均年咖啡消费量达22.24杯，较2023年的16.74杯明显增长，中国人均咖啡消费首次突破20杯。。现制咖啡不仅扩容整体市场，更培育出成熟消费群体，为即饮咖啡带来庞大潜在用户。竞争格局方面，即饮咖啡从外资垄断演变为雀巢、星巴克与本土东鹏饮料“三足鼎立”。截止到2025年11月东鹏饮料旗下“东鹏大咖”以接近14%的市场份额跻身行业前三，与雀巢、星巴克形成“三足鼎立”格局，2024年12月-2025年11月期间其销售额同比增速多次超50%，部分月份增幅超100%。随着咖啡市场的进一步细分，现制咖啡与即饮咖啡将逐步形成差异化竞争格局，共同推动中国咖啡市场的持续扩容投资建议：我们认为随着咖啡行业的持续扩容，即饮咖啡与现制咖啡差异化竞争，市场定位细分化有望带动即饮咖啡品类的快速发展。东鹏饮料作为即饮咖啡行业内前三大品牌，在行业发展过程中将通过自身对于渠道的优势，提前洞悉市场风向，开发与市场需求匹配产品，精准定位消费者的核心需求，持续强化自身优势。我们重点推荐东鹏饮料。预计公司2025-2027年收入分别为209.15、271.77、340.06亿元，同比增长32%、30%、25%，预计归母净利润为45.06、59.46、77.64亿元，同比增长35%、32%、31%，对应PE分别为29、22、17X，维持“买入”评级。风险提示：产品质量波动的风险、原材料价格波动的风险、市场竞争的风险、研究报告使用的公开资料可能存在信息滞后或更新不及时的风险、第三方数据失真的风险。,,中泰证券,买入,[None],2026-01-26,,买入,8360230,pdf_downloads/2026/2026-01-26/605499-东鹏饮料（605499）：复盘日本咖啡发展，现制咖啡为即饮咖啡起到带动作用.pdf,605499,东鹏饮料,东鹏饮料（605499）：复盘日本咖啡发展，现制咖啡为即饮咖啡起到带动作用
"张向伟,柴苏苏",公司发布业绩预告。预计2025年实现收入207.6亿元~211.2亿元，同比+31.07%~+33.34%；归母净利润43.4~45.9亿元，同比+30.5%~38%；扣非归母净利润+26.3%~+33.3%。2025Q4收入预计39.16~42.76亿元，同比+19.4%~30.3%；归母净利润5.79~8.29亿元，同比-6.5%~+33.9%；扣非归母净利润5.8~8.1亿元，同比-3.2%~35.2%。以中枢测算，2025Q4收入/归母净利润/扣非归母净利润中枢增速分别为25%/14%/16%。四季度表观业绩承压，预计主要受到春节后置及冰柜费用前置影响。春节错期背景下，公司年底以去库为主，我们预计淡季依然延续较好增速，细分品类看，预计25Q4特饮依然延续双位数增长，补水及其他饮料维持高增。业绩端，2025下半年成本红利加大，与产品结构的不利影响对冲，预计四季度毛利率持平，但冰柜前置投放影响，净利率同比略承压。全年维度，受益于成本红利及单品规模效应，公司净利率同比有所提升。H股发行再进一程，募资助力战略落地。根据公司近期公告，公司拟发行不超过6644.6万股，测算发行上限约占A+H总股本的11.3%，参考同业的食品饮料公司如海天、安井，备案占发行后的股本比例分别为16.9%、11.3%，实际发行占比12.0%、5.0%。我们预计公司发行规模占比低于10%，摊薄比例有限。公司H股发行募资主要用于：1）完善海外市场仓储等供应链建设、选择性地向上游延展；2）海外市场渠道开拓、品牌推广与产品开发，具体路径包括成立合资公司/子公司，进行本土化运营；3）探索海外市场投资与并购机会。投资建议：考虑特饮持续提升份额，第二曲线延续高增，考虑到公司景气增长阶段仍需加大费投，我们小幅修改未来3年盈利预测（上修收入预测的同时，略下调业绩预测）。我们略修改此前盈利预测，预计2025-2027年公司实现营业总收入209.4/259.3/311.5亿元(原预测值208.8/258.9/309.7亿元），同比增长32%/24%/20%；2025-2027年公司实现归母净利润45.0/57.7/70.4亿元（原预测值46.0/58.3/70.9亿元），同比增长35%/28%/22%；实现EPS8.65/11.10/13.54元；当前股价对应PE分别为30.9/24.1/19.7倍，公司是食品饮料稀缺的景气增长标的，扩品类、全国化仍在推进。春节返乡专案到位，开门红值得期待。我们按相对估值给予26年30-31xPE，维持“优于大市”评级。风险提示：原辅材料价格波动风险，新品推广不及预期，行业竞争加剧。,,国信证券,优于大市,[None],2026-01-18,,买入,8339573,pdf_downloads/2026/2026-01-18/605499-东鹏饮料（605499）：2025年四季度延续景气增长，利润略有承压.pdf,605499,东鹏饮料,东鹏饮料（605499）：2025年四季度延续景气增长，利润略有承压
"何长天,田海川",报告摘要日本能量饮料市场以50-100ml小玻璃瓶为绝对主流，这一格局由本土品牌培育、白领需求适配与监管政策引导三方合力形成。本土品牌方面，1962年大正制药推出力保健，以牛磺酸+维生素B族配方切入战后补能需求，1963-1973年复合增速达56%，后续企业通过标准化生产固化小瓶规格。2005年红牛、2012年Monster等外资品牌以大罐形态入局，但本土品牌六十余年深耕形成的品牌忠诚度与渠道优势难以撼动，最终形成“本土小瓶、外资大瓶”的市场分化。消费端，日本核心消费群体为白领阶层，其“快速补能、单次少量”诉求与小瓶形态高度契合。日本白领面临超长工时与跨城通勤压力，小瓶饮料便携易饮，适配晨起、通勤、工作中途等碎片化场景，且契合单身经济下的消费偏好。成分上，牛磺酸与维生素B族精准缓解脑疲劳，力保健每100ml含牛磺酸1000mg，单瓶即可满足单次需求，且无过量健康负担。监管层面，日本将能量饮料纳入药品体系，分为“医薬部外品”与“医薬品”两类，对咖啡因、牛磺酸等成分剂量严格限制，小瓶容量成为平衡功效与安全的必然选择。中国能量饮料市场正经历全面转型，小瓶化与成分升级成为核心增长动力。消费人群从传统蓝领转向白领、学生，需求核心从“体力补给”转向“日常脑力续航”。据嘉世咨询数据，饮用场景TOP3为运动（31.21%）、夜间加班（30.12%）、熬夜学习（29.44%），已延伸至电竞、长途驾驶等多元场景，消费频次显著提升。借鉴日本经验，100-200ml小瓶形态适配中国白领通勤、加班等场景，且因“低糖低卡”契合健康趋势，有效降低消费者顾虑，提升产品接受度。成分升级方面，中国企业借鉴日本“针对性配方”经验，聚焦白领脑疲劳痛点。东鹏特饮2025年推出的无糖新品添加L-α-甘磷酸胆碱，精准匹配用脑需求，市场反馈良好。检测显示，中国能量饮料核心成分与日本相近但含量有差异，日加满牛磺酸含量达424mg/100g，红牛、乐虎等超100mg/100g，企业可结合小瓶容量优化浓度。东鹏饮料通过无糖新品推动行业从“体能补给”向“脑体协同续航”升级，填补脑健康需求空白。投资建议：我们认为未来能量饮料行业将由过去单一的能量补给刚性需求，向健康化、场景细分化发展，东鹏饮料作为行业内头部品牌，在市场升级过程中将通过自身对于渠道的优势，提前洞悉市场风向，开发与市场需求匹配产品，精准定位消费者的核心需求，持续强化自身优势。同时考虑到能量饮料主要原材料价格保持低位，我们重点推荐东鹏饮料。预计公司2025-2027年收入分别为209.15、271.77、340.06亿元，同比增长32%、30%、25%，预计归母净利润为45.06、59.46、77.64亿元，同比增长35%、32%、31%，对应PE分别为31、23、18X，维持“买入”评级。风险提示：产品质量波动的风险、原材料价格波动的风险、市场竞争的风险、研究报告使用的公开资料可能存在信息滞后或更新不及时的风险。,,中泰证券,买入,[None],2026-01-18,,买入,8338867,pdf_downloads/2026/2026-01-18/605499-东鹏饮料（605499）：从日本小瓶能量饮料看中国能量饮料发展.pdf,605499,东鹏饮料,东鹏饮料（605499）：从日本小瓶能量饮料看中国能量饮料发展
"蔡雪昱,张子健",东鹏饮料(605499)收入符合预期，费用端前置投放积极投资要点公司发布2025年年度业绩预增公告，2025年全年公司实现收入207.6-211.2亿元，同比增长31.07%-33.34%，单Q4实现收入39.16-42.76亿元，同比增长19.35%-30.33%；全年公司实现归母净利润43.4-45.9亿元，同比增长30.46%-37.97%，单Q4实现归母净利润5.79-8.29亿元，同比增长-6.46%至33.93%；全年公司实现扣非归母净利润41.2-43.5亿元，同比增长26.29%-33.34%，单Q4实现扣非归母净利润5.8-8.1亿元，同比增长-3.17%至35.23%。按业绩中枢来测算，2025年全年公司估计实现收入209.4亿元，同比增长32.21%，单Q4实现收入40.96亿元，同比增长24.84%；全年公司估计实现归母净利润44.65亿元，同比增长34.20%，单Q4实现归母净利润7.04亿元，同比增长13.73%；全年公司估计实现扣非归母净利润42.35亿元，同比增长29.83%，单Q4实现扣非归母净利润6.95亿元，同比增长16.03%。我们估计25Q4公司在规模效应下毛利率保持相对平稳，动销向好、提前启动新财年冰柜投放节奏、且力度加大、投放进展顺利，从而相关费用有所增加，同时更为积极的海外市场拓展动作带来相关费用同比有一定增量，淡季费用增量带来销售费率的提升带来净利率的波动。预计公司2026年将继续加大冰柜投放计划，进一步强化终端渠道的陈列与触达能力；海外市场公司将以5-10年为维度，持续搭建专业化海外运营团队，夯实全球化布局基础。盈利预测与投资建议我们预计2026年特饮将维持双位数增长，补水啦高歌猛进，果之茶迅猛增长，同时新品港奶等先期试点市场反馈较好、铺货迅速，叠加供应链规模效应及成本红利，预计公司2025-2027年实现营收209.28/261.88/309.23亿元，同比增长32.13%/25.13%/18.08%；实现归母净利润44.68/58.21/70.85亿元，同比增长34.30%/30.29%/21.72%，对应EPS为8.59/11.19/13.63元，对应当前股价PE为31/24/19倍，维持“买入”评级。风险提示：食品安全风险；新品不及预期风险。,,中邮证券,买入,[None],2026-01-15,,买入,8334535,pdf_downloads/2026/2026-01-15/605499-东鹏饮料（605499）：收入符合预期，费用端前置投放积极.pdf,605499,东鹏饮料,东鹏饮料（605499）：收入符合预期，费用端前置投放积极
刘光意,事件：1月13日，公司披露2025年业绩预告。收入端增速中值符合我们此前预期。公司公告预计2025年实现收入207.6~211.2亿元，同比+31.1%~33.3%，中值约32.2%；对应25Q4实现收入39.2~42.8亿元，同比+19.4%~30.3%，中值约24.9%，相较于前三季度有所放缓，预计主要受特饮增速放缓影响较大。我们认为随着公司收入体量达到200亿元，其增速将从高速增长切换至中高速增长区间，但是增长质量更为健康，仍然看好公司长期成长空间与持续性。全年净利率中值提升，25Q4同比略有波动。公司公告预计2025年归母净利润43.4~45.9亿元，同比+30.5%~38.0%，对应净利率约20.9%~21.7%，同比-0.1pct~+0.7pct，中值约+0.3pct；25Q4归母净利润5.8~8.3亿元，同比-6.5%~+33.9%，对应净利率约14.8%~19.4%，同比-4.1pcts~+0.5pct，中值约-1.8pcts。公司2025全年净利率中值同比略有提升，但25Q4净利率同比略有下滑，预计主要系新财年冰柜等费用投放节奏前置所致，但我们认为淡季抢先布局冰柜有利于更好地支撑来年旺季动销，因此净利率的波动主要系短期因素，不必过于悲观。短期关注春节动销与3月“水头”催化。收入端，重点关注动销与库存动态情况，目前2026新财年已经开启，我们看好春节前渠道备货与节日期间动销，主要系今年春节假期更长有望刺激出行需求；春节之后关注3月“水头”终端动销，补水啦、果之茶新品与新品港式奶茶有望形成催化；成本端，截止目前PET/白糖价格均保持下跌趋势，我们预计26H1成本红利有望延续，将继续对冲新品占比提升对毛利率形成的压力。长期关注品类扩张+出海带来的增长空间。国内市场，一方面功能饮料行业有望持续扩容，公司作为头部公司有望受益，另一方面公司努力打造多品类平台化公司，公司目前收入体量较农夫山泉约500亿元还有较大增长空间；海外市场，公司目前重点拓展东南亚市场，已经在越南、马来西亚与印尼建立一定基础，更远期来看还将布局美国、中东等市场。投资建议：根据公告调整盈利预测，预计2025~2027年收入分别为209/266/322亿元，同比+32%/27%/21%，归母净利润分别为45/57/70亿元，同比+34%/27%/23%，PE为30/24/19X。我们维持公司长线价值区间判断（确定性+成长性），短期来看关注春节备货与水头催化，维持“推荐”评级。风险提示：需求持续下行的风险，竞争加剧的风险，食品安全的风险。,,银河证券,推荐,[None],2026-01-14,,买入,8332928,pdf_downloads/2026/2026-01-14/605499-东鹏饮料（605499）：收入突破200亿元，维持长线价值区间判断.pdf,605499,东鹏饮料,东鹏饮料（605499）：收入突破200亿元，维持长线价值区间判断
