author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts,PE_2年前,PE_1年前,PE_当年,PE_明年,PE_后年,PE_大后年,EPS_2年前,EPS_1年前,EPS_当年,EPS_明年,EPS_后年,EPS_大后年
"陈蓉芳,张威震",新兴市场的智能终端领先品牌，首次覆盖，给予“买入”评级传音控股2006年成立，2019年于科创板上市。公司围绕TECNO、itel和Infinix三大手机品牌，依托用户基础和品牌优势，持续开拓AIoT、家电、储能以及电动车等领域，移动互联业务则布局OS系统、软件平台及独立APP。公司聚焦新兴市场，以非洲市场为基本盘，将品牌和渠道优势逐步拓展至南亚/东南亚、拉美、中东、东欧等地区市场。我们认为，公司手机产品持续向中高端转型并拓展更多市场，非洲地区智能机渗透率提升也有望带来长期增量，公司有望凭产品多元化、业务全球化、品类高端化保持快速增长，预计公司2025/2026/2027年归母净利润为31.47亿元/44.82亿元/59.23亿元，EPS为2.73元/3.89元/5.15元，当前股价对应PE为23.6倍/16.6倍/12.5倍。首次覆盖，给予“买入”评级。手机业务：深耕非洲基本盘，发力高端化与AI化，开启全球增长新周期公司在非洲手机市场占据龙头地位。面对其他厂商的竞争，公司凭借智能机与功能机双市场的稳固基本盘、成熟的渠道与营销体系以及本土化产品技术，打造竞争壁垒，并通过产品高端化升级巩固优势。未来非洲经济向好、人口结构年轻化以及移动网络的普及将推动功能机向智能机的转换，为公司带来可观的增量空间。在东南亚、南亚等其他新兴市场，公司通过多品牌与精准的价格带策略成功抢占主要国家份额。未来随着与高通专利纠纷的解决、品牌智能机ASP提升以及产品高端化、AI化趋势深化，公司有望将业务拓展至全球更多区域市场。扩品类与移动互联业务：从智能终端到生态协同，开拓多元新增量空间扩品类业务：AIoT方面，公司通过三大手机品牌以及数码配件品牌oraimo，构建“手机+AIoT”全场景智能生态；家电业务受益于非洲未来广阔的市场空间，前景良好。非洲贫瘠的电力基础、丰富的光照环境以及中非光伏贸易推进为光储业务发展提供良好基础，公司通过增资控股子公司、联手伊拉克光储龙头持续拓展业务版图；同时创立两大电动车品牌，打造新的增长点。移动互联方面，公司通过构筑“OS+技术中台+应用APP”的垂直生态，布局非洲蓝海市场。风险提示：全球宏观经济波动风险；技术创新无法满足市场需求的风险；新市场拓展不利的风险；原材料涨价超预期风险,,开源证券,买入,[None],2025-11-19,,买入,8087352,pdf_downloads/2025/2025-11-19/688036-传音控股（688036）：公司首次覆盖报告：新兴市场手机王者，多元化/全球化/高端化打开空间.pdf,688036,传音控股,传音控股（688036）：公司首次覆盖报告：新兴市场手机王者，多元化/全球化/高端化打开空间,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 31.47,
            ""eps"": 2.73,
            ""pe"": 23.6
        },
        {
            ""year"": 2026,
            ""net_profit"": 44.82,
            ""eps"": 3.89,
            ""pe"": 16.6
        },
        {
            ""year"": 2027,
            ""net_profit"": 59.23,
            ""eps"": 5.15,
            ""pe"": 12.5
        }
    ]
}",,,23.6,16.6,12.5,,,,2.73,3.89,5.15,
"葛星甫,王硕",经营节奏持续向上，供应链及市场竞争压制短期利润。传音控股披露2025年三季报，2025年前三季度，公司实现营收495.43亿元、同比下滑3.33%，实现归母净利润21.48亿元、同比下降44.97%；单三季度，公司实现营收204.66亿元，同比增长22.60%、环比增长27.33%，实现归母净利润9.35亿元，同比下滑11.06%、环比增长29.39%。公司经营季度趋势向好，但受市场竞争以及供应链成本综合影响，导致短期利润承压。出货节奏持续走强，三季度智能机量价齐升。传音自6月上新后三季度销量表现较好，出货量继续环比提升，IDC数据显示，传音单三季度智能手机出货量达2920万部，yoy+13.6%，远超2.6%的行业增速，以9%的市场份额强势回归全球第四，凸显了传音在新兴市场的竞争优势，长期而言，公司或将持续受益于新兴市场功能机向智能机切换的发展趋势。均价方面，公司三季度营收环比提升27.33%，对应智能机出货量环比提升16.33%，营收增速显著高于出货量增速，表明公司或通过产品结构优化实现了ASP的提升。成本压力预期传导，盈利能力有望修复。公司的毛利率受竞争格局、成本变化、公司策略等因素综合影响。三季度，公司盈利能力受存储涨价以及市场竞争情况压制，但随着手机厂商因成本上升而调整终端产品价格，传音也将根据上游成本变化和市场竞争态势，积极采取如提价、产品结构优化等措施进行动态调整，目标仍是保持财务健康的毛利率水平，并推动盈利能力修复。端侧AI规模化商用前夜，公司硬件入口价值凸显。据彭博社报道，苹果计划与谷歌合作，付费整合Gemini以打造新一代Siri，此举虽与谷歌付费嵌入三星硬件路径迥异，但共同验证了“端侧AI+硬件”已成为头部厂商的战略必选项。这种竞合关系有望加速技术标准化与市场教育，推动端侧AI从概念验证进入规模化部署前夜，在此背景下，掌握庞大硬件流量入口的厂商价值或将显著提升。传音控股作为年出货量超1亿部的智能手机厂商，正积极与谷歌等伙伴合作，推动实用型AI技术在新兴市场的创新与普及。凭借其亿级硬件出货规模、深厚的本地化市场生态以及对端侧AI趋势的积极拥抱，公司估值体系有望迎来重估。盈利预测与评级：我们预计公司2025-2027年归母净利润分别为30.39/40.73/58.98亿元，同比增速分别为-45.24%/34.04%/44.80%，当前股价对应的PE分别为25.60/19.10/13.19倍。鉴于公司当前经营节奏以及在端侧AI的看点，维持“买入”评级。风险提示：原材料价格波动风险、端侧AI进展不及预期风险、市场竞争加剧风险。,,华源证券,买入,[None],2025-11-10,,买入,7605587,pdf_downloads/2025/2025-11-10/688036-传音控股（688036）：出货量提升、盈利承压，端侧AI布局提升成长空间.pdf,688036,传音控股,传音控股（688036）：出货量提升、盈利承压，端侧AI布局提升成长空间,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 30.39,
            ""eps"": null,
            ""pe"": 25.60
        },
        {
            ""year"": 2026,
            ""net_profit"": 40.73,
            ""eps"": null,
            ""pe"": 19.10
        },
        {
            ""year"": 2027,
            ""net_profit"": 58.98,
            ""eps"": null,
            ""pe"": 13.19
        }
    ]
}",,,25.6,19.1,13.19,,,,,,,
"张世杰,罗平","事件：公司发布2025三季报，2025前三季度公司实现营收495.43亿元，同比减少3.33%；实现归母净利润21.48亿元，同比减少44.97%。单季度营收增长较好，盈利能力依旧承压。单季度来看，2025Q3公司单季度实现营收204.66亿元，同比增长22.60%，环比增长27.33%；实现归母净利润9.35亿元，同比减少11.06%，但环比增长29.39%。公司营收同比显著增长，但毛利，净利有所下降，主要系市场竞争以及供应链成本综合影响所致。期间费用基本稳定，运营效率维持平稳。2025年前三季度，公司发生销售费用38.82亿元，销售费率7.84%，同比增长0.57 pcts；发生管理费用13.06亿元，管理费率2.64%，同比增长0.02 pcts；发生研发费用21.39亿元，研发费率4.32%，同比增长0.76 pcts；发生财务费用-0.19亿元，同比减少0.77亿元。新兴市场优势明显，多元化战略布局赋能成长。目前新兴市场国家仍处于“功能机向智能机切换”的市场发展趋势中，为公司打下了坚实的基本盘。公司在非洲手机市场优势地位的基础上，继续加大力度、加快发展手机+移动互联+数码配件/家用电器继续多品牌发展策略，通过智能硬件品类生态模式的本地化探索，积极实施多元化战略布局：（1）移动互联网业务方面：基于用户流量和数据资源的移动互联网平台，是公司发展移动互联网产品的核心基础。公司与网易、腾讯等多家国内领先的互联网公司，在音乐、新闻聚合及其他等应用领域进行出海战略合作，积极开发和孵化移动互联网产品；（2）扩品类业务方面：拓展重点产品赛道，聚焦核心国家和区域实现市场份额突破，持续提升本地用户体验，建立各品牌的相对独特优势，逐步形成扩品类业务可持续发展。盈利预测我们预计 2025-2027 年公司实现营收 703.90、785.96、880.23 亿元，实
现归母净利润 30.94、45.35、56.98 亿元，对应 PE 25.85、17.63、14.04x，
维持公司“买入”评级风险提示：上游成本涨价风险、新市场拓展不及预期风险、行业竞争加剧
风险。",,太平洋证券,买入,[None],2025-11-07,,买入,7541831,pdf_downloads/2025/2025-11-07/688036-传音控股（688036）：单季度收入增长利润承压，看好端侧AI布局.pdf,688036,传音控股,传音控股（688036）：单季度收入增长利润承压，看好端侧AI布局,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 30.94,
            ""eps"": null,
            ""pe"": 25.85
        },
        {
            ""year"": 2026,
            ""net_profit"": 45.35,
            ""eps"": null,
            ""pe"": 17.63
        },
        {
            ""year"": 2027,
            ""net_profit"": 56.98,
            ""eps"": null,
            ""pe"": 14.04
        }
    ]
}",,,25.85,17.63,14.04,,,,,,,
"张益敏,黄梦龙",事件：公司发布2025三季报，前三季度实现营收495.43亿元，同比-3.33%，实现归母净利润21.48亿元，同比-44.97%。收入显著增长，盈利能力有所承压：公司3Q2025单季度实现营收204.66亿元，同比+22.60%/环比+27.33%，实现归母净利润9.35亿元，同比-11.06%/环比+29.39%，扣非净利润8.34亿元，同比+1.65%/环比+50.45%，毛利率18.59%，同比-3.13pct/环比-2.17pct。公司收入同比显著增长，毛利率有所下降，主要受市场竞争以及供应链成本综合影响，未来公司会根据成本变化和市场竞争等动态做调整，保持财务健康的毛利率水平。深耕新兴市场，重视AI端侧流量入口价值：根据IDC，3Q2025公司智能手机出货量约2920万台，同比增长13.6%，份额9%，居全球第4。公司立足新兴市场，持续巩固非洲市场竞争优势，进一步开拓南亚、东南亚、中东、拉美新市场，巩固及提升重点新市场份额。公司重视AI端侧流量入口价值，旗下TECNO AI和Infinix AI已广泛应用于影像增强、语音助手、AI写作等功能场景，开发了一系列AI辅助功能应用并持续迭代推进系统全面AI化，借助Agent提升用户智能设备移动体验。公司拓品类业务加快发展，积极探索AI硬件新形态，并已发布AI PC、AI眼镜等产品；移动互联业务则依托公司手机流量基础持续深耕。投资建议：公司深耕新兴市场，AI端侧流量入口价值巨大。我们预计公司2025-2027年归母净利润为30.04/42.38/53.41亿元，EPS为2.63/3.72/4.68元，对应PE为28.8/20.4/16.2倍，维持“增持”评级。风险提示：境外经营风险；主要原材料供应集中及价格波动风险；汇率波动风险；市场竞争风险；宏观环境风险。,,财通证券,增持,[None],2025-11-04,,增持,7378073,pdf_downloads/2025/2025-11-04/688036-传音控股（688036）：出货恢复增长，AI引领多维业务布局.pdf,688036,传音控股,传音控股（688036）：出货恢复增长，AI引领多维业务布局,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 30.04,
            ""eps"": 2.63,
            ""pe"": 28.8
        },
        {
            ""year"": 2026,
            ""net_profit"": 42.38,
            ""eps"": 3.72,
            ""pe"": 20.4
        },
        {
            ""year"": 2027,
            ""net_profit"": 53.41,
            ""eps"": 4.68,
            ""pe"": 16.2
        }
    ]
}",,,28.8,20.4,16.2,,,,2.63,3.72,4.68,
"舒迪,李轩",给予“中性”评级，给予目标价为74.52元。公司以非洲市场为基础，目前已进入其他新兴市场国家，同时布局数码配件、家用电器及移动互联网服务，形成“手机+移动互联网服务+家电、数码配件”生态模式，打造商业闭环。考虑到成本压力，我们下调公司2025-2027年EPS分别为3.24/5.06/6.65元，考虑到可比公司估值水平，谨慎给予 2025年23PE，下调目标价至74.52元。给予“中性”评级。财务：公司2025年前三季度实现营收495.43亿元（YoY-3.33%），归母净利21.48亿元（YoY-44.97%）。其中3Q25实现营收204.66亿元（YoY+22.60%），归母净利9.35亿元（YoY-11.06%）。Q3毛利率为18.59%，同比降3.13pct，环比降2.17pct。我们预计为三季度新品上市带动单季度收入创新高但同时受市场竞争以及供应链成本综合影响导致毛利率有所降低。公司成长逻辑：市场、产品、赛道及生态。市场：非洲为基，分享第三世界利基市场快速成长的红利。全球主要国家手机市场开始趋近饱和，逐渐进入存量竞争，而以非洲、东南亚等第三世界地区组成的新兴市场手机渗透率依旧较低。产品：契合用户偏好。立足本土化的创新和专注于用户体验的产品定位，公司品牌拥有较高的用户忠诚度，是公司独特的竞争优势。一系列深度契合本地消费者使用偏好的研发设计，不仅成功培养了消费者的使用习惯，而且通过强化在消费者心中的品牌认可度建立起品牌竞争力。赛道：有限多元化，开启“无边界”扩张之路。公司的3C配件和家电业务有望打造第二增长曲线。生态：硬件+软件，打造第三世界的“apple生态”。公司基于Android系统二次开发、深度定制智能终端操作系统，通过应用商店、广告分发等软硬件融合的方式创造营收。风险提示。汇率波动导致大额非经常性损失的风险；国内品牌出海导致新兴市场手机行业竞争加剧的风险；移动互联网业务不及预期带来估值下行风险。,,国泰海通,中性,[None],2025-11-02,,中性,7249447,pdf_downloads/2025/2025-11-02/688036-传音控股（688036）：新品发售带动单季度收入新高，但成本压力导致盈利下滑.pdf,688036,传音控股,传音控股（688036）：新品发售带动单季度收入新高，但成本压力导致盈利下滑,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": null,
            ""eps"": 3.24,
            ""pe"": 23
        }
    ]
}",,,23.0,,,,,,3.24,,,
"王芳,杨旭,洪嘉琳",报告摘要事件：公司发布2025年三季报：1）25Q1-3：营收495.43亿元，yoy-3.3%，归母净利润21.48亿元，yoy-45.0%，扣非归母17.31亿元，yoy-46.7%，毛利率19.5%，yoy-2.1pct，净利率4.5%，yoy-3.2pct。2）25Q3：营收204.66亿元，yoy+22.6%，qoq+27.3%，归母净利润9.35亿元，yoy-11.1%，qoq+29.4%，扣非归母8.34亿元，yoy+1.7%，qoq+50.5%；毛利率18.6%，yoy-3.1pct，qoq-2.2pct，净利率4.8%，yoy-1.7pct，qoq+0.1pct。25Q3智能机出货高增，中高端占比持续提升。25Q3公司智能机出货超2900万台，yoy+16%，qoq+26%；智能机业务营收174亿元，yoy+26%，qoq+29%，主要系Camon40、PovaCurve等新机发布拉动出货量回升。公司中高端产品出货占比持续向上，Q3非洲、南亚、东南亚等市场150-350美金产品份额显著提升，叠加非洲、拉美等地区渠道布局持续深化，有望推动营收持续增长。存储涨价致Q3毛利率承压，关注潜在份额提升机会。受存储缺货涨价影响，公司Q3毛利率同环比下滑，后续公司将根据市场竞争情况调整定价策略，有望传导部分成本上涨压力。此外新兴市场小品牌或面临更大成本与供应压力，公司有望凭借供应链管理能力实现市场份额提升。端侧AI持续下沉，有望带动多业务共振。公司端侧AI渗透率超80%，已下沉至1000元以下机型，AI影像、小语种语音识别等自研AI功能有望持续提升产品力。硬件流量入口变现商业模式日趋清晰，公司积极合作Google等国内外模型厂商，移动互联业务增长有望提速，同时可穿戴/家电等扩品类业务也有望受益公司AI互联生态进展。投资建议：考虑到上游存储涨价导致毛利率有所承压，我们适当调整盈利预测，预计公司2025-27年实现归母净利润31/43/56亿元（对应前值44/56/66亿元），对应PE估值27.8/20.0/15.3倍，维持“买入”评级。风险提示事件：终端需求不及预期；新市场开拓不及预期；研报使用的信息更新不及时风险。,,中泰证券,买入,[None],2025-10-31,,买入,7143340,pdf_downloads/2025/2025-10-31/688036-传音控股（688036）：Q3 营收高增&毛利承压，AI 布局有望带动多业务共振.pdf,688036,传音控股,传音控股（688036）：Q3 营收高增&毛利承压，AI 布局有望带动多业务共振,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 31,
            ""eps"": null,
            ""pe"": 27.8
        },
        {
            ""year"": 2026,
            ""net_profit"": 43,
            ""eps"": null,
            ""pe"": 20.0
        },
        {
            ""year"": 2027,
            ""net_profit"": 56,
            ""eps"": null,
            ""pe"": 15.3
        }
    ]
}",,,27.8,20.0,15.3,,,,,,,
"陈耀波,刘志来",事件2025年10月29日，传音控股公告2025年第三季度报告，公司前三季度实现营业收入495.43亿元，同比下降3.33%，归母净利润21.48亿元，同比下降44.97%，扣非归母净利润17.31亿元，同比下降46.71%。对应3Q25单季度营业收入204.66亿元，同比增长22.60%，环比增长27.32%，单季度归母净利润9.35亿元，同比下降11.06%，环比增长29.39%，单季度扣非归母净利润8.34亿元，同比增长1.65%，环比增长50.45%。持续推进AI能力建设公司经营环比改善，根据咨询机构Omdia的数据，三季度手机出货量达到全球第四，不过受市场竞争以及供应链成本综合影响，公司三季度毛利率有所下降，后续随着公司提价、产品结构调整之后，预计能够保持相对健康的毛利率水准。公司持续推进AI能力建设，旗下TECNO AI和Infinix AI已广泛应用于影像增强、语音助手、AI写作等功能场景，开发了一系列 AI辅助功能应用并持续迭代推进系统全面 AI化，借助 Agent 提升用户智能设备移动体验。公司发挥在地化优势，持续专注打造深度本地化的“实用型 AI”。 TECNO AI和Infinix AI同时支持非洲、南亚本地部分小语种，突破低资源语言限制，为当地用户提供本地化智能服务。传音旗下大众消费品牌itel也在推进AI普及方面不断探索，其新品CITY100支持智能问答、实时翻译、拍图解题、日程管理等实用AI服务，帮助大众用户以更低门槛享受智能体验。公司积极构建以AI使能多端融合互通、AI端侧应用以及AI的端云协同应用的架构，结合本地化市场用户需求，带来新一代的智慧助手Ella与创新交互体验。拓品类方面，公司已经发布了AI PC、 AI眼镜等产品，例如新一代 AI PC—MEGABOOK S16，搭载TECNO AI，配备在CPU上运行的端侧AI大模型，结合用户办公场景，实现本地AI会议实时翻译和摘要、AI PPT、AI文生图，Ella语音助手等离线AI功能，并支持与TECNO手机、配件等AI生态产品互联；公司还上线了TECNO AI Glasses智能眼镜系列，支持拍照、语音助手、实时翻译、导航等功能。投资建议基于成本端的上行，我们下调了对公司的毛利率假设，预计2025-2027年归母净利润为32.4、37.4、49.9亿元（前次报告预测为46.6、57.2、67.5亿元），对应EPS为2.8、3.3、4.4元/股，对应2025年10月30日收盘价，PE为26.5、22.9、17.2倍，维持公司“买入”评级。风险提示市场竞争超预期；市场拓展不及预期；产品价格不及预期；上游零部件价格波动超预期；费用端控制不及预期。,,华安证券,买入,[None],2025-10-31,,买入,7088667,pdf_downloads/2025/2025-10-31/688036-传音控股（688036）：持续推进AI能力建设.pdf,688036,传音控股,传音控股（688036）：持续推进AI能力建设,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 32.4,
            ""eps"": 2.8,
            ""pe"": 26.5
        },
        {
            ""year"": 2026,
            ""net_profit"": 37.4,
            ""eps"": 3.3,
            ""pe"": 22.9
        },
        {
            ""year"": 2027,
            ""net_profit"": 49.9,
            ""eps"": 4.4,
            ""pe"": 17.2
        }
    ]
}",,,26.5,22.9,17.2,,,,2.8,3.3,4.4,
"王芳,杨旭,洪嘉琳",备注：股价截止自2025年09月05日收盘价，每股指标按照最新股本数全面摊薄报告摘要事件：公司发布2025年中报：1）25H1：营收290.8亿元，yoy-15.9%，归母净利润12.1亿元，yoy-57.5%，扣非归母9.0亿元，yoy-63.0%。2）25Q2：营收160.7亿元，yoy-6.1%，qoq+23.6%，归母净利润7.2亿元，yoy-41.0%，qoq+47.5%，扣非归母5.5亿元，yoy-48.4%，qoq+61.4%。25Q2新机发售，带动销量&毛利率环比向上。25Q1末公司去库基本结束，25Q2下旬Camon40、PovaCurve等新机发布拉动出货量回升，根据IDC数据，25Q2公司智能手机全球出货2503万台，yoy-1.9%，qoq+13.1%，全球份额8.4%，yoy-0.3pct，qoq+1.1pct。25Q2新机定价提升拉动毛利率环比回升，25Q2毛利率20.8%，yoy-0.1pct，qoq+1.5pct。25Q3新机贡献完整季度，销量&毛利率有望环比继续向上。主力市场地位稳固，看好新兴市场份额提升。公司主力市场地位稳固，25Q2智能机出货量稳居非洲、巴基斯坦和孟加拉第一，其中，非洲市场新机发布+优化渠道布局+签约本地明星歌手，25Q2智能机出货967万台，yoy+10.5%，qoq+9.8%。东南亚市场方面，25Q2菲律宾/印尼出货量yoy+53%/+10%，份额39.7%/21.5%，yoy+9.4/2.6pct，拉美/中东地区份额提升空间较大，渠道开拓与本地精细化运营持续推进。AI深度赋能产品力，有望受益端侧AI趋势。公司深度投入AIOS，自主开发AI影像、本地化小语种语音识别、AI自动接听、AI声纹降噪、AI通话摘要、AI视效增强、AI拍照解题等技术等功能，搭载AI影像系统的CAMON40Pro5G在DXOMARK相机评分中位居500美元以下手机首位，AI功能有望持续下放至中低端产品，产品力&性价比全面提升。公司持续推动端侧AI布局，有望进一步提升产品竞争力。投资建议：考虑到公司上半年去库存导致销量和毛利率有所承压，我们适当调整盈利预测，预计公司2025-27年实现归母净利润44/56/66亿元（对应前值58/68/80亿元），对应PE估值21/17/14倍，维持“买入”评级。风险提示事件：终端需求不及预期；新市场开拓不及预期；研报使用的信息更新不及时风险。,,中泰证券,买入,[None],2025-09-05,,买入,6396694,pdf_downloads/2025/2025-09-05/688036-传音控股（688036）：Q2营收、毛利率环比向上，看好新兴地区份额提升.pdf,688036,传音控股,传音控股（688036）：Q2营收、毛利率环比向上，看好新兴地区份额提升,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 44,
            ""eps"": null,
            ""pe"": 21
        },
        {
            ""year"": 2026,
            ""net_profit"": 56,
            ""eps"": null,
            ""pe"": 17
        },
        {
            ""year"": 2027,
            ""net_profit"": 66,
            ""eps"": null,
            ""pe"": 14
        }
    ]
}",,,21.0,17.0,14.0,,,,,,,
"葛星甫,王硕",事件：传音控股披露2025年中报，2025年上半年，公司实现营收290.77亿元，同比下滑15.86%，实现归母净利润12.13亿元，同比下滑57.48%；单二季度，公司实现营收160.74亿元、同比下滑6.09%、环比增长23.61%，实现归母净利润7.23亿元，同比下滑41.03%、环比增长47.47%，二季度毛利率为20.76%，环比提升1.49pct。降息预期+需求旺季，新老市场协同推进，下半年有望维持高景气运行。IDC数据统计显示，2025年上半年，公司在全球手机市场的占有率为12.5%，在全球手机品牌厂商中排名第三，其中智能机在全球智能机市场的占有率为7.9%，排名第六。基于下半年新兴市场旺季特征以及美联储降息预期促进新兴市场购买力增强，预计下半年将维持旺季运行。以非洲为代表的传统优势市场市占率重回高位、持续享受市场增长红利：canalys数据显示，2025年二季度，非洲智能手机市场实现稳健增长，出货量同比提升7%至1920万部，成为全球表现最好的地区之一，其中传音以51%的市占率位居第一，远超第二名三星的18%。此外，非洲市场整体仍处于上升阶段，除渗透率提升外，美联储降息预期也有望带动市场修复，参考canalys数据，2021年，非洲智能机出货量为9050万部，2022年开始，受美联储加息等宏观因素压制，市场总量持续下滑，2022年全年出货量为6480万部，2023年略有好转全年出货量6870万部，2024年，美联储停止加息，市场开始修复，全年出货量达7470万部。当前，在美联储降息预期下，我们认为非洲智能机市场总量将会继续提升。以东南亚为代表的新市场市占率持续扩张：canalys数据显示，2025年二季度，东南亚市场出货量为2500万部，较去年同期小幅下滑约1%，其中传音以450万部出货量占据了18%的份额位居第二，逆势增长17%，市占率距离第一只有1pct的差距，其中在菲律宾、印尼等国家的市占率更是达到了37%和20%，分别位于第一和第二。与GoogleCloud共建AI生态，从硬件厂商向“AI+终端+服务”转型。从基于Android的深度定制系统，到借助GoogleAds帮助开发者在海外实现流量变现，传音与Google的合作由来已久。如今，面对AI浪潮的第三次质变，双方的合作正迈向一个全新的维度——共同打造一个会主动思考、能自动执行任务的下一代AI智能生态。这一合作包括借助GoogleCloud的AI技术（如Gemini系列模型、Imagen和Veo模型等）构建先进的系统架构，支持多模态交互，并致力于打造下一代AI智能生态，使AI手机能够端到端解决复杂任务，成为用户的“随身管家”。此外，传音还利用Google的广告工具提升其数字平台业务的变现效率，并通过GoogleCloud的技术增强其运营能力，共同推动新兴市场数字化发展，服务于全球亿万消费者和开发者。盈利预测与评级：我们预计公司2025-2027年归母净利润分别为45.46/56.55/72.20亿元，同比增速分别为-18.07%/24.38%/27.68%，当前股价对应的PE分别为22.57/18.15/14.21倍。鉴于公司毛利率触底回升、下半年有望节奏向上，维持“买入”评级。风险提示：新兴市场需求不及预期、原材料价格上涨、市场竞争加剧等风险。,,华源证券,买入,[None],2025-09-02,,买入,6384639,pdf_downloads/2025/2025-09-02/688036-传音控股（688036）：经营触底回暖，积极探索下一代智能生态.pdf,688036,传音控股,传音控股（688036）：经营触底回暖，积极探索下一代智能生态,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 45.46,
            ""eps"": null,
            ""pe"": 22.57
        },
        {
            ""year"": 2026,
            ""net_profit"": 56.55,
            ""eps"": null,
            ""pe"": 18.15
        },
        {
            ""year"": 2027,
            ""net_profit"": 72.20,
            ""eps"": null,
            ""pe"": 14.21
        }
    ]
}",,,22.57,18.15,14.21,,,,,,,
"张世杰,罗平","事件：公司发布2025年中报，2025H1，公司实现营收290.77亿元同比下降15.86%；实现归母净利润12.13亿元，同比下降57.48%。新兴市场优势领先，25H1业绩承压。受产品上市节奏、市场竞争影响，公司2025H1营业收入有所下降。分业务看，智能机实现营收243.89亿元，同比下降约17%，毛利率19.19%；功能机实现营收17.04亿元，同比下降约35%，毛利率24.72%。根据IDC数据统计显示，2025年上半年，公司在全球手机市场的占有率为12.5%，在全球手机品牌厂商中排名第三，其中智能机在全球智能机市场的占有率为7.9%，排名第六。在非洲市场，公司非洲智能机市场的占有率，排名第一。在南亚市场，巴基斯坦智能机市场占有率排名第一；孟加拉国智能机市场占有率排名第一；印度智能机市场占有率排名第八。基于在新兴市场积累的领先优势，公司积极实施多元化战略布局，在新兴市场开展了数码配件、家用电器等扩品类业务以及提供移动互联网产品及服务。始终重视研发投入，运营效率保持稳定。2025H1，公司发生销售费用24.25亿元，销售费率8.34%，同比增长1.37 pcts；发生管理费用8.10亿元，管理费率2.79%，同比增长0.25 pcts；发生研发费用13.62亿元，研发费率4.68%，同比增长1.26 pcts，公司持续科技创新、加大研发投入，提升手机用户的终端体验及产品竞争力；发生财务费用-0.72亿元，同比增加0.59亿元，主要受汇兑损益波动的影响所致。新兴市场优势明显，多元化战略布局赋能成长。目前新兴市场国家仍处于“功能机向智能机切换”的市场发展趋势中，为公司打下了坚实的基本盘。公司在非洲手机市场优势地位的基础上，继续加大力度、加快发展手机+移动互联+数码配件/家用电器继续多品牌发展策略，通过智能硬件品类生态模式的本地化探索，积极实施多元化战略布局：（1）移动互联网业务方面：基于用户流量和数据资源的移动互联网平台，是公司发展移动互联网产品的核心基础。公司与网易、腾讯等多家国内领先的互联网公司，在音乐、新闻聚合及其他等应用领域进行出海战略合作，积极开发和孵化移动互联网产品；（2）扩品类业务方面：拓展重点产品赛道，聚焦核心国家和区域实现市场份额突破，持续提升本地用户体验，建立各品牌的相对独特优势，逐步形成扩品类业务可持续发展。盈利预测
我们预计 2025-2027 年公司实现营收 723.99、810.63、932.64 亿元，实
现归母净利润 39.21、50.82、69.32 亿元，对应 PE 26.18、20.20、14.80x，
维持公司“买入”评级。
风险提示：上游成本涨价风险、新市场拓展不及预期风险、行业竞争加剧风险",,太平洋证券,买入,[None],2025-09-02,,买入,6384117,pdf_downloads/2025/2025-09-02/688036-传音控股（688036）：25H1业绩承压，新兴市场领先优势不变.pdf,688036,传音控股,传音控股（688036）：25H1业绩承压，新兴市场领先优势不变,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 39.21,
            ""eps"": null,
            ""pe"": 26.18
        },
        {
            ""year"": 2026,
            ""net_profit"": 50.82,
            ""eps"": null,
            ""pe"": 20.20
        },
        {
            ""year"": 2027,
            ""net_profit"": 69.32,
            ""eps"": null,
            ""pe"": 14.80
        }
    ]
}",,,26.18,20.2,14.8,,,,,,,
