author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"冯翠婷,陈磊",一句话逻辑公司已完成“算力—模型—AI应用”AI全产业链布局，短剧业务25年年化流水突破2.4亿美元验证商业化能力，DramaWave短剧平台等MRR增长曲线陡峭，天工超级智能体开启AI搜索、AI音乐、AI社交等生产力场景第二增长曲线，26年将从投入期转向兑现期。超预期逻辑1）短剧出海商业化强度超预期：DramaWave平台8月已跃居海外短剧收入榜第三位，25年12月环比增长35.4%，位列收入榜第四。25年12月下载量环比上涨超90%，成为Top 15中涨幅最高的产品。预计25年短剧收入同比增长900%至16.8亿元，26-27年持续加速增长，成为核心现金流引擎。2）AI智能体商业化落地或提前突破：公司先后发布并开源多款行业领先模型，搭建全链路AI应用矩阵，以天工超级智能体为核心，联动AI Developer、AI视频、AI音乐、AI游戏与AI社交产品，全面覆盖C端与B端需求，平台影响力与商业化能力显著提升。25H1 AI软件技术收入已达6500万元，验证商业化雏形，26年有望实现规模化收入。3）世界模型技术卡位领先全球：公司8月开源Matrix 3D模型，Matrix-Game 2.0则为交互式世界模型的升级版本，是业内首个在通用场景下实现实时长序列交互生成的开源方案，可复用于游戏、影视、具身智能，为未来增长提供弹性。4）旗下控股芯片公司艾捷科芯弹性可期：艾捷科芯是昆仑万维于2023年控股（持股58%）的AI芯片公司。检验与催化检验指标：DramaWave季度流水及利润率；天工AI智能助手MAU及付费转化率；AI业务经营性利润季度转正。催化剂： DramaWave等短剧平台月均收入表现；AI芯片研发取得关键进展。研究价值与众不同的认识：市场认为昆仑万维是一家传统互联网业务占主导、海外AI应用贡献增量的上市公司，估值应锚定海外平台，整体给予6-8x PS。但我们认为公司已完成从“流量”到“智能”的质变，利润结构正在发生非线性跃迁。我们认为公司可按SOTP估值法，分为短剧、 AI应用、Opera、游戏、投资收益五部分，可分别按PS-可比、PS-可比、PE-可比、PE-可比、账上净值法等进行重估。与前不同的认识：海外短剧平台收入增长曲线陡峭，经营杠杆效应下26年有望逐步实现利润。AI音乐、社交等业务已度过纯投入期，26年有望从投入期转向兑现期。盈利预测与估值预计2025-2027年营收分别为82/117/148亿元，归母净利润-16.1/-0.94/4.38亿元。采用SOTP估值法，目标市值932亿元，对应目标价74.3元，首次覆盖给予“买入”评级。风险提示AI落地不及预期、模型开发进度不及预期、海外短剧买量成本激增、政策不确定性等风险。,,浙商证券,买入,[None],2026-02-04,,买入,8394476,pdf_downloads/2026/2026-02-04/300418-昆仑万维（300418）：A股稀缺大模型及出海应用龙头，从纯投入期到兑现期.pdf,300418,昆仑万维,昆仑万维（300418）：A股稀缺大模型及出海应用龙头，从纯投入期到兑现期
王晓萱,昆仑万维(300418)前瞻布局世界模型，持续关注AI算力芯片进展事件回顾12月11日，AI视频生成独角兽Runway正式发布了其首款通用世界模型（General World Model）——GWM-1，正式进军“世界模拟”产业赛道。事件点评世界模型是目前AGI研究的重要方向，公司前瞻布局凸显技术稀缺性。世界模型是一类能够对现实世界环境进行仿真，并基于文本、图像、视频及运动等多模态输入生成视频、预测未来状态的生成式人工智能模型。由于世界模型能够使AI具备类似人类的认知和推理能力，因此被业内视为通向AGI的重要技术路线之一，目前Google、DeepMind、Meta等头部机构均在积极推进相关研究。公司是国内首个同时推出3D场景生成与可交互视频生成模型的企业，早于25年2月即推出了世界模型-Matrix系列。2025年8月，公司进一步打造并开源 Matrix-3D，其可实现从单图像生成可漫游的高质量三维场景，适用于游戏、影视、虚拟现实及具身智能等多个领域。目前Matrix-3D已在多个评估指标上优于360 DVD、Imagine360、GenEx等主流模型，并取得全景视频生成任务的SOTA成绩，技术稀缺性与领先性凸显。AI 能力保持行业领先，商业化水平有望持续加强。公司持续迭代AI产品，多款产品保持行业领先：视频方面，11月推出SkyReelsV3多模态视频生成模型，在声音画面同步、画面质量等关键指标上已接近主流闭源SOTA视频模型；音频方面，11月发布Mureka V7.6与Mureka O2模型，其中Mureka在音乐质量与提示词遵循等维度上已超过海外头部AI音乐产品同期表现水平；智能体方面，11月公司发布轻量化版本R1V4-Lite，在保持深度推理能力的同时，于单一模型中统一实现主动图像操作、外部工具调用与多模态深度研究三大能力。目前，公司AI产品已广泛覆盖办公协同、3D场景生成、AI社交及短剧等多个应用领域，后续伴随技术持续迭代及适用场景不断拓展，商业化能力有望进一步增强。算力需求短期高增明确，关注芯片业务进展。伴随AI产业持续演进，视频、图像等新模态应用加速落地，算力需求有望持续增长。根据新华网报道，预计2025年中国智能算力规模将达到 1037.3EFLOPS，较2024年增长43%；2026年规模有望进一步提升至1460.3EFLOPS，体量或将达到2024年的两倍。公司持续推进AI芯片研发，当前关键模块的设计与验证进展顺利。后续伴随产品落地，有望形成新增长动能。投资建议我们预计公司2025/2026/2027年营业收入分别为71/80/89亿元，归母净利润分别为-4.40/0.13/2.74亿元，对应EPS-0.35/0.01/0.22 元。以12月19日收盘价计算，对应PE分别为-114/3951/183倍，维持“增持”评级。风险提示技术进展不及预期风险；国际地缘政治风险；海外市场经营风险；互联网产品生命周期风险。,,中邮证券,增持,[None],2025-12-22,,增持,8263599,pdf_downloads/2025/2025-12-22/300418-昆仑万维（300418）：前瞻布局世界模型，持续关注AI算力芯片进展.pdf,300418,昆仑万维,昆仑万维（300418）：前瞻布局世界模型，持续关注AI算力芯片进展
"裴伊凡,郭念伟","事件:公司发布2025年三季报，2025年前三季度公司实现营业收入58.05 亿元，同比+51.63%;归母净利润-6.65亿元，同比-6.19%;扣非后归母净利润-6.74亿元，同比-3.88%。毛利率 69.91%，同比一6.99pct;净利率-18.72%，同比+4.57pct。单季度来看，2503公司实现营收20.72亿元，同比+56.16%;归母净利润 1.90亿元，同比+180.13%;毛利率69.97%，同比-4.48pct,环比-0.69pct;净利率2.95%，同比+32.46pct，环比+14.03%。Q3业绩环比扭亏为盈，前三季度收入保持高速增长。2025年前三季度，公司实现营业收入58.05亿元/同比+51.63%主要受短剧、广告及 AI软件技术业务快速增长带动。归母净利润为-6.65 亿元/同比-6.19%;扣非后归母净利润为-6.74 亿元/同比3.88%。利润端承压主要由于AI战略持续投入，销售费用同比大增 105.75%至28.91亿元，主要系市场推广与渠道费用增加所致。分季度看，Q1/Q2/Q3公司分别实现营收17.64/19.69/20.72亿元，同比+46.07%/+52.17%/+56.16;归母净利润分别为7.69/0.87/1.90 亿元，同比-310.32%/+57.10%/+180.13%。分业务看，25H1广告业务实现营收 14.33亿元/同比+61.05%;短剧平台业务实现收入5.83亿元，搜索业务/社交网络业务分别实现营收6.91/6.79 亿元，同比+10.89%/-0.01%。盈利能力方面，①毛利率方面，25年前三季度公司整体毛利率为69.91%/同比-6.99pct。②费率方面，公司整体费用率为87.49%/同比-2.89pct，其中销售费用率为49.80%/同比+13.10pct，管理费用率为 16.05%/同比-6.74pct，财务费用率为0.78%/同比-022pct,研发费用率为20.86%/司比-9.03pct。③净利率方面，25 年前三季度公司净利率为-18.72%/同同比+4.57pct。海外业务增长强劲，全球化布局持续深化。报告期内，公司海外业务收入达 54.10 亿元，同比增长 58%，占总收入比重提升至93.3%，国际竞争力持续增强。短剧平台DramaWave继续高增，2025年8月跃居海外短剧平台收入榜第三位，单月下载量突破400万次;社交娱乐平台 StarMaker 在印尼位列免费下载榜TOP4，并在东南亚、中东、南美等百余个国家和地区保持领先;海外信息分发平台0pera推出面向 AI时代的 Agent 浏览器 OperaNeon，探索下一代互联网流量入口，构建 AI生态的内容与分发双向通道。整体来看，海外业务已形成“内容一社交一分发”一体化布局，为公司AI商业化与生态拓展提供稳定基础。AI全栈布局加速推进，模型技术成果显著。公司坚定推进“AllinAGI”战略，Q3技术迭代密集、成果突出。在奖励模型方向，开源 Skywork-Reward-V2 系列，在七大主流评测中全面领先;在多模态方向，发布 Skywork-R1V3.0，在 MMMU 等评测中取得开源最优成绩，并推出 SkyworkUniPic2.0，以 2B 参数规模超越多款7B-12B 模型，实现图像理解、生成与编辑一体化;在3D与世界模型方向，Matrix-3D支持从单图生成可漫游三维场景，MatrixGame2.0实现 25FPS 高帧率实时交互生成。公司在强化学习、智能体等方向持续发力，多篇论文被 NeurIPS2025 录用，其中两篇获Spotlight 论文，彰显公司在 AI基础研究领域的国际竞争力与科研深度。AI商业化落地加速，产品矩阵多点开花。公司在AI应用层的商业化进展显著，核心产品持续拓展。天工超级智能体核心引擎升级至SkyworkDeepResearchAgentV2,新增“多模态深度调研”能力;海外版上线 AIDeveloper，支持自然语言生成全栈Web应用。AI视频方向，SkyReels平台启动V3版本内测，基于 SkyReels-V3模型打造一站式 AI视频创作工作台，预计2025年11月上线;AI音乐方向，Mureka 平台推出 AgentStudio，通过自然语言驱动音乐创作并与 SongMint达成商业合作;短剧业务DramaWave 则通过新增动漫频道与网文频道拓展内容生态，利用AI技术提升内容本地化与素材生成效率，推动商业化效率持续提升。投资建议:公司 03单季度实现扭亏为盈，显示出经营改善与AI商业化初见成效。短剧、社交及浏览器等海外业务保持高速增长，为AI战略投入提供稳健支撑。随着天工超级智能体、AI视频、AI音乐等核心产品商业化路径逐步明晰，AI业务有望成为公司中长期增长的核心驱动力。预计 2025-2027年公司归母净利润分别为-3.54/0.58/1.17亿元，EPS 分别为-0.28/-0.05/0.09元，维持“买入”评级。风险提示:全球宏观贸易政策波动风险;数贸中心招商与投运节奏不及预期;AI业务商业化落地进展不及预期;监管政策变动风险。",,中航证券,买入,[None],2025-11-05,,买入,7552294,pdf_downloads/2025/2025-11-05/300418-昆仑万维（300418）：Q3单季实现扭亏为盈，AI与短剧双引擎驱动成长.pdf,300418,昆仑万维,昆仑万维（300418）：Q3单季实现扭亏为盈，AI与短剧双引擎驱动成长
"朱珺,吴珺","2025年11月02日│中国内地 文化娱乐 公司Q3实现营收20.72亿元（yoy+56.16%，qoq+5.19%），归母净利1.90亿元（yoy+180.13%，环比扭亏为盈）。2025年Q1-Q3实现营收58.05亿元（yoy+51.63%），归母净利-6.65亿元（去年同期-6.27亿元），扣非净利-6.74亿元（去年同期-6.49亿元）。25Q3盈利主要得益于投资业务去年同期亏损今年盈利。AI应用商业化推进，海外业务发展态势良好，维持“买入”评级。短剧业务增长迅猛，成为核心收入引擎旗下短剧平台DramaWave延续了上半年的高增长，根据公司公告，2025 年8 月，DramaWave 已跃居海外短剧平台收入榜第三位，单月下载量突破400万次。在技术层面，DramaWave持续加大AI技术应用深度，重点聚焦内容本土化、投放素材生成及用户交互等核心环节。在内容创新方面，DramaWave上线动漫频道，成为全球一线短剧平台中首个引入动漫内容的探路者，目前已上线多部脑洞、玄幻类动漫作品，支持18种语言，人均观看时长超过30分钟。动漫内容的推出推动短剧用户与动漫用户之间的相互渗透，实现“破圈增长”。平台已在北美、东南亚、拉美等主要市场均取得显著成绩。AI相关收入不断增长，验证商业化进展25H1AI软件技术收入已达6500万元，验证了商业化进展。当前AI布局来看：1）AI智能体（Skywork Agent）作为公司在生产力场景的战略级产品，Skywork Agent自5月发布以来持续迭代，Q3在海外版上线了面向非专业人员的AI Developer功能，支持自然语言生成全栈Web应用。2）AI音乐平台Mureka在Q3推出Agent Studio功能，进一步降低创作门槛。3）AI社交产品Linky的流水自Q2以来也持续环比增长并创新高。4）AI视频方面，2025 年 9 月中旬，公司旗下 AI 视频平台 SkyReels 启动全新版本内测，基于SkyReels-V3 模型构建一站式 AI 视频创作工作台。我们认为公司AI业务商业化进展顺利，为长期估值提供支撑。海外业务持续高增，销售费用率有所提升公司Q3实现海外业务收入54.1 亿元，同增58%，海外收入占比达93.3%，持续拓展海外市场布局，主要由出海短剧业务驱动。25Q3毛利率69.97%，同降4.48pct，主因广告业务及海外社交业务毛利率下滑。Q3销售/管理/研发费用率51.32/15.05/19.92%，分别同比变动15.85/-15.57 /-9.2pct，销售费用率大幅提升主因同比来看短剧出海业务营销投放增加，管理费用率下降主因24Q3确认股权激励费用基数较高，研发费用率较此前高点回落。25Q3公允价值变动损益约8000万元，主因25Q3小马智行与爱奇艺表现较为突出，对公司整体投资收益贡献较大，带动投资板块业绩整体回暖。盈利预测与估值考虑到公司海外短剧业务增长迅速，我们上调25-27年营业收入至70.7/73.7/77.7亿元，调整幅度8.20% /9.22%/9.90%；预计公司25-27年归母净利润-3.2亿元/3.8亿元/6.2亿元，调整幅度-1.94%/4.21% /6.99%。主要上调了短剧业务收入，同时考虑到短剧业务买量成本较高，上调了销售费用率。我们基于SOTP估值法公司目标市值710亿元（基于25年StarX为4XPS, Opera 12 X PS，闲徕互娱14X PE，ArkGame 4.7X PS，短剧业务5.8XPS,投资业务目标市值92.3亿元，大模型业务估值117.7亿元）对应目标价56.57元（前值54.13元，亦基于SOTP估值）。风险提示：AI落地不及预期、模型开发进度不及预期、行业政策风险。",,华泰证券,买入,[None],2025-11-03,,买入,7298269,pdf_downloads/2025/2025-11-03/300418-昆仑万维（300418）：短剧收入同比高增，净利润环比扭亏.pdf,300418,昆仑万维,昆仑万维（300418）：短剧收入同比高增，净利润环比扭亏
"张良卫,周良玖","投资要点事件：公司披露2025年三季度业绩，2025Q3实现营收20.72亿元，同比增长56.16%，实现归母净利润1.9亿元，同比及环比均扭亏为盈。管理及研发费用率相对稳定，销售费用率环比提升2.6pct，主要由于公司市场推广费和充值渠道费增加所致。公司业绩符合我们预期。OPERA夯实公司业务基本盘，短剧驱动收入高增长。1）OPERA业务超出指引，收入及利润实现较快增长。2025Q3OPERA实现收入1.519亿美元，同比增长23%，其中广告收入增长27%，至9,590万美元，Query业务收入增长17%，至5,560万美元。净利润0.186亿美元，净利率为12%，上年同期为0.179亿美元及 15%的净利率。经调整净利润0.268亿美元，同比增长17%。Opera指引公司2025Q4收入为1.62-1.65亿美元，同比增长12%，增速下滑主要是由于2024Q4的异常高收入基数，指引2025Q4经调整EBITDA为0.375-0.405亿美元，经调整EBITDA率达到24%。2）短剧业务高速增长，延续此前趋势。根据sensortower数据，2025Q1/Q2/Q3公司短剧平台dramawave收入（扣除渠道成本后）1,822/3,456/4,682万美元，免费短剧平台FreeReels在2025Q3下载717万，下载量增长显著。报告期内DramaWave上线动漫频道，成为全球一线短剧平台中首个引入动漫内容的探路者。3）投资业务在2025Q3贡献显著利润增量，公司持股小马智行与爱奇艺在2025Q3股价表现较为突出，对公司整体投资收益贡献较大，Q3公允价值变动净收益4.58亿元。4）AI算力芯片业务保持良好进展，研发工作按计划推进。看好公司AI业务进展。近期公司AI业务的主要进展包括：1）Q3开源或发布奖励模型、多模态推理模型、自回归多模态统一模型、3D世界生成模型，并发布多项论文成果；2）AI智能助手在Q3用户规模有显著环比增长，AI视频平台SkyReels启动全新版本内测，预计11月初正式上线，推出多款重磅音乐模型，Mureka及Linky持续优化产品功能与用户体验。盈利预测与投资评级：看好公司在AI领域的前瞻布局，短期研发及营销费用前置拖累经营主业业绩释放，期待后续产品更新及收入放量；OPERA业绩持续超预期，产品力得到验证，有望受益于AI对于浏览器的赋能；短剧业务Q3继续高增长，行业地位提升；期待AI算力芯片业务进展。维持公司盈利预测，2025-2027年营业收入分别为84/104/122亿元，EPS为-0.69/-0.34/0.08元,对应当前股价PS分别为7/6/5倍。我们看好公司AI商业化加速，盈利潜力有望逐步兑现，维持公司“买入”评级。风险提示：AI进展不及预期，经营性业务不及预期，行业监管风险。",,东吴证券,买入,[None],2025-11-02,,买入,7272208,pdf_downloads/2025/2025-11-02/300418-昆仑万维（300418）：收入增长亮眼、同环比扭亏为盈，AI全产业链布局持续取得进展.pdf,300418,昆仑万维,昆仑万维（300418）：收入增长亮眼、同环比扭亏为盈，AI全产业链布局持续取得进展
"陈筱,陈星光","本报告导读：公司是国内领先的人工智能科技公司，已经完成了从算力到模型到垂类应用的全产
业链布局，未来商业化能力有望持续体现。投资要点：我们预计公司2025-2027年EPS分别为-0.38元、0.60元和0.86元，结合 PE 和 PS 两种估值方法对公司进行估值，最终给予公司目标价65.16元，首次覆盖给予“增持”评级。国内领先的人工智能科技公司，25H1收入实现快速增长。公司是国内领先的人工智能科技公司，目前已完成“算力基础设施—大模型算法—AI应用”全产业链布局，并构建起由AI大模型、AI搜索、AI游戏、AI音乐、AI 社交、AI短剧等组成的多元AI业务矩阵。2025年上半年，公司各项新业务保持高速发展，驱动营业收入快速增长，实现营业总收入 37.33 亿元，同比增长 49.23%。其中，海外收入 34.41 亿元，同比增长 56.02%，占收入比重达 92.17%，同比增加 4 个百分点。同时，公司通过提升运营效率，优化资源配置，强化投资管理，第二季度环比亏损额显著减少，亏损幅度显著收窄。大模型布局领先，AI智能体重塑办公与内容创作范式。2025年上半年，公司先后发布并开源多款行业领先模型，涵盖强化学习、多模态、软件工程及代码、空间智能等众多技术领域，保持行业领先水平。在AI智能体方向，2025 年 5 月 22 日，公司面向全球市场同步发布天工超级智能体。天工超级智能体采用 AI Agent 架构与 Deep Research 技术，具备一站式生成文档、PPT、表格、网页、播客及多媒体内容的能力，凭借其专业化多模态内容生成能力和完善的用户体验设计，正重塑全球办公与内容创作范式。短剧业务实现高速增长，成为公司营收的重要驱动。短剧业务方面，公司旗下短剧平台 DramaWave 持续保持强劲增长势头。得益于“付费+免费”相结合的多元分发模式，DramaWave 有效覆盖不同消费层级的全球用户群体，截至25年6月30日，平台年化流水收入 ARR 突破2.4 亿美元（单月流水收入突破 2000 万美元），展示出强大的商业化潜力，为平台可持续增长提供坚实基础，我们认为短剧业务有望成为公司未来营收新增长极。风险提示。1）行业政策变动风险；2）海外业务业绩下滑；3）AI应用落地不及预期；4）核心技术人才流失风险。",,国泰海通,增持,[None],2025-09-30,,买入,6501071,pdf_downloads/2025/2025-09-30/300418-昆仑万维（300418）：首次覆盖报告：大模型技术领先，AI垂类产品商业化持续推进.pdf,300418,昆仑万维,昆仑万维（300418）：首次覆盖报告：大模型技术领先，AI垂类产品商业化持续推进
"张衡,陈瑶蓉","营收持续增长，亏损幅度环比大幅缩窄。1）上半年年公司实现营业收入37.33亿元、同比增长49.23%；归母净利润亏损8.56亿元、同比下滑119.86%，对应摊薄EPS-0.68元；2）Q2公司实现营收19.69亿元、同比增长52.17%；归母净利润亏损0.87亿元，同比下滑57.1%，对应摊薄EPS-0.07元，亏损规模相比Q1大幅缩窄（Q1为-7.69亿元）；3）营收大幅增长主要受益于AI商业化落地、音乐/短剧等贡献显著营收增量；净利润亏损主要在于AI研发投入以及投资收益亏损。AI商业化初现成效。1）大模型方面，公司先后发布并开源多款行业领先模型，涵盖强化学习、多模态、软件工程及代码、空间智能等众多技术领域；2）智能助手方面，发布天工超级智能体（SkyworkSuperAgents），具备一站式生成文档、PPT、表格、网页、播客及多媒体内容的能力，正式开启“AIOffice智能体”时代；3）应用方面，推出AI视频、音乐、社交、短剧、游戏（自研AI游戏《猫森学园》）等持续推进；3）商业化方面，旗下短剧平台DramaWave持续保持强劲增长势头。得益于“付费+免费”相结合的多元分发模式，DramaWave有效覆盖不同消费层级的全球用户群体，截至报告期末，平台年化流水收入ARR突破2.4亿美元（单月流水收入突破2,000万美元），展示出强大的商业化潜力。海外收入保持高增速。上半年公司海外业务收入规模至34.41亿元，同比增长56.02%，占总收入比重达93.0%；其中Opera实现营业收入2.86亿美元，同比增长35%；实现经调整后EBITDA0.64亿美元，同比增长25%。截至2025年第二季度，Opera全球月活跃用户达到2.89亿，年化ARPU上升至1.97美元，同比增长35%。风险提示：应用落地不及预期；技术进步低于预期；投资业务不及预期等。投资建议：维持盈利预测，维持“优于大市”评级。我们维持盈利预测，预计25/26/27年归母净利润分别为-4.39/0.37/3.98亿元，摊薄EPS=-0.36/0.03/0.32元；从大模型、算力芯片到AI应用，公司全面布局，有望成为AIGC时代的平台型公司；商业化持续落地之下经营业绩有望逐步改善，继续维持“优于大市”评级。",,国信证券,优于大市,[None],2025-09-01,,买入,6376968,pdf_downloads/2025/2025-09-01/300418-昆仑万维（300418）：中报点评：亏损幅度环比缩窄，海外业务及AI商业化表现良好.pdf,300418,昆仑万维,昆仑万维（300418）：中报点评：亏损幅度环比缩窄，海外业务及AI商业化表现良好
"裴伊凡,郭念伟","全球 AI生态平台构建者，AIGC与出海业务协同发展夯实竞争力。公司深耕全球化科技布局，以“科技+全球化”战略为引领，围绕AIGC、社交娱乐及游戏等多个核心领域协同推进，打造全球领先的AI 技术与应用生态。旗下 AI 大模型平台“天工 Skywork”持续升级，构建包括文本生成、多模态理解与智能交互在内的丰富产品矩阵，赋能内容创作与虚拟人等多元场景。游戏业务持续拓展多品类、全球化的精品矩阵，强化内容与AI技术融合创新。未来，公司将依托核心技术优势与全球化运营能力，持续拓展“AI+”边界，打造具有全球竞争力的智能科技企业。25H1 公司营收大幅增长，盈利能力阶段性承压。业绩方面，25H1公司实现营业收入37.33亿元，同比+49.23%，短剧业务和广告业务成为拉动收入的主力引警;归母净利润-8.56亿元，同比-119.86%;扣非后归母净利润-8.59亿元，同比-11090%，利润端承压主要由三方面因素叠加:一是AI研发持续投入，研发费用达 7.98 亿元;二是销售费用同比大增95.57%至18.28 亿元，主要为AI与新应用的市场投放;三是投资业务公允价值变动为-3.81 亿元，进一步拖累利润表现。分季度看，Q1/Q2 公司分别实现营收 17.64/19.69亿元，同比+46.07%/+52.17%;归母净利润分别为-7.6910.87 亿元，同比-310.32%/+57.10%，二季度亏损环比大幅收窄，主要因运营效率提升及投资业务环比转正，反映出公司经营质量改善趋势。分业务看，广告业务实现营收14.33 亿元/同比+61.05%;短剧平台业务实现收入583 亿元，搜索业务/社交网络业务分别实现营收6.91/6.79 亿元,同比+10.89%/0.01%。",,中航证券,买入,[None],2025-09-01,,买入,6395087,pdf_downloads/2025/2025-09-01/300418-昆仑万维（300418）：短剧与AI双轮驱动，盈利拐点可期.pdf,300418,昆仑万维,昆仑万维（300418）：短剧与AI双轮驱动，盈利拐点可期
"张良卫,周良玖","事件：2025H1公司实现营收37.33亿元，同比增长49.23%。公司通过提升运营效率，优化资源配置，强化投资管理，Q2环比亏损额显著减少，亏损幅度显著收窄，公司业绩符合预期。短剧显著放量，广告增长迅猛。公司Q2实现营业收入19.69亿元，同比增长52.17%。截至2025H1期末，DramaWave年化流水收入 ARR 突破2.4亿美元(单月流水收入突破2,000万美元)，相比2025Q1翻倍。上半年AI软件技术收入6,526.80万元，2024H1仅为494.40万元，广告业务收入14.33亿元，同比增长61.05%，也驱动公司整体收入增长。毛利率层面，公司Q2实现销售毛利率70.66%，环比小幅提升，同比下降7pct，主要原因在于广告业务增长较快，毛利率低于整体毛利率，但公司整体毛利率仍处于较高水平。费用层面，Q2销售费用9.59亿元，同比增长98.82%，主要是市场及推广费用增长导致；Q2管理费用3.11亿元，同比基本持平；Q2研发费用3.68亿元，同比减少9.97%，环比减少14.49%，根据上半年研发费用明细，主要系折旧及摊销费用同比有减少。2025Q2实现归母净利润-0.87亿元，2025Q1为-7.69亿元，2024Q2为-2.02亿元，公司季度利润同比及环比都有显著减亏。AI全产业链布局持续兑现。公司持续深化AI业务布局，全面推进“算力基础设施—大模型算法—AI 应用”全产业链发展。公司AI 芯片研发稳步推进，关键模块设计与验证工作有序开展，为后续产品落地奠定了坚实基础。大模型方面，公司围绕多模态推理、空间智能等核心领域，开源多款行业领先的大模型；应用方面，天工超级智能体正式发布，重塑AI办公与内容创作方式。AI视频、AI音乐等业务快速发展，平台影响力与商业化能力显著提升。AI游戏与AI社交产品持续优化，打造更强沉浸与互动体验。盈利预测与投资评级：考虑到公司短剧业务增长迅猛，我们上调2025-2027年营业收入分别为84/104/122亿元（前值为72/80/89亿元），EPS为-0.69/-0.34/0.08元（前值为-0.72/-0.63/-0.51元）,对应当前股价PS分别为6/5/4倍。我们看好公司AI商业化加速，盈利潜力有望逐步兑现，维持“买入”评级。风险提示：AI进展不及预期，经营性业务不及预期，行业监管风险。",,东吴证券,买入,[None],2025-08-28,,买入,6355780,pdf_downloads/2025/2025-08-28/300418-昆仑万维（300418）：2025 年中报点评：收入增长亮眼亏损显著收窄，AI全产业链布局持续取得进展.pdf,300418,昆仑万维,昆仑万维（300418）：2025 年中报点评：收入增长亮眼亏损显著收窄，AI全产业链布局持续取得进展
王晓萱,昆仑万维(300418)收入高增延续，关注AI算力芯片领域布局事件回顾2025年8月22日，公司发布2025年半年报，2025上半年，公司实现营业收入37.33亿元，同比增长49.23%；归母净利润-8.56亿元，同比减少119.86%；扣非后归母净利润-8.59亿元，同比减少110.91%。2025Q2，公司实现营业收入19.69亿元，同比增长52.17%；归母净利润-0.87亿元，同比减亏57.10%；扣非后归母净利润-0.88亿元，同比减亏58.98%。事件点评收入端：海外业务保持高增，持续驱动公司业绩增长。公司业务已覆盖全球100多个国家和地区，全球月活用户接近4亿。2025H1，公司实现海外收入34.41亿元，同比增长56.02%，收入占比升至92.17%（+4pct）。其中，Opera作为海外收入核心支撑，实现收入2.86亿美元，同比增长35%，延续高增势头。短剧业务收入5.83亿元，核心平台DramaWave年化流水（ARR）突破2.4亿美元，单月流水突破2000万美元；社交网络业务收入5.20亿元，同比增长10.20%，亦保持稳健增长。利润端：费用支出增速放缓，盈利能力有望逐步改善。2025H1，公司毛利率69.88%，同比下降8.32pct，主要受传统广告业务毛利率下滑拖累；期间费用率86.95%，同比上升0.69pct，其中管理费用率/研发费用率/销售费用率分别为16.61%/21.38%/48.95%，同比分别变动-2.02/-8.89/+11.60pct。考虑到公司AI业务仍处投入期，短期维持较高营销支出以保障获客仍属必要，但伴随新技术投入成本摊薄及管理提效推进，叠加产品成熟度与规模效应的逐步提升，中长期费用率水平有望持续优化。AI能力建设持续强化，芯片业务值得期待。公司持续推进“算力基础设施–大模型算法–AI 应用”全产业链协同发展。在基础能力方面，公司围绕多模态推理、空间智能等核心领域开源多款行业领先模型，并于2025年8月推出智能体Deep Research Agent v2，其在多项评测中刷新行业SOTA纪录。在应用层面，公司技术迭代已延伸至音乐、视频、游戏、短剧与社交等多个垂直场景。其中，音乐模型MurekaV7良品率与人声真实度显著提升；视频模型SkyReels优化生成时长与数字人表现力，预计9月将迎来新一轮迭代；自研AI游戏《猫森学园》聚焦个性化与沉浸感持续推进；短剧与社交业务亦不断强化AI能力。在软件生态基础上，公司同步加快AI芯片研发，关键模块设计与验证进展顺利。展望未来，伴随软件应用能力增强与硬件突破协同，公司AI业务商业化进程有望进一步提速，并成为中长期增长核心引擎。投资建议我们预计公司2025/2026/2027年营业收入分别为71/80/89亿元。考虑到Opera、短剧及社交业务稳健增长，以及AI产品持续迭代与应用落地带来的变现能力提升，公司盈利能力有望改善，归母净利润由 -4.40/0.10/2.78亿元上调至-4.40/0.16/2.78亿元，对应EPS-0.35/0.01/0.22元。以8月26日收盘价计算，对应PE分别为-120/3235/189倍，维持“增持”评级。风险提示技术进展不及预期风险；国际地缘政治风险；海外市场经营风险；互联网产品生命周期风险。,,中邮证券,增持,[None],2025-08-27,,增持,6354628,pdf_downloads/2025/2025-08-27/300418-昆仑万维（300418）：收入高增延续，关注AI算力芯片领域布局.pdf,300418,昆仑万维,昆仑万维（300418）：收入高增延续，关注AI算力芯片领域布局
