author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"苏立赞,许牧,高正泰",盈利质量总体稳健，利润结构持续优化但面临短期压力。截至2025年前三季度，中直股份实现营业总收入150.47亿元，同比下降13.02%；归属于母公司股东的净利润为3.73亿元，同比增长4.32%，展现出在收入承压背景下利润端的韧性。业绩分化主要源于高毛利业务占比提升及成本管控见效，尽管营收下滑，但净利润逆势增长。公司销售毛利率为7.75%，同比下降0.85个百分点，销售净利率为2.17%，同比微升0.15个百分点，反映出盈利效率的小幅改善。费用结构方面，销售费用0.85亿元、管理费用6.88亿元均显著压缩，体现控费成效；而研发费用达3.23亿元，同比大增72.17%，显示公司正加大技术投入以夯实长期竞争力。整体来看，利润虽规模有限，但结构更趋健康。资产负债结构总体稳健，运营效率与资产质量保持良好水平。截至2025年三季度末，公司资产负债率为67.23%，较去年同期的69.08%略有下降，整体杠杆水平可控。有息负债方面，短期借款29.46亿元、长期借款16.95亿元、一年内到期非流动负债0.52亿元，合计约46.93亿元，较2024年同期有所下降，偿债压力边际缓解。应收账款为112.91亿元，同比增速显著放缓，叠加信用减值损失仅0.62亿元，表明回款管理趋严、坏账风险可控。存货167.93亿元，同比微降1.10%，在营收下滑背景下库存未明显积压，周转效率相对稳定。值得关注的是，合同负债达59.03亿元，同比增长32.77%，预示未来订单交付与收入确认具备较强能见度。现金流表现有所改善，盈利变现能力与自由现金流状况边际向好。2025年前三季度，公司经营活动现金流量净额为-90.24亿元，虽仍为净流出，但同比改善21.21%，亏损幅度收窄，主要得益于销售回款显著增强——销售商品、提供劳务收到的现金达93.41亿元，同比大增216.59%，收入“含现量”从17.05%跃升至62.08%，盈利质量明显提升。利润现金含量为-27.68，虽为负值，但系行业特性及大额预付款项影响所致，结合应收账款与存货变动趋于平稳，现金流压力正在缓解。自由现金流为-94.04亿元，若剔除季节性因素及军工行业结算特点，整体现金流匹配性正逐步改善，为后续业绩释放奠定基础。盈利预测与投资评级：公司业绩符合市场预期，我们维持先前的预测，预计公司2025-2027年的归母净利润分别为6.22/6.97/7.66亿元，对应PE分别为48/43/39倍，维持“买入”评级。风险提示：1）产品质量与安全生产风险；2）原材料短缺及价格波动风险；3）订单及产品结构性调整风险。,,东吴证券,买入,[None],2025-10-31,,买入,7070529,pdf_downloads/2025/2025-10-31/600038-中直股份（600038）：收入短期承压但利润结构优化、现金流改善、订单能见度提升.pdf,600038,中直股份,中直股份（600038）：收入短期承压但利润结构优化、现金流改善、订单能见度提升
"骆志伟,李通",营收高增费用明显优化，聚焦低空经济发展战略事件描述中直股份公司发布了2025年中报。2025年上半年公司营业收入为102.41亿元，同比增长25.28%；归母净利润为2.82亿元，同比减少5.12%；扣非后归母净利润为2.06亿元，同比上升23.91%；负债合计311.92亿元，同比减少7.58%；货币资金79.41亿元，同比增长158.08%；应收账款90.65亿元，同比增长27.08%；存货148.03亿元，同比减少28.00%。事件点评二季度营收大增，费用端明显优化。受益于产品交付量增长，2025年Q2公司实现营收78.65亿元，同比增长63.80%。公司持续推进降本增效，费用端明显优化，2025年上半年管理费用率同比减少1个百分点，达到4.54%，销售费用率同比减少0.66个百分点，达到0.51%，财务费用率同比减少0.36个百分点，达到-0.38%。聚焦低空经济发展战略。公司不断加大细分市场、低空经济产业政策和竞争机型的研究分析，持续丰富产品谱系。13吨级直升机AC313A于6月份完成局部改进及复飞工作，持续改进优化，为后续型号取证奠定有力基础。AC332目前正在建三江开展自驾系统调参试飞，泸沽湖机场开展高原补充试飞。未来公司将进一步塑造创新型应用场景，增强产品供给，紧抓低空经济机遇，在完成产品结构调整后，持续受益于新机型的放量。投资建议我们预计公司2025-2027年EPS分别为0.71\0.85\0.99，对应公司9月1日收盘价39.85元，2025-2027年PE分别为55.8\47.1\40.4，维持“增持-A”评级。风险提示新机型需求不及预期；军用直升机订单波动风险；产品交付不及预期。,,山西证券,增持-A,[None],2025-09-02,,增持,6383162,pdf_downloads/2025/2025-09-02/600038-中直股份（600038）：营收高增费用明显优化，聚焦低空经济发展战略.pdf,600038,中直股份,中直股份（600038）：营收高增费用明显优化，聚焦低空经济发展战略
"罗楠,冯函",事件： 2025 年H1 实现营收102.41 亿元（+25.28%），实现归母净利润2.82 亿元（-5.12%）；单季度看，2025Q2 实现营收78.65 亿元（+63.80%），实现归母净利润0.80亿元（-51.99%）。 毛利率降低导致利润短期承压，看好长期盈利恢复态势。由于产品交付量同比增长，公司营收实现了一定增长，但上半年公司利润端增速明显不及收入端，主要受毛利率下降的影响。25 年H1 公司综合毛利率6.28%，同比下降-6.82pct，但我们认为未来随着规模效应的体现，毛利率将逐步回升。 低空产业持续开拓市场，未来有望贡献第二增长极。公司主要研发制造多型不同吨位、满足各类用途的各领域直升机，以及运12 和运12F 系列通用飞机。公司产品结构合理，产品谱系齐全，涉足直升机整机及零部件制造、通用飞机、航空转包生产和客户化服务等多领域，技术底蕴充足。25 年H1 公司联合产业链相关单位组建民机市场开拓联合团队，加大细分市场、低空经济产业政策和竞争机型的研究分析，走访调研潜在客户，捕获潜在市场需求，新增3 架AC311A 订单（2 架AC311A 销售和1 架AC311 租赁）；同时公司积极与相关潜在用户合作，成功完成11 架AC311A 采购选型论证工作，并助力公司民用航空产业高质量发展。我们认为低空经济的市场空间广阔，随着国家地区相关政策不断完善，直升机在应急救援、物流运输、旅游观光等领域的应用将得到拓展，未来有望贡献第二增长极。 科研工作稳步推进，国产大飞机有望带来新增量。公司关键工艺技术攻关成效显著，航空制造能力稳定提升，C919 型机应用大型客机复合材料自动制孔等技术，提升批产交付能力，同时C929 外襟翼工作包完成工艺准备策划。我们认为随着景气度回升，直升机与通用飞机需求将进一步恢复；同时随着C919 等国产大飞机未来产量提升，公司相应配套收入也有望进一步提升。 根据25 年中报调整营业收入增速和毛利率，调整25-26 年归母净利润为6.02、7.77亿元（原为8.79、10.82 亿元），新增27 年归母净利润为9.58 亿元，参考可比公司25 年平均64 倍PE，给予目标价46.72 元，维持增持评级。 风险提示 直升机订单不及预期等风险,,东方证券,增持,[None],2025-09-02,,增持,6385680,pdf_downloads/2025/2025-09-02/600038-中直股份（600038）：盈利能力小幅承压，低空与国产大飞机有望贡献新增量.pdf,600038,中直股份,中直股份（600038）：盈利能力小幅承压，低空与国产大飞机有望贡献新增量
"苏立赞,许牧,高正泰",持续聚焦航空产业发展战略机遇，加大市场开拓力度：2025年上半年，公司实现营业收入102.41亿元，同比增长25.28%；归属于母公司净利润2.82亿元，同比下降5.12%。增收不增利的主要原因在于营业成本同比大幅上升35.11%，导致利润空间被压缩。公司主营业务以直升机整机、零部件及航空制造服务为主，其中航空产品实现收入101.80亿元，占总营收的99.4%，较上年同期提升约0.3个百分点。航空整机收入占比提升，主要得益于交付量同比增加，尤其是AC系列直升机和新型号交付节奏加快，同时公司积极拓展低空经济、应急救援等新兴市场，带动航空产品收入结构优化。公司财务状况稳健，具备持续发展的基础：截至2025年上半年，公司总资产484.54亿元，较上年末下降7.23%，主要因货币资金减少40.17%至79.41亿元，用于支付采购款；总负债311.92亿元，下降12.98%，资产负债率由68.62%降至64.39%。销售毛利率由2024年上半年的13.10%降至2025年上半年的6.28%，主因成本端原材料及人工上涨。期间费用率保持平稳，销售费用率0.51%，管理费用率4.55%，研发费用率1.52%。经营现金流净流出74.13亿元，同比收窄19.46%。合同负债42.33亿元，较年初减少46.14%，系预收款陆续确认收入；存货148.03亿元，较年初增加5.18%，反映生产备货增加。核心竞争力上持续发力，聚焦直升机及有人与无人协同发展的产业格局：2025年上半年，公司核心竞争力持续增强。AC313A型13吨级直升机完成改进复飞，为后续取证奠定基础；AC332型直升机开展高原试飞，技术成熟度提升；C919大型客机复合材料自动制孔技术实现批产应用，工艺能力再上台阶。市场拓展方面，公司新签3架AC311A订单，并完成11架采购选型论证，低空经济布局初见成效。资本运作层面，公司于2024年7月完成向特定对象发行股票募资29.68亿元，资金主要用于直升机产能提升、新型号研制及无人机研发等项目，为公司中长期发展提供了资金保障。盈利预测与投资评级：公司业绩相对承压，我们下调先前的预期，预计公司2025-2027年归母净利润分别为6.22/6.97/7.66亿元，前值7.26/8.15/9.90亿元，对应PE分别为53/48/43倍，考虑到公司作为国内直升机领军企业，产品谱系齐全，同时也是低空经济发展中的核心骨干企业，因此维持“买入”评级。风险提示：1）产品质量与安全生产风险；2）原材料短缺及价格波动风险；3）订单及产品结构性调整风险。,,东吴证券,买入,[None],2025-09-02,,买入,6378808,pdf_downloads/2025/2025-09-02/600038-中直股份（600038）：持续聚焦航空产业发展战略机遇，在复杂市场环境中仍保持稳健.pdf,600038,中直股份,中直股份（600038）：持续聚焦航空产业发展战略机遇，在复杂市场环境中仍保持稳健
"鲍学博,王兴,朱雨时,田莫充",2025年8月29日│中国内地 航空航天 中直股份发布半年报，2025H1实现营收102.41亿元（yoy+25.28%），归母净利2.82亿元（yoy-5.12%），扣非净利2.06亿元（yoy-23.91%）。其中Q2实现营收78.65亿元（yoy+63.80%，qoq+230.99%），归母净利8032.29万元（yoy-51.99%，qoq-60.23%）。公司产品结构调整导致盈利能力短期下滑，我们仍长期看好军民直升机发展前景，同时公司切入低空经济赛道，打开新增长极，维持“买入”评级。哈尔滨分部收入高增，哈尔滨、景德镇分部利润率下滑显著25H1公司哈尔滨分部实现营收80.93亿元，同比+68.99%，分部利润总额3.38亿元，同比-3.93%，收入同比增长，主要系产品交付量同比增长，利润总额不增反降，或由于产品结构变化，部分产品阶梯降价等因素；景德镇分部25H1实现营收20.72亿元，同比-45.47%，分部利润总额-4144.63万元，24H1同期利润总额为7230.67万元，公司景德镇分部仍在产品结构过渡期，业绩降幅显著；公司保定分部25H1实现营收3.16亿元，同比-13.09%，利润总额为-3468.41万元，24H1同期利润总额为-3486.84万元。年度预算指引较为平稳，2025年或仍为公司经营过渡年根据25.4.28发布的股东大会资料公告，公司预计25年实现营业收入302.49亿元，同比增长1.63%，预计实现归母净利润6.04亿元，同比增长8.66%，公司2025年度预算的业绩指引较为稳健，我们认为景德镇方向的成熟机型产品此前订单断档的问题仍未完全解决，在交付量显著下滑的情况下，景德镇分部转盈为亏，对公司整体业绩拖累较为显著，同时公司哈尔滨分部的新机型规模效应有所滞后，整体来看2025年或仍为公司的经营过渡年。公司科研工作稳步推进，聚焦低空经济发展战略根据公司半年报，13吨级直升机AC313A于6月份完成局部改进及复飞工作，持续改进优化，为后续型号取证奠定有力基础，不断提升市场竞争力。关键工艺技术攻关成效显著，航空制造能力稳定提升，C919型机应用大型客机复合材料自动制孔等技术，提升批产交付能力；C929外襟翼工作包完成工艺准备策划。AC332目前正在建三江开展自驾系统调参试飞，泸沽湖机场开展高原补充试飞。25H1公司新增3架AC311A订单（2架AC311A销售和1架AC311租赁）；同时，积极与相关潜在用户合作，成功完成11架AC311A采购选型论证工作，助力公司民用航空产业高质量发展。盈利预测与估值考虑到公司产品结构调整及成熟型号降价，我们下调公司航空产品毛利率预测值，预计25-27年归母净利润（-18.14%/-22.11%/-23.71%）至6.14/6.96/7.95亿元，对应EPS为0.75/0.85/0.97元。可比公司25年Wind一致预期PE均值为68倍（前值为44倍），考虑到公司仍处于产品过渡期，短期下调盈利预测，因此下调估值溢价，给予25年68倍PE，上调目标价至51.00元（前值46.41元，对应51倍25年PE）。风险提示：产品质量与安全生产风险、军品订单恢复不及预期。,,华泰证券,买入,[None],2025-08-31,,买入,6370571,pdf_downloads/2025/2025-08-31/600038-中直股份（600038）：产品交付量增长，盈利能力短期承压.pdf,600038,中直股份,中直股份（600038）：产品交付量增长，盈利能力短期承压
"骆志伟,李通",高效整合重新启航，紧抓低空经济机遇事件描述中直股份公司发布了2024年报。2024年公司营业收入为297.66亿元，同比增长11.93%；归母净利润为5.56亿元，同比减少7.98%；扣非后归母净利润为4.82亿元，同比上升19.68%；负债合计358.40亿元，同比增长103.89%；货币资金132.72亿元，同比增长311.85%；应收账款89.86亿元，同比增长76.41%；存货140.75亿元，同比增长8.95%。事件点评国内直升机制造龙头，全面支撑低空经济发展。公司是国内直升机制造业中规模最大、产值最高、产品系列最全的主力军。公司产品结构合理，产品谱系齐全，为国内各型直升机提供零部件，同时公司也研发制造多型不同吨位、满足各类用途的AC系列民用直升机，以及运12和运12F系列通用飞机，是全面支撑低空经济发展的航空高科技核心骨干企业。整合直升机总装资产，紧抓低空经济机遇。公司通过整合直升机总装资产，将扩大直升机产品范围，提升直升机产品整体生产能力，主营业务能力将获得有效提升。公司募集配套资金30亿，用于新型直升机与无人机研发能力建设项目、航空综合维修能力提升与产业化项目、直升机生产能力提升项目等项目。未来公司将进一步扩充完善产品谱系，紧抓低空经济机遇，在完成产品结构调整后，持续受益于新机型的放量。投资建议我们预计公司2025-2027年EPS分别为0.83\0.99\1.15，对应公司3月28日收盘价36.22元，2025-2027年PE分别为43.7\36.7\31.5，公司通过全面整合直升机资产，完善了产品谱系，进一步提升了公司发展质量，并将持续受益于通用航空和低空经济的快速发展，首次覆盖给予“增持-A”评级。风险提示新机型需求不及预期。公司新机型研发及现有型号改型工作可能与市场需求出现偏差，导致需求不及预期。军用直升机订单波动风险。军品采购具有很强的计划性，整机采购型号和数量可能会受到军品采购政策及节奏变化的影响出现波动。产品交付不及预期。公司部分部件需要对外进行采购，如果部件供应不稳定，可能会对产品的交付造成影响。,,山西证券,增持-A,[None],2025-04-01,,增持,5972379,pdf_downloads/2025/2025-04-01/600038-中直股份（600038）：高效整合重新启航，紧抓低空经济机遇.pdf,600038,中直股份,中直股份（600038）：高效整合重新启航，紧抓低空经济机遇
"尹会伟,孔厚融,冯鑫",24年完成资产重组；25年预计关联采购大幅增长事件：3月28日，公司发布2024年年报，全年实现营收297.7亿元，YOY +11.9%；归母净利润5.56亿元，YOY -8.0%；扣非净利润4.82亿元，YOY +19.7%。业绩表现基本符合市场预期。公司2024年营收增长但利润下滑的主要原因之一是2023年部分产品价格调整造成23年业绩基数高；之二是部分零部件质保费较高。我们点评如下：盈利能力稳定；实现直升机业务整体上市。1）单季度：公司4Q24实现营收124.7亿元，YOY +42.7%；归母净利润1.99亿元，YOY +110.7%。2）利润率：2024年，公司毛利率同比增加0.3ppt至10.5%，净利率同比增加0.1ppt至1.6%。3）可交换债券：控股股东中航科工（持股50.9%）拟以持有的公司部分A股股票为标的非公开发行可交换债券，发行期限不超过3年（含），募集资金不超过10亿元。4）资产重组：2024年，公司完成重大资产重组项目并足额募集配套资金约30亿元，实现直升机业务整体上市。航空产品交付稳步增加；引领低空产业创新发展。分产品看，2024年，公司：1）航空产品：实现营收292.4亿元，YOY +12.10%，毛利率同比减少0.03ppt至10.49%。2）先进制造：实现营收8818万元，YOY +27.65%，毛利率同比减少0.24ppt至-11.49%。关联交易：公司预计2025年向航空工业集团下属公司采购商品/接受劳务金额为220亿元，较2024年实际发生额+165%；出售商品/提供劳务金额为27亿元，较2024年实际发生额+103%。经营分析：2024年，公司：1）C919项目批生产能力提升攻关突破16项关键技术；2）AC系列直升机初步形成覆盖我国高原到平原等丰富地理环境的多场景应急救援能力。3）公司作为国内直升机产业的领军企业，在低空经济产业发展中发挥主力军作用。费用率保持在较低水平；经营净现金流改善明显。2024年公司期间费用率同比增加0.8ppt至9.1%：1）销售费用率同比减少0.5ppt至0.5%；2）管理费用率同比增加0.3ppt至4.3%；3）财务费用率为0.2%，去年同期为0.01%；4）研发费用率同比增加0.8ppt至4.1%。截至2024年末，公司：1）应收账款及票据91.3亿元，较年初增加25.5%；2）存货140.8亿元，较年初减少18.9%；3）预付款项15.2亿元，较年初增加46.9%；4）合同负债78.6亿元，较年初减少10.5%。2024年经营活动净现金流为25.7亿元，2023年为-63.6亿元。投资建议：公司作为国内直升机领军企业，产品谱系齐全，涉足整机及零部件制造、通用飞机、航空转包生产和客户化服务等多领域，同时公司也是低空经济发展中的航空高科技核心骨干企业。我们预计，公司2025~2027年归母净利润分别是6.78亿元、8.03亿元、9.27亿元，当前股价对应2025~2027年PE分别是44x/37x/32x。我们考虑到公司的直升机龙头地位，维持“推荐”评级。风险提示：下游需求不及预期、产品价格波动等。,,民生证券,推荐,[None],2025-03-31,,增持,5969438,pdf_downloads/2025/2025-03-31/600038-中直股份（600038）：2024年年报点评：24年完成资产重组，25年预计关联采购大幅增长.pdf,600038,中直股份,中直股份（600038）：2024年年报点评：24年完成资产重组，25年预计关联采购大幅增长
"苏立赞,许牧,高正泰",财务状况稳健，但仍需关注利润率的优化：2024年，中直股份实现营业收入297.66亿元，同比增长11.93%；归属于母公司所有者的净利润为5.56亿元，同比下降7.98%。基本每股收益为0.72元，同比下降12.39%；加权平均净资产收益率为4.14%，较2023年下降0.97个百分点。尽管营业收入保持增长，但净利润和每股收益的下降表明公司在盈利能力上面临一定压力。变化的主要原因包括：一是2024年低空经济政策红利释放，推动直升机及通用航空市场需求增长，带动营业收入提升；二是研发费用和运营成本增加，叠加市场竞争加剧，导致利润空间受到压缩。此外，经营活动产生的现金流量净额为25.68亿元，较2023年大幅改善，表明公司在现金流管理方面取得积极进展。持续推动产品积累和技术创新，丰富公司产品线：2024年，中直股份在直升机整机及零部件制造领域持续巩固技术优势，研发制造多型不同吨位的直升机产品，覆盖军用、民用及应急救援等多个应用场景。公司重点推进无人机和eVTOL（电动垂直起降飞行器）等新兴航空器的研发，推动低空经济应用场景从传统通用航空领域向物流配送、城市空中交通等新兴领域拓展。此外，公司在运12和运12F系列通用飞机的研发中取得技术突破，进一步提升产品性能和市场竞争力。通过技术创新和产品谱系化布局，中直股份在低空经济和通用航空领域的核心竞争力显著增强，为未来市场拓展奠定坚实基础。加大市场开拓力度，并积极推进高质量发展：首先，公司完成了重大资产重组项目，成功募集配套资金约30亿元，进一步夯实了公司战略定位，增强了综合实力。其次，公司消除了交叉持股情形，全资子公司哈飞集团将其持有的公司全部股份转让给中航科工，优化了公司股权结构。此外，公司在报告期内还积极开拓直升机市场，与多家客户签订了销售合同和意向合同，进一步提升了市场占有率和品牌影响力。最后，中直股份完成股权激励计划，向核心管理团队和技术骨干授予限制性股票，旨在提升公司治理水平和员工积极性。盈利预测与投资评级：公司业绩略微承压，考虑到下游需求调整，出于谨慎原则，我们下调先前的盈利预测，预计公司2025-2026年归母净利润为7.26/8.15亿元，前值8.80/10.76亿元，新增2027年预期9.90亿元，对应PE分别为41/36/30倍，但考虑到公司在我国军用直升机行业的优势卡位，因此维持“买入”评级。风险提示：1）产品质量与安全生产风险；2）原材料短缺及价格波动风险；3）订单及产品结构性调整风险。,,东吴证券,买入,[None],2025-03-30,,买入,5968767,pdf_downloads/2025/2025-03-30/600038-中直股份（600038）：2024年报点评：有望落地更多订单，成长轨道重启在即.pdf,600038,中直股份,中直股份（600038）：2024年报点评：有望落地更多订单，成长轨道重启在即
"邱世梁,王华君,陈晨",事件：公司发布2024年报，全年营收同比增长11.93%，归母净利润下滑7.98%1）2024年业绩：2024年公司营收297.66亿元，同比增长11.93%；归母净利润5.56亿元，同比下降7.98%。从2024年度预算完成情况看，营收完成预算的97%、归母净利润完成预算的78%，业绩符合市场预期。利润下滑原因系2023年受到部分产品价格调整对业绩的积极影响较大，以及2024年部分零部件产品发生质保费较高。2）2024Q4业绩：2024Q4单季度公司实现营收124.65亿，同比增长42.71%，环比增长36.59%；归母净利润1.99亿，同比增长110.71%，环比增长232.37%。2024年景德镇分部营收大增71%，哈尔滨分部收入和利润稳步增长1）从公司分部看，2024年哈尔滨分部实现收入209.43亿元（同比+24%），净利润4.72亿元（同比+9%），净利率2.25%（同比-0.31pct）；景德镇分部实现收入100.58亿元（同比+71%），净利润2.00亿元（同比+274%），净利率1.99%（同比+1.08pct）；保定分部实现营收10.01亿元（同比+5%）、天津分部实现营收2.93亿元（同比+3563%），净利润均为亏损状态。哈尔滨分部收入和利润稳定爬坡，景德镇分部2024年收入和利润均大幅增长走出谷底，天津分部收入增速较快。2）整体利润率：2024年公司销售毛利率10.47%，同比增长0.34pct。销售净利率为1.62%，同比增长0.13pct，利润率改善明显。3）期间费用率：2024年公司期间费用率9.10%，同比上升0.83pct，系研发费用率、管理、财务费用率增加。资产重组并足额募资30亿元，中国直升机龙头整装出发1）2024年多项突破：完成重大资产重组项目并足额募资约30亿元，实现直升机业务整体上市。民用市场AC系列民用直升机累计签订81架销售/意向合同。C919批生产能力提升攻关突破16项关键技术。2）2025年展望：我们认为公司是国内领先的直升机整机及零部件制造商，军品将受益“十四五”收官，民品受益低空经济发展，军贸业务有望打开利润空间。投资建议与盈利预测预计公司2025-2027年归母净利润7.1、8.8、10.8亿，同比增长28%、24%、22%，PE为42、34、28倍，考虑到公司业绩逐步迈入成长通道和在直升机领域的龙头地位，维持“买入”评级。风险提示：直升机需求不及预期、民用直升机适航取证进度不及预期等风险。,,浙商证券,买入,[None],2025-03-30,,买入,5968520,pdf_downloads/2025/2025-03-30/600038-中直股份（600038）：全面完成年度任务，直升机龙头整装出发.pdf,600038,中直股份,中直股份（600038）：全面完成年度任务，直升机龙头整装出发
"李聪,朱雨时,田莫充",中直股份24年营收297.66亿元（较23年调整后同比+11.93%），归母净利5.56亿元（较23年调整后同比-7.98%）。24Q4营收124.65亿元（yoy+42.71%，qoq+36.59%），归母净利1.99亿元（yoy+110.71%，qoq+232.37%）。业绩低于我们预期（前次报告24年归母净利预测值7.30亿元），主要系23年部分产品价格调整造成补价款确收，增厚23年利润基数，24年该影响逐步消除，同时国内军品需求短期波动。我们仍长期看好军民直升机发展前景，同时公司切入低空经济赛道，打开新增长极，“买入”。24年净利润完成率为78%，主要系产品价格调整等短期波动根据此前公司公告的《2023年年度股东大会资料》，2024年预计实现营业收入308.13亿元，实际完成率为96.60%；预计实现归属于上市公司股东的净利润7.16亿元，实际完成率为77.64%。2024年公司收入同比增长但是归母净利润同比下降主要是因为23年同期受到部分产品价格调整对业绩的积极影响较大，加之24年部分零部件产品发生质保费较高。航空产品收入平稳增长，研发投入持续加大24年公司航空产品营收292.44亿元，同比+12.10%，毛利率为10.49%，同比-0.03pcts；其他产品营收5.22亿元，同比+3.38%，毛利率9.32%，同比+5.23pcts。24年公司销售费用率0.54%，同比-0.49pcts；管理费用率4.27%，同比+0.27pcts，主要系管理人员薪酬劳务费用增长；研发费用率4.05%，同比+0.82pcts，研发投入持续加大。民用直升机、C919项目均取得突破根据公司年报，24年公司各项研制任务进展顺利，AC313A直升机完成了首次高寒试飞，验证了低温飞行性能。AC332直升机在宁蒗泸沽湖机场完成高原试飞全部试飞科目，型号在高原环境下的性能得到充分验证，标志着AC332直升机高原试飞圆满完成。C919项目批生产能力提升攻关突破16项关键技术，满足客户生产需要。盈利预测与估值考虑到国内军用直升机需求节奏波动，下调公司航空产品营收预计值，预计25-27年EPS为0.91/1.09/1.27元（25-26年前值为1.08/1.33元，分别下调15.74%/18.05%）。可比公司25年Wind一致预期PE均值为44倍，公司直升机产品与民用市场兼容性更强，同时公司进军H-eVTOL领域，远期民品空间或强于可比公司，给予25年51倍PE，目标价46.41元（前值为44.50元，对应24年50X PE），维持“买入”。风险提示：产品质量与安全生产风险、军品订单恢复不及预期。,,华泰证券,买入,[None],2025-03-30,,买入,5967779,pdf_downloads/2025/2025-03-30/600038-中直股份（600038）：看好直升机龙头军民协同发展.pdf,600038,中直股份,中直股份（600038）：看好直升机龙头军民协同发展
