author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"查浩,刘晓宁,田源,雷轶,邱达治",事件：2025年11月15日，公司公告《发行股份及支付现金购买资产并募集配套资金暨关联交易报告书（草案）》。购买资产：拟以111.5亿元交易价格购买集团大股东旗下白音华煤电100%股权，其中现金对价15.6亿元，股份对价95.9亿元，向对手方内蒙古公司以14.77元/股（除息后）发行6.5亿股，占发行后总股本22.5%，锁定期3年。募集配套资金：拟定向增发募集配套资金不超过45亿元，其中35.6%/16亿用于支付现金对价，35.6%/16亿用于补充白音华流动资金，10.2%/4.6亿用于白音华露天矿改造更新，9.8%/4.4亿用于白音华铝电公司电解槽节能改造，8.9%/4亿用于白音华30万千瓦自备风电场建设。煤电铝增量显著模式相近，扩大“煤电铝”业务规模。公司此次购买的资产白音华煤电，包含煤炭业务、电力业务、电解铝业务，其中煤炭业务为白音华二号矿，煤炭核定产能1500万吨/年，电力业务为白音华坑口发电分公司及赤峰新城热电分公司，装机容量分别为132万千瓦、60万千瓦，电解铝业务为白音华铝电公司，拥有电解铝产能40.5万吨/年。白音华煤电主营业务及盈利模式与电投能源基本一致，若资产购买落地，有望显著增大公司现有的“煤电铝”一体化业务规模。收购定价合理，发行股份收购完成后EPS未被显著摊薄。据公司公告，合并白音华煤电100%股权后，公司2024年归母净利润由53.4亿元增加至67.9亿元，增长14.5亿元，2025H1归母净利润由27.9亿元增加至35.5亿元，增长7.6亿元，利润规模显著提升。不考虑募集配套资金的情况下，公司2024/2025H1的EPS，交易前分别为2.38/1.24元/股，交易后分别为2.35/1.23元/股，小幅摊薄2025上半年EPS0.01元/股，但白音华煤电2025Q3业绩突出，公司预计以2025前三季度业绩评估则不会摊薄EPS，随着白音华煤电业绩释放，长期来看有望增厚上市公司EPS。收购预计带来20亿元归母净利润增量，未来资产注入及扎铝二期投产或仍有增量。白音华煤电2025年归母净利润或超20亿元：据公司公告，白音华煤电2025年前三季度归母净利润约为14亿元，其中2025Q3归母净利润约6.4亿元，考虑Q4铝价进一步上行，则2025年归母净利润有望超20亿元，显著提升公司盈利水平。集团煤电铝资产仍有注入预期：根据实控人国电投集团出具的避免同业竞争承诺，未来集团旗下仍有白音华三号矿（核定产能2000万吨/年）、青铜峡铝业、黄河鑫业、通辽电投等煤电铝资产具备注入预期，有望进一步增厚公司业绩，增强公司“煤电铝”一体化发展模式。扎铝二期计划于2025年底投产：公司积极推进旗下扎铝二期（35万吨电解铝产能）建设，计划2025年底投产，配套65万千瓦风电，打造国内首条“绿电铝”生产线，有望贡献2026年业绩增量。盈利预测与评级：不考虑白音华煤电并表影响，我们预计公司2025-2027年归母净利润分别为57.7/64.0/66.1亿元，同比增速分别为8.0%/10.9%/3.4%，当前股价对应的PE分别为10.3/9.3/9.0倍。公司注入优质“煤电铝”一体化资产，旗下扎铝二期即将建成投产释放业绩，并有露天矿长协煤、坑口煤电、优质绿电等底层资源支撑，“煤电铝”一体化业绩稳健久期长，资本开支期结束后，公司作为能源央企，有望提升分红水平，股息率具备吸引力，维持“买入”评级。风险提示。煤炭价格超预期下跌，电解铝价格超预期下跌，氧化铝价格超预期上涨。,,华源证券,买入,[None],2025-11-27,,买入,8191702,pdf_downloads/2025/2025-11-27/002128-电投能源（002128）：拟收购白音华煤电，定价合理盈利有望上台阶.pdf,002128,电投能源,电投能源（002128）：拟收购白音华煤电，定价合理盈利有望上台阶
"刘孟峦,胡瑞阳","公司公告《发行股份及支付现金购买资产并募集配套资金暨关联交易报告书（草案）》：1.交易标的及其主营业务：白音华煤电100%股权，主营煤炭业务、电解铝业务和发电业务。2.交易方案：上市公司拟通过发行股份及支付现金的方式购买内蒙古公司持有的白音华煤电100%股权。同时，上市公司拟向不超过35名符合条件的特定投资者发行股份募集配套资金。3.交易价格（不含募集配套资金金额）：1,114,919.19万元。支付方式为，现金对价156,088.6866万元，股份对价958,830.5034万元。4.发行股份购买资产情况：发行价格为15.57元/股，除息后为14.77元/股，发行数量为649,174,342股，占本次发行股份购买资产后（不考虑募集配套资金）公司总股本的22.46%。国信煤炭观点：1）公司重大重组落地，一方面有利于解决公司同业竞争问题，另一方面能够帮助公司提高产能、增厚业绩。根据公司公告，以2025年上半年业绩计算，重组后将增厚公司营收约38%、归母净利润约27%、资产总额约46%。2）标的公司资产优质，本次交易价格约111.5亿元，根据标的资产2025年1-9月未经审计财务报表，白音华煤电2025年1-9月合并归母净利润约为14亿元，预计本次收购PE为5.5~6。同期上市公司PE约11。考虑公司新能源发电、铝业务均具备较好的成长性；长协煤占比较高，煤炭业务稳健；重大资产重组落地，强化煤电铝产业链优势，增厚业绩。我们维持盈利预测，预计2025-2027年公司归母净利润为56/58/60亿元。维持“优于大市”评级。评论：重大资产重组落地，有利于上市公司解决同业竞争问题，提高产能、增厚业绩白音华煤电主营业务为煤炭、电解铝及电力产品的生产和销售。公司煤炭产品主要销售给内蒙古、吉林、辽宁等地区燃煤企业，用于火力发电、煤化工、地方供热等方面；电力产品主要销售给国家电网华北分部、国网内蒙古东部电力有限公司等，用于电力及热力销售等；铝产品主要包括铝液和铝锭，其中铝液主要向周边铝加工企业销售，铝锭主要销往东北、华中、华东地区。公司拥有煤炭产能1500万吨/年、电解铝产能40.53万吨/年以及2×660MW超超临界火力发电机组等。资产重组后，根据公司公告，以2025年上半年业绩计算，将增厚公司营收约38%、归母净利润约27%、资产总额约46%。本次交易完成后，上市公司即期每股收益小幅下降，但根据标的资产2025年1-9月未经审计财务报表，白音华煤电2025年1-9月合并归母净利润约为14亿元（预计2025Q3业绩环比改善），按照该利润水平及上市公司2025年1-9月（未经审计）归母净利润数据计算，本次交易完成后预计不会摊薄上市公司2025年1-9月每股收益，随着标的公司业绩释放，长期来看将增厚上市公司每股收益。",,国信证券,优于大市,[None],2025-11-18,,买入,8035602,pdf_downloads/2025/2025-11-18/002128-电投能源（002128）：重大资产重组落地，产业链优势强化.pdf,002128,电投能源,电投能源（002128）：重大资产重组落地，产业链优势强化
"张津铭,刘力钰,高紫明,鲁昊,张卓然",资产收购落地，“煤电铝”一体化版图再进一步发布公告收购白音华煤电100%股权。交易形式：2025年11月15日电投能源发布公告，宣布拟通过发行股份及支付现金的方式购买内蒙古公司持有的白音华煤电100%股权。同时，上市公司拟向不超过35名符合条件的特定投资者发行股份募集配套资金。交易价格（不含募集配套资金金额）：111.49亿元，其中现金对价15.6亿元、股份对价95.88亿元；募集资金计划不超过45亿元。发行股份对价：15.57元/股，除息后为14.77元/股，发行股票数量约为6.49亿股，占本次发行股份购买资产后（不考虑募集配套资金）公司总股本22.46%。交易完成后，截止2025年6月30日，归母净利润：27.87亿元增至35.49亿元，资产负债率：27.26%提高至41.61%。白音华煤电2025年1-9月合并归母净利润约为14亿元，经计算，交易完成后预计增厚上市公司年化归母净利润18.67亿元，结合交易对价，本次交易PE约6.0X，本次交易完成后，预计不会摊薄上市公司2025年1-9月每股收益，随着标的公司业绩释放，长期来看将增厚上市公司每股收益。根据资产基础评估法，交易标的净资产账面价值75.3亿元(扣除永续债)，评估价值110亿元（扣除永续债），增值率46%。交易标的资产情况：22-25前三季度交易标的归母净利润分别为1.5、4.9、14.5、14.0亿元。露天二号矿：位于内蒙古锡林郭勒盟西乌珠程沁旗白音华化工园区，煤炭地质储量9.97亿吨，老年褐煤，平均发热量为3100千卡/千克，核定产能1500万吨/年，具有挥发分高、低硫、低磷、低灰等特点。交易完成后，电投能源公司总煤炭核定产能将增至6300万吨/年。坑口发电：位于内蒙古锡林郭勒盟西乌珠穆沁旗白音华化工园区，拥有2x660MW超超临界火力发电机组，2024年6月7日1号机组投产发电，2024年6月15日2号机组投产发电。铝电公司：40万吨/年电解铝产能自备风电厂建设主体（目前尚在建设期）建设完成后将转让给内蒙古白音华铝电有限公司。赤峰新城热电：赤峰市最大的供热热源点，拥有2台300MW亚临界空冷燃煤供热机组，总装机容量600MW。投资建议：我们预计公司2025-2027年实现归母净利润59/60/64亿元，对应PE为11.0X、10.6X、10.0X，维持“买入”评级。风险提示：电解铝价格大幅下跌；电价大幅下跌；煤炭价格不及预期。,,国盛证券,买入,[None],2025-11-16,,买入,7932614,pdf_downloads/2025/2025-11-16/002128-电投能源（002128）：资产收购落地，“煤电铝”一体化版图再进一步.pdf,002128,电投能源,电投能源（002128）：资产收购落地，“煤电铝”一体化版图再进一步
"黄涛,邓铖琦","维持盈利预测，上调目标价，增持评级。公司三季报公告2025年前三季度实现营收224.03亿元/+2.72%，归母净利41.18亿元/-6.40%。单Q3实现营收79.39亿元/同比+3.34%/环比+14.63%，归母净利13.31亿元/同比-8.52%/环比+8.46%。维持公司2025~2027年EPS为2.31、2.36、2.41元。给予公司2025年行业平均的14倍PE，上调目标价至32.34元，维持增持评级。煤炭板块业绩稳健性远高于同行。公司煤炭销售90%为长协销售，且蒙东褐煤价格一直以来保持相对低位稳定，因此公司煤价受市场价波动影响较小，公司25年上半年吨煤收入206元/吨，同比-1元/吨，预计全年相对稳定，公司煤炭板块业绩稳健性远高于同行。电解铝板块将进一步增厚业绩。1）公司少数股东权益主要来自电解铝公司霍煤鸿骏（持股51%），2025Q3少数股东权益3.19亿元，由此测算Q2霍煤鸿骏实现净利润约6.51亿元，同比提高约138%，环比略下降约2%。展望25Q4，公司铝价可参考wind铝（A00）平均价，截至10.23日，已上涨至21,060元/吨，截至当前Q4均价20,958元/吨，环比Q3上涨1.2%，而成本端参考中国氧化铝平均价，Q4环比Q3下降2.1%，因此预计公司Q4电解铝业务盈利能力将进一步提高，增厚公司业绩。2）公司大力推进扎哈淖尔35万吨绿电铝项目（扎铝二期项目）建设，目标2025年底并网投产，有望在2026年贡献业绩增量。静待收购落地，未来成长可期。公司正在推进白音华煤电资产收购，截至2024年底，标的公司拥有1500万吨/年褐煤产能、262万千瓦火电和40.53万吨/年电解铝产能。若完成收购，公司煤炭产能将从4800万吨增长至6300万吨，增幅为31%。煤电装机（包括霍煤鸿骏自备电厂）从300万千瓦增长至562万千瓦，增幅为87%。电解铝产能从86万吨增长至126.53万吨，增幅为47%。风险提示：煤价下跌超预期、铝价下跌超预期。",,国泰海通,增持,[None],2025-10-28,,买入,6897710,pdf_downloads/2025/2025-10-28/002128-电投能源（002128）：2025年三季报业绩点评：业绩稳健，未来成长可期.pdf,002128,电投能源,电投能源（002128）：2025年三季报业绩点评：业绩稳健，未来成长可期
"高升,李睿,刘波",事件：2025年10月24日，电投能源发布三季度报告，2025年前三季度公司实现营业收入224.03亿元，同比增长2.72%，实现归母净利润41.18亿元，同比下降6.40%；扣非后净利润40.30亿元，同比下降5.95%。经营活动现金流量净额78.50亿元，同比增长13.30%；基本每股收益1.84元/股，同比下降6.12%。分季度看，2025年三季度，公司单季度营业收入79.39亿元，同比增长3.34%；单季度归母净利润13.31亿元，同比下降8.52%。点评：蒙东褐煤价格走势平稳，公司煤炭业务有望稳健。公司地处蒙东核心煤炭产区，主要客户集中于东北地区。随着东北区域持续淘汰落后产能，本地煤炭市场供需结构持续优化，相较于全国市场展现出更强的抗波动能力。截至2025年10月24日，蒙东地区3200卡褐煤的全年均价为282元/吨，与2024年相比仅小幅回落3.6%，显示出较强的价格韧性。同时，公司煤炭销售结构中长协占比较高，在高比例长协支撑及区域基本面的共同推动下，公司煤炭板块的业绩有望延续稳健表现。电解铝业务是公司当前业绩弹性的主要来源和未来成长的核心引擎。公司旗下霍煤鸿骏铝电公司作为少数股东损益的主要构成部分，在2025年第三季度实现少数股东损益8.30亿元，较2024年同期增长34.95%，反映出电解铝板块盈利能力快速增强。此外，公司在建的扎鲁特二期35万吨电解铝项目我们预计将于2025年底至2026年初建成投产，该项目投产后，公司权益铝产能将实现进一步增长，为未来业绩贡献新增量。煤电铝协同发展，公司长期成长空间广阔。作为国家电投集团在内蒙古地区煤、电、铝产业布局的重要整合平台，公司具备外延式扩张潜力。公司拟收购白音华煤电公司100%股权，该公司拥有1500万吨/年的褐煤产能以及40.5万吨/年的电解铝产能，体量可观。此次资产注入有望提升公司在煤炭与电解铝两大核心业务方面的产能规模，不仅有助于强化其在区域内的产业龙头地位，也有望为公司打开更广阔的长期发展空间。盈利预测与投资评级：我们认为公司煤炭、电力、电解铝资产质量较好，在煤炭板块业绩稳健，绿电、电解铝业务具有增量的背景下，公司未来成长值得期待。我们预计，公司2025-2027年实现归母净利润分别为54.92/60.25/67.41亿元，每股收益分别为2.45/2.69/3.01元，维持“买入”评级。风险因素：宏观经济形势存在不确定性；地缘政治因素影响全球经济；煤电相关行业政策的不确定性；煤矿出现安全生产事故；并购事项推进,,信达证券,买入,[None],2025-10-26,,买入,6791594,pdf_downloads/2025/2025-10-26/002128-电投能源（002128）：煤炭业绩稳健，电解铝引领成长.pdf,002128,电投能源,电投能源（002128）：煤炭业绩稳健，电解铝引领成长
"张绪成,程镱",煤铝一体且业绩韧性高，关注煤矿注入和电解铝成长性。维持“买入”评级公司发布2025年三季报，前三季度营收224.03亿元，同比+2.72%；实现归母净利润41.18亿元，同比-6.40%；实现扣非后归母净利润40.30亿元，同比-5.95%。单Q3看，公司营收79.39亿元，环比+14.63%；实现归母净利润13.31亿元，环比+8.46%；实现扣非后归母净利润13.05亿元，环比+9.02%。我们维持盈利预测不变，预计2025-2027年公司归母净利润为57.3/60.5/64.0亿元，同比分别+7.3%/+5.5%/+5.8%；EPS分别为2.56/2.70/2.85元，对应当前股价PE分别为9.6/9.1/8.6倍。公司在煤铝主业稳健经营的基础上，积极推进新能源业务，装机规模有望持续放量，维持“买入”评级。煤炭业务稳健提供安全垫，电解铝量价齐升贡献核心弹性煤炭业务： 公司是蒙东及东北地区褐煤龙头，现有煤炭产能4800万吨/年。公司煤炭业务长协比例高，且下游客户主要在供需偏紧的东北地区，因此业绩韧性高。电解铝业务： 公司现有电解铝产能86万吨。Q3业绩环比显著改善，主要得益于电解铝板块。受益于氧化铝等原料成本下降及铝价上行，公司电解铝吨利润空间扩大，盈利弹性凸显。公司拥有自备电厂，绿电比例持续提升，用电成本优势显著，增强了电解铝业务的盈利能力。电力业务： 新能源业务发展迅速，截至2024年底新能源装机规模达500万千瓦（不含储能）。新能源装机持续放量不仅贡献稳定利润，也为电解铝业务提供了低成本的绿色电力。推进资产注入和产能扩张，成长空间广阔推进项目建设贡献产能增量： 煤炭业务方面，公司正积极推进购买国家电投集团内蒙古白音华煤电有限公司100%股权。电解铝业务方面，公司在建的扎鲁特二期35万吨项目预计于2025年底投产。上述项目全部落地后，公司电解铝总权益产能有望达到102万吨左右，实现跨越式增长。分红比例有望提升： 公司当前股息率约4.4%。随着在建项目陆续投产，未来资本开支预计将减少，在央企市值管理要求下，公司分红比例有望持续提高，股东回报值得期待。风险提示：煤铝价格下跌超预期；新能源机组利用率不及预期。,,开源证券,买入,[None],2025-10-25,,买入,6753154,pdf_downloads/2025/2025-10-25/002128-电投能源（002128）：公司信息更新报告：Q3业绩环比增长，关注铝弹性和煤铝成长.pdf,002128,电投能源,电投能源（002128）：公司信息更新报告：Q3业绩环比增长，关注铝弹性和煤铝成长
"黄涛,邓铖琦","本报告导读： 煤炭板块业绩稳健性远高于同行；Q2 受益于成本端氧化铝价格下跌，电解铝盈利同环比提高；煤企转型先锋，新能源业务成为公司业绩新增长点。 投资要点： 维持盈利预测 ，上调目标价，增持评级。公司公告 2025H1 实现营收144.64 亿元，同比+2.38%，归母净利27.87 亿元，同比-5.36%，其中Q2 实现归母净利12.28 亿元，同比+22.76%，环比-21.26%，公司Q2 业绩环比下滑主因煤业板块成本Q2 季节性提高，同比提高主要来自电解铝和新能源业务拉动。维持公司2025~2027 年EPS 为2.31、2.36、2.41 元。给予公司2025 年行业平均的12 倍PE，上调目标价至27.72 元，维持增持评级。 煤炭板块业绩稳健性远高于同行。公司2025H1 煤炭产量2,263.08万吨，同比-0.19%，销量2,177.45 万吨，同比-1.98%。吨煤收入206元/吨，同比-1 元/吨，吨煤成本94 元/吨，同比+8 元/吨，煤价下行期，公司煤价稳健性领先于行业，煤炭板块实现毛利24 亿元，同比-9.6%。公司煤炭销售90%为长协销售，且蒙东褐煤价格一直以来保持相对低位稳定，展望下半年，预计公司煤炭板块维持相对稳定。 Q2 受益于成本端氧化铝价格下跌，电解铝盈利同环比提高。1）公司2025H1 电解铝产量45.23 万吨，同比+0.98%，销量45 万吨，同比+0.58%。吨铝收入17952 元/吨，同比+2.38%，吨铝成本13892 元/吨，同比+5.06%，电解铝公司霍煤鸿骏（持股51%）实现净利润10亿元，同比+6.42%，毛利下降而净利提高，预计受益于公司加强各项费用管控。2）公司少数股东权益主要来自电解铝公司霍煤鸿骏（持股51%），2025Q2 少数股东权益3.26 亿元，由此测算Q2 霍煤鸿骏实现净利润约6.6 亿元，同比提高约28%，环比提高约75%，预计主要受益于成本端氧化铝价格下跌。 煤企转型先锋，新能源业务成为公司业绩新增长点。1）截至2025H1，公司新能源装机约500 万千瓦，2025H1 新能源发电量42 亿千瓦时，同比+37.23%，受益于此，新能源发电板块实现毛利6.4 亿元，同比+42.05%，成为公司业绩新增长点。2）2025H1 火电发电量24 亿千瓦时，同比-2.64%，通辽霍林河坑口发电公司实现净利润0.5 亿元，同比-18.16%，预计主要受电价下跌影响。 风险提示：煤价下跌超预期、铝价下跌超预期",,国泰海通,增持,[None],2025-09-04,,买入,6391814,pdf_downloads/2025/2025-09-04/002128-电投能源（002128）：煤电铝协同发展，业绩稳健.pdf,002128,电投能源,电投能源（002128）：煤电铝协同发展，业绩稳健
"刘孟峦,胡瑞阳",公司发布2025年半年报：2025H1公司实现营收144.6亿元，同比+2.4%，归母净利润27.9亿元，同比-5.4%。其中2025Q2公司实现营收69.3亿元，同比+2.1%，环比-8.1%，归母净利润12.3亿元，同比+22.8%、环比-21.3%。煤炭业务：吨煤售价小幅下降，吨煤成本有所增加。2025H1公司原煤产/销量为2263.1/2177.5万吨，同比-0.2%/-2.0%。吨煤售价201元/吨，同比-1.4元/吨，吨煤成本93元/吨，同比+8元/吨。煤炭业务实现营收/毛利为45/24亿元，分别同比-2.6%/-9.6%。铝业务：产销量保持稳定，成本增加高于铝价上涨，毛利下滑。2025H1公司电解铝产/销量为45.2/45万吨，同比+1.0%/+0.6%；吨铝售价/成本分别为17711/13691元/吨，分别同比增加409/648元/吨，铝业务板块实现营收/毛利81/18亿元，同比+3%/-5%。受益于铝价上涨，控股公司内蒙古霍煤鸿骏铝电上半年实现净利润10亿元，同比+6%。扎铝二期35万吨绿电铝项目正在向年底投产目标推进。电力业务：需求疲软，火电承压；随着装机量的快速增长，新能源发电量大幅增长，且成本降低，释放业绩弹性。2025H1公司火电发/售电量为24/22亿千瓦时，同比-2.6%/-2.5%，火电业务实现营收/毛利为8/2亿元，分别同比-6%/-20%。2025H1光伏风电合计发/售电量为42/42亿千瓦时，同比+37%/+38%；新能源度电售价/成本分别为0.262/0.109元/千瓦时，分别同比下降0.01/0.04元/千瓦时；风电实现营收/毛利为9/6亿元，分别同比+44%/+53%；太阳能发电实现营收/毛利为1.5/1亿元，分别同比-14.5%/+41%。投资建议：维持“优于大市”评级。维持盈利预测，预计2025-2027年公司归母净利润为56/58/60亿元。考虑公司新能源发电、铝业务均具备较好的成长性；长协煤占比较高，煤炭下行对煤炭业务影响相对有限；中长期集团资产有望注入，维持“优于大市”评级。风险提示：经济放缓导致煤炭需求下降、新能源快速发展替代煤电需求、安全生产事故影响、公司产能释放不及预期、公司分红率不及预期,,国信证券,优于大市,[None],2025-08-29,,买入,6367564,pdf_downloads/2025/2025-08-29/002128-电投能源（002128）：成本上涨业绩承压，铝业务弹性及新能源成长仍可期.pdf,002128,电投能源,电投能源（002128）：成本上涨业绩承压，铝业务弹性及新能源成长仍可期
"高升,李睿,刘波",事件：2025年8月27日，电投能源发布半年度报告，2025年上半年公司实现营业收入144.64亿元，同比增长2.38%，实现归母净利润27.87亿元，同比下降5.36%；扣非后净利润27.24亿元，同比下降5.38%。经营活动现金流量净额38.43亿元，同比下降2.14%；基本每股收益1.24元/股，同比下降5.34%。分季度看，2025年第二季度，公司单季度营业收入69.26亿元，同比增长2.12%；单季度归母净利润12.28亿元，同比增长22.76%。点评：受益于高长协占比和区域市场供需格局相对独立，公司煤炭业绩保持稳健。产销量方面：2025上半年，公司原煤产量为2263.08万吨，同比下降0.19%；销量为2177.45万吨，同比下降1.98%。价格和成本方面：煤炭销售均价为206元/吨，同比下降0.62%；煤炭单位成本94元/吨，同比增加8元/吨，涨幅9.53%。2025上半年，煤炭板块实现收入44.87亿元，同比下降2.59%；营业成本实现20.48亿元，同比上升7.36%。公司作为蒙东及东北区域大型煤炭生产企业，长协煤占比较高，且区域市场供需格局相对独立，使得公司煤炭业务盈利稳定性显著优于行业平均水平。火电业务量价小幅下降，风光发电同比显著增加。火电方面：2025上半年，公司实现火力发电量241595.25万千瓦时，同比降低2.64%；实现售电量220452.23万千瓦时，同比降低2.45%；实现火电销售电价0.363元/千瓦时，同比下降3.29%。风电光伏新能源方面：2025上半年，公司实现新能源发电量421926.82万千瓦时，同比增加37.23%；实现售电量418171.08万千瓦时，同比增加37.72%；新能源电价实现0.262元/千瓦时，同比下降3.61%。随着突泉44.5万千瓦风电、赤峰11万千瓦风储等重点项目顺利投产，公司新能源业务发电量显著增长。电解铝业务盈利提升，未来成长空间广阔。产销量方面：2025上半年，公司实现电解铝产量45.23万吨，同比提高0.98%；实现销售电解铝45万吨，同比提高0.58%。价格方面：2025上半年，公司实现电解铝销售均价17952元/吨，同比增加2.38%。成本方面：2025上半年，公司实现电解铝单位成本13892元/吨，同比增长5.07%。展望未来，扎铝二期35万吨绿电铝项目正在向2025年底投产目标冲刺，公司电解铝业务成长空间广阔。资产注入稳步推进，打开长期成长空间。公司作为国家电投在内蒙古区域煤、电、铝业务的整合平台，外延并购成长空间广阔，公司已披露拟通过发行股份及支付现金方式购买白音华煤电公司100%股权。该标的资产拥有1500万吨/年的褐煤产能和40.5万吨/年的电解铝产能。我们认为，此次资产注入若能顺利完成，将大幅提升公司煤炭与电解铝的产能规模，进一步巩固公司在区域内的龙头地位，并为长期发展打开新的空间。盈利预测与投资评级：我们认为公司煤炭、电力、电解铝资产质量较好，在煤炭板块业绩稳健，绿电、电解铝业务具有增量的背景下，公司未来成长值得期待。我们预计，公司2025-2027年实现归母净利润分别为56.44/63.86/73.08亿元，每股收益分别为2.52/2.85/3.26元，维持“买入”评级。风险因素：宏观经济形势存在不确定性；地缘政治因素影响全球经济；煤电相关行业政策的不确定性；煤矿出现安全生产事故；并购事项推进不及预期等。,,信达证券,买入,[None],2025-08-29,,买入,6367295,pdf_downloads/2025/2025-08-29/002128-电投能源（002128）：煤炭业绩保持稳健，电铝转型驱动成长.pdf,002128,电投能源,电投能源（002128）：煤炭业绩保持稳健，电铝转型驱动成长
张绪成,煤铝一体且业绩韧性高，关注煤矿和绿电成长性。维持“买入”评级公司发布2025年中报，2025H1实现营业收入144.64亿元，同比+2.38%；实现归母净利润27.87亿元，同比-5.36%，实现扣非后归母净利润27.24亿元，同比-5.38%。单Q2看，公司实现营业收入69.26亿元，环比-8.11%；实现归母净利润12.28亿元，环比-21.26%，实现扣非后归母净利润11.97亿元，环比-21.57%。考虑煤炭和电解铝价格判断趋势，我们适当调整盈利预测，预计2025-2027年公司归母净利润为57.3/60.5/64.0亿元（前值57.9/61.7/65.0亿元），同比分别+7.3%/+5.5%/+5.8%；EPS分别为2.56/2.70/2.85元，对应当前股价PE分别为8.1/7.7/7.3倍。公司在煤铝主业稳健经营的基础上，积极推进新能源业务，装机规模有望持续放量，看好转型增长潜力，维持“买入”评级。煤炭量价微跌韧性高，电解铝量价均小幅上涨煤炭业务：公司是东北地区褐煤龙头企业，2025H1煤炭产销量为2263/2177万吨，同比-0.2%/-2.0%，吨煤售价201.2元/吨，同比-0.7%；吨煤成本93.3元/吨，同比+9.4%，吨煤毛利107.9元/吨，同比-8.04%，毛利率53.6%，同比-4.28pct。电解铝业务：公司拥有86万吨电解铝生产线。2025H1公司电解铝产/销为45.2/45.0万吨，同比+0.98%/+0.58%。电解铝单吨售价17712元，同比+2.47%；单吨成本13691元，同比+5.35%，单吨毛利4021元/吨，同比-6.28%，毛利率22.7%，同比-2.12pct。电力业务：公司新能源业务发展顺利，截至2025年6月底新能源装机规模约为500万千瓦。2025H1发电66.4亿千瓦时，同比+19.42%，其中火电发电24.2亿千瓦时，同比-2.64%，新能源发电42.2亿千瓦时，同比+37.23%；售电63.9 亿千瓦时，同比+20.58%，其中火电售电22亿千瓦时，同比-2.45%，新能源售电41.8亿千瓦时，同比+37.72%。推进煤矿资产注入和新能源电力建设，分红比例有望提升推进项目建设贡献产能增量：煤炭业务方面，公司核定煤炭产能4800万吨/年，其中公司自有煤炭产能3000万吨/年，控股98%的子公司扎鲁特旗扎哈淖尔煤业有限公司煤炭产能1800万吨/年。目前公司积极推进购买国家电投集团内蒙古白音华煤电有限公司100%股权，标的公司拥有白音华矿区二号露天矿的采矿权，煤炭核定产能1500万吨/年。电力业务方面，公司全资子公司通辽霍林河坑口发电有限责任公司拥有火电装机规模2x600MW；公司控股51%的子公司内蒙古霍煤鸿骏铝电有限责任公司拥有180万火电和105万新能源装机的自备电厂；公司按计划正常推进所属霍林河循环经济示范工程续建(第六期)20万千瓦时风电等项目。电解铝业务方面，霍煤鸿骏铝电公司现已形成 86万吨电解铝和 20 万吨碳素产能。分红比例有望提升：2024年公司每股派发现金红利0.8元（含税），按照2025年8月28日收盘价计算，当前公司股息率为3.8%，在央企市值管理要求下，公司分红比例有望持续提高，投资价值凸显。风险提示：煤铝价格下跌超预期；新能源机组利用率不及预期。,,开源证券,买入,[None],2025-08-29,,买入,6367212,pdf_downloads/2025/2025-08-29/002128-电投能源（002128）：公司信息更新报告：煤铝一体且业绩韧性高，关注煤矿和绿电成长性.pdf,002128,电投能源,电投能源（002128）：公司信息更新报告：煤铝一体且业绩韧性高，关注煤矿和绿电成长性
