author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"Junjun Zhu,Xin Hu",投资要点：2023年同比减亏。2023年，公司实现营业收入930.14亿元，同比+12.72%；归母净利润-14.06亿元，同比减亏。公司全年原油加工量稳定增长，化工板块同比减亏。原油加工量稳定增长。2023年，公司累计加工原油1411.93万吨，同比增长35.17%；主体商品总量1248.84万吨，同比增长28.66%。其中，生产成品油866.66万吨，同比增长46.69%；对二甲苯70.72万吨，同比增长20.7%；乙烯64.11万吨，同比增长7.19%。化工业务同比减亏。分板块盈利看，2023年化工产品营业亏损14.98亿元，同比减亏22.26亿元；炼油产品营业亏损2.30亿元，同比下降2.31亿元，主要由于原油价格下跌，炼油产品单价和单位成本分别同比下降7%，而炼油产品销量增加使得消费税同比增长。资产减值拖累盈利。2023年公司计提资产减值4.77亿元，主要包括存货跌价损失4.47亿元，固定资产减值损失0.3亿元。2024年计划原油加工量稳中有增。根据公司2023年报，2024年公司全年计划加工原油总量1430万吨，计划生产成品油880万吨、乙烯67.1万吨、对二甲苯69.2万吨。2024年，公司计划资本支出28.89亿元，在建工程主要包括热电机组清洁提效改造项目、25万吨/年热塑性弹性体项目、碳纤维项目等。盈利预测与投资评级。我们预计公司2024-2026年EPS分别为0.02、0.06、0.09元，2024年BPS为2.32元，参考可比公司估值水平，给予其2024年1.4倍PB（原为2023年1.5x），对应目标价3.25元（原为3.6元），维持“优于大市”评级。风险提示：原油价格大幅波动、成品油盈利下降、石化产品价差收窄等。,,海通国际证券,优于大市,[None],2024-03-22,,买入,5553441,pdf_downloads/2024/2024-03-22/600688-上海石化（600688）公司年报点评：原油加工量稳定增长，化工业务同比减亏.pdf,600688,上海石化,上海石化（600688）公司年报点评：原油加工量稳定增长，化工业务同比减亏
"Junjun Zhu,Xin Hu",投资要点：3Q23实现扭亏。2023年前三季度，公司实现营业收入698.60亿元，同比+20.91%；归母净利润-7.19亿元，同比减亏12.83亿元。其中，3Q23实现营业收入249.22亿元，同比+109.81%，环比+8.55%；归母净利润2.69亿元，同比环比均扭亏为盈。产品价差改善，公司毛利修复。2023年三季度，芳烃价差仍处较高水平。同时，三季度油价震荡上行，布伦特油价从75美元/桶涨至95美元/桶，涨幅27.7%，我们认为油价上行有助于公司盈利改善。3Q23公司实现毛利45.22亿元，同比扭亏，环比增长50.0%，恢复至2022年以来单季度较好水平。下游需求逐步改善，主要产品产销量同比提升。2023年前三季度，公司主要产品产销量整体呈上升趋势。其中，成品油产销量分别为654.92/612.87万吨，分别同比增长68.8%/62.3%，航空煤油产销量同比增速超过130%；主要中间石化产品（芳烃、乙烯、乙二醇等）产量154.03万吨，同比+23.1%；主要树脂及塑料产品（聚乙烯、聚丙烯、聚酯切片）产销量分别为79.28/74.14万吨，分别同比增长26.6%/23.3%。2023年稳中求进。根据公司2022年报，2023年，公司坚持稳字当头、稳中求进，全年计划加工原油总量1360万吨，计划生产成品油800.1万吨、乙烯75.6万吨、对二甲苯68.0万吨、合成树脂新产品及专用料69.87万吨。同时，加快关键核心技术攻关和重点项目建设，全年计划资本支出37亿元，年内实现48K大丝束一期商业化运行，启动二期装置建设，建成百吨级高性能碳纤维试验装置、航空复材中试装置，加快25万吨/年热塑性弹性体项目建设。盈利预测与投资评级。我们预计公司2023~2025年EPS分别为-0.03、0.06、0.09元（原0.08、0.14、0.20元），2023年BPS为2.40元，参考可比公司估值水平，给予其2023年1.5倍PB不变，对应目标价3.60元（-3%），维持“优于大市”评级。风险提示：原油价格大幅波动、成品油盈利下降、石化产品价差收窄等。,,海通国际证券,优于大市,[None],2023-11-20,,买入,5394077,pdf_downloads/2023/2023-11-20/600688-上海石化（600688）：3Q23实现扭亏.pdf,600688,上海石化,上海石化（600688）：3Q23实现扭亏
"胡光怿,黄寅斌",投资要点事件：上海石化公布2022年度报告。2022年原油价格大幅上涨、市场需求不振、同时受疫情影响以及公司装置事故影响，公司业绩下滑明显。全年公司实现营收825.2亿元，同比下降7.6%，归母净利润为-28.7亿元，同比下降243.6%。原油价格高位运行，加工成本大幅上升。疫情以及公司装置事故影响下，2022年公司累计加工原油1044.5万吨，同比下降24.1%；而国际原油价格多因素影响下大幅上涨，2022年公司原油加工成本为4682.5元/吨，较去年同期上涨1450.2元/吨，增幅为44.9%，全年原油加工总成本比上年同期增加39.6亿元（+9.2%）。市场需求不振，石油石化产品价格上涨幅度不及原油价格涨幅，毛利下降。2022年公司合成纤维产品销售量为2.2万吨，同比大幅下降78%，销售净额为4.1亿元，同比下降70%；树脂及塑料平均售价上涨3.6%，而销量下降29.1%，销售净额同比下降26.5%为73.2亿元；中间石化产品售价同比上涨14%，销量下降11.4%，销售净额为105.4亿元，同比略下降2.3%；石油产品销售净额下降1.1%为414.4亿元，其中售价同比上升31.9%，销售量同比下降30.1%。原油价格振荡回落，需求回暖有望支撑炼厂利润。2023年以来，全球经济下行风险加大，对原油消费需求产生负面影响，国际原油价格走弱。同时俄罗斯出口原油价格受制裁影响下跌，我国进口俄罗斯原油比例上升，原料成本下降，利润向炼厂转移。2023年第一批成品油出口配额下发为1899万吨，同比上涨46.1%，我国成品油出口态势向好。我国疫情放开，将从需求端支撑成品油价格，炼厂利润可期。2022年12月我国疫情防控政策不断调整，疫情管控放开，我国经济将逐步修复，未来居民出行将随之恢复，柴油作为重要的工业燃料，汽油、煤油作为交通工具的燃料，消费需求回暖有望支撑成品油价格。盈利预测与投资建议。预计公司2023-2025年营业收入分别为861.7、878.5和909.3亿元，归母净利润分别为8、15.2和19.9亿元。结合可比公司的估值和目前上海石化的业务布局和投产节奏，给予公司2023年1.6倍PB，对应目标价4.06元，首次覆盖给予“买入”评级。风险提示：原油价格大幅上涨，宏观经济波动，石化产品销量不及预期、安全事故风险等。,,西南证券,买入,[None],2023-03-29,,买入,5157180,pdf_downloads/2023/2023-03-29/600688-上海石化（600688）：原油价格振荡回落，需求回暖支撑炼厂利润.pdf,600688,上海石化,上海石化（600688）：原油价格振荡回落，需求回暖支撑炼厂利润
"Junjun Zhu,Xin Hu",2022年盈利承压。公司发布2022年报，2022年实现营业收入825.18亿元，同比下降7.57%；实现归母净利润-28.72亿元，同比下降243.57%。其中，4Q22单季实现归母净利润-8.69亿元，环比减亏。我们认为2022年公司盈利下滑主要由于原料价格提升、下游需求疲软，以及装置事故等。2022年原油加工量下降，多数产品产销量下滑。受市场需求及装置事故影响，2022年，公司累计加工原油1044.53万吨（其中来料加工37.83万吨），同比下降24.11%。除对二甲苯外，公司多数产品产销量下滑，2022年对二甲苯产销量分别为58.59/58.54万吨，分别同比增长18.05%/25.82%；成品油产销量分别为590.80/573.92万吨，分别同比下滑25.86%/26.22%；乙烯产量59.81万吨，同比下滑16.09%。原料价格提升、下游需求疲软，2022年公司主要业务板块盈利均出现下滑。2022年，国际油价高位，公司全年原油加工成本4682.5元/吨，同比上涨1450.21元/吨（+44.87%）。油价高位，而下游需求疲软，产品涨价幅度有限，2022年公司产生营业亏损38.43亿元，同比减少52.76亿元；其中，化工板块亏损较大，中间石化产品、树脂及塑料、合成纤维板块营业亏损分别为14.57、12.53、10.15亿元，分别同比减少8.22、13.05、1.61亿元；油品板块微利，石油产品营业利润0.01亿元，同比减少29.66亿元。转型发展稳步推进。公司加快重点项目建设，2.4 万吨/年原丝、1.2 万吨/年 48K大丝束碳纤维项目国产线成功投产，25万吨/年热塑性弹性体项目稳步推进。此外，推进光伏等新能源项目建设，氢燃料电池供氢中心项目二阶段中交，首座兆瓦级光伏电站项目施工完成。2023年稳中求进。2023年，公司坚持稳字当头、稳中求进，全年计划加工原油总量1360万吨，计划生产成品油800.1万吨、乙烯75.6万吨、对二甲苯68.0万吨、合成树脂新产品及专用料69.87万吨。同时，加快关键核心技术攻关和重点项目建设，全年计划资本支出37亿元，年内实现48K大丝束一期商业化运行，启动二期装置建设，建成百吨级高性能碳纤维试验装置、航空复材中试装置，加快25万吨/年热塑性弹性体项目建设。盈利预测与投资评级。我们预计公司2023~2025年归母净利润分别为8.9亿元、15.4亿元和21.8亿元（前期预测：2022-2024年为-18.5、8.4、13.8亿元），EPS分别为0.08、0.14、0.20元（前期预测：2022-2024年-0.17、0.08、0.13元），2023年BPS为2.47元，参考可比公司估值水平，给予其2023年1.5倍PB，对应合理价值为3.71元，（前期预测：2022年PB为1.4倍，对应目标价3.54元，上调4.8%）维持“优于大市”评级。风险提示：原油价格大幅波动、成品油盈利下降、石化产品价差收窄等。风险提示：原油价格大幅波动、成品油盈利下降、石化产品价差收窄等。,,海通国际证券,优于大市,[None],2023-03-24,,买入,5147090,pdf_downloads/2023/2023-03-24/600688-上海石化（600688）：2022年盈利承压，2023年稳中求进.pdf,600688,上海石化,上海石化（600688）：2022年盈利承压，2023年稳中求进
杨伟,"事件概述2022年11月22日，国资委发布新闻，中国石化上海石化碳纤维成功应用于氢动力电车，该材料运用能够减少车头罩重量，降低运行过程中的能耗，有助于提升续航里程、舒适性和隔音降噪效果。分析判断:具有整体规模实力的一体化炼化企业截止2021年底，公司具有1600万吨/年综合加工原油能力和乙烯70万吨/年、有机化工原料428万吨/年、塑料树脂100万吨/年、合纤原料109万吨/年、合纤聚合物59万吨/年、合成纤维26万吨/年的生产能力,并拥有独立的公用工程、环境保护系统,及海运、内河航运、铁路运输、公路运输配套设施。2021年，受原油价格上涨及国内经济随新冠疫情逐渐复苏，下游端需求回暖，公司实现营业收入892.80亿元，同比增长19.51%，实现归母净利润20.01亿元，同比大幅增长218.50%；2022年前三季度受上海疫情、停工检修的影响，公司业绩有所下滑，2022年前三季度实现营业收入577.79亿元，同比-51.96%，实现归母净利润-20.30亿元，同比-201.92%。我们预计随着国际油价逐步下行，以及下游需求复苏，公司炼化业务盈利水平将显著回升。积极向新材料业务转型，前瞻性布局碳纤维业务公司布局碳纤维历史较长，为国内第一家、全球第四家掌握大丝束生产技术的企业，关键设备产线自主可控。早在2008年已实现碳纤维原丝生产，并于2021年实现1500吨PAN基碳纤维产线二期投产，公司产品已用于高速地铁等领域。2022年10月10日，公司2.4万吨原丝、1.2万吨碳丝项目首个万吨级48K大丝束碳纤维工程第一套国产线投料开车，并生产出合格产品，产品性能媲美国外同级别产品。此外，公司与巴陵石化合资的25万吨/年热塑性弹性体项目于2022年6月16日开工建设。我们预计，随着公司新材料项目相继投产，将为公司带来较大的成长动能。投资建议2022年以来，受上海疫情、原油价格高企和装置停产影响，公司利润有所承压。我们预计，2022-2024年公司收入分别为896.19/966.94/1050.76亿元，归母净利润分别为-21.01/8.84/14.20亿元，EPS分别为-0.19/0.08/0.13元。对应2022年12月8日收盘价3.30元，PE分别为-17/40/25倍。",,华西证券,增持,[None],2022-12-09,,增持,5070444,pdf_downloads/2022/2022-12-09/600688-上海石化（600688）：炼化盈利有望复苏，碳纤维引领新材料发展.pdf,600688,上海石化,上海石化（600688）：炼化盈利有望复苏，碳纤维引领新材料发展
孙灿,上海石化(600688)事件上海石化发布2022年三季度报告，公司2022年1-9月实现营业收入577.79亿元，同比下降6.6%；实现归属母公司净利润-20.03亿元；实现扣除非经常性损益后的归属母公司净利润-19.32亿元。截至9月末，公司资产总额达446.89亿元，归属上市公司股东的净资产273.88亿元。点评生产装置复产，营业利润有望修复今年6月18日，公司乙二醇装置发生爆炸事故，事故后主要生产装置停车，导致公司二季度末至三季度销售收入有所回落，经营业绩下滑明显。本报告期，公司分三阶段有序恢复生产装置复产，截止三季度末，公司化工部2号乙二醇装置顺利开车，复工复产全部完成。生产装置复产意味着公司营业收入瓶颈被打破，按时生产并交付订单将有力提升公司营收业绩。油价进入下行周期，成本压力松动三季度以来，国际原油价格持续下滑，有效减缓公司成本压力。年初至今，以布伦特原油价格计算，自3月8日布油达到127.98元/桶的高点后，国际原油价格震荡回落。今年三季度原油价格中枢已回落至90-100美元/桶。尽管十月以来油价有所反弹，但整体价格水平较一、二季度有明显下降。受全球经济增长放缓影响，未来原油需求的预期也有所下降。尽管欧佩克+成员国减产以及欧洲能源危机对原油价格仍有一定支撑，但考虑到未来原油消费需求端的减弱，国际原油价格将维持回落的趋势，看好明年公司随着成本压力下降后利润空间的修复。盈利预测我们预计公司2022-2024年，可实现营业收入819.95、957.21和968.79亿元，归属母公司净利润-26.3、9.77、13.79亿元，对应EPS-0.24、0.09和0.13元/股。估值要点如下：2022年10月28日，股价3.07元，对应市值332亿元，2022-2024年PE约为-12.63、34.01和24.10倍。公司长期深耕石油石化产业链，并大力打造碳纤维产业群，随着原油价格下行，预计公司盈利空间得到修复。风险提示：硅料新增产能投产不及预期、光伏行业建设放缓、疫情反复物流受阻,,川财证券,,[None],2022-10-31,,,5031474,pdf_downloads/2022/2022-10-31/600688-上海石化（600688）2022年三季报点评：装置复产叠加油价下行预期，利润空间有望修复.pdf,600688,上海石化,上海石化（600688）2022年三季报点评：装置复产叠加油价下行预期，利润空间有望修复
"Junjun Zhu,Xin Hu",三季度亏损扩大。公司发布2022年三季报，前三季度实现营业收入577.79亿元，同比下降6.60%；实现归母净利润-20.03亿元，同比下降201.92%。其中，三季度单季实现营业收入118.78亿元，同比减少51.96%，环比减少40.29%；实现归母净利润-15.67亿元，同比下降317.35%，环比下降141.22%。我们认为三季度盈利下滑，主要受检修影响。受检修影响，产品产销量下降。6月18日公司1号乙二醇装置发生爆炸事故，公司对主要生产装置采取保护性停车措施，对受事故影响的装置开展恢复性检修。三季度公司主要产品产销量下滑，其中，成品油产量72.64万吨，同比-67%，环比-33%；销量72.01万吨，同比-66%，环比-34%；乙烯产量6.1万吨，同比-69%，环比-60%。复工复产工作完成。公司分三阶段有序推进复工复产工作：第一阶段，恢复炼油主体装置开车，并安排五条加工线路配合开车；第二阶段，提升化工原料和塑料产品生产能力，安排乙烯老区线开工；第三阶段，全面恢复全厂生产能力，安排乙烯新区线开工。截止2022年9月30日，公司化工部2号乙二醇装置顺利开车并产出合格产品，复工复产工作全部完成。十四五”期间积极转型升级，布局碳纤维、氢能等。2021年，公司发布“十四五”发展规划纲要，明确“炼油向化工转、化工向材料转、材料向高端转、园区向生态转”的发展思路。公司1500吨/年PAN基碳纤维二阶段项目氧化炭化生产线 5月份建成，氢燃料电池供氢中心（一阶段）12月底完成试装车，2.4万吨/年原丝、1.2万吨/年48K大丝束碳纤维项目，以及与巴陵石化合作建设的25万吨/年热塑性弹性体新材料项目等稳步推进。盈利预测与投资评级。由于上游原材料上涨，设备检修影响产能，石化行业盈利下降，我们预计公司2022~2024年归母净利润分别为-18.5亿元、8.4亿元和13.8亿元，EPS分别为-0.17、0.08、0.13元（原为0.19/0.21/0.23元），2022年BPS为2.53元，参考可比公司估值水平，给予其2022年1.4倍PB，目标价3.54元（前期给予其 2022 年 22 倍 PE，对应目标价 4.18 元，下调15.3%），维持“优于大市”评级。风险提示：原油价格大幅波动、成品油盈利下降、石化产品价差收窄等。,,海通国际证券,优于大市,[None],2022-10-30,,买入,5031107,pdf_downloads/2022/2022-10-30/600688-上海石化（600688）公司季报点评：检修影响三季度盈利.pdf,600688,上海石化,上海石化（600688）公司季报点评：检修影响三季度盈利
白竣天,事件1、机构预测，2020年四季度我国GDP增速有望重回6.0%以上；2、公司第三季度营业收入192.9亿元，同比减少56.8亿元，归属于母公司股东的净利润10.7亿元，同比增长106%；3、近日，中国石化上海石化“1.2万吨/年48K大丝束碳纤维”项目正式开工建设，上海石化成为国内第一家率先突破48K大丝束碳纤维产业化技术的企业。点评公司成品油营业收入占75%，化工品占25%，业绩对油价的弹性更强。2020年，公司汽柴油、聚乙烯和聚丙烯的销售收入占全部销售收入的84%，一季度受疫情影响出现下降后，二、三季度销售量显著增长。其中，三季度柴油销量同比增长20%，汽油销量恢复到同期的98%，聚乙烯和聚丙烯销量同比增长3.9%和3.3%。2021年国际油价有望超过2019年，油价上行趋势也将增大库存收益。我们认为今年一季度受沙特自愿减产利好，油价有望持续上行；二季度欧美主要国家疫苗接种将取得明显进展；三季度为北半球夏季，是传统上原油需求的旺季，且高温将抑制病毒传播。我们预计公司三、四季度利润超过2019年同期，2021年业绩恢复到2018年的景气水平。公司营业收入及毛利的最大来源在汽柴油，利润弹性最大的板块也是汽柴油。我们预计2020年四季度公司汽柴油销量显著超过2019年同期水平，化工品销量也将环比增长，2021年销量的同比改善将更为明显。盈利预测公司汽柴油销量显著增长，国际油价上行提升库存收益，今年业绩有望恢复到2018年的景气水平。预计2020-2022年营业收入分别为850、980、1000亿元，实现EPS分别为0.12、0.32、0.41元/股，继续给予“增持”评级。风险提示：OPEC限产执行率低、新冠疫苗接种进度不及预期。,,川财证券,增持,[None],2021-01-14,,增持,4419120,pdf_downloads/2021/2021-01-14/600688-上海石化（600688）公司点评：汽柴油销量增长，业绩对油价弹性更强.pdf,600688,上海石化,上海石化（600688）公司点评：汽柴油销量增长，业绩对油价弹性更强
杨奇,上海石化(600688)核心观点中报业绩大幅下滑：公司近日公布20年半年报，上半年实现收入356.6亿，同比-31%；归母净利润-17.16亿，同比-251%。其中Q2单季度实现收入177.4亿，环比-1%，归母净利润-5.15亿，环比+57%。H1原油加工量和产品产销量均出现一定下滑，加工原油701.8万吨（含来料加工21.2万吨），同比-6%；生产成品油394.8万吨，同比-12%；生产乙烯40.9万吨，同比-3%；生产PX32.0万吨，同比-3%；整体产销率约100%。油价暴跌拖累业绩：3月份油价暴跌，带动成品油和化工品价格大幅走低。根据我们测算，公司H1原油成本约185亿，同比降低45.6亿，但收入端同比减少87.1亿，收入下滑幅度远高于成本下降幅度，本质上是部分高价原料库存以低价产品销售，导致毛利率受到拖累。H1公司炼油产品扣除消费税后毛利率-1.06%，同比下滑6个百分点；石化产品毛利率-0.73%，同比下滑17个百分点，是造成亏损的主要原因。景气反转仍需时日：随着油价低位企稳和需求复苏，目前炼化已走出最差阶段，成品油和化工品价差均有所回升。但供给端过剩的产能压制了继续向上的弹性，且未来2年仍有数套炼化装置存在投产预期，预计在本轮产能周期结束并完成供给端出清之前，都很难看到景气的反转。财务预测与投资建议基于对产品价格和行业景气的判断，我们调整公司20-22年每股收益分别为-0.12/0.07/0.11元（原预测0.16/0.14/-元）。考虑到周期下行阶段公司盈利波动较大，PE法不适用，采用历史PB估值法，参考13-14年行业景气和公司估值底部，维持1.87倍PB，按照20年每股净资产2.52元，调整目标价至4.71元（原目标价5.18元），维持增持评级。风险提示油价波动风险；需求下滑风险,,东方证券,增持,[None],2020-08-30,,增持,4323418,pdf_downloads/2020/2020-08-30/600688-上海石化（600688）：油价暴跌拖累盈利，景气反转仍需时日.pdf,600688,上海石化,上海石化（600688）：油价暴跌拖累盈利，景气反转仍需时日
任文坡,上海石化(600688)1．事件8 月 27 日，公司发布 2020 年半年报。报告期内，公司实现营业收入 356.63 亿元，同比减少 31.41%； 归母净利润亏损 17.16 亿元，上年同期净利润 11.37 亿元；基本每股收益-0.159 元，上年同期基本每股收益 0.105 元。2．我们的分析与判断（一） 原料库存转化损失+产品需求萎缩双重打压公司业绩受新冠疫情影响， 国际油价大幅下跌， H1 Brent 原油均价同比大幅下跌 36.4%，公司加工原油遭受重大库存转化损失。市场需求下降，公司主营产品产销量下滑，且盈利能力下降。公司 H1 加工原油 701.83 万吨，同比减少 6.08%；生产商品总量665.31 万吨， 同比减少 3.27%，其中航煤产销量下降最为明显。公司主营产品价差受到市场供需失衡影响，基本均呈现收窄走势，其中航煤和聚酯产业链相关产品价差下降最为明显。上述因素共同作用下，公司盈利能力大幅下降， H1 毛利率仅为13.33%，同比下降 2.69 个百分点，创 2015 年以来新低；公司业绩大幅亏损，归母净利润同样创新低。（二） Q2 业绩环比改善， H2 有望继续好转公司 Q2 归母净利润亏损 5.14 亿元，较 Q1 亏损 12.02 亿元环比大幅改善。 我们认为，业绩环比改善的原因主要在两个方面，一是 Q2 原油库存转化损失大幅减少；二是随着下游需求修复，公司Q2 产销量增加带来盈利改善。在成品油价差表现方面， Q2 弱于 Q1，航煤表现最差、柴油稍好、汽油居中，公司灵活调整柴汽比、压减航煤，柴汽比为 1.25，同比提升 0.15；在其他产品价差方面，聚丙烯、聚乙烯等产品 Q2盈利表现显著优于 Q1。我们预计， H2 原油库存转化不会有大的损失甚至可能获得收益，以及产品供需格局有望改善，公司 H2 盈利预计环比大幅改善。（三） 全球经济复苏背景下，油价中长期看涨，利好公司业绩提升中长期油价我们是看涨的，主要逻辑就是在于需求端的复苏。在需求端， IEA、 EIA、 OPEC等机构最新月报预计 2020 年全球原油需求将减少 800-900 万桶/日。随着全球经济活动的复苏，这部分原油需求损失将会逐渐恢复。 中长期来看，原油供需将趋紧，油价存在向上的动能。另一个角度来看， 美国页岩油开采成本约为 40-50 美元/桶， OPEC、俄罗斯虽然开采成本低但其财政平衡油价较高，这些因素决定了油价不可能较长时间低于 40 美元/桶。我们认为，随着全球经济复苏，未来 1-2 年油价回归到 50-60 美元/桶是大概率事件。3． 投资建议基于油价上涨以及市场需求改善背景下公司产销和盈利能力逐步修复等基本假设，我们预计公司 2020-2022 年营收分别为 834 亿元、 901 亿元、 959 亿元； 归母净利润分别为-7.98 亿元、13.92 亿元、 24.91 亿元； EPS 分别为-0.07 元、 0.13 元、 0.23 元，对应动态 PE 为-48.43 倍、 27.76倍、 15.51 倍。 首次覆盖，给予“推荐”评级。4．风险提示油价持续下跌风险、市场需求不及预期风险等。,,银河证券,推荐,[None],2020-08-27,,买入,4320179,pdf_downloads/2020/2020-08-27/600688-上海石化（600688）：Q2业绩环比改善，看好未来盈利表现.pdf,600688,上海石化,上海石化（600688）：Q2业绩环比改善，看好未来盈利表现
