author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
刘洋,"业绩总结：2018Q1~3 ] 实现营收 86 亿元，同比增长 6.6%，实现归母净利润 5.80
亿元，同比下降 6.8%，实现扣非净利润 5.14 亿元，同比下降 14.5%。其中，
第三季度实现营收、归母净利润、扣非净利润分别为 27 亿元、1.30 亿元、1.15
亿元，同比变化分别为+7.3%、-27.2%、-31.3%。
 营收稳健增长，毛利率下行，致使利润承压。中国 2018 年 1~9 月份汽车实现
累计产量 2049 万辆，同比增长 0.9%，总体承压，公司营收增速略好于行业平
均水平。公司轮毂单元、万向节、驱动轴等产品主要原材料为钢材，价格上涨
对毛利率构成负面影响，近三年毛利率持续承压，2016 年、2017 年毛利率分
别为 22.0%、20.7%，2018 年前三季度毛利率为 18.7%，同比下降 2.5 个百分
点，致使公司净利润承压，增速低于营收增速。
 细分龙头，稳健发展，积极分红。公司主打产品轮毂单元、万向节、驱动轴等
处于国内领先水平，2017 年公司万向节、轮毂轴承单元、等速驱动轴销量分别
为 4300 万套、1800 万套、620 万支，其中万向节国内市占率超过 60%，已成
为国内标准制定者。公司凭借主导产品的龙头地位以及不断研发新品，开拓海
外市场，实现稳健发展，2008 年~2017 年公司营收、归母净利润复合增长率分
别达到 9.7%和 16.6%。同时，公司积极分红，回馈股东，1994 年上市以来累
计实现净利润 77 亿元，累计分红 45 亿元，超过累计股权融资（含首发）27 亿
元的规模，合计股份支付率高达 58%。
 盈利预测与投资建议。预计公司 2018-2020 年归母净利润分别为 7.9/8.7/10.4
亿元，对应 EPS 分别为 0.29/0.32/0.38 元，对应 PE 估值分别为 17 倍、15 倍、
13 倍，首次覆盖，给予“增持”评级。
 风险提示：行业销量增速或放缓，需求或不及预期风险；原材料价格或维持高
位，盈利能力或不及预期等风险。",,西南证券,增持,[None],2018-10-22,,增持,3548511,pdf_downloads/2018/2018-10-22/000559-万向钱潮（000559）：业绩符合预期，毛利率短期承压.pdf,000559,万向钱潮,万向钱潮（000559）：业绩符合预期，毛利率短期承压
曾朵红,"投资要点
    事件:公司发布对外投资公告。为了加快公司的转型升级,实现国际化运作,及并购国外具有先进技术的零部件业务,实现国内外资源的互联互通,更好地促进公司发展,经公司董事会审议通过,同意公司拟在英属维尔京群岛设立万向钱潮(美洲)有限公司与万向钱潮(欧洲)有限公司,注册资本均为5 万美元。
    我们的点评:
    转型升级既是中国制造业的必然出路,也是公司的长远发展战略。公司前期已经在积极进行传统零部件业务的转型升级,包括积极布局新能源汽车零部件业务,如投资1.1 亿参股天津松正进入新能源驱动电机业务。未来公司将坚持转型升级的发展战略,加快转型升级的步伐,而通过设立海外子公司并购重组先进技术企业是最优途径之一。
    公司将开启海外并购及集团海外资产整合之旅,未来业绩有望快速提升。设立海外子公司是为公司并购国外具有先进技术的零部件业务,以及整合集团在海外资产创建平台。(1)海外子公司有望收购尼亚普科公司。尼亚普科是面向原始设备、车辆性能和售后市场公司的全球领先汽车传动轴、传动轴、差速器、悬挂弹簧、铝压铸件和动力传动系统及转向装置配件制造商。根据万向集团官网12 月7 日消息,万向美国专家葛俊(Jim Geisendorfer)是万向钱潮业务及国际项目开发主管,此前任尼亚普科全球采购副总裁。葛俊目前正在积极推进尼亚普科与万向钱潮的资源融合,加快与海外资源的对接与融合。如果实现对尼亚普科的收购,将进一步增强公司综合竞争力和影响力,利于公司快速拓展国际市场,进入跨国公司全球零部件供应体系,提升公司的业绩。(2)万向集团在美国和欧洲有很多优质新能源汽车资产,如纯电动豪华车公司菲斯科和电池公司A123。万向集团有望通过新设立的海外子公司将海外优质新能源汽车资产,尤其是首先将A123 系统电池公司注入到上市。
    盈利预测及投资建议:维持“增持”评级,预计2015-2017 年营业收入分别为101.2 亿元、110.9 亿元和124.1 亿元,归母净利润分别为8.29 亿元、9.18 亿元和10.32 亿元,增速分别为17.3%、10.8%和12.4%,对应的EPS 分别为0.36 元、0.40 元和0.45 元。
    风险提示:宏观经济下行导致汽车销量下降,进而导致汽车零部件需求减少,价格下降;集团新能源汽车业务注入万向钱潮的不确定性;新能源汽车发展过程中存在波动,需求不及预期;海外并购及资源整合的财务风险。",,中泰证券,增持,[None],2015-12-11,,增持,1707846,pdf_downloads/2015/2015-12-11/000559-万向钱潮(000559)点评：拟投资设立两家海外全资子公司 开启欧美并购、资源整合之旅.pdf,000559,万向钱潮,万向钱潮(000559)点评：拟投资设立两家海外全资子公司 开启欧美并购、资源整合之旅
曾朵红,"转型升级既是中国制造业的必然出路,也是公司的长远发展战略。公司前期已经在积极进行传统零部件业务的转型升级,包括积极布局新能源汽车零部件业务,如投资1.1亿参股天津松正进入新能源驱动电机业务。未来公司将坚持转型升级的发展战略,加快转型升级的步伐,而通过设立海外子公司并购重组先进技术企业是最优途径之一。
    公司将开启海外并购及集团海外资产整合之旅,未来业绩有望快速提升。设立海外子公司是为公司并购国外具有先进技术的零部件业务,以及整合集团在海外资产创建平台。(1)海外子公司有望收购尼亚普科公司。尼亚普科是面向原始设备、车辆性能和售后市场公司的全球领先汽车传动轴、传动轴、差速器、悬挂弹簧、铝压铸件和动力传动系统及转向装置配件制造商。根据万向集团官网12月7日消息,万向美国专家葛俊(JimGeisendorfer)是万向钱潮业务及国际项目开发主管,此前任尼亚普科全球采购副总裁。
    葛俊目前正在积极推进尼亚普科与万向钱潮的资源融合,加快与海外资源的对接与融合。如果实现对尼亚普科的收购,将进一步增强公司综合竞争力和影响力,利于公司快速拓展国际市场,进入跨国公司全球零部件供应体系,提升公司的业绩。(2)万向集团在美国和欧洲有很多优质新能源汽车资产,如纯电动豪华车公司菲斯科和电池公司A123。万向集团有望通过新设立的海外子公司将海外优质新能源汽车资产,尤其是首先将A123系统电池公司注入到上市。
    盈利预测及投资建议:维持“增持”评级,预计2015-2017年营业收入分别为101.2亿元、110.9亿元和124.1亿元,归母净利润分别为8.29亿元、9.18亿元和10.32亿元,增速分别为17.3%、10.8%和12.4%,对应的EPS分别为0.36元、0.40元和0.45元。
    风险提示:宏观经济下行导致汽车销量下降,进而导致汽车零部件需求减少,价格下降;集团新能源汽车业务注入万向钱潮的不确定性;新能源汽车发展过程中存在波动,需求不及预期;海外并购及资源整合的财务风险。",,中泰证券,增持,[None],2015-12-11,,增持,1710210,"pdf_downloads/2015/2015-12-11/000559-万向钱潮(000559)：拟投资设立两家海外全资子公司,开启欧美并购、资源整合之旅.pdf",000559,万向钱潮,"万向钱潮(000559)：拟投资设立两家海外全资子公司,开启欧美并购、资源整合之旅"
曾朵红,"[投资要点]
    事件:公司公布2015年三季度业绩报告,当季收入和利润低于预期。公司公布2015年三季报,1-9月份公司实现营业收入72.64亿元,同比增长0.96%,归属于上市公司股东的净利润为5.72亿元,同比增幅为11.67%,扣非后归母净利润为5.41亿元,同比增长11.41%,EPS为0.25元,同比增长11.66%。三季度当季营业收入19.65亿元,同比下降11.75%,归母净利润1.23亿元,同比下降23.64%,扣非后归母净利润1.06亿元,同比下降31.91%。公司三季报收入和利润均低于预期。
    暂时性因素是Q3收入和利润同比下降主要原因,Q4将恢复正常增长。两个暂时性因素导致Q3收入和利润同比下降:(1)公司客户需求下降。受行业不景气影响,公司高端且重要客户,如一汽大众、上海大众、上海通用等在Q3延长高温假时间,并且进行检修导致汽车产销量在Q3回落,进而导致对公司零部件需求下降。(2)投资收益确认时点错位。公司持有的万向财务公司分别在2014年Q3和2015年Q2分红3032万和2265万元,由于该部分投资收益确认时点发生错位,对Q3利润影响约10个百分点。(3)Q4公司收入和利润将恢复正常增长。一方面,Q4不存在可供出售金融资产投资收益问题,该影响将消失,另一方面,公司重点客户的需求在购置税减半刺激下重回增长态势,带动公司业绩增长。
    公司积极向新能源汽车零部件转型,并且具有集团优质新能源汽车资产注入预期。(1)公司通过参股形式进入新能源驱动电机业务。公司于2015年7月投资1.1亿参股天津松正公司,其主导产品新能源驱动电机是新能源汽车三大核心部件之一,主要客户包括宇通客车、厦门金龙、厦门金旅、苏州金龙、中通客车等客车龙头企业。天津松正拥有强大的技术研发实力和后续发展能力,是行业龙头企业之一。(2)集团优质新能源汽车资产注入预期强烈。万向集团曾多次将优质资产注入万向钱潮,并成为公司业绩主要来源。集团目前拥有电池、电机、电控及整车研发与制造完整产业链,曾承诺在合适的时机将电动汽车资产注入万向钱潮。当前新能源汽车进入加速发展阶段,集团优质新能源汽车资产有望陆续注入上市公司,从而带来业绩的高速增长。
    盈利预测及投资建议:考虑到公司三季度收入和利润不及预期,我们下调2015-2017年营业收入分别至101.2亿元、110.9亿元和124.1亿元,归母净利润分别为8.29亿元、9.18亿元和10.32亿元,增速分别为17.3%、10.8%和12.4%,对应的EPS分别为0.36元、0.40元和0.45元,维持“增持”评级。
    风险提示:宏观经济下行导致汽车销量下降,进而导致汽车零部件需求减少,价格下降;集团新能源汽车业务注入万向钱潮的不确定性;新能源汽车发展过程中存在波动,需求不及预期。",,中泰证券,增持,[None],2015-10-20,,增持,1358696,pdf_downloads/2015/2015-10-20/000559-万向钱潮(000559)季报点评：Q3业绩暂时性下降 Q4将重返增长通道.pdf,000559,万向钱潮,万向钱潮(000559)季报点评：Q3业绩暂时性下降 Q4将重返增长通道
曾朵红,"投资要点
    事件:公司公布2015年三季度业绩报告,当季收入和利润低于预期。公司公布2015年三季报,1-9月份公司实现营业收入72.64亿元,同比增长0.96%,归属于上市公司股东的净利润为5.72亿元,同比增幅为11.67%,扣非后归母净利润为5.41亿元,同比增长11.41%,EPS 为0.25元,同比增长11.66%。
    三季度当季营业收入19.65亿元,同比下降11.75%,归母净利润1.23亿元,同比下降23.64%,扣非后归母净利润1.06亿元,同比下降31.91%。公司三季报收入和利润均低于预期。
    暂时性因素是Q3收入和利润同比下降主要原因,Q4将恢复正常增长。两个暂时性因素导致Q3收入和利润同比下降:(1)公司客户需求下降。受行业不景气影响,公司高端且重要客户,如一汽大众、上海大众、上海通用等在Q3延长高温假时间,并且进行检修导致汽车产销量在Q3回落,进而导致对公司零部件需求下降。(2)投资收益确认时点错位。公司持有的万向财务公司分别在2014年Q3和2015年Q2分红3032万和2265万元,由于该部分投资收益确认时点发生错位,对Q3利润影响约10个百分点。(3)Q4公司收入和利润将恢复正常增长。一方面,Q4不存在可供出售金融资产投资收益问题,该影响将消失,另一方面,公司重点客户的需求在购置税减半刺激下重回增长态势,带动公司业绩增长。
    公司积极向新能源汽车零部件转型,并且具有集团优质新能源汽车资产注入预期。(1)公司通过参股形式进入新能源驱动电机业务。公司于2015年7月投资1.1亿参股天津松正公司,其主导产品新能源驱动电机是新能源汽车三大核心部件之一,主要客户包括宇通客车、厦门金龙、厦门金旅、苏州金龙、中通客车等客车龙头企业。天津松正拥有强大的技术研发实力和后续发展能力,是行业龙头企业之一。(2)集团优质新能源汽车资产注入预期强烈。万向集团曾多次将优质资产注入万向钱潮,并成为公司业绩主要来源。集团目前拥有电池、电机、电控及整车研发与制造完整产业链,曾承诺在合适的时机将电动汽车资产注入万向钱潮。当前新能源汽车进入加速发展阶段,集团优质新能源汽车资产有望陆续注入上市公司,从而带来业绩的高速增长。
    盈利预测及投资建议:考虑到公司三季度收入和利润不及预期,我们下调2015-2017年营业收入分别至101.2亿元、110.9亿元和124.1亿元,归母净利润分别为8.29亿元、9.18亿元和10.32亿元,增速分别为17.3%、10.8%和12.4%,对应的EPS 分别为0.36元、0.40元和0.45元,维持“增持”评级。
    风险提示:宏观经济下行导致汽车销量下降,进而导致汽车零部件需求减少,价格下降;集团新能源汽车业务注入万向钱潮的不确定性;新能源汽车发展过程中存在波动,需求不及预期。",,中泰证券,增持,[None],2015-10-20,,增持,1359077,"pdf_downloads/2015/2015-10-20/000559-万向钱潮(000559)：Q3业绩暂时性下降,Q4将重返增长通道.pdf",000559,万向钱潮,"万向钱潮(000559)：Q3业绩暂时性下降,Q4将重返增长通道"
曾朵红,"公司是国内独立汽车零部件系统供应商龙头,客户遍及国内整车企业。万向钱潮专业生产底盘及悬架系统、汽车制动系统、汽车传动系统、汽车燃油排气系统、轮毂单元、轴承等汽车系统零部件及总成,是目前国内主要的独立汽车系统零部件专业生产基地之一。公司产品主要面向主机厂配套市场,客户遍及国内整车企业,目前公司已与一汽、上汽、东风、长安、北汽、江淮、奇瑞等10多家中国汽车厂商建立了战略合作伙伴关系。
    公司传统主业利润仍有提升空间,并积极向新能源汽车零部件转型。(1)公司通过三大手段来提升传统业务利润空间。一是通过机器换人、智能化改造等来提高生产效率和产品质量;二是提高产品档次和市场层次,提升收入和毛利率;三是“关停并转”无优势产品,减少亏损源。(2)公司通过参股形式进入新能源驱动电机业务。公司于2015年7月投资1.1亿参股天津松正公司,其主导产品新能源驱动电机是新能源汽车三大核心部件之一,主要客户包括宇通客车、厦门金龙、厦门金旅、苏州金龙、中通客车等客车龙头企业。天津松正拥有强大的技术研发实力和后续发展能力,是行业龙头企业之一。万向钱潮参股天津松正短期内对公司业绩影响不大,但是从中长期来看,一方面符合公司向新能源汽车产业转型的战略,将促进公司的转型升级;另一方面能够完善公司在新能源汽车核心部件上的布局,为公司全面开展新能源汽车业务产生协同效应。(3)公司将进入电池业务。新能源汽车成为汽车工业发展的重要方向,迎来了爆发式增长,电池作为新能源汽车的三大核心部件之一,公司正谋划发展,公司管理层将与大股东商洽投资锂电池产业中具有世界领先技术的万向A123。收购A123之后,汽车动力电池、启停电池及储能电池将成为公司业绩新的增长点,并且与电机业务、万向集团未来注入公司的电动汽车业务形成更进一步的协同效应。集团电动汽车业务注入万向钱潮的时机日渐成熟。(1)万向集团拥有电池、电机、电控及整车研发与制造完整产业链。集团先后于2013年1月收购了美国最先进的电池生产企业A123公司,于2014年2月收购美国知名电动汽车制造商菲斯科(Fisker)公司。2015年,万向集团又与上汽集团签署了合作协议,成立合资公司,规划投资50亿元,最终形成1万辆新能源客车的产业能力。万向集团目前拥有万向A123、菲斯科、万向电动汽车等新能源汽车产业公司,完善了上下游整个产业链的技术储备。(2)万向集团曾多次将优质资产注入万向钱潮。集团于2008年12月将万向系统(49%)、万向精工(40%)、钱潮轴承(40%)股权出售给万向钱潮;2012年12月将江苏森威66.69%的股权出售给万向钱潮;2013年12月将通达股份90%股权出售给万向钱潮。(3)万向集团曾承诺在合适的时机将电动汽车资产注入万向钱潮。2010年12月,万向集团公司、万向电动汽车有限公司与万向钱潮签署了《关于电动汽车产业的战略合作框架协议》,协议中万向集团公司承诺在万向钱潮认为入股万向电动汽车公司的条件成熟,并提出入股动议时,或是万向电动汽车公司完成产业化,盈利状况正常稳定时,万向集团公司同意可以将其持有的万向电动汽车公司部分股权转让给公司,或者由万向钱潮公司增资的形式入股万向电动汽车公司,或者由股权转让和增资方式相结合。(4)新能源汽车进入加速发展阶段,我们判断万向集团电动汽车注入时机日渐成熟。2014年中国新能源汽车累计生产8.39万辆,同比增长近4倍。2015年1-8月份新能源汽车累计生产12.35万辆,同比增长倍,已经超过美国成为世界上第一大新能源汽车生产国。预计2015年新能源汽车销量将达到22万辆,新能源汽车已经进入加速发展阶段。与此同时,万向集团与上汽集团合资成立新能源客车公司,万向电动汽车将伴随着行业的高速发展而进入盈利阶段,因此我们判断万向集团电动汽车注入万向钱潮的时机日渐成熟,脚步越来越近。
    盈利预测及投资建议:我们预测公司2015-2017年的营业收入分别为105.4亿元、115.6亿元和129.4亿元,归母净利润分别为8.86亿元、9.60亿元和10.81亿元,增速分别为25.3%、8.4%和12.6%,对应的EPS分别为0.39元、0.42元和0.47元。目前我们仍很难判定集团新能源汽车业务的注入时间、方式和规模,并且相关业务当前的业务情况以及财务信息较难获得,因此难以对相关业务进行盈利预测和合理估值。但考虑到公司已经向电机业务拓展,公司未来积极向新能源汽车零部件转型以及万向电动汽车等资产较大的注入预期等因素,公司股价理应享有一定的溢价,我们因此倾向于给予积极的投资建议,首次覆盖给予“增持”评级,目标价21元。
    风险提示:宏观经济下行导致汽车销量下降,进而导致汽车零部件需求减少,价格下降;集团新能源汽车业务注入万向钱潮的不确定性;新能源汽车发展过程中存在波动,需求不及预期。",,中泰证券,增持,[None],2015-09-23,,增持,1353376,"pdf_downloads/2015/2015-09-23/000559-万向钱潮(000559)：独立汽车零部件系统供应商龙头,积极向新能源汽车零部件转型.pdf",000559,万向钱潮,"万向钱潮(000559)：独立汽车零部件系统供应商龙头,积极向新能源汽车零部件转型"
"于特,崔琰","国内传动、制动、悬挂三大系统产品领先者

公司是国内汽车底盘总成中传动、制动、悬挂三大系统产品领先者，主要产品为底盘及悬架系统、制动系统、传动系统、轮毂单元、轴承、精密件等。其中，传动、制动、悬挂系统均处于领先地位。公司业务稳定增长：2013年营收同比增长4.9%；净利润同比增长15.0%（均为调整后）。公司主要产品十字轴万向节总成销量同比增长14.6%至6,545.9万套；制动系统产品同比增长1.1%至652.2万套；传动轴同比增长8.9%至372.9万根。公司2012年开始改为直接对外出口，第一大客户为UniversityInternationalLongisticsINC，主要客户为美国通用、福特等；其余主要客户还有一汽海马、上汽通用五菱等。我们认为公司凭借在传动、制动、悬挂等系统的优势，并重点发展等速驱动轴与轮毂等新产品，并不断开拓合资品牌，未来主业仍将稳定增长。

未来两年内不考虑将万向电动车注入上市公司

公司于2010年12月30日公告，与万向集团、万向电动车达成协商，万向集团承诺：在公司认为入股万向电动车的条件成熟，并提出入股动议时，或是万向电动车完成产业化，盈利状况正常稳定时，集团同意将其持有的万向电动车股份转让给公司。公司认为只有当以下三个条件均满足时，才会考虑将万向电动车注入上市公司：1）万向电动车盈利；2）注入对公司有利；3）管理层提出动议。目前，万向电动车仍亏损，公司管理层认为目前无法增厚公司业绩亦未提出动议，预计未来两年内不考虑将万向电动车注入上市公司，而万向电动车盈利将是决定注入时点的关键因素。

菲斯科注入上市公司暂无时间表

公司于2014年4月3日公告，万向集团收购美国菲斯科股权事宜，万向集团已完成对美国菲斯科的交割，现正处于等我国相关部门审批的阶段。此前，公司于2012年12月收购电池生产企业A123。菲斯科收购完成后，我们判断会逐步实现复产，之后再进行扩产。我们认为A123与菲斯科有望形成协同效应，逐步提升菲斯科在电动汽车整车领域的竞争力。但公司表示菲斯科注入上市公司暂无时间表，具有不确定性。

投资电动汽车电机项目已实现小批量试供货

    公司于2010年4月公告，围绕新能源汽车零部件，电动汽车电机与电机控制器进行投资开发立项，目前，电机项目仍处于实验性的小批量试供货阶段，尚无正式批量供货，2013年产品小批量试销售给万向电动车实现销售额222.8万元；电机控制器项目尚处于研发阶段，无销售。我们认为，未来公司电动汽车电机与电机控制器项目仍积极研发，电机项目已实现小批量试供货，未来有望逐步实现批量供货，若要实现批量供货还需跟踪行业及万向电动车情况，此外，若公司零部件能达到标准，我们判断亦存在公司零部件供货给菲斯科的可能性。

盈利预测与投资建议

预估2014、2015年EPS分别为0.42元与0.49元，对应PE为21倍与18倍，考虑未来两年内公司尚无将万向电动车注入的计划，还需持续跟踪万向电动车盈利情况，首次给予“谨慎推荐”评级。

风险提示

汽车行业销量不如预期；原材料成本大幅上升；订单不如预期。",,民生证券,谨慎推荐,[None],2014-05-04,,增持,784664,"pdf_downloads/2014/2014-05-04/000559-万向钱潮(000559)调研报告：主业稳定增长,万向电动车注入尚需时日.pdf",000559,万向钱潮,"万向钱潮(000559)调研报告：主业稳定增长,万向电动车注入尚需时日"
张洪磊,"事件：

我于近日调研了万向钱潮，与公司管理人员进行了交流。

1．公司传动、制动和悬挂三大系统产品齐头并进，均处于国内领先地位。

公司的主要产品是汽车底盘总成中的传动、制动和悬挂系统的零部件，目前三大业务各占主营收入的1/3左右。其中，传动系统和悬挂系统在国内市场份额排名第一，制动系统的市场份额仅次于上汽纳铁福（上汽与GKN的合资公司）排名第二，均处于行业领先地位。

2.受益于美国汽车市场的持续回暖，公司出口持续快速增长。

公司出口的主要客户是美国通用、和福特，2012年美国汽车市场同比增长13%，公司出口收入有望增长20%左右，同时美国经济复苏迹象越来越明确，明年汽车销量有望持续快速增长，保障了公司出口收入的持续快速增长。

3.公司国内市场结构趋于合理，重点发展等速驱动轴和轮毂单元。

公司起家于主要用于商用车的万向节，早期的客户主要集中在商用车，目前公司通过不断开发新产品，客户结构已经演变为以乘用车为主（占比超过60%），同时由于公司产品品质优良，已经达到外资水平，公司在合资品牌整车厂中的供应比例快速提升，目前已经成为上汽通用、大众的底盘悬挂系统的独家配套商以及上汽通用五菱的减震器和制动系统的独家配套商。从产品结构来看，公司将重点发展新产品等速驱动轴和轮毂单元（包含ABS、ESP、行车电脑等电子控制系统），等速驱动轴产品已经开始向现代、大众和通用批量供货，并且已经进入宝马和奔驰的配套体系。

4.万向集团新能源汽车技术储备雄厚，收购A123将大幅提升锂电池技术实力。

1999年，万向集团就开始做新能源汽车的相关研究，是国内最早开展新能源汽车相关技术研究的企业，2005年之后开始新能源汽车的整车试用和改进，已经储备了大量相关技术和数据。此外，集团收购美国A123公司已获美国法院批准且无竞标对手，最终成功的可能性较大。目前A123是美国技术最先进的锂电池和能量存储系统公司，核心技术是将锂离子电池的磷酸锂铁正极材料制造成均匀的纳米级超小颗粒，比一般的锂离子正极材料粉体颗粒小约100倍，因颗粒和总表面面积剧增而大幅提升电池的放电功率。

5、公司做好内生发展的同时加快兼并收购步伐。

目前公司已经将发展目标定位于GKN这种国际化的专业汽车零部件集团，公司不断提升内部管理的同时，也开始加快兼并收购步伐。目前公司现金流稳定、资金充沛，正在积极寻找专业零部件企业并购标的。",,东兴证券,推荐,[None],2013-01-10,,增持,523874,pdf_downloads/2013/2013-01-10/000559-万向钱潮(000559)调研快报：内外兼修迈向世界级汽车底盘系统零部件企业.pdf,000559,万向钱潮,万向钱潮(000559)调研快报：内外兼修迈向世界级汽车底盘系统零部件企业
马智琴,"事件:

公司发布2011年年报，2011年全年实现营业收入81.73亿元，同比增长4.52%;实现营业利润4.96亿元，同比增长4.94%;实现归属于母公司所有者的净利润46.54亿元，同比增长9.30%;实现基本每股收益0.29元，同比下降3.63%，每股净资产2.43元。

利润分配预案：拟每10股派送现金3元（含税）

点评:

销售收入、利润增速放缓：受下游客户汽车销量及整车售价同时下降的影响，2011年汽车零部件销售收入增速放缓，仅为8.93%，而由于通货膨胀与原辅材料价格的上涨，营业成本则同比增长11.25%，导致毛利率同比下降1.68个百分点。同时，钢材贸易业务销售收入也受下游影响出现大幅下滑，同比下降31.60%。

出口大幅增长，内销小幅下降：公司年报披露，2011年大幅增加直接出口业务，全年国外销售实现营业收入9.99亿元，同比增长4,234.42%。国内销售实现营业收入66.36亿元，同比下降9.36%。公司2012年将进一步深化落实“走出去、引进来”的国际化发展战略，预计出口仍将继续增长。

投资收益大幅增长：2011年公司实现投资收益3,517.2万元，较10年的1788.33万元增加1733.87万元，同比增长高达97.23%，主要是本期收到万向财务公司分红款所致。

管理费率提高，财务费率下降：2011年公司管理费率7.29%，较10年增长0.5个百分点，主要是公司的技术开发费和工资薪金提高所致。其中，11年公司技术开发费2.91亿元，较10年的2.67亿元增长8.6%，工资薪金也较去年同期增长约13%。2011年公司财务费率0.68%，较10年下降0.35个百分点，主要是由于公司利用暂时闲置的募集资金补充流动资金以及发行短期融资券增加，公司流动资金较为充裕，相应减少短期借款所致。

增发项目逐步带来业绩释放：公司2010年公开增发募集资金用于“新增年产840万支等速驱动轴总成固定资产投资项目”，预计2013年4月完工。截至2011年末，项目投资进度已达40.38%，实现效益7210万元。

业绩预测及投资建议：我们预计公司2012年、2013年EPS分别为0.31元和0.41元，对应的分别为21倍和16倍，维持“增持”评级。",,财通证券,增持,[None],2012-03-26,,增持,734683,pdf_downloads/2012/2012-03-26/000559-万向钱潮(000559)：国内下滑，出口和投资收益大幅增加.pdf,000559,万向钱潮,万向钱潮(000559)：国内下滑，出口和投资收益大幅增加
刘峰,"事件：

    万向钱潮（000559）3 月20 日发布2011 年度报告。报告期内，公司实现营业收入81.73 亿元，同比增长4.52%；归属于上市公司股东净利润4.65 亿元，同比增长9.30%；基本每股收益0.29 元。本年度公司利润分配预案为每10 股派现金3 元（含税）。

    点评：

    主营业务增长 海外市场规模激增 公司主营机械制造和物资贸易两大主营业务。其中，机械制造行业的汽车零部件2011 年实现营业收入66.37 亿元，较上年增长8.93%；物资贸易行业的钢材、生铁产品营收较上年下降接近三成，煤炭类产品营收则增长超过6 成。主营业务区域实现营收此消彼长。国内销售下降9.36%，海外销售增长超过上年41.34 倍，海外市场规模急剧扩大；

    公司美国市场显著扩大 万向舍勒公司2010 年和2011 年连续两次进入公司前5 名客户名单。2010 年，万向舍勒客户营收为1.89 亿元，2011 年增加到2.34 亿元，营收占比公司全部营收7.64%；列名公司大客户名单的万向美国成立于1993 年，迄今已收购数十家美国本地企业，全美范围已拥有28 家工厂，员工5600 余名。2011 年公司于万向美国实现营收2.27 亿元，占比公司全部营业收入的7.40%。公司美国市场显著扩大，并在美国实现本地化管理、生产和销售，降低了愈演愈烈的美国对华光伏产品实施“双反”制裁以及针对零件产品出口潜在的贸易风险；

    万向财务增厚投资收益 万向财务公司系经批准设立的非银行金融机构，为公司及控股子公司提供金融服务，参照市场费率标准收取有关业务服务费。万向初始投资财务公司2.4 亿元，并相应持有17.83%的股权。2011 年，公司投资收益为0.352 亿元，较上年0.178亿元增加约97.23%，主要系本期收到万向财务公司分红款增加所致。2008 年~2010 年，财务公司为万向钱潮实现投资收益分别为0.19 亿元、0.05 亿元和0.173 亿元，公司依靠投资万向财务获取收益逐年增厚；

    公司面临经营风险 2012 年全球经济形势较为复杂，公司面临着以下经营风险：其一，原辅材料价格波动，压缩了公司的盈利空间；其二，行业产销增速减缓，汽车销售市场竞争激烈，下游整车企业升高的成本向上游零部件行业传导和转移；其三，公司对美出口汽车零部件以及光伏产品有遭受“双反”制裁的潜在风险。

    盈利预测及推荐评级 万向钱潮在轴承、汽车轴承以及传动轴等产品领域，具有技术和规模优势，近年注重海外市场开发，取得卓越成效。除此以外，还积极布局提前介入新能源电动汽车的研发，为公司可持续发展奠定基础。万向钱潮2011 年基本每股收益为0.29元，预计2012、2013 和2014 年基本每股收益分别为0.32 元、0.35 元和0.41 元，以2011年12 月30 日为基准日，对应PE 分别为18、16 和14 倍。维持原“增持”评级。",,西南证券,增持,[None],2012-03-22,,增持,616842,pdf_downloads/2012/2012-03-22/000559-万向钱潮(000559)2011年报告点评：海外市场显著扩大.pdf,000559,万向钱潮,万向钱潮(000559)2011年报告点评：海外市场显著扩大
