author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts
陈宝健,产业互联网平台持续验证，维持“买入”评级公司发布2021年三季报，单三季度收入同比增长30.0%；归母净利润同比增长53.3%。电子行业景气回暖，公司创新业务持续验证，我们维持盈利预测不变，预计2021-2023年归母净利润为9.56、11.39、13.91亿元，EPS为0.91、1.09、1.33元/股，当前股价对应PE为16.2、13.6、11.1倍，维持“买入”评级。事件：公司发布2021年三季报前三季度，公司实现收入164.5亿元，同比增长43.1%，实现归母净利润7.09亿元，同比增长53.6%。单三季度，实现收入64.6亿元，同比增长30.0%，实现归母净利润2.76亿元，同比增长53.3%。景气回暖+结构优化，业绩高增长（1）收入方面，电子行业景气回暖，公司作为电子元器件分销龙头充分受益，单三季度收入同比增长30.0%，市场份额进一步提升。（2）毛利率方面，前三季度毛利率为11.6%，同比提升1.74个百分点，主要系公司分销业务结构优化以及毛利率相对较高的创新业务高增长所致。（3）利润方面，单三季度利润同比增长53.3%，快于收入增速。（4）现金流方面，前三季度经营活动现金流净额同比减少61.5%，主要系公司分销业务增长较快，备货和回款存在经营周期所致。创新业务持续验证，产业互联网进入高成长阶段公司创新业务华强电子网是面向长尾现货市场的产业互联网平台。根据公司三季报预告披露，以同口径测算，华强电子网前三季度收入增长超450%，归母净利润增长超320%。根据工信部文件，2023年国内电子元器件销售目标为2.1万亿元，对应的长尾现货市场规模达千亿，空间广阔。目前电子元器件数字交易仍处于起步阶段，公司深耕电子产业，积累了十几年的客户资源和交易数据，具备先发和资源优势。经过一年多的整合完善，公司创新业务的可行性和成长性已经得到充分验证，产业互联网平台进入高成长阶段，未来可期。风险提示：电子行业景气下行；线上平台发展不及预期。,,开源证券,买入,[None],2021-10-27,,买入,4651256,pdf_downloads/2021/2021-10-27/000062-深圳华强（000062）：产业互联网平台持续验证，全年高增长可期.pdf,62,深圳华强,深圳华强（000062）：产业互联网平台持续验证，全年高增长可期,"{
    ""forecasts"": [
        {
            ""year"": 2021,
            ""net_profit"": 7.09,
            ""eps"": 0.91,
            ""pe"": 16.2
        },
        {
            ""year"": 2022,
            ""net_profit"": 11.39,
            ""eps"": 1.09,
            ""pe"": 13.6
        },
        {
            ""year"": 2023,
            ""net_profit"": 13.91,
            ""eps"": 1.33,
            ""pe"": 11.1
        }
    ]
}"
陈宝健,电子元器件产业互联网龙头，维持“买入”评级公司发布2021年中报，实现收入99.87亿元，同比增长53.1%，实现归母净利润4.34亿元，同比增长53.7%。我们维持公司2021-2023年归母净利润预测为9.56、11.39、13.91亿元，EPS为0.91、1.09、1.33元/股，当前股价对应PE为16.3、13.7、11.2倍。公司产业互联网平台进入高增长阶段，维持“买入”评级。电子行业景气上行，收入利润快速增长公司实现收入99.87亿元，同比增长53.1%，主要由于电子元器件分销业务规模扩大以及产业互联网平台快速增长，收入进入快速增长期。毛利率提升1.1个百分点至11.7%，主要由于行业景气回暖以及公司主动缩减毛利率较低的业务。费用率提升0.3个百分点至4.3%，主要由于收入规模增长下人工费用支出增长。实现扣非归母净利润4.28亿元，同比增长63.4%。经营活动现金流净额由正转负至-2.15亿元，主要由于分销业务增长较快，回款存在一定周期。产业互联网平台：商业模式验证，打开成长空间2019年，公司组建面向长尾现货市场的B2B产业互联网平台。国内电子元器件销售规模约为2万亿元，对应的长尾现货市场规模为千亿级，目前数字化交易仍处于起步阶段。公司沉淀了十几年的客户和交易数据，具备先发优势。上半年平台实现收入10.43亿元，同口径下增长305%，实现扣非利润1.05亿元，增长273%。公司数据驱动的轻资产模式得到验证，优势在缺货潮中进一步凸显，未来平台收入将打开成长空间。电子元器件分销：头部优势凸显，开启内生增长2014年，公司开始布局电子元器件分销业务，过去几年通过“外延并购+内生增长”双轮驱动，已经成为国内电子元器件分销头部企业，并开启内生良性运转，在资金、技术、管理、风控方面优势凸显。2021年上半年，得益于电子行业景气度回暖以及公司市场份额的提升，分销业务实现收入86.45亿元，同比增长53.9%，实现利润2.77亿元，同比增长104.8%。风险提示：货源紧张导致备货不足；线上平台发展不及预期。,,开源证券,买入,[None],2021-08-26,,买入,4599421,pdf_downloads/2021/2021-08-26/000062-深圳华强（000062）公司信息更新报告：产业互联网平台进入高增长阶段.pdf,62,深圳华强,深圳华强（000062）公司信息更新报告：产业互联网平台进入高增长阶段,"{
    ""forecasts"": [
        {
            ""year"": 2021,
            ""net_profit"": 4.34,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2022,
            ""net_profit"": 9.56,
            ""eps"": 0.91,
            ""pe"": 16.3
        },
        {
            ""year"": 2023,
            ""net_profit"": 11.39,
            ""eps"": 1.09,
            ""pe"": 13.7
        }
    ]
}"
陈宝健,电子元器件产业互联网龙头，首次覆盖给予“买入”评级2014年公司开启战略转型，切入电子元器件分销领域，通过外延并购和内生增长，成为国内电子元器件产业互联网龙头。2019年公司设立华强电子网集团，覆盖长尾现货市场，产业互联网平台蓄势待发。我们预计2021-2023年公司归母净利润分别为9.56、11.39、13.91亿元，对应EPS分别为0.91、1.09、1.33元，对应当前股价PE分别为18.8、15.8、13.0倍。首次覆盖，给予“买入”评级。长尾现货需求天花板超千亿，行业级产业互联网平台蓄势待发下游电子制造厂商在研发、测试、量产环节存在备货不均衡，长尾现货需求长期存在，在总体采购中占比约5%。根据工信部发文，目标2023年国内电子元器件销售总额达到2.1万亿元，据此测算，现货长尾市场天花板达1050亿元。2019年，公司整合前期收购的捷扬讯科成立华强电子网集团，布局电子元器件B2B平台。我们认为，华强电子网拥有广泛的客户基础，捷扬讯科具有供应链和价格数据优势，双方形成有效协同互补，行业级产业互联网平台蓄势待发。根据公司业绩预告，2021年上半年，华强电子网集团收入增速超275%，扣非净利润增速超280%，商业模式持续验证。外延并购+内生增长双轮驱动，奠定授权分销龙头地位电子产业链呈现典型的金字塔结构，上游厂商高度集中，下游细分领域广泛、客户分散，中游分销商具备“蓄水池”功能赋能上下游。2014年公司开启第三次战略转型，先后收购湘海电子、鹏源电子、淇诺科技等公司布局授权分销领域，收入进入快速增长通道。2018年组建华强半导体集团，统一对外运营、IT信息、仓储物流等系统，公司进入内生增长阶段。根据《国际电子商情》发布的2020年榜单，公司位列国内分销商第三位。受益于电子行业景气度回暖，2021年一季度，华强半导体集团收入增长超55%，利润增长超136%，市场份额持续提升。风险提示：货源紧张导致备货不足；线上平台发展不及预期。,,开源证券,买入,[None],2021-07-06,,买入,4550693,pdf_downloads/2021/2021-07-06/000062-深圳华强（000062）公司首次覆盖报告：电子产业互联网平台蓄势待发.pdf,62,深圳华强,深圳华强（000062）公司首次覆盖报告：电子产业互联网平台蓄势待发,"{
    ""forecasts"": [
        {
            ""year"": 2021,
            ""net_profit"": 9.56,
            ""eps"": 0.91,
            ""pe"": 18.8
        },
        {
            ""year"": 2022,
            ""net_profit"": 11.39,
            ""eps"": 1.09,
            ""pe"": 15.8
        },
        {
            ""year"": 2023,
            ""net_profit"": 13.91,
            ""eps"": 1.33,
            ""pe"": 13.0
        }
    ]
}"
沈彦東,深圳华强(000062)深圳华强是国内知名的电子信息产业链高端服务商。公司自2015年通过并购转型进入电子元器件授权分销领域后，快速崛起成为本土龙头分销商。2019年公司实现营收143.55亿元，五年间复合增长率达47.82%，在本土上市分销企业中位列第一。公司主营业务主要划分为电子元器件线下授权分销业务（86.08%）、线上交易平台（4.66%）及实体交易市场（3.29%）三块（2020年半年报数据）。电子元器件授权分销：专注大批量、蓝筹企业线下分销市场。公司自2015年收购湘海电子进入授权分销领域，其后相继收购鹏源电子、淇诺科技、芯斐电子，并组建华强半导体集团，深度整合授权分销业务，实现多产品、分领域、国内外全面布局。线上交易平台：专注小批量、中小型长尾交易市场。2019年底公司组建华强电子网集团对的电子元器件长尾需求服务业务进行整合，以原捷扬讯科自建的高效智能交易系统为基础，结合华强电子网的网站系统，打造国内最有特色的线上电子元器件及相关产品长尾需求现货交易平台。实体交易市场：以“华强电子世界”为主导，旨在为供应商和客户提供交互式的市场空间。从行业上看，电子元器件分销行业空间广阔，一方面将受益于下游5G、汽车电子、物联网等新兴市场需求所带来的整体电子产业的成长机会，另一方面“国产替代”优胜行业逆周期，搭乘半导体产业东移趋势，本土市场需求将日益扩大。从竞争格局来看，并购重组促进分销行业资源和集中度的提升，龙头厂商受益于规模效应强者恒强，深圳华强分别完成对电子元器件线上、线下业务深度整合，在区位、技术、规模、业务条线、客户资源等方面均具核心竞争力，有望在电子元器件分销领域持续成长。我们看好公司作为本土分销龙头在未来的成长机遇，预计2020-2021营业收入为162.41、186.32亿元，归母净利润预计为6.56、7.50亿元，分别对应24.24、21.18倍的PE，给予“增持”评级。风险提示：电子行业下游需求持续低迷；公司并购企业发展不及预期；长尾需求现货交易平台发展不及预期；商誉大幅减值；短期负债抬升；库存及应收账款风险；以及关联交易引起的经营风险和财务风险等。,,万和证券,增持,[None],2020-09-03,,增持,4328342,pdf_downloads/2020/2020-09-03/000062-深圳华强（000062）：深度整合线上线下业务，巩固分销龙头地位.pdf,62,深圳华强,深圳华强（000062）：深度整合线上线下业务，巩固分销龙头地位,"{
    ""forecasts"": [
        {
            ""year"": 2020,
            ""net_profit"": 6.56,
            ""eps"": null,
            ""pe"": 24.24
        },
        {
            ""year"": 2021,
            ""net_profit"": 7.50,
            ""eps"": null,
            ""pe"": 21.18
        }
    ]
}"
"夏瑜,李凌翔",主要观点：电子元器件分销行业处在产业链的中游，起到承上启下的作用，是产业链中不可或缺的中间环节。国内电子元器件分销行业经过多年的发展，市场规模超万亿，本土分销商迅速成长抢占市场，在国内电子元器件分销市场上可与国际分销商并驾齐驱。但与国际电子元器件分销市场相比，国内分销行业市场集中度仍处于较低水平，营收前三分销商占营收前十的比重为46%，远低于全球市场77%的比重，行业集中度仍有很大提升空间。本土电子元器件分销头部企业，可依靠资金及渠道优势，复制国际电子元器件分销巨头崛起路径，通过并购实现扩张，助推国内电子元器件分销市场竞争格局进一步向头部聚集。公司得以在行业内快速发展的核心竞争力在于公司能够持续收购优质的电子分销企业，并发挥自身出色的管理能力进行整合发展。自2015年起，公司通过收购湘海电子、鹏源电子、芯斐电子等电子元器件分销商，迅速切入电子元器件分销领域，并在短短几年内快速步入电子元器件分销行业第一梯队。公司所选择收购的分销企业均在各自的细分行业深耕多年，分销能力突出，业绩成长空间可观，与同业竞争对手相比具有更强的竞争力。被收购企业在公司的管理整合下，借助集团背书，原有分销业务进一步强化，在业绩承诺期内均超额完成业绩承诺，助力公司营收规模屡创新高。由此可见，公司已拥有一套成熟的并购逻辑与可复制的扩张战略，公司业务规模的增长具有较强确定性。2018年5月，公司组建华强半导体集团，将湘海电子、鹏源电子等元器件分销企业并入其中。华强半导体集团成立后，公司将通过搭建业务财务一体化的IT信息系统等措施，对公司的电子元器件授权分销业务进行进一步的深度整合，提升管理和渠道效率；通过聚合公司旗下各授权分销企业的资源、优势和力量，增强公司在项目并购、产品线开拓和新客户开发时的谈判能力和核心竞争力；同时，在强化各授权分销企业各自品牌特色的基础上，打造统一的“华强半导体集团”品牌形象。公司依托捷扬讯科自主研发的系统，发展电子元器件线上交易业务，服务长尾需求市场。2019年12月，公司拟整合公司旗下捷扬讯科及电子网公司，成立华强电子网集团。华强电子网集团的组建，将有助于捷扬讯科和电子网公司进一步发挥在业务、客户、人才、渠道、品牌、交易数据等方面的协同效应，促进公司电子元器件及相关产品长尾需求服务业务快速发展，完善公司在电子元器件分销行业的布局，从而与公司传统的授权分销业务形成有效互补，共同促进公司业绩增长。投资建议：暂不考虑公司未来潜在并购对公司业绩的影响，我们预计公司2019-2021年主营业务收入分别为137.87亿元、161.52亿元和184.79亿元，归属母公司净利润分别为6.88亿元、7.86亿元和8.93亿元，EPS为0.66元/股、0.75元/股和0.85元/股，对应PE分别为21.81倍、19.11倍和16.81倍。公司作为近几年迅速成长的电子分销企业，在资金、管理、规模以及资源整合等方面具有较强的竞争力，我们看好公司能够继续沿着“外延+内生”的模式稳定增长，在行业集中度逐步提升的进程中脱颖而出。今年公司受下游景气度较低的影响利润有所承压，但随着下游行业的回暖，公司利润水平有望回升。首次覆盖，给予“增持”评级。风险提示：公司并购企业发展不及预期；电子行业下游需求持续低迷；库存及应收账款风险。,,长城国瑞证券,增持,[None],2019-12-24,,增持,4119013,pdf_downloads/2019/2019-12-24/000062-深圳华强（000062）：快速崛起的电子元器件分销龙头.pdf,62,深圳华强,深圳华强（000062）：快速崛起的电子元器件分销龙头,"{
    ""forecasts"": [
        {
            ""year"": 2021,
            ""net_profit"": 8.93,
            ""eps"": 0.85,
            ""pe"": 16.81
        }
    ]
}"
"姚康,谢恒","深圳华强(000062) 
    
   公告：公司公告2018年年度报告，营业收入118亿元，同比增长38.08%，归母净利润6.86亿元，同比增长63.33%；其中Q4单季度营业收入35.8亿元，同比增长17.34%，归母净利润1.67亿元，增速68.39%。 
    
   投资要点 
    
   分销主业表现强劲，全年营收、利润均实现高速增长。公司全年收入同比增长38.1%，归母净利润同比增长63.3%，收入端和利润端均实现快速增长，主要得益于：1）分销主业表现强劲，线下分销收入108亿，同比增长51.3%，除收购并表因素外，湘海电子、鹏源电子、捷扬讯科等内生增长也十分快速；2）对联营公司芜湖旅游城的投资收益大幅增加，全年投资收益1.15亿。 
    
   盈利能力相对稳定，运营效率进一步提升。公司毛利率15.74%，净利率6.52%，同比改善1.02个百分点，公司组建华强半导体集团作为整合平台后，聚合旗下各授权分销企业的资源、优势和力量，增强了在开拓新的产品线和客户时的谈判能力和核心竞争力，有效提高了公司的运营效率，销售和管理费率同比得到改善。同时，资产减值损失同比减少5000万。 
    
   加速产业整合扩大规模优势，百亿分销龙头地位稳固。公司凭借资金、技术、团队优势，把握发展机遇，自15年起积极推进外延并购战略，已进入国内电子元器件分销行业第一梯队，营收规模和总资产均突破百亿。当前分销行业竞争格局进入新阶段，资金获取能力强、规模大、风险抵御能力强的平台型企业竞争优势更为明显，行业集中度逐步提升。我们认为，公司未来将持续受益外延并购及加速整合带来的规模优势，导入更多主流原厂代理权和下游客户资源，同时继续完善电子信息全产业链的交易服务平台，完善产业布局，进一步扩大市场份额，巩固国内分销龙头地位。 
    
   盈利预测与投资评级：我们预计公司2019-2021年净利润为8.8、11、13.7亿元，实现EPS为1.22、1.53、1.9元，对应PE为17.8、14.2、11.4倍，基于公司近两年一系列并购整合带来较快的业绩增长预期，19年估值仍有提升空间，维持“买入”评级。 
    
   风险提示：子公司增长速度低于预期；并购整合进度低于预期；库存及应收账款风险。",,东吴证券,买入,[None],2019-03-29,,买入,3690616,pdf_downloads/2019/2019-03-29/000062-深圳华强（000062）：全年业绩高速增长，加速整合巩固龙头地位.pdf,62,深圳华强,深圳华强（000062）：全年业绩高速增长，加速整合巩固龙头地位,"{
    ""forecasts"": [
        {
            ""year"": 2021,
            ""net_profit"": 13.7,
            ""eps"": 1.9,
            ""pe"": 11.4
        }
    ]
}"
"姚康,谢恒","投资要点
 分销主业表现强劲，全年业绩高速增长：公司电子元器件分销业务规模、
利润快速增长，截止 18 年 11 月 23 日营收破百亿，18 年全年利润 6.6-7.1
亿，同比高速增长，主要得益于代理线的扩充、客户粘性的增强、市场
份额的提升等内生因素。特别是 Q4 电子元器件行业处于去库存阶段，
公司单季度归母净利润 1.44-1.86 亿元，中值环比仍有提升，体现出公
司代理线的优质以及理性的前瞻性预判，并通过提供采购、库存、物流、
资金、技术等全方位的支持和服务以增强客户粘性。
 整合力度加强，运营效率持续提升：公司 18 年上半年组建华强半导体
集团作为整合平台，聚合了旗下各授权分销企业的资源、优势和力量，
增强了在开拓新的产品线和客户时的谈判能力和核心竞争力，加强了平
台资源在半导体产品类型和终端应用市场的扩充，提高了运营效率，将
外延并购有效转化为公司扎实的内生增长，并购标的在 18 年都实现了
快速增长。
 行业集中度有望持续提升，百亿分销龙头再起航：公司凭借资金、技术、
团队优势，把握发展机遇，自 15 年起积极推进外延并购战略，已进入
国内电子元器件分销行业第一梯队，规模超过百亿。当前分销行业竞争
格局进入新阶段，资金获取能力强、规模大、风险抵御能力强的平台型
企业竞争优势更为明显，行业集中度逐步提升。我们认为，公司未来将
持续受益外延并购及加速整合带来的规模优势，导入更多主流原厂代理
权和下游客户资源，同时继续完善电子信息全产业链的交易服务平台，
完善产业布局，巩固国内分销龙头地位。
 盈利预测与投资评级：我们预计公司 2018-2020 年净利润为 6.9、8.6、
10.7 亿元，实现 EPS 为 0.96、1.19、1.48 元，对应 PE 为 17.5、14.2、
11.3 倍，基于公司近两年一系列并购整合带来较快的业绩增长预期，19
年估值仍有提升空间，维持“买入”评级。
 风险提示：子公司增长速度低于预期；并购整合进度低于预期；库存及
应收账款风险。",,东吴证券,买入,[None],2019-01-30,,买入,3644390,pdf_downloads/2019/2019-01-30/000062-深圳华强（000062）：全年业绩高速增长，本土分销龙头再起航.pdf,62,深圳华强,深圳华强（000062）：全年业绩高速增长，本土分销龙头再起航,"{
  ""forecasts"": [
    {
      ""year"": 2020,
      ""net_profit"": 10.7,
      ""eps"": 1.48,
      ""pe"": 11.3
    }
  ]
}"
谢恒,"公告：公司发布营业收入首次突破百亿的自愿性信息披露公告，截止2018年11月23日，公司营业收入突破100亿元人民币。
外延并购加速分销平台布局，扩大规模效应。自2015年起，公司相继并购湘海电子、捷扬讯科等一系列质地优良的电子元器件授权分销商，且业绩均超出预期，上游原厂代理权、产品线组合、客户资源都得到大幅强化。目前，公司已初步完成上游的被动元器件代理+主动元器件代理、国外产线代理+国内产线代理，以及代理产品线应用于下游不同行业、领域的较为完整的、互补的电子元器件授权分销平台布局，具备一定的规模效应。
整合力度加强，外延并购有效转为内生增长。公司凭借良好的银行信誉度及优质的资产积累，资金渠道广、成本低，对已并购的电子元器件授权分销企业深度整合，将外延并购有效转化为公司扎实的内生增长。2018年公司成立华强半导体集团，加速整合旗下分销企业，形成显著的品牌效应和大平台优势。此外，华强电子世界、华强电子网等业务与分销业务存在较大的协同、互补性，促进电子元器件授权分销业务的整合，推动业绩快速增长。
受益行业集中度提升，本土分销龙头成长空间广阔。当前分销行业竞争格局进入新阶段，资金获取能力强、规模大、风险抵御能力强的平台型企业竞争优势更为明显，行业集中度逐步提升。公司凭借资金、技术、团队优势，在外延并购和内生增长双重推动下，分销业务规模不断扩大，已超百亿。我们认为，公司未来将持续受益外延并购及加速整合带来的规模优势，导入更多主流原厂代理权和下游客户资源，同时继续完善电子信息全产业链的交易服务平台，完善产业布局，巩固国内分销龙头地位。
盈利预测与投资评级：我们预计公司2018-2020年净利润为6.9、8.6、10.7亿元，实现EPS为0.96、1.19、1.48元，对应PE为19.3、15.6、12.5倍，基于公司近两年一系列并购整合带来较快的业绩增长预期，18年估值仍有提升空间，维持“买入”评级。
风险提示：子公司增长速度低于预期；并购整合进度低于预期；库存及应收账款风险。",,东吴证券,买入,[None],2018-11-27,,买入,2263056,pdf_downloads/2018/2018-11-27/000062-深圳华强（000062）：外延内生双轮驱动，分销龙头营收破百亿.pdf,62,深圳华强,深圳华强（000062）：外延内生双轮驱动，分销龙头营收破百亿,"{
    ""forecasts"": [
        {
            ""year"": 2020,
            ""net_profit"": 10.7,
            ""eps"": 1.48,
            ""pe"": 12.5
        }
    ]
}"
谢恒,"公告：公司发布2018年前三季度业绩报告，前三季度营业收入82.19亿元，同比增长49.59%；归母净利润5.19亿元，同比增长61.77%。其中第三季度营业收入33.22亿，同比增长38.65%；归母净利润1.59亿，同比增长27.25%。
分销主业表现强劲，营收、利润延续快速增长。公司三季度收入同比增长38.65%，归母净利润同比增长27.25%，收入端和利润端继续保持快速增长，主要得益于代理线的扩充及理性的前瞻性预判，并通过提供采购、库存、物流、资金、技术等全方位的支持和服务以增强客户粘性，进一步提升市场份额。
盈利能力相对稳定，库存增加积极备货Q4。公司毛利率15.50%，净利率5.28%，与同期保持相对平稳，ROE同比改善0.52个百分点。环比盈利数据小幅下降主要由于Q2收购芯斐电子产生较多投资收益，以及联营公司芜湖华强旅游城投资开发的净利润下滑所致。公司经营效率进一步提高，管理费用率环比持续改善，同时加大研发投入，储备相关技术，从而进行专业的市场推广。此外，公司存货较上年年末增加35.40%，体现Q4客户订单需求旺盛，积极备货。
加速产业整合扩大规模优势，本土分销龙头成长空间广阔。国内分销市场集中度较低，公司凭借资金、技术、团队优势，把握发展机遇，自15年起积极推进外延并购战略，已进入国内电子元器件分销行业第一梯队，今年规模将超百亿。上半年公司组建华强半导体集团，加速整合旗下分销业务，近期与记忆电子签署增资协议，扩充海力士产品线，卡位存储芯片领域，并加深与国内服务器和存储产品等领域处于市场领先地位的新华三（H3C）等客户的合作关系。我们认为，公司未来将持续受益外延并购及加速整合带来的规模优势，导入更多主流原厂代理权和下游客户资源，进一步扩大市场份额，巩固国内分销龙头地位。
盈利预测与投资评级：我们预计公司2018-2020年净利润为6.9、8.6、10.7亿元，实现EPS为0.96、1.19、1.48元，对应PE为18.8、15.2、12.2倍，基于公司近两年一系列并购整合带来较快的业绩增长预期，18年估值仍有提升空间，维持“买入”评级。
风险提示：子公司增长速度低于预期；并购整合进度低于预期；库存及应收账款风险。",,东吴证券,买入,[None],2018-10-26,,买入,2246542,pdf_downloads/2018/2018-10-26/000062-深圳华强（000062）：分销主业表现强劲，加速整合巩固龙头地位.pdf,62,深圳华强,深圳华强（000062）：分销主业表现强劲，加速整合巩固龙头地位,"{
    ""forecasts"": [
        {
            ""year"": 2020,
            ""net_profit"": 10.7,
            ""eps"": 1.48,
            ""pe"": 12.2
        }
    ]
}"
谢恒,"公告:公司发布2018年前三季度业绩预告,前三季度实现归母净利润5.07亿元-5.39亿元,同比增长58%-68%。其中,第三季度实现归母净利润1.47亿元-1.79亿元,同比增长17.59%-43.22%,利润继续取得较大增长。
    Q3分销业务规模、利润继续快速增长。公司Q3单季度归母净利润1.47-1.79亿元,同比增长17.59%-43.22%,继续保持快速增长,主要得益于代理线的扩充、客户的推广和粘性、市场份额的提升等内生因素。相比Q2环比有所下滑,主要是因为Q2收购芯斐电子产生较多投资收益,以及联营公司芜湖华强旅游城投资开发Q3为公司贡献的净利润环比下降50%-60%,公司分销主业依旧表现强劲。
    苦练内功,公司业绩将继续保持良性增长。近一年多的电子元器件缺货潮中,公司作为本土龙头分销商,苦练内功,持续强化在采购、库存、物流、资金、技术等各方面的竞争力,通过前瞻性的预判,合理安排采购和库存,平滑供应链上下游冲击。公司报告期内的高速增长与“炒货”无关,未来即使部分元器件价格下滑,我们认为公司业绩仍将继续保持良性增长。
    加速产业整合,内生外延驱动本土分销龙头市占率进一步提升。公司自15年起积极推进外延并购战略,已进入国内电子元器件分销行业第一梯队,今年规模将超百亿。上半年公司组建华强半导体集团,加速整合旗下分销业务,近期对记忆电子的增资合作使华强扩充海力士产品线,切入存储芯片领域,以及加深与国内服务器和存储产品等领域处于市场领先地位的新华三(H3C)等客户的合作关系,进一步巩固国内分销龙头地位。我们认为,公司未来通过内生增长和外延并购双轮驱动,将继续受益行业集中度的提升。
    盈利预测与投资评级:我们预计公司2018-2020年净利润为6.9、8.6、10.7亿元,实现EPS为0.96、1.19、1.48元,对应PE为18.8、15.2、12.1倍,基于公司近两年一系列并购整合带来较快的业绩增长预期,18年估值仍有提升空间,维持“买入”评级。
    风险提示:子公司增长速度低于预期;并购整合进度低于预期;库存及应收账款风险。",,东吴证券,买入,[None],2018-10-15,,买入,2232673,"pdf_downloads/2018/2018-10-15/000062-深圳华强(000062)：内生动力充足,规模、利润继续快速增长.pdf",62,深圳华强,"深圳华强(000062)：内生动力充足,规模、利润继续快速增长","{
    ""forecasts"": [
        {
            ""year"": 2020,
            ""net_profit"": 10.7,
            ""eps"": 1.48,
            ""pe"": 12.1
        }
    ]
}"
