author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"肖索,贾惠淋",高纯石英砂龙头企业，产品应用兼具光伏、半导体领域。石英材料全产业链布局，系列产品种类丰富。江苏太平洋石英股份有限公司创立于1992年，2014年在上交所A股主板上市。公司产品种类齐全包含高纯石英砂、高纯石英管、石英坩埚及其他石英材料，下游应用领域涉及半导体、光伏、光纤、光电等方向。2025年前三季度公司实现营业收入7.5亿元，同比下降24.5%；实现归母净利润1.4亿元，同比下降56.8%。高纯石英砂价格由高位回落至底部区间。截至2025年10月底，国内光伏用石英坩埚内、中、外层的价格分别为60500元/吨、27500元/吨、19000元/吨，价格已低于2023年涨价前水平。全球高纯石英产能集中。全球高纯石英砂主要生产企业有美国尤尼明、挪威TQC、中国石英股份等。半导体领域：AI浪潮下景气持续，国产替代空间广阔。半导体需求长期向好，高纯石英为芯片制造的关键耗材。石英制品是半导体芯片生产过程中不可或缺的材料，在半导体产业的应用主要在单晶硅片制造和晶圆制造两个环节。半导体行业兼具周期性和成长性，AI浪潮驱动行业需求中长期向好。根据WSTS，2024年全半导体市场规模同比增长19.7%；预计2025年全球半导体市场规模将达到7009亿美元，同比增长11.2%。我国在集成电路领域对进口产品的依赖程度较高。2024年我国集成电路贸易逆差达2261.0亿美元，同比+5.7%；2020-2024年五年我国集成电路累积贸易逆差达12140亿美元，反映出国产替代空间广阔。半导体用石英加工门槛高，具有认证壁垒。公司是全球三家半导体扩散用石英管通过TEL认证的企业之一，且是国内唯一一家通过该认证的企业，低温、高温领域均有认证通过。此外，公司还通过了LMA低温区刻蚀领域认证。2024年公司自制砂产品通过多家国际主流半导体设备商认证，未来有望充分受益国产替代趋势。光伏领域：行业需求向好，龙头地位稳固。全球光伏需求维持增长，石英坩埚为拉晶环节必要耗材。新兴市场发力，全球光伏市场有望维持稳定增长。根据InfoLink统计，预计2025年全球新增装机466-549GW间，对应组件需求为566-650GW。展望至2030年，预计全球新增装机预计将达655-763GW，组件需求有望提升至758-895GW。石英坩埚为拉晶环节的关键耗材，对硅片的产量和质量有重要影响。光伏级石英坩埚市场规模维持增长，将带动对光伏石英砂的需求。根据沙利文统计，预计到2029年，光伏级石英坩埚规模为254.8亿元，2024年-2029年CAGR为21.5%。公司是光伏用高纯石英砂龙头企业，光伏石英材料也始终保持国内市场占有率前列。截至2024年年底，公司已完成10万吨/年的高纯石英砂产能布局。从销售量来看，2024年公司实现高纯石英砂销售量11586吨；其中外销5360吨，自用6226吨。按产品分类，2024年公司高纯石英砂实现营收2.13亿元，若国内石英砂价格触底回升，会给公司带来较大的业绩弹性。盈利预测、估值分析和投资建议：我们预计2025-2027年，归母净利润分别为2.2亿元、5.6亿元、9.1亿元，分别同比-33.3%、+151.4%、+62.6%。2025-2027年的EPS分别为0.41元、1.03元、1.68元，对应PE为93.9倍、37.4倍、23.0倍。公司行业地位稳固，产品价格弹性大，高纯石英砂国产替代势在必行，维持“买入-A”的投资评级。风险提示：高纯石英砂价格下跌的风险、石英砂矿供给不稳定的风险、半导体石英砂需求不及预期等。,,山西证券,买入-A,[None],2025-10-28,,买入,6897770,pdf_downloads/2025/2025-10-28/603688-石英股份（603688）：光伏石英砂龙头，半导体国产替代加快.pdf,603688,石英股份,石英股份（603688）：光伏石英砂龙头，半导体国产替代加快
"刘俊,苗雨菲,方晏荷",2025年10月27日│中国内地石英股份发布三季报：3Q25实现营收2.38亿元，同/环比-8.43%/-8.73%，归母净利2831.32万元，同/环比-49.48%/-47.66%），毛利率29%，同/环比-10.84/10.86pct，我们推测或主要系光伏石英砂经营承压，叠加价格策略调整对收入和毛利率水平产生一定影响；此外我们推测公司半导体石英产品供应链和贸易环境或在三季度受到阶段性摩擦影响，但我们看好在国产砂替代趋势下公司半导体石英产品业务的后续修复。维持“增持”评级。半导体石英业务：关注客户认证及产能爬坡进展我们重申看好在国产替代与供应链安全的双重驱动下半导体石英材料的需求增长，以及行业国产化率以及公司市占率提升的战略机遇。根据公司9月29日互动易问答，公司连熔法生产的系列产品如石英大管、石英棒、石英大板、石英筒，均已通过半导体厂商认证。我们看好随着公司自产砂半导体石英产品陆续通过下游客户认证，在供应链安全和产品性价比优势下逐步实现订单和收入的增长。产能方面，9月30日，公司连云港太平洋石英工业园二期项目全面启用，新增2万吨高纯石英砂生产线；三期项目投产，计划新增6万吨高纯石英砂生产线、15万吨半导体级高纯石英砂深加工生产线、5800吨半导体石英制品生产线及深加工生产线。10月12日，公司天水太平洋石英材料产业园一期项目开工，该项目计划以高纯石英砂为原料生产石英管棒，亦有望推动公司打开新的市场空间。光伏石英砂业务：关注行业筑底回升根据国家能源局，9M25国内光伏新增装机240.27GW，同比+49%，其中3Q25新增装机28.06GW，同比-52%，主要系抢装后需求疲软。受此下游需求低迷影响，以及产业链去产能、清库存，公司光伏石英砂出货下滑，叠加价格策略调整对收入和毛利率水平产生一定影响，但我们认为审慎的销售策略或降低光伏石英砂业务受下游行业周期的拖累程度，从而合理控制经营风险。盈利预测与估值由于光伏石英砂下游需求疲软，半导体石英材料受制于国际贸易摩擦和下游需求影响，我们下调了25年公司石英砂与石英管棒业务收入及毛利率假设，考虑到25年部分订单延迟至26-27年交付，叠加2H25公司国内外客户认证均有积极进展，维持26-27年业绩预期不变，预计25-27年归母净利润2.00/4.97/6.76亿元（较前值调整-39.96%/%/0.00%）。可比公司菲利华、凯德石英平均50倍2026年PE（前值60倍），考虑到公司加码半导体产能，有望持续蓄力向上，给予52倍的2026年PE维持目标价47.84元。风险提示：供应链安全风险，下游需求不及预期风险。,,华泰证券,增持,[None],2025-10-27,,增持,6834531,pdf_downloads/2025/2025-10-27/603688-石英股份（603688）：Q3业绩承压，半导体业务进展顺利.pdf,603688,石英股份,石英股份（603688）：Q3业绩承压，半导体业务进展顺利
"孙颖,聂磊",备注：股价截止自2025年09月02日收盘价，每股指标按照最新股本数全面摊薄报告摘要事件：公司发布2025年半年报。2025H1公司实现营业收入5.1亿元，同比-30.1%；实现归母净利润1.1亿元，同比-58.4%；实现扣非归母净利润0.6亿元，同比-75.8%。其中，2025Q2单季实现营业收入2.6亿元，同比-24.0%，环比+2.8%；实现归母净利润0.5亿元，同比-45.0%，环比+2.5%；实现扣非归母净利润0.4亿元，同比-60.8%，环比+34.8%。半导体石英玻璃材料份额望持续提升，半导体砂国产替代有望加速。半导体石英玻璃材料方面，公司竞争力强，已通过TEL、LAM、AMAT等国际主流设备厂商认证，也在积极推进国内厂商认证，国产替代趋势下，随着认证厂商增加及份额提升，公司半导体材料业务收入望重回快速增长。半导体砂方面，2024年公司自制砂通过多家国际主流半导体设备商认证，同时积极配合国内芯片厂半导体石英本地化认证。对于公司，通过认证不仅可满足未来半导体石英砂自用需求、增强供应稳定性、降低成本，不排除半导体石英砂形成外售。公司已具备从“半导体石英砂-半导体石英玻璃材料”产业链一体化能力，全球石英玻璃材料龙头雏形已现。下一步公司将持续推动对半导体石英材料终端芯片制造商及半导体设备商的产品认证和市场推广，随着公司在半导体产业用石英材料市场份额的进一步扩大，半导体石英产品将有更大的销售增长空间。光伏板块需求承压，“拐点”望渐行渐近。2025H1公司高纯石英砂营业收入6888万元，同比-59.20%；毛利率37.9%，同比-31.68pct。我们认为主要受光伏下游“去库存”影响，需求较弱，量、价均承压。随着下游环节“去库存”结束，光伏用高纯石英砂“真实”需求望逐步释放。国产石英砂价格已处于底部区间，根据SMM光伏视界公众号，8月27日当周石英坩埚内层用、中层用、外层用砂均价分别为6.15、3、1.95万元/吨，周环比持平。光电业务产业链持续优化，份额望进一步提升。公司光电业务主要聚焦光源、光纤和光学领域。光源领域，公司在光源用石英材料方面拥有成熟且不断优化的产业链、技术水平国际领先，具备为各类光源行业提供全面的石英材料解决方案。公司还将开发功能石英材料以及异型石英材料，不断巩固高端光源用石英材料市场领导地位，持续提升高端光源用石英材料市场占有率。光纤领域，公司经过不断的技术研发及市场推广，高温烧结用炉芯管及合成石英衬管方面已得到客户的广泛认可，下一步将在更大尺寸炉芯管方面进行技术研发及市场推广，不断提升光纤用石英材料市占率。光学领域，公司具备先进的生产技术和品质控制能力及检测手段，有效提高了客户产品的光学性能，光学石英产品市场份额望进一步扩大。盈利预测与投资评级：我们略微下调公司2025-2027年归母净利润至3.0、4.5和6.2亿元（原2025-2027年盈利预测为4.7、6.2和8.2亿元），主要考虑到光伏砂需求承压，下调光伏石英砂销量及均价假设，调整后盈利预测对应当前股价PE为72.1、48.1、34.9倍，PB为3.7、3.5、3.2倍。公司为半导体石英材料龙头企业，具备半导体级高纯石英砂&石英材料产业链一体化能力，综合竞争力强，光伏用高纯石英砂业务“需求拐点”望渐行渐近，价格已底部企稳，维持“买入”评级。风险提示：高纯石英砂量价不及预期；半导体石英砂认证及销售不及预期；需求不及预期；研报使用信息更新不及时。,,中泰证券,买入,[None],2025-09-02,,买入,6384806,pdf_downloads/2025/2025-09-02/603688-石英股份（603688）：2025年半年报点评：半导体砂国产替代望加速，半导体材料份额望持续提升.pdf,603688,石英股份,石英股份（603688）：2025年半年报点评：半导体砂国产替代望加速，半导体材料份额望持续提升
"王翩翩,郁晾",Q2光伏石英砂仍然承压，继续看好半导体石英砂突破2025年08月26日【投资要点】事件：公司公布2025年中报。2025H1，公司实现收入5.15亿元，同比-30.13%，归母净利润1.07亿元，同比-58.41%；对应Q2收入2.61亿元，同比-23.96%，归母净利润0.54亿元，同比-45.04%。Q2光伏板块继续承压，使得公司收入利润下降。根据公司半年报披露，2025H1，受到光伏行业去产能、清库存影响，市场需求有所减少，光伏用石英材料市场需求同比大幅减少，从而使得公司该板块业务收入同比降低，并影响公司整体收入。由于规模效应下降以及光伏石英砂供需格局恶化，公司H1毛利率同比降低15.7个百分点至38.5%，从而使得公司利润降幅大于收入。规模效应下降，期间费用率上升。由于收入规模下降较多，公司2025H1三费率同比上升5.4个百分点至20.78%，其中销售/管理/研发/财务费用率分别为1.56%/9.50%/10.01%/-0.29%，同比变化分别为+0.56/+1.85/+1.53/+1.51个百分点。费用率上升使得公司整体净利润进一步承压。2025H1，公司计提信用+资产减值损失0.2亿元，同比增加0.25亿元。看好公司半导体石英砂突破及光伏行业反内卷。根据公司2024年年报披露，2024年根据市场需求推出更高纯度及更加纯净视觉效果的石英新品、不透明及完美石英、耐高温石英等系列新品，广受市场好评。下一步公司将继续加快半导体产品的产能扩张，持续推动对半导体石英材料终端晶圆制造商及半导体设备商的产品认证和市场推广。目前半导体石英砂较为依赖外资，国产替代空间充足，如果公司未来相关领域取得突破，将大幅提升盈利能力及综合竞争力。此外，随着光伏行业反内卷推进，我们看好光伏产业链盈利能力修复，公司也将受益。,,东方财富证券,增持,[None],2025-08-26,,增持,6352901,pdf_downloads/2025/2025-08-26/603688-石英股份（603688）：财报点评：Q2光伏石英砂仍然承压，继续看好半导体石英砂突破.pdf,603688,石英股份,石英股份（603688）：财报点评：Q2光伏石英砂仍然承压，继续看好半导体石英砂突破
"刘俊,苗雨菲,方晏荷",2025年8月23日│中国内地 电气设备 石英股份发布半年报，2025年H1实现营收5.15亿元（yoy-30.13%），归母净利1.07亿元（yoy-58.41%），扣非净利0.61亿元（yoy-75.84%）。其中Q2实现营收2.61亿元（yoy-23.96%，qoq+2.82%），归母净利5409.18万元（yoy-45.04%，qoq+2.55%）。公司2025年半年报符合此前预告指引，半年度营收、净利同比下跌，主要由于光伏下游阶段性供需失衡，导致公司光伏石英材料销售量、价下跌所致。从季度表现来看，公司单季度收入和净利润已经连续第二个季度实现环比正增长，体现公司经营已逐步走出行业周期低谷，有望持续蓄力向上。维持“增持”评级。半导体石英业务：砂和材料国内外认证持续突破，关注大客户进展行业方面，根据公司半年报，WSTS预计在AI热潮的推动下2025年全球半导体市场规模有望同比增长11.2~23.0%，石英材料作为半导体硅片生产和晶圆制造的核心耗材有望受益于下游景气度回升。报告期内，公司下游客户晶圆厂开工率逐步提升，石英材料库存消耗加速，在国产替代与供应链安全的双重驱动下半导体石英材料的需求有望随时间修复。公司方面，2024年以来公司自制砂产品通过了多家国际主流半导体设备商认证，当前公司正积极配合国内芯片厂半导体石英本地化认证，下一步公司将持续推动对半导体石英材料终端芯片制造商及半导体设备商的产品认证和市场推广。我们估算截止2024年全球半导体石英材料市场规模约220亿元，其中国内市场规模约42亿元，国内企业市占率不足15%，国产化空间广阔。我们看好公司构建矿-砂-材料全产业链资质，在半导体设备、硅片、晶圆国产化趋势下公司半导体石英业务具备持续成长机遇。光伏石英砂业务：行业筑底，关注库存周期根据CPIA，产业链产出方面，1H25国内光伏硅片产量为316.0GW，同比下降21.4%；电池片产量为334.0GW，同比增长7.7%；终端需求方面，1H25光伏组件出口量同比下降2.82%至125.6GW，同期国内光伏新增装机同比增长107%至212.21GW。这一背景下，受到光伏行业去产能、清库存的影响，叠加市场需求减少，公司光伏石英砂业务出现下滑。7月以来，根据ACMI，光伏石英砂外层、中层、内层、进口价格维持在2、2.75、6、8.75万元/吨保持稳定，我们看好光伏石英砂行业已逐步筑底。盈利预测与估值我们维持公司25-27年归母净利润同比-0.01%、+49.08%、+36.08%至3.34/4.97/6.77亿元（CAGR为42.44%），对应EPS为0.62/0.92/1.25元。公司可比公司菲利华、凯德石英平均60倍2026年PE（前值：41倍），其中菲利华、凯德石英2026年PE分别为69倍、52倍，考虑菲利华近期估值提高主要得益于军工主业与石英布新业务前景加强的共同提振，与石英股份业务结构有一定差异。因此我们参考凯德石英估值，基于52倍2026年PE上调目标价为47.84元（前值37.3元，对应41倍2026年PE）。风险提示：供应链安全风险，下游需求不及预期风险。,,华泰证券,增持,[None],2025-08-24,,增持,6340670,pdf_downloads/2025/2025-08-24/603688-石英股份（603688）：H1符合预告，关注半导体业务进展.pdf,603688,石英股份,石英股份（603688）：H1符合预告，关注半导体业务进展
"刘俊,方晏荷,苗雨菲",2025年7月14日│中国内地 工业首次覆盖石英股份并给予“增持”评级，基于2026年41x P/E给予目标价37.3元。公司主要从事高纯石英材料生产、研发与销售，光伏拉晶坩埚用中内层石英砂国内份额领先、半导体石英砂及石英器件国产替代空间广阔。我们看好2H25随光伏高纯石英砂走出去库周期、叠加公司半导体石英砂及材料认证持续推进，带动公司基本面走出底部，高纯石英龙头迎来第二成长曲线。国内高纯石英砂龙头，兼具矿源+工艺优势石英股份1992年成立于中国“水晶之都”连云港，高纯石英砂、管棒、坩埚等产品广泛应用于半导体、光伏、光源光纤等行业。全球光伏和半导体级4N8高纯石英砂矿源稀缺，公司通过多年来在国内外建立的渠道实现矿源稳定性、一致性和低成本优势，同时掌握高纯石英砂规模化提纯和生产工艺。乘芯片国产化之风，半导体石英矿-砂-材料全产业链能力加速发展石英制品广泛用于半导体硅片生产和晶圆制造，我们估算2024年全球半导体石英材料市场规模约220亿元，其中国内市场规模约42亿元，国内企业市占率不足15%。半导体石英行业矿床资源壁垒、提纯加工壁垒、终端认证壁垒三高，公司自2019年起采购第三方经认证石英砂制作的半导体石英器件已陆续通过TEL、Lam、APAM等国际一线半导体设备商认证，自2024年起积极推动自产石英砂客户认证，构建矿-砂-材料全产业链资质。我们看好半导体设备、硅片、晶圆国产化趋势下公司半导体石英业务的成长潜力。光伏高纯石英砂下游库存压力逐步释放，公司光伏业务有望走出低谷2024年全球光伏硅片产出753GW，对应光伏用高纯石英砂需求约12万吨，较2021年增长接近150%。受2022-23年高纯石英砂供需紧张预期持续提升、产业链垒库影响，公司2024年高纯石英砂外销量仅为2021年水平的38%。当前光伏坩埚端口石英砂库存水平已降至半年~一年年左右，随着需求预期企稳及库存压力的释放，看好公司光伏石英砂外销业务修复机会。我们与市场观点不同之处市场普遍认为经历上一轮产业周期后高纯石英砂已不再紧缺，我们认为一方面光伏中内层砂竞争格局仍较为稳固、供需走弱程度显著好于中外层砂；另一方面，公司半导体石英砂及材料顺应下游自主可控大趋势，国产化加速导入带来成长弹性。盈利预测与估值我们预测公司2025-27年归母净利润为3.3亿元、5.0亿元和6.8亿元，同比增长0%、49%、36%，对应摊薄后EPS为0.62、0.92、1.25元/股。我们基于可比公司菲利华、凯德石英截止2025年7月11日收盘iFind一致预测2026年37xP/E、44xP/E，平均为41xP/E，给予公司目标价37.3元，给予“增持”评级。风险提示：供应链安全风险，下游需求不及预期风险。,,华泰证券,增持,[None],2025-07-15,,增持,6224272,pdf_downloads/2025/2025-07-15/603688-石英股份（603688）：高纯石英龙头，半导体材料成长加速.pdf,603688,石英股份,石英股份（603688）：高纯石英龙头，半导体材料成长加速
"鲍雁辛,花健祎,巫恺洋",本报告导读：半导体业务已成为公司核心增长点，年内半导体砂认证突破，外部环境不确定性下，自主可控重要性凸显，国产替代有望提速。投资要点：维持“增持”评级。公司公告2024年报和2025年一季报，2024年实现营收12.10亿元，同比-83.15%，归母净利3.34亿元，同比-93.38%，扣非后2.74亿元，同比-94.55%；公司25Q1实现营收2.54亿元，同比-35.50%，归母净利0.53亿元，同比-66.71%，扣非后0.26亿元，同比-84.06%。考虑短期需求有待修复，我们调整2025-26年EPS预测至0.95、1.49（-0.11、+0.07）元，新增2027年EPS预测2.04元。参考可比公司PE估值，综合考虑公司半导体业务成长性给予2025年PE 50X，上调目标价至47元，维持“增持”评级。半导体砂认证突破，自主可控重要性凸显。半导体级高纯砂全球供应商主要为尤尼明、TQC，其核心矿源均来自美国斯普鲁斯派恩矿床，供应格局集中。公司矿源选择与提纯工艺knowhow深厚，自制半导体砂产品已通过多家国际主流半导体设备商认证，同时积极配合国内芯片厂半导体石英本地化认证。公司自产砂预计成本优势显著，伴随公司自供比例增加有望进一步抬升半导体业务盈利中枢，此外若未来实现外售亦有望贡献弹性。中美贸易战背景下，高纯砂作为核心半导体材料，供应安全问题正逐渐突出，公司国产砂突破或加速替代。半导体石英材料逐步上量，国产替代有望提速。公司半导体石英材料于2019-2020年突破TEL、LAM认证，近年逐步上量保持高增。目前公司在半导体石英材料的市占仍相对较低， 往后看外部环境不确定性下，自主可控重要性提升，叠加公司自供原料高纯砂的推进，半导体业务有望加速释放，成为公司主要的增长点。光伏业务底部企稳，控风险优先。24年以来伴随光伏产业深度调整，光伏高纯砂价格快速寻底，公司出货阶段性承压，但25年以来高纯砂价格已基本走稳，观察当前量价均已在低位，短期维持控风险优先，往后看伴随光伏产业去库存去产能推进，回归合理中枢存修复空间。风险提示：原料成本大幅上涨，需求不及预期。,,国泰海通,增持,[None],2025-06-28,,买入,6195900,pdf_downloads/2025/2025-06-28/603688-石英股份（603688）：更新报告：半导体认证持续推进，国产替代有望提速.pdf,603688,石英股份,石英股份（603688）：更新报告：半导体认证持续推进，国产替代有望提速
"鲍雁辛,花健祎,巫恺洋",本报告导读：半导体业务已成为公司核心增长点，年内半导体砂认证突破，外部环境不确定性下，自主可控重要性凸显，国产替代有望提速。投资要点：维持“增持” 评级。公司公告 2024年报和 2025年一季报，2024年实现营收12.10 亿元，同比-83.15%，归母净利3.34 亿元，同比-93.38%，扣非后2.74 亿元，同比-94.55%；公司25Q1 实现营收2.54亿元，同比-35.50%，归母净利0.53 亿元，同比-66.71%，扣非后0.26亿元，同比-84.06%。考虑短期需求有待修复，我们调整2025-26 年EPS 预测至0.95、1.49（-0.11、+0.07）元，新增2027 年EPS 预测2.04 元。参考可比公司PE 估值，综合考虑公司半导体业务成长性给予2025 年PE 50X，上调目标价至47 元，维持“增持”评级。半导体砂认证突破，自主可控重要性凸显。半导体级高纯砂全球供应商主要为尤尼明、TQC，其核心矿源均来自美国斯普鲁斯派恩矿床，供应格局集中。公司矿源选择与提纯工艺knowhow 深厚，自制半导体砂产品已通过多家国际主流半导体设备商认证，同时积极配合国内芯片厂半导体石英本地化认证。公司自产砂预计成本优势显著，伴随公司自供比例增加有望进一步抬升半导体业务盈利中枢，此外若未来实现外售亦有望贡献弹性。中美贸易战背景下，高纯砂作为核心半导体材料，供应安全问题正逐渐突出，公司国产砂突破或加速替代。半导体石英材料逐步上量，国产替代有望提速。公司半导体石英材料于2019-2020 年突破TEL、LAM 认证，近年逐步上量保持高增。目前公司在半导体石英材料的市占仍相对较低， 往后看外部环境不确定性下，自主可控重要性提升，叠加公司自供原料高纯砂的推进，半导体业务有望加速释放，成为公司主要的增长点。光伏业务底部企稳，控风险优先。24 年以来伴随光伏产业深度调整，光伏高纯砂价格快速寻底，公司出货阶段性承压，但25 年以来高纯砂价格已基本走稳，观察当前量价均已在低位，短期维持控风险优先，往后看伴随光伏产业去库存去产能推进，回归合理中枢存修复空间。风险提示：原料成本大幅上涨，需求不及预期。,,国泰海通,增持,[None],2025-06-26,,买入,6191713,pdf_downloads/2025/2025-06-26/603688-石英股份（603688）：更新报告：半导体认证持续推进，国产替代有望提速.pdf,603688,石英股份,石英股份（603688）：更新报告：半导体认证持续推进，国产替代有望提速
"肖索,贾惠淋",事件描述2025年4月26日，石英股份发布2024年年报及2025年一季报，公司2024年实现营业收入12.1亿元，同比下降83.2%，实现归母净利润3.3亿元，同比下降93.4%。25Q1公司实现营业收入2.5亿元，同比下降35.5%，实现归母净利润0.5亿元，同比下降66.7%，环比增长155.3%，25Q1单季度净利率20.3%，环比Q4提升11.7pct。事件点评光伏行业需求低迷，产品价格下跌拖累业绩：2024年公司石英管棒实现收入9.7亿元，同比下降21.2%，毛利率43.9%，同比下降11.7pct。石英管棒销售8242吨，同比下降19.3%，吨毛利约5.2万元，同比下降约22.9%。2024年公司石英砂实现收入2.1亿元，同比下降96.4%，毛利率54.4%，同比下降39.8pct。石英砂销量11586吨（外销5360吨），吨售价约4万元，同比下降约79.8%，吨毛利约2.2万元，同比下降较多。主要是因为光伏行业需求减少，产品价格下跌较多导致。加快半导体行业认证，国产砂替代势在必行。公司生产的半导体用高纯石英砂已经具备进入国际供应链体系的市场准入条件。公司自制砂产品通过多家国际主流半导体设备商认证（TEL、LAM、AMAT），同时积极配合国内芯片厂半导体石英本地化认证。长期来看，由于国际上贸易保护主义抬头，贸易战导致光伏坩埚的全国产化需求加大、半导体坩埚的国产化项目进程提速、半导体石英制品的国产砂替代势在必行，加之公司产能已完成10万吨/年的布局，将进一步提高公司的市场占有率。投资建议我们预计公司2025-2027年归母净利润分别为5.7亿元、9.1亿元、16.6亿元，相当于2025年30倍的动态市盈率。公司行业地位稳固，产品价格弹性大，高纯石英砂国产替代势在必行，首次覆盖，给予“买入-A”的投资评级。风险提示高纯石英砂价格下跌的风险：根据SMM数据，5月9日，中层/内层坩埚用高纯石英砂价格分别为3.9万元/吨、6.65万元/吨，曾经内层砂最高点达41.5万元/吨，目前国产砂处于去库存末期，价格或还有下跌风险；石英砂矿供给不稳定的风险：国产高纯石英砂目前主要还是依赖进口矿来生产，现在行业库存仍然较多，原材料来源丰富能够满足生产。下半年库存消耗之后，不能完全排除断供的风险；半导体石英砂需求不及预期：国产半导体替代进程有不及预期的风险。,,山西证券,买入-A,[None],2025-05-22,,买入,6071139,pdf_downloads/2025/2025-05-22/603688-石英股份（603688）：业绩环比改善，半导体石英认证提速.pdf,603688,石英股份,石英股份（603688）：业绩环比改善，半导体石英认证提速
"孙颖,聂磊",报告摘要事件：公司发布2024年年报&amp;2025年一季报，2024年公司实现收入/归母净利润/扣非归母净利润分别为12.1/3.3/2.7亿，YOY-83.2%/-93.4%/-94.6%；其中24Q4实现收入2.1亿，同比-83.4%，环比-18.0%，实现归母净利润0.2亿，同比-97.5%，环比-63.1%，实现扣非归母净利润-0.2亿。25Q1公司实现收入/归母净利润/扣非归母净利润2.5/0.5/0.3亿，YoY-35.5%/-66.7%/-84.1%，环比+19.0%/+155.3%/+261.2%。半导体石英材料短期增长承压，半导体石英砂取得认证综合竞争力再上台阶。2024年公司光纤半导体业务实现收入5.0亿，YoY+0.4%，我们认为主要由于下游景气度承压，导致公司增速放缓。我们估算半导体石英玻璃材料市场空间超120亿，目前公司市占率相对较低，还处于起步发展阶段。公司竞争力强，已通过TEL、LAM、AMAT等国际主流设备厂商认证，也在积极推进国内厂商认证，国产替代趋势下，随着认证厂商增加及份额提升，公司半导体材料业务收入望重回快速增长。2024年公司自制砂产品通过多家国际主流半导体设备商认证，同时积极配合国内芯片厂半导体石英本地化认证。对于公司，通过认证不仅可满足未来半导体石英砂自用需求、增强供应稳定性、降低成本，不排除半导体石英砂形成外售。公司已具备从“半导体石英砂-半导体石英玻璃材料”产业链一体化能力，全球石英玻璃材料龙头雏形已现。光伏板块需求承压，“拐点”望渐行渐近。2024年光伏板块收入3.8亿，YOY-94.0%。其中高纯石英砂实现收入2.1亿，YOY-96.4%，外销量5360吨，YOY-82.2%，单吨价格4.0万，YOY-79.8%，我们认为主要受光伏下游“去库存”影响，需求较弱，量、价均承压。随着下游环节“去库存”结束，光伏用高纯石英砂“真实”需求望逐步释放。国产石英砂价格已有所企稳，截至5月5日，国产高纯石英砂石英坩埚内层用、中层用、外层用市场主流均价分别约6.9、4.0、2.2万元/吨。我们估算光伏制品业务（光伏板块中除高纯石英砂外其他业务）实现收入1.7亿，YOY-59.2%，承压明显。光电业务产业链持续优化，份额望进一步提升。公司光电业务主要聚焦光源、光纤和光学领域。光源领域，2024年公司实现收入3.1亿，YOY-5.7%，实现毛利率36.0%，同比-8.3pct。公司在光源用石英材料方面拥有成熟且不断优化的产业链、技术水平国际领先，具备为各类光源行业提供全面的石英材料解决方案。公司还将开发功能石英材料以及异型石英材料，不断巩固高端光源用石英材料市场领导地位，持续提升高端光源用石英材料市场占有率。光纤领域，公司经过不断的技术研发及市场推广，高温烧结用炉芯管及合成石英衬管方面已得到客户的广泛认可，下一步将在更大尺寸炉芯管方面进行技术研发及市场推广，不断提升光纤用石英材料市占率。光学领域，公司具备先进的生产技术和品质控制能力及检测手段，有效提高了客户产品的光学性能，光学石英产品市场份额望进一步扩大。盈利预测与投资评级：我们略微下调公司2025-2027年归母净利润至4.7、6.2和8.2亿元（原2025-2026年盈利预测为5.0、7.0亿），主要考虑到半导体材料下游景气度承压，下调半导体材料收入增速假设，调整后盈利预测对应当前股价PE为37.4、28.1、21.5倍，PB为2.8、2.6、2.4倍。公司为半导体石英材料龙头企业，具备半导体级高纯石英砂&amp;石英材料产业链一体化能力，综合竞争力强，光伏用高纯石英砂业务“需求拐点”望渐行渐近，价格已底部企稳，维持“买入”评级。风险提示：高纯石英砂量价不及预期；半导体石英砂认证及销售不及预期；需求不及预期；原材料价格大幅上涨。,,中泰证券,买入,[None],2025-05-06,,买入,6641653,pdf_downloads/2025/2025-05-06/603688-石英股份（603688）：2024 年年报&2025年一季报点评：短期仍有承压，看好半导体业务持续突破.pdf,603688,石英股份,石英股份（603688）：2024 年年报&2025年一季报点评：短期仍有承压，看好半导体业务持续突破
