author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"华立,阎予露",事件：公司发布2025年三季报：2025年前三季度公司营业收入55.47亿元，同比-10.98%；归母净利润5.32亿元，同比-45.25%；扣非归母净利润4.66亿元，同比-39.79%。2025Q3单季营业收入18.53亿元，同比+6.61%，环比-2.7%；归母净利润1.31亿元，同比-33.69%，环比-37.55%；扣非后归母净利润1.39亿元，同比-17.8%、环比-3.83%。Q3业绩环比下滑主要受非经常性损益项目及投资收益影响：百川盈孚数据显示，2025Q3江西电池级碳酸锂99.5%均价为7.6万元/吨（含税），同比-8%、环比+12%，锂价在二季度完成筑底后迎来回升。预计锂价环比上涨有助于公司Q3锂板块业绩改善。2025 Q3公司营业外支出3410万元，环比增加2971万元；2025Q3公司其他收益1318万元，环比减少5635万元；2025Q3投资收益-119万元，环比减少3786万元。上述三项合计对Q3利润总额影响超1.2亿元，是Q3业绩环比下滑的主要因素。Q3锂价回升，行业完成筑底：年内，公司及时优化调整经营策略，以产业与客户需求为导向，施行“终端龙头、优质正极、特色细分和期现结合”的销售策略，销售模式由原来的现货销售变更为“现货销售为主，期现结合”的方式，降低价格波动对盈利的影响。控本方面，公司深化成本精细化管控，挖掘全产业链降本潜力，成本控制能力优秀。当前储能需求表现强劲，下游需求持续好转，锂盐去库进程推进，带动锂价上涨。百川盈孚数据显示，截至10月30日碳酸锂均价月涨幅达到12%。公司有望受益锂价上涨，业绩有望迎来好转。投资建议：公司是国内锂云母龙头，成本优势显著，在行业低谷期仍能保持市场份额，积极推进采选冶一体化扩产，提升资源保障能力。预计公司2025-2027年归母净利润为7.50/10.7/14.25亿元，对应EPS为1.39/1.98/2.64元，对应PE为37/26/19x，维持“推荐”评级。风险提示：1）锂盐下游需求大幅萎缩的风险；2）锂盐价格大幅下跌的风险；3）公司新建项目投产不及预期的风险；4）公司新增产能释放不及预期的风险。,,银河证券,推荐,[None],2025-11-10,,买入,7592389,pdf_downloads/2025/2025-11-10/002756-永兴材料（002756）：2025 年三季报点评：锂价回升，云母龙头业绩有望充分受益.pdf,002756,永兴材料,永兴材料（002756）：2025 年三季报点评：锂价回升，云母龙头业绩有望充分受益
"李鹏飞,魏雨迪,王宏玉,刘彦奇","维持“增持”评级。2025前三季度公司实现营收55.47亿元，同比降10.98%；归母净利润5.32亿元，同比降45.25%。3季度单季度营收18.53亿元，同比增6.61%，单季度归母净利润1.31亿元，同比降35.4%，环比降37.55%，公司业绩的下降主要原因为锂价下跌。考虑到锂价中枢的回落，我们下调公司2025-2027年归母净利润预测至7.66/10.29/12.53亿元(原11.25/13.98/ 16.31亿元)，对应2025-2027年EPS为1.42/1.91/2.32元。考虑到同行业公司估值水平的上升，参考可比公司，给予公司2025年40倍PE估值，上调目标价至56.8元（原40.84元），维持“增持”评级。锂价逐步企稳走高。碳酸锂供给过剩的背景下，价格逐步走低。但较低的价格也抑制了供给的继续增加，3季度开始国内储能的需求旺盛，带动碳酸锂供需逐步走向平衡，碳酸锂价格也逐步走高。2025Q1-Q3各季度碳酸锂（99.5%电,国产）均价分别为7.58、6.52、7.3万元/吨，10月1日至11月4日碳酸锂价格均值为7.59万元/吨，锂价逐步走高。根据国泰海通有色组报告《需求韧性推升，供应预期博弈》，在碳酸锂的需求侧，2025年11月中国动力+储能+消费电池排产209GWh，环比增12.4%，同比增64.6%，其中储能电芯排产占比约33.6%。储能需求的大幅上升，支撑锂价逐步企稳回升。优化产品结构，提升关键市场占有率。特钢板块，公司精细化管理库存，拓展原料来源，强化源头成本管控。在产品结构方面，公司在稳固大客户的基础上，拓展新能源、核电等领域，2025年上半年公司核电钢、汽车高纯钢等产品销量同比提高，关键市场占有率有效提升。维持高分红，积极回报股东。公司2024年拟合计派发现金股利5.28亿元，股利支付率超过50%；加上公司2024年度回购金额3.5亿元，分红及回购总额占到当期归母净利润的84.23%。2025年上半年，公司分红1.59亿元，占上半年归母净利润的29.9%。公司积极分红，股东回报丰厚。风险提示：新能源车销售不及预期，项目推进进度不及预期。",,国泰海通,增持,[None],2025-11-06,,买入,7537592,pdf_downloads/2025/2025-11-06/002756-永兴材料（002756）：2025 年 3 季报点评：特钢业务平稳，锂价逐步企稳走高.pdf,002756,永兴材料,永兴材料（002756）：2025 年 3 季报点评：特钢业务平稳，锂价逐步企稳走高
"曾朵红,阮巧燕,胡锦芸",Q3业绩基本符合预期。公司25Q1-3营收55.5亿元，同-11%，归母净利润5.3亿元，同-45.2%，毛利率16%，同-2.3pct；其中25Q3营收18.5亿元，同环比+6.6％/-2.7％，归母净利润1.3亿元，同环比-35.4%/-37.5％，扣非归母净利1.4亿元，同环比-18%/-4%，毛利率16.6%，同环比-0.2/+1.8pct。碳酸锂技改项目投产，Q3成本优势维持。我们预计25Q1-3公司碳酸锂销量1.8万吨+，其中Q3销量0.6万吨+，环比略增；1万吨冶炼产能近期完成技改投产，全年碳酸锂销量有望达2.5-2.6万吨，同比基本持平。盈利方面，25Q3碳酸锂均价7.1万元/吨+，不含税全成本预计稳定在4.8万元/吨左右，我们测算贡献归母净利约0.7亿元+；后续有望维持较低成本水平，且明年预计供需格局改善，锂价中枢维持8万元/吨+，有望释放利润弹性。特钢受下游需求影响，25Q1-3利润同比下降，Q3环比持平。我们测算25Q1-3特钢贡献归母净利约2.5亿元，受下游景气度影响，同比有所下降，其中Q3归母净利0.8亿元左右，环比持平。我们预计25全年有望贡献近3.5亿元利润，同比下降约20%，26年下游需求有望逐步好转。Q3投资收益下滑，经营性现金流下降。公司25Q1-3期间费用率5.3%，同+2.3pct，其中Q3费用率6.6%，同环比+2.2/+1.5pct；Q3投资收益-0.01亿，环减0.4亿。25Q1-3经营性净现金流4.6亿元，同+20.1%，其中Q3经营性现金流2.2亿元，同环比+255.8%/-63.3%；25Q1-3资本开支1.9亿元，同-30.2%，其中Q3资本开支0.9亿元，同环比+35.2%/+51.7%；25Q3末存货8.3亿元，较年初+10.1%。盈利预测与投资评级：考虑特钢受需求影响，下调25-27年盈利预测，预计公司25-27年归母净利润为7.0/9.8/14.1亿元（原预期9.0/11.1/16.7亿元），同比-32%/+39%/+44%，对应PE为32x/23x/16x，考虑公司资源优势突出，成本优势显著，维持“买入”评级。风险提示：产能释放不及预期，需求不及预期,,东吴证券,买入,[None],2025-11-02,,买入,7241135,pdf_downloads/2025/2025-11-02/002756-永兴材料（002756）：碳酸锂成本优势维持，涨价弹性可期.pdf,002756,永兴材料,永兴材料（002756）：碳酸锂成本优势维持，涨价弹性可期
"李斌,马晓晨",2025年10月31日│中国内地 特钢 永兴材料发布三季报：Q3实现营收18.53亿元（yoy+6.61%，qoq-2.70%），归母净利1.31亿元（yoy-35.40%，qoq-37.55%）。2025年Q1-Q3实现营收55.47亿元（yoy-10.98%），归母净利5.32亿元（yoy-45.25%），扣非净利4.66亿元（yoy-39.79%）。维持“增持”评级。锂价上涨带动25Q3公司毛利率环比抬升据公司三季报，盈利方面，公司25Q3毛利率16.55%，同比-0.20pct，环比+1.78pct，三季度毛利率环比上升主要系碳酸锂价格上涨，根据SMM数据，第三季度碳酸锂均价为7.30万元/吨，环比上涨11.91%。毛利率环比上行但公司营收利润均有所下降，我们推测公司三季度碳酸锂产品销量或有下降。费用方面，公司三季度合计期间费用率为6.58%，同比+2.16pct，环比+1.52pct，其中销售费用566.44万元，环比增长4.72%，管理费用4327.66万元，环比增长14.63%，研发费用7796.01万元，环比增长21.02%。矿端扰动叠加储能需求高增，看好锂价底部向上趋势三季度碳酸锂价格受矿端扰动因素影响下，抬升幅度较多，我们预期宁德枧下窝矿山未复产情况下未来锂供给端或仍偏紧涨。同时需求端储能增速持续超市场预期，支撑碳酸锂需求增长，根据SMM数据，国内碳酸锂社会库存已从8月初14万吨的高点下降至10月23日的13万吨左右，强现实已正在库存端显现。展望后市，根据此前华泰电新组报告（《美国AI带来“电力再加速”，储能可能是被忽略的解法》（25.10.03）），认为当前AI对电力需求旺盛背景下，预期26年储能需求或大概率维持高增速，因此碳酸锂行业或在26年呈现供需双强的格局，该格局下我们预期需求高增将支撑锂价底部中枢持续抬升，或带动公司业绩实现持续性修复。看好产能扩建和锂盐技改项目落地带来的业绩弹性锂电业务板块，根据公司公告，公司目前拥有碳酸锂产能3万吨/年，旗下花桥矿业年产900.00万吨产能正在推进，公司锂电新能源业务1万吨产线的绿色智能高效提锂综合技改项目预计将按期投产并贡献产能。伴随锂价企稳回升，公司锂电材料板块有望在四季度实现业绩改善，并带动公司整体盈利明显回升。特钢新材料业务板块，公司持续加大市场开拓力度，不断优化产品结构，截止年中公司共拥有不锈钢相关专利102项，其中发明专利50项。受益于产品结构升级与成本管控，特钢业务盈利能力持续提升，2022至2024年毛利率分别达到8.77%、11.94%和12.32%，稳步上行态势构筑公司业绩护城河。盈利预测与估值考虑到锂价上行或带动公司全年业绩实现明显修复，我们维持此前盈利预测，预计公司25-27年EPS分别为1.72、2.41、3.12元。按照分部估值法，钢铁板块可比公司26年Wind一致预期PE均值12.5倍，锂电材料板块可比公司26年Wind一致预期PE均值28.7倍，我们预测公司26年特钢等板块及锂电材料板块归母净利润分别为6.14/6.87亿元，给予公司26年特钢/锂电材料PE分别为12.5/28.7倍，对应目标价50.79元（前值38.39元，对应25年特钢/锂电材料PE12.2/35.0倍），维持增持评级。风险提示：锂价超预期下跌，公司在建项目进展不及预期等。,,华泰证券,增持,[None],2025-10-31,,增持,7103064,pdf_downloads/2025/2025-10-31/002756-永兴材料（002756）：锂价上涨带动公司Q3毛利率提升.pdf,002756,永兴材料,永兴材料（002756）：锂价上涨带动公司Q3毛利率提升
"沈皓俊,王南清",公司发布2025半年报，实现营收 36.9亿元，同比-17.8%；归母净利润4.0亿元，同比-47.8%；扣非归母净利润 3.3亿元，同比 -46.0%。单季度看，25Q2实现营收19.1亿元，环比+6.5%，同比-13.1%；归母净利润2.1亿元，环比+9.4%，同比-30.3%；扣非归母净利润1.4亿元，环比-20.3%，同比-51.1%。锂销量稳定，成本持续降低2025上半年碳酸锂销量1.21万吨，上半年碳酸锂收入7.4亿，单吨销售均价6.2万/吨，单吨销售成本4.1万/吨，成本优势明显。碳酸锂毛利率33%，同比上年减少5.7个PCT。公司通过多项降本措施，在采矿环节，选矿环节和冶炼环节，改善工艺，提高回收率，降低能耗等方式，进一步降低成本。销售端也采用“现货销售为主，期现结合”，维持销售稳定兼顾企业盈利。特钢毛利率微降，营收小幅下滑2025上半年公司特钢业务实现营收28.3亿元，同比-6.3%。特钢业务毛利率11.5%，同比减少约1个PCT。2025年上半年，钢材价格呈现震荡下行态势，行业整体盈利空间受到挤压。公司围绕客户需求展开产品研发、原材料采购、产品定制化生产和销售。采用“以销定产、供销联动”的经营策略，构建完善高效的供应链体系。公司现金充裕，持续分红回报股东截止公司2025年中报，公司货币资金52.2亿，委托理财达28.1亿，合计达80.3亿元。公司拟每10股派发现金红利3.0元（含税），现金分红合计1.59亿元，分红占归母净利润比例达39.7%。盈利预测与估值公司作为云母提锂的龙头，成本优势明显，且矿山扩建持续推进，未来成长可期。我们预计公司2025-2027年归母净利润分别达9.2亿、12.1亿、18.6亿，分别同比-12.1%，+31.7%，+54.2%，维持买入评级。风险提示新能源汽车销量不及预期，公司项目扩产不及预期。,,浙商证券,买入,[None],2025-08-27,,买入,6354775,pdf_downloads/2025/2025-08-27/002756-永兴材料（002756）：中报点评报告：成本优势显著，持续分红回报股东.pdf,002756,永兴材料,永兴材料（002756）：中报点评报告：成本优势显著，持续分红回报股东
"刘孟峦,杨耀洪",永兴材料(002756)核心观点公司发布半年报：上半年实现营收36.93亿元，同比-17.78%；实现归母净利润4.01亿元，同比-47.84%；实现扣非净利润3.26亿元，同比-45.96%。25Q2实现营收19.05亿元，同比-13.10%，环比+6.50%；实现归母净利润2.09亿元，同比-30.26%，环比+9.39%；实现扣非净利润1.45亿元，同比-51.09%，环比-20.28%。公司25Q2计入约6000万元政府补助，使得归母净利润环比仍有所提升。锂电新能源业务方面：今年上半年，公司实现碳酸锂销量12050吨，据测算，公司碳酸锂单吨营业成本仅为5万元/吨左右，成本优势突出；即使二季度国内电池级碳酸锂价格最低跌至6万元/吨(含税)以下的时候，公司碳酸锂业务也不会亏损；目前国内碳酸锂价格快速反弹，公司碳酸锂业务能够享受到较高的业绩弹性。锂电新能源业务重点项目方面：1)花桥矿业完成采矿权许可证的变更登记，证载生产规模由300万吨/年变更为900万吨/年，矿山改扩建项目相关工作正持续推进；2)矿石原料输送项目已完成立项备案，审批手续正在推进中；3)永诚锂业300万吨/年锂矿石高效选矿与综合利用项目一期已建成投产；4)永兴新能源锂云母绿色智能高效提锂综合技改项目目前正在建设中。特钢新材料业务方面：今年上半年，公司特钢新材料业务以深化成本管控、提高产品单吨毛利、提高关键市场占有率为首要任务，进一步优化供销体系管理，挖掘降本增效潜力。特钢新材料业务于上半年实现营收28.31亿元，同比-6.28%，实现毛利率11.52%，同比减少0.79个百分点；其中核电钢、汽车用高纯钢、气阀钢等高附加值产品销售量同比提高，关键市场占有率有效提升。我们预计2025年公司吨钢毛利有望维持在2000元/吨左右。利润分配预案：公司拟向全体股东每10股派发现金红利3元人民币(含税)，共计分配现金红利约1.59亿元，占上半年归母净利润的39.66%。风险提示：项目建设进度不及预期；产品价格波动超预期。投资建议：维持“优于大市”评级。预计公司2025-2027年营收分别为80.84/89.03/98.10(原预测81.95/90.58/100.09)亿元，同比增速分别为0.1%/10.1%/10.2%；归母净利润分别为8.17/10.58/13.60(原预测10.57/13.29/16.73)亿元，同比增速分别为-21.7%/29.6%/28.5%；摊薄EPS分别为1.51/1.96/2.52元，当前股价对应PE为23/18/14X。公司资源优势突出，成长路径清晰，锂业务降本增效成果显著，能够有效应对锂价下跌带来的不利影响，维持“优于大市”评级。,,国信证券,优于大市,[None],2025-08-25,,买入,6343093,pdf_downloads/2025/2025-08-25/002756-永兴材料（002756）：半年报点评：碳酸锂低成本优势凸显，锂价上涨有望带来高业绩弹性.pdf,002756,永兴材料,永兴材料（002756）：半年报点评：碳酸锂低成本优势凸显，锂价上涨有望带来高业绩弹性
邱祖学,事件：公司发布2025年半年报。公司25H1营收/归母净利/扣非归母净利为36.9/4.0/3.3亿元，同比-17.8%/-47.8%/-46.0%。单季度看，Q2营收/归母经历/扣非归母净利分别为19.1/2.1/1.5亿元，同比+6.5%/+9.4%/-20.3%，环比-13.1%/-30.3%/-51.1%。业绩符合预期。锂：产销稳定，成本继续优化。1）量：25H1碳酸锂销量1.21万吨，同比下降10.3%；2）价：25H1锂产品价格单边下行，Q1/Q2电池级碳酸锂均价为7.51/6.49万元/吨同比-26.1%/-38.2%，环比-0.7%/-13.6%；3）利：25H1锂电新能源业务实现营收8.63亿元，占营收比重下降至23.35%；贡献净利约1.52亿元，单吨净利约1.27万元，毛利率29.76%。公司及时优化调整经营策略，采用“现货销售为主+期现结合”的销售模式，降低价格波动对盈利的影响。4）本：面对碳酸锂价格低迷，公司深化全产业链成本精细管控以提升竞争力。采矿环节通过精细核算与数据指导，优化开采分类降费用；选矿环节改进工艺提收率，并分析副产品指标提价值；冶炼环节优化配方与工艺降辅料、提效率、增收率，同时调整能源结构降能耗，从而降低综合成本。公司单吨碳酸锂营业成本仅为5万元，同比降本10%以上。特钢：持续优化产品结构，毛利保持高位。25H1营收28.3亿元，占营收比重提升至76.65%；净利润约1.7亿元。毛利率为11.5%，较上年基本持平，通过供销一体联动深化成本管控。公司加大研发力度，持续优化产品结构，拓展高附加值行业市场。中期分红，回馈股东。公司发布2025年半年度分红方案，拟每10股派发现金红利3.0元（含税），现金分红合计1.59亿元，分红率39.7%。核心看点：一体化深化，云母提锂龙头成本优势显著。1）一体化：化山瓷石矿900万吨/年采矿证改扩建项目持续推进，期末进度14%；矿石胶带运输管廊及矿山配套项目建设中，期末进度8%；锂云母绿色智能提锂技改项目加速建设中，期末进度25%；2）成本优势：云母提锂龙头，提升锂转换率，降低辅料成本，综合成本在行业内具有优势；3）特钢：持续拓展核电、新能源汽车、高端装备领域高附加值产品，此类产品销量提升，市占率提高。投资建议：云母提锂龙头成本优势突出，采选冶一体化扩产，我们预计公司2025-2027年归母净利为9.4、13.7和18.4亿元，对应8月22日收盘价的PE为20、14和10倍，维持“推荐”评级。风险提示：原材料价格波动，扩产项目进度不及预期。,,民生证券,推荐,[None],2025-08-23,,增持,6340265,pdf_downloads/2025/2025-08-23/002756-永兴材料（002756）：2025年半年报点评：一体化持续推进，云母龙头成本优势突出.pdf,002756,永兴材料,永兴材料（002756）：2025年半年报点评：一体化持续推进，云母龙头成本优势突出
"华立,阎予露",事件：公司发布2025年半年报：2025年上半年营业收入36.93亿元，同比-17.78%，归母净利润4.01亿元，同比-47.84%，扣非归母净利润3.26亿元，同比-45.96%。2025Q2单季营收19.05亿元，同比-13.1%，环比+6.5%；归母净利润2.09亿元，同比-30.26%，环比+9.39%；扣非后归母净利润1.45亿元，同比-51.09%，环比-20.28%。公司拟向全体股东每10股派发现金红利3元（含税）。锂价下行、钢铁下游需求疲软，拖累公司盈利。百川盈孚显示，2025上半年江西电池级碳酸锂均价为7.06万元/吨（含税），同比下跌32%，其中，二季度均价6.5万元/吨（含税），环比一季度下跌14%，同比下跌39%，为本轮周期低点，锂盐价格下行拖累公司产品价格。测算公司2025上半年公司碳酸锂单吨售价6.16万元/吨（不含税），同比-26%；测算单吨毛利2.03万元/吨，同比-37%。此外，2025年上半年公司特钢业务毛利同比下降21%，也对业绩形成一定拖累。成本控制优秀，抵消部分价格下行的影响。为应对行业下行的挑战，公司销售模式由原来的现货销售变更为“现货销售为主，期现结合”的方式，降低价格波动对盈利的影响。2025上半年公司碳酸锂销量12050吨；测算碳酸锂单吨营业成本4.12万元/吨，同比-19%。公司成本控制能力优秀，效果显著。投资建议：公司是国内锂云母龙头，成本优势显著，在行业低谷期仍能保持市场份额，积极推进采选冶一体化扩产，提升资源保障能力。预计公司2025-2027年归母净利润为8.72/11.97/14.91亿元，对应EPS为1.62/2.22/2.77元，对应PE为22/16/13x，维持“推荐”评级。风险提示：1）锂盐下游需求大幅萎缩的风险；2）锂盐价格大幅下跌的风险；3）公司新建项目投产不及预期的风险；4）公司新增产能释放不及预期的风险。,,银河证券,推荐,[None],2025-08-22,,买入,6338895,pdf_downloads/2025/2025-08-22/002756-永兴材料（002756）：2025年半年报点评：锂价下行拖累业绩，成本管控优秀.pdf,002756,永兴材料,永兴材料（002756）：2025年半年报点评：锂价下行拖累业绩，成本管控优秀
"曾朵红,阮巧燕,岳斯瑶,胡锦芸",Q2业绩符合预期。公司25H1营收36.9亿元，同-17.8%，归母净利润4亿元，同-47.8%，毛利率15.8%，同-3.2pct，归母净利率10.9%，同-6.3pct；其中25Q2营收19亿元，同环比-13.1％/+6.5％，归母净利润2.1亿元，同环比-30.3%/+9.4％，毛利率14.8%，同环比-4.3/-2.1pct，归母净利率11%，同环比-2.7/+0.3pct。碳酸锂Q2降本成效显著，下半年价格弹性可观。25H1公司碳酸锂销量1.2万吨，其中我们预计Q2销量近0.6万吨，环比略降；1万吨冶炼产能技改即将完成，我们预计10月投产，全年碳酸锂销量有望达2.5-2.6万吨。盈利方面，25H1营收7.4亿元，含税均价7万，毛利率33%，单吨营业成本4.1万，我们预计不含税全成本4.8万+，单吨利润约1.4万；其中Q2不含税全成本约4.7万，环减0.3万+，主要由于辅料、能源价格、税费降低，以及成本精细化管控，下半年有望维持较低成本水平。且我们预计25H2锂价8万元/吨左右震荡，有望贡献3亿利润。25H1特钢受下游需求影响，利润略有下降。我们测算25H1特钢贡献归母净利1.7亿元，受下游景气度影响，同比有所下降，其中Q2归母净利0.8亿元+，环比略降。我们预计25全年有望贡献3.5-4亿元利润。Q2投资收益环比大幅提升，经营性现金流转正。公司25H1期间费用率4.7%，同+2.2pct，其中Q2费用率5.1%，同环比+2.6/+0.8pct；25H1投资收益0.5亿元，同增143%，其中Q2投资收益0.4亿元，环增208%，主要系理财产品收益。25H1经营性净现金流2.4亿元，同-54.6%，其中Q2为6.1亿元，同环比-13.5%/+265%；25H1资本开支1亿元，同-50%，其中Q2资本开支0.6亿元，同环比-63.8%/+19.3%；25H1末存货7.1亿元，较年初-6.2%。盈利预测与投资评级：我们基本维持25年盈利预测，考虑矿山改扩建增量释放有所延后，下调26-27年盈利预测，预计公司25-27年归母净利润为9.0/11.1/16.7亿元（原预期9.0/12.1/16.8亿元），同比-13%/+23%/+50%，对应PE为21x/17x/11x，考虑公司资源优势突出，成本优势显著，维持“买入”评级。风险提示：产能释放不及预期，需求不及预期,,东吴证券,买入,[None],2025-08-22,,买入,6338792,pdf_downloads/2025/2025-08-22/002756-永兴材料（002756）：2025 半年报点评：Q2降本成效显著，下半年价格弹性可观.pdf,002756,永兴材料,永兴材料（002756）：2025 半年报点评：Q2降本成效显著，下半年价格弹性可观
李斌,永兴材料发布半年报，2025年H1实现营收36.93亿元（yoy-17.78%），归母净利4.01亿元（yoy-47.84%），扣非净利3.26亿元（yoy-45.96%）。其中Q2实现营收19.05亿元（yoy-13.10%，qoq+6.50%），归母净利2.09亿元（yoy-30.26%，qoq+9.39%）。公司钢铁业务维持稳定，锂电材料板块受近期碳酸锂价格上涨业绩有望在下半年实现修复，我们维持增持评级。公司上半年毛利率受锂价拖累，费用率有所上升据公司半年报，公司25H1毛利率15.78%，同比下降3.21pct，特钢新材料业务为11.52%，锂电新能源业务为29.76%，25Q2毛利率为14.77%，环比下降2.07pct，二季度毛利率下降主要系碳酸锂价格下跌，根据SMM数据，二季度碳酸锂均价为6.53万元/吨，环比下降13.92%。费用方面，公司上半年合计期间费用率为4.66%，同比2.17pct，其中25Q2合计期间费用率为5.05%，环比上升0.81pct，公司上半年费用上升主要受财务利息收入下降所致，公司上半年利息收入为5201.75万元，同比-61.09%。锂资源矿端扰动导致锂价上行近期国内锂资源供应扰动增加，藏格矿业旗下盐湖在7月17日公告停产，根据藏格矿业24年年报，该项目设计产能为1万吨/年；此外宁德时代江西宜春枧下窝云母矿在8月9日因矿权许可证到期停产。上述两个项目合计产能规模较大，对国内短期锂资源供给或产生较大影响，导致7月以来碳酸锂现货价格明显抬升。展望后市，已停产矿山复产时间仍具有较大不确定性，叠加需求端新能源汽车及储能均维持高增速，在供给扰动仍在的情况下，我们认为下半年国内碳酸锂社会库存大概率呈现连续去化，或将支撑碳酸锂价格维持在8万元/吨左右的价格中枢。受益于锂价抬升，公司下半年业绩或有望实现环比回升根据公司公告，公司目前拥有碳酸锂产能3万吨/年，旗下花桥矿业已完成采矿权许可证的变更登记，证载生产规模由 300.00 万吨/年变更为 900.00 万吨/年，进一步提高了资源保障能力，此外永诚锂业 300 万吨/年锂矿石高效选矿与综合利用项目一期已建成投产。由于碳酸锂价格在矿端扰动下上涨，公司下半年锂电材料板块业绩有望实现明显回升。公司特钢新材料业务近年盈利水平保持高位， 22-24年特钢业务毛利率分别为8.77%、11.94%和12.32%，盈利能力逐步提升支撑公司整体业绩维持稳定。盈利预测与估值尽管公司二季度业绩受到碳酸锂价格下跌拖累，但三季度以来锂价上行或带动公司下半年业绩实现明显修复，综合之下，我们维持此前盈利预测，预计公司25-27年EPS分别为1.72、2.41、3.12元。按照分部估值法，钢铁板块可比公司25年Wind一致预期PE均值12.2倍，锂电材料板块可比公司25年Wind一致预期PE均值30.9倍，我们预测公司25年特钢等板块及锂电材料板块归母净利润分别为5.17/4.11亿元，考虑公司锂电材料产能仍在扩张，给予公司25年特钢/锂电材料PE分别为12.2/35.0倍，对应目标价38.39元（前值32.8元，对应25年特钢/锂电材料PE 12.0/27.9倍），维持增持评级。风险提示：锂价超预期下跌，公司在建项目进展不及预期等。,,华泰证券,增持,[None],2025-08-22,,增持,6338471,pdf_downloads/2025/2025-08-22/002756-永兴材料（002756）：锂价下跌对公司上半年业绩形成拖累.pdf,002756,永兴材料,永兴材料（002756）：锂价下跌对公司上半年业绩形成拖累
