author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"胡剑,胡慧,叶子,张大为,詹浏洋,李书颖,连欣然",2025前三季度营收同比增长13.42%，单三季度归母净利润环比减亏。公司发布2025Q3季报，前三季度实现营收28.8亿元(YoY+13.42%)，归母净利润-3.27亿元。其中，单三季度实现营收9.82亿元(YoY+11.1%，QoQ-0.59%)，归母净利润-0.82亿元(环比减亏0.4亿元)，综合毛利率为26.65%，较2Q25毛利率23.21%环比提升3.44个百分点。合同负债环比大幅增长，蜂窝基带毛利率显著改善。公司三季度合同负债1.99亿元，较1H25合同负债0.89亿元环比大幅增长123.6%。芯片定制及IP授权业务方面，公司前三季度订单总金额较2024年同期有倍数级增长，下游主要来自于穿戴/眼镜类芯片、云端推理AI芯片和RISC-V芯片。公司当前正在执行项目较多，由于项目复杂度高，周期较长，前三季度确收绝对值较低，较上年同期下降超过60%，第三季度环比下降50%左右。但预计伴随项目验收交付，明年收入有望实现大幅增长。蜂窝基带收入同比增长约25%，毛利率同比明显改善，带动该板块毛利总额同比增长超50%。研发方面，前三季度流片集中，且某些项目工艺制程先进，使前三季度研发费用增加超1亿元，预计今年第四季度研发费用处于全年较低位水平。6nm八核4G芯片差异化竞争，云端推理ASIC项目储备多种方案。公司第一代4G八核芯片已推向市场，首发客户G-Tab智能手机已于8月底上市；第二个手机客户为南非最大零售渠道的自有品牌，预计明年年初面世；第三个客户的手机产品预计在明年一季度量产。目前近10个智能手机项目正在推进中，智能平板有10+项目正在推进中。第二代6nm八核4G芯片关键功能验证结果均符合预期，部分超出设计目标。该芯片是目前同类中唯一能支持LPDDR4x/5/5x的4G智能手机芯片，预计将在今年年底开始客户导入验证工作。ASIC方面，2018-2022年期间，公司完成了6颗云端AI芯片设计，占据中国AI云端芯片设计服务市场的相当份额。当前，公司在满足合规性的基础上，既开发了高性价比的LPDDR方案来满足大规模应用，也研发了3DDRAM接口在内的技术来满足超高带宽应用。投资建议：维持“优于大市”评级。我们看好公司在蜂窝基带芯片领域的稀缺性和竞争优势，智能终端芯片产品持续发布产品导入各类手机客户，ASIC业务占据优势卡位顺应AI产业化趋势。我们预计公司2025-2027年归母净利润-4.06/0.52/2.51亿元（25-27年前值-4.77/0.40/1.91亿元），维持“优于大市”评级。风险提示：激烈竞争导致产品价格下降风险；新产品开发滞后风险；地缘政治风险；先进制程产能受限风险；公司持续亏损风险等。,,国信证券,优于大市,[None],2025-11-17,,买入,7995270,pdf_downloads/2025/2025-11-17/688220-翱捷科技（688220）：合同负债环比大幅增长，云端ASIC项目储备多种方案.pdf,688220,翱捷科技,翱捷科技（688220）：合同负债环比大幅增长，云端ASIC项目储备多种方案
"陈海进,李雅文",翱捷科技：国内稀缺的无线通信基带芯片厂商。公司芯片产品主要包括蜂窝基带芯片、智能手机SoC芯片、非蜂窝物联网芯片和ASIC业务四大类。公司历史上多次收购实现技术初始积累，为支撑其蜂窝基带芯片业务奠定良好基础。公司营业收入增速较快，归母净利润方面，公司尚处技术积累阶段，随着技术成熟与产品布局完善，有望不久后扭亏为盈。公司成立初期由于产品品类差异及市场竞争等因素影响毛利率较低，未来有望凭借品牌效应以及新产品推出进一步提升毛利率。蜂窝基带芯片：中高速物联网逐步转向Redcap，5G时代开启。公司蜂窝基带芯片的主要产品线包含两大类别，分别是基带通信芯片与移动智能终端芯片。受5G RedCap、5G海量物联网及4G LTE Cat-1bis模组三项关键技术的驱动，蜂窝物联网市场将在未来六年内进入高速扩张期。公司精耕细分市场，在国产蜂窝基带市场占有率稳步提升。其产品线已覆盖LTE Cat.1、Cat.4、Cat.7以及5G NR、5G RedCap 等多个品类，全面覆盖中低速与高速物联网市场的需求，市场影响力持续提升。2025年，翱捷科技于5G RedCap 领域持续发力，产品生态进一步完善。智能SoC芯片：2025年公司智能手机SoC进展迅猛。全球智能手机市场2024年实现反弹。SoC芯片方面，高通与联发科差异化竞争高端、中低端市场。公司智能手机4G SoC不断发展创新。截至25H1，第二代4G八核智能手机芯片已实现流片。该芯片采用6nm 先进制程，支持LPDDR5/5X，提供6400Mbps以上的数据吞吐率，搭载20TOPS算力的独立NPU，能够支持目前各种主流的适用于移动终端的大模型。ASIC：市场规模增长显著，未来前景广阔。ASIC行业涵盖芯片设计、制造、封测环节，目前主要由海外CSP厂主导。ASIC服务商的竞争力取决于IP设计能力和SoC设计能力两大核心能力。AI ASIC景气度高涨，博通、Marvell业绩持续兑现，28年定制芯片市场规模将达554亿美元。公司ASIC业务主要方向有智能穿戴/眼镜类；端侧SOC类； RISC-V类。公司ASIC在手订单充足，已承接多项一线头部客户项目。盈利预测与投资评级：我们预计公司2025-2027年营业收入达到44.0/60.0/75.8亿元，对应当前P/S倍数为8/6/5倍，略低于行业可比公司平均水平。我们认为公司当前处于业务规模扩张与盈利性提升的关键阶段，可享一定估值溢价。首次覆盖，给予“买入”评级。风险提示：市场竞争的风险；产品研发不及预期的风险；新产品出货不及预期的风险等。,,东吴证券,买入,[None],2025-11-13,,买入,7703089,pdf_downloads/2025/2025-11-13/688220-翱捷科技（688220）：深耕蜂窝基带芯片，布局ASIC打开成长空间.pdf,688220,翱捷科技,翱捷科技（688220）：深耕蜂窝基带芯片，布局ASIC打开成长空间
"谢春生,张皓怡,陈钰,林文富",2025年11月03日│中国内地 半导体 公司前三季度实现营收28.8亿元（yoy：+13.42%），归母净利润-3.27亿元（1-9M24：-4.12亿元，yoy：+20.62%），扣非归母净利润-4.88亿元（1-9M24：-4.76亿元，yoy：-2.66%）。其中3Q25实现营收9.82亿元（yoy：+11.07%，qoq：-0.59%），归母净利润-0.82亿元（3Q24/2Q25：-1.48/-1.23亿元，yoy：+44.5%，qoq：+33.41%）。前三季度公司蜂窝基带芯片收入同比增长25%左右，但由于芯片定制及IP授权业务确收周期较长，今年前三季度确认收入绝对值较低，该部分收入同比下降超过60%，伴随项目持续推进并陆续确收，预计明年将实现大幅增长。25年前三季度公司流片费用较为集中，得益于芯片业务毛利率显著改善，公司季度亏损幅度不断收窄，我们预计26年随着智能手机SoC放量以及定制芯片项目确收，有望扭亏为盈，维持“买入”评级。3Q25回顾：芯片收入保持同比增长，毛利率同环比提升3Q25我们预计公司芯片定制及IP授权业务收入同比降幅进一步扩大（1H25同比-33% vs 前三季度同比下降超过60%），公司营收仍实现同比增长主要得益于蜂窝基带芯片销售增长，今年以来公司在两轮车、可穿戴等市场取得显著增量贡献。毛利率方面，3Q25毛利率26.65%（yoy：+4.71pct，qoq：+3.44pct），主要得益于芯片业务毛利率改善。由于公司今年加速推进包含4G/5G智能手机SoC芯片、5G RedCap智能终端芯片在内的多款芯片的开发，合计投入15个研发项目，前三季度流片集中，且某些项目工艺制程先进，导致前三季度研发费用10.05亿元（yoy：+11.07%），预计4Q25研发费用将处于全年较低水平。4Q25/2026展望：4G八核智能手机SoC量产，定制业务陆续落地我们预计26年公司有望实现多个重大突破：1) 5G RedCap：有望在车载、MBB、工业控制及可穿戴等多场景开始应用；2）手机：第一代4G八核智能手机芯片客户于今年第三季度实现产品上市，其他Pad、车载产品等智能终端类型也将陆续上市；第二代4G八核智能手机芯片已回片，年底开始导入客户，预计明年上半年开始逐步进入客户量产阶段；首颗6nm 5G八核智能手机芯片预计今年下半年流片，明年下半年开始进行客户导入工作。公司预计智能SoC芯片25年全年出货量同比将实现成倍增长；3) 芯片定制业务将结合新兴市场需求提供高智能、低功耗方案，推动端侧AI、智能交互及垂直行业应用发展。盈利预测与估值我们看好公司物联网+可穿戴+手机业务顺利推进，24年下半年以来定制项目订单充足，26年有望带来显著收入增量。考虑25年定制业务确收较少，且第二代4G 8核智能手机SoC客户测试验证周期较长，我们下调25/26E营收预测至38.10/53.40亿元（较前值：-13.37%/-4.68%），27年手机及定制业务放量较为集中，上调27年营收预测至72.24亿元（较前值：+7.45%），归母净利润预测为-4.49/0.17/4.34亿元。考虑公司主营蜂窝基带芯片壁垒较高且具备较强稀缺性，且定制业务现处于高景气阶段，给予10.2倍26PS（可比公司Wind一致预期均值10.2x），目标价至130.0元（前值：136.7元，对应13x 25PS），维持“买入”评级。风险提示：产品研发不及预期，市场竞争加剧，客户导入不及预期。,,华泰证券,买入,[None],2025-11-04,,买入,7379835,pdf_downloads/2025/2025-11-04/688220-翱捷科技（688220）：芯片毛利率进一步改善，亏损收窄.pdf,688220,翱捷科技,翱捷科技（688220）：芯片毛利率进一步改善，亏损收窄
"王芳,杨旭,李雪峰","报告摘要事件：公司发布2025年半年度报告，2025H1实现收入19.0亿元，同比增长14.7%，归母净利润-2.45亿元，亏损同比缩窄0.19亿元，扣非归母净利润-3.52亿元，亏损同比增加0.51亿元；25Q2实现收入9.88亿元，同比增长19.8%，实现归母净利润-1.23亿元，亏损同比缩窄0.16亿元，实现扣非归母净利润-1.70亿元，亏损同比增加0.27亿元。2025H1营收明显增长，蜂窝基带芯片核心业务表现突出。公司上半年实现营收19.0亿元，同比增长14.7%。其中蜂窝基带芯片作为核心业务表现突出，营收占比持续上升，目前已超85%，销量同比增长超50%，收入增长超30%，毛利总额增长超60%；芯片定制业务及IP授权服务实现营收1.44亿元，同比减少49.8%，一方面因为公司战略性将ASIC资源向自研芯片倾斜，另一方面因为此类业务交付周期通常约1.5年，收入需在交付后一次性确认。H1综合毛利率24.7%，yoy+0.45pct。公司研发投入持续加大，上半年合计投入15个研发项目，投入费用达6.68亿元（含股份支付），同比增长12.4%。H1归母净利润-2.45亿元，扣除股份支付影响后归母净利润-1.61亿元，受大额研发投入叠加资产减值的影响公司仍处于亏损状态，但亏损呈边际收窄。2025Q2营收同环比增长，盈利短期承压。公司25Q2实现收入9.88亿元，yoy+19.8%，qoq+8.59%，实现归母净利润-1.23亿元，亏损同比缩窄1625.35万元，环比增加92.77万元。25Q2毛利率23.2%，yoy-1.54pct，qoq-3.14pct。深耕4G、拓展5G，业绩增长点充足。1）4G蜂窝物联网：公司4GCat.1主芯片出货量H1同比增长超50%，Q2环比增长超40%，海外需求持续放量，在印度市场已与GooglePay等主流支付公司达成合作；4GCat.4主芯片出货量同比增长约35%，车载网联领域产品已进入国内主流自主品牌及部分合资品牌的供应链体系并规模出货。2）5GRedcap领域：模组及工控市场推出的ASR1903系列目前已有10余家客户共30余款模组及产品送样测试或商用发布；可穿戴市场ASR3901平台目前已有近20款终端实现规模化商用出货；全球首款RedCap+Android智能芯片平台终端产品预计于今年Q4上市。3）智能SoC芯片业务：公司首款四核4G智能手机芯片在手订单充足，今年出货量预计同比成倍增长，第一代4G八核智能手机芯片已陆续量产商用，第二代预计9月份回片、年底导入客户、明年上半年逐步进入量产，首颗6nm5G八核智能手机芯片已进入研发后期，预计今年下半年流片、明年下半年开始客户导入。预计公司2025/2026/2027年收入分别为45.20/61.95/75.19亿元，对应PS为9/6/5倍,我们认为公司作为国产手机基带芯片的龙头公司，在技术及客户等方面有显著优势，维持“买入”评级。风险提示：市场竞争加剧；新产品研发失败及滞后风险；国际贸易环境变化等。",,中泰证券,买入,[None],2025-09-15,,买入,6439315,pdf_downloads/2025/2025-09-15/688220-翱捷科技（688220）：蜂窝基带芯片业务带动H1营收增长，业务布局持续丰富.pdf,688220,翱捷科技,翱捷科技（688220）：蜂窝基带芯片业务带动H1营收增长，业务布局持续丰富
"谢春生,张皓怡,陈钰",2025年8月31日│中国内地 半导体 公司1H25实现营收18.98亿元（yoy：+14.67%），归母净利润-2.45亿元（yoy：+7.29%），扣非归母净利润-3.52亿元（yoy：-17.05%）。其中2Q25实现营收9.88亿元（yoy：+19.76%，qoq：+8.59%），归母净利润-1.23亿元（yoy：+11.66%，qoq：-0.76%）。上半年蜂窝基带芯片业务板块表现突出，营收占比已超过85%，销量/收入/毛利总额分别同比提升超过50%/30%/60%，总收入仅同增15%主要受芯片定制业务确收节奏影响。公司上半年亏损幅度已开始收窄，我们预计27年随着智能手机SoC放量以及定制芯片项目确收，有望扭亏为盈，维持“买入”评级。1H25：蜂窝基带芯片收入同增超30%，芯片毛利率同比提升上半年分业务来看，1）芯片产品销售收入17.54亿元（yoy：+30%），毛利率23.96%（yoy：+4.85pct）。其中CAT.1出货量同增超50%，CAT.4出货量同增约35%，4G四核SoC芯片已成功商用；2）芯片定制业务收入1.26亿元（yoy：-46.07%），毛利率24.46%（yoy：-9.71pct），收入同比下降主要受项目确收节奏影响（确收周期通常为1.5年），但公司在手订单充足，在智能穿戴/眼镜、端侧AI及RISC-V芯片等领域均有所布局；3）半导体IP授权收入0.18亿元（yoy：-66.26%）。公司持续加大研发投入，上半年积极推进包含4G/5G智能手机SoC芯片、5G RedCap智能终端芯片在内的多款芯片的开发，合计投入15个研发项目，研发费用6.68亿元（含股份支付），同比增长12.35%。2H25展望：4G八核SoC客户产品量产，部分定制业务开始确收从下半年开始公司将进入全新增长阶段：1) 下半年物联网需求有望呈现旺季状态，5G RedCap有望在车载、MBB、工业控制及可穿戴等多场景开始应用；2）手机即将迎来关键突破，第一代4G八核智能手机芯片客户于今年第三季度实现产品上市，其他Pad、车载产品等智能终端类型也将陆续上市；第二代4G八核智能手机芯片预计9月份左右回片，年底开始导入客户，预计明年上半年开始逐步进入客户量产阶段；首颗6nm 5G八核智能手机芯片预计今年下半年流片，明年下半年开始进行客户导入工作。公司预计智能SoC芯片25年全年出货量同比将实现成倍增长；3) 芯片定制业务将结合新兴市场需求提供高智能、低功耗方案，推动端侧AI、智能交互及垂直行业应用发展。盈利预测与估值我们看好公司物联网+可穿戴+手机业务顺利推进，24年下半年以来定制项目订单充足，26年有望带来显著收入增量。我们维持25/26/27E营业收入预测43.98/ 56.02/67.23亿元，考虑公司主营蜂窝基带芯片壁垒较高且具备较强稀缺性，且定制业务现处于高景气阶段，给予13倍25PS（Wind可比公司一致预期中位数13x），上调目标价至136.7元（前值：115.7元，对应11x 25PS），维持“买入”评级。风险提示：产品研发不及预期，市场竞争加剧，客户导入不及预期。,,华泰证券,买入,[None],2025-09-01,,买入,6375938,pdf_downloads/2025/2025-09-01/688220-翱捷科技（688220）：预计25年智能SoC出货量成倍增长.pdf,688220,翱捷科技,翱捷科技（688220）：预计25年智能SoC出货量成倍增长
"胡剑,胡慧,叶子,张大为,詹浏洋,李书颖,连欣然",2025上半年营收同比增长14.67%，归母净利润同比减亏。公司发布2025年半年度报告，1H25实现营收18.98亿元(YoY+14.67%)，实现归母净利润-2.45亿元(YoY+7.29%)，同比减亏约0.2亿元，若扣除股份支付影响，归母净利润为-1.61亿元。单二季度营收为9.88亿元(YoY+19.76%，QoQ+8.59%)，归母净利润-1.23亿元(YoY+11.66%，QoQ-0.76%)，其中，芯片产品销售7.97亿，半导体IP授权0.9亿，芯片定制业务0.64亿，其他业务0.38亿。4G蜂窝物联网同比增长超30%，智能SoC全年出货量有望成倍增长。公司上半年蜂窝基带占比超过85%，销量同比增长超50%，收入增长超30%（一季度同比增长超20%），毛利增长超60%。根据TSR统计，公司2024年在Cat.1bis领域市占率接近50%，1H25公司4GCat.1出货量同比增长超过50%，且二季度环比增长超过40%。4GCat.4出货量同比增长约35%，三季度搭载公司Cat.4模组的车型将量产并出口至欧洲。Cat.7产品已导入中兴、TCL、TPLINK等，并推出CPE等终端产品。智能SoC在手订单充足，全年出货量较2024年预计成倍增长。全球首款RedCap+Android平台ASR8603，目前处于客户designin阶段，预计终端产品将于今年第四季度上市。近期，搭载4G八核ASR8662的首发智能手机G-TabG9正式发布，G-Tab产品在中东、北非等市场广受欢迎。ASIC在手订单充足，已承接多项一线头部客户项目。上半年公司芯片定制及IP授权服务合计约1.44亿元，较1H24的2.87亿元同比减少1.43亿元，主要因1）前两年公司将ASIC资源倾向于自研芯片，2）ASIC订单交付周期通常在1.5年左右。不过，自2H24开始，ASIC定制市场空间显著扩大，公司快速响应需求，在智能穿戴/眼镜、端侧AI及RISC-V芯片等领域积极布局，目前在手订单充足。同时，针对海外算力限制新规，公司通过技术创新与新型架构设计，在合规基础上为系统厂商提供ASIC服务，并已承接多项头部客户订单。投资建议：维持“优于大市”评级。我们看好公司在蜂窝基带芯片领域的稀缺性和竞争优势，智能终端芯片产品持续发布产品导入各类手机客户，ASIC业务占据优势卡位顺应AI产业化趋势。我们预计公司2025-2027年归母净利润-4.77/0.40/1.91亿元（25-27年前值-4.09/0.46/2.09亿元），维持“优于大市”评级。风险提示：激烈竞争导致产品价格下降风险；新产品开发滞后风险；地缘政治风险；先进制程产能受限风险；公司持续亏损风险等。,,国信证券,优于大市,[None],2025-09-01,,买入,6378400,pdf_downloads/2025/2025-09-01/688220-翱捷科技（688220）：ASIC业务在手订单充足，4G八核8662首发G9智能机.pdf,688220,翱捷科技,翱捷科技（688220）：ASIC业务在手订单充足，4G八核8662首发G9智能机
"王芳,杨旭,李雪峰","报告摘要事件：公司发布2024年年报及2025年第一季度报告，2024年实现收入33.86亿元，同比增长30.23%，归母净利润-6.93亿元，同比下降37.01%，扣非归母净利润-7.07亿元，同比下降7.38%；25Q1实现收入9.10亿元，同比增长9.61%，实现归母净利润-1.22亿元，同比增长2.43%，实现扣非归母净利润-1.82亿元，同比下降15.41%。经营趋势逐步向好。公司24Q4营收8.46亿元，yoy+11.94%，qoq-4.34%，归母净利润-2.81亿元，yoy-252.9%，qoq-89.86%，扣非归母净利润-2.31亿元，yoy-87%，qoq-31.85%；毛利率22.39%，yoy-1.2pct，qoq+0.45pct。利润表观加速亏损，实际因减值费用增长，扣除后经营性利润亏损收窄，趋势向好。公司24年研发费用12.4亿，研发费率36.7%，首次下降到40%以下，23年为43%，2024年下降6.24pct，随着收入规模起量，IC设计弹性会逐步显现。25Q1盈利改善，亏损持续收窄。公司一季度实现收入9.10亿元，yoy+9.61%，qoq+7.55%，实现归母净利润-1.22亿元，yoy+2.43%，qoq+56.43%，扣非归母净利润-1.82亿元，yoy-15.41%，qoq+21.18%。毛利率环比增长到26.35%，yoy+2.56pct，qoq+3.96pct。研发费用3.57亿元，研发费用率为39.23%，yoy+1.16pct，qoq-0.6pct，同比增长主因新增股份支付费用，且流片费用、折旧摊销较去年同期增加。业绩期内公司继续保持各项产品的市场推进和成果交付，其中公司核心业务蜂窝基带芯片收入同比去年第一季度增长超过20%。基带芯片稳步推进，ASIC打开远期空间。公司是国内稀缺的智能手机SoC厂商，行业壁垒高市场空间大。公司2024年首颗4G手机芯片已顺利在拉丁美洲市场成功出货，此外积极推进5G智能手机芯片研发，计划2025年推出5GRedCap智能终端芯片，2026年推出5G智能手机SOC芯片；ASIC是AI芯片发展新方向，CSP大厂需求旺盛，公司研发实力强，在系统架构、信号处理、通信协议栈，以及数字、模拟和射频电路设计等方面拥有深厚的技术积累和量产经验，定制化ASIC能力国内领先。随国产互联网厂商持续加大资本开支投入，以及定制化ASIC推理卡需求提升，公司有望深度受益。投资建议：考虑到公司作为国内基带通信芯片领域稀缺标的，我们预计2025/2026/2027年收入分别为45.20/61.95/75.19亿元，对应PS为9/7/5倍,我们认为公司作为国产手机基带芯片的龙头公司，在技术及客户等方面有显著优势，维持“买入”评级。风险提示：行业景气不及预期；下游进展的不确定性；新品迭代不及预期。",,中泰证券,买入,[None],2025-05-07,,买入,6044062,pdf_downloads/2025/2025-05-07/688220-翱捷科技（688220）：Q1盈利改善亏损收窄，持续看好算力新贵.pdf,688220,翱捷科技,翱捷科技（688220）：Q1盈利改善亏损收窄，持续看好算力新贵
"谢春生,张皓怡,陈钰",1Q25公司实现营收9.10亿元（yoy：+9.61%，qoq：+7.55%），归母净利润-1.22亿元（亏损同比缩窄2.43%，环比缩窄56.43%），扣非归母净利润-1.82亿元（亏损同比扩大15.41%，环比缩窄21.18%）。1Q25公司蜂窝基带芯片收入同比增长超过20%，但本季芯片定制业务确收较少，导致整体营收同比增速仅略低于10%。一季度公司芯片业务毛利率同比改善幅度较大，扣非归母净亏损同比扩大主要由于股份支付费用、流片费用和折旧摊销增加。我们认为公司蜂窝基带芯片业务保持较高景气度，同时积极开拓智能手机、可穿戴以及芯片定制市场，长期成长空间广阔，维持“买入”评级。1Q25回顾：蜂窝基带芯片营收同比增长超20%，芯片毛利率显著改善一季度AIoT下游保持较高景气度，公司核心业务蜂窝基带芯片收入同比增长超过20%，在Cat.1和Cat.4市场份额持续提升，但由于公司芯片定制项目确收较少，导致收入同比增速相对平缓。尽管相对更高毛利率的芯片定制业务收入占比降低，但1Q25综合毛利率仍提升至26.35%（yoy：+2.56pct，qoq：+3.96pct），预计主要由于CAT1产品价格基本稳定，CAT4占比进一步提升，随着下半年5G RedCap项目逐步量产，毛利率有望进一步改善。费用方面，1Q25因流片费用增加，公司研发费用3.57亿元（yoy：+12.88%，qoq：+5.93%），研发费用率39.26%（yoy：+1.14pct，qoq：-0.60pct）。2025展望：重点发力可穿戴、智能手机等新方向，芯片定制订单饱满2025年车联网、移动宽带设备、移动支付等下游需求有望保持增长，且公司针对可穿戴市场推出Cat.1/Cat.4/5G RedCap等系列化产品，有望在手表以及眼镜市场取得突破。具体来看，1）5G RedCap：ASR1903在智能模组、智能电网、工业物联网、智慧金融等垂直行业场景不断深入。公司针对5G RTOS穿戴平台已推出高性价比的ASR3901，25年有望规模放量，后续公司将推出集成度更高、性能更优的RTOS和Android穿戴平台；2）智能手机平台：第一代4G 8核SoC量产在即，新一代4G 8核平台正在顺利推进当中。此外，公司具备丰富的大芯片IP及成功流片经验，目前芯片定制订单饱满，26年收入贡献有望显著增加。投资建议：目标价115.7元，维持“买入”评级我们认为公司将继续强化在蜂窝物联网市场的领先地位，并在可穿戴/智能手机SoC以及芯片定制市场实现突破。维持25/26/27E营收预测43.98/ 56.02/67.23亿元，考虑公司主营蜂窝基带芯片壁垒较高且具备较强稀缺性，给予11倍25PS（Wind一致预期中位数11x），上调目标价至115.7元（前值：91.5元，对应8.7x 25PS），维持“买入”评级。风险提示：产品研发不及预期，市场竞争加剧，客户导入不及预期。,,华泰证券,买入,[None],2025-05-07,,买入,6043941,pdf_downloads/2025/2025-05-07/688220-翱捷科技（688220）：1Q25：蜂窝基带芯片收入同比超20%.pdf,688220,翱捷科技,翱捷科技（688220）：1Q25：蜂窝基带芯片收入同比超20%
"胡剑,胡慧,叶子,张大为,詹浏洋,李书颖",2025年一季度营收同比增长9.6%，归母净利润同环比减亏。公司发布2025年一季报，实现营收9.1亿元(YoY+9.6%，QoQ+7.6%)，实现归母净利润-1.2亿元（同环比减亏），综合毛利率26.35%(YoY+2.56pp，QoQ+3.96pp)，研发费用3.57亿元(YoY+12.9%)。一季度收入创单季度历史新高，蜂窝基带增长超20%。2024年公司ASIC相关业务收入约3.7亿元，其中2.86亿元在2024年上半年集中确认收入，导致2024年1-2季度收入基数相对较高，而1Q25芯片定制业务确认相对较少，故收入同比增速相对平缓。公司核心业务蜂窝基带芯片收入，同比1Q24增长超过20%。毛利率改善显著，利润端同环比减亏。24年公司芯片产品毛利率约20.32%，1Q25公司综合毛利率达到26.35%，伴随蜂窝物联网芯片的竞争格局改善，及公司5GRedCap和智能终端芯片等产品的推出，公司毛利率有望逐步回升。利润端，公司股份支付、流片、折旧摊销费用同比有所增加，仍实现同环比减亏，较四季度减亏约1.6亿元。多款智能终端芯片研发推进，新增存储芯片定制客户。公司蜂窝基带2024年合计投入18个研发项目，其中新开立4项，顺利完成6项；5G智能手机SOC芯片、5G轻量化智能终端芯片、4G智能手机芯片等12个研发项目有序进行；第二代八核智能手机芯片平台、5GSOC智能手机芯片平台等研发项目正在积极推进中。芯片定制方面，24年公司新增第5大客户深圳大普微电子，其芯片定制业务销售额约1.24亿元，占总收入3.66%。大普微电子是国内领先的企业级SSD主控芯片设计、SSD产品及存储方案提供商。公司已服务人工智能头部企业、大型互联网科技企业、大型存储企业、头部RISC-V方案提供商、工业控制企业等。公司继续拓展新客户和新项目，同时助力多个客户的新一代高端产品进入量产。投资建议：维持“优于大市”评级。我们看好公司在蜂窝基带芯片领域的稀缺性和竞争优势，智能终端芯片产品持续发布产品导入各类手机客户，ASIC业务占据优势卡位顺应AI产业化趋势。我们预计公司2025-2027年归母净利润-4.09/0.46/2.09亿元（25-26年前值-3.31/0.39亿元），维持“优于大市”评级。风险提示：激烈竞争导致产品价格下降风险；新产品开发滞后风险；地缘政治风险；先进制程产能受限风险；公司持续亏损风险等。,,国信证券,优于大市,[None],2025-05-05,,买入,6047057,pdf_downloads/2025/2025-05-05/688220-翱捷科技（688220）：一季度业绩符合预期，毛利率显著改善.pdf,688220,翱捷科技,翱捷科技（688220）：一季度业绩符合预期，毛利率显著改善
"王芳,杨旭,李雪峰","报告摘要事件：公司发布2024年年报，实现收入33.86亿元，yoy+30.23%，归母净利润-6.93亿元，yoy-37.01%，扣非归母净利润-7.07亿元，yoy-7.38%。经营趋势逐步向好。公司24Q4营收8.46亿元，yoy+11.94%，qoq-4.34%，归母净利润-2.81亿元，yoy-252.9%，qoq-89.86%，扣非归母净利润-2.31亿元，yoy-87%，qoq-31.85%；毛利率22.39%，yoy-1.2pct，qoq+0.45pct。利润表观加速亏损，实际因减值费用增长（信用减值、资产减值费用1.06亿元，公允价值变动亏损0.69亿元），扣除后经营性利润亏损收窄，趋势向好。公司24年研发费用12.4亿，研发费率36.7%，首次下降到40%以下，23年为43%，2024年下降6.3pct，随着收入规模起量，IC设计弹性会逐步显现。手机SoC稳步推进前景巨大，物联网受益端侧AI基本面向上。公司是国内稀缺的智能手机SoC厂商，行业壁垒高市场空间大。据IDC数据，2024年全球智能手机出货量达到12.4亿部，同比增长6.4%，市场空间大。目前全球主流智能手机SoC厂商包括高通、MTK、紫光展锐等，其中高通全力覆盖5G市场，4G市场主要为MTK、紫光展锐两家。公司2024年首颗4G手机芯片已顺利在拉丁美洲市场成功出货，据不完全统计，目前已有至少5款智能手机采用了该款芯片，并且还有机型、新客户在推进过程中。此外公司积极推进5G智能手机芯片研发，计划2025年推出5GRedCap智能终端芯片，2026年推出5G智能手机SOC芯片，成长性与稀缺性兼备。端侧推理时代，定制化ASIC有望爆发。AI大模型处于训练转推理关键阶段，全球大厂Capex持续向上，算力长期增长趋势不变：1）海外：谷歌、亚马逊、Meta、微软等CSP均预计保持AI高投入；2）国内：阿里率先公布业绩，业绩会表示未来三年集团在云和AI的基础设施投入预期将超越过去10年的总和，算力需求巨大。DeepSeek降低模型训练成本，及下游应用成本，将推动大厂资源加速转向推理需求。ASIC做特定用途优化，相比GPGPU架构拥有更低功耗，此外裁剪冗余单元，大幅提升芯片效率，占比有望逐步提升。公司研发团队在系统架构、信号处理、通信协议栈，以及数字、模拟和射频电路设计等方面拥有深厚的技术积累和量产经验，定制化ASIC能力国内领先。随国产互联网厂商持续加大资本开支投入，以及定制化ASIC推理卡需求提升，公司有望深度受益。投资建议：考虑到公司作为国内基带通信芯片领域稀缺标的，我们预计2025/2026/2027年收入分别为45.20/61.95/75.19亿元，对应PS为8/6/5倍,我们认为公司作为国产手机基带芯片的龙头公司，在技术及客户等方面有显著优势，给予“买入”评级。风险提示事件：新品研发进度不及预期，竞争格局恶化风险，数据信息滞后风险。",,中泰证券,买入,[None],2025-04-22,,买入,6019171,pdf_downloads/2025/2025-04-22/688220-翱捷科技（688220）：经营趋势向好，看好定制业务卡位.pdf,688220,翱捷科技,翱捷科技（688220）：经营趋势向好，看好定制业务卡位
