author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
杨震,"核心观点智能高空作业平台的研发、制造、销售和服务，主要产品包括臂式、剪叉式、桅杆式、差异化高空作业平台，已率先实现全系列产品电动化。自成立以来公司积极推进全球化战略，2016年起，公司开始海外并购战略，在意大利、美国、德国等多地进行过布局，2024年公司境外营业收入占总收入已接近70%，是全球高空作业平台制造商前3强。公司设备享誉全球，公司“JCPT1612PA”型号产品荣获 2024年“IAPA年度产品”，实现中国企业在该奖项零的突破。约欧美高机需求的因素将有望逐渐改善。美联储未来的潜在降息有望促进当地经济复苏。全球地缘冲突的背景下，北美制造业回流趋势不改，非住宅建筑需求旺盛，AI数据中心建设及配套的电力投资等新兴的应用领域，有望成为高机需求的重要驱动。北美工程机械租赁龙头联合租赁2026年全年资本开支指引较2025年上调，显示未来市场需求乐观预期。欧洲市场上，2025年欧洲央行进行了四轮降息，有望推动欧洲经济复苏，欧洲算力的投资也将拉动固定资产投资增长。通过分析了欧洲本土高机龙头企业Haulotte ，我们发现欧洲对低价的高机设备需求量已有复苏迹象。高空作业平台赛道，积累大量行业Know-how，产品创新能力强，专利布局健全，技术水平行业领先。公司全球化渠道布局完善，设备远销全球100多个国家和地区，已控股北美CMEC公司，应对欧美关税冲突经验及措施丰富。我们认为凭借产品力及渠道布局优势，公司将深度受益行业需求复苏，推动业绩增长。盈利预测与投资建议我们看好欧美高机需求复苏，拉动公司业绩增长，我们预测公司 2025-2027 年每股
收益分别为 4.05 / 4.73 / 5.37 元。参考可比公司 2026 年调整平均市盈率约 15xPE，
我们给予浙江鼎力 2026 年 15xPE，目标价格 70.95 元，首次给予买入评级。风险提示国际贸易风险、行业竞争加剧风险、假设条件变化影响测算结果",,东方证券,买入,[None],2026-03-06,,买入,8485845,pdf_downloads/2026/2026-03-06/603338-浙江鼎力（603338）：首次覆盖：高机需求有望复苏，龙头出海乘风破浪.pdf,603338,浙江鼎力,浙江鼎力（603338）：首次覆盖：高机需求有望复苏，龙头出海乘风破浪
"肖群稀,赵靖博","本报告导读：公司主业聚焦高空作业平台，是全球率先实现全系列电动化的制造商，且产品持续
开拓，后续有望在全球市场提升市占率。投资要点：首次覆盖，给予增持评级。预计公司2025/2026/2027年EPS分别为3.95/4.52/5.13元。公司已实现全系列产品电动化，并覆盖臂式/剪叉/桅柱三大系列，具备平台化迭代与差异化拓展能力。对标可比公司，给予 2025年18倍PE估值，目标价71.1元。聚焦智能高空作业平台，高端制造属性突出。浙江鼎力始建于2005年，主营各类智能高空作业平台的研发、制造、销售与服务。 公司产品覆盖臂式、剪叉式、桅柱式及差异化平台等，官网披露已自主研发200余款并服务全球80多个国家和地区。2025年前三季度公司实现营业收入66.75亿元，yoy+8.82%，归母净利润15.95亿元，yoy+9.18%。全球高空作业平台市场广阔，格局基本稳定。欧美等发达国家市场成熟，产品结构完善，市场需求主要来自更新替换需求，保有量稳中略增。根据《IPAF Rental Market Report 2025》，2024年全球高空作业平台租赁市场保有量约304万台，美国租赁市场保有量为85.81万台，包括剪叉48.91万台，臂式34.15万台；欧洲十国（丹麦、芬兰、法国、德国、意大利、荷兰、挪威、西班牙、瑞典、英国）保有量为36.53万台，包括剪叉17.45万台，臂式13.3万台。中国高空作业平台市场竞争激烈，行业呈现阶段性波动，租赁市场保有量为66.92万台，包括剪叉48.72万台，臂式17.27万台，长期看新增及置换需求依然持续。公司已率先实现全系列产品电动化，是全球首家实现高米数、大载重、模块化电动臂式系列产品制造商。公司电动臂式系列产品具备节能环保无噪音、安全实用动力强、维保便捷易运输、长续航更经济等诸多优势；混动臂式系列产品延续电动款优势，配有增程器可自行充电，有效适用于无电源工况，解决了户外充电难问题；电动剪叉系列产品使用高效，安全性、稳定性突出等优势；桅柱式产品以纯电驱动、结构轻巧、操作灵活、无噪音无污染等特性，主要应用于仓储、超市、室内装饰及维修等领域。风险提示：市场竞争加剧、贸易摩擦风险、基建投资不及预期。",,国泰海通,增持,[None],2026-01-05,,买入,8308686,pdf_downloads/2026/2026-01-05/603338-浙江鼎力（603338）：首次覆盖报告：高空作业平台电动化领先者，产品和市场持续多元开拓.pdf,603338,浙江鼎力,浙江鼎力（603338）：首次覆盖报告：高空作业平台电动化领先者，产品和市场持续多元开拓
"刘卓,陈基赟",浙江鼎力(603338)经营韧性强，持续推出差异化产品事件描述公司发布2025年三季报，2025Q1-3实现营收66.75亿元，同增8.82%；实现归母净利润15.95亿元，同增9.18%；实现扣非归母净利润15.56亿元，同增4.96%。事件点评单Q3利润小幅承压，经营韧性较强。公司Q3实现营业收入23.39亿元，同增2.83%；归母净利润5.42亿元，同减14.72%。公司作为对美业务较多的出口型企业，今年在海外贸易摩擦加剧叠加欧美市场不景气的背景下，呈现出较强的经营韧性。毛利率维持高位，费用管控得当。盈利能力方面，2025Q1-3公司毛利率同减0.28pct至35.88%，其中单Q3毛利率为36.12%，环比提升4.12个百分点，维持较高水平。费用率方面，2025Q1-3公司期间费用率同减0.17pct至6.3%，其中销售费用率同增1.46pct至3.7%；管理费用率同增0.66pct至2.98%；财务费用率同减2.74pct至-3.78%；研发费用率同增0.46pct至3.4%。看好降息带动欧美市场复苏，北美臂式产品拓展+欧盟税率优势有望带来公司份额提升。2025年，欧美市场高空作业平台景气度面临压力，以JLG为例，2025Q2营收同比下降10.7%至12.6亿美元，2025Q3营收同比下降18.6%至11.1亿美元。我们认为美联储降息有望带动欧美建筑活动回暖，同时公司在北美正持续开拓臂式产品市场，于欧盟取得最低双反关税20.6%，均有利于获取更多份额。持续推出差异化产品，满足客户多样化场景需求。公司在通用款基础上推出无人化高空作业平台+系列，拓展全新差异化高空作业应用场景和领域。公司已推出如船舶喷涂除锈机器人、隧道打孔机器人、玻璃吸盘车、模板举升车等产品，能够很好满足客户不同应用场景的新需求，可应用于船厂、轨道交通等领域，已经得到了比较好的应用开端，目前客户使用满意度高。盈利预测与估值预计公司2025-2027年营收分别为87.44、96.93、107.37亿元，同比增速分别为12.12%、10.85%、10.77%；归母净利润分别为19.7、22.24、25.09亿元，同比增速分别为20.96%、12.86%、12.84%。公司2025-2027年业绩对应PE估值分别为13.85、12.27、10.88，维持“买入”评级。风险提示：行业景气度不及预期风险；海外市场开拓不及预期风险；市场竞争加剧风险。,,中邮证券,买入,[None],2025-11-07,,买入,7560036,pdf_downloads/2025/2025-11-07/603338-浙江鼎力（603338）：经营韧性强，持续推出差异化产品.pdf,603338,浙江鼎力,浙江鼎力（603338）：经营韧性强，持续推出差异化产品
"倪正洋,谭嘉欣",2025年10月31日│中国内地 专用设备 浙江鼎力发布三季报：Q3实现营收23.39亿元（yoy+2.83%，qoq-4.08%），归母净利5.42亿元（yoy-14.72%，qoq-13.00%）。2025年Q1-Q3实现营收66.75亿元（yoy+8.82%），归母净利15.95亿元（yoy+9.18%），扣非净利15.56亿元（yoy+4.96%）。公司单季度归母净利承压主要由于短期汇率波动导致财务费用同比有较大增长。展望未来，产品端由于公司差异化产品的竞争优势有望持续体现，销售端由于公司在25年积极扩大美国销售服务网略，未来有望持续提升市占率，维持“增持”评级。Q3单季度毛利率同比略降环比增长，关税影响有限2025年Q3单季度毛利率36.12%，同比-1.48pct，环比4.12pct。公司毛利率同比略降主要由于受到一定美国关税影响，但通过成本优化，产品结构调整等多种方式依然保持了较高盈利能力；Q3毛利率环比增长主要由于Q2通常为国内销售旺季，Q3外销占比提升带来盈利能力增长。公司作为出口营收占比较高的企业，多年来已经历贸易摩擦、双反调查等，具备应对海外贸易壁垒的经验及能力。在建设应对预案的同时，公司也通过加快产品创新，加大非贸易摩擦海外市场开拓力度，加大成本管控力度，不断优化供应链，开拓新的应用场景等方式进一步提升综合竞争力，加强自身抗风险能力以应对外部不确定因素。整体费用率有所增长，主要由于财务费用率增长较大2025年Q3公司整体费用率10.34%，同比+4.26pct；其中销售费用率3.18%，同比+0.63pct，管理费用率2.03%，同比-0.37pct，研发费用率3.53%，同比+0.80pct；财务费用率1.60%，同比+3.18pct，财务费用率增加主要由于汇兑损失增加所致。智能平台+机器人，解决船厂痛点船舶修造通常面临 “人、质量、成本、效率、环保”五大痛点，鼎力推出了船身除锈、喷涂机器人以及船底喷涂机器人。在除锈方面，机器人可实时识别锈蚀程度、距离等参数，自动调节压力与除锈力度，实现精准作业，避免基材损伤，提升处理质量。在喷涂环节，通过突破靶向跟踪、启停惯性补偿、时序控制等关键技术，机器人可实现轨迹自动规划、喷枪与作业面恒距垂直控制、换线无延时衔接等功能，自动连续喷涂速率可达每小时450平方米以上。船底喷涂机器人则小巧灵活，可随意进出船坞船底，智能喷涂系统可预设路径和参数，自动调节喷枪移速、喷涂角度和出漆量，具有精准定位、喷涂均匀、物料节省、效率提升10倍、绿色环保等核心优势。盈利预测与估值我们维持盈利预测，预计公司25-27年归母净利润为21.68/24.75/29.44亿元，对应EPS为4.28/4.89/5.81元。可比公司26年ifind一致预期PE均值为11倍，考虑到公司主营产品高机在国内外仍有成长性，且公司在美国具备品牌优势和渠道优势，给予公司26年14倍PE估值，调整目标价为68.46元（前值68.48元，对应16倍25年PE）。风险提示：钢材价格、汇率波动、关税和双反税率变化超预期，市场竞争加剧。,,华泰证券,增持,[None],2025-10-31,,增持,7103041,pdf_downloads/2025/2025-10-31/603338-浙江鼎力（603338）：持续发挥差异化优势，深化平台+机器人.pdf,603338,浙江鼎力,浙江鼎力（603338）：持续发挥差异化优势，深化平台+机器人
"黄瑞连,石城",目标价格： 总市值(亿) 269.07最新收盘价： 53.14 自由流通市值(亿) 269.07事件概述公司发布2025年三季报。业绩符合预期根据公司财报，公司25Q3营收23.4亿元，同比增长2.8%；实现归母净利润5.4亿元，同比下降14.7%。25Q3公司利润产生了季度下滑，或由于公司美线出口部分产品受到了关税影响，且财务费用较去年同期增长较大。公司25Q3毛利率为36.1%，较去年同期下滑了约1.5pct，环比25Q2提升显著。费用端，公司25Q3销售费用为0.74亿元，同比增长28%；25Q3研发费用为0.82亿元，同比增长33%。公司225Q3季度销售费用及管理费用的明显增长，或由于北美市场人员端增长产生。海外市场拓展依旧，长期看好浙江鼎力综合竞争力根据2024年公司年报，2024年公司海外市场收入达55.2亿元，同比增长43.8%，主要系公司收购 CMEC 及积极开拓其他非欧美市场所致；2024年公司海外收入占比达70.8%，较2023年同期提升了10pct，公司国际化战略成果较为显著。做为高空机械龙头，公司是国内企业出海最早，且在欧美市场进展最快的公司，我们同样看好未来公司在新兴市场的持续突破。从产品看，公司2024年臂式产品收入同比增长20.8%，占营收比例达41.2%；海外臂式全年收入增速达47.0%。臂式是公司近年海外的主推产品，且全系列臂式提供了三种动力源——电动、柴油、混动，且公司储备了多款专用产品如船舶喷涂除锈机器人、隧道打孔机器人、玻璃吸盘车等，看好公司保持长期较强产品力，在海外市场逐步取得新成果。外部关税政策阶段性缓和，公司业绩韧性较强。短期宏观环境存在不确定性，在关税扰动的背景下，美线出口部分业务可能存在压力。对于鼎力而言，公司已经长期证明自身的产品力、管理能力、制造能力等，且公司长期保持较高的毛利率水平。外部局势存在不确定性，但是有阶段性缓和迹象，公司稳健的产能策略有望受益。在并表了CMEC后，公司提升了在美国市场增加产能的能力，我们认为公司具备较大关税压力缓和背景下的利润弹性。投资建议参考最新业绩报告，我们调整 25-27 年盈利预测，25-27 年营业收入由89.1/101.2/115.0亿元调整至86.2/96.9/107.0亿元，归母净利润由22.8/25.4/29.1亿元调整至20.9/22.8/25.4亿元，EPS由4.50/5.01/5.74元调整至4.13/4.51/5.02元。公司2025/10/31日收盘股价53.14元，对应25-27年PE为12.9、11.8和10.6倍，维持“买入”评级。风险提示国内市场增长不及预期的风险；国内市场竞争加剧的风险；海外市场拓展不及预期的风险；外部局势不确定情况下关税扰动的风险。,,华西证券,买入,[None],2025-10-31,,增持,7129000,pdf_downloads/2025/2025-10-31/603338-浙江鼎力（603338）：业绩符合预期，出海能力持续提升.pdf,603338,浙江鼎力,浙江鼎力（603338）：业绩符合预期，出海能力持续提升
"周尔双,韦译捷",事件：2025年10月29日，公司发布2025年三季度报告。Q3营收同比+3%，利润受汇兑影响2025年前三季度公司实现营业总收入67亿元，同比增长9%，归母净利润15.9亿元，同比增长9%，扣非归母净利润15.6亿元，同比增长5.0%，非经主要为政府补助和对宏信的股权投资损益。单Q3公司实现营业总收入23亿元，同比增长3%，归母净利润5.4亿元，同比下降15%，扣非归母净利润5.1亿元，同比下降18%。受国内高机行业增速下行，欧洲双反、美国加关税后客户观望情绪加剧，Q2以来公司营收增速放缓。Q3公司利润增速受汇兑影响较大（亏损约7000万），剔除后，公司Q3归母净利润同比下降4%。毛利率同比略有下降，三费控制良好2025年Q3公司实现销售毛利率36.1%，同比下降1.5pct，销售净利率23.2%，同比下降4.8pct。公司毛利率下降主要受欧美关税影响（欧盟双反关税21%，24年起征；美国合计79%，含301、对等、芬太尼和双反），净利率下降主要受汇兑亏损影响。2025年Q3公司期间费用率为10.3%，同比提升4.3pct，其中销售/管理/研发/财务费用率分别为3.2%/2.0%/3.5%/1.6%，同比分别变动+0.6/-0.4/+0.8/+3.2pct，除去财务费用外其余支出维持稳定。欧美情绪消化+价格传导，后续公司业绩有望修复我们看好公司后续业绩修复：（1）国内基数降低，（2）欧盟双反观望情绪逐步消解，且鼎力税率业内最低，有望受益行业价格普涨和份额提升。（3）美国实际下游需求良好（联合租赁Q3上调全年资本开支8%、且美国非住宅建筑投资活跃度维持高水平），公司备库充分，随客户提货业绩将逐步释放。根据我们此前测算，鼎力国内产能对美关税总承受能力约100%，当前关税为79%，较2023-2024年的68%仅增长11pct，公司在美国仍能保持良好盈利能力，远期看，鼎力差异化产品、臂式待放量，且根据我们的产业链调研，公司对关税带来的不确定性也已有方案，无需过度担忧。（4）新兴市场、船坞除锈机器人等非高机板块拓展将继续贡献业绩。盈利预测与投资评级：我们维持公司2025-2027年归母净利润预测值为21/24/28亿元，对应当前市值PE分别为13/11/10x，维持“买入”评级。风险提示：竞争格局恶化、地缘政治冲突等,,东吴证券,买入,[None],2025-10-31,,买入,7068711,pdf_downloads/2025/2025-10-31/603338-浙江鼎力（603338）：2025年三季报快评：Q3归母净利润同比-15%，汇兑阶段性影响增速.pdf,603338,浙江鼎力,浙江鼎力（603338）：2025年三季报快评：Q3归母净利润同比-15%，汇兑阶段性影响增速
"佘炜超,张豪杰",事件：前三季度，公司实现营收66.75亿元，同比增长8.82%；实现归母净利润15.95亿元，同比增长9.18%。三季度收入稳健增长，盈利能力有所降低。第三季度，公司实现营收23.39亿元，同比增长2.83%；实现归母净利润5.42亿元，同比降低14.72%；公司毛利率为36.12%，同比降低1.48pct；净利率为23.2%，同比降低4.81pct。受欧美关税提升影响，公司整体毛利率水平有所降低。三季度财务费用同比增加较多，影响公司净利率水平；第三季度公司研发费用率为3.4%，同比提升0.81pct，公司持续加大研发投入，不断推出针对海外市场需求的新产品，提升产品整体竞争力。海外拓展持续加快，海外收入占比接近80%。公司产品已远销全球100多个国家和地区，同时公司有序布局，先后通过股权合作、适时建立分/子公司并组建本土团队等形式，不断完善海外渠道建设，持续优化海外子公司运营。公司着力加大非贸易摩擦海外市场开拓力度，加强与海外大型租赁公司的合作关系，不断开拓新领域发展新客户。本轮美联储降息后，预计有望带动欧美高空作业平台市场需求回暖，公司海外拓展有望不断加快。公司产品竞争优势明显。公司早已率先于业内完成全系列产品电动化，并推出3年质保，其中采用大载重、模块化设计的全臂式系列更为业内首创，公司也是全球唯一实现批量化生产无油全电环保型剪叉系列的制造商。公司不断拓展新应用场景和领域，拥有船舶喷涂除锈机器人、隧道打孔机器人、大吸力纯电动玻璃吸盘车、路轨两用轨道高空车、无油设计纯电剪叉、模板举升车等众多差异化、高品质新产品，能够有效满足不同客户、不同应用领域的新需求。投资建议：公司产品结构不断优化，市场竞争力逐步增强，未来高质量成长可期。我们预计公司2025-2027年归母净利润分别为20.31/24.00/27.54亿元，对应PE分别为13.1/11.1/9.6倍。维持公司“增持”评级。风险提示：原材料、航运价格大幅上涨，汇率大幅波动，海外贸易环境恶化，市场竞争加剧风险等。,,财通证券,增持,[None],2025-10-29,,增持,7014957,pdf_downloads/2025/2025-10-29/603338-浙江鼎力（603338）：前三季度业绩稳健增长，产品竞争优势显著.pdf,603338,浙江鼎力,浙江鼎力（603338）：前三季度业绩稳健增长，产品竞争优势显著
刘智,浙江鼎力(603338)投资要点：浙江鼎力发布2025半年度报告显示，公司上半年实现营业收入43.36亿元，同比增长12.35%；归母净利润10.52亿元，同比增长27.63%；扣非归母净利润10.50亿元，同比增长21.72%。业绩超出预期，海外收入增长21.25%带动公司业绩逆势增长2025年中报公司营业收入43.36亿元，同比增长12.35%；归母净利润10.52亿元，同比增长27.63%；扣非归母净利润10.50亿元，同比增长21.72%，公司业绩增长超出预期，在上半年国内需求快速下滑的基础上，通过内外需发力实现了逆势高增长。2025年1—7月销售升降工作平台106055台，同比下降31.8%；其中国内销量41794台，同比下降47.7%；出口64261台，同比下降14.9%。2025年国内高空作业平台需求快速下滑，公司国内市场短期承压，公司希望通过增值服务为客户降低全生命周期成本提升盈利能力。公司在业内首推“油改电”技术服务，低成本、高效率、全覆盖的“油改电”方案可以有效助力客户机队电动化改革进程。2025年上半年公司继续深入实施全球化战略，不断完善海外渠道建设，有序推进不同系列高附加值、差异化产品导入及市场开拓工作，实现多点开花。2025年公司实现海外市场营业收入33.74亿元，同比增长21.25%，海外收入占比提升到77.81%。海外业务大幅增长带动公司业绩逆势增长。毛利率净利率稳步上升，盈利能力较强2025年中报公司毛利率为35.75%、同比上升0.45个百分点；净利率为24.27%，同比增长2.9个百分点。净利率上升的主要原因是1）公司毛利率小幅上升，2）公司2025年上半年实现较大汇兑收益，而去年同期汇兑收益为负，因此公司汇兑收益同比增长近2.6亿，推动财务费用率下降近6个百分点，公司期间费用率合计下降2.6个百分点至4.1%。国内需求有望企稳，海外市场进一步拓展公司是国内高空作业平台龙头企业，公司产品矩阵完善，高端产品储备丰富，除臂式、剪叉式、桅柱式200余款通用款产品外，还拥有船舶喷涂除锈机器人、隧道打孔机器人、大吸力纯电动玻璃吸盘车、路轨两用轨道高空车、无油设计纯电剪叉、模板举升车等众多差异化、高品质新产品，能够有效满足不同客户、不同应用领域的新需求。作为全球新能源高空作业平台领军企业，公司创新能力强，技术水平高，尤其在高端、差异化产品市场中竞争优势明显.公司早已率先于业内完成全系列产品电动化，并推出3年质保，其中采用大载重、模块化设计的全臂式系列业内首创。公司产品已远销全球100多个国家和地区，同时公司有序布局，先后通过控股CMEC、建立分/子公司并组建本土团队等形式，多点开花，进一步拓宽海外销售渠道。公司品牌在国内外高空作业平台市场赢得了良好声誉，已连续多年入围全球高空作业设备制造商十强。国内高空作业平台经历持续快速下滑有望企稳，国内需求基数较低，有助于行业复苏。欧洲双反、对等关税等影响有望进一步消化，浙江鼎力的双反税率最低，较其他国内企业出口也具备明显的税收优势。通过更全面的产品矩阵优势和质量优势、更好的海外渠道能力、更强的品牌影响力，公司有望进一步在海外市场持续拓展。盈利预测与估值我们预测公司2025年-2027年营业收入分别为88.11亿、99.71亿、113.47亿，归母净利润预测分别为21.04亿、23.87亿、27.29亿，对应的PE分别为12.32X、10.86X、9.5X。公司估值较低，首次覆盖，给予公司“买入”评级。风险提示：1：国内需求不及预期；2：中美贸易冲突再度升级，加征关税超出预期；3：美海外市场拓展不及预期；4：行业竞争加剧，毛利率下滑；5：原材料价格大幅上涨；6：汇率大幅波动。,,中原证券,买入,[None],2025-09-15,,买入,6440293,pdf_downloads/2025/2025-09-15/603338-浙江鼎力（603338）：业绩超出预期，海外收入高增长带动公司逆势增长.pdf,603338,浙江鼎力,浙江鼎力（603338）：业绩超出预期，海外收入高增长带动公司逆势增长
"刘卓,陈基赟","浙江鼎力(603338)业绩稳步增长，出口持续向好事件描述公司发布2025年中报，2025H1实现营收43.36亿元，同增12.35%；实现归母净利润10.52亿元，同增27.63%；实现扣非归母净利润10.50亿元，同增21.72%。事件点评单Q2扣非归母净利润同比+27.6%。分季度来看，公司2025Q1、Q2分别实现营业总收入18.98、24.38亿元，同比增速分别为30.7%、1.3%；归母净利润4.29、6.23亿元，同比增速分别为41.8%、19.4%；扣非归母净利润4.31、6.19亿元，同比增速分别为14.2%、27.6%。毛利率同比有所提升，费用率明显下降。盈利能力方面，2025H1公司毛利率同增0.44pct至35.75%。费用率方面，2025H1公司期间费用率同减2.58pct至4.12%，其中销售费用率同增1.91pct至3.98%；管理费用率同增1.22pct至3.49%；财务费用率同减5.97pct至-6.68%；研发费用率同增0.26pct至3.33%。持续完善海外渠道建设，海外收入逆势高增。2025H1，在国际贸易严峻的经营环境下，公司继续深入实施全球化战略，持续优化海外子公司运营，不断完善海外渠道建设，有序推进不同系列高附加值、差异化产品导入及市场开拓工作，深化老客户粘性的同时不断开拓新领域发展新客户。2025H1，公司实现海外市场主营业务收入337,425.92万元，同比增长21.25%。有序推动新产能建设，智能制造再添动能。公司已拥有业内智能化、自动化程度最高的高空作业平台制造工厂，覆盖设备数字化设计、柔性化生产、智慧化管理，大幅提升公司高端智能产品的制造优势，智造技术引领行业发展。公司“年产4,000台大型智能高位高空平台项目”产能顺利放量，“年产20,000台新能源高空作业平台项目”正在积极建设中，有望进一步丰富公司产品线，增强差异化优势。盈利预测与估值预计公司2025-2027年营收分别为90.01、100.28、110.55亿元，同比增速分别为15.42%、11.40%、10.25%；归母净利润分别为19.72、22.37、25.21亿元，同比增速分别为21.10%、13.42%、12.70%。公司2025-2027年业绩对应PE估值分别为13.84、12.20、10.83，维持“买入”评级。风险提示：行业景气度不及预期风险；海外市场开拓不及预期风险；市场竞争加剧风险。",,中邮证券,买入,[None],2025-09-02,,买入,6385016,pdf_downloads/2025/2025-09-02/603338-浙江鼎力（603338）：业绩稳步增长，出口持续向好.pdf,603338,浙江鼎力,浙江鼎力（603338）：业绩稳步增长，出口持续向好
"范益民,陈宏洋",事项： 公司发布2025 年半年度报告，2025 年上半年营业总收入43.4 亿元，同比增长12.4%，归母净利润10.5亿元，同比增长27.6%，扣非归母净利润10.5亿元，同比增长21.7%。第二季度营业总收入24.4亿元，同比增长1.3%，归母净利润6.2亿元，同比增长19.4%，扣非归母净利润6.2亿元，同比增长27.6%。评论： 非美海外市场发力，汇兑收益助力期间费用率大幅压减。2025 年上半年，国内高机需求依旧承压，美国贸易摩擦持续升温，为公司海外市场拓展带来巨大挑战，公司依托前瞻性布局，取得了较快的业绩增长。公司积极拓展非欧美市场，2025年上半年现海外市场主营业务收入33.7亿元，同比增长21.25%，占公司营业总收入的77.8%。公司销售毛利率、净利率分别为35.7%、24.3%，分别同比+0.4pct、+2.9pct。销售、管理、研发、财务费用率分别为4.0%、3.5%、3.3%、-6.7%，分别同比+1.9pct、+1.2pct、+0.2pct、-6.0pct，其中销售费用率和管理费用率同比提升明显主要系美国子公司并表带来的影响。二季度毛利率、净利率分别为32.0%、25.6%，分别同比+0.2pct、+3.9pct，销售、管理、研发、财务费用率分别为3.0%、2.2%、3.1%、-8.1%，分别同比+1.0pct、-0.3pct、+0.3pct、-7.7pct，期间费用率在财务费用率大幅下降的带动下降低6.7pct。欧美成熟市场保有量保持稳健，中国臂式占比远低于欧美。据公司公告转引IPAF《IPAF Rental Market Report 2025》数据，2024年全球高空作业平台租赁市场保有量约304万台，其中美国租赁市场保有量为85.81万台，同比持平，包括剪叉48.91万台，臂式34.15万台；欧洲十国保有量为36.53万台，同比增长2%，包括剪叉17.45万台，臂式13.3万台。欧美成熟市场始终保持较高的保有量以及相对稳健的增长，中国高空作业平台市场竞争更加激烈，行业呈现阶段性波动，租赁市场保有量为66.92万台，包括剪叉48.72万台，臂式17.27万台，长期看新增及置换需求依然持续。从产品结构看，美国、欧洲十国高价质量的臂式产品占比分别为39.8%、36.4%，明显高于中国市场的25.8%，预计随着国内对高空作业安全的重视程度不断提升、应用场景更加多元，功能更加完善的臂式产品有望持续放量。多款高空作业机器人实现批量销售，多元化布局解决客户痛点。2024 年以来，公司陆续推出了船舶喷涂除锈机器人、隧道打孔机器人、大吸力纯电动玻璃吸盘车、路轨两用轨道高空车、无油设计纯电剪叉、模板举升车等众多差异化、高品质新产品。其中船身/船底除锈、喷涂机器人目前已批量供货，看好公司通过创造性的研发拓宽下游，有效满足不同客户、不同应用领域的新需求，不断提升行业竞争力。此外，为满足客户对电动化产品的需求，公司针对存量柴动产品推出“油改电”服务，依托于公司模块化设计，只需将柴动模块全套更换为电动模块，无需更换箱体，即可快速实现硬件更替升级，有效助力租赁商机队电动化改革进程。投资建议：公司是国内高空作业平台龙头，臂式产品放量规模效应有望推动公司盈利能力大幅提升，产品广受欧美高端市场青睐，看好自动化程度较高的智能工厂投产为公司业绩带来增量。我们预计公司2025~2027年收入分别为91.73、104.73、120.76亿元，分别同比增长17.6%、14.2%、15.3%，归母净利润分别为21.0、24.0、28.1亿元，分别同比增长28.8%、14.5%、16.7%；EPS分别为4.14、4.74、5.54元，参考可比公司估值，给予2025年16倍PE，对应目标价约为66.3元，维持“强推”评级。风险提示：市场竞争加剧；贸易摩擦；海外宏观经济波动；原材料价格和汇率波动；公司推进相关事项存在不确定性。,,华创证券,强推,[None],2025-09-02,,买入,6384486,pdf_downloads/2025/2025-09-02/603338-浙江鼎力（603338）：2025年半年报点评：业绩符合预期，海外多点开花.pdf,603338,浙江鼎力,浙江鼎力（603338）：2025年半年报点评：业绩符合预期，海外多点开花
