author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts,PE_2年前,PE_1年前,PE_当年,PE_明年,PE_后年,PE_大后年,EPS_2年前,EPS_1年前,EPS_当年,EPS_明年,EPS_后年,EPS_大后年
"盛丽华,陈成","重组八因子稳健增长，抗体产品管线持续丰富2024年公司实现收入25.13亿元，同比增长33.13%，2025Q1公司实现收入5.20亿元，同比下降15.15%。核心产品重组八因子2024全年销售达18.9亿元，同比增长6.18%，2025Q1预计出现一定下滑，在区域联盟集采降价和医保控费等影响下，短期面临一定压力，长期来看预防治疗仍具备广阔市场空间。安佳因在海外多个国家积极推进注册上市和商业化，海外市场有望逐步贡献业绩增量。公司抗体产品2024年实现收入6.2亿元，同比增长499.80%，实现快速增长。菲诺利单抗单药针对头颈部鳞状细胞癌的适应症，以及与贝伐珠单抗联用针对肝细胞癌的适应症已于2025年2月先后取得药品注册证书。实现扭亏为盈，研发进程稳步推进通过控制运营成本、提高研发效率等方式优化管理，公司2024年实现归母净利润1.12亿元，实现扭亏为盈。2024年公司研发投入9.36亿元，SCT1000、SCT650C、SCTB14、SCTV04C等产品临床进展稳步推进。SCTB14（PD1/VEGF双抗）目前正在开展泛瘤种的I/II期临床研究，并已启动该产品联合化疗针对NSCLC的II/III期临床研究，在同类产品中研发进度具备优势。用于多种实体瘤免疫治疗的三特异性抗体注射液SCTB41也已进入I期临床研究。公司在肿瘤和自免两大治疗领域持续深耕，在研产品储备丰富且具备差异化竞争优势。盈利预测：预计公司2025-2027年分别实现营业收入28.27亿元、32亿元和37.07亿元，归母净利润2.23亿元、3.36亿元和5.78亿元。首次覆盖，给予“买入”评级。风险提示：研发进度不及预期风险,市场竞争加剧风险，政策超预期风险。",,中邮证券,买入,[None],2025-07-24,,买入,6246581,pdf_downloads/2025/2025-07-24/688520-神州细胞（688520）：成功实现扭亏为盈，临床管线值得期待.pdf,688520,神州细胞,神州细胞（688520）：成功实现扭亏为盈，临床管线值得期待,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 2.23,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 3.36,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 5.78,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
"赵海春,袁维","业绩简评2025年4月27日，公司发布2024年报和2025年一季报。2024年，公司营收、归母和扣非净利润分别为25.13/1.12/4.74亿元，营收同比增长33%（2023年归母与扣非皆为净亏损）；1Q25单季度营收、归母和扣非净利润分别为5.19/0.64/0.24亿元，分别同比下降15%/14%/85%。业绩符合预期。经营分析 八因子单品强劲，全年首次实现正盈利。（1）重组八因子：公司2024年营收近25亿，同比增长33%；全年首次突破盈亏平衡。重组八因子产品安佳因？销售稳定,全年销售额18.9亿元，同比增长6.18%。在地区及联盟集采降价的情况下，公司仍能借助灵活有效的市场策略，加强拓展市场份额，确保营收增长稳定。此外，安佳因？上市后，公司还开展了通过免疫耐受诱导治疗(ITI)清除患者体内高滴度抑制物、围手术期患者替代治疗等上市后临床研究，拓展产品使用场景。（2）其他生物药：瑞帕妥单抗安平希？及两款生物类似药阿达木单抗安佳润？和贝伐珠单抗安贝珠？均已纳入国家医保目录，营销团队积极推动产品在各省市挂网及医院准入，销售增长明显。公司还持续通过真实世界研究收集并分析更多临床使用数据，涵盖患者多样性、治疗效果及安全性，为优化治疗方案提供科学依据。2024年，三个抗体产品销售额突破6.2亿元，同比增长499.80%。 研发投入持续，管线丰富，蓄力高护城河。（1）2024年度，公司研发投入9.36亿元，主要用于SCT1000、SCT650C及SCTB14等产品的临床研究，以及多个管线储备产品的临床前开发。（2）菲诺利单抗SCT-I10A单药用于一线治疗头颈部鳞状细胞癌和联合贝伐珠单抗一线治疗肝细胞癌的两个适应症，于2025年2月在中国获批上市。（3）公司自研的多个创新生物药及疫苗，包括：治疗中重度斑块状银屑病、中轴型脊柱关节炎等自身免疫性疾病的IL-17单克隆抗体注射液SCT650C、多种实体瘤免疫治疗双特异性抗体注射液SCTB14均已启动II期临床。盈利预测、估值与评级 根据公司24年报和25年一季报，我们下调公司2025/26年营收7%/17%至30/39亿元，下调归母净利润47%/39%至2.24/4.50亿元;预计公司2027年营收49亿，归母净利润7.89亿元。维持“买入”评级。风险提示 新药研发及商业推广不达预期、对外合作不达预期等风险。",,国金证券,买入,[None],2025-04-27,,买入,6026419,pdf_downloads/2025/2025-04-27/688520-神州细胞（688520）：八因子强劲，盈利转正;管线丰富，发力可期.pdf,688520,神州细胞,神州细胞（688520）：八因子强劲，盈利转正;管线丰富，发力可期,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 2.24,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 4.50,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 7.89,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
"赵海春,袁维",业绩简评2024年10月28日，公司发布2024年三季报，2024年前三季度，公司营收、归母和扣非净利润分别为19.37/1.50/4.62亿元，营收同比增长40.44%，2023年同期归母与扣非皆为净亏损；3Q24单季度营收、归母和扣非净利润分别为6.32/0.24/1.22亿元。业绩符合预期。经营分析八因子再创营利双增，全年首次实现盈利在望。（1）业绩：公司2024年前三季度营收近19亿，同比增长40%；继1H24首次实现半年度盈利获得扣非净利润3.4亿元之后，前三季度扣非净利润4.6亿元，全年首次突破盈亏平衡在望。我们分析，主因仍是重组八因子产品安佳因®的市占率提升，产品力继续得到业绩佐证。（2）创新驱动，高水平工艺技术护航产品竞争力。例如，公司多个抗体产品的DNA（脱氧核糖核酸）残留质量标准均为≤100pg/剂量，而与之对比的国外同类产品（贝伐珠单抗、利妥昔单抗、曲妥珠单抗）的DNA残留的质量标准为不超过10ng/剂量。研发投入持续，管线丰富，创新RSV疫苗获批临床。（1）3Q24单季度，公司研发费用2.12亿元；2024年前三季度研发费用6.72亿元，营收占比34.68%。（2）公司目前4个产品获批，3个疫苗品种被国家纳入紧急使用，还有重组蛋白、双抗等诸多管线在研。公司14价HPV（人乳头状病毒）疫苗已完成3期临床研究的第三针接种，目前正处于随访阶段。PD-1（程序性细胞死亡蛋白-1）单抗SCT-I10A单药用于一线治疗头颈部鳞状细胞癌和联合贝伐珠单抗一线治疗肝细胞癌的两个适应症的上市申请已先后于2023年11月及2024年1月获得受理，已顺利完成该两项适应症的注册现场核查工作。除公司在自免领域有白介素等新产品在国内外展开临床外，2024年10月23日，公司又公告新增RSV（呼吸道合胞病毒）疫苗获批临床。（3）公司现有一期、二期生产基地共有5条原液生产线、6条制剂灌装线，已可满足现阶段全部商业化与临床产品需求。同时，N10地块的新产能也在建设中。盈利预测、估值与评级根据公司三季报和近期已经获批新开临床需持续研发投入，我们维持收入预测，预计公司2024/25/26年营收27/36/45亿元，下调归母净利润35%/36%/22%至2.1/4.2/7.3亿元。维持“买入”评级。风险提示新药研发及商业推广不达预期、对外合作不达预期等风险。,,国金证券,买入,[None],2024-10-28,,买入,5804139,pdf_downloads/2024/2024-10-28/688520-神州细胞（688520）：八因子再创营利双增，RSV等多项研发蓄势中.pdf,688520,神州细胞,神州细胞（688520）：八因子再创营利双增，RSV等多项研发蓄势中,"{
    ""forecasts"": [
        {
            ""year"": 2024,
            ""net_profit"": 2.1,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2025,
            ""net_profit"": 4.2,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 7.3,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
"赵海春,袁维","2024年8月21日，公司发布2024半年报，2024上半年营收13亿元，同比增长61.45%，归母净利润/扣非净利润1.26/3.40亿元，2023年同期为亏损1.37/0.22亿元；半年度首次扭亏为盈。业绩符合预期。产品力持续，营收同比高增长61%，半年度首次实现盈利。（1）业绩：公司1H24营收同比增长61.45%，半年度首次实现盈利，扣非净利润3.4亿元；主因重组八因子产品安佳因®的市占率提升，产品力继续得到业绩佐证。（2）技术高水平；比如，公司多个抗体产品的DNA（脱氧核糖核酸）残留质量标准均为≤100pg/剂量，而与之对比的国外同类产品（贝伐珠单抗、利妥昔单抗、曲妥珠单抗）的DNA残留的质量标准为不超过10ng/剂量；公司八因子的比活达到7,590~13,340 IU/mg蛋白，高于国内外同类产品比活标准。商业化与在研管线皆丰富，多产品矩阵初具规模，后劲可期。（1）1H24，公司整体研发投入4.76亿元；报告期内，公司新增境内外发明专利申请3个，新获30个发明专利授权。（2）公司目前4个产品获批，3个疫苗品种被国家纳入紧急使用，还有重组蛋白、双抗等诸多管线在研。公司14价HPV（人乳头状病毒）疫苗已完成3期临床研究的第三针接种，目前正处于随访阶段。PD-1（程序性细胞死亡蛋白-1）单抗SCT-I10A单药用于一线治疗头颈部鳞状细胞癌和联合贝伐珠单抗一线治疗肝细胞癌的两个适应症的上市申请已先后于2023年11月及2024年1月获得受理，已顺利完成该两项适应症的注册现场核查工作。公司SCT650C产品正在开展银屑病适应症的国内Ib期临床研究，并已启动中轴型脊柱关节炎（强直性脊柱炎）适应症的全球多中心（土耳其和中国）II期临床研究。公司自主开发的用于治疗CD38阳性血液系统恶性肿瘤的单抗产品SCTC21C、用于治疗CD20阳性B细胞非霍奇金淋巴瘤的双特异性抗体产品SCTB35、用于治疗多种实体瘤的双特异性抗体产品SCTB14均已启动I期临床研究。（3）公司现有一期、二期生产基地共有5条原液生产线、6条制剂灌装线，已可满足现阶段全部商业化与临床产品需求。同时，N10地块的新产能也在建设中。我们维持盈利预测，预计公司2024/25/26年营收28.25/37.43/ 45.00亿元，归母净利润3.25/6.65/9.34亿元。维持“买入”评级。新药研发及商业推广不达预期、对外合作不达预期等风险。",,国金证券,买入,[None],2024-08-21,,买入,5729223,pdf_downloads/2024/2024-08-21/688520-神州细胞（688520）：八因子持续发力，营收高增，半年度扭亏为盈.pdf,688520,神州细胞,神州细胞（688520）：八因子持续发力，营收高增，半年度扭亏为盈,"{
    ""forecasts"": [
        {
            ""year"": 2024,
            ""net_profit"": 3.25,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2025,
            ""net_profit"": 6.65,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 9.34,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
赵海春,"2024年4月25日，公司发布公告，2024年1季度营收6.12亿元，同比增长86.30%；归母净利润7419.74万元，扣非归母净利润1.60亿元，单季度首次扭亏为盈。业绩符合预期。重组八因子安佳因增长强劲，单季扭亏，经营性现金流转正。（1）公司自2021年重组八因子首次获批至今，该产品2021/22/23年分别销售1.34、10.23和17.8亿元，连续3年营收高增长。2023年1月底，安佳因用于12岁以下儿童甲型血友病患者出血的控制和预防适应症的补充申请获得批准，进一步拓宽了产品的适用患者群体。1Q24公司营收同比高增86%，亦是主要得益于八因子销售的持续增长。（2）1Q24,公司经营性净现金流量1.75亿元，首次转正。研发投入持续，管线陆续商业化，多产品矩阵初具规模，后劲可期。（1）2023年，公司整体研发投入1.22亿元，同比增长25%，主要用于SCTV01、SCT1000、SCT-I10A等产品的临床中后期研究，以及众多产品的临床前开发。知识产权储备方面，报告期内，公司新增境内外发明专利申请34个，PCT国际专利申请2个，新获得24个发明专利授权。（2）商业化方面：在2023年底的国家医保谈判中，公司的CD20进入医保目录；PD-1单抗SCT-I10A单药用于一线治疗头颈部鳞状细胞癌和联合贝伐珠单抗一线治疗肝细胞癌的两个适应症的上市申请已先后于2023年11月及2024年1月获得受理。临床方面：①公司14价HPV疫苗产品SCT1000于2023年8月启动Ⅲ期临床研究入组后，2个月内即完成全部18000名受试者的入组。②公司SCT650C产品已在澳大利亚开展健康受试者的Ia期临床试验，目前已取得国内临床试验批件并启动Ib/II期临床研究。③公司自主开发的用于CD38单抗、CD20双抗等产品，均于近期获得临床批件并将陆续启动临床研究。根据公司财报中披露重组八因子产品在各省陆续进入集采，定价将会有所下降，以及公司新近获批多项临床批件将陆续启动临床研究而带来研发费用的增长可能，我们分别下调公司2024/25年的营收7%/17%至28.3/37.4亿元，归母净利润3%/29%至3.3/6.8亿元；预计公司2026年营收/归母净利润45.0/9.8亿元。维持“买入”评级。新药研发及商业推广不达预期、对外合作不达预期等风险。",,国金证券,买入,[None],2024-04-26,,买入,5606037,pdf_downloads/2024/2024-04-26/688520-神州细胞（688520）：公司点评：重组八因子持续发力，单季度首次扭亏为盈.pdf,688520,神州细胞,神州细胞（688520）：公司点评：重组八因子持续发力，单季度首次扭亏为盈,"{
    ""forecasts"": [
        {
            ""year"": 2024,
            ""net_profit"": 3.3,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2025,
            ""net_profit"": 6.8,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 9.8,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
余汝意,公司2023年业绩快速增长，2024年一季度首度实现盈利2023年公司实现营收18.87亿元，同比增长84.46%；归母净亏损3.96亿元，亏损同比减少23.70%；扣非后归母净亏损0.64亿元，亏损同比减少83.91%。公司2024年一季度实现营收6.13亿元，同比增长86.3%，归母净利润0.74亿元，扣非归母净利润1.57亿，实现由亏转盈。公司核心产品重组八因子（安佳因）2023年销售收入持续快速增长，基本符合预期。鉴于公司在研发及销售端持续保持投入，我们下调2024-2025年并新增2026年盈利预测，预计2024-2026年归母净利润为3.42/7.19/9.57亿元（原预计4.14/10.30亿元），EPS为0.77/1.62/2.15元，当前股价对应PE为56.5/26.9/20.2倍，公司商业化产品矩阵初具规模，后续增长点较多，维持“买入”评级。重组Ⅷ因子国内持续快速放量，海外布局进展顺利公司重组人凝血因子VIII产品（安佳因）2023年销售额约17.8亿元，同比增长77%，产品毛利率97.42%，同比增长0.53pp。公司依托具有较强竞争力的产能和成本优势，积极应对竞争加剧及各省市集采的挑战，确保安佳因在各重点省份的集采中标，实现了产品销量持续快速增长，市场占有率稳步提升。报告期内，安佳因已分别向巴基斯坦、巴西、印度尼西亚、印度等多国提交药品注册申请，预计2025年安佳因于海外上市后，将为公司带来业绩增量。商业化产品矩阵初具规模，临床管线快速推进公司首个抗体药物瑞帕妥单抗于2023年12月顺利进入医保，为2024年产品进入更多医院和打开销售空间奠定了基础；阿达木单抗生物类似药和贝伐珠单抗生物类似药于2023年6月先后获批上市，未来将逐步贡献销售收入。此外，PD-1单抗菲诺利单抗注射液申报头颈鳞癌以及联合贝伐珠单抗一线治疗肝细胞癌获NMPA受理。公司2023年研发费用11.48亿元，同比增长29.59%，其中约3.7亿元投入新冠疫苗，预计2024年研发费用同比将有所下降。风险提示：产品销售不及预期；竞争格局恶化；新品上市不及预期；产品出海不及预期等风险。,,开源证券,买入,[None],2024-04-26,,买入,5602612,pdf_downloads/2024/2024-04-26/688520-神州细胞（688520）：重组八因子持续快速放量，助推公司实现扭亏为盈.pdf,688520,神州细胞,神州细胞（688520）：重组八因子持续快速放量，助推公司实现扭亏为盈,"{
    ""forecasts"": [
        {
            ""year"": 2024,
            ""net_profit"": 3.42,
            ""eps"": 0.77,
            ""pe"": 56.5
        },
        {
            ""year"": 2025,
            ""net_profit"": 7.19,
            ""eps"": 1.62,
            ""pe"": 26.9
        },
        {
            ""year"": 2026,
            ""net_profit"": 9.57,
            ""eps"": 2.15,
            ""pe"": 20.2
        }
    ]
}",,,56.5,26.9,20.2,,,,0.77,1.62,2.15,
赵海春,"事件2024 年 1 月 25 日，公司公告，预计 2023 年营收 18.5~19.1 亿
元，同比增长 81.12%~86.98%；归母净亏损 3.8~4.1 亿元，同比
减亏 21.19%~26.98%；扣非归母净亏损 5000~8000 万元，同比减
亏 79.61%~87.19%。国产首个重组八因子持续发力，2023年营收近19亿；新冠、14价HPV等进入3期，研发费用阶段性增高。（1）公司自2021年重组八因子首次获批至今， 2021/22/23年分别销售1.34亿、10亿和近19亿，连续3年营收快速增长，产品力得到验证。（2）随着公司产品管线的不断推进，主要包括14价HPV疫苗、新冠疫苗在内的公司部分在研产品在报告期内先后进入或完成关键性临床研究，临床研发支出较大，导致公司报告期内研发费用持续上升。（3）公司多个在研产品先后上市，涉及的疾病预防及治疗领域逐渐多样化。为推动公司产品的商业化进程，不断提高市场占有率，市场营销团队进一步扩充，相应的人员薪酬、推广费等销售费用也持续增加。实控人拟认购定增9亿元，信心夯实，资产结构优化；多管线商业化推进，后劲可期。（1）2023年12月，公司公告，实际控制人拟认购公司定增9亿元。此次定增，一方面是基于实控人对公司发展前景的信心和对公司业务发展的支持；另一方面，本次发行完成后，公司总资产和净资产将同时增加，资金实力将有所提升，公司将进一步降低资产负债率、改善财务状况、优化财务结构，增强公司的偿债能力，降低公司的财务风险，有助于进一步提升主营业务竞争力，促进可持续发展。（2）在2023年底的国家医保谈判中，公司的CD20进入医保目录；PD-1头颈鳞癌适应症，国产首家提交了上市申请；PD-l联合贝伐1线治疗晚期肝癌适应症，也于2024年1月提交了上市申请；14价HPV全球首家临床3期。公司管线正处于商业化陆续兑现中。并且，公司的全球最高价14价HPV在临床三期，未来潜在全球合作的可能性较大。而公司新获批二代4价新冠疫苗，亦是全球最高价新冠疫苗。公司国际化水平的研发实力在诸多已商业化或临床推进项目中可见。我们根据公司业绩预告，上调公司2023/24/25年营收3%/8%/0%至19/31/45亿元；根据公司预告的研发费用情况，下调归母净利润70%/36%/33%至-3.96/3.38/9.67亿元。维持“买入”评级。风险提示定增发行不达预期、新药研发及商业推广不达等预期。",,国金证券,买入,[None],2024-01-25,,买入,5500445,pdf_downloads/2024/2024-01-25/688520-神州细胞（688520）公司点评：产品力持续，2023年营收再增八成至近19亿元.pdf,688520,神州细胞,神州细胞（688520）公司点评：产品力持续，2023年营收再增八成至近19亿元,"{
    ""forecasts"": [
        {
            ""year"": 2023,
            ""net_profit"": -3.96,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2024,
            ""net_profit"": 3.38,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2025,
            ""net_profit"": 9.67,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
余汝意,公司拟定增实控人不超过9亿元，对上市公司未来发展充满信心2023年12月15日，拟向特定对象发行不超过2226.6万股，募资总额不超过9亿元。本次发行对象为公司实控人谢良志及控股股东拉萨爱力克，其中谢良志拟认购不超过人民币1500万元（含本数），拉萨爱力克拟认购不超过人民币8.85亿元（含本数）。本次发行相关议案已经公司董事会审议通过，尚需提交公司股东大会审议。相关事项尚需上海交易所审核通过并经中国证监会作出同意注册后方可实施。此次定增由实控人全额认购，体现了实控人对公司未来发展充满信心。我们维持2023-2025年的归母净利润预测-0.27/4.14/10.30亿元，2023-2025年的EPS为-0.06/0.93/2.31元，当前股价对应PE分别为-917.2/60.2/24.2倍。维持“买入”评级。拟定增资金有助于优化公司资产结构，进一步提升公司竞争力通过本次定增，公司的资金实力将得到提升，为公司经营提供有力的资金支持。补充营运资金能够改善公司财务结构，降低资产负债率，提高经营安全性和资产流动性。本次定增可以保障公司研发投入，提升公司核心竞争力，公司致力于研发具备差异化竞争优势生物药的创新药企，持续的研发投入是公司保持领先地位和核心竞争力的必要手段。产品商业化和研发持续推进，产品管线逐渐丰富公司重组凝血八因子上市后处于快速放量阶段，已上市产品还有CD20单抗、阿达木单抗生物类似药和贝伐珠单抗生物类似药。在研产品中，14价HPV疫苗处于临床Ⅲ期，VEGF单抗、EGFR单抗等产品也处于临床中。我们预计随着公司产品管线的持续丰富，公司的竞争力将进一步增强。风险提示：定增发行不及预期、产品销售不及预期；产品研发进度不及预期。,,开源证券,买入,[None],2023-12-19,,买入,5451080,pdf_downloads/2023/2023-12-19/688520-神州细胞（688520）：公司信息更新报告：公司拟定增实控人不超过9亿元，进一步提升公司竞争力.pdf,688520,神州细胞,神州细胞（688520）：公司信息更新报告：公司拟定增实控人不超过9亿元，进一步提升公司竞争力,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 10.30,
            ""eps"": 2.31,
            ""pe"": 24.2
        }
    ]
}",,,,,24.2,,,,,,2.31,
赵海春,2023 年 12 月 15 日，公司公告，拟向特定对象发行不超过 2226.62万股（含），募资总额不超过9亿元（含）人民币。本次发行对象为公司实控人谢良志及控股股东拉萨爱力克，谢良志拟认购不超过人民币1500万元（含本数），拉萨爱力克拟认购不超过人民币8.85亿元（含本数）。本次发行相关议案已经公司董事会审议通过，本次发行尚需提交公司股东大会审议。本次发行相关事项尚需上海交易所审核通过和中国证监会同意予以注册。实控人及控股股东增持9亿元，信心夯实，财务改善，资产结构优化。（1）本次公司实际控制人及控股股东（前者亦是控股股东拉萨爱力克实控人）认购本次发行的全部股票，是基于对公司发展前景的信心和对公司业务发展的支持。本次发行募集资金扣除相关发行费用后将全部用于补充流动资金，本次发行完成后，公司总资产和净资产将同时增加，资金实力将有所提升，公司将进一步降低资产负债率、改善财务状况、优化财务结构，增强公司的偿债能力，降低公司的财务风险，有助于进一步提升主营业务竞争力，促进可持续发展。（2）本次发行股票不会导致公司实际控制人及控股股东发生变化。公司不会因本次发行对高管人员进行调整，高管人员结构不会发生变动。（3）本次发行完成后，公司不会因本次发行产生被控股股东及其关联人占用公司资金、资产或为其提供担保的情形。CD20进医保，PD-1头颈鳞癌国产首家NDA，14价HPV全球首家临床3期，实力逐一展现与商业化兑现中。（1）公司国产首个重组八因子从获批首年的1亿多到第二个完整销售年度的十数亿元，增长验证产品力。而相较于只有51个氨基酸的胰岛素，该产品有2332个氨基酸，是最难合成重组蛋白。（2）公司CD20此次谈判进医保目录，2024年放量在即。PD-1头颈鳞癌适应症为国产首个提交上市申请，肝癌一线适应症也报产在望。全球最高价14价HPV在临床三期，未来潜在全球合作的可能性较大。而公司新获批二代4价新冠疫苗，亦是全球最高价新冠疫苗。公司国际化水平的研发实力在诸多已落地项目中可见。鉴于本次发行仍需股东会通过等程序后方可确认，我们暂时不调整公司资产结构的预测，并维持盈利预测，预计公司2023/24/25年营18/28/45亿元，归母净利润分别为-2.33/5.24/14.42亿元。维持“买入”评级。定增发行不达预期、新药研发及商业推广不达等预期。,,国金证券,买入,[None],2023-12-16,,买入,5445963,pdf_downloads/2023/2023-12-16/688520-神州细胞（688520）公司点评：实控人定增公司9亿元，资产优化，信心夯实.pdf,688520,神州细胞,神州细胞（688520）公司点评：实控人定增公司9亿元，资产优化，信心夯实,"{
    ""forecasts"": [
        {
            ""year"": 2023,
            ""net_profit"": -2.33,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2024,
            ""net_profit"": 5.24,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2025,
            ""net_profit"": 14.42,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
赵海春,(BA.1/BQ.1.1/XBB.1)变异株S三聚体蛋白疫苗SCTV01E-2，在中国获批紧急使用。此前，公司自研PD-1菲诺利单抗治疗头颈部鳞状细胞癌（HNSCC）的新药上市申请（NDA）获受理，这将是此适应症的首个国产PD-1。含XBB亚种S蛋白的新4价新冠疫苗，对目前流行毒株具有更强针对性，并对其各亚种更具广谱性。（1）SCTV01E-2是新四价重组蛋白路线的新冠疫苗，这是公司继安诺能2和4（重组新冠疫苗2价和4价Alpha/Beta/Delta/Omicron变异）之后的第三个重组蛋白路线的新冠疫苗获批。（2）SCTV01E-2在SCTV01E的基础上，保留了Beta和Omicron BA.1两种变异株的S三聚体蛋白抗原，将早期变异株Alpha和Delta替换成了当前主要流行变异株BQ.1.1和XBB.1的S三聚体蛋白抗原，构建了迭代新冠疫苗，以增强对当前多个主要流行毒株的针对性和对其子变异株的广谱性。前述品种都采用比传统铝佐剂更能增强 Th1 细胞反应的水包油的新型佐剂。（3）根据国际专业病毒研究平台Nextstrain最新数据显示，迄今（过去6个月）全球新冠病毒变种基本都来自2021年的BA.2毒株的亚种XBB毒株的各种子变种。详见文后图表。菲诺利（PD-1）单抗针对头颈鳞癌的国产首个申请上市获受理，研发实力再获验证，空间可期。（1）菲诺利单抗是公司自主研发的重组人源化抗PD-1 IgG4型单抗。头颈部肿瘤，主要包括口腔癌、鼻咽癌、喉癌、下咽癌和甲状腺癌，其中鳞状细胞癌占90%以上。据权威数据显示，2021年中国新确诊头颈癌（HNSCC）患者约14.8万，70%～80%头颈部恶性肿瘤患者确诊时已是局部晚期或晚期，经放化疗等传统综合治疗方案治疗后仍较易复发和转移。而免疫检查点抑制剂在头颈部鳞癌治疗中的疗效不断显现。（2）目前国内仅有默沙东的Keytruda单药于2020年12月11日获批治疗1L HNSCC；其次进度较快的还有君实生物的特瑞普利单抗联合西妥昔单抗治疗HNSCC（1b/2期数据读出）。该适应症竞争格局好，空间可观。（3）此外，根据公司2022年报显示，菲诺利单抗一线肝癌用药的三期临床，当年已完成入组；我们预计，此新适应症的报产在望。我们维持盈利预测，预计公司2023/24/25年营18/28/45亿元，归母净利润分别为-2.33/5.24/14.42亿元。维持“买入”评级。风险提示：新药研发及商业推广不达预期、市场竞争加剧等风险。,,国金证券,买入,[None],2023-12-03,,买入,5412480,pdf_downloads/2023/2023-12-03/688520-神州细胞（688520）：PD-1头颈鳞癌NDA，新疫苗获批，实力再验证.pdf,688520,神州细胞,神州细胞（688520）：PD-1头颈鳞癌NDA，新疫苗获批，实力再验证,"{
  ""forecasts"": [
    {
      ""year"": 2023,
      ""net_profit"": -2.33,
      ""eps"": null,
      ""pe"": null
    },
    {
      ""year"": 2024,
      ""net_profit"": 5.24,
      ""eps"": null,
      ""pe"": null
    },
    {
      ""year"": 2025,
      ""net_profit"": 14.42,
      ""eps"": null,
      ""pe"": null
    }
  ]
}",,,,,,,,,,,,
