author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
赵中平,"投资逻辑：公司深耕动力运动产业三十余年，已构筑全地形车、燃油摩托车、电动两轮车三大业务板块，境内外经销商渠道25H1已分别达2000余家，7000余家。公司核心价值在于其成熟的全球化产能布局、精准的细分市场卡位以及极核电动业务的快速增长潜力。电动两轮车：极核销量快速增长，高端智能定位迎盈利拐点。品牌避开低端低价红海，坚持“油摩性能+智能科技”差异化高端定位，继承母品牌油摩般车架调教，智能化水平跻身行业第一梯队。渠道网点25H1已达1500家规模，公司预计未来3年新增4900家，未来销量增长叠加规模效应，我们预测业务有望跨越盈亏平衡点。全地形车：存量博弈寻Alpha，产品结构向上&amp;全球产能重构。行业端北美市场消费偏好维持高价值UTV/SSV趋势；公司端改变单一依赖ATV局面，新品U10PRO凭借性价比优势成功切入高端腹地，未来产品将逐渐从性价比平替转向高价值驱动。墨西哥工厂产能爬坡有效对冲关税与地缘风险，构建有较强竞争力的供应链体系。燃油摩托车：出口成为增长新动能，CFLite战略市场下沉。公司中大排量段产品力已获市场认可，国内业务维持龙头地位。针对境外东南亚及拉美等新兴千万级市场，公司推出CFLite品牌实施技术下放低端工具车领域，有望为公司贡献新的业绩增量。近期募资动态：公司的可转债发行申请于2025年12月30获得证监会同意批复。募集资金总额不超过人民币 21.79亿元。用于1）产能扩建：年产 300万台套摩托车、电动车及核心部件研产配套新建，14.59亿元。2）营销网络建设：4.50亿元。3）信息化系统升级建设：1.20亿元。4）补充流动资金：1.50亿元。盈利预测、估值和评级我们预计公司未来三年营收196/245/296亿元，同比+31%/25%/21%；期间费用率为14.8%/15.3%/15.7%；归母净利润17/21/25亿元，同比+18%/20%/18%。考虑到公司电动两轮车业务持续扩张，毛利率有望转正；全地形车业务在高端UTV市场爆款高性价比产品持续放量；油摩业务境内中大排量持续领先，海外小排量CFLITE逐渐放量，我们给予公司2026年21倍P/E，对应目标价287.03元。首次覆盖,给予“买入”评级。风险提示美国贸易环境恶化及关税政策变动风险；汇率波动风险；新品推广与产品竞争不及预期风险；控股股东减持股份及股价波动风险。",,国金证券,买入,[None],2026-02-19,,买入,8427287,pdf_downloads/2026/2026-02-19/603129-春风动力（603129）：极核接棒增长主引擎全球结构变化迎新驱动力.pdf,603129,春风动力,春风动力（603129）：极核接棒增长主引擎全球结构变化迎新驱动力
"崔琰,姜煦洲",月度销量表现亮眼 公升级车型亮相米兰展事件：据中国摩托车商会数据，公司10月燃油摩托车销量1.7万辆，同比+12.3%，环比-1.2%；极核电摩（不包含电自）销量2.8万辆，同比大幅增长。四轮沙滩车出口销量为1.9万辆，同比+43.3%，环比+14.3%。两轮车：出口销量同比高增 极核发展持续提速。中大排摩托车：公司10月250cc+摩托车1.1万辆，同比+27.8%，环比-13.8%，1-10月累计销量16.6万辆，同比+35.6%，市场份额提升至20.2%，较2024年全年+0.4pcts，全新高端675cc三缸车型销量5.5万辆，同比+510.5%，产品结构持续优化升级；出口端：公司两轮摩托车出口同比恢复高增长，10月销量为1.1万辆，同比+50.1%，环比+2.8%；1-10月累计出口11.6万辆，同比+20.6%，2025H2起随着全新渠道的导入，两轮车出海业务有望持续回暖；极核品牌：公司极核电摩（不包含电自）10月销量2.8万辆，同比+141.0%。2025年1-10月极核电摩销量25.3万台，同比大幅增长，极核渠道加速扩张，国内实现核心城市全覆盖，国际已拓展至30余个国家和地区。四轮车：深入挖掘美国市场 看好四轮高端化布局。10月四轮沙滩车出口销量为1.9万辆，同比+43.3%，环比+14.3%，接近历史单月新高；1-10月累计销量15.1万辆，同比+9.7%。公司保持稳健发展态势，2025年上半年欧洲市场继续蝉联市占率第一，美国市场持续开拓，核心新品U10PRO凭借性能与品质升级迅速出圈，零售端表现抢眼，带动公司四轮车ASP持续提升。公司中长期则有望依凭产品线扩充（U/Z 系列高端化）、性价比优势持续提升市场份额。2025米兰展：高端新车频出 公升级车型亮相。（1）全新旗舰ADV：1000MT-X：公司完全自主研发的公升级ADV。它搭载了946cc直列双缸发动机，最大功率83kW（约113马力），最大扭矩105N·m。车辆配备了六轴IMU、弯道ABS、可调牵引力控制系统、双向电子快排以及全可调的KYB悬挂和布雷博制动系统，电控配置全面。此外，诸如电动可调风挡、加热手把与坐垫等舒适性配置，也让它成为一款兼顾越野与长途旅行的硬派ADV。（2）性能旗舰原型：V4 SR-RR Prototype：公司展示技术实力的里程碑之作。它搭载了一台997cc的90°V4发动机，曲轴功率超过157kW（约210马力），功率重量比达到0.86 kg/hp，跻身顶级性能超跑行列。外观上采用了先进的空气动力学设计，包括主动式定风翼，并配备了半主动电子悬挂和高阶动力控制系统。投资建议：长期看好公司两轮车出口和四轮高端化布局，我们预计公司2025-2027年营收199.1/245.1/295.0亿元，归母净利润18.6/23.8/29.3亿元，EPS为12.19/15.61/19.21元。对应2025年11月14日242.36元/股收盘价，PE分别20/16/13倍，维持“推荐”评级。风险提示：摩托车市场竞争加剧；海外四轮需求不及预期；汇率波动等。,,民生证券,推荐,[None],2025-11-16,,增持,7934923,pdf_downloads/2025/2025-11-16/603129-春风动力（603129）：系列点评十二：月度销量表现亮眼，公升级车型亮相米兰展.pdf,603129,春风动力,春风动力（603129）：系列点评十二：月度销量表现亮眼，公升级车型亮相米兰展
"秦一超,杨家琛,童心怡",【投资要点】公司发布2025年三季报。25年前三季度，公司实现营收149.96亿元，同比+30.1%；实现归母净利润14.15亿元，同比+30.9%；实现扣非归母净利润13.50亿元，同比+28.6%；实现经营活动净现金流32.08亿元，同比+42.8%。单Q3看，公司实现营收50.41亿元，同比+28.6%；实现归母净利润4.13亿元，同比+11.0%；实现扣非归母净利润3.99亿元，同比+10.1%。分产品看：两轮出口修复+极核放量拉动收入增长四轮车：据中国摩托车商会数据，25年7-8月合计出口3.0万辆，同比+6.7%；出口额1.7亿美元，同比+29.6%。产能方面，目前墨西哥工厂月产能达1500台，年化接近2万台（设计产能5万台/年），主要生产U10 Pro车型，预计26年有望继续爬产，完成对美高端U\Z产品的产能覆盖。关税方面，公司持续推进美墨加协定合规工作，提升产品本地化率以争取免税政策支持。两轮车：据中国摩托车商会数据，25年7-8月，两轮出口合计2.32万辆，同比+67%。我们预计26年高端产品和低端子品牌两端发力，750等新品及CFlite将贡献成长增量。极核：Q3销量大幅增长，据中国摩托车商会数据，25年7-8月，春风极核销量合计6.97万辆，同比+603%。盈利能力：Q3毛利率为26.14%，同比-4.71pct，我们判断主要因美国关税成本增加，以及低毛利业务极核电动的收入大幅提升。费用端方面，公司销售/管理/研发/财务费用率分别为6.18%/4.12%/5.96%/-1.17%，同比分别-1.63pct/+0.85pct/-0.99pct/-1.81pct，费用管控良好。综合影响下，公司Q3净利率为8.76%，同比-0.98pct。我们预计随着26年美加墨认证完成及四轮高端新品放量，盈利能力将得到修复。全球化布局+多元市场拓展抵御关税扰动。目前，公司已在杭州、泰国和墨西哥建立了生产基地，形成了多点支撑的生产体系。其中，墨西哥工厂主要面向北美市场供应U\Z产品；泰国工厂则主要供应ATV产品，三地产能可灵活调配，减少关税波动对生产成本的影响。同时，公司积极拓展非美市场，降低对美国市场的依赖。在欧洲四轮车市场中常年市占率第一，份额达40%，后续有望凭借“CFMOTO”、“GOES”双品牌战略以及产品结构的升级实现市场份额和产品均价的进一步提升；面向拉美市场则推出“CFlite”品牌，深挖出行需求推广踏板车等实用车型，培育新增长极。【投资建议】公司围绕“全球化、电动化、智能化”的战略方向，持续丰富产品矩阵，内外销协同发力，具备多层次的竞争优势。考虑U\Z 产品报关重分类导致的一次性关税成本影响，我们调整25年归母净利润为17.5亿元，预计26-27年归母净利润分别为24.8/30.9亿元，25-27年对应EPS分别为11/16/20元，对应2025年10月30日收盘价PE分别为22/16/12倍，维持“增持”评级。【风险提示】 市场竞争加剧风险； 新品拓展不及预期风险； 贸易政策变动风险。,,东方财富证券,增持,[None],2025-11-03,,增持,7327243,pdf_downloads/2025/2025-11-03/603129-春风动力（603129）：业绩符合预期，关税扰动下经营显韧性.pdf,603129,春风动力,春风动力（603129）：业绩符合预期，关税扰动下经营显韧性
"孟昕,赵梦菲,金桐羽",事件：2025年10月16日，春风动力发布2025年三季报。2025前三季度公司实现营收148.96亿元（+30.10%），归母净利润14.15亿元（+30.89%），扣非归母净利润13.50亿元（+28.61%）。2025Q3营收保持快增趋势，业绩实现双位数增长。1）收入端：2025Q3公司营收达50.41亿元（+28.56%），收入端保持快速增长态势。2）利润端：2025Q3公司归母净利润达4.13亿元（+11.00%），实现双位数增长主系公司业务规模持续扩张，叠加市场促销力度同比有所放缓，致使利润空间得到逐渐释放。2025Q3盈利能力短期承压，管理费用率小幅上涨。1）毛利率：2025Q3公司毛利率为26.14%（-5.43pct），盈利能力短期承压，或系受到原材料价格波动和关税政策反复的影响。2）净利率：2025Q3净利率达8.76%（-0.98pct），降幅明显小于毛利率，主系公司在期间费用上进行了有效管控。3）费用端：2025Q3公司销售/管理/研发/财务费用率分别为6.18/4.12/5.96/-1.17%，同比-2.35/+0.85/-0.99/-1.81pct，管理费用率小幅上涨或系公司业务规模扩大所致。投资建议：行业端，全球全地形车市场量稳质升，国内消费者教育强化；摩托车出口上行，消费者升级置换需求及海外市场拓展赋能行业成长；以旧换新+智能化升级有望进一步刺激需求。公司端，系国内行业龙头，品牌深耕与拓展市场加速，产品矩阵持续丰富，四轮车聚焦大排量与场景化细分，两轮车新品补充兼顾性能与舒适性，电动车发力个性化与智能化设计；提升墨西哥、泰国基地对美产品输出占比，加码墨西哥本土零部件自制与采购，同时供应链持续升级，有望支撑公司收入业绩持续增长。我们预计，2025-2027年公司归母净利润分别为19.54/24.43/30.62亿元，对应EPS分别为12.81/16.01/20.07元，当前股价对应PE为19.71/15.77/12.58倍。维持“买入”评级。风险提示：数据安全及个人信息保护风险、新业务拓展不及预期风险、全球化经营风险、原材料价格波动风险等。,,太平洋证券,买入,[None],2025-10-27,,买入,6860863,pdf_downloads/2025/2025-10-27/603129-春风动力（603129）：2025Q3业绩快速增长，关税等因素致使净利率短期波动.pdf,603129,春风动力,春风动力（603129）：2025Q3业绩快速增长，关税等因素致使净利率短期波动
周心怡,事件：根据同花顺iFind，公司今年前三季度实现营业收入/归母净利润分别为148.96/14.15亿元，分别同比+30.10%/+30.89%；单2025Q3实现营业收入/归母净利润50.41/4.13亿元，分别同比+28.56%/+10.72%，分别环比-10.06%/-29.64%，增长趋势有所放缓。全地形车行业整体出口持平去年，公司作为龙头享有份额集中优势：2025年1-6月，全地形车出口22.73万辆，同比下滑0.22%；出口金额累计6.61亿美金，同比增长18.46%，其中春风动力全地形车出口额占全国总出口额的74.05%，继续蝉联行业龙头地位。2025上半年，公司全地形车业务实现收入47.31亿元，同比增长33.95%，预计销量微增，主要受大排量趋势下，均价提升的影响。摩托车行业出口稳定增长，国内市场高端化趋势显著，终端需求旺盛：根据中国摩托车商会数据，2025年1-8月，我国摩托车整车出口量为1204.95万辆，较去年同期增长30.38%，出口额为75.33亿美元，较去年同期增长34.63%，其中，新兴地区表现亮眼，拉丁美洲出口量最多，非洲出口涨幅最大。国内市场结构分化加剧，娱乐化、高端化趋势日益显著，中大排量休闲娱乐摩托车表现尤为亮眼，今年1-6月产销分别为51.05万辆和50.20万辆，同比增长44.74%和41.21%。电动两轮车业务高速成长，第三曲线打开增量空间：子品牌极核凭借高性能电机和智能化电池管理系统为核心，定位中高端电动两轮车市场，上半年极核电动实现销量25.05万辆，销售收入8.72亿元，同比增长652.06%。电动自行车行业在新国标政策的推动下，行业有望向安全性、智能化、高端化方向发展，并带来新一轮的更新周期。费用结构整体稳定，受关税影响，盈利能力略有承压。单2025年三季度经营表现来看，公司毛利率为26.14%，同比-5.43pp，净利率为8.76%，同比-0.98pp，预计主要受关税影响，毛利率下滑；销售费用方面，销售/管理/研发/财务费用率分别同比-2.33/+0.86/-1.01/-1.81pp至6.19%/4.13%/5.95%/-1.17%，费用结构整体稳定。盈利预测：随着墨西哥工厂本土化率提升，将有效缓解当前关税成本压力，我们预计公司2025-2027年实现营收198.48/242.20/285.66亿元，归母净利润为18.16/23.49/29.64亿元，EPS分别为11.90/15.39/19.43元/股，对应PE分别为20.15/15.58/12.35倍，维持“买入”评级。风险提示：终端需求不及预期，渠道拓展不及预期，关税扰动风险,,财信证券,买入,[None],2025-10-23,,买入,6699308,pdf_downloads/2025/2025-10-23/603129-春风动力（603129）：电动两轮业务表现亮眼，受关税扰动盈利承压.pdf,603129,春风动力,春风动力（603129）：电动两轮业务表现亮眼，受关税扰动盈利承压
"唐旭霞,唐英韬",摩托车及全地形车业务促进收入提升，利润增速放缓受关税影响。公司2025Q1-Q3实现营收149.0亿元，同比增长30.1%，归母净利润14.1亿元，同比增长30.9%；2025Q3实现营收50.4亿元，同比增长28.6%，环比下降10.1%，归母净利润4.1亿元，同比增长11.0%，环比下降29.5%，极核、全地形车新品放量，收入保持较快增长，利润增速有所放缓，主要受关税影响。产品结构变化、关税加征等导致利润率同比下降。2025Q1-Q3公司毛利率27.6%，同比-3.9pct，净利率10.0%，同比+0.1pct，2025Q3毛利率26.1%，同比-5.4pct，，环比-1.2pct，净利率8.8%，同比-1.0pct，环比-2.3pct。毛利率下降受极核占比提升、关税等影响，净利率下降主要受关税影响。2025Q3销售/管理/研发/财务费用率为6.2%/4.1%/6.0%/-1.2%，同比分别为-2.3/+0.9/-1.0/-1.8pct，环比Q2分别为+0.9/+0.1/+0.6/0.0pct，销售费用率环比小幅提升，主要由于极核等营销投入导致。四轮车迎来产品大年，U10PRO等新品有望推动业务高弹性增长。2024年公司迎来产品大年，根据公司北美官网，2024年年初公司推出三款新品，分别是CFORCE800TOURING、CFORCE1000TOURING、ZFORCE950Sport4，增强在ATV领域的竞争力，拓展SSV产品线。2024H2U10PRO/U10XLPRO/Z10/Z10-4等多款重磅新品上市，新品较原有产品的动力性大幅提升，公司有望凭借新品在高端领域实现向上突破，加速突破高端市场。国内摩托车新品及改款频出，积极拓展出口业务。国内两轮摩托新品频出，2024年推出150SC/450MT/500SRVOOM/675SR-R等新品，2025年推出700MT/450SR2025款/675NK/250CL-C2025款/450SR-S2025款等，持续提升竞争力，2025年6月公司发布复古踏板150AURA，进一步加强出行市场布局。出口方面，公司在海外各国导入摩托车，美国官网推出街车、仿赛、ADV、mini、巡航太子等众多车型，摩托车产品在海外市场上较对手具备较高性价比优势，摩托车外销有望迎来较快发展。电动两轮车快速突破，极核构建第三成长曲线。2024年6月，极核新品发布会上正式公布其产品矩阵“MEGACITY”，涵盖多种系列产品，其中AE系列追求极致性能，C!TY系列追求城市玩乐，EZ为中性系列，MO系列针对女性用户，GO系列打造超高性能。2024年极核销量快速提升，公司拟在浙江桐乡建设年产300万台两轮车及核心部件的生产基地，依托于春风过去摩托车领域的积累，有望在电动两轮车市场快速突破。盈利预测与估值：维持盈利预测，维持“优于大市”评级。考虑公司四轮车及两轮车放量较快，预期25/26/27年归母净利润18.49/23.86/28.61亿元，每股收益分别为12.12/15.64/18.75元，对应PE分别为21/16/13倍，维持“优于大市”评级。风险提示：新车上市节奏及销量不及预期；汇率、运费等外部环境波动；中美贸易环境变化；库存水平过高。,,国信证券,优于大市,[None],2025-10-23,,买入,6696380,pdf_downloads/2025/2025-10-23/603129-春风动力（603129）：2025 年三季度利润小幅提升，全地形车、极核等引领高端化.pdf,603129,春风动力,春风动力（603129）：2025 年三季度利润小幅提升，全地形车、极核等引领高端化
"石金漫,秦智坤",事件：公司发布2025年三季度业绩报告，2025年前三季度公司实现营业收入148.96亿元，同比+30.10%，实现归母净利润14.15亿元，同比+30.89%，实现扣非归母净利润13.50亿元，同比+28.61%，EPS为9.29。2025年Q3，公司实现营业收入50.41亿元，同比+28.56%，环比-10.06%，实现归母净利润4.13亿元，同比+11.00%，环比-29.53%，实现扣非归母净利润3.99亿元，同比+10.09%，环比-26.13%。新品持续布局与市场拓展推动业绩同比实现稳健增长，环比受季节性因素、关税波动、产品结构变动影响：受益于公司在全地形车、燃油两轮车、电动两轮车三条业务主线的新品持续布局与全球市场拓展，2025年Q3公司业绩同比实现稳健增长，环比收入回落主要受季节性因素影响，下半年进入四轮车与两轮车的销售淡季。盈利能力方面，2025年Q3公司毛利率为26.14%，环比-1.21pct，同比-5.43pct，前三季度公司毛利率为27.62%，同比-2.84pct，一方面，公司盈利能力受美国加征关税影响，公司输美全地形车产品占比超半数，关税增加对公司短期盈利能力带来不利影响；另一方面，公司快速成长的电动两轮车业务仍处于前期投入期，规模效应尚不明显，盈利能力较其他业务弱，收入占比的上升影响了公司整体毛利率。新业务电动两轮车资源投入带来研发与销售费用率增长，管理费用率较为稳定：2025年前三季度公司研发/销售/管理/财务费用率分别为5.70%/5.61%/4.28%/-1.16%，同比分别-0.68pct/-2.61pct/-0.07pct/-0.12pct，受益于营收增长带来的规模效应，期间费用率优化对冲毛利率下滑影响，稳定公司盈利能力。Q3单季公司研发/销售/管理/财务费用率分别为5.96%/6.18%/4.12%/-1.17%，环比分别+0.59pct/+0.85pct/+0.09pct/+0.01pct，公司重点发展新业务电动两轮车，定位高端市场，在研发与销售侧投入较多资源，受季节性因素带来的营收环比走弱影响，研发与销售费用率环比有所增长，管理与财务费用率较为稳定，费用管控良好。深化全球产业链与市场布局的优化升级，有效应对全球贸易环境的不确定性变化。产业链布局方面，公司目前在中国、墨西哥、泰国拥有工厂，为适配当地市场需求，当前墨西哥工厂主要生产销往美国市场的UTV产品，泰国工厂主要生产销往亚洲市场的ATV产品，公司具备柔性生产能力，可灵活调整工厂产线，在面对关税加征等贸易不确定性变化时有望通过调整产能降低关税波动带来的成本增加影响，稳定盈利能力。另外公司同步加码墨西哥本土零部件自制与采购力度，提升供应链弹性韧性；市场布局方面，公司积极拓展非美市场，公司连续十年以上在欧洲市场全地形车占有率位列第一，2024年收购欧洲四轮车品牌GOES，进一步打开欧洲市场，有望继续通过全球市场布局降低全球贸易环境波动带来的不确定性影响。投资建议：预计2025年-2027年公司将分别实现营业收入200.10亿元、248.05亿元、298.49亿元，实现净利润18.71亿元、23.99亿元、29.29亿元，EPS分别为12.26元、15.72元、19.20元，对应PE分别为20.39倍、15.90倍、13.02倍，维持“推荐”评级。风险提示：产品销量不及预期的风险；市场竞争加剧的风险；海外市场拓展不及预期的风险。,,银河证券,推荐,[None],2025-10-21,,买入,6676534,pdf_downloads/2025/2025-10-21/603129-春风动力（603129）：业绩稳健增长，全球布局优化应对不确定性.pdf,603129,春风动力,春风动力（603129）：业绩稳健增长，全球布局优化应对不确定性
"刘一鸣,管正月","本报告导读：两轮和四轮新品周期下，收入业绩继续保持增长，面对关税、汇率扰动，公司经营
韧性十足，持续提升产品力和品牌力，极核新业务提供增长新动力。
投资要点：维持目标价329.5元，维持增持评级。公司产品升级不断兑现，新品加速放量，电动两轮提供新成长曲线，收入业绩快速增长，维持公司2025-2027年EPS预测为13.18/16.03/19.17元。考虑春风动力是两轮和四轮龙头，全球化布局不断兑现，给予2025年25倍PE，维持目标价329.5元，维持增持评级。新品放量下，公司收入业绩保持增长。公司公告2025年三季报，1-9月公司实现收入149.0亿元，同增30.1%，归母净利14.2亿元，同增30.9%，扣非归母净利13.5亿元，同增28.6%。公司3Q25收入50.4亿元，环减10.1%，同增28.6%，归母净利4.1亿元，环减29.5%，同增11%；扣非归母净利4.0亿元，环减26.1%，同增10.1%。公司新品放量下，推动销量和收入不断增长，根据摩托车商会数据，公司2025年1-8月实现两轮燃油摩托车销量37.4万辆，同增94.5%，其中250cc以上14.2万辆，同增41.6%，沙滩车销量12.2万辆，同增6.7%。多重因素扰动，盈利能力短期承压。公司3Q25毛利率26.1%，同减5.4pct，环减1.2pct，净利率8.8%，同减1.0pct，环减2.3pct。由于极核处在放量初期，低毛利业务占比提升，同时北美业务受关税、汇率扰动等因素影响，盈利能力短期承压，随着电动业务规模效应以及海外产能建设，盈利能力有望逐步改善。公司费用整体平稳，3Q25销售/管理/研发费用率分别6.2%/4.1%/6.0%，同比变动-1.6/+0.9/-1.0pct，环比变动+0.8/+0.1/+0.6pct。产品升级叠加丰富产品矩阵，全地形和摩托车业务不断向上，电动两轮提供第三成长曲线。公司全地形车核心新品U10PRO迅速出圈，欧洲市场“CFMOTO+GOES” 双品牌战略构建起差异化协同发展格局。摩托车业务坚持国内国际市场并举的发展战略， 推进“精品” 发展路线， 700MT、 675NK、150AURA 等新品陆续上市、 发布，强产品周期下两轮有望延续强劲表现。新能源方面，极核电动聚焦高端出行，产品放量叠加渠道布局，提供成长新曲线。风险提示：新车销量不及预期，贸易政策风险，汇率波动风险。",,国泰海通,增持,[None],2025-10-21,,买入,6676049,pdf_downloads/2025/2025-10-21/603129-春风动力（603129）：2025 年三季报：新品持续放量，外部扰动不改经营韧性.pdf,603129,春风动力,春风动力（603129）：2025 年三季报：新品持续放量，外部扰动不改经营韧性
"黄细里,赖思旭",公告要点：公司发布2025年三季度报告，25Q3公司实现收入50.4亿元，同环比分别+28.6%/-10.1%，实现归母净利润4.13亿元，同环比分别+11%/-29.5%。全地形车：U10pro销量超预期，结构优化带动单价持续提升。25Q3公司全地形车销量4.9万台，同环比+0.2%/-15.7%，其中美国表现弱于非美，U10pro销量近1万台；25Q3全地形车ASP 4.8万，同环比分别+22.2%/+5.6%，主因产品结构变化，Q4会参考竞对情况决定是否提价；25Q3全地形车毛利率环比持平。摩托车业务：国内表现较弱，出口依旧强劲。25Q3公司燃油摩托车销量6.6万台，同环比分别-13.9%/-23.8%，主因国内表现较弱，全年出口受土耳其+KTM切换影响；25Q3摩托车ASP2.3万，同环比+14.9%/+8.0%；25Q3摩托车毛利率环比下滑，主因车型销量下滑+价格竞争激烈；公司新车150 AURA即将开启批量交付。极核：高速增长，销量表现亮眼。25Q3极核销量19.3万台，同环比分别+349%/+24.2%，创单季度销量新高；25Q3极核ASP 0.35万，环比+2.2%；25Q3尚未扭亏，但利润率改善；渠道库存健康。毛利率：公司25Q3毛利率26.1%，同环比分别-4.7/-1.2pct，主要系美国关税影响+低毛利的两轮车收入占比提升+摩托车毛利率下滑。费用端：公司25Q2销售/管理/研发费用率分别6.2%/4.1%/6.0%，同比分别-1.6/+0.9/-1.0pct，环比分别+0.8/+0.1/+0.6pct，费用率环比提升主因25Q3收入下滑所致，销管研费用环比基本持平。盈利预测与投资评级：公司为国内全地形车和摩托车龙头，三大业务共同高增长。我们基本维持公司2025-2027年归母净利润预测18.7/24.7/27.4亿元，2025-2027年对应PE为19.0/14.4/13.0倍。鉴于公司龙头地位稳固，三大业务共振向上，我们仍然维持“买入”评级。风险提示：全球贸易环境恶化风险；新车型上量不及预期风险；运价/汇率等波动风险等。,,东吴证券,买入,[None],2025-10-20,,买入,6664725,pdf_downloads/2025/2025-10-20/603129-春风动力（603129）：归母净利润同比+11%，全地形车需求向好.pdf,603129,春风动力,春风动力（603129）：归母净利润同比+11%，全地形车需求向好
"崔琰,姜煦洲",2025Q3业绩符合预期 经营韧性持续验证事件：公司披露2025年第三季度报告，2025年前三季度实现营业收入149.0亿元，同比+30.1%；实现归母净利润14.2亿元，同比+30.9%；单季度看，公司2025Q3营业收入为50.4亿元，同比+29.6%，环比-10.0%；归母净利润为4.1亿元，同比+10.8%，环比-30.5%。两轮车出海+极核电动放量引领营收同比高增 关税冲击下彰显经营韧性。1）营收端：公司2025Q3营业收入为50.4亿元，同比+29.6%，环比-10.0%，同比实现增长主要原因为两轮车出口放量（2025年7-8月销量2.1万辆，同比+55.1%）及极核电动销量高增（2025年7-8月电摩销量7.0万辆，同比+430.9%）。2）利润端：2025Q3公司归母净利润为4.1亿元，同比+10.8%，环比-30.5%，净利率为8.8%，同环比有所下滑，我们认为是全地形车美国关税及汇兑影响所致。3）费用端：2025Q3公司销售/管理/研发/财务费用率分别为6.2%/4.1%/6.0%/-1.2%，同比分别-2.3/+0.8/-1.0/-1.8pct，环比分别+0.9/+0.1/+0.6/+0.0pct，费用结构保持稳定。两轮车：中大排摩托车销量快速增长 极核发展持续提速。中大排摩托车：据中国摩托车商会数据，公司2025年1-8月中大排（250cc以上）车型销量14.2万台，同比+41.6%，市场份额提升至21.0%，较2024年全年+1.2pcts，全新高端675cc三缸车型销量4.5万辆，同比+708.7%，销量占大排量车型比例提升至32.0%，产品结构持续优化升级；出口端：公司两轮摩托车出口表现稳健，2025年1-8月销量为9.0万台，同比+12.0%，同比增速放缓主要系公司上半年与KTM终止欧洲五国的渠道分销协议，2025H2起随着全新渠道的导入，两轮车出海业务有望重回高增长；极核品牌：2025年1-8月极核电摩销量19.3万台（不包含电自），同比大幅增长，极核渠道加速扩张，国内实现核心城市全覆盖，国际已拓展至30余个国家和地区。四轮车：深入挖掘美国市场 看好四轮高端化布局。2025年1-8月公司销售全地形车12.2万台（中国工厂生产），同比+6.7%。公司保持稳健发展态势，2025年上半年欧洲市场继续蝉联市占率第一，美国市场持续开拓，核心新品U10PRO凭借性能与品质升级迅速出圈，零售端表现抢眼，带动公司四轮车ASP持续提升。公司中长期则有望依凭产品线扩充（U/Z 系列高端化）、性价比优势持续提升市场份额。投资建议：长期看好公司两轮车出口和四轮高端化布局，我们预计公司2025-2027年营收199.1/245.1/295.0亿元，归母净利润18.6/23.8/29.3亿元，EPS为12.19/15.61/19.21元。对应2025年10月17日233.09元/股收盘价，PE分别19/15/12倍，维持“推荐”评级。风险提示：摩托车市场竞争加剧；海外四轮需求不及预期；汇率波动等。,,民生证券,推荐,[None],2025-10-17,,增持,6620793,pdf_downloads/2025/2025-10-17/603129-春风动力（603129）：系列点评十一：2025Q3业绩符合预期，经营韧性持续验证.pdf,603129,春风动力,春风动力（603129）：系列点评十一：2025Q3业绩符合预期，经营韧性持续验证
