author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"樊金璐,张亦弛",华阳股份立足煤炭主业，发展新能源新材料业务公司背靠华阳集团和山西省国资委，主要从事煤炭生产、洗选加工、销售，电力生产、销售，热力生产、销售，光伏设备及元器件、钠离子电池制造，新能源技术推广服务等业务。公司在做大做强做优煤炭主业的基础上，积极布局新能源新材料业务，努力蹚出一条产业优、质量高、效益好、可持续的高质量发展新路。煤炭业务深入解读：资源禀赋占优，产量增长可期煤炭资源：公司拥有煤炭资源量66.84亿吨，主要煤种为无烟煤，煤炭热值高。产能扩张：煤矿在产核定产能4090万吨/年，七元矿500万吨/年竣工投产，泊里矿500万吨/年未来进入联合试运转，于家庄矿规划建设规模500万吨/年。经营稳健：受贸易业务剔除的影响，煤炭营收自2022年来有所下降，2021-2022年煤炭业务毛利随煤价上涨而上行，后煤价回落毛利下行，但仍处于高位。生产成本：吨煤成本下行， 2025年前三季度吨煤成本为287.6元/吨，同比下降15.8%，吨煤毛利高位，2025年前三季度为162.3元/吨，整体处于高位。电力业务深入解读：发售电量高增，规模扩张迅速公司拥有2台660MW 超超临界低热值煤间接空冷发电机组，随发电机组投产运行，2024年发电和售电量高速增长，2025年保持高位。新能源和新材料业务深入解读：钠电正负极：拥有钠离子电池正、负极材料产线各2000吨/年产能，年产万吨级钠离子电池正、负极材料项目建设收尾。钠电池单体：布局钠离子电池全产业链，拥有全球首条钠离子电芯（1GWh）、钠离子Pack电池（1GWh）、储能集成（1GWh）生产线，钠离子电池煤矿应急电源已在矿山端应用。光伏和飞轮储能：拥有4条光伏产线，总产能2GW/年，拥有200套/年飞轮储能系统生产装配线，根据订单情况按需生产。碳纤维材料：200吨/年高性能碳纤维项目建成投产，可应用于航空航天、高端装备制造、风电新能源、新型氢能储能等领域。投资价值分析增量矿山投产，未来产量可观：若七元矿、泊里矿实现达产满产，则在产产能将提升1000万吨/年，增长幅度为28%；考虑于家庄则远景产量提升幅度为42%。股东回报承诺，现金分红稳定：公司承诺分红率为30%，2023-2024年实际分红率为50%左右，超过公司承诺分红率。行业破除内卷，价格中枢抬升：煤炭反内卷下，2025年内煤价呈V型反转走势，预计未来煤价中枢稳步抬升，带动公司业绩提升。盈利预测与估值结合公司经营情况以及近期市场的情况，我们认为2026-2027年煤价中枢有望抬升。我们预测公司2025-2027年归母净利润分别为16.6、26.1、30亿元，同比-25.4%、+57.1%、+15.2%。2025-2027年每股收益分别为0.46、0.72、0.83元，对应2月5日收盘价，PE分别为20.2、12.8、11.1倍。参考可比公司2026年平均估值（PE 14.8倍），华阳股份估值偏低。公司立足煤炭主业，产量增量确定性强，新能源新材料业务转型发展。正值行业底部周期反转，量价齐升，成长显著，首次覆盖给予“买入”评级。风险提示：需求不及预期、安全事故影响、销售不及预期、分红率不及预期、政策不及预期、煤价大幅波动风险等。,,浙商证券,买入,[None],2026-02-05,,买入,8401767,pdf_downloads/2026/2026-02-05/600348-华阳股份（600348）：煤炭主业稳增长，新兴产业启新程.pdf,600348,华阳股份,华阳股份（600348）：煤炭主业稳增长，新兴产业启新程
"周泰,李航,王姗姗,卢佳琪",事件：由华阳股份、山西华阳资本控股有限公司、太原化学工业集团有限公司、大同市经济建设投资集团有限责任公司、大同云峰资产经营有限责任公司共同出资设立的山西华阳碳材科技有限公司投资建设的千吨级高性能碳纤维一期200吨/年的项目于2025年11月30日建成投产。200吨/年碳纤维项目投产，推动公司新材料产业升级。华阳碳材科技由公司持股40%、公司控股股东的全资子公司华阳资本控股持股30%，该项目位于大同市云冈经济开发区清洁能源产业园，为山西省重点工程，投资总额约6.08亿元，于2024年6月开工建设，2025年6月进入联调联试阶段，2025年11月30日建成投产。项目投产后可生产T1000级碳纤维，具有高强度、轻量化、耐高低温、耐腐蚀等特性，可应用于航空航天、高端装备制造、风电新能源、新型氢能储能等领域，有利于推动公司新材料产业升级。据iFind数据，2024年碳纤维国产化率为80.46%，国内仍存在一定的供应缺口；2025年10月，碳纤维进口均价为21.03美元/千克，以此计算，公司碳纤维一期项目收入约2976万元。在建矿七元矿投产，贡献储量增幅71.6%、权益产能增幅16.1%。公司于11月28日公告，子公司七元煤业取得了山西省应急管理厅颁发的《安全生产许可证》及山西省能源局生产能力公告，从而七元矿相关证照手续全部齐备，正式转入生产矿井序列。公司此前可采储量为14.4亿吨、在产核定产能为3590万吨/年、在产权益产能3100万吨/年，七元矿投产后将增加可采储量10.3亿吨、增幅71.6%，增加核定产能500万吨/年，增幅13.9%，增加权益产能500万吨/年，增幅16.1%。具备长期成长性，产量有望稳步释放。公司目前还有1个在建矿井，是核定产能500万吨/年的泊里矿，预计2025年底前具备联合试运转条件。此外，公司竞得的山西省寿阳县于家庄探矿权拥有煤炭资源量6.30亿吨，进一步扩充了资源储备，公司长期增量可期。投资建议：公司在建矿井稳步推进，分红比率维持较高水平，成长和股息配置价值凸显。我们预计公司2025~2027年归母净利润分别为16.97/24.28/27.71亿元，对应EPS分别为0.47/0.67/0.77元/股，对应11月28日收盘价的PE分别为16/11/10倍，维持“推荐”评级。风险提示：宏观经济波动风险，政策变化风险，在建煤矿投产进度不及预期，新能源业务进展不及预期。,,国联民生证券,推荐,[None],2025-12-01,,增持,8202153,pdf_downloads/2025/2025-12-01/600348-华阳股份（600348）：事件点评：七元矿、碳纤维项目陆续投产，业绩增量可期.pdf,600348,华阳股份,华阳股份（600348）：事件点评：七元矿、碳纤维项目陆续投产，业绩增量可期
"黄涛,王楠瑀","维持“增持”评级。公司公告2025年前三季度公司实现总营业收入营业收入169.56亿元，同比降低8.85%；实现归母净利润11.24亿元，同比减少38.20%。2025Q3实现营收57.16亿元，同比-10.72%/环比+5.42%，归母净利3.42亿元/同比-34.33%/环比+83.9%。我们预计公司25-27年EPS为0.43/0.49/0.56元。根据可比公司2026年平均16.76x PE，给予公司2026年21xPE。对应目标价10.35元。产销恢复增长，业绩下滑主要受到煤炭售价下行影响。公司1-9月份原煤产量3,115万吨，同比增长8.4%，外购统销煤炭408万吨，同比增长61.9%，商品煤销量3,080万吨，同比15.87%。其中Q3产量1039万吨，同比+3.1%/环比-4%；销量1152万吨，同比+21.5%/环比+9.4%。成本环比下降，毛利环比恢复，对冲煤价下跌影响。2025Q3吨煤售价431元，同比-21.5%/环比+3%；成本285元，同比-10.7%/环比-0.5%；毛利146元/吨，同比-36.5%/环比+10.6%。我们认为此轮煤炭板块周期底部已经确认在25Q2，供需格局已经显现了逆转拐点：6月以来，随着夏季用电高峰需求的旺季更旺，截至9月累计全社会用电量已经恢复4.6%增长，已然证伪市场对于需求的悲观预期；同时7月以来“查超产”反内卷带动国内产量收缩明显，供需逐步显现偏紧平衡态势，供需格局已然逆转。伴随着煤价中枢持续抬升，预计公司业绩压力也将逐渐得到缓解。公司具备资源保障，在建矿井增量可期。2024年，公司通过竞拍获得山西省寿阳县于家庄区块新增资源量6.3亿吨，进一步扩充资源储备，公司控制的煤炭资源总量达66.8亿吨。榆树坡、平舒矿产能提升，叠加七元矿和泊里矿相继进入联合试运转，正式投产后，核定产能将提升至4500万吨/年以上。风险提示：煤价超预期下跌；宏观经济恢复不及预期",,国泰海通,增持,[None],2025-11-10,,买入,7613951,pdf_downloads/2025/2025-11-10/600348-华阳股份（600348）：2025年三季报业绩点评：业绩符合预期，成本环比下滑对冲煤价下跌影响.pdf,600348,华阳股份,华阳股份（600348）：2025年三季报业绩点评：业绩符合预期，成本环比下滑对冲煤价下跌影响
杜冲,报告摘要无烟煤龙头企业，探索发展新能源。华阳股份作为山西省属煤炭企业，主营业务涵盖煤炭、电力、热力及新能源。公司的盈利基石在于煤炭业务，共拥有9座在产矿井，核定产能达4090万吨/年。其核心资源为稀缺的无烟煤，在公司煤炭资源中占比超过90%。该煤种在全国煤炭总资源量中仅占约13%，因其市场需求具备刚性且附加值较高，为公司提供了坚实的利润保障。为开拓长远发展空间，公司自2021年起战略性切入“光伏+储能”新赛道。通过参股中科海纳且成功投运全球首套1MWh钠离子电池储能系统，并同步推进光伏组件产线建设，公司积极抢占未来储能技术“新高地”，以探索新的利润增长点。煤炭：长短期皆有增产，成长确定性较强。1）增产一：先进产能核增后仍有增产空间。2024年公司先进产能核增手续逐步完备：公司于2024年5月公告子公司平舒煤业已取得山西省能源局生产能力公告文件，核定产能从90万吨/年核增至500万吨/年；榆树坡矿于2024年取得500万吨/年安全生产许可证，核定产能正式从120万吨/年核增至500万吨/年。2）增产二：新建矿井陆续进入爬坡期。公司煤炭产能短期主要增量来源于七元矿和泊里矿的先后产能爬坡。七元矿核定产能500万吨/年，煤种为无烟煤，已于2024年底进入联合试运转，预计2025年四季度完成矿井验收；泊里矿核定产能500万吨/年，煤种为贫煤和无烟煤，预计于2025年底进入联合试运转。3）增产三：68亿元竞购优质无烟煤资源，保障后续资源储备。2024年8月22日，公司以68亿元竞得山西省寿阳县于家庄区块煤炭探矿权，规划产能为500万吨/年，增加公司煤炭资源量近6.3亿吨，竞购成功后公司煤炭资源总储量达到近70亿吨，其中大部分为稀缺煤种无烟煤，为公司发展提供了充足的资源保障。电力业务：发电量稳步增长，盈利能力提升。公司西上庄项目投运推动电力业务量价齐升，盈利能力大幅提升。公司建投的西上庄2×660MW低热值煤热电项目1号和2号机组先后于2023年10月和12月先后成功投运，公司发电量迎来大幅增长：由往年的年发电量10亿千瓦时左右增长至2024年的58.64亿千瓦时；2025年上半年，公司实现发电量23.17亿千瓦时。2025年上半年公司度电售价逆势提升且度电成本有所下降共同推动公司电力业务盈利能力大幅提升：2025年上半年，公司度电毛利为0.12元/千瓦时，同比大幅增长381.92%。盈利预测、估值及投资评级：预计公司2025-2027年营业收入分别为238.87/269.27/292.25亿元，增速分别为-5%/13%/9%；实现归母净利润分别为16.74/20.59/24.24亿元，增速分别为-25%/23%/18%，对应PE分别为19.2X/15.6X/13.3X。基于公司煤炭主业规模成长性确定，新能源业务发展加速落地，首次覆盖给予“增持”评级。风险提示：煤矿产能释放受限、煤炭价格大幅下跌、电厂发电量不及预期、数据测算风险及研报使用的信息数据更新不及时的风险。,,中泰证券,增持,[None],2025-11-08,,增持,7590553,pdf_downloads/2025/2025-11-08/600348-华阳股份（600348）：煤炭增量确定，盈利弹性较大.pdf,600348,华阳股份,华阳股份（600348）：煤炭增量确定，盈利弹性较大
胡博,前三季度煤炭量增价减。2025年前三季度，公司原煤产量完成3115万吨，同比增长8.38%；外购统销煤炭408万吨，同比增长61.96%。商品煤销量3080万吨，同比增长15.87%。煤炭综合售价449.82元/吨，同比降低20.29%。煤炭资源接续有保障。公司榆树坡、平舒矿产能提升，叠加七元矿和泊里矿相继进入联合试运转，正式投产后，核定产能将提升至4500万吨/年以上，逐步释放产量；公司于2024年8月22日公告以68亿元竞得寿阳县于家庄区块煤炭探矿权，增加煤炭资源约6.3亿吨，公司煤炭资源总储量达到近70亿吨，且其中大部分为稀缺煤种无烟煤，公司中长期资源保障有力。新能源新材料齐头并进。钠离子电池正、负极材料项目投资总额约1.3亿元，已完工，万吨级钠离子电池正、负极材料项目投资总额约11.4亿元；地库墙体砌筑完成，基槽回填土、外墙防水、保护层完成、宿舍楼主体结构完成。钠离子电池电芯项目投资总额约3.16亿元，Pack电池项目投资总额约0.73亿元。钠电应急电源通过中国煤炭工业协会专家评审，整体达到国际领先水平。高性能碳纤维项目投资总额约6.08亿元，公辅车间完成单元联调，聚合车间已完成热试车，纺丝车间开展走丝联调，碳化车间继续进行碳化线全线试运行。投资建议预计公司2025-2027年归母净利分别为17.41/21.56/23.46亿元，2025-2027年动态PE分别为16.6\13.4\12.3倍。虽然上半年煤炭价格下滑影响业绩，但公司七元、泊里煤矿合计1000万吨产能未来产量不断释放。公司2024年竞得于家庄区块煤炭探矿权，有助于提高公司未来发展的资源保障。另外，公司通过稳定分红回馈投资者。维持“增持-A”投资评级。风险提示宏观经济增速不及预期风险；煤炭价格超预期下行风险；安全生产风险；新能源项目建设及盈利不及预期风险等。,,山西证券,增持-A,[None],2025-11-03,,增持,7331256,pdf_downloads/2025/2025-11-03/600348-华阳股份（600348）：三季度业绩环比正增，未来仍有修复空间.pdf,600348,华阳股份,华阳股份（600348）：三季度业绩环比正增，未来仍有修复空间
"张绪成,程镱","Q3业绩环比改善显著，关注煤矿成长及高分红潜力。维持“买入”评级公司发布2025年第三季度报告，2025年前三季度公司实现营业收入169.56亿元，同比-8.85%，实现归母净利润11.24亿元，同比-38.20%；实现扣非归母净利润11.70亿元，同比-32.36%。单Q3看，公司实现营业收入57.16亿元，环比5.42%；实现归母净利润3.42亿元，环比83.9%，实现扣非后归母净利润3.46亿元，环比79.08%。考虑公司煤炭价格承压，我们下调公司2025-2027年盈利预测，预计2025-2027年实现归母净利润17.97/22.27/29.14(原值27.33/30.68/34.10)亿元，同比-19.2%/+24.0%/+30.8%；EPS为0.50/0.62/0.81元，对应当前股价PE为16.2/13.1/10.0倍。公司前三季度业绩同比下滑主要系煤炭价格降低所致，但三季度受益于煤价回暖及部分矿井煤质改善，业绩环比显著修复。公司有合计1000万吨在建矿井将于未来投产，煤炭主业成长性突出，同时钠离子电池、碳纤维等新能源新材料业务取得积极进展，转型可期，维持“买入”评级。Q3业绩环比显著修复，盈利能力回升前三季度煤价承压，Q3环比改善明显。2025年1-9月，公司原煤产量3,115万吨，商品煤销量3,080万吨，煤炭综合售价449.82元/吨，煤炭销售收入138.56亿元。公司前三季度业绩同比下滑主要受煤炭价格下降影响。但从单季度看，公司Q3归母净利润环比Q2大幅增长，业绩迎来拐点，我们认为主要得益于：1）煤炭价格回升：自7、8月起煤价开始反弹，至8月底市场煤价已从低点回升约100元/吨，对Q3盈利形成有力支撑。2）煤质改善：此前受地质构造影响的平舒矿等矿井逐步恢复正常生产，发热量从二季度的3400-3500大卡回升至4100大卡以上，带动售价和盈利能力修复。非煤业务稳步推进：新能源新材料业务中，钠离子电池项目已获得来自焦煤集团的首个外部应急电源订单，碳纤维项目已进入调试阶段并成功产出T800级产品，为公司长远发展注入新动能。在建煤矿贡献增量&转型业务逐步改善，高分红彰显投资价值在建煤矿提供核心增长：公司在建的七元矿和泊里矿产能均为500万吨/年。其中，七元矿已于2024年底进入联合试运转，2025年计划产量150万吨，后续将用五年时间逐步达产；泊里矿预计于2025年底具备联合试运转条件。此外，公司2024年竞得于家庄区块探矿权，新增资源量约6.3亿吨，为公司提供长期资源接续。新能源、新材料转型业务逐步改善：公司钠离子电池业务聚焦煤矿应急电源市场，已成功开拓外部客户；碳纤维项目定位高端，目标产品为T1000/T1100。随着转型业务逐步落地，有望为公司贡献新的利润增长点。高分红彰显投资价值：公司重视股东回报，已连续两年分红比例超过50%，管理层亦表示将保持长期稳定的分红政策，高股息潜力使公司投资价值显著。风险提示：煤价下跌超预期；新建产能不及预期；新业务转型进度不及预期。",,开源证券,买入,[None],2025-10-31,,买入,7094581,pdf_downloads/2025/2025-10-31/600348-华阳股份（600348）：公司信息更新报告：Q3业绩环比改善显著，关注煤矿成长及高分红潜力.pdf,600348,华阳股份,华阳股份（600348）：公司信息更新报告：Q3业绩环比改善显著，关注煤矿成长及高分红潜力
"张津铭,刘力钰,高紫明,鲁昊,张卓然",Q3量价齐升盈利环比提高，Q4业绩有望进一步增长公司发布2025年三季度业绩公告。25前三季度营业收入169.56亿元，同比-8.85%；归母净利润11.24亿元，同比-38.20%；25Q3营业收入57.16亿元，同比-10.72%，环比+5.42%；归母净利润3.42亿元，同比-34.33%，环比+83.90%。Q3量价齐升盈利环比提高，Q4业绩有望进一步增长产销方面，25Q3原煤产量1039万吨，同比+3.1%，环比-4.0%，商品煤销量1152万吨，同比+21.5%，环比+9.4%。利价方面，25Q3吨煤售价431元/吨，同比-21.5%，环比+3.0%；吨煤成本285元/吨，同比-10.7%，环比-0.5%；吨煤毛利146元/吨，同比-36.5%，环比+10.4%。七元煤矿（500万吨/年）预计于Q4完成试运转验收，有望为公司Q4产量贡献增量。同时截至2025年10月30日，阳泉Q4无烟煤出矿价、动力煤（5500大卡）车板价环比分别+1.49%、+8.15%，量价齐增下公司Q4业绩有望进一步环比改善。投资建议。考虑公司Q3业绩符合预期，我们维持原盈利预测，预计公司2025年~2027年归母净利分别为16.8亿元、21.7亿元、23.7亿元，对应PE为17.3X、13.4X、12.3X，维持“买入”评级。风险提示：煤炭需求不及预期，在建矿井投产不及预期，煤价坍塌式下跌。,,国盛证券,买入,[None],2025-10-31,,买入,7083338,pdf_downloads/2025/2025-10-31/600348-华阳股份（600348）：Q3量价齐升盈利环比提高，Q4业绩有望进一步增长.pdf,600348,华阳股份,华阳股份（600348）：Q3量价齐升盈利环比提高，Q4业绩有望进一步增长
"周泰,李航,王姗姗,卢佳琪",25Q3煤炭量价环比提升，在建矿增量可期事件：2025年10月29日，公司发布2025年第三季度报告。2025年前三季度，公司实现营业收入169.56亿元，同比下降8.85%；实现归母净利润11.24亿元，同比下降38.20%；实现扣非归母净利润11.70亿元，同比下降32.36%。25Q3营收、利润均环比上升。25Q3，公司实现营业收入57.16亿元，同比下降10.72%，环比上升5.42%；实现归母净利润3.42亿元，同比下降34.33%，环比上升83.90%；实现扣非归母净利润3.46亿元，同比下降32.78%，环比上升79.08%。25Q3煤炭量价环比均有提升，成本管控表现优秀。25Q3，公司煤炭产量为1039万吨，同比上升3.05%，环比略降4.01%；商品煤销量（包含外购贸易煤）为1152万吨，同比上升15.87%，环比上升9.44%；单位煤价为431元/吨，同比下降17.73%，环比上升2.96%；单位成本为285元/吨，同比下降6.38%，环比下降0.49%；单位毛利为146元/吨，同比下降33.46%，环比上升10.43%；单位毛利率为33.90%，同比下降8.01pct，环比上升2.29pct。25Q4煤价环比提升，公司业绩可期。据iFind数据，25Q4以来，秦皇岛港Q5500动力煤价格进一步提升，截至2025年10月29日，25Q4的均价为740元/吨，较Q3均价669元/吨上涨10.55%，且随着冬季煤炭需求旺季即将到来，煤价有望进一步提高，公司25Q4业绩有望进一步释放。在建矿井将逐步投产，公司产量将持续释放。2024年9月25日，七元煤矿配套的选煤厂项目进入联合试运转阶段，建设规模500万吨/年；产能500万吨/年的泊里矿也将于2025年底前具备联合试运转条件，随着两个在建矿井未来将陆续投产，公司产量有望持续释放。此外，公司竞得的山西省寿阳县于家庄区块煤炭探矿权，勘查面积73.22平方千米、煤炭资源量6.30亿吨，进一步扩充了资源储备，公司长期增量可期。投资建议：公司在建矿井稳步推进，分红比率维持较高水平，成长和股息配置价值凸显。我们预计公司2025~2027年归母净利润分别为16.94/23.32/26.46亿元，对应EPS分别为0.47/0.65/0.73元/股，对应10月30日收盘价的PE分别为17/12/11倍，维持“推荐”评级。风险提示：宏观经济波动风险，政策变化风险，在建煤矿投产进度不及预期，新能源业务进展不及预期。,,民生证券,推荐,[None],2025-10-30,,增持,7041674,pdf_downloads/2025/2025-10-30/600348-华阳股份（600348）：25Q3煤炭量价环比提升，在建矿增量可期.pdf,600348,华阳股份,华阳股份（600348）：25Q3煤炭量价环比提升，在建矿增量可期
"高升,李睿,刘波",事件：华阳股份发布2025年三季度报告，前三季度公司实现营业收入169.56亿元，同比下降8.85%，实现归母净利润11.24亿元，同比下降38.20%；扣非后归母净利润11.70亿元，同比下降32.36%。经营活动现金流量净额7.15亿元，同比下降61.62%；基本每股收益0.31元/股，同比下降38%。三季度，公司实现营业收入57.16亿元，同比下降10.72%；归母净利润3.42亿元，同比下降34.33%。点评：煤炭价格企稳回升，三季度业绩环比改善。煤炭产销量方面：2025年前三季度，公司实现原煤产量3115万吨，同比增加8.38%；商品煤销量3080万吨，同比增加15.87%。2025年三季度，公司实现原煤产量1039万吨，同比增加3.05%，环比下降4.01%；商品煤销量1152万吨，同比增加21.5%，环比增加9.44%。煤炭售价与成本：2025年前三季度，公司实现煤炭销售均价445元/吨，同比下降20.28%；单位销售成本288元/吨，同比下降15.81%。2025年三季度，煤炭销售均价为431元/吨，同比下降21.55%，环比增加2.98%；煤炭单位销售成本285元/吨，同比下降10.73%，环比下降0.51%。2025年三季度，煤炭业务实现毛利16.85亿元，相较二季度提升2.92亿元，环比增加20.96%。内生增长动力强劲，储备资源奠定长期发展基础。随着公司七元矿和泊里矿相继进入联合试运转，待两个矿井正式投产后，未来公司在产矿井核定产能有望提升至4500万吨/年以上，内生增长动力强劲。资源储备方面，公司2024年竞得于家庄区块探矿权，新增资源储量6.3亿吨，规划建设规模500万吨/年，为公司长期发展奠定坚实基础。新能源新材料业务稳健推进，商业化初见成效。钠离子电池方面，公司将钠离子煤矿应急电源从个别煤矿单机示范推进到商业化批量部署。碳纤维项目方面，公司一期200吨/年T1000级高性能碳纤维示范线已完成设备安装，进入联合调试阶段。公司新能源新材料业务稳健推进，商业化逐步落地。盈利预测及评级：我们认为华阳股份作为国内无烟煤行业龙头，煤炭资产较为优异、成本管控能力较强，叠加公司产能和煤炭资源储量增长，企业稳健经营的同时又具有高增长潜力。我们预测公司2025-2027年归属于母公司的净利润分别为16.23/17.84/20.68亿元；EPS分别为0.45/0.49/0.57元/股。我们看好公司未来产量增长带动下的盈利能力上升，维持公司“买入”评级。风险因素：国内外能源政策变化带来短期影响；国内外宏观经济失速或复苏严重不及预期；发生重大煤炭安全事故风险；安全监管趋严导致产量下滑风险；新材料业务转型发展的不确定性风险。,,信达证券,买入,[None],2025-10-30,,买入,7059306,pdf_downloads/2025/2025-10-30/600348-华阳股份（600348）：Q3业绩环比改善，远期成长空间广阔.pdf,600348,华阳股份,华阳股份（600348）：Q3业绩环比改善，远期成长空间广阔
胡博,"上半年煤炭量增价减。2025年上半年，公司原煤产量完成2,076万吨，同比增长11.25%；外购统销煤炭184万吨，同比增长14.28%。商品煤销量1,928万吨，同比增长12.79%。煤炭综合售价460.84元/吨，同比降低19.50%。新能源新材料项目继续推进。钠离子电池正、负极材料项目投资总额约1.3亿元，已完工，万吨级钠离子电池正、负极材料项目投资总额约11.4亿元，截至2025年上半年，厂房工程全部完成；地库墙体砌筑完成，基槽回填土、外墙防水、保护层完成、宿舍楼主体结构完成。钠离子电池电芯项目投资总额约3.16亿元，Pack电池项目投资总额约0.73亿元。钠电应急电源通过中国煤炭工业协会专家评审，整体达到国际领先水平。高性能碳纤维项目投资总额约6.08亿元，截至2025年上半年公辅车间完成单元联调，聚合车间已完成热试车，纺丝车间开展走丝联调，碳化车间继续进行碳化线全线试运行。增量预期叠加中标探矿权，公司煤炭业务接续有保障。公司榆树坡、平舒矿产能提升，叠加七元矿和泊里矿相继进入联合试运转，正式投产后，核定产能将提升至4500万吨/年以上，逐步释放产量；公司于2024年8月22日公告以68亿元竞得寿阳县于家庄区块煤炭探矿权，增加煤炭资源约6.3亿吨，公司煤炭资源总储量达到近70亿吨，且其中大部分为稀缺煤种无烟煤，公司中长期资源保障有力。投资建议预计公司2025-2027年归母净利分别为17.41/21.56/23.46亿元，2025-2027年动态PE分别为14.5\11.7\10.8倍。虽然上半年煤炭价格下滑影响业绩，但公司七元、泊里煤矿合计1000万吨产能未来产量不断释放。公司2024年竞得于家庄区块煤炭探矿权，有助于提高公司未来发展的资源保障。另外，公司通过稳定分红回馈投资者。维持“增持-A”投资评级。风险提示宏观经济增速不及预期风险；煤炭价格超预期下行风险；安全生产风险；新能源项目建设及盈利不及预期风险等。",,山西证券,增持-A,[None],2025-09-09,,增持,6408145,pdf_downloads/2025/2025-09-09/600348-华阳股份（600348）：煤炭量增价减，成长可期.pdf,600348,华阳股份,华阳股份（600348）：煤炭量增价减，成长可期
