author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
李丹,集运运价持续承压，公司多举措提升货运量：受关税政策外溢效应持续显现、地缘政治不确定性抬升、全球货物贸易需求走弱等影响，集装箱航运市场运价持续波动下行。2025年前三季度，CCFI综指均值同比下降22%，SCFI综指均值同比下降37%；其中三季度CCFI综指均值同比下降40%，SCFI综指均值同比下降52%。公司稳步优化全球网络布局，加快供应链关键节点建设，推动科技创新和绿色转型，以提升货运量来应对运价下行带来的单箱收入同比下降影响。2025年三季度公司集运货运量为690万TEU，同比增长4.91%；分航线来看，除跨太平洋航线受中美关税战影响同比下降4.24%，其余航线货运量均实现同比增长。未来，随着中美双方达成协议、美国关税政策呈现缓和态势，美线航线及相关航线贸易将有望得到恢复。码头业务稳健增长：2025年1-9月公司所属中远海运港口总吞吐量11328万标准箱，同比增长5.60%；其中，控股码头实现2504万标准箱，同比增长1.98%；参股码头8823万标准箱，同比增长6.68%。分区域来看，西南沿海和海外地区增长尤为突出，2025年前三季度分别同比增长10.34%和8.12%。这体现出公司在全球港口码头网络中的资源整合能力和运营效率的持续提升。积极回购稳定信心：公司为维护公司价值和股东权益、增强投资者信心，积极使用自有资金进行股份回购，以推进公司股票市场价格与内在价值相匹配。公司已公告启动新一轮回购，拟回购A股股份数量为5000万股至1亿股，占总股本比例0.32%-0.65%，回购价格不超过14.98元/股，预计回购金额为7.49亿元-14.98亿元。盈利预测与投资建议：我们预计公司2025-2027年归母净利润分别为290.26、224.62、207.48亿元，对应EPS分别为1.87、1.45、1.34元，对应PE分别为7.98、10.32、11.17x，维持“增持”评级。风险提示：地缘政治风险、关税战缓和不及预期等。,,浙商证券,增持,[None],2025-12-03,,增持,8207241,pdf_downloads/2025/2025-12-03/601919-中远海控（601919）：更新报告：集运货量、码头吞吐量稳健增长，积极回购稳定信心.pdf,601919,中远海控,中远海控（601919）：更新报告：集运货量、码头吞吐量稳健增长，积极回购稳定信心
罗丹,"中远海控公布2025年三季报，Q3业绩同比下滑。2025年前三季度公司实现营业收入1676.0亿元，同比下滑4.1%；实现归母净利润270.7亿元，同比下滑29.0%。其中三季度单季公司实现营业收入585.0亿元，同比下滑20.4%；实现归母净利润95.3亿元，同比下滑55.1%。三季度集运货量同比正增长，但供需关系变化导致集运运价同比下滑。2025年三季度公司完成货运量690万标准箱，同比增长4.9%。其中，跨太平洋线（美线）受中美关税战影响表现承压，货运量同比下滑4.2%；欧线等其他国际航线货运量同比均实现了正增长。受集装箱航运市场供需关系变化影响，三季度市场运价水平同比显著下降（2025年第三季度，CCFI均值同比下降39.5%），公司三季度国际航线集运业务的单箱收入为1276美金/TEU，同比下降26.5%。码头业务稳健增长。公司港口2025年前三季度实现吞吐量11327.8万标准箱，同比增长5.6%，其中，控股码头吞吐量2504.3万标准箱，同比增长2.0%。分地区看，环渤海湾、长三角、东南沿海、珠三角、西南沿海、海外码头吞吐量分别同比+5.7%/+3.3%/-5.0%/+4.5%/+10.3%/+8.1%。重视股东回报，价值属性凸显。一方面来说，公司已向全体股东每股派发中期股利人民币0.56元，占公司上半年归母净利润50%，接近投资者回报计划上限（公司承诺2025-2027年股利支付率达到30%-50%）；另一方面，公司已公告启动新一轮回购，拟回购股份总量为5000万股至1亿股，占总股本比例0.32%~0.65%，回购价格不超过14.98元/股，预计回购金额为7.49亿元~14.98亿元。风险提示：全球经济超预期下滑、安全事故、红海危机影响超预期减弱等。投资建议：全行业来看，当前供大于求的剪刀差持续加大，根据克拉克森9月发布的预测,2025年全球集装箱贸易量预计同比增长3.0%，而2025年集装箱运力供给增长预计超过6%，预计集运船东盈利能力未来将继续承压。考虑到中美加征关税将继续暂停一年，且红海是否恢复通航仍存在不确定性，我们预计2025-2027年归母净利润分别为310.8/232.9/220.7亿元（25-27年调整幅度分别为+33%/+10%/+1%），同比分别为-37%/-25%/-5%，维持“中性”评级。",,国信证券,中性,[None],2025-11-06,,中性,7536301,pdf_downloads/2025/2025-11-06/601919-中远海控（601919）：三季度业绩强于预期，积极回报股东增强价值属性.pdf,601919,中远海控,中远海控（601919）：三季度业绩强于预期，积极回报股东增强价值属性
"孙延,曾智星,王惠武,张付哲",事件：中远海控发布2025年三季报：公司2025三季度实现营业收入584.99亿元，同比下降20.42%；归母净利润95.33亿元，同比下降55.14%，环比增加63.18%；扣非归母净利润95亿元，同比下降55.27%。集运价格承压，码头业务稳健增长。2025年三季度，公司综合运价为7501.09元/TEU，同比-26.73%；CCFI均值同比下降39.49%。供需失衡是集运价格波动的核心影响因素。全球集装箱航运市场运力供给保持增长，截至2025年10月26日，运力已超3327万TEU，整体供大于求态势持续加剧，集运价格承压。但是由于公司经营优势，公司运价跌幅仍小于CCFI跌幅。运价的疲软导致盈利空间被挤压，集运业务对业绩的支撑作用弱化。2025年Q3集运业务收入为517.83亿元，同比下降23.13%。同时，公司码头业务稳健增长，25年三季度码头业务总吞吐量3898.15万TEU，同比+4.20%。新船供给压力持续，行业高集中度有望托底运价。中长期来看，船舶运力持续高位增长，2025年10月集装箱订单船队比为31.57%，处于2010年来的高位，且年底前仍有超过100万TEU新船等待交付。海运需求恢复缓慢，克拉克森预计2025年全球集装箱航运贸易量将同比增长3.3%，而运力同比增长6.7%。供求差异持续扩大，供给端压力将向运价端传导，集运运价或呈弱势走势。仍在高位的行业集中度或将成为运价的主要支撑。地缘方面，在2025年10月30日，中美双方达成协议：美方取消对华商品10%的“芬太尼关税”，24%对等关税继续暂停一年；同时暂停对华海事、物流和造船业301调查措施一年。美国关税政策呈现缓和态势，关税成本的降低利好美线航线贸易。盈利预测与投资观点：中远海控作为全球头部集装箱运输综合服务商，基于行业最新供需情况和红海绕行持续的假设，我们预计中远海控2025-2027年归母净利润分别为323.43、247.38与216.55亿元，对应PE分别为7.19、9.40、10.74倍。考虑到行业格局稳固和公司红利属性，维持“增持”评级。风险提示。红海绕行结束；贸易摩擦加剧；港口费用风险；地缘政治风险；经济波动风险。,,华源证券,增持,[None],2025-11-03,,增持,7328681,pdf_downloads/2025/2025-11-03/601919-中远海控（601919）：25Q3点评：业绩环比大幅修复，港口业务亮眼.pdf,601919,中远海控,中远海控（601919）：25Q3点评：业绩环比大幅修复，港口业务亮眼
"林珊,沈晓峰","2025年11月01日│中国内地/中国香港 水路运输 中远海控发布三季报：前三季度营收1,676亿元，同比-4.1%；归母净利270.7亿元，同比-29.0%。其中，3Q归母净利95.3亿元，同环比-55.1%/+63.2%。三季度盈利环比大幅上涨主因4月低基数；自5月以来，中美加征关税暂缓，出口货量环比回升。3Q公司集装箱海运量/国际航线单箱运价环比+1.5%/+15.7%（同比+4.9%/-26.5%）。展望4Q25-1Q26，集运市场仍面临较多不确定性，我们预计市场需求短期内仍偏弱，运价环比或下滑。中长期看，10月30日中美释放经贸关系转好的积极信号，或将利好需求改善。维持“买入”。3Q美线货量同比下滑，其他航线同比增长3Q公司美线货量同环比-4.2%/+8.0%（2Q同环比-5.6%/-9.3%），同比下滑主因美国需求走弱及中美关税负面影响，环比回升主因加征关税暂缓。另一方面，其他航线受益于产业重塑，货量同比表现向好。3Q公司欧线/亚洲区域内/其他新兴市场航线货量同比+3.0%/+1.6%/+11.6%，环比-0.8%/+1.3%/-3.4%。整体，前三季度公司累计货量同比+6.0%。其中，美线/欧线/亚洲区域内/其他新兴市场货量同比+1.5%/+3.6%/+4.0%/+11.8%。我们预计4Q公司整体货量同环比+2.7%/+2.7%。3Q单箱运价表现显著高于行业平均水平，提振公司盈利三季度公司国际航线平均单箱运价为1,276美金/TEU，同环比-26.5%/+15.7%，好于行业平均表现（同期，中国出口集装箱运价指数CCFI均值同环比-39.5%/+3.6%），同比下滑主因去年因红海绕行，运价高基数；环比上涨主因2Q关税扰动低基数。分航线看，3Q公司美线/欧线/亚洲区域内/其他新兴市场航线运价均值同比-31.6%/-34.6%/-15.1%/-20.7%，环比+8.6%/+28.5%/+4.3%/+32.3%（同期，中国出口（CCFI）-美西/美东/欧洲/地中海运价指数均值环比-8.4%/-1.9%/+13.8%/+1.0%）。投资收益/利息收入贡献稳健利润前三季度，公司累计净利润为307.9亿元，其中，集运主业净利润260.4亿元；投资收益/净利息收入分别为44.3亿/24.9亿元。投资收益主要来自于权益法核算的港口码头投资等。利息收入方面，截至三季报，公司净现金为1,265.1亿元（货币资金扣除有息负债），现金流充沛。两大因素影响集运市场前景：红海是否恢复通航，中美经贸关系自24年以来，全球集运市场因红海绕行，运距增加导致船舶周转效率下降，推升市场运价。展望26年，伴随中东局势存缓和迹象，我们认为红海恢复通航概率较前期或有所提升，市场运价或将承压。需求端，集运市场受全球贸易影响直接，中美经贸关系是影响市场需求及公司货量的重要因素。10月30日，根据商务部新闻，中美经贸关系释放积极信号，或有利于改善市场对26年需求前景悲观的预期。上调25年净利预测，但下调目标价至17.7元/15.5港币考虑3Q强劲的业绩和当前市场运价表现，我们上调4Q美线/欧线运价假设，对应上调25年净利预测25%至312.1亿元，维持26/27年净利预测156.5亿/236.5亿元。基于1.1x/0.9x 25E PB（公司历史三年PB均值加0.5个标准差，BPS 16.1元），下调AH目标价-6%/-9%至17.7元/15.5港币（前值基于1.2x/1.0x 25E PB，估值较前值下调主因市场前景仍存较多不确定性），维持“买入”。风险提示：全球经济衰退；地缘政治风险；运价低于预期。",,华泰证券,买入,[None],2025-11-02,,买入,7244643,pdf_downloads/2025/2025-11-02/601919-中远海控（601919）：不确定性扰动集运市场前景.pdf,601919,中远海控,中远海控（601919）：不确定性扰动集运市场前景
"郑树明,霍泽嘉",2025年10月30日，中远海控发布2025年三季度报告。2025Q1-Q3公司实现营业收入1676亿元，同比下滑4.1%；实现归母净利润270.7亿元，同比下滑29.0%。其中Q3公司实现营业收入585亿元，同比下滑20.5%；实现归母净利润95.3亿元，同比下滑55.1%。行业需求扰动供给增加，公司集运实现量增价减。2025Q1-Q3，集装箱航运市场运价呈现小幅下降的趋势，主要由于中美贸易摩擦对需求端扰动以及2024年、2025Q1-Q3市场运力分别交付293万TEU、169万TEU，造成供给端增加。2025Q1-Q3 CCFI综合指数平均为1585点，同比下滑22%，其中Q3平均指数为1991，同比下滑39.5%。2025Q1-Q3，公司集装箱航运业务同比实现量增价减。分量价来看，公司集运货运量为2018.4万TEU，同比增长6.0%，其中国际航线货运量1575.4万TEU，同比增长4.4%；估算公司外贸航线单箱收入为1230美元/TEU，同比下滑11.7%。派发中期分红，开启新一轮股份回购。2025上半年公司拟派发每股股利0.56元，约占公司1H2025归母净利润的50%，供给派发现金红利86.8亿元。公司公布的三年股东回报规划中承诺2025-2027年分红总额应占归母净利润的30-50%。公司4Q2025开启新一轮回购，拟回购股份总量为5000万股至1亿股，回购价格不超过14.98元/股，回购股份用于注销。2025Q1-Q3，中远海控A+H市场合计回购股数3.40亿股，回购净额达到41.85亿元。船队结构持续优化，适应新兴市场贸易发展。公司加快实施船队结构优化，2025Q1-Q3公司交付船舶9艘，总运力为15.0万TEU，租入运力25艘，运力为2.86万TEU。截至2025Q3，公司自营集装箱船队运力规模达349.7万TEU，较年初增长5.4%，平均船龄13.9年。目前公司拥有船舶在手订单86.26万TEU，预计2025Q4-2027年，公司船舶交付运力分别为20.0万TEU/8.8万TEU/30.8万TEU，同时，公司中型船舶交付运力占比将较以往有所上升，反映出公司更倾向于船舶结构优化，更好适应新兴市场和区域市场贸易发展。考虑到Q1-Q3运价下降幅度较小，上调2025-2027年归母净利润预测为321亿元、209亿元、184亿元（原200亿元、141亿元、105亿元）。维持“增持”评级。需求增速放缓，行业竞争加剧，运力供给增加，成本压力上升。,,国金证券,增持,[None],2025-10-31,,增持,7086241,pdf_downloads/2025/2025-10-31/601919-中远海控（601919）：业绩好于预期分红回购回报股东.pdf,601919,中远海控,中远海控（601919）：业绩好于预期分红回购回报股东
"孙延,刘晓宁,曾智星,王惠武,张付哲",事件：2025年上半年公司实现营收1090.99亿元，同比+7.78%，其中Q2实现营收551.39亿元，同比-3.39%；2025年上半年，实现归母净利润175.36亿元，同比+3.95%。集运业务量增与码头业务增利支撑公司业绩。2025年上半年，受欧美持续补库存、新兴市场贸易活跃度提升、地缘政治格局变化对部分航线运力调配产生持续影响等多重因素共同作用，集装箱航运市场延续了需求增长的态势。2025年上半年，公司完成提单箱量1328.09万TEU，同比+6.59%，其中，公司披露国际航线单箱收入1205.95美元/TEU，同比-0.39%；公司码头业务总吞吐量7429.60万TEU，同比+6.35%，毛利同比+9.52%。关税波动冲击运价，供给持续承压，市场格局稳固支撑行业盈利。2025年上半年美国关税政策的频繁调整持续冲击集运美线市场，下半年美国关税政策走势仍有一定的不确定性。据世界贸易组织发布的《全球贸易数据与展望》报告预测，2025年全球货物贸易量或将下降0.2%，船公司或将面临跨太平洋航线货量风险。同时，关税的不确定性或加剧运价波动。中长期来看，新增运力持续投放，运力过剩风险不断累积。由于大量新船订单在未来的陆续交付，集运市场在未来三年或面临较大的运力过剩压力。在MSC“单飞”后的海洋、双子星、PA和MSC的“3+1”格局下，行业集中度仍然高位，或将支撑运价下限，预计公司未来利润仍稳健。中期分红稳健，凸显红利属性。2025年中期，公司拟每股派发现金红利0.56元，分红率保持在约50%左右，较2024年同期的0.52元/股同比增长7.69%。盈利预测与投资观点：中远海控作为全球头部集装箱运输综合服务商，基于行业最新供需情况和红海绕行持续的假设，我们预计中远海控2025-2027年归母净利润分别为255.25、190.36与200.90亿元，对应PE分别为9.22、12.36、11.71倍。考虑到行业格局稳固和公司红利属性，维持“增持”评级。风险提示。红海绕行结束；贸易摩擦加剧；港口费用风险；地缘政治风险；经济波动风险。,,华源证券,增持,[None],2025-09-02,,增持,6384633,pdf_downloads/2025/2025-09-02/601919-中远海控（601919）：业绩同比增长，港口业务亮眼.pdf,601919,中远海控,中远海控（601919）：业绩同比增长，港口业务亮眼
"林珊,沈晓峰","2025年8月29日│中国内地/中国香港 水路运输 中远海控发布1H25业绩：营收1,091亿元（yoy+7.8%），归母净利175.4亿元（yoy+4.0%）。其中2Q归母净利58.4亿元（yoy-42.3%，qoq-50.1%）。2Q盈利同环比下滑主因关税扰动，美线量价齐跌。同时，公司宣布中期每股派息0.56元，分红率50%，当前AH股价对应中期股息率3.5%/4.2%。展望下半年，关税扰动及地缘事件仍存较大不确定性，船舶供给边际增加，市场运价或承压。中长期角度，我们认为对运价不宜过度悲观。尽管25-27年新船供给持续增加，但国际贸易格局的变化也催生新的物流需求和全球航线重构，特别是对亚洲区域航线和新兴市场航线需求增加（如：南美/非洲/中东等）。维持“买入”。1H25集运总货量同比+6.6%，其中2Q美线货量同环比下跌1H25集装箱航运业务货量1,328万标准箱，同比+ 6.6%。分航线看，跨太平洋/欧线/亚洲区域内/其他国际/内贸货量同比+4.7%+3.9%/+5.2%/+12.0%/+9.5%。其中，2Q受关税扰动，跨太平洋航线货量同环比-5.6%/-9.3%；其他航线货量保持向好增长态势，主因当地经济内生需求及部分供应链重塑带动。2Q欧洲/亚洲区域内/其他国际/内贸货量同比+11.2%/+6.2%/+14.1%/+6.8%；环比+9.5%/+3.8%/+5.0%/+16.9%。1H25国际单箱收入同比-0.4%，其中2Q美线/欧线同比-14%/-23%1H25国际航线单箱收入为1,206美元/TEU，同比-0.4%。其中，跨太平洋/欧线/亚洲区域内/其他国际单箱收入同比-3.5%/-8.5%/+7.1%/+5.0%。欧美线运价下跌主因关税扰动叠加船舶供给增加；亚洲区域及其他国际航线运价上涨主因当地经济内生需求及产业重塑带动。其中，二季度集运板块受关税影响最为直接，2Q公司跨太平洋航线运价均值同环比-13.8%/-13.0%，欧线运价均值同环比-22.8%/-27.7%。下半年需求环比或走弱，短期运价承压展望下半年，关税及地缘事件持续对集运市场产生扰动。考虑上半年美线部分抢出口需求或已积累较高库存，我们认为货量较上半年将环比走弱。船舶供给端，根据Alphaliner数据，2H25全球预计新增船舶运力2.3%，给短期市场运价构成压力。8月至今，上海出口集装箱运价指数（SCFI）环比7月下跌12.2%，其中欧线/美西线运价环比下跌10.4%/14.7%。维持盈利预测，上调A/H目标价至18.8元/17.1港币我们维持25/26/27年净利预测249.6亿/156.5亿/236.5亿元；基于1.2x/1.0x 25E PB（公司历史三年PB均值加0.5个/1个标准差，BPS 15.70元），上调A/H目标价+1%/+16%至18.8元/17.1港币（前值基于1.2x/0.9x 25E PB，前值BPS 15.24元，BPS增厚主因公司回购导致股本减少），维持“买入”。风险提示：全球经济衰退；地缘政治风险；运价低于预期。",,华泰证券,买入,[None],2025-08-31,,买入,6370541,pdf_downloads/2025/2025-08-31/601919-中远海控（601919）：1H盈利同比微增，2H同环比或回落.pdf,601919,中远海控,中远海控（601919）：1H盈利同比微增，2H同环比或回落
李丹,经营业绩总体表现：2025H1中远海控实现营收1091亿元，同比+7.78%；实现归母净利润175亿元，同比+3.95%。其中，2025Q2公司实现营收511亿元，同比-3.4%；实现归母净利润58亿元，同比-42.25%。集装箱航运业务稳步增长：公司主营集装箱航运业务。25H1集装箱航运业务收入1048亿元，同比+7.49%，毛利215亿元，毛利率20.48%。公司实现货运量1328万标准箱，同比+6.59%，国际航线单箱收入1206美元/标准箱，同比-4.75%。其中，集装箱航运业务按照航线收入划分，跨太平洋、亚欧（含地中海）、亚洲区内（含澳洲）、中国大陆、其他国际（含大西洋）收入同比分别为+2.62%、-2.08%、+13.61%、+10.52%和+19.68%。从集装箱航运业务成本构成来看，25H1设备及货物运输成本408亿元，同比+16.14%；航程成本183亿元，同比-0.53%；船舶成本172亿元，同比+14.78%；设备及货物运输成本、航程成本、船舶成本占比分别为47%、21%和20%。码头业务：码头业务收入58亿元，同比+14.75%。中远海控旗下港口总吞吐量达7430万标准箱，同比+6.35%，控股与参股码头吞吐量分别同比+3.57%和+7.17%。其中西南沿海和海外地区增长尤为突出，分别同比+10.15%和+8.37%。这体现出公司在全球港口码头网络中的资源整合能力和运营效率的持续提升。船队规模稳居行业第一梯队，绿色转型引领行业：截至25H1末，公司旗下自营集装箱船队规模557艘，总运力超过340万标准箱。此外，公司手持新造船订单共计51艘，持有新船订单运力91万标准型，其中42艘为甲醇双燃料动力船。国内首艘甲醇双燃料动力集装箱船“中远海运洋浦”轮已投入运营，并完成国产绿色甲醇加注，积极响应全球低碳监管趋势，展现其在绿色航运领域的领先布局。中期分红率50%，积极回报股东：基于报告期内实现的良好业绩，并结合公司2025-2027年股东分红回报规划及未来可持续发展需要，根据股东会相关授权，董事会宣布向全体股东每股派发2025年中期现金红利人民币0.56元（含税），派息金额约占归属于上市公司股东净利润的50%。为维护公司价值和股东权益，报告期内，公司回购A股股份约1.02亿股，回购H股股份约2.37亿股，上述回购股票均已注销。盈利预测与投资建议：预测公司2025-2027年归母净利润将分别达到291、227、211亿元。公司持续的高分红+回购策略，叠加当前账面货币资金达到1706亿元，当前PB仅1.02X，我们认为公司具备持续的投资价值，维持“增持”评级。风险提示：地缘政治风险、关税战导致货量下降等。,,浙商证券,增持,[None],2025-08-30,,增持,6369606,pdf_downloads/2025/2025-08-30/601919-中远海控（601919）：2025半年度业绩点评：2025H1业绩稳步增长，中期分红50%积极回报股东.pdf,601919,中远海控,中远海控（601919）：2025半年度业绩点评：2025H1业绩稳步增长，中期分红50%积极回报股东
"孙延,曾智星,王惠武","事件:2025年4月29日，中远海控发布2025年一季度报:公司实现营收579.6亿元，同比增长 20.05%;实现归母净利润116.95亿元，同比增长73.12%。其中，集装箱航运业务收入为558.83亿，同比增加20.07%，净利润为117.58亿，同比增长 87.27%。运价运量双增，支撑公司业绩。2025年 Q1公司实现归母净利润同比大幅增长，主要系公司集装箱航运业务货运量、单箱收入同比均有增长:2025年一季度，公司综合运价为8,621.88元/TEU，同比上涨11.65%，其中，公司披露国际航线单箱收入1311.09 美元/TEU(折合约 9518元/TEU)，同比上涨 139.03%;2025Q1公司集装箱航运业务货运量为 648.15万TEU，同比上涨7.53%;公司码头业务总吞吐量3574.89万TEU，同比上升7.48%。中美关税摩擦持续，转口贸易强化集运利润，需关注美国301港口费用影响。中美关税摩擦持续冲击集运美线市场，关税升级或将导致双边大部分商品的直接贸易几乎停滞，船公司面临跨太平洋航线货量风险。其他地区与中国对美的关税差或将刺激转口贸易，特别是亚州内与远东-拉美集运贸易，或将利好相关航线业绩;美国依据《1974年贸易法》第 301条款，认定中国海运、造船等领域存在“不合理做法”，于美国当地时间2025年4月17日发布调查结果:自2025年10月14日起对中国船东、运营商及中国建造船舶按净吨或集装箱数量逐年递增收费。需关注后续关税摩擦和 301 港口费用对公司跨太平洋航线业务的影响。盈利预测与投资观点:中远海控作为全球头部集装箱运输综合服务商，基于行业最新供需情况和红海绕行持续的假设，我们预计中远海控2025-2027年归母净利润分别为 231.78、186.73与196.73亿元，对应PE分别为9.69、12.02、11.41倍。考虑到行业高集中度和公司红利属性，维持“增持”评级。风险提示。红海绕行结束;贸易摩擦加剧;港口费用风险;地缘政治风险;经济波动风险。",,华源证券,增持,[None],2025-05-06,,增持,6040825,pdf_downloads/2025/2025-05-06/601919-中远海控（601919）：Q1业绩同比大增，关注后续美国关税与港费影响.pdf,601919,中远海控,中远海控（601919）：Q1业绩同比大增，关注后续美国关税与港费影响
"胡光怿,杨蕊",事件：中远海控公布2024年度报告以及2025年第一季度报告。2024年，公司实现营业收入2338.6亿元，同比增长33.29%，2025年一季度公司实现营收579.6亿元，同比增长20.1%。2024年全年公司实现归母净利润491亿元，归母净利率为21%，较23年上涨7.4pp。2025年一季度公司实现归母净利116.9亿元，同比增长73.1%，归母净利率为20.2%。稳健经营，持续回报股东。公司董事会建议向全体股东每股派发现金红利人民币1.03元(含税)，2024年末期应派发现金红利约161.3亿元，加上2024年中期已向全体股东派发的现金红利约人民币83亿元，公司2024年度共计派发现金红利约244.3亿元，约为公司2024年度实现的归属于上市公司股东净利润的50%。公司整体的运力规模在全球范围领先。截至2024年12月31日，公司旗下自营集装箱船队规模 538 艘，运力约 332万标准箱，船队规模继续稳居行业第一梯队。公司手持新造船订单共计43艘，合计运力约75 万标准箱。公司积极顺应行业绿色发展新趋势，通过订造绿色新能源船舶和船舶改造等方式，持续优化公司船队结构。红海绕行叠加港口拥堵消化市场过剩运力，2024年市场运价反弹回升。2024 年，世界经济延续温和复苏态势，全球生产活动有所改善，服务贸易活跃支撑全球贸易保持增长，带动了全球集装箱航运市场运输需求攀升。2024年，全球集装箱航运市场新船运力交付约300万TEU，同比增幅超过10%。尽管新船交付运力增长显著，但红海船舶绕航叠加港口拥堵，消化吸收了部分运力，有效缓解市场供给压力。综合来看，随着供需关系趋紧，市场运价反弹回升，2024年中国出口集装箱运价综合指数（CCFI）均值同比上涨65%。盈利预测与投资建议。我们看好公司作为行业领先航运服务商的经营韧性，同时强调有效运力的增速小于实际投放的新船，市场运力可控，预计公司2025-2027年归母净利润分别为266.5、248.6、263.2亿元，EPS分别为1.68元、1.57元、1.66元，对应PE分别为9x、9x、9x。红海航运危机远未结束，绕行当前仍然存在，我们认为公司作为头部航运企业，经营稳健，维持“买入”评级。风险提示：宏观经济波动风险、燃油价格波动风险、运价上涨不及预期风险等。,,西南证券,买入,[None],2025-04-30,,买入,6035916,pdf_downloads/2025/2025-04-30/601919-中远海控（601919）：红海绕行消化运力，公司盈利高增分红积极.pdf,601919,中远海控,中远海控（601919）：红海绕行消化运力，公司盈利高增分红积极
