author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"杨林,余双雨",事件：云天化参股子公司取得云南镇雄碗厂24.38亿吨磷矿采矿权。云天化于2025年12月25日发布公告披露其参股子公司云南云天化聚磷新材料有限公司（简称“聚磷新材”）已于12月23日取得云南省镇雄县碗厂磷矿的《不动产权证书（采矿权）》与《采矿许可证》。该矿区面积达23.1564平方公里，开采期限至2040年12月，资源量约24.38亿吨、平均品位22.54%，主采矿种为磷矿，共伴生氟矿。云天化目前持有聚磷新材35%股权，其控股股东云天化集团承诺3年内将聚磷新材控制权优先注入上市公司；此次采矿权落地后，聚磷新材将打造磷基新材料产业园区，助力云天化实现磷资源高值高效利用，推动产业结构升级与核心竞争力提升。国信化工观点：1）此次聚磷新材取得的镇雄碗厂磷矿是国内少有的大型优质磷矿资源，公司磷矿资源储备大幅增厚，筑牢成本与竞争壁垒；2）磷矿石稀缺属性持续强化，储能及动力电池驱动磷矿石需求上行；3）磷矿石价格预期高位运行，矿增贡献的利润增量可期。投资建议：公司作为化肥及磷化工龙头，资源与产业规模优势显著，我们维持公司2025-2027年归母净利润预测为55.23/55.74/57.09亿元，对应EPS为3.01/3.04/3.11元，对应当前股价PE为10.5/10.4/10.1X，维持“优于大市”评级。评论：磷矿资源储备大幅增厚，筑牢成本与竞争壁垒云天化参股子公司取得云南镇雄碗厂24.38亿吨磷矿采矿权。云天化于2025年12月25日发布公告披露其参股子公司云南云天化聚磷新材料有限公司（简称“聚磷新材”）已于12月23日取得云南省镇雄县碗厂磷矿的《不动产权证书（采矿权）》与《采矿许可证》。该矿区面积达23.1564平方公里，开采期限至2040年12月，资源量约24.38亿吨、平均品位22.54%，主采矿种为磷矿，共伴生氟矿。云天化目前持有聚磷新材35%股权，其控股股东云天化集团承诺3年内将聚磷新材控制权优先注入上市公司；此次采矿权落地后，聚磷新材将打造磷基新材料产业园区，助力云天化实现磷资源高值高效利用，推动产业结构升级与核心竞争力提升。此次聚磷新材取得的镇雄碗厂磷矿资源量达24.38亿吨，平均品位22.54%，且矿区面积23.1564平方公里、开采期限长达15年，是国内少有的大型优质磷矿资源。作为磷化工核心原材料，磷矿的稀缺性与不可替代性决定行业竞争壁垒，云天化通过参股公司锁定巨量资源，不仅能长期保障自身磷基产业链的原材料供应稳定性，还能规避未来磷矿价格波动带来的成本风险，进一步巩固其在国内磷化工行业的龙头地位。,,国信证券,优于大市,[None],2025-12-26,,买入,8284387,pdf_downloads/2025/2025-12-26/600096-云天化（600096）：子公司获云南镇雄磷矿采矿权，资源壁垒再加固.pdf,600096,云天化,云天化（600096）：子公司获云南镇雄磷矿采矿权，资源壁垒再加固
"王亮,王海涛",事件：公司近期发布2025年三季报，期内实现营业总收入375.99亿元，同比下降19.53%，归母净利润47.29亿元，同比增长6.89%；其中2025Q3单季度实现归母净利润19.68亿元，同比+24.30%，环比+33.69%。2025Q3单季度业绩亮眼，出口贡献明显。据公告，公司2025年前三季度实现磷肥销量367.55万吨，实现营收124.76亿元；实现复合（混）肥销量131.55万吨，实现营收40.68亿元；饲钙级磷酸氢钙销量41.09万吨，实现营收17.26亿元。期内磷肥价格3394元/吨，较去年同期的3315元/吨上涨2.4%；复合（混）肥价格3093元/吨，较去年同期的2936元/吨上涨5.4%；饲钙级磷酸氢钙价格4200元/吨，较去年同期的3435元/吨上涨22.3%。2025Q3单季度实现归母净利润19.68亿元，同比+24.30%，环比+33.69%。公司单季度盈利显著改善，主要系25Q3磷肥价格持续上行、国内磷肥出口显著好转所致。磷矿石价格维持高景气度，公司资源优势明显。据百川数据，截至目前磷矿石（30%）价格1017元/吨，28%品位945元/吨，仍处于高位。公司拥有丰富的磷矿资源，现有磷矿储量近8亿吨，磷矿石采选规模1450万吨/年，是我国最大的磷矿采选企业之一，资源优势明显。公司推进镇雄磷矿开发工作，参股公司顺利取得探矿权，加快推进探转采工作。镇雄县碗厂磷矿位于镇雄县羊场—芒部磷矿区的冯家沟、祝家厂和庆坝村三个区块内，该区域磷矿资源丰富，有助于提升公司磷矿资源保障能力，资源优势将进一步巩固。投资建议：公司是磷矿石-磷肥-磷化工行业龙头，我们预计2025/2026/2027年归母净利润分别为55.45/57.72/58.80亿元，对应当前PE估值分别为9.7x、9.4x、9.2x，维持“买入”评级。风险提示：原材料、产品价格剧烈波动风险；行业产能过剩风险；不可抗力风险等。,,太平洋证券,买入,[None],2025-11-04,,买入,7393820,pdf_downloads/2025/2025-11-04/600096-云天化（600096）：2025Q3单季度业绩亮眼，公司资源优势持续强化.pdf,600096,云天化,云天化（600096）：2025Q3单季度业绩亮眼，公司资源优势持续强化
"孙颖,曹惠",报告摘要事件：公司发布2025年三季报，2025年前三季度实现营业收入375.99亿元，同比-19.53%；归母净利润47.29亿元，同比+6.89%；扣非归母净利润46.19亿元，同比+6.32%。2025Q3单季实现营业收入126.07亿元，同比-14.42%，环比+5.17%；归母净利润19.68亿元，同比+24.30%，环比+33.69%；扣非归母净利润19.23亿元，同比+23.71%，环比+34.90%。2025年前三季度多项主营产品收入同比增长。从经营数据上看，报告期内，磷肥、复合肥、尿素、聚甲醛、黄磷、饲料级磷酸氢钙分别实现收入124.76、40.68、37.04、8.52、3.06、17.26亿元，同比分别+3.06%、+0.98%、-14.64%、-10.59%、+0.35%、+18.36%。价格端，各产品均价分别为3394、3093、1744、10103、20449、4200元/吨，同比分别+2.38%、+5.35%、-17.66%、-12.85%、+0.36%、+22.27%，其中，磷肥受益于Q3出口高价提振，尿素和聚甲醛受供给侧压力影响、价格有所承压。从产销上看，报告期内各产品产量分别为369.97、141.87、219.36、8.53、2.38、43.22万吨，同比分别-0.79%、+4.01%、+7.78%、+0.83%、+16.67%、-3.01%，销量分别为367.55、131.55、212.42、8.43、1.5、41.09万吨，同比分别+2.32%、-4.15%、+3.72%、+2.55%、+0.00%、-3.20%，磷肥、尿素、聚甲醛销量实现增长。成本端看，2025年前三季度公司原料煤、燃料煤、天然气和硫磺主要原料价格同比分别-13.49%、-13.54%、+2.66%和+76.81%，原料煤及燃料煤成本降低，但硫磺成本高企，随着低价库存消耗完毕，或对公司盈利空间有所挤压。受益磷肥集中出口，Q3利润显著增厚。今年磷肥出口于5月中下旬开启，窗口期为5-9月，其中第三季度为主要出口阶段，据百川盈孚，2025年前三季度磷酸一铵、二铵出口总量分别为125万吨及251万吨，其中7-9月一铵、二铵分别出口99万吨及191万吨，占前三季度出口总额的比重分别为79.4%及76.2%，三季度为政策落地后公司配额释放与订单交付的关键阶段。价差方面，据百川盈孚，7-9月国内磷酸一铵、磷酸二铵均价分别为3317元/吨、3545元/吨，波罗的海磷酸一铵FOB均价为723.5美元/吨，美国海湾磷酸二铵FOB均价为736美元/吨，一铵、二铵海内外平均价差分别为1820元/吨、1680元/吨，海外磷肥高价有助于外销盈利水平提升。25Q3受益于出口量的集中释放与高毛利订单的兑现，有效对冲了硫磺成本高企压力，推动公司归母净利润环比大幅增长。盈利能力持续提升，研发力度不断强化。报告期内，公司毛利率为20.85%，同比+3.86pct、净利率为13.61%，同比+2.69pct，盈利能力提升或与公司磷肥、复合肥、饲钙等主要产品价格上涨，原料煤、燃料煤等主要原料价格降低有关。费用端，2025年前三季度公司期间费用率为4.76%，较去年同期增加0.71pct，主要系公司加大研发投入、研发费率同比增加0.61pct，若剔除研发费用影响，公司其他三费费用率同比增加约0.1pct，费用管控保持良好水平。磷化工板块景气延续，公司资源优势持续夯实。磷矿石价格维持高位，据百川盈孚，25Q3磷矿石均价为1020元/吨，同比+0.24%，环比持平。据公司投资者交流记录，今年国内磷矿实际产量有所增加，但因新能源需求释放及国内磷矿品质下降影响，国内磷矿石供需仍维持紧平衡，展望后续，新增磷矿产能建设周期长，且国家对磷资源开发仍为强管控，预计短期内供需仍偏紧，磷资源价格有望维持稳定。在磷化工景气背景下，公司持续夯实磷矿资源优势，报告期内，昆阳二矿、镇雄磷矿项目进展顺利。其中，参股公司镇雄磷矿探转采工作高效推进，据4月8日公告，合资公司已提前完成镇雄磷矿的勘探野外工作，并顺利通过“勘探野外工作”验收，工作进展快于预期。磷化集团昆阳磷矿二矿地采项目也已进入试运行阶段，处于产能爬坡时期，待该项目磷矿石产能释放后，将进一步提升公司磷矿自给率，为高价值磷肥及磷化工产品的稳定生产提供核心资源保障。盈利预测：公司是磷肥及磷化工龙头企业，产业链一体化优势突出，预计2025-2027年归母净利润分别为55.3、57.3、60.8亿元，当前股价对应PE分别为8.9、8.6、8.1倍，对应PB分别为1.8、1.5、1.3倍，维持“买入”评级。风险提示：磷矿石投产进度超预期、国内磷肥进出口政策变动、海内外宏观环境大幅波动、使用的第三方数据信息更新不及时等。,,中泰证券,买入,[None],2025-10-31,,买入,7143734,pdf_downloads/2025/2025-10-31/600096-云天化（600096）：2025年三季报点评：Q3净利润同环比提升，出口驱动盈利高增.pdf,600096,云天化,云天化（600096）：2025年三季报点评：Q3净利润同环比提升，出口驱动盈利高增
翟绪丽,事件：公司发布2025年三季报，报告期内，实现营业收入375.99亿元，同比-19.53%，实现归母净利润47.29亿元，同比+6.89%。其中，第三季度实现营业收入126.07亿元，同比-14.42%，环比+5.17%，实现归母净利润19.68亿元，同比+24.30%，环比+33.69%，创单季度业绩新高。商贸物流业务收入减少虽导致营业收入同比下滑，却提升了整体盈利能力。自2023年开始，公司聚焦主业，根据市场情况主动缩减了商贸业务规模，2025年上半年商贸物流（行业）营业收入80.61亿元，同比大幅减少40.14%，是公司营业收入同比减少的主要原因，但由于商贸物流（行业）的毛利率一直很低（2025H1为1.45%，同比提升0.07pct），该部分业务的收缩反而优化了收入结构，提高了整体的盈利能力。2025年前三季度，公司整体毛利率为20.85%，同比提升3.86pct，整体净利率为13.61%，同比提升2.70pct。第三季度磷铵出口量价齐升，助力公司业绩创新高。第三季度是国内磷铵出口的集中期，从行业层面看，国内出口总量为290.73万吨，同比+20.34%，环比+290.32%，从公司层面看，第三季度磷铵销量为145.64万吨，同比+19.93%，环比+54.64%。同时第三季度海内外磷铵价差扩大，显著增厚出口企业业绩。具体来看，第三季度磷酸一铵海内外价差为1758元/吨，同比+83.30%，环比+16.80%，磷酸二铵海内外价差为1352元/吨，同比+862.83%，环比+74.57%。磷矿石维持高景气，公司有望充分受益。磷矿石本轮景气周期开始于2021年，受需求提升和供给收缩等因素影响，磷矿石供需紧张，价格大幅上涨。2024年以来，磷矿石价格维持高位运行，根据百川盈孚数据，2025年10月30日，国内磷矿石参考价格1017元/吨，依旧保持高景气。公司拥有丰富的磷矿资源，截至上半年底，拥有磷矿储量近8亿吨，原矿生产能力1450万吨/年，擦洗选矿生产能力618万吨/年，浮选生产能力750万吨/年，是我国重要的磷矿采选企业之一。磷矿石维持高景气，公司有望充分受益。投资建议：我们预计公司2025-2027年归母净利润分别为56.49/60.41/63.48亿元，EPS分别为3.10/3.31/3.48元/股，对应PE分别为9/9/8倍，考虑公司作为国内重要的磷矿采选和化肥生产企业，兼具周期性和成长性，维持“买入”评级。风险提示：产品价格大幅下滑，新项目进展不及预期。,,首创证券,买入,[None],2025-10-31,,买入,7104560,pdf_downloads/2025/2025-10-31/600096-云天化（600096）：公司简评报告：第三季度磷铵出口量价齐升，助力公司业绩创新高.pdf,600096,云天化,云天化（600096）：公司简评报告：第三季度磷铵出口量价齐升，助力公司业绩创新高
"王鹏,孙思源",核心观点事件：公司发布2025年第三季度报告。报告期内，公司实现营业总收入375.99亿元，同比下滑19.53%；实现归母净利润47.29亿元，同比增长6.89%。分季度来看，公司25Q3实现营业总收入126.07亿元，同比下滑14.42%，环比增长5.17%；实现归母净利润19.68亿元，同比增长24.30%，环比增长33.69%。磷肥出口数据显著改善，25Q3公司盈利创新高：25Q3公司销售毛利率、销售净利率分别为24.21%、16.48%，同比分别变化6.40、5.10pcts，环比分别变化2.95、2.76 pcts。分产品来看，磷肥、复合（混）肥、尿素、聚甲醛、黄磷、饲料级磷酸氢钙销量同比分别变化19.93%、-13.60%、5.76%、3.26%、-32.26%、0.70%，环比分别变化54.64%、-27.47%、-7.32%、-7.77%、-8.70%、25.30%；销售均价同比分别变化16.16%、0.99%、-13.39%、-22.39%、-1.58%、23.85%，环比分别变化15.41%、-19.98%、-3.67%、-9.01%、-3.15%、1.52%。公司单季度盈利能力显著改善，主要系25Q3海外磷肥价格持续上行、国内磷肥出口显著好转，公司磷肥板块量利齐增所致。根据海关总署数据，25Q3我国磷酸一铵、磷酸二铵出口量分别为99.24、191.49万吨，环比分别增长344.25%、267.21%；出口均价分别为692.30、726.56美元/吨，环比分别增长19.27%、7.11%。磷矿价格高位运行，公司资源优势不断夯实。中期来看，在供需持续紧平衡、行业监管趋严、新产能建设成本及开采成本趋于提升的行业背景下，磷矿石价格有望在维持高位运行。公司资源优势显著，现有磷矿储量近8亿吨，原矿生产能力1450万吨/年。目前公司子公司磷化集团昆阳磷矿二矿地采项目进入试运行阶段，450万吨/年磷矿浮选项目按计划施工建设；参股公司聚磷新材镇雄磷矿探转采工作正快速推进。未来公司磷资源保障能力将不断强化，有助于进一步夯实公司磷化工产业链一体化优势和竞争优势。投资建议：预计2025-2027年公司归母净利润分别为57.84、58.98、60.00亿元，同比分别变化8.46%、1.98%、1.73%；对应PE分别为8.77、8.60、8.46倍，我们持续看好公司作为磷化工一体化龙头企业的竞争优势，维持“推荐”评级。风险提示：下游需求不及预期的风险；原材料价格大幅波动的风险；行业政策变动的风险等。,,银河证券,推荐,[None],2025-10-30,,买入,7050275,pdf_downloads/2025/2025-10-30/600096-云天化（600096）：磷肥出口显著改善，公司25Q3业绩亮眼.pdf,600096,云天化,云天化（600096）：磷肥出口显著改善，公司25Q3业绩亮眼
"庄汀洲,张雄,杨泽鹏",2025年10月28日│中国内地 农用化工 云天化公布三季度业绩：Q3实现营收126亿元（yoy-14%，qoq+5%），归母净利19.7亿元（yoy+24%，qoq+34%）。2025年Q1-Q3实现营收376亿元（yoy-20%），归母净利47.3亿元（yoy+7%），扣非净利46.2亿元（yoy+6%）。公司Q3归母净利润基本符合我们预测（20亿元）。考虑到磷产业链景气有望维持，公司具备稀缺产能优势，且高股息率有望保持，维持“买入”评级。磷铵、饲钙出口较好下价格上涨，前三季度毛利率yoy+4pct至21%25年前三季度公司磷铵销量同比+2%至368万吨，均价同比+1%至3394元/吨，营收同比+3%至125亿元，第三季度磷铵出口较好，Q3磷铵销量同比+20%至146万吨，均价同比+16%至3764元/吨，营收同比+39%至55亿元。25年前三季度公司尿素销量同比+4%至212万吨，由于供需面相对不佳，均价同比-18%至1744元/吨，营收同比-15%至37亿元；25年前三季度复合肥销量同比-4%至132万吨，受成本提升等影响，均价同比+5%至3093元/吨，营收同比+1%至41亿元；25年前三季度公司饲钙销量同比-3%至41万吨，由于下游及出口需求较好，均价同比+22%至4200元/吨，营收同比+18%至17亿元。25年前三季度毛利率同比+3.9pct至20.9%，主要系部分产品价格上涨。海外需求较好叠加磷资源偏紧，磷产业链景气有望维持据百川盈孚，截至10月28日，公司主要产品磷酸二铵/磷酸一铵/磷矿石/尿素/磷酸一二钙/POM价格为3596/3267/1017/1621/4212/10600元/吨，较9月底+0.5%/+0%/+0%/-1%/+4%/-2%，供需趋紧下磷酸二铵价格小幅上涨，需求淡季下尿素价格有所走弱。据彭博等，截至10月24日，海外磷酸二铵（美湾）/尿素（中东颗粒）价格755/393美元/吨，较年初+30%/+11%，海内外价差仍较大。我们认为在海内外种植面积提高以及全球磷资源偏紧下，磷产业链未来景气有望维持。在投磷矿项目进展顺利，高分红比例有望保持据25年半年报，参股公司镇雄磷矿探转采工作快速推进，磷化集团昆阳磷矿二矿地采项目进入试运行阶段，450万吨/年磷矿浮选项目按计划施工建设。24年公司分红比例/年末股息率达48%/6.7%，承诺在25-26年分红比例不低于45%，公司资产负债率近年来持续降低，亦有望助力分红率提升。盈利预测与估值我们维持预测公司25-27年归母净利润为58/62/65亿元，同比+9%/+6%/+6%，对应EPS为3.19/3.39/3.59元。参考可比公司25年平均14xPE的Wind一致预期，给予公司25年14xPE估值，给予目标价44.66元（前值为41.47元，对应25年13xPE），维持“买入”评级。风险提示：原材料价格大幅波动；新项目达产不及预期；下游需求不及预期。,,华泰证券,买入,[None],2025-10-29,,买入,6948209,pdf_downloads/2025/2025-10-29/600096-云天化（600096）：磷肥等出口需求较好提振盈利能力.pdf,600096,云天化,云天化（600096）：磷肥等出口需求较好提振盈利能力
"李辉,李佳骏","报告导读云天化10月28日发布2025年三季报，公司实现营收375.99亿元，同比下降19.53%，实现归母净利润47.29亿元，同比增长6.89%，扣非后归母净利润46.19亿元，同比增长6.32%。Q3单季度实现营收126.07亿元，同比下降14.42%，环比增长5.17%，实现归母净利润19.68亿元，同比提高24.30%，环比提高33.69%，扣非后归母净利润19.23亿元，同比提高23.71%，环比提高34.90%。公司业绩符合预期。投资要点产品经营稳定，保障公司业绩根据公司公告，磷肥/复合肥/尿素/聚甲醛/黄磷/饲钙2025前三季度产量分别369.97/141.87/219.36/8.53/2.38/43.22万吨，销量分别达到367.55/131.55/212.42/8.43/1.50/41.09万吨，公司经营稳中向好；产品价格有所波动，毛利整体呈现下滑趋势根据公司披露，2025前三季度磷铵/复合肥/尿素/聚甲醛/黄磷/饲钙等周期性产品市场均价分别为3394/3093/1744/10103/20449/4200元/吨，产品价格有所波动；根据百川盈孚，2025年Q3磷酸一铵/磷酸二铵/尿素/黄磷市场均价分别3317.15/3544.64/1744.36/22262.06元/吨，同比分别1.10%/-2.78%/-16.37%/-2.25%，环比分别 0.59%/0.49%/-5.83%/-3.75%；毛利润为-74.42/-111.21/73.04/1721.83元/吨，同比分别-117.02%/-133.20%/-74.90%/-23.98%，环比分别24.43%/24.36%/-59.39%/17.18%。产品价格均出现不同程度调整，盈利情况出现波动，公司25Q3业绩或因产品利润下行受到部分影响；但公司磷矿石资源丰富，受益于磷矿石价格保持高位，公司未来两年利润中枢有望维持。半年度利润分配发布，明确派息及股本变动规则公司发布2025 年半年度利润分配。根据公告，公司计划以权益分派股权登记日当天登记的总股本为基数，向全体股东实施每 10 股派 2 元（含税）的现金分红。截至 2025 年 6 月 30 日，公司总股本为 1,822,990,731 股，据此计算，拟派发现金红利总额达 364,598,146.20 元（含税）。公司承诺，若从公告披露日到股权登记日期间公司总股本出现变动，每股分配金额将保持不变，分配总额则会相应调整，调整情况将在相关公告中予以披露。公司强调此次利润分配不会对经营活动现金流及长期发展产生重大影响。盈利预测及估值公司经营长期稳定，后续发展稳中向好，由于公司主动调整了盈利较低的贸易业务，营收或出现大幅下滑；预计 2025-2027年公司营业收入分别为493.53、504.98、507.58亿元，公司归母净利润分别为55.44/56.49/58.99亿元；对应EPS分别3.04/3.10/3.24元，对应PE分别为9.15/8.98/8.60倍，公司是磷化工板块龙头公司，磷矿石高景气有望保持，维持“买入”评级。风险提示产能投放不及预期风险；产品价格大幅波动风险；新产品开发风险；安全及环保风险；政策变动风险等",,浙商证券,买入,[None],2025-10-29,,买入,6920765,pdf_downloads/2025/2025-10-29/600096-云天化（600096）：Q3单季度业绩创新高，半年分红馈大家.pdf,600096,云天化,云天化（600096）：Q3单季度业绩创新高，半年分红馈大家
"杨林,余双雨","公司2025年三季度归母净利润同环比提升。2025年三季度营收126.1亿元（同比-14.4%，环比+5.2%），归母净利润19.7亿元（同比+24.3%，环比+33.7%）；毛利率为24.2%/净利率为16.5%，总费用率5.4%，均同环比提升。营收同比下滑主要受商贸业务规模缩减影响，盈利能力同环比提升，核心系磷肥海内外价差持续扩大带动出口量价齐升，叠加全产业链成本控制成效显著。核心业务化肥板块，磷肥海外价差扩大。2025年三季度，公司磷肥/尿素/复合（混）肥营收分别为54.82/11.34/9.42亿元，占总营收比例分别为43%/9%/7%，其中磷肥为营收贡献最大的单一产品；不含税销售均价分别为3764/1720/2836元/吨，同比+16%/-13%/+1%，环比+15%/-4%/-20%；销量分别为145.64/65.93/33.22万吨，同比+20%/+6%/-14%，环比+54%/-7%/-28%。国内磷肥保供稳价政策下供应平稳，国际市场因区域供应缺口价差持续扩大，叠加三季度出口配额集中释放，出口量价齐升推动销售均价上涨；尿素市场受新增产能释放影响，价格延续低位波动；复合肥受三季度秋肥需求淡季影响，销量环比下滑，叠加产能过剩压力，价格环比下降。作为国内化肥总产能1000万吨的龙头企业，公司依托多地生产基地，三季度积极把握出口窗口期，助力利润增长。磷矿石供需偏紧，价格中枢维持高位。国内磷矿石供需格局偏紧，资源稀缺属性日益凸显，价格高位运行。2025年三季度公司磷矿成品矿产量286万吨，依托近8亿吨磷矿储量及1450万吨/年采选规模实现完全自给，叠加270万吨/年合成氨（自给率97%以上）及内蒙古400万吨/年煤矿保障，全产业链成本控制能力显著。磷化工及新材料业务分化,饲料级磷酸氢钙量价齐升。三季度饲料级磷酸氢钙受原料磷矿石价格高位支撑，叠加下游需求回暖带动销量及价格增长；聚甲醛受国内新增产能集中释放及淡季需求不足影响，销量及价格环比下降；黄磷因供应增速略超需求，叠加水电供应充足带来的成本下降，销量及价格下降。随着磷矿浮选项目投产及技术改造深化，将进一步释放产能，巩固细分领域优势。风险提示：原材料价格波动；下游需求不及预期；安全风险等。投资建议：公司作为化肥及磷化工龙头，资源与产业规模优势显著，我们维持公司2025-2027年归母净利润预测为55.23/55.74/57.09亿元，对应EPS为3.01/3.04/3.11元，对应当前股价PE为9.2/9.2/8.9X，维持“优于大市”评级。",,国信证券,优于大市,[None],2025-10-28,,买入,6917408,pdf_downloads/2025/2025-10-28/600096-云天化（600096）：三季度归母净利同环比提升，磷肥出口量价齐升.pdf,600096,云天化,云天化（600096）：三季度归母净利同环比提升，磷肥出口量价齐升
翟绪丽,事件：公司发布2025年中报，报告期内，实现营业收入249.92亿元，同比-21.88%，实现归母净利润27.61亿元，同比-2.81%。其中，第二季度实现营业收入119.88亿元，同比-33.90%，环比-7.82%，实现归母净利润14.72亿元，同比+6.52%，环比+14.15%。商贸物流业务收入减少拖累营业收入，主营产品产销量相对稳定，经营保持稳健。2025年上半年，公司聚焦主业，根据市场情况主动缩减了商贸业务规模，商贸物流（行业）营业收入80.61亿元，同比大幅减少40.14%，是公司营业收入同比减少的主要原因，但由于商贸物流（行业）的毛利率一直很低（2025H1为1.45%，同比提升0.07pct），对利润的影响整体可控。除此之外，化肥（行业）营业收入127.15亿元，同比-11.26%，也对营业收入造成了不利影响。具体来看，2025H1，公司磷肥/复合肥/尿素的销量分别为221.91/98.33/146.49万吨，同比分别-6.67%/-0.47%/+2.83%，保持相对稳定，三种肥料的均价分别为3152/3179/1754元/吨，同比分别为-6.69%/+6.50%/-19.39%，营业收入分别为69.95/31.26/25.69亿元，同比分别为-14.40%/+6.00%/-17.12%。2025H1，公司整体毛利率为19.16%，同比提升2.55pct，整体净利率为12.17%，同比提升1.46pct，经营保持稳健。磷矿石维持高景气，磷矿资源有望继续扩充。磷矿石本轮景气周期开始于2021年，受需求提升和供给收缩等因素影响，磷矿石供需紧张，价格大幅上涨。2024年以来，磷矿石价格维持高位运行，根据百川盈孚数据，2025年上半年国内磷矿石参考价维持在1020元/吨左右，依旧保持高景气。公司拥有丰富的磷矿资源，现有磷矿储量近8亿吨，原矿生产能力1450万吨/年，擦洗选矿生产能力618万吨/年，浮选生产能力750万吨/年，是我国重要的磷矿采选企业之一。2025年上半年，参股公司镇雄磷矿探转采工作快速推进，磷化集团昆明磷矿二矿地采项目进入试运行阶段，450万吨/年磷矿浮选项目按计划施工建设。磷矿资源的不断扩充将为公司提供新的业绩增长点。投资建议：基于上半年业绩，我们上调公司2025-2027年归母净利润分别为56.49/60.41/63.48亿元，EPS分别为3.10/3.31/3.48元/股，对应PE分别为9/8/8倍，考虑公司作为国内重要的磷矿采选和化肥生产企业，兼具周期性和成长性，维持“买入”评级。风险提示：产品价格大幅下滑，新项目进展不及预期。,,首创证券,买入,[None],2025-09-09,,买入,6408603,pdf_downloads/2025/2025-09-09/600096-云天化（600096）：2025H1经营业绩稳健，磷化工景气度有望维持.pdf,600096,云天化,云天化（600096）：2025H1经营业绩稳健，磷化工景气度有望维持
余嫄嫄,"云天化业务结构优化，磷肥盈利能力提升公司发布2025年中报。2025H1公司实现营业总收入249.92亿元，同比降低21.88%；归母净利润27.61亿元，同比降低2.81%。2025Q2营收119.88亿元，同比降低33.90%，环比降低7.82%；归母净利润14.72亿元，同比增长6.52%，环比增长14.15%。公司发布中期分红预案，每10股派发现金红利2.00元（含税）。公司依托资源优势，受益于磷化工高景气度，维持买入评级。支撑评级的要点业务结构优化，磷肥盈利能力提升。2025年上半年公司营业收入同比降低21.88%至249.92亿元，其中第二季度营业收入为119.88亿元，同比降低33.90%，环比降低7.82%。营收下降主要系公司优化业务结构，主动缩减低毛利率的大豆贸易业务规模，2025H1公司商品粮食贸易规模同比减少52.64亿元。分业务来看，1）磷肥：上半年国内磷肥价格在保供稳价政策下保持平稳，国际磷肥价格受贸易量减少、区域冲突、原料价格上涨等因素影响持续上涨，出口价差有所增加。公司上半年磷肥业务营收同比降低15.20%至69.95亿元，毛利率同比提升4.84pct至39.20%。2）尿素：2025H1国内尿素新增产能投产较多，价格处于低位，公司尿素收入同降17.12%至25.69亿元，销售均价同降19.40%至1,753.93元/吨，销售毛利率同降10.26pct至16.34%。3）复合肥：上半年公司复合肥营收同比提升6.00%至31.26亿元，销售均价同比提升6.50%至3,178.59元/吨，毛利率同比提升1.20pct至14.18%。4）饲料级磷酸氢钙：2025H1实现营收10.36亿元，同比增长14.47%，销售均价同比提升21.12%至4095.54元/吨。5）聚甲醛：2025H1营收同降5.88%至5.95亿元，销售均价同比下降7.90%。期间费用持续优化，盈利能力提升。2025H1公司毛利率为19.16%，同比提升2.55pct。2025年上半年公司销售/管理/研发/财务费用率分别为1.31%/1.45%/0.97%/0.74%，分别同比+0.16pct/+0.18pct/+0.35pct/-0.13pct，销售、管理、财务费用绝对数额同比均有所降低。2025H1公司净利率为12.17%，同比提升1.46pct。公司加强资金预算管理，截至2025年中报，综合融资成本、带息负债规模同比优化，资产负债率同比下降4.91pct至51.58%。产业布局稳步推进，分红有望维持较高水平。主业方面，公司聚焦产业链补强和经营效率提升。根据公司2025年中报，子公司磷化集团昆阳磷矿二矿项目已经进入试运行阶段，450万吨/年磷矿浮选项目按计划施工建设；子公司金新化工、天安化工、大为制氨完成合成氨产能技改；公司完成10万吨/年磷酸铁项目连续法技改，优化装置运行效率。贸易业务方面，公司主动缩减大豆贸易业务规模，提升资产质量和抗风险能力。此外，公司承诺2024-2026年现金分红原则上不少于期间累计实现可供分配利润总额的45%，稳健经营下公司有望维持较高分红水平。估值 磷化工及上游磷矿石维持较高景气度，上调 2025-2027 年盈利预测。预计 2025-2027年 EPS 分别为 3.13 元、3.22 元、3.31 元，对应 PE 分别为 8.7 倍、8.5 倍、8.3 倍。看好公司一体化运营优势及高分红属性，维持买入评级。 评级面临的主要风险 磷矿石新增产能进度超预期；化肥出口法检政策趋严；安全与环保风险。",,中银国际,买入,[None],2025-09-02,,买入,6382241,pdf_downloads/2025/2025-09-02/600096-云天化（600096）：业务结构优化，磷肥盈利能力提升.pdf,600096,云天化,云天化（600096）：业务结构优化，磷肥盈利能力提升
