author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"翟堃,高嘉麒","投资要点事件。公司近期发布股份回购方案。公司拟以自有资金及自筹资金，通过上海证券交易所集中竞价交易方式回购不超过5亿元、不低于3亿元人民币的A股股份。股份回购提振市场信心。从回购目的上看，公司本次回购基于对公司未来发展的信心和对公司价值的高度认可，可进一步优化股本结构，增强公众投资者对公司的信心，推动公司股票价值合理回归。从回购方式上看，公司本次回购将通过上海证券交易所集中竞价交易方式回购不超过5亿元、不低于3亿元人民币的A股股份，回购价格上限为2.50元/股，回购股份数量预计为1.2亿至2亿股，占总股本比例0.55%–0.92%。本次回购股份将全部用于注销以减少注册资本。回购结果上，回购完成后，公司总股本将由218.18亿股减少至216.18亿股（按上限）或216.98亿股（按下限），无限售流通股相应减少，但股权结构中无有限售条件股份，不涉及控制权变更。跻身中证A500指数，进一步凸显投资价值。中证指数公司于11月28日对沪深两市指数样本进行了定期调整，永泰能源跻身中证A500指数成份股行列。中证A500指数从各行业选取市值较大、流动性较好的500只证券作为指数样本，以反映各行业最具代表性上市公司证券的整体表现。本次公司跻身A500指数，凸显了公司自身的领先地位及投资价值，有望持续改善公司投资者结构，为公司吸引更多长期投资。海则滩煤矿建设进度提前，2027年有望达产。公司近期披露海则滩煤矿建设情况。海则滩煤矿项目位于陕西省榆横矿区南区，目前核定产能600万吨/年，充分达产后产能规模1,000万吨/年，煤种主要为优质化工用煤及动力煤，井田面积约200平方公里，资源储量11.45亿吨。自2022年12月底正式开工建设以来，各项工程顺利推进。矿建工程已于2024年6月进入井下二期工程施工，截至目前，二期工程已临近尾声，较工程建设计划进度提前。海则滩煤矿项目计划2026年6月底首采工作面完成安装、7月初开始试采出煤、年底形成第二个工作面，2027年一季度进行联合试运转，实现当年投产即达产。投资建议。海则滩进度加快，公司价值凸显。考虑到四季度煤炭价格变化，我们预计公司2025-2027年归母净利润分别为3.48、9.72、15.24亿元（原预测4.00、9.73、15.26亿元），维持“买入”评级。风险提示：经济复苏力度偏弱；煤炭价格超预期下行；基建投资不及预期。",,德邦证券,买入,[None],2025-12-04,,买入,8215042,pdf_downloads/2025/2025-12-04/600157-永泰能源（600157）：股份回购开启，海则滩进度提前.pdf,600157,永泰能源,永泰能源（600157）：股份回购开启，海则滩进度提前
胡博,"事件1：近日公司发布《关于所属重点项目海则滩煤矿建设进展情况公告》，根据公告，海则滩煤矿项目矿建工程已于2024年6月进入井下二期工程施工，截至目前，四条井筒已全部贯通，井下供电、排水、通风临时系统已形成，主运、辅运、回风三条大巷及井底车场、水仓、变电所等主要硐室已掘进达19,000余米。同时，地面土建主体工程已基本结束，安装工程根据矿建工程需要正常推进。事件2：近日公司发布《关于以集中竞价交易方式回购公司股份方案的公告》，根据公告，公司拟回购公司已发行的部分人民币普通股（A股）股票用于注销以减少公司注册资本。点评海则滩煤矿工程进度提前，项目出煤后有望改善公司业绩。根据公告，海则滩煤矿项目二期工程已临近尾声，较工程建设计划进度提前。计划2026年6月底首采工作面完成安装、7月初开始试采出煤、年底形成第二个工作面，2027年一季度进行联合试运转，实现当年投产即达产，出煤后有望改善公司业绩。新回购计划助推公司价值回归。根据公告，本次回购股份金额不低于人民币30,000万元（含），不超过人民币50,000万元（含）；回购股份资金来源为公司自有资金及自筹资金；公司本次回购股份的最高价不超过人民币2.50元/股；通过上海证券交易所交易系统以集中竞价交易的方式进行股份回购；回购股份期限为自公司股东会审议通过回购股份方案之日起12个月内。本次回购彰显公司信心，也有利于增强公众投资者对公司的信心。投资建议考虑到公司海则滩煤矿建设进度提前和新的回购计划实施，预计公司2025-2027年归母净利分别为3.78/7.57/16.60亿元。公司坚持“煤电为基、储能为翼”的发展战略，近期被纳入中证A500指数，且公司重视股东合理回报，维持“增持-A”投资评级。风险提示宏观经济增速不及预期风险；煤炭价格超预期下行风险；行业政策变动导致资源扩增以及海则滩煤矿投产不及预期的风险；安全生产风险；电力价格风险；国际原油价格波动导致的石化贸易风险等。",,山西证券,增持-A,[None],2025-12-04,,增持,8214385,pdf_downloads/2025/2025-12-04/600157-永泰能源（600157）：海则滩煤矿工程进度提前，新回购案有望助推公司价值回归.pdf,600157,永泰能源,永泰能源（600157）：海则滩煤矿工程进度提前，新回购案有望助推公司价值回归
"张绪成,程镱",海则滩煤矿建设提速，拟回购股份注销，维持“增持”评级近期，永泰能源披露公告，其一为海则滩煤矿项目建设进展超预期，其二为拟 3-5 亿元回购公司股份用于注销。两大举措分别从业务发展与资本运作层面释放积极信号，彰显公司长期发展信心。我们维持2025-2027年盈利预测，预计2025-2027年归母净利润为5.8/10.5/14.7亿元，同比-62.6%/+79.9%/+40.2%；EPS为0.03/0.05/0.07元，对应当前股价PE为61.4/34.1/24.3倍，海则滩煤矿建设提速，为公司长期发展注入动力，维持“增持”评级。海则滩煤矿进展超预期，构筑业绩增长核心引擎海则滩煤矿作为公司战略级项目，具备显著资源与区位优势。项目资源储量达 11.45 亿吨，井田面积约 200 平方公里，煤种为高热值（6500 大卡以上）优质化工用煤及动力煤，核定产能 600 万吨 / 年，达产后将跃升至 1000 万吨 / 年。建设进度方面，目前二期工程临近尾声，四条井筒全部贯通，井下临时系统成型，主运大巷等关键工程掘进超 1.9 万米，叠加智能掘锚一体机投运、“亚洲最重” 主立井井架起立、选煤厂主厂房提前封顶等重大节点落地，为 2026 年 7 月试采出煤奠定坚实基础。项目投产后价值显著：区位上依托陕北能源基地与浩吉铁路（发运站距选煤厂仅 400 米），实现 “就地消化 + 北煤南运” 双向布局；产业协同上可直供公司河南、江苏地区电厂，彻底终结外购煤依赖，强化煤电一体化优势；效益上凭借低开采成本与高性价比，2026 年试采阶段即可贡献现金流，2027 年达产后将大幅增厚公司利润，提升抗风险能力与分红潜力。股份回购传递信心，优化治理稳定预期公司拟以 3-5 亿元自有及自筹资金，通过集中竞价方式回购 0.55%-0.92% 公司股份，回购价格上限 2.5 元 / 股，期限为股东会审议通过后 12 个月，回购股份全部用于注销以减少注册资本。此次回购具备三大亮点：一是资金占比适度，按上限 5 亿元测算，仅占公司 2025 年三季度末总资产的 0.46%、净资产的 1.06%，不影响日常经营与债务履行；二是诚意足，核心股东未来 6 个月无减持计划，避免短期股价承压；三是长远价值突出，注销股份将优化股本结构、提升每股收益，推动股价向内在价值回归。风险提示：煤矿建设进度不及预期、煤炭价格大幅波动、回购方案未获股东会通过、股价超上限导致回购受阻等。,,开源证券,增持,[None],2025-12-03,,增持,8206180,pdf_downloads/2025/2025-12-03/600157-永泰能源（600157）：公司信息更新报告：海则滩煤矿建设提速，拟回购股份注销.pdf,600157,永泰能源,永泰能源（600157）：公司信息更新报告：海则滩煤矿建设提速，拟回购股份注销
"周泰,李航,王姗姗,卢佳琪",事件：2025年12月1日，公司公告，公司拟以集中竞价交易方式回购股份。回购金额不低于3亿元且不超过5亿元；回购价格不超2.50元/股。资金来源为自有资金、自筹资金，回购期限为12个月内，回购的股份将全部用于注销以减少公司注册资本。回购股份增强信心，注销回购股份有利于提升EPS。据公告，公司本次回购股份主要出于对公司未来发展的信心和对公司价值的高度认可。2025年12月1日，公司收盘价为1.62元/股，公司设定的回购价格上限为2.5元/股，较现价高出54.32%。据公告，以回购价格上限测算，公司回购计划拟回购1.2~2亿股股份，占公司总股本的0.55%~0.92%，且回购的股份将用于注销，有助于EPS的提升。纳入中证A500指数，投资价值进一步凸显。据证券时报网消息，11月28日，中证指数有限公司进行定期指数样本调整，永泰能源成功入选中证A500指数成份股。本次指数调整将于12月12日收市后正式生效，相关指数基金预计在12月15日前后完成调仓配置，作为新纳入成份股，永泰能源将迎来千亿级指数基金的配置和资金注入，这不仅将进一步提升公司股票流动性与市场关注度，更将为公司引入稳定的长期机构资金进行长期价值投资。海则滩建设进展顺利，投产后效益显著。公告显示，海则滩煤矿核定产能600万吨/年，充分达产后产能规模1000万吨/年，煤种主要为优质化工用煤及动力煤，平均发热量6500大卡以上。海则滩煤矿项目计划2026年6月底首采工作面完成安装、7月初开始试采出煤、年底形成第二个工作面，2027年一季度进行联合试运转，实现当年投产即达产。海则滩煤矿项目按充分达产后产能测算，开采成本低、产品性价比高、市场竞争力强、开发效益好。项目在明年下半年将试采出煤，当年即可产生良好经济效益和现金流，将进一步增强公司整体盈利能力和抗风险能力，提升公司长期投资价值，并为公司增加现金分红提供充分保障，实现对公司全体股东的更好回报。投资建议：我们预计2025-2027年公司归母净利润为2.91/5.74/15.66亿元，对应EPS分别为0.01/0.03/0.07元/股，2025年12月1日股价的PE分别为121/62/23倍。公司海则滩项目持续推进，未来盈利能力有望持续改善，维持“谨慎推荐”评级。风险提示：宏观经济波动；焦煤价格大幅下滑，成本控制不及预期，海则滩项目进展不及预期，电价大幅波动。,,国联民生证券,谨慎推荐,[None],2025-12-02,,增持,8205880,pdf_downloads/2025/2025-12-02/600157-永泰能源（600157）：事件点评：回购股份彰显信心，海则滩投产后效益显著.pdf,600157,永泰能源,永泰能源（600157）：事件点评：回购股份彰显信心，海则滩投产后效益显著
胡博,事件：2025年10月29日，公司发布三季报。前三季度公司实现营业收入177.28亿元，同比减少20.77%；实现归母净利1.98亿元，同比减少86.48%。三季度单季公司实现营业收入70.52亿元，同比减少10.31%，环比增长40.05%；实现归母净利0.72亿元，同比减少73.78%，环比减少3.87%。点评煤炭产销稳定，四季度焦煤价格上涨或将带动业绩改善。公司2025年前三季度实现吨煤收入369.55元/吨，同比降48.44%，三季度吨煤收入372.13元/吨，同比降36.09%；实现吨煤毛利90.91元/吨，同比降65.18%。考虑四季度炼焦煤价格仍有上涨动力，预计四季度公司煤炭业务将有所改善。成本改善推动电力板块业绩增长，煤电一体优势显现。2025年前三季度，受益于动力煤价格下行，公司电力业务经营效益持续提升，实现营业毛利26.56亿元，同比增加26.48%。煤电一体化对业绩的稳定作用有所显现。海则滩煤矿稳步推进，预计投产后将明显改善公司业绩。根据公司2025年三季报，海则滩煤矿项目矿建工程于2024年6月进入井下二期工程施工，截至2025年9月底工程成巷12300余米，完成井下二期总工程量的70%，土建工程及安装工程根据矿建工程进展同步推进。公司钒电池储能核心技术实现行业性突破。公司所属新加坡Vnergy公司研发的第1代正极固体增容材料，可将正极电解液成本降至传统方案的40%～60%，结合短流程工艺后更有望再下降40%，还可将原有系统工作温度区间从10℃～40℃扩大至5℃～70℃，从而提高热稳定性，且完全兼容现有钒电池电堆系统，可实现“零改造升级”，为行业带来突破性解决方案。投资建议考虑到公司明确海则滩煤进展，且电力业务毛利率提升，预计公司2025-2027年归母净利分别为3.78/7.57/16.60亿元。公司坚持“煤电为基、储能为翼”的发展战略，内生与外延成长同步推进，且公司重视股东合理回报，维持“增持-A”投资评级。风险提示宏观经济增速不及预期风险；煤炭价格超预期下行风险；行业政策变动导致资源扩增以及海则滩煤矿投产不及预期的风险；安全生产风险；电力价格风险；国际原油价格波动导致的石化贸易风险等。,,山西证券,增持-A,[None],2025-11-03,,增持,7307389,pdf_downloads/2025/2025-11-03/600157-永泰能源（600157）：前三季度煤电一体对冲波动，未来业绩或受益煤价上涨.pdf,600157,永泰能源,永泰能源（600157）：前三季度煤电一体对冲波动，未来业绩或受益煤价上涨
"张绪成,程镱","煤价拖累前三季度业绩，电力业务表现亮眼，维持“增持”评级公司发布2025年三季报，2025年前三季度实现营业收入177.28亿元，同比-20.77%；实现归母净利润1.98亿元，同比-86.48%；实现扣非后归母净利润1.55亿元，同比-88.92%。单Q3来看，公司实现营业收入70.52亿元，环比增长40.05%；实现归母净利润0.72亿元，环比下降3.87%；实现扣非后归母净利润0.55亿元，环比下降3.82%。考虑到电力板块发电量创新高，我们上调2025-2027年盈利预测，预计2025-2027年归母净利润为5.8/10.5/14.7亿元（前值4.1/9.0/14.6亿元），同比-62.6%/+79.9%/+40.2%；EPS为0.03/0.05/0.07元，对应当前股价PE为61.0/33.9/24.2倍，业绩同比下滑主要系焦煤市场价格同比下降所致。Q3电力业务发电量创历史新高，对冲了部分煤价下行影响，海则滩煤矿建设与储能业务转型均取得积极进展，为公司长期发展注入动力，维持“增持”评级。电力业务迎峰度夏创佳绩，煤炭业务稳产提效电力业务：Q3发电量创单季历史新高。2025年三季度，公司紧抓夏季用电高峰，发电量达135.35亿千瓦时，同比增长11.65%。其中，张家港沙洲电力、裕中能源、周口隆达等主力电厂月度或季度发电量创下历史最高纪录，机组利用小时数在所在区域名列前茅，充分彰显了公司在电力保供中的骨干作用和卓越的运营能力。2025年1-9月，公司电力业务累计实现发电量314.29亿千瓦时，售电量298.12亿千瓦时。 煤炭业务：生产稳定，效率提升。2025年1-9月，公司实现原煤产量1,133.10万吨，销量1,139.05万吨；洗精煤产量182.52万吨，销量177.26万吨。单Q3来看，原煤产量441.8万吨，环比增长10.4%，生产保持稳定。公司通过优化采掘设计、强化全流程煤质管控等措施，推动三季度精煤回收率环比二季度提升1.05%，持续推进降本增效。海则滩煤矿建设加速推进，储能业务技术突破打开想象空间海则滩煤矿建设取得重大阶段性成果：作为公司未来核心增长点，海则滩煤矿建设全面加速。截至2025年9月底，井下二期工程已完成总工程量的70%；9月底成功起立“亚洲最重”主立井井架，10月初选煤厂主厂房提前30天完成主体封顶。项目计划于2026年7月初开始试采出煤，并于2027年实现当年投产即达产，为公司未来业绩增长提供了坚实保障。 储能业务核心技术不断突破：公司在全钒液流电池领域持续创新。其研发的第1代正极固体增容材料可将正极电解液成本降至传统方案的40%～60%，并将系统工作温度区间扩大至5℃～70℃，为行业带来突破性解决方案。同时，1.2代32kW电堆产品能量效率达到80%以上，处于国内先进水平。截至2025年9月末，公司已累计拥有储能相关专利技术26项，为打造第二成长曲线奠定坚实的技术基础。风险提示：煤价下跌超预期；煤炭产量不及预期；储能转型不及预期。",,开源证券,增持,[None],2025-10-31,,增持,7123451,pdf_downloads/2025/2025-10-31/600157-永泰能源（600157）：公司信息更新报告：电力表现亮眼，海则滩煤矿和储能贡献成长.pdf,600157,永泰能源,永泰能源（600157）：公司信息更新报告：电力表现亮眼，海则滩煤矿和储能贡献成长
"周泰,李航,王姗姗,卢佳琪",事件：2025年10月29日，公司发布2025年三季报，2025年前三季度营业收入177.28亿元，同比减少20.77%；归属于母公司所有者的净利润1.98亿元，同比减少86.48%。25Q3业绩环比下滑。25Q3公司实现营业收入70.52亿元，同比下降10.31%，环比增长40.05%，归属于母公司所有者的净利润0.72亿元，同比下降73.78%，环比下降3.87%。煤炭业务受价格影响利润下滑。据公告，25Q3公司实现原煤产量441.79万吨，同比增长12.02%，环比增长10.4%，原煤销量450.04万吨，同比增长12.35%，环比增长12.9%。吨煤售价为372.13元/吨，同比下降36.09%，环比增长7.81%。吨煤成本为281.23元，同比下降12.44%，环比增长0.37%。25Q3煤炭业务毛利为4.09亿元，同比下降60.88%，环比增长57.9%。25Q3发电量环比增长明显，创单季度新高。据公告，2025年前三季度，受益于动力煤价格处于合理区间，公司电力业务经营效益持续提升，实现营业毛利26.56亿元、同比增长26.48%，毛利率20.35%、同比增加5.24个百分点。前三季度，公司完成发电量314.29亿千瓦时，同比下降0.19%，实现上网电量298.12亿千瓦时，同比下降0.13%。单季度来看，公司实现发电量135.35亿千瓦时，同比增长11.65%，环比增长63.83%，实现上网电量128.51亿千瓦时，同比增长11.78%，环比增长63.86%。焦煤价格回暖，海则滩未来放量，公司发展后劲充足。据公告，海则滩项目计划于明年6月底首采工作面完成安装、7月初开始试采出煤、年底形成第二个工作面；2027年一季度进行联合试运转，实现当年投产即达产。Wind数据显示，截至10月29日，主焦煤价格为1691元/吨，较三季度上涨8.24%。储能业务核心技术不断突破。据公告，公司所属新加坡Vnergy公司研发的第1代正极固体增容材料，可将正极电解液成本降至传统方案的40%～60%，结合短流程工艺后更有望再下降40%，还可将原有系统工作温度区间从10℃～40℃扩大至5℃～70℃，从而提高热稳定性，且完全兼容现有钒电池电堆系统，可实现“零改造升级”，为行业带来突破性解决方案。投资建议：我们预计2025-2027年公司归母净利润为2.91/5.59/11.34亿元，对应EPS分别为0.01/0.03/0.05元/股，2025年10月29日股价的PE分别为124/64/32倍。公司海则滩项目持续推进，未来盈利能力有望持续改善，维持“谨慎推荐”评级。风险提示：宏观经济波动；焦煤价格大幅下滑，成本控制不及预期，海则滩项目进展不及预期，电价大幅波动。,,民生证券,谨慎推荐,[None],2025-10-30,,增持,7037025,pdf_downloads/2025/2025-10-30/600157-永泰能源（600157）：2025 年三季报点评：25Q3发电量创单季新高，公司发展后劲充足.pdf,600157,永泰能源,永泰能源（600157）：2025 年三季报点评：25Q3发电量创单季新高，公司发展后劲充足
"翟堃,高嘉麒",投资要点事件。公司公布2025年三季报。2025年前三季度，归属于上市公司股东的净利润为1.98亿元；扣非净利润1.55亿元。电力业务稳健增长。公司所属电力企业紧抓夏季用电高峰，全面落实“迎峰度夏”措施与“稳发多发”策略。三季度，公司发电量达135.35亿千瓦时，同比增长11.65%，创单季度发电新高。其次，公司加大设备治理与技改，机组性能显著提升。报告期内，张家港沙洲电力通过专项治理使设备缺陷数大幅下降65.53%，消缺率与及时率创历史最优；裕中能源积极探索百万千瓦机组改造，预计深度调峰期间单机供汽能力可实现翻倍，并通过优化一期机组AGC逻辑，提升机组调频性能；周口隆达成功完成机组10次最大容量测试，同时完成密封油抽真空系统改造。反内卷助力，焦煤价格延续回升，远期看海则滩增量。2025年7月中央财经委会议重点提及反内卷，行业自律强化推动焦煤价格快速提升，京唐港主焦煤现货价格自6月底部的1230元/吨提升至当前的1760元/吨，三季度均价相较二季度高约246元/吨，焦煤价格回升对公司利润带来提振，对冲电力业务因动力煤价带来成本提升。海则滩煤矿作为陕西省和公司重点建设项目正在全面加快工程建设，截至2025年9月底完成井下二期总工程量的70%，10月2日选煤厂主厂房提前30天完成主体封顶，标志着矿井建设取得重大阶段性成果。项目计划于明年6月底首采工作面完成安装、7月初开始试采出煤、年底形成第二个工作面；2027年一季度进行联合试运转，实现当年投产即达产，未来增量可期。储能技术持续突破。公司储能业务核心技术不断突破，所属新加坡Vnergy公司研发的第1代正极固体增容材料，可将正极电解液成本降至传统方案的40%～60%，结合短流程工艺后更有望再下降40%，还可将原有系统工作温度区间从10℃～40℃扩大至5℃～70℃，从而提高热稳定性，且完全兼容现有钒电池电堆系统，可实现“零改造升级”，为行业带来突破性解决方案。盈利预测：下半年煤价或有修复，预计带动公司利润回升，远期可看海则滩增量。我们预计公司2025-2027年收入分别为252.16、271.93、 287.14亿元，归母净利润分别为4.00、9.73、15.26亿元，EPS分别为0.02、 0.04、0.07元/股，维持“买入”评级。风险提示： 国内经济复苏力度不及预期；煤炭价格超预期下行；基建固定资产投资资金使用不及预期。,,德邦证券,买入,[None],2025-10-30,,买入,7077427,pdf_downloads/2025/2025-10-30/600157-永泰能源（600157）：电力业务持续增长，海则滩增量可期.pdf,600157,永泰能源,永泰能源（600157）：电力业务持续增长，海则滩增量可期
张绪成,煤价低谷拖累H1业绩，海则滩+储能双轮驱动蓄势，维持“增持”评级公司发布2025年中报，2025H1实现营业收入106.8亿元，同比-26.4%，实现归母净利润1.3亿元，同比-89.4%，实现扣非后归母净利润9967.6万元，同比-91.0%。单Q2来看，公司实现营业收入50.4亿元，环比-10.7%，实现归母净利润7485.3万元，环比+46.6%，实现扣非后归母净利润5730.1万元，环比+35.2%。考虑到煤价运行趋势，我们适当调整2025-2027年盈利预测，预计2025-2027年前值为4.1/9.0/14.6亿元（前值4.1/9.0/14.8亿元），同比-73.8%/+118.9%/+63.5%；EPS为0.02/0.04/0.07元，对应当前股价PE为78.4/35.8/21.9倍，预期下半年煤价或有反弹，公司煤矿建设加速推进，储能转型发展值得期待，维持“增持”评级。煤炭以量补价对冲价格回落影响，成本下降致电力盈利提升煤炭业务：产销方面，2025H1实现原煤产量/销量分别为691.3/689.0万吨，同比+15.6%/+16.3%，其中对外/内部销售分别为440.5/248.5万吨，同比+38.8%/-9.6%;实现洗精煤产量/销量分别为115.3/108.9万吨，同比-21.9%/-24.3%。单Q2来看，实现原煤产销量分别为400.2/398.6万吨，环比+37.5%/+37.2%；实现洗精煤产销量分别为66.6/64.3万吨，环比+36.8%/+44.4%。价格方面，2025H1原煤吨价368.3元/吨，同比-13.3%；Q2原煤吨价为345.2元/吨，环比-13.5%。毛利方面，2025H1吨煤毛利为86元/吨，同比-80.2%；Q2吨煤毛利为65元/吨，环比-43.2%。电力业务：2025H1实现发电量178.9亿度，同比-7.6%，实现售电量169.6亿度，同比-7.6%，实现度电价格0.461元/千瓦时，同比-3.8%，实现度电毛利0.097元/千瓦时，同比+30.4%。海则滩煤矿投产有望打开成长空间，多措并举提升内在价值海则滩煤矿进入“收获倒计时”：二期井巷已完成65%，为2026年如期试产打下了坚实基础。该矿资源储量11.45亿吨，平均发热量≥6500大卡，投产后有望直接驱动公司煤炭板块规模与效益倍增，是未来最确定的业绩增长引擎。煤下铝资源：公司在兴庆等三矿的煤下铝勘查顺利结束并发现中型矿床，开拓出了全新的战略资源接续领域，若后续成功获取采矿权，或将形成“煤铝共采”的产业新格局，打造出又一个具有潜力的利润中心。股份回购：2025年7月2公司完成回购股份全部注销工作。本次回购股份总金额5.01亿元，回购并注销股份4亿股、占注销前公司总股本的1.80%，体现管理层对长期价值的强烈信心。储能赛道“从0到1”落地：首座MW级南山光储一体化电站已闭环运行，电堆能量效率82.09%，通过中国电科院认证，23项专利实现全钒液流电池核心环节全覆盖。该业务与现有煤电场景天然协同，可提升调峰收益、降低弃电风险，为公司打开第二成长曲线。风险提示：煤价下跌超预期；煤炭产量不及预期；储能转型不及预期。,,开源证券,增持,[None],2025-09-01,,增持,6378538,pdf_downloads/2025/2025-09-01/600157-永泰能源（600157）：公司信息更新报告：Q2业绩环比提升，海则滩贡献成长和回购提振信心.pdf,600157,永泰能源,永泰能源（600157）：公司信息更新报告：Q2业绩环比提升，海则滩贡献成长和回购提振信心
"翟堃,高嘉麒","事件。公司于2025年8月27日公布半年报。本报告期内，公司实现总营业收入106.76亿元，同比减少26.44%；利润总额3.75亿元，同比减少81.4%；归母净利润1.26亿元，同比减少89.41%。电力业务稳健，煤电互补经营优势对冲煤价波动。1）2025年1-6月，公司电力业务实现发电量178.94亿千瓦时、售电量169.61亿千瓦时，营业收入78.24亿元。公司强化电量营销积极抢发电量，通过年度双边协商交易、电网代理、省间外送电交易等多种方式积极争取电量计划，所属燃煤电厂共签订年度长协电量250.43亿千瓦时，折合发电量265.32亿千瓦时，推动公司电力业务稳健发展。2）上半年煤炭价格下行，公司优化电煤采购，降低燃煤成本。上半年国内焦煤现货价格约1422元/吨，较2024年下半年有所下行，公司抓住煤炭低价运行市场机遇，通过实施寻优采购、开展市场煤招标和长协煤合理兑现等措施，所属燃煤电厂标煤单价大幅下降，同比降低181元/吨。反内卷助力，焦煤三季度或有更大弹性。 2025年7月中央财经委会议重点提及反内卷，行业自律强化推动焦煤价格快速提升，京唐港主焦煤现货价格自1230元/吨提升至1610元/吨后维持平稳，7-8月均价相较二季度高约200元/吨，而沿海动力煤价格仅上涨约30元/吨，彰显价格高弹性。公司2025上半年原煤/洗精煤销量分别689/109万吨，煤价上涨有望推动公司三季度盈利有效回升。海则滩煤矿投产在即，助推长期发展。海则滩煤矿作为公司重点建设项目，正在全面加快工程建设。项目井田面积约200平方公里，煤种主要为优质化工用煤及动力煤，资源储量11.45亿吨，平均发热量6,500大卡以上，具有资源储量大、煤种煤质优、建矿条件好、预期效益高、开采寿命长、外运条件便利等诸多优势。项目矿建工程于2024年6月进入井下二期工程施工，截至2025年6月底工程成巷11,000余米，完成井下二期总工程量的65%，土建工程及安装工程根据矿建工程进展同步推进。项目将于明年6月底形成首采工作面开始试生产、年底形成第二个工作面；2027年一季度进行联合试运转，投产后将推动公司业绩长期增长。盈利预测：下半年煤价或有修复，预计带动公司利润回升，远期可看海则滩增量。我们预计公司2025-2027年收入分别为251.43、271.93、 287.14亿元，归母净利润分别为3.5、9.7、15.2亿元，EPS分别为0.02、0.04、0.07元/股，维持“买入”评级。风险提示： 国内经济复苏力度不及预期；煤炭价格超预期下行；基建固定资产投资资金使用不及预期",,德邦证券,买入,[None],2025-08-29,,买入,6367737,pdf_downloads/2025/2025-08-29/600157-永泰能源（600157）：下半年煤价或有修复，远期看海则滩增量.pdf,600157,永泰能源,永泰能源（600157）：下半年煤价或有修复，远期看海则滩增量
