author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"马婷婷,刘源","本报告导读：交通银行2025Q1-3营收及净利润增速逐季提升，息差管控颇有成效，资产质量稳中向好。上调目标价至8.58元，维持增持评级。投资要点：投资建议：近两年交通银行强调高质量发展，重“量”更重“质”。相较规模扩张更关注息差平稳，同时资产质量在经历了三年“资产质量攻坚战”、“资产质量巩固年”后进入“贷(投)后管理年”，核心指标持续向好。根据前三季度表现调整公司2025-2027年净利润增速预测为2.3%、2.3%、2.1%(新增)，对应BVPS为11.94(-1.86,2025年公司增资扩股)、12.68(-1.96，同上)、13.48(新增)。参考可比同业，给予交行目标估值为2025年0.72倍PB，上调目标价至8.58元，维持增持评级。营收及归母净利润增速逐季提升，2025Q1-3交通银行营收及归母净利润同比增速分别为1.8%、1.9%，其中25Q3单季营收及归母净利润同比增速分别为3.9%、2.5%。25Q1-3息差同比下降8bp至1.20%，Q3单季净息差环比持平；未来受资产端利率下行拖累，息差仍有收窄压力，但进一步下降空间预计有限。25Q3手续费及佣金净收入同比增长7.0%，主要得益于财富管理业务表现突出；随着社会无风险利率不断降低，预计财富管理收入有望保持快速增长，为2026年营收贡献向上弹性。规模增速边际放缓，25Q3总资产及贷款同比增速分别为6.2%、7.2%，环比Q2增速下降2.7pct、1.3%pct，主要是优化大类资产结构，压降了收益率相对偏低的同业资产占比。25Q1-3累计新增贷款5,163亿元、同比多增312亿元，但贷款投放节奏相对前置，25Q3单季新增贷款729亿元、同比少增1,015亿元，主要是零售信贷需求持续低迷、增量仅为24Q3的20%。25Q3存款同比增速环比Q2提升0.1pct至6.1%，对公、零售分别贡献了存款增量的66%、34%。资产质量稳中向好，25Q3末不良率、关注率分别较Q2末下降2bp至1.26%、1.57%，拨备覆盖率持平于210%的稳健水平。结构上，对公不良率较Q2下降6bp至1.24%进一步改善，但零售不良率较Q2上升8bp至1.42%，居民还款意愿与能力仍有待修复。风险提示：零售信用风险暴露超出预期、息差下行节奏超出预期。",,国泰海通,增持,[None],2025-12-10,,买入,8229640,pdf_downloads/2025/2025-12-10/601328-交通银行（601328）：业绩增速逐季改善，息差管控颇有成效.pdf,601328,交通银行,交通银行（601328）：业绩增速逐季改善，息差管控颇有成效
张一纬,"业绩增速边际改善，减值计提压力缓解反哺利润：2025年前三季度，公司实现营业收入1,996.45亿元，同比增长1.80%，归母净利润699.94亿元，同比增长1.90%，增速均优于上半年；年化加权平均ROE为8.48%，同比下降0.58个百分点。单季度来看，Q3营收、净利同比分别增长3.92%和2.46%，优于Q2，公司业绩改善主要受益于规模扩张支撑和信用成本优化。2025年前三季度，公司信用减值损失同比减少4.13%，Q3单季同比减少13.93%存贷款稳健增长，息差韧性增强：2025年前三季度，公司利息净收入1,286.48亿元，同比增长1.46%。净息差为1.20%，同比下降8个基点，但环比半年报的1.21%仅下降1BP，降幅收窄、韧性增强，预计主要受益于负债端成本压降。最新数据显示，2025H1生息资产收益率、付息负债成本率和存款成本率较年初分别下降33BP、31BP和27BP。资产端信贷稳健增长。截至2025年9月末，公司各项贷款较年初增长6.04%，其中，对公贷款（+7.46%）增长快于零售贷款（+3.40%），预计受重点领域贷款投放驱动，同时消费贷、经营贷较年初分别增长29.71%和19.85%。负债端存款增速修复，较年初增长5.26%，定期化趋势延续，定期存款占比67.84%，较6月末上升0.92个百分点。中收微幅回正，财富管理稳步发展，其他非息收入增速回升：2025年前三季度，公司非息收入709.97亿元，同比增长2.41%。其中，手续费及佣金净收入293.98亿元，同比微增0.15%，相对于2025H1实现回正，预计受资本市场回暖、代销业务收入增长影响。财富管理发展态势良好。截至2025年6月最新数据显示，公司零售AUM规模达5.79万亿元，较年初增5.52%；理财产品余额1.70万亿元，较年初增5.15%。其他非息收入415.99亿元，同比增长4.07%，相比于上半年有所回升。其中，投资收益同比下降18.16%，降幅扩大，公允价值变动损益同比增长17.48%。资产质量整体稳健，风险抵补能力和资本实力增强：截至2025年9月末，公司不良贷款率1.26%，较年初和6月末分别下降0.05个百分点和0.02个百分点；关注类贷款率较6月末改善。其中，对公贷款不良率较年初下降23BP，个人贷款不良率较年初上升34BP，按揭、信用卡、消费贷、经营贷不良均有不同程度上升，预计与居民还款能力承压相关。拨备覆盖率209.97%，较年初和6月末分别上升8.03个百分点和0.41个百分点，风险抵补能力增强。核心一级资本充足率为11.37%，定增落地补充资本实力。投资建议：公司是唯一总部在上海的国有大行，主场优势显著。五篇大文章及贸易金融、财富金融特色业务纵深发展。信贷投放稳健，负债成本优化。资产质量稳中向好，财政部增资夯实资本实力。分红政策稳定，注重股东回报。结合公司基本面和股价弹性，我们维持“推荐”评级，2025-2027年BVPS分别为13.34元/14.09元/15.35元，对应当前股价PB分别为0.54X/0.51X/0.47X。风险提示：经济增速不及预期导致资产质量恶化的风险；利率下行导致息差承压的风险。",,银河证券,推荐,[None],2025-11-03,,买入,7306867,pdf_downloads/2025/2025-11-03/601328-交通银行（601328）：业绩边际改善，息差企稳.pdf,601328,交通银行,交通银行（601328）：业绩边际改善，息差企稳
"沈娟,贺雅亭,蒲葭依,李润凌",2025年10月31日│中国内地/中国香港10月30日，交通银行公布三季度业绩，公司9M25归母净利润、营收、PPOP同比+1.9%、+1.8%、+0.7%，增速分别较25H1+0.3pct、+1.0pct、+1.8pct。9M25年化ROA、ROE分别同比-0.02pct、-0.58pct至0.62%、8.48%。公司息差逐步企稳，利息净收入平稳增长；财富业务发力，中收增速回正，核心盈利能力持续修复，营收利润增速改善。资产质量指标稳健，不良率稳步下行。维持 A/H 股增持/买入评级。信贷平稳增长，息差边际企稳交通银行25Q3末总资产、贷款、存款同比+6.2%、+7.5%、+6.1%，增速分别较25H1-2.7pct、-1.4pct、+0.1pct。资产扩张略有放缓，主要因同业资产有所收缩。公司三季度新增贷款729亿元，其中对公、零售、票据分别占比69%、21%、9%，零售需求有所回暖。前三季度合计新增贷款5163亿元，其中对公、零售、票据分别占比80%、18%、1%。9M25交通银行净息差为1.20%，较25H1下降1bp，较24年全年下降7bp，负债端成本改善驱动息差降幅逐步收窄。利息收入改善，中收增长回正交通银行9M25利息净收入同比+1.5%（25H1同比+1.2%），增速稳步改善。 9M25手续费及佣金净收入同比+0.2%（25H1同比-2.6%），中收增速转正。三季度以来资本市场活跃，公司财富管理相关收入表现较好，驱动中收增长。9M25其他非息收入同比+4.1%（25H1同比+2.0%），债市利率波动环境下保持相对韧性，其中9M25公允价值变动损益、投资收益分别同比+17.5%、-18.2%（25H1分别同比-55.2%、-13.8%）。成本费用持续优化，9M25成本收入比30.1%，同比下降0.3pct。不良边际下行，资本保持充裕交通银行25Q3末不良率、拨备覆盖率为1.26%、210%，分别较25H1末-2bp、持平，不良率边际下行，资产质量指标稳中向好。测算公司Q3年化不良生成率0.48%，环比Q2持平；Q3年化信用成本0.48%，同比下降10bp，信用成本下行驱动利润释放。交通银行25Q3末核心一级资本充足率、一级资本充足率、资本充足率分别环比-5bp、-38bp、-46bp至11.37%、12.83%、16.13%，资本略有下行，但仍保持较为充裕水平。给予26年A/H PB0.70/0.68倍我们预测 25-27年净利润956/982/1016亿元（较前值基本持平），预测 26年 BVPS12.52元，对应 A/H 26年 PB0.57/0.50倍。当前 A/H 股可比公司 26年 Wind 一致预期 PB 0.73/0.51倍（25E前值0.74/0.52倍），鉴于经济复苏节奏仍待观察，但H股较A股估值股息性价比更高（截至10/30，华泰预测交行A/H股25E股息率分别为4.60%/5.21%）给予 A/H 股 26年目标PB0.70/0.68倍（25E前值0.74/0.68倍），A/H 股目标价 8.76元/9.23港币（前值8.68元/8.64港币），增持/买入评级。风险提示：资产质量修复不及预期；业绩改善趋势不及预期。,,华泰证券,增持,[None],2025-10-31,,增持,7096995,pdf_downloads/2025/2025-10-31/601328-交通银行（601328）：核心盈利能力稳步修复.pdf,601328,交通银行,交通银行（601328）：核心盈利能力稳步修复
"王剑,刘睿玲",营收利润增速均回升。公司2025年前三季度分别实现营收、归母净利润1996.45亿元、699.94亿元，分别同比增长1.80%、1.90%，增速较上半年分别回升1.02pct、0.29pct。其中三季度单季实现营收662.77亿元，同比增长3.92%；实现归母净利润239.78亿元，同比增长2.46%。公司2025年前三季度年化加权ROE8.48%，同比下降0.58pct。从业绩增长归因来看，主要是公司资产规模扩张及拨备反哺利润贡献业绩增长，但净息差仍显示拖累。资产增速平稳。公司2025年9月末总资产同比增长6.2%至15.50万亿元；贷款（不含应计利息）同比增长7.5%至9.07万亿元，贷款增速较上半年回落1.38pct。前三季度累计新增信贷5163亿元，分项来看，对公/个人/票据贷款分别投放4154/936/73亿元，其中对公较去年同期多增764亿元，个贷较去年同期则少增1061亿元，零售信贷需求仍然疲弱。三季度单季新增信贷729亿元，同比少增1015亿元，其中对公及个人较去年同期分别少增316亿元、582亿元。9月末公司贷款、存款（均不含应计利息）分别较年初增长6.0%、7.3%；公司核心一级资本充足率11.37%，较6月末略微下滑0.05pct。净息差降幅收窄，其他非息收入贡献突出。公司披露的1-9月净息差1.20%，较二季度下降1bp，较去年全年下降7bps，息差降幅收窄。受净息差降幅收窄等因素影响，公司前三季度净利息收入同比增长1.5%至1286.48亿元，增速较上半年回升0.26pct。此外，前三季度手续费及佣金净收入293.98亿元，同比增长0.15%，累计增速由负转正；其他非息收入255.85亿元，同比增长25.4%，贡献突出。资产质量整体稳健。公司9月末不良贷款率1.26%，较6月末下降2bps，有所改善；拨备覆盖率209.97%，较6月末提升0.41pct。9月末关注率1.57%，较6月末下降2bps。整体来看，公司资产质量稳健。投资建议：公司基本面整体表现稳定，考虑到息差降幅收窄等变化，我们略微上调盈利预测，预计公司2025-2027年归母净利润为957/988/1032亿元，对应同比增速为2.2%/3.3%/4.4%；摊薄EPS为1.19/1.23/1.29元；当前股价对应的PE为7.1/6.9/6.6x，PB为0.61/0.58/0.54x，维持“优于大市”评级。风险提示：宏观经济复苏不及预期会拖累公司净息差和资产质量。,,国信证券,优于大市,[None],2025-10-31,,买入,7083980,pdf_downloads/2025/2025-10-31/601328-交通银行（601328）：营收利润增速均回升.pdf,601328,交通银行,交通银行（601328）：营收利润增速均回升
"王剑,刘睿玲",营收增速回正。公司上半年分别实现营收、归母净利润1333.68亿元、460.16亿元，分别同比增长0.77%、1.61%，增速较一季度分别回升1.79pct、0.07pct。公司上半年年化加权平均ROE为9.16%，同比下降0.13pct。从业绩增长归因来看，主要是公司资产规模扩张对业绩贡献较大，不过净息差拖累营收增长，另拨备反哺利润趋势有所减弱。资产增速回升，信贷主要由对公拉动。公司上半年总资产同比增长8.87%至15.44万亿元，规模扩张速度回升。资产端，上半年贷款（不含应计利息）同比增长8.84%至9.00万亿元。上半年累计新增信贷投放4433.77亿元，分项来看，对公/个人/票据贷款分别投3647.87/779.53/6.37亿元，其中对公及票据分别较去年同期多增929.27亿元、445.46亿元，个人贷款则少增约50亿元。6月末，公司贷款、存款（均不含应计利息）分别较年初增长5.18%、4.34%。6月末，公司核心一级资本充足率11.42%，较3月末回升1.17pct。上半年净息差1.21%，降幅收窄。公司上半年披露的净息差1.21%，较去年全年下降6bps，较一季度下降2bps，息差降幅收窄。资产端，上半年生息资产平均收益率同比下滑44bps至3.04%，其中贷款收益率同比下降57bps至3.16%。负债端，上半年计息负债平均成本率同比下降41bps至1.95%，其中存款成本率同比下降36bps至1.85%。公司上半年净利息收入852.47亿元，同比增长1.20%，增速较一季度下降1.32pct。非利息收入平稳增长。公司上半年非利息净收入同比增长0.02%至481.21亿元。其中，手续费及佣金净收入同比下降2.58%至204.58亿元；投资收益同比下降13.83%至119.89亿元。资产质量整体稳健。公司6月末不良贷款率1.28%，较3月末下降0.01pct；拨备覆盖率209.56%，较3月末提升9.15pct。6月末关注率1.59%，较去年末提升0.02pct；6月末逾期率1.41%，较去年末提升0.03pct。总体来看，公司资产质量稳健。投资建议：公司基本面整体表现稳定，考虑到息差降幅收窄及资产增速回升等变化，我们略微上调盈利预测并往前推一年，预计公司2025-2027年归母净利润为934/965/1005亿元（2025-2026原预测值919/977亿元），对应同比增速为-0.2%/3.3%/4.1%；摊薄EPS为1.16/1.20/1.25元；当前股价对应的PE为7.4/7.1/6.8x，PB为0.62/0.58/0.55x，维持“优于大市”评级。风险提示：宏观经济复苏不及预期会拖累公司净息差和资产质量。,,国信证券,优于大市,[None],2025-09-02,,买入,6385157,pdf_downloads/2025/2025-09-02/601328-交通银行（601328）：营收增速回正，资产质量稳健.pdf,601328,交通银行,交通银行（601328）：营收增速回正，资产质量稳健
"沈娟,贺雅亭","2025年8月30日│中国内地/中国香港 国有大型银行 8月29日交通银行披露25年半年报，公司25H1归母净利润、营收、PPOP同比+1.6%、+0.8%、-1.0%，增速分别较Q1+0.1pct、+1.8pct、+3.5pct。25H1年化ROA、ROE分别同比-0.04pct、-0.13pct至0.61%、9.16%。公司拟中期分红每股0.1563元，分红比例30.0%。公司资产扩张提速，息差降幅收窄，非息增长回暖，业绩增速改善，维持 A/H 股增持/买入评级。资产扩张提速，深化业务特色交通银行25H1末总资产、贷款、存款同比+8.9%、+8.8%、+6.0%，增速分别较25Q1+1.5pct、+0.1pct、+1.2pct。资产扩张提速，得益于同业资产、债券投资等保持较快增速；信贷平稳增长，上半年新增贷款4434亿元，对公、零售分别占比82%、18%。公司深入落实五篇大文章，持续打造业务特色，25H1末科技贷款、绿色贷款、普惠贷款余额分别超1.5万亿元、8700亿元、8500亿元。持续发挥上海主场优势，助力上海“五个中心”建设，上半年与 60 个市级重大项目、118 个区级重大项目建立合作关系。存款增长提速，主要个人存款贡献，对公、个人存款分别同比+2.8%、+10.4%。息差降幅收窄，非息增速改善交通银行25H1净息差1.21%，较24年-6bp，较25Q1-2bp，息差降幅收窄。25H1生息资产收益率、贷款收益率分别较24年-33bp、-45bp至3.04%、3.16%；计息负债成本率、存款成本率分别较24年-31bp、-27bp至1.95%、1.85%。25H1交通银行利息净收入同比+1.2%（25Q1同比+2.5%），保持稳健增长。25H1非息收入同比持平，边际有所回暖（25Q1同比-6.8%）。其中，中收同比-2.6%（Q1同比-2.4%）；其他非息收入同比+2.0%（Q1同比-10.6%），边际改善较为明显，主要由于二季度债市波动减小，公允价值收入扰动减轻。不良边际下行，资本水平夯实交通银行25H1不良率、拨备覆盖率分别较Q1末-2bp、+9pct至1.28%、210%，不良边际改善，拨备有所提升。分行业看，对公端风险持续改善，对公不良率较24年-17bp至1.30%；零售风险波动，不良率较24年+26bp至1.34%，其中按揭、消费贷、经营贷、信用卡不良率分别较24年+17bp、+17bp、+15bp、+63bp至0.75%、1.29%、1.36%、2.97%。25H1末公司关注率、逾期率分别为1.59%、1.41%，分别较24年+2bp、+3bp，前瞻风险指标有所波动。25H1末公司资本充足率、核心一级资本充足率分别为16.59%、11.42%，较Q1末+69bp、+117bp，资本水平进一步夯实。给予25年A/H PB0.74/0.68倍我们预测 25-27年净利润954/989/1036亿元（25-27年较前值基本持平），考虑注资摊薄总股本，预测 25 年 BVPS11.73元（前值13.96元），对应 A/H 25 年 PB0.62/0.53倍。当前 A/H 股可比公司 25 年 Wind 一致预期 PB 0.74/0.52 倍（前值0.67/0.49倍），公司综合化经营显效，但鉴于经济复苏节奏仍待观察,给予 A/H 股 25 年目标PB0.74/0.68倍（前值0.69/0.66倍），A/H 股目标价 8.68元/8.64港币（前值9.63元/9.94港币），增持/买入评级。风险提示：资产质量修复不及预期；业绩改善趋势不及预期。",,华泰证券,增持,[None],2025-08-31,,增持,6370794,pdf_downloads/2025/2025-08-31/601328-交通银行（601328）：信贷稳步投放，营收增速回正.pdf,601328,交通银行,交通银行（601328）：信贷稳步投放，营收增速回正
"沈娟,贺雅亭",2025年4月30日│中国内地/中国香港 国有大型银行 公司25Q1归母净利润、营收、PPOP同比+1.5%、-1.0%、-4.5%、增速较24年+0.6pct、-1.9pct、-4.6pct，关注点包括资产扩张提速、中收降幅收窄、不良率环比下行。公司收入多元、经营稳健，维持 A/H 股增持/买入评级。资产扩张提速，存款定期化延续3月末总资产、贷款、存款同比+7.4%、+8.7%、+4.8%，增速较24年末分别+1.4pct、+1.2pct、+1.9pct。对公贷款支撑信贷扩张，Q1净新增贷款3630亿元，其中对公/零售/票据分别占比80%/10%/10%。公司加大服务实体经济力度，3月末长三角、粤港澳、京津冀三大区域贷款较24年末+4.5%，增幅高于贷款整体（+4.2%）。存款增速上行，但延续定期化趋势，3月末存款活期率较24年末下降1.70pct至31.38%。息差小幅下行，其他非息承压25Q1净息差为1.23%，较24年全年下行4bp，或因重定价及存量房贷利率调整等因素导致贷款收益率承压，而负债成本降幅小于资产端。Q1利息净收入同比+2.5%（24A +3.5%）。Q1其他非息同比-10.6%（24A +5.2%），去年同期高基数及Q1债市波动下增速承压。同期中间业务收入同比-2.4%（24A -14.2%），此前银保报行合一、基金费率下调等负面影响有所缓释，低基数下同比降幅收窄。25Q1成本收入比30.4%，同比上升1.2pct。资产质量稳健，信用成本下行3月末不良率、拨备覆盖率环比-1bp、-2pct至1.30%、200%，资产质量总体稳健，不良率下行。对公、零售不良率分别较24年末-6bp、+10bp至1.41%、1.18%，零售不良仍在上行，其中按揭/经营贷/消费贷不良率分别上行0.12pct/0.24pct/0.07pct至0.70%/1.45%/1.19%。3月末关注率为1.52%，较24年末-0.05pct，前瞻风险指标环比改善。测算25Q1年化不良生成率环比下降，年化信用成本0.59%同比下降。3月末资本充足率/核心一级资本充足率分别环比-0.12pct/+0.01pct至15.90%/10.25%。给予A/H25年PB0.69/0.66倍鉴于信贷投放提速，预测25-27年归母净利润953/996/1046亿元（较25-27年前值+1%/+1%/+2%），25年BVPS预测值13.96/14.91/15.92元（前值13.95/14.89/15.87元），A/H对应PB0.54/0.45倍。可比同业25年A/H预期PB0.67/0.49倍。公司综合化经营显效，给予A/H25年目标PB0.69/0.66倍，目标价9.63元/9.94港币（前值目标PB0.63/0.60倍，目标价8.79元/9.07港币），增持/买入评级。风险提示：政策推进力度不及预期；经济修复力度不及预期。,,华泰证券,增持,[None],2025-04-30,,增持,6034607,pdf_downloads/2025/2025-04-30/601328-交通银行（601328）：信贷投放提速，资产质量稳健.pdf,601328,交通银行,交通银行（601328）：信贷投放提速，资产质量稳健
"戴志锋,邓美君",报告摘要交通银行2024年营收同比+0.2%（3Q24为-2.6%），净利润同比+0.9%（3Q24为-0.7%），营收和利润增速均实现回正。一方面四季度信贷投放较好使得净利息收入增速环比回正，另一方面债牛推动其他非息收入增速提高。公司资产质量继续保持稳健，拨备对利润贡献也有所提升。4Q24单季净利息收入环比增长1.11%，增速较三季度环比提升了1.38个百分点，单季年化净息差环比下降2bp至1.25%。价格方面资负收益率均继续下行且幅度基本相当，生息资产收益率环比下行11bp至3.24%；计息负债成本率环比下降10个bp至2.08%。规模方面四季度信贷投放较好，抵消了价格下降的影响，因此净利息收入增速转正。资产负债：四季度零售信贷发力。1、资产端：交通银行四季度单季投放规模为1129.7亿，较2023年同期翻倍。投放主要是由零售贷款支撑，对公、个人和票据贷款分别投放329.8/1227.2和-427.3亿元，零售贷款环比多增488.3亿元，占生息资产的比重提升了0.5个百分点。2、负债端：交通银行四季度存款规模下降937.9亿元，占计息负债比重环比下降1.1个百分点至65.7%。从全年来看，去年存款规模增加2298.5亿元，较2023年下降明显，预计是由于手工补息整改等因素造成。净非息收入：2024净非息收入同比下降7.2%，降幅继续收窄。1、交通银行四季度中收同比下降14.16%，与三季度基本相当。从具体收入类型来看，受资本市场回暖影响，代理类和投资银行业务收入同比负增分别较上半年收窄5.9和14.4个百分点。2、交通银行四季度其他非息增速同比增长2.46%，增速较三季度大幅提升12.5个百分点，从去年年初以来首次回正。四季度债市走牛，受此带动公允价值变动损益和投资收益均实现同比多增。资产质量：整体保持稳健。1、不良维度——不良率稳中有降。4Q24交通银行不良率1.31%，环比下降1bp。累计年化不良净生成率为0.53%，环比保持稳定。未来不良压力方面，关注类贷款占比1.57%，环比小幅下降1bp。2、逾期维度——逾期率有所下降。4Q24逾期率较上半年下降7bp至1.38%，逾期占比不良也下降3.9个百分点至105.75%。3、拨备维度——拨备保持稳定。拨备覆盖率环比三季度上升0.04个百分点至203.91%；拨贷比环比下降3bp至2.66%。投资建议：公司2025E、2026E、2027EPB0.52X/0.49X/0.46X；PE7.07X/7.00X/6.93X，交通银行作为改革先行试验田，是唯一扎根长三角的国有大行。公司以上海为大本营，营收利润稳步提升，资负规模加速扩张。贷款投向积极支持实体，体现大行担当。资产质量指标不断改善。维持“增持”评级，建议积极关注。根据公司年报及相关宏观数据，我们相应调整贷款收益率、手续费净收入、信用成本等相关假设，盈利预测微调整至2025E/2026E净利润937.8/945.9亿（原值908.4/934.7亿）。风险提示：经济下滑超预期、公司经营不及预期。,,中泰证券,增持,[None],2025-03-23,,增持,5962379,pdf_downloads/2025/2025-03-23/601328-交通银行（601328）：2024年报：营收利润增速回正，资产质量保持稳健.pdf,601328,交通银行,交通银行（601328）：2024年报：营收利润增速回正，资产质量保持稳健
"沈娟,贺雅亭",公司发布2024年年报，归母净利润、营收、PPOP同比+0.9%、+0.9%、+0.1%、增速较1-9月+1.6pct、+2.3pct、+3.6pct。营收增速超我们此前预期的-0.5%，主要因Q4债市行情提振投资收益。24年拟每股派息0.38元，分红率32.68%，股息率5.26%（2025/03/21）。维持 A/H 股增持/买入评级。贷款稳步扩张，存款增速改善24年末总资产、总贷款、总存款同比+6.0%、+7.5%、+2.9%，增速较9月末分别+0.5pct、+0.8pct、+1.9pct。零售贷款投放边际回暖，信贷结构优化。四季度新增贷款1130亿元，其中零售、对公分别增长1227亿元、330亿元，票据资产缩量。24年全年看，交行新增贷款5980亿元，对公/零售/票据分别占比65%/47%/-11%。存款增速改善，定期化趋势边际有所放缓，24年末存款活期率较24H1末略降0.1pct至33.7%。息差韧性较强，投资驱动业绩24年交行净息差1.27%，环比前三季度、同比23年均微降1bp，息差韧性较强。资产端，24年生息资产收益率、贷款收益率分别较24H1-11bp、-12bp。负债端，成本改善较为显著，计息负债成本率、存款成本率分别较24H1-10bp、-9bp。24年利息净收入同比+3.5%，增速较9M24+1.3pct。24年中收、其他非息收入分别同比-14.2%、+5.2%，增速较9M24-0.2pct、+6.8pct。中收增长仍有承压，四季度债市行情驱动下金融投资贡献较优，24年公允价值变动损益同比+106.3%。资产质量稳健，前瞻指标改善24年末不良率、拨备覆盖率环比-1bp、-2pct至1.31%、202%，资产质量稳健，不良率边际下行。对公、零售不良率较24H1-7bp、+10bp至1.47%、1.08%。对公不良率改善，零售不良有所提升。24年末关注率、逾期率较24H1-9bp、-7bp至1.57%、1.38%，前瞻风险指标改善。测算24年不良生成率0.51%，较24Q3持平；测算24年信用成本0.41%，同比-4bp。给予A/H25年PB0.63/0.58倍鉴于债市利率波动，预测25-27年归母净利润为948/983/1023亿元（较25-26年前值-0.5%/-0.4%），同比增速1.3%/3.7%/4.1%，25年BVPS预测值13.95元（前值14.09元），A/H对应PB0.52/0.46倍。可比同业25年A/H预期PB 0.62/0.50倍（前值0.56/0.41倍）。公司综合化经营显效，应享一定估值溢价，我们给予A/H 25年目标 PB0.63/0.60倍（前值0.65/0.53倍），目标价8.79元/9.07港币（前值9.16元/8.12港币），增持/买入评级。风险提示：政策推进力度不及预期；经济修复力度不及预期。,,华泰证券,增持,[None],2025-03-23,,增持,5958265,pdf_downloads/2025/2025-03-23/601328-交通银行（601328）：业绩增速改善，资产质量稳健.pdf,601328,交通银行,交通银行（601328）：业绩增速改善，资产质量稳健
"张一纬,袁世麟",营收净利增速重回正区间：2024年，公司营业收入同比+0.87%，归母净利润同比+0.93%，增速均较2024Q1-Q3由负转正；年化加权平均ROE9.08%，同比-0.6pct。2024Q4，营收、净利分别同比+8.51%、+5.66%，增速均环比提升。公司业绩增长主要由息差稳定和信用成本优化贡献。息差稳定，零售贷款增长提速：2024年，公司利息净收入同比增长3.48%，较2024Q1-Q3提升1.33pct。2024年公司净息差1.27%，较2023年末下降1BP，韧性保持较好，主要受益于资产端高收益零售资产占比提升，负债端压降高息存款，叠加存款重定价成效释放。具体来看，2024年公司生息资产收益率、付息负债成本率分别为3.37%、2.26%，分别较2023年下降22BP、19BP；贷款收益率、存款付息率分别较2023年下降34BP、21BP。截至2024年末，公司各项贷款同比增长7.52%，对公稳健、零售放量。对公贷款同比增长7.47%，科技金融发势头强劲，专精特新、科技型中小企业、战略性新兴产业贷款分别增长64.5%、59.59%、9.05%，普惠小微贷款增长29.1%。个人贷款同比增长11.29%，增速较2023年提升较多，主要由于公司抓住促消费政策机遇，消费贷增长90.44%。公司各项存款同比增长2.91%，其中个人存款增长11.06%。存款定期化趋势延续，定期存款占比较2023年上升1.08pct至64.98%。中收探底，其他非息收入改善：2024年，公司非息收入同比下降3.72%，主要受中收拖累。公司中收同比下降14.16%，主要由于保险“报行合一”、基金降费政策影响仍存，代理类业务收入下降33.6%；此外，受制于居民有效消费需求不足，银行卡业务收入同比下降20.98%。公司财富管理及理财业务稳步增长，零售AUM、理财产品规模分别同比增长9.74%、9.52%，增速均较2023年提升。公司其他非息收入同比增长5.18%，主要来源于公允价值变动收益增长106.31%、投资收益增长4.21%。对公资产质量稳健，零售不良风险抬头：2024年末，公司不良贷款率1.32%，关注类贷款占比1.58%，分别较2023年末-2BP、+6BP。其中，对公贷款不良率1.47%，较2023年末-18BP；个人贷款不良率1.08%，较2023年末+27BP，预计受居民还款能力不足的影响。2024年末，公司拨备覆盖率201.94%，较2023年末+6.73pct。核心一级资本充足率10.24%，较2023年末+0.01pct。国家计划发行首批5000亿元特别国债增资大行，关注后续资本补充进度。投资建议：公司是唯一总部在上海的国有大行，主场优势显著。五篇大文章及贸易金融、财富金融特色业务纵深发展。信贷稳步增长，零售转型持续推进。资产质量整体稳健，风险抵补能力增厚，资本充足水平有望进一步提高。2024年分红率32.7%，连续13年稳定在30%以上，股息率较高。结合公司基本面和股价弹性，我们维持“推荐”评级，2025-2027年BVPS分别为14.13元/15.24元/15.60元，对应当前股价PB分别为0.51X/0.47X/0.46X。风险提示：经济不及预期，资产质量恶化风险；利率下行，NIM承压风险,,银河证券,推荐,[None],2025-03-23,,买入,5961621,pdf_downloads/2025/2025-03-23/601328-交通银行（601328）：2024年年报业绩点评：业绩回暖，零售业务增长亮眼.pdf,601328,交通银行,交通银行（601328）：2024年年报业绩点评：业绩回暖，零售业务增长亮眼
