author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"冯胜,王可,叶光亮",报告摘要事件：控股子公司诚恒微自主研发的边端侧AISoC芯片CH37系列已完成流片、封装、回片及点亮等阶段工作，标志公司在在智能计算芯片领域取得里程碑式突破。高效能算力+双模融合架构，打造差异化优势CH37系列，基于自主研发架构，采用高集成度的单芯片设计，集成了高端CPU、GPU、NPU、GPGPU、ISP等高规格处理单元。芯片核心性能情况如下：1）峰值AI算力达到64TOPS@INT8，为复杂的视觉识别、多模态感知与决策模型在端侧实时运行中提供计算动力。2）支持混合（多）精度计算，兼顾算法开发的灵活性与模型精度。3）高实时与低延迟：具备较强的实时控制能力与较低的任务处理延迟，能够实现快速、精准的决策与执行。4）高效多传感处理：芯片架构专为多传感器融合场景优化，能够高效协同处理来自视觉、雷达等多种传感器的数据，并构建统一的实时环境感知能力。相比竞品，CH37的优势在于：1）高能效算力：在算力达到高水平的同时，功耗得到了稳定控制，实现了出色的能效比。2）融合感知，采用双模融合ISP架构，支持可见光与红外双路独立处理，形成差异化竞争力。面向具身智能与边缘计算，加速拓展通用市场CH37系列芯片面向算力需求较高的具身智能与边缘计算等通用市场，可以涵盖机器人、AI盒子、智能终端、智能识别、无人机吊舱等多种场景。未来有望向智慧城市、工业视觉等场景延伸。具身智能能否实现规模化落地，核心约束之一在于底层计算芯片是否具备同时满足实时感知、决策推理与精细控制的算力能力，CH37系列芯片正是为应对这一复杂挑战而设计。研发能力得到验证，通用市场转型更进一步，公司正处于关键战略转型之中：从过去以军用图形显控为主的“专用”市场，向涵盖人工智能、数据中心等“通用”市场进军。CH37系列是公司在转型过程中推出的首款边端侧AISoC芯片，具有里程碑式意义：1）完善智算产品矩阵，加速向通用市场转型：丰富了以“GPU+边端侧AISoC芯片”为核心的产品矩阵，加速向更广阔的通用市场延展。2）打开新增量空间：将高性能芯片能力延伸至具身智能和边缘计算，开启新航道。3）研发能力得到验证，提振市场信心：产品成功落地，印证公司强大的研发和设计能力，后续GPU等新产品有望加速落地。战略转型成果落地，有望迎来困境反转在AI算力领域，公司持续进行高研发投入，并通过外延并购和资本运作为战略转型蓄力：1）近年来研发投入维持高位，2024年和2025Q1-Q3研发费用率分别达到60.2%/46.8%；2）2025年8月，通过控股诚恒微，形成“GPU+边端侧AI芯片”的双轮驱动发展模式，诚恒微拥有约200人的研发团队。3）2024年下半年，完成38.33亿元的定向增发，重点投向“高性能通用GPU芯片研发及产业化”及“通用GPU先进架构研发中心建设”两大项目。过去两年传统军品业务受行业周期影响，叠加高研发投入，公司业务经历了转型阵痛期。当前边端侧AI芯片已完成点亮工作，战略转型成果已落地，为后续测试和量产打下基础，前期投入正逐步兑现，蛰伏三年之后，公司有望迎来困境反转。维持“增持”评级。公司是国内GPU领域的稀缺标的，随着公司向通用智算领域转型，业务有望加速增长。我们预计2025-2027年分别实现营收7.52/11.05/15.53亿元，净利润0.14/0.90/2.11亿元，（前预测值：2025和2026年营收为7.78/9.63亿元，净利润为-0.29/0.18亿元）。考虑公司稀缺性及未来新业务增长，维持“增持”评级。风险提示：新产品测试效果不及预期、量产销售不及预期、军备采购需求不及预期风险。,,中泰证券,增持,[None],2025-12-16,,增持,8242829,pdf_downloads/2025/2025-12-16/300474-景嘉微（300474）：边端侧AI芯片完成点亮，通用市场转型提速.pdf,300474,景嘉微,景嘉微（300474）：边端侧AI芯片完成点亮，通用市场转型提速
吴鸣远,"事项：公司发布半年报，报告期内实现营业收入 1.93 亿元，同比下降 44.78%；利润
总额为-1.20 亿元，同比下降 671.72%；归母净利润-0.88 亿元，同比下降
356.51%。单 Q2 来看，实现营业收入 0.91 亿元，同比下降 62.40%；归母净利
润-0.33 亿元，同比下降 171.70%。
评论：
 营收结构韧性显现，芯片业务成关键支撑。2025 H1 公司营业收入下降主要是
因为图形显控领域收入降低 62.91%，反映行业需求疲软及项目延期影响。尽
管营收承压，业务结构仍显现韧性：芯片领域产品收入仅微降 3.39%，营收占
比提升至 33.25%，成为最稳健板块；小型专用化雷达收入降幅收窄至 18.84%，
抗压性增强。此外，第二季度单季毛利率回升至 59.31%，或表明公司通过产
品组合优化与成本管控有效对冲了部分市场压力，为后续复苏奠定基础。坚定推进技术布局，研发高投入蓄力技术突破。报告期内，研发投入同比增长
21.76%至 1.53 亿元，其占营收比例上升至 79.40%。公司持续投入 GPU 核心
技术，成功研发以 JM5、JM7、JM9 和 JM11 为代表的一系列具有自主知识产
权的国产 GPU，应用领域由图形渲染拓展至计算领域，在专用与通用市场实
现广泛应用。同期管理费用通过流程优化同比下降 12.35%，凸显精细化运营
能力。尽管利润端承压，高研发投入与成本管控的平衡策略为技术突破和产品
迭代储备了关键动能。战略转型加速，双轮驱动构筑新增长极。近期，公司公告拟以 2.2 亿元增资诚
恒微，增资完成后公司将直接持有目标公司 33.59%的股权，并通过一致行动
关系取得 64.89%的表决权，成为控股股东，正式进军边端侧 AI 芯片领域。诚
恒微采用 Fabless 模式，业务涵盖了集成电路设计前沿研发、芯片架构设计、
配套软件开发及行业解决方案赋能，构建从技术探索到产业落地的全链条能
力。此次整合将形成“GPU+边端侧 AI 芯片”双轮驱动模式，显著拓展国产算
力应用场景。公司同步深化与国家战略协同，入围工信部应急通信装备创新工
作的智能非视距微波装备项目，将进一步推动公司在抗干扰技术等核心领域的
发展。伴随芯片业务渐趋稳健及新赛道产能落地，公司有望在国防信息化与 AI
算力国产化浪潮中加速业绩回暖。投资建议：2025 年上半年业绩下滑，但芯片业务韧性显现、研发高投入及 AI
芯片战略转型奠定后续复苏基础。我们预计公司 2025-27 年公司营业收入分别
为 7.9/12.3/19.0 亿元，对应增速为 69.6%/56.1%/53.9%。估值方面，考虑公司
为芯片设计厂商，目前处于新产品商业化推进快速扩张期，因此采用 PS 进行
估值。选取国内 AI 芯片龙头厂商寒武纪-U、CPU 龙头厂商龙芯中科作为可比
公司，考虑公司为国内专用 GPU 龙头企业，稀缺性较高，我们给予 2026 年
45x PS，对应市值 555 亿，对应目标价约 106 元，维持“强推”评级。风险提示：营收情况不及预期；高研发投入与利润回报不及预期；市场竞争加
剧。",,华创证券,强推,[None],2025-08-26,,买入,6349503,pdf_downloads/2025/2025-08-26/300474-景嘉微（300474）：营收结构显韧性，GPU+端侧AI双驱动.pdf,300474,景嘉微,景嘉微（300474）：营收结构显韧性，GPU+端侧AI双驱动
单慧伟,"事件概述景嘉微发布2025年半年报，25H1实现营业收入1.93亿元，同比-44.78%，实现归母净利润-0.88亿元，同比-356.51%，实现扣非后归母净利润-0.96亿元，同比-550.44%。业绩符合预期分业务营收端：图形显控领域产品实现营收0.85亿元，同比-62.91%；小型专用化雷达领域产品营收0.3亿元，同比-18.84%；芯片领域产品营收0.64亿元，同比-3.39%。利润端：25H1实现归母净利润-0.88亿元，同比-356.51%。主要系受行业需求影响，公司产品销售大幅下降。叠加客户成本管控、持续投入研发、市场竞争压力等多方面因素。持续坚定高研发投入毛利率：25H1公司毛利率为45.03%，较上年同期的52.96%下降了7.93pct。费用率：25H1公司销售、管理、研发、财务费用率分别为9.04%、21.80%、77.85%、-2.13%。其中研发费用率近年来保持较高水平，持续高强度的研发投入有助于保持公司在产品和技术上的先发优势与创新能力。增资无锡诚恒微，布局边端侧AI景嘉微拟以自有资金2.2亿元参与无锡诚恒微电子有限公司增资项目，公司将直接持有目标公司33.59%的股权，并通过一致行动关系合计取得目标公司64.89%的表决权，成为目标公司的控股股东。诚恒微锚定边端侧算力引擎，主营业务为边端侧AI芯片设计、研发与销售。景嘉微通过增资控股，迎合产业发布趋势布局边端侧AI，实现在AI算力芯片领域“GPU+边端侧AI”的多元化布局。投资建议参考2025年中报与下半年军工业务的修复预期，我们维持公司2025-27年盈利预测。预计2025-27年营业收入分别为8.90、14.87、21.77亿元,同比+90.8%、67.1%、46.4%；2025-27归母净利润分别为0.27、1.14、2.69亿元，同比+116.6%、316.3%、135.3%；预计2025-27年EPS分别为0.05、0.22、0.51元。2025年8月18日股价为90.02元，对应 PS 分别为 29x、20x、17x，维持“增持”评级。风险提示行业竞争加剧风险，新品开拓不及预期风险，行业景气度不及预期风险。",,华西证券,增持,[None],2025-08-19,,增持,6322437,pdf_downloads/2025/2025-08-19/300474-景嘉微（300474）：持续高研发投入，增资布局边端侧AI.pdf,300474,景嘉微,景嘉微（300474）：持续高研发投入，增资布局边端侧AI
"Lin Yang,Liang Song",本报告导读：公司持续保持高研发投入追求技术领先，产品方面景宏GPU、显卡JM11双线布局，内部管理体系变革推动企业创新。投资要点：维持优于大市评级，目标价86.50元。公司受下游需求影响，叠加高研发投入，业绩波动较大，未来预计在AI、信创驱动下逐步修复，公司2025-2027年EPS预测为0.06/0.20/0.39元，考虑到下游修复预期，给予高于均值溢价，2025年65倍PS（原为2024年40x），目标价86.50元（-18%），维持“优于大市”评级。25Q1营收下降趋缓，研发保持高投入。①2024年公司营收4.66亿元，同比-34.62%；归母净利润-1.65亿元，同比-376.67%。2025Q1营收1.02亿元，同比-5.46%；归母净利润-0.55亿元，同比-375.50%。②2025Q1预付账款0.30亿元，同比+63.21%；递延收益0.66亿元，同比+54.34%，主因是收到政府补助。2025Q1经营活动现金流量净额-0.42亿元，同比+53.22%，主要原因是购买商品接受劳务支付的现金减少。③2025Q1共投入研发0.70亿元，占营收比例为68.17%。GPU走向通用，景宏GPU、JM11加速。①公司坚定看好GPU未来广阔的发展前景，坚定不移地投入GPU研发，全力推进由“专用”到“专用+通用”的发展战略，瞄准GPU在人工智能领域的应用方向，持续开展高性能GPU、模块及整机等产品的研发。②公司成功研发了景宏系列高性能智算模块与整机产品，填补了公司在AI训练、AI推理和科学计算等应用领域的产品空白，为公司未来在人工智能领域的持续发力奠定基础。③公司JM11系列图形处理芯片可满足云桌面、云游戏、云渲染、云计算等云端应用场景及地理信息系统、多媒体处理、CAD辅助设计等高性能渲染应用场景。目前，公司最新图形处理芯片JM11系列产品处于推广应用阶段。内部管理体系变革，推动企业创新。①全面开展管理变革，将IPD、LTC流程建设的成果与能力转变为公司的组织能力，优化从立项到交付的业务流程，提升产品开发效率和产品质量；②贯彻“低成本战略”，通过精益化管理、流程优化和技术升级等措施，推动产品创新，降低运营成本；③持续打造组织能力，聚焦赋能管理干部，提升管理团队的领导力和执行力。通过系统化的培训和管理实践，不断提升公司管理成熟度，构建适应性强、创新力高的组织体系。风险提示：产品迭代不及预期；下游需求不及预期。,,海通国际证券,优于大市,[None],2025-08-07,,买入,6286347,pdf_downloads/2025/2025-08-07/300474-景嘉微（300474）：显卡、通用GPU双线布局，管理变革推动创新.pdf,300474,景嘉微,景嘉微（300474）：显卡、通用GPU双线布局，管理变革推动创新
"杨林,魏宗,杨蒙",维持增持评级，调整目标价至86.50元。公司受下游需求影响，叠加高研发投入，业绩波动较大，未来预计在AI、信创驱动下逐步修复，公司2025-2027年EPS预测为0.06/0.20/0.39元，考虑到下游修复预期，给予高于均值溢价，2025年65倍PS，调整目标价至86.50元，维持“增持”评级。25Q1营收下降趋缓，研发保持高投入。①2024年公司营收4.66亿元，同比-34.62%；归母净利润-1.65亿元，同比-376.67%。2025Q1营收1.02亿元，同比-5.46%；归母净利润-0.55亿元，同比-375.50%。②2025Q1预付账款0.30亿元，同比+63.21%；递延收益0.66亿元，同比+54.34%，主因是收到政府补助。2025Q1经营活动现金流量净额-0.42亿元，同比+53.22%，主要原因是购买商品接受劳务支付的现金减少。③2025Q1共投入研发0.70亿元，占营收比例为68.17%。GPU走向通用，景宏GPU、JM11加速。①公司坚定看好GPU未来广阔的发展前景，坚定不移地投入GPU研发，全力推进由“专用”到“专用+通用”的发展战略，瞄准GPU在人工智能领域的应用方向，持续开展高性能GPU、模块及整机等产品的研发。②公司成功研发了景宏系列高性能智算模块与整机产品，填补了公司在AI训练、AI推理和科学计算等应用领域的产品空白，为公司未来在人工智能领域的持续发力奠定基础。③公司JM11系列图形处理芯片可满足云桌面、云游戏、云渲染、云计算等云端应用场景及地理信息系统、多媒体处理、CAD辅助设计等高性能渲染应用场景。目前，公司最新图形处理芯片JM11系列产品处于推广应用阶段。内部管理体系变革，推动企业创新。①全面开展管理变革，将IPD、LTC流程建设的成果与能力转变为公司的组织能力，优化从立项到交付的业务流程，提升产品开发效率和产品质量；②贯彻“低成本战略”，通过精益化管理、流程优化和技术升级等措施，推动产品创新，降低运营成本；③持续打造组织能力，聚焦赋能管理干部，提升管理团队的领导力和执行力。通过系统化的培训和管理实践，不断提升公司管理成熟度，构建适应性强、创新力高的组织体系。风险提示：产品迭代不及预期；下游需求不及预期。,,国泰海通,增持,[None],2025-07-28,,买入,6254134,pdf_downloads/2025/2025-07-28/300474-景嘉微（300474）：显卡、通用GPU双线布局，管理变革推动创新.pdf,300474,景嘉微,景嘉微（300474）：显卡、通用GPU双线布局，管理变革推动创新
吴鸣远,"产品矩阵完善，技术持续选代。公司作为国产GPU领军企业，历经多年技术积累，已形成“图形显控+小型专用雷达+GPU 芯片”三大业务板块协同发展格局，凭借景美(JM)系列 GPU 芯片持续选代，从JM5400实现0到I实破，到 JMIl系列支持虚拟化与高性能渲染，景喜微将产品研发周期从8年缩短至3年，与海外巨头技术代差有望持续缩小。此外，公司从军用和信创市场逐步向民用算力广阔市场拓展，当前JM11系列芯片及景宏系列 AI算力产品的推出，标志着公司正式切入云来面、AI推理等高性能计算场景市场需求爆发，国产替代提速。行业端，全球GPU市场正经历结构性变革人工智能、大数据、云计算等技术爆发式发展推动算力需求持续攀升。据弗若斯特沙利文数据显示,到 2029 年,我国 AI芯片市场规模将从 2024 年 1.425.37亿元激增至13.367.92 亿元，2025 年至 2029 年期间年均复合增长率为 53.7%从细分市场上看，GPU 市场增长速度最快,其市场份额预计将从 2024年69.9%上升至 2029 年 77.3%。美国对高端芯片出口限制倒逼国内算力自主可控进程提速，国内厂商凭借对下游客户需求的快速响应和本地化服务，已在特定领域取得一定市场份额，并持续向新应用领域延伸。民用拐点已至，成长路径清晰。2024年，公司新推出JMI1系列图形处理芯片支持国内外主流 CPU，兼容 Linux、Windows 等国内外主流操作系统，支持虚拟化，满足图形工作站、云来面、云游戏等应用领域，进一步丰富公司产品线和核心技术储备。景宏系列产品切入 AI训练、AI推理、科学计算等民用市场。此外，公司 2024 年完成 38.27 亿元定增，重点投向高性能通用 GPU 芯片研发及产业化和通用 GPU 先进架构研发中心。同时通过“硬件+软件+行业解决方案”构建生态壁垒:底层完成与银河麒麟、飞腾等国产系统及 CPU 适配，与中国长城等厂商建立合作关系并进行产品测试，生态壁垒逐步构建，投资建议:受新品推出节奏及下游采购需求影响，公司 202501业绩短期承压但 JM1l 系列图形处理芯片进展持续，叠加2025年作为“十四五”收官年，公司军用业务业绩弹性与民用市场突破潜力形成双重驱动，有望推动营收利润高速增长。结合公司行业发展节奏及产品推广进度,我们调整对公司盈利预测，预计公司 2025-27 年公司营业收入分别为7.9/12.3/19.0亿元(25-26 年前值为16.0120.8 亿元)，对应增速为69.6%56.1%/53.9%;对应 EPS 分别为0.0210.160.31元(25-26 年前值为 0.5110.70亿元)。估值方面，考虑公司为芯片设计厂商，目前处于新产品商业化推进快速扩张期，因此采用PS 进行估值选取国内 AI芯片龙头厂商寒武纪-、CPU 龙头厂商龙芯中科作为可比公司，考虑公司为国内专用 GPU 龙头企业，稀缺性较高，我们给予 2026年 40xPS对应市值 493 亿，对应目标价 94.4 元，维持“强推”评级。风险提示:新品推广不确定性、新品技术成熟度需持续验证、行业竞争加剧",,华创证券,强推,[None],2025-07-27,,买入,6252293,pdf_downloads/2025/2025-07-27/300474-景嘉微（300474）：深度研究报告：专用GPU迭代破局，拥抱通用广阔市场.pdf,300474,景嘉微,景嘉微（300474）：深度研究报告：专用GPU迭代破局，拥抱通用广阔市场
"单慧伟,贾国瑞","事件概述景嘉微发布2025年一季报，25Q1实现营业收入1.02亿元，同比-5.46%，实现归母净利润-0.55亿元，同比-375.50%，实现扣非后归母净利润-0.59亿元，同比-238.65%。业绩符合预期，2025全年营收增速可期收入端：25Q1实现营业收入1.02亿元，环比上季度（24Q4营收0.25亿元）提升308%。营收高环比增长主要受行业整体下游需求逐步回暖，我们判断下游需求会带动订单采购与销售的整体提升速度，2025年全年营收有望实现增长。利润端：25Q1归母净利润同比下滑，主要受销售结构变化、经营成本上升等多重因素叠加影响。持续坚定高研发投入毛利率：25Q1公司综合毛利率为32.37%，较上年同期的62.91%下降了48.55pct。费用率：25Q1公司销售、管理、研发、财务费用率分别为7.94%、20.04%、68.17%、-1.24%，同比-1.49pct、-15.87pct、+5.12pct、+57.97pct。其中研发费用率近年来保持较高水平，持续高强度的研发投入有助于保持公司在产品和技术上的先发优势与创新能力。GPU产品持续迭代，加速推广应用公司大力推进GPU产品迭代升级，最新图形处理芯片 JM11 系列产品处于推广应用阶段。根据公司在2025年1月17日发布的《关于公司 JM11 系列图形处理芯片研发进展情况的公告》，公司 JM11 系列图形处理芯片已完成流片、封装阶段工作及初步测试工作，运算能力最大可支持 FP32 6TFLOPS、FP16 12TFLOPS。显存容量最大支持64GB ，显存类型为DDR4/LPDDR4。随着产品性能的不断升级，公司有望拓展多应用场景，提升GPU市场占有份额。投资建议参考2025年一季报，我们调整了公司2025-27年盈利预测。预计2025-27年营业收入分别为8.90、14.87、21.77亿元（原值25-26年为7.2、9.3亿元）,同比+90.8%、67.1%、46.4%；2025-27归母净利润分别为0.27、1.14、2.69亿元（原值25-26年为1.58、2.95亿元），同比+116.6%、316.3%、135.3%；预计2025-27年EPS分别为0.05、0.22、0.51元（原值25-26年为0.30、0.57元）。2025年4月29日股价为67.22元，对应 PS 分别为 29x、20x、17x，维持“增持”评级。风险提示行业竞争加剧风险，新品开拓不及预期风险，行业景气度不及预期风险。",,华西证券,增持,[None],2025-04-30,,增持,6034898,pdf_downloads/2025/2025-04-30/300474-景嘉微（300474）：GPU坚定高研发投入，未来可期.pdf,300474,景嘉微,景嘉微（300474）：GPU坚定高研发投入，未来可期
"谢春生,林海亮",景嘉微发布年报，2024年实现营收4.66亿元（yoy-34.62%），归母净利-1.65亿元（yoy-376.67%），扣非净利-2.04亿元（yoy-988.62%）。其中Q4实现营收0.25亿元（yoy-89.64%，qoq-72.26%），归母净利-1.89亿元（yoy-528.51%，qoq-1738.46%）。2024年公司收入/归母净利低于我们预期（8.68/1.74亿元），主因：1）受行业需求影响，专用领域产品收入同比下滑；2）部分项目受客户审价影响，导致客单价波动。我们认为，公司积极拓展通用GPU产品线，或带动25年营收回暖。维持“买入”评级。25Q1营收环比高增，25年营收增速有望回正25Q1公司实现营收1.02亿元（yoy-5.46%、qoq+305.23%），归母净利-5485.02万元（yoy-375.50%、qoq+70.98%），扣非净利-5853.29万元（yoy-238.65%）。25Q1公司营收环比快速增长，我们判断主因下游行业需求逐步回暖，客户采购/订单交付节奏逐步加快，全年营收增速有望回正。下游需求波动拖累图显/雷达业务，GPU产品驱动25年营收增长2024年公司图形显控领域产品业务收入2.45亿元，同比-47.27%。小型专用化雷达业务收入0.61亿元，同比-54.01%。芯片领域产品业务收入1.35亿元，同比+33.72%。我们认为，公司陆续研发JM5400、JM7200、JM9、JM11和景宏系列，产品矩阵不断拓宽，或带动25年营收增速回暖。GPU产品持续迭代，性能升级有望带动份额提升据公司2025年1月17日发布的《关于公司JM11系列图形处理芯片研发进展情况的公告》，公司JM11系列图形处理芯片已完成流片、封装阶段工作及初步测试工作，芯片算力FP32 6TFLOPS/FP16 12 TFLOPS，支持192GPixel/s最大像素填充率。我们认为，公司图显芯片持续迭代，有望帮助公司拓展云计算、高性能渲染等领域，带动公司GPU市场份额持续提升。盈利预测与估值考虑到下游需求波动、25Q1公司归母净利yoy-376%，下调25-26年归母净利润(92%，50%)至0.17亿元、1.33亿元，预计27年归母净利润为2.50亿元，对应25-27年EPS分别为0.03、0.25、0.48元。考虑下游客户采购节奏延后，故我们以26年业绩作为公司估值基础。采用分部估值法，GPU业务可比公司平均26E 23.7x PS，考虑到25-26年GPU业务营收CAGR为137%，高于可比公司均值（73%），给予26E 31.0x PS；其他业务可比公司平均26E 57.6x PE，给予26E 57.6x PE。综上，下调目标价为79.88元（前值105.02元，对应GPU/其他业务25E 67.4x PS/25E 28.7x PE）。风险提示：芯片生产成本上涨，下游需求不及预期。,,华泰证券,买入,[None],2025-04-25,,买入,6024151,pdf_downloads/2025/2025-04-25/300474-景嘉微（300474）：GPU业务放量在即，营收回暖可期.pdf,300474,景嘉微,景嘉微（300474）：GPU业务放量在即，营收回暖可期
"单慧伟,贾国瑞",国内GPU行业领先企业，持续研发迭代芯片景嘉微成立于2006年4月，是国内首家实现图形处理器芯片（GPU）产业化应用的上市企业。公司主营业务为图形显控业务、小型专用化雷达业务和GPU芯片业务，2023年营收占比分别为65%、18%、14%。其中GPU芯片是公司重点布局和未来核心业务，目前GPU产品历经了5系、7系、9系三代系列产品的迭代，JM7和JM9系列产品快速放量，以JM7200、JM9系列为代表的一系列GPU芯片，应用场景由图形渲染领域扩展至科学计算等高性能领域。目前最新一代JM11系列图形处理器芯片已经完成流片、封装以及初步测试阶段，据公司公布测试结果来看，JM11系列可满足各种云端应用场景，同时可广泛应用于服务器、图形工作站、台式机以及笔记本等设备。随着JM11系列的研发成功与公司加大对高性能GPU领域的研发投入与GPU领域多年的技术沉淀，公司核心竞争力有望进一步提升。AI拉动GPU需求，国产算力异军突起GPU在算力体系中承担着并行计算和图形渲染的核心任务，尤其在人工智能、高性能计算及图形处理领域大幅加速运算效率。根据Verified Market Research 预测，2025 年全球 GPU 芯片市场规模将达到1050亿美元，同比增长32.8%，2028年将增长至2465亿美元。目前全球GPU市场主要由海外公司英伟达、AMD和两家家垄断。据市场调查机构Jon Peddie Research最新数据显示，2024年Q3全球独立GPU市场份额分别占据了90%、10%，国产化替代空间巨大。此外，随着AI应用加速落地及算力平权两大趋势下，国产GPU厂商有望迎来快速发展。目前AI与各个领域结合并落地，同时带动训练端与推理端对GPU芯片的需求。且随着DeepSeek-R1的推出，大大降低了大模型推理和训练对于GPU芯片各方面性能的要求，这让原本在性能上相对落后的国产GPU芯片公司迎来重大发展机遇。积极导入民用市场，定增布局高性能GPU芯片打造第二曲线公司近年来大力研发且向市场积极推广，成功打开并拓宽了民用市场空间，同时在高性能GPU领域定增投入打造第二成长曲线。7系列与9系列GPU芯片在信创行业广泛落地，应用领域涵盖游戏、媒体处理、地理信息系统、CAD设计辅助等多种使用场景。公司积极与国内厂商建立合作，与包括龙芯、飞腾、银河麒麟等国内主要的CPU厂商和操作系统厂商展开适配工作，并与十余家国内主要计算机整机厂商建立合作关系，共建国产化计算机应用生态。同时，公司重点布局高性能GPU与通用GPU，打造第二成长曲线。2024年10月，公司公告称向特定对象发行 A 股股票，实际募集资金净额38.33亿元，主要投向高性能通用 GPU 芯片研发及产业化项目和通用GPU先进架构研发中心建设项目。投资建议我们预计公司2024-26年营业收入分别为5.8、7.2、9.3亿元，同比-18.68%、+24.14%、+29.17%；归母净利润分别为0.83、1.35、1.72亿元，同比+39.0%、+61.9%、+27.0%；EPS分别为0.16、0.26、0.33元。2025年4月3日股价为77.88元，对应PS分别为29x、20x、17x。首次覆盖，给予“增持”评级。风险提示下游需求不及预期风险；竞争格局变化风险；研发进度不及预期风险；产品落地效果不及预期风险。,,华西证券,增持,[None],2025-04-07,,增持,6000303,pdf_downloads/2025/2025-04-07/300474-景嘉微（300474）：国产GPU先驱者，定增加码高性能GPU.pdf,300474,景嘉微,景嘉微（300474）：国产GPU先驱者，定增加码高性能GPU
"刘雯蜀,童非,张致远",国产GPU领域的先行者，产品持续迭代公司是国内首家成功研制国产GPU芯片并实现大规模工程应用的企业，2007年自主研发出M9芯片驱动程序，2010年开始研制替代M9的自主知识产权图形处理芯片并获 “核高基” 重大专项立项，实现了GPU 突破，并向军用飞机供应 GPU及图显模块。公司GPU系列产品从JM 5系列逐步发展至JM 11系列和景宏系列，应用场景从军用向消费级以及AI计算拓展。2024年前三季度，公司营业收入4.41亿元，同比减少5.99%，归母净利润0.24亿元，同比增长53.28%。受军工行业人事调整、订单推迟、供应链降价等等原因影响，收入有所波动。公司业务主要分为图显、芯片及雷达，2023年营收占比分别为65.1%、14.2%、18.5%。2024上半年图显营收增长7.95%，雷达营收减少50.73%，芯片增长迅速，营收增速达到53.28%。我们认为未来伴随着定增项目落地以及景宏JM11系列芯片放量，芯片业务有望带动公司业绩增长。专用”向“专用+通用”发展，自主可控支持内生成长2024年以来的迹象表明，公司产品线正持续从军用向民用拓展，实现从“专用”向“专用+通用”的战略转型，通过AI以及消费级显卡打开新的增长曲线。1）JM11系列芯片已完成流片、封装阶段工作，兼容国内外主流操作系统并支持虚拟化，适用于游戏、动画、云计算、AI领域，在高画质游戏中，用户将能够享受到更高的帧率和更细腻的图像细节，有助于产品打开消费市场。2）2024年3月推出景宏系列高性能智算模块，专注于AI训练、推理和科学计算，支持多种混合精度运算和多卡互联，兼容主流CPU和服务器，弥补了此前产品在高端AI应用和高性能计算方面的不足。3）公司定增项目落地，募资38.27亿元，将用于“高性能GPU芯片”与“通用GPU先进架构研发中心建设”项目，旨在弥补国内GPU在高端图形处理与高性能计算领域的技术短板。算力即国力，GPU引领智算未来，国内市场潜力无限中央广播电视总台与国务院国资委联合制作的系列纪录片《大国基石》第三期《算力引擎》中明确指出“算力即国力”。 GPU凭借强大的并行计算能力，已成为深度学习和神经网络训练的核心硬件。2021至2030年间年CAGR达38.7%，国内GPU市场2020-2024年CAGR为32.8%。字节跳动2024年资本开支约为800亿元，接近百度、阿里、腾讯之和，2025年有望达到1600亿，或将引领AI大模型军备竞赛，带动算力产业需求。与此同时，各地掀起智算中心建设热潮，仅2024年上半年智算中心招投标相关事件就有至少791起，同比增长高达407.1%。在美国对华GPU出口限制加剧的背景下，国产GPU需求有望急剧增加。盈利预测与估值我们预计公司2024-2026年营业收入为5.15、7.77、10.47亿元，同比变动-27.82%、+50.96%、+34.66%；归母净利润为-1.24、0.70、0.91亿元。选取同为GPU芯片企业的海光信息、寒武纪-U，以及CPU企业龙芯中科作为可比公司，采用PS估值，可比公司2025年对应65倍PS，公司2025年对应60倍PS。首次覆盖，给予“买入”评级。风险提示研发不及预期；市场风险；竞争风险；政策不及预期；供应风险。,,浙商证券,买入,[None],2025-03-17,,买入,5955049,pdf_downloads/2025/2025-03-17/300474-景嘉微（300474）：国产GPU先锋，技术积淀与研发优势驱动未来.pdf,300474,景嘉微,景嘉微（300474）：国产GPU先锋，技术积淀与研发优势驱动未来
