author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts,PE_2年前,PE_1年前,PE_当年,PE_明年,PE_后年,PE_大后年,EPS_2年前,EPS_1年前,EPS_当年,EPS_明年,EPS_后年,EPS_大后年
"彭皓辰,刘丽,孙田田",Q3业绩大增，经纪业务及投资业务为主要驱动。第三季度单季度实现营业收入21.03亿元，同比增长48.58%，归母净利润9.54亿元，同比增长75.10%。公司前三季度实现经纪业务手续费净收入13.85亿元，同比增长66.32%，其中Q3单季度收入5.75亿元，同比增长119.11%。同时投资业务大幅提升，前三季度实现投资业务收入14.85亿元，同比增长25.30%。受益市场回暖，经纪业务收入大幅增长。融出资金（主要为两融业务）余额253.86亿元，较年初增长20.20%，同时利息支出减少，利息净收入增长30.70%。同时受益于市场行情表现回暖，2025年第三季度A股日均成交额达2.08万亿元，同比增长超200%，经纪业务收入大幅增长。投行、资管业务承压。公司前三季度实现投行业务手续费净收入2.77亿元，同比下降29.20%。前三季度公司股权融资规模7亿元，同比下滑50.53%，完成1家再融资；债券业务承销规模854亿元，同比增长9.74%。公司前三季度实现资管业务手续费净收入9.57亿元，同比下降18.90%。截止2025年上半年，公司资管规模2965亿元，同比增长3.56%，截止2025年三季度末，财通基金规模897亿元，同比提升5.61%。增加权益配置，自营投资收入大幅增长。公司其他债权投资规模较年初增长59.80%至105.17亿元，其他权益工具投资规模增长164.91%至31.01亿元。投资净收益23.17亿元，较2024年前三季度的0.25亿元大幅提升，Q3单季度投资净收益8.97亿元，同比提升165.57%。投资建议公司受益资本市场回暖，经纪与自营业务大幅改善。预计公司2025-2027年归母净利润分别为28.49亿元、33.53亿元、38.69亿元，同比增长21.75%/17.70%/15.39%，PB分别为0.99/0.91/0.84，维持“买入-A”评级。风险提示金融市场大幅波动，资本市场改革政策推进不及预期，公司出现较大风险事件，业务推进不及预期。,,山西证券,买入-A,[None],2025-11-05,,买入,7451742,pdf_downloads/2025/2025-11-05/601108-财通证券（601108）：营收整体回暖，自营驱动利润增长.pdf,601108,财通证券,财通证券（601108）：营收整体回暖，自营驱动利润增长,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 28.49,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 33.53,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 38.69,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
"蒋峤,葛玉翔",备注：股价截止自2025年10月31日收盘价报告摘要事件：财通证券发布2025年第三季度报告，点评分析如下：业绩概览：公司盈利恢复增长。2025年前三季度，财通证券实现归母净利润20.4亿元，同比+38.4%，单季度同比+75.1%；营业收入/扣除其他业务后的营业收入分别50.6/53.5亿元，同比上涨14.0%/14.6%，单季度同比+48.6%/+51.3%。截至2025Q3，公司总资产/归母净资产规模1483.5/374.2亿元，较去年同期+4.7%/+4.9%，同比微增；经营杠杆3.1x，同比微降0.1x。主营结构：资本金业务收入占比提高，资管、投行占比回落。2025年前三季度，公司资本金业务占比继续上升，净利息/投资收入分别为5.0/22.1亿元，占比10%/44%，同比+1.3/+1.9pct。轻资本业务中，经纪业务收入及占比随市场交投活跃度提升而大幅增长，但资管、投行业务有所下滑，2025Q1-Q3期间经纪/资管/投行收入分别为13.9/2.8/9.6亿元，截止2025Q3占比27%/5%/19%，同比+8.6/-3.3/-7.7pct，轻资本业务表现分化。盈利驱动：业绩增长主要由经纪及投资业务共同驱动。2025年前三季度，市场回暖促使公司经纪/投资业务增速维持高位，分别同比+66.3%/+19.2%，Q3单季度表现尤为强劲，分别同比+119.1%/+71.2%；净利息收入同样保持增长动力，前三季度同比+30.7%。资管/投行业务受市场空间收窄等因素制约而下滑，2025年前三季度同比-29.2%/-18.9%。投资建议：考虑到市场整体交投活跃度提升，预计2025-2027年归母净利润分别为28/32/36亿元，同比增速分别为21%/15%/10%，对应PB分别为1.1/1.0/1.0倍，维持“买入”评级。风险提示：市场大幅波动；业务拓展不及预期；研报使用信息滞后风险。,,中泰证券,买入,[None],2025-11-02,,买入,7265801,pdf_downloads/2025/2025-11-02/601108-财通证券（601108）：25Q3点评：净利润增38%，经纪、投资带动增长.pdf,601108,财通证券,财通证券（601108）：25Q3点评：净利润增38%，经纪、投资带动增长,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 28,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 32,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 36,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
"高超,卢崑",业绩超预期，投资收益高增前三季度公司营业收入/归母净利润51/20亿元，同比+14%/+38%，单三季度净利润9.6亿元，环比+20%，同比+75%，业绩好于我们预期。前三季度年化加权平均ROE7.3%，同比+1.8pct，期末杠杆率（扣客户保证金）3.96倍，同比-0.01倍。调整后营收51亿，同比+14%，经纪/投行/资管/利息净收入/投资同比+66%/-29%/-19%/+31%/+21%，经纪、投资收益与净利息收入高增驱动业绩高增，投行和资管同比下降。考虑公司自营投资表现超预期，我们上修2025-2027年归母净利润预测为29/34/39亿元（调前24/32/36），同比+24%/+18%/+14%。公司区位优势突出，财富管理转型持续深化，当前股价对应PB 1.0/1.0/0.9倍，具有安全边际，维持“买入”评级。经纪同比增长，投行、资管仍然承压（1）前三季度经纪净收入14亿元，同比+66%，单三季度经纪净收入5.8亿元，环比+48%，同比+119%，主因市场交易大幅提升驱动，2025Q1-3市场股基ADT1.96万亿，同比+112%，较上半年的66%扩张；2025Q3为2.5万亿，环比+66%，同比+212%。期末公司客户保证金规模331亿，环比+12%，反映9月末市场反弹带来的客户入金量增长。公司互联网获客能力较强，受益于本轮行情，开户市占率有望提高。（2）前三季度投行业务净收入2.8亿元，同比-29%，单三季度投行净收入0.6亿元，环比-50%，同比-48%，系一级市场环境低迷所致。（3）前三季度资管业务净收入9.6亿元，同比-19%，单三季度资管业务净收入3.5亿，同比-1%，环比+2%，Q3末财通资管公募非货/偏股AUM为915/175亿元，同比-16%/+67%，环比-9%/+49%，偏股规模环比高增。投资收益率改善，两融市占率提升（1）前三季度自营投资收益14.9亿，同比+25%，年化自营投资收益率4.2%，较中报的3.2%有提升，预计权益自营贡献弹性。2025Q1-3沪深300上涨17.94%，中证综合债上涨0.16%，其中2025Q3沪深300上涨17.90%，中证综合债下跌0.92%。期末公司自营金融资产463亿，同比-7%，环比+4%。（2）前三季度利息净收入5.0亿元，同比+31%，单三季度利息净收入2.0亿，同比+56%，环比+22%。期末融出资金254亿，同比+51%，环比+25%，两融市占率1.07%，环比+0.06pct。风险提示：市场波动风险；市场竞争加剧风险；自营投资收益不及预期,,开源证券,买入,[None],2025-10-30,,买入,7033137,pdf_downloads/2025/2025-10-30/601108-财通证券（601108）：2025 三季报点评：业绩超预期，投资收益高增.pdf,601108,财通证券,财通证券（601108）：2025 三季报点评：业绩超预期，投资收益高增,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 29,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 34,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 39,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
"孙婷,罗宇康",事件：财通证券发布2025年三季报。公司2025年前三季度实现营业收入50.6亿元，同比+14.0%；归母净利润20.4亿元，同比+38.4%；对应EPS 0.44元，ROE 5.5%，同比+1.3pct。第三季度实现营业收入21.0亿元，同比+48.6%，环比+11.3%；归母净利润9.5亿元，同比+75.1%，环比+20.3%。Q3经纪业务收入大幅增长：1）25Q1~3公司经纪业务收入13.9亿元，同比+66.3%，占营业收入比重27.4%。25Q1~3全市场日均股基交易额18723亿元，同比+108.6%。25Q3单季度公司经纪业务收入5.8亿元，同比+119.1%。2）公司两融余额254亿元，较年初+20%，市场份额1.1%，较年初-0.1pct，全市场两融余额23942亿元，较年初+28.4%。股权投行业务延续下滑趋势，债承规模保持稳定：25Q1~3公司投行业务收入2.8亿元，同比-29.2%。其中Q3单季度投行业务收入0.6亿元，同比-48.1%。1）股权业务：股权主承销规模7.0亿元，排名第39，同比-50.8%；其中IPO未有发行；再融资1家，承销规模7亿元。截至25Q3，公司未有IPO储备项目。2）债券业务：债券主承销规模854亿元，排名第23，同比+1.8%；其中公司债、ABS、金融债承销规模分别为518亿元、240亿元、81亿元。资管业务收入同比下滑，财通基金管理规模环比提升：25Q1~3公司资管业务收入9.6亿元，同比-18.9%，其中25Q3单季度资管业务收入3.5亿元，同比-1.5%。截至2025H1，公司资产管理规模2965亿元，同比+3.6%。截至25Q3末，财通基金管理规模897亿元，环比Q2提升20%，排名行业第66位。Q3自营收益同比高增：25Q1~3公司投资收益（含公允价值）14.8亿元，同比+25.3%；Q3单季度调整后投资净收益（含公允价值、汇兑损益、其他综合收益）5.7亿元，同比+123.6%。盈利预测与投资评级：结合公司2025年前三季度经营情况，我们上调此前盈利预测，预计2025-2027年公司归母净利润分别为27.61/29.44/31.27亿元（前值分别为24.94/26.59/27.91亿元），对应同比增速分别为18.02%/6.62%/6.21%。公司当前市值对应2025-2027年PB估值分别为1.06x/1.01x/0.96x。公司财富管理转型成效显著，资产管理业务特点鲜明，维持“买入”评级。风险提示：1）证券市场系统性风险；2）行业竞争加剧。,,东吴证券,买入,[None],2025-10-30,,买入,7004996,pdf_downloads/2025/2025-10-30/601108-财通证券（601108）：2025年三季报点评：Q3净利润同比增速超70%，经纪、自营收入增势显著.pdf,601108,财通证券,财通证券（601108）：2025年三季报点评：Q3净利润同比增速超70%，经纪、自营收入增势显著,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 27.61,
            ""eps"": 0.44,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 29.44,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 31.27,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.44,,,
张洋,2025年中报概况:财通证券2025年上半年实现营业收入29.59亿元，同比-2.19%；实现归母净利润10.83亿元，同比+16.85%；基本每股收益0.23元，同比+15.00%；加权平均净资产收益率2.94%，同比+0.30个百分点。2025年半年度不分配、不转增。点评：1.2025H公司经纪业务净收入、利息净收入、其他收入占比出现提高，投行及资管业务净收入、投资收益（含公允价值变动）占比出现下降。2.代买、代销同步增长，客户资产量质齐升，合并口径经纪业务手续费净收入同比+42.11%。3.股权融资规模仍处低位，债权融资规模小幅下滑，合并口径投行业务手续费净收入同比-21.71%。4.券商资管固收传统优势业务有所承压，合并口径资管业务手续费净收入同比-26.42%。5.投资业务控风险、去方向、增收益，合并口径投资收益（含公允价值变动）同比-7.76%。6.两融规模及股票质押规模均小幅下降，合并口径利息净收入同比+18.04%。投资建议:报告期内公司财富管理基本盘持续扩大、客户结构持续优化、机构业务保持高增、资产配置转型效果初显；固收市场行情同比明显转弱，资管固收传统优势业务有所承压，但公司加快布局固收+、权益、跨境、ABS、REITs等多元化经营战略，创新型业务竞争力日益凸显；另类投资、私募基金业务积极对接浙江科技创新体系建设工程，业绩表现优异；自营业务深化去方向资产配置，研究建立跨周期可持续增长机制。预计公司2025、2026年EPS分别为0.54元、0.58元，BVPS分别为8.02元、8.33元，按9月2日收盘价8.52元计算，对应P/B分别为1.06倍、1.02倍，维持“增持”的投资评级。风险提示：1.权益及固收市场环境转弱导致公司业绩出现下滑；2.股价短期波动风险；3.资本市场改革的政策效果不及预期；4.超预期事件导致公司的盈利预测与实际经营业绩产生明显偏差,,中原证券,增持,[None],2025-09-03,,增持,6389370,pdf_downloads/2025/2025-09-03/601108-财通证券（601108）：2025年中报点评：经纪量质齐升，资管多元发展.pdf,601108,财通证券,财通证券（601108）：2025年中报点评：经纪量质齐升，资管多元发展,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 10.83,
            ""eps"": 0.23,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": null,
            ""eps"": 0.58,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.23,0.58,,
"高超,卢崑",中报零售经纪收入同比高增，Q2自营投资改善明显2025H1公司营业总收入/归母净利润为29.6/10.8亿元，同比-2%/+17%，单Q2归母净利润7.9亿元，环比+174%，年化加权平均ROE 5.88%，同比+0.6pct，Q2末权益乘数（扣客户保证金）2.99倍，同比-0.49倍。收入端经纪同比+42%起到支撑，投行、资管和自营投资同比-22%/-26%/-8%，成本端业务及管理费同比-11%对净利润起积极作用。我们维持2025-2027年归母净利润预测为24/32/36亿元，同比+3%/+32%/+15%。公司区位优势突出，财富管理转型持续深化，当前股价对应PB 1.0/1.0/0.9倍，具有安全边际，维持“买入”评级。客户基础扩大+市场交易活跃驱动零售经纪同比高增，投行、资管业务承压（1）上半年经纪净收入8.1亿元，同比+42%，其中代买/席位/代销分别同比+61%/-54%/+17%，零售经纪增速良好，席位收入受降佣影响。2025H1公司客户数同比+11%，客户资产规模同比+28%。公司持续优化算法业务，上半年实现算法交易总量同比+53%，算法业务分支机构覆盖率提升至78%。公司金融产品保有规模较期初+5%，财赢“富”系列FOF产品保有规模突破12亿。（2）投行业务净收入2.2亿元，同比-22%。公司抓住监管鼓励申报窗口期，实现深交所主板IPO申报1单，新三板持续督导业务稳居省内第一。（3）资管业务净收入6.1亿，同比-26%，财通资管净利润2.4亿，同比+6%，年化ROE 15%，同比-1.73pct，期末总AUM 2965亿，较年初+3.5%，其中集合资管收入5.1亿，同比+43%，集合资管AUM 744亿元，同比-1%，较年初+10%。公募非货/偏股AUM为1009/118亿元，同比-8%/+18%。2025上半年财通证券资管正式获批QDII牌照。永安期货、浙商资产ROE下降，Q2自营投资收益明显改善（1）2025H1公司参股的永安期货/浙商资产净利润为1.7/5.7亿元，同比-45%/-14%，利润贡献5%/10%，年化ROE 2.7%/5.1%，同比-2.3/-3.3pct。（2）投资收益（含公允价值变动损益）9.4亿元，同比-8%，年化自营投资收益率为3.2%（2025Q1为0.2%，2024H1为3.11%），2025Q2自营投资收益7.2亿（Q1为0.2亿），环比明显改善主因Q2债市回暖。2025H1末自营金融资产规模443亿元，同比-16%，较年初-9%。风险提示：市场波动风险；市场竞争加剧风险；自营投资收益不及预期,,开源证券,买入,[None],2025-09-02,,买入,6385661,pdf_downloads/2025/2025-09-02/601108-财通证券（601108）：中报零售经纪收入同比高增，Q2自营投资改善明显.pdf,601108,财通证券,财通证券（601108）：中报零售经纪收入同比高增，Q2自营投资改善明显,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 24,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 32,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 36,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
"孙婷,罗宇康",事件：财通证券发布2025年中报。2025H1公司实现营业收入29.6亿元，同比-2.2%；归母净利润10.8亿元，同比+16.8%；对应EPS 0.23元，ROE 2.94%，同比+0.3pct。第二季度实现营业收入18.9亿元，同比+17.0%，环比+76.7%；归母净利润7.9亿元，同比+68.6%，环比+174.0%。经纪业务收入随市增长：2025H1公司经纪业务收入8.1亿元，同比+42.0%，占营业收入比重27.4%。全市场日均股基交易额15703亿元，同比+63.3%。公司两融余额203亿元，较年初-4%，市场份额1.1%，较年初基本持平，全市场两融余额18505亿元，较年初-0.8%。2025H1公司财富管理业务客户数同比增长11%，客户资产规模同比提升28%，个人户和法人户资产同比增幅均超30%。受政策影响，股权投行业务延续下滑趋势：2025H1公司投行业务收入2.2亿元，同比-21.8%。1）股权业务：2025H1财通证券股权业务承销规模同比-71.2%至7.0亿元，排名第37；其中再融资1家，承销规模7亿元。IPO储备项目2家，排名第22，其中两市主板1家，北交所1家。2）债券业务：2025H1财通证券债券业务承销规模同比-18.9%至493亿元，排名第24；其中公司债、ABS、金融债承销规模分别为359亿元、94亿元、25亿元。资产管理规模稳步增长，财通资管、财通基金25H1利润同比提升：2025H1公司资管业务收入6.1亿元，同比-26.4%。截至2025H1财通证券资管管理规模2965亿元，同比+3.6%。2025H1财通资管累计实现营业收入6.7亿元，同比下降21%，实现净利润2.4亿元，同比增长6%；财通基金累计实现营业收入3.0亿元，同比下降2%，实现净利润0.9亿元，同比增长80%。自营投资净收益同比下滑，Q2单季度修复显著：2025H1公司投资收益（含公允价值）7.4亿元，同比-8.1%；调整后投资净收益（含公允价值、汇兑损益、其他综合收益）7.0亿元，同比-29.9%。其中2025Q2公司投资收益（含公允价值）7.2亿元，同比+90.4%。盈利预测与投资评级：结合公司2025H1经营情况，我们上调此前盈利预测，预计2025-2027年公司归母净利润分别为24.94/26.59/27.91亿元（前值分别为24.85/26.31/27.61亿元），对应同比增速分别为6.61%/6.58%/4.98%。公司当前市值对应2025-2027年PB估值分别为1.06x/1.01x/0.97x。公司财富管理转型成效显著，资产管理业务特点鲜明，维持“买入”评级。风险提示：1）证券市场系统性风险；2）行业竞争加剧。,,东吴证券,买入,[None],2025-08-31,,买入,6371010,pdf_downloads/2025/2025-08-31/601108-财通证券（601108）：Q2投资收益大幅改善，经纪业务收入增长超40%.pdf,601108,财通证券,财通证券（601108）：Q2投资收益大幅改善，经纪业务收入增长超40%,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 24.94,
            ""eps"": 0.23,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 26.59,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 27.91,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.23,,,
"蒋峤,葛玉翔",备注：股价截止自2025年08月29日收盘价报告摘要事件：财通证券发布2025年半年报，点评分析如下：业绩概览：公司业绩表现修复。2025年上半年，财通证券实现归母净利润10.8亿元，同比+16.8%；营业收入/扣除其他业务后的营业收入分别29.6/30.9亿元，同比微降2.2%/2.6%。截至2025H1，公司总资产/归母净资产规模为1392.5/366.3亿元，同比-1.4%/+3.9%，基本与去年同期持平；经营杠杆3.0x，同比-0.5x。主营结构：经纪、净利息收入占比提高。2025H1，公司经纪/投行/资管/净利息/投资收入分别为8.1/2.2/6.1/3.0/11.4亿元。其中，经纪/净利息占比提高至27%/10%，分别+8.5/+1.8pct；投行/资管/投资收入占比下滑至7%/21%/38%，同比-1.9/-6.7/-2.1pct。盈利驱动：增长主因经纪及信用。2025年上半年，公司经纪与信用业务盈利表现随市场交易额大幅提升而显著优化，经纪/净利息收入同比+42.0%/+18.3%。其余业务受市场环境等因素制约有所下滑，2025H1投行/资管/净投资收入分别同比降低21.8%/26.4%/7.4%。投资建议：考虑到市场整体交投活跃度提升，我们上调公司盈利预测，预计2025-2027年归母净利润分别为28/32/36亿元（前次盈利预测2025-2026年为26/32亿元），同比增速分别为21%/15%/10%，对应PB分别为1.1/1.0/1.0倍，维持“买入”评级。风险提示：市场大幅波动；业务拓展不及预期；研报使用信息滞后风险。,,中泰证券,买入,[None],2025-08-30,,买入,6370114,pdf_downloads/2025/2025-08-30/601108-财通证券（601108）：25H1点评：净利润增17%，经纪、信用带动增长.pdf,601108,财通证券,财通证券（601108）：25H1点评：净利润增17%，经纪、信用带动增长,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 28,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 32,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 36,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
张洋,2024年年报概况:财通证券2024年实现营业收入62.86亿元，同比-3.55%；实现归母净利润23.40亿元，同比+3.90%；基本每股收益0.50元，同比+4.17%；加权平均净资产收益率6.59%，同比-0.08个百分点。2024年末期拟10派1.10元（含税）。点评：1.2024年公司经纪及资管业务净收入、利息净收入、其他收入占比出现提高，投行业务净收入、投资收益（含公允价值变动）占比出现下降。2.零售经纪业务稳步增长，机构经纪业务增速较快，合并口径经纪业务手续费净收入同比+17.76%。3.股权融资业务承压较重，债权融资规模同步小幅回落，合并口径投行业务手续费净收入同比-31.27%。4.券商资管固收传统优势业务持续领跑，公募基金业务保持快速增长，合并口径资管业务手续费净收入同比-0.39%。5.自营业务以大类资产配置为导向，增强跨周期下投资业绩的稳定性，合并口径投资收益（含公允价值变动）同比-12.27%。6.两融规模随市小幅增长，压降股票质押规模，合并口径利息净收入同比+12.80%。投资建议:报告期内公司财富管理基本盘持续扩大，客户交易结构不断优化，代买、代销、两融等核心业务指标实现全面增长；债权融资业务继续保持浙江省内第一方阵；资管固收传统优势业务持续领跑，创新型业务竞争力日益凸显；另类投资、私募基金业务积极对接浙江科技创新体系建设工程，业绩表现优异；自营业务条线调整组织架构，以大类资产配置理念为导向，增强投资业绩的稳定性，做大投资规模。预计公司2025年、2026年EPS分别为0.50元、0.53元，BVPS分别为8.02元、8.33元，按4月28日收盘价7.24元计算，对应P/B分别为0.90倍、0.87倍，维持“增持”的投资评级。风险提示：1.权益及固收市场环境转弱导致公司业绩出现下滑；2.市场波动风险；3.资本市场改革的政策效果不及预期,,中原证券,增持,[None],2025-04-29,,增持,6037113,pdf_downloads/2025/2025-04-29/601108-财通证券（601108）：2024年年报点评：多项业务表现优异，特色优势日益凸显.pdf,601108,财通证券,财通证券（601108）：2024年年报点评：多项业务表现优异，特色优势日益凸显,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": null,
            ""eps"": 0.50,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": null,
            ""eps"": 0.53,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.5,0.53,,
"孙婷,罗宇康",事件：财通证券发布2024年年报及2025年一季报。1）2024年公司实现营业收入62.9亿元，同比-3.6%；归母净利润23.4亿元，同比+3.9%；对应EPS 0.50元，ROE 6.6%，同比-0.1pct。第四季度实现营业收入18.4亿元，同比+18.0%，环比+30.3%；归母净利润8.68亿元，同比+15.5%，环比+59.2%。2）2025年一季度公司实现营业收入10.7亿元，同比-24.2%；归母净利润2.9亿元，同比-36.5%；对应EPS 0.06元，ROE 0.8%，同比-0.5pct。经纪业务收入增长显著：2024年公司经纪业务收入14.1亿元，同比+17.7%，占营业收入（扣除其他业务收入）比重22.5%。25Q1经纪业务收入4.2亿元，同比+41.4%，占营业收入（扣除其他业务收入）比重39.4%。25Q1全市场日均股基交易额17031亿元，同比+70.3%。2024年末公司两融余额211亿元，较2024年初+11%，市场份额1.1%，同比持平。25Q1公司两融余额212亿元，较年初+0.2%，市场份额1.1%，较上年同期-0.1pct。受政策影响，股权投行业务延续下滑趋势：2024年投行业务收入5.2亿元，同比-31.3%。25Q1投行业务收入1.1亿元，同比-24.2%。1）股权投行：2024年股权主承销规模14.2亿元，同比-83.3%，排名第31；其中IPO 1家，募资规模4亿元；再融资3家，承销规模10亿元。2025Q1股权主承销规模7.0亿元。公司IPO储备项目2家，排名第23，储备项目均为北交所项目。2）债券投行：2024年债券主承销规模1033亿元，排名第24；其中公司债、金融债、ABS承销规模分别为822亿元、98亿元、58亿元。25Q1债券主承销规模224亿元，排名第23；其中公司债、ABS、金融债承销规模分别为165亿元、46亿元、8亿元。资产管理规模稳步增长，财通资管2024年业绩增势稳健：2024年公司资管业务收入15.5亿元，同比-0.3%。25Q1资管业务收入2.6亿元，同比-17.5%。2024年末资产管理规模2822亿元，同比+2.0%。从子公司情况来看，2024年财通资管实现净利润5.2亿元，同比+12%；财通基金实现净利润1.5亿元，同比-13%。自营业务拖累整体业绩：2024年公司投资收益（含公允价值）15.0亿元，同比-14.5%；第四季度投资收益（含公允价值）3.2亿元，同比-8.4%。25Q1投资收益（含公允价值）0.2亿元，同比-94.5%。盈利预测与投资评级：结合公司2024年及2025年经营情况，我们下调此前盈利预测，预计2025-2026年公司归母净利润分别为24.85/26.31亿元（前值分别为26.32/31.68亿元），对应同比增速分别为6.21%/5.86%。预计2027年公司归母净利润为27.61亿元，同比增长4.94%。公司当前市值对应2025-2027年PE估值分别为11.87x/11.21x/10.68x。公司财富管理转型成效显著，资产管理业务特点鲜明，维持“买入”评级。风险提示：1）证券市场系统性风险；2）行业竞争加剧。,,东吴证券,买入,[None],2025-04-27,,买入,6026964,pdf_downloads/2025/2025-04-27/601108-财通证券（601108）：2024年年报及2025年一季报点评：投资收益拖累整体表现，经纪业务实现双位数增长.pdf,601108,财通证券,财通证券（601108）：2024年年报及2025年一季报点评：投资收益拖累整体表现，经纪业务实现双位数增长,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 24.85,
            ""eps"": null,
            ""pe"": 11.87
        },
        {
            ""year"": 2026,
            ""net_profit"": 26.31,
            ""eps"": null,
            ""pe"": 11.21
        },
        {
            ""year"": 2027,
            ""net_profit"": 27.61,
            ""eps"": null,
            ""pe"": 10.68
        }
    ]
}",,,11.87,11.21,10.68,,,,,,,
