author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"孙婷,何婷",事件：第一创业公告2025年中报，公司上半年实现营业收入18.3亿元，同比+20.2%；归母净利润4.9亿元，同比+21.4%；对应EPS 0.12元，ROE 2.9%，同比+0.3pct。第二季度实现营业收入11.7亿元，同比+37.7%，环比+77.2%；归母净利润3.7亿元，同比+43.2%，环比+211.5%。打造投顾平台，稳步推进财富管理转型。2025上半年实现经纪业务收入2.3亿元，同比+47.4%，占营业收入（扣除其他业务收入）比重19.0%。全市场日均股基交易额15703亿元，同比+63.3%。公司新增客户12万户，新增客户资产规模64亿元。公司两融余额77亿元，较年初+21%，市场份额0.4%，较年初基本持平。依托 AI 及大数据技术，“一创智富通”持续丰富策略工具、金融产品及投顾服务功能，通过精准匹配客户差异化需求提升财富管理效能。权益投行非公司优势，受政策影响较小；2025年上半年债券市场整体转弱背景下，公司表现仍较好。2025年上半年实现投行业务收入1.4亿元，同比+37.6%。公司股权投行并非优势业务，上半年发行遇冷背景下无股权项目。公司固定收益业务具有优势，上半年在债市整体转弱的背景下，债券主承销规模226亿元，同比+289.6%，排名第38；其中公司债、ABS承销规模分别为219亿元、7亿元。资管收入小幅增长。2025年上半年实现资管业务收入4.4亿元，同比-5.9%。截至2025H1资产管理规模663亿元，较2024年末增长23.7%。子公司创金合信管理规模5962亿元，较2024年末下滑5.7%，其中公募基金1647亿元，较2024年末增长13.0%。自营与债市关系度高。2025年上半年实现投资收益（含公允价值）6.9亿元，同比+22.1%；调整后投资净收益（含公允价值、汇兑损益、其他综合收益）11.7亿元，同比+34.0%。盈利预测与投资评级：考虑到市场交投活跃，我们上调公司2025-2027年的归母净利润至9.60/10.37/11.52亿元（前值分别为7.55/8.57/9.56亿元），分别同比+6%/+8%/+11%，对应2025-2027年PB为1.98/1.87/1.76倍。公司固收业务在行业内具有独特优势，具有一定稀缺性，维持“买入”评级。风险提示：交易量持续走低，权益及债券市场波动加剧致投资收益持续下滑。,,东吴证券,买入,[None],2025-08-28,,买入,6360582,pdf_downloads/2025/2025-08-28/002797-第一创业（002797）：2025 年中报点评：加大“固收+”投资品种布局，高基数下业绩仍实现增长.pdf,002797,第一创业,第一创业（002797）：2025 年中报点评：加大“固收+”投资品种布局，高基数下业绩仍实现增长
"刘丽,孙田田,李明阳",投资投行表现亮眼，财富管理稳步提升。2024年公司各项业务均实现正增长，其中，自营业务增长幅度最大，全年实现投资净收入14.41亿元，同比增长143.27%，投行业务增长46.40%至2.78亿元，利息净收入增长31.75%至1.04亿元，经纪业务及资产管理业务分别实现收入3.8亿元、9.21亿元，同比增长8.08%、1.77%。Q1受益于市场活跃度提升，经纪业务实现收入1.23亿元，同比增长46.88%，资产管理业务实现收入2.45亿元，同比增长8.36%，利息净收入0.18亿元，同比提升29.71%，受一季度债券市场利率上行影响，自营业务实现收益1.52亿元，同比下降33.69%。加强分支机构赋能，夯实财富管理转型基础。公司深化分支机构“特色化、专业化”发展战略，将分支机构打造成公司全业务条线展业入口。2024年，公司新增客户12.53万户，新增客户资产规模170.98亿元，年内代理买卖证券业务净收入3.14亿元，同比提升19.85%。加强资产配置能力，推动代销体系向资产配置转型，全年代销金融产品125.17亿元，同比增长7.83%，日均产品保有规模91.22亿元，同比增长4.17%。完善投顾服务体系，“e投顾”品牌签约客户数及客户资产规模同比分别增加497.84%、712.96%。固收深化交易驱动转型，加强一二级销交联动。固定收益优势稳固，较好把握市场机遇，2024年实现自营投资业务净收入14.41亿元，同比增长143.27%。2024年债券交易额7.40万亿元，同比下降6.94%，其中，现券交易额5.74万亿元，同比增长0.05%。同时持续提升销售能力及专业定价能力，2024年实现固收产品销售金额1984亿元，同比增长11.96%，探索多收入转型。资管规模有所下滑，公募规模显著提升。以资产管理业务为核心，持续提升主动管理能力及产品创设能力，2024年末，受托客户资管金额536.38亿元，同比减少12.34%。创金合信受托管理规模6322.97亿元，同比减少36.66%，其中，公募基金规模1457.54亿元，同比增长27.79%，固定收益类公募基金近三年收益率排名市场前1/3位置，多只产品收益率居前。投资建议公司固定收益特色突出，资产管理具备一定市场竞争力，具有差异化竞争优势。预计公司2025年-2027年分别实现营业收入34.69亿元、37.25亿元、40.24亿元。归母净利润8.46亿元、9.37亿元和9.99亿元，减少6.37%、增长10.80%和6.60%；PB分别为1.73/1.70/1.68，维持“增持-A”评级。风险提示金融市场大幅波动，业务推进不及预期风险，公司出现较大风险事件，资本市场改革不及预期。,,山西证券,增持-A,[None],2025-05-12,,增持,6050876,pdf_downloads/2025/2025-05-12/002797-第一创业（002797）：固收业务特色显著，财富管理稳步提升.pdf,002797,第一创业,第一创业（002797）：固收业务特色显著，财富管理稳步提升
罗惠洲,"事件概述第一创业披露2024年年报及2025年一季报。2024年，公司实现营业总收入35.32亿元/yoy+41.91%，归母净利润9.04亿元/yoy+173.28%，归母扣非净利润8.96亿元/yoy+177.83%；期间公司总股本42.024亿股，基本每股收益0.215元/股。截至2024年末，公司总资产527.42亿元/yoy+16.48%，净资产163.06亿元/yoy+10.02%；每股净资产3.88元/股；杠杆率3.23倍，剔除了客户资金存款和备付金的杠杆率2.55倍；摊薄ROE 5.54%，较去年同期增加3.31个百分点。2024 年度利润分配方案：每10股派发现金股利0.64元（含税）。叠加2024年中期利润现金股利（每10股0.10元含税），第一创业2024年度拟分配和已分配的现金股利合计约3.11亿元，占母公司2024年实现的可供分配利润的50.44%，占2024年合并报表归母净利润的34.41%。以2025-4-30收盘价，股息率为1.09%。2025年第一季度，公司实现营业总收入6.61亿元/yoy-1.87%，归母净利润1.18亿元/yoy-17.59%，归母扣非净利润1.14亿元/yoy-18.23%；基本每股收益（非年化）0.028元/股。截至2025年一季度末，公司总资产540.68亿元，较上年度末+2.51%；净资产166.78亿元，较上年度末+2.28%；每股净资产3.97元/股；杠杆率3.24倍，剔除了客户资金存款和备付金的杠杆率2.6倍；摊薄ROE（非年化）0.71%，较去年同期减少-0.24个百分点。分析判断:固收业务特色鲜明，以交易为核心，投资与销售双翼并进。2024年，第一创业加强一级销售、二级交易联动，推动数字化建设，推进以交易为核心的组织架构优化，打造客户交易全生命周期服务组织，持续提升客户服务能力和市场影响力。公司固收业务收入6.46亿元/ yoy+47.33%，占营收18.29%。其中，手续费及佣金净收入6228.17万元，投资收益7.73亿元，公允价值变动1723.90万元。在固收投资交易业务方面，公司采用利差交易、趋势交易、结构交易和做市交易相结合的策略，在银行间和交易所市场的债券交易量为7.40万亿元/yoy-6.94%，其中现券交易量为5.74万亿元/yoy+0.05%；回购交易量为1.66万亿元/yoy-25.08%；积极参与做市交易，银行间市场做市交易量为2.29万亿元/yoy-13.57%。在固收销售业务方面，公司于2024年销售固定收益各品种数量合计4,857只/yoy-3.46%；销售金额合计1,984.00亿元/yoy+11.96%。第一创业具有32个全国省市地方政府债承销商资格。根据中国证券业协会发布的《2024年证券公司债券（含企业债券）承销业务专项统计》，公司“地方政府债券实际中标金额”为223.10亿元，行业排名第12名。根据北交所发布的《2024年证券公司参与北交所地方政府债券发行业务承销数据统计》，公司“北交所公开招标发行地方政府债券实际中标金额”为41.20亿元，行业排名第1名。收入结构中自营和资管收入占比超65%，以资管为核心的战略规划已见成效。2024年，第一创业经纪/投行/资管/信用/自营（投资净收益+公允价值变动）/其他业务分别实现净收入3.8亿元/2.78亿元/9.21亿元/1.04亿元/16.02亿元/1.76亿元，同比+8.08%/+46.4%/+1.77%/+31.75%/ +112.88%/+78.96%；分别贡献调整后营收的10.8%/7.9%/26.17%/2.95%/45.53%/5.01%。 2025年第一季度，公司的经纪/投行/资管/信用/自营/其他业务分别实现净收入1.23亿元/0.61亿元/2.45亿元/0.18亿元/1.87亿元/0.1亿元，同比+46.88%/-5.75%/+8.36%/+29.71%/-27.43%/-25.73%；分别贡献调整后营收的18.67%/9.35%/37.24%/2.79%/28.38%/1.5%。公司按照“成为有固定收益特色的、以资产管理业务为核心的证券公司”这一战略目标，资管业务打造“固收+”、FOF和ESG产品体系；布局（生态环保、能源、产业园和物流仓储等）公募REITs业务，培育ABS业务特色。截至2024年末，公司资管业务受托管理资金总额536.38亿元/yoy-12.34%。第一创业持有51.07%创金合信基金。截至2024年末，创金合信设立并在存续期的产品490只，其中私募资产管理计划392只，证券投资基金98只；受托管理资金总额6,322.97亿元/yoy-36.66%。其中，公募基金管理规模1,457.54亿元/yoy+27.79%。创金合信固定收益类公募基金近三年收益率行业排名第 32/144 名。股东背景进一步增强。2022年9月，第一创业的原第一大股东北京首创集团以非公开协议转让的方式向北京国有资本运营管理有限公司（以下简称“北京国管”）转让其持有的11.0576%股权，转让价格8.08元/股。北京国管直接/间接持有第一创业20.87%股权，是公司第一大股东，进一步增强了公司的股东背景，通过强化股东赋能与战略协同，支持公司发展。北京首创集团目前持有56.77%首创证券股份有限公司。投资建议公司致力于打“成为有固定收益特色的、以资产管理业务为核心的证券公司”，资管业务表现稳健，特色化发展路线清晰。我们维持2025/2026年营收预测32.50/32.71亿元，新增2027年营收预测33.10亿元；维持2025/2026年净利润预测9.29/9.41亿元，新增2027年净利润预测9.69亿元。相应地，维持2025-2026年EPS预测0.221/0.224元，新增2027年EPS预测0.231元。对应2025年5月6日收盘价6.92元/股，PE分别为31.31/30.92/30.00倍，PB分别为1.77/1.69/1.62倍，维持公司“增持”评级。风险提示股债市场大幅波动影响自营投资收益；市场交易萎缩；股票市场波动股票质押业务风险。",,华西证券,增持,[None],2025-05-07,,增持,6043299,pdf_downloads/2025/2025-05-07/002797-第一创业（002797）：2024年报及2025年一季报点评：固收特色鲜明，资管表现稳健.pdf,002797,第一创业,第一创业（002797）：2024年报及2025年一季报点评：固收特色鲜明，资管表现稳健
"孔祥,陈莉","公司发布2024年年报及2025年一季度。2024年，公司实现营业收入35.32亿元，同比+41.91%；实现归母净利润9.04亿元，同比+173.28%；EPS为0.220，同比+175.00%；加权平均ROE为5.80%，同比+3.55pct。公司业绩增长主因系受益于自营及投行业务发力。2025年一季度，公司实现营收6.61亿元，同比-1.87%，实现归母净利润1.18亿元，同比-17.59%，EPS为0.03，同比持平，一季度公司TPL账户持有债券因市场因素引起波动。固收业务夯实护城河。公司传统优势业务深化交易转型取得效果，2024年在银行间及交易所债券交易量达7.40万亿元，公司地方政府债在团数量位于行业第一梯队，其中北交所地方债中标金额排名行业第1名。资管业务：创金合信公募管理规模增近三成。2024年，公司实现资管业务收入9.21亿元，同比增长1.77%。截至2024年末，创金合信受托管理资金总额6,322.97亿元，同比-36.66%。其中，公募基金AUM1,457.54亿元，同比+27.79%。后续公司将推进差异化发展，打造精品化资产管理机构。自营业务：OCI权益账户持续建仓,OCI债权规模提升。2024年，公司实现投资业务收入14.41亿元，同比增长143.27%。其中，金融投资资金增加24亿元，同比+11.42%。TPL账户增加1亿元，同比+0.34%，其中，银行理财增加4亿元，同比+83.49%。OCI权益账户增加15亿元，年末持仓41亿元，同比+57.47%。OCI债权规模+8.68亿元，同比+1377.78%。投行业务：北交所投行业务成增长引擎。2024年，公司实现投行业务收入2.78亿元，同比增长46.40%。据Wind数据显示，北交所保荐上市家数及承销规模均排名行业第2名；完成债权融资项目（企业债及公司债）53单，总承销金额262.50亿元，同比+110.02%。后续公司有望强化股东赋能，聚焦北交所业务。经纪业务加速财富管理转型。2024年，公司新增客户12.53万户，金融产品销售规模同比增长7.83%至125.17亿元，投顾签约资产规模同比增长712.96%。公司持续推进以买方投顾为支点的财富管理。风险提示：政策风险，资本市场波动，汇率波动，经济增速不及预期等。投资建议：基于公司年报数据及资本市场的表现，我们对公司2025年和2026年的归母净利润分别上调88.60%和80.68%，预计2025-2027年公司归母净利润为9.2/9.6/9.8亿元，同比增长2.1%/3.8%/2.2%，当前股价对应的PE为34.6/33.3/32.6x,PB为2.0/1.9/1.8x。公司作为特色券商，“固收+资管”业务优势显著，我们对公司维持“优于大市”评级。",,国信证券,优于大市,[None],2025-04-27,,买入,6059015,pdf_downloads/2025/2025-04-27/002797-第一创业（002797）：夯实固收交易护城河，债券投资加大自营波动.pdf,002797,第一创业,第一创业（002797）：夯实固收交易护城河，债券投资加大自营波动
"孙婷,何婷",投资要点事件：第一创业公告2024年年报及2025年一季报。公司2024年实现营业收入35.3亿元，同比+41.9%；归母净利润9.0亿元，同比+173.3%；对应EPS 0.22元，ROE 5.8%，同比+3.6pct。2024Q4实现营业收入11.3亿元，同比+96.2%，环比+28.9%；归母净利润2.6亿元，同比+9860.1%，环比+8.9%。2025Q1实现营业收入6.6亿元，同比-1.9%；归母净利润1.2亿元，同比-17.6%；对应EPS 0.03元，ROE 0.72%，同比-0.2pct。公司业务以固收为特色，因此2024年在债券牛市下取到超高增长，而今年一季度由于债市波动较大，公司业绩有所下滑。打造投顾平台，稳步推进财富管理转型。2024年实现经纪业务收入3.8亿元，同比+8.1%，占营业收入的11.4%。25Q1实现经纪业务收入1.2亿元，同比+46.9%，占营业收入的19.0%。截至2024年末公司两融余额76亿元，同比+6%，市场份额0.4%，同比基本持平。截至25Q1末公司两融余额81亿元，同比+19%，市场份额保持在0.4%。权益投行非公司优势，受政策影响较小；2024年债券市场表现较好期间，投行业务逆势增长。2024年投行业务收入2.8亿元，同比+46.4%。25Q1投行业务收入0.6亿元，同比-5.8%。2024年IPO承销规模10.7亿元，同比-60.1%，排名第14。25Q1无股权项目。2024年债券主承销规模262亿元，同比+80.9%，排名第49；其中公司债、企业债承销规模分别为257亿元、6亿元。25Q1债券主承销规模85亿元，同比+823.0%。排名第41。资管收入小幅增长。2024年实现资管业务收入9.2亿元，同比+1.8%。25Q1实现资管业务收入2.4亿元，同比+8.4%。截至2024年末资产管理规模536亿元，同比-12.3%。公司ESG、FOF投资具先发优势，ABS业务具有特色，同时参控股创金合信基金与银华基金，稳定贡献收入。自营与债市关系度高。2024年实现投资净收益（含公允价值）14.4亿元，同比+143.3%；2024Q4投资净收益（含公允价值）4.5亿元，同比175.1%。2025Q1实现投资净收益（含公允价值）1.5亿元，同比-33.7%。盈利预测与投资评级：我们预计公司2025-2027年的归母净利润为7.55/8.57/9.56亿元，分别同比-16%/+13%/+12%，对应2025-2027年PB为1.74/1.66/1.58倍。公司固收业务在行业内具有独特优势，具有一定稀缺性，首次覆盖，给予“买入”评级。风险提示：交易量持续走低，权益及债券市场波动加剧致投资收益持续下滑。,,东吴证券,买入,[None],2025-04-26,,买入,6024590,pdf_downloads/2025/2025-04-26/002797-第一创业（002797）：2024年报及2025年一季报点评：固收为公司核心业务特色，业绩与债市关联度高.pdf,002797,第一创业,第一创业（002797）：2024年报及2025年一季报点评：固收为公司核心业务特色，业绩与债市关联度高
罗惠洲,事件概述第一创业发布2024年三季报。2024年前三季度，公司实现营业总收入24.01亿元，同比+25.54%；归母净利润6.41亿元，同比+95.45%；归母扣非净利润6.33亿元，同比+99.48%；基本每股收益0.153元/股，同比+96.15%；加权平均ROE为4.20%，同比+1.97pt。截至2024年三季度末，公司总资产471.26亿元，较上年末+4.07%。分析判断:收入结构中自营和资管收入占比高达71%，资管业务表现稳健。报告期内，公司经纪/投行/资管/利息/自营业务净收入分别为2.23/1.71/7.02/0.59/9.95亿元。从收入增速看，经纪/利息分别同比-16.5%/-33.5%，投行/资管/自营分别同比+11.5%/+0.7%/+131.3%。从收入结构来看，自营占比最高，为41.5%；资管次之，为29.2%；经纪/投行/利息分别占9.3%/7.1%/2.5%。公司按照“成为有固定收益特色的、以资产管理业务为核心的证券公司”这一战略目标，持续提升主动管理能力和产品创设能力，资管业务经营表现稳健，特别是旗下创金合信基金投资业绩排名靠前，截至2024年6月末，创金合信权益类公募基金近五年收益率为68.39%，行业排名第18/128名。投资收益和公允价值变动损益大幅增加，驱动利润高增。报告期内，公司投资净收益/公允价值变动损益分别为9.10/1.73亿元，分别同比+100.3%/+79.8%，主要系资本市场回暖以及去年同期基数较低。其中，投资净收益自2024年初以来逐季改善，Q1/Q2/Q3分别同比+27.7%/+173.2%/102.9%，公允价值变动损益2024Q3单季度为1.77亿元，同比（2023Q3单季为-0.78亿元）由负大幅转正。投资建议公司致力于打“成为有固定收益特色的、以资产管理业务为核心的证券公司”，资管业务表现稳健，特别是旗下创金合信基金投资业绩排名靠前。我们调整此前2024年营业收入46.58亿元的预测值至33.01亿元，新增2025-2026年营收预测32.50/32.71亿元；调整此前2024年净利润9.83亿元的预测值调整至9.63亿元，新增2025-2026年净利润预测9.29/9.41亿元。相应地，调整此前2024年EPS 0.234元的预测值至0.229元，新增2025-2026年EPS预测0.221/0.224元，对应2024年10月31日收盘价8.59元/股，PE分别为37.49/38.87/38.38倍，PB分别为2.27/2.20/2.10倍，维持公司“增持”评级。风险提示股债市场大幅波动自营投资收益下滑；市场交易萎缩；股票市场波动股票质押业务风险。,,华西证券,增持,[None],2024-10-31,,增持,5811748,pdf_downloads/2024/2024-10-31/002797-第一创业（002797）：资管表现稳健，自营驱动利润高增.pdf,002797,第一创业,第一创业（002797）：资管表现稳健，自营驱动利润高增
"刘丽,孙田田","投资业务推动业绩增速领先。上半年公司实现投资收入5.66亿元，同比增长40.18%。经纪业务手续费净收入下降14.35%至1.54亿元；资管业务手续费净收入基本持平，下降0.83%至4.67亿元；投行业务手续费净收入下降15.46%至1.03亿元。投资业务在债券市场表现较好的环境下实现有效拉动，推动公司业绩保持优势，净利润增速在目前披露业绩的上市券商中领先。固收表现亮眼，自营投资收入同比大幅增长。公司持续践行交易驱动策略，现券交易量、交易活跃度和影响力稳步提升，在银行间和交易所市场债券交易量合计4.69万亿元，同比增长28.40%。债券销售方面，公司继续巩固地方政府债销售优势，具有32个省市地方政府债承销商资格，销售金额合计919.86亿元，同比增长12.21%。投行聚焦北交所布局，夯实区域优势。公司投行笃定践行“聚焦区域、聚焦产业”的发展定位，持续深化区域聚焦。坚持北交所战略走深走实，独家保荐并承销的2单北交所IPO项目成功发行上市，募资总额5.55亿元，北交所上市家数及募集资金规模均排名行业第1。完成债权融资项目10单，总承销金额63.72亿元，其中，承销北交所债券规模达14.10亿元，排名行业第1。资管拓宽产品线，公募规模增长。公司持续丰富策略和期限类型，形成固收、“固收+”、定增、公益慈善等多元化的产品线，公司资管规模较2023年末小幅下降1.83%至600.68亿元。子公司创金合信私募资管规模达到7581.96亿元，同比减少14.24%；公募基金管理规模1,524.21亿元，较2023年末增加383.62亿元，增长33.63%。公司投顾体系持续完善，投顾签约客户数、签约资产规模较2023年末分别增长168.33%和249.76%。投资建议公司固收投资业绩亮眼，投行聚焦北交所布局取得一定区域优势，资管产品线丰富，公募规模增长，投顾体系完善，财富管理和服务实体经济的能力不断提升。预计公司2024年-2026年分别实现营业收入26.06亿元、29.56亿元、32.96亿元。归母净利润4.92亿元、6.22亿元和7.03亿元，增长48.65%、26.45%和13.14%；PB分别为1.65/1.60/1.52，维持“增持-A”评级。风险提示金融市场向下波动风险可能导致金融资产价格大幅下跌，公司持有的金融资产公允价值变小，同时方向性投资可能因波动产生亏损。业务推进不及预期风险，证券行业高质量发展趋势下，执业能力及执业质量成为业务推进的重要影响因素，面对行业严监管态势，公司业务推进可能随之变缓，从而影响公司的业绩表现。出现较大风险事件风险，证券公司在经营过程中存在流动性风险、市场风险、信用风险、操作风险、声誉风险等各类风险，风险发生后可能会对公司业绩产生巨大影响。",,山西证券,增持-A,[None],2024-08-31,,增持,5745669,pdf_downloads/2024/2024-08-31/002797-第一创业（002797）：固收表现亮眼，投行聚焦北交所布局.pdf,002797,第一创业,第一创业（002797）：固收表现亮眼，投行聚焦北交所布局
"孔祥,陈莉","第一创业发布2024年中报。2024年上半年，公司实现营业总收入15.24亿元，同比增长5.47%；实现归母净利润4.00亿元，同比增长26.56%；EPS为0.10元/股，同比增长25%；ROE为2.64%，同比上升0.50pct。公司在第一大股东北京国管的赋能下，有望夯实“固收+资管”双轮驱动的业务优势，聚焦北交所业务，持续提升公司价值。债券交易活跃，投资业务增长超四成。2024年上半年，公司实现投资业务收入5.66亿元，同比增长40.2%，主因系债券投资业务表现良好；公司在银行间和交易所市场的债券交易量为4.69万亿元，同比增长28%；银行间市场做市交易量为1.63万亿元，同比增长29%。公司交易策略灵活多样，现券交易量、交易活跃度和影响力有望稳步提升。延申固收投资边界，资管探索差异化发展。公司实现资管业务收入4.67亿元，同比下降0.83%。创金合信受托管理资金总额9,106.17亿元，较2023年末减少875.63亿元，降幅为8.77%。其中，公募基金管理规模1,524.21亿元，较2023年末增加383.62亿元，增幅为33.63%。基金子公司创金合信基金投资管理、金融科技实力强劲，后续有望拓展机构客户。战略聚焦北交所业务，投行储备丰富。2024年上半年，受市场IPO严监严管影响，公司实现投行业务收入1.54亿元，同比下降14.35%。同期，一创投行2单北交所IPO项目发行上市，募集资金5.55亿元；一创投行北交所上市家数及募集资金规模均排名首位。一创投行承销北交所债券规模达14.10亿元，排名行业首位。公司投行加大新三板业务，为北交所业务蓄力。完善投顾服务体系，拓展财富机遇。受市场景气度影响，2024年上半年，公司实现经纪业务收入1.54亿元，同比下降14%；公司“一创智富通”累计注册用户超14万，同比增长5%；金融产品销售规模64.50亿元，同比增长7.69%；投顾签约客户、签约资产规模较2023年末增长168.33%和249.76%。公司聚焦财富管理，完善服务体系，推进财富管理高质量发展。风险提示：市场下跌对券商业绩与估值修复带来不确定性；金融监管趋严。投资建议：基于权益市场波动，IPO持续趋紧张、监管新规对证券行业的影响，及公司中报数据，我们对公司2024-2026年归母净利润分别下调8.96%、8.41%及8.40%。预计2024-2026年公司归母净利润为4.2/4.9/5.3亿元，同比增长28.5%/15.1%/8.3%，当前股价对应的PE为50.4/43.8/40.5x,PB为1.5/1.5/1.4x。考虑到公司作为特色券商，“固收+资管”业务优势明显，我们对公司维持“优大于市”评级。",,国信证券,优于大市,[None],2024-08-24,,买入,5732034,pdf_downloads/2024/2024-08-24/002797-第一创业（002797）：固收投资靓丽，利润优于同业.pdf,002797,第一创业,第一创业（002797）：固收投资靓丽，利润优于同业
"Ting Sun,VIvian Xu","投资要点：公司以固收为特色，在现有上市券商中属于稀缺标的。公司致力于打造有固定收益特色的、以资产管理业务为核心的证券公司。目标价6.19元，维持“中性”评级。【事件】公司发布2023年年报及2024年一季报。2023年年度实现营业收入24.9亿元，同比-4.7%；归母净利润3.3亿元，同比-17.5%；对应EPS 0.09元，ROE 2.7%，同比-0.7pct。2024年一季度实现营业收入6.7亿元，同比-2.7%；归母净利润1.4亿元，同比+1.6%；对应EPS 0.03元，ROE 1.0%，同比持平。经纪业务加速财富管理转型，聚焦客户全生命周期全品类产品服务。2023年经纪业务收入3.5亿元，同比-8.6%，占营业收入比重14.1%。2024年一季度经纪业务收入0.8亿元，同比-4.8%。2023年公司代销金融产品收入0.18亿元，同比-1.3%，占经纪业务收入5.2%。2023年末公司两融余额72亿元，较年初+17%，市场份额1.48%，同比+1.08pct。加强北交所业务布局，北交所一季度券商执业质量评价排名第一。2023年投行业务收入1.9亿元，同比-31.8%。2024年一季度投行业务收入0.7亿元，同比+41.6%。2023年股权业务承销规模同比-72.3%，债券业务承销规模同比+37.2%。2023年股权主承销规模26.9亿元，排名第38，为3家再融资。2023年债券主承销规模145亿元，排名第60；其中公司债、ABS、金融债承销规模分别为125亿元、15亿元、6亿元。公司固定收益销售和投资交易业务持续得到客户及市场认可。公司固定收益业务 围绕“以交易为核心，投资与销售为两翼”的定位推动交易驱动转型和深化通过一级销售、二级交易联动，打造客户交易全生命周期服务组织，持续提升客户服务能力和市场影响力。2023年，公司固收销售金额合计1772.12亿元，同比上升2.26%；在银行间和交易所市场的债券交易量为7.95万亿元，同比增长14.38%。积极推进主动管理转型，券商资管、公募基金规模逆市增长。2023年资管业务收入9.0亿元，同比-12.1%。2024年一季度资管业务收入2.3亿元，同比-1.8%。截至 2023年末，公司资产管理业务受托管理资金总额为611.88亿元，较 2022年末增加61.90亿元，增幅为11.25%。，创金合信受托管理资金总额9,981.80亿元，较2022年末增加1586.70亿元，增幅为18.90%。其中，公募基金管理规模 1,140.59亿元，较2022年末增加274.83亿元，增幅为31.74%。截至2023年末，创金合信权益类公募基金近五年收益率为116.79%，行业排名第11名。2023年自营低基数下同比大幅回升。2023年投资收益（含公允价值）5.9亿元，同比+217.3%；第四季度投资收益（含公允价值）1.6亿元，同比扭亏为盈。2024年一季度投资收益（含公允价值）2.3亿元，同比+9.2%。【投资建议】我们预计公司2024E-2026E归母净利润分别为3.65亿元、4.09亿元、4.59亿元（原2024-25预测为5.99、6.53亿元），同比分别+10%/+12%/+12%，每股净利润分别为0.09/0.10/0.11元，每股净资产分别为3.64/3.74/3.85元。我们给予其1.7x 2024 PB（考虑到公司以固收为特色，在现有上市券商中属于稀缺标的，且资管主动管理产品收益率居前，适当给予估值溢价；原为2023年1.7x），对应目标价6.19元（-2%），维持“中性”评级。风险提示：市场持续低迷导致业务规模下滑，市场监管进一步加强。",,海通国际证券,中性,[None],2024-05-02,,中性,5613135,pdf_downloads/2024/2024-05-02/002797-第一创业（002797）：固收销售、交易表现亮眼，资管、基金管理规模实现正增长.pdf,002797,第一创业,第一创业（002797）：固收销售、交易表现亮眼，资管、基金管理规模实现正增长
"孔祥,陈莉","第一创业发布2023年年报和2024年一季度报告。2023年，公司实现营业总收入24.89亿元，同比下降4.7%；实现归母净利润3.31亿元，同比下降17.5%；EPS为0.08元/股，同比下降20.0%；ROE为2.25%，同比下降0.51pct。2024年一季度,公司实现营业收入6.73亿元，同比下降2.66%；实现归母净利润1.43亿元,同比增长1.64%；EPS为0.030元/股，ROE为0.96%，同比均保持不变。后续公司有望在第一大股东北京国管的赋能下，持续夯实“固收+资管”双轮驱动的业务优势，实现北交所业务的持续成长。债券交易活跃，投资业务逆势增长。2023年，公司实现投资业务收入5.92亿元，同比增长217%，主因系债券投资业务表现良好；公司在银行间和交易所市场的债券交易量为7.95万亿元，同比增长14%；银行间市场做市交易量为2.65万亿元，同比增长9%。2024年一季度，公司实现投资业务收入2.29亿元，同比增长9%。公司交易策略灵活多样，现券交易量、交易活跃度和影响力有望稳步提升。拓展新三板挂牌，北交所业务蓄力。2023年，受市场IPO收紧影响，公司实现投行业务收入1.90亿元，同比下降31.85%。2024年一季度，实现投行业务收入0.65亿元，同比增长41.62%；股权承销方面，募集资金5.55亿元，同比增长40%；市占率提升0.63pct至0.76%；市场排名上升较去年同期大幅上升23位，位列第17名；同期，债券承销业务金额为18.46亿元，同比下降35%，市场占有率为0.01，同比减少0.03pct。公司投行把握北交所战略发展机遇，加大新三板挂牌业务拓展力度。经纪业务承压，资管业务下滑。受市场景气度影响，2023年公司实现经纪业务收入3.51亿元，同比下降9%；一季度实现经纪业务收入0.84亿元，同比下降5%。截至2023年末，公司“一创智富通”持续升级，累计注册用户超142万，同比增长7%；股票与混合公募基金保有规模42亿元，行业排名46位。2024年一季度，公司实现资管业务收入2.26亿元，同比下降1.79%。基金子公司金融科技实力强劲，与财富管理协同发力。风险提示：市场下跌对券商业绩与估值修复带来不确定性；金融监管趋严。投资建议：基于权益市波动、IPO持续趋紧及监管新规对证券行业的影响，我们对公司2024年和2025年的盈利预测分别下调21%和17%，新增2026年盈利预测。预计2024-2026年公司归母净利润为4.7/5.3/5.8亿元，同比增长40.8%/14.8%/8.3%，当前股价对应的PE为50.7/44.1/40.8x,PB为1.7/1.6/1.6x。公司作为特色券商，“资管+固收”业务优势明显，我们对公司维持“增持”评级。",,国信证券,增持,[None],2024-04-27,,增持,5604797,pdf_downloads/2024/2024-04-27/002797-第一创业（002797）：受益债市向好，夯实“固收+资管”优势.pdf,002797,第一创业,第一创业（002797）：受益债市向好，夯实“固收+资管”优势
