author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"夏芈卬,王子钦",事件：中粮资本发布2025年半年度报告。报告期内，公司实现营业总收入48.93亿元，同比-0.78%；实现净利润13.14亿元；实现归母净利润8.48亿元。中英人寿稳健经营，业务高质量增长。2025H1保险业务实现收入35.24亿元，占集团总营收72.02%，同比+9.14%。财务投资收益率2.27%，综合投资收益率4.32%，短期盈利增速放缓，主要系一季度债市下跌导致债券公允价值波动，及新保险合同准则下收益核算调整的影响。但核心业务指标表现亮眼，2025H1原保险保费收入142.68亿元，同比+31%，新单年缴化保费30.12亿元，内含价值244.89亿元，聚焦长期价值。此外，截至2025H1末，综合偿付能力充足率305.83%，核心偿付能力充足率217.40%，偿付能力稳定。同时，公司风险综合评级再获AAA，已连续35次保持“A类”评级，充分体现公司良好的风险管理水平。中粮期货抗压转型。截至2025H1，中粮期货实现收入5.98亿元，同比-39.84%，主要系公司主动收缩风险管理子公司低毛利现货贸易规模以及叠加行业利率下调致现货价差收窄的影响。尽管收入阶段性收缩，公司业务质量与结构优化成效显著：1）境内经纪业务表现稳健，代理客户成交量与成交额分别同比+13%和4%，客户权益规模峰值延续增势。2）国际化布局实现关键突破，6月中粮期货（国际）获批成为香港交易所参与者及全面结算参与者。3）创新业务持续成长，资管规模同比+7%，“保险+期货”项目覆盖范围扩至近20个省市、10余个农粮品种，产业服务能力进一步夯实。信托业务协同增效。中粮信托2025H1末信托规模达6425亿元，2025H1实现收入7.49亿元，同比+8.3%，实现信托业务手续费收入6.22亿元，实现净利润4.05亿元，延续稳健态势。公司转型亮点突出，截至2025H1末，中粮信托证券服务类信托规模为3520亿元；标品资管业务与财富管理业务规模分别较年初增长19%与25%，达1260亿元与1193亿元，收入结构正从传统融资向服务信托与主动管理业务优化，盈利模式持续升级。投资建议：公司各分部业务质量提升、结构优化，转型成效显著，看好公司长期价值。预计2025-2027年公司营业总收入为99.71、108.57、119.56亿元，归母净利润为17.24、18.96、21.32亿元，摊薄EPS为0.75、0.82、0.93元，对应10月14日收盘价的PE估值为18.24、16.58、14.75倍。维持“买入”评级。风险提示：寿险利差损风险、资本市场波动、转型不及预期,,太平洋证券,买入,[None],2025-10-14,,买入,6617000,pdf_downloads/2025/2025-10-14/002423-中粮资本（002423）：2025 年中报点评：内含价值稳健，结构持续深化.pdf,002423,中粮资本,中粮资本（002423）：2025 年中报点评：内含价值稳健，结构持续深化
高超,持续深化产融协同，债市波动拖累短期业绩（1）2024年公司营业总收入/归母净利润分别为252.5亿元/12.1亿元，分别同比+13.3%/+ 18.6%，加权平均ROE 5.7%，同比+0.3pct，净利润增速符合我们预期。公司每10股派现金1.58元，股利支付率维持30%。（2）根据国家统一会计制度要求及公司经营发展要求，公司于2025年1月1日变更与保险合同相关的会计政策，同时公司对同期报表进行追溯调整。公司2025Q1营总收/归母净利润为23.5亿元/3.9亿元，同比-8.7%/-58.3%(基于回溯调整后)，一季度净利润同比下降明显，主要受投资收益(含公允价值变动损益)同比下降影响，主要受1季度债市下跌拖累。一季度末归母股东权益217亿，环比+5%。公司使用I17新准则下，1季度利率波动对公司净资产影响较小，体现了公司较好的资产负债匹配。（3）考虑2025年资本市场波动加大，我们下修2025-2026年净利润预测至13.0/14.2亿（调前14.0/15.2亿），新增2027年净利润预测15.5亿，同比+7.8%/+8.6%/+9.3%，当前股价对应PB为1.1/1.1/1.0倍，估值仍在低位，公司立足中粮产业，持续完善以服务民生为特色的综合金融平台，维持“买入”评级。2024年中英人寿净利润增长较快，形成三大渠道立体化营销布局（1）2024年中英人寿自身实力及行业地位不断提升，位列中外合资保险公司前茅，实现净利润8.03亿，同比+53%，ROE达到6.4%；原保险保费收入210亿，同比增长30%，其中新单保费87亿，保持较好增速。（2）2024年中英人寿个险渠道实现保费收入约61亿，同比+15%，13个月保费继续率96.6%，提升1个百分点；经代渠道实现保费收入约79亿，同比+21%，13个月继续率97.7%，上升2.3个百分点；银保渠道实现保费收入约51亿，同比+144%，13个月继续率98.5%，下降0.2个百分点。形成个险、经代、银保三大渠道的立体化营销布局。期货和信托子公司业绩稳健增长，加快转型发展步伐（1）2024年中粮期货实现净利润2.65亿元，同比增长11%，ROE达到7.2%，连续第11年获得证监会期货公司AA评级。2024年境内经纪业务客户权益规模峰值达到329亿，同比提升23%；国际业务客户权益日均规模为33亿，同比提升7%；期货资管业务月均规模约80亿，同比增长约23%，规模峰值突破90亿，创历史新高。（2）2024年中粮信托业务规模保持良好增长态势并突破6000亿，同比增加107%，实现信托收入12.3亿，同比增长6%；实现净利润7.0亿，同比增长16%。中粮信托聚焦“3+1+3”业务赛道，进一步夯实业务布局，加快转型发展步伐；证券服务类信托连续两年实现规模倍增，截至2024年末规模近4000亿元；中粮信托不断加强财富管理体系建设，截至2024年末财富管理全口径AUM近千亿元。风险提示：利率下行造成寿险利差损风险；资本市场波动对投资收益带来影响。,,开源证券,买入,[None],2025-04-30,,买入,6036029,pdf_downloads/2025/2025-04-30/002423-中粮资本（002423）：2024年年报和2025年1季报点评：持续深化产融协同，债市波动拖累短期业绩.pdf,002423,中粮资本,中粮资本（002423）：2024年年报和2025年1季报点评：持续深化产融协同，债市波动拖累短期业绩
高超,中粮资本(002423)依托中粮产业链，三大主业构筑四维产融协同公司以中粮集团产业链为依托，保险+期货+信托”为主业的金融牌照齐全，央企股东背景有力支撑产融协同，人才激励和考核机制市场化，中长期盈利增长稳健。长远看，中英人寿在合资寿险公司中优势凸显，多元化渠道特色鲜明，负债端高质量转型下价值率大幅改善，投资业绩多年位居行业前列，中长期以“最佳合资寿险”为战略目标，中粮信托积极推进主动管理转型，中粮期货加强经纪业务境内外联动。我们测算公司2024Q3末权益类资产规模约279亿元，占总投资资产的23%，其中FVOCI/FVTPL/长股投分别207/30/42亿元，分别占比17%/2.5%/3.5%，高股息资产贡献稳定股息回报，TPL资产带来权益弹性。我们预计公司2024E-2026E归母净利润分别为12.7/14.0/15.2亿元，分别同比+24%/+11%/+8%，对应ROE为5.8%/5.5%/5.7%，对应EPS为0.55/0.61/0.66元，对应PB为1.2/1.2/1.1，首次覆盖给予“买入”评级。“保险+期货+信托”为主业，构建四大金融业务矩阵版图从2019-2024H1旗下三大子公司盈利平均贡献占比分别为中英人寿47%、中粮信托32%、中粮期货15%，2020-2024H1年化ROE分别为13%、8%、7%。（1）中英人寿：负债端延续高质量增长态势，2024年受益三大因素驱动Margin改善，NBV实现同比高增，经代、个险、银保为三大主要保费贡献渠道，近年从传统增额终身寿向分红险产品积极转型。资产端业绩表现亮眼，近三年总投资率位居行业第二，2024年受益股债双牛，公司总投资收益率和综合投资收益率达到7.5%/15.6%。（2）中粮信托：2018年以来积极拥抱主动管理转型，2024H1达到3895亿元，较年初增长+29%，资产管理类标品固收产品为主要利润贡献，逐步拓展资产服务和公益慈善业务市场机遇。（3）中粮期货：加强经纪业务境内外联动，锚定优秀品种开展风险管理业务，落实产融结合，2024H1净利润实现1.34亿，同比-15%，在65%持股比例下位中粮资本贡献净利润占比7%。公司持续增配高股息资产，权益仓位高且长期盈利稳定公司持续增配高股息资产，权益仓位较高且长期盈利稳定。2024Q3末其他权益工具规模达到207亿，较年初同比+211%，占公司投资资产比重为17%，预计交易性金融资产股票规模为30亿元，占比2.5%，长期股权投资规模为42亿元，占比3.5%，2024年Q3末公司权益类资产规模约279亿元，占总投资资产的23%。风险提示：资本市场波动风险；中长期利差损风险；公司战略落地不及预期,,开源证券,买入,[None],2025-03-17,,买入,5952486,pdf_downloads/2025/2025-03-17/002423-中粮资本（002423）公司首次覆盖报告：依托中粮产业链，三大主业构筑四维产融协同.pdf,002423,中粮资本,中粮资本（002423）公司首次覆盖报告：依托中粮产业链，三大主业构筑四维产融协同
罗惠洲,事件概述中粮资本发布2024年三季报。2024年前三季度，公司实现营业总收入201.80亿元，同比+17.1%；归母净利润12.77亿元，同比+35.3%；归母扣非净利润12.76亿元，同比+36.5%；基本每股收益0.5543元/股，同比+35.3%；加权平均ROE为6.19%，同比+1.2pt。分析判断:主营收入中，已赚保费占比高达79%、同比+30%。公司营业总收入中，已赚保费/手续费及佣金收入/利息收入/营业收入（主要与中粮期货业务相关，下同）分别为159.12/14.12/17.12/11.44亿元。从收入增速来看，已赚保费同比+29.9%，手续费及佣金收入同比+20.4%，利息收入同比+9.0%，营业收入同比-48.8%。从收入结构来看，已赚保费收入占比最高，为78.9%；手续费及佣金收入/利息收入/营业收入分别占7.0%/8.5%/5.7%。受益于资本市场回暖，投资显著改善驱动利润同比增长。在低基数+资本市场逐步回暖的背景下，报告期内公司投资收益/公允价值变动损益分别为30.58/17.09亿元，分别同比+303.4%/+87.0%（其中2024Q3投资收益+公允价值变动损益同比+468.6%），对冲中英人寿保险业务规模增长带来的退保金、提取保险责任准备金及赔付支出增加（同比+63.0%），推动报告期内净利润同比改善。投资建议我们看好中粮资本1）寿险业务规模稳定增长，2）期货业务行业影响力不断提升，3）信托业务加速转型，规模继续保持良好增长态势。结合三季报数据，我们维持此前盈利预测，预计2024-2026年营业总收入为231.36/255.90/280.76亿元；预计2024-2026年归母净利润为19.34/26.19/31.00亿元。相应地，预计2024-2026年EPS为0.84/1.14/1.35元，对应2024年10月31日收盘价21.50元/股，PE分别为25.62/18.91/15.98倍，PB分别为2.41/2.21/2.00倍，维持公司“增持”评级。风险提示宏观经济下行风险；资本市场大幅波动风险；行业竞争加剧风险；保险销售不及预期。,,华西证券,增持,[None],2024-11-01,,增持,5812830,pdf_downloads/2024/2024-11-01/002423-中粮资本（002423）：投资改善驱动利润同比+35%.pdf,002423,中粮资本,中粮资本（002423）：投资改善驱动利润同比+35%
"夏芈卬,王子钦","事件：中粮资本发布 2024 年半年报。公司 2024H1 实现营业收入
130.83 亿元，同比+11.30%；归属于上市公司股东的净利润 11.74 亿元，
同比+43.43%；加权平均 ROE 为 5.73%，同比+1.37pct。寿险业务：稳健发展与高质量增长。2024H1子公司中英人寿实现原保险保费收入109.07亿元，同比+24%；新单年缴化保费收入24.64亿元，同比-28.16%；综合偿付能力充足率239.84%，同比-1.33pct；核心偿付能力充足率165.66%，同比+16.30pct。偿付能力充足稳定，长期稳健经营基础进一步夯实。期货业务：产融结合深化，实现多元业务突破。报告期内，子公司中粮期货整体实现净利润1.34亿元，同比-14.65%，主要系期货行业整体入场资金增速放缓、利率下调、手续费减收等不利因素影响。具体看，经纪业务深耕农业、能化、金融衍生品等重点产业，2024H1代理客户成交额同比增长13%。风险管理业务通过期现业务和场外业务创新，以及“保险+期货”模式，支持乡村振兴并提升农户服务，经营业绩改善向好。2024H1中粮期货资产管理规模达77亿元，同比+35.09%。产业金融深化和财富管理升级成效显著，业务规模和盈利能力双提升。截至2024年6月，子公司中粮信托业务规模显著扩张至3895亿元，环比+29%。信托业务手续费收入达到6.81亿元，同比+15%；实现净利润4.03亿元，同比+13%。信托业务转型加速，资产管理信托规模达到1010亿元，环比+28%；财富管理升级，销售规模达到850亿元，同比+25%。中粮信托主动管理能力和服务实体经济的能力持续强化。投资建议：中粮资本2024H1营收和净利均有显著增长。寿险业务经营稳健，期货业务尽管受到行业不利因素影响，但通过多措并举积极应对，仍展现出较强的创新能力和行业影响力，信托业务转型加速，主动管理能力继续提升，业务规模保持良好增长态势。预计2024-2026年公司营业收入为247.34/279.55/318.54亿元，归母净利润为12.40/14.93/18.43亿元，摊薄每股收益为0.54/0.65/0.80元/股，对应9月2日收盘价的PE估值为14.08/11.70/9.48倍。维持“买入”评级。风险提示：宏观经济下行风险、行业竞争加剧风险、寿险销售不及预期风险。",,太平洋证券,买入,[None],2024-09-05,,买入,5755634,pdf_downloads/2024/2024-09-05/002423-中粮资本（002423）：2024半年报点评：业绩增长强劲，战略转型彰显成效.pdf,002423,中粮资本,中粮资本（002423）：2024半年报点评：业绩增长强劲，战略转型彰显成效
罗惠洲,"事件概述中粮资本发布2024年中报。2024年上半年，公司实现营业收入130.83亿元，同比增加11.3%；归母净利润11.74亿元，同比增加43.43%；归母扣非净利润11.74亿元，同比增加43.60%；基本每股收益0.5097元/股，同比增加43.42%；加权平均ROE为5.73%，同比增加1.37个百分点。分析判断:寿险业务：业务经营稳健，偿付能力充足稳定。2024年上半年，中英人寿原保险保费收入109.07亿元，同比增长24%；新单年缴化保费收入24.64亿元，同比下降28.16%。中英人寿内含价值达231.12亿元，长期稳健经营的基础得到进一步夯实。截至2024年二季度末，中英人寿综合偿付能力充足率达239.84%，核心偿付能力充足率达165.66%，持续维持在较高水平，偿付能力充足稳定。期货业务：多错并举积极应对外部挑战。2024年上半年，中粮期货整体实现净利润1.34亿元，同比下降14.64%，主要受入市资金增速放缓、利率下调、手续费减收等不利因素影响。但中粮期货多措并举积极应对外部挑战，经纪业务境内外联动，对境内经纪业务贯彻一体化发展，深耕农业、能化、金融衍生品等重点产业，截至2024年6月末代理客户成交额同比增长13%，国际经纪业务助力内外联动模式加速形成，抓住美元高利率市场机遇，探索证券经纪、资产管理等新业务发展方向，中国香港1、4号牌照创新业务有序开展，业务规模稳步攀升。风险管理业务强化风险管控，锚定优势品种，落实产融结合，在有效风控的基础上实现了场外产品创新，形成了一定的品牌美誉度。资产管理产品线持续完善，持续加大与金融机构渠道的合作深度，2024 年上半年，中粮期货整体实现净利润1.34亿元，中粮期货资产管理规模达77亿元。信托业务：业务转型加速，主动管理能力继续提升。2024年上半年，中粮信托业务规模保持良好增长态势并达到3,895亿元，较2024年年初提升29%，实现信托业务手续费收入6.81亿元，同比增长15%；实现净利润4.03亿元，同比增长13%。中粮信托加速信托业务转型，继续提升主动管理能力。目前已形成现金管理类、纯债类、增厚收益类等全品种、多资产、收益稳健的产品体系，截至2024年6月末规模达1,010亿元，较年初增加28%。在标品权益资管业务方面，投研建设不断提升，形成股票、公募基金、私募基金、股权项目、创新产品五大投研品类。中粮信托秉承客户至上的理念，持续建设财富专业管理能力。中粮信托财富中心全口径销售规模850亿元，同比提升25%，销售规模及专业能力得到全面升级，品牌影响力进一步提高。投资建议我们看好中粮资本1）寿险业务稳健经营，盈利能力稳步提升，2）期货业务多措并举积极应对外部挑战，行业影响力不断提升，3）信托业务加速转型，规模继续保持良好增长态势。结合中报数据，我们调整公司2024年营业收入210.81亿元的预测值至231.36亿元，新增2025-2026年营收预测254.65/278.84亿元；调整2024年净利润15.55亿元的预测值至11.38亿元，新增2025-2026年净利润预测15.16/18.89亿元。相应地，调整2024年EPS 0.68 元的预测值至0.49元，新增2025-2026年EPS预测0.66/0.82元，对应2024年8月26日7.68元/股收盘价，PE分别为15.51/11.64/9.34倍，PB分别为0.86/0.81/0.75倍，维持公司“增持”评级。风险提示宏观经济下行风险；资本市场大幅波动风险；行业竞争加剧风险；寿险销售不及预期。",,华西证券,增持,[None],2024-08-27,,增持,5736380,pdf_downloads/2024/2024-08-27/002423-中粮资本（002423）：营收高增，经营质量与盈利能力稳步提升.pdf,002423,中粮资本,中粮资本（002423）：营收高增，经营质量与盈利能力稳步提升
夏芈卬,"事件：中粮资本发布2023年年度报告，报告期内公司实现营业收入222.82亿元，同比+19.76%；实现归母净利润10.21亿元，同比+70.95%；ROE（加权）5.41%，同比+2.15pct。营收高增，盈利能力大幅提高。公司2023年度营业总收入达到222.82亿元，同比+19.76%，归母净利润达到10.21亿元，同比+70.95%。营业收入高速增长，盈利能力大幅提升。寿险业务：盈利能力强，经营稳健。2023年中英人寿实现净利润5.25亿元，原保险保费收入161.69亿元，新单年缴化保费收入60.06亿元。公司聚焦长期稳健经营，2023年末中英人寿综合偿付能力充足率达273.13%，核心偿付能力充足率达166.87%，持续维持在较高水平，偿付能力基本充足稳定。期货业务：国际经纪业务步入良性发展，期货资管规模高增。截至报告期末2023年中粮期货实现净利润2.38亿元，ROE达到6.8%，年末净资产和净资本(母公司)分别达到35.84亿元和14.22亿元。经纪业务发展稳中向好，全年境内期货代理交易成交手数14,647万手，成交金额77,290亿元，全年日均权益保持稳定；国际经纪业务步入自我造血的良性发展轨道，国际业务客户权益年末30.33亿元，同比+2.34%，国际业务收入同比+114%。期货资管实现较快增长，行业影响力上升。信托业务：主动管理能力提升，信托业务转型加速。固收业务中，标品债券增长亮眼，已形成现金管理类、纯债类、增厚收益类等全品种、多资产、收益稳健的资管产品体系，标品债券规模达789亿元，同比+87%。权益业务中，提升投研建设，标品权益规模达25亿元。资产证券化业务中，积极布局ABS、ABN等多个业务品种，全年新发行规模位居行业前列，年末规模达到342亿元。近年公司深耕证券服务类信托业务，起量迅速，年末规模达到1,197亿元。多业务发展，信托业务转型加速，提质增效。投资建议：中粮资本在资产重组后实现业务转型，经营质量稳步提升，盈利能力不断增强。寿险业务经营稳健有较强的盈利能力，期货业务发展稳中向好，行业影响力不断提升，信托业务转型加速，提质增效。预计2024-2026年公司营业收入为34.54、43.95、51.41亿元，归母净利润为12.38、16.31、19.87亿元，EPS分别为0.54、0.71、0.86元/股，对应5月7日收盘价的PE分别为15.60、11.84、9.72。上调为“买入”评级。风险提示：资本市场大幅波动、寿险销售超预期下行、行业竞争加剧",,太平洋证券,买入,[None],2024-05-10,上调评级,买入,5622808,pdf_downloads/2024/2024-05-10/002423-中粮资本（002423）：2023年年报点评：经营质量稳步提升，盈利能力不断增强.pdf,002423,中粮资本,中粮资本（002423）：2023年年报点评：经营质量稳步提升，盈利能力不断增强
"罗惠洲,吕秀华,魏涛",中粮资本是中粮集团旗下运营管理金融业务的专业化公司，依托中粮集团产业链，促进产融协同、服务三农，成为以农业金融为特色的投资控股平台。上市公司通过全资子公司中粮资本投资有限公司持股50%中英人寿、80.51%中粮信托、65%中粮期货、20%龙江银行、100%资本投资管理有限公司等。主要观点:2021年，中粮资本主要经营指标均超同期。2022年业绩略有下降。疫情防控优化持续推进，经济有望在2023年得到修复。中粮资本将持续受益于金控平台的协同优势和国企改革的红利释放。公司在粮食安全的战略布局方向具备产业优势，有望实现营收与利润的快速增长。四张主力牌照：寿险+信托+期货+银行中英人寿由中粮集团和世界第六大保险集团英国英杰华于2002年合资组建。2022年上半年，中英人寿实现原保费收入63.13亿元，净利润1.60亿元，偿付能力充足，评级AAA。中粮信托的其他股东为蒙特利尔银行16.24%，中粮财务公司3.25%。公司主要集中于粮油食品行业，形成了农业供应链融资、农业土地流转、农业真实的股权信托投资以及农业消费信托四类差异化资产。2022 年上半年，中粮信托净利润实现2.38 亿元。中粮期货在大宗农产品期货的市场占据领先地位，公司以经纪业务为基础，以风险管理业务和财富管理业务为支撑，“一体两翼”协同，是我国产业系期货的代表。中粮期货通过“保险+期货”模式服务三农，公司其他股东为中国人寿35%。龙江银行定位“服务龙江经济、服务普惠零售、服务中俄经贸”，于2015年成为中俄金融合作分委会成员行，于2018年完成首笔黑龙江省陆路跨境调运人民币现钞至俄罗斯。龙江银行推动并实施中俄银行间合作的代理行建设、对俄跨境清算、本币现钞跨境调运等工作，搭建全方位对俄清算平台。龙江银行的其他股东包括黑龙江省大正投资集团20.5%、黑龙江交通发展7.97%。2022年上半年实现净利润3.96亿元。粮食安全与国企重估背景下的机会中粮资本是农粮食品领域稀缺的综合金融服务平台，粮食安全的战略目标为其经营划定下限。国企改革背景下，不断完善的现代企业制度为其估值提升提供了动能。金控平台牌照化监管，做大规模成为生态要求。,,华西证券,增持,[None],2022-12-26,,增持,5080626,pdf_downloads/2022/2022-12-26/002423-中粮资本（002423）：背靠中粮集团，服务农业产融.pdf,002423,中粮资本,中粮资本（002423）：背靠中粮集团，服务农业产融
"陈雳,邱瀚萱","2016年三季报：公司前三季度增亏

公司前三季度实现营业收入约6.78亿元，同比下降13.78%；归属于母公司净利润-0.90亿元，同比下降0.26亿元；基本每股收益-0.18元，同比下降0.05元；加权平均净资产收益率-5.03%，比上年下降1.84个百分点。其中，第3季度实现营业收入约2.02亿元，环比下降23.95%、同比下降7.35%；归属于母公司净利润-0.41亿元，环比下降-0.13亿元、同比下降0.01亿元，对应基本每股收益-0.08元，环比下降0.03元、同比持平。

三季度业绩出现部分积极变化，单季毛利率增长明显

公司前三季度亏损，主要由于营收下降13.78%。同时，三季度公司业绩出现部分积极变化，如三季度销售毛利率达到13.45%，环比上升1.66个百分点，同比上升9.26个百分点，前三季度销售毛利率达到10.24%，同比上升1.11个百分点。公司业绩萎靡，与油价低位震荡导致的钻井、油气管道建设低迷有关。从上半年看，公司石油钻具、限动芯棒收入分别同比下降56.7%和69.6%。此外，公司长期借款较年初增加1.34亿元，增幅达55.39%，从而导致前三季度财务费用增幅达到161.80%。

布局全球销售市场对冲国内业绩下滑，高洁净项目投产贡献订单

在国内宏观经济增速下滑的背景下，公司积极布局海外营销网络、实施大客户战略，公司在欧洲、新加坡、韩国海外办事处业务初见成效，与北美铸管签订试订单，模具钢在新加坡、韩国实现销售。公司高洁净钢项目投产后取得较大突破，部分产品实现批量订货、获得批量订单，如P91、H13及风电齿轮钢等重点产品形成批量供货，H13连铸坯首次批量打入宝钢特钢，推广中低合金钢连铸坯替代钢锭应用取得成效，已在15家锻造厂进行了试用，形成批量订单。

期待公司困境反转，维持“增持”评级

公司已连续两年亏损，今年全年扭亏刻不容缓。公司石油钻具、限动芯棒等产品依赖油价水平及钻井、管输建设，前三季度油价有反弹但同比仍处于低位，推测后续石油钻采及管输建设将持续低迷；前期公司高洁净钢项目取得一定突破，部分产品开始批量供货，成为公司新业绩增长点，维持“增持”评级，预计2016-2018年EPS分别为0.01、0.02、0.03元。

风险提示：经济形势变化；原料成本及产品价格波动；公司经营治理等。",,华泰证券,增持,[None],2016-10-14,,增持,1868923,"pdf_downloads/2016/2016-10-14/002423-*ST中特(002423)：全年扭亏压力大,期待四季度困境反转.pdf",002423,*ST中特,"*ST中特(002423)：全年扭亏压力大,期待四季度困境反转"
"陈雳,邱瀚萱","2016年中报：公司上半年业绩增亏

公司上半年实现营收4.76亿元，同比下降16.24%；归属于母公司净利-0.49亿元，同比下降0.25亿元；基本每股收益-0.10元，同比下降0.05元；加权平均净资产收益率-2.71%，同比下降1.52个百分点。其中，二季度实现营收2.65亿元，环比上升25.64%、同比下降6.87%；归属于母公司净利-0.28亿元，环比下降0.07亿元、同比下降0.16亿元；基本每股收益-0.05元，环比下降0.01元、同比下降0.03元。

公司营收下滑拖累公司业绩

公司上半年同比大幅增亏，主要由于营收下降16.24%，及营业成本降幅不及营业收入降幅，产品毛利率仅为8.98%，同比下滑2.42个百分点。分产品方面，大型特殊钢精锻件销售收入同比增长3.80%；工业专用装备销售收入同比下降40.04%，其中，石油钻具和限动芯棒收入分别同比下降56.7%和69.6%，主要受油价低迷影响，钻井及油气管输建设低迷，相关产品需求下降。此外，上半年公司带息负债、手续费等项目同比增长，导致利息支出同比增长56%、财务费用同比增长140%。

保持高端产品优势，布局全球销售市场

今年上半年，公司在继续保持石油钻具中石化、中石油战略供应商地位的基础上，5个钻具产品成功进入中石油甲级供应商名录，芯棒、管模市场占有率继续保持国内前列，堆焊芯棒产品市场进一步拓展，风力发电机主轴产销规模进一步提高，模具钢产品进入长安汽车领域，公司产品市场影响力扩大。产品销售方面，公司坚持实施大客户营销战略，并且积极布局海外营销网络，公司在欧洲、新加坡、韩国海外办事处业务初见成效，与北美铸管签订试订单，模具钢在新加坡、韩国实现销售。

高洁净项目投产后取得较大突破

公司高洁净项目技术开发和市场开发取得较大突破，生产组织管理日益完善。P91、H13及风电齿轮钢等重点产品形成批量供货，P91连铸坯与国内高压管龙头生产企业形成合作，达到国内先进水平，H13连铸坯首次批量打入宝钢特钢，风电齿轮用钢与重庆、浙江等地企业形成合作。积极推广中低合金钢连铸坯替代钢锭应用，已在15家锻造厂进行了试用，形成批量订单。

期待高洁净钢项目释放利润，维持“增持”评级

公司已连续两年亏损，今年全年扭亏刻不容缓。公司石油钻具、限动芯棒等产品依赖油价水平及管输建设，上半年油价有反弹但同比仍处于低位，推测下半年石油钻采及管输建设将持续低迷；上半年公司高洁净项目取得一定突破，拓展风电齿轮钢、连铸坯产品的市场空间，成为公司新业绩增长点，维持“增持”评级，预计2016-2018年EPS分别为0.01、0.02、0.04元/股。

风险提示：经济形势变化；原料成本及产品价格波动；公司经营治理等。",,华泰证券,增持,[None],2016-08-12,,增持,1838643,"pdf_downloads/2016/2016-08-12/002423-*ST中特(002423)：扭亏刻不容缓,待高洁净钢放量.pdf",002423,*ST中特,"*ST中特(002423)：扭亏刻不容缓,待高洁净钢放量"
