author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"郑辰,高初蕾","公司公告 2025 年前三季度营业收入、归母净利 1193.27 亿元、19.75 亿元;其中 302025 营业收入 382.20 亿元，同比+5.41%;归母净利润 5.30 亿元，同比+8.46%、环比+11.39%;扣非归母净利润 5.18 亿元，同比+15.24%、环比+16.49%。评论:“三新两化”战略驱动业绩同环比双升，新产品战略:前三季度总代品牌推广业务(含药品及医疗器械)收入147.28 亿元，其中药品总代收入 87.40亿元，同比+15.26%，覆盖品规 783个，年销过亿明星单品 32 个;器械总代收入 59.87 亿元，代理品规 1386 个，登士柏等新品前三季度收入超 1.8 亿元。医药工业自产及 OEM 业务收入 23 亿元，同比+9.93%，西药工业、中药工业分别同比增长 12.48%、9.79%，自有产品集群持续壮大。新零售战略:好药师“万店加盟”门店扩展至 33275 家，向加盟药店销售收入54.02 亿元，同比+43.40%;B2C 电商总代总销收入8.17亿元，同比+13.00%;药九九 B2B 及零售电商收入 155.29 亿元，同比+19.68%，其中零售电商服务平台收入 62.71亿元，同比+28.92%，C端会员超6000 万，线上线下一体化生态持漑挙ろȫ仰錆募铣醉⑱泘刳浚下癱t窺味久筈藍焓蕉腕卵腉嗖查橪颈新医疗战略:“九医诊所”会员店达 3000 家，前三季度新品引入超 490 个，诊所专销品种三季度销售额环比+69%;互联网医疗业务数智化三医大药房及处方流转项目达成 19 家，完成 23 家医院信息化建设，医疗服务场景不断拓展。数字化与规模化驱动效率提升。前三季度数字化战略投入研发 2.29 亿元，AI技术在智慧物流、中西医诊疗、智能办公等场景深度应用，建立超 600万条医药行业主数据的共享数据集，经营80余万品种品规，行业资源整合能力领先。REITS 战略持续兑现价值。汇添富九州通医药 REIT(508084)截至 2025 年9月 30 日收盘价较基准价累计涨幅达 43.28%,期间最高涨幅 51.81%;Pre-REITS项目首期入池的上海、杭州及重庆三处医药物流仓储资产出租率100%，运营平稳，公司全国拥有 137 座高标准物流仓库及 255 万平方米符合 GSP 标准的医药物流仓储资产，为REITS扩募提供充足资源，资产证券化战略助力轻资产运营与价值最大化。投资建议:基于消费降级与医改大环境影响，我们预计公司25-27年归母净利润为 24.3、26.9、28.7 亿元，同比-3%1+11%1+7%。参考行业可比公司估值，给予公司 26年 12x目标PE，对应目标价6.4元，维持“推荐”评级，风险提示:市场竞争加剧，政策影响，",,华创证券,推荐,[None],2025-11-19,,增持,8102973,pdf_downloads/2025/2025-11-19/600998-九州通（600998）：2025年三季报点评：三新两化战略成效显著，业绩稳健增长.pdf,600998,九州通,九州通（600998）：2025年三季报点评：三新两化战略成效显著，业绩稳健增长
伍云飞,核心观点医药分销稳健增长，经营业绩趋势向好。公司25年前三季度实现收入1193.3亿元（同比+5.2%），其中医药分销业务（含医疗健康与技术增值服务）收入991.5亿元，同比+5.1%，保持稳健增长，同期归母净利润19.8亿元（同比+16.5%），扣非归母净利润14.7亿元（同比-9.8%）。单季度来看，25Q3实现收入382.2亿元（环比+5.4%），归母净利润5.3亿元（环比+11.4%），经营业绩趋势向好。新业务稳中有进，数字物流预计将延续较快增速。从新业务看，25年前三季度药品总代品牌推广（CSO）收入87.4亿元（同比+15.3%），可威、弥可保等核心代理产品销售稳步增长；医药工业自产及OEM收入23.0亿元（同比+9.9%），中药饮片、西药制剂和医疗器械自有产品集群不断壮大；数字物流与供应链解决方案收入9.2亿元（同比+25.0%），我们认为，公司凭借医药物流覆盖全国和商品品规丰富的规模优势，推进多级仓网优化与多仓协同运作模式，提高仓储运营效率，在小b端和C端市场竞争力不断提升，数字物流业务有望延续较快增速。加快引进新产品，打造CSO利润新曲线。新产品方面，25年前三季度新增引进代理药品81个，包括吸入用布地奈德混悬液等9个过千万级单品，登士柏、加奇等器械新品销售快速爬坡，同期销售收入超1.8亿元，CSO利润增长动能强劲。线上业务有望长红，新医疗布局领先。新零售方面，B2B电商渠道收入155.3亿元（同比+19.7%），其中来自诊所、中小连锁药店收入92.6亿元（同比+14.1%），来自医药零售电商平台收入62.7亿元（同比+28.9%），公司作为京东和阿里重要药械供应商，有望借力其流量红利实现线上业务长红。B2C渠道收入8.2亿元（同比+13.0%），抖音、快手等兴趣电商渠道销售同比+62.8%，有望继续保持行业领先地位；新医疗方面，截至25Q3末，九医诊所会员店超3000家。我们认为，医保向基层倾斜政策方向明确，公司在诊所医保药品市场布局领先，利好长远发展。根据公司2025年三季报，我们维持2025-2027年每股收益分别为0.45/0.47/0.53元，根据可比公司维持给予25年14倍PE，对应目标价6.30元，维持“买入”评级。风险提示医保和药品比价政策、应收账款回款不及时、行业竞争加剧、盈利能力下滑等风险,,东方证券,买入,[None],2025-11-03,,买入,7307261,pdf_downloads/2025/2025-11-03/600998-九州通（600998）：2025 年三季报点评：业务结构优化，经营趋势向好.pdf,600998,九州通,九州通（600998）：2025 年三季报点评：业务结构优化，经营趋势向好
"朱国广,冉胜男,苏丰",事件：公司2025前三季度实现营收1193.27亿元（+5.20%，同比，下同），实现归母净利润19.75亿元（+16.46%），扣非归母净利润14.70亿元（-9.80%）。25Q3收入382.20亿元（+5.41%），归母净利润5.30亿元（+8.46%），扣非归母净利润5.18亿元（+15.24%）。现金流持续改善。2025年前三季度，公司经营活动产生的现金流量净额较上年同期增加3.41亿元，主要是公司前三季度加大了应收账款的清收力度，现金回款增加所致；其中第三季度，公司经营活动产生的现金流量净额实现正5.04亿元。预计公司全年经营活动产生的现金流量净额为与经营业绩相匹配的正数。“三新两化”战略布局深化，新兴业务与数字化协同发力。1）新产品：CSO业务持续打造利润增长第二曲线，25Q1-3实现收入147.28亿元，其中药品总代销售收入87.40亿元（+15.26%），器械总代销售收入59.87亿元。2）新零售：截至25Q3，好药师自营及加盟药店达33275家，覆盖全国31个省市、1786个区县；向加盟药店的销售收入54.02亿元（+43.40%），面向C端的新零售收入22.35亿元。3）新医疗：“九医诊所”会员店已达3000家，预计三年目标实现万家联盟；诊所品种满足率方面，前三季度引入新品超490个，单Q3诊所专销品种销售额环比增长69%。4）数字化：25Q1-3研发投入2.29亿元，研发技术人员达1591人。实施中数字化项目34个，AI技术广泛应用于物流、诊疗、办公等场景，“三码合一”平台大幅提升运营效率。5）不动产证券化：公募REITs“九州通R”于25年2月成功上市，募集资金11.58亿元，公众认购倍数达1192倍；首期Pre-REITs完成备案募集16.45亿元。截至25Q3，汇添富九州通医药REIT（508084）的收盘价较基准价累计涨幅达43.28%，期间累计涨幅最高值达51.81%。盈利预测与投资评级：我们维持预计公司2025-2027年归母净利润为26.94/28.18/31.08亿元，对应当前市值的PE为10/9/8倍。考虑公司为院外分销龙头，现金流持续改善，维持“买入”评级。风险提示：经营模式风险、政策风险、市场竞争风险、应收账款发生坏账风险。,,东吴证券,买入,[None],2025-11-02,,买入,7247064,pdf_downloads/2025/2025-11-02/600998-九州通（600998）：现金流改善，“三新两化”战略持续推进.pdf,600998,九州通,九州通（600998）：现金流改善，“三新两化”战略持续推进
"盛丽华,龙永茂",九州通(600998)Q3经营业绩超预期，现金流持续改善Q3业绩增长环比提速，扣非实现快增公司发布2025年三季报：2025Q1-3公司实现营业收入1193.27亿元（+5.20%），归母净利润19.75亿元（+16.46%），扣非净利润14.7亿元（-9.80%），经营现金流净额-23.17亿元（+12.84%）。分季度来看，2025Q1、Q2、Q3营业收入分别为420.16亿元（+3.82%）、390.9亿元（+6.52%）、382.2亿元（+5.41%），归母净利润分别为9.7亿元（+80.38%）、4.76亿元（-29.00%）、5.3亿元（+8.46%），扣非净利润分别为5.07亿元（-2.76%）、4.45亿元（-32.47%）、5.18亿元（+15.24%），Q3扣非净利润实现快速增长。公司第三季度经营业绩有较大提升，归母净利润环比增长11.39%，扣非归母净利润环比增长16.49%，增幅明显。从盈利能力来看，2025Q1-3毛利率为7.76%（-0.20pct），归母净利率为1.66%（+0.16pct），扣非净利率为1.23%（-0.20pct）。费率方面，2025Q1-3销售费用率为3.02%（+0.13pct），管理费用率为1.89%（+0.06pct），研发费用率为0.08%（-0.00pct），财务费用率为0.58%（-0.21pct）。l高毛利业务实现较快增长，现金流持续改善拆分来看，公司营业收入、归母净利润同比分别增长5.20%、16.46%，主要是公司在医药分销业务保持稳健增长的基础上，药品总代推广、医药工业、数字物流等新兴业务板块收入分别实现15.26%、9.93%、24.95%的较快增长，同时，公司完成医药仓储物流基础设施公募REITs发行上市，增加公司净利润4.38亿元。现金流持续改善，公司前三季度经营活动产生的现金流量净额较上年同期增加3.41亿元，主要是公司加大了应收账款的清收力度，现金回款增加；其中第三季度，公司经营活动产生的现金流量净额实现正5.04亿元。盈利预测及投资建议公司基本面积极向好，批发稳增长的同时，新产品战略打造“第二成长曲线”，REITs发行落地以及扩募将加快资金周转，预计公司2025-2027年营业收入分别为1640.51/1773.30/1916.34亿元，归母净利润分别为25.09/27.60/30.46亿元，当前股价对应PE分别为10.0/9.1/8.2倍，维持“买入”评级。风险提示：批发业务受政策影响经营不及预期风险；REITs基金募集和运营不及预期风险。,,中邮证券,买入,[None],2025-10-29,,买入,6962133,pdf_downloads/2025/2025-10-29/600998-九州通（600998）：Q3经营业绩超预期，现金流持续改善.pdf,600998,九州通,九州通（600998）：Q3经营业绩超预期，现金流持续改善
伍云飞,核心观点事件:25H1 公司实现收入 811.1 亿元，同比+5.1%，归母净利润 14.5 亿元，同比+19.7%，经营性净现金流-28.2亿元，较上年同期增加3.8亿元，主要系加大应收账款清收力度、回款增加，预计全年经营性净现金流为与经营业绩相匹配的正数。医药分销稳健增长，新兴业务增速亮眼。分板块来看，25H1医药分销收入 676.3亿元，同比+6.0%，基本盘稳健增长;总代品牌推广收入95.9亿元，同比-2.8%，在耗材集采承压背景下，登士柏(牙科)等新品快速放量，上半年收入近1亿元，同时可威、弥可保等核心代理产品销售增速稳健;自产中药饮片收入 12.2 亿元，同比+13.2%，继续强化全国布局和产业链协同发展;医美收入5.8亿元，同比+48.6%市场拓展加速，未来将重点推进注射类再生材料、声光电设备及敷料的引进推广院内和电商渠道发力，新零售运营提质增效。分渠道来看，25H1院内收入 304.6亿元，同比+8.6%，持续发力集采转配送和院内物流服务;药店营收127.1亿元，同比-4.4%，药店渠道有所承压;电商平台营收 106.4 亿元，同比+21.1%，药九九自营平台与互联网平台业务高速增长;新零售营收 14.9 亿元，同比+2.5%，商业分销、商超及其他营收基本持平。值得注意的是，新零售业务从“好药师”加盟店规模扩张转向经营质量提升，同期向加盟店销售收入34.2亿元，同比+41.3%;专业药房收入2.75亿元，同比+56.3%，累计服务慢病患者超百万人;020收入2.0亿元，同比+42.4%，线下送药服务门店数量已超 5600 家，覆盖全国超 200 个城市。加快“三新两化”战略落地，推动实现高质量发展。25H1，累计引进15 个品种35 个新品，其中过千万品种 8个，同时完成5 亿元规模新产品战略基金备案，已拥有注射剂、抗生素原料、眼科等项目，未来将积极引进创新药和优质仿制药;截至7月底，九医诊所会员店超2400家，计划3年内实现万家诊所联盟;“货到人”AI物流项目将挑选出库效率提升 10%;8月底，主体项目评级跃升至 AAA(国内最高信用等级)，后续将适时启动公募 REITs扩募，有望进一步降低融资成本。盈利预测与投资建议根据25年中报，我们下调预测，调整 2025-2027 年每股收益预测为 0.45/0.4710.53(原预测 25-27 年为 0.54/0.59/0.65)元，根据可比公司给予 25 年 14倍 PE，对应目标价 6.30 元，维持“买入”评级。风险提示医保和药品比价政策、应收账款回款不及时、行业竞争加剧、盈利能力下滑等风险。,,东方证券,买入,[None],2025-09-17,,买入,6444665,pdf_downloads/2025/2025-09-17/600998-九州通（600998）：2025 年中报点评：经营稳健向上，加快转型升级.pdf,600998,九州通,九州通（600998）：2025 年中报点评：经营稳健向上，加快转型升级
"朱国广,冉胜男,苏丰",事件：公司2025年上半年实现收入811.06亿元（+5.10%，同比，下同），归母净利润14.46亿元（+19.70%），扣非归母净利润9.52亿元（-19.34%）。单Q2季度，公司实现收入390.90亿元（+6.52%），归母净利润4.76亿元（-29%），扣非归母净利润4.45亿元（-32.47%）。业绩符合预期。25H1归母净利润大幅增长，应收账款改善明显。公司25H1归母净利润实现较高增长，主要得益于医药工业、数字物流等新兴业务，同时公司成功发行医药仓储物流公募REITs，贡献净利润4.38亿元。扣非归母净利润同比下滑，主要系防疫物资应收账款及医院客户账期延长导致减值准备计提增加，若剔除该因素影响，公司25H1归母净利润为15.87亿元，同比增长31.44%；扣非归母净利润为10.94亿元，同比下降7.33%。此外，公司通过加强应收账款管理，经营活动现金流量净额较上年同期增加3.8亿元，预计全年经营性现金流将保持与业绩相匹配的正向水平。“三新两化”战略布局深化，新兴业务与数字化协同发力。1）新产品：CSO业务持续打造利润增长第二曲线，25H1实现收入95.91亿元，其中药品总代销售收入57.59亿元（+6.26%），器械总代销售收入38.31亿元；期内新增引进药品及器械新品61个，包括7个千万级单品，并与利奥中国达成战略合作，获得卡泊三醇系列等零售渠道代理权。2）新零售：截至25H1，好药师自营及加盟药店达31535家，覆盖全国31个省市、1621个区县，全年预计超33500家；B2C电商总代总销业务销售收入5.65亿元（+13.96%），在抖音、快手等兴趣电商渠道同比增长95%。3）新医疗：“九医诊所”会员店超2400家，三年目标实现万家联盟；AI辅助诊断平台覆盖近3000种疾病，月均使用5.1万次。4）数字化：25H1研发投入1.46亿元，实施中数字化项目35个，AI技术广泛应用于物流、诊疗、办公等场景，“三码合一”平台大幅提升运营效率。5）不动产证券化：公募REITs“九州通R”于25年2月成功上市，募集资金11.58亿元，公众认购倍数达1192倍；首期Pre-REITs完成备案募集16.45亿元。盈利预测与投资评级：考虑公司REITS项目每两年实施一次扩募，投资收益稳定，我们将公司2025-2027年归母净利润由28.09/31.58/35.29亿元调整至26.94/28.18/31.08亿元，对应当前市值的PE为10/9/8倍。考虑公司为院外分销龙头，现金流持续改善，维持“买入”评级。风险提示：经营模式风险、政策风险、市场竞争风险、应收账款发生坏账风险。,,东吴证券,买入,[None],2025-09-02,,买入,6385020,pdf_downloads/2025/2025-09-02/600998-九州通（600998）：现金流改善，“三新两化”战略持续推进.pdf,600998,九州通,九州通（600998）：现金流改善，“三新两化”战略持续推进
"程培,闫晓松",事件：2025年8月27日，九州通发布2025年中期业绩报告，2025年上半年公司实现营业收入811.06亿元（+5.1%）；归母净利润14.46亿元（+19.7%）；扣非归母净利润9.52亿元(-19.34%); 经营性现金流-28.21亿元。2025Q2公司实现营业收入390.9亿元(+6.52%)；归母净利润4.76亿元(-29%)；扣非归母净利润4.45亿元(-32.47%)；经营性现金流5.07亿元。收入利润增长稳健，新兴业务贡献增量。2025年上半年公司营业收入增长5.1%，归母净利润增长19.7%，主要系医药分销主业稳健增长6.04%，同时医药工业、数字物流等新兴业务板块分别增长10.77%和24.66%，带来业绩增量贡献；且公司已完成医药仓储物流基础设施公募REITs发行上市，增厚利润4.38亿元。上半年公司扣非归母净利润下降19.34%，主要系防疫物资应收账款及医院客户账期延长导致计提减值准备增加，若剔除该因素的影响影响，上半年公司归母净利润15.87亿元，同比增长31.44%，扣非归母净利润10.94亿元，同比下降7.33%，整体经营状况稳健。另外，公司上半年应收账款请收力度加大，现金回款相应增加，经营性现金流净额较上年同期增加3.8亿元，预计全年经营性现金流为正数。持续加大战略投入，“三新两化”全面提速。2025年上半年公司持续加大战略投入，推动“三新两化”战略及“三花”人才战略实施落地；上半年公司在药九九B2B、好药师等新零售战略主体人工成本达2.45亿元，较上年同期增长21.62%，人才引进投入0.55亿元，较上年同期增长110%。战略投入增加促使“三新两化”战略全面提速，业绩增长贡献率不断提升。2025年上半年，公司总代品牌推广收入95.91亿元，新增引进药品61个；C端新零售业务收入14.93亿元，好药师加盟门店数量达3.15万家，销售收入34.18亿元，同比增长41.3%；新医疗诊所会员店超2400家，计划三年内实现万家联盟。医药工业、数字物流增长强劲，多元化业务协同发展。公司医药工业、数字物流、医美等新兴业务板块上半年实现快速增长，其中医药工业自产及OEM业务形成西药、中药及医疗器械产品集群，上半年销售收入15.93亿元，同比增长10.77%。数字物流方面打造覆盖物流中心作业全流程的机器人产品矩阵，上半年实现收入5.87亿元，同比增长24.66%。医美方面合作服务机构超过一万家，网络覆盖率接近60%，上半年实现收入5.83亿元，同比增长48.64%。投资建议：九州通作为全国最大的民营医药流通企业，以传统分销业务为基本盘，积极推进实施“三新两化”战略，引导CSO、新零售等创新业务快速发展。我们预计公司2025-2027年营业收入分别为1626.30/1741.28/1866.58亿元，同比增长7.13%/7.07%/7.20%；归母净利润分别为26.09/28.03/30.45亿元，同比增长4.06%/7.43%/8.61%，当前股价对应2025-2027年PE为10/9/9倍，维持“推荐”评级。风险提示：新业务进展不及预期的风险；应收账款坏账的风险；市场竞争加剧的风险；政策变动的风险。,,银河证券,推荐,[None],2025-08-30,,买入,6369450,pdf_downloads/2025/2025-08-30/600998-九州通（600998）：经营表现稳健，新兴业务快速增长.pdf,600998,九州通,九州通（600998）：经营表现稳健，新兴业务快速增长
余汝意,利润稳健增长，费用管控良好，维持“买入”评级公司2025H1实现营收811.06亿元（同比+5.10%，下文皆为同比口径）；归母净利润14.46亿元（+19.70%）；扣非归母净利润9.52亿元（-19.34%）。盈利能力方面，2025H1毛利率为7.56%（-0.35pct），净利率为1.87%（+0.25pct）。费用方面，2025H1销售费用率为2.88%（+0.07pct）；管理费用率为1.82%（+0.06pct）；研发费用率为0.08%（-0.01pct）；财务费用率0.56%（-0.20pct）。考虑到分销受经济大环境影响，我们下调2025-2026年并新增2027年盈利预测，预计2025-2027年归母净利润分别为26.33/28.54/31.18亿元（原预计27.78/31.94亿元），EPS为0.52/0.57/0.62元，当前股价对应PE为10.1/9.3/8.5倍，我们看好公司“三新两化”战略布局下的发展潜力，维持“买入”评级。数字化医药分销与供应链业务稳健增长，多元业务协同发展2025H1公司数字化医药分销与供应链业务营收676.34亿元（+6.04%），总代品牌推广业务（CSO）营收95.91亿元（-2.75%），医药工业自产及OEM业务营收 15.93亿元（+10.77%），医药新零售业务营收14.93亿元（+2.52%），数字物流与供应链解决方案营收5.87亿元（+24.66%），医疗健康与技术增值服务营收1.40亿元（+35.52%）。物流供应链解决方案业务持续完善，助推数字化转型公司持续深化物流供应链综合服务能力建设，为行业内外客户提供优质物流供应链解决方案服务，目前已承接包括东阿阿胶电商智能物流中心建设、河南羚锐物流中心建设等多个智慧物流项目，通过形成覆盖项目全周期的智慧物流解决方案体系，有效助推客户供应链数字化转型进程。此外，公司不断提升冷链物流网络的效率和服务质量建设，优化冷链物流网络与干线设计，为客户业提供定制化冷链物流全供应链服务解决方案。我们认为，在物流供应链能力的不断完善下，有望持续带动公司经营业绩提升。风险提示：政策波动风险，产品销售不及预期，业务拓展不及预期等。,,开源证券,买入,[None],2025-08-28,,买入,6362666,pdf_downloads/2025/2025-08-28/600998-九州通（600998）：公司信息更新报告：2025H1利润稳健增长，深化物流供应链业务优势.pdf,600998,九州通,九州通（600998）：公司信息更新报告：2025H1利润稳健增长，深化物流供应链业务优势
"盛丽华,龙永茂","九州通(600998)业绩符合预期，“三新两化”战略成果颇丰l业绩符合预期，加大战略性投入公司发布2025年中报：2025H1营业收入811.06亿元（+5.10%），归母净利润14.46亿元（+19.70%），归母净利润实现快速增长主要原因是公司在保持医药分销收入稳健增长的同时，医药工业、数字物流等新兴业务板块收入分别实现10.77%、24.66%的较快增长；同时，公司完成医药仓储物流基础设施公募REITs发行上市，增加公司净利润4.38亿元。2025H1扣非净利润9.52亿元（-19.34%），主要原因是防疫物资应收账款及医院客户账期延长等所致减值准备计提增加，对公司扣非归母净利润造成了一定影响，如剔除前述减值准备计提增加因素的影响，公司2025H1归母净利润15.87亿元，同比增长31.44%；扣非归母净利润10.94亿元，同比下降7.33%。经营现金流净额-28.21亿元（+11.87%），主要原因是公司本年中较上年同期加大了应收账款的清收力度，现金回款增加所致。预计全年经营活动产生的现金流量净额为与经营业绩相匹配的正数。分季度来看，2025Q1、Q2营业收入分别为420.16亿元（+3.82%）、390.9亿元（+6.52%），归母净利润分别为9.7亿元（+80.38%）、4.76亿元（-29.00%），扣非净利润分别为5.07亿元（-2.76%）、4.45亿元（-32.47%）。从盈利能力来看，2025H1毛利率为7.56%（-0.35pct），归母净利率为1.78%（+0.22pct），扣非净利率为1.17%（-0.36pct）。费率方面，2025H1销售费用率为2.89%（+0.07pct），管理费用率为1.82%（+0.06pct），研发费用率为0.08%（-0.00pct），财务费用率为0.56%（-0.20pct）。公司继续加大在新产品、新零售、新医疗、数字化和不动产证券化（“三新两化”）战略以及“三花”（花时间、花精力、花成本）人才战略方面的投入，2025H1公司在药九九B2B、好药师零售、京丰制药等“三新两化”战略实施主体的人工成本投入达2.45亿元（不含营运成本、资金成本等），较上年同期增长21.62%；在“三花”人才引进成本投入5,520万元，较上年同期增长110%。l各业务板块齐头并进，实现良好发展分板块来看，2025H1医药分销核心业务实现销售收入676.34亿元，同比增长6.04%，为公司整体营业收入增长奠定较好基础；此外，医药工业、数字物流等新兴业务板块均实现强劲增长，其中医药工业自产及OEM业务形成具有市场竞争力的西药、中药及器械产品集群，2025H1实现销售收入15.93亿元，同比增长10.77%；医药新零售业务2025H1实现销售收入14.93亿元（含好药师B2C电商总代总销业务），好药师“万店加盟”门店数已达31,535家，上半年向加盟店销售额34.18亿元，同比增长41.30%；数字物流与供应链解决方案2025H1实现业务收入5.87亿元，同比增长24.66%。此外，总代品牌推广业务（CSO）大力开展新品引进及老品提量，2025H1销售规模达95.91亿元；药九九B2B电商平台及零售电商服务平台等院外数字化分销业务快速增长，2025H1收入规模106.36亿元，同比增长21.08%。l持续推动数智化转型，不动产证券化战略成果显著公司继续加大数字化战略投入，上半年研发投入1.46亿元，积极开展AI人工智能在各个场景领域系统的深度应用，如AI辅诊、AI客服、AI采购助手、AI营销助手等针对角色和场景的个性化、定制化AI解决方案，大力促进公司业务及管理效率的提升，推动公司向数智化转型。公司不动产证券化战略成果显著，公募REITs发行上市及Pre-REITs首期发行成功后，公司将适时启动公募REITs扩募工作，以盘活更多医药仓储物流资产及配套设施，为公司业务发展持续提供资金支持。盈利预测与投资建议公司基本面积极向好，批发稳增长的同时，新产品战略打造“第二成长曲线”，REITs发行落地以及扩募将加快资金周转，预计公司2025-2027年营业收入分别为1640.51/1773.30/1916.34亿元，归母净利润分别为26.72/28.99/32.09亿元，当前股价对应PE分别为10.3/9.5/8.6倍，维持“买入”评级。风险提示：批发业务受政策影响经营不及预期风险；REITs基金募集和运营不及预期风险。",,中邮证券,买入,[None],2025-08-27,,买入,6355091,pdf_downloads/2025/2025-08-27/600998-九州通（600998）：业绩符合预期，“三新两化”战略成果颇丰.pdf,600998,九州通,九州通（600998）：业绩符合预期，“三新两化”战略成果颇丰
伍云飞,"核心观点业绩稳健，医药仓储物流公募 REITs 成功上市。24 年，公司实现营收 1518.1 亿元
（同比+1.1%），归母净利润为 25.1 亿元（同比+15.3%），扣非归母净利润为 18.1
亿元（同比-7.5%），剔除上年同期流感、疫情等季节性疾病特定因素影响后，营收
同比增长 2.6%，归母净利润同比增长 39.9%（含 Pre-REITs 首期发行的影响），扣
非归母净利润同比增长 14.9%，表现稳健。25Q1，公司实现营收 420.2 亿元（同比
+3.8%，环比+9.5%），归母净利润为 9.7 亿元（同比+80.4%，环比+19.6%），系
公司完成医药仓储物流基础设施公募 REITs 发行上市，增加公司净利润 4.38 亿元，
扣非归母净利润为 5.1 亿元（同比-2.8%，环比+175.5%）。CSO 业务竞争力强劲，医药工业业务快速增长。24 年 CSO 业务营收达 192.7 亿元
（同比-1.6%），其中药品 CSO 业务收入为 107.7 亿元，毛利额为 16.8 亿元；如剔
除上年同期个别季节性疾病品种影响，收入同比增长 19.6%。公司药品总代业务已
代理可威等众多知名品牌，品规达 960 个。而器械 CSO 业务实现收入 84.98 亿元，
公司已代理强生等国际知名品牌的 1287 个品规。其次，医药工业自产及 OEM 业务
24 年实现收入 30.1 亿元（同比+21.5%），其中西药/中药/器械工业及 OEM 业务实
现收入 5.9/22.9/1.3 亿元，已形成具有竞争力的西药、中药及器械产品集群。好药师快速扩张，“九医诊所”覆盖率持续提升。公司新零售与新医疗战略逐步显
现成效。目前好药师“万店加盟”门店数突破2.9万家，已建立全国数字化网络。24
年公司向加盟药店销售收入达 53.9 亿元（同比+54.9%），而面向 C 端的新零售业
务实现收入 29.7 亿元（含 B2C 电商总代总销等业务）。其次，公司新医疗业务已发
展“九医诊所”会员店达 1377 家，初步建立“九医诊所”联盟品牌。此外，药九九
B2B 电商平台及零售电商服务平台业务形成强大的 B2B 电商终端销售渠道，年收入
达 176.8 亿元。根据 2024 年报，我们下调收入、毛利率和费用率预测，调整 2025-27 年每股收益预
测分别为 0.54/0.59/0.65（原预测 25-26 年为 0.53/0.58）元，根据可比公司给予 25
年 13 倍 PE，对应的目标价为 7.02 元，维持“买入”评级。风险提示
医保和药品比价政策风险；应收账款回款不及时风险；行业竞争加剧风险；盈利能力
下滑风险等",,东方证券,买入,[None],2025-05-22,,买入,6071240,pdf_downloads/2025/2025-05-22/600998-九州通（600998）：24年报及25年一季报点评：业绩稳健增长，持续推进战略转型.pdf,600998,九州通,九州通（600998）：24年报及25年一季报点评：业绩稳健增长，持续推进战略转型
