author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"张良卫,周良玖,吴劲草,谭志千,张文雨",事件：公司发布2023年报及2024Q1季报。2023年营收同比下降36.0%至30.9亿元，归母净利润为-2.1亿元（2022年为-11.0亿元），扣非归母净利润为-2.1亿（2022年为-11.1亿元），收入和利润均低于我们预期。分产品来看，2023年公务员序列/综合序列/教师序列/事业单位序列营收分别为11.4/11.0/4.2/4.0亿元，分别同比变化-40.9%/-17.0%/-38.5%/-54.8%。2024Q1营收同比下降-14.1%至7.6亿元，归母净利润同比增长240.7%至8279.3万元，扣非归母净利润同比增长259.1%至8217.6万元，净利润增幅明显。关停并转、去粗取精，2023年亏损收窄。2023年，公司通过关停并转、去粗取精等方式，关停了部分业绩产出低、人效比较低的网点；推进组织架构重建，促进经营管理提效，提升了人效比。2023年公司直营分支机构数同比减少29.7%至783个，员工人数同比减少50.9%至1.1万人，研发人员数同比减少48.0%至881人，授课师资人数同比减少39.4%至4565人。2023年公司营业总成本同比下降50.8%，销售费用同比下降48.5%，管理费用同比下降47.3%，支出端的控制取得明显成效。人才招录培训需求广泛，供给端短期竞争加剧、长期或集中于头部机构。（1）需求端，就业压力仍然存在，相关培训需求广泛且较为刚性。2023 届高校毕业生人数达 1158 万，同比去年增长 82 万，青年群体就业持续承压。2023 年《政府工作报告》提出“城镇新增就业 1200 万人左右”的预期目标。2024 年度国家公务员考试计划招录 3.96 万人，相比上年的计划招录人数增加了 6.74%。国考报名人数突破 300 万人，通过资格审查的人数与录用计划数之比约为 77:1。2024 年多省联考招录人数超过 15 万人，同比去年增长超 2%。（2）供给端，人才招录培训行业出现短暂分化。近年来疫情和政策变动影响下，头部教育机构进行人员优化，大量个人工作室或小型培训机构涌现，行业分散与竞争的加剧共同提升了培训机构的获客难度。但长期来看，受招录培训行业的季节性和培训需求的地域分散性影响，头部企业基于规模优势能够更有效地应对市场变化，有望获得更多市场份额。发布股权激励计划，对2024-2025年收入进行考核。2024/3/11公司发布《关于向2024年第一期限制性股票激励计划激励对象授予限制性股票的公告》，拟授予的限制性股票数量为4000万股，约占激励计划公告时公司股本总额的0.65%。其中2024年营收触发值为32亿元、目标值为40亿元，2025年营收触发值为36.8亿元、目标值为46亿元。当营收介于触发值和目标值之间时，公司层面解除限售比例为80%；当营收值高于目标值时，公司层面解除限售比例为100%。盈利预测与投资评级：公司采取关停并转措施，我们将2024-2025年归母净利润从7.3/8.9亿元下调至3.7/4.4亿元，并预计2026年为5.0亿元，当前股价对应2024-2026年PE分别为44/37/33倍。我们看好公司的长期规模优势，维持“买入”评级。风险提示：竞争恶化，盈利改善慢于预期，消费市场不及预期等。,,东吴证券,买入,[None],2024-05-04,,买入,5614080,pdf_downloads/2024/2024-05-04/002607-中公教育（002607）：2023年报及2024年一季报点评：关停并转、去粗取精，一季度利润显著改善.pdf,002607,中公教育,中公教育（002607）：2023年报及2024年一季报点评：关停并转、去粗取精，一季度利润显著改善
"夏路路,詹博","23年业绩符合预告，24Q1经营层面逐步迎来拐点中公教育23年实现营收30.86亿元（yoy-36.03%），归母净亏损2.09亿元，同比收窄80.98%，符合业绩预告（-2.25~-1.75亿元）。24Q1公司实现营收7.63亿元（yoy-14.08%），归母净利润8279万元（yoy+240.67%），经营性净现金流转正。考虑到行业需求景气度仍高，公司退费问题持续缓解，我们预计24年公司有望逐步恢复内生增长，预计24-26E收入为40.01/47.93/55.78亿元，归母净利润为6.04/9.73/11.52亿元。可比公司Wind一致预期24E PE为28.45x，综合考虑短期行业分散与竞争加剧、长期公司具备品牌积累和渠道优势，给予30x 24E PE，目标价2.94元，维持“增持”评级。公考报考需求增长强劲，行业仍处红利期据国家公务员局，24年国考报名人数同比增长17%，过审人数首次突破300万人，报名/录取比例达到77:1（vs 23考季70:1），竞争持续激烈。省考方面招录规模亦持续扩大，据我们统计，24年全国（西藏除外）省考招录人数同比增长约4%，预计省考报名人数相应稳步增长。我们预计录取难度持续提升背景下，未来2-3年公考培训行业仍将处于红利期。实施经营整固计划，促进降本增效23年公司一方面通过关停并转、去粗取精等方式，关停了部分业绩产出低、人效比较低的网点，另一方面推进组织架构重建，大幅精简了员工人数。截至2023年12月31日，公司直营分支机构总数为783个，yoy-29.65%；员工人数11,125人，yoy-50.89%；授课师资人数4,565人，yoy-49.41%。23年公司营业总成本同比下降50.78%，销售费用同比下降48.51%，管理费用同比下降47.26%；24Q1销售、管理费用率较23全年水平进一步下降，支出端控制成效显著。24Q1经营性净现金流环比转正；授予股权激励23年以来公司逐步完成了产品结构调整，退费比例整体下降，叠加一系列降本增效措施，经营性现金流有所改善，24Q1公司经营性净现金流入1.45亿元，同比环比均转正。24年3月公司宣布24年第一期限制性股票激励计划，授予252人共3,985万股限制性股票，授予价为1.98元/股，业绩考核目标值为24/25年营收达到40/46亿元。风险提示：招生及客单价增长不及预期；招录考试培训需求波动；退款风险；核心人才流失；行业竞争加剧。",,华泰证券,增持,[None],2024-05-02,,增持,5613449,pdf_downloads/2024/2024-05-02/002607-中公教育（002607）：精益运营显成效，Q1经营现金流改善.pdf,002607,中公教育,中公教育（002607）：精益运营显成效，Q1经营现金流改善
"夏路路,詹博","资金压力逐步缓解，内部经营逐步迎来拐点中公教育作为行业龙头公司，疫情期间受竞争格局的影响，收入和利润下滑较为显著。公司自22年四季度开始，积极调整产品结构，从规模向效益转变，退费问题持续得到缓解，我们预计24年公司业务有望在行业需求景气的环境下恢复内生增长，预计23-25E收入为33.85/44.19/53.23亿元，归母净利润为3.30/6.87/10.94亿元。可比公司Wind一致预期24E PE为30.60x，考虑到公司具备深厚品牌积累和渠道优势，经营拐点到来后利润弹性有望较快释放，给予40x 24E PE，目标价4.46元，给予“增持”评级。行业保持较高景气度，国考报名人数高增公务员及事业单位考试近年保持较高景气度，24年国考招录3.96万人（yoy+6.7%），国考报名人数261.3万（yoy+34%），其中225.2万人(yoy+48%)实际参加国考考试，参考率约为86.2%（前值78.3%），行业总量稳中略升的背景下，国考报名人数的提升或反映学生学习时长延长，为后续省考奠定基础。我们预计录取压力下行业整体参培率和客单价有望逐步提升，随着全退费协议班的逐步退出，头部公司盈利能力有望恢复正轨。公司产品结构调整完成，资金压力逐步缓解20年以来中公教育笔试不过全退班产品，对公司业务健康增长产生较为负面的影响。23年以来公司逐步完成了产品结构调整，结合我们整理的课程样本来看，行业退费比例整体下降。以辽宁校区为例，中公线下44/60天期望客单价1.1/1.4万元，笔试退费比例43%/47%。公司通过外部融资逐步缓解资金压力，23年下半年公司向财信信托借款不超过18亿元，用于补充公司流动资金，学生历史积压退费问题有望得到逐步缓解。降本增效成果落地，前三季度恢复性盈利面对外部市场环境变化，公司加强降本增效策略，教师数量23H1为5,196（yoy-42.2%），教学网点1035（yoy-7%），现金收款（剔除退费）Q1~Q3分别同比下降76%/65%/55%，真实收款测算低于表观降幅，主要反映公司在逐步完成退费工作。结合存量合同负债和新生收款，前三季度确认收入26.7亿元（yoy-31.5%），营业利润2.96亿元，归母净利润2.42亿元，盈利修复。风险提示：招生及客单价增长不及预期；招录考试培训需求波动；退款风险；核心人才流失。",,华泰证券,增持,[None],2023-12-27,下调评级,增持,5461952,pdf_downloads/2023/2023-12-27/002607-中公教育（002607）：资金压力逐步缓解，经营拐点渐近.pdf,002607,中公教育,中公教育（002607）：资金压力逐步缓解，经营拐点渐近
"曾光,钟潇,张鲁",2023Q3归母净利润同增135%，经营性现金流净额由负转正。2023Q1-3，公司实现营收26.66亿元/-31.54%；归母净利润为2.42亿元/扭亏增+129.42%；扣非归母净利润为2.42亿元/+128.78%；2023Q3，公司营收为9.38亿元/-43.77%，归母净利润为1.60亿元/+134.55%，扣非归母净利润为1.59亿元/+153.31%。公司收入下滑系公司降低高退费班占比以及校区人数减少收款下滑综合影响，而利润改善系公司降本增效成果的显现。前三季度销售商品、提供劳务收到的现金为19.28亿元/-66.35%，报告期末合同负债金额为31.59亿元/-33.29%。同时公司2023Q3单季实现经营性现金流净额1.4亿元，3季度以来首次转正。毛利率恢复超2019年水平，降本增效助力期间费率持续优化。利润方面，前三季度中公教育毛利率为57.9%/+20pcts，超19年同期水平0.3pct；归母净利率为9.1%/+30.2pct，扣非归母净利率为9.1%/+30.7pct。期间费用率为45.7%/-17.1pct，其中销售/管理/研发/财务费率分别同比-7.5/-3.3/-4.2/-2.2pct，销售/管理/研发费用下降主要系公司降本增效，缩减销售/管理/非核心业务研发人员所致，财务费用下降系本期银行贷款利息及金融机构手续费减少所致。招录赛道维持高景气，借款融资缓解资金压力。2024年国考计划招录3.96万人/+6.7%。截至10月24日，新京报数据显示2024国考报名总人数达291万人再创历史新高。平均竞争比为66:1，高于去年的60:1，考试通过竞争更为激烈，我们分析线下公考培训机构将持续受益。报告期内公司向财信信托借款不超过18亿元（年利率9.5%），用于补充公司流动资金及解决存量退费问题，后续借款到位有望进一步缓解公司资金压力。风险提示：股东减持；招录波动、业务拓展放缓；行业竞争加剧；政策趋严投资建议：考虑到高退班型推出以及关闭部分亏损网点，我们下调公司2023-2024年收入至40.87/53.70亿元（原预测为68.45/85.96亿元），新增2025年收入预测67.43亿元，同比-15%/31%/26%，下调2023-24年净利润至5.47/10.68（原预测为5.47/13.70亿元，下调2024年预期系财务费用增加），新增2025年利润预测14.68亿元，EPS为0.09/0.17/0.24元，对应PE估值为46/23/17x。公司降本增效成效显著，经营数据已经进入环比改善通道。叠加2024年国考报名人数再创新高，当前就业形势背景下公司培训业务预计有望直接受益。但公司短期仍面临一定资金压力，公司业务的成长中枢仍需时间去重新确认，我们维持公司中线“买入”评级。,,国信证券,买入,[None],2023-11-01,,买入,5371370,pdf_downloads/2023/2023-11-01/002607-中公教育（002607）：前三季度毛利率恢复超2019年，关注业务旺季招生表现.pdf,002607,中公教育,中公教育（002607）：前三季度毛利率恢复超2019年，关注业务旺季招生表现
"张良卫,周良玖,吴劲草,张文雨",事件：公司2023Q3营收9.4亿元，yoy-43.8%；归母净利润1.6亿元，yoy+134.6%；扣非归母净利润1.6亿元，yoy+153.3%。2023年前三季度营收26.7亿元，yoy-31.5%；归母净利润2.4亿元（去年同期为-8.2亿元）；扣非归母净利润2.4亿元（去年同期为-8.4亿元）。第三季度营收下滑主要系产品结构调整，而降本增效下公司毛利率同比提升9.6pct、毛利率达到近两年的新高，经营性现金流达1.4亿元、环比由负转正。高退费班占比大幅降低，退费计划积极推进，利润增长较好。截至10月10日，公司从湖南财信信托处取得的18亿元借款已有部分资金到账，剩余借款将陆续到位，有助于解决存量退费问题。公司调整产品结构，高退费班占比大幅降低，且分支机构数及员工人数也有所减少，导致收入下滑。而由于人效提升、线上及线下业务加速融合，公司营收成本和费用得到良好控制。2023年前三季度公司营业成本同比降低53.6%，销售/管理/研发/财务分别同比减少50.1%/44.2%/54.5%/60.4%，实现了毛利率同比提升，归母净利润扭亏为盈。与创业黑马达成战略合作，共同探索人工智能职业教育。公司密切关注AI技术，今年成立人工智能与教育研究院，积极探索数字人、生成式大预言模型在就业服务领域的应用。10月12日，公司与创业黑马签署战略合作，基于人工智能领域的职业教育服务、算力服务以及模型开发训练等方面开展深度合作。公司已开始布局职业教育行业相关的垂类行业模型的开发和训练，需要大量的算力，基于战略合作关系，创业黑马计划将其采购的约500P算力优先提供给公司使用，并将黑马天启行业垂类模型开发业务新拓展至培训教育行业赛道。四季度将迎来招考高峰期，新一轮就业服务周期正在开启。每年四季度为国考、省考及教师等事业单位考试招考的相对高峰期。公开数据显示，2024年国考招录3.96万人，共有303.3万人通过了用人单位的资格审查，相比2021年翻了一番，再创历史新高，同时平均竞争比也有所提升。此外，2024年研究生考试也在近期报名结束，2020-2024五年来，报考人数翻了一番，考研教培市场也在逐步扩容。公司作为国内领先的就业培训平台，拥有1000+直营网点，覆盖300+地级市，有望受益于就业培训需求提升趋势。盈利预测与投资评级：产品结构调整导致公司前三季度营收下滑，且信托贷款利息费用预计对利润造成压制，我们将公司2023-2025年归母净利润从6.4/10.1/11.4亿元下调至5.1/7.3/8.9亿元，当前股价对应2023-2025年PE为49/34/28X，维持“买入”评级。风险提示：竞争恶化、盈利改善慢于预期，消费市场不及预期等。,,东吴证券,买入,[None],2023-10-30,,买入,5367732,pdf_downloads/2023/2023-10-30/002607-中公教育（002607）2023年三季报点评：毛利率达近两年新高，经营性现金流环比转正.pdf,002607,中公教育,中公教育（002607）2023年三季报点评：毛利率达近两年新高，经营性现金流环比转正
"张良卫,周良玖,吴劲草,张文雨","中公教育(002607)投资要点事件：公司23H1/23Q2营收17.3/8.4亿元，yoy-22.4%/-17.2%，收入降幅单季度收窄。23H1归母净利润8.2千万元，（22H1亏损8.9亿元）；扣非归母净利润8.3千万元（22H1亏损9.0亿元），实现扭亏为盈。积极调整产品结构，高退费协议班型占比大幅降低。23H1公务员招录培训、综合培训营收、事业单位招录培训营收分别为6.2/5.3/3.1亿元，yoy-13.9%/-21.1%/-29.6%。公司调整产品结构，高退费协议班型占比大幅降低，转型为以提升实收班课程占比的收款模式。成本结构优化，运营效益提升。公司调整业务布局、优化成本结构，截至2023/6/30的直营分支机构数、员工人数、研发人员数、授课师资人数较2022/6/30均降低，降幅分别为7%/43%/31%/42%。毛利显著改善，23H1/23Q2毛利率为56.2%/60.0%，yoy+28.5/44.8pct。23H1/23Q2公司总费用率为48.3%/47.4%，yoy-25.6/-14.9pct，其中销售/管理/财务/研发费用率均同比下降。“就业”受到政策重视，公考、职教培训迎来新机遇。23年4月，国务院办公厅发布《关于优化调整稳就业政策措施全力促发展惠民生的通知》，提出拓宽渠道促进高校毕业生等青年就业创业。7月，中共中央政治局会议突出强调，要加大民生保障力度,把稳就业提高到战略高度通盘考虑。今年以来，已有超过10个省份出台促进青年就业的政策举措。政策性岗位和职业培训为政策重点。多地都提到扩大政策性岗位规模，多聚焦在基层就业、国有企业和机关事业单位就业，如陕西、江苏、湖南。同时，多地也提出要落实职业培训补贴等政策，如山西、广东。中公教育作为国内领先的就业培训平台，在全国以1000+直营网点覆盖300+地级市，具备卓越的团队执行力和垂直一体化快速响应力，有望深度受益于促就业政策利好。此外，公司密切关注AI技术，今年成立人工智能与教育研究院，积极探索数字人、生成式大预言模型在就业服务领域的应用。盈利预测与投资评级：公司业务转型进展顺利，公考培训和职业培训有望受益于行业和政策趋势，我们维持公司2023-2025年EPS为0.10/0.16/0.18元，当前股价对应2023-2025年PE为42/26/23X，维持“买入”评级。风险提示：竞争恶化、盈利改善慢于预期，消费市场不及预期等。",,东吴证券,买入,[None],2023-09-01,,买入,5310655,pdf_downloads/2023/2023-09-01/002607-中公教育（002607）23H1中报点评：协议班占比大幅降低，上半年实现扭亏为盈.pdf,002607,中公教育,中公教育（002607）23H1中报点评：协议班占比大幅降低，上半年实现扭亏为盈
"张良卫,周良玖,吴劲草,谭志千",中公教育(002607)投资要点事件：公司发布2023年上半年业绩预告，预计23H1归母净利7200~9200万元（22H1亏损8.91亿元）、预计23H1扣非归母净利7350~9350万元（22H1亏损9.04亿元），实现扭亏为盈。2022Q4以来，公司调整战略和结构，提高管理和组织效能，集中资源提升盈利能力，成本费用较2022年同期降低50%以上、较2021年同期降低近70%。公务员和考研人数创历史新高，产教融合行业迎来新机遇公考方面：2022年末以来，宏观经济复苏，行业需求提振。城镇化、均等化公共服务、在职人员规模化等因素推动公职类招考人数增长。23Q1市场回暖，公司线下培训班次逐步展开，招生、授课工作正常进行，线下线上市场一齐发力，公司业务回归正轨。考研方面：2023年研究生报考人数增长至474万人，创历史新高。中公考研辅导业务规模居行业领先，小班面授、专业研发和规模化专职师资新模式验证成功。考研培训成为公司业务新增长点，公司对其给予资源投入，推进规模化发展，并将持续加大研发和高校渠道投入。职业教育方面：政策、试点、资金三管齐下，产教融合行业迎来新机遇。今年6月13日，国家发改委、教育部等八部门联合发布《职业教育产教融合赋能提升行动实施方案（2023-2025年）》，提出5方面19条政策措施，通过“金融+财政+土地+信用”的政策组合拳，为产教融合型企业提供支持；并将于今年下半年启动第二批30个左右国家产教融合试点城市，2025年达50个左右。2022以来，公司逐步探索职教新业务，提升职教团队产出能力，并将积极布局新能源产业，助力新能源产业人才培养。公司成立人工智能与教育研究院，积极布局线上线下融合教育服务公司密切关注AI技术，今年成立人工智能与教育研究院，积极探索AI在职业教育和就业服务领域的应用与创新。公司积极布局线上与线下融合教育服务，搭建基于AI和大数据的智慧教学平台，3.0版交互式直播教学平台，教育私有云平台、新一代智能学习分析引擎。盈利预测与投资评级：我们维持公司2023-2025年EPS为0.10/0.16/0.18元，当前股价对应2023-2025年PE为48/30/26X，看好教育培训行业整体复苏和公司盈利能力，维持“买入”评级。风险提示：竞争恶化、盈利改善慢于预期，消费市场不及预期等。,,东吴证券,买入,[None],2023-07-17,,买入,5261280,pdf_downloads/2023/2023-07-17/002607-中公教育（002607）：教培行业整体复苏，公司实现扭亏为盈.pdf,002607,中公教育,中公教育（002607）：教培行业整体复苏，公司实现扭亏为盈
"张良卫,周良玖,吴劲草,谭志千","事件：公司发布2022年报及2023Q1季报。2022年公司营收48.25亿元（YoY-30.19%），归母净利润-11.02亿元，亏损收窄。2023Q1营收8.89亿元（YoY-26.73%），归母净利润0.24亿元，由负转正。收入受疫情反复冲击的不利影响，而利润端表现亮眼2022年收入下滑主要由于多重超预期因素的反复冲击下，公司的直营网点和学习中心阶段性关停，招生和授课受到较大干扰。多省公务员笔试联考、国考面试、教师和事业单位考试均出现延期，对公司2022H1的业务收款和收入确认造成不利影响。2022H1公司营收22.27亿元（YoY-54.15%），其中公务员招录培训、事业单位招录培训、教师招录培训及教师资格培训、综合培训收入同比增速分别为-68.99%、-29.64%、-27.64%、-50.26%。而2022H2公司营收环比改善。面对不利的经营环境，公司关闭无效网点，优化部分人员，实现利润改善。截至2022年末，公司直营分支机构总数为1,113个（YoY-26.19%）。公司员工总数22,652人（YoY-37.33%）。2022年公司营业总成本同比下降37.63%，销售费用同比下降35.44%，管理费用同比下降 28.87%， 支出控制卓有成效，亏损收窄。2023Q1公司调整产品结构、降本增效、线上与线下融合多措并举，实现了营业成本和营业费用同比下降，取得了归母净利润转正的业绩亮点。职业教育政策利好频出，公司具备规模、经验和渠道优势2022年国家出台了一系列促进职业教育发展的利好政策。2022年5月新修订的《中华人民共和国职业教育法》正式施行，统筹推进职业教育与普通教育协调发展。2022年9月，教育部、人社部分别发布新版《职业教育专业简介》和《中华人民共和国职业分类大典》。2022年10月，党的二十大报告强调要“统筹职业教育、高等教育、继续教育协同创新”。2022年12月，中共中央办公厅、国务院办公厅印发《关于深化现代职业教育体系建设改革的意见》，对职业教育部署提出具体要求。作为职教先行者，公司的规模、经验、渠道壁垒坚固。①规模优势。职业教育的需求遍布全国各省市，纵深至地级市和县。公司作为经营多年的职业培训公司，拥有1000+直营网点，覆盖300+地级市；拥有1600+专职研发人员及9000+教师，总员工数超20000人。②经验优势。",,东吴证券,买入,[None],2023-05-04,,买入,5199445,pdf_downloads/2023/2023-05-04/002607-中公教育（002607）：一季度扭亏为盈，校企合作稳步开展.pdf,002607,中公教育,中公教育（002607）：一季度扭亏为盈，校企合作稳步开展
"曾光,钟潇,张鲁",事项：公司公告：1）2022年11月8日、12月17日，公司控股股东鲁忠芳女士分别公告拟向上市公司全资子公司北京中公教育科技有限公司提供总额不超过10亿元的无息、无担保借款，使用期限自借款协议生效之日起一年。2）预计公司2022年实现归属于上市公司股东的净利润为-9亿元-12亿元，较2021年度亏损23.70亿元减亏62.02%-49.36%。公司表示，年度经营亏损大幅减少主要受益于成本费用的控制。国信社服观点如下：1、职教龙头的过去：中公教育系A股非学历职业教育培训赛道龙头，2018-2020年分别实现扣非业绩11.1/17.0/18.7亿元，上市后连续3年超额完成业绩对赌（对赌条件扣非业绩不低于9.3/13.0/16.5亿元）。但2021Q2开始内外因素交加下经营业绩承压下滑，2021-2022E年分别扣非净利润分别亏损24.86/10.70亿。我们认为，除去疫情原因，公司重收入考核策略下“高收高退”协议班占比激增是本轮经营危机的主要诱因，此外行业融资政策趋严也有影响。协议班之于中公教育，既帮助公司在发展初期迅速提升了市场份额，但也带来了成本激增与资金链压力（退费）的后遗症。2、职教龙头的现在：2021—2022年是深度调整的两年，自启动2022年度的经营提振计划以来，公司正在发生2点积极变化：1）公司大股东拟共向上市公司提供总额不超过人民币20亿元的无息、无担保借款，预计主要用于解决退费问题，彰显出大股东与上市公司共克时艰的决心，后续不排除会有新增注资的可能性，公司资金链压力有望缓解；2）KPI考核体系由过往的重收入转为各地校区利润精细化考核，一方面调整产品结构（取消高收高退协议班），提升实收比例；另一方面持续优化员工&amp;亏损网点，推行经营的降本增效。基于以上，公司管理经营思路由过往追求高速增长切换为当下的寻求健康稳健的发展模式。3、职教龙头的未来：1）公司教学研发能力与渠道下沉程度，目前在行业仍处领先地位。中公教育拥有行业内最为完善的研发体系，课程均为自主研发，课程标准化输出是公司异地扩张的基础。2022H1中公教育/粉笔的线下学校分别为1440/276个，公司下沉优势依旧显著；2）公职培训、考研等培训需求景气度预计较高。2023年国考计划招录37100人/+19%，且其对省考有着较强参考性，预计公职招录市场景气度较高。此外公司教师&amp;考研&amp;综合序列的布局，也会公司提供新成长曲线，就业难背景下公司预计将直接受益。4、风险提示：公务员/事业单位岗位吸引力降低、政策趋严、疫情复发、竞争加剧、公司资金链断裂等。5、投资建议：近期公司大股东一方面向公司提供无息借款解决退费问题，另一方面在内部调整考核体系，优化产品结构专注降本增效，我们认为公司的管理经营思路已经从追求高速增长切换为寻求健康稳健的发展模式，且2022年经营已经逐渐进入环比改善通道。此外，纵使有过去2年经营困顿期，公司的教研、渠道壁垒优势依旧领先；叠加2023年国考以及考研报名人数再创新高，现有就业形势背景下公司各项培训业务预计将直接受益。虽然从2023年重新确认公司的业绩预测中枢仍需时间和耐心，但我们综合公司公考业务基本盘，暂审慎乐观预计公司2022-2024年净利润分别为-10.82/5.47/13.70亿元（原预测21-23年为-10.25/15.09/22.84亿元），对应EPS为-0.18/0.09/0.22元，考虑到内部机制调整仍在推进且线下复苏仍需一定时间节奏，市场相对更为重点关注24年经营指标，给予24年PE为35-40x估值，对应市值空间为480-548亿元，较目前仍有30-49%的空间，上调至“买入”评级，后续我们继续保持密切跟踪。,,国信证券,买入,[None],2023-02-06,上调评级,买入,5108747,pdf_downloads/2023/2023-02-06/002607-中公教育（002607）深度跟踪报告：职教龙头的昨天、今天与明天.pdf,002607,中公教育,中公教育（002607）深度跟踪报告：职教龙头的昨天、今天与明天
"张良卫,吴劲草,周良玖","事件：公司控股股东鲁忠芳女士拟再次筹集资金向公司全资子公司北京中公教育科技有限公司提供总额不超过10亿元的无息、无担保借款，使用期限自借款协议生效之日起一年。加上在11月提供的不超过10亿元同类借款，控股股东拟提供总额不超过20亿元无息、无担保借款。疫情及考试延期双重影响拖累前期业绩。2022年前三季度公司共实现营收38.94亿元，同比下滑38.20%，实现归母净利润为-8.23亿元，上年同期亏损为8.91亿元，前三季度亏损有所收窄。单三季度实现营收16.67亿元，同比增长15.36%，收入恢复增长，实现归母净利润0.68亿元，相比去年同期实现扭亏为盈。经营提振计划逐渐落地显成效。前三季度营业成本下滑32.54%，幅度不及收入下滑幅度，因考试延期积压的待确认收入在Q3及之后陆续释放，因此毛利率呈现前低后高。三费控制效果明显，前三季度管理费用同比减少33.67%，研发费用同比减少42.30%，银行贷款利息及金融机构手续费减少导致财务费用同比减少47.37%。2022Q3毛利率达51.35%，同时销售费用及管理费用下降显著，经营提振效果明显。Q3季末负债端优化但仍有所压力。2022Q3实现经营活动产生的现金流量净额5.57亿元，上年同期为负。截止到三季度末，归属于母公司所有者权益为10.66亿元，环比22Q2期末增长。公司短期借款环比下降明显，从2022H1期末的12.52亿元，环比减少至2.00亿元，资产负债率环比基本持平，主要系合同负债（预收培训款）仍环比保持平稳。本次大股东无息借款到位后有利于缓解疫情等对公司经营带来的不利影响。研招考试如期举行，政策趋于稳定行业环境回暖。2022年大学生毕业人数达到 1,076 万人，再创历史记录。2023年硕士研究生招生考试人数达到474万人，达历史新高，疫情政策优化后各地考试将如期举行。近期中共中央国务院印发《扩大内需战略规划纲要》，提出鼓励社会力量提供多样化教育服务，支持和规范民办教育发展，教育政策已经趋于稳定，强调支持与规范同行，将有助于行业估值修复。盈利预测与投资评级：随着各项招录考试回归常态，以及公司经营提振计划落地见效，我们预计公司业绩将延续2022Q3改善趋势，我们预计2022/2023/2024年公司EPS分别为-0.11/0.06/0.23元/股，当前股价对应2023/2024年PE分别为98/24倍，维持公司“买入”评级。风险提示：竞争恶化、盈利改善慢于预期，消费市场不及预期等",,东吴证券,买入,[None],2022-12-20,,买入,5077549,pdf_downloads/2022/2022-12-20/002607-中公教育（002607）：负债压力缓解，期待疫后加速经营提振.pdf,002607,中公教育,中公教育（002607）：负债压力缓解，期待疫后加速经营提振
