author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"龚斯闻,楼珈利",报告要点：营收有所下滑，不改利润向好2025Q1-Q3公司实现营收119.67亿元，同比-1.86%；实现归母净利润8.19亿元，同比+28.26%；扣非归母净利润7.19亿元，同比+25.66%。2025Q3单季度公司实现营收39.36亿元，同比-6.64%；归母净利润2.81亿元，同比+14.65%；扣非归母净利润2.38亿元，同比+6.14%。整体来看，虽营收有所下滑，但净利润呈现良好增长态势。盈利能力稳健，费用管控得当2025Q1-Q3公司毛利率为25.38%，同比+0.29pct；期间费用率为17.47%，同比-0.94pct，其中销售/管理/财务/研发费用率分别为4.37%/8.00%/0.71%/4.38%，同比-0.57/+0.12/-0.71/+0.22pct，费用管控得当，盈利能力有所提升。科技赋能构筑智能制造底座，半导体设备国产化打开成长新空间公司在本报告期内展现出清晰的战略执行路径：在全球化方面，成功交付中东地区变频电源和电动驱动EPC项目；同时斩获泰国TPI集团EVA产线核心防爆电机订单，标志着公司成功叩开东南亚高端石化装备核心圈。此外，公司举办中东地区分销商年会，进一步巩固在油气、石化、电力等关键领域的市场地位；在新兴领域，通过战略投资智元机器人实现从核心部件供应商到具身智能生态共建者的角色升级，同时依托SIR机器人与VOILAP集团的战略合作强化工业自动化业务布局。同时，公司积极参与2025中国制冷展等行业盛会，展示卧龙ATB EC高静压离心风机的卓越性能与创新设计成果，拓展新的应用场景。公司通过深化全球化运营、卡位机器人前沿领域、拓展工业自动化应用场景，为未来增长构建多元动能。投资建议与盈利预测我们预计公司2025-2027年营收分别为168.62/180.29/193.51亿元，归母净利润分别为10.84/12.08/13.24亿元，对应EPS为0.69/0.77/0.85元/股，对应PE估值分别为64/57/52倍，维持“增持”的评级。风险提示下游行业景气度下降；行业竞争加剧的风险；原材料价格波动的风险；汇率波动的风险；贸易环境恶化；具身智能行业发展不及预期。,,国元证券,增持,[None],2025-11-10,,增持,7602059,pdf_downloads/2025/2025-11-10/600580-卧龙电驱（600580）：盈利能力稳定，利润平稳增长.pdf,600580,卧龙电驱,卧龙电驱（600580）：盈利能力稳定，利润平稳增长
"王蔚祺,李全",公司2025H1实现归母净利润5.37亿元，同比+37%。公司2025H1实现营收80.31亿元，同比+1%；实现归母净利润5.37亿元，同比+37%；毛利率为25.49%、同比+0.12pct；净利率为6.82%，同比+1.70pct。公司2025Q2实现营收39.92亿元，同比-6%、环比-1%；实现归母净利润2.69亿元，同比+58%、环比基本持平；毛利率为26.64%、同比+0.89pct、环比+2.29pct；净利率为6.79%，同比+2.32pct、环比-0.07pct。公司2025H1利润同比显著增长，一方面得益于整体业务稳中向好、盈利能力显著改善；另一方面系2024H1计提0.60亿元长期股权投资减值损失、基数较低等影响。设备更新与以旧换新政策加力推进，公司工业电机与日用电机业务稳健发展。2025年1月，发改委、财政部联合印发通知，进一步加力扩围实施大规模设备更新和消费品以旧换新。公司是国内工业电机与日用电机领先企业，产品性能优异，旗下具有卧龙、南阳防爆、ATB等知名品牌。政策助推行业需求稳中向好，进而带动公司持续健康发展。同时，公司深入推进出海战略、大力拓展海外市场，依托欧洲、北美、越南等基地加速客户开拓。此外，公司持续推动降本增效，优化资源配置，赋能企业利润增长空间。公司积极布局机器人关键部件，并加速客户开拓。公司深耕电机行业多年，针对人形机器人行业需要，已经布局高爆发关节模组、伺服驱动器、无框力矩电机、灵巧手等人形机器人关键部件。2025年3月，卧龙电驱与智元机器人实现双向持股，共同推进具身智能机器人技术研发与生态建设。卧龙电驱与智元机器人合作共建的杭州湾具身智能创新中心在7月发布了国内首款面向工业场景的垂域模型“舜造GRP01”。此外，公司已与浙江人形机器人创新中心、云深处等在人形机器人、仿生机器人等领域展开深入合作。低空经济蓬勃发展，公司前瞻布局航空电机业务。公司基于电机领域多年的技术积淀，在2019年前瞻布局航空电机，并且构建了覆盖无人机、EVTOL、电动飞机等多场景的产品矩阵。2025年6月，公司与沃飞长空成立合资公司浙江龙飞电驱，专注于为市场提供最大起飞重量750公斤至5700公斤适航航空器的电推进动力系统及相关产品。此外，公司还与中国商飞、山河星航等主机厂客户达成深入合作，共同推进产品研发。风险提示：工业需求景气度不及预期；原料价格大幅波动风险；贸易保护主义和贸易摩擦风险；新业务开拓进度不及预期。投资建议：维持盈利预测，维持“优于大市”评级。我们预计2025-2027年公司实现归母净利润10.55/12.61/14.26亿元，同比+33%/+20%/+13%，EPS为0.68/0.81/0.91元，动态PE为35.8/30.0/26.5倍。,,国信证券,优于大市,[None],2025-08-12,,买入,6302126,pdf_downloads/2025/2025-08-12/600580-卧龙电驱（600580）：2025H1利润快速增长，具身智能与低空领域布局加速推进.pdf,600580,卧龙电驱,卧龙电驱（600580）：2025H1利润快速增长，具身智能与低空领域布局加速推进
"曾韬,段尚昌",事件：2025H1公司实现营收80.31亿元，同比+0.66%，归母净利5.37亿元，同比+36.76%，扣非净利4.81亿元，同比+38.25%；毛利率25.49%，同比-0.21pcts，净利率6.82%，同比+1.69pcts，EPS为0.35元。25Q2公司实现营收39.92亿元，同/环比-5.78%/-1.16%；归母净利2.69亿元，同/环比+58.1%/+0.37%；扣非净利2.46亿元，同/环比+64.4%/+4.68%；毛利率26.64%，同/环比+0.68/+2.29pcts；净利率6.79%，同/环比+2.32/-0.07pcts；EPS为0.17元，符合预期。 新能源出表影响收入增速，海外表现亮眼。收入端受光储业务出表影响同比持平，剔除后增速3.78%稳中有升。25H1国内以旧换新力度强，日用电机景气度向好，25H2有望维持；同时预计下半年设备更新为工业电机提供有限支撑。叠加全球需求向好，子公司香港卧龙营收同增9.0%。Q1原材料成本快速上移压力逐渐释放，Q2毛利率环比迅速回升，整体盈利维持。 盈利能力稳步提升。25Q2公司期间费用率17.4%，同/环比-2.1/+0.3pcts，主要系财务费用、销售费用大幅改善。同时25Q2资产减值大幅缩减约6千万，影响利润率+1.41pcts。25Q2公司净利率同增2.3pcts，盈利能力稳步提升。25H1经营性现金流翻倍增长至7亿元，主要系公司购买支出项缩减所致。 积极布局具身智能，资本&amp;技术深度合作头部。公司持续增强自身具身智能“链主”地位，与行业头部整机企业深入合作。期内，公司与智元互相完成战略投资合作，强化“技术-场景-生态”的协同范式；6月上虞政府牵头，公司与智元三方成立合资公司进一步开展具身智能技术开发、场景应用等多方面合作；公司与宇树合作精密驱动与智能机器人重点实验室获评浙江重点实验室。 投资建议：公司是全球电机龙头，百年工业领域深厚理解造就领先的系统解决方案能力。25年公司与智元深化合作，将充分发挥人形机器人“链主”价值，助力智元降本增效、落地工业场景，推动具身智能发展同时加速业绩放量。预计公司2025-2027年营收分别为180/202/230亿元，同增11%/12%/14%；归母净利分别为9.2/10.1/11.9亿元，同增15%/10%/17%，EPS0.6、0.7、0.8元/股，对应PE41/38/32x，给予“推荐”评级。风险提示：行业需求不及预期的风险；全球贸易政策持续恶化的风险等。,,银河证券,推荐,[None],2025-08-11,,买入,6300566,pdf_downloads/2025/2025-08-11/600580-卧龙电驱（600580）：盈利能力稳步提升，快速推进具身智布局.pdf,600580,卧龙电驱,卧龙电驱（600580）：盈利能力稳步提升，快速推进具身智布局
"曾彪,朱柏睿",报告摘要事件：近日，公司在交易所互动平台上更新了机器人业务进展，其中机器人电机已经对接了海外客户，处于小批量送样阶段；外骨骼机器人方面，公司开发了一款集运动辅助、损伤预防和健康监测于一体的消费级智能外骨骼机器人，提升用户运动表现、保护髋关节健康，目前样机正在内测中。成功开发旋转关节模组，有望覆盖全功率段产品序列。在机器人核心零部件方面，公司布局高爆发旋转关节模组，已成功完成电机、减速器、编码器、控制板、控制软件及关节机械组件的集成，设计并试生产出完整的通用关节模组。公司已经完成了机器狗小功率两个型号的通用关节模组开发，并将研发方向拓展至人形机器人中最大功率的高爆发旋转关节模组，致力于实现仿生机器人关节模组从小功率到超大功率全功率段的产品供应。战略入股智元机器人，推进具身智能技术研发和生态构建。2025年3月，卧龙电驱与上海智元机器人顺利完成战略投资签约，正式成为该机器人创新企业的战略股东。基于此次股权投资合作，双方将依托各自在智能装备与机器人领域的产业优势，重点推进具身智能机器人核心技术研发及产业化应用生态构建，打造具身智能领域的产业共同体。此前，智元机器人已与卧龙旗下的希尔机器人签署场景应用合作协议，并通过增资扩股的形式入股希尔，共同推进具身智能技术、柔性制造解决方案、人机交互产品等领域的开发与合作。公司与节卡机器人签署战略合作，共建人工智能联合实验室。2025年4月，卧龙电驱与节卡机器人在上海签署战略合作协议。节卡机器人在协作机器人领域的技术积累和市场表现行业领先，双方优势互补，通过共建人工智能联合实验室，深度融合卧龙的超高效电驱系统与节卡领先的协作机器人技术，共同探索“人-机-环境”协同的智能化解决方案，有望为全球客户带来更具竞争力的智能解决方案。盈利预测与估值：考虑到公司公告出售子公司龙能电力、卧龙储能、卧龙英耐德、舜丰电力的股权，我们下调对公司的业绩预期，预计2025-2027年归母净利润分别为10.5、12.4、14.1亿元（此前2025-2026年预测值为13.3、15.1亿元），对应PE估值分别为29、25、22倍，维持“买入”评级。风险提示：产业政策变动的风险，行业竞争加剧的风险，核心技术和核心工艺泄密风险。,,中泰证券,买入,[None],2025-05-28,,买入,6084268,pdf_downloads/2025/2025-05-28/600580-卧龙电驱（600580）：点评报告：机器人业务进展顺利，开拓长期业绩增长点.pdf,600580,卧龙电驱,卧龙电驱（600580）：点评报告：机器人业务进展顺利，开拓长期业绩增长点
"龚斯闻,楼珈利",——卧龙电驱(600580)2024年报及2025年一季报点评 报告要点：业绩增长稳健，费用管控得当2024年公司实现营收162.47亿元，同比+4.37%；归母净利7.93亿元，同比+49.63%；扣非归母净利6.35亿元，同比+33.13%；毛利率及净利率分别为24.05%/5.12%， 同比-1.11pct/ +1.57pct；销售/管理/研发/财务费用率分别为4.80%/7.96%/3.95%/1.22%，共17.94%，同比-0.31pct，费用管控得当。25Q1公司实现营收40.39亿元，同比+7.95%；归母净利2.68亿元，同比+20.45%；扣非归母净利2.35亿元，同比+18.54%，整体增长稳健。高度重视研发投入，海外战略加速布局公司高度重视产品研发，24年研发支出8.05亿，营收占比3.95%。公司在研发高投入和产学研深度合作下实现系统解决方案、仿生机器人、电动航空、磁浮气浮轴承等多个战略新兴领域关键技术突破。2024 年，公司三大海外战区总部人员配置已基本完成，海外管控体系已有效建立。通过全面部署大客户经理团队及优化铁三角作战单元，持续强化 GKA 大客户管理机制，实现了大客户销售收入同比与总对总订货量的双增长。全面布局具身智能，相关业务快速推进公司深耕电机行业多年，针对具身智能行业，布局开发了高爆发关节模组、伺服驱动器、无框力矩电机等人形机器人关键组部件。公司旗下的希尔公司是全球领先的工业机器人系统集成商，目前已与浙江人形机器人创新中心、智元机器人、云深处等在人形机器人等领域展开深入合作。近期，卧龙电驱与智元机器人顺利完成战略投资签约，正式成为该机器人创新企业的战略股东。双方将共同推进具身智能技术、柔性制造解决方案、人机交互产品等领域的开发与合作。投资建议与盈利预测我们预计公司 2025-2027年营收分别为174.49/188.90/203.93亿元，归母净利润分别为10.01/11.30/11.56亿元，对应EPS为0.64/0.72/0.74元/股，对应PE估值分别为39/35/34倍，维持“增持”评级。风险提示下游行业景气度下降；市场竞争风险；原材料价格变动；汇率变动；贸易环境恶化；具身智能行业发展不及预期。,,国元证券,增持,[None],2025-05-21,,增持,6068585,pdf_downloads/2025/2025-05-21/600580-卧龙电驱（600580）：2024年报及2025年一季报点评：业绩稳步增长，发力具身智能.pdf,600580,卧龙电驱,卧龙电驱（600580）：2024年报及2025年一季报点评：业绩稳步增长，发力具身智能
韩晨,事件：公司2024年实现营收162.47亿元，同比增长4.4%；实现归母净利润7.93亿元，同比增长49.6%；扣非归母净利润6.35亿元，同比增长33.1%。Q4单季度实现营收40.53亿元，同比增长15.8%，环比变化-3.9%；实现归母净利润1.55亿元，同比增长139.2%，环比变化-37.0%；扣非归母净利润0.64亿元，同比增长125.4%，环比变化-71.6%。公司2025年Q1实现营收40.39亿元，同比增长7.9%，环比变化-0.3%；实现归母净利润2.68亿元，同比增长20.4%，环比增长73.4%；扣非归母净利润2.35亿元，同比增长18.5%，环比增长269.4%。盈利逐步恢复，费用率控制良好。盈利方面，公司2024年销售毛利率/净利率分别为24.0%/5.1%，分别同比变化-1.1pp/1.6pp。公司2025年Q1销售毛利率/净利率分别为24.4%/6.9%，分别同比变化-1.1pp/1.0pp。费用方面，公司2024年销售/管理/研发/财务费用率分别为4.8%/8.0%/4.0%/1.2%，分别同比变化-0.1pp/-0.5pp/0.4pp/-0.1pp。国际化布局完成，盈利持续增长。2024年，公司三大海外战区总部人员配置已基本完成，海外管控体系已有效建立。2024年公司工业电机实现收入90.7亿元，同比变化-6%，毛利率为29.9%，同比增长0.3pp。公司为全球工业电机头部企业，国际化业务布局完善，受益电机节能降耗需求，异步电机搭配变频器比例逐步提升，公司具备高、低压变频器全覆盖，伴随变频器销售占比提升，产品结构优化有望驱动整体毛利率持续向上。布局机器人、低空经济，先发优势显著。2024年机器人、低空行业催化不断，公司凭借主业电机电驱的积累，深度布局两大新兴产业。公司旗下希尔机器人是全球领先的工业机器人集成商，目前已于智元机器人形成股权合作，拟在柔性制造、工业自动化、AI清洁方案等场景中，落地一系列示范项目。此外，公司还与其他各大人形、仿生机器人品牌展开了深入的合作。在低空邻域，公司已拥有先进的电机技术。目前，与中国商飞、沃飞长空、山河星航等主机厂客户达成深入合作，共同推进产品研发。盈利预测。预计公司2025-2027年营收分别为172.5亿元、186.1亿元、199.6亿元。公司为全球工业电机头部企业，国际化布局加快，低空经济产品技术平台及先发优势明显，有望充分受益于行业发展。风险提示：原材料价格上涨的风险；储能订单不及预期的风险；汇率波动影响海外营业收入的风险；海内外宏观经济形势波动的风险；产品研发不及预期的风险；低空经济产业发展不及预期的风险。,,西南证券,,[None],2025-05-17,,,6060078,pdf_downloads/2025/2025-05-17/600580-卧龙电驱（600580）：业绩重回正轨，低空、机器人催化长期发展.pdf,600580,卧龙电驱,卧龙电驱（600580）：业绩重回正轨，低空、机器人催化长期发展
"曾韬,段尚昌",前瞻布局彰显全球电机龙头百年积淀。公司管理层深谙电机行业发展逻辑，以电机电驱技术为核，已前瞻布局机器人、低空等领域，同时更聚焦主业。公司坚持全球化战略，目前公司已拥有多个全球百年品牌，2018年通过收购在墨西哥布局产能并于2023年扩建日用电机产线，在当前关税政策加码/反复形势下，预计营收对美敞口仅2%左右，未来或拥有巨大的价格优势。人形机器人“链主”，加速行业发展。公司工业业务领域之全面、纵深、智能化，构建出强大的系统解决方案能力，储备了丰富的下游客户资源。同时公司已完成无框力矩电机、关节模组等核心零部件的储备。此次与智元实现战略股权投资的深度合作后，公司已具备上游零部件、中游整机制造能力，以及更重要的下游场景落地能力，全产业链的贯通造就“链主”地位，使公司摆脱传统零部件供应商的角色，更好地把握、主导、促进行业发展，也利好业务潜力释放，加速形成新的业绩增长曲线。顺应低空趋势，“3+1”战略谋远局。24年低空经济政策密集催化，管制放开激发活力，国内外头部厂商纷纷发布eVTOL车型，公司与商飞、山河、沃飞等头部企业均有合作，预计27年迎来订单放量。公司目前已制定“3+1”战略，参与牵头编写了多项行业标准，与民航局共建全行业唯一适航实验室。基本盘边际向好，新能源汽车业务稳步放量。国内设备更新/以旧换新补贴加速落地，叠加全球景气度提升，下游工业电机/日用电机需求持续向好，公司基本盘业务充分享受行业回暖红利。新能源汽车销量向好，新能源汽车电机需求扩，公司在手定点项目周期长、金额大，未来订单将稳步释放兑现业绩。投资建议：公司是全球电机龙头，百年工业领域深厚理解造就领先的系统解决方案能力。25年公司与智元深化合作，将充分发挥人形机器人“链主”价值，助力智元降本增效、落地工业场景，推动具身智能发展同时加速业绩放量。预计公司2025-2027年营收分别为180/202/230亿元，同增11%/12%/14%；归母净利分别为9.1/10.0/10.3亿元，同增15%/10%/3%，EPS 0.7、0.8、0.8元/股，对应PE 37/34/33x。首次覆盖给予“推荐”评级。风险提示：人形机器人发展不及预期、低空经济发展不及预期的风险等。,,银河证券,推荐,[None],2025-05-07,,买入,6049833,pdf_downloads/2025/2025-05-07/600580-卧龙电驱（600580）：首次覆盖报告：卡位人形机器人“链主”，低空谋远局.pdf,600580,卧龙电驱,卧龙电驱（600580）：首次覆盖报告：卡位人形机器人“链主”，低空谋远局
"王蔚祺,李全",事项：近日，卧龙电驱旗下浙江希尔机器人股份有限公司（以下简称“希尔机器人”）与上海智元新创技术有限公司（以下简称 “智元机器人”）成功签署股权投资协议，智元机器人将以增资扩股形式完成对希尔机器人的战略注资。国信电新观点：1）智元机器人入股希尔机器人有望深化双方在具身智能领域合作。2024年12月希尔机器人已与智元机器人签订场景应用合作协议，双方将在具身智能技术、柔性制造解决方案场景拓展等方面协力合作。此次战略增资，双方规划在柔性制造、工业自动化、AI清洁方案等场景中，落地一系列示范项目。智元机器人是行业领先的具身智能机器人企业，希尔机器人是全球工业机器人系统集成领域的领先企业。双方通过场景应用合作、股权合作，有望加快具身智能机器人产业化速度、助推机器人应用场景落地。2）卧龙电驱正加快机器人关键部件布局，持续开拓客户。公司深耕电机行业多年，针对人形机器人行业需要，已经布局高爆发关节模组、伺服驱动器、无框力矩电机等人形机器人关键部件。同时，公司旗下希尔机器人是全球领先的工业机器人集成方案供应商，在柔性制造、工业场景及客户等方面具有丰富经验积累。公司依托品牌、技术工艺、系统集成优势加速机器人业务布局，目前已与浙江人形机器人创新中心、智元机器人、云深处等在人形机器人、仿生机器人等领域展开深入合作。3）低空经济蓬勃发展，公司前瞻布局航空电机业务。电机是飞行器核心零部件，其具有技术壁垒高、认证周期长等特点。公司基于电机领域多年的技术积淀，在2019年前瞻布局航空电机，并且构建了覆盖无人机、EVTOL、电动飞机等多场景的产品矩阵。目前，公司已经与中国商飞、沃飞长空、山河星航等主机厂客户达成深入合作，共同推进产品研发。未来伴随低空经济应用场景的持续丰富以及飞行器的批量使用，公司航空电机产品出货量有望快速增长。投资建议：维持盈利预测，维持优于大市评级。我们预计公司2024-2026年实现归母净利润8.01/10.55/12.61亿元，同比+51%/+32%/+20%，EPS分别为0.62/0.81/0.97元；动态PE分别为44/34/28倍。,,国信证券,优于大市,[None],2025-03-15,,买入,5950060,pdf_downloads/2025/2025-03-15/600580-卧龙电驱（600580）：智元机器人入股公司旗下希尔机器人，深化具身智能领域合作.pdf,600580,卧龙电驱,卧龙电驱（600580）：智元机器人入股公司旗下希尔机器人，深化具身智能领域合作
"周旭辉,唐硕",【事项】公司发布2024年年度业绩预增公告，预计2024年实现归母净利润8亿元左右，同比增长约51%，预计2024年实现扣非归母净利润6.9亿元左右，同比增长约45%。【评论】深耕电机及控制系统，受益节能降碳设备更新。公司主要生产各类电机、驱动控制、风机、变压器等产品，下游覆盖大工业（采矿、冶金、石化等）、家电、电动交通等多领域，同时，公司积极向低空经济、人形机器人等前沿领域延伸。2024年5月，国务院印发《2024—2025年节能降碳行动方案》，其中重点任务覆盖的若干行业均为公司主要下游，传统领域电机产品更新换代需求稳步增长推动公司业绩稳步向上。公司人形机器人布局：1）开发关节模组、驱动器、无框力矩电机等人形机器人产品。公司深耕伺服产品多年，全数字化伺服驱动产品已广泛应用于工业机器人、AGV、数控机床、工业自动化领域，通过深厚的积累和技术储备，公司布局开发了高爆发关节模组、伺服驱动器、无框力矩电机等人形机器人关键组部件，以极致性价比助力仿生机器人的产业化推广应用。2）与智元机器人签订场景应用合作。公司旗下希尔公司是全球领先的工业机器人系统集成商，为全球多家知名车企提供自动化产线并持续获得全球多家知名车企订单。希尔机器人与智元机器人签订了场景应用合作协议，双方将在具身智能技术、柔性制造解决方案场景拓展等方面协力合作，共同推动通用机器人产品创新和场景示范双驱动、生态伙伴联盟和协同联动的产业发展。公司eVTOL领域布局：1）成立电动航空研发中心，完成核心产品研发。公司2019年成立电动航空研发中心，航空电动力系统产品在系统轻量化、动密封、电磁兼容及等核心技术方面实现突破，并完成核心产品知识产权布局；2）与山河星航签订合作协议，“高层建筑消防系留无人机系列”取得突破。公司与山河星航签订战略合作协在新能源航空器领域开展了深入合作，共同研发的“高层建筑消防系留无人机系列”产品已通过国家权威机构认证，具备广阔的市场前景。【投资建议】我们预计2024-2026年公司实现营业收入163.48/178.48/191.47亿元，实现归母净利润分别为8.03/10.67/12.63亿元，EPS分别为0.62/0.82/0.97元/股，对应现价PE分别为43/32/27倍，首次覆盖，给予“增持”评级。【风险提示】eVTOL业务进展不及预期；仿生人形机器人业务进展不及预期；电机行业竞争加剧等。,,东方财富证券,增持,[None],2025-02-12,,增持,5917666,pdf_downloads/2025/2025-02-12/600580-卧龙电驱（600580）：业绩预告同比高增，前瞻布局eVTOL+机器人赛道.pdf,600580,卧龙电驱,卧龙电驱（600580）：业绩预告同比高增，前瞻布局eVTOL+机器人赛道
"周旭辉,唐硕","业绩预告同比高增，前瞻布局eVTOL+机器人赛道2025 年 02 月 11 日【事项】公司发布2024年年度业绩预增公告，预计2024年实现归母净利润8亿元左右，同比增长约51%，预计2024年实现扣非归母净利润6.9亿元左右，同比增长约45%。【评论】深耕电机及控制系统，受益节能降碳设备更新。公司主要生产各类电机、驱动控制、风机、变压器等产品，下游覆盖大工业（采矿、冶金、石化等）、家电、电动交通等多领域，同时，公司积极向低空经济、人形机器人等前沿领域延伸。2024年5月，国务院印发《2024—2025年节能降碳行动方案》，其中重点任务覆盖的若干行业均为公司主要下游，传统领域电机产品更新换代需求稳步增长推动公司业绩稳步向上。公司人形机器人布局：1）开发关节模组、驱动器、无框力矩电机等人形机器人产品。公司深耕伺服产品多年，全数字化伺服驱动产品已广泛应用于工业机器人、AGV、数控机床、工业自动化领域，通过深厚的积累和技术储备，公司布局开发了高爆发关节模组、伺服驱动器、无框力矩电机等人形机器人关键组部件，以极致性价比助力仿生机器人的产业化推广应用。2）与智元机器人签订场景应用合作。公司旗下希尔公司是全球领先的工业机器人系统集成商，为全球多家知名车企提供自动化产线并持续获得全球多家知名车企订单。希尔机器人与智元机器人签订了场景应用合作协议，双方将在具身智能技术、柔性制造解决方案场景拓展等方面协力合作，共同推动通用机器人产品创新和场景示范双驱动、生态伙伴联盟和协同联动的产业发展。公司eVTOL领域布局：1）成立电动航空研发中心，完成核心产品研发。公司2019年成立电动航空研发中心，航空电动力系统产品在系统轻量化、动密封、电磁兼容及等核心技术方面实现突破，并完成核心产品知识产权布局；2）与山河星航签订合作协议，“高层建筑消防系留无人机系列”取得突破。公司与山河星航签订战略合作协在新能源航空器领域开展了深入合作，共同研发的“高层建筑消防系留无人机系列”产品已通过国家权威机构认证，具备广阔的市场前景。【投资建议】

我们预计2024-2026年公司实现营业收入163.48/178.48/191.47亿元，实
现归母净利润分别为8.03/10.67/12.63亿元，EPS分别为0.62/0.82/0.97元/股，
对应现价PE分别为43/32/27倍，首次覆盖，给予“增持”评级。【风险提示】

eVTOL业务进展不及预期；
仿生人形机器人业务进展不及预期；
电机行业竞争加剧等。",,东方财富证券,增持,[None],2025-02-11,,增持,6712276,pdf_downloads/2025/2025-02-11/600580-卧龙电驱（600580）：业绩预告同比高增，前瞻布局eVTOL+机器人赛道.pdf,600580,卧龙电驱,卧龙电驱（600580）：业绩预告同比高增，前瞻布局eVTOL+机器人赛道
