author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"庄汀洲,张雄",2026年2月02日│中国内地 农用化工 鲁西化工1月31日发布2025全年业绩预告：25年预计实现归母净利润8.5-11.0亿元，同比减少46%-58%，扣非净利润6.5-9.0亿元，同比减少54%-67%；其中Q4预计实现归母净利润-1.7至0.8亿元，环比减少165%-69%，扣非净利润-2.8至-0.3亿元，环比减少218%-112%。公司25Q4利润环比下降较多，主要原因为成本煤炭价格涨幅较大，以及丁辛醇、烧碱等产品价格下行。考虑公司具备一体化生产和规模优势，产品景气拐点渐近有望贡献业绩弹性，维持“买入”评级。25Q4煤化工成本侧承压，多数产品价格环比仍有下滑据百川盈孚，2025年正丁醇/辛醇/PC/PA6切片/有机硅DMC/片碱/DMF/二氯甲烷/甲酸均价为0.62/0.72/1.43/1.03/1.23/0.36/0.41/0.23/0.29万元/吨，同比-21%/-26%/-8%/-26%/-12%/+9%/-10%/-16%/+6%，因需求偏弱及行业产能释放等，多数产品景气下滑为主。25Q4方面，正丁醇/辛醇/PC/PA6/有机硅DMC/片碱/DMF/二氯甲烷/甲酸均价0.54/0.64/1.40/ 0.95/1.24/0.33/0.39/0.19/0.28万元/吨，环比-10%/-13%/+1%/-1%/+9%/ -5%/-5%/-12%/-3%，其中有机硅DMC因行业减产协议推进，价格环比改善较大，其余多数产品环比仍有下滑。成本方面，Q5500动力煤/兰炭Q4均价620/796元/吨，环比+11%/+26%，公司成本侧承压致主要产品价差收窄。供需面逐步改善叠加“反内卷”助力，公司产品迎来景气修复机会“反内卷”政策引导下，年初以来有机硅、己内酰胺等部分化工品行业自律和协同减产等信号频现，盈利偏弱下我们预计未来产品集中度较高的DMF、甲酸、有机硅等产品“反内卷”亦有望得到深化。据百川盈孚，1月30日正丁醇/辛醇/PC/PA6/有机硅DMC/片碱/DMF/二氯甲烷/甲酸市场价格分别为0.67/0.78/1.45/1.05/1.40/0.31/0.40/0.18/0.24万元/吨，较26年初+18%/+12%/+4%/+5%/+2%/-1%/+5%/+2%/+2%，成本端Q5500动力煤/兰炭价格592/760元/吨，较26年初基本持平/-2%，多数产品价格价差已呈现复苏趋势，伴随产能扩张周期步入尾声，内需复苏叠加“反内卷”等助力供给优化，我们预计2026年多数产品景气有望自底部回暖，助力公司业绩中枢抬升。盈利预测与估值考虑丁辛醇等产品25Q4价格环比下滑较多，我们主要下调公司25年盈利预测，预计公司25-27年归母净利润9.6/22.7/25.3亿元（前值为13.2/22.8/25.3亿元，25年下调27%，26-27年基本持平），对应EPS为0.51/1.19/1.33元。结合可比公司26年Wind一致预期平均16xPE，考虑公司一体化优势以及新项目有望贡献增量，给予公司26年20xPE，目标价23.80元（前值为17.85元，对应26年15xPE vs可比公司12xPE），维持“买入”评级。风险提示：下游需求不及预期；原料价格大幅波动。,,华泰证券,买入,[None],2026-02-04,,买入,8392436,pdf_downloads/2026/2026-02-04/000830-鲁西化工（000830）：25年业绩承压但产品景气复苏拐点渐近.pdf,000830,鲁西化工,鲁西化工（000830）：25年业绩承压但产品景气复苏拐点渐近
"庄汀洲,张雄",2025年11月09日│中国内地 农用化工 据塑化联盟，11月5日己内酰胺行业召开交流会议，讨论“反内卷”相关举措，包括与会企业减产20%，并每吨价格上调100元等，考虑下游PA6需求增长而几内酰胺（CPL）扩产已步入尾声，“反内卷”有望进一步助力CPL供需面改善和价格回暖。此外，“反内卷”政策背景下，企业集中度较高的有机硅、DMF、甲酸等产品，企业协同稳价意愿亦有望得到增强，助力产品景气逐步修复，鲁西化工有望充分受益，维持“买入”评级。己内酰胺“反内卷”推进，供需向好或助力价格回升据隆众资讯，CPL约98%用于PA6生产，2024年国内CPL表观消费量约653万吨，18-24年CAGR达15%，主要得益于PA6终端纺服/工程塑料等需求带动，需求增长下近年CPL扩产亦较多，2024年产能695万吨，18-24年CAGR约11%。但2025年以来CPL扩产步入尾声，叠加PA6需求增长，我们预计25E-27E己内酰胺行业理论开工率分别约94%/98%/98%，供需逐步趋紧，2025年以来CPL行业开工率已在9成附近，“反内卷”助力下CPL供需有望进一步向好。据百川盈孚，11月7日己内酰胺价格8150元/吨，处于近十年低位，供需改善下有望具备较大涨价弹性，鲁西化工目前具备70/70万吨/年CPL/PA6产能（规模国内前5），有望充分受益。供需面逐步改善叠加“反内卷”助力，公司产品迎来景气修复机会“反内卷”政策引导下，年初以来有机硅、几内酰胺等部分化工品行业自律和协同减产等信号频现，盈利偏弱下我们预计未来产品集中度较高的DMF、甲酸、有机硅等产品“反内卷”亦有望得到深化。据百川盈孚，11月7日正丁醇/辛醇/PC/PA6/有机硅DMC/99%片碱/DMF/二氯甲烷/甲酸市场价格分别0.51/0.59/1.39/0.9/1.1/0.34/0.40/0.20/0.28万元/吨，较9月末-13%/-11%/+2%/-4%/-1%/-7%/+3%/+5%/+1%，多数产品价格价差仍处于近十年低位，伴随产能扩张周期步入尾声，内需复苏叠加“反内卷”等助力供给优化，我们预计2026年多数产品景气有望自底部回暖，助力公司业绩中枢抬升。盈利预测与估值我们维持公司25-27年归母净利润13.2/22.8/25.3亿元的预测，对应EPS为0.69/1.19/1.33元，同比增速-35%/+72%/+11%。结合可比公司2026年Wind一致预期平均12xPE，考虑公司一体化优势以及新项目有望贡献增量，给予公司26年15xPE，目标价17.85元（前值为16.66元，对应2026年14xPE vs可比公司均值11xPE），维持“买入”评级。风险提示：需求不及预期；新项目进度不及预期；原料价格大幅波动。,,华泰证券,买入,[None],2025-11-10,,买入,7591957,pdf_downloads/2025/2025-11-10/000830-鲁西化工（000830）：“反内卷”推进或助力产品景气回暖.pdf,000830,鲁西化工,鲁西化工（000830）：“反内卷”推进或助力产品景气回暖
"王强峰,潘宁馨",主要观点：事件描述10月29日，鲁西化工发布2025年三季报，实现营业收入219.18亿元，同比增长1.57%；实现归母净利润10.23亿元，同比下降35.03%；实现扣非归母净利润9.25亿元，同比下降41.05%；实现基本每股收益0.54元/股。其中第三季度实现营业收入71.79亿元，同比-4.77%，环比-3.63%；实现归母净利润2.60亿元，同比下降35.65%，环比下降25.91%；实现扣非归母净利润2.38亿元，同比下降34.50%，环比下降21.67%。淡季价差回落业绩环比承压，四季度景气有望改善25Q3公司整体毛利率12.02%，同比+0.05pct/环比-1.18pct；净利率3.63%，同比-1.74pct/环比-1.09pct。主要产品处于传统淡季，经营承压。化工新材料板块，聚碳酸酯、尼龙6、有机硅等产品价格仍呈现底部震荡态势。需求乏力及原材料下滑的影响下，25Q3 PC、PA6、有机硅DMC均价环比-6.28%、-5.52%、-4.60%。价差方面，PC价差有所回升，但PA6和有机硅DMC价差仍难改下滑态势。基础化工板块，甲烷氯化物和烧碱淡季价格环比小幅下滑，但景气度较好。其中，二氯甲烷受下游制冷剂R32（二氟甲烷）景气改善，以及新能源锂电池隔膜行业增速较快的影响，价格高于去年同期；烧碱主要下游国内氧化铝产能利用率提升，支撑烧碱需求。环比来看，25Q3烧碱32%/二氯甲烷均价-3.38%/-7.47%，淡季价格小幅下滑。公司巩固现有一体化优势，积极扩产延链、补链、强链，长期成长可期。公司多年来的发展具备了明显的一体化及产业链循环的经济优势，产品品类众多，并且产品间具备较强的协同效应。公司持续延链、补链、强链，扩大化工新材料的比重，提高产品市占率。2025年，有机硅项目顺利打通全流程并实现投产，乙烯下游一体化项目、15万吨丙酸等项目有序推进，资本开支将驱动公司盈利持续增长。投资建议预计公司2025-2027年归母净利润分别为17.07、24.07、35.39亿元（原值为22.92、31.05、41.83亿元）。对应 PE 分别为14.92、10.59、7.20倍。维持“买入”评级。风险提示（1）原材料及主要产品价格波动引起的各项风险；（2）安全生产风险；（3）项目投产进度不及预期；,,华安证券,买入,[None],2025-11-06,,买入,7514144,pdf_downloads/2025/2025-11-06/000830-鲁西化工（000830）：淡季价差承压，静待景气修复.pdf,000830,鲁西化工,鲁西化工（000830）：淡季价差承压，静待景气修复
"庄汀洲,张雄",2025年10月29日│中国内地 农用化工 鲁西化工10月29日公布2025年三季报：前三季度实现收入219亿元，同比+1.6%，归母净利润10.2亿元，同比-35%，扣非归母净利润9.25亿元，同比-31%。其中25Q3实现收入71.8亿元，同比/环比-5%/-4%，归母净利润2.6亿元，同比/环比-36%/-26%，扣非归母净利润2.4亿元，同比-35%/环比-22%。公司25Q3归母净利润低于我们业绩前瞻预期（3.1亿元），主因丁辛醇/尼龙6等景气修复不及预期。考虑公司具备一体化生产和规模优势，产品景气拐点渐近有望贡献业绩弹性，维持“买入”评级。前三季度产品价格同比下滑为主，25Q3景气仍偏弱据百川盈孚，前三季度正丁醇/辛醇/PC/PA6/有机硅DMC/99%片碱/DMF/二氯甲烷/甲酸市场均价分别0.65/0.75/1.44/1.05/1.23/0.36/0.42/0.24/0.29万元/吨，同比-20%/-26%/-8%/-27%/-14%/+16%/-10%/-7%/+9%，因需求偏弱及行业产能释放等，多数产品景气下滑为主。25Q3多数产品景气同环比仍有回落，其中正丁醇/辛醇/PC/PA6/有机硅DMC/99%片碱/DMF/二氯甲烷/甲酸市场均价0.6/0.73/1.38/0.96/1.14/0.35/0.41/0.22/0.29万元/吨，同比-20%/-16%/-13%/-31%/-17%/+15%/-3%/-20%/+19%（环比-7%/-2%/ -4%/-6%/-6%/+1%/-1%/-7%/+4%）。前三季度综合毛利率同比-3.3pct至12.6%，期间费用率同比-0.8pct至5.5%。主营产品供需有望逐步改善，项目增量或助力盈利弹性据百川盈孚，10月28日正丁醇/辛醇/PC/PA6/有机硅DMC/99%片碱/DMF/二氯甲烷/甲酸市场价格分别0.52/0.58/1.4/0.9/1.12/0.35/0.40/0.19/0.28万元/吨，较9月末-11%/-12%/+2%/-4%/+1%/-2%/+1%/-1%/+1%，其中PC/有机硅/DMF/甲酸等景气有所修复，而丁辛醇/PA6等价格仍处于近五年相对低位，考虑到较多化工产品扩产周期步入尾声，内需有望复苏叠加供给端优化等有望助力产品价格逐步迎来改善，同时公司己内酰胺/尼龙6和有机硅等新项目产能逐步释放亦有望贡献增量。另据半年报，公司24万吨/年乙烯下游一体化项目（二期工程）、15万吨/年丙酸项目等亦有序推进，未来产业链一体化和规模优势有望巩固。盈利预测与估值考虑主营产品景气修复不及我们此前预期，我们下调丁辛醇等产品价格和毛利率预测，预计公司25-27年归母净利润13.2/22.8/25.3亿元（前值18/23/26亿元，下调27%/2%/4%），对应EPS为0.69/1.19/1.33元，同比增速-35%/+72%/+11%。结合可比公司2026年Wind一致预期平均11xPE，考虑公司一体化优势以及新项目有望贡献增量，给予公司26年14xPE，目标价16.66元（前值为16.15元，对应25年17xPE vs可比公司13xPE），维持“买入”评级。风险提示：需求不及预期；新项目进度不及预期；原料价格大幅波动。,,华泰证券,买入,[None],2025-10-30,,买入,7024576,pdf_downloads/2025/2025-10-30/000830-鲁西化工（000830）：产品供需有望改善助力景气修复.pdf,000830,鲁西化工,鲁西化工（000830）：产品供需有望改善助力景气修复
"王强峰,潘宁馨",主要观点：事件描述8月21日，鲁西化工发布2025年半年报，实现营业收入147.39亿元，同比增长4.98%；实现归母净利润7.63亿元，同比下降34.81%；实现扣非归母净利润6.87亿元，同比下降43.02%；实现基本每股收益0.40元/股。其中第二季度实现营业收入74.49亿元，同比+2.21%，环比+2.18%；实现归母净利润3.51亿元，同比下降41.88%，环比下降15.10%；实现扣非归母净利润3.03亿元，同比下降51.55%，环比下降20.94%。化工新材料盈利收窄，基础化工板块同比改善2025年上半年公司整体毛利率12.92%，同比-5.07 pct，主要产品处于传统淡季，经营承压。分板块来看，化工新材料/基础化工/化肥/其他产品上半年毛利率分别为11.43%/22.12%/5.84%/12.03%，同比分别-9.77 pct/+8.79 pct/-1.58 pct/+2.03 pct。化工新材料板块盈利收窄，基础化工板块盈利能力改善。化工新材料板块，聚碳酸酯、尼龙6、有机硅等产品价差承压是盈利下滑的主要原因。国内PC增量脚步放缓，同时国内终端消费量无明显变化，受原料双酚A价格影响，产品价格持续低迷；尼龙6方面，原料纯苯波动较大，国内纺织行业开工率大幅降低，加之尼龙6产能增加，行业内竞争加剧，导致价格降低；有机硅主要下游为建筑等行业，受房地产行业持续低迷因素影响，以及原料工业硅成本支撑不足，有机硅价格二季度出现明显下滑。基础化工板块，甲烷氯化物和烧碱价格高于去年同期，盈利能力有所改善。其中，二氯甲烷受下游制冷剂R32（二氟甲烷）需求旺季，以及新能源锂电池隔膜行业增速较快的影响，开工较好，价格高于去年同期；烧碱主要下游国内氧化铝产能利用率大幅提升，烧碱需求同比例增长，且关联产品液氯价格偏低，在一定程度上限制了烧碱的开工率，因此价格明显高于去年同期。费用方面，2025H1销售费用率/管理费用率/财务费用率分别为0.26%/1.65%/0.62%，环比变动+0.10/-0.31/+0.03pct。三费整体控制良好。公司巩固现有一体化优势，积极扩产延链、补链、强链，长期成长可期。公司多年来的发展具备了明显的一体化及产业链循环的经济优势，产品品类众多，并且产品间具备较强的协同效应。公司持续延链、补链、强链，扩大化工新材料的比重，提高产品市占率。2025年，有机硅项目顺利打通全流程并实现投产，乙烯下游一体化项目、15万吨丙酸等项目有序推进。资本开支将驱动公司盈利持续增长。投资建议预计公司2025-2027年归母净利润分别为22.92、31.05、41.83亿元。对应 PE 分别为12.09、8.92、6.62倍。维持“买入”评级。风险提示（1）原材料及主要产品价格波动引起的各项风险；（2）安全生产风险；（3）项目投产进度不及预期；（4）行业产能扩张风险。,,华安证券,买入,[None],2025-09-18,,买入,6450535,pdf_downloads/2025/2025-09-18/000830-鲁西化工（000830）：Q2业绩短期承压，新项目逐步投产成长可期.pdf,000830,鲁西化工,鲁西化工（000830）：Q2业绩短期承压，新项目逐步投产成长可期
"刘威,周志鹏","维持“增持”评级。公司25-27年EPS分别为0.97/1.31/1.37元，参考可比公司估值及考虑公司成长性，给予25年20倍PE估值，对应目标价为19.4元。2025H1，公司业绩具备韧性。2025H1，公司实现营收147.39亿元，同比+4.98%；归母净利7.63亿元，同比-34.81%；扣非后归母净利6.87亿元，同比-43.02%；其中，25Q2营收74.49亿元，同比+2.21%，环比+2.18%；归母净利3.51亿元，同比-41.88%，环比-15.1%；扣非后净利3.03亿元，同比-51.55%，环比-20.94%。2025H1，化工新材料产品、基础化工产品、化肥产品、其他产品营业收入分别同比+2.39%、+5.14%、+22.36%、+0.74%；毛利率分别同比-9.77pct、+8.79pct、-1.58pct、+2.03pct。产品矩阵多元，抗风险能力较强。化工新材料、基础化工主要产品包括PC、PA6、多元醇、有机硅、氟材料、甲烷氯化物、二甲基甲酰胺、氯碱等，下游产业涵盖建材、农药、医药、食品添加剂、染料、化工、纺织、制鞋、制革、改性及复合材料等领域。2025年4月，公司全资子公司氟尔公司与昊华科技全资子公司中化蓝贸签署《氟产品框架合作协议》，氟尔公司已建成二氟甲烷（HFC-32）年产3万吨生产装置，并持有生态环境部核发的2025年度二氟甲烷产品生产配额4,143吨其中内用生产配额2,726吨。装备制造业务，深度整合资源，推进鲁西工程公司市场化运作，实现由服务鲁西向服务中国中化转变。园区一体化、联动、运营优势卓越，精细化管理与节能降耗持续增强。PA6行业，由于聚合技术水平的提高以及CPL企业延伸产业链，以及生产装置的规模化、自动化、节能化和生产效率越来越高，利用单位投资、能耗和加工成本的不断降低来增加竞争力，生产企业一体化、规模化特点在降本增效方面优势凸显。公司化工产品主要原材料为煤炭、丙烯、纯苯、甲醇等，重点与大型国有生产企业稳定合作，稳定渠道，争取价格优势；同时充分利用省内周边炼油企业运距短的优势，就近采购，在确保企业生产需要的同时，有效降低生产成本。风险提示：在建项目进度低于预期，原材料市场价格波动。",,国泰海通,增持,[None],2025-09-02,,买入,6380941,pdf_downloads/2025/2025-09-02/000830-鲁西化工（000830）：产品矩阵多元，公司业绩具备韧性.pdf,000830,鲁西化工,鲁西化工（000830）：产品矩阵多元，公司业绩具备韧性
"李旋坤,王金源","营收稳健增长，盈利水平有望触底回升事件描述事件：8月22日，公司发布《2025半年度业绩报告》，2025H1，实现营业收入147.4亿元，同比+5%，实现归母净利润7.6亿元，同比-34.8%，扣非归母净利润6.9亿元，同比-43.0%。其中，2025Q2实现营业收入74.5亿元，同环比分别+2.2%/+2.2%，实现归母净利润3.5亿元，同环比分别-41.9%/-15.1%，扣非归母净利润为3.0亿元，同环比分别-51.5%/-20.9%。事件点评营收稳健增长，盈利水平短期承压。2025H1，公司化工新材料、基础化工、化肥产品三大业务板块收入分别97.4/29.6/17.8亿元，同比分别增长2.4%/5.1%/22.4%，毛利率分别为11.4%/22.1%/5.8%，同比分别-9.8/+8.8/-1.6pct。整体毛利率和净利率分别为12.9%/5.2%，同比分别-5.1/-3.2pct，主要系多个产品因供需关系而跌价。三季度以来主营产品价格降幅收窄，建议关注“反内卷”政策。近期，反内卷与供给侧优化成为社会关注的热点，我们认为供给侧优化与反内卷，将有效遏制企业低价无序竞争，推动落后产能有序退出，使企业盈利与创新投入形成良性循环。据百川盈孚数据统计，2025Q2正丁醇/己内酰胺/PC/尼龙6/烧碱32%液碱/正丙醇均价环比分别下降8.4%/12.8%/3.6%/11.6%/7.6%/11.2%，2025年7月1日至8月21日均价环比2025Q2分别下降4.8%/2.6%/3.3%/5.5%/2.6%/2.6%，降幅有所收窄。未来，在供给侧优化与反内卷的政策推动下，相关商品价格有望企稳回升，公司盈利水平有望触底回升。投资建议预计公司2025-2027年净利润分别为18.5/27.8/36.3亿元，对应公司8月25日收盘价13.27元，PE分别为14/9/7倍,维持“买入-B”评级。风险提示原材料价格波动风险，宏观经济修复不及预期风险，产品价格下降风险，安全环保风险。",,山西证券,买入-B,[None],2025-08-26,,买入,6349294,pdf_downloads/2025/2025-08-26/000830-鲁西化工（000830）：营收稳健增长，盈利水平有望触底回升.pdf,000830,鲁西化工,鲁西化工（000830）：营收稳健增长，盈利水平有望触底回升
"杨林,余双雨",公司2025年上半年营收同比增长，归母净利同比下滑。2025年上半年公司实现营收147.4亿元（同比+5.0%），归母净利润7.6亿元（同比-34.8%）；其中二季度营收74.5亿元（同比+2.2%，环比+2.2%），归母净利润3.5亿元（同比-41.9%，环比-15.1%）；毛利率/净利率为13.2%/4.7%，期间费用率5.8%。利润下滑主要因化工新材料板块受原料价格波动及下游需求疲软影响，叠加部分产品竞争加剧致盈利空间压缩。核心业务化工新材料营收同比增长，毛利率下滑。公司化工新材料业务2025年上半年营收97.4亿元（占比66.1%，同比+2.4%），毛利率11.4%（同比-9.8pct）。多元醇仍为公司利润核心来源，上半年公司销售多元醇/六氟丙烯等氟材料/己内酰胺/聚碳酸酯的全资子公司净利润分别为2.36/0.63/-1.69/-1.38亿元。2025年上半年，聚碳酸酯、尼龙6、多元醇、有机硅等产品受下游需求疲弱、供给竞争加剧等影响价格偏弱、利润压缩。氟材料产品表现分化，聚四氟乙烯价格同比下滑，聚全氟乙丙烯价格同比提升，六氟丙烯价格震荡，二氟甲烷（R32）因配额收紧持续供不应求、价格走高。据卓创资讯，二季度R32市场均价50269元（同比+49%，环比+14%），公司拥有R32产能3万吨，2025年生产配额4143吨（其中内用2726吨）。基础化工板块营收与毛利率均同比提升。2025年上半年公司基础化工业务营收29.6亿元（占比20.1%，同比+5.1%），毛利率22.1%（同比+8.8pct），营收与毛利率均改善。上半年公司销售甲酸/氯甲烷/DMF的全资子公司净利润分别为1.36/0.96/-0.15亿元。甲酸盈利相对较好，二季度甲酸市场均价2764元/吨（同比+5%）；甲烷氯化物行业，二氯甲烷因下游制冷剂R32需求旺季及锂电池隔膜行业增速较快，开工较好，价格高于去年同期，一氯甲烷、三氯甲烷则表现低迷；氯碱行业中，烧碱因下游氧化铝产能利用率大幅提升需求增长，价格明显高于去年同期，关联产品液氯价格偏低限制开工率。化肥板块营收同比增长，盈利能力略降。化肥业务2025年上半年营收17.8亿元（占比12.1%，同比+22.4%），毛利率5.8%（同比-1.6pct）。报告期内，化肥产品产销量增加，主要得益于新项目副产硫酸铵产销量提升及复肥市场行情带动，但受成本等因素影响，毛利率小幅下滑。风险提示：下游需求不及预期；原材料价格上涨；行业竞争加剧风险等。投资建议：公司产业链丰富，盈利弹性较大，我们维持公司2025-2027年归母净利润预测为14.47/14.60/15.90亿元，对应每股收益为0.76/0.76/0.83元，对应当前股价PE为17.1/17.0/15.6X，维持“优于大市”评级。,,国信证券,优于大市,[None],2025-08-22,,买入,6337560,pdf_downloads/2025/2025-08-22/000830-鲁西化工（000830）：短期盈利承压，营收稳增显韧性.pdf,000830,鲁西化工,鲁西化工（000830）：短期盈利承压，营收稳增显韧性
"庄汀洲,张雄",鲁西化工8月21日公布2025年中报：25H1实现收入147亿元，同比+5%，归母净利润7.6亿元，同比-35%，扣非归母净利润6.9亿元，同比-43%。其中25Q2实现收入74亿元，同比/环比+2%/+2%，归母净利润3.5亿元，同比/环比-42%/-15%，扣非归母净利润3亿元，同比-52%/环比-21%。公司上半年归母净利润高于我们业绩前瞻预期（7亿元），主要系煤炭等原料成本改善好于我们预期。考虑公司具备一体化生产和规模优势，产品景气拐点渐近有望贡献业绩弹性，维持“买入”评级。上半年产品价格同比下滑为主，成本端改善有所助益据百川盈孚，25H1正丁醇/辛醇/PC/PA6/有机硅DMC/99%片碱/DMF/二氯甲烷/甲酸市场均价分别0.67/0.76/1.48/1.1/1.28/0.37/0.42/0.25/0.29万元/吨，同比-20%/-30%/-6%/-25%/-12%/+16%/-13%/0%/+5%，因需求偏弱及行业产能释放等，多数产品景气同比下滑为主。25H1新材料板块收入同比+2%至97亿元，己内酰胺/尼龙6和有机硅等新项目贡献增量，但由于丁辛醇等景气偏弱，板块毛利率yoy-9.8pct至11.4%；基础化工板块收入同比+5%至29.6亿元，系烧碱、甲酸等景气较好，叠加煤炭等原料成本改善，板块毛利率同比+8.8pct至22.1%；肥料板块营收同比+22%至17.8亿元，毛利率同比-1.6pct至5.8%。25Q2多数产品景气环比略有回落，另外资产减值和研发费用环比增长亦对盈利有所影响。上半年子公司鲁西多元醇/甲酸化工/聚碳酸酯/聚酰胺新材料净利润为2.4/1.4/-1.4/-1.7亿元，同比-74%/+100%/-112%/-750%。产品景气迎复苏拐点，项目增量有望助力盈利弹性据百川盈孚，8月21日正丁醇/辛醇/PC/PA6/有机硅DMC/99%片碱/DMF/二氯甲烷/甲酸市场价格分别0.57/0.73/1.37/0.97/1.1/0.35/0.42/0.22/0.34万元/吨，较6月末-13%/-2%/-3%/-4%/+2%/+3%/+6%/-2%/+46%，其中有机硅/烧碱/DMF/甲酸等产品景气有所修复，而丁辛醇/PC等仍处于近五年相对低位，考虑“金九银十”旺季临近，叠加较多化工产品扩产周期步入尾声，内需复苏叠加供给端优化等有望助力产品迎来景气修复，同时公司己内酰胺/尼龙6和有机硅等新项目产能逐步释放亦有望贡献增量。另据半年报，公司24万吨/年乙烯下游一体化项目（二期工程）、15万吨/年丙酸项目等亦有序推进，未来产业链一体化和规模优势有望巩固。盈利预测与估值考虑尼龙等产品阶段性景气复苏不及我们预期，我们调整25年归母净利润预测至18亿元（较前次-11%），而考虑26-27年产品景气有望改善，我们维持26-27年归母净利润23/26亿元的预测，25-27年对应EPS为0.95/1.22/1.39元。结合可比公司25年Wind一致预期平均13xPE，考虑公司一体化优势以及新项目有望贡献增量，给予公司25年17xPE，目标价16.15元（前值为14.98元，对应25年14xPE vs可比公司11xPE），维持“买入”评级。风险提示：需求不及预期；新项目进度不及预期；原料价格大幅波动。,,华泰证券,买入,[None],2025-08-22,,买入,6337617,pdf_downloads/2025/2025-08-22/000830-鲁西化工（000830）：H1净利同比承压，迎接景气复苏拐点.pdf,000830,鲁西化工,鲁西化工（000830）：H1净利同比承压，迎接景气复苏拐点
"刘威,沈唯,周志鹏","本报告导读：公司产能建设稳步推进，精细化管理与节能降耗持续增强，我们认为公司业绩具备韧性。投资要点：维持“增持”评级。考虑到外部环境影响公司部分化工产品价格，我们下调25-26年EPS至0.97/1.31元（原为1.19/1.4元）,新增27年EPS为1.36元。参考可比公司估值及考虑公司成长性，给予25年13倍PE估值，对应目标价为12.61元。2024年，公司业绩同比+147.79%。2024年，公司实现营收297.63亿元，同比+17.37%；归母净利20.29亿元，同比+147.79%；扣非后归母净利19.62亿元，同比+126.90%；其中，24Q4营收81.84亿元，同比+10.36%，环比+8.57%；归母净利4.54亿元，同比+45.50%，环比+12.46%；扣非后净利3.93亿元，同比+26.54%，环比+8.38%。2024年，化工新材料产品、基础化工产品、化肥产品、其他产品营业收入分别同比+26.83%、-7.41%、+17.85%、+21.84%；毛利率分别同比+1.36pct、+2.68pct、-1.41pct、+2.73pct。25Q1，公司业绩具备韧性。25Q1，公司实现营收72.90亿元，同比+7.96%，环比-10.92；归母净利4.13亿元，同比-27.30%，环比-9.04%；扣非后净利3.84亿元，同比-33.81%，环比-2.40%。主要原因是受市场供求关系等因素影响，公司部分化工产品价格同比下降，且产品价格降幅大于原料采购价格降幅。产能建设稳步推进，精细化管理与节能降耗持续增强。2024年，公司生产装置保持安全稳定运行，同时己内酰胺·尼龙6一期工程开车成功满负荷运行，有机硅项目顺利打通全流程，乙烯下游一体化项目、15万吨丙酸等项目有序推进。装备制造业务，深度整合资源，推进鲁西工程公司市场化运作，实现由服务鲁西向服务中国中化转变。扩大新能源装备出口，推进扩产提效。公司化工产品主要原材料为煤炭、丙烯、纯苯、甲醇等，重点与大型国有生产企业稳定合作，稳定渠道，争取价格优势；同时充分利用省内周边炼油企业运距短的优势，就近采购，在确保企业生产需要的同时，有效降低生产成本。风险提示：在建项目进度低于预期，原材料市场价格波动。",,国泰海通,增持,[None],2025-05-06,,买入,6642273,pdf_downloads/2025/2025-05-06/000830-鲁西化工（000830）：2024年报及2025年一季报点评：产能建设稳步推进，公司业绩具备韧性.pdf,000830,鲁西化工,鲁西化工（000830）：2024年报及2025年一季报点评：产能建设稳步推进，公司业绩具备韧性
