author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts
王晓萱,人民网(603000)多元布局支撑业绩韧性，AI安全加速渗透事件回顾2025年10月30日，公司发布2025年三季报，2025前三季度，公司实现营业收入11.38亿元，同比下降3.29%；归母净利润0.34亿元，同比下降40.10%；扣非后归母净利润0.22亿元，同比下降60.23%。2025Q3，公司实现营业收入4.17亿元，同比下降2.22%；归母净利润0.39亿元，同比下降3.54%；扣非后归母净利润0.40亿元，同比增长0.31%。事件点评多元布局支撑业绩韧性，积极费控有望推动盈利能力改善。收入端看，2025年前三季度，公司实现营收11.38亿元，同比下降3.29%。行业承压背景下，公司通过多元业务布局积极应对周期压力，一方面聚焦内容主业，加强原创内容建设，持续巩固中央重点新闻网站“龙头”地位；另一方面依托内容领域的独特优势，进一步发力内容科技、数据及信息服务等延展业务。2024年，公司内容科技、数据及信息服务、网络技术服务收入合计占比已提升至47.43%（同比上升2.44pct）；利润端看，公司毛利率阶段性下滑，2025年前三季度综合毛利率为41.17%，同比下降3.15pct。目前公司已在积极推进费用管控，后续盈利能力有望回升。2025年前三季度公司期间费用率约38.11%，同比收窄3.15pct，其中销售/管理/研发费用率分别为17.45%/14.52%/6.14%，同比分别变动-1.92/-0.43/-0.81pct。核心平台规模稳步提升，短视频与AI布局有望带来新增量。 截至25H1，公司旗下平台“人民网”PC端与移动端合计用户总数达9.5亿，较年初增长约3000万，助力主营业务保持稳健增长。同时公司持续深化AI等新技术应用，并积极向短视频等新兴赛道延展，拓展业绩增量来源：一方面，先后推出“人民智媒大模型”“智能创作引擎·写易”及“初芯”智能体平台等多款AI应用产品，并发布“数据智能伙伴计划”，结合多地场景加速内容科技化落地；另一方面，积极挖掘新媒体广告机会，旗下环球网聚焦短视频等新兴赛道持续投入，并在25H1完成视频内容创作流程与广告投放体系的优化。此外，公司亦在数据要素等环节亦实现初步规模化应用。未来随着AI、短视频、大数据等增量业务协同推进，公司业绩有望获得新增动能。AI安全重视度提升，稀缺“语料+治理”价值有望受益。随着AI技术加速渗透，安全与可信正成为产业核心命题之一。2025年7月，世界人工智能大会发布《人工智能全球治理行动计划》，进一步凸显安全环节在全球AI产业链中的重要地位。AI安全主要涵盖数据源与内容监管两大环节：前者关乎语料真实性与价值导向；后者聚焦内容审核与风险识别，旨在防范虚假信息传播。公司近年持续强化AI安全布局，并已在语料与治理端形成稀缺优势：1）语料方面，已建设主流价值语料库，截至2025年3月入库基础语料超3000万篇、300亿字，含19.9万对问答与200余万对图文语料，并在8家主流大模型厂商中应用验证；2）治理方面，开拓“用AI治理AI”新范式，并已打造“天目”深度合成检测系统与“人民审校”内容风控平台等多款产品。未来随着AI治理体系化建设持续推进，公司凭借在语料安全与合规治理领域的领先能力，有望率先兑现产业红利。投资建议我们预计2025/2026/2027年公司营业收入为20.95/21.69/22.69亿元，归母净利润为2.12/2.36/2.52亿元，对应EPS为0.19/0.21/0.23元，根据12月19日收盘价，分别对应98/88/82倍PE，首次覆盖，给予“增持”评级。风险提示行业政策监管风险，广告营销需求不及预期，AI投入不及预期。,,中邮证券,增持,[None],2025-12-22,,增持,8267724,pdf_downloads/2025/2025-12-22/603000-人民网（603000）：多元布局支撑业绩韧性，AI安全加速渗透.pdf,603000,人民网,人民网（603000）：多元布局支撑业绩韧性，AI安全加速渗透,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 2.12,
            ""eps"": 0.19,
            ""pe"": 98
        },
        {
            ""year"": 2026,
            ""net_profit"": 2.36,
            ""eps"": 0.21,
            ""pe"": 88
        },
        {
            ""year"": 2027,
            ""net_profit"": 2.52,
            ""eps"": 0.23,
            ""pe"": 82
        }
    ]
}"
"张良卫,郭天瑜",人民网(603000)公司2019年实现收入21.5亿，同比增长26.95%，保持稳定趋势；扣非归母净利润为2.75亿元，同比增长41%，整体毛利率由18年的44.69%提升至50.76%，主要得益于信息服务和移动增值服务收入快速增长且毛利率大幅提升。1Q20营业收入3.21亿元，同比增长2.44%，扣非归母净利润-0.25亿元，同比下降5.14%。信息服务产业链完善，毛利率快速提升。19年信息服务收入6.03亿元（+yoy35.82%），毛利率43.68%，同比增长14.33个百分点，主要由于公司拥有新闻独立采编权，形成由“新闻采编—信息发布—信息服务”完整运营模式，通过版权销售，舆情分析和大数据等增值服务，为客户提供网站和平台的运营实现盈利，目前国内主流媒体平台均为公司客户。互联网创作内容蓬勃发展，内容风控需求快速提升。公司凭借在新闻领域优势，大力发展第三方内容审核业务，并取得业绩突破。19年移动增值服务收入3.65亿元，同比增长16.4%，毛利率由18年的43.07%提升至51.32%，毛利率提升主要由于公司技术能力提升，改善成本结构，未来有望保持稳定。原创内容快速发展将进一步带动第三方审核服务业务快速发展，公司审核业务覆盖类型广泛，包括图文、音乐、网络文学、动漫、音频、视频等。（1）市场规模而言，整个原创内容市场合计规模保守估计超过1000亿，并且如短视频和直播电商等正处于迅速发展时期，未来对于互联网内容需求审核需求将进一步打开。（2）从用户角度，移动互联网用户单日使用时长稳步上升，据Questmobile统计，已经由18Q4的341.2分钟提升至19Q3的360分钟；未来5G时代到来，互联网用户普及率将继续提升。（3）从内容角度而言，目前网络创作者数量快速增长，例如百家号的创作者数量由2017年的90万提升至2019年的200万，哔哩哔哩19Q4原创内容创作者同比增长80%至100万，月均投稿量为280万。传统广告业务保持稳定，公司品牌形象良好。人民网在多个公众平台建立账号，树立良好形象，吸引大量粉丝。2018年，人民网微博粉丝总数6188万，居网络媒体第一名；微信公众号订阅数突破661万；人民网在抖音等主要短视频平台的账号粉丝总数突破845万。盈利预测与投资评级：预计公司20-22年营业收入将达25.91/30.73/35.95亿元，同比增长20.5%/18.6%/17%；预计归母净利润达4.23/5.09/5.96亿元，同比增长25.5%/20.5%/17%，对应EPS为0.38/0.46/0.54元，对应PE为56/47/40倍，维持“买入”评级。风险提示：宏观经济风险，行业竞争加剧，政策监管趋严。,,东吴证券,买入,[None],2020-05-06,,买入,4232998,pdf_downloads/2020/2020-05-06/603000-人民网（603000）：新闻领域独特优势显现，毛利率显著提升.pdf,603000,人民网,人民网（603000）：新闻领域独特优势显现，毛利率显著提升,"{
    ""forecasts"": [
        {
            ""year"": 2022,
            ""net_profit"": 5.96,
            ""eps"": 0.54,
            ""pe"": 40
        }
    ]
}"
"张良卫,郭天瑜",公司2018年实现收入16.94亿元，同比增长20.9%，成功扭转收入下滑趋势。2017年起公司及时调整自身战略，推出“深度融合版权+渠道的业务模式”，信息服务业务收入稳中有增，17年实现收入增长16.49%。18年起，在保证PC端收入同时，积极布局移动端社交、视频，垂直内容平台等，在广告业务和内容审核服务中取得增长，未来公司将进一步积极拓展内容审核市场。公司凭借自身国有背景优势，大力发展第三方内容审核业务，取得业绩突破。随着互联网内容和品类增加，公司加大了对于移动端内容风控业务的市场拓展和用户开发。2018年，公司第三方内容审核业务快速发展，收入同比增幅达166%，凭借在内容领域的独特优势，业务范围涵盖图文、音乐、网络文学、动漫、音频、视频等。第三方内容审核市场快速发展，主要由互联网创作内容市场蓬勃发展所带动，整个原创内容市场合计规模保守估计超过1000亿，并且如短视频等原创内容市场规模和其衍生产业链如MCN等电商产业正处于快速发展时期，预计未来对于互联网内容需求审核需求将进一步打开。（1）从用户角度而言，随着近年各类内容平台快速发展（短视频，长视频，新闻，阅读等），移动互联网用户单日使用时长稳步上升，据Questmobile统计，已经由18Q4的341.2分钟提升至19Q3的360分钟；用户数量而言，随着基础建设普及，国内互联网用户普及率将继续提升。（2）从内容角度而言，目前网络创作者数量快速增长，例如百家号的创作者数量由2017年的90万提升至2019年的200万，视频网站哔哩哔哩19Q3月均活跃UP主达110万，同比增幅高达93%，其投稿量为310万，同比增幅高达83%。人民网在多个公众平台建立账号，树立良好形象，吸引大量粉丝。2018年，人民网微博粉丝总数6188万，居网络媒体第一名；信公众号订阅数突破661万；人民网在抖音等主要短视频平台的账号粉丝总数突破845万。盈利预测与投资评级：未来随着网络内容市场蓬勃发展（阅读，视频，短视频，新闻资讯等），第三方内容审核需求将不断扩大，公司有望凭借其独有优势，在该领域取得成功，推动业绩快速增长。我们预计公司19-21年营业收入将达21.06/25.37/30.09亿元，同比增长24.3%/20.5%/18.6%；预计归母净利润达2.89/3.55/4.42亿元，同比增长35%/23%/24%，对应EPS为0.26/0.32/0.4元，对应PE为76/62/50倍，目前公司估值处于历史较低位，首次覆盖，予以“买入”评级。风险提示：宏观经济风险，行业竞争加剧，政策监管趋严。,,东吴证券,买入,[None],2020-02-07,,买入,4152668,pdf_downloads/2020/2020-02-07/603000-人民网（603000）：原创内容快速发展，公司内容领域优势凸显.pdf,603000,人民网,人民网（603000）：原创内容快速发展，公司内容领域优势凸显,"{
    ""forecasts"": [
        {
            ""year"": 2019,
            ""net_profit"": 2.89,
            ""eps"": 0.26,
            ""pe"": 76
        },
        {
            ""year"": 2020,
            ""net_profit"": 3.55,
            ""eps"": 0.32,
            ""pe"": 62
        },
        {
            ""year"": 2021,
            ""net_profit"": 4.42,
            ""eps"": 0.4,
            ""pe"": 50
        }
    ]
}"
"付宇娣,宋怡萱","投资要点7月25日晚，公司发布《深度融合发展三年规划(纲要)》，提出了人民网建设全媒体的指导思想、发展战略、规划目标和重点任务，我们点评如下：全媒体时代，人民网“党网”重要性凸显：2019年1月25日习近平总书记带领中共中央政治局到人民日报社就“全媒体时代和媒体融合发展”举行第十二次集体学习时，即强调“要加快推动媒体融合发展，使主流媒体具有强大传播力、引导力、影响力、公信力”，“主管部门要履行好监管责任，依法加强新兴媒体管理”，“各级党委和政府要从政策、资金、人才等方面加大对媒体融合发展的支持力度”。本《规划》是对总书记1月25日讲话精神的贯彻落实。移动互联网的快速发展催生大量新媒体平台，在信息获取更加快捷的同时，导致了诸多信息审查监管不到位的弊端，信息爆炸时代，官媒的主流舆论引导作用凸显。人民网作为党媒，其政治价值、传播价值、品牌价值、平台价值、资本价值必将进一步凸显。内容为本，平台价值变现空间大：依托政策敏感性、人才等多方面优势，公司在观点评论、深度调查、权威解读、政策建议方面具备较强的原创能力，未来将不断巩固其中央重点新闻网站“龙头”地位，成为最优质原创内容的提供者。以内容为本，平台价值有望实现多渠道变现：①内容风控：本次《规划》的目标之一便是不断强化互联网内容风控“龙头”地位。公司拟参股人民中科（山东）智能技术有限公司，将中国科学院自动化研究所的人工智能技术与人民网的内容风控能力紧密结合，重点为互联网空间上的内容安全管理及信息安全管理提供技术服务。据人民网7月24日消息，人民网面向社会发放了67张《互联网内容风控师（初级）证书》，公司已就标准制定、人员培训进行初步探索，未来将进一步发挥党媒优势，为互联网主体提供内容风控的咨询顾问服务。②内容运营与聚发：人民网横向连接政府、企业、社会团体、学术机构等各类主体，纵向连接世界各国政要和广大普通民众，社交账号（微博、微信公众号、抖音等）日常覆盖逾2.8亿人次，传播价值凸显。公司未来有望凭借传播力实现更大的营收和盈利规模：包括为优质创作者/创作机构提供创作指导、等级认证、推广运营及市场运作等服务；为全网的内容生产者、传播者、使用者提供内容聚发及其衍生的版权交易、运营培训、IP孵化、创意营销、内容电商、广告代理等服务方案。2019Q1公司收入保持稳健增长，亏损同比收窄：2019Q1公司实现营业收入3.13亿元（+17.20%），归母净利润-2,336.25万元（上年同期-5,787.41万元），营收增长主要系子公司人民视讯文化有限公司、人民健康网络有限公司收入同比增幅较大。投资建议：人民网作为官媒在宣传思想工作中承担重要角色，我们看好公司以内容",,华金证券,增持-A,[None],2019-07-28,,增持,3855136,pdf_downloads/2019/2019-07-28/603000-人民网（603000）：发布《深度融合发展三年规划（纲要）》：内容为本，平台价值变现空间大.pdf,603000,人民网,人民网（603000）：发布《深度融合发展三年规划（纲要）》：内容为本，平台价值变现空间大,"{
  ""forecasts"": [
    {
      ""year"": null,
      ""net_profit"": null,
      ""eps"": null,
      ""pe"": null
    }
  ]
}"
"付宇娣,宋怡萱","收入稳步增长，业绩高增：分板块看，公司广告及宣传服务实现收入7.78亿元（+32.93%），占总营收的46%，增长主要源于移动、社交、视频、垂直平台等新媒体渠道的市场开拓；移动增值服务收入3.13亿元（-17.74%），传统移动增值服务竞争加剧带来压力，2018年公司适当收缩了对手机阅读等传统电信增值业务的资源投入，另外看书网不再纳入2018年合并范围，因此公司移动增值服务收入同比有所下降。但值得关注的是公司第三方内容审核业务，收入同比增幅达166%；信息服务业务实现收入4.43亿元（+25.10%）。
    
    毛利率提升、利息收入增长带来业绩高增：营收占比最高的广告及宣传服务2018年毛利率增加17.57个百分点，带动整体毛利率同比提升近10个百分点；利息收入同比增长32%，使得财务费用同比下降385.16%。
    
    官媒内容优势凸显：作为国家重点新闻网站排头兵，人民网拥有独立的新闻采编权，对于政治、经济、社会、文化等重大事件进行高效、深度解读。知识付费时代，公司优质原创内容有望通过付费阅读模式实现增收。在做好内容原创的同时，公司推出“第三方内容审核平台”，报告期内围绕平台建设、标准制定、技术研发等方面进行了初步探索，人民网官方背书的天然优势为其内容审核业务带来长足的发展空间。
    
    同时，公司将探索图片等互联网内容版权交易市场：人民网近日倡议主流媒体在版权市场的主动担当职责，全国主流媒体应尽快在图片采编、使用和版权交易等方面形成联动机制，我们认为公司旗下“人民图片网”有望承担主导角色，图片版权交易有望为公司增收。根据人民图片网信息，人民网向签约摄影师的分成比例为实际收到授权使用作品净收入的50%，分成比例合理，有利于维护良好的上游摄影师供应生态。
    
    国家互联网排头兵，平台价值潜力深厚：公司作为党媒、党网，横向连接政府、企业、社会团体、学术机构等各类主体，纵向连接世界各国政要和广大普通民众，社交账号（微博、微信公众号、抖音等）矩阵舆论影响力领先，日常传播覆盖2.8亿人次，传播矩阵全面覆盖。公司未来有望通过广泛触达实现更高的平台价值，包括广告收入增长、内容分发收入增长等。
    
    投资建议：人民网作为官媒在舆论引导、舆论监控、知识产权方面将承担重要角色，内容及平台优势凸显，全媒体融合趋势下增收效应显著。我们预测公司2019年至2021年每股收益分别为0.30、0.41和0.55元，4月18日收盘价对应PE依次为88.6x、64.6x、47.7x，给予增持-A建议。",,华金证券,增持-A,[None],2019-04-18,,增持,3711401,pdf_downloads/2019/2019-04-18/603000-人民网（603000）：国家互联网排头兵，内容+平台价值凸显.pdf,603000,人民网,人民网（603000）：国家互联网排头兵，内容+平台价值凸显,"{
    ""forecasts"": [
        {
            ""year"": 2019,
            ""net_profit"": null,
            ""eps"": 0.30,
            ""pe"": 88.6
        },
        {
            ""year"": 2020,
            ""net_profit"": null,
            ""eps"": 0.41,
            ""pe"": 64.6
        },
        {
            ""year"": 2021,
            ""net_profit"": null,
            ""eps"": 0.55,
            ""pe"": 47.7
        }
    ]
}"
陶冶,"事件描述
公司发布 2017 年年度报告，报告期内，公司实现营业收入 14.01 亿
元，同比减少 2.18%；公司实现归母净利润 8940.84 万元，同比减少
15.65%；公司实现扣非后的归母净利润 6999.05 万元，同比增长
554.73%。
 业绩增速下滑放缓，转型智库初显成效
公司的主营业务互联网信息服务稳健增长，虽然移动增值服务仍出现
一定程度下滑，但整体上营业收入与去年同期基本持平。2017 年公
司的归母净利润同比下降了 15.65%，横向对比 2016 年度净利润下降
了 61.35%，公司的净利润下降速度有所放缓。2017 年公司利润下降
的主要原因是公司加大业务转型的投入，营业成本增加了 11.00%，
导致整体毛利率下降了 7.44 个百分点，并且 2016 年处置了微屏软件
股权确认了投资收益 1.60 亿元，导致同期基数较高。因此，剔除非
经常性损益，公司实现扣非后净利润明显提升，公司的盈利能力逐渐
增强。公司向互联网新媒体智库方向的转型初显成效，深度融合了版
权+渠道的业务模式，使得信息服务业务保持稳健增长。
 牵手腾讯歌华有线等，发展短视频和直播业务
2018 年 3 月公司与成腾讯、歌华有线和北广文资歌华共同合资成立
“人民视频有限公司”（暂定名），开展资讯类短视频和直播的制作及
版权交易，其中公司出资 4500 万元，占股 60%。合资公司将打造一
个全新的以新闻资讯、严肃内容为特色的短视频和直播品牌“人民视
频”，拥有了公司的内容生产优势和意识形态导向把关能力，再叠加
腾讯和歌华有线的渠道资源，“人民视频”将成为短视频和直播行业
中的典范。
 盈利预测和投资建议
公司作为国内领先的综合性网络媒体，品牌内容渠道优势显著，业务
转型稳步推进，预计 2018-2020 年 EPS 分别为 0.09 元、0.10 元、0.12
元，首次覆盖，给予“增持”评级。
风险提示:监管政策趋严，新业务拓展不及预期",,财通证券,增持,[None],2018-04-17,,增持,3567648,pdf_downloads/2018/2018-04-17/603000-人民网（603000）：品牌内容优势显著，转型步伐稳步加快.pdf,603000,人民网,人民网（603000）：品牌内容优势显著，转型步伐稳步加快,"{
    ""forecasts"": [
        {
            ""year"": 2018,
            ""net_profit"": null,
            ""eps"": 0.09,
            ""pe"": null
        },
        {
            ""year"": 2019,
            ""net_profit"": null,
            ""eps"": 0.10,
            ""pe"": null
        },
        {
            ""year"": 2020,
            ""net_profit"": null,
            ""eps"": 0.12,
            ""pe"": null
        }
    ]
}"
陈诤娴,"中国视频付费爆在即
    根据艺恩咨询《消费升级时代下的影视内容行业趋势洞察》报告,截至2016年12月,国内视频网站付费用户规模达到7500万,较2015年的2200万增长241%;根据智研咨询数据预计,2017年中国在线用户付费市场规模约为142.1亿元,同比增长47.7%。截至2016年12月付费用户数量仅占同期中国网络视频用户的13.76%,随着视频网络行业付费模式日趋成熟,在线用户付费市场规模仍有较大增长空间。
    公司于新闻端内容优势明显
    公司是由人民日报社控股的传媒文化上市公司,也是国际互联网上最大的综合性网络媒体之一。作为国家重点新闻网站的排头兵与第一家上市的中央网络媒体,日常传播覆盖超过1.3亿人次。
    与腾讯和歌华有线等结成战略合作伙伴关系,主攻资讯类段视频和直播业务
    2018年3月2日,公司与林芝腾讯科技有限公司(以下简称“腾讯”)、北京歌华有线电视网络股份有限公司(以下简称“歌华有线”)和北京市北广文资歌华创业投资中心(有限合伙)(以下简称“北广文资歌华”)四方共同合资成立“人民视频有限公司”(暂定名)(以下简称“合资公司”),开展资讯类短视频和直播的制作及版权交易。其中公司占股60%。合资公司旨在人民日报社媒体融合的方针下,打造全新的视频品牌“人民视频”(暂定名),定位为以新闻资讯、严肃内容为特色的短视频和直播品牌,版权归人民网所有。
    盈利预测与评级
    公司为中国领先的综合性网络媒体,股东背景强大,由人民日报社控股的传媒文化上市公司,也是国际互联网上最大的综合性网络媒体之一。作为国家重点新闻网站的排头兵与第一家上市的中央网络媒体,人民网致力于做最好内容的网站,具备新闻内容的垄断优势。与腾讯和歌华有线合作主攻资讯类段视频和直播业务,为新的业务增长点。我们预估公司2017年、2018年和2019年归母净利润分别为2.20亿、2.35亿和2.51亿,分别对应每股收益0.20元、0.21元和0.23元。首次覆盖给予「买入」的投资评级。
    风险提示
    估值风险,政策风险。",,粤开证券,买入,[None],2018-03-20,,买入,2142198,pdf_downloads/2018/2018-03-20/603000-人民网(603000)：中国领先的综合性网络媒体.pdf,603000,人民网,人民网(603000)：中国领先的综合性网络媒体,"{
    ""forecasts"": [
        {
            ""year"": 2017,
            ""net_profit"": 2.20,
            ""eps"": 0.20,
            ""pe"": null
        },
        {
            ""year"": 2018,
            ""net_profit"": 2.35,
            ""eps"": 0.21,
            ""pe"": null
        },
        {
            ""year"": 2019,
            ""net_profit"": 2.51,
            ""eps"": 0.23,
            ""pe"": null
        }
    ]
}"
许娟,"投资要点：

事件：1）公司2015年实现营收16.05元，同比增长1.31%，净利润2.74亿元、扣非后净利润1.84亿元，同比下滑16.94%和30.20%；2）公司拟每十股派发股利0.75元（含税）。主营业务增速显著下滑，互联网彩票业务暂停导致。

经济环境以及行业格局变化导致广告业务增速下滑，网际星辰成为广告业务新的增长动力：广告业务营收7.27亿元，同比增速27.24%，其中内生营收6.34亿元，同比增长4.62%；网际星辰并表贡献1.22亿元增量。2015年总体经济承压，对广告行业造成负面影响；另外互联网广告市场出现分化，视频等广告形式占比快速提升，挤压门户广告等传统互联网广告市场。我们判断公司来自于门户广告营收将保持5%左右低速增长，网际星辰保持30%-40%高速增长，整体公司广告业务增速保持在10%以上。

移动增值业务未来增速区间落于17%-23%：报告期内移动增值业务实现营收5.22亿元，同比增长21.48%。公司移动增值业务自2010年高速增长以来，已经实现了十四倍增长；2015年增速回归至21.48%，其中微屏软件贡献主要增量。我们判断未来微屏软件仍能维持高速增长，带动整体移动增值业务增速保持在17%-23%。

互联网彩票业务暂停，未来贡献主要业绩弹性：受到互联网彩票业务暂停的影响，报告期内公司互联网彩票业务实现营收4671万元，同比下滑83.65%。财政部发布“国务院关于第一批取消62项中央指定地方实施行政审批事项的决定”，取消省级财政部门对彩票销售机构销售实施方案和彩票销售机构开展派奖的审批。未来彩票政策渐趋明朗，互联网彩票重启将为公司贡献主要的业绩弹性，有望贡献营收三亿元以上，净利润1.5亿元左右。

投资建议：预计2016至2017年EPS为0.25和0.27元，公司是国家建立综合性传媒集团的首选受益标的；且互联网彩票业务重启为贡献净利润增量1.5亿元左右，带来较大业绩弹性，暂时维持“增持”评级。

风险提示：广告业务持续下滑、互联网彩票重启低于预期.",,华泰证券,增持,[None],2016-04-15,,增持,1746350,pdf_downloads/2016/2016-04-15/603000-人民网：互联网彩票重启将提供向上弹性.pdf,603000,人民网,人民网：互联网彩票重启将提供向上弹性,"{
    ""forecasts"": [
        {
            ""year"": 2016,
            ""net_profit"": null,
            ""eps"": 0.25,
            ""pe"": null
        },
        {
            ""year"": 2017,
            ""net_profit"": null,
            ""eps"": 0.27,
            ""pe"": null
        }
    ]
}"
许娟,"投资要点：

公司披露2015年三季报，报告期内实现10.66亿元，同比增长6.45%；实现净利润1.48亿元，扣非后实现净利润1.02亿元，同比下滑17.81%和41.86%。其中三季度实现营收3.41亿元、净利润为7776.32万元，同比下滑10.73%和6.78%。主要是由于1）公司子公司人民澳客暂停互联网彩票服务，导致互联网彩票业务营收大幅下滑；2）广告业务和信息服务业务营收增速放缓、毛利率下降导致。主营业务之中，移动端业务如移动增值业务（人民视讯、古羌科技以及微屏软件）仍保持较快速度增长，另外互动营销服务商网星传媒增速较快。

传统门户广告增长乏力，期待移动互联网广告业务有所突破：根据公司半年报披露，公司上半年广告业务增长主要是前期收购的移动互联网公司网星传媒贡献。根据三季度营收情况判断，三季度乃至于四季度公司新闻门户网站广告业务难有明显增长，毛利率仍有下降可能。传统互联网广告增速明显放缓，而移动端并没有形成明确的趋势，是公司目前面临的主要问题。期待网星传媒带动的移动互联网广告业务贡献利润的同时，能够帮助公司在移动互联网广告领域实现突破。

调整投资思路，聚焦主业：2014年以来，公司放缓了外延投资的节奏。2015年以来1）以换股形式出让古羌科技全部股权2）出让人民澳客持有的联众控股全部股权3）入股网星传媒，显示出公司正在调整投资思路，更加聚焦主业。网星传媒专注于互联网各大通路资源整合营销及特色互动营销，具有一定广告主资源，且有助于人民网移动互联网端广告业务的突破，与公司广告业务更为贴合。

彩票业务重启将带来较大弹性：财政部发布“国务院关于第一批取消62项中央指定地方实施行政审批事项的决定”，取消省级财政部门对彩票销售机构销售实施方案和彩票销售机构开展派奖的审批。未来彩票政策渐趋明朗，彩票业务重启将有望为公司增厚业绩50%左右。

投资建议：暂不考虑互联网彩票业务收入，预计2016至2017年EPS为0.28和0.32元，公司是国家建立综合性传媒集团的首选受益标的，且考虑到互联网彩票业务重启为公司业绩带来较大弹性，暂时维持“增持”评级。

风险点：传统互联网广告投放量下滑、经济疲软使广告投放量低于预期、互联网彩票重启低于预期",,华泰证券,增持,[None],2015-11-02,,增持,1699761,pdf_downloads/2015/2015-11-02/603000-人民网：仍处转型阵痛期，彩票业务有望带来弹性.pdf,603000,人民网,人民网：仍处转型阵痛期，彩票业务有望带来弹性,"{
    ""forecasts"": [
        {
            ""year"": 2016,
            ""net_profit"": null,
            ""eps"": 0.28,
            ""pe"": null
        },
        {
            ""year"": 2017,
            ""net_profit"": null,
            ""eps"": 0.32,
            ""pe"": null
        }
    ]
}"
"许娟,王禹媚","投资要点：

公司披露2015年半年报，报告期内实现营收7.25亿元、同比增长17.07%，实现净利润5827.97万元，同比下滑39.42%。首次出现业绩下滑，主要是由于1）公司子公司人民澳客暂停互联网彩票服务，导致互联网彩票业务营收大幅下滑；2）广告业务和信息服务业务营收增速放缓、毛利率下降导致。

媒体影响力继续加强：报告期内，人民网位列中央重点新闻网站综合传播力首位，上半年网站日均访问者总数同比增长89%，在人民微博、新浪微博、腾讯微博三大平台的微博粉丝总量接近6000万，较去年年末增长超过30%。

入股网星传媒，补充广告销售渠道：根据公司披露，公司2015年1月以2240万元取得网星传媒40%股权。根据公开资料，网星传媒成立于2010年，专注于互联网各大通路资源整合营销及特色互动营销，基于公共场所互联网接入（有线和Wi-Fi）推出完善的信息安全产品及服务解决方案，并布局移动互联网广告增值和O2O业务，目前处于高速发展期。网星传媒具有一定广告主资源，可一定程度补充人民网广告销售渠道的短板。

外延并购支持移动增值业务较快增长：报告期内，公司移动增值业务营收2.75亿元，同比增长44.66%，其中人民视讯贡献6243万元，增长7.23%；古羌贡献7316.5万元，增长30.12%；微屏软件贡献6249万元。前期外延并购标的支撑公司移动增值业务的较快增长。

广告业务短期内难以突破目前体量：报告期内，公司广告业务实现营收2.74亿元，同比增长19.12%，增量主要系收购的网星传媒贡献。由于网星传媒目前尚未实现盈利，因此拖累广告业务整体毛利率，报告期内，广告业务毛利率为40.79%，减少14.31个百分点。传统互联网广告增速明显放缓，而移动端并没有形成明确的趋势，我们认为未来两年，公司广告业务将难以显著突破目前的体量。

投资建议：互联网彩票业务放开时间难以预计，我们暂不考虑互联网彩票业务收入，下调2015年盈利预测至0.28元，下调比例为26%，目前对应PE为55.64X；2016至2017年EPS为0.28和0.32元，若互联网彩票重启，则有望增厚业绩50%左右。公司是国家建立综合性传媒集团的首选受益标的，且考虑到互联网彩票业务重启为公司业绩带来较大弹性，暂时维持“增持”评级。

风险点：传统互联网广告投放量下滑、经济疲软使广告投放量低于预期、互联网彩票重启低于预期",,华泰证券,增持,[None],2015-08-27,,增持,1345355,pdf_downloads/2015/2015-08-27/603000-人民网：互联网彩票暂停导致业绩下滑，期待政策红利以及外延突破.pdf,603000,人民网,人民网：互联网彩票暂停导致业绩下滑，期待政策红利以及外延突破,"{
    ""forecasts"": [
        {
            ""year"": 2016,
            ""net_profit"": null,
            ""eps"": 0.28,
            ""pe"": null
        },
        {
            ""year"": 2017,
            ""net_profit"": null,
            ""eps"": 0.32,
            ""pe"": null
        }
    ]
}"
