author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"施红梅,赵越峰,张维益","核心观点

17年上半年公司营收与净利润分别同比下降37.7%与33.33%，扣非后净利润同比下降18.99%，其中第二季度公司营收同比下降35.52%，净利润同比增长26.03%。地产板块结转项目收入减少和投资收益减少是公司上半年收入与盈利出现明显下滑的主要原因。

受益于国内中高端消费复苏，17年上半年公司服装板块营收与净利润分别同比增长10.67%与12.96%，其中品牌服装业务收入同比增长13.62%，销售网点较年初减少85家，营业面积较年初增加2.3%，库存商品账面价值较年初下降16.72%；线上收入同比增长39.24%。考虑到16年开始公司服装业务在组织架构、渠道、会员体系等方面的一系列变革，我们预计公司品牌服装业务的好转有望贯穿全年。

由于项目开发周期性因素，17年上半年公司地产板块收入与净利润分别同比下降54.24%与60.97%，半年末公司地产预售面积与金额分别同比增长21.03%与78.75%。16年开始土地储备的陆续增加（16年新增土地储备3个，17年设立上海置业开发公司寻找优质项目与新方向）为公司地产业务的后续发展增强后劲。另一方面，结合“产业投资转型”思路与雅戈尔自身资源优势，预计公司未来地产业务将可能向健康产业、养生养老、旅游度假、文化娱乐等现代服务业与房地产开发交叉的细分市场更多聚焦。

17年上半年公司投资业务投资收益同比下降21%，净利润同比下降17.68%。公司投资板块所持股权重估价值巨大，从半年报看，公司持有宁波银行11.64%的股权以及浦发银行0.74%的股权，对应目前市值达到123亿，如果再考虑公司持有的中信股份5%的股权，合计市值已经达到269亿元。我们认为今年银行股的持续上涨与香港市场的回暖有望为公司投资板块带来更大的潜在市值重估空间。

控股股东、金融与产业资本的增持从侧面反映了对公司价值的认可。16年3-4月控股股东合计增持4048万股，考虑现金分红均价9.66元/股；姚建华和朱崇恽夫妇及一致行动人在16年3月举牌，这些都体现了大股东对公司未来继续做大做强的信心以及产业资本对公司价值的认可。回顾历史，公司股价往往在金融地产股大幅跑赢市场阶段（2007年与2015年）有出色的表现，目前公司较低的估值水平与每年4%左右的股息率有望提升公司股价吸引力。

财务预测与投资建议

我们维持对公司2017-2019年每股收益分别为1.12元、1.20元与1.28元的盈利预测，参考男装及地产板块可比公司平均估值，维持公司服装和地产业务17年27倍与10倍PE，投资业务仅考虑宁波银行和浦发银行的123亿元，合计公司估值为430亿元，对应目标价12.01元，维持公司“增持”评级。

风险提示:金融市场调整对投资板块的影响、服装零售和地产持续低于预期等。",,东方证券,增持,[None],2017-09-01,,增持,2040766,"pdf_downloads/2017/2017-09-01/600177-雅戈尔(600177)：品牌服装持续回暖,地产结转收入与投资收益减少拖累中期盈利.pdf",600177,雅戈尔,"雅戈尔(600177)：品牌服装持续回暖,地产结转收入与投资收益减少拖累中期盈利"
"施红梅,赵越峰,张维益","核心观点

17年品牌服装业务受益于中高端消费的持续回暖。受益于国内中高端消费的复苏，17年开始公司品牌服装业务收入与盈利增速开始企稳好转，预计上半年服装销售增速在双位数左右，考虑到16年开始公司服装业务在组织架构、渠道、会员体系等方面的一系列变革，我们预计公司品牌服装业务的好转有望贯穿全年。

地产业务增加土地储备，为持续发展提供保障。雅戈尔地产业务由于项目开发周期性因素，今年可能面临一定压力，但16年开始土地储备的陆续增加（16年新增土地储备3个，17年设立上海置业开发公司寻找优质项目与新方向）为公司地产业务的后续发展增强后劲。另一方面，结合“产业投资转型”思路与雅戈尔自身资源优势，预计公司未来地产业务将可能向健康产业、养生养老、旅游度假、文化娱乐等现代服务业与房地产开发交叉的细分市场更多聚焦。

投资业务潜在的股权重估价值巨大。从一季报来看，公司持有宁波银行11.64%的股权以及浦发银行0.74%的股权，对应目前市值达到123亿，如果再考虑公司持有的中信股份0.38%的股权，合计市值已经达到271亿元。近期银行股的持续上涨与香港市场的回暖为公司投资板块带来更大的潜在市值重估空间。

控股股东、金融与产业资本的增持从侧面反映了对公司价值的认可。16年3-4月控股股东合计增持4048万股，考虑现金分红均价9.66元/股；姚建华和朱崇恽夫妇及一致行动人在16年3月举牌，这些都体现了大股东对公司未来继续做大做强的信心以及产业资本对公司价值的认可。回顾历史，公司股价往往在金融地产股大幅跑赢市场阶段（2007年与2015年）有出色的表现，目前公司较低的估值水平与每年4%左右的股息率有望提升公司股价吸引力，近期银行与地产股的持续上涨与公司投资业务转型的落地有望成为公司股价进一步上升的催化剂。

财务预测与投资建议

由于转增后股本的增加，我们预计公司2017-2019年每股收益分别为1.12元、1.20元与1.28元的盈利预测，参考男装及地产板块可比公司平均估值，维持公司服装和地产业务17年27倍与10倍PE，投资业务仅考虑宁波银行和浦发银行的123亿元，合计公司估值为430亿元，对应目标价12.01元，维持公司“增持”评级。

风险提示

金融市场调整对投资板块的影响、服装零售和地产持续低于预期等。",,东方证券,增持,[None],2017-07-27,,增持,2020655,"pdf_downloads/2017/2017-07-27/600177-雅戈尔(600177)：市值低估,地产业务与金融股权带来更大弹性.pdf",600177,雅戈尔,"雅戈尔(600177)：市值低估,地产业务与金融股权带来更大弹性"
"施红梅,赵越峰,张维益","核心观点

公司16年营收同比增长2.53%，净利润同比下降15.71%，扣非后净利润同比增长8.41%，服装板块与投资业务盈利的下滑是公司全年盈利增速不及收入增长的主要原因，第四季度公司营收同比增长102.65%，净利润同比下降66.14%，17年一季度由于地产板块结转项目收入减少和投资收益减少，公司营收与净利润分别同比下降38.93%与48.45%。16年公司拟每10股派现5元，转增4股。

服装板块零售低迷和产业升级带来短期投入较大导致盈利明显下降。16年公司服装板块营业收入同比增长0.05%，净利润同比下降15.97%，主要是由于毛利率降低、装修及折旧、离职补偿（生产基地搬迁）等支出增加原因，其中品牌服装业务收入同比增长0.97%，销售网点较年初减少91家，线上渠道继续保持高速增长，全年销售收入同比上升93.74%。17年一季度公司品牌服装业务收入同比增长14.43%，与代工及其他业务合计净利润同比增长5.17%，销售网点净减100家。

收入与毛利率的上升带动16年地产板块盈利提升。16年公司地产板块收入同比增长4.68%，净利润同比增长47.27%，年末公司地产预售面积同比增长7.31pct，金额同比降低17.59%。17年一季度由于项目开发周期性因素，地产板块收入与净利润分别同比下降51.16%与63.44%。

16年公司投资业务实现投资收益32.25亿元，同比下降6.18%，其中变更联创电子会计核算方法和出售长丰热电股权带来投资收益13.69亿元，处置可供出售金融资产获益5.8亿元，但由于上年同期纺织城土地收储收入的基础原因，投资业务净利润同比降低39.24%。17年一季度投资业务投资收益与净利润分别同比下降37.97%与38.58%。延续”金融投资向产业投资转型“思路，我们预计公司未来投资业务将逐步向科技新能源、养生养老、旅游等长期前景看好的产业聚焦。

控股股东、金融与产业资本的增持从侧面反映了对公司价值的认可。16年3-4月控股股东合计增持4048万股，考虑现金分红均价14.02元/股；姚建华和朱崇恽夫妇及一致行动人在3月举牌；公司16年4月定增已经解禁，考虑现金分红成本为14.28元/股（目前仍倒挂），这些都体现了大股东对公司未来继续做大做强的信心以及产业资本对公司价值的认可。目前公司较低的估值水平与每年4%左右的股息率有望提升公司股价吸引力，服装业务的产业升级创新、地产业务转型养老、投资业务“战略+财务”并举的策略等都将为公司中期股价提供空间。

财务预测与投资建议

根据年报，我们上调公司未来3年期间费用率预测，预计公司2017-2019年每股收益为1.57元、1.69元与1.79元（原预测2017-2018年为1.73元与1.81元），参考男装及地产板块可比公司平均估值，给予公司服装和地产业务17年27倍与10倍PE，投资业务仅考虑宁波银行和浦发银行109亿元，合计公司估值为416亿元，对应目标价16.26元，维持公司“增持”评级。

风险提示：金融市场调整对投资板块的影响、服装零售和地产持续低于预期等。",,东方证券,增持,[None],2017-05-04,,增持,1976311,pdf_downloads/2017/2017-05-04/600177-雅戈尔(600177)：一季度起品牌服装业务呈现复苏态势.pdf,600177,雅戈尔,雅戈尔(600177)：一季度起品牌服装业务呈现复苏态势
"施红梅,赵越峰,张维益","核心观点

2016年前三季度公司营业收入同比下滑14.95%，净利润同比增长1.64%，扣非后净利润同比增长18.01%，其中第三季度单季公司营业收入和净利润分别同比减少49.33%和32.74%，业绩增速环比上半年下滑明显。

服装板块零售低迷和产业升级带来短期投入较大导致盈利明显下降。前三季度公司服装板块营业收入同比减少5.50%，净利润同比大幅下降42.45%，主要是由于收入和毛利率降低、租赁装修及折旧等经营费用增加等原因。其中品牌服装业务收入同比下降5.01%，销售网点较年初减少113家，代工及其他业务收入同比下降13.53%。线上渠道继续保持高速增长，前三季度销售收入同比上升127.59%。前三季度主品牌外的四个子品牌合计收入增速9.25%，占比总收入提升1.36pct。

毛利率上升和部分项目结算投资收益增加带动地产板块盈利提升。前三季度公司地产开发业务营业收入同比下降17.88%，净利润同比增长50.35%，主要是由于合作项目带来的投资收益以及毛利率提升。其中房地产销售收入同比下降18.86%，旅游及其他业务收入同比增长13.18%。由于项目周期性因素，公司地产预售面积和金额均有不同程度的下降。

投资业务继续贡献稳定盈利。前三季度公司投资业务实现投资收益29.19亿元，同比增长40.21%。其中变更联创电子会计核算方法和出售长丰热电股权带来投资收益12.49亿元，处置可供出售金融资产获益4.62亿元，但由于上年同期纺织城土地收储收入以及本期利息费用增加等原因，投资业务净利润同比降低12.95%。延续”金融投资向产业投资转型“思路，我们预计公司未来投资业务将逐步向科技新能源、养生养老、旅游等长期前景看好的产业聚焦。

控股股东、金融与产业资本的增持从侧面反映了对公司价值的认可。16年3-4月控股股东合计增持4048万股，考虑现金分红均价14.02元/股；姚建华和朱崇恽夫妇及一直行动人在3月举牌，公司在4月完成定增，考虑现金分红成本为14.28元/股，锁定1年，这些都体现了大股东对公司未来继续做大做强的信心以及产业资本对公司价值的认可。目前公司较低的估值水平与每年3-5%左右的预期股息率进一步提升了公司股价吸引力，服装业务的产业升级创新、地产业务转型养老、投资业务“战略+财务”并举的策略等都将为公司中期股价提供空间。

财务预测与投资建议

根据三季报，我们下调公司未来3年收入预测，上调投资收益预测，预计公司2016-2018年每股收益分别为1.72元、1.73元与1.81元（原预测为1.64元、1.70元与1.74元），参考男装及地产板块可比公司平均估值水平，给予公司服装和地产业务17年29倍与10倍PE估值，投资业务仅考虑宁波银行和浦发银行的106亿元，合计公司估值为388亿元，对应目标价15.17元，维持公司“增持”评级。

风险提示：金融市场调整对投资板块的影响、服装零售和地产持续低于预期等。",,东方证券,增持,[None],2016-11-02,,增持,1878495,pdf_downloads/2016/2016-11-02/600177-雅戈尔(600177)：服装业务仍在调整，地产业务和投资收益保障业绩稳定增长.pdf,600177,雅戈尔,雅戈尔(600177)：服装业务仍在调整，地产业务和投资收益保障业绩稳定增长
"施红梅,赵越峰,张维益","核心观点

公司2016年上半年营业收入同比下降0.53%，净利润同比增长5.78%，扣非后净利润同比增长36.47%，地产业务净利润的大幅提升是公司上半年扣非后净利润增速表现出色的主要原因。

品牌服装业务伴随行业有所调整。市场需求低迷与去库存导致公司上半年服装板块收入与净利润分别同比下降7.20%与24.91%，其中品牌服装业务收入同比下降7.20%，销售网点净减7家，毛利率同比下降2.85个百分点。90%左右的服装直营比重为公司后续O2O转型奠定良好基础。

地产业务受益于热点城市需求的集中释放，稳健去化。16年上半年公司地产板块收入同比增长2.29%，由于结算项目毛利率的大幅提升，净利润同比大幅增长163.34%，半年末公司房产预收款为59.69亿元。

投资板块继续贡献稳定盈利，上半年公司投资业务实现净利润13.90亿元，其中变更联创电子会计核算方法带来投资收益12.42亿元，公司前期在创投方面的积极布局以及股权投资浮盈为后续经营创造了良好的保障，延续“金融投资向产业投资转型”思路，我们预计公司未来投资业务将逐步向科技新能源、养老养生、旅游等长期前景看好的产业聚焦。

控股股东、金融与产业资本的增持从一个侧面反映了对公司现有价值的认可。16年3-4月间控股股东合计增持4048万股，考虑现金分红均价14.02元/股；姚建华和朱崇恽夫妇及其一致行动人在3月举牌，同时公司在4月完成定增，考虑现金分红成本为14.28元/股，锁定期1年，这些都体现了大股东对公司未来继续做大做强的信心以及产业资本对公司价值的认可。目前公司较低的估值水平与每年3%-5%左右的预期股息率进一步提升了公司股价的吸引力，服装品牌业务的稳健发展和隐含价值、地产业务向养老的转型、投资方面“战略+财务”并举的策略等都将为公司中期股价提供空间。

财务预测与投资建议

我们维持对公司2016-2018年每股收益分别为1.64元、1.70元与1.74元的盈利预测，参考男装及地产板块可比公司平均估值水平，维持公司纺织服装和地产业务16年34倍和11倍PE估值，投资方面仅考虑宁波银行和浦发银行的95亿元市值，合计公司估值为474亿元，对应目标价18.53元，维持公司“增持”评级。

风险提示

金融市场调整对投资板块的影响，服装零售和地产持续低于预期等。",,东方证券,增持,[None],2016-09-02,,增持,1852310,pdf_downloads/2016/2016-09-02/600177-雅戈尔(600177)：地产去化加速和投资收益带动中报业绩增长.pdf,600177,雅戈尔,雅戈尔(600177)：地产去化加速和投资收益带动中报业绩增长
"马莉,陈腾曦","核心观点：

1．事件

雅戈尔发布2016年半年报：

2016年H1，雅戈尔实现营业收入86.67亿元，较上年同期降低0.53%；实现归母净利润30.71亿元，较上年同期增长5.78%；服装板块实现净利润3.95亿元，较上年同期降低24.91%。房地产板块实现净利润11.69亿元，较上年同期增长163.34%。投资板块实现净利润13.90亿元，较上年同期降低28.70%。

2．我们的分析与判断

（一）服装板块：

1、受大环境及暖冬影响，营业收入出现短期下滑，电商增长成亮点

受到宏观经济形势影响，公司各渠道的景气度与其他品牌服装公司趋同，服装板块实现营业收入22.14亿元，较上年同期降低7.20%。实现净利润3.95亿元，较上年同期降低24.91%。公司自营网点、商场网点分别实现营业收入8.88亿元、9.61亿元，较上年同期降低6.51%、7.01%。受暖冬影响，春节前后的降幅最大，之后逐渐收窄，6月份的销售收入已基本与去年同期持平；公司2016年H1线上渠道继续保持增长，于6月底完成对电商平台的全面接管，实现营业收入4,560.49万元，较上年同期增长113.63%。

2、受去库存影响，毛利率略有下降，开新店导致刚性费用增加，但公司持续推进大店战略颇有收效

公司适度降价去库存，服装板块存货16.87亿元，较年初减少1.93亿元，毛利率降至65.08%，减少2.85pp。公司累计投入5.06亿元推进“大店战略”，但由于新开店铺尚在建设期、培育期，刚性费用持续增长，2016H1公司销售费用7.47亿元，同比上升3.55%，管理费用4.03亿元，同比下降2.45%。

公司在不利环境下积极推进大店战略依然取得不错效果：

（1）截止16年上半年，雅戈尔各品牌网点个数3,230个，较同期增加4.94%。其中直营网点数量为2,770个，包括自营网点945个和商场网点1,825个。

（2）会员数量稳步发展，消费占比逐年提高。截至报告期末，雅戈尔龙马·汇会员达到257.09万人，较年初增加47.20万人；会员消费金额14.71亿元，较上年同期增长45.84%；会员消费占比达54.28%，较年初增加7.96个百分点。

（3）坚持走品牌运营的道路，子品牌的发展体系渐为成熟。报告期内，HartSchaffnerMarx、GY、HANP、MAYOR四个子品牌合计实现营业收入2.30亿元，平均增幅8.66%；销售占比10.92%，较上年同期增加1.59pp。

（二）房地产板块：地价高涨，提升毛利率，推动公司净利润提高。

（三）投资板块：继续由金融投资向产业投资转型，与中信股份开展战略性合作

3．投资建议

公司当前市值为389亿元，考虑到汉麻产业会计核算方法变更以及房地产利润的大幅上升，公司16年净利润仍有望与15年持平达到40亿，对应PE9.7X。

公司在服装主业上凭借出色的产品品质和口碑以及主动调整门店存货的战略有望继续稳定发展，房地产业务则收益于近期房价的大幅上涨16年业绩有望出现大幅上升，在投资业务上与中信股份的合作在今年有望全面展开。公司作为行业内的白马公司估值较低，股息率高（接近5.3%），各项业务稳定推进，对于追求分红型资金，我们继续维持“推荐”评级。

4．风险提示

服装行业需求不振，房地产及资本市场出现波动。",,银河证券,推荐,[None],2016-09-01,,买入,1853013,"pdf_downloads/2016/2016-09-01/600177-雅戈尔(600177)：服装主业去库存同时稳步发展大店会员战略,房地产市场火热带动上半年整体业绩.pdf",600177,雅戈尔,"雅戈尔(600177)：服装主业去库存同时稳步发展大店会员战略,房地产市场火热带动上半年整体业绩"
"施红梅,赵越峰","核心观点

公司15年营业收入同比下降8.65%，净利润同比增长38.23%，扣非后净利润同比增长58.78%，纺织城地块收储带来的一次性5.8亿元利润与地产业务盈利的大幅增长是公司全年盈利增速表现出色的主要原因。16年一季度公司销售收入同比下降11.41%，地产项目毛利率的大幅提升与联创电子会计核算变更推动公司净利润同比增长76.30%。

15年公司服装板块表现相对稳健，未来O2O转型具备良好基础，15年收入小幅增长1.48%，净利润持平，其中品牌服装业务收入小幅增长2.43%，销售网点净增155家，营业1年以上老店的同店增长4.23%，16年一季度市场需求低迷与去库存导致品牌服装业务收入与净利润分别同比下降12.03%与28.12%，销售网点净减35家。90%左右的服装直营比重为公司后续O2O转型奠定良好基础。

地产业务持续回笼资金，稳健去化。15年公司地产板块收入同比下降11.76%，净利润同比大幅增长734%（14年计提了大量减值准备），16年一季度公司地产板块收入同比下降11.04%，受益于结算项目毛利率的提升，净利润同比大幅增长201%，一季度末房产预收款为68.23亿元。

投资板块继续贡献稳定盈利，15年公司投资业务实现净利润27.27亿元，同比增长12.46%，16年一季度投资业务实现净利润10.71亿元，同比增长41.39%，公司前期在创投方面的积极布局以及股权投资浮盈为后续经营创造了良好的保障，延续“金融投资向产业投资转型”思路，我们预计公司未来投资业务将逐步向科技新能源、养老养生、旅游等长期前景看好的产业聚焦。

控股股东、金融与产业资本的增持从一个侧面反映了对公司价值的认可。16年3-4月间控股股东合计增持4048万股，均价14.82元/股；姚建华和朱崇恽夫妇及其一致行动人在3月举牌，同时公司4月刚完成定增，定增价15.08元/股，锁定期1年，这些都体现了大股东对公司未来继续做大做强的信心以及产业资本对公司价值的认可。目前公司较低的估值水平与每年5%左右的预期股息率进一步提升了公司股价的吸引力，服装品牌业务的稳健发展和隐含价值、地产业务向养老的转型、投资方面“战略+财务”并举的策略等都将为公司中期股价提供空间。

财务预测与投资建议

考虑到公司定增完成后股本的增加，我们预计公司2016-2018年每股收益分别为1.64元、1.70元与1.74元（原预测2016-2017年每股收益分别为1.97元与2.06元），参考男装及地产板块可比公司平均估值水平，分别给予公司纺织服装和地产业务16年34倍和11倍PE估值，投资方面仅考虑宁波银行和浦发银行的86亿元市值，合计公司估值为465亿元，对应目标价18.18元，维持“增持”评级。

风险提示：金融市场调整对投资板块的影响，服装零售和地产持续低于预期等。",,东方证券,增持,[None],2016-05-09,,增持,1753844,pdf_downloads/2016/2016-05-09/600177-雅戈尔：稳健中酝酿转型创新，投资价值被低估.pdf,600177,雅戈尔,雅戈尔：稳健中酝酿转型创新，投资价值被低估
马莉,"年报及一季报点评：

1.雅戈尔发布2015年报：

2015年公司实现营业收入145.27亿元，同比下降8.65%，实现归母净利润43.71亿元，同比增长38.23%。2015年公司每10股派发8元现金股利，派息率为40.82%；按照当前股价计算，股息率为5.27%。

2.雅戈尔发布2016年一季报：

2016年第一季度，公司实现营业收入55.58亿元，同比下降11.41%；实现归母净利润24.47亿元，同比增长76.30%；实现扣非后净利润12.31亿元，同比上升63.27%。一季度净利润上升主要由于（1）结算的房产项目平均毛利率较去年同期大幅上升，实现扣费净利润10.39亿元，同比上升213.22%；（2）以及2016年雅戈尔对联创电子的投资由长期股权投资变更为可供出售金融资产，产生投资收益12.42亿元，占2016一季度投资收益的78.01%。

二、我们的观点

1.品牌服饰板块：推进O2O战略和全产业链布局，去库存致使毛利率下滑。

在国内经济增速放缓，服装类零售消费持续下滑的大背景下，雅戈尔布局大会员全渠道运营模式，积极推进“O2O平台建设”。公司2015年品牌服装收入达到42.33亿元，同比提升2.43%。由于消费市场不景气，在去库存压力下产品降价，毛利率有所下滑，2015年品牌服装毛利率为64.88%，比去年减少3.73pp，主要是主品牌雅戈尔毛利率下降了3.70pp至65.17%。

2016年一季度由于市场需求的持续疲软以及公司去库存的继续，服装类实现收入0.32亿元，净利润2.08亿元，分别同比下滑12.03%以及28.12%。

三、投资建议：

公司当前市值为388亿元，考虑到汉麻产业会计核算方法变更以及房地产利润的大幅上升，公司16年净利润仍有望达到40亿，对应PE9.7X。公司于今年4月14日完成定增，增发价15.08元/股，增发金额50亿元，目前（4月29日）股价为15.18元/股。

公司在服装主业上凭借出色的产品品质和口碑以及主动调整门店存货的战略有望继续稳定发展，房地产业务则收益于近期房价的大幅上涨16年业绩有望出现大幅上升，在投资业务上与中信股份的合作在今年有望全面展开。公司作为行业内的白马公司估值较低，股息率高（超过5%），业务稳定，我们继续维持“推荐”评级。",,银河证券,推荐,[None],2016-05-03,,买入,1753611,pdf_downloads/2016/2016-05-03/600177-雅戈尔2015年报及2016一季报点评：全渠道战略下服装业绩企稳，地产开发及产业投资推动利润快速增长.pdf,600177,雅戈尔,雅戈尔2015年报及2016一季报点评：全渠道战略下服装业绩企稳，地产开发及产业投资推动利润快速增长
"马莉,杨岚","投资要点：

公司披露半年报：（1）上半年收入87.13亿，同比增15.0%；营业利润27.19亿，同比增19.6%；净利润29.03亿，同比增58.7%；扣除非经常性损益（主要由12.22亿的理财收益和7.69亿长期资产处置收益构成）后净利润14.54亿，同比增8.0%；净利润率从上年同期的24.2%提升至33.3%。其中服装板块收入24.3亿，同比降1.1%；净利润5.08亿，同比增21.8%。地产板块收入62.03亿，同比增22.9%；净利润4.44亿，同比降18.0%。投资业务收益18.77亿，同比增33.2%，净利润19.50亿，同比增124.7%；（2）15Q2收入24.39亿，同比降32.0%；营业利润18.33亿，同比增307.3%；净利润15.14亿，同比增321.3%；销售净利润率从上年同期42.0%上升至62.1%。

渠道整合升级成效显现、直营渠道坪效提升，多品牌战略有效实施、新品牌继续发力。2015年H1服装主业实现收入24.3亿元（-1.06%），净利润5.08亿元（+21.81%）。其中品牌服装实现收入22.72亿元（+4.52%），服装代工实现收入0.88亿元（-9.54%），纺织业务收入0.43亿（-71.12%）。截止到6月，公司渠道共3078家，较年初减少4家，其中直营店铺2605家（专卖店867家、商场店1738家），较年初减少15家，直营收入占总收入的87%，经过公司对渠道的优化升级，终端渠道的坪效有所提升，专卖店（收入占比42%）坪效同比增5%（其中24家销售规模在500万以上的店铺坪效同比提升10%），商场店铺（收入占比45%）坪效提升10%。公司积极运用超级导购APP等完善O2O闭环，上半年线上渠道销售2127万，同比增58%。HartSchaffnerMarx、GY、HANP、MAYOR四个新兴品牌收入占比大幅提升。上半年四品牌收入2.12亿，同比增38.34%，销售占比提升由去年同期的7%至9.33%，公司多品牌战略得到有效实施。上半年品牌服装毛利率提升1.41个百分点至67.93%，主要受益于销售单价提升（同比增10%）。我们预计2015年公司收入保持个位数增长，净利润增速可达15%，2015年服装主业净利润贡献约7.5亿。

地产业务规模有所下降，未来有望转型养老地产。2015年H1地产板块收入62.03亿，同比增22.9%，受土地、人工等刚性成本及产品结构组合的影响，交付结算的项目毛利率大幅降低9.4个百分点至19.2%。净利润4.44亿，同比降18.0%。上半年实现地产预售收入40.72亿，同比增14.43%，已完成年初计划预售金额的67.87%。截至期末预收款99亿；在建项目9个，在建面积137.94万平方米，储备项目6个，拟开发面积88万平米。考虑到后续推到第一期土地收购款5亿元，预计2015年公司地产业务贡献12亿利润（含纺织城地块5.7亿）。

财务投资向产业投资过渡、布局大金融、大健康、综合性集团等领域。截止到6月底公司持有可出售二级市场金融股权对应当前市场价值78亿，长期投资股权资产62亿，持有的大量创投基金有望通过新三板变现。(1)上半年不断减持，产生投资收益11.29亿，锁定净利润9.3亿。持有金融资产对应当前市值A股约69.4亿元（浦发银行43亿，金正大14.1亿，创业软件9.3亿、广博股份2.6亿等），港股中信股份市值约9.1亿人民币（另外，公司7.17日公告投资119.86亿港元，认购中信股份8.59亿股，占3.78%股份，对应当前市值158.1亿港元、约130亿人民币）。(2)长期股权投资中，持有宁波银行11.11%的股权，对应当前市值49.8亿；投资30亿认购北京国联能源产业投资基金、参与中石油西三线项目；作为第一大股东持有汉麻产业30%股权对应市值12.53亿。（3）创投基金有望通过新三板变现。公司持有金田铜业3%股权（投资成本1.33亿）、浙商财险21%股权（投资成本3.58亿）、银联商务4.99%股权（投资成本3.89亿）、中欧创投15%股权（投资成本495万元）、中信夹层投资中心1.96%股权（投资成本1亿）、绵阳科技城产业投资基金2.22%股权（投资成本2亿）、无锡领峰创业投资41.07%股权（投资成本7243万）、向阳渔港11.27%股权（投资成本3384万）等合计近13亿的初始投资。

公司在3月份设立10亿医疗健康产业基金（投向：成长期/扩张期的股权投资、行业领头企业的并购和整合、优质上市公司的定增项目、国有大中型企业混合所有制（含公立医院）的改制重组、具有突破性或革命性技术和商业模式的VC项目），结合其创业软件二股东的背景、以及公司过去两年对养老地产探索，未来在大养老健康领域将会有相关投资会逐步落地，结合服装积累的几百万粉丝、有望打造其大健康的闭环。其中，创业软件作为医疗信息化龙头创业软件3月27日IPO过会，其2014年净利润4758万，拥有150家三级甲等医院客户，在公共卫生信息化服务领域累计为全国188家县级及以上的卫生局提供了服务。

维持推荐评级。按照各板块测算，我们预计2015年服装板块收入保持个位数增长，净利润增速在15%左右（7.5亿）、地产板块净利润约12亿（含纺织城5.7亿），投资板块收益锁定宁波银行收益7.1亿，以及可供出售金融资产已变现9.3亿，预计公司2015年净利润同比增15%，约在36.3亿。公司当前市值291亿，从资产负债结构看，中报总资产460亿，其中可供出售金融资产125亿（当前市值78亿），长期股权投资65.7亿（当前市值62亿），公司呈现出强周期的特点。考虑到公司高分红的属性，以及积极参与创投基金、布局大健康养老产业，维持推荐评级。

股价催化剂：健康养老项目的落地参与创投基金通过新三板和IPO变现等。",,银河证券,推荐,[None],2015-09-02,,增持,1348194,pdf_downloads/2015/2015-09-02/600177-雅戈尔：服装板块渠道整合成效明显，积极参与创投、布局大健康养老产业.pdf,600177,雅戈尔,雅戈尔：服装板块渠道整合成效明显，积极参与创投、布局大健康养老产业
庄沁,"2015年中报营收增长，净利润大涨58.71%。公司是国内男装行业的龙头企业，掌握完整的产业链，上游已延伸至棉纱种植及研发领域，并形成了“自产+代工”的供应体系。上半年公司实现营业收入87.13亿元，同比+14.99%；实现净利润29.03亿元，同比+58.71%。主要原因有两点：投资业务实现净利润19.50亿元，同比+124.70%；纺织城土地被宁波市鄞州区土地储备中心收储，实现净利润5.77亿元。

分行业看，品牌服装和地产开发的营业收入分别为22.72和60.37亿元，同比+4.52%和+24.79%。主要原因分别是有效控制折扣提升产品毛利率进而提高利润和楼市调控政策松绑，全国房地产市场企稳。

分产品看，品牌衬衫、西服、裤子、上衣的营业收入分别为7.21、4.59、3.31和7.00亿元，同比-1.23%、-7.00%、+14.91%和15.30%。

盈利能力下滑，地产拖累业绩。上半年毛利率31.21%，同比-20.85%，主要是地产开发成本增加41.19%。

分行业看，品牌服装和地产开发的毛利率分别为67.93%和19.16%，同比+1.41%和-9.40%。房地产业务毛利下滑的主要原因是土地、人工等刚性成本的增加以及产品结构的改变。

分产品看，品牌衬衫、西服、裤子、上衣的毛利率分别为71.95%、61.07%、70.17%和67.93%，同比+0.55%、+1.66%、+0.19%和+3.18%，主要原因是规模效应体现，盈利能力和品牌价值提升。

重点布局大金融、大健康、综合性集团等领域。公司上半年投资业务实现收益18.78亿元，同比+33.19%，公司投资方向由财务投资向产业投资过渡，在股东大会授权的规模内对可供出售金融资产进行结构调整。报告期内公司董事会同意投资100,000万元设立雅戈尔健康产业基金。截止报告期末，公司投资300,000万元认购北京国联能源产业投资基金，参与中石油的西气东输三线管道项目，并投资120,667.48万元参与8个PE及其他项目。

盈利预测。2015年H1服装零售额低速增长，公司品牌服装业务稳步推进；地产市场高库存有所下降，房价环比回升，但尚未恢复同期水平。考虑到下半年服装行业缓慢回暖与地产行业的企稳，我们预计公司15-17年的EPS分别为1.72、1.82和2.03元，对应PE分别为7.67、7.26和6.50倍。给予“买入”评级。

风险提示。零售终端需求低迷、地产房价下跌等。",,东吴证券,买入,[None],2015-09-02,,买入,1348015,pdf_downloads/2015/2015-09-02/600177-雅戈尔：稳步推进服装业务，投资大健康和能源产业.pdf,600177,雅戈尔,雅戈尔：稳步推进服装业务，投资大健康和能源产业
