author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"黄文鹤,张骁瀚,陈佳裕",路凯股权出售已完成交割，中美关系阶段性缓和公司Q4经营有望改善事件概述：2025年10月27日，公司发布2025三季度报，10月21日，公司出售路凯国际25%股权已完成交割，预计带来16.5亿元的投资收益，得益于中美关系阶段性缓和，公司Q4经营有望改善。2025Q1-3，1）收入端：公司实现营收750亿元，同比-13%，营收下滑主要受运价下降影响；毛利为42.9亿元，同比+2.4%，毛利率为5.7%，同比+0.8pct。2）利润端：实现归母净利润26.8亿元，同比-5%；归母净利率3.6%，同比+0.3pct。扣非归母净利20.8亿元，同比-19.6%，扣非归母净利率2.8%，同比-0.2pct。3）投资收益：16.3亿元，同比+11.2%；4）其他收益：12.6亿元，同比-20.3%。单季度看，2025Q3，1）收入端：公司实现营收245亿元，同比-17%；毛利为11.8亿元，同比-7.7%%，毛利率为4.8%，同比+0.5pct。2）利润端：实现归母净利润7.3亿元，同比-17%；归母净利率3.0%，同比持平。扣非归母净利6.9亿元，同比-13.5%，扣非归母净利率2.8%，同比+0.1pct。3）投资收益：4.6亿元，同比-5.9%；4）其他收益：5.6亿元，同比-1.9%。2025年10月21日，公司出售路凯国际25%股权已完成交割，本次交易预计带来投资收益（扣除相关交易费用）约人民币16.5亿元。分业务结构看：1）货运代理：2025Q1-Q3海运代理/空运通道/铁路代理/船舶代理/库场站服务业务量分别为1179.3万标准箱/66.4万吨/39.2万标准箱/5.59万艘次/2154.7万吨，同比+7.56%/-11.82%/-12.5%/+16.74%/+6.9%。单季度看，2025Q3海运代理/空运通道/铁路代理/船舶代理/库场站服务业务量分别为388.1万标准箱/20.6万吨/17.8万标准箱/1.96万艘次/876.0万吨，同比+10.41%/-6.36%/+8.54%/+20.52%/+1.15%。2）专业物流：2025Q1-Q3合同物流（含冷链）/项目物流/化工物流业务量分别为3823.8万吨/529.5万吨/356.2万吨，同比+2.06%/+2.10%/+6.30%。单季度看，2025Q3合同物流（含冷链）/项目物流/化工物流分别为1402.0万吨/188.1万吨/152.9万吨，同比+8.04%/-0.16%/+2.48%。3）电商业务：2025Q1-3物流电商平台实现291.7万标准箱，同比+55.41%；跨境电商物流0.46亿票，同比-72.66%；2025Q3物流电商平台实现101.9万标准箱，同比+67.87%。投资建议：我们预计公司2025-2027年营业收入分别为1103、1145、1195亿元，归母净利润分别为42.0、44.6、46.8亿元，当前股价对应PE分别为12、11、10倍。公司为综合物流龙头，重视AI赋能和数字化转型，海外网络布局持续推进，看好公司长期发展。维持“推荐”评级。风险提示：集运运价波动风险、地缘政治风险、汇率波动风险。,,民生证券,推荐,[None],2025-10-31,,增持,7103757,pdf_downloads/2025/2025-10-31/601598-中国外运（601598）：路凯股权出售已完成交割，中美关系阶段性缓和公司Q4经营有望改善.pdf,601598,中国外运,中国外运（601598）：路凯股权出售已完成交割，中美关系阶段性缓和公司Q4经营有望改善
"胡光怿,杨蕊",事件：中国外运公布2025年三季报。公司营业收入为750.4亿元，同比下降12.6%；归母净利润为26.8亿元，同比下降5.2%；经营现金流净额为5.82亿元，同比增长40.2%。公司持续聚焦应收账款和经营现金流管理，实现经营活动产生的现金流量净额同比增长。代理板块整体利润水平相对稳定。2025年前三季度，公司海运代理1179.3万标准箱，上年同期1096.4万标准箱；公司空运通道业务量66.4万吨（含跨境电商物流5.5万吨），上年同期75.3万吨（含跨境电商物流17.7万吨）；铁路代理39.2万标准箱，上年同期44.8万标准箱；船舶代理55936艘次，上年同期47917艘次；库场站服务2154.7万吨，上年同期2015.6万吨。短期看，单箱利润水平可能受到市场竞争加剧、上游成本控制向物流企业挤压等原因存在一定波动；从长期看，公司仍将通过延长服务链条努力提升单箱利润水平。合同物流市场整体承压。2025年前三季度，公司合同物流3823.8万吨，上年同期3746.6万吨；项目物流529.5万吨，上年同期518.6万吨；化工物流356.2万吨，上年同期335.1万吨。目前国内整体有效需求尚显不足，消费拉动作用尚未完全释放。今年公司合同物流新签协议价格仍有下滑，而部分成本刚性，导致收入和分部利润同比下滑。未来行业的复苏很大程度上取决于国内有效需求的恢复速度。发行REITs及出售陆凯国际25%股权。2025年7月29日，中银中外运仓储物流REIT在上海证券交易所上市。该REIT底层资产为分布于长三角、京津冀及成渝经济圈核心节点的6处仓储设施，本次上市帮助中国外运实现13.11亿元存量资产变现，预计将增加公司2025年度净利润约3.9亿元。联营公司方面，中国外运下属招商局船务企业有限公司，已通过境外股权协议转让方式出售所持路凯国际25%股权。截至2025年10月21日，本次交易交割的先决条件已全部达成并完成交割，预计将带来扣除相关交易费用后的投资收益约16.5亿元。盈利预测与投资建议。我们预计公司2025-2027年营业收入分别为1087亿元、1122.3亿元和1163.3亿元，归母净利润分别为39.7亿元、41亿元、41.7亿元，EPS分别为0.55元、0.56元、0.57元，对应动态PE分别为11倍、11倍、11倍，维持“买入”评级。风险提示：政策变动风险、行业竞争加剧风险、宏观经济增长或不及预期等。,,西南证券,买入,[None],2025-10-30,,买入,7037589,pdf_downloads/2025/2025-10-30/601598-中国外运（601598）：经营性现金流大幅改善，盘活资产优化结构.pdf,601598,中国外运,中国外运（601598）：经营性现金流大幅改善，盘活资产优化结构
"林珊,沈晓峰",2025年10月28日│中国内地/中国香港 仓储物流 中国外运发布三季报：前三季度营收750.4亿元（yoy-12.6%），归母净利26.8亿元（yoy-5.2%），扣非归母净利20.8亿元（yoy-19.6%）。其中，3Q营收245.2亿元（yoy-16.9%，qoq-8.4%），归母净利7.3亿元（yoy-16.8%，qoq-43.8%），扣非归母净利6.9亿元（yoy-13.5%，qoq-17.1%）。前三季度业绩同比下滑主因今年以来中美关税及地缘事件扰动，公司国际货代业务受负面影响。另一方面，公司专业物流业务显韧性，部分抵消国际货运业务的拖累。根据公告，公司已完成出售路凯国际25%股权交割，预计将带来资产处置收益约16.5亿元，有望显著增厚25年业绩。维持AH“买入”。3Q国际货代业务量环比走弱，其中空运业务受关税影响较大今年以来，受中美关税及地缘事件扰动，国际货运市场波动剧烈。由于上半年抢出口效应，3Q以来出口需求环比走弱。3Q公司海运代理业务量同环比+10.4%/-11.7%；空运代理业务量同环比+21.5%/-23.0%；跨境电商业务量同环比-66.6%/-13.9%。跨境电商业务量同环比下滑显著，主因美国针对电子设备及跨境电商小包裹的关税调整对跨境电商及空运业务影响较大。展望4Q，我们预计国际海运业务量受需求偏弱拖累，环比或小幅下滑；国际空运市场因传统旺季，业务量环比或小幅改善。专业物流量价齐稳，业务结构优化效果显现专业物流板块表现整体稳健，3Q合同物流/项目物流/化工物流业务量同比+18.8%/-0.2%/+2.5%；环比+12.7%/+6.9%/+33.3%。其中，化工物流环比增速尤为突出。今年以来，公司专业物流业务量价表现稳健，主要得益于：1）国内生产活动保持稳定，工业品物流需求相对刚性；2）公司持续深化与重点客户的战略合作，提升服务渗透率；3）新能源、高端制造等新兴领域项目物流需求增长。3Q其他收益同比-1.9%；来自合联营公司投资收益同比-13.7%前三季度公司实现其他收益12.6亿元（主要是与收益相关的政府补助），同比-20.3%（其中，三季度5.6亿元，同环比-1.9%/+39.6%）；来自合联营公司投资收益11.0亿元（主要来自中外运敦豪），同比-24.4%（其中，三季度4.2亿元，同环比-13.7%/+8.6%），收益同比下滑主因国际空运市场受关税影响拖累。整体，公司前三季度实现毛利42.9亿元，同比+2.4%；毛利率5.7%，同比+0.8pct（其中，三季度毛利11.8亿元，同环比-7.7%/-31.3%；毛利率4.8%，同环比+0.5pct/-1.6pct）。上调25年净利预测，上调目标价至7.3元/6.2港币考虑公司出售路凯国际25%股权预计实现资产处置收益约16.5亿元（根据公司公告），我们上调25年净利预测13%至45.9亿元。考虑中美贸易及地缘事件对公司国际货代业务造成较多不确定性，我们下调26/27年净利预测14%/15%至37.3亿/38.8亿元。我们基于25-27年50%分红率假设，当前Ａ股对应5.1%/4.1%/4.3%股息率；H股对应6.5%/5.3%/5.5%股息率。我们基于11.6x/9.1x 25E PE（公司历史三年PE均值加3个标准差，估值溢价主因考虑25年公司资产优化，提振现金流和分红），上调AH目标价7%/15%至7.3元/6.2港币（前值AH目标价基于12.2x/8.9x 25E PE），维持AH“买入”。风险提示：全球经济衰退；业务量增长低于预期；地缘政治风险。,,华泰证券,买入,[None],2025-10-29,,买入,6945449,pdf_downloads/2025/2025-10-29/601598-中国外运（601598）：3Q国际货代业务承压拖累盈利.pdf,601598,中国外运,中国外运（601598）：3Q国际货代业务承压拖累盈利
李丹,公司发布2025年三季报，25Q3公司实现营业收入245.15亿元，同比-16.8%，实现归母净利润7.32亿元，同比-16.8%，实现扣非归母净利润6.86亿元，同比-13.5%。Q1至Q3实现营业收入750.38亿元，同比-12.6%，实现归母净利润26.79亿元，同比-5.2%，实现扣非归母净利润20.83亿元，同比-19.6%。成本管控成效显现，毛利率同比提升，非经常性收益增厚利润（1）毛利率情况：前三季度公司营业成本约707.51亿元，同比下降13.39%，成本降幅大于收入降幅。受益于此，公司前三季度毛利率约为5.71%，较去年同期的4.88%提升约0.83个百分点，显示出公司在市场波动下较强的成本管控与业务结构优化能力。（2）投资收益与非经常性损益：Q1至Q3公司实现投资收益16.32亿元，同比增长11.18%。其中，来自联营及合营企业的核心投资收益为11.02亿元，同比下降24.37%，我们认为主要受中外运-敦豪等合资公司盈利承压影响。非经常性损益方面，前三季度非流动资产处置损益达5.45亿元，主要来自上半年完成的国内首单央企仓储物流类REITs的发行，25H1贡献投资收益约4.4亿元。经营情况：专业物流与海运代理稳健增长，空运及跨境电商业务承压2025年1-9月，公司业务量保持稳健。1）专业物流：业务量保持稳健增长。合同物流、项目物流、化工物流业务量分别约3823.8万吨、529.5万吨、356.2万吨，同比分别+2.1%、+2.1%、+6.3%。 2）代理及相关业务：海运代理业务表现亮眼，空运与铁路代理下滑。海运代理完成1179.3万标准箱，同比+7.6%。空运通道业务量为66.4万吨，同比-11.8%；铁路代理完成39.2万标准箱，同比-12.5%。空运业务下滑主要系公司应对外部政策变化，主动调整和缩减了部分航线的固定运力。 3）电商业务：业务分化显著。受外部政策影响，跨境电商物流业务量大幅收缩至0.46亿票，同比-71.3%。但物流电商平台业务表现强劲，完成291.7万标准箱，同比+55.4%。盈利预测及投资建议中国外运作为国内综合物流龙头企业，在全球网络、多元化业务布局及客户资源方面具备深厚壁垒。公司积极推进数字化转型与“新型承运人”模式，有望在产业出海和供应链整合趋势中持续受益。尽管短期业绩受外部环境影响承压，但公司核心业务展现韧性，并通过优化资产结构增厚回报。我们预计2025-2027年公司归母净利润分别为38.2、42.3、43.1亿元，维持“增持”评级。风险提示全球贸易增长不及预期风险；海运空运运价大幅波动风险；地缘政治风险等。,,浙商证券,增持,[None],2025-10-28,,增持,6917728,pdf_downloads/2025/2025-10-28/601598-中国外运（601598）：2025年第三季度点评报告：成本管控成效显著，经营业绩韧性十足.pdf,601598,中国外运,中国外运（601598）：2025年第三季度点评报告：成本管控成效显著，经营业绩韧性十足
"郑树明,王凯婕",业绩2025年10月27日，中国外运发布2025年第三季度报告。2025年前三季度公司实现营业收入750.4亿元，同比下滑12.6%；归母净利润26.8亿元，同比下降5.2%。其中，Q3公司营业收入245.2亿元，同比下降16.9%；归母净利润7.3亿元，同比下降16.8%。经营分析跨境电商相关业务量下滑，专业物流业务量同比回升。前三季度及Q3公司收入下降主要源于运价调整，利润下滑主要系内需不足合同物流租金较低、空运业务受关税政策影响。其中前三季度分业务来看：1）代理及相关业务：海运代理1179.3万TEU，同比+7.6%；空运通道业务量66.4万吨，同比-11.8%，其中跨境电商物流5.5万吨，同比-68.9%；铁路代理39.2万TEU，同比-12.5%；船舶代理55936艘次，同比+16.7%；库场站服务2154.7万吨，同比+6.9%；2）专业物流业务：合同物流3823.8万吨，同比+2.1%；项目物流529.5万吨，同比+2.1%；化工物流356.2万吨，同比+6.3%。3）电商业务：公司跨境电商物流0.46亿票，同比-71.3%。Q3毛利率同比提升，归母净利率持平。公司3Q2025实现毛利率4.8%，同比+0.5pct，主要由于公司持续提升多环节业务在海运业务中的占比，虽运费下降但利润水平基本稳定，利润率得以提升。3Q2025公司销售费用率为0.1%，同比+0.2pct；管理费用率为3%，同比+0.3pct。公司投资收益4.6亿元，同比下滑6%，或源于关税政策频繁变化、成本增加等影响，合营公司中外运敦豪净利润下滑。综合毛利率提升及期间费用率增长影响，公司归母净利率为3%，同比持平。下属子公司出售路凯国际，预计投资收益将增加。6月26日公司同意公司下属公司招商船企通过境外股权协议转让方式转让所持的路凯国际25%股权的总体方案，包括交易架构、交易对价及交易协议等。截至2025年10月21日，本次交易交割的先决条件已全部达成，并完成交割，本次交易预计带来投资收益（扣除相关交易费用）约人民币16.5亿元。本次交易后，招商船企持有路凯国际20%股权，路凯国际继续为公司的联营公司。盈利预测、估值与评级考虑投资收益影响，调整公司2025-2027年归母净利润预测至48亿元、40亿元、44亿元（原44/48/50亿元）。维持“买入”评级。风险提示空海运运价大幅波动风险、国际货代行业竞争进一步恶化风险、物流市场竞争激烈风险。,,国金证券,买入,[None],2025-10-28,,买入,6886255,pdf_downloads/2025/2025-10-28/601598-中国外运（601598）：外部环境影响，Q3 净利暂时承压.pdf,601598,中国外运,中国外运（601598）：外部环境影响，Q3 净利暂时承压
"黄文鹤,张骁瀚,陈佳裕",中国外运(601598)事件概述：2025年8月26日，公司发布2025半年报，2025年上半年公司成功发行REITs仓储物流基础设施贡献投资收益，重视股东回报每股分红维持0.145元，25Q2实现归母净利润13.0亿元，同比+14%。1H25，1）收入端：公司实现营收505亿元，同比-10%，营收下滑主要受运价下降影响；毛利为31亿元，同比+6.8%，毛利率为6.1%，同比+1pct。2）利润端：实现归母净利润19.5亿元，同比持平；归母净利率3.9%，同比+0.4pct。扣非归母净利14.0亿元，同比-22.3%，扣非归母净利率2.8%，同比-0.4pct。3）投资收益：11.7亿元，同比+19.8%，其中REITs仓储物流基础设施处置投资收益为4.39亿元。公司主要合营企业敦豪1H25实现净利润9.12亿元，同比下滑38.7%，为公司贡献投资收益4.56亿元；4）其他收益：7.0亿元，同比-30.7%。单季度看，2Q25，1）收入端：公司实现营收268亿元，同比-17%；毛利为17.2亿元，同比+4.2%，毛利率为6.4%，同比+1.3pct。2）利润端：实现归母净利润13.0亿元，同比+14%；归母净利率4.9%，同比+1.3pct。扣非归母净利8.3亿元，同比-22.5%，扣非归母净利率3.1%，同比-0.2pct。3）投资收益：8.6亿元，同比+73.7%，其中REITs仓储物流基础设施处置投资收益为4.39亿元。公司出售路凯25%股权预计带来投资收益约17.93亿元，预计带来现金流入约44.42亿元（股权转让现金流入约33.82亿元+分红现金流入约10.60亿元)。4）其他收益：4亿元，同比-24.4%。分业务结构看：1）货运代理：1H25对外营业额296.28亿元，同比-15.49%；毛利20.03亿元，同比+17.26%；分部利润12.15亿元，同比-1.23%，收入下滑主要受1H25国际海运、空运价格同比下降，且受市场环境影响空运、陆运业务量下降较多影响。2）专业物流：1H25对外营业额143.23亿元，同比-5.86%；毛利10.75亿元，同比-4.43%；分部利润3.18亿元，同比-22.35%，主要受国内有效需求仍然不足影响，合同物流市场整体承压，物流仓储价格依然处于历史低位。3）电商业务：1H25对外营业额65.71亿元，同比+7.28%；毛利0.25亿元，同比-65.85%；分部利润0.72亿元，同比-36.71%。分红：1H25分红维持每股0.145元，同比持平。按2025/8/26收盘价计算股息率2.6%（半年度），分红比例53.45%；1H25股息+回购总额达14.94亿元，占归母净利润的比重为76.7%。投资建议：我们预计公司2025-2027年营业收入分别为1103、1145、1195亿元，归母净利润分别为42.0、44.5、46.8亿元，当前股价对应PE分别为10、9、9倍。公司为综合物流龙头，重视AI赋能和数字化转型，海外网络布局持续推进，看好公司长期发展。维持“推荐”评级。风险提示：集运运价波动风险、地缘政治风险、汇率波动风险。,,民生证券,推荐,[None],2025-08-27,,增持,6355400,pdf_downloads/2025/2025-08-27/601598-中国外运（601598）：2025年半年报点评：成功发行REITs贡献投资收益，重视股东回报维持每股分红绝对金额.pdf,601598,中国外运,中国外运（601598）：2025年半年报点评：成功发行REITs贡献投资收益，重视股东回报维持每股分红绝对金额
"林珊,沈晓峰","中国外运发布1H25业绩：1）营收505.2亿元，同比-10.4%；2）归母净利19.5亿元，同比+0.08%；3）扣非归母净利14.0亿元，同比-22.3%，小幅高于我们扣非净利预期13.8亿元，盈利同比下滑主因国际货代业务受关税负面影响以及专业物流需求偏弱。同时，公司宣布中期每股派息0.145元，分红率53.5%。我们维持25-27年净利预测不变；估值方面，我们认为关税影响边际减弱，26-27年国际货代及专业物流市场景气度有望改善，提振公司盈利和估值。另一方面，公司持续优化资产结构，拟出售路凯国际部分股权，预计将为公司带来大额处置收益及现金流入。我们上调PE估值倍数，上调AH目标价11%/23%至6.8元/5.4港币，维持“买入”。代理及相关业务：分部利润同比下滑1.2%1H25公司代理及相关业务（国际货代）实现分部利润12.2亿元，同比微降1.2%，在关税扰动背景下，体现出较强的盈利韧性。上半年美国针对电子设备及跨境电商小包裹的关税调整对空运货量影响较大；海运市场因货品结构分散及规模体量大，货量波动影响相对较小。1H25：1）空运代理货量同比-0.5%，利润同比-59.6%至4,600万元。2）海运代理货量同比+6.2%，利润同比+5.4%至5.1亿元。电商业务方面，1H25实现分部利润0.7亿元，同比-36.7%，主因关税负面影响。展望下半年，我们认为关税影响边际减弱，国际空运市场有望止跌企稳。专业物流：需求偏弱，分部利润同比下滑22.4%1H25专业物流业务收入143.2亿元，同比-5.9%；分部利润3.2亿元，同比-22.4%。利润同比下滑主因整体宏观需求偏弱，合同物流市场承压。物流仓储价格处于历史低位，而成本相对刚性，导致利润同比下滑。分板块看，1）合同物流业务量同比-2.8%，利润同比-23.1%至2.4亿元；2）化工物流业务量同比+9.4%，利润同比-31.3%至4,600万元。3）项目物流业务量同比+3.4%，利润同比+128.6%至1,600万元，主因上年同期低基数。中长期看，我们认为伴随宏观需求逐步回暖，26-27年专业物流盈利有望止跌回升。中外运敦豪投资收益同比下降-38.7%，占公司归母利润比重下降1H25来自合联营公司投资收益共计6.9亿元，同比-29.6%。其中，来自合营公司中外运敦豪投资收益4.6亿元，同比-38.7%，占比公司归母净利润23.4%（上年同期38.3%）。1H25中外运敦豪净利润下滑主因国际空运市场量价齐跌导致。然而，来自中外运敦豪贡献占比下降也凸显公司近年来积极调整业务结构，加速海外发展，逐步增强公司本部的业务版图。优化资产布局，发行REITs及出售路凯国际部分股权公司持续深化资产布局和资源配置。1H25国内首单央企仓储物流REITs完成挂牌上市。联营公司方面，根据公司公告，公司拟出售25%路凯国际股权，预计带来大额一次性处置收益17.93亿元和现金流入约44.42亿元（该交易仍需等待相关先决条件达成）。我们的25年净利预测尚未包含路凯国际处置收益。我们维持25-27年净利预测，上调AH股PE估值倍数至12.2x/8.9x 25E PE（公司历史三年PE均值加3个标准差，估值溢价主因考虑26-27年市场景气度有望回暖叠加公司资产优化，提振现金流），上调AH目标价11%/23%至6.8元/5.4港币（前值AH目标价基于10.9x/7.4x 25EPE），维持“买入”。风险提示：全球经济衰退；业务量增长低于预期；地缘政治风险。",,华泰证券,买入,[None],2025-08-27,,买入,6354583,pdf_downloads/2025/2025-08-27/601598-中国外运（601598）：国际货代显韧性，2H盈利环比将改善.pdf,601598,中国外运,中国外运（601598）：国际货代显韧性，2H盈利环比将改善
"郑树明,霍泽嘉",业绩简评2025年8月26日，中国外运发布2025年半年度报告。1H2025公司实现营业收入505.2亿元，同比下滑10.4%；实现归母净利润19.5亿元，同比增长0.08%。其中，2Q2024公司实现营业收入267.5亿元，同比下降16.6%；实现归母净利润13.0亿元，同比增长14%。经营分析模式创新叠加成本管控，代理业务分部利润同比微降。分业务来看：1）代理及相关业务：代理及相关业务营收296.3亿元，同比下降15.5%；分部利润为12.15亿元，同比下降1.2%。收入同比下降主要由于上半年国际海运、空运价格同比下滑，且业务量下降较多。同时公司积极推动新型承运人建设，加强成本管控，故利润保持相对稳定。2）专业物流业务：营收143.2亿元，同比下滑5.9%；分部利润为3.2亿元，同比下滑22.4%，主要由于国内有效需求不足，且仓储价格处于低位。公司具有成本刚性，导致利润下滑。3）电商业务：分部利润为0.72亿元，同比下滑36.7%，主要由于空运运价及跨境电商物流业务量下滑。毛利率同比提升，发行REIT投资收益大幅增长。公司1H2025实现毛利率6.14%，同比+0.99pct，主要由于公司加强成本管控，成本降幅多于收入降幅。公司期间费用率为4.16%，同比+0.27pct，其中管理费用率为2.98%，同比+0.31pct，主要由于管理费用中职工薪酬、折旧摊销等具备刚性，公司营业收入下滑导致费用率提升。1H2025公司投资收益为11.7亿元，同比增长19.8%，主要由于发售中外运仓储物流REIT，得到处置子公司投资收益4.4亿元。海外业务大幅增长，派息金额保持稳定。上半年，公司积极落实国际化战略，海外能力建设不断提升，海外业务利润总额同比增长18.1%。同时，公司通过发行REIT盘活存量资产，公司上半年发行国内首单央企仓储物流REIT，溢价率达到16.16%。1H2025，公司拟派发中期股息0.145元，较去年维持相同派息金额。此外，上半年公司累计回购A+H股金额为4.5亿元。公司分红及回购总额合计14.94亿元，派息率为76.7%（包含中期派息以及回购金额），同比上升22.5pct。盈利预测、估值与评级维持2025-2027年归母净利润预测43.9亿元、48.3亿元、50.1亿元。维持“买入”评级。风险提示空海运运价大幅波动风险、国际货代行业竞争进一步恶化风险、物流市场竞争激烈风险。,,国金证券,买入,[None],2025-08-27,,买入,6354677,pdf_downloads/2025/2025-08-27/601598-中国外运（601598）：公司点评：发行REIT增厚业绩派息额保持稳定.pdf,601598,中国外运,中国外运（601598）：公司点评：发行REIT增厚业绩派息额保持稳定
"李蔚,李天琛","事件2025年6月26日，公司发布公告，同意下属公司招商局船务企业有限公司通过境外股权协议转让方式转让所持的路凯国际控股有限公司25%股权。本次交易对价为4.72亿美元(约为人民币33.82亿元，以中国人民银行2025年6月26日公布的汇率中间价1美元对7.1620人民币计算，下同)。路凯国际：领先托盘租赁商，国企混改标杆路凯国际控股有限公司（以下简称“路凯国际”）是全球领先的专业托盘共用租赁商，2010年被招商局全资收购，后交由中国外运股份有限公司（以下简称“公司”）管理。2018年10月，路凯国际成功引入中信资本、方源资本两大投资者。混改后，公司持有路凯国际45%股份，中信资本持有33%股份、方源资本持有22%股份。2024年，路凯国际实现营业收入、净利润24.55、4.66亿元，同比+5.0%、+1.6%。根据资产评估公司出具的报告，2024年底，路凯国际股东全部权益价值为人民币118亿元，增值额为人民币69亿元，增值率为141%，实现国有资产保值增值。短期优化公司资产结构，长期有望助力主业发展根据公司公告，本次交易预计带来投资收益(扣除相关交易费用)约人民币17.93亿元(不包括税务影响)，预计带来现金流入约人民币44.42亿元。若上述交易完成，我们预计短期内，有助于优化公司资产结构，盘活释放股权资产的潜在价值；长期来看，交易回收的资金（以美元为主）可用于公司核心主业发展，特别是有助于公司进一步优化全球网路布局，培育海外业务拓展势能，增强公司长期竞争力。2024年，公司海外投资额同比+44%，海外营业收入同比+9%，净利润同比+43%。投资建议：维持“买入”评级我们预计公司2025-2027年营业收入为1,045.76、1,150.93、1,273.29亿元，同比-1.0 %、+10.1%、+10.6%；归母净利润为39.30、44.52、46.02亿元（未考虑此次交易带来的投资收益增加），同比+0.3%、+13.3%、+3.4%。我们看好公司经营继续保持韧性，盈利稳步改善，持续且稳定回报股东，维持“买入”评级。风险提示：交易落地存在不确定性、全球经济复苏不及预期、国际货代行业竞争恶化、海外经营风险。",,国联民生证券,买入,[None],2025-06-30,,买入,6534586,pdf_downloads/2025/2025-06-30/601598-中国外运（601598）：出售路凯国际25%股权，短期改善报表质量，长期有望提升主业竞争力.pdf,601598,中国外运,中国外运（601598）：出售路凯国际25%股权，短期改善报表质量，长期有望提升主业竞争力
"李蔚,李天琛","事件2025年4月29日，中国外运发布2025年一季度报告。2025年一季度，公司实现营业收入237.72亿元，同比-2.2%；实现归母净利润6.50亿元，同比-19.8%。主业毛利同比+10.1%，货量下滑致补贴减少2025Q1公司营业成本为223.93亿元，同比-2.9%，降本幅度高于营收降幅；实现毛利13.79亿元，同比+10.1%。公司代理业务板块各业务货量表现分化。其中，海运代理货量351.6万TEU，同比+9.0%；铁路代理货量10.1万TEU，同比-22.3%；空运通道（空运货代+跨境电商物流）货量18.2万吨，同比-20.2%。受空运代理和铁路代理货量下降影响，公司获得的相关政府补贴有所下降。2025Q1，公司获得与收益相关的政府补助合计2.97亿元，同比-37.8%。专业物流业务板块方面，合同物流业务货量1178.1万吨，同比-2.0%；项目物流和化工物流货量均保持增长。投资收益下滑拖累业绩，股东增持彰显信心2025Q1公司实现投资收益3.05亿元，同比-36.1%，成为公司一季度利润下滑主因。公司投资收益主要由中外运敦豪贡献，其业务主要以国际快递为主，在一定程度上受到当前复杂严峻的国际贸易环境的影响，后续敦豪投资收益对公司整体收益的贡献程度或存在不确定性。此外，2025年4月14日，公司控股股东外运长航完成增持公司A股股份计划，增持股份53,123,631股，约占总股本0.73%，增持金额为2.80亿元人民币(不含税费)，彰显控股股东对于公司长期发展的信心。盈利预测及投资建议考虑国内外经济形势依然充满不确定性，我们预计公司2025-2027年营业收入分别为1,045.8/1,150.9/1,273.3亿元，同比分别-1.0%/+10.1%/+10.6%；归母净利润分别为39.3/44.5/46.0亿元，同比分别+0.3%/+13.3%/+3.4%，3年CAGR为5.5%；EPS分别为0.54/0.61/0.63元/股。我们看好公司经营继续保持韧性，盈利稳步改善，持续且稳定回报股东，维持“买入”评级。风险提示：全球经济复苏不及预期、国际货代行业竞争恶化、海外经营风险。",,国联民生证券,买入,[None],2025-05-12,,买入,6632876,pdf_downloads/2025/2025-05-12/601598-中国外运（601598）：主业盈利保持增长，投资收益下滑致业绩承压.pdf,601598,中国外运,中国外运（601598）：主业盈利保持增长，投资收益下滑致业绩承压
