author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts
"代雯,张云逸,唐庆雷",2025年10月27日│中国内地 中药 公司公告1-3Q25收入、归母净利、扣非归母47.7、12.7、11.6亿元（+4%、+11%、+8% yoy），其中3Q25收入、归母净利、扣非归母17.2、4.6、3.7亿元（+9%、+10%、+0% yoy），剔除追溯调整（7M25收购华润医药贸易香港），公司1-3Q25收入、归母净利同比增长10%、11%。我们看好公司在“四个重塑”下持续带动销售与利润双提升，阿胶品类做深做大，鹿茸、苁蓉等品类蓄势待发，维持“增持”评级。预计阿胶系列维持双位数增长我们预计1-3Q25阿胶系列（阿胶块、阿胶浆、阿胶粉、阿胶糕）收入同比维持高速增长。我们看好公司发力线上渠道，随着消费复苏、医保支持、品类扩充，预计阿胶系列2025~2025年收入维持双位数增长。下一个五年阿胶、鹿茸、苁蓉有望齐头并进2025年公司加速滋补品类扩张，鹿茸品类上与新西兰鹿业、吉林东丰、辽宁西丰战略合作，肉苁蓉品类上与阿拉善盟合作共建，人参品类上与正官庄战略合作，黄芪品类上与康缘药业合作推出黄芪精。我们认为“十五五”期间（2026~2030）公司有望逐步从阿胶领导者转向大滋补领军者，形成阿胶、鹿茸、苁蓉齐头并进的局面。财务指标稳健1）1-3Q25销售、管理、研发费用率35.2%、6.1%、3.0%（-2.6pct、-0.3pct、+0.9pct yoy），销售费率持续优化，研发费率增加主因搭建战略研发平台、重点项目投入增加；2）3Q25应收账款和票据、存货5.5、8.2亿元（-0.1亿元、 -0.1亿元 yoy），应收与存货平稳；3）1-3Q25经营现金流净额13.1亿元、略高于净利润，经营现金流入46.6亿元、与收入基本匹配。维持“增持”评级我们维持盈利预测，预计2025-27年归母净利18.0/20.5/23.2亿元（+15%、+14%、+13% yoy），给予2025年PE估值 30x（参考可比公司Wind一致预期均值25x，考虑到公司经营韧性、基于“四个重塑”等战略推进及股权激励有望带动公司收入利润的持续提升给予溢价），维持目标价83.65元。风险提示：医保政策变化，中高端药品消费不及预期。,,华泰证券,增持,[None],2025-10-27,,增持,6846225,pdf_downloads/2025/2025-10-27/000423-东阿阿胶（000423）：顶住行业压力，业务稳健增长.pdf,423,东阿阿胶,东阿阿胶（000423）：顶住行业压力，业务稳健增长,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 18.0,
            ""eps"": null,
            ""pe"": 30
        },
        {
            ""year"": 2026,
            ""net_profit"": 20.5,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 23.2,
            ""eps"": null,
            ""pe"": null
        }
    ]
}"
"王班,吴天昊,丁健行",事件：东阿阿胶发布2025年三季报，2025年前三季度实现营收47.66亿元(同比+4.41%，较上年同期调整后，下同)，归母净利润12.74亿元(同比+10.53%)，扣非归母净利润11.55亿元(同比+8.23%)；单Q3实现营收17.16亿元(同比+8.50%)，归母净利润4.56亿元(同比+10.27%)，扣非归母净利润3.68亿元(同比+0.06%)；业绩符合预期。2025年前三季度经营业绩实现高质量可持续增长，看好全年稳健向前。截至2025Q3底公司应收账款与应收票据的周转天数为25.12天，同比下降6.17天，和同行业相比处于极低水平。我们预计在公司强大的品牌品种力与营销体系带动下，2025年业绩有望实现较好的双位数增长。毛利率基本稳定，利润增速超越收入增速有望持续。2025年前三季度销售毛利率为73.69%，同比下滑0.44pct；销售/管理/研发费用率为35.17%/6.06%/3.05%，同比-2.60/-0.31/+0.98pct，销售费用率下降主要系公司优化费用投入，叠加销售收入增长所致。展望2026年，受益于阿胶系列产品规模效应渐显和持续降本增效，我们预计公司毛利率有望持续提升，带动净利润增速持续超越收入增速。完成中期分红，强化投资者回报。公司2025年上半年利润分配方案为：以目前公司总股本股为基数，向全体股东每10股派发现金红利人民币12.70元（含税），现金红利总额为人民币8.17亿元，占2025年上半年归属于上市公司股东净利润的99.94%。我们预计公司在优秀的经营数据与强大的经营信心下，有望持续以高比例、高频次向股东分红，强化投资者回报。维持“买入”评级。我们预计2025-2027年归母净利润18.00/21.96/26.46亿元，同比增长15.61%/22.01%/20.48%，EPS为2.80/3.41/4.11元，对应PE17.12x/14.03x/11.65x。考虑到公司是老字号滋补中药龙头，核心产品集采降价可能性低，第一期限制性股票激励计划激发管理层动力，改革成效显著，维持“买入”评级。风险提示：政策调整风险、成本波动风险、二线产品放量不及预期。,,浙商证券,买入,[None],2025-10-27,,买入,6826523,pdf_downloads/2025/2025-10-27/000423-东阿阿胶（000423）： 2025 年三季报点评：业绩符合预期，高成长且高分红.pdf,423,东阿阿胶,东阿阿胶（000423）： 2025 年三季报点评：业绩符合预期，高成长且高分红,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 18.00,
            ""eps"": 2.80,
            ""pe"": 17.12
        },
        {
            ""year"": 2026,
            ""net_profit"": 21.96,
            ""eps"": 3.41,
            ""pe"": 14.03
        },
        {
            ""year"": 2027,
            ""net_profit"": 26.46,
            ""eps"": 4.11,
            ""pe"": 11.65
        }
    ]
}"
"王班,吴天昊,丁健行",事件：东阿阿胶发布2025年半年报，2025年上半年实现营收30.51亿元(同比+11.02%)，归母净利润8.18亿元(同比+10.74%)，扣非归母净利润7.88亿元(同比+12.58%)；单Q2实现营收13.32亿元(同比+2.91%)，归母净利润3.93亿元(同比+2.01%)，扣非归母净利润3.71亿元(同比+0.07%)；业绩符合预期。上半年经营业绩实现高质量可持续增长，看好全年稳健向前。截至2025H1公司应收账款与应收票据的周转天数仅为15.77天，环比2025Q1下降11.20天，不仅处于2021年以来最低水平，且和同行业相比亦处于极低水平。并且2025Q2经营活动产生的现金流量净额达12.70亿元，带动2025H1该指标在2024H1高基数下同比增长4.70%。我们预计在公司强大的品牌品种力与营销体系带动下，2025年营业收入有望继续达到较好的双位数增长。毛利率基本稳定，利润增速超越收入增速有望持续。2025H1公司综合毛利率为73.13%，同比下滑0.41pct；销售/管理/研发费用率为33.79%/6.06%/2.62%，同比-2.59/+1.17/+0.26pct，管理费用率上升较多主要系公司持续引进关键管理岗位人才和科技研发外部优秀人才，销售费用率下降主要系公司优化费用投入，叠加销售收入增长所致。展望2025年，受益于阿胶系列产品规模效应渐显和持续降本增效，我们预计公司毛利率有望持续提升，带动净利润增速持续超越收入增速。实施中期分红，强化投资者回报。公司2025年上半年利润分配预案为：以目前公司总股本为基数，向全体股东每10股派发现金红利人民币12.69元（含税），现金红利总额约为人民币8.17亿元，占2025年上半年归属于上市公司股东净利润的99.94%。我们预计公司在优秀的经营数据与强大的经营信心下，有望持续以高比例、高频次向股东分红，强化投资者回报。维持“买入”评级。我们预计2025-2027年归母净利润18.96/22.72/27.18亿元，同比增长21.75%/19.87%/19.60%，EPS为2.94/3.53/4.22元，对应PE17.65x/14.72x/12.31x。考虑到公司是老字号滋补中药龙头，核心产品集采降价可能性低，第一期限制性股票激励计划激发管理层动力，改革成效显著，维持“买入”评级。风险提示：政策调整风险、成本波动风险、二线产品放量不及预期。,,浙商证券,买入,[None],2025-08-27,,买入,6354016,pdf_downloads/2025/2025-08-27/000423-东阿阿胶（000423）：业绩符合预期，高成长且高分红.pdf,423,东阿阿胶,东阿阿胶（000423）：业绩符合预期，高成长且高分红,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 18.96,
            ""eps"": 2.94,
            ""pe"": 17.65
        },
        {
            ""year"": 2026,
            ""net_profit"": 22.72,
            ""eps"": 3.53,
            ""pe"": 14.72
        },
        {
            ""year"": 2027,
            ""net_profit"": 27.18,
            ""eps"": 4.22,
            ""pe"": 12.31
        }
    ]
}"
"祝嘉琦,孙宇瑶",报告摘要事件：公司发布2025年中报，实现营业收入30.51亿元，同比增长11.02%；实现归母净利润8.18亿元，同比增长10.74%；实现扣非净利润7.88亿元，同比增长12.58%。25H1业绩稳健增长，滋补品类持续扩充。单二季度，公司实现收入13.32亿元，同比+2.91%；归母净利润3.93亿元，同比+2.01%；扣非归母净利润3.71亿元，同比+0.07%。核心产品阿胶系列继续保持稳健增长，2025H1实现营收28.45亿元，同比增长11.50%。公司持续丰富滋补品类产品矩阵，“皇家围场1619”、“壮本”阿胶肉苁蓉原浆等新品正在孵化中，有望将男士滋补健康打造为第二增长曲线。现金流大幅改善，夯实增长质量。2025H1公司合同负债、应收账款和票据、存货分别为5.2、2.0、9.2亿元，二季度公司回款顺利，应收账款与票据明显下降，合同负债与存货水平保持平稳。Q2公司经营净现金流12.70亿元，同比增加9.86亿元，环比改善显著。2025H1公司销售、管理、财务费用率分别为33.8%、6.1%、-1.0%，同比-2.6pp、+1.2pp、+1.0pp，销售费率持续优化，管理费率增加主因引入关键管理岗位和科技研发外部优秀人才，整体盈利能力保持较高水平。重视股东回报，延续高分红比例。自2024年首次中期分红后，2025年再次实施中期分红，向全体股东每10股派发现金12.69元（含税），现金分红总额为8.17亿元，占上半年母公司净利润的117.01%，占上半年归属于上市公司股东净利润的99.94%，充分彰显经营信心。盈利预测和投资建议：根据中报，我们对盈利预测略作调整，预计2025-2027年公司实现营业收入67.38、75.53、84.55亿元（前值为69.31、78.43、87.80亿元），同比增长14%、12%、12%，实现归母净利润17.89、20.15、22.36亿元（前值为19.12、22.08、24.98亿元），同比增长15%、13%、11%。考虑到公司为中药滋补老字号，核心产品阿胶系列维持高景气，正在逐渐形成药品+健康消费品双轮驱动增长，维持“买入”评级。风险提示：原材料价格波动的风险；阿胶块、复方阿胶浆恢复不及预期风险；政策变化风险；研报使用信息数据更新不及时的风险。,,中泰证券,买入,[None],2025-08-26,,买入,6347919,pdf_downloads/2025/2025-08-26/000423-东阿阿胶（000423）：业绩保持稳健，现金流大幅改善.pdf,423,东阿阿胶,东阿阿胶（000423）：业绩保持稳健，现金流大幅改善,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 17.89,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 20.15,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 22.36,
            ""eps"": null,
            ""pe"": null
        }
    ]
}"
郑薇,事件公司披露2025年半年报，实现营收30.51亿元，同比增长11.02%;归母净利润8.18亿元，同比增长10.74%;扣非归母净利润7.88亿元，同比增长12.58%;单Q2实现营收13.32亿元，同比增长2.91%;归母净利润3.93亿元，同比增长2.01%;扣非归母净利润3.71亿元，同比增长0.07%。阿胶及系列产品稳健增长公司阿胶及系列产品实现较好增长。2025H1实现收入28.45亿元，同比增长11.50%，毛利率74.83%，同比下降0.53pp；其他药品及保健品实现收入1.42亿元，同比增长7.06%，毛利率66.30%，同步下降0.10pp。2025Q2公司毛利率72.49%(yoy+3.01pp，下同)，销售费用率30.60%（-3.00pp），管理费用率7.38%（+2.16pp），研发费用率3.09%（+1.11pp），财务费用率-1.04%（+0.67pp），净利率29.48%（-0.27pp）。同时，公司持续保持良好的财务结构，盈利质量较好，现金储备充裕。截至2025年6月末，公司资产负债率19.17%，期末货币资金66.29亿元，上半年经营活动产生的现金流量净额 9.65 亿元。重视投资者回馈，实现高分红率公司2025年上半年利润分配预案为：以目前公司总股本为基数，向全体股东每10股派发现金红利人民币12.69元（含税），现金红利总额约为人民币8.17亿元，占2025年上半年归属于上市公司股东净利润的99.94%。自1999年首次分红以来，公司已累计分红92.87亿元。盈利预测与评级我们预计公司2025-2027年营业收入分别为68.98/79.36/89.95亿元，同比增速分别16.51%/15.04%/13.34%；归母净利润分别为18.76/22.37/26.33亿元，同比增速分别为20.50%/19.23%/17.69%。鉴于公司为滋补类中药龙头，维持“买入”评级。风险提示：毛利率下滑或波动风险；市场竞争加剧风险；销售不及预期风险。,,国联民生证券,买入,[None],2025-08-26,,买入,6352842,pdf_downloads/2025/2025-08-26/000423-东阿阿胶（000423）：业绩稳健增长，分红比例维持高水平.pdf,423,东阿阿胶,东阿阿胶（000423）：业绩稳健增长，分红比例维持高水平,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 18.76,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 22.37,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 26.33,
            ""eps"": null,
            ""pe"": null
        }
    ]
}"
"郑辰,高初蕾","事项:稳收入下加大回款,现金流全面改善。公司 1H25 收入 30.5 亿元( +11.0%yoy)IH25 归母净利 8.2 亿元(+10.7% yoy)、扣非净利 7.9 亿元(+12.6% yoy),1H25 销售商品所得现金 32.6 亿元、高于收入，经营净现金流 9.7 亿元、高于利润;2025 收入 13.3亿元(+2.9% yoy )、归母净利 3.9 亿元(+2.0% yoy)、扣非净利 3.7 亿元(+0.1% yoy )，2025 销售商品所得现金 22.3 亿元、大幅高于收入，经营净现金流 12.7 亿元、远高于利润。评论:阿胶系列:2H25 滋补旺季收入有望向上。1H25 公司医药工业收入29.9 亿元(11.3% yoy)，毛驴养殖及贸易收入 0.3亿元(-9.3%yoy);阿胶及系列产品IH25 收入 28.4 亿元(+11.5% yoy )，2H25 逐渐进入滋补旺季，预计全年阿胶系列收入有望在渠道拓展、加大线上线下动销下实现双位数增长，中长期看公司在补气补血赛道仍有较大市占率拓展空间。财务指标:存货与合同负价稳定，应收款项大幅下降。1)盈利能力:25HI公司毛利率 73.1%(-0.4pct)、主因收入结构性变化，净利率 26.8%(-0.1pct);2)25H1公司销售费用率33.8%(-2.6pct)，管理费用率6.1%(+1.2pct)，研发费用率 2.6%(+0.3pct);3)1H25 应收票据、账款及融资 2.6亿元 (1025 12.5亿元)、公司主动加大回款力度应收账款环比大幅下降:存货1H25 9.2亿元、同比保持稳定(1H249.6 亿元)，合同负债 1H25 5.2 亿元、环比稳健(1Q25 5.9亿元);4)维持高比例分红(1H25 现金分红比例99.94%)坚持战略引领，重视股东回报，坚守高质量发展之路。1)2025年公司经营围绕增长与突破，坚定执行1238 战略，做大阿胶主业、男科等第二曲线，推进外延式增长;2)1H25 公司现金分红比例,99.94%，在手现金充足，有望持续高分红回报股东:3)自新任管理层履新以来，公司持续深化四个重塑，融合华润管理体系。投资建议:中药滋补龙头，现金流全面改善，维持“推荐”评。基于下游环境变化，我们调整公司 25-27 年归母净利润预测为 18.0/20.7123.8 亿元(25-27年前值 18.7122.1126.0 亿元)，同比增速为+16%1+15%/+15%，参考行业可比公司估值，给予公司 25年22x目标 PE，对应目标价61.5 元，维持“推荐”评级。风险提示:核心产品销量不及预期，政策波动",,华创证券,推荐,[None],2025-08-26,,增持,6352000,pdf_downloads/2025/2025-08-26/000423-东阿阿胶（000423）：稳收入下现金流全面改善.pdf,423,东阿阿胶,东阿阿胶（000423）：稳收入下现金流全面改善,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 18.0,
            ""eps"": null,
            ""pe"": 22
        },
        {
            ""year"": 2026,
            ""net_profit"": 20.7,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 23.8,
            ""eps"": null,
            ""pe"": null
        }
    ]
}"
"代雯,张云逸,唐庆雷",2025年8月24日│中国内地 中药 公司公告1H25收入、归母净利、扣非归母30.5、8.2、7.9亿元（+11%、+11%、+13% yoy），其中2Q25收入、归母净利、扣非归母13.3、3.9、3.7亿元（+3%、+2%、+0% yoy）。公司公布1H25利润分配方案，每股派发1.267元（含税），占同期归母净利润99.94%。我们看好公司在“四个重塑”下持续带动销售与利润双提升，阿胶系列有望在补气补血市场持续做深做大，维持“增持”评级。阿胶系列维持双位数增长，扩充人参、苁蓉、黄芪等滋补品类1H25阿胶系列收入同比增长12%至28.4亿元，我们估计阿胶块、阿胶浆、阿胶粉收入同比双位数增长，皇家围场收入同比翻倍式增长，此外线上收入同比增长超20%（其中阿胶浆超50%）。公司2025年积极扩充滋补品类，与正官庄战略合作，与阿拉善盟共建苁蓉产业，与康缘药业合作推出黄芪精，我们认为公司逐步从阿胶品类领导者转向大滋补领域领军人。展望2025年，我们看好公司发力线上渠道，随着消费复苏、医保支持、品类扩充，公司收入维持双位数增长。授信回收后应收款回落、现金流改善1）1H25销售、管理、研发费用率33.8%、6.1%、2.6%（-2.6pct、+1.2pct、+0.3pct yoy），销售费率持续优化，管理费率增加主因引入关键管理岗位和科技研发外部优秀人才；2）1H25合同负债、应收账款和票据、存货5.2、2.0、9.2亿元（+14%、-54%、-4% yoy），合同负债处于健康水平，2Q25回款顺利、应收账款与票据明显下降，存货水平维持平稳；3）1H25经营现金流净额9.7亿元（+4.7% yoy）、超出净利润，其中2Q25经营现金净流入12.7亿元，环比明显改善。维持高分红，激励鼓舞人心1）年中分红8.17亿元，占上半年归母净利润99.94%，自公司1999年首次分红以来累计分红28次，总额达101亿元，分红平均比例超70%；2）公司于1M25修订股权激励计划，激励目标三提升（授予价、ROE目标、利润下限：25-27年ROE 11.5%、12.0%、12.5%，较23年基准归母净利润CAGR 15%、15%、15%），充分彰显经营信心，4M25公司股权激励计划草案获得批复通过。维持“增持”评级考虑到行业承压以及公司扩充新品加大营销投入，我们下调收入预测（25-27E 较前值-2%/-6%/-11%）、上调销售费用率预测（25-27E 较前值+0.2/0.0/0.0pct），预计2025-27年归母净利18.0/20.5/23.2亿元（较前值-2%/-8%/-10%），给予2025年PE估值 30x（参考可比公司Wind一致预期均值27x，基于“四个重塑”等战略推进及股权激励有望带动公司收入和利润的持续提升给予溢价），目标价83.65元（前值80.00元，基于25E 28x PE和18.4亿归母净利）。风险提示：医保政策变化，中高端药品消费不及预期。,,华泰证券,增持,[None],2025-08-25,,增持,6342927,pdf_downloads/2025/2025-08-25/000423-东阿阿胶（000423）：主业稳健增长，扩充大滋补品类.pdf,423,东阿阿胶,东阿阿胶（000423）：主业稳健增长，扩充大滋补品类,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 18.0,
            ""eps"": null,
            ""pe"": 30
        },
        {
            ""year"": 2026,
            ""net_profit"": 20.5,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 23.2,
            ""eps"": null,
            ""pe"": null
        }
    ]
}"
余汝意,经营业绩稳步提升，看好长期发展潜力，维持“买入”评级公司2025H1实现营收30.51亿元（同比+11.02%，下文皆为同比口径）；归母净利润8.18亿元（+10.74%）；扣非归母净利润7.88亿元（+12.58%）。从盈利能力来看，2025H1毛利率为73.13%（-0.41pct），净利率为26.80%（-0.08pct）。从费用端来看，2025H1销售费用率为33.79%（-2.60pct），管理费用率6.06%（+1.18pct），研发费用率2.62%（+0.26pct），财务费用率-1.01%（+0.99pct）。考虑到零售渠道销售阶段性增速放缓，我们下调2025-2027年盈利预测，预计归母净利润分别为17.87/21.05/24.74亿元（原预计18.74/22.48/26.79亿元），EPS为2.78/3.27/3.84元，当前股价对应PE为18.4/15.6/13.3倍，我们看好公司深耕阿胶品类、男科产品及产业链布局带来的长期发展潜力，维持“买入”评级。阿胶系列产品营收稳健增长，现金流及应收账款指标明显改善2025H1公司阿胶及系列产品营收28.45亿元（+11.50%），毛利率74.83%（-0.53pct）；其他药品及保健品营收1.42亿元（+7.06%），毛利率66.30%（-0.10pct）；毛驴养殖及贸易营收0.34亿元（-9.27%）；其他营收0.31亿元（+13.18%）。现金流及应收账款方面，2025Q2经营活动产生的现金流量净额为12.70亿元，较25Q1明显改善，主要系应收账款和应收款项融资等较25Q1下降所致。其中，应收账款为1.85亿元，较25Q1的5.41亿元明显下降；应收款项融资为0.61亿元，较25Q1的5.55亿元同样明显下降，指标呈现积极改善。深化科研平台优势，助力科技创新发展公司以科研平台为支撑，持续实施“一中心三高地N联合”研发策略。“一中心”：夯实已获批的国家胶类中药工程技术研究中心建设，致力打造胶类药物原创技术策源地，解决制约胶类行业发展的卡脖子关键共性问题。“三高地”：打造“原料涵养研发高地”、“滋补中药研发高地”、“健康消费品研发高地”。“N联合”：与国内顶尖科研院所共建多个联合创新平台，助力科技创新战略目标达成。风险提示：政策变化风险，产品销售不及预期，原材料价格变动等。,,开源证券,买入,[None],2025-08-22,,买入,6339513,pdf_downloads/2025/2025-08-22/000423-东阿阿胶（000423）：公司信息更新报告：2025H1经营业绩稳步提升，现金流指标明显改善.pdf,423,东阿阿胶,东阿阿胶（000423）：公司信息更新报告：2025H1经营业绩稳步提升，现金流指标明显改善,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 17.87,
            ""eps"": 2.78,
            ""pe"": 18.4
        },
        {
            ""year"": 2026,
            ""net_profit"": 21.05,
            ""eps"": 3.27,
            ""pe"": 15.6
        },
        {
            ""year"": 2027,
            ""net_profit"": 24.74,
            ""eps"": 3.84,
            ""pe"": 13.3
        }
    ]
}"
"崔文亮,程仲瑶","事件概述2025H1公司实现营收30.51亿元（yoy+11.02%），归母净利润8.18亿元（yoy +10.74%），扣非归母净利润7.88亿元（yoy +12.58%）。单Q2营收13.32亿元（yoy+2.90%），归母净利润3.93亿元（yoy+2.00%），扣非归母净利润3.72亿元（yoy+0.09%）；业绩符合我们预期。盈利能力方面，2025H1公司毛利率73.12%（-0.42pcts），归母净利率26.80%（-0.07pcts），扣非归母净利率25.82%（+0.36pcts）；单Q2毛利率72.49%（-3.01pcts），归母净利率29.49%（-0.26pcts），扣非归母净利率27.90%（-0.79pcts）。费用率方面，2025H1公司销售费用率33.79%（-2.59pcts），管理费用率6.06%（+1.17pcts），研发费用率2.62%（+0.26pcts）。聚焦主业，双轮驱动与创新研发并举公司以“1238”发展战略为指引，构建“药品+健康消费品”双轮驱动模式。强化“滋补国宝东阿阿胶”市场地位，同时围绕男士滋补打造“第二增长曲线”，以差异化产品和便利化消费体验拓展新人群，形成业务新增长点。核心产品阿胶及系列产品实现收入28.45亿元（yoy+11.50%），占总收入比重达93.24%，是公司业绩增长的主要驱动力。产品矩阵拓展方面，在“阿胶块”、“复方阿胶浆”等核心单品基础上，公司推出“燕真卿”阿胶燕窝等新品，持续丰富“药品+健康消费品”双轮驱动的产品矩阵。同时，通过“皇家围场1619”和“壮本”品牌，积极布局男士滋补新赛道，打造第二增长曲线。分地区看：核心市场华东地区收入17.18亿元(yoy+22.29%)，增长强劲,华南地区收入3.01亿元(yoy-16.04%)。高比例现金分红，彰显稳健经营与回报股东决心公司发布2025年中期利润分配预案，拟每10股派发现金红利12.69元（含税），现金分红总额约8.17亿元，占2025年上半年归母净利润的99.94%，持续高比例回报投资者。投资建议由于当前高端销售承压，我们调整公司盈利预测。预计公司2025-2026年营收分别为67.02、74.68亿元（原值为64.93、74.97亿元），对应增速分别为13.2%、11.4%；归母净利润为18.12、20.99亿元（原值为16.57、19.74亿元），对应增速分别为16.4%、15.8%，EPS为2.81、3.26元（原值为2.57、3.07元）；新增2027年收入为82.78亿元，归母净利润为23.95亿元，EPS为3.72元，对应2025年8月21日51.13元/股收盘价，PE 分别为18/16/14X；维持“增持”评级。风险提示 行业竞争加剧风险；医保政策风险；销售不及预期风险。",,华西证券,增持,[None],2025-08-22,,增持,6339438,pdf_downloads/2025/2025-08-22/000423-东阿阿胶（000423）：2025H1中药滋补主业稳健增长，中期高比例现金分红落地.pdf,423,东阿阿胶,东阿阿胶（000423）：2025H1中药滋补主业稳健增长，中期高比例现金分红落地,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 18.12,
            ""eps"": 2.81,
            ""pe"": 18
        },
        {
            ""year"": 2026,
            ""net_profit"": 20.99,
            ""eps"": 3.26,
            ""pe"": 16
        },
        {
            ""year"": 2027,
            ""net_profit"": 23.95,
            ""eps"": 3.72,
            ""pe"": 14
        }
    ]
}"
"甘坛焕,唐玉青,王奔奔",业绩简评2025年8月21日，公司发布2025年半年报。1H25公司实现收入30.51亿元，同比+11.02%；归母净利润8.18亿元，同比+10.74%；扣非归母净利润7.88亿元，同比+12.58%。单季度看，2Q25公司实现收入13.32亿元，同比+2.91%；归母净利润3.93亿元，同比+2.01%；扣非归母净利润3.71亿元，同比+0.07%。经营分析核心产品稳健增长，回款情况及现金流显著改善。1H25分产品看阿胶及系列产品收入28.45亿元，同比+11.50%，构建业绩稳健增长基石。2Q25末应收账款2亿元，相较于1Q25末应收账款6.96亿元有明显好转，回款能力显著改善。2Q25单季度销售商品、提供劳务收到的现金22.27亿元，显著高于当期营收，且相较于1Q25单季10.31亿元明显提升；2Q25单季经营活动产生的净现金流12.7亿元，相较于1Q25改善明显。回款和现金流报表端显著改善，未来业绩有望实现高质量稳健增长。中期拟每10股派发现金12.69元，预计分红现金总额达8.17亿元。自2024年首次中期分红后，2025年再次实施中期分红，向全体股东每10股派发现金12.69元（含税），现金分红总额为8.17亿元，占上半年母公司净利润的117.01%，占上半年归属于上市公司股东净利润的99.94%。高分红比例回馈股东，重视股东回报，彰显管理层对未来业绩长期稳健增长的信心。盈利预测、估值与评级预计公司25-27年归母净利润分别为18.3亿元、21.2亿元、24.3亿元，分别同比增长17%、16%、15%，对应EPS分别为2.84元、3.29元、3.78元，现价对应PE分别为18/16/14倍，维持“增持”评级。风险提示单一品类产品占比较大风险、市场竞争加剧风险、原材料价格波动风险、政策风险、新品放量不及预期风险等。,,国金证券,增持,[None],2025-08-21,,增持,6336083,pdf_downloads/2025/2025-08-21/000423-东阿阿胶（000423）：业绩稳健增长，现金流显著改善.pdf,423,东阿阿胶,东阿阿胶（000423）：业绩稳健增长，现金流显著改善,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 18.3,
            ""eps"": 2.84,
            ""pe"": 18
        },
        {
            ""year"": 2026,
            ""net_profit"": 21.2,
            ""eps"": 3.29,
            ""pe"": 16
        },
        {
            ""year"": 2027,
            ""net_profit"": 24.3,
            ""eps"": 3.78,
            ""pe"": 14
        }
    ]
}"
