author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"陆韵婷,沈晨",华泰证券(601688)投资要点：国际业务与科技赋能：看好华泰证券作为头部券商，凭借“科技赋能+全业务链协同”的双轮驱动模式，有望实现长期稳定增长。1）国际化战略清晰：公司已形成覆盖中国内地、中国香港、美国、新加坡、等多地联动的全球价值链体系，25H1公司国际业务收入23亿元，在总营收占比14%，同比+93%（剔除AssetMark出售影响）。公司国际业务已形成全业务链、多市场、多元化的体系，涵盖投行、衍生品、FICC、股票销售交易等，25年华泰港股承销市占率同比提升1.66pct至8.27%，中资券商中排名市场第3。2）科技投入转化为核心竞争力：公司将科技视为核心竞争力，持续进行大规模科技投入，信息技术投入24年行业排名第一（按照母公司口径公司的信息技术投入）。同时，华泰证券对于AI技术与业务场景进行深度融合，2025年10月上线行业首个金融AI独立应用“AI涨乐”，打破了传统券商App仅“内嵌AI模块”的局部优化模式，将AI能力贯穿于选股、交易、分析等关键环节，体现出公司在行业内金融科技应用领域处于领先地位。新“国九条”政策体系的落地，旨在推动资本市场高质量发展，对券商的专业能力提出了更高要求，出海国际化与科技能力正在重塑全行业的业务生态。2025年前3季度，公司扣非归母净利润达126.4亿元，同比+100.0%，单Q3扣非归母净利润达51.8亿元，同比+388.9%，环比+34.9%，业绩表现亮眼。我们认为，伴随公司持续深化科技赋能下的财富管理与机构服务“双轮驱动”战略，ROE有望在杠杆和利润率的双重提升下迈入新台阶。盈利预测与评级:我们预计公司2025-2027年实现归母净利润181/207/221亿元，同比+18%/15%/7%，当前股价对应2026年PB为0.83倍。我们选取中金公司、广发证券等作为可比公司，可比公司26年平均PB为1.11倍。鉴于华泰证券短期来看财富管理业务和国际业务布局领先，长期来看科技能力较强或将驱动全业务链价值提升，首次覆盖，给予“买入”评级。风险提示。资本市场波动风险、宏观经济波动风险、行业政策变化风险,,华源证券,买入,[None],2026-03-06,,买入,8485373,pdf_downloads/2026/2026-03-06/601688-华泰证券（601688）：科技能力卓著，国际化领先的头部券商.pdf,601688,华泰证券,华泰证券（601688）：科技能力卓著，国际化领先的头部券商
"孙婷,何婷",事件：华泰证券公告，拟根据一般性授权发行于2027年到期的零息可转换债券，发行金额100亿元，本次募资主要用于支持公司的境外业务发展及补充其他营运资金。对H股稀释较大，对A股影响较小。该债券的初始转换价为每股H股19.7港元，发行价格较公告前一个交易日溢价7%，预计可转换为约5.08亿股H股，相当于现有已发行H股数目的约29.53%及现有已发行股份数目的约5.62%，对H股稀释影响较大，对A股影响较小。可转债成本更低，转股后杠杆率小幅下降。截至2025Q3末，公司杠杆率为3.86倍，较2024年末增长18%。静态测算下，可转债转股前，公司杠杆率预计将增至3.91倍，转股后将下滑至3.73倍，对公司整体杠杆率影响较小。我们认为公司选择发行可转债的方式融资，一方面是由于可转债发行成本更低，另一方面相较于配股对市场的影响更小。中长期有利于公司境外业务发展。2024年出售Assetmark前，公司国际业务收入占比基本在25%以上，2025年上半年国际业务收入23亿元，占总收入的14%。公司境外业务以香港市场为依托，布局美国、欧洲、亚洲等成熟市场及新兴市场，此次融资将有效补充公司境外业务发展资金，我们预计资金将主要用于股衍、FICC、财富和资管等方向，有望进一步巩固在中资券商海外子公司第一梯队的地位，为公司开辟新的增长曲线。政策引导下，境内券商竞相加速布局海外市场。当前监管对于券商出海持明确鼓励态度。2025年12月，证监会主席吴清在中证协第八次会员大会上提到，证券机构需要提升跨境金融综合服务能力，稳步推进国际化布局，包括“一带一路”沿线市场拓展，加强境内外协同，引入国际先进经验，服务跨境资源对接。得益于政策的鼓励和引导，中资券商国际化步伐正不断加速。2025年12月，招商证券公告称董事会同意招证国际向其全资子公司分次增资不超过90亿港元。2026年1月，广发公告H股再融资61亿港元用于境外子公司增资，以支持国际业务发展。盈利预测与投资评级：资本市场改革持续优化，宏观经济逐渐复苏，带动市场投资热情回升；长期来看，证券行业未来发展的政策环境良好，公司此次通过发行可转债，有望抓住国际业务机遇进一步突破。结合公司当前经营情况，我们上调此前盈利预测，预计2025-2027年归母净利润分别为171/201/210亿元（前值分别为159/176/187亿元），对应增速分别为11%/18%/4%。当前市值对应PB分别为1.13/1.04/0.97倍，维持“买入”评级。风险提示：监管趋严抑制行业创新，行业竞争加剧，经营管理风险。,,东吴证券,买入,[None],2026-02-04,,买入,8394890,pdf_downloads/2026/2026-02-04/601688-华泰证券（601688）：拟发行可转债，资金用于支持境外业务发展.pdf,601688,华泰证券,华泰证券（601688）：拟发行可转债，资金用于支持境外业务发展
"高超,卢崑",事件：2月3日上午，华泰证券公告拟根据一般性授权发行可转换为本公司H 股股份的债券。再融资靴子落地，利好国际业务增长本次发行H股零息可转债（悉数转换后）一共对H股股份稀释29.53%，对总股本稀释5.6%，募资额拟用于境外业务发展及补充营运资金。短期对股价尤其是港股有压制，中长期利于海外业务发展，提升整体ROE。我们维持盈利预测，预计2025-2027年公司归母净利润168/217/251亿元，同比+9%/+29%/+16%（对应2025年扣非归母净利润同比+85%），对应PE为12.2/9.4/8.2倍，当前PB（LF）1.20倍，公司业务综合实力强，AI涨乐APP上线引领行业，维持“买入”评级。可转债转股稀释H股股本29.53%、总股本5.62%（1）金额与期限：华泰证券根据一般性授权发行H股可转债，拟发行本金总额为100亿港元的零息可转换债券，2027年2月8日（期限约1年），发行价为债券本金的100%。（2）转股价格：转换价格每股19.70港元，较最后交易日收盘价18.45港元溢价约6.78%。（3）股份摊薄：可转换债券仅可转换H股，可转换约5.1亿股，约占现有已发行H股的29.53%，占现有总股本的5.62%。（4）募资用途：募资净额约99.247亿港币，拟用于境外业务发展及补充营运资金。靴子落地，利好国际业务长期发展（1）2026年1月1日董事会拟建议股东会授予其在特定期间内发行不超过公司已发行总股本20%的股份的一般性授权，2026年1月23日股东大会通过了上述一般性授权，同日董事会审议通过给华泰国际金控增资90亿港币。对于再融资市场已有预期，本次公告转债发行在预期内，靴子落地。（2）本次H股转债全部转股对总股份稀释5.6%，比例不高，同时以转债方式、溢价发行，影响较小。（3）当前券商海外业务处于高景气阶段，国际子公司资本利用效率更快，ROE高于国内业务、杠杆上限更高，华泰海外子公司2025H1年化ROE 9.22%。本次增资有望驱动公司中长期ROE持续提升。风险提示：股市波动风险；股权再融资事项不确定性；市场竞争超预期。,,开源证券,买入,[None],2026-02-03,,买入,8391798,pdf_downloads/2026/2026-02-03/601688-华泰证券（601688）：发行H股可转债点评：再融资靴子落地，利好国际业务增长.pdf,601688,华泰证券,华泰证券（601688）：发行H股可转债点评：再融资靴子落地，利好国际业务增长
"孔祥,王德坤,林珊珊","华泰证券公布2025年三季度报。2025年前三季度，公司实现营业收入271.29亿元，同比+12.55%（调整后）；实现归母净利润127.33亿元,同比+1.69%；扣除非经常性损益后的净利润为126.39亿元，同比+100.04%，对应EPS1.35元，同比+1.5%；ROE为7.21%，同比下降0.38pct。业绩上涨主要因资本市场交投活跃度持续增强，公司经纪、投行及信用业务等主营业务收入增长所致。资本市场活跃度增强，经纪、利息业绩为主要驱动力。2025年前三季度，受市场活跃度持续增强影响，经纪业务收入65.88亿元，同比+66.14%。公司期末货币资金2,037亿元，比2024年末增长14.68%，主因客户资金增加。受益于市场风险偏好提升，8月以来两融余额屡创新高。前三季度，公司利息净收入32.7亿元，同比大幅提升1.51倍；公司融出资金规模较年初提升61%至1,698亿元，业绩增长主要系公司利息支出下降所致。股权融资回暖，投行业务业绩提升。2025年前三季度，市场股债融资规模较去年同期增长，投行业务修复明显。2025年前三季度，公司实现投行业务收入19.48亿元，同比+43.51%。同期，公司股权承销金额524.6亿元，同比提升1.51倍，IPO主承销规模行业排名第六；债券承销金额1.07万亿元，同比提升17.18%。当前公司IPO储备项目为8单，排名行业第四，后续并购业务有拓展潜力。资管、自营业绩持续承压。前三季度，公司资管业务实现净收入13.54亿元，同比-55.35%。2025年前三季度，公司实现投资业务收入（含公允价值变动）102.23亿元，同比-15.08%；公司金融资产规模4760.12亿元，同比+15.41%。风险提示：盈利预测偏差较大的风险；市场大幅波动风险；境外监管风险。投资建议：基于公司前三季度数据及市场表现，我们对公司2025-2027年的盈利预测分别上调0.17%、2.76%和2.60%，预测2025-2027年公司归母净利润分别为181.43元、202.06亿元、220.21亿元，同比增长18.2%/11.4%/9.0%，当前股价对应的PE为13.8/12.5/11.3x，PB为0.9/0.9/0.8x。作为行业转型范例，对公司维持“优于大市”评级。",,国信证券,优于大市,[None],2025-11-02,,买入,7249388,pdf_downloads/2025/2025-11-02/601688-华泰证券（601688）：“AI涨乐”将改变什么一AI智能体简析暨三季报点评.pdf,601688,华泰证券,华泰证券（601688）：“AI涨乐”将改变什么一AI智能体简析暨三季报点评
"蒋峤,葛玉翔","备注：股价截止自2025年10月31日收盘价报告摘要事件：华泰证券发布2025年第三季度报告，点评分析如下：业绩概览：公司盈利小幅增长，资产规模持续扩张。2025年前三季度，华泰证券实现归母净利润127.3亿元，同比增长1.7%；实现营业收入/扣除其他业务后的营业收入分别为271.3/294.0亿元，增速为-13.7%/14.8%，盈利能力较为稳定。截至2025Q3，公司总资产/归母净资产达到10,258.5/2,054.1亿元，同比增21.1%/10.7%，资本实力进一步增强；经营杠杆3.9x，同比升0.4x。主营结构：公司收入结构以投资业务为主，经纪业务与利息收入占比提升。2025年前三季度，公司实现经纪/投行/资管/净利息/净投资收入65.9/19.5/13.5/32.7/159.9亿元。轻资本业务中，公司经纪/投行/资管业务收入分别占比24.3%/7.2%/5.0%，同比+11.7/+2.9/-4.7pct，经纪业务占比显著提升；资本金业务中，净投资/净利息占比58.9%/12.1%，同比+10.9/+7.9pct，占比均提高。盈利驱动：业绩增长主要受益于经纪、投行及信用业务的高增长。市场环境变化下，公司经纪业务收入大幅增长，投行业务和净利息收入也呈现较高增速，部分抵消了资管业务的下滑；同时，管理费用略有下降，减值损失减少，共同推动净利润微增。2025年前三季度，华泰证券经纪/投行/资管/净利息/净投资收入分别同比+66.1%/+43.5%/-55.4%/+151.3%/+6.0%，其中经纪、投行和净利息业务成为拉动收入增长的关键引擎。投资建议：考虑到市场整体交投活跃度提升，预计2025-2027年归母净利润分别为165/182/203亿元，同比增速分别为8%/10%/11%，对应PB分别为1.0/0.9/0.9倍，维持“买入”评级。风险提示：市场大幅波动；业务拓展不及预期；研报使用信息滞后风险。",,中泰证券,买入,[None],2025-11-02,,买入,7247442,pdf_downloads/2025/2025-11-02/601688-华泰证券（601688）：25Q3点评：净利润增2%，经纪、信用带动增长.pdf,601688,华泰证券,华泰证券（601688）：25Q3点评：净利润增2%，经纪、信用带动增长
"徐康,刘潇伟","事项:华泰证券发布 2025 年三季报。剔除其他业务收入后营业总收入:266 亿元，同比+10.3%，单季度为 108 亿元，环比+22.4 亿元。归母净利润:127.3 亿元，同比+1.7%，单季度为51.8亿元，环比+12.8亿元同比-20.3 亿元。点评:公司 ROE 同比稳定，主要原因是去年同期出售 AssetMark 带来浮盈，导致去年同期基数较高。ROE杜邦拆分上看，公司杠杆信数提升明显，资产收益率及净利润率因去年同期出售 AssetMark 导致同比有所下行。公司报告期内ROE 为6.2%，同比-0.5pct，单季度ROE为2.5%，环比+0.6pct，同比-1.4pct,杜邦拆分来看:1)公司报告期末财务杠杆倍数(总资产剔除客户资金)为:3.68倍，同比+0.33倍，环比+0.4倍。2)公司报告期内资产周转率(总资产剔除客户资金，总营收别除其他业务收入后)为 3.5%，同比-0.4pct，单季度资产周转率为1.4%，环比+0.1pct，同比-0.5pct.3)公司报告期内净利润率为 47.9%，同比-4.1pct，单季度净利润率为 48.2%,环比+2.3pct，同比-13pct。资产负债表看，别除客户资金后公司总资产为7561亿元，同比+1337.1亿元净资产:2054 亿元，同比+198.5亿元。杠杆倍数为3.68 倍，同比+0.33 倍。公司计息负债余额为 4204 亿元,环比+724.6亿元,单季度负债成本率为 0.6%,环比-0.1pct，同比-0.2pct.自营结构中，权益类自营持仓明显提升，非权益类自营略有提升。两融业务规模增长明显，主要受益于行业层面因素，市占率有所降低，质押业务总规模环比下降。公司重资本业务净收入合计为134.9 亿元，单季度为 48.3 亿元，环比-1.2 亿元。重资本业务净收益率(非年化)为2.1%，单季度为0.7%，环比-0.lpct，同比-0.9pct。拆分来看:1)公司自营业务收入(公允价值变动+投资净收益-联营合营企业投资净收益)合计为 102.2亿元，单季度为35.9亿元，环比-2.8亿元，单季度自营收益率为1%，环比-0.1pct，同比-1.3pct。自营权益类证券及其衍生品/净资本为49.9%,较上期+17.6pct( 预警线为80%).自营非权益类证券及其衍生品/净资本为 309.9%，较上期+9.6pct(预警线为400%)对比来看，单季度期间主动型股票型基金平均收益率为+28.99%，环比+27.58pct，同比+17.06pct，纯债基金平均收益率为-0.43%，环比-1.36pct，同比-0堟誹罰弘疚镳66攏瑚家Ⓜ挼闺竑铠敌螬秋.2)信用业务:公司利息收入为100.4亿元，单季度为36.2亿元，环比+3.9亿元。两融业务规模为 1698 亿元，环比+387.9 亿元。两融市占率为 7.09%，同比-0.22pct.3)质押业务:买入返售金融资产余额为146亿元，环比-43.5 亿元。经纪业务收入同比显著增长，主要受益于年内市场成交量提升明显，投行业务收入有所修复，但仍在低位。经纪业务收入为65.9亿元，单季度为28.3亿元，环比+56%，同比+128.1%。对比期间市场期间日均成交额为 21119.5 亿元,环比+67.1%。投行业务收入为 19.5 亿元，单季度为 7.8 亿元，环比+1.5 亿元，同比+3.5 亿资管业务收入为 13.5 亿元，单季度为 4.6亿元，环比-0.1 亿元，同比-3.5 亿元监管指标上，公司风险覆盖率为 357%，较上期-49.3pct(预警线为 120%)，其中风险资本准备为 268 亿元,较上期+12.5%,净资本为 955 亿元,较上期-1.2%。净稳定资金率为 155.1%，较上期-0.6pct(预警线为 120%)。资本杠杆率为14.4%，较上期-2.2pct(预警线为 9.6%)投资建议:公司自营杠杆整体提升，在去年出售AssetMark 基础上年内 ROE维持平稳，整体业绩符合预期。考虑到市场景气度反转以及公司业务基本面较优，我们维持华泰证券盈利预期，2025/2026/2027年EPS为1.91/2.0712.26 元人民币，BPS 分别为 19.16/20.42/21.78 元人民币，当前股价对应 PB 分别为1.13/1.06/1.00 倍，加权平均 ROE 分别为 10.26%/10.47%10.71%。参考公司历史估值，考虑到市场目前总体景气度较高，以及公司当前业务总体情况，我们给予 2026 年业绩 1.20 倍 PB 估值预期，目标价 24.50元，维持“推荐”评级风险提示:市场交易量回落;资本市场创新不及预期;实体经济复苏不及预期",,华创证券,推荐,[None],2025-11-02,,增持,7241363,pdf_downloads/2025/2025-11-02/601688-华泰证券（601688）：2025年三季报点评：去年同期因AssetMark交易导致基数较高，业绩整体符合预期.pdf,601688,华泰证券,华泰证券（601688）：2025年三季报点评：去年同期因AssetMark交易导致基数较高，业绩整体符合预期
"刘欣琦,王思玥",维持“增持”评级，目标价28.18元。公司2025前三季度营收/归母净利润271.29/127.33亿元，同比-6.94%/1.69%；加权平均ROE同比-0.38pct至7.21%。结合最新市场环境与经营情况，上调盈利预期2025-2027年EPS为1.94/1.95/2.05元（此前为1.91/1.93/1.95元）；考虑到公司与可比公司的差异，给予公司2025年1.33xPB，目标价28.18元/股，对应14.54xPE。2025年前三季度公司扣非归母净利润同比+100%，投资、经纪与投行业务均实现同比高增。1）公司投资业务净收入（剔除出售资产的非经常性损益）同比+75.87%至131.89亿元，是扣非后业绩改善的主因；一方面，公司金融资产规模较2024年底+29.15%至4646.9亿元，增厚投资收益；另一方面，公司私募股权基金及另类投资项目估值同比增长，提振投资业绩。2）同时，市场股基交易活跃，公司经纪业务同比66.14%至65.88亿元，占调整后营收增量的99.27%。伴随A股及港股市场回暖，投行业务同比+43.51%至19.48亿元，占调整后营收增量的22.36%。券商AI应用步入商业化阶段，公司金融科技优势的定价逻辑有望逐步明晰。我们认为，伴随技术的逐步稳固，券商AI应用已步入商业化阶段。华泰推出的AI涨乐凭借极致用户体验有望进一步提升华泰证券线上获客与留客能力，助力提升公司经纪业务市场份额；未来，盈利模式的形成将进一步增厚公司盈利，提升公司盈利水平。公司金融科技优势有望形成定价逻辑，进一步提振估值。催化剂：权益市场活跃度与行情持续向好。风险提示：权益市场大幅波动。,,国泰海通,增持,[None],2025-11-01,,买入,7155449,pdf_downloads/2025/2025-11-01/601688-华泰证券（601688）：2025三季报点评：高增提振市场信心，金融科技有望定价.pdf,601688,华泰证券,华泰证券（601688）：2025三季报点评：高增提振市场信心，金融科技有望定价
"张凯烽,李劲锋",华泰证券(601688)事件：10/30华泰证券发布25年三季报。2025年前三季度，公司营业总收入271亿元，公告口径同比+12.6%，较上半年-18pct；归母净利润127亿元，同比+1.7%，较上半年-40pct。从单季数据看，25Q3归母净利润52亿元，环比+32.7%，同比-28.1%，同比较25Q2下降58pct。2025年前三季度公司归母净利润超过去年前三季度的125亿元；单季归母净利润同比增速转负，主要受去年同期出售AssetMark股权导致的高基数影响，我们预计公司2025年全年业绩有望保持历史高位。2025年前三季度经纪、信用与投行收入同比提速，自营收入受24Q3出售股权导致的高基数影响，资管业务同比降幅收窄。2025年前三季度公司自营/经纪/信用/投行/资管业务收入分别为102/66/33/19/14亿元，同比-15%/+66%/+151%/+44%/-55%，占比38%/24%/12%/7%/5%。资金类业务中，25年前三季度自营业务收入同比转为负增，主要是24Q3出售AssetMark股权，导致去年同期基数较高；利息净收入同比增幅保持在1.5倍；收费类业务中，25年前三季度经纪与投行业务收入同比增速均有所提升；资管业务收入同比降幅继续收窄。分各业务来看：（1）自营业务方面，剔除去年同期资产处置收益，25Q3单季自营收入同比仍高增，自营杠杆率环比提升。25Q3公司自营投资收入36亿元，环比-7.2%，同比-54.1%。若剔除24Q3出售AssetMark所得投资净收入63亿元，则25Q3自营投资收入同比+141.4%。从金融投资规模来看，25年三季度末公司金融投资4647亿元，环比+7.1%，同比+15.9%。其中净资产与自营杠杆分别环比+2.6%/+4.3%，近3个季度自营杠杆稳步提升。持仓结构方面，25Q3末交易性金融资产/债权AC/债权OCI/权益OCI占比分别为77.7%/9.8%/10.3%/2.3%，除环比减配债权AC之外，对交易性金融资产/债权OCI/权益OCI均环比增配，环比分别+0.5%/+121.7%/+42.1%，权益OCI规模同比大幅增长。投资收益率方面，25Q3年化自营投资收益率3.1%，环比小幅下降。投资策略保持稳健。（2）经纪业务方面，25Q3经纪业务收入同比继续提速，APP加速迭代巩固先发优势。25Q3公司经纪业务手续费净收入28亿元，环比+56.0%，同比+128.1%，同比增速较25Q2的33.1%明显提速。25年9月末代买证券款2326亿元，环比/同比分别+13.9%/+27.3%。市场交投热度保持高位，资金持续入市，公司经纪业务收入也实现大幅增长。根据iFinD统计，截至25年9月公司APP“涨乐财富通”月活用户数927万人，同比+24%。2025年10月公司正式上线金融AI独立应用“AI涨乐”，人工智能转型加速，公司在证券APP领域的先发优势也有望持续巩固。（3）信用业务方面，融出资金余额与利息净收入实现同比大幅增长。25Q3公司单季利息净收入12亿元，环比+15.1%，同比+108.8%。25Q3利息收入/利息支出同比+17.6%/-4.1%。融资融券方面，25Q3末公司融出资金余额1698亿元，同比+61.2%，市占率保持在7.1%。股票质押方面，25Q3末买入返售余额146亿元，环比有所下降，但同比+42.6%。利息支出方面，25Q3末公司应付债券、卖出回购余额环比提升，可能受益于融资成本下行。随着市场两融余额突破历史新高，公司两融业务市占率保持高位，我们认为信用业务收入或持续增长。（4）投行业务方面，25Q3投行收入同比增速提升，IPO/再融资规模同比高增，债券承销规模稳定增长。25Q3华泰证券投行业务收入8亿元，环比+24.7%，同比+83.0%，同比增速较25Q2增加7pct。股权承销方面，根据iFinD统计，25Q3公司IPO/再融资承销金额分别为42亿/83亿元，同比+372%/+5526%，同比增速保持高位。债券承销方面，25Q3公司债权主承销金额4411亿元，同比+25.1%，近4个季度债承规模稳定增长。（5）单季资管收入同比降幅收窄，南方基金与华泰柏瑞基金AUM规模持续增长。25Q3公司资管业务净收入5亿元，环比-1.6%，同比-43.2%，同比降幅连续第2个季度收窄。公募方面，根据iFinD统计，截至25Q3末，南方基金/华泰柏瑞基金公募AUM规模分别为1.48万亿/8012亿元，同比+9.7%/+16.4%，受去年24Q3末基数抬升影响，同比增速有所放缓。25Q3末华泰柏瑞旗下沪深300ETF规模4256亿元，规模有望持续扩大。我们认为，伴随资管业务费率调降与产品转换完成，公司未来资管收入有望筑底修复。净资产收益率与归母净利率保持高位，业务及管理费率环比下降。2025年Q3末公司总资产规模1.03万亿元，突破1万亿大关，同比+21.1%。归母净资产2054亿元，同比+10.7%。年化加权平均ROE7.21%，同比-0.38pct。25年前三季度公司归母净利率46.9%，环比+0.4pct，其中业务及管理费率（剔除其他业务）为44.1%，环比下降2pct；其他业务成本率下行至77.8%。投资建议：我们预计公司2025-2027年营收450/481/514亿元，归母净利润166/179/193亿元，对应10月31日收盘价的PE为12/11/10倍。公司收费类业务龙头优势有望持续巩固，经纪、信用业务收入高增，投行业务稳步修复。随着资本市场回暖，自营高基数影响逐步淡化。权益类基金发行规模持续扩大，公司资管业务收入有望筑底修复。维持“推荐”评级。风险提示：经纪佣金率与资管费率下滑、APP月活用户增长放缓、基金保有规模增长放缓等。,,民生证券,推荐,[None],2025-10-31,,增持,7125830,pdf_downloads/2025/2025-10-31/601688-华泰证券（601688）：经纪与信用业务收入高增，高基数影响或逐步淡化.pdf,601688,华泰证券,华泰证券（601688）：经纪与信用业务收入高增，高基数影响或逐步淡化
"高超,卢崑",业绩超预期，综合实力行业领先2025Q1-3公司营业收入/归母净利润为271/127亿元，同比+12.6%/+1.7%，扣非净利润同比+100%，业绩好于我们预期，单Q3归母净利润52亿，环比+33%。2025Q1-3年化加权平均ROE 9.61%，同比-0.51pct，期末杠杆率（扣客户保证金）3.86倍，同比+0.28倍有所扩表。2025Q1-3经纪/投行/资管/利息净收入/大投资业务分别为66/19/14/33/130亿元，同比+66%/+44%/-64%/+151%/-3%，核心业务增长动能强劲，资管和投资同比下降主因AssetMark资管收入基数以及2024Q3处置产生的非经常性损益高基数。预计2025-2027年公司归母净利润168/217/251亿元，同比+9%/+29%/+16%（对应2025年扣非归母净利润同比+85%），对应PE为11.7/9.0/7.8倍，当前PB（LF）1.14倍，公司业务综合实力强，AI涨乐APP上线引领行业，维持“买入”评级。经纪同比高增，投行增速扩张（1）2025Q1-3经纪净收入同比+66%，单Q3同比+128%，环比+56%（2025Q1-3市场股基ADT同比+112%；2025Q3同比+212%，环比+66%）。（2）2025Q1-3投行业务净收入19.5亿，同比+44%，较中报的25%增速扩张。据Wind，前三季度公司IPO承销数量8单、主承销金额109亿元，同比+74%；华泰金控（香港）承销IPO项目金额160亿，同比+869%，排名第四。（3）2025Q1-3资管业务净收入为13.5亿元，同比-64%，主要受AssetMark高基数影响，单Q3资管净收入为4.6亿，环比-2%。自营投资收益率改善，旗下基金公司AUM高增，资金成本下降（1）2025Q1-3公司自营投资收益(含公允价值变动损益、汇兑损益，不含联营) 100.5亿元，同比-15%，主要是AssetMark处置高基数，单季度自营环比+19%。前三季度自营投资收益率3.9%，较中报的3.5%扩张。2025Q3末自营金融资产规模3829亿，同比+8%，环比+2%。（2）2025Q1-3联营合营投资收益30亿，同比+84%，单季度13亿，环比+35%，预计南方基金、华泰柏瑞和PE子公司贡献增量。2025Q3末南方基金非货/偏股AUM 8005/4605亿，同比+21%/+17%，环比+14%/+21%，华泰柏瑞非货/偏股AUM 6983/5858亿，同比+20%/+15%，环比+17%/+15%。（3）2025Q1-3利息净收入32.7亿，同比+151%，利息收入/支出分别为100/68亿元，同比+1%/-22%，利息支出显著下降，公司出售资管子公司后，受海外高利率资金成本影响下降。2025Q3末公司两融市占率7.14%，环比+0.01pct。风险提示：股市波动风险；市场竞争超预期；自营投资收益率不及预期。,,开源证券,买入,[None],2025-10-31,,买入,7121267,pdf_downloads/2025/2025-10-31/601688-华泰证券（601688）：业绩超预期，综合实力行业领先.pdf,601688,华泰证券,华泰证券（601688）：业绩超预期，综合实力行业领先
"刘雨辰,耿张逸","事件华泰证券发布2025年三季报，调整后，9M2025实现营业收入271.3亿元，yoy+12.6%；归母净利润127.3亿元，yoy+1.7%；扣非归母净利润126.4亿元，yoy+100%；加权平均ROE7.21%，较去年同期-0.38pct。2025Q3单季度营业收入109.1亿元，yoy-6.9%/qoq+36.6%；归母净利润51.8亿元，yoy-28.1%/qoq+32.7%；扣非归母净利润51.8亿元，yoy+388.9%/qoq+35.0%。财富管理业务竞争力稳固，投行业务显著复苏1）公司9M2025累计实现经纪业务收入65.9亿，yoy+66.1%，占证券主营收入（剔除大宗商贸和政府补助）比重为24.9%。其中2025Q3单季度实现经纪业务收入28.3亿元，yoy+128.0%/qoq+55.9%。2）公司9M2025实现资管业务收入13.5亿，yoy-55.4%。其中2025Q3单季度资管业务收入4.6亿元，yoy-43.3%/qoq-1.7%。公司旗下华泰柏瑞非货及股混AUM维持增长，截至2025年三季度末，华泰柏瑞非货AUM为7198亿元，yoy+24%/qoq+16%，股混AUM为5986亿元，yoy+18%/qoq+14%。3）公司9M2025累计实现投行业务收入19.5亿元，yoy+43.6%。其中2025Q3单季度投行业务收入7.8亿元，yoy+83.1%/qoq+24.6%。按发行日统计，（1）9M2025公司IPO承销规模102亿，yoy+72.4%，行业排名第四；再融资规模324亿，yoy+433%，行业排名第六；（2）债承规模10681亿，yoy+17.2%，行业排名第四。投资收益率环比改善，投资端稳步扩表1）公司9M2025累计实现投资净收入（含汇兑收益）100.5亿，yoy-15.2%。其中2025Q3单季度投资净收入40.6亿元，yoy-45.3%/qoq+18.8%。我们测算公司2025Q3年化投资收益率为3.54%，qoq+0.23pct。2）截至2025年三季度末，公司金融投资规模4760亿，qoq+8%,其中交易性金融资产规模3724亿，qoq+2%，公司金融投资规模企稳回升。我们测算公司2025Q3投资杠杆为2.32倍，qoq+0.11倍；2025Q3经营杠杆为3.86倍，qoq+0.38倍。维持华泰证券“买入”评级考虑到两市交投活跃度显著提升，我们预计公司2025-2027年营收分别为412/459/524亿，同比-0.5%/+11.2%/+14.2%;我们预计公司2025-2027年归母净利润分别为158/182/218亿,同比+2.7%/+15.3%/+20.2%；EPS分别为1.75/2.01/2.42元/股。我们认为公司未来将持续保持财富管理领先地位，业绩有望随市场回暖进一步提升，维持“买入”评级。风险提示：市场修复不及预期；流动性收紧，居民资金入市进程放缓；政策变化风险。",,国联民生证券,买入,[None],2025-10-31,,买入,7589753,pdf_downloads/2025/2025-10-31/601688-华泰证券（601688）：业绩全面回暖，投资端稳健扩表.pdf,601688,华泰证券,华泰证券（601688）：业绩全面回暖，投资端稳健扩表
