author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"吴文吉,陈天瑜",信维通信(300136)端侧复苏释放增量，商业卫星深耕赋能l投资要点经营业绩持续向好。2025年前三季度，公司实现营业收入64.62亿元，同比增加1.07%；实现归母净利润4.86亿元，同比减少8.77%；实现扣非归母净利润4.29亿元，同比增加4.69%。Q3单季，公司实现营业收入27.59亿元，同比增加4.20%；实现归母净利润3.25亿元，同比减少1.77%；扣非后归属母公司股东的净利润为3.14亿元，同比增加22.06%。前三季度毛利率提升0.73个百分点至21.53%，主要得益于产品结构优化及高毛利新品占比提升。把握消费电子复苏机遇，持续优化产品结构。公司受益于手机、眼镜、智能可穿戴设备等AI终端出货量提升，天线、无线充电模组、精密结构件等核心产品线实现持续增长。基础材料研发上，对高分子材料、磁性材料、陶瓷材料、散热材料等核心材料领域保持高强度研发投入；天线领域，布局柔性可重构天线、卫星通信相控阵天线、毫米波雷达缝隙波导天线、高频封装天线、光学透明天线、UWB天线模组等多场景产品以满足不同智能终端通信需求；无线充电业务，巩固非晶纳米晶、铁氧体等材料及工艺优势并储备NFC无线充电、Qi2.0/Ki、高自由度充电技术；高速连接器领域，聚焦高频高速需求，研发轻量化、高频低损耗介电材料，多业务协同强化核心竞争力。商业卫星通信、智能汽车等领域进展显著。作为国内泛射频领域的领军企业，公司在商业卫星领域的布局已形成独特优势，不仅持续为低轨星座项目提供关键支持，还成功构建了涵盖材料研发到产品制造的全链路技术能力。公司已成功切入北美新客户AI硬件供应链，为其智能终端提供天线、无线充电、精密结构件一体化解决方案，后续将持续巩固商业卫星领域领先地位，深化与北美两大核心客户的合作绑定，同时在国内市场积极拓展新势力商业卫星通信客户，把握行业发展机遇。智能汽车方面，车载雷达、大功率无线充电模块、USBHub数据连接模块及定制化线束、连接器等产品取得良好进展，叠加AI技术在智能驾驶的渗透及车端与终端的无缝衔接，公司积极挖掘数字钥匙、汽车无线通信与感知等增量机会。海外运营层面，依托越南、墨西哥两大制造基地，公司全球交付效率、成本管控能力持续提升，实现对海外客户需求的就近快速响应，为全球化布局筑牢根基。l投资建议我们预计公司2025/2026/2027年分别实现收入96/108/129亿元，归母净利润7.5/9.4/11.9亿元，维持“买入”评级。l风险提示行业形势变化风险；汇率波动风险；新业务发展不及预期风险。,,中邮证券,买入,[None],2025-12-24,,买入,8271911,pdf_downloads/2025/2025-12-24/300136-信维通信（300136）：端侧复苏释放增量，商业卫星深耕赋能.pdf,300136,信维通信,信维通信（300136）：端侧复苏释放增量，商业卫星深耕赋能
"岳阳,高远","信维通信是全球一站式泛射频解决方案领导者。公司依靠射频业务起家，逐步
拓展自身产品布局，主营业务覆盖天线及模组、无线充电及模组、EMI\EMC
器件、高精密连接器、汽车互联产品、被动元件等产品。公司依靠自身在消费
电子的积累，逐步拓展自身下游，已形成“1+2+N”的业务布局，布局智能汽
车、卫星通信行业，并逐步孵化人形机器人、数据中心、低空飞行等新兴领域。AI 终端快速迭代助推零组件升级，海外龙头入局进一步加速公司成长。消费
电子行业出货量主要受行业创新影响，AI 大模型快速发展催生 AI 终端需求，
当前 AI 眼镜已进入快速爆发期。根据 WellsennXR 数据，全球 2024 年 AI 眼
镜销量为 152 万副，预计 2025 年将增长至 350 万副，同比增长 130%；预计
至 2030 年 AI 眼镜销量为 9000 万副。另外 OpenAI 以约 65 亿美元收购前苹果
首席设计师艾维的 IO 公司，并计划在 2026 年推出首批 AI 设备，巨头入局有
望进一步加速 AI 终端行业发展。AI 终端行业进入快速发展阶段，公司卡位天
线、无线充电和结构件等多个环节，有望深度受益行业创新带来的出货量增长。卫星通信星辰大海，进一步打开公司成长空间。商业卫星通信行业快速发展，
低轨卫星成为核心增量方向。据 Stratview Research 预测，2025 年全球低轨卫
星市场规模约 152 亿美元，2032 年有望提升至 347 亿美元，期间 CAGR 可达
12.5%。当前商业卫星行业已进入快速上升期，公司凭借此前自身长期在射频
技术和磁性材料等领域的研发优势，围绕低轨卫星互联网星座的地面终端环节
持续布局，根据公司互动易的回复，公司的 LCP 天线模组和高频高速连接器
等产品已成功服务于国外卫星通信客户，并且公司已成功切入国内客户核心供
应链，逐步构建起覆盖地面端连接器、天线、结构件的产品平台，有望受益行
业上升趋势。汽车智能化持续推进，推动射频等业务需求增长。随着汽车智能化水平的提
升，单车对天线的需求量显著增加。相较于传统燃油车平均 3-4 根天线的配
置，支持 L2+级自动驾驶功能的智能汽车所需天线数量已增至 6-8 根。根据智
研咨询数据，中国汽车天线市场规模从 2017 年的 22.67 亿元逐步扩大至 2024
年的 40.33 亿元，期间 CAGR 可达 8.57%。公司聚焦 &quot;材料→零部件→模组&quot;
一站式研发，在智能汽车领域构建了全面而深入的产品矩阵，覆盖车载天线、
大功率无线充电模块、高频高速连接器、UWB 模组、车载雷达相关器件、
EMI/EMC 解决方案等，有望受益汽车智能化持续推进。投资建议：信维通信为全球一站式泛射频解决方案领导者，客户覆盖全球消费
电子及卫星通信领先厂商。公司消费电子业务有望受益于海外大客户新 AI 终
端以及新天线方案放量；卫星业务有望受益于国内外商业卫星行业发展。我们
预计公司25-27年实现归母净利润8.00/13.81/19.10亿元（前值为7.86/9.35/11.11
亿元，上修主要因公司消费电子及卫星业务进入快速增长期），选择 AI 终端行
业供应商立讯精密、领益智造、歌尔股份，以及商业卫星行业供应商航天宏图、
中科星图作为可比公司，考虑公司进入快速增长期增速较快，给予适当估值溢
价，给予信维通信 26 年 35 倍 PE，目标价 50.05 元，上调至“强推”评级。风险提示：智能手机出货量不及预期、AI 终端创新进度不及预期、商业卫星
发展不及预期",,华创证券,强推,[None],2025-12-14,上调评级,买入,8237814,pdf_downloads/2025/2025-12-14/300136-信维通信（300136）：深度研究报告：全球一站式泛射频解决方案领导者，多业务齐头并进公司已进入新一轮上升周期.pdf,300136,信维通信,信维通信（300136）：深度研究报告：全球一站式泛射频解决方案领导者，多业务齐头并进公司已进入新一轮上升周期
李璐毅,事件：公司发布2025年三季报，前三季度实现营收64.62亿元，同比增长1.07%，归母净利润4.86亿元，同比下降8.77%。Q3单季度公司实现营收27.59亿元，同比增长4.20%；实现归母净利润3.25亿元，同比下降1.77%；实现扣非归母净利润3.14亿元，同比增长22.06%。点评：全球领先的射频器件厂商，加快新业务布局和产品落地。公司主营业务包括天线及模组、无线充电模组及相关产品、EMI/EMC器件、高精密连接器、声学器件、汽车互联产品、被动元件等。消费电子天线领域，公司是国内外多家科技企业的天线核心供应商。25H1公司移动终端天线及附件产品占营收比为100%。在AI技术变革浪潮下，手机、眼镜、智能可穿戴设备等AI终端出货量的增长带动公司如天线、无线充电模组、精密结构件等核心产品线的持续增长。25Q3全球消费电子市场延续复苏态势，公司在稳固原有消费电子业务的基础上，加快在新一代AI终端硬件、商业卫星、数据中心、机器人等新业务领域的布局与产品落地，打开未来成长空间。优化产品结构，25Q3盈利质量提升。25Q3单季归母净利润同比下降1.77%，因公司收到的政府补助金额同比减少，属于非经营层面的短期扰动，而扣非归母净利润同比增长22.06%，核心业务的内生增长动力不断增强。公司前三季度毛利率为21.53%，同比提升0.73pct；25Q3单季度毛利率为25.45%，同比提升1.69pct。25Q3单季度公司销售费用率、管理费用率、研发费用率、财务费用率分别为0.70%、3.70%、6.31%、0.76%，同比-0.04pct、-0.58pct、-0.87pct、-0.55pct。公司持续加大重要战略产品线的投入及优化产品结构，不断汰换毛利率较低的产品，同时加大新产品的营收比重，25Q3盈利质量进一步提升。基础材料研发投入高，多种天线产品可满足不同智能终端产品通信需求。公司致力于基础材料、基础技术的研究，2025年前三季度研发费用占营收比为7.5%。在基础材料研发上，公司对高分子材料、磁性材料、陶瓷材料、散热材料等核心材料领域保持高强度研发投入；在天线业务上，公司开发柔性可重构天线、卫星通信相控阵天线、毫米波雷达缝隙波导天线、高频封装天线、光学透明天线、UWB天线模组等，满足不同智能终端产品的通信需求；在高速连接器领域，研发满足高频高速需求的轻量化、高频低损耗介电材料。进入北美新客户AI硬件供应链，加大与北美大客户商业卫星业务合作。,,中原证券,增持,[None],2025-10-31,,增持,7122099,pdf_downloads/2025/2025-10-31/300136-信维通信（300136）：季报点评：Q3盈利质量提升，进入北美新客户AI硬件供应链.pdf,300136,信维通信,信维通信（300136）：季报点评：Q3盈利质量提升，进入北美新客户AI硬件供应链
"韩潇锐,蒯剑,薛宏伟,朱茜,李晋杰",核心观点短期利润率承压，看好公司长期新业务卡位。公司24及25H1毛利率均有所承压，一方面此前消费电子需求较为疲弱，另一方面公司新业务及客户尚在培育阶段，已承接的一些新项目也在爬坡阶段，尤其在海外业务布局方面，公司部分业务转到越南等海外基地短期内影响企业毛利率表现。但我们认为公司在消费电子、汽车、商业卫星通信等均切入海外头部客户，公司在越南、墨西哥等国家设立并扩建生产基地，海外业务规模持续扩大。海外产能建设有助于公司海外业务进一步放量。长期来看，我们认为1）公司传统智能终端业务仍有升级趋势，伴随AI趋势各类零组件及模组将迎来改款升级机遇；2）公司商业卫星通信等新业务第二增长曲线24年已逐步放量，后续利润率有望逐步回升。卫星通信加速放量，第二增长曲线成形。低轨卫星是当前颇具应用前景的卫星移动通信技术之一。近期Space X完成又一次星链发射任务并公布了其星链服务全球用户突破700万，覆盖150多个国家和地区，相比24年9月用户数接近翻倍。信维是国内少数在该领域前瞻布局的企业，公司在商业卫星领域可以为客户提供天线及模组、连接器、精密结构件等零部件，已为国外大客户批量供货高精密连接器，子公司亚力盛连接器有限公司24年营收近7亿元，此外公司也在积极导入新产品及新客户，相应领域收入规模有望进一步扩大。消费电子业务方兴未艾，端侧AI驱动产品结构升级。部分投资者认为公司传统主业或将增长乏力，但我们认为公司将受益于端侧AI趋势下在射频连接、无线充电、高速互联、精密结构、无源器件、声学模组等方面性能升级需求。例如25年公司参与北美大客户钢壳电池升级项目，提供可有效抵抗外部环境侵蚀和损伤且兼具轻薄性的不锈钢电池壳，从而提升终端续航能力，未来在北美大客户应用机型有望进一步下沉，同时向安卓客户进一步拓展。我们预测公司25-27年归母净利润分别为7.5/9.3/11.1亿元（原25-26年预测分别为10.1/12.4亿元，主要下调营收及毛利率预测），根据可比公司26年34倍PE估值，对应目标价为32.64元，维持买入评级。风险提示射频行业发展不达预期；公司新增业务发展不达预期；其他收益不及预期风险。,,东方证券,买入,[None],2025-10-23,,买入,6700913,pdf_downloads/2025/2025-10-23/300136-信维通信（300136）：卫星通信加速放量，端侧AI驱动产品结构升级.pdf,300136,信维通信,信维通信（300136）：卫星通信加速放量，端侧AI驱动产品结构升级
陈海进,信维通信作为射频龙头，以全链路技术能力布局前沿领域，强化全球核心竞争力。信维通信作为国内射频器件领域的龙头企业，主营业务涵盖天线及模组、无线充电模组、EMI/EMC器件、高精密连接器、声学器件、汽车互联产品与被动元件等多类产品。公司是国内外多家头部科技企业的天线主力供应商，产品广泛应用于消费电子、商业卫星通信、智能汽车、物联网等多个高增长领域。在商业卫星通信方面，公司已向北美客户供应终端连接器与天线产品，预计25H2实现批量交付，并积极拓展国内商业卫星客户，未来有望进一步提供天线、连接器、结构件及整机级解决方案。传统业务基本盘稳健，LCP、UWB等新品放量驱动公司增长。公司在天线、无线充电与精密结构件等传统优势领域持续领先，产品广泛覆盖全球头部消费电子客户，构建了稳健的业务基本盘。无线充电业务受益于智能手机、可穿戴设备及智能汽车对Qi2.x等标准模块的快速普及，迎来新一轮增长；精密结构件业务凭借轻薄耐腐电池壳等创新产品，持续获得大客户订单。同时，公司积极推动LCP模组、UWB模组等新品拓展，LCP天线模组已在北美大客户实现规模交付，并配合多家头部客户推进方案研发；UWB模组已在智能汽车钥匙、智能门锁、医疗设备等领域批量出货，并持续拓展至物联网、人形机器人等新场景。商业卫星北美客户预计25H2放量，汽车产品或将构筑第二成长曲线。在商业卫星通信领域，公司已实现高频连接器、毫米波天线等产品的突破，与北美客户持续合作并预计下半年批量供货，同时积极导入国内新兴商业卫星客户。在智能汽车领域，公司持续深化与国内外主流主机厂及Tier1供应商合作，车载无线充电模组等传统优势产品定点项目持续增加，并在车载雷达、大功率无线充电、USB Hub及高速连接器等新品类别不断突破，产品矩阵日益丰富。公司在汽车领域的布局有望在未来2–3年显著贡献业绩，为公司成长提供有力支撑。盈利预测与投资评级：公司核心业务持续稳健推进产品与客户合作，同时有望受益于消费电子行业景气度回升。此外，公司在商业卫星通信领域已实现快速突破，预计将成为业绩增长的新动力。预计公司2025-2027年实现营收97.05/109.2/123.4亿元，归母净利润为7.29/8.14/9.7亿元，对应PE为34/31/26。维持“买入”评级。风险提示：行业竞争加剧，下游需求不及预期，公司订单交付不及预期。,,东吴证券,买入,[None],2025-09-19,,买入,6453176,pdf_downloads/2025/2025-09-19/300136-信维通信（300136）：传统业务基本盘稳健，卫星与汽车业务构筑新成长曲线.pdf,300136,信维通信,信维通信（300136）：传统业务基本盘稳健，卫星与汽车业务构筑新成长曲线
李璐毅,事件：公司发布2025年中报，25H1，公司实现营收37.03亿元，同比-1.15%，归母净利润1.62亿元，同比-20.18%。25Q2，公司实现营收19.60亿元，同比+3.82%，归母净利润0.84亿元，同比+65.12%。点评：国内射频器件龙头企业之一，LCP天线模组已服务北美大客户。公司主营业务包括天线及模组、无线充电模组及相关产品、EMI/EMC器件、高精密连接器、声学器件、汽车互联产品、被动元件等。消费电子天线领域，公司是国内外多家科技企业的天线核心供应商。25H1，公司移动终端天线及附件产品占营收比为100%。商业卫星通信领域，公司已经为北美客户提供终端设备的连接器和天线产品，预计25H2实现批量供货，同时在国内市场积极拓展新势力商业卫星通信客户，未来有望导入更多海外及国内客户，在天线、连接器和结构件以及整机等方面为客户提供完整的解决方案。产品结构调整，25Q2起经营逐步改善。25H1，公司实现营收37.03亿元，同比-1.15%，归母净利润1.62亿元，同比-20.18%。25Q2，公司实现营收19.60亿元，同比+3.82%，归母净利润0.84亿元，同比+65.12%。25H1，公司毛利率为18.61%，同比-0.1pct，期间费用率为15.19%，同比+1.55pct。25Q2公司毛利率为17.85%，同比+0.6pct。公司持续实施对重要战略产品线的投入及海外基地的布局，25H1，国外业务占比64.74%，中国大陆业务占比35.26%。公司淘汰更换毛利率较低的产品，同时加大新产品的营收比重，25Q2开始经营已逐步改善。重视研发投入和技术创新，具备领先的产业实现能力。25H1公司研发费用占营收比为8.42%，近2年的研发投入占当年营收比均超过8%。公司在磁性材料、高分子材料、陶瓷材料、功能复合材料、散热材料等核心材料领域持续进行研发投入，将通过给客户提供新产品、新技术对毛利率形成支撑，并保持技术领先优势。公司目前已加入国际无线产业联盟（IWPC），同时还是全球最具权威的无线通信产业和移动生态系统协会（美国无线通信和互联网协会，CTIA）等多个行业协会的重要成员。公司与业内一流企业持续合作，共同制定相关方法标准等，开展通信技术前沿研究与产业化应用，推动自主创新，加速科技成果转化。随着新业务的逐步落地，预计为公司未来2-3年的整体增长提供新动能。天线、无线充电、精密结构件等业务保持市场优势，LCP模组、UWB模组等新业务带来增量。25H1，公司天线业务继续保持领先；无线充电业务受益于智能手机、可穿戴设备及智能汽车对无线充电模块、特别是支持Qi2.x等标准的无线充电模块的快速渗透，全球无线充电市场预计将逐步实现较快增长；精密结构件业务随着客户新机型导入及大客户订单持续拉动，公司轻薄耐腐不锈钢电池壳等业务形成持续订单；同时，依托越南、墨西哥两大海外基地产能+技术的协同支撑，加速全球业务拓展。公司在LCP模组/毫米波天线、UWB模组、高精密连接器、被动元件等新业务方面逐步获得更多业务机会。商业卫星通信领域预计迎来新一轮的增长期。以“星链”为代表的低轨巨型星座颠覆传统模式，通过数千颗近地卫星构建低延迟、高速率的全球网络，解决偏远地区接入难题。卫星通信行业将向6G天地融合、手机直连卫星及量子通信等方向演进。卫星通信终端天线向动中通、便携式、平板式等形态发展，总的趋势是低轮廓、低成本、低功耗、小尺寸。我国卫星通信行业在政策引领、技术创新与市场拓展的协同驱动下高速发展。25H1，我国航天发射次数再创新高，卫星互联网建设全面提速，低轨星座进入实质性组网阶段。据中商产业研究院预测，2025年我国卫星互联网产业在政策、技术与市场三重驱动下实现跨越式发展，全年市场规模将达到约440亿元，同比增长10.7%。受益于全球商业卫星通信连接需求的增加、低轨卫星星座的快速部署以及技术的持续创新，商业卫星通信领域预计迎来新一轮的增长期。盈利预测及投资建议：消费电子相关产品是公司收入和利润的重要来源，公司维持在消费电子移动终端领域的领先优势，在商业卫星通信领域布局较早，已成功为大客户供货，卫星业务有望保持高速发展。我们预计公司2025-2027年归母净利润为7.34亿元、8.03亿元、8.62亿元，对应PE为36.64X、33.50X、31.20X，维持“增持”评级。风险提示：行业竞争加剧；汇率波动的不确定性。,,中原证券,增持,[None],2025-08-29,,增持,6368140,pdf_downloads/2025/2025-08-29/300136-信维通信（300136）：中报点评：Q2业绩改善，商业卫星通信业务规模持续扩大.pdf,300136,信维通信,信维通信（300136）：中报点评：Q2业绩改善，商业卫星通信业务规模持续扩大
"耿琛,岳阳,高远","信维通信发布 2025年半年度报告:公司2025H1实现营业收入37.03亿元( YoY1.15%)，实现归母净利润 1.62 亿元(YoY-20.18%)，实现扣非归母净利润 1.15亿元(YoY-24.58%)，单季度来看，公司202502实现营业收入 19.60亿元(YoY+3.82%，000+12.47%)，实现归母净利润 0.84 亿元(YoY+65.12%,00Q+8.84%),实现扣非后归母净利润 0.63 亿元( YoY+84.28%,00022.75%)评论:新产品营收比重持续上升，公司二季度业绩同环比表现亮眼。公司上半年持续实施对重要战略产品线的投入及海外基地的布局，不断淘汰更换毛利率较低的产品，同时加大新产品的营收比重，故而对一季度业绩产生了不利影响，但二季度开始公司调整已逐步显现成效，同环比表现亮眼。传統消費电子业务保持稳健，LCP 模组、UWB 模組新品贡献增量。公司在天线、无线充电、精密结构件等领域具备深厚积累，各块业务处于持续放量的阶段，构成公司坚实基本盘。另外公司不断拓展LCP 模组、UWB 模组等新品的业务机会，LCP 天线模组已在北美大客户实现放量，另外公司亦在配合其他头部客户进行 LCP 天线方案的研究，后续有望进一步贡献增量;UWB 模组方面，公司已在智能汽车钥匙、智能门锁、智能医疗设备等领域实现批量出货，另外公司亦在持续拓展智能汽车、物联网、人形机器人等应用领域。商业卫星及智能汽车构成公司第二增长曲线，有望形成公司长期业绩增量，商业卫星领域，公司与现有海外头部客户保持持续合作，另外新拓展了北美客户与国内新势力商业卫星客户，有望受益于商业卫星通信行业快速发展趋势。智能汽车领域，公司无线充电模组等传统优势产品定点持续拓展，另外公司在车载雷达、大功率无线充电模块、USB Hub 及定制化线束、连接器等领域持续发力，不断拓展自身产品品类，后续有望形成公司新的成长动力。投资建议:公司主力业务稳步推进产品与客户拓展，同时有望充分受益消费电子复苏。另外公司商业卫星通讯已取得快速突破，有望成为公司业绩增长的重要增量之一。公司 2502开始产品结构调整已初见成效，后续盈利能力有望逐步修复，我们预测公司 25~27 年归母净利润预测为 7.86/9.35/11.11 亿元(25.26 年前值为 9.63/10.66亿元，下调主要因卫星通信行业发展进度延后)。考虑到公司当前正处于修复阶段，参考可比公司估值给予适当溢价，给予公司 2026年30倍PE，目标价29.1元，维持“推荐”评级。风险提示:终端需求复苏进展不及预期、行业竞争加剧",,华创证券,推荐,[None],2025-08-24,,增持,6341672,pdf_downloads/2025/2025-08-24/300136-信维通信（300136）：二季度业绩同环比表现亮眼，消费电子新品、商业卫星和智能汽车打开公司长期成长空间.pdf,300136,信维通信,信维通信（300136）：二季度业绩同环比表现亮眼，消费电子新品、商业卫星和智能汽车打开公司长期成长空间
吴文吉,投资要点AI赋能消费电子迭代创新。AI技术的跨越式发展正在重塑智能终端设备面貌，使得智能终端设备不仅在性能上得到显著提升，其交互方式从触控到语音、手势等自然方式的转变，也为用户提供了更直观、便捷的使用体验，推动社会快速进入智能化时代。随着AI技术的进步以及智能终端使用体验的提升，对硬件配置的要求也随之提高。AI算法复杂性的增加，除了需要配备更高性能的处理器和更大的数据存储空间外，对终端设备数据信号的连接性、电池续航以及摄像头、音频硬件等均有新的需求。公司在射频信号传输、高精密连接器、高精密结构件等产品上已有长期、深入的研究和储备，相关产品已获得客户认可，各项业务通过持续深入的研究与全球各大客户保持长期紧密的合作。新兴业务积极拓展。公司积极开拓新的业务领域，加大在智能汽车业务上的客户及产品拓展，取得部分国内外主机厂及Tier1的供应资质；智能汽车业务是公司的重要战略布局，公司将持续保持在该领域业务、产品上的投入，进一步挖掘相关业务的合作机会。在被动元件业务方面，公司持续完善深圳-日本-韩国-常州-益阳多地国际化研发体系及高端人才梯队建设，瞄准被动元件高端定位，成功开发多品类、多型号的高端电阻及MLCC产品，其中高端MLCC产品的电气性能、可靠性等指标达到日韩同行同类型MLCC产品的技术水平。投资建议：我们预计公司2024-2026年归母净利润6.8/8.5/10.0亿元，首次覆盖给予“买入”评级。风险提示：行业竞争格局加剧风险；原材料价格波动；下游需求不及预期；产品研发不及预期；汇率波动风险。,,中邮证券,买入,[None],2024-12-02,,买入,5849921,pdf_downloads/2024/2024-12-02/300136-信维通信（300136）：消费电子+卫星通讯+智能汽车，多业务发展阶段的跨越.pdf,300136,信维通信,信维通信（300136）：消费电子+卫星通讯+智能汽车，多业务发展阶段的跨越
刘京昭,消费电子复苏在即，多业务广泛获益。我们认为，信维通信Q3业绩显著改善主要系消费电子市场回暖的影响。供给侧来看，24年1-9月我国规模以上电子信息制造业增加值同比增长12.8%，高于同期工业7个百分点，产业上升迹象显现；需求侧来讲，根据Canalys预测，24年全球智能手机出货量预计将达12亿台（yoy+5%），大幅好于过去两年成长水平，我们认为手机核心零部件间接受益。同时，以卫星通信、汽车电子为代表的新兴业务或对公司总体营收起到一定提振作用。费用管控表现优异，毛利水平暂时性波动。费用方面，受到人工成本、海外基地费用增加等因素的扰动，Q3季度销/管/研三费费用绝对值水平分别同比上涨25.94%、23.06%、32.62%，而费用水平较高的管理、研发费用率仅为4.28%、7.19%，较Q2分别下降1.15、1.68个百分点，费用控制显著改善；利润率方面，Q3公司销售毛利率、净利率达23.76%、12.45%，较23年同期变动-4.81、-1.91个百分点。现金流方面，公司经营性净现金流于Q3季度达1.45亿元，较Q2时期环比增长141.90%，现金流确定性逐步改善。新兴业务快速崛起，业务成长前景向好。展望未来，我们认为公司的成长逻辑将聚焦于以下三方面：1）消费电子领域， Apple Intelligence在iPhone 16、iPhone 15 pro上已更新发布，信维通信作为苹果在大陆的重要供应商，有望深度受益于AI手机的长期放量。2）汽车电子领域，公司加大在智能汽车业务上的客户及产品拓展，取得部分国内外主机厂及Tier1的供应商资质；3）卫星互联网领域，目前公司已成功给北美大客户供货，未来计划切入更多大型厂商，相应领域收入规模预计进一步扩大，第二成长曲线有望开启。投资建议公司是国内泛射频领域的领军企业，有望深度受益于卫星互联网扩容，以及终端设备市场的回暖。我们预计2024-2026年公司营业收入为85.43、97.09 、107.84亿元，同比增长13.19%、13.65%、11.07%；实现归母净利润7.32、10.68、11.63亿元，同比增长40.46%、45.78%、8.92%，对应PE为33/22/21倍，维持“买入”评级。风险提示卫星通信商业化落地不足风险；卫星通信市场竞争加大风险；传统业务产品升级换代不足预期风险。,,上海证券,买入,[None],2024-11-02,,增持,5819182,pdf_downloads/2024/2024-11-02/300136-信维通信（300136）：2024年三季报点评：Q3业绩稳中向好，消费电子回暖加速.pdf,300136,信维通信,信维通信（300136）：2024年三季报点评：Q3业绩稳中向好，消费电子回暖加速
"耿琛,岳阳,高远",2024年10月30日，信维通信发布2024年三季度业绩报告：公司2024年前三季度实现营业收入63.94亿元（YoY+14.31%），实现归母净利润5.33亿元（YoY+3.08%），实现扣非归母净利润4.10亿元（YoY-16.91%）。单季度来看，2024年三季度信维通信实现营业收入26.48亿元（YoY+17.78%，QoQ+40.26%），实现归母净利润3.31亿元（YoY+2.05%，QoQ+547.03%），实现扣非归母净利润2.57亿元（YoY-26.07%，QoQ+647.43%）。评论：AI技术发展推动智能终端设备加速创新，公司持续进行新品验证扩大收入规模。据IDC数据，2024年三季度全球智能手机出货3.16亿部，同比增长4.0%，已连续第五个季度实现增长。此外，AI技术的跨越式发展正在重塑智能终端设备面貌，同时也提升了对硬件配置的要求，除了需要配备更高性能的处理器和更大的数据存储空间外，对终端设备数据信号的连接性、电池续航以及摄像头、音频硬件等均有新的需求。公司在射频信号传输、高精密连接器、高精密结构件等产品上已有长期、深入的研究和储备，与国内、外大客户持续保持积极合作，不断开拓产品类型、提高产品技术能力，目前已有多款射频及精密结构类新产品在客户端进行验证。为配合智能终端设备更高密度电池的升级，公司已为客户提供可有效抵抗外部环境侵蚀和损伤且兼具轻薄性的不锈钢电池壳，从而提高终端设备的电池续航能力。广泛布局卫星通讯&服务器&汽车&物联网&被动元件等领域及业务，打造第二增长曲线。除消费电子市场以外，公司在商业卫星通讯领域取得快速突破，业务规模持续扩大；公司高频高速连接器取得了在服务器和汽车领域的突破，预计2026年自有技术产品在工业、航空领域会得到新的突破。公司在UWB业务方面也做了布局，已成功应用于智能汽车钥匙、智能门锁、医疗设备等物联网/智能家居领域。此外，公司加大在智能汽车业务上的客户及产品拓展，取得部分国内外主机厂及Tier1的供应资质；智能汽车业务是公司的重要战略布局，公司将持续保持在该领域业务、产品上的投入，进一步挖掘相关业务的合作机会。在被动元件业务方面，公司持续完善深圳-日本-韩国-常州-益阳多地国际化研发体系及高端人才梯队建设，瞄准被动元件高端定位，成功开发多品类、多型号的高端电阻及MLCC产品，其中高端MLCC产品的电气性能、可靠性等指标达到日韩同行同类型MLCC产品的技术水平。投资建议：公司主力业务稳步推进产品与客户拓展，同时有望充分受益消费电子复苏。另外公司商业卫星通讯已取得快速突破，有望成为公司业绩增长的重要增量之一。由于短期内公司仍受消费电子终端需求疲软影响，我们下调公司24~26年归母净利润预测为7.75/9.63/10.66亿元。参考可比公司给与公司2025年30倍PE，目标价29.85元，维持“推荐”评级。风险提示：终端需求复苏进展不及预期、行业竞争加剧,,华创证券,推荐,[None],2024-10-31,,增持,5810461,pdf_downloads/2024/2024-10-31/300136-信维通信（300136）：2024年三季报点评：AI终端驱动消费电子零组件迭代，新产品新客户构建第二增长曲线.pdf,300136,信维通信,信维通信（300136）：2024年三季报点评：AI终端驱动消费电子零组件迭代，新产品新客户构建第二增长曲线
