author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
Catherine Li,最新动态我们近期与潮州三环（海通国际未覆盖）的交流显示，其产品需求强劲且利润率前景乐观。公司背景信息详见下文。公司向布鲁姆能源（“优于大市”评级）供应陶瓷隔膜板（占其总营收的5%），并预计随着后续生产基地的产能扩张，公司订单将会增加。总体而言，公司对其产品前景持乐观态度。点评潮州三环背景：潮州三环（股票代码：300408 SZ）是中国一家先进材料供应商，成立于1970年，在深圳证券交易所上市，在深圳、成都、南充、德阳、苏州、武汉、香港、德国及泰国等多地设有子公司。公司第一大股东为潮州市三江投资有限公司，持股33.67%，其余为流通股。公司产品涵盖电子、新能源、通信、半导体、移动智能终端。公司主要生产和销售通信元件、电子元件及材料、新材料。公司战略聚焦于产品端、市场份额扩张（部分产品全球市占率达70%-80%）及产品研发。产品组合：1.精密陶瓷结构件：该板块包含为精密部件设计的高性能陶瓷组件，可定制以满足客户特定需求，并具备强大的量产能力。这些产品应用于半导体、医疗器械、新能源汽车及化工等行业。2. 光通讯：凭借尺寸精度高和插入损耗低的优势，该产品线包括陶瓷插芯和连接器等组件。这些产品用于光通信网络以提升传输能力。3. 陶瓷外观件：陶瓷外观件可为智能手机和智能手表等设备增强美感，具备高硬度、颜色多样且不产生信号干扰等特性，是高端消费电子产品的理想选择。4. 封装：该板块涉及先进封装解决方案，例如陶瓷基座和玻璃封装，提供高可靠性和热稳定性。5. 模组：模组板块包含为现代制造工艺设计的高精度点胶阀。这些组件能提供速度和精度，应用范围涵盖从粘合剂到有机溶剂等多种场景。6. 电子材料：该板块包括氧化铝和氮化铝基板、电子浆料和金属化陶瓷，旨在满足客户的特定需求。应用领域涵盖片式电阻器、电感器及电路板组装等。2024年，毛利率最高的业务板块是陶瓷插芯和隔膜板，毛利率均约为50%，其他大多数产品也录得较高的毛利率，多数不低于20%风险提示：1. 消费需求下滑，2.执行风险，3.材料成本上涨，4. 地缘政治风险,,海通国际证券,,[None],2025-12-10,,,8246951,pdf_downloads/2025/2025-12-10/300408-三环集团（300408）：聚焦产品端，布鲁姆能源相关业务展望乐观.pdf,300408,三环集团,三环集团（300408）：聚焦产品端，布鲁姆能源相关业务展望乐观
"薛宏伟,蒯剑,韩潇锐",核心观点事件：近期被动元器件厂商均表示看好 AI 对行业的拉动，市场对于 AI 驱动被动元器件周期向上的预期在提升。被动元器件大厂涨价动作频繁。近期国内被动元件企业风华高科向代理商和客户发出了调价通知，宣布多类产品价格将上调5%至30%不等，特别是在电感磁珠、压敏电阻和瓷介电容等关键产品上涨幅最高达30%。同时，国巨旗下的基美（Kemet）也于11月1日起调整了T520、T521和T530系列钽质电容的价格，涨幅同样高达20%至30%。这一波涨价是基美今年以来的第二次，且范围从代理商扩展至直销客户，显示出市场需求的紧迫性。AI 驱动 MLCC 行业向上，公司卡位高端高容优势明显。当前 MLCC 行业景气度逐步向好，各厂商库存去化叠加稼动率持续改善，加之AI服务器、汽车电子等下游领域的强劲拉动，我们看好产业链相关企业因此受益。AI应用的爆发式增长正在推动MLCC需求激增，单台AI服务器所需的MLCC数量是传统服务器的8倍，有望推升MLCC行业量价齐升。三环集团MLCC产品形成了丰富的产品矩阵，广泛应用于移动通信、智能终端、新能源等行业，现已覆盖微小型、高容、高可靠、高压、高频系列，形成了全面的产品矩阵，市场认可度逐步提升，国产替代加速推进。北美 AI 电力建设驱动 SOFC 放量。根据 Alpha Engineer，AI 发展导致数据中心电力需求激增，而美国电网扩容缓慢，形成了高达12GW的电力缺口。Bloom Energy通过模块化设计，可以在 90天完成MW级系统安装的速度，对比电网扩容（5-7年）和燃气轮机（2-3年） 的建设周期，刷新了数据中心能源设施的建设逻辑，满足了AI数据中心建设紧迫性的问题。三环集团持续推进以固体氧化物燃料电池（SOFC）为代表的一系列新产品的创新开发，推动产业转型升级。我们认为，SOFC在北美的空间仍然被市场低估，公司通过SOFC隔膜板的批量供应可以完全受益于北美AI电力建设的强劲增长。盈利预测与投资建议我们预计公司 25-27 年归母净利润分别为 27.9、35.9、43.9 亿元（26-27 年原预测为31.6、39.6亿元，主要调低了电子元件及材料业务、通信部件业务的营收和毛利率），根据可比公司26年29倍PE估值，对应目标价为54.23元，维持买入评级。风险提示下游需求不及预期、产能扩张不及预期、行业竞争加剧风险。,,东方证券,买入,[None],2025-12-02,,买入,8204396,pdf_downloads/2025/2025-12-02/300408-三环集团（300408）：MLCC和SOFC双轮驱动.pdf,300408,三环集团,三环集团（300408）：MLCC和SOFC双轮驱动
陈耀波,主要观点：三环集团发布2025年第三季度报告公司2025年前三季度实现营业收入约65.08亿元，同比增长约20.96%；实现归母净利润约19.59亿元，同比增长约22.16%；实现扣非归母净利润约17.06亿元，同比增长约18.74%。对应Q3单季度，公司实现营业收入23.60亿元，同比增长约20.79%，环比增长约1.90%；实现归母净利润约7.21亿元，同比增长约24.86%，环比增长约2.40%；实现扣非归母净利润约6.40亿元，同比增长约22.23%，环比增长约3.60%。公司毛利率水平保持稳定，费用率持续优化2025年前三季度公司毛利率约为42.49%，与去年同期基本持平。费用端控制良好，2025年前三季度销售费用率/管理费用率/研发费用率分别为1.03%/4.61%/6.78%，其中管理费用率与研发费用率较去年同期分别下降0.27pct和0.68pct，费用结构持续优化。MLCC/SOFC业务进展顺利1）MLCC：三环集团MLCC产品现已覆盖微小型、高容、高可靠、高压、高频系列，并研发了具有特色的M3L系列（专利）、“S”系列（专利）、柔性电极产品、高频Cu内电极产品等，形成了全面的产品矩阵，广泛应用于汽车、工控、通信、医疗、消费电子等领域。2）SOFC：公司SOFC业务取得关键突破，子公司深圳三环携手深圳市燃气集团建设的300千瓦SOFC商业化推广示范项目已正式投产，该项目是全国首个300千瓦SOFC商业化推广示范项目。投资建议我们预计2025-2027年公司营业收入为92.07/114.32/141.51亿元（前值92.07/114.32/141.51亿元），归母净利润为27.82/36.70/47.84亿元（前值27.82/37.14/48.30亿元），对应EPS为1.45/1.92/2.50元，对应PE为33.98/25.75/19.76x，维持“买入”评级。风险提示行业竞争加剧风险，原材料供应紧张及价格波动风险，下游需求不及预期风险，业务拓展不及预期等。,,华安证券,买入,[None],2025-11-12,,买入,7645244,pdf_downloads/2025/2025-11-12/300408-三环集团（300408）：Q3业绩稳健增长，MLCC/SOFC业务进展顺利.pdf,300408,三环集团,三环集团（300408）：Q3业绩稳健增长，MLCC/SOFC业务进展顺利
"胡剑,胡慧,叶子,张大为,詹浏洋,李书颖,连欣然",前三季度稳健增长，MLCC景气上行。公司2025年前三季度实现营业收入65.08亿元(YoY+20.96%)，归母净利润19.59亿元(YoY+22.16%)，扣非净利润17.06亿元(YoY+18.74%)，前三季度整体毛利率为42.49%(YoY-0.28pct)。对应单三季度实现营业收入23.60亿元(YoY+20.79%)，归母净利润7.21亿元(YoY+24.86%)，扣非净利润6.40亿元(YoY+22.23%)，毛利率为43.39%(YoY-0.91pct，QoQ+0.65pct)。业绩保持稳健增长，盈利能力维持在较高水平。MLCC景气度修复，高容产品持续放量。随着AI服务器、汽车电子等下游需求增长，海外龙头供应商产能向高端领域倾斜，传统高容料号供应减少，公司有望打开更大的市场空间。公司作为国内MLCC龙头，凭借在陶瓷材料、核心工艺及设备方面的垂直一体化优势，成本控制和产品创新能力突出。公司MLCC业务已形成覆盖微小型、高容、高可靠、高压、高频系列的全面产品矩阵。报告期内，公司高容MLCC产品拓展顺利，在手机、工业、汽车等领域快速突破，持续贡献增长动力。SOFC业务受益AI浪潮，打开全新成长空间。AI技术发展驱动数据中心算力需求激增，导致北美电力供应紧张，为SOFC（固体氧化物燃料电池）作为新型现场能源带来巨大发展机遇。公司作为全球SOFC龙头BloomEnergy（BE）的陶瓷隔膜板核心供应商，深度受益于BE的快速增长。同时公司在SOFC整机系统领域也已布局并实现商业化示范项目落地，形成“核心部件+系统”双轮驱动，为长期增长注入强劲动力。投资建议：上调盈利预测，维持“优于大市”评级。AI需求拉动公司传统业务需求，并带动SOFC市场扩容，我们预计公司2025-2027年归母净利润同比增长24.6%/23.1%/19.0%至27.3/33.6/40.0亿元（25-26年前值为26.29/31.03亿元），当前股价对应2025-2027年PE分别为35/28/24倍。风险提示：下游需求不及预期；公司新产品性能不及预期。,,国信证券,优于大市,[None],2025-11-04,,买入,7408180,pdf_downloads/2025/2025-11-04/300408-三环集团（300408）：MLCC稳步放量，SOFC打造新成长曲线.pdf,300408,三环集团,三环集团（300408）：MLCC稳步放量，SOFC打造新成长曲线
"樊志远,丁彦文",业绩简评10月30日，公司发布2025年三季报。前三季度公司实现营收65.08亿元，同比增长20.96%，实现归母净利润19.59亿元，同比增长22.16%。单Q3公司实现收入23.6亿，同比增长20.8%，实现归母净利润7.2亿，同比增长24.9%。经营分析Q3收入、利润同比稳健增长，盈利能力提升。Q3公司MLCC、插芯、PKG、基片浆料、燃料电池隔膜板等业务经营稳健。公司Q3毛利率43.39%，环比提升0.65pct，主要产品结构改善，MLCC高容产品放量，销售、管理、研发费率环比基本保持稳定。公司加速新产品布局和国产替代，产品规格型号不断丰富，下游应用领域覆盖日益广泛。公司产品线上，公司MLCC产品不断实现技术和市场突破，品牌核心竞争力逐步提升，朝着高容化、微型化、高可靠等方向发展。AI需求带动SOFC业务增长，看好高端MLCC放量。SOFC（固体氧化物燃料电池）凭借着其高能量转换效率、快速部署以及低碳潜力等优势，高度匹配数据中心用电的特征，在美国数据中心密集建设叠加电力缺口下，Bloom Energy作为行业核心龙头，未来订单有望超预期，后续关注CSP厂商下订单的催化及度电成本下降趋势。公司高容量和小尺寸MLCC研发进展显著，积极进行技术突破和客户拓展，未来公司有望凭借产业链垂直一体化成本优势，深度受益下游应用拓展与MLCC元件本土产业进口替代机会。盈利预测与估值预计2025-2027年归母净利润为27.14、35.26、43.65亿元，同比+23.90%/+29.93%/+23.78%，公司现价对应PE估值为38、30、24倍，维持买入评级。风险提示全球厂商大幅扩产引MLCC市场供大于需、下游市场需求释放不及预期、新产品放量不及预期、产品价格下跌风险等。,,国金证券,买入,[None],2025-11-02,,买入,7243217,pdf_downloads/2025/2025-11-02/300408-三环集团（300408）：MLCC高容持续放量，SOFC未来可期.pdf,300408,三环集团,三环集团（300408）：MLCC高容持续放量，SOFC未来可期
"陈蓉芳,张威震",前三季度稳健增长，SOFC受益海外AI数据中心需求，维持“买入”评级公司发布2025年三季度报告。（1）前三季度，公司实现营收65.08亿元，同比+20.96%；归母净利润19.59亿元，同比+22.16%；扣非归母净利润17.06亿元，同比+18.74%；销售毛利率42.49%，同比-0.28pcts；销售净利率30.08%，同比+0.28pcts。（2）第三季度，公司实现营收23.60亿元，同比+20.79%，环比+1.90%；归母净利润7.21亿元，同比+24.86%，环比+2.40%；扣非归母净利润6.40亿元，同比+22.23%，环比+3.60%；毛利率43.39%，同比-0.90pcts，环比+0.66pcts；净利率30.55%，同比+1.00pcts，环比+0.14pcts。（3）我们认为随着AI数据中心对SOFC需求增加，公司有望将SOFC业务打造成新的增长曲线，我们维持公司2025年盈利预测，上调2026/2027年盈利预测（归母净利润原值为32.94/38.79亿元），预计公司2025/2026/2027年归母净利润为28.20/33.52/41.11亿元，当前股价对应PE为33.8/28.4/23.2倍，维持“买入”评级。MLCC产品型号全覆盖，AI服务器和数据中心建设推动公司产品需求增长公司MLCC产品现已覆盖微小型、高容、高可靠、高压、高频系列，形成了全面的产品矩阵，市场认可度逐步提升。在AI服务器领域，公司可供应0603-226、0805-476等小尺寸高容，1206-107、1210-107等大尺寸高容，48V电源系统应用领域，公司可供应0805-105-100V、1206-225-100V、1210-475-100V等规格。在光通信/光器件领域，公司可提供陶瓷插芯、陶瓷套筒、MT插芯、陶瓷导针、快速连接器等产品，受益于全球AI数据中心建设加快，光器件市场需求增加，上半年公司插芯及相关产品销售持续增长。AI数据中心拉动燃料电池需求增长，公司长期布局SOFC合作BE深度受益固体氧化物燃料电池（SOFC）技术通过高温电化学反应，将燃料的化学能直接转换成电能的发电技术，具有发电效率高、低碳无污染、可靠性高等优点，在数据中心冷热电联供、医院酒店等分布式能源、船舶电源、沼气/垃圾填埋气发电、煤气化发电等场景展现出巨大的应用前景。海外AI数据中心带动分布式电力需求激增，公司与美国SOFC制造商Bloom Energy（BE）已建立长期合作关系，为其供应燃料电池隔膜片等产品。在SOFC电站方面，公司与深圳市燃气集团共建的光明区人民医院东院区300千瓦SOFC示范项目已正式投产，是全国首个该功率级商业化推广示范项目，后续公司将持续推进燃料电池的产业化应用，有望凭借SOFC业务的多年布局，在AI数据中心领域打开增长空间。风险提示：宏观政策风险；行业竞争加剧风险；公司新业务不及预期风险。,,开源证券,买入,[None],2025-10-31,,买入,7115851,pdf_downloads/2025/2025-10-31/300408-三环集团（300408）：前三季度利润稳健增长，SOFC业务打造新增长曲线.pdf,300408,三环集团,三环集团（300408）：前三季度利润稳健增长，SOFC业务打造新增长曲线
单慧伟,业绩符合预期，多轮驱动打开成长天花板三环集团(300408)事件概述三环集团发布2025年三季报。25Q1-Q3公司实现营收65.08亿元，同比+20.96%；归母净利润19.59亿元，同比+22.16%；扣非归母净利润17.06亿元，同比+18.74%。业绩符合市场预期单季度看，25Q3公司实现营收23.60亿元，同比+20.79%，环比+1.90%；归母净利润为7.21亿元，同比+24.86%，环比+2.40%；扣非归母净利润为6.40亿元，同比+22.23%，环比+3.60%。毛利率相对稳定，期间费用率同比下滑毛利率：25Q1-Q3公司毛利率为42.49%，同比-0.28pct。其中，25Q3毛利率为43.39%，同比-0.90pct，环比+0.66pct。我们认为随着稼动率改善，毛利率有望实现逐季提升。费用率：25Q1-Q3公司期间费用率为10.84%，同比-0.46pct，其中销售、管理、研发、财务费用率分别为1.03%、4.61%、6.78%、-1.57%，同比+0.08、-0.28、-0.68、+0.41pct。持续研发投入，突破技术瓶颈MLCC领域，公司研发并推出了M3L系列（专利）、“S”系列（专利）、柔性电极产品、高频Cu内电极产品等一系列产品。SOFC领域，子公司深圳三环携手深圳市燃气集团共同建设的光明区人民医院东院区300千瓦固体氧化物燃料电池（SOFC）示范项目正式投产，该项目是全国首个300千瓦SOFC商业化推广示范项目，也是国家能源局“能源领域重大装备首台套”产品的推广应用。生物陶瓷领域，子公司三环生物依托公司55年的技术积累，在材料、成型、烧结、加工等核心环节的持续攻关，成功实现髋关节假体陶瓷球头和内衬的稳定量产，并携陶瓷髋关节假体部件首次在海外展会公开亮相，为骨科医疗发展提供新选择。投资建议参考2025年三季报，我们调整公司25-27年盈利预测。预计25-27年营收分别为90.73、112.71、141.23亿元（原值为92.11、115.21、141.92亿元），同比+23.0%、+24.2%、+25.3%。预计25-27年归母净利润分别为27.40、36.77、49.23亿元（原值为27.99、37.35、48.53亿元），同比+25.1%、+34.2%、+33.9%；预计2025-27年EPS分别为1.43、1.92、2.57元（原值为1.46、1.95、2.53元）。2025年10月29日股价为53.88元，对应PE分别为37.68、28.08、20.97x，维持“买入”评级。风险提示技术研发风险，行业竞争加剧，下游需求不及预期。,,华西证券,买入,[None],2025-10-30,,增持,7016316,pdf_downloads/2025/2025-10-30/300408-三环集团（300408）：业绩符合预期，多轮驱动打开成长天花板.pdf,300408,三环集团,三环集团（300408）：业绩符合预期，多轮驱动打开成长天花板
"王芳,刘博文",备注：股价截止自2025年10月29日收盘价，每股指标按照最新股本数全面摊薄报告摘要事件概述公司发布25年三季报，公司25年前三季度实现营收65.08亿元，yoy+20.96%，归母净利润19.59亿元，yoy+22.16%，扣非归母净利润17.06亿元，yoy+18.74%，毛利率42.49%，yoy-0.28pct，净利率30.08%，yoy+0.28pct。公司25Q3实现营收23.6亿元，yoy+20.79%，qoq+1.9%，归母净利润7.21亿元，yoy+24.86%，qoq+2.4%，扣非归母净利润6.4亿元，yoy+22.23%，qoq+3.6%，毛利率43.39%，yoy-0.91pct，qoq+0.65pct，，净利率30.55%，yoy-1pct，qoq+0.14pct受益于MLCC拓展顺利及AI需求旺盛，前三季度实现稳健增长公司MLCC产品保持良好增长态势，现已覆盖微小型、高容、高可靠、高压、高频系列，形成了全面的产品矩阵，市场认可度逐步提升；此外，受益于全球数据中心、AI服务器建设进程加快，光器件市场需求增加，公司插芯及相关产品销售持续增长。持续研发提升产品能力，多产品持续发力1）公司持续研发提升产品能力，持续突破技术瓶颈。MLCC领域，公司研发并推出了M3L系列（专利）、“S”系列（专利）、柔性电极产品、高频Cu内电极产品等一系列具有特色的产品。2）SOFC领域，子公司深圳三环携手深圳市燃气集团共同建设的光明区人民医院东院区300千瓦固体氧化物燃料电池（SOFC）示范项目正式投产，该项目是全国首个300千瓦SOFC商业化推广示范项目，也是国家能源局“能源领域重大装备首台套”产品的推广应用。3）在陶瓷封装基座领域，受原材料价格上涨及价格传导机制的影响，公司陶瓷封装基座以及陶瓷浆料业务毛利率有所承压；对此，公司积极应对市场变化，优化原材料采购策略，推动新规格、新应用和小型化产品的开发。投资建议考虑到行业景气度回升，我们预计公司2025/2026/2027年归母净利润分别为27.89/35.13/42.33亿元(此前预计公司2025/2026/2027年归母净利润分别为27.07/33.5/39.43亿元），按照2025/10/29收盘价，PE为37/29.4/24.4倍，维持“买入”评级。风险提示新建产能不及预期，下游需求不及预期、未及时筹足项目建设资金风险、研报信息更新不及时，外围环境波动风险。,,中泰证券,买入,[None],2025-10-30,,买入,7080095,pdf_downloads/2025/2025-10-30/300408-三环集团（300408）：前三季度稳健增长，看好MLCC/SOFC业务持续突破.pdf,300408,三环集团,三环集团（300408）：前三季度稳健增长，看好MLCC/SOFC业务持续突破
陈耀波,主要观点：事件：公司发布2025年中报公司2025年上半年实现营业收入41.5亿元，同比增长21.0%；实现归母净利润12.4亿元，同比增长20.6%；实现毛利率42.0%，同比增长约0.1pcts。公司25Q2单季实现营业收入23.2亿元，同比增长24.2%，环比增长26.3%；实现归母净利润7.0亿元，同比增长18.9%，环比增长32.3%；实现毛利率42.7%，同比小幅下降0.7pcts，环比提升1.7pcts。公司业绩实现稳健增长，主要得益于：1）MLCC产品业务保持良好增长态势，市场认可度逐步提升；2）受益于全球数据中心、AI服务器建设加速，光通信市场需求增加，公司陶瓷插芯及相关产品销售持续增长。MLCC业务稳步推进，SOFC业务打开新成长空间1） MLCC：公司MLCC产品已形成覆盖微小型、高容、高可靠、高压、高频的全面产品矩阵，市场认可度逐步提升。报告期内，公司研发并推出了M3L系列、“S”系列、柔性电极产品、高频Cu内电极产品等一系列特色产品，超高容MLCC荣获第十三届中国电子信息博览会创新金奖。2）SOFC：公司在SOFC领域实现重要突破，子公司深圳三环承建的300千瓦SOFC商业化推广示范项目已正式投产，该项目为全国首个同类项目。3）陶瓷封装基座及陶瓷浆料：受原材料价格上涨及价格传导机制的影响，公司陶瓷封装基座以及陶瓷浆料业务毛利率有所承压；对此，公司积极应对市场变化，优化原材料采购策略，推动新规格、新应用和小型化产品的开发。4）插芯及其他：受益于全球数据中心和AI服务器建设，公司插芯及相关产品销售持续增长。同时，公司在生物陶瓷领域也取得进展，髋关节假体陶瓷球头和内衬实现稳定量产。投资建议我们预计2025-2027年公司营业收入为92.07/114.32/141.51亿元（前值90.38/107.03/126.90亿元），归母净利润为27.82/37.14/48.30亿元（前值27.32/32.64/38.79亿元），对应EPS为1.45/1.94/2.52元，对应PE为33.29/24.93/19.17x，维持“买入”评级。风险提示行业竞争加剧风险，原材料供应紧张及价格波动风险，下游需求不及预期风险，业务拓展不及预期等。,,华安证券,买入,[None],2025-09-25,,买入,6478675,pdf_downloads/2025/2025-09-25/300408-三环集团（300408）：MLCC基本盘稳固，SOFC打造增长新引擎.pdf,300408,三环集团,三环集团（300408）：MLCC基本盘稳固，SOFC打造增长新引擎
"葛星甫,白宇",高容MLCC保持良好增长，光器件受益AI算力建设。公司MLCC产品保持良好增长态势，现已覆盖微小型、高容、高可靠、高压、高频系列，形成了全面的产品矩阵，市场认可度逐步提升；此外，受益于全球数据中心、AI服务器建设进程加快，光器件市场需求增加，上半年公司插芯及相关产品销售持续增长。PKG及陶瓷浆料上游原材料价格上涨，导致毛利率承压下，综合毛利率仍保持高速增长，体现公司MLCC&amp;插芯等主业毛利高速提升。受原材料价格上涨及价格传导受阻的影响，公司陶瓷封装基座以及陶瓷浆料业务毛利率有所承压，对此，公司积极应对市场变化，优化原材料采购策略，推动新规格、新应用和小型化产品的开发。公司二季度实现综合毛利率42.74%，环比提升1.73pct，在PKG及陶瓷浆料竞争环境恶劣的背景下，高容MLCC、数据中心用陶瓷插芯、SOFC陶瓷隔膜板等主业带动综合毛利率稳步提升。盈利预测与评级：我们预计公司2025-2027年归母净利润分别为26.22/32.78/41.01亿元，同比增速分别为19.69%/25.01%/25.13%，当前股价对应的PE分别为30.07/24.06/19.22倍。维持“买入”评级。风险提示。数据中心发展不及预期风险，下游需求乏力风险，国际局势动荡风险,,华源证券,买入,[None],2025-09-03,,买入,6389343,pdf_downloads/2025/2025-09-03/300408-三环集团（300408）：隔膜板、MLCC表现亮眼，PKG及浆料毛利率承压.pdf,300408,三环集团,三环集团（300408）：隔膜板、MLCC表现亮眼，PKG及浆料毛利率承压
