author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"屈俊,于博文,陶明婧",核心观点利息净收入增速环比回升，利润增速维持高位。截至25Q3，常熟银行营收、PPOP、归母净利润增速（累计同比增速，下同）分别较25H1-1.9pct、-2.0pct和-0.7pct至8.2%、10.1%和12.8%。拆分来看，利息净收入增速较25H1+1.5pct至2.4%，来自强劲资产扩张和净息差收窄明显放缓的共同支撑；净手续费收入同比增速环比有所回落，主要受基数效应影响；其他非息收入增速环比-24.7pct至20.0%，其中投资收益与公允价值变动损益之和同比增速则环比改善，背后或来自配置盘债券兑现的支撑。25Q1-Q3信用成本环比25H1有所压降，支撑归母净利润增速保持高增。资产扩张有所提速，存款结构持续优化对净息差有关键支撑。截至25Q3，常熟银行总资产、贷款总额同比增速分别为10.9%（环比+1.7pct）、7.1%（环比+1.9pct），其中个人贷款和个人经营贷分别贡献了30.8%和16.7%的25Q3贷款增量。25Q1-Q3净息差环比25H1仅收窄1BP，是23H2以来季度降幅最小的一次。考虑到期间资产增速逆势上行，我们推测新发放贷款定价或阶段性平稳，同时在活期化趋势延续、久期压缩的环境下，计息负债成本率有可观改善，截至25Q3，活期存款占比环比25H1继续小幅提升0.04pct，储蓄存款中两年期及以下占比突破50%，较年初提升3.4pct。资产质量表现平稳首次实施中期分红。截至25Q3，不良率环比持平，拨备覆盖率463%，环比-26.7pct，拨贷比环比-22BP，拨备反哺利润空间依旧充足。9月，常熟银行首次实施中期分红，且分红比例较24年全年提高5.5pct至25.27%（归母净利润口径）。截至25Q3，核心一级资本充足率为11.1%，环比+0.4pct。根据25Q3财报数据，预测公司25/26/27年归母净利润同比增速为12.1%/10.5%/10.1%， BVPS 为9.62/10.85/12.21元（原预测值为10.53/11.90/13.40元，因股本变化而做出调整），当前股价对应25/26/27年PB为0.75X/0.67X/0.59X。参考可比公司平均估值，由于公司ROE优势依旧明显，给予10%溢价，即25年0.84倍PB，对应合理价值8.12元/股，维持“买入”评级。风险提示经济复苏不及预期；信贷需求不及预期；资产质量恶化。,,东方证券,买入,[None],2025-11-14,,买入,7777616,pdf_downloads/2025/2025-11-14/601128-常熟银行（601128）：25Q3财报点评：利润增速维持高位，净息差收窄显著放缓.pdf,601128,常熟银行,常熟银行（601128）：25Q3财报点评：利润增速维持高位，净息差收窄显著放缓
"林瑾璐,田馨宇",事件：10月29日，常熟银行公布2025年三季报。1-3Q25实现营收、拨备前利润、净利润90.5亿、58.9亿、33.6亿，分别同比 +8.2%、+9.5%、+12.8%（1H25：10.1%、11.3%、13.5%）。年化加权平均ROE为15.02%，同比提高0.06pct。9月末不良贷款率0.76%，环比持平；拨备覆盖率463%，环比下降26.6pct。点评：常熟银行前三季度营收、归母净利润同比增速分别为 8.2%、12.8%，较上半年增速放缓1.9pct、0.7pct，业绩增速下降主要受其他非息收入拖累，积极因素在于扩表小幅提速、净息差降幅收窄、信用成本下降。具体来看，（1）净利息收入同比增速较上半年提升1.6pct至+2.4%。主要得益于净息差同比降幅收窄以及生息资产增速提升。（2）非息收入同比+35.3%，增速较上半年下降22pct。其中，手续费收入同比+57.5%，增速较上半年提升15.6pct，主要是公司代理理财业务等中收增加。其他非息收入同比+20%，增速较上半年下降24.7pct，主要是三季度债市调整叠加去年同期较高基数。（3）在不良生成趋缓之下拨备计提力度有所减小，1-3Q25常熟银行信用减值损失同比+4.7%，增速较上半年下降6.3pct，信用成本下降推动净利润保持较快增长。信贷投放提速，零售贷款单季度增量呈上升趋势。截至9月末，常熟银行总资产、贷款分别同比+10.9%、+7.1%，增速较上半年提高1.6pct、+1.9pct，三季度信贷投放速度有所加快。其中，对公贷款、个人贷款同比增速分别为+10.6%、+2.5%，较上半年提高2.8pct、2.4pct。在当前零售小微信贷需求偏弱、资产质量承压、大行竞争加剧的环境下，常熟银行积极挖掘需求，坚持做小做散战略，零售贷款及经营贷规模稳步增长，单季度增量呈逐季上升趋势（1~3Q25零售贷款增量分别为3.3亿、10.3亿、16.3亿）。村镇银行兼并拓展方面，三季度常熟银行完成3家村镇银行“村改支”并开业，完成如东融兴村镇银行股权收购，未来将进一步打开江苏区域内发展版图。单季度息差企稳回升，负债端成本持续改善、资产收益率企稳。1-3Q25常熟银行净息差2.57%，处于同业领先水平；环比下降1bp，同比下降18bp，今年以来降幅逐季收窄。主要得益于负债成本的持续改善及资产收益率企稳。测算3Q25单季度净息差环比提升7bp，其中，负债付息率环比下降4bp，生息资产收益率环比提升3bp。资产质量保持优异，不良生成压力有所缓释，拨备水平仍然充足。9月末常熟银行不良贷款率0.76%，环比持平。估算三季度不良净生成率0.99%，环比下降35bp，或反映零售小微风险边际有所缓释。不良生成边际改善下，拨备计提力度有所减小，拨备覆盖率环比下降26.6pct至 463%，但拨备水平仍然充足。投资建议：三季度常熟银行信贷投放有所修复，单季度息差企稳回升，资产质量总体稳健，拨备安全垫较高，全年业绩有望保持较快增长。预计常熟银行2025-2027年归母净利润同比增长13.1%、12.8%、12.3%，对应BVPS分别为9.85、11.37、13.08元/股。10月30日收盘价对应2025年PB估值0.71倍。三季度主要国资股东积极增持彰显长期投资信心，考虑常熟银行小微业务核心优势，村镇银行异地展业优势、以及厚实的拨备安全垫，维持“强烈推荐”评级。风险提示：经济复苏、实体需求恢复不及预期，扩表速度、净息差水平、资产质量受冲击。,,东兴证券,强烈推荐,[None],2025-10-31,,买入,7124093,pdf_downloads/2025/2025-10-31/601128-常熟银行（601128）：2025年三季报点评：信贷投放边际改善，息差降幅收窄.pdf,601128,常熟银行,常熟银行（601128）：2025年三季报点评：信贷投放边际改善，息差降幅收窄
"马婷婷,陈惠琴",本报告导读： 常熟银行零售贷款单季度增量呈持续上升态势，净息差及净利差下行趋势逐季放缓，核心营收增长提速，伴随村改支进度加快，进一步打开发展版图。 投资要点： 投资建议：常 熟银行具有稀缺“成长”属性，未来收购村镇银行改分支行进度继续加快、市占率不断提升，成长性有望持续兑现。基本面来看，资产质量保持稳健、拨备安全垫较高，未来业绩有望持续高增。调整2025-2027 年净利润增速预测为13.5%、14.6%、15.9%，对应BVPS 为9.56、10.76、12.15 元/股。给予常熟银行目标估值为2025 年0.85 倍PB，对应目标价8.13 元，维持增持评级。 业绩：常熟银行前三季度营收及归母净利润累计同比增速（下同）分别为8.15%、12.82%，分别较25H1 增速-2.0pct、-0.7pct，增速下滑主要受其他非息收入减少拖累，积极因素在于净息差降幅收窄、成本优化、减值少计提。1）利息净收入增速2.39%，较25H1增速+1.6pct，前三季度息差为2.57%，较25H1 略微下降1bp，资负两端均下降2bp，常熟银行主动优化存款定价策略，活期存款占比较年初+1.0pct 至19.08%，储蓄存款中两年期及以下占比较年初+3.4pct 至50.33%。2）非息收入增速35.3%，较25H1 增速-22pct，受债市利率上行扰动，25Q3 单季度投资相关收益增速下滑。3）成本收入比同比下降0.7pct 至34.44%，公司持续深化成本管控。4）信用减值计提同比+4.7%，较25H1 增速-6.3pct，减值计提力度放缓，前三季度信用成本为0.96%，较上年同期-0.03pct。 “村改支”有望加快：自2024 年10 月以来常熟银行已公告将吸收合并8 家村行并设分支机构，目前已完成江宁上银、宿城兴福、宝应锦程3 家 “村改支”并开业，进一步打开江苏区域内发展版图。 规模：25Q3 末常熟银行资产、贷款、存款同比增速分别为10.89%、7.13%、9.69%，分别较Q2 增速+1.7pct、+1.9pct、-0.2pct。25Q3 单季度贷款增量53 亿元，同比多增45 亿元，其中一般对公贷款、零售贷款、票据分别净增加30 亿元、16 亿元、7 亿元，分别同比+25亿元、+32 亿元、-12 亿元，零售贷款中个人经营性贷款净增加9 亿元，单季度增量呈现持续上升态势。 资产质量：25Q3 不良率为0.76%，与上季度持平，拨贷比、拨备覆盖率分别为3.52%、462.95%，分别较上季度末-22bp、-27pct。 风险提示：信贷需求弱于预期；结构性风险暴露超预期。,,国泰海通,增持,[None],2025-10-30,,买入,7041409,pdf_downloads/2025/2025-10-30/601128-常熟银行（601128）：25Q3单季贷款同比多增，净息差下行趋势逐季放缓.pdf,601128,常熟银行,常熟银行（601128）：25Q3单季贷款同比多增，净息差下行趋势逐季放缓
"沈娟,贺雅亭,蒲葭依",2025年10月30日│中国内地 区域性银行 常熟银行于10月29日发布2025年三季报，1-9月归母净利润、营业收入分别同比+12.8%、+8.2%，增速较1-6月-0.7pct、-1.9pct，1-9月年化ROE、ROA分别同比+0.06pct、+0.02pct至15.02%、1.24%。业绩边际小幅下行主因利率震荡环境中非息有所扰动，但仍保持优异水平。三季度公司信贷投放有所修复，息差降幅收窄，资产质量整体稳健，拨备下行幅度相对较大，关注后续小微不良生成趋势。此外公司披露多家国资、险资增持进度，彰显长期投资信心，维持买入评级。信贷投放修复，息差边际企稳9月末总资产、贷款、存款增速分别为+10.9%、+7.1%、+9.8%，较6月末+1.6pct、+1.9pct、-0.4pct。信贷投放有所修复，Q3信贷新增投放53亿元，其中零售/对公/票据分别占31%/57%/12%。净息差较25H1微降1bp至2.57%，保持相对平稳，或由于资产端定价趋稳+负债成本优化，测算Q3生息资产收益率4.42%，较25H1提升1bp，负债成本率下降2bp至1.92%。存款活期率优化，9月末较6月底提升0.1pct至19.1%。量价修复驱动利息净收入改善，同比+2.4%，增速较25H1+1.6pct。非息增速下行，资本环比提升25Q1-3其他非息收入同比+20.0%（25H1+44.6%），在利率震荡环境中有所降速，其他非息占营收比例同比+1.8pct至18.6%。其中公允价值变动浮亏小幅扩大，投资收益浮盈兑现力度放缓，分别同比增长-40%、24.6%。中收同比+365%，占营收比例同比提升2.6pct至3.3%。25Q1-3成本收入比同比-0.7pct至34.4%，运营成本优化。9月末资本充足率、核心一级资本充足率分别为13.66%、11.14%，较6月末+0.06pct、+0.41pct。公司有60亿转债正处转股期，截至10月29日收盘价距强赎价空间10.7%，若成功转股测算可提升核充率2.13pct至13.27%。拨备环比下行，股东大力增持9月末不良贷款率、拨备覆盖率分别为0.76%、463%，较6月末持平、-27pct。拨贷比较6月末下降22bp至3.52%，整体资产质量仍保持优异水平，拨备下降或主要由于减值力度放缓+不良生成小幅提升。测算25Q3年化信用成本0.37%，同比下降14bp；25Q3年化不良生成率为0.99%，同比+40bp。Q3前十股东中国资、险资大力增持，两家国资股东常熟市投资控股集团、江苏江南商贸集团分别增持0.26pct、0.45pct至3.81%、3.25%，利安人寿增持0.42pct至2.11%，同时新进两家险资东吴人寿、泰康人寿，分别持股1.99%、1.66%，股东大力增持彰显长期投资信心。给予25年目标PB0.90倍我们维持预测公司25-27年归母净利润为43/48/54亿元，同比增速分别为11.7%/11.7%/12.5%，25年BVPS预测值9.48元，对应PB0.73倍。可比公司25年Wind一致预测PB均值0.56倍（前值0.61倍），公司小微业务模式成熟，分红能力提升，股东大力增持，应享估值溢价，但考虑公司已中期分红除权、及近期市场风格偏成长对银行股有资金面压力，给予25年目标PB0.90倍（前值1.0倍），目标价8.53元（前值9.48元）。风险提示：需求修复不及预期；资产质量恶化超预期。,,华泰证券,买入,[None],2025-10-30,,买入,7041374,pdf_downloads/2025/2025-10-30/601128-常熟银行（601128）：信贷量价边际改善.pdf,601128,常熟银行,常熟银行（601128）：信贷量价边际改善
"贾靖,林宛慧,徐康",事项： 10 月29 日晚，常熟银行披露2025 年三季报，前三季度实现营业收入90.52 亿元，同比增长8.15%（1H25为10.10%）；归母净利润33.57亿元，同比增长12.82%（1H25为13.51%）。截至报告期末，不良贷款率环比持平于0.76%，拨备覆盖率463%，环比下降26.6pct。评论： 其他非息拖累营收增速，但核心营收能力仍较强，归母净利润保持两位数高增。1）规模增速较好，且单季息差企稳回升，净利息收入提速。三季度信贷规模实现较好增长，对公、零售贷款增长均有所提速；日均净息差2.57%，环比仅下降1bp，降幅较二季度收窄，单季净息差（期初期末口径）企稳回升。3Q25利息净收入24.28亿元，同比增长5.5%，不论是绝对值还是同比增速均高于前两个季度。2）非息收入反成拖累。上半年非息收入主要起支撑作用，（中收和其他非息收入均高增长），但三季度由于利率和汇率波动，公允价值变动净损益和汇兑损益下降，并且去年同期投资收益高基数，单季其他非息同比下降22.2%，中收仍保持较快增长，但增速较上半年下降，因此前三季度营收增速较1H25下降近2pct至8.15%。3）归母净利润增速维持双位数高增。前三季度归母净利润同比增长12.82%，增速较1H25略降0.7pct，降幅低于营收端，主要是单季不良净生成率有所改善，拨备计提力度有所下降，单季信用减值损失同比下降23.8%。拨备覆盖率环比下降26.6pct至463%。信贷投放提速，零售端改善明显。1）信贷需求回暖，生息资产规模提速。25年9月末生息资产同比增长10.4%，增速环比+1.4pct，主要受益于贷款需求回暖。贷款规模同比+7.1%，增速环比+1.9pct。相对而言，存款增长较为平稳，同比增长9.7%，环比略降0.2pct。2）一般对公及零售贷款需求均有改善：从绝对值来看，3Q25一般对公/零售贷款/票据分别增长30.05亿元、16.29亿元、6.6亿元，而2Q25一般对公贷款负增8.21亿元，零售贷款只增10.31亿元。从同比增速来看，3Q25一般对公/零售贷款/票据分别增长10.6%/2.5%/26.6%，环比分别+2.8pct/+2.4pct/-12pct。单季息差企稳回升，资产端收益率环比基本持平，负债端成本继续改善。常熟银行前三季度日均净息差为2.57%，较Q2仅下降1bp，仍是同业领先水平。而我们测算单季净息差（期初期末口径）则有企稳回升的态势，环比+5bp至2.5%。1）资产端：受益于改善的资产结构，3Q25单季生息资产收益率环比基本持平于4.21%。贷款占比环比+1.3pct至64.0%；2）负债端：存款成本继续改善，三年期以上的存款占比较年初下降10.3pct至49.7%。单季计息负债成本率环比下降4bp至1.87%。资产质量总体保持优异，微贷风险或有缓释，拨备水平充足。公司不良贷款率环比持平于0.76%，在行业内继续保持优异水平。我们测算单季年化不良净生成率为1.0%，较Q2下降34bp，或由于当地经济活跃度有所提升，小微贷款风险有所缓释。三季度资产质量边际改善，因此拨备计提力度有所下降，不过总体拨备水平仍然充足，拨备覆盖率环比下降26.6pct至463%，拨贷比环比下降22bp至3.52%。投资建议：常熟银行营收、利润增速保持稳健，核心营收能力增强，资产质量边际改善，在行业内继续保持优异水平。公司商业模式专注，通过十几年深耕小微打造了专业可复制的“常熟微贷模式”，风控优秀并不断下沉渠道拓宽市场。公司通过优化负债成本、加强风险管控等措施积极应对当前行业面临的挑战，三季度经营成效较好，小微零售需求有改善迹象、息差基本企稳。公司增加分红频次并提高分红率至25.3%，25E股息率有望达4.8%。结合当前的宏观经济形势，我们预计公司2025-2027年净利润增速为13.3%/11.2%/10.4%，当前股价对应2026E PB在0.65X，考虑过去5年公司历史平均PB在0.93X，结合当下宏观经济预期，给予公司2026年目标PB 0.95X，对应目标价10.14元，维持“推荐”评级。风险提示：经济增长动能不足下银行息差进一步承压，银行信贷投放不及预期。,,华创证券,推荐,[None],2025-10-30,,增持,7040626,pdf_downloads/2025/2025-10-30/601128-常熟银行（601128）：2025年三季报点评：零售信贷回暖，资产质量边际改善.pdf,601128,常熟银行,常熟银行（601128）：2025年三季报点评：零售信贷回暖，资产质量边际改善
"戴志锋,邓美君,马志豪",备注：股价截止自2025年10月29日收盘价。报告摘要常熟银行前三季度营收同比+8.2%、较1H25下降1.9个百分点，归母净利润同比+12.8%、较1H25下降0.8个百分点。1）营收：营收增速边际下行主要是非息收入的影响。净利息收入同比+2.4%（1H25同比+0.8%），主要源于息差企稳和生息资产同比增速回升。净非利息收入同比+35.3%（1H25为+57.2%），主要源于高基数影响叠加三季度债市波动、其他非息同比增速有所下降。2）利润：归母净利润同比增12.8%（1H25同比+13.6%）。拆分来看，规模、息差、手续费、拨备的贡献边际提升，其他非息、成本、税收的贡献边际下降。息差企稳，单季净利息收入环比+4.7%。测算单季年化净息差环比上升5bp至2.50%。资产端收益率环比持平仍在4.21%；负债端来看，活期存款占比提升、存款利率下行持续显效，带动负债成本环比下降4个bp至1.87%。资产负债：信贷投放明显恢复。1）资产端：3Q25信贷单季新增52.9亿，同比多增45.43亿；企业贷款（不含票据）增长30.05亿，同比多增25.03亿元；个人贷款增长持续恢复，单季增长16.29亿元，同比多增32.44亿元。2）负债端：3季度单季存款增加14亿元，同比少增4.3亿元；存款占比计息负债比重较2季度末下降0.2个百分点至87.7%。从期限维度上看，活期存款占总存款比例较二季度末上升0.1个点至19.1%。资产质量：不良率稳健，不良生成改善。前三季度累计不良生成1.28%、边际下降12bp。不良率0.76%，环比持平。拨备覆盖率462.94%，环比下降26.38个百分点。拨贷比3.52%，环比下降22bp。投资建议：公司2025E、2026E、2027EPB0.73X/0.64X/0.57X。常熟银行商业模式专注，客户结构持续做小做散，资产质量保持在优异水平，营收利润增速领先优势继续维持，建议关注。维持“增持”评级。风险提示：宏观经济面临下行压力，公司经营不及预期。,,中泰证券,增持,[None],2025-10-30,,增持,7040512,pdf_downloads/2025/2025-10-30/601128-常熟银行（601128）：2025三季报：信贷投放同比多增，不良生成改善.pdf,601128,常熟银行,常熟银行（601128）：2025三季报：信贷投放同比多增，不良生成改善
"王剑,田维韦",其他非息收入下降拖累营收，净利润维持高增。2025年前三季度实现营收90.5亿元，同比增长8.15%，第三季度同比增长4.41%，主要是其他非息收入第三季度同比大幅下降22.2%拖累。归母净利润35.6亿元，同比增长12.82%，第三季度同比增长11.86%。年化加权ROE为15.02%，同比提升0.06个百分点，处在上市以来最高水平。不良率稳定，降低拨备释放利润。期末不良率0.76%，持续稳定在低位。因此，在其他非息收入下降带来营收降速的背景下，公司资产减值损失第三季度同比下降23.7%释放利润，前三季度累计同比增长4.6%。期末拨备覆盖率463%，较6月末下降了约26.6个百分点，但依然处在高位。贷款增速略有改善，个人经营贷增量逐季有所提升。期末公司贷款总额2568亿元，同比增长7.1%，较上半年增速提升了1.9个百分点。对公贷款和个人贷款同比分别增长10.6%和2.5%，较上半年增速分别提升了约2.8个和2.4个百分点。在零售信贷需求承压的背景下，公司积极加强拓客，个人经营贷每季度新增约3.2亿元、7.1亿元和8.8亿元，相较于2024年下半年的压降，已经边际有所改善。不过由于当前个人经营贷需求依然疲弱，因此公司零售信贷投放短期依然承压，但压力最大的时刻或正在渐渐过去。净息差高位企稳，净利息收入增速提升。前三季度净息差同比增长2.4%，第三季度同比增长5.5%。披露的前三季度净息差2.57%，较上半年下降1bp，同比下降18bps，较上半年同比降幅收窄了3bps。我们判断主要来自于公司存款成本大幅改善，存款重定价以及公司积极优化存款成本管控，期末活期存款占比19.08%，较年初提升0.97个百分点；储蓄存款中两年期及以下占比50.33%，较年初提升3.38个百分点。投资建议：维持2025-2027年归母净利润至43/50/58亿元，同比增速为13.1%/15.5%/16.4%，当前股价对应2025-2027年PB值为0.71x/0.64x/0.56x。公司微贷短期依然承压，不过公司积极应对，深化做小做散战略，信贷投放边际改善。同时，公司村镇银行发展较好，异地拓展业务空间大，中长期成长性好于同业。短期关注公司转债进度，维持“优于大市”评级。风险提示：宏观经济复苏不及预期会拖累公司净息差和资产质量。,,国信证券,优于大市,[None],2025-10-30,,买入,7016319,pdf_downloads/2025/2025-10-30/601128-常熟银行（601128）：2025 年三季报点评：零售信贷投放边际改善，关注转债进度.pdf,601128,常熟银行,常熟银行（601128）：2025 年三季报点评：零售信贷投放边际改善，关注转债进度
"梁凤洁,徐安妮",三季报受债市波动，营收利润增速放缓；25Q3贷款投放提速，息差环比回升。数据概览25Q1~3常熟银行营收、归母净利润同比分别增长8.2%、12.8%，增速分别较25H1下降1.9pc、下降0.7pc。25Q3末常熟银行不良率环比持平于0.76%，拨备覆盖率环比下降27pc至463%。业绩增速放缓常熟银行三季报营收利润增速放缓，主要源自债市波动，其他非息收入增速放缓。25Q1~3常熟银行核心营收（利息净收入与中收）同比增长5.8%，增速较25H1提升2.3pc；其他非息收入同比增长20%，增速较25H1下降25pc。展望全年，预计常熟银行营收有望保持大个位数增长，利润有望维持双位数增长。考虑今年其他非息收入增速较高，需密切关注未来债市波动对营收影响。贷款增速提升25Q3常熟银行贷款增长提速，个人贷款投放延续改善态势，显示了常熟银行在弱实体需求下仍保持了较强的资产获取能力。①总量上，25Q3末常熟银行贷款同比增长7.1%，增速较25Q2提升2pc。②结构上，25Q3单季增量中对公占大头，25Q3一般贷款、贴现、个贷分别增长30、7、16亿元。其中年内个人贷款增量逐季度提升，前三季度个人贷款同比多增5亿。息差环比回升测算25Q3常熟银行单季息差（期初期末，下同）环比上升5bp至2.50%，主要得益于负债成本改善。①25Q3常熟银行资产收益率环比持平于4.20%。②25Q3常熟银行负债成本率环比下降4bp至1.87%，判断主要得益于存款成本改善。不良保持稳定①不良稳定，25Q3常熟银行不良率环比持平于0.76%。②拨备释放支撑利润表现，25Q3末常熟银行拨备覆盖率环比下降27pc至463%。股东加大持股①常熟国资提升持股比例，25Q3常熟国资办控股的国有企业常熟市投资控股和江苏江南商贸两家公司分别增持常熟银行0.26%、0.45%的股份。②寿险股东增加。25Q3前十大中新进东吴人寿、泰康人寿两家保险公司，持股比例分别为1.99%、1.66%。前十大股东中利安人寿增持常熟银行0.42%股份，社保基金有一个组合减持常熟银行0.46%的股份，其余2只组合持股比不变。盈利预测与估值预计常熟银行2025-2027年归母净利润同比增长11.17%/10.52%/10.46%，对应BPS 9.08/10.32/11.52元/股。现价对应2025-2027年PB估值0.76/0.67/0.60倍。目标价为8.96元/股，对应25年PB0.99倍，现价空间29%，维持“买入”评级。风险提示：宏观经济失速，不良大幅暴露，经营发展不及预期。,,浙商证券,买入,[None],2025-10-30,,买入,7012297,pdf_downloads/2025/2025-10-30/601128-常熟银行（601128）：2025 年三季报点评：国资和寿险增持.pdf,601128,常熟银行,常熟银行（601128）：2025 年三季报点评：国资和寿险增持
"夏芈卬,王子钦",事件：常熟银行发布2025年半年度报告。报告期内，公司实现营业收入60.62亿元，同比+10.10%；实现归母净利润19.69亿元，同比+13.51%；年化加权ROE为13.34%，同比+0.06pct。截至报告期末，公司不良率0.76%，较年初-1bp；拨备覆盖率489.53%，较年初-10.98pct。存贷款规模稳步扩张，结构继续“做小做散”。截至报告期末，公司贷款余额达2514.71亿元，较年初+4.40%、环比+0.73%；其中个人贷款、个人经营性贷款占比54.20%、37.56%，普惠型小微企业（单户授信1000万元及以下）贷款余额占比41.49%，整体户均贷款约44.08万元，“小额、分散、高频”的投放特征显著。截至报告期末，公司客户存款3107.77亿元，较年初+8.46%、环比+0.56%，贷存比为80.92%，资产投放空间充足。息差维持行业前列，成本下行对冲资产收益下降。报告期内，公司净息差为2.58%，较年初-13bp、同比-21bp，处于同业较高水平。资产端，贷款、生息资产平均收益率分别为5.33%、4.42%，较20245年-30bp、-35bp。负债端优化定价策略，持续调优存款结构，存款、计息负债成本率分别降至1.96%、1.98%，较2024年-24bp、-25bp，显著对冲资产收益率下行压力。总体上，“低成本负债+分散化资产”组合，确保了公司在利率中枢下行阶段的息差韧性。资产质量持续优异，拨备缓冲充足。截至报告期末，公司不良率0.76%，较年初-1bp；其中对公、个人不良率分别为0.56%、1.02%，较年初-9bp、+8bp，对公不良率持续改善，个人不良率小幅上行。截至报告期末，公司拨备覆盖率达489.53%，较年初-10.98pct，拨备缓冲充裕。公司资产质量延续“低不良、强覆盖”的结构性优势，普惠贷款“户均小、行业分散、经营可跟踪”的特征，叠加贷前画像、贷中监测与贷后数字化巡检闭环，有效控制尾部风险暴露。村镇银行快速拓展，首次实施中期分红。公司稳步推进村镇银行并购战略，报告期内完成对宿城、宝应、江宁村镇银行的村改支和宜昌地区“兴福系”村镇银行的“四合一”，7月24日公司公告拟再吸收合并3家村镇银行进行村改支，快速拓展县域市场。公司增强股东回报，首次实施中期分红，每股现金分红为0.15元，现金分红率提升至25.27%。投资建议：公司坚持“零售+普惠”为主的资产结构，积极拓展县域市场空间，首次中期分红落地强化股息回报。预计2025-2027年公司营业收入为118.46、128.47、139.19亿元，归母净利润为42.97、48.03、53.47亿元，BVPS为9.73、11.17、12.68元，对应8月21日收盘价的PB估值为0.79、0.69、0.61倍。维持“买入”评级。风险提示：宏观经济波动、息差持续收窄、资产质量恶化,,太平洋证券,买入,[None],2025-08-24,,买入,6341512,pdf_downloads/2025/2025-08-24/601128-常熟银行（601128）：2025年中报点评：量稳价韧，分红提升.pdf,601128,常熟银行,常熟银行（601128）：2025年中报点评：量稳价韧，分红提升
杨晓天,事件：8月8日，常熟银行(601128.SH)发布2025年半年度报告，报告期内实现营业收入60.62亿元，同比增幅10.10%。实现归属于上市公司股东的净利润19.69亿元，同比增幅13.51%。拟每10股派发现金股利人民币1.50元（含税）。观点：业绩增长韧性显著。营收与利润：上半年营收60.62亿元（YoY10.10%），归母净利润19.69亿元（YoY13.51%），年化ROE13.34%（同比0.06pct）。非息收入大幅增长：非息收入同比+57.26%至14.22亿元，其中手续费及佣金净收入1.42亿元（YoY637.77%），主因自营理财、代理保险等中收增长及费用管控，投资收益12.01亿元（YoY30.94%），受益于债券交易浮盈兑现。净利息收入趋稳：利息净收入46.40亿元（YoY0.83%），息差压力受负债成本优化改善。规模稳健扩张，小微战略深化。资产规模突破4000亿元，总资产4012.27亿元（较年初+9.45%），存款3107.77亿元（较年初+8.46%），贷款2514.71亿元（较年初+4.40%）。信贷结构有所分化，稳步进行区域与数字化转型。对公贷款：增量集中于建筑业、批零制造业。零售贷款：占比54.18%，个人经营贷余额944.59亿元（占比37.56%），信保类贷款占比54.61%（较年初+1.04pct），&quot;做小做散&quot;战略深化。村镇银行贡献提升：省外村镇银行总资产639.10亿元，不良率1.05%，拨备覆盖率336.28%。科技赋能：医保资金全流程自动化覆盖832家医疗机构；&quot;一码通扫&quot;便民工程覆盖农贸商超；数字人民币场景加速落地。资产质量整体稳健，零售不良小幅波动。不良率维持行业低位：不良率0.76%，拨备覆盖率489.53%，风险抵补能力领先。对公质量改善：企业贷款不良率0.56%（较年初-9bp），制造业、建筑业不良率分别降至0.81%、0.38%。零售风险结构性承压：个人经营贷不良率1.13%（较年初+18bp），省外分支机构小微客群风险波动。中期分红提升，转债转股在即。公司公告2025年中期每股派息0.15元，分红总额4.97亿元，分红率25.27%（较2024年提升5.5pct）。若全年保持该分红比例，测算2025年股息率有望达4%以上，居上市银行前列。可转债强赎预期：60亿元可转债若强赎成功将支撑信贷扩张。盈利预测及投资评级：常熟银行2025年上半年营收、净利润同比增长维持双十增速，资产规模首破4000亿元，净息差降幅收窄，中期分红比例提升，资产质量稳定，小微模式护城河稳固。在优质资产质量以及稳定业绩增速的背景下，常熟银行提升分红比例，有助于提升公司估值，强化公司市值管理能力。预计公司2025-2027年归母净利润分别为42.38/47.06/53.38亿元，同比增速11.13%/11.04%/13.44%，PB为0.83/0.72/0.63倍，首次覆盖，给予“增持”评级。我们选取宁波银行/杭州银行/沪农商行作为可比公司，可比公司2025年/2026年/2027年平均PB估值为0.77/0.69/0.62倍，鉴于常熟银行城农商行龙头地位以及优异的资产质量、风险抵补能力以及分红提升的预期，我们认为常熟银行估值有进一步提升的空间。风险提示：小微客户需求疲软风险；零售信贷需求恢复不及预期风险，拖累息差与资产质量；区域竞争加剧导致村镇银行整合效果不及预期风险；省外业务管控难度提升风险；资本补充压力风险。,,华龙证券,增持,[None],2025-08-14,,增持,6308913,pdf_downloads/2025/2025-08-14/601128-常熟银行（601128）：业绩保持高速增长分红比例提升助力公司高质量发展.pdf,601128,常熟银行,常熟银行（601128）：业绩保持高速增长分红比例提升助力公司高质量发展
