author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts,PE_2年前,PE_1年前,PE_当年,PE_明年,PE_后年,PE_大后年,EPS_2年前,EPS_1年前,EPS_当年,EPS_明年,EPS_后年,EPS_大后年
"沈娟,王可,汪煜",核心要点2022年归母净利润25.3亿元，同比-26%；营业总收入110.4亿元，同比-15%；加权ROE为5.40%，同比-2.41pct。除租赁业务外，其他主营条线利润均同比下滑。公司2023年一季度归母净利润9.5亿元，同比+35%；营业总收入23.5亿元，同比-18%。考虑信托行业潜在压力，预计2023-25年EPS为0.60/0.66/0.72元，2023年BPS为11.07元。参考可比公司Wind一致预期2023年PB均值为0.86倍，考虑公司信托业务整体仍面临挑战，其他分部竞争力仍待提升，给予0.55倍2023PB，目标价6.09元，维持“增持”评级。信托：投向房地产行业规模快速压降五矿信托围绕监管导向，系统梳理业务发展重点。截至2022年末，五矿信托资产规模7455.5亿元，较年初-8.8%，其中主动管理类信托规模6991.8亿元，占比93.8%、较年初+7pct。资产投向中，投向证券市场、工商企业、房地产分别较年初+31.8%、+59.2%、-42.0%，占比53.1%、14.8%、5.9%，分别较年初+16pct、+6pct、-3pct。2022年五矿信托营业总收入44亿元，同比-5%；净利润18亿元，同比-25%。租赁：经营整体平稳，利润同比上行截至2022年末，外贸金租存续融资租赁资产余额578亿元，较年初-5.0%。从投向看，水利、环境和公共设施管理业、租赁和商务服务业分别占比44.8%、18.4%，较年初分别+1.39pct、-3.05pct。从新增项目看，2022年新签合同本金金额239亿元，同比-9.1%。2022年外贸租赁营业总收入34亿元，同比-2.2%；净利润11.3亿元，同比+15.4%。证券：投资类收入和手续费收入下滑五矿证券加快推进特色化转型。2022年投行收入6.4亿元，同比-22%，占证券业务比例35%；财富管理丰富产品货架，2022年财富管理收入4.9亿元，占比27%；2022年资管收入1.6亿元，同比+18%，占比9%。2022年五矿证券营业总收入18.3亿元，同比-15%，其中手续费及佣金收入同比-23%，投资类收入同比-78%。五矿证券净利润1.3亿元，同比-28%。期货：风险管理业务压缩，利润同比下滑五矿期货各业务线专业基础不断夯实。2022年风险管理业务大幅压缩，收入同比-73%，占期货营业总收入比例下滑至37%，同比-33pct。2022年营业总收入1.5亿元，同比-48%；净利润0.3亿元，同比-80%。风险提示：业务转型风险，战略落地风险，市场波动风险。,,华泰证券,增持,[None],2023-04-27,,增持,5191345,pdf_downloads/2023/2023-04-27/600390-五矿资本（600390）：信托结构优化，深化转型发展.pdf,600390,五矿资本,五矿资本（600390）：信托结构优化，深化转型发展,"{
    ""forecasts"": [
        {
            ""year"": 2023,
            ""net_profit"": null,
            ""eps"": 0.60,
            ""pe"": null
        },
        {
            ""year"": 2024,
            ""net_profit"": null,
            ""eps"": 0.66,
            ""pe"": null
        },
        {
            ""year"": 2025,
            ""net_profit"": null,
            ""eps"": 0.72,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.6,0.66,0.72,
"沈娟,王可",归母净利润同比下滑35%，优先股获证监会受理2022H1归母净利润15.9亿元，同比-35%；营业总收入57.3亿元，同比-24%；加权ROE为3.51%（未年化），同比-2.24pct。公司非公开发行优先股已获证监会受理。考虑信托行业潜在压力，维持2022EPS预测0.57元，下调2023-24年EPS至0.64/0.72元（前值0.70/0.80元），2022年BPS为10.88元。参考可比公司Wind一致预期2022年PB均值为0.83倍，考虑公司信托业务整体仍面临挑战，其他分部竞争力仍待提升，给予0.55倍2022PB，目标价5.98元，维持“增持”评级。信托：投向房地产行业规模有所收缩五矿信托持续优化管理资产结构。截至2022H1末，五矿信托资产规模8499.7亿元，较年初+4%，其中主动管理类信托规模7679.7亿元，占比90%、较年初+3pct；投资类信托规模4704.3亿元，占比55%、较年初+6pct。资产投向中，投向证券市场、工商企业、房地产分别较年初+27%、+15%、-23%，占比45%、9%、7%，分别较年初+8pct、+1pct、-2pct。2022H1五矿信托营业总收入24亿元，同比-15%；净利润13亿元，同比-34%。租赁：经营较为平稳，利润同比小幅上行截至2022H1末，外贸租赁存续融资租赁资产余额597亿元，较年初-1.8%。从投向看，水利、环境和公共设施管理业、租赁和商务服务业分别占比43.2%、21.9%，较年初分别-0.18pct、+0.45pct。从新增项目看，上半年新签合同本金金额118亿元，同比基本持平。2022H1外贸租赁营业总收入17亿元，同比-1%；净利润4.9亿元，同比+3%。证券：投资亏损和手续费收入同比减少五矿证券推进各业务线稳健发展。投资银行加快项目储备与落地，2022H1投行收入2.9亿元，同比-41%，占证券业务比例31%；财富管理丰富产品货架，上半年财富管理收入2.5亿元，占比27%；资管期末规模1086亿元，较年初提升，上半年资管收入0.9亿元，同比+11%，占比10%；2022H1平均两融余额同比+18%。2022H1五矿证券营业总收入9亿元，同比-12%；净利润1.3亿元，同比-44%，主要受投资亏损和手续费收入同比减少影响。期货：风险管理业务压缩，利润同比小幅提升五矿期货推进传统业务转型、新兴业务培育增收。2022H1风险管理业务大幅压缩，收入同比-86%，占期货营业总收入比例下滑至30%，同比-49pct。2022H1营业总收入6.7亿元，同比-64%；净利润0.8亿元，同比+2%。风险提示：业务转型风险，战略落地风险，市场波动风险。,,华泰证券,增持,[None],2022-08-26,,增持,4968316,pdf_downloads/2022/2022-08-26/600390-五矿资本（600390）：信托结构调整，租赁期货稳健.pdf,600390,五矿资本,五矿资本（600390）：信托结构调整，租赁期货稳健,"{
    ""forecasts"": [
        {
            ""year"": 2022,
            ""net_profit"": null,
            ""eps"": 0.57,
            ""pe"": null
        },
        {
            ""year"": 2023,
            ""net_profit"": null,
            ""eps"": 0.64,
            ""pe"": null
        },
        {
            ""year"": 2024,
            ""net_profit"": null,
            ""eps"": 0.72,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.57,0.64,0.72,
"沈娟,王可",产融协同实现业务多点开花五矿资本是实体产业重组转型的央企控股金控企业，由大型央企五矿集团间接控股，股权结构清晰。在完成材料矿产实业向金融控股的转变后，五矿资本逐渐发展成为综合型金融控股公司，以证券、信托、租赁、期货四大业务为支点，同时参股覆盖基金、商业银行、保险等业务。我们预计2022-24年EPS为0.57/ 0.70/ 0.80元，BPS为10.88/ 11.35/ 11.89元。参考可比公司Wind一致预期2022年PB均值为0.86倍，考虑公司信托业务占比较高、行业整体仍面临挑战，证券、租赁、期货分部排名竞争力仍待提升，给予公司0.55倍2022 PB，对应目标价5.98元，首次覆盖给予“增持”评级。竞争优势：央企股东、产业背景和多业务牌照协同公司股东五矿集团是世界一流金属矿产企业集团，也是中国最大金属矿产央企。五矿集团自2016年战略重组后提出打造“千亿内部市场”，全面推进业务整合融合，奠定五矿资本金融业务基础。公司作为集团金控平台，拥有证券、信托、金融租赁、期货、银行等多个金融牌照，在资金、客户、信息、渠道和金融产品等多方面提供金融协同支持，推动旗下各业务条线共同发展。以证券、信托、租赁、期货四大业务为核心支柱，以“大投行”业务为纽带，形成一体化金融服务体系，增强客户粘性。业务解析：证券信托租赁期货为核心，参股覆盖多项业务五矿资本以证券、信托、租赁、期货四大业务为核心支柱，同时参股安信基金、绵商行、工银安盛，覆盖基金、商业银行、保险等业务。1）五矿证券资本实力强劲，业绩整体排名行业中游，投行经纪资管竞争力快速提升，固收业务优势明显；2）五矿信托资本实力较强，当前持续推进“二次转型”，信托资产投向和运用方式优化，经营业绩稳健增长；3）外贸租赁业务范围覆盖全国，客户资质良好；4）五矿期货金属期货业务结构逐渐优化。盈利预测：预计2022年营收/归母净利润仍存一定压力综合考虑目前行业发展趋势和公司自身实力，我们假设公司2022-2024年：1）信托资产实现小幅上涨，同比增长率分别为+5%/+3%/+2%；2）证券业务投行规模继续稳步增长，IPO规模分别同比+30%/+25%/+15%，其他证券业务条线平稳发展；3）融资租赁资产余额保持微幅上涨，同比增长率分别为2%/1%/1%。4）期货继续压降风险管理业务，驱动收入进一步下滑， 同比增长率分别为-30%/-15%/-10%。综上，预计公司2022-2024年归母净利润为25.54/31.34/36.14亿元，同比-25%/+23%/+15%。风险提示：业务转型风险，战略落地风险，市场波动风险。,,华泰证券,增持,[None],2022-07-01,,增持,4904950,pdf_downloads/2022/2022-07-01/600390-五矿资本（600390）：产融协同助力，业务多点开花.pdf,600390,五矿资本,五矿资本（600390）：产融协同助力，业务多点开花,"{
    ""forecasts"": [
        {
            ""year"": 2022,
            ""net_profit"": 25.54,
            ""eps"": 0.57,
            ""pe"": null
        },
        {
            ""year"": 2023,
            ""net_profit"": 31.34,
            ""eps"": 0.70,
            ""pe"": null
        },
        {
            ""year"": 2024,
            ""net_profit"": 36.14,
            ""eps"": 0.80,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.57,0.7,0.8,
"刘涛,罗惠洲","事件：公司近日发布2019年中报，实现营业总收入 81.74 亿元，同比增长37.60%；归母净利润17.41亿元，同比增长48.40%； ROE5.21%，同比增长1.53个百分点；期末总资产1246.24亿元，较年初增长3.67%；期末归母净资产377.88亿元，较年初增长5.27%；EPS为0.4644元/股。期货、信托、证券业务业绩猛增，融资租赁业绩略减。上半年，公司期货公司业务营业收入39.77亿元，同比增长60.87%；信托公司业务营业收入15.22亿元，同比增长57.60%；证券公司业务营业收入5.96亿元，同比增长89.49%；融资租赁业务实现营收20.79亿元，同比下降4.67%。五矿经易期货精耕经纪业务主业，风险管理业务增速最快。上半年，五矿经易期货实现期货经纪业务收入3.41亿元，同比增长19.15%，其中期货手续费收入1.47亿元，利息收入1.94亿元。资产管理业务收入1,892.07 万元，同比增长77.99%，截至6月底，五矿经易期货资管业务规模 16.83 亿元，同比增长8.62%。风险管理业务收入 36.15亿元，同比增长 65.86%。五矿信托跻身行业头部，信托规模显著增长。上半年营业收入位居行业第 8 位，利润总额行业排名第5位，净利润行业排名第 6 位，迈入了行业前列。矿信托的信托资产规模为 7,819.78 亿元，同比增加2,941.16亿元，增幅为60.29%。其中，集合资金信托项目 678 个，信托资产规模约5,866.56亿元；单一资金信托项目178个，信托资产规模约1,290.27亿元；财产权信托项目42个，信托资产规模 662.95亿元。投资建议：公司依托间接股东五矿集团，拓展业务渠道，产业背景雄厚。上半年公司多项业务业绩大幅增长，子公司行业排名显著提高。预测19/20/21年EPS 0.96/1.02/1.05元。公司估值PB0.98倍，显著低于行业平均水平。风险提示：A股交投活跃度下降；资产减值风险；宏观经济下行。",,太平洋证券,增持,[None],2019-08-30,下调评级,增持,3892513,pdf_downloads/2019/2019-08-30/600390-五矿资本（600390）中报点评：业绩增长迅猛，子公司行业排名显著上升.pdf,600390,五矿资本,五矿资本（600390）中报点评：业绩增长迅猛，子公司行业排名显著上升,"{
    ""forecasts"": [
        {
            ""year"": 2019,
            ""net_profit"": 17.41,
            ""eps"": 0.4644,
            ""pe"": null
        },
        {
            ""year"": 2020,
            ""net_profit"": null,
            ""eps"": 1.02,
            ""pe"": null
        },
        {
            ""year"": 2021,
            ""net_profit"": null,
            ""eps"": 1.05,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.4644,1.02,1.05,
"罗惠洲,董春晓","事件：公司近日发布2019年中报，实现营业总收入 81.74 亿元，同比增长37.60%；归母净利润17.41亿元，同比增长48.40%； ROE5.21%，同比增长1.53个百分点；期末总资产1246.24亿元，较年初增长3.67%；期末归母净资产377.88亿元，较年初增长5.27%；EPS为0.46元/股。期货、信托、证券业务业绩猛增，融资租赁业绩略减。上半年，公司期货公司业务营业收入39.77亿元，同比增长60.87%；信托公司业务营业收入15.22亿元，同比增长57.60%；证券公司业务营业收入5.96亿元，同比增长89.49%；融资租赁业务实现营收20.79亿元，同比下降4.67%。五矿经易期货精耕经纪业务主业，风险管理业务增速最快。上半年，五矿经易期货实现期货经纪业务收入3.41亿元，同比增长19.15%，其中期货手续费收入1.47亿元，利息收入1.94亿元。资产管理业务收入1,892.07 万元，同比增长77.99%，截至6月底，五矿经易期货资管业务规模 16.83 亿元，同比增长8.62%。风险管理业务收入 36.15亿元，同比增长 65.86%。五矿信托跻身行业头部，信托规模显著增长。上半年营业收入位居行业第 8 位，利润总额行业排名第5位，净利润行业排名第 6 位，迈入了行业前列。矿信托的信托资产规模为 7,819.78 亿元，同比增加2,941.16亿元，增幅为60.29%。其中，集合资金信托项目 678 个，信托资产规模约5,866.56亿元；单一资金信托项目178个，信托资产规模约1,290.27亿元；财产权信托项目42个，信托资产规模 662.95亿元。五矿证券业绩向好，多项业务排名提升。上半年，证券公司业务营业收入5.96亿元，同比增长89.49%，收入增速继续赶超行业，营业收入排名69名，相比18年底提升 5 名。五矿证券业绩向好，多项业务排名提升。公司资产管理业务收入和规模排名33名和51名，较 18年底分别提升37名和6 名，公司地方债券承销规模排名第 24 名，投行承销业务收入排名57名，较 18年底提升16名。投资建议：公司为依托间接股东五矿集团的央企金控平台，产业背景雄厚。上半年公司多项业务业绩大幅增长，子公司行业排名显著提高。给予“增持”评级。风险提示：A股交投活跃度下降；资产减值风险；宏观经济下行。",,太平洋证券,增持,[None],2019-08-29,下调评级,增持,3893037,pdf_downloads/2019/2019-08-29/600390-五矿资本（600390）：业绩增长迅猛，子公司行业排名显著上升.pdf,600390,五矿资本,五矿资本（600390）：业绩增长迅猛，子公司行业排名显著上升,"{
    ""forecasts"": [
        {
            ""year"": null,
            ""net_profit"": 17.41,
            ""eps"": 0.46,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
洪锦屏,"事项：

10月30日晚，五矿资本公布2017年三季报，期内共实现营业收入71.56余亿元，同比减少8.54%（重组后同口径），归属于母公司所有者的净利润21.11余亿元，同比增长57.01%。

主要观点

1.三季度表现卓越，投资大放异彩

公司Q3单季度创造归母净利11.13亿元，环比大幅增加97.69%，远超市场预期，我们分析主要原因是各子公司业绩均有明显提振，单季度手续费及佣金收入达7.77亿元，环比增长约106%；五矿信托上半年资产管理规模达4,806亿元，同比增加81.44%，我们估计在信托板块整体向好的趋势下，三季度AUM继续提升；外贸融资租赁股权按90%股权比例核算，带来并表收益；公司投资收益大幅增加，单季度投资收益达9.30亿元，环比增长460%，对于业绩增长贡献巨大，前三季度累计投资收益约15.76亿元，同比增长79.79%，主要原因是公司今年投资端表现优异，一、二级市场均有所斩获，前三季度长期股权投资及金融产品投资收益均有所增加。下半年，先期获得增资的子公司开始逐步有所表现，以证券业务为例，截止9月末，五矿证券累计股基交易市占率达0.092%，市场排名89位（母公司口径）仍相对靠后，但同比较去年大幅提升31.43%，可见资本金的补足对于竞争优势的提升作用明显。

2.资产出售稳步推进，向纯正金控标的转型

9月30日，公司董事会决议，同意向中国五矿股份有限公司、长沙矿冶研究院有限责任公司、五矿创新投资有限公司或其全资子公司（尚在设立中）按40%、40%、20%的比例转让持有的湖南长远锂科有限公司100%股权、金驰能源材料有限公司100%股权，同时还将向长沙矿冶院转让贵州松桃金瑞锰业有限责任公司100%股权、贵州铜仁金瑞锰业有限责任公司100%股权、贵州金贵矿业有限公司60%股权、湖南金拓置业有限公司100%股权以及新材料事业部本部相关资产及负债。10月25日，该方案获得临时股东大会同意，产业直投业务资产的出售计划开始进入操作阶段，公司向着五矿集团旗下专业的金融控股平台的定位转型再进一步，而本次拟转让标的的全部资产预评估价值约为14.67亿元，我们预计价款将有望进一步补充上市公司的流动资金，进而推动各项业务的发展。

3.金融业务业绩贡献占比提升，资产出售影响被消化

长远锂科、金驰材料、新材料事业部、松桃金瑞锰业、铜仁金瑞锰业、金贵矿业、金拓置业2017年上半年的净利润分别为4270、3482、3610、990、-161、-3、641万元，上半年合计贡献净利润1.28亿元，占上市公司上半年净利润的10.92%，占归母净利润（同口径）的12.85%。而从三季报的情况来看，由于金融业务的迅猛增长，产业直投业务的利润贡献占比下降至6%左右，此次业务格局调整对于业绩端的影响被缩小，同时近期的股价波动也已充分反应完估值端的影响，未来更应看中相关金融业务的成长性。

4.投资建议：

近两年，宏观经济增速换挡，在传统业务经营难度加大的背景下，多家国有企业通过并购重组将旗下金融资产注入上市公司，A股呈现金控平台密集上市的景象。未来几年，在监管层收紧并购重组，提高审核门槛的大背景下，通过重组路径实现金融业务整体上市的难度在加大，存量平台具有一定的投资稀缺性，而国有背景的金控平台依靠股东方较为强劲的资本实力以及相对齐全的金融牌照，经营整体较为稳健。而各主要金控平台横向比较，五矿资本从成长性及性价比的角度来看均表现优异，今年三季度开始，公司融资效应对于业绩的提振作用开始显现，各子公司的资本金逐步到位，进一步优化了相关业务的资金成本，我们预期公司有望在以信托、金融租赁为主，期货、证券及投资为辅的业务格局下，在业绩上继续发力，预计公司2017/2018/2019年的EPS分别为0.76/0.96/1.11元，对应的PE为16.8/13.4/11.6倍，继续给予推荐评级。

风险提示：金融监管继续收紧，公司资金使用效果不及预期。",,华创证券,推荐,[None],2017-11-02,,增持,2076258,"pdf_downloads/2017/2017-11-02/600390-五矿资本(600390)：业绩超预期释放,纯正金控平台再扬帆.pdf",600390,五矿资本,"五矿资本(600390)：业绩超预期释放,纯正金控平台再扬帆","{
    ""forecasts"": [
        {
            ""year"": 2017,
            ""net_profit"": null,
            ""eps"": 0.76,
            ""pe"": 16.8
        },
        {
            ""year"": 2018,
            ""net_profit"": null,
            ""eps"": 0.96,
            ""pe"": 13.4
        },
        {
            ""year"": 2019,
            ""net_profit"": null,
            ""eps"": 1.11,
            ""pe"": 11.6
        }
    ]
}",,,16.8,13.4,11.6,,,,0.76,0.96,1.11,
"唐子佩,张潇","核心观点

公司公告三季度业绩，归母净利润业绩大幅增长57%。17年前三季度，公司共实现营业收入71.56亿元，同比-8.54%；实现归母净利润21.11亿元，同比+57.01%。其中，三季度单季实现营业收入32.3亿元，同比+4.23%，环比-10.4%；实现归母净利润11.13亿元，同比+192.62%，环比+97.87%。对公司业绩进行分析可以看到，公司净利润显著增长的主要原因在于投资收益增加，公司三季度单季实现投资收益9.3亿元，环比增加5.08亿元，增长主要来自金融产品投资。

此次业绩增长的驱动来自于两大要素：一是2017年7月，外贸租赁并表，持股比例从50%提升至90%，相应提高了业绩贡献，其中2016年和17H1外贸租赁的净利润分别为5.52和3.05亿元；第二个要素是配套募资150亿元不断投入使用，带来业绩提振，尤其此次显著反映在投资收益层面。同时，我们预计增资带来的ROE稀释效应，也将随着业绩释放得到解决。其中，根据17H1年化后得到的加权平均净资产收益率为7.36%，17Q3年化后得到的结果为9.88%。

金融业务仍为公司的最核心板块，公司剥离非金融资产对业绩影响较小，且有利于聚焦主业、做大做强。根据此前公告，此次21.1亿元的归母净利润中，金融业务贡献19.9亿元左右，占比约94%；产业直投业务贡献1.2亿元左右，占比约6%。2017年9月，公司公告转让旗下的非金融资产，整体估值14.67亿元，整体来看，出售资产对业绩的影响较小，处于可控范围，并且转让后有望获得资金进一步补充营运需要，提升金控板块的盈利能力。

财务预测与投资建议

我们预测公司2017-2019年每股收益分别为0.72、0.79、0.91元（上调增资对部分业务板块的拉动效应，前值为0.61、0.76、0.92元），对公司进行分部估值，目标价17.55元，维持买入评级。

风险提示

系统性风险；经济下行对资产质量的影响。",,东方证券,买入,[None],2017-11-01,,买入,2078981,"pdf_downloads/2017/2017-11-01/600390-五矿资本(600390)：“租赁并表+投资收益”带动业绩大增57%,聚焦主业推进稳健发展.pdf",600390,五矿资本,"五矿资本(600390)：“租赁并表+投资收益”带动业绩大增57%,聚焦主业推进稳健发展","{
    ""forecasts"": [
        {
            ""year"": 2017,
            ""net_profit"": null,
            ""eps"": 0.91,
            ""pe"": null
        },
        {
            ""year"": 2018,
            ""net_profit"": null,
            ""eps"": 0.79,
            ""pe"": null
        },
        {
            ""year"": 2019,
            ""net_profit"": null,
            ""eps"": 0.72,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.91,0.79,0.72,
"唐子佩,张潇","核心观点

2017年9月27日，公司公告拟向五矿股份、长沙矿冶院、五矿创投转让其非金融资产，包括长远锂科100%股权（钴酸锂及其他高效电池材料）、金驰材料100%股权（新型能源材料、金属化工材料等）；同时，计划向长沙矿冶院转让松桃金瑞100%股权（电解锰）、铜仁金瑞100%股权（电解锰）、金贵矿业60%股权（锰矿）、金拓置业100%股权（房地产）以及新材料事业部本部资产，整体预评估值合计为14.67亿元。

本次资产出售对业绩影响较小。2017上半年，上市公司归母净资产298.36亿元，归母净利润9.98亿元；此次转让资产的净资产账面价值为14.3亿元、对应净利润1.28亿元，对上市公司的贡献分别为4.78%、12.86%。整体来看，出售资产对业绩的影响较小，处于可控范围，并且转让后有望获得资金补充营运需要，提升金控板块的盈利能力。

剥离资产有助于聚焦主业、强化金控布局，未来发展重点在于资金使用与ROE提升。目前信托仍为占比最高的业务板块，受益于行业红利规模迅速提升，17H1净利润6.24亿元，同比-2.35%。外贸租赁实现净利润3.05亿元，同比+6%，资产质量优异，业务规模与业绩双升。五矿证券随着增资到位业绩提振，上半年净利润8412万元，同比+11.57%，随着资金不断投入使用，未来成长可期。将非金融业务剥离后，公司将持续聚焦主业，一方面推进增资工作；另一方面着力于优化定增资金使用、提升ROE，将金控做大做强。

财务预测与投资建议

我们预测公司2017-2019年每股收益分别为0.61、0.76、0.92元，对公司进行分部估值，目标价16.38元，维持买入评级。

风险提示

系统性风险；经济下行对资产质量的影响。

收购方案尚未获得通过，存在不确定性。",,东方证券,买入,[None],2017-09-28,,买入,2053608,"pdf_downloads/2017/2017-09-28/600390-五矿资本(600390)：剥离非金融资产,强化金控平台定位.pdf",600390,五矿资本,"五矿资本(600390)：剥离非金融资产,强化金控平台定位","{
    ""forecasts"": [
        {
            ""year"": 2017,
            ""net_profit"": null,
            ""eps"": 0.61,
            ""pe"": null
        },
        {
            ""year"": 2018,
            ""net_profit"": null,
            ""eps"": 0.76,
            ""pe"": null
        },
        {
            ""year"": 2019,
            ""net_profit"": null,
            ""eps"": 0.92,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.61,0.76,0.92,
沈娟,"剥离非金融资产，聚焦金控9月27日公司公告拟向公司实际控制人下属公司转让锂电材料、电解锰等金瑞科技原有主业资产，预评估值14.67亿，净资产账面价值14.34亿元，转让溢价约2%。本次拟出售资产2016年和2017年上半年归母净利润分别为2.01/1.28亿元,占公司净利润13%/13%，目前证券、期货、信托增资已经到位,未来业绩将稳步释放，本次资产剥离对公司未来业绩影响有限。中报业绩稳中有进，全面呈现良好势头17H公司实现营业收入62.48亿元，YoY-7%；归母净利润9.98亿元，YoY4%，符合预期。其中子公司五矿信托净利润6.24亿，YoY-3%；外贸金融租赁净利润3.05亿元，YoY+7%；五矿证券净利润0.84亿元，YoY+12%。上半年公司完成重大资产重组，实现金融转型，证券名称变更为“五矿资本”，顺利完成董事会成员与管理团队的换届工作，全面呈现良好发展势头。五矿信托发展向好，增资打开租赁空间（1）五矿信托：截至17年年中五矿信托资产规模4,806亿元，YoY+81%，17H五矿信托营业收入9.37亿元，YoY-12%；净利润6.24亿，YoY-3%。今年1-8月新增信托贷款在社融占比为11.18%，占比维持高位，8月新增信托贷款在表外融资中占比88%，维持高位，继续看好五矿信托在行业转型升级阶段的发展前景。（2）外贸租赁：17H外贸租赁实现营收16.08亿元，YoY+159%；净利润3.05亿元，YoY+7%。截至17年年中外贸租赁贷款余额约560亿元，净资产60.99亿元，杠杆率约9倍，接近金融租赁公司12.5倍的经营杠杆上限。未来随着外贸租赁30亿元定增资金到位，完成后净资产约90亿元，为业务发展夯实基础。40%租赁股权收购获批，证券、期货、信托增资完成，拐点临近公司收购外贸租赁40%股权获得证监会批复，完成后持股90%租赁业务将并表，为公司增厚利润。公司对五矿证券59亿元、五矿期货15亿元、五矿信托45亿元增资均已完成，公司将提速发展，下半年业绩将加快释放，驱动估值回归。全牌照优势+增资+实际流通盘小+估值修复，维持增持评级预计公司2017-2019归母净利润水平分别为23/30/37亿元，EPS为0.62/0.79/0.98元/股。（1）公司旗下证券、期货、信托、信托牌照齐全优势明显，资产质量良好；（2）150亿元增资夯实资本实力；（3）公司流通盘市值约60亿元，除原大股东持股外的实际流通盘约45亿元，实际流通盘小、股价弹性大；（4）公司目前估值PB（LF）1.8倍，下半年业绩将加快释放，未来有望估值回归，维持增持评级。风险提示：业务协同不如预期、市场波动风险、转型失败。",,华泰证券,增持,[None],2017-09-27,,增持,3745942,pdf_downloads/2017/2017-09-27/600390-五矿资本（600390）：剥离非金融资产，聚焦金控.pdf,600390,五矿资本,五矿资本（600390）：剥离非金融资产，聚焦金控,"{
    ""forecasts"": [
        {
            ""year"": 2017,
            ""net_profit"": 23,
            ""eps"": 0.62,
            ""pe"": null
        },
        {
            ""year"": 2018,
            ""net_profit"": 30,
            ""eps"": 0.79,
            ""pe"": null
        },
        {
            ""year"": 2019,
            ""net_profit"": 37,
            ""eps"": 0.98,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.62,0.79,0.98,
"唐子佩,张潇","核心观点

公司中报业绩略超此前业绩预告，二季度单季同比大增47%。2017上半年，公司营业总收入62.5亿元，同比-6.57%，归母净利润9.98亿元，同比+3.51%。公司业绩略高于此前业绩预增公告的9.9亿元左右。从单季盈利能力来看，二季度归母净利润5.6亿元，环比增长29.2%，同比增长47.4%。

信托仍为占比最高的业务板块，受益于行业红利规模迅速提升，其他金融板块业绩稳健发展。五矿信托中报净利润6.24亿元，同比-2.35%。其中公司信托主业管理规模达到4806亿元，同比增长81%、环比16年底增加16.7%。外贸租赁实现净利润3.05亿元，同比+6%，租赁业务长期应收款547亿元，相比年初增长11%，其不良贷款率0.32%，资产质量优异，业务规模与业绩双升。五矿证券随着增资到位业绩不断提振，上半年净利润8412万元，同比+11.57%，随着资金使用与资本中介业务发展，未来成长可期。

公司业绩成长性强，随着资金投放与使用，未来业绩与ROE双升可期。一方面，2017年计划增持外贸金融租赁至90%，使得租赁业务开始并表，7已于7月份收到银监会批文，下半年将有效提升其对归母净利润的贡献。另一方面，随着资金不断投入使用，将对公司业绩表现带来较大催化，我们预测增长主力来自信托、租赁和证券业务板块；同时，增资带来的ROE稀释效应，也将随着业绩释放得到解决。

董事会顺利换届，公司业务迈入发展大道。5月17日，上市公司召开第七届董事会第一次会议，选举出新一届的董事会成员及高管团队，原五矿资本总经理任珠峰顺利出任上市公司董事长，原五矿资本高管团队大部分过渡为上市公司高管。整个管理层更迭顺利平稳，预计人事安排尘埃落定后，内部的管理协调、人员的激励考核都将得到深化与提升

财务预测与投资建议

我们预测公司2017-2019年每股收益分别为0.61、0.76、0.92元，对公司进行分部估值，目标价16.38元，维持买入评级。

风险提示

系统性风险；经济下行对资产质量的影响；增持外贸租赁40%股权已完成支付，仍需银监会审批。",,东方证券,买入,[None],2017-09-01,,买入,2044518,"pdf_downloads/2017/2017-09-01/600390-五矿资本(600390)：二季度利润增长显著,增资到位提振业绩潜力.pdf",600390,五矿资本,"五矿资本(600390)：二季度利润增长显著,增资到位提振业绩潜力","{
    ""forecasts"": [
        {
            ""year"": 2017,
            ""net_profit"": null,
            ""eps"": 0.61,
            ""pe"": null
        },
        {
            ""year"": 2018,
            ""net_profit"": null,
            ""eps"": 0.76,
            ""pe"": null
        },
        {
            ""year"": 2019,
            ""net_profit"": null,
            ""eps"": 0.92,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.61,0.76,0.92,
