author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"王君翔,陈耀波,高伟杰",主要观点：公司发布2025年三季报，业绩持续表现优异公司于2025年10月28日发布2025年三季度业绩，实现前三季度营业收入4.01亿元，同比增长47.73%；实现归属于上市公司股东的净利润2.39亿元，同比增长72.91%；实现归母扣非净利润2.29亿元，同比增长84.89%。基本每股收益0.60元，同比增长71.43%。公司2025年前三季度经营业绩表现优异，持续看好公司长期发展。公司第三季度业绩波动，持续看好高可靠放量+民用芯片进展公司2025年第三季度业绩实现营业收入同比增长10.26%，归母净利润同比增长3.43%，相较于前两个季度增速有所放缓，系确收节奏的影响，长期看好公司高性能惯性传感器芯片渗透。公司高性能惯性传感器芯片下游渗透，并且在终端客户得到广泛认可，公司积极推进民用市场六轴芯片（6轴车规级IMU），有望在自动驾驶和高端工业等领域覆盖更多的应用场景。投资建议我们看好公司长期发展，高可靠+民用市场有望支撑公司未来数年的收入高增长，维持盈利预测为： 2025-2027年营业收入为6.08/9.20/13.99亿元；2025-2027年预测归母净利润分别为3.21/4.83/6.45亿元；2025-2027年对应的EPS为0.80/1.20/1.60元。公司当前股价对应的PE为70/47/35倍，维持“买入”投资评级。风险提示1）技术研发突破不及预期；2）下游需求不及预期；3）核心技术人员流失；4）原材料成本大幅波动影响毛利率；5）市场竞争加剧影响毛利率的风险。,,华安证券,买入,[None],2025-11-21,,买入,8166614,pdf_downloads/2025/2025-11-21/688582-芯动联科（688582）：单季度业绩波动不影响长期趋势.pdf,688582,芯动联科,芯动联科（688582）：单季度业绩波动不影响长期趋势
"谢春生,宋亭亭,汤仕翯,张宇",芯动联科Q3实现营收1.48亿元（yoy+10.26%，qoq-10.50%），归母净利8443.58万元（yoy+3.43%，qoq-23.21%）。2025年Q1-Q3实现营收4.01亿元（yoy+47.73%），归母净利2.39亿元（yoy+72.91%），扣非净利2.29亿元（yoy+84.89%）。收入和利润与业绩预告中值基本一致。随着公司下游试用及送样的客户持续增加，公司高性能MEMS惯性器件产品目前已覆盖高端工业、测绘测量、石油勘探、商业航天、智能驾驶、高可靠领域等多个下游领域。目标价80.42元，维持“买入”评级。3Q25回顾：大订单交付存在季节性波动3Q25业绩：实现营收1.48亿元（yoy+10.26%，qoq-10.50%），归母净利8443.58万元（yoy+3.43%，qoq-23.21%），毛利率/净利率分别85.3/57.1%（同比分别-1.6/-3.8pct）。公司于年初及四月份公告两笔共计4.34亿元需今年交付的订单，由于提货节奏的部分提前和季节性波动，导致公司Q3收入和利润同比增速放缓。公司于3Q25授予发布股权激励计划，彰显公司对未来发展的信心。2H25展望：新产品有望2026年推出，MEMS产品加速渗透1）新领域和客户开拓：1-3Q25公司产品的应用领域在不断增加，目前在高可靠、商业航天、自动驾驶、低空（已经配合客户进行红标件、蓝标件送样及适航认证）等领域进展顺利，进入试产及量产阶段的项目滚动增多，对于传统高性能惯性器件以及海外芯片的替代率逐步提升。2）产品矩阵：除了高精度陀螺仪外，目前FM谐振式加速度、单片双轴和单片三轴加速度计、压力传感器已实现批量出货；26年有望推出民用市场具备性价比的单片六轴IMU芯片。3）新技术：目前OCS光交换机广泛采用MEMS微振镜方案，公司在MEMS技术具备领先优势，积极联合行业下游公司布局OCS领域。盈利预测和估值我们看好公司在新客户和新领域导入，带来订单节奏加速。但考虑到前期放量阶段，大客户订单占比较大，存在交付波动。我们略微下调公司25/26/27年收入9/8/5%至6.5/9.7/13.6亿元，维持各业务板块毛利率和综合费用率，下调公司25/26/27年归母净利润9/8/5%至3.7/5.0/6.9亿元。基于25年86X PE（考虑到公司未来较好的盈利能力和高成长性，维持可比公司估值25年 71.7X PE 的20%溢价），给予目标价为80.42元（前值92.29元，前值对应25年90X PE）。维持买入评级。风险提示：产品拓展和海外需求复苏不及预期风险，行业竞争加剧风险。,,华泰证券,买入,[None],2025-10-30,,买入,7048807,pdf_downloads/2025/2025-10-30/688582-芯动联科（688582）：大客户订单交付波动致收入增长放缓.pdf,688582,芯动联科,芯动联科（688582）：大客户订单交付波动致收入增长放缓
"黄瑞连,石城",事件概述公司发布2025年三季报。业绩稳健增长，盈利能力保持高位公司发布2025年三季报。公司25Q3实现营收1.48亿元，同比增长10.3%；实现归母净利润0.84亿元，同比增长3.4%。25Q1-3公司累计实现营收4.0亿元，同比增长47.7%；实现归母净利润2.4亿元，同比增长72.9%。25Q3公司季度毛利率为85.3%，较去年同期基本持平，盈利能力保持高位。公司是高端MEMS惯性传感器龙头，长期受益于国产替代公司主要产品为高性能MEMS惯性传感器，主要包括MEMS陀螺仪、加速度计、惯性测量单元等。公司长期致力于自主研发高性能MEMS惯性传感器，公司产品核心性能指标达到国际先进水平。主营产品端，MEMS陀螺仪收入占比持续超过70%，近年MEMS加速度计也保持较高收入增长。公司产品下游应用领域逐步拓宽，在高端工业、惯性系统、无人系统等领域不断深耕。毛利率端，公司MEMS陀螺仪与MEMS加计核心参数指标达到了国际先进水平，议价能力较强，长期保持较高的毛利率水平。公司具备较高技术领先性，下游多领域共振成长公司陀螺仪产品性能达到导航级，在高性能硅基MEMS陀螺仪领域处于国际先进水平：公司多领域技术储备深厚，在MEMS、ASIC、封装、测试标定等多领域储备丰富。根据公司财报，公司高性能MEMS陀螺仪核心性能指标已达到国际先进水平，亦可达到部分光纤陀螺仪和激光陀螺仪等传统陀螺仪精度，且公司的单轴价格较低，体积和重量优于两光陀螺仪。近年公司下游以高可靠领域为主，收入占比长期超过75%。在高可靠领域，公司主要客户收入占比常年超过80%。在高端工业及无人系统领域，公司正在进行多个项目推动，有望打开成长空间。在景气度较高的新兴领域，IMU及惯性导航等技术不可或缺，公司有望受益于景气赛道带来的高成长。投资建议参考最新业绩报告，我们调整 25-27 年盈利预测，预计25-27年营业收入由6.48/9.03/12.59亿元调整至6.08/8.46/12.53亿元，归母净利润由3.27/4.57/5.98亿元调整至3.32/4.80/6.71亿元，EPS由0.82/1.14/1.49元调整至0.83/1.20/1.68元。公司2025/10/29日收盘股价65.96元，对应25-27年PE为79.7、55.0和39.4倍，维持“买入”评级。风险提示MEMS加速度计拓展不及预期的风险、光纤MEMS陀螺仪对两光陀螺仪替代进展低于预期的风险、市场开拓进展不及预期的风险。,,华西证券,买入,[None],2025-10-30,,增持,7014884,pdf_downloads/2025/2025-10-30/688582-芯动联科（688582）：业绩短期波动，持续看好公司多场景国产替代.pdf,688582,芯动联科,芯动联科（688582）：业绩短期波动，持续看好公司多场景国产替代
"王君翔,陈耀波",主要观点：公司发布2024年年报，业绩持续表现优异公司于2025年8月18日发布2025年中报业绩，实现营业收入2.53亿元，同比增长84.34%；实现归属于上市公司股东的净利润1.54亿元，同比增长173.37%；实现归母扣非净利润1.48亿元，同比增长210.65%。基本每股收益0.39元，同比增长178.57%。公司业绩上市以来持续表现优异，随着产品渗透率加速提升，我们持续看好公司长期发展。发布限制性股票激励（草案），彰显公司经营信心公司于2025年8月18日发布公告，拟授予限制性股票数量320万股，授予价格（含预留部分）为56.89元/股，激励对象总人数为129人，约占公司员工总人数200人（截至2024年12月31日）的64.50%，归属条件在业绩考核要求部分对公司的营业收入和净利润都设定考核目标。本激励规划是公司上市以来的第二次激励，也彰显了公司的经营信心。下游领域布局持续开阔，参股新公司积极拥抱新领域公司高性能MEMS陀螺仪的精度水平可以达到中低精度的激光陀螺仪和光纤陀螺仪，随着MEMS惯性技术的愈发成熟，在保持原有低成本、小体积、可批量生产的特点下，精度水平不断提高，将可在诸多战术级应用场景替代激光陀螺和光纤陀螺，并逐渐渗透导航级应用场景。MEMS惯性技术作为惯性传感器领域的主流技术质疑，将在自动驾驶和高端工业等领域覆盖更多新的应用场景。8月8日根据天眼查APP显示，公司新增一起对外投资事件，被投资公司为武汉云智光联科技有限公司，投资占比为25%，该公司从事软件和信息技术服务业，注册资本为300万人民币，随着新增股权新公司有望在未来给公司在新领域取得突破。投资建议我们看好公司长期发展，高可靠+民用市场有望支撑公司未来数年的收入高增长，修改盈利预测为：2025-2027年营业收入为6.08/9.20/13.99亿元；2025-2027年预测归母净利润分别为3.21/4.83/6.45（前值2025-2027年分别为3.15/4.77/6.39亿元）；2025-2027年对应的EPS为0.80/1.21/1.61元（前值2025-2027年分别为0.79/1.19/1.59元）。公司当前股价对应的PE为99/66/49倍，维持“买入”投资评级。风险提示1）技术研发突破不及预期；2）下游需求不及预期；3）核心技术人员流失；4）原材料成本大幅波动影响毛利率；5）市场竞争加剧影响毛利率的风险。,,华安证券,买入,[None],2025-08-21,,买入,6335898,pdf_downloads/2025/2025-08-21/688582-芯动联科（688582）：中报业绩表现优异，多场景高渗透全面开花.pdf,688582,芯动联科,芯动联科（688582）：中报业绩表现优异，多场景高渗透全面开花
"谢春生,张宇,汤仕翯",2025年8月20日│中国内地 半导体 芯动联科1H25实现营收2.53亿元（yoy：+84.34%），归母净利润1.54亿元（yoy：+173.37%），收入和利润与业绩预告中值基本一致，1H25净利润率达到60.96%，体现公司所处赛道高成长性和自身技术壁垒。随着公司下游初次试用及送样的客户持续增加，公司高性能MEMS惯性器件产品目前已覆盖高端工业领域、测绘测量、石油勘探、商业航天、智能驾驶、高可靠领域等多个下游领域。我们看好公司客户订单节奏有望加速，我们上调25/26/27E公司净利润预期14/21/24%，目标价92.29元，维持买入评级。2Q25回顾：客户需求增长，上半年大订单执行情况顺利2Q25业绩：公司2Q25营收1.65亿元（yoy：+43.83%），毛利率87.92%（yoy+6.63pct），归母净利润1.10亿元（yoy：+89.40%）。上半年由于客户数量和订单规模增加，订货模式转变，公司排产周期得以更加均匀。公司于年初及四月份公告两笔共计4.34亿元需今年交付的订单，截至中报已履行1.81亿元，下半年仍有2.53亿元订单待执行。2H25年展望：产品矩阵更为完善，MEMS产品加速渗透1）新产品订单有望放量：除了高精度陀螺仪外，目前FM谐振式加速度、单片双轴和单片三轴加速度计、压力传感器已实现批量出货；26年有望推出民用市场具备性价比的单片六轴IMU芯片，产品组合不断健全。2）公司MEMS产品主打高性价比，对光纤器件以及海外公司高价格芯片替代趋势不变。目前在高可靠、商业航天、自动驾驶、低空（已经配合客户进行红标件、蓝标件送样及适航认证）等进展顺利，并积极布局OCS等新兴领域。授予股权激励，彰显公司发展信心公司此次公告拟授予限制性股票共320万股（占总股本0.8%），授予激励对象总人数129人（员工总数200人），价格为56.89元。25/26/27年业绩考核目标分别为收入较24年同比+30%/69%/119%，净利润同比+10%/21%/33%。彰显公司对未来发展的信心。盈利预测和估值我们看好公司客户订单节奏有望加速，上调公司25/26/27年收入7/11/14%至7.2/10.5/14.3亿元，由于公司主力产品成熟、费用管控力度良好，我们下调费用率预测（基本维持此前费用总额预测），在毛利率相对稳健情况下，上调公司25/26/27年归母净利润14/21/24%至4.1/5.4/7.3亿元。基于25年90X PE（考虑到公司未来较好的盈利能力和高成长性，维持可比公司估值25年 75X PE 的20%溢价）。由于25年预期盈利上修，我们上调目标价为92.29元（前值79.28元，前值对应25年88.5X PE）。维持买入评级。风险提示：产品拓展和海外需求复苏不及预期风险，行业竞争加剧风险。,,华泰证券,买入,[None],2025-08-20,,买入,6326811,pdf_downloads/2025/2025-08-20/688582-芯动联科（688582）：中报兑现高成长性，多行业加速导入.pdf,688582,芯动联科,芯动联科（688582）：中报兑现高成长性，多行业加速导入
"周佳,陈蓉芳,张越",公司披露2025年半年度业绩预增，归母净利润实现大幅增长公司预计2025年上半年实现营收2.28-2.78亿元，同比增长66.04%-102.45%；实现归母净利润1.38-1.69亿元，同比+144.46%-199.37%。取营收和归母净利润的中枢值测算公司上半年整体净利率，有望达到60.67%。2025年上半年公司凭借产品性能领先、自主研发等优势，保持业绩快速增长。公司在手订单充足，按计划在上半年顺利实现交付，使得上半年营收同比大幅增长。我们上调盈利预测，预计2025-2027年归母净利润分别为3.42/5.10/7.45亿元（前值为3.18/4.49/6.42亿元），对应EPS分别为0.85/1.27/1.86元/股，当前股价对应2025-2027年的PE分别为77.8/52.1/35.7倍，维持“买入”评级。应用端起量，高性能MEMS市场有望保持高速增长应用端方面，eVTOL迎来商业化提速周期，36氪研究院预计2026年规模将增长至95亿元，2024-2026年CAGR约为72.3%，而IMU模块约占eVTOL成本的8%。IMU是自动驾驶导航的核心，据微纳制造产业促进会测算2023年我国自动驾驶领域车载IMU市场规模为31.51亿元，到2030年将提升至154.94亿元，CAGR为25.55%。商业航天、人形机器人都依赖于MEMS惯导的发展。2023年国内高性能MEMS陀螺仪市场规模约12.68亿元。预计2023-2028年全球高端惯性传感市场规模CAGR约15%，国内高性能MEMS陀螺仪CAGR约42.3%。公司研发实力卓越，议价能力突出，募投项目持续加码中高端场景公司高性能陀螺仪核心性能指标已经达到国际先进水平。由于公司在国内缺乏同等级的竞争对手，因此具有议价能力，毛利率保持高水平。公司募集资金7.5亿元投入高性能MEMS惯导项目建设，赋能产能及研发实力。风险提示：下游需求不及预期、宏观经济波动、产品研发进度不及预期。,,开源证券,买入,[None],2025-07-06,,买入,6208074,pdf_downloads/2025/2025-07-06/688582-芯动联科（688582）：中小盘信息更新：公司发布2025年半年度业绩预增，同比大幅增长.pdf,688582,芯动联科,芯动联科（688582）：中小盘信息更新：公司发布2025年半年度业绩预增，同比大幅增长
"叶中正,冯瑞,谷茜",事件描述公司发布2025年一季报，2025Q1公司实现营业收入8789.27万元，同比增长291.77%；实现归母净利润4436.77万元（去年同期为-160.22万元）；实现扣非归母净利润3985.83万元（去年同期为-457.26万元）；实现基本每股收益0.11元（去年同期为-0.004元）。事件点评2025Q1公司营收和净利润较去年同期均实现高速增长，季节性特征预期减弱。2025Q1公司实现营业收入8789.27万元，同比增长291.77%；实现归母净利润4436.77万元（去年同期为-160.22万元），主要系公司在手订单充足并按计划交付。此前公司业务存在季节性分布特征，即一季度业务量相对较少而下半年业务量较多。2025Q1公司营收和净利润实现高速增长，预期全年的季节性波动仍将存在，但差异将有所减小。2025Q1公司毛利率和净利率较去年同期均有明显提升，且是2022年来公司首次实现一季报净利率为正。2025Q1公司销售毛利率为83.92%，较去年同期提升3.35个百分点；2025Q1公司销售净利率为50.48%，较去年同期提升57.62个百分点。得益于公司营收较去年同期增长幅度较大，公司毛利率和净利率均实现明显提升，并且净利率提升尤为明显：2022Q1-2025Q1公司销售净利率分别为-23.25%、-51.94%、-7.14%、50.48%。公司积极规划低成本芯片研发，以满足多样化市场需求。当前公司六轴惯性传感器芯片研发面临的主要挑战为技术突破和成本控制，公司也在积极布局低成本芯片研发以满足国产芯片替代需求。公司将持续加大研发投入、夯实技术能力和产品竞争力，力争推出更高性能、高集成、低成本的产品，以满足多样化市场需求，广泛应用于更多下游行业，为客户创造更大价值。投资建议预计公司2025-2027年分别实现营收5.88、8.22、11.29亿元，同比增长45.5%、39.7%、37.3%；分别实现净利润3.11、4.26、5.76亿元，同比增长39.9%、36.9%、35.3%；对应EPS分别为0.78、1.06、1.44元，以4月28日收盘价67.70元计算，对应PE分别为87.3X、63.7X、47.1X，维持“增持-A”评级。风险提示产品研发失败以及技术升级迭代风险、新客户及新市场开拓风险、晶圆代工及封测厂商管控风险、市场占有率、经营规模等方面和行业龙头存在差距带来的市场竞争风险。,,山西证券,增持-A,[None],2025-05-01,,增持,6037109,pdf_downloads/2025/2025-05-01/688582-芯动联科（688582）：在手订单充足驱动2025Q1业绩高速增长，季节性特征预期减弱.pdf,688582,芯动联科,芯动联科（688582）：在手订单充足驱动2025Q1业绩高速增长，季节性特征预期减弱
高永豪,"事件芯动联科发布2025年第一季度报告：公司2025年第一季度实现营业收入8,789.27万元，同比增长291.77%；实现归属于上市公司股东的净利润4,436.77万元，同比扭亏为盈；实现归属于上市公司股东扣除非经常性损益后的净利润3,985.83万元，同比扭亏为盈。投资要点应用领域多点开花，销售收入放量增长2024年公司实现营业总收入 4.05 亿元，同比增长 27.57%；实现归属于母公司所有者的净利润 2.22 亿元，同比增长 34.33%；实现归属于母公司所有者的扣除非经常性损益后的净利润 2.12亿元，同比增长 48.21%。主要系公司产品经下游用户陆续验证导入，进入试产及量产阶段的项目滚动增多，同时，公司产品的应用领域不断增加，公司已覆盖的终端客户包括高端工业领域、测绘测量、石油勘探、商业航天、智能驾驶、高可靠领域等，其中，已定点一家车规客户。市场渗透率提升，使公司销售收入放量增长。MEMS陀螺仪领域业内领先，加速度计实现突破在MEMS陀螺仪领域，经过多年研发和市场开拓，公司产品业内领先，并已经取得了比较好的业绩。虽然公司加速度计产品起步较晚，但新推出的高性能谐振式加速度计（FM加速度计），其领先程度与公司MEMS陀螺仪技术相当。FM加速度计的性能相较于传统加速度计产品提升了一个量级，标志着公司在加速度计领域的重大突破。此外，公司在单轴加速度计的基础上，成功研发了单片双轴和单片三轴的产品，提高了产品的集成度。随着产品线的丰富和技术的持续领先，公司将努力推进加速度计业务在未来几年内实现显著增长。在压力传感器领域，目前已经推出了小量程的压力传感器，并已开始向客户供货。同时，公司也在积极研发大量程压力传感器等新产品，以满足市场的多样化需求。陀螺仪和加速度计产品订单充足，车规级客户定点公司近期披露了和客户P签订的日常经营销售合同，将于2025年内向客户 P 销售一批陀螺仪和加速度计产品，合同金额约 2.7 亿元人民币（含税）和1.6375 亿元人民币（含税），预计将会对公司经营业绩产生积极影响。同时，公司还收到国内某知名汽车企业的定点通知，公司将集中精力研发车用六轴芯片用于未来芯片级应用，模块化IMU定点车厂合作有助于帮助公司打通车企供应链及质量体系认证。未来公司还计划规划重点布局小型化机器人市场。盈利预测预测公司2025-2027年收入分别为6.28、8.81、11.98亿元，EPS分别为0.80、1.07、1.43元，当前股价对应PE分别为83、63、47倍，公司MEMS陀螺仪领域业内领先，加速度计和其他传感器领域不断突破，在手订单充足，预计将会对公司经营业绩产生积极影响，首次覆盖，给予“买入”投资评级。风险提示宏观经济的风险，产品研发不及预期的风险，行业竞争加剧的风险，下游需求不及预期的风险。",,华鑫证券,买入,[None],2025-04-30,,买入,6035955,pdf_downloads/2025/2025-04-30/688582-芯动联科（688582）：公司事件点评报告：MEMS陀螺仪领域业内领先，应用领域多点开花.pdf,688582,芯动联科,芯动联科（688582）：公司事件点评报告：MEMS陀螺仪领域业内领先，应用领域多点开花
"周佳,陈蓉芳,张越",公司再度斩获MEMS陀螺仪&amp;加速度计大订单公司公告于近日与客户P 签订了陀螺仪和加速度计产品的销售合同，合计1.64亿元。预计合同在2025年12月31日前实施完毕。自2025年以来，公司累计披露两项日常经营重大合同订单，累计金额达4.34亿元，均在年内确认收入。假设2025年公司维持去年的利润率水平，则两项合同订单对应全年约2.4亿元利润增益。我们上调盈利预测，并新增2027年的盈利预测，预计2025-2027年归母净利润分别为3.18/4.49/6.42亿元（前值为3.04/4.39亿元），对应EPS分别为0.79/1.12/1.60元/股，当前股价对应2024-2026年的PE分别为81.2/57.5/40.2倍，维持“买入”评级。应用端起量，高性能MEMS市场有望保持高速增长应用端方面，eVTOL迎来商业化提速周期，预计2026年规模将增长至95亿元，2024-2026年CAGR约为72.3%，而IMU模块约占eVTOL成本的8%。IMU是自动驾驶导航的核心，据微纳制造产业促进会测算2023年我国自动驾驶领域车载IMU市场规模为31.51亿元，到2030年将提升至154.94亿元，CAGR为25.55%。商业航天、人形机器人都依赖于MEMS惯导的发展。2023年国内高性能MEMS陀螺仪市场规模约12.68亿元。预计2023-2028年全球高端惯性传感市场规模CAGR约15%，国内高性能MEMS陀螺仪CAGR约42.3%。公司研发实力卓越，议价能力突出，募投项目持续加码中高端场景公司高性能陀螺仪核心性能指标已经达到国际先进水平。由于公司在国内缺乏同等级的竞争对手，因此具有议价能力，毛利率保持高水平。公司募集资金7.5亿元投入高性能MEMS惯导项目建设，赋能产能及研发实力。风险提示：下游需求不及预期、宏观经济波动、产品研发进度不及预期。,,开源证券,买入,[None],2025-04-28,,买入,6030004,pdf_downloads/2025/2025-04-28/688582-芯动联科（688582）：中小盘信息更新：大单持续落地，持续看好MEMS芯片国产替代龙头.pdf,688582,芯动联科,芯动联科（688582）：中小盘信息更新：大单持续落地，持续看好MEMS芯片国产替代龙头
"谢春生,张宇,汤仕翯",4/25，芯动联科公告与客户P签订了陀螺仪和加速度计产品的销售合同，合计1.64亿元，预计于25年实施完毕。结合1/17，公司公告与客户P签订的2.7亿元的陀螺仪合同，目前已公告的25年明确的收入合同共计4.34亿元，已超过24年全年（4.0亿元），大客户的复购水平和产品种类持续提升。随着公司加速度计、IMU、压力传感器等更多品类芯片推出，下游验证导入后有望逐步转换为更值得期待的收入规模增长。我们认为今年下游订单有望加速放量，我们上调25/26/27E公司净利润预期15/15/14%，目标价79.28元，维持买入评级。1Q25回顾：客户需求增长，研发投入加大1Q25业绩：营收0.88亿元（yoy+291.8%/qoq-33.9%），归母净利润0.44亿元（yoy+2869.2%/qoq-47.2%），符合之前业绩预告的收入0.86-0.89亿元，归母净利润0.41-0.46亿元，主要系客户数量和订单规模增加，订货模式转变，排产周期得以更加均匀，1Q25业绩季节性波动影响显著减弱。1Q25公司实现毛利率83.9%，yoy+3.3pct/qoq-3.3pct，整体处于稳定区间，反映公司订单交付质量和盈利水平稳定。25年展望：关税影响有限，新产品订单放量1）关税影响有限：公司收入接近100%原自国内客户，供应链以集团内匹配产线且以非美供应商为主，中长期看下游或有望因受益于自主可控需求更多从美国企业转向公司产品。2）新产品订单有望放量：公司24年以来FM谐振式加速度、单片双轴和单片三轴加速度计、压力传感器实现批量出货；25年有望推出民用市场具备性价比的单片六轴IMU芯片。随着公司产品组合不断健全，在高性能高可靠领域，以及新质生产力领域（如商业航天、自动驾驶、低空等）有望实现客户逐步拓展。盈利预测与估值我们看好公司客户订单节奏有望加速，上调公司25/26/27年收入10/10/6%至6.7/9.4/12.6亿元，由于加大费用管控，在毛利率相对稳健情况下我们上调公司25/26/27年归母净利润15/15/14%至3.6/4.5/5.8亿元。基于25年88.5X PE（考虑到公司未来较好的盈利能力和高成长性，维持可比公司估值25年 73.7X PE 的20%溢价）。由于25年预期盈利上修，我们上调目标价为79.28元（前值69.52元，前值对应25年89X PE）。维持买入评级。风险提示：产品拓展和海外需求复苏不及预期风险，行业竞争加剧风险。,,华泰证券,买入,[None],2025-04-28,,买入,6028795,pdf_downloads/2025/2025-04-28/688582-芯动联科（688582）：再签大额订单，业绩有望加速兑现.pdf,688582,芯动联科,芯动联科（688582）：再签大额订单，业绩有望加速兑现
