author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts,PE_2年前,PE_1年前,PE_当年,PE_明年,PE_后年,PE_大后年,EPS_2年前,EPS_1年前,EPS_当年,EPS_明年,EPS_后年,EPS_大后年
"邓欣,韦香怡","公司发布2025Q3季报：25Q3：收入7.81亿元（+2.99%），归母净利润1.60亿元（-6.76%），扣非归母净利润1.61亿元（-5.37%）。25Q1-Q3：收入22.70亿元（-4.89%），归母净利润5.49亿元（-4.35%），扣非归母净利润5.17亿元（-7.93%）。收入：预调酒企稳改善，威士忌稳步推进25Q3公司酒类业务/香精营收分别同比+1.5%/+14.5%，25Q1-Q3酒类业务/香精营收分别同比-5.9%/+2.5%，酒类业务企稳转正、改善趋势清晰。其中，我们预计酒类业务中，微醺收入相对稳健，新品果冻酒&amp;轻享Q3顺利贡献新增量；威士忌业务前置储备充分，当前处于渠道拓展/招商铺市阶段，期待稳步起量。利润：推新扰动费率25Q3公司毛利率为70.2%，同比维稳；销售/管理/研发/财务费率分别同比+3.24/0.53/+0.05/-0.08pct至26.70%/6.69%/3.06%/0.75%；销售费率扰动主因预调酒和威士忌推新导致费用阶段性增加，及威士忌部分资本开支的摊销影响。综上，公司25Q3净利率同比-2.14pct至20.52%，期待短期扰动影响减退后，盈利重回上升通道。投资建议：维持“买入”评级我们的观点：展望26年，公司看点①预调酒趋稳+推新，重回高质量发展；②威士忌招商铺市有序推进，渠道终端数量有望进一步提升，带动整体稳步发展。期待公司持续改善。盈利预测:考虑到行业压力仍存，结合公司预调酒业务稳健经营，以及威士忌招商进展，我们调整盈利预测，预计 2025-27年公司实现营业收入30.56135.20140.69 亿元(原预测值为 34.34139.07145.04 亿元)，同比增长 0.3%115.2%115.6%;实现归母净利润 7.2918.53110.06 亿元(原预测值为 8.0719.46111.15 亿元),同比增长 1.3%117.1%117.9%;当前股价对应 PE 分别为 36131126 倍，维持“买入”评级。风险提示:需求不及预期，新品拓展不及预期，市场竞争加剧，原材料成本超预期上涨。",,华安证券,买入,[None],2025-11-04,,买入,7391556,pdf_downloads/2025/2025-11-04/002568-百润股份（002568）：25Q3点评：经营趋稳，环比改善.pdf,2568,百润股份,百润股份（002568）：25Q3点评：经营趋稳，环比改善,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 7.29,
            ""eps"": null,
            ""pe"": 36
        },
        {
            ""year"": 2026,
            ""net_profit"": 18.53,
            ""eps"": null,
            ""pe"": 31
        },
        {
            ""year"": 2027,
            ""net_profit"": 110.06,
            ""eps"": null,
            ""pe"": 26
        }
    ]
}",,,36.0,31.0,26.0,,,,,,,
"张向伟,杨苑",公司公布2025年三季度业绩：3Q25实现营业总收入7.8亿元，同比+3.0%；实现归母净利润1.6亿元，同比-6.8%；实现扣非归母净利润1.6亿元，同比-5.4%。单季度收入止跌回升，预调酒业务有所改善，威士忌业务贡献增量。Q3收入+3.0%，终止了此前连续5个季度收入下滑之势。分业务看，Q3酒类业务收入6.8亿，同比+1.5%，预计预调酒收入同比降幅收窄，威士忌业务贡献收入增量。香精Q3香料业务平稳发展。预调鸡尾酒业务开始出现企稳迹象主因：1）年初以来公司持续加强渠道库存管理，渠道库存改善后，部分产品线的增长动力恢复；2）Q2末推出预调酒新品——微醺果冻酒及轻享系列，贡献收入增量。毛利率保持稳定，销售费用投放阶段性增加。Q3毛利率同比持平，销售/管理/研发/财务费用率分别同比+3.2/+0.5/+0.1/-0.1pp，费用率上升主要系威士忌业务处于发展初期，产品上市推广、销售团队扩张、体验中心折旧导致相关费用率阶段性上升。受费用率提升影响，Q3归母净利率20.5%，同比-2.1pp。此外，得益于公司今年以来主动加强应收账款管理，Q3末应收账款余额较年初大幅下降65.5%至0.9亿元，且Q3销售收现同比+8.0%，高于收入增速，表明公司收入质量持续改善。投资建议与盈利预测：预调酒方面，今年公司坚持高质量发展基调，主动进行渠道库存及应收账款管理，截至Q3末，预调酒业务质量已有提升，3-5-8度产品矩阵的发展更为均衡，并有新系列推出，Q4预调酒业务有望在低基数之上恢复正增。威士忌方面，今年业务正式启航，目前处于招商及渠道建设阶段，公司在威士忌赛道处于产能储备领先地位，发展节奏从容，预计后续随着产品矩阵完善、消费者认知提升，威士忌业务逐步起量。综合来看，我们预计明年公司收入恢复正增通道。考虑到今年酒水市场需求持续疲弱，且三季度受到规范吃喝相关政策影响，我们下调2025-2027年盈利预测：预计2025-2027年公司实现营业总收入30.4/33.0/35.6亿元（前预测值31.9/34.9/38.0亿元），同比-0.3%/+8.5%/+7.8%；实现归母净利润7.3/8.2/9.1亿元（前预测值7.9/9.0/10.3亿元），同比+1.5%/+12.3%/+11.1%；EPS分别为0.70/0.78/0.87元；当前股价对应PE分别为36/32/29倍。考虑到公司在预调酒行业的龙头定位稳固，品牌影响力较强，业务具备长期发展的稳固基础，且威士忌业务具备较为广阔的成长空间，故维持维持“优于大市”评级。风险提示：酒水行业需求受宏观经济及政策因素影响而持续走弱；烈酒业务成长初期费用投入大幅增加导致盈利能力受损；行业竞争加剧等。,,国信证券,优于大市,[None],2025-10-31,,买入,7117034,pdf_downloads/2025/2025-10-31/002568-百润股份（002568）：2025年三季度预调酒业务有所改善，费用投放阶段性增加.pdf,2568,百润股份,百润股份（002568）：2025年三季度预调酒业务有所改善，费用投放阶段性增加,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 7.3,
            ""eps"": 0.70,
            ""pe"": 36
        },
        {
            ""year"": 2026,
            ""net_profit"": 8.2,
            ""eps"": 0.78,
            ""pe"": 32
        },
        {
            ""year"": 2027,
            ""net_profit"": 9.1,
            ""eps"": 0.87,
            ""pe"": 29
        }
    ]
}",,,36.0,32.0,29.0,,,,0.7,0.78,0.87,
"张宇光,张恒玮",收入增长转正，费用投入影响利润，维持“增持”评级2025年前三季度营收22.7亿元，同比-4.9%，归母净利润5.5亿元，同比-4.4%；2025Q3营收7.8亿元，同比+3.0%，归母净利润1.6亿元，同比-6.8%。公司Q3收入迎来转正，但费用投入影响利润。我们下调2025-2027年盈利预测，预计2025-2027年归母净利润分别为7.3（-0.6）亿元、8.5（-0.5）亿元、9.9（-0.4）亿元，同比分别+1.1%、+16.9%、+16.7%，EPS分别为0.69（-0.07）元、0.81（-0.05）元、0.95（-0.03）元，当前股价对应PE分别为36.0、30.8、26.4倍。公司持续解决预调酒遗留问题，为2026年轻装发展奠定较好基础，同时在新品和威士忌业务稳步推进下，看好未来业绩恢复较好增长，维持“增持”评级。Q3酒类业务增速转正，香料香精及其他实现双位数增长酒类2025年前三季度收入19.8亿元，同比-5.9%，Q3收入6.8亿元，同比+1.5%。食用香精及其他前三季度收入2.9亿元，同比+2.5%，Q3收入1.0亿元，同比+14.5%。Q3酒类收入增速转正，香料香精实现双位数增长，带动营收增速转正。预调酒环比改善，威士忌业务稳步推进Q3预调酒主业收入预计跌幅收窄，一方面公司通过优化经销商结构、降低应收账款、数字化营销等手段，预调酒实现环比改善；另一方面Q3推出果冻酒和轻享两个新品，消费者和市场反馈较好，月度销量环比持续爬坡，实现较好收入增量贡献。Q3威士忌烈酒业务稳步推进，百利得继续聚焦便利店、零售店、O2O等渠道铺货；崃州上市后，精准聚焦雪茄屋、威士忌吧、餐饮等高端渠道。毛利率稳定，销售费用率提升，净利率有所下滑Q3毛利率同比+0.01pct至70.19%，毛利率保持平稳；Q3销售/管理/研发/财务费用率分别同比+3.24pct/+0.53pct/+0.05pct/-0.08pct，Q3公司销售费用率增加，预计费用主要增加在预调酒新品推广、强爽营销活动、威士忌铺货等方面，管理费用率、研发费用率略有增加。综合来看，Q3净利率同比-2.15pct至20.52%。风险提示：宏观经济下行风险、市场竞争加剧风险、销售不及预期风险。,,开源证券,增持,[None],2025-10-29,,增持,6979073,pdf_downloads/2025/2025-10-29/002568-百润股份（002568）：公司信息更新报告：Q3收入重回正增长，费投影响利润增速.pdf,2568,百润股份,百润股份（002568）：公司信息更新报告：Q3收入重回正增长，费投影响利润增速,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 7.3,
            ""eps"": 0.69,
            ""pe"": 36.0
        },
        {
            ""year"": 2026,
            ""net_profit"": 8.5,
            ""eps"": 0.81,
            ""pe"": 30.8
        },
        {
            ""year"": 2027,
            ""net_profit"": 9.9,
            ""eps"": 0.95,
            ""pe"": 26.4
        }
    ]
}",,,36.0,30.8,26.4,,,,0.69,0.81,0.95,
"寇星,王厚","事件概述公司发布2025年三季报，25Q1-3实现收入22.7亿元，同比-4.9%；归母净利润5.5亿元，同比-4.4%；25Q3实现收入7.8亿元，同比+3.0%；归母净利润1.6亿元，同比-6.8%；收入业绩低于市场预期。分析判断:新品仍难弥补老品压力25Q1-3/25Q3酒类产品分别实现收入19.8/6.8亿元，分别同比-5.9%/+1.5%，其中我们判断25Q3预调鸡尾酒预计同比个位数下滑，新品上市对收入的贡献有限难以支撑老品压力，我们认为经过Q3的铺货和营销推广Q4新品有望占比提升，对应预调鸡尾酒酒业务收入有望环比修复。25Q1-3/25Q3食用香精分别实现收入2.9/1.2亿元，分别同比+2.5%/+12.9%，成为贡献25Q3总收入同比回正的另一个有力增长点。产品结构变动不影响毛利率，费用投放增加影响净利率25Q3毛利率70.2%，同比持平，我们判断酒类业务中毛利率相对较高的烈酒抵消了新品毛利率相对较低的对整体毛利率的影响。25Q3税金及附加占总收入比6.8%，同比+1.5pct，我们预计主因新品销量增加影响税基。25Q3销售费用率26.7%，同比+3.2pct，我们认为主因酒类产品新品上市资源投入和老品旺季营销活动增加费用投放影响。综上，25Q3净利率20.5%,同比-2.1pct%。拆分来看，25Q1-3酒类产品/食用香精净利率分别19.2%/58.0%，分别同比-0.2/+0.7pct，分业务盈利能力相对稳定。关注新品Q4回款动销情况以及中长期烈酒业务的推进我们认为未来重复大单品逻辑带来收入周期性高点的路径难度逐渐增加，因此核心关注未来如何通过产品矩阵丰富继续破圈拉新。新品在本年度末预计仍然承担非常重要的促进动销、盘活流通的作用，经过Q3的营销投入短期关注25Q4新品回款动销的爬坡情况。我们认为烈酒业务仍然是公司中长期战略的核心，在25年有望顺利达成全年目标的前提下，期待26年品牌塑造、营销投入、渠道运营等方面的继续推进。投资建议根据公司三季报调整盈利预测，25-27年营业收入由33.6/38.0/43.4亿元下调至29.5/30.1/32.0亿元；归母净利润由7.7/8.7/10.1亿元下调至6.9/7.4/8.2亿元；EPS由0.73/0.83/0.96元下调至0.65/0.71/0.78元。2025年10月28日收盘价25.62元对应PE分别39/36/33倍，维持“增持”评级。风险提示食品安全风险；原材料价格大幅上涨；竞争加剧影响收入业绩；新品销售不及预期等。",,华西证券,增持,[None],2025-10-29,,增持,6940383,pdf_downloads/2025/2025-10-29/002568-百润股份（002568）：费用投放增加影响净利率，期待未来新品表现.pdf,2568,百润股份,百润股份（002568）：费用投放增加影响净利率，期待未来新品表现,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 6.9,
            ""eps"": 0.65,
            ""pe"": 39
        },
        {
            ""year"": 2026,
            ""net_profit"": 7.4,
            ""eps"": 0.71,
            ""pe"": 36
        },
        {
            ""year"": 2027,
            ""net_profit"": 8.2,
            ""eps"": 0.78,
            ""pe"": 33
        }
    ]
}",,,39.0,36.0,33.0,,,,0.65,0.71,0.78,
"李梓语,陈熠",环比略改善，期待再发力事件：公司发布2025年三季报，2025年前三季度公司实现营收22.7亿元，同比-4.9%；归母净利润5.5亿元，同比-4.4%；扣非归母净利润5.2亿元，同比-7.9%。其中25Q3实现营收7.8亿元，同比+3.0%；归母净利润1.6亿元，同比-6.8%；扣非归母净利润1.6亿元，同比-5.4%。收入增速环比转正，基本面企稳向上。25Q3公司收入同比+3.0%，环比25H1增速转正，公司基本面企稳向上。其中25Q3酒类板块/香精香料等其他业务收入同比+1.5%/14.5%，酒类板块增速较25H1大幅改善，香精香料等业务实现双位数较高增速。销售费用投入增加，酒类业务净利率受威士忌影响同比略降。25Q3公司毛利率同比持平至70.2%，维持高位。25Q3公司销售/管理/研发/财务费用率同比+3.2/+0.5/+0.1/-0.1pct，我们预计销售费用率提升或与威士忌投入增加等相关。综合来看，受费用率小幅提升影响，25Q3净利率同比-2.1pct至20.5%。分业务来看，2025年前三季度酒类业务实现净利润3.8亿元，同比-6.9%，净利率同比-0.2pct。预调酒Q4或环比显著加速，期待威士忌营销催化。预调酒方面，公司今年持续布局新品加持，6月推出果冻酒，果冻带来全新Q弹口感，打造好喝好玩的产品特色；8月推出轻享系列，布局12度更高酒精度数，新品有望持续贡献增量。展望25Q4，公司报表端面临极低基数，我们预计增速有望环比再加速。威士忌方面，百利得、崃州新品正在铺货中，合作经销商和销售网点的数量持续增加。营销上百利得以“至少还有百利得”作为传播主体，以“百利得小酒馆”实现线上情绪陪伴和线下日常渗透，推进消费者培育和互动，期待未来更大力度营销动作跟进，为动销放量蓄力。投资建议：考虑到Q3预调酒业务仍略有压力，威士忌新业务仍在培育中，略下调盈利预测，预计2025-2027年实现归母净利润7.3/8.8/10.1亿元（前次为7.7/9.4/10.9亿元），同比+1.4%/20.3%/14.7%，当前股价对应PE为39/33/28x，维持“买入”评级。风险提示：新品培育不及预期，威士忌培育费投过高，行业竞争加剧。,,国盛证券,买入,[None],2025-10-29,,买入,6940948,pdf_downloads/2025/2025-10-29/002568-百润股份（002568）：环比略改善，期待再发力.pdf,2568,百润股份,百润股份（002568）：环比略改善，期待再发力,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 7.3,
            ""eps"": null,
            ""pe"": 39
        },
        {
            ""year"": 2026,
            ""net_profit"": 8.8,
            ""eps"": null,
            ""pe"": 33
        },
        {
            ""year"": 2027,
            ""net_profit"": 10.1,
            ""eps"": null,
            ""pe"": 28
        }
    ]
}",,,39.0,33.0,28.0,,,,,,,
"欧阳予,刘旭德,董广阳",中酒类产品/食用香精及其他业务实现收入6.8/1.0亿元，分别同增1.5%/14.5%。具体分产品看，预调酒环比有所好转，老品微醺系列收入保持稳健，强爽系列动销流速逐渐止跌企稳，降幅环比收窄，新品轻享系列处于动销培育初期加速铺市，果冻酒在前期线上预热背景下动销相对较好，威士忌业务延续铺货思路，贡献一定增量，但整体进度低于此前预期。现金流量方面，公司回款同增8.0%，表现好于收入，Q3末合同负债0.8亿元，同增18.2%，判断系公司主动放缓发货速度，缓解渠道库存压力，经营韧性相对较足。70.2%，同比基本持平。费用端，公司税金及附加率同比提升1.5pcts至6.8%，主要系税基扰动影响；销售费用率同比提升3.2pcts至26.7%，主要系公司加大广宣及线下活动力度促进销售所致；管理费用率同比提升0.5pct至6.7%，延续前期提升趋势。此外，所得税占利润比重同降7.6pcts，对冲部分费用提升。综上，25Q3公司实现归母净利润1.6亿元，同降6.8%，实现归母净利率20.5%，同比下降2.1pcts。新品微醺果冻酒&轻享系列贡献主要增量，老品库存已消化至较低水位，整体保持在健康水平。展望未来，公司经营调整节奏逐步稳定，严格管控经销商跨区域、跨渠道窜货等行为，并加大对便利店经销商的费用补贴，稳定渠道体系。产品端继续增加果冻酒和轻享系列投入，打造新增长极，而威士忌业务公司着眼长远，通过酒吧&餐饮地推活动及线下铺货持续培育消费者认知。渠道端，公司积极拥抱量贩、即时零售等新兴渠道，量贩渠道导入330ml小规格的微醺、强爽、小美好系列产品，即时零售供货协助线下分销。来年公司有望轻装上阵，加速释放利润空间。司经营持续调整，预调酒业务逐步回至正轨，库存处于健康水位，Q3公司加快新品轻享系列和果冻酒铺货，持续打造新增长极，威士忌业务秉持长期主义稳健推进。展望来年，公司调整到位，有望在低基数下轻装上阵，释放利润弹性。结合三季报业绩表现，我们调整25-27年EPS预测为0.71/0.82/0.94元（前值为0.75/0.87/1.00元），维持目标价30元，维持 “推荐”评级，后续建议持续关注新品铺货动销及库存周转变化。,,华创证券,推荐,[None],2025-10-28,,增持,6908084,pdf_downloads/2025/2025-10-28/002568-百润股份（002568）：2025年三季报点评：新品贡献增量，收入增速转正.pdf,2568,百润股份,百润股份（002568）：2025年三季报点评：新品贡献增量，收入增速转正,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": null,
            ""eps"": 0.71,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": null,
            ""eps"": 0.82,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": null,
            ""eps"": 0.94,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.71,0.82,0.94,
"张东雪,林若尧",百润股份(002568)投资要点：经营稳健，收入端单季度同比转正。公司2025年前三季度实现营收22.70亿元，同比下降4.89%；实现归母净利润5.49亿元，同比下降4.35%；扣非归母净利润5.17亿元，同比下降7.93%。根据公告，公司25Q3单季度实现营收7.81亿元，同比增长2.99%，环比改善显著，自2024年Q1以来首次单季营收同比转正，归母净利润1.6亿元，同比下滑6.76%，扣非后归母净利润1.61亿元，同比下滑5.37%。毛利率稳健，销售费用率提升或来自预调酒新品培育与威士忌新业务市场开拓期投入增加。公司Q3单季度毛利率为70.19%，对比去年同期提升0.01pct，费用方面，公司销售费用率对比同期提升3.24pct至26.7%，销售费用的增加我们认为系公司三季度需要针对较多新品进行前期市场营销投入，如“微醺果冻酒”和“轻享”系列，而新业务威士忌品类的开拓亦处于市场培育过程中，需一定费用支持；其余管理/研发/财务费用率分别对比同期+0.53/+0.05/-0.08pct至6.69%/3.06%/0.75%，净利率对比去年同期下降2.15pct至20.52%，主要来自销售费用率的增加。预调酒业务后续新品驱动下看点仍多，威士忌业务灌桶数量先行构筑产能壁垒，从铺货到动销或需时间沉淀。公司预调酒业务新品驱动下后续看点仍多，威士忌业务公司“百利得”+“崃州”双品牌战略清晰，上半年累计灌桶数量已达50万桶，产能壁垒深厚，现有品牌矩阵下亦推出多规格产品渗透不同渠道。虽然当前公司威士忌业务仍处于渠道培育与扩张的初期阶段，还未进行大规模营销投放，但考虑到威士忌品类在我国渗透率较低，且当前国内市场供给侧推力逐步增强，未来规模扩张或具备较大动能，而公司作为国产威士忌代表企业，后续该业务想象空间仍大。盈利预测与评级。我们预计公司2025-2027年归母净利润分别为7.34/8.67/10.41亿元，同比增速分别为2%/18.14%/20.18%，当前股价对应的PE分别为39/33/27倍，考虑到公司整体经营稳健，且预调鸡尾酒和威士忌业务当前均处于渗透率向上阶段，后续想象空间较大，维持“买入”评级。风险提示。行业竞争加剧、宏观经济波动、食品安全问题等,,华源证券,买入,[None],2025-10-28,,买入,6901665,pdf_downloads/2025/2025-10-28/002568-百润股份（002568）：收入边际向好，威士忌业务未来可期.pdf,2568,百润股份,百润股份（002568）：收入边际向好，威士忌业务未来可期,"{
  ""forecasts"": [
    {
      ""year"": 2025,
      ""net_profit"": 7.34,
      ""eps"": null,
      ""pe"": 39
    },
    {
      ""year"": 2026,
      ""net_profit"": 8.67,
      ""eps"": null,
      ""pe"": 33
    },
    {
      ""year"": 2027,
      ""net_profit"": 10.41,
      ""eps"": null,
      ""pe"": 27
    }
  ]
}",,,39.0,33.0,27.0,,,,,,,
"吴文德,张立",亊件：公司2025年前三季度营收22.70亿元，同比-4.89%；归母净利润5.49亿元，同比-4.35%；扣非后归母净利润5.17亿元，同比-7.93%。其中3Q2025营收7.81亿元，同比+2.99%；归母净利润1.60亿元，同比-6.76%；扣非后归母净利润1.61亿元，同比-5.37%。预调酒业务环比改善，威士忌新业务逐步打开市场：2025年前三季度公司酒类业务收入19.78亿元，同比-5.9%。其中3Q2025酒类业务收入6.81亿元，同比增长1.5%，酒类业务在经历上半年的调整后，三季度同比增速转正，我们预计主要原因在于微醺果冻酒及轻享新品全国铺货带动，另外威士忌业务也带来一定增量，强爽下滑幅度较上半年收窄。销售费用投放加大，税费率有所上升影响净利率。3Q2025公司销售净利率20.52%，同比-2.15pct。公司毛利率平稳，销售费用率提升3.2pct，另外税金及附加率同比+1.5pct影响净利率表现。果冻酒、轻享系列上市后开始铺货，加上威士忌产品仍然处于招商铺货期，费用投放较大。投资建议：鉴于公司Q3在果冻酒、轻享及威士忌等产品拉动下收入增速转正，新品推广效能持续提升，尤其是威士忌运营理顺后有望带来更大增量。我们预计公司2025-2027年实现营业收入30.7/35.25/40.5亿元，归母净利润7.09/8.53/9.78亿元。对应PE分别为40.3/33.5/29.2倍，维持“增持”评级。风险提示：新品推广不及预期风险；食品安全风险；市场竞争加剧风险；原材料价格波动风险。,,财通证券,增持,[None],2025-10-28,,增持,6903175,pdf_downloads/2025/2025-10-28/002568-百润股份（002568）：Q3收入增速环比改善，市场费用投放加大影响盈利能力.pdf,2568,百润股份,百润股份（002568）：Q3收入增速环比改善，市场费用投放加大影响盈利能力,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 7.09,
            ""eps"": null,
            ""pe"": 40.3
        },
        {
            ""year"": 2026,
            ""net_profit"": 8.53,
            ""eps"": null,
            ""pe"": 33.5
        },
        {
            ""year"": 2027,
            ""net_profit"": 9.78,
            ""eps"": null,
            ""pe"": 29.2
        }
    ]
}",,,40.3,33.5,29.2,,,,,,,
"龚源月,宋英男",2025年10月28日│中国内地 饮料 公司发布2025年三季报，25年Q1-Q3总营收/归母净利/扣非净利22.7/5.5/5.2亿，同比-4.9%/-4.4%/-7.9%；25Q3总营收/归母净利/扣非净利7.8/1.6/1.6亿，同比+3.0%/-6.8%/-5.4%。25Q3公司预调酒库存处于健康状态，基本盘企稳信号明确，微醺表现相对较好，果冻酒及轻享等新品贡献增量，强爽等表现企稳；威士忌产品以长期品牌打造为主，目前稳健铺货中。期待预调酒新品发布扩充产品矩阵后稳步增长，关注威士忌铺货动销打造第二曲线。维持“买入”。微醺表现较优，新品贡献增量，威士忌业务稳节奏公司25年前三季度酒类业务营收19.8亿，实现净利润3.8亿元。我们预计Q3成熟大单品微醺增速靠前，强爽/清爽表现企稳，预调酒整体实现稳健增长，公司新品轻享和果冻酒Q3也贡献一定增量，形成新增长极。同时，公司崃州单一麦芽威士忌6月官宣铺货，聚焦华南市场，考虑到长期稳健发展，预计威士忌业务三季度节奏略有放缓，公司长期打造第二增长曲线目标不变，公司当前聚焦非现饮渠道。整体看，公司Q3保持较为健康库存，线下渠道需求仍需恢复；线上受影响较小表现相对稳健。25Q1-Q3盈利能力保持稳定，现金流表现亮眼25年Q1-Q3毛利率为70.3%，同比+0.2pct；25Q3毛利率70.2%，同比持平；费用端，25Q1-Q3/25Q3销售费用率22.4%/26.7%，同比-1.7/+3.2pct，25Q1-Q3费用率下降预计系公司广告宣传费用和仓储费用收缩；公司税金及附加占比6.3%/6.8%，同比+0.9/+1.5pct；管理费用率7.4%/6.7%，同比+1.2/+0.5pct，预计系职工薪酬及折旧增加；同时，公司25Q1-Q3所得税费用同比-1.6pct至25.2%，预计系香精业务经营主体调整、高新技术税收优惠调整所致；25Q1-Q3/25Q3归母净利率24.2%/20.5%，同比+0.1/-2.1pct。公司现金流表现亮眼，25年Q1-Q3销售收现/经营净现金流同比分别+8%/+40%。期待威士忌培育成效，维持“买入”评级期待消费复苏拉动预调酒业务恢复，当前威士忌稳步铺货，期待双轮驱动打开公司未来空间。考虑预调酒当前压力较大，我们下调25-27年营业收入为29.4/31.7/34.9（较前次-6%/-6%/-6%），同比-3.5%/+7.9%/+10.0%；预计25-27年EPS为0.66/0.73/0.84元（较前次-10%/-9%/-7%），参考可比公司（根据Wind一致预期）估值26年44xPE，给予公司26年44xPE，目标价32.12元（前次37.23元，给予25年51xPE，可比公司估值25年51xPE），“买入”。风险提示：行业竞争加剧，消费需求不达预期，食品安全问题。,,华泰证券,买入,[None],2025-10-28,,买入,6888881,pdf_downloads/2025/2025-10-28/002568-百润股份（002568）：Q3预调酒表现稳健，新品贡献增量.pdf,2568,百润股份,百润股份（002568）：Q3预调酒表现稳健，新品贡献增量,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 5.5,
            ""eps"": 0.66,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": null,
            ""eps"": 0.73,
            ""pe"": 44
        },
        {
            ""year"": 2027,
            ""net_profit"": null,
            ""eps"": 0.84,
            ""pe"": null
        }
    ]
}",,,,44.0,,,,,0.66,0.73,0.84,
"苏铖,郭晓东",事件：百润股份25Q1-Q3营收22.70亿元，同比-4.89%，归母净利润5.49亿元，同比-4.35%，扣非后归母净利润5.17亿元，同比-7.93%。其中25Q3营收7.81亿元，同比+2.99%，归母净利润1.60亿元，同比-6.76%，扣非后归母净利润1.61亿元，同比-5.37%。预调酒边际企稳，威士忌贡献增量。25Q1-Q3酒类业务收入19.78亿元，同比-5.89%，我们预计年初以来微醺维持双位数增长、强爽上半年双位数下滑/三季度以来收窄至个位数下滑。其中25H1酒类业务收入12.97亿元，同比-9.35%，25Q3酒类业务收入6.81亿元，同比+1.49%，酒类业务经历上半年的调整之后，三季度呈现恢复性增长节奏，主要系强爽下滑收窄、果冻酒/轻享新品/威士忌贡献增量等。新品推广期费用投放加大，盈利有所承压。25Q3销售净利率同比-2.15pct至20.52%，主要系税金及附加率抬升、新品推广期费用投放加大所致。其中25Q3销售毛利率为70.19%、同比基本持平；25Q3税金及附加率同比+1.50pct至6.81%，二季度以来延续提升节奏，我们推测与威士忌品类生产节奏相关；销售费用率同比+3.24pct至26.70%，管理费用率同比+0.53pct至6.69%，果冻酒6月上市后逐步在盒马/便利店铺货，轻享7月上市，同时崃州单一麦芽威士忌亦处于招商铺货阶段，新品集中推广致费用明显加大。此外，其他非经科目相对平稳。短期实现恢复性增长，持续关注动销反馈。短期来看，三季度在预调酒新品、威士忌增量带动下恢复增长节奏，预计四季度增势延续，后续关注威士忌及预调酒新品动销节奏。中期来看，预调酒业务品类创新能力强、产品营销经验足、全国化产能加持，随着358产品矩阵持续完善，未来有望持续受益于渗透率提升。此外威士忌业务先发优势明显，需持续营销投入等待动销拐点，未来威士忌第二曲线有望打开成长空间。盈利预测与投资评级：短期预调酒低位企稳、威士忌新品逐步贡献增量，中期关注威士忌第二曲线营销节奏及动销拐点。参考25Q3报表节奏，我们更新2025~2027年归母净利润预测为7.28、8.78、10.23亿元（前值为7.86、9.02、10.48亿元），对应当前PE分别为39、33、28X，维持“买入”评级。风险提示：宏观经济不及预期；食品安全问题；预调酒销售不及预期、新品威士忌铺货不及预期。,,东吴证券,买入,[None],2025-10-28,,买入,6887567,pdf_downloads/2025/2025-10-28/002568-百润股份（002568）：2025 年三季报点评：25Q3实现恢复性增长，持续关注动销反馈.pdf,2568,百润股份,百润股份（002568）：2025 年三季报点评：25Q3实现恢复性增长，持续关注动销反馈,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 7.28,
            ""eps"": null,
            ""pe"": 39
        },
        {
            ""year"": 2026,
            ""net_profit"": 8.78,
            ""eps"": null,
            ""pe"": 33
        },
        {
            ""year"": 2027,
            ""net_profit"": 10.23,
            ""eps"": null,
            ""pe"": 28
        }
    ]
}",,,39.0,33.0,28.0,,,,,,,
