author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"钱伟伦,甄理",投资要点推荐逻辑：农药价格逐步复苏，公司优创项目开始放量，有望迎来量价齐升：1）公司是国内农药龙头企业，产品布局完善，优创一期规划15650吨农药原药产能，未来增量可期；2）2025年以来农药价格逐步修复，草甘膦等主要农药原药价格开始上行，根据中农立华原药指数，截至11月30日，农药原药指数报73.85，较年初上涨1.32%。伴随农药价格企稳复苏，公司作为龙头有望充分受益；3）公司菊酯产业链配套完善，优创项目投产，功夫菊酯（高效氯氟氰菊酯）产能从5500吨/年增加至8500吨/年，巩固菊酯优势地位。农药龙头全品类布局，产能突破10万吨。公司成立于1999年，背靠先正达集团，是国内农化行业头部企业。公司是全球拟除虫菊酯原药核心供应商，产品规模位居国内首位。拟除虫菊酯产品分为卫生用药和大田用药，卫生用药主要用于室内蚊虫趋避消杀，是公司的特色品种。经过多年发展，随着优士、优嘉、优创等项目建成投产，公司目前已经实现杀虫剂、除草剂、杀菌剂、植物生长调节剂等多品类布局，在产原药品种接近70个，总产能超过10万吨。2024年公司原药产、销量分别为96913.34吨、99872.64吨，分别同比6.67%、3.50%。随着优创项目的放量，今年产销情况有望继续向好。供需格局优化，农药价格企稳反弹。自2022年开始，多数农药价格从高点持续回落，价格有较大幅度的调整。伴随海外库存持续去化，国内低效产能的出清，农药市场供需格局持续优化。2024年以来农药产量增速开始回落，2025年增速维持在10%以内。农药PPI也从2024年开始从底部反弹。根据中农立华数据，原药指数已有反弹趋势，除草剂等品类也有所改善。政策端持续收紧，一品一证政策落地，行业规范进行中，登记证丰富的龙头企业有望受益。产业链布局完善，优创项目巩固龙头地位。菊酯：菊酯关键中间体贲亭酸甲酯供给扰动，菊酯现货偏紧价格反弹，公司农药中间体配套完善，叠加优创项目投产产能增加，有望充分受益菊酯价格修复。草甘膦：2025年行业供给相对平稳，下游需求回暖，草甘膦价格持续修复；麦草畏：美国复批麦草畏，需求有望逐步打开。杀菌剂：3000吨吡唑醚菌酯技改项目推进中，有望贡献增量。盈利预测与投资建议。公司是国内原药龙头企业，目前已经实现杀虫剂、除草剂、杀菌剂、植物生长调节剂等多品类布局，在产原药品种接近70个，总产能超过10万吨。公司是全球菊酯核心供应商，具备一体化生产优势，当前菊酯价格基本企稳，随着供需关系持续改善，价格有进一步修复空间。公司优创项目顺利投产，功夫菊酯、烯草酮等优势产品有望带来可观利润增量，未来成长空间可期。综合以上，我们预计未来三年归母净利润复合增长率为13.86%，给予2026年22倍PE，目标价84.70元，维持“买入”评级。风险提示：农药销售不及预期的风险；原材料成本上涨风险；极端天气风险。,,西南证券,买入,[None],2026-01-01,,买入,8307510,pdf_downloads/2026/2026-01-01/600486-扬农化工（600486）：农药拐点将至，优创项目助力成长.pdf,600486,扬农化工,扬农化工（600486）：农药拐点将至，优创项目助力成长
"孙颖,刘梦岚",报告摘要事件：公司发布2025年三季报，报告期内，公司实现营业总收入91.56亿元，同比增长14.23%，归母净利润10.55亿，同比增长2.88%。第三季度营业收入为29.23亿元，同比增长26.15%；归母净利润为2.50亿元，同比下降5.01%。优创产品落地产销量同比提升，Q3原药销量环比逆势增长。公司25Q1-Q3农药原药产销量分别为8.69万吨、8.63万吨，同比+15.61%、+13.47%。制剂产销量分别为2.98万吨、3.32万吨，同比+0.29%、-3.08%。在产能新增下，公司前三季度原药、制剂的产量同比增长，推动公司营业收入增长。三季度是农药的季节性淡季，25Q3的农药原药产销量分别为2.92万吨、2.96万吨，同比+12.80%、+13.53%，环比+3.46%、+5.61%，实现逆势增长。国内原药价格压力仍存，Q3价格有所回升。25年上半年，海外渠道端库存在持续消化下已经恢复合理水平，然而国内前期新增产能集中释放叠加印度企业原药产能扩张，行业供给持续落地压制价格。与此同时，我国的农药出口依赖度高，关税反复影响行业需求。供需两端的压力下，今年农药价格仍处于底部区域。25Q1-Q3，原药平均销售价格为6.27万元/吨，同比下降1.12%；制剂平均价格为3.98万元/吨，同比下降1.61%。从Q3单季度看，整体原药和制剂价格均有小幅回升。从细分产品上看，草甘膦、联苯菊酯、氯氰菊酯、高效氯氟氰菊酯、烯草酮第三季度平均价格分别为2.68、12.82、7.53、10.67、11.92万元/吨，同比变化+6.77%、-2.88%、+15.67%、-0.28%、+76.59%；环比变化+12.61%、-1.38%、+0.40%、-2.91%、+9.56%。当前农药行业的周期已经迈入修复阶段，草甘膦、烯草酮等竞争格局较好的品种已经率先提价。展望后续，全球大宗农产品价格企稳反弹，叠加产能扩张已迈入后期，供需格局持续向好下农药行业有望进入复苏通道。优创、优嘉在建项目充足，待旺季业绩兑现。公司当前在建产能包括优创葫芦岛项目建设和优嘉吡唑醚菌酯扩建、四期及技改项目，其中葫芦岛优创项目一阶段，已调试产品全部达设计产能，彰显扬农速度。优创项目于24年末转固后的折旧摊销对利润有所压制，静待农药旺季来临推动优创项目业绩兑现。投资建议：行业自周期底部复苏，优创项目一阶段待明年农业旺季放量，公司的新建产能和农药创制稳步推进。基于农药行业复苏较预期缓慢，我们调整盈利预测，预计2025、2026、2027年公司归母净利为12.9、15.3、17.1亿元（前次预测25-27年为13.8、16.1、17.2亿元）；当前股价对应PE分别为21.4、18.1、16.1倍。维持“买入”评级。风险提示：原料成本涨幅超预期、新项目盈利不及预期、行业竞争加剧、技术升级迭代、安全生产风险等。,,中泰证券,买入,[None],2025-11-09,,买入,7592106,pdf_downloads/2025/2025-11-09/600486-扬农化工（600486）：2025年三季报点评：景气磨底，静待旺季优创项目放量.pdf,600486,扬农化工,扬农化工（600486）：2025年三季报点评：景气磨底，静待旺季优创项目放量
"庄汀洲,张雄,杨泽鹏",2025年11月03日│中国内地 农用化工 近日，安徽鑫泰发生事故，或致贲亭酸甲酯供给有所缩减。贲亭酸甲酯为菊酯类杀虫剂关键中间体，目前价格为近10年最低位，未来伴随下游菊酯景气度提高及供应端或缩减，价格或将底部回升，或将推动菊酯价格上涨。扬农化工25年贲亭酸甲酯/菊酯产能为5000/17100吨，具备一体化生产优势，或受益于菊酯涨价。考虑公司葫芦岛项目成长性，以及行业景气或将逐步复苏，维持“增持”评级。贲亭酸甲酯企业发生事故，或将带动菊酯产业链价格回升据中国石油和化学工业联合会，25年10月27日安徽池州鑫泰新材料公司发生事故，巡检人员进入冷冻盐水箱因缺氧窒息，最终致4人死亡。据公司官网等，安徽鑫泰目前主要产品为原乙酸三甲酯和贲亭酸甲酯，贲亭酸甲酯可用于合成功夫酸、二氯菊酸等，进而合成氯氰菊酯、联苯菊酯、高效氯氟氰菊酯等，是合成卫生用和医用拟除虫菊酯类杀虫剂原料的重要中间体，我们认为本次事故或导致贲亭酸甲酯供给有所缩减，菊酯产业链整体或将价格回升。菊酯价格或底部回升，一体化优势下公司或将受益据百川盈孚，24年国内贲亭酸甲酯产能达2.6万吨，其中南通天泽/潍坊茂源/扬农化工/长青股份/安徽鑫泰产能分别为7000/6000/5000/4000/4000吨，扬农化工主要用于自用，我们认为国内流通货源整体偏紧。海外方面，印度为国内菊酯企业主要竞争对手，较为依赖国内贲亭酸甲酯供应商，本次事故亦或导致国际市场上菊酯紧缺。国内菊酯产能较为集中，多数需外购贲亭酸甲酯中间体。扬农化工作为国内菊酯行业龙头，目前已具备17100吨菊酯产能，同时公司具备贲亭酸甲酯-功夫酸-菊酯的一体化生产优势。我们认为伴随菊酯类杀虫剂景气度提高以及供应端或有所缩减，菊酯价格或底部回升，公司或将凭借一体化优势受益。菊酯产业链供给端或优化，行业周期或迎来拐点据中农立华等，25年11月2日贲亭酸甲酯实物价格为4万元/吨，处于15年以来最低位，较过去最高点价格11万元/吨已下跌64%。25年11月2日高效氟氯氰菊酯/联苯菊酯/氯氰菊酯价格为10.6/12.7/7.6万元/吨，高效氟氯氰菊酯及联苯菊酯价格处于15年以来最低位，氯氰菊酯价格位于历史价格30%分位数以下，我们认为近些年菊酯产业链景气持续下行主要系国内外供给端竞争加剧。25年11月2日功夫酸价格为9.8万元/吨，周环比+2%。伴随本次事故影响下菊酯产业链供给端缩减以及未来菊酯类杀虫剂景气度提高，菊酯等产品或将迎来周期拐点。盈利预测与估值我们维持25-27年归母净利预测为12.6/15.5/17.5亿元，25-27年归母净利同比+13%/+15%/+13%，EPS3.11/3.82/4.32元，结合可比公司25年平均22倍的Wind一致预期PE，考虑到公司葫芦岛项目未来成长性较好，给予公司25年24倍PE估值，给予目标价74.64元（前值为68.42元，对应25年22xPE），维持“增持”评级。风险提示：原油价格波动风险；原料供应不稳定风险；需求不及预期风险。,,华泰证券,增持,[None],2025-11-04,,增持,7379970,pdf_downloads/2025/2025-11-04/600486-扬农化工（600486）：中间体供给意外或致菊酯价格上升.pdf,600486,扬农化工,扬农化工（600486）：中间体供给意外或致菊酯价格上升
"张玮航,许隽逸,赵嘉卉",事件2025年前三季度，公司实现营收91.6亿元，同比+14.2%；归母净利润10.6亿元，同比+2.9%；扣非归母净利润10.4亿元，同比+5.8%。其中2025Q3实现营收29.2亿元，同比+26.1%，环比-2.3%；归母净利润2.5亿元，同比-5.0%，环比-32.7%。产销增长带动收入增加，原药价格下跌影响利润2025年前三季度，农化行业受地缘政治、关税冲击、市场内卷等多重因素影响持续低迷，主要产品价格持续阴跌，而公司从抢抓市场订单、推动辽宁优创满产满销等方面入手，前三季度销量、销售额均实现逆势增长。2025年前三季度公司原药业务实现营收54.1亿元（YoY+12%），产量8.7万吨（YoY+16%），销量8.6万吨（YoY+13%），均价6.3万元/吨（YoY-1%）；制剂业务实现营收13.2亿元（YoY-5%），产量3.0万吨（YoY+0.3%），销量3.3万吨（YoY-3.1%），均价4.0万元/吨（YoY-2%）。单季度看，2025Q3原药业务实现营收17.5亿元（YoY+17%，QoQ-5%），销量3.0万吨（YoY+14%，QoQ+6%）；制剂业务实现营收1.5亿元（YoY-17%，QoQ-49%），销量0.5万吨（YoY-18%，QoQ-60%）。公司主要产品杀虫剂价格仍有所承压，但草甘膦、烯草酮等除草剂价格在2025Q3有所回暖。根据百川盈孚，2025Q3主要产品高效氯氰菊酯/联苯菊酯/草甘膦/烯草酮/硝磺草酮/丙环唑均价为10.7/12.8/2.7/12.4/8.4/6.7万元/吨，环比分别-3%/-2%/+13%/+3%/-3%/-7%。原药价格下降和期间费用增加影响下，2025Q3公司销售毛利率同/环比-3.9pct/-2.9pct至19.6%，销售净利率同/环比-2.8pct/-3.9pct至8.5%。农药行业有望迎来景气修复，辽宁优创顺利推进或贡献盈利增量2025年全球农药分销渠道库存经过持续消化已降至相对合理水平，下游采购需求逐步恢复，叠加中国农药工业协会发布“正风治卷”三年行动，农药行业存在的隐性添加、非法生产、无序竞争等突出问题有望好转，农药行业景气度有望触底回升。当前公司主营产品价格仍在历史相对底部，后续伴随下游采购需求恢复，产品价格有望回升带来业绩弹性。此外，公司辽宁优创一阶段项目已调试产品全部达产达效，未来有望持续为公司贡献盈利增量。行业景气渐暖，维持“买入”评级农药景气仍在磨底阶段，我们预计公司2025-2027年营业收入分别为121/134/145亿元，同比分别+16%/+10%/+9%；归母净利润分别为12.7/15.2/17.4亿元，同比分别+6%/+20%/+15%；EPS分别为3.14/3.75/4.30元，三年CAGR为13%。鉴于公司为国内农药龙头，一体化优势明显并积极扩张，维持“买入”评级。风险提示：在建项目推进不及预期风险，农药行业需求不佳风险，环保成本提升风险，安全生产风险。,,国联民生证券,买入,[None],2025-11-01,,买入,7162268,pdf_downloads/2025/2025-11-01/600486-扬农化工（600486）：产销持续增长，行业景气渐暖.pdf,600486,扬农化工,扬农化工（600486）：产销持续增长，行业景气渐暖
"杨晖,申起昊","公司 2025 前三季度实现营收 91.56 亿元，同比+14.23%；归母净利润 10.55 亿
元，同比+2.88%；扣非净利润 10.44 亿元，同比+5.76%。其中 Q3 单季度营收
29.23 亿元，同比/环比+26.15%/-2.34%；归母净利润 2.495 亿元，同比/环比5.01%/-32.70%；扣非净利润 2.48 亿元，同比/环比-0.46%/-32.24%。
评论：
 原药销量稳健增长，草甘膦价格提升。2025 年前三季度公司原药/制剂板块分
别实现营收 54.09/13.23 亿元，同比分别+12.19%/-4.64%，综合毛利率为
22.35%，同比-1.67pct。原药/制剂销量分别为 8.63/3.32 万吨，同比分别+13.47%/-
3.08%。2025 年前三季度公司原药/制剂平均销售价格分别为 6.27/3.98 万元/
吨，同比分别-1.12%/-1.61%。2025年第三季度公司主要产品功夫菊酯/联苯菊酯/氯氰菊酯/草甘膦/麦草畏/烯
草酮均价分别为 10.67/12.75/7.50/2.67/5.40/12.38 万元/吨，同比分别+1.6%/-
1.5%/+15.4%/+6.9%/-7.3%/+83.6%；环比分别-3.3%/-1.7%/持平/+13.3%/持平
/+2.8%。
 农药出口修复明显，行业景气改善。根据海关总署统计，1-9 月份我国农药出
口同比增长明显，农药制剂（海关编码 380891、380892、380893）出口金额同
比有 17.63%的增长，其中杀虫剂、杀菌剂、除草剂出口金额同比分别为
+19.83%/+27.87%/+14.64%，除草剂此前表现较为疲软，季度出口金额基本维
持在 90 亿元水平，2025 年第二、三季度也显著修复到约 110 亿元，具有较强
的指引意义，农药行情显著改善。葫芦岛项目持续推进，推动公司持续成长。公司全力推进葫芦岛项目调试，一
期一阶段项目快速推进产能爬坡，2025 年上半年辽宁优创已全面实现投产即
盈利。展望后市，随着葫芦岛项目放量叠加行业周期持续修复，公司有望迎α
与β的共振，预计将展现出较好的盈利能力和业绩弹性。投资建议：我们看好农药原药龙头扬农化工的长期发展，在农药行业景气周期
逐步启动的当下，公司的业绩有望表现出较强的弹性。考虑到当下农药周期仍
处于反转初期，我们预计 2025-2027 年公司归母净利润为 12.67/16.04/18.50 亿
元（前值为 14.24/18.45/20.93 亿元）。结合公司历史 PE 估值中枢水平，我们给
予公司 2026 年 20x P/E，目标价格 79.2 元/股，维持“强推”评级。风险提示：农药补库不及预期；农药市场需求持续萎靡；项目建设不及预期；
安全生产风险；环保成本提升风险",,华创证券,强推,[None],2025-10-31,,买入,7121275,pdf_downloads/2025/2025-10-31/600486-扬农化工（600486）：2025年三季报点评：农药行业景气逐步提升，淡季业绩符合预期.pdf,600486,扬农化工,扬农化工（600486）：2025年三季报点评：农药行业景气逐步提升，淡季业绩符合预期
"李辉,沈国琼",公司发布 2025年三季报，前三季度实现营收91.56亿元，同比增14.23%，归母净利润10.55亿元，同比增2.88%。其中25Q3单季度营收29.23亿元，同比增26.15%，归母净利润2.50亿元，同比降5.01%，业绩低于我们此前预期。点评：Q3原药销量同比增长，产品价格有望企稳回升25Q3公司原药和制剂收入分别为17.53亿元、1.53亿元，同比分别增17.10%、降16.93%，其中原药销量2.96万吨同比增13.53%，均价5.92万元/吨同比增3.14%；制剂销量0.51万吨同比降17.57%，均价2.98万元/吨同比增0.78%。25Q3公司原药及制剂价格同比均有所增长，截至25年10月26日，除草剂、杀虫剂原药价格指数同比分别+5.19%、-1.36%，当前多数农药产品价格处于底部，看好后续价格企稳回升。25Q3公司毛利率19.61%，同比降3.90pct，净利率8.54%，同比降2.80pct。3季度毛利率同比下降我们认为主要系低盈利能力贸易业务占比提升，以及新项目转固折旧压力增加影响。25年前三季度公司经营性现金流净额21.26亿元，同比减少9.78亿元，主要系购买原料、商品支付的现金同比增加。在建项目稳步推进，打开公司成长空间截至25年三季度公司在建工程13.40亿元，同比减少7.58亿元，我们预计主要系公司辽宁优创一期项目逐步投产转固。辽宁优创一阶段项目快速推进产能爬坡，已调试产品全部达设计产能，25H1该项目已实现营收5.5亿元，盈利38.92万元。当前公司主要产品高效氯氟氰菊酯、联苯菊酯价格均处于历史底部，草甘膦价格自25年5月以来有所上涨。我们认为随着后续农药景气回升，公司有望迎来量价齐升，进而带动公司业绩增长。盈利预测与估值农药价格修复低于我们此前预期，下调公司25-27年归母净利润至12.4/15.3/19.1亿元，同比增速分别为3.20%、23.69%、24.62%，对应当前股价 PE 分别为22.26、17.99、14.44倍。随着公司多地生产项目逐步投产，且农药产品价格逐步企稳回升，公司业绩有望稳步增长，维持“买入”评级。风险提示农药景气修复不及预期、新项目进展不及预期、安全生产风险等,,浙商证券,买入,[None],2025-10-30,,买入,7027053,pdf_downloads/2025/2025-10-30/600486-扬农化工（600486）：25Q3点评：Q3产品价格企稳，静待行业景气修复.pdf,600486,扬农化工,扬农化工（600486）：25Q3点评：Q3产品价格企稳，静待行业景气修复
刘宇卓,扬农化工发布2025 年3 季报：公司前3 季度实现营业收入91.56 亿元，YoY+14.23%，归母净利润10.55 亿元，YoY+2.88%。其中，第3 季度单季实现营业收入29.23 亿元，YoY+26.15%，归母净利润2.50 亿元，YoY-5.01%。 农药产品虽价格下滑，但销量增长带动整体业绩实现增长。分板块看，①原药： 前三季度公司原药产品价格同比下滑1.12%，销量同比增长13.473%，带动营收同比增长12.19%至54.09 亿元；②制剂：前三季度公司制剂产品价格同比下滑1.61%，销量同比下滑3.08%，产品营收同比下滑4.64%至13.23 亿元。 农药行业有望周期底部回暖。农药行业持续去库存使得2025 年全球农药渠道库存趋近合理水平，在2024 年能源及大宗原材料价格显著抬升后，其成本压力已逐步传导至农药生产端，挤压相关品种利润空间，促使部分厂家率先提价，行业景气度有望步入温和复苏通道。 公司有序推进新项目产能建设，后续有望逐步贡献业绩增量。辽宁优创基地是公司近几年战略布局的重要内容，目前优创基地的一阶段项目快速推进产能爬坡，已调试产品全部达设计产能。未来随着更多项目投放，优创基地有望持续释放业绩，为公司贡献利润增量。 公司盈利预测及投资评级：作为国内农药龙头，公司在建项目有序推进，同时受益先正达集团内部资源协同，我们预期公司中长期成长性持续。我们维持公司2025~2027 年盈利预测，2025~2027 年归母净利润分别为13.55、16.43和20.95 亿元，对应EPS 分别为3.33、4.04 和5.15 元，当前股价对应P/E值分别为19、16 和12 倍。维持“强烈推荐”评级。 风险提示：下游需求不及预期；产品价格大幅下滑；新产能投放不及预期；“先正达集团”资产内部整合不及预期；市场竞争加剧。,,东兴证券,强烈推荐,[None],2025-10-29,,买入,7014083,pdf_downloads/2025/2025-10-29/600486-扬农化工（600486）：业绩整体增长，新项目有望贡献增量.pdf,600486,扬农化工,扬农化工（600486）：业绩整体增长，新项目有望贡献增量
"金益腾,徐正凤",Q3业绩符合预期，多数主营产品价格仍承压，看好辽宁优创项目放量公司发布2025年三季报，前三季度实现营收91.56亿元，同比+14.2%；归母净利润10.55亿元，同比+2.9%；扣非净利润10.44亿元，同比+5.8%。其中Q3实现营收29.23亿元，同比+26.1%、环比-2.3%；归母净利润2.5亿元，同比-5%、环比-32.7%；扣非净利润2.48亿元，同比-0.5%、环比-32.2%，Q3业绩同环比承压主要受产品价格拖累，考虑四季度为农药需求淡季且公司多数主营产品价格延续下跌，我们下调2025年、维持2026-2027年盈利预测，预计公司2025-2027年归母净利润分别为12.65（-1.45）、16.00、18.23亿元，对应EPS为3.12、3.95、4.50元/股，当前股价对应PE为20.8、16.5、14.5倍。我们看好公司深化提质增效，随着辽宁优创项目有序推进，中长期成长确定性强，维持“买入”评级。2025Q3原药、制剂平均售价同比上涨，盈利能力有所承压（1）分业务看，2025年1-9月，公司原药、制剂（不折百）销量8.63、3.32万吨，同比+13.5%、-3.1%；营收54.09、13.23亿元，同比+12.2%、-4.6%；不含税均价为6.27、3.98万元/吨，同比-1.1%、-1.6%；Q3单季度原药同比量价齐升、环比量升价跌，制剂同环比均价升量跌。（2）盈利能力方面，2025年前三季度公司销售毛利率、净利率为22.35%、11.53%，同比分别-1.67、-1.27pcts；2025Q3销售毛利率、净利率为19.61%、8.54%，环比分别-2.94、-3.86pcts，盈利能力有所承压。截至10月26日，中农立华原药价格指数报74.92点，同比上涨1.12%，环比9月上涨0.11%。跟踪的上百个产品中，同比70%产品下跌；环比9月69%产品持平，5%产品上涨。据Wind和百川盈孚数据，2025Q4以来，公司主营的联苯菊酯、功夫菊酯、硝磺草酮、吡唑醚菌酯等价格环比下跌，草甘膦、多菌灵等价格环比上涨。我们认为，当前多数农药产品供需失衡、价格仍处于底部，公司依托多产快销、降本增效，经营业绩稳中有进，同时高效推进辽宁优创一阶段项目生产调试、快速投产见效，彰显农化龙头本色，中长期成长动力充足。风险提示：项目进展不及预期、农药价格下跌、安全环保风险、汇率波动等。,,开源证券,买入,[None],2025-10-28,,买入,6902684,pdf_downloads/2025/2025-10-28/600486-扬农化工（600486）：业绩符合预期，看好辽宁优创项目放量.pdf,600486,扬农化工,扬农化工（600486）：业绩符合预期，看好辽宁优创项目放量
"庄汀洲,张雄,杨泽鹏",2025年10月27日│中国内地 农用化工 扬农化工公布三季度业绩：Q3实现营收29.2亿元（yoy+26%，qoq-2%），归母净利2.5亿元（yoy-5%，qoq-33%）。2025年Q1-Q3实现营收91.6亿元（yoy+14%），归母净利10.6亿元（yoy+3%），扣非净利10.4亿元（yoy+6%）。公司Q3归母净利低于我们业绩前瞻预期（3.1亿元），主要系四费较高等原因。考虑公司葫芦岛项目成长性，以及行业景气有望逐步复苏，维持“增持”评级。部分农药价格有所上行，公司抢抓订单等措施下原药销量同比增长行业产能过剩叠加市场需求不足，25年以来农药价格整体同比下行。据中农立华和百川盈孚，25Q3公司主产品高效氯氟氰菊酯/联苯菊酯/草甘膦/硝磺草酮/吡唑醚菌酯/丙环唑/烯草酮原药市场均价分别为10.7/12.8/2.7/8.4/15.0/6.7/12.4万元/吨，yoy+2%/-2%/+7%/-7%/-8%/-11%/ +84%，qoq-3%/-2%/+13%/-3%/-4%/-7%/+3%。25Q3公司原药/制剂业务收入17.5/1.5亿元，yoy+17%/-17%，公司抢抓原药市场订单，25Q3公司原药/制剂销量3.0/0.5万吨，yoy+14%/-18%，部分产品供需较好下价格有所上涨，25Q3公司原药/制剂均价5.9/3.0万元/吨，yoy+3%/+1%。部分原料价格上涨等影响下，25Q3公司综合毛利率yoy-3.9pct至19.6%。菊酯等产品价格近期有所上涨，农药行业未来景气有望改善据百川盈孚，2025年10月27日，公司主产品高效氟氯氰菊酯/联苯菊酯/草甘膦/吡唑醚菌酯/丙环唑/烯草酮原药市场均价分别为10.7/13.0/2.7/14.7/6.7/10.5万元/吨，较25年9月底0%/+3%/-1%/0%/0%/ -5%。氯氰菊酯反倾销终裁落地有望带动氯氰菊酯、联苯菊酯以及功夫菊酯等价格联动，草甘膦在供给端偏紧而海外需求较好下景气亦有望维持。我们认为未来伴随海外需求带动以及供给端或有所出清，农药景气有望逐步复苏。盈利预测与估值考虑到制剂市场竞争仍较大，我们下调制剂销售量，由此下调25-27年归母净利预测为亿元12.6/15.5/17.5（前值为13.5/15.5/17.5亿元，调整幅度为-7%/0%/0%），25-27年归母净利同比+5%/+23%/+13%，EPS3.11/3.82/4.32元，结合可比公司25年平均22倍的Wind一致预期PE，给予公司25年22倍PE估值，给予目标价68.42元（前值为76.59元，对应25年23xPE），维持“增持”评级。风险提示：原油价格波动风险；原料供应不稳定风险；需求不及预期风险。,,华泰证券,增持,[None],2025-10-28,,增持,6885307,pdf_downloads/2025/2025-10-28/600486-扬农化工（600486）：农药龙头盈利未来有望改善.pdf,600486,扬农化工,扬农化工（600486）：农药龙头盈利未来有望改善
"王明辉,陈屹",事件10月27日，公司发布2025年三季报，公司2025年前三季度实现营业收入91.56亿元，同比+14.23%，实现归母净利润10.55亿元，同比+2.88%。公司2025年第三季度实现营业收入29.23亿元，同比+23.17%，实现归母净利润2.50亿元，同比+2.63%。分析分业务来看，2025年1-9月份，公司原药产量8.69万吨，销量8.63万吨，价格6.27万元/吨，同比-1.12%；制剂产量2.98万吨，销量3.32万吨，价格3.98万元/吨，同比-1.61%。2025年前三季度，公司主要农药产品价格持续阴跌。在复杂的市场局面下，公司主动应变求变，从抢抓市场订单、推动辽宁优创满产满销等方面入手，推动登记授权20余项，上半年销量、销售额均实现逆势增长。围绕葫芦岛项目“早投产、早盈利”，公司上下全力抓好项目调试，一阶段项目快速推进产能爬坡，已调试产品全部达设计产能。盈利预测、估值与评级我们预计公司2025-2027年归母净利润预测分别为12.54亿元、14.82亿元和16.03亿元，EPS分别为3.084、3.644和3.942元，当前市值对应PE分别为21.08X、17.84X和16.49X，维持“买入”评级。风险提示原材料剧烈波动风险，需求不足影响销量和产品价格，新项目投放不达预期。,,国金证券,买入,[None],2025-10-27,,买入,6918385,pdf_downloads/2025/2025-10-27/600486-扬农化工（600486）：业绩符合预期，看好后续成长.pdf,600486,扬农化工,扬农化工（600486）：业绩符合预期，看好后续成长
