author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts,PE_2年前,PE_1年前,PE_当年,PE_明年,PE_后年,PE_大后年,EPS_2年前,EPS_1年前,EPS_当年,EPS_明年,EPS_后年,EPS_大后年
"万玮,吴文吉",投资要点数据业务持续高增，展望26年份额持续提升。公司2025年数据业务营收400多亿，总体接近翻番增长；其中AI服务器占比70%+，交换机营业收入同比实现倍数增长，超过25亿；在头部三家大客户中均进入核心供应商地位。另外在行业客户市场方面，营收也实现翻倍成长。从超节点品类来看，公司在超节点产品布局比较早，产品逐步上量发货，26年将带来规模优势；在产能方面，公司超节点产品全部采用自有产能，端到端实现产能准备，为客户提供最大资源保障。展望2026年，公司在三大CSP客户的采购份额占比会持续提升，产品结构也将继续优化，AI服务器份额继续保持领先，超节点品类做到规模领先，交换机继续保持翻倍增长。依托平台化优势，打造消费级+工业级+具身智能+数据采集四轮驱动布局。机器人是公司3+N+3战略核心新兴业务，依托AI算力硬件与ODM全栈研发、垂直整合、规模化量产能力，打造消费级+工业级+具身智能+数据采集四轮驱动布局，已形成显著差异化壁垒。公司通过收购切入家用清洁机器人，实现头部客户量产交付；国内大模型公司数据集采机器人、支撑行业柔性制造的轮式机器人预计在26年可以量产交付;自主研发第一代人形机器人已调试完成，同时也在规划第二代人形双足机器人；在关键零组件，比如执行器，大小脑控制板会实现自研。投资建议：我们预计公司2025/2026/2027年营收分别为1709/2052/2401亿元，归母净利润分别为40/53/70亿元，维持“买入”评级。风险提示：技术迭代和研发投入不及预期的风险；市场竞争加剧风险；行业周期性波动风险。,,中邮证券,买入,[None],2026-03-02,,买入,8468617,pdf_downloads/2026/2026-03-02/603296-华勤技术（603296）：驭浪AI新时代.pdf,603296,华勤技术,华勤技术（603296）：驭浪AI新时代,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 40,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 53,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 70,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
"韩潇锐,蒯剑,薛宏伟,李晋杰","核心观点消费电子基本盘稳固，短期行业扰动不改公司向上趋势。近期部分投资者担心存储涨价将传导至终端消费者，进而引发市场对终端销量以及存储外其他供应链环节盈利能力的担忧。我们认为公司主要客户均为国内外头部品牌，其与上游核心供应商通常都会签署长期协议,锁定价格与库存，且从商业模式来看，ODM行业存储均采用客供料形式，存储、OLED 屏或主控等相关客供料环节涨价不会挤占公司盈利能力。从出货量维度，一方面整个行业 ODM 渗透率不断提升，另一方面头部 ODM厂商的市场份额将继续提升，因此我们认为公司手机 ODM出货量仍有望维持增长。同时公司智能穿戴、AIOT等业务高速增长， 25 年前三季度公司 AIOT 收入 55 亿元同比增长 73%，各类海外客户合作的智能家居产品、XR、游戏机产品等持续放量,公司消费电子基本盘稳固。PC ODM 国内领先，突破海外客户份额持续提升。公司在 24年笔电出货量突破1500万台的基础上持续突破，25年前三季度公司笔电业务实现超30%的收入增长，预计 25 年全年收入超 300 亿元，出货量预计达到 1800万台，公司预计 26 年笔电发货量继续保持高增长，北美大客户的笔电项目在 2025 年下半年正式量产，2025 年贡献比较少，2026 年会开始规模贡献收入增量。随着华在 PC 的核心竞争力和优势进一步显现，在客户端份额有望进一步提升，并且有机会进一步开拓新的海外大客户，预计未来公司在全球笔电 ODM 份额持续提升，缩小与台厂差距。数据中心业务持续高增可期，产品结构进一步优化。25 年前三季度公司数据中心业务保持翻倍增长，预计全年营收达到 400 亿以上。部分投资者担心公司数据中心业务面对地缘政治不确定性，但我们认为 1)公司不仅在 AI 服务器方面实现倍数级增长，同时在通用服务器和交换机方面也实现了高速增长。2)公司过去几年在数据中心积累了跨平台系统研发设计能力，在国产平台陆续验证适配。我们预计未来数据业务仍然能实现收入持续增长，产品结构也将会进一步优化，同时有望实现盈利能力的稳步提升。盈利预测与投资建议我们预测公司 25-27 年归母净利润分别为 41/52/63 亿元(原 25-27 年预测分别为39/48/58 亿元，主要上调 PC、数据中心等业务收入预测)，根据可比公司 26 年 21倍 PE 估值，对应目标价为 107.73 元。风险提示终端需求不及预期风险、贸易环境变动风险、其他收益占比过高风险。",,东方证券,买入,[None],2025-11-25,,买入,8183500,pdf_downloads/2025/2025-11-25/603296-华勤技术（603296）：基本盘稳固，多元业务驱动增长.pdf,603296,华勤技术,华勤技术（603296）：基本盘稳固，多元业务驱动增长,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 41,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 52,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 63,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
"张世杰,李珏晗",事件：公司发布25年三季报，25年前三季度实现营业总收入1288.82亿元，同比增长69.56%；归属母公司股东的净利润30.99亿元，同比增长51.17%；扣除非经常性损益后的归属母公司股东净利润24.79亿元，同比增长46.32%。“3+N+3”战略成效显著，多品类增速靓丽。公司向“3+N+3”智能产品大平台战略转型成效显著，多品类25年前三季度增速靓丽。分品类来看，25年前三季度智能终端业务收入同比增长84.4%；高性能计算业务收入同比增长70%；AIoT及其他业务收入同比增长72.9%，汽车及工业产品业务收入同比增长77.1%；多业务条线均实现高成长。公司前三季度毛利率7.84%，同比下降1.92pct，其中Q3三季度毛利率8.17%，同比增长0.54pct，环比增长1.04pct，主要源自公司产品结构优化，毛利率同比、环比均迎来提升。算力需求爆发，公司数据中心业务规模扩容；智能手机ODM渗透大趋势不改，公司具备确定性成长。数据中心业务方面，公司持续深耕核心CSP客户，同时在行业客户和渠道客户方面不断扩大覆盖面，形成双轮驱动布局。公司AI服务器实现倍数级增长，通用服务器和交换机方面也实现高速增长，数据中心业务25年前三季度收入翻倍增长，预计25年全年营业收入有望突破400亿元。智能手机业务方面，公司在智能手机领域的全球头部ODM地位稳固，且仍然保持高成长性，预计2025年全年智能手机出货量增长率超30%，伴随行业ODM渗透，以及份额向头部厂商集中趋势，公司将充分受益。盈利预测与投资建议：预计2025-2027年营业总收入分别为1591.11、1889.44、2182.65亿元，同比增速分别为44.81%、18.75%、15.52%；归母净利润分别为40.17、49.80、59.09亿元，同比增速分别为37.29%、23.97%、18.64%，对应25-27年PE分别为25X、20X、17X，维持“买入”评级。风险提示：下游需求不及预期风险；行业竞争加剧风险。,,太平洋证券,买入,[None],2025-11-08,,买入,7589119,pdf_downloads/2025/2025-11-08/603296-华勤技术（603296）：多品类增速靓丽，3+N+3战略成效显著.pdf,603296,华勤技术,华勤技术（603296）：多品类增速靓丽，3+N+3战略成效显著,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 40.17,
            ""eps"": null,
            ""pe"": 25
        },
        {
            ""year"": 2026,
            ""net_profit"": 49.80,
            ""eps"": null,
            ""pe"": 20
        },
        {
            ""year"": 2027,
            ""net_profit"": 59.09,
            ""eps"": null,
            ""pe"": 17
        }
    ]
}",,,25.0,20.0,17.0,,,,,,,
"胡剑,胡慧,叶子,张大为,詹浏洋,李书颖,连欣然",前三季度营业收入同比增长69.6%，归母净利润同比增长51.2%。公司发布2025年第三季度报告，前三季度营业收入1288.82亿元(YoY69.56%)，归母净利润30.99亿元(YoY51.17%)，扣非归母净利润24.79亿元(YoY46.32%)，毛利率7.84%(YoY-1.92pct)。第三季度营业收入同比增长22.8%，归母净利润同比增长59.5%。公司3Q25营业收入449.43亿元(YoY22.75%，QoQ-8.17%)，归母净利润12.10亿元(YoY59.46%，QoQ15.53%)，扣非归母净利润9.70亿元(YoY43.87%，QoQ29.58%)，毛利率8.17%(YoY0.54pct，QoQ1.04pct)，毛利率同环比稳步回升主要得益于公司多元化业务齐头并进以及效率的优化。各大业务板块齐头并增，客户结构持续优化。分业务结构看，前三季度高性能计算业务收入占比58.6%，同比增长70.0%；智能终端业务收入占比35.6%，同比增长84.4%；AIoT及其他业务收入占比4.4%，同比增长72.9%；汽车及工业产品业务收入占比1.4%，同比增长77.1%。客户结构方面，公司前五大客户覆盖多行业领域，收入占比集中度进一步下降，展现出健康且有韧性的客户队列，有效增强公司抗风险能力。算力需求持续旺盛，数据业务加速AI算力中心落地。公司凭借前瞻式的研发投入和布局、计算和网络全栈产品的研发设计能力、服务大客户的能力等，持续提升在头部互联网客户的核心供应商地位，形成行业内竞争优势。公司双轮驱动业务布局覆盖头部互联网厂商及行业客户和渠道客户，预计数据中心业务全年营收达到400亿元以上。此外，公司不仅在AI服务器方面实现倍数级增长，同时在通用服务器和交换机方面也实现了高速增长，持续加大行业市场开拓力度，不断优化产品结构。智能手机ODM渗透率持续提升，组织能力提升夯实领先地位。智能手机作为成熟业务，一方面整体行业ODM渗透率不断提升，另一方面头部ODM厂商的市场份额将继续提升。公司将持续稳固公司在全球ODM行业领先的地位，发挥核心竞争力，预计2025年全年智能手机出货量增长率超30%。投资建议：维持“优于大市”评级。我们看好公司作为全球ODM龙头，人工智能时代对AI服务器/手机/PC/AIoT等带来的增长机会，预计2025-2027年营业收入1608.99/1979.62/2373.82亿元(前值1546.18/1899.47/2273.48亿元)，归母净利润41.56/51.68/64.66亿元(前值40.08/49.16/60.46亿元)，当前股价对应PE分别为24.5/19.7/15.8倍，维持“优于大市”评级。风险提示：下游需求不及预期；新品进展不及预期；市场竞争的风险等。,,国信证券,优于大市,[None],2025-11-05,,买入,7488990,pdf_downloads/2025/2025-11-05/603296-华勤技术（603296）：前三季度收入增长70%，多元化平台布局战略成效卓著.pdf,603296,华勤技术,华勤技术（603296）：前三季度收入增长70%，多元化平台布局战略成效卓著,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 41.56,
            ""eps"": null,
            ""pe"": 24.5
        },
        {
            ""year"": 2026,
            ""net_profit"": 51.68,
            ""eps"": null,
            ""pe"": 19.7
        },
        {
            ""year"": 2027,
            ""net_profit"": 64.66,
            ""eps"": null,
            ""pe"": 15.8
        }
    ]
}",,,24.5,19.7,15.8,,,,,,,
"陈耀波,刘志来",主要观点：事件2025年10月28日，华勤技术公告2025年第三季度报告，公司前三季度实现营业收入1288.82亿元，同比增长69.56%，归母净利润30.99亿元，同比增长51.17%，扣非归母净利润24.79亿元，同比增长46.32%。对应3Q25单季度营业收入449.43亿元，同比增长22.75%，环比下降8.17%，单季度归母净利润12.10亿元，同比增长59.46%，环比增长15.53%，单季度扣非归母净利润9.70亿元，同比增长43.87%，环比增长29.58%。3+N+3多元驱动，各品类业务齐头并进公司2025年前三季度营收超过2024全年水平，在公司3+N+3战略下， 各品类业务齐头并进实现了高速增长。营业收入上看，四大板块均实现超过70%以上的增长。其中，智能终端业务收入同比增长84.4%；高性能计算业务收入同比增长70%，AIoT及其他业务收入同比增长72.9%，汽车及工业产品业务收入同比增长77.1%。除了收入的高增长，公司也实现Q3毛利率提升，Q3单季度毛利率为8.2%，同比、环比均为增长，随着各产品品类毛利率相对稳定且有所提升，产品结构进一步优化。公司前三季度公司实现毛利额101亿元，同比增长37%，高于费用的增长，从而带来更高净利润的增长。公司智能终端业务前三季度实现营收450亿元，智能手机作为成熟业务有较好的增长，预计2025年全年智能手机出货量增长率超30%，未来还有确定性的增长空间，一方面整个行业ODM渗透率不断提升，另一方面头部ODM厂商的市场份额将继续提升，此外智能穿戴产品（智能手表、智能手环、智能耳机等产品）增长会对未来公司毛利率、毛利额增长有更多贡献。公司笔电业务持续成长，在2024年度出货量突破1500万台的基础上，2025年前三季度，公司笔电业务实现收入超30%的增长，预计2025年全年收入将超过300亿元。公司在客户份额上快速提升，公司预测明年笔电发货量继续保持较高增长。公司2025年前三季度数据中心业务整体收入继续保持了翻倍增长，预计全年营收达到400亿元以上。公司不仅在AI服务器方面实现倍数级增长，同时在通用服务器和交换机方面也实现了高速增长。随着客户结构的不断优化，公司持续加大行业市场开拓力度，同时不断优化产品结构，在交换机和通用服务器占比进一步加大，同步助力毛利率的逐步提升。投资建议我们预计2025-2027年公司归母净利润分别为40.7、48.1、55.9亿元（前次报告预测为39.3、46.5、54.0亿元），对应的EPS分别为4.01、4.74、5.50元/股，对应2025年10月29日收盘价，PE为26.7、22.6、19.5倍。维持“买入”评级。风险提示市场需求不及预期；客户拓展不及预期；行业过度竞争；AI服务器进展不及预期；关税影响超预期。,,华安证券,买入,[None],2025-10-31,,买入,7086118,pdf_downloads/2025/2025-10-31/603296-华勤技术（603296）：3+N+3多元驱动，各品类业务齐头并进.pdf,603296,华勤技术,华勤技术（603296）：3+N+3多元驱动，各品类业务齐头并进,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 40.7,
            ""eps"": 4.01,
            ""pe"": 26.7
        },
        {
            ""year"": 2026,
            ""net_profit"": 48.1,
            ""eps"": 4.74,
            ""pe"": 22.6
        },
        {
            ""year"": 2027,
            ""net_profit"": 55.9,
            ""eps"": 5.50,
            ""pe"": 19.5
        }
    ]
}",,,26.7,22.6,19.5,,,,4.01,4.74,5.5,
"张建民,王逢节",Q3业绩超预期，客户集中度进一步下降公司发布三季报，25年前三季度实现营收1288.8亿元，同比+69.6%，归母净利润31亿元，同比+51.2%。前三季度整体毛利率为7.8%，同比-1.92pct。其中25Q3单季度实现营收449.4亿元，同比+22.8%，环比-8.2%，归母净利润12.1亿元，同比+59.5%，环比+15.5%。Q3单季度毛利率从Q2的7.1%提升至8.2%，实现同比和环比增长。公司各项业务齐头并进，多元化布局成效显著，客户结构持续优化，公司前五大客户覆盖多行业领域，收入占比集中度进一步下降，有效增强公司抗风险能力。数据业务高增长，超节点进展超预期高性能计算业务前三季度营收755.2亿元，YoY+70%，占总营收比重达58.6%。其中，数据中心业务凭借公司前瞻性布局和全栈产品能力，持续保持翻倍增长。公司深度绑定国内头部互联网客户，持续提升在核心供应商地位。同时通用服务器和交换机产品销售规模扩大，未来有望优化数据业务毛利率水平。国内超节点进展超预期，渗透率有望加速提升，AI RACK厂商竞争格局有望集中化，盈利能力也将得到提升。公司产品覆盖AI服务器、通用服务器、存储服务器及交换机，打造的算力矩阵已构建起开放兼容的生态系统。前瞻布局AI Rack整机柜解决方案，牵头设计符合ETH-X超节点架构（腾讯主推）的整机柜服务器，打造一款集高密度、绿色、智能于一体的三总线架构液冷整机柜系统。ODM业务稳健增长，多业务协同发力智能终端业务前三季度营收458.8亿元，YoY+84%。在智能手机领域，公司预计2025年全年智能手机出货量增长率超30%，研发效率和制造布局共同呈现出来的组织能力，持续稳固公司在全球ODM行业领先的地位。AIoT业务前三季度营收56.7亿元，YoY+73%，为海外客户提供的智能家居及游戏掌机等多品类产品持续放量。汽车及工业产品业务前三季度营收18亿元，YoY+77%。汽车电子业务仍处于战略投入期，在智能座舱、显示屏、智能辅助驾驶三大业务模块均已实现突破，预计今年汽车电子业务收入将会首次突破10亿元。机器人方面，公司积极研发人形机器人领域关键技术，同时收购了昊勤机器人，卡位优势地位。盈利预测与估值考虑到公司数通业务持续景气向上，我们调整盈利预测，预计2025-2027年公司归母净利润分别为43.97亿元、57.75亿元、76.33亿元，对应25年PE为24X ，维持“买入”评级。风险提示超节点进度不及预期；下游需求不及预期风险；行业竞争格局加剧风险等。,,浙商证券,买入,[None],2025-10-30,,买入,7057274,pdf_downloads/2025/2025-10-30/603296-华勤技术（603296）：点评报告：Q3业绩超预期，将受益于国产超节点加速.pdf,603296,华勤技术,华勤技术（603296）：点评报告：Q3业绩超预期，将受益于国产超节点加速,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 43.97,
            ""eps"": null,
            ""pe"": 24
        },
        {
            ""year"": 2026,
            ""net_profit"": 57.75,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 76.33,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,24.0,,,,,,,,,
"舒迪,段笑南",维持“增持”评级，上调目标价为131.00元。考虑到公司服务器业务高速增长并且加速完善在AIOT领域、汽车电子领域布局，我们上调2025-2027年EPS为4.03/5.24/6.94元（前值为3.27/4.03/4.66元）。参考可比公司平均估值（2026年PE 24.65×），考虑到公司数据中心业务高速增长，给予其2026年25×PE，对应目标价131.00元。2025Q3业绩持续增长。根据公司2025年三季度公告，2025Q3公司实现营收449.43亿元，同比+22.75%，环比-8.17%；实现归母净利润12.10亿元，同比+59.46%，环比+15.53%。公司营收及归母净利润增长主要系业务规模增加。2025Q3销售净利率为2.73%，同比+0.67 pct，环比+0.58 pct。我们认为公司盈利能力提高主要系（1）成本控制能力增强，销售毛利率同比/环比+0.54/1.04 pct；（2）期间费用率同比下降，2025Q3公司期间费用率达5.34%，同比-1.56 pct，环比微增0.25 pct。营运能力稳定，经营性现金流净额扭亏。2025Q3公司营运能力保持健康稳定，应收账款周转率为4.15次，同比/环比+0.56/1.41次；存货周转率为8.30次，同比-0.67次，环比+2.28次。2025Q3经营现金流净额扭亏达6.96亿元，我们认为公司2025H1经营现金流净额为负或系AI服务器产品账期较长，占用较多现金所致。催化剂。国内云厂商capex大幅增长。风险提示。中美关税摩擦升级；竞争格局恶化。,,国泰海通,增持,[None],2025-10-30,,买入,7017109,pdf_downloads/2025/2025-10-30/603296-华勤技术（603296）：业绩持续增长，多产品发力加速成长.pdf,603296,华勤技术,华勤技术（603296）：业绩持续增长，多产品发力加速成长,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 12.10,
            ""eps"": 4.03,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": null,
            ""eps"": 5.24,
            ""pe"": 25
        },
        {
            ""year"": 2027,
            ""net_profit"": null,
            ""eps"": 6.94,
            ""pe"": null
        }
    ]
}",,,,25.0,,,,,4.03,5.24,6.94,
"张益敏,王矗,黄梦龙",事件：公司发布2025三季报，前三季度实现营收1288.82亿元，同比+69.56%，实现归母净利润30.99亿元，同比+51.17%。业绩亮眼，四大板块营收高增：3Q2025单季度公司实现营收449.43亿元，同比+22.75%/环比-8.17%，实现归母净利润12.10亿元，同比+59.46%/环比+15.53%，扣非净利润9.70亿元，同比+43.87%/环比+29.58%，毛利率8.17%，同比+0.54pct/环比+1.04pct。四大板块营业收入均实现超过70%以上的增长。其中，智能终端业务收入同比增长84.4%，高性能计算业务收入同比增长70%，AIoT及其他业务收入同比增长72.9%，汽车及工业产品业务收入同比增长77.1%。多元业务增长势头良好：根据公司公告，公司智能终端业务前三季度实现营收450亿元，智能手机作为成熟业务有较好增长，预计2025年全年智能手机出货量增长率超30%，受益于行业整体ODM渗透率提升与头部ODM厂商份额提升，未来有确定性增长空间；基于服务好头部互联网厂商与进一步覆盖行业与渠道客户的双轮驱动业务布局，公司2025年前三季度数据中心业务整体收入继续保持翻倍增长，公司预计全年营收达400亿元以上；近期汽车电子业务获得多个项目定点突破，公司预计今年汽车电子业务收入将首次突破10亿元，未来将持续发挥平台优势，坚定投入汽车电子赛道。投资建议：公司业绩表现亮眼，多元业务势头良好。我们预计公司2025-2027年归母净利润为40.06/49.40/59.87亿元，EPS为3.94/4.86/5.89元，对应PE为25.8/20.9/17.3倍，维持“增持”评级。风险提示：行业周期风险；国际贸易摩擦及政策限制风险；主要原材料价格波动的风险；汇率波动风险；股东减持风险。,,财通证券,增持,[None],2025-10-29,,增持,7014962,pdf_downloads/2025/2025-10-29/603296-华勤技术（603296）：业绩表现亮眼，多元业务势头良好.pdf,603296,华勤技术,华勤技术（603296）：业绩表现亮眼，多元业务势头良好,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 40.06,
            ""eps"": 3.94,
            ""pe"": 25.8
        },
        {
            ""year"": 2026,
            ""net_profit"": 49.40,
            ""eps"": 4.86,
            ""pe"": 20.9
        },
        {
            ""year"": 2027,
            ""net_profit"": 59.87,
            ""eps"": 5.89,
            ""pe"": 17.3
        }
    ]
}",,,25.8,20.9,17.3,,,,3.94,4.86,5.89,
"郑震湘,佘凌星,钟琳,朱迪",各大业务齐头并进，毛利率实现稳步回升事件：公司于2025年10月27日晚发布2025年三季报。2025年前三季度公司业绩实现高增，实现营业收入1288.82亿元，同比+69.56%；实现归母净利润30.99亿元，同比+51.17%。单季度来看：2025年Q3，公司实现营收449.43亿元，同比+22.75%，环比-8.17%；归母净利润12.10亿元，同比+59.46%，环比+15.53%。单季度归母净利润再度历史新高。多元化业务齐头并进，效率优化推升毛利率水平。2025年前三季度，公司各项业务均快速增长，高性能计算业务、智能终端业务、AIOT及其他业务、汽车及工业产品业务分别同比增长70.0%、84.4%、72.9%、77.1%。从收入结构来看，2025年前三季度，高性能计算业务占总收入58.6%，是第一大品类；其次智能终端占比35.6%，排列第二，此外AIoT及其他与汽车及工业产品分别占总营收的4.4%、1.4%。从毛利率水平来看，公司在2025年前三季度实现毛利率7.84%，25Q3单季度毛利率为8.17%。同环比均实现稳步改善，充分印证公司多元化业务齐头并进和效率优化的成果。海内外产业链布局成果已现，港股IPO有望再度提升国际化资本实力。依托已建立的国内和海外VMI制造基地布局，公司致力于通过跨地域灵活高效的生产、供应链及服务能力，以深度满足客户全球化的业务需求。目前在海外制造基地实现多品类规模化出货。自2024年以来，公司顺利收购易路达80%股份、深圳豪成智能75%股份后，2025年7月公司拟收购晶合集成6%股权，不断在全球范围内横纵向整合。公司于2025年8月22日董事会上审议通过了发行H股并在香港联合交易所上市发行的议案，港股上市后，公司在全球范围的影响力有望进一步增强，将为公司的国际业务拓展带来助力，同时将有助于公司后续海外收并购项目稳步推进。研发投入持续增长，持续拓展新业务领域。研发是公司发展的核心驱动力。公司持续加大投入，2025年研发团队规模与研发费用持续增长，前三季度研发费用达到46.2亿元，同比增长23.7%。在持续的研发投入下，2025年公司完成了“3+N+3”智能产品大平台战略布局，构建了智能手机、笔记本电脑、服务器3大支柱型产品。并拓展出移动终端及AIOT、计算业务及数据中心业务三大产品系列。同时，公司持续探索汽车电子、软件业务和机器人3大创新业务领域的新机遇。此外，公司港股上市募集资金将主要用于公司的研发投入、国内外制造产能扩张、全球战略投资和垂直整合、营运资金补流等用途，将为后续公司业务扩张的资金需求提供坚实保障。盈利预测与投资建议：考虑到公司在各个领域的业务顺利推进，我们上调公司业绩，预计2025-2027年实现营业收入1544.47/1838.88/2151.32亿元，同比增长40.6%/19.1%/17.0%，实现归母净利润41.13/48.70/57.52亿元，同比增长40.6%/18.4%/18.1%，当前股价对应PE分别为24.2/20.4/17.3倍，维持“入入”评级。风险提示：手机、PC出货量复苏不及预期；AI PC出货量不及预期；贸易摩擦加剧；竞争格局恶化。,,国盛证券,买入,[None],2025-10-28,,买入,6910175,pdf_downloads/2025/2025-10-28/603296-华勤技术（603296）：各大业务齐头并进，毛利率实现稳步回升.pdf,603296,华勤技术,华勤技术（603296）：各大业务齐头并进，毛利率实现稳步回升,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 41.13,
            ""eps"": null,
            ""pe"": 24.2
        },
        {
            ""year"": 2026,
            ""net_profit"": 48.70,
            ""eps"": null,
            ""pe"": 20.4
        },
        {
            ""year"": 2027,
            ""net_profit"": 57.52,
            ""eps"": null,
            ""pe"": 17.3
        }
    ]
}",,,24.2,20.4,17.3,,,,,,,
"王芳,杨旭,洪嘉琳",备注：股价截止自2025年10月27日收盘价，每股指标按照最新股本数全面摊薄报告摘要事件：公司发布2025三季报：1）25Q1-3：营收1288.8亿元，yoy+69.6%，归母净利润31.0亿元，yoy+51.2%，扣非归母24.8亿元，yoy+46.3%；毛利率7.8%，yoy-1.9pct，净利率2.4%，yoy-0.3pct。2）25Q3：营收449.4亿元，yoy+22.8%，qoq-8.2%，归母净利润12.1亿元，yoy+59.5%，qoq+15.5%，扣非归母9.7亿元，yoy+43.9%，qoq+29.6%；毛利率8.2%，yoy+0.5pct，qoq+1.0pct，净利率2.7%，yoy+0.7pct，qoq+0.6pct。数据中心持续增长可期，结构优化助力盈利提升：25Q1-3公司高性能计算业务营收741亿，yoy+70%。1）数据中心：25Q3受芯片供应&平台切换影响营收环比略降，全年400亿+营收目标仍有望达成。公司为国内CSP头部供应商，NV&国产AI芯片平台均有布局，叠加交换机&通用服务器持续增长，26年数据中心营收有望实现30%以上增长。盈利方面，通用服务器+交换机占比提高有望推动毛利率持续提升。2）PC：25年公司台式机/一体机/打印机以及北美大客户笔电项目量产贡献增量，根据IDC数据，25Q1-3公司PC出货量1347万台，yoy+19%，全球份额9.7%，yoy+1.0pct。智能终端&AIoT业务持续向上。25Q1-3智能终端/AIoT分别实现收入450/55亿元，yoy+84%/+73%。1）智能终端：手机ODM份额稳居第一，25年出货量快速增长，高毛利可穿戴产品亦持续高增。2）AIoT：XR&智能家居&游戏机业务有望持续贡献增量，创新类终端打开新成长空间。汽车业务拓展顺利，规模效应助力减亏。25Q3公司获北京新势力车厂等多个定点，华南客户多品类出货稳定提升，25Q1-3汽车及工业业务收入18亿元，yoy+77%，26年有望继续高增，规模效应逐步显现有望助力汽车业务持续减亏。投资建议：预计公司2025-27年归母净利润为40.3/50.4/62.0亿元，对应PE估值24.7/19.7/16.0倍。维持“买入”评级。风险提示事件：终端需求不及预期；行业竞争加剧；AI发展不及预期；研报使用的信息更新不及时风险。,,中泰证券,买入,[None],2025-10-28,,买入,6894218,pdf_downloads/2025/2025-10-28/603296-华勤技术（603296）：25Q3盈利能力同环比提升，数据中心持续增长、盈利优化可期.pdf,603296,华勤技术,华勤技术（603296）：25Q3盈利能力同环比提升，数据中心持续增长、盈利优化可期,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 40.3,
            ""eps"": null,
            ""pe"": 24.7
        },
        {
            ""year"": 2026,
            ""net_profit"": 50.4,
            ""eps"": null,
            ""pe"": 19.7
        },
        {
            ""year"": 2027,
            ""net_profit"": 62.0,
            ""eps"": null,
            ""pe"": 16.0
        }
    ]
}",,,24.7,19.7,16.0,,,,,,,
