author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"肖群稀,赵玥炜",本报告导读：公司获取1.8亿美元北美发电机组订单，该项目是杰瑞敏电新开拓的重要客户，是25年11月以来的第四个亿美元项目订单，海外发电业务加速。投资要点：投资建议。维持2025 EPS 3.06元，考虑公司在发电机组业务进展加速且获取多个实质性订单，上调2026/2027年EPS至3.90/4.75元（原3.88/4.70元）。参考可比公司2025年平均估值PE为20.93倍，公司在全球与国际燃气轮机公司合作深入，海外发电业务加速发展，我们给予公司2025年35倍PE，上调目标价至107.01元，维持增持评级。公司获取1.8亿美元北美发电机组订单，发电业务快速发展。根据公司官方微信公众号与《关于签署日常经营重要合同的自愿性信息披露公告》，公司全资子公司杰瑞敏电能源集团再传捷报：杰瑞敏电与北美客户成功签署发电机组销售合同，单笔合同金额达1.815亿美元，约合人民币12.7亿元，交付期限为30个月。根据合同金额与交付期限来看，我们认为本合同有望对27-28年公司业绩有增厚效应。该项目是杰瑞敏电新开拓的重要客户，是25年11月以来的第四个亿美元项目订单，累计获取发电机组订单约5亿美金。根据公司官方微信公众号，该项目是自2025年11月以来，杰瑞敏电接连落地的第四笔亿元美金项目订单，且本次合作方为杰瑞敏电新开拓的重要客户，标志着公司在北美市场的客户基础进一步扩大，未来合作空间广阔。此次签约不仅在金额上再创新高，更标志着公司在数据中心领域市场影响力与品牌认可度的持续提升。此前，公司获取的三笔发电机组订单累计超3亿美元，叠加本次合同，对应累计约5亿美金。不断扩大与国际燃气轮机公司合作，拓展海外发电业务。根据公司官方微信公众号，公司与西门子、贝克休斯、川崎重工等公司在燃气轮机上进行合作，共同为全球AI数据中心、工业制造及油气能源等领域提供高效、低碳、智能的电力解决方案。风险提示。油价下行；油公司资本支出不及预期；汇率不利变动；公司海外战略执行低于预期；订单交付不及预期；出售子公司股权导致财务数据变化。,,国泰海通,增持,[None],2026-02-03,,买入,8387275,pdf_downloads/2026/2026-02-03/002353-杰瑞股份（002353）：再获1.8亿美元发电机组订单，海外发电业务加速.pdf,002353,杰瑞股份,杰瑞股份（002353）：再获1.8亿美元发电机组订单，海外发电业务加速
"邱世梁,王华君,陈姝姝",获北美客户超亿美元燃气轮机发电机组复购订单，发电业务快速发展根据1月14日公告，全资子公司 GenSystems Power Solutions LLC（GPS）近期与美国某客户签署了燃气轮机发电机组销售合同，金额为1.06亿美元，将用于北美数据中心及工业供电等领域。结算方式： 合同签署后客户将支付一定比例定金，其余款项按照合同约定进度支付。交付期限：自合同生效后13个月内。 本次合同签署是GPS间隔一个月与该客户签署的第二份燃气轮机发电机组销售合同，双方两次签约累计合同金额已达14.84亿元。本次复购彰显了北美客户对公司产品性能、交付能力及综合实力的高度认可，进一步巩固公司在数据中心及工业供电等领域的竞争优势，推动提升公司全球品牌影响力和市场竞争力。发电业务积累深厚屡获突破，有望成为公司第三增长曲线公司目前拥有自主研发制造的燃气轮机发电机组、往复式内燃机发电组、储能设备、变频设备等电力装备，将持续深耕数据中心、工业能源和新型电力系统三大领域。在数据中心领域，公司不仅致力于解决复杂应用场景下的发电保障需求，更将构建覆盖发电、配电及热能管理的一体化解决方案。公司近期连续斩获北美数据中心超亿美元燃气轮机发电机组项目，业务持续突破，形成可复制的应用成果，发电业务有望成为油服装备、天然气业务之后第三增长曲线。国际化战略成效显著，海外业务收入占比持续提升；天然气业务快速发展 2025年上半年公司海外市场实现收入32.95亿元，同比增长38.4%，海外新增订单同比增长24.2%，海外业务毛利率持续优化。天然气业务发展强劲，成为公司业绩增长重要来源。国内：上半年成功签署国内大型储气库离心式压缩机约5亿元供货合同。海外：2025年12月，中标文莱超亿美元天然气终端项目。2025年7月，成功中标北非阿尔及利亚国家石油公司侯德努斯天然气增压站总承包工程项目，总金额约61.3亿元。近两年天然气业务订单增长较快，公司多措并举提产能保交付。三季度，公司预付账款及存货、其他非流动资产、租赁负债较年初均增长，分别系公司提前储备关键核心部件、积极推进海外产能建设、租赁厂房扩充国内产能。随着天然气业务产能建设持续推进，订单和业绩有望共振。盈利预测及估值预计公司2025-2027年归母净利润分别为31.2、37.9、44.3亿元，同比增长19%、21%、17%，对应PE分别为28、23、19倍，维持“买入”评级。风险提示油价大跌风险；海外汇率波动；行业竞争加剧,,浙商证券,买入,[None],2026-01-15,,买入,8334786,pdf_downloads/2026/2026-01-15/002353-杰瑞股份（002353）：点评报告：获北美客户超亿美元燃气轮机发电机组复购订单，发电业务持续突破.pdf,002353,杰瑞股份,杰瑞股份（002353）：点评报告：获北美客户超亿美元燃气轮机发电机组复购订单，发电业务持续突破
杨震,"核心观点与川崎签署燃机合作协议，加速发电业务开拓。根据公司微信公众号，12 月 25 日，杰瑞敏电与川崎重工签约战略合作，标志着双方在燃气发电领域的伙伴关系迈入新阶段，将共同为全球AI数据中心、工业制造及油气能源等领域提供高效、低碳、智能的电力解决方案。此前，杰瑞敏电已于2025年10月完成川崎燃气轮机的批量采购布局。本次签约是在既有合作基础上的升级，双方表示将进一步加强战略合作，共同建立联合市场开发机制，以高效清洁的能源装备赋能全球电力转型进程。进一步补充燃机供应，发电业务增长的确定性上升。川崎在燃气轮机领域有深厚的技术积累，根据川崎重工官网，川崎重工的燃气轮机有近50年的发展历史，川崎GREEN燃气轮机在全世界的累计供货为12500台， 30MW以下产品在日本市场占有率达70%；川崎GREEN燃气发动机的8MW级拥有51%的世界发电效率，在日本的市占率达到80%以上。我们认为杰瑞与川崎的战略合作，将为杰瑞补充燃气轮机的供应，为公司的发电业务提供支持，使其发展数据中心发电业务的确定性进一步上升，带来投资机会。进一步打开海外数据中心发电业务的想象空间。此前，杰瑞已经在北美数据中心供电领域的关键业务实现了突破，形成可复制、可推广的应用成果，展现出强劲的国际化发展潜力。我们观察到本次的合作范围是“全球”，我们预计合作有望为杰瑞在非美国地区开展数据中心发电业务提供支持，并进一步打开杰瑞在海外的业务空间。盈利预测与投资建议公司与川崎签署燃机合作协议，将进一步加速发电业务开拓。在获得川崎燃机供应后，我们认为杰瑞数据中心发电业务的确定性将进一步上升。此外，我们观察到本次合作的范围是全球，我们预计杰瑞海外业务空间也进一步打开。我们维持盈利预测，预测2025-2027年归母净利润分别为31.53、38.18、44.64亿元，参考可比公司估值，给予公司26年20xPE，对应目标价74.6元，维持买入评级。风险提示经济环境走弱，石油天然气价格波动，市场竞争加剧，贸易保护政策风险，油气开发意
愿不及预期，数据中心业务开拓不及预期，中东天然气业务进展不及预期",,东方证券,买入,[None],2025-12-25,,买入,8279781,pdf_downloads/2025/2025-12-25/002353-杰瑞股份（002353）：跟踪：与川崎签署燃机合作协议，发电业务确定性上升，继续打开海外空间.pdf,002353,杰瑞股份,杰瑞股份（002353）：跟踪：与川崎签署燃机合作协议，发电业务确定性上升，继续打开海外空间
尤少炜,投资要点切入数据中心发电板块，新业务打开增长空间公司凭借燃气发电、智能控制领域多年技术积累，成立杰瑞敏电能源集团整合电力板块资源，依托稳定的全球供应链与北美本地产能支撑，切入数据中心高景气赛道，产品特性契合市场需求，得到海外客户认可。杰瑞相关业务布局聚焦数据中心、工业能源、新型电力系统三大赛道，提供电力设备供应、智能运行控制及全生命周期运维一体化解决方案。与西门子、贝克休斯等燃气轮机厂商建立稳定合作关系，覆盖 SGT-A05、LM2500、NovaLT™等多型号燃气轮机。目前北美市场已有燃气轮机发电机组销售及租赁成功案例，获得客户反复认可，为数据中心赛道拓展奠定品牌基础。在产能方面，公司通过在美国杰瑞原有厂房的基础上进行产能扩建，目前已具备电驱/涡轮压裂成套设备、燃气轮机发电设备等多种类设备总装配的生产能力，可满足北美地区相关产品的生产需求。预计杰瑞股份切入数据中心发电领域将为公司带来新的成长空间，有利于公司估值提升。油气工程服务等传统业务稳步推进，筑牢业绩基本盘公司传统业务以一体化解决方案为核心竞争力，通过优质订单遴选（兼顾利润与现金流）、成功项目交付积累口碑，带动多板块协同发展，同时天然气行业高景气度为传统业务提供持续需求支撑。杰瑞具备一体化服务能力，可提供从可研规划、工程设计、采购、装备制造到施工管理、开车、运维的全流程解决方案，具备丰富的油气田地面工程技术与建设经验。成功实施科威特国家石油公司（KOC）JPF-5 项目，获得业主高度评价；ADNOC 数字化井场改造等重点项目协同高效推进，彰显项目管理与交付能力。订单遴选标准秉持 “有利润的工程订单，有现金流的利润” 原则，严格把控项目利润率与付款条件，优先选择带动多板块协同、具备战略意义的订单。传统业务协同，油气工程服务业务可拉动高端装备、技术服务等板块需求，强化业务生态协同效应，支撑整体业绩稳健增长。天然气行业高景气共振，订单增长弹性凸显全球天然气行业进入高景气周期，能源安全战略、能源转型需求、电力缺口填补三大因素形成共振，驱动天然气开发与应用需求持续扩容；公司凭借全产业链解决方案能力、产能人才储备及海外布局优势，承接行业红利，天然气相关订单持续放量。天然气作为高效经济的清洁能源，在传统能源向新能源过渡中扮演战略性桥梁角色，低碳减排政策持续利好需求。同时全球能源及电力需求增长，天然气发电兼具灵活稳定与低排放特性，成为填补电力缺口的首选。目前公司已经在全球市场深耕多年，已成功构建起天然气全产业链一体化解决方案能力，并实现设备和工程服务的高度协同，公司天然气业务得到客户认可并建立起良好的市场口碑，有利于公司天然气业务订单持续放量。盈利预测预测公司2025-2027年收入分别为163.42、195.42、228.58亿元，EPS分别为2.98、3.58、4.17元，当前股价对应PE分别为22.8、19.0、16.3倍，考虑公司切入数据中心发电领域将为公司带来新的成长空间，维持“买入”投资评级。风险提示行业竞争风险；经营风险；财务风险；国际贸易摩擦风险；新市场拓展不及预期风险；技术迭代与产品研发风险；新业务发展不及预期。,,华鑫证券,买入,[None],2025-12-21,,买入,8260565,pdf_downloads/2025/2025-12-21/002353-杰瑞股份（002353）：切入北美数据中心赛道，估值重构可期.pdf,002353,杰瑞股份,杰瑞股份（002353）：切入北美数据中心赛道，估值重构可期
杨震,"核心观点再次斩获北美数据中心订单，业务增长确定性继续上升。根据公司公众号，杰瑞股份全资子公司杰瑞敏电能源集团与北美客户签署超亿美元发电机组销售合同，这是继上周与全球AI行业巨头达成合作后，杰瑞再次获得国际客户的认可。我们认为公司接连获得北美数据中心订单证明了公司的业务突破并非偶然、反映公司的能力获得了市场的认可，其发展数据中心发电业务的确定性进一步上升，带来投资机会。新订单也推动了战略布局，公司的数据中心业务有望在明年加速发展。根据公司公众号，依托多年在油气田开发与能源装备制造领域的深厚积累，杰瑞股份已构建覆盖“气源处理—燃气增压—清洁发电—智能调控”的全链条Gas to Power解决方案能力，实现了从“井口到用电终端”的端到端集成与自主可控。此外，双方已达成共识，将基于发电系统合作中建立的信任与协同机制，在数据中心供配电系统领域开展全方位协作。我们认为本次的新订单不仅证明了业务增长的确定性，也可能会带来除供电以外增量业务，因此我们预计公司明年数据中心业务有望继续加速发展。公司数据中心业务突破两大门槛突破，持续看好公司电力板块发展：目前北美 AI 产业扩张带来电力供应短缺，但我们认为企业进入美国市场仍需要攻克两大认可门槛：设备指标的认可、实际性能验证的认可。我们认为杰瑞股份目前已经跨过了这两大门槛，在供不应求的市场环境中，公司的竞争力会进一步放大，有望获得更多市场份额，因此我们继续看好公司电力板块业务的发展。盈利预测与投资建议公司再次获得北美数据中心订单，我们认为其业务增长的确定性继续提升、本次订单后续有望带来额外的增量业务，我们继续看好公司在电力板块的发展。由于第二次订单提升了公司的确定性和未来增长空间，我们认为将有望带来估值继续提升机会。由于公司燃机业务进展顺利，我们在可比公司中添加燃机相关公司以反映新业务比重的增加。我们维持盈利预测，给与2025-2027年归母净利润分别为31.53、38.18、44.64亿元，参考可比公司估值，给予公司26年19xPE，对应目标价70.9元，维持买入评级。风险提示经济环境走弱，石油天然气价格波动，市场竞争加剧，贸易保护政策风险，油气开发意
愿不及预期",,东方证券,买入,[None],2025-12-03,,买入,8206591,pdf_downloads/2025/2025-12-03/002353-杰瑞股份（002353）：跟踪：第二个数据中心订单落地，抬升增长确定性，并有望带来增量业务.pdf,002353,杰瑞股份,杰瑞股份（002353）：跟踪：第二个数据中心订单落地，抬升增长确定性，并有望带来增量业务
"邱世梁,王华君,陈姝姝",连续斩获北美数据中心超亿美元订单，发电业务有望成为公司第三增长曲线 根据公司12月2日信息，全资子公司杰瑞敏电能源集团与北美客户签署超亿美元发电机组销售合同，继11月27日发布获全球AI行业巨头超亿美元订单后再获国际客户认可。公司将提供多台大功率燃气轮机发电机组，承担主要电力输出任务。项目的成功落地，标志着杰瑞敏电与该客户合作的开端。依托在能源装备与智能服务领域的综合优势，杰瑞敏电将提供涵盖关键设备供应、智能运行控制及全生命周期运维支持的一体化解决方案，实现从能源生产到用电保障的高效协同。在北美数据中心市场再获超亿美元订单，进一步巩固了公司在工业及数据中心供电领域的竞争优势，显著推动公司在全球高端数据中心能源市场的发展，发电业务有望成为公司油气装备与服务业务、天然气业务之外的第三增长曲线。与西门子、贝克休斯合作多年，供应链优势突出。西门子：公司与西门子能源早在2018年就建立了稳定的合作关系，是西门子能源航改型燃气轮机中国首家授权成套商，2024年3月，公司与西门子能源签署燃气轮机战略合作协议，成为双方合作再升级的重要里程碑。贝克休斯：自2019年，杰瑞与贝克休斯已在发电应用领域累计实现600MW以上的装机合作。11月11日，杰瑞敏电与贝克休斯在上海正式签署NovaLT™燃气轮机全球战略合作和规模订单协议，进一步了夯实供应链基础，为后续产品交付提供坚实保障。发电业务积累深厚：公司目前拥有自主研发制造的燃气轮机发电机组、往复式内燃机发电组、储能设备、变频设备等电力装备，可为石油天然气开发、调峰发电、应急发电、工业发电、数据中心等多种应用场景提供定制化电力支持方案。公司依托多年在油气与能源装备制造领域的深厚积累，已构建覆盖“气源处理—燃气增压—清洁发电—智能调控”的全链条Gas to Power解决方案能力。国际化战略成效显著，海外业务收入占比持续提升；天然气业务快速发展 2025年上半年公司海外市场实现收入32.95亿元，同比增长38.4%，海外新增订单同比增长24.2%，海外业务毛利率持续优化。天然气业务发展强劲，成为公司业绩增长重要来源。国内：上半年成功签署国内大型储气库离心式压缩机约5亿元供货合同。海外：成功签署ADNOC井场数字化改造项目合同，项目预估总金额达9.2亿美元。2025年7月，成功中标北非阿尔及利亚国家石油公司侯德努斯天然气增压站总承包工程项目，总金额约61.3亿元。近两年天然气业务订单增长较快，公司多措并举提产能保交付。三季度，公司预付账款及存货、其他非流动资产、租赁负债较年初均增长，分别系公司提前储备关键核心部件、积极推进海外产能建设、租赁厂房扩充国内产能。随着天然气业务产能建设持续推进，订单和业绩有望共振。盈利预测及估值预计公司2025-2027年归母净利润分别为31.2、37.9、44.3亿元，同比增长18.9%、21.4%、16.8%，对应PE分别为20、16、14倍，维持“买入”评级。风险提示：油价大跌风险；海外汇率波动；行业竞争加剧,,浙商证券,买入,[None],2025-12-03,,买入,8206303,pdf_downloads/2025/2025-12-03/002353-杰瑞股份（002353）：点评报告：再获超亿美元订单，强势进军北美数据中心市场.pdf,002353,杰瑞股份,杰瑞股份（002353）：点评报告：再获超亿美元订单，强势进军北美数据中心市场
"倪正洋,谭嘉欣",2025年12月01日│中国内地 专用设备 杰瑞股份是全球领先的高端装备制造商和技术服务商，公司在钻完井、天然气设备及解决方案等领域在全球广受业主好评。11月27日晚，杰瑞股份在其官方微信公众号宣布近日杰瑞股份全资子公司杰瑞敏电能源集团与全球AI行业巨头正式签署发电机组销售合同，合同金额超1亿美元。此次合作标志着杰瑞模块化、智能化的发电解决方案成功挺进北美高端电力市场，实现了杰瑞在北美数据中心领域的关键业务突破。根据美国能源部报告《2024 United States Data Center Energy Usage Report》，美国数据中心在2023年的电力消耗为176TWh，占美国总电力需求的4.4%。预计到2028年美国数据中心电力需求将增加到325-580TWh，24-28年CAGR有望达13%-27%。展望未来，公司业绩有望在压裂设备+天然气设备+发电设备的三轮驱动下实现较快增长，维持“增持”评级。发电设备有望构筑企业全新成长曲线根据杰瑞股份11月公开投资者交流纪要，公司目前拥有自主研发制造的燃气轮机发电机组、往复式内燃机发电组、储能设备、变频设备等电力装备，已构建高度集成化、模块化、智能化的燃气发电产品体系，具备卓越的场景适应性与系统可扩展性，可为石油天然气开发、调峰发电、应急发电、工业发电、数据中心等多种应用场景提供定制化电力支持方案。公司目前已向市场推出自主研制的35MW、6MW等型号的燃汽轮机发电机组设备，能够为客户提供多种稳定、可靠的供电解决方案，目前已在海外成功开展设备销售和发电服务两种业务模式。公司在发电领域的产品矩阵和应用场景有望为公司构筑全新的成长曲线。携手贝克休斯为全球客户提供可靠的电力解决方案根据公司官方微信公众号，11月11日杰瑞敏电能源集团与贝克休斯Baker Hughes在上海正式签署NovaLT™燃气轮机全球战略合作和规模订单协议。根据协议，杰瑞将自主研发、制造并销售搭载NovaLT™燃气轮机的成套发电装备，以更灵活、更高效、更环保的电力系统满足全球多样化能源需求。将共同为全球AI数据中心、工业制造及油气能源等领域提供高效、低碳、智能的电力解决方案。盈利预测与估值我们上调公司25-27年盈利预测，预计归母净利润分别为30.95/37.49/43.59亿元（调整+0.29%/+0.49%/+0.43%），对应EPS为3.02/3.66/4.26元。可比公司26年ifind及彭博一致预期12倍PE，基于公司不仅在天然气业务持续斩获海外订单带来较强的第二成长曲线的业绩可预见性，更由于本次公司直接与海外AI行业巨头正式签署发电机组销售合同实现重大突破带来第三成长曲线，应有溢价，给予公司26年20倍PE，上调目标价为73.2元（前值61.88元，对应17倍26年PE）。风险提示：原油天然气价格波动加剧风险；市场竞争加剧风险；贸易壁垒导致供应链成本波动风险；低碳能源体系的发展对行业发展的风险。,,华泰证券,增持,[None],2025-12-01,,增持,8197160,pdf_downloads/2025/2025-12-01/002353-杰瑞股份（002353）：与全球AI巨头签署超1亿美金发电合同.pdf,002353,杰瑞股份,杰瑞股份（002353）：与全球AI巨头签署超1亿美金发电合同
"肖群稀,赵玥炜",投资建议。维持公司2025 EPS 3.06元，考虑公司在发电机组业务进展加速且获取实质性订单，上调2026/2027年EPS至3.88/4.70元（原3.70/4.48元）。参考可比公司2025年平均估值PE为16.98倍，我们给予公司2025年20倍PE，维持目标价至61.15元，维持增持评级。挺进北美数据中心市场，获取超1亿美元订单。根据公司官方微信公众号，公司全资子公司杰瑞敏电能源集团与全球AI行业巨头正式签署发电机组销售合同，合同金额超1亿美元。此次合作标志着杰瑞模块化、智能化的发电解决方案成功挺进北美高端电力市场，实现了杰瑞在北美数据中心领域的关键业务突破。加大力度布局发电业务领域，获取战略资源，紧抓全球数字化加速机遇。根据公司官方微信公众号，公司在数据中心一体化能力建设商加速迈进，已在SMR（小型模块化反应堆）供电、燃气轮机快速供电、数据中心配电、热管理系统、数据中心全域交付和管理的全生命周期服务领域开展业务及团队建设，为在全球的数字基础设施深度布局奠定坚实基础。同时，公司在自主研制与战略资源上加速获取，根据公司《投资者关系活动记录表-25年11月20~21日》，公司已向市场推出自主研制的35MW、6MW等型号的燃汽轮机发电机组设备，能够为客户提供多种稳定、可靠的供电解决方案；2025年11月11日，杰瑞敏电与贝克休斯在正式签署NovaLT™燃气轮机全球战略合作和规模订单协议。我们认为，公司在技术、战略合作与市场渠道方面均具备较强优势，有望紧抓本轮全球数字化机遇。天然气业务等主业发展较快，产能建设提速以保障交付。根据公司《25年10月23日投资者关系活动记录表》，天然气相关业务方面，公司订单增长较快，为保障交付，公司提前储备关键核心部件，积极投入资源推进海外产能建设进度，并在国内通过租赁厂房等多种方式进行产能扩充。风险提示。油价下行；油公司资本支出不及预期；汇率不利变动；公司海外战略执行低于预期；订单交付不及预期；出售子公司股权导致财务数据变化。,,国泰海通,增持,[None],2025-11-28,,买入,8194927,pdf_downloads/2025/2025-11-28/002353-杰瑞股份（002353）：跟踪点评：获取全球 AI 行业巨头发电机组超 1 亿美元订单，发电领域加速发展.pdf,002353,杰瑞股份,杰瑞股份（002353）：跟踪点评：获取全球 AI 行业巨头发电机组超 1 亿美元订单，发电领域加速发展
杨震,核心观点众号，公司全资子公司杰瑞敏电与全球AI行业巨头正式签署发电机组销售合同，合同金额超1亿美元，标志着杰瑞的发电解决方案成功挺进北美电力市场，实现北美数据中心领域的业务突破。此外，杰瑞已在SMR（小型模块化反应堆）供电、燃气轮机快速供电、数据中心配电、热管理系统、数据中心全域交付和管理的全生命周期服务领域开展业务及团队建设。我们认为本次签约标志着杰瑞在数据中心一体化能力建设上迈出关键一步，公司数据中心业务增长的确定性上升，带来投资机会。认为企业进入美国市场仍需要攻克两大认可门槛：设备指标的认可、实际性能验证的认可。我们认为杰瑞股份目前已经跨过了这两大门槛，因此其确定性提升。团与贝克休斯在上海正式签署NovaLT™燃气轮机全球战略合作和规模订单协议，此次合作标志着双方在燃气发电领域的伙伴关系迈入新阶段。2024年3月，公司与西门子能源达成燃气轮机战略合作，双方将携手加大燃气轮机发电开发与应用。我们认为公司已经获得了全球知名燃机供应商的支持，其产品的硬件实力将持续获得客户认可。件以外，对于电力控制系统、防爆系统、变频系统等也有较高标准。我们认为杰瑞通过参与美国本土数据中心的实际建设将取得实际项目经验，将提升持续获取项目的概率。盈利预测与投资建议突破，未来增长的确定性继续提升，有望带来估值提升机会。我们在可比公司中添加燃机相关公司。维持盈利预测，给与2025-2027年归母净利润分别为31.53、38.18、44.64亿元，参考可比公司估值，给予公司26年17xPE，对应目标价63.4元，维持买入评级。风险提示经济环境走弱，石油天然气价格波动，市场竞争加剧，贸易保护政策风险，油气开发意愿不及预期,,东方证券,买入,[None],2025-11-28,,买入,8192607,pdf_downloads/2025/2025-11-28/002353-杰瑞股份（002353）：挺进北美数据中心发电，业务增长确定性上升.pdf,002353,杰瑞股份,杰瑞股份（002353）：挺进北美数据中心发电，业务增长确定性上升
"龚斯闻,许元琨",公司发布2025年三季度报告：2025年前三季度公司实现营收104.21亿元，同比增长29.49%；实现归母净利润18.08亿元，同比增长13.11%；实现扣非归母净利润17.83亿元，同比增长27.62%。其中第三季度公司实现收入35.19亿元，同比上升13.9%，实现归母净利润5.67亿元，同比上升11.11%，实现扣非归母净利润5.51亿元，同比增长15.51%。业绩稳健增长，业务规模边际提升2025第三季度公司实现营收35.19亿元，同比增长13.9%，主要受益于前期新签订单进入交付阶段，业务规模增加所致。分行业来看，公司2025年上半年油气行业/新能源及再生行业分别实现收入65.72/3.28亿元，同比分别增长38.10%/65.74%。此外2025年前三季度公司预付款项较年初增加108.78%，主要原因系采购关键部件支付进度款。盈利能力基本稳定，研发维持高投入盈利能力方面，2025年前三季度毛利率31.29%，同比-3.73pct。期间费用方面，2025前三季度公司销售/管理/财务费率为4.41%/3.73%/-1.36%，同比分别-0.30/-0.44/-1.96pcts，整体保持稳定。同期公司研发费用为3.62亿元，同比增长13.76%。海外市场持续发力，技术创新实现突破2025年油气行业整体有所波动，天然气作为转型战略性桥梁需求快速增长带来机遇。海外市场来看，2025年7月，公司成功中标阿尔及利亚国家石油公司侯德努斯天然气增压站总承包工程项目，总金额约合61.26亿元，持续强化公司在全球油气行业影响力。从研发角度来看，公司始终注重技术创新，走在研发前沿，2025年8月，公司首创盘古系列柱塞泵，是全球首款动力端全生命周期终身免换的柱塞泵，显著提升公司产品竞争力。投资建议与盈利预测公司在油气技术工程服务领域处于领先地位，我们看好公司中长期发展。预计公司2025-2027年分别实现营收160.03/184.00/210.92亿元，归母净利润为30.65/36.03/41.71亿元，EPS为2.99/3.52/4.07元/股，对应PE为17.26/14.68/12.68倍，维持“买入”评级。风险提示原材料价格波动风险，原油天然气价格波动加剧风险，汇率波动风险。,,国元证券,买入,[None],2025-10-31,,买入,7085614,pdf_downloads/2025/2025-10-31/002353-杰瑞股份（002353）：海外市场持续发力，技术创新实现突破.pdf,002353,杰瑞股份,杰瑞股份（002353）：海外市场持续发力，技术创新实现突破
