author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
纪向阳,25年前三季度：营业收入实现181亿元（YOY+5.5%），归母净利润实现8.7亿元（YOY-7%），扣非归母净利润实现6.8亿元（YOY-21%）。25Q3：营业收入实现75.2亿元（YOY+7%），归母净利润实现4.7亿元（YOY+7.8%），扣非归母净利润实现4亿元（YOY+1.5%）。分析判断:收入端分产品来看，根据2025年10月21日投资者关系活动表：（1）国内教育业务：国内教育业务方面 Q3收入继续保持稳健增长。希沃录播、希沃魔方数字基座、希沃教学终端及希沃学习机等软硬件产品整体收入保持良好增长态势，产品矩阵协同效应凸显。随着国家及各地教育+AI政策持续加码，公司加速推广教育 AI 产品， 领跑国内教育数智化转型。（2）液晶显示主控板卡：Q3收入实现较快增长，有效拉动该业务前三季度整体收入实现同比提升。（3）家用电器控制器：持续受益于海内外订单快速增长， Q3 延续高速增长态势；（4）海外业务：受市场需求变化及关税变动等外部环境因素持续影响，Q3 海外 ODM 业务收入延续下降趋势。MAXHUB 海外自有品牌业务 Q3保持高速增长，公司加快海外产品上市与推广节奏。（5）机器人领域：公司智能柔性机械臂产品近日于广交会正式亮相。公司商用清洁机器人亦已批量进入欧洲、日韩等市场， 推动公司机器人业务收入实现良好增长。利润端（1）25年前三季度：公司毛利率实现20.3%（YOY-1.7pct），公司净利率实现5.4%（YOY-0.3pct）（2）25Q3：公司毛利率实现20.0%（YOY-1.5pct），公司净利率实现7.1%( YOY+0.3pct)。根据2025年10月21日投资者关系活动表： 1）毛利率波动主因：受原材料价格波动、主要产品收入结构变动等因素影响。2）扣非后归母利润同比下滑幅度大于归母净利润：公司基于资金管理策略对资金结构进行优化调整，导致计入经常性损益的利息收入有所减少， 同时列示于非经常性损益的债权投资收益明显增加。费用率端25年前三季度费用率：销售、管理、研发、财务费用率分别同比-1.0/-0.4/+0.1/+0.3pct25Q3费用率：销售、管理、研发、财务费用率分别同比-1.2/-0.2/-0.2/-0.1pct投资建议根据最新财报，我们调整盈利预测，预计2025-2027年公司收入239、276、316亿元（前值244、277、313亿元），归母净利润为10.0、12.1、15.1亿元（前值10.6、12.3、14.8亿元），对应EPS分别1.44、1.74、2.16元（前值1.52/1.76/2.13元），以2025年10月27日收盘价43.61元计算，对应PE分别为30/25/20倍，我们维持“增持”评级。风险提示下游需求不及预期、行业竞争加剧、订单获取不及预期、上游原材料成本波动等风险、海运运费上涨以及港口堵塞造成货物交付不及时风险、新技术迭代风险、行业空间测算偏差、第三方数据失真风险、研究报告使用的公开资料可能存在信息滞后或更新不及时的风险等。,,华西证券,增持,[None],2025-10-27,,增持,6852873,pdf_downloads/2025/2025-10-27/002841-视源股份（002841）：Q3业绩同比转正，加速推广教育AI产品.pdf,002841,视源股份,视源股份（002841）：Q3业绩同比转正，加速推广教育AI产品
范宇,事件：2025年10月21日，公司发布2025年三季度报告，2025年前三季度公司实现营收180.87亿元，同比增长5.45%；归母净利润8.67亿元，同比下降6.81%；扣非归母净利润6.83亿元，同比下降20.95%。其中，25Q3单季度实现营收75.22亿元，同比增长6.96%，环比增长35.29%；归母净利润4.70亿元，同比增长7.79%，环比增长99.15%；扣非归母净利润4.00亿元，同比增长1.46%，环比增长122.96%。Q3业绩持续修复，单季度利润重回增长。公司前三季度180.87亿元，同比增长5.45%，Q3实现营业收入75.22亿元，同比增长6.96%。前三季度应收账款同比增长43.26%，经营性现金流表现强劲，前三季度净额达10.24亿元，同比增长42.03%，公司保持高质量经营。公司Q3归母净利润同比增速实现23年以来的首次转正，我们判断主要由于1）教育业务持续拓展，家用电器控制器、海外自主品牌业务等维持较高增长，2）Q3销售/管理/研发费用率同比下降1.6/0.2/0.2pp，经营效率进一步提升。前三季度扣非净利润和归母净利润的主要差异来源于：1）前三季度其他收益同比减少35.42%，主因当期损益的政府补助减少；2）资金结构调整影响，公司将资金更多配置于大额可转让存单等债权投资，导致计入经常性损益的利息收入减少，而计入非经常性损益的投资收益大幅增加（前三季度投资收益2.15亿元，同比增长91.37%）。AI与机器人业务打开成长空间。AI赋能产品加速落地，截至H1，希沃课堂智能反馈系统已覆盖超7000间教室；希沃AI备课助手激活用户数已达60万。工业级四足机器人已在电力等行业场景实现应用，商用清洁机器人业务拓展至欧洲、日韩市场。138届广交会上，公司展示MAXHUB A3智能柔性机械臂，实现“毫米级穿针引线”，标志公司正推动高性价比机械臂走向高精度装配场景。投资建议：看好公司传统业务保持龙头地位，教育业务在AI赋能下迎来新机遇，家用电器控制器、海外自有品牌业务有望高增。同时，公司在机器人领域的布局（工业级四足机器人、商用清洁机器人等）有望打开长期成长空间。预计公司25-27年归母净利润为10.07/13.05/16.32亿元，对应PE分别为29/22/18倍，维持“推荐”评级。风险提示：新产品拓展不及预期、行业竞争加剧、汇率波动风险等。,,民生证券,推荐,[None],2025-10-24,,增持,6716092,pdf_downloads/2025/2025-10-24/002841-视源股份（002841）：2025 年三季报点评：Q3业绩持续修复，AI与机器人业务打开成长空间.pdf,002841,视源股份,视源股份（002841）：2025 年三季报点评：Q3业绩持续修复，AI与机器人业务打开成长空间
"陈涵泊,王思",视源股份(002841)业绩迎来拐点，AI教育+机器人持续突破公司发布25年三季报，营收利润增速迎来拐点，毛利率受供应链影响短期承压2025年前三季度，公司实现营收180.87亿元（同比+5.45%）；受原材料价格波动、主要产品收入结构变动等因素影响，公司毛利率同pct，但继续呈现逐季环比企稳态势。2025年前三季度公司实现归母净利润8.67亿元（同比-6.81%），降幅较H1明显收窄。单Q3，公司实现营收75.22亿元（同比+6.96%）；受原材料价格波动、主要产品收入结构变动等因素影响，毛利率同比-0.92个pct但环比延续企稳态势。主要受益于收入增长、毛利额提升及费用管控，基本面持续向好，Q3归母净利润4.69亿元（同比+7.79%）。为应对原材料价格上涨对毛利率影响，截至25Q3公司存货为37.19亿元，同比+60.67%。板卡业务大客合作成效显著，家电及电子业务延续增长 在智能控制部件领域，公司深化大客户合作成效显著，液晶显示主控板卡业务Q3收入实现较快增长，有效拉动该业务前三季度整体收入实现同比提升；家用电器控制器业务持续受益于海内外订单快速增长，Q3延续高增态势；汽车电子及电力电子业务均实现高速增长。AI+教育进展显著，企业服务OBM继续突破受益于教育+AI政策加码，公司教育AI产品领跑行业转型。截至25年9月，希沃课堂智能反馈系统覆盖4000+校/1万+教室，生成45万+报告；AI备课激活用户超100万，魔方数字基座覆盖9000+校。Q3国内教育业务收入稳健增长，录播、教学终端及学习机等软硬件协同发力，产品矩阵效应凸显。公司国内企业服务业务呈改善趋势但仍承压，海外业务分化显著且持续推进拓展。1）国内：供应链管理策略变革显效带动 MAXHUB Q3收入降幅收窄，但受渠道优化滞后、需求疲软等影响，企业服务业务整体同比仍降，后续将强化渠道与线上运营；2）海外：ODM业务受外部因素延续下滑，公司拟深化客户合作并开拓新品线，而MAXHUB自有品牌高速增长，通过推出多语种教育 AI 软件、微软认证会议产品及落地阿联酋子公司，持续提升本地化竞争力与市场覆盖。看好机器人长期发展潜力，商用机器人开始量产 公司聚焦机器人刚需场景，产品落地与市场拓展成效初显且计划持续加码：年内已推出四足机器人、柔性操作机械臂（后者近日亮相广交会），商用清洁机器人批量进入欧洲、日韩及国内市场并带动收入良好增长；未来公司将继续加大投入，推动机器人业务快速发展。投资建议与盈利预测我们预计公司2025-2027年将实现营收246.53、278.35、314.85亿元，同比增长10.05%、12.91%、13.11%；实现归母净利润10.26、13.03、16.1亿元，同比增长5.70%、26.92%、23.63%。维持“买入”评级。风险提示：供应链波动风险、海内外市场拓展不及预期、产品迭代不及预期、AI政策落地不及预期等。,,中邮证券,买入,[None],2025-10-22,,买入,6682505,pdf_downloads/2025/2025-10-22/002841-视源股份（002841）：业绩迎来拐点，AI教育+机器人持续突破.pdf,002841,视源股份,视源股份（002841）：业绩迎来拐点，AI教育+机器人持续突破
"顾熹闽,何伟",事件：公司前三季度实现收入180.9亿元/同比5%；实现归母净利8.7亿元/同比-7%，扣非净利6.8亿/同比-21%。其中，Q3公司实现营收75.2亿元/同比7%，归母净利4.7亿元/同比8%，扣非净利4.0亿元/同比1%。教育及家电控制机收入增长驱动Q3收入增速环比回升。公司Q3收入重新恢复增长，我们预计主要受益于：1）地方教育财政支出同比去年有所改善，以及公司教育AI产品加速推广，Q3公司国内教育业务预计继续保持稳健增长；2）智能控制部件业务通过深化大客户合作及新客户拓展，实现份额及覆盖面提升，其中Q3家电控制器业务持续受益海内外订单快速增长，维持较高增长；3）企服业务中，Maxhub海外获微软认证，并通过加快新品上市与推广节奏增长强劲。国内通过推动下游供应链管理策略变革，收入同比降幅有所放缓；4）海外ODM业务关税影响预计仍承压。毛利率环比下行，净利率受益费用管控及投资收益提升。公司Q3毛利率同比-0.9pct，主要因原材料价格上行毛利率较低的家电控制器业务收入占比提升影响。费用端改善对净利率提升影响显著，其中Q3公司销售/管理/研发费用率分别同比-0.5pct/-0.2pct/-0.2pct。此外，Q3公司投资收益同比0.4亿元，推动净利率同比提升0.3pct。AI教育、机器人业务持续推进，商业化开始落地。截至3Q25，希沃课堂智能反馈系统已在全国建成19个重点应用示范区，覆盖超过4000所学校、10000间教室，累计生成课堂智能反馈报告超过45万份，并保持季度环比快速增长；希沃AI备课助手已激活用户超过100万，并开始实现一定体量收入；希沃魔方数字基座已覆盖国内超过9000所学校。机器人领域，公司遵循“刚需场景优先”策略，年内已推出四足机器人、柔性操作臂等产品，商用清扫机器人已在欧洲、日韩及国内市场推广并实现良好增长。投资建议：预计2025-2027年归母净利润分别为9.5亿元/11.9亿元/14.4亿元，对应PE分别为29X/24X/19X，维持“推荐”评级。风险提示：宏观经济波动的风险，行业竞争加剧的风险，新业务拓展进度不及预期的风险。,,银河证券,推荐,[None],2025-10-22,,买入,6691597,pdf_downloads/2025/2025-10-22/002841-视源股份（002841）：收入环比恢复增长，关注 AI教育+机器人落地进展.pdf,002841,视源股份,视源股份（002841）：收入环比恢复增长，关注 AI教育+机器人落地进展
纪向阳,国内教育业务回暖，机器人布局实现突破视源股份(002841)事件概述公司发布2025年半年报：25H1：营业收入实现106亿元（YOY+4%），归母净利润实现4.0亿元（YOY-20%），扣非归母净利润实现2.8亿元（YOY-40%）。25Q2：营业收入实现56亿元（YOY-1%），归母净利润实现2.4亿元（YOY-26%），扣非归母净利润实现1.8亿元（YOY-45%）。分析判断:收入端分产品来看：（1）国内教育业务：H1实现收入17亿元（YOY+14%），根据公告，受益于教育场景持续深耕及多产品策略，希沃交互智能平板出货份额提升至45.3%，持续领跑行业。 希沃录播、希沃魔方数字基座、希沃教学终端及希沃学习机等软硬件产品收入均保持良好增长，产品矩阵协同效应凸显。（2）液晶显示主控板卡：H1 实现收入31亿元（YOY-7%），根据公告，受主要电视客户出货量下降等因素影响。（3）家用电器控制器：H1 实现收入13亿元（YOY+66%），根据公告，主因家用电器控制器海内外订单持续攀升。（4）海外业务：H1 实现收入19亿元（YOY-18%），根据公告，受海外 ODM 业务短期承压影响，但海外自有品牌的快速增长正在为海外业务的长期发展注入新的动能。（5）机器人领域：公司在机器人领域深耕多年，构建起算法创新、硬件设计以及制造验证的机器人全栈技术实力。1）四足机器人：公司在机器人领域的布局实现新突破——自研工业级四足机器人 MAXHUB X7于世界机器人大会正式发布，该产品采用全栈自研的智能导航系统、精密多关节驱动结构与自适应步态算法，可搭载机械臂、传感器等装置成为多任务平台，目前已在电力等行业场景实现应用。2）商用清洁机器人：目前已批量进入欧洲、东南亚及日本市场，实现良好增长。利润端（1）H1毛净利率：公司毛利率实现20.5%（YOY-1.7pct），公司净利率实现4.2%（YOY-0.8pct）（2）Q2毛/净利率：公司毛利率实现20.4%（YOY-2.2pct），公司净利率实现4.7%( YOY-0.9pct) 根据公告，1）毛利率下降主因：受原材料价格波动、主要产品收入结构变动等因素影响；2）利润下滑主因：毛利额较去年同期略有下降，叠加研发投入增加、理财收益及政府补助等减少。（3）H1分产品毛利率：智能控制部件：毛利率上半年实现14%（YOY-1.7pct） 智能终端及应用：毛利率上半年实现27%（YOY+0.1pct） 其他产品及服务：毛利率上半年实现50%（YOY-11pct）费用率端H1费用率：销售、管理、研发、财务费用率分别同比-0.9/-0.6/+0.3/+0.6pctQ2费用率：销售、管理、研发、财务费用率分别同比-0.7/-0.3/+0.3/+0.3pct投资建议根据最新财报，我们调整盈利预测，预计2025-2027年公司收入244、277、313亿元（25、26年前值为252、275亿元），归母净利润为10.6、12.3、14.8亿元（25、26年前值为15.8、18.1亿元），对应EPS分别1.52/1.76/2.13元（25、26年前值2.27/2.60元），以2025年9月10日收盘价38.48元计算，对应PE分别为25/22/18倍，我们维持“增持”评级。风险提示下游需求不及预期、行业竞争加剧、订单获取不及预期、上游原材料成本波动等风险、海运运费上涨以及港口堵塞造成货物交付不及时风险、新技术迭代风险、行业空间测算偏差、第三方数据失真风险、研究报告使用的公开资料可能存在信息滞后或更新不及时的风险等。,,华西证券,增持,[None],2025-09-11,,增持,6425416,pdf_downloads/2025/2025-09-11/002841-视源股份（002841）：国内教育业务回暖，机器人布局实现突破.pdf,002841,视源股份,视源股份（002841）：国内教育业务回暖，机器人布局实现突破
"蔡雯娟,李汉颖,曲世强","本报告导读：部件业务、智能交互平板业务稳固支撑公司业绩增长；AI 技术加速教育产品智能化
转型。增持。投资要点：投资建议：视源股份作为显示板卡业务龙头，在校内教育领域深耕多年，护城河优势明显，横向拓展至教育PAD优势巨大，且校内教育交互平板AI化升级趋势明显，预计2026年公司在AI+教育业务上形成规模效应。考虑以上因素，我们预计公司2025-2027年EPS分别为1.56/1.74/1.89元，同比分别+12%/+12%/+9%。首次覆盖，考虑同行业估值水平及综合DCF/PE 两种估值方法，给予公司2025年目标价54.6元。部件业务稳固支撑公司业绩增长。视源股份在显示控制板卡领域占据全球领导地位，2022-2024年其液晶显示主控板卡出货量市场份额分别为33.01%、28.19%和32.72%，稳居首位；业务依托技术驱动，通过高良品率和低成本规模化优势，持续领跑全球市场；公司以开放化、智能化为主方向，智能电视板卡占比从2020年59.19%升至2023年71.32%，顺应行业从传统电视向智能电视转型。智能交互平板实现多场景渗透与竞争力提升。在智能交互平板业务中，公司覆盖教育与企业场景：教育领域以希沃品牌为主导，提供交互平板、智慧黑板等产品，2023年教育平板收入达109.31亿元且毛利率超30%，覆盖全国260万间教室；企业场景以MAXHUB为核心，连续6年国内市场份额第一，产品矩阵包括会议平板和行业解决方案，但2024年企业服务收入受需求疲软影响下滑19.7%；市场整体呈现教育场景为主但商用场景逆势增长的格局。公司通过多元化场景应用和成本优势，强化产业竞争壁垒。AI技术加速教育产品智能化转型。希沃整合Deep Seek大模型，实现教育数字化转型：硬件层面，智能反馈系统实时分析学生抬头率、举手率等行为数据和教师授课效果提升教学效率；软件层面，AI备课助手可自动生成教学大纲和课件，减少教师备课时间，并支持个性化教学；应用场景覆盖K12至高教，教育大模型升级至2.0版助力“AI+教育B端”市场扩展，预测中国AI教育B端规模将持续增长。该创新推动公司从产品向方案转型，受益政策红利和技术深度。风险提示：原材料价格波动；AI政策落地不及预期风险。",,国泰海通,增持,[None],2025-09-10,,买入,6413642,pdf_downloads/2025/2025-09-10/002841-视源股份（002841）：首次覆盖报告：多元显示业务协同发展，AI教育应用创新提速.pdf,002841,视源股份,视源股份（002841）：首次覆盖报告：多元显示业务协同发展，AI教育应用创新提速
"胡剑,胡慧,叶子,詹浏洋,张大为,李书颖,连欣然",核心观点1H25公司营收同比增长4.39%，归母净利润同比下滑19.66%。公司发布2025年半年度报告，1H25公司实现营业收入105.65亿元（YoY+4.39%），归母净利润3.98亿元（YoY-19.66%），毛利率20.52%（YoY-1.38pct）。公司毛利额同比略有下降，叠加研发投入增加、理财收益及政府补助减少等因素，归母净利润同比下滑。2Q25公司营收55.60亿元（YoY-1.16%，QoQ+11.10%），归母净利润2.36亿元（YoY-25.54%，QoQ+45.55%），毛利率20.39%（YoY-2.15pct，QoQ-0.27pct）。1H25教育业务营收同比增长14%，AI+教育应用加速落地。公司旗下品牌希沃行业地位稳固，据迪显咨询，1H25希沃交互智能平板出货份额提升至45.3%，持续领先。受益于教育场景深耕及多产品策略，1H25公司国内教育业务营收17.27亿元，同比增长13.79%。公司加速推进AI与教育融合，截至2025年6月底，希沃课堂智能反馈系统已覆盖超3000所学校、应用于超7000间教室；希沃AI备课激活用户数量超60万。同时，公司积极拓展家庭场景，推出多款AI学习机新品。1H25海外自有品牌业务高速增长，海外ODM业务承压。企业服务业务方面，据迪显咨询数据，MAXHUB会议交互智能平板在国内市场以26.5%的销量份额保持领先。受线下市场需求疲软影响，MAXHUB品牌业务收入5.67亿元，同比下降13.63%；数字标牌业务受客户需求变化影响，国内企业服务业务整体收入同比下降27.03%。海外业务方面，1H25海外业务整体收入同比下降17.94%至19.07亿元。其中海外ODM业务受关税变动、市场竞争等因素影响，收入同比下降23.69%。公司坚定全球化发展，持续完善全球营销服务网络，加快海外会议产品上市推广，1H25MAXHUB海外自有品牌业务收入同比增长59.56%，为海外长期发展注入新动能。机器人领域布局实现新突破，新业务打开未来成长空间。公司在机器人领域深耕多年，已构建全栈技术实力。2025上半年公司自研工业级四足机器人MAXHUBX7于世界机器人大会正式发布，目前已在电力等行业场景实现应用。同时，公司商用清洁机器人已批量进入欧洲、东南亚及日本市场。投资建议：公司企业服务及海外ODM业务承压，下调公司盈利预测，预计公10.16/11.67/13.19亿元（前值：2025-2027年为12.67/14.98/17.29亿元），对应2025-2027年PE分别为28.3/24.6/21.8倍，维持“优于大市”评级。风险提示：新业务开拓不及预期；需求不及预期；行业竞争加剧。,,国信证券,优于大市,[None],2025-09-07,,买入,6398009,pdf_downloads/2025/2025-09-07/002841-视源股份（002841）：1H25教育业务营收同比增长，AI+教育应用加速落地.pdf,002841,视源股份,视源股份（002841）：1H25教育业务营收同比增长，AI+教育应用加速落地
"陈涵泊,王思",事件 公司发布半年报，营收企稳，利润受供应链等因素短期承压。 2025H1，公司坚持以产品技术创新为核心驱动力，持续深耕国内外市场，实现营收105.65 亿元，同比+4.39%；受原材料价格波动、主要产品收入结构调整等因素影响，公司综合毛利率同比下降1.38pct，但季度环比企稳。报告期内公司毛利额较去年同期略有下降，叠加研发投入增加、理财收益及政府补助等减少，实现归属于上市公司股东的净利润3.98 亿元，同比-19.66%。 家电海内外订单攀升，带动智能控制部件营收稳健增长25H1，公司智能控制部件业务实现营收54.97 亿元，同比+10.57%。 其中，受主要电视客户出货量下降等因素影响，公司的液晶显示主控板卡实现收入30.83 亿元，同比-7.26%；家用电器控制器海内外订单持续攀升，实现收入13 亿元，同比+66.43%；汽车电子业务保持稳健发展，电力电子业务市场拓展取得突破，实现快速增长。 国内加速推广教育AI 产品，海外自有品牌取得突破公司加速推广教育AI 产品，领跑国内教育数智化转型。截至2025年6 月底，希沃课堂智能反馈系统已在全国建成19 个重点应用示范区，覆盖超3000 所学校，应用于超7000 间教室，生成超36 万份课堂智能反馈报告；希沃AI 备课激活用户数量超60 万。AI 加持下，希沃交互智能平板出货份额提升至45.3%，25H1 公司国内教育业务实现收入17.27 亿元，同比增长13.79%。 海外自有品牌MAXHUB 的快速增长成为海外增长压舱石。在海外拓展上，公司海外ODM 业务受关税变动、市场竞争等外部环境因素影响收入承压，同比-23.69%。同时，公司全球化步伐坚定，公司MAXHUB海外自有品牌业务收入保持快速增长态势，同比增幅达59.56%。整体上，报告期内公司海外业务实现收入19.07 亿元，同比-17.94%。 自研机器人实现新突破，打开海内外市场 公司看好机器人的长期发展空间并坚定投入，遵循“刚需场景优先”原则，打造能解决实际问题的产品，目前已推出商用清洁机器人、四足机器人及具身操作机械臂等机器人产品。商用清洁机器人批量开拓欧洲、日韩及国内市场，实现良好增长。自研工业级四足机器人MAXHUB X7 近日于世界机器人大会发布。 盈利预测与投资建议 我们预计公司2025-2027 年将实现营收246.53、278.35、314.85亿元，同比增长10.05%、12.91%、13.11%；实现归母净利润10.26、13.03、16.1 亿元，同比增长5.70%、26.92%、23.63%。首次覆盖，给予“买入”评级。 风险提示： 供应链波动风险、海内外市场拓展不及预期、产品迭代不及预期、AI 政策落地不及预期等。,,中邮证券,买入,[None],2025-09-04,,买入,6392183,pdf_downloads/2025/2025-09-04/002841-视源股份（002841）：教育回暖AI放量，发力机器人业务.pdf,002841,视源股份,视源股份（002841）：教育回暖AI放量，发力机器人业务
"顾熹闽,何伟",视源股份(002841) 事件：1H25公司实现营收106亿元/同比+4%，归母净利4.0亿元/同比-20%，扣非归母净利2.8亿元/同比-40%。其中，Q2公司实现营收56亿元/同比-1%，归母净利2.4亿元/同比-26%，扣非归母净利1.8亿元/同比-45%。 Q2离岛免税降幅逐步收窄，公司经营逐步筑底。分业务看：1）智能控制部件实现营收54.97亿元/同比+11。其中，液晶显示板块30.8亿元/同比-7%，主要因海外电视机客户出货量下降；生活家电控制器受益于国内订单增长及出海战略成功，收入大幅增长66%至19.1亿元；其他电子业务稳健增长，实现营收11.1亿元/同比+29%；2）智能终端及应用实现营收48.4亿元/同比-2%，主要因企业市场疲软，Maxhub预计承压。但教育类业务开始恢复增长，1H25教育业务整体收入17.2亿/同比+14%。3）其他产品及服务2.3亿元/同比-11%。 毛利率环比企稳，扣非净利率下滑主要受资金结构转换影响。1H25公司毛利率20.4%/同比-2.1pct，环比Q1基本持平。费用层面，销售费用率/管理费用率/研发费用率同比-0.9pct/-0.6pct/+0.3pct；财务费用增加，则主要受理财收益减少影响。由于公司债券投资增加，导致属于经常性收益的利息收入变为非经常性的债券投资收益，综合作用下1H25扣非净利率2.7%/同比-2pct。 AI教育持续推进，机器人业务开始启航。受益于公司AI教育产品力提升，1H25希沃交互智能平板出货份额提升至45.3%，录播、数字基座、教学终端及软件产品保持良好增长。同时，公司加速推广AI教育产品，希沃课堂反馈系统已覆盖19个示范区、超3000所学校、7000间教室，生成36万份课堂报告；希沃AI备课激活用户超60万。机器人领域，公司自研工业级四足机器人MAXSUB-X7在世界机器人大会发布，应用于电力等场景。商用清扫机器人在欧洲、东南亚、日本市场开始推广并实现增长。 投资建议：预计2025-2027年归母净利润分别为8.9亿元/11.9亿元/14.4亿元，对应PE分别为33X/24X/20X，维持“推荐”评级。风险提示：宏观经济波动的风险，行业竞争加剧的风险，新业务拓展进度不及预期的风险。,,银河证券,推荐,[None],2025-08-29,,买入,6365592,pdf_downloads/2025/2025-08-29/002841-视源股份（002841）：毛利率环比企稳，教育回暖+机器人业务启航.pdf,002841,视源股份,视源股份（002841）：毛利率环比企稳，教育回暖+机器人业务启航
"顾熹闽,何伟,陆思源","全球液晶显示主控板卡、交互智能平板行业龙头。公司为国内智能显示与交互技术领域领军企业，产品广泛应用于教育信息化、企业服务、家电上游等领域。公司依托在电子产品领域的软硬件技术积累，已创建希沃、MAXHUB等多个业内知名品牌。其中，据迪显报告，2024年希沃智能交互平板出货量份额达50.8%，连续13年保持国内市场份额领先。2022年以来，受教育信息化以及企业信息化支出减少的影响，公司发展势头出现调整。公司具有优秀的工程师文化，期间成功拓展了家电控制器，教育平板业务补充主业。未来,抓住AI+交互平板在教育、办公领域的创新将是公司重要的发展机遇。1Q25毛利率企稳，公司基本面有望改善。FY24公司经营承压，实现营收224亿元/同比+11%，归母净利9.7亿元/同比-29%。其中，教育业务是主要拖累项，受地方财政紧张导致采购预算收紧影响营收50.5亿元/同比-8.8%。此外，原材料成本上涨及产品结构变化亦导致毛利率承压。1Q25受益于智能控制部件持续增长，公司收入维持较好增长（同比+11%），毛利率环比改善且费用优化，但受研发投入加强及资金结构调整，1Q25扣非净利同比-26.6%。希沃品牌地位稳固，AI教育创新应用有望打开市场。公司旗下品牌希沃深耕学校场景15年，市场份额保持领先。中国教育信息化市场面临学生数量下降的挑战，公司的应对策略是AI教育实现产品升级，以及全球化发展。目前公司希沃AI教学大模型持续迭代，已可在校园内实现对教-学-评-研-管应用的全场景覆盖。截至2024年底，希沃课堂智能反馈系统已建成19个重点应用示范区，覆盖超2000所学校，生成超15万份课堂智能反馈报告。投资建议：预计公司2025-27年归母净利分别为11.6亿、14.0亿、17.3亿元，对应PE 20X、17X、13X。随着政府推动以AI技术驱动的数字教育基础设施建设，以及公司持续迭代提升AI教育应用产品力，2025年公司智能终端及应用产品业务有望回暖。此外，公司作为全球板卡与IFPD领域龙头，国内补贴政策+中企出海也将提供中期成长动力。首次覆盖，给予“推荐”评级。风险提示：原材料价格波动的风险；AI教育项日落地进展低于预期的风险",,银河证券,推荐,[None],2025-06-08,,买入,6159486,pdf_downloads/2025/2025-06-08/002841-视源股份（002841）：首次覆盖：AI赋能，希沃教育应用落地有望加速.pdf,002841,视源股份,视源股份（002841）：首次覆盖：AI赋能，希沃教育应用落地有望加速
