author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts,PE_2年前,PE_1年前,PE_当年,PE_明年,PE_后年,PE_大后年,EPS_2年前,EPS_1年前,EPS_当年,EPS_明年,EPS_后年,EPS_大后年
"吴劲草,郗越",公司披露2025年三季度业绩：2025Q1-Q3公司实现营收31.6亿元，同比-18.4%；实现归母净利润2.5亿元，同比-30.3%；实现扣非归母净利1.9亿元，同比-43.2%。单拆2025Q3，公司实现营收9.0亿元，同比-15.2%；实现归母净利3153万元，同比+55.6%；实现扣非归母净利1170万元，同比+10.5%。25Q3期间费用率同比-4.9pct，盈利能力提升：①毛利率：25Q1-Q3为70.7%，同比-3.2pct；25Q3毛利率为69.9%，同比-2.5pct。②期间费用率：25Q1-Q3为59.6%，同比-1.3pct，其中销售/管理/研发费用率分别为35.3%/13.2%/11.4%，同比分别-6.8pct/+2.3pct/+3.3pct；25Q3期间费用率为64.9%，同比-4.9pct，其中销售/管理/研发费用率分别为34.3%/15.9%/14.4%，同比分别-8.3pct/-0.7pct/+3.8pct，25Q3销售费用率为公司近五年来最低水平，主要系品牌沟通模式与渠道结构优化。③销售净利率： 25Q1-Q3为8.0%，同比-1.3pct；25Q3销售净利率为3.5%，同比+1.7pct。公司调改成效显著，核心业务稳健发展：2025年3月以来，公司董事长兼总经理带领管理团队重回业务一线、重返创业状态，持续对经营理念、业务方向及人才组织模式进行系统性调整，推动经营质效持续显著改善。25Q3期内，公司延续25Q2以来的利润恢复趋势，实现连续两个季度同比改善，经营质量持续改善，盈利能力进一步增强，在改革与聚焦中实现高质量发展的阶段性成果。目前，公司原料与医疗终端业务为核心业绩基础，约占整体收入的60%，核心业务保持稳健发展趋势。战略投资圣诺医药，积极开展国际合作，长期增长向好：2025年9月，华熙生物全资子公司Bloomage Biotechnology (Hong Kong) Limited完成对H股主板上市公司圣诺医药-B（股票代码：02257.HK）的战略投资，持有9.44%的总股本成为其战略投资人，认购总金额约为1.38亿港元。圣诺医药作为亚太地区首家小核酸药物上市公司，在RNAi疗法研发方面居于全球领先地位，而华熙生物作为全球领先的生物活性物原料供应商，与圣诺医药的研究项目形成业务协同，拓展医美和皮肤科学等领域应用。此外，公司还与LG生活健康、Xcell等公司开展国际合作，有望实现技术应用进一步拓展。盈利预测与投资评级：华熙生物是全球透明质酸产业龙头，“四轮驱动”下一体化优势稳固。考虑护肤板块战略调整增速暂时承压，我们将公司2025-26年归母净利润预测由7.2/8.6亿元下调至3.8/5.2亿元，新增2027年归母净利润预测6.2亿元，对应PE分别为69/50/42X，由于短期处于调整期，下调至“增持”评级。风险提示：行业竞争加剧，新品推广不及预期等。,,东吴证券,增持,[None],2025-11-02,下调评级,增持,7269334,pdf_downloads/2025/2025-11-02/688363-华熙生物（688363）：2025年三季报点评：25Q3扣非归母净利同比+10.5%，经营调改成效显现.pdf,688363,华熙生物,华熙生物（688363）：2025年三季报点评：25Q3扣非归母净利同比+10.5%，经营调改成效显现,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 3.8,
            ""eps"": null,
            ""pe"": 69
        },
        {
            ""year"": 2026,
            ""net_profit"": 5.2,
            ""eps"": null,
            ""pe"": 50
        },
        {
            ""year"": 2027,
            ""net_profit"": 6.2,
            ""eps"": null,
            ""pe"": 42
        }
    ]
}",,,69.0,50.0,42.0,,,,,,,
耿荣晨,"事件：公司发布2025年三季报。公司前三季度实现营收31.63亿元（同比-18.4%,下同），归母净利润2.52亿元（-30.3%），扣非归母净利润1.85亿元（-43.2%）；其中第三季度单季营收9.03亿元（-15.2%），归母净利润0.32亿元（+55.6%），单季度扣非归母净利润0.12亿元（+10.5%）。盈利能力优化，研发投入加大。盈利方面，公司3Q2025毛利率为69.9%（-2.5pct）。费用方面，3Q2025销售/管理/研发费用率分别为34.3%/15.9%/14.4%，同比分别-8.3pct/-0.7pct/+3.8pct。四大业务协同发展，盈利能力持续提升。原料：业务表现稳健，原料业务前三季度实现收入9.23亿元，医药材料原料第三季度收入同比+2.7%，毛利率为84.81%，保持较高水平。医疗终端：第三季度实现收入3.59亿元（+14.5%），其中医美业务第三季度收入2.29亿元（+7.9%），上半年推出的新品合规水光产品“润百颜·玻玻”和合规动能素“润致·缇透”第三季度增速显著，其中润百颜·玻玻环比增速超过100%，润致·缇透环比增速超过300%。皮肤科学创新转化：第三季度皮肤科学业务销售费用率降幅接近10个百分点，费用结构优化带动整体经营质量改善，公司重新梳理皮肤科学品牌的科研基础，基于透明质酸对胶原蛋白、弹性蛋白等物质在ECM中的引导作用和通信作用。营养科学业务：在收入保持增长的同时实现季度首次盈利。投资建议：公司四大业务协同发展，期待公司皮肤业务改善迎来业绩弹性。我们预计公司2025-2027年归母净利润4.11/5.09/5.74亿元，对应PE分别为62.7/50.7/44.9倍，维持“增持”评级。风险提示：竞争加剧风险；监管政策变化风险；新品孵化不及预期风险。",,财通证券,增持,[None],2025-10-31,,增持,7115849,pdf_downloads/2025/2025-10-31/688363-华熙生物（688363）：3Q2025盈利环比持续改善，期待经营弹性释放.pdf,688363,华熙生物,华熙生物（688363）：3Q2025盈利环比持续改善，期待经营弹性释放,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 4.11,
            ""eps"": null,
            ""pe"": 62.7
        },
        {
            ""year"": 2026,
            ""net_profit"": 5.09,
            ""eps"": null,
            ""pe"": 50.7
        },
        {
            ""year"": 2027,
            ""net_profit"": 5.74,
            ""eps"": null,
            ""pe"": 44.9
        }
    ]
}",,,62.7,50.7,44.9,,,,,,,
"程培,孟熙,李璐昕",华熙生物(688363)核心观点事件：2025年10月29日，公司发布2025年三季度业绩报告。2025前三季度实现营业收入31.63亿元，同比-18.36%；归母净利润2.52亿元，同比-30.29%；扣非净利润约1.85亿元，同比-43.20%。经营边际好转，利润修复趋势确立。Q3单季营收9.03亿元，同比-15.16%；Q3单季归母净利润0.32亿元，同比+55.63%，扣非净利润0.12亿元，同比+10.51%，利润端延续Q2增长态势，盈利能力与经营质量持续提升，利润修复趋势确立。公司前三季度销售费用率优化显著，同比下降6.77pct，单Q3销售费用率降至34.26%，创近五年新低，得益于品牌沟通模式的优化和渠道结构的持续改善。现金流大幅改善，经营活动产生的现金流量净额同比增长约8.59倍，盈利质量与现金回笼能力同步增强，财务结构更趋健康。核心基石稳健，聚焦ECM构筑长期壁垒。原料业务前三季度收入9.23亿元。其中，医药材料原料Q3收入同比增2.69%，毛利率高达84.81%，凸显其在高端原料领域稳固的竞争壁垒和定价能力。医疗终端业务Q3单季收入3.59亿元（+14.5%）。其中，医美业务Q3收入2.29亿元（+7.9%），增长主要由新品驱动，“润百颜·玻玻”Q3环比增速超100%，“润致·缇缇透”环比超300%，直销渠道占比超80%，渠道结构持续优化。公司皮肤科学转型深化，重构品牌科研叙事（如将ECM技术底层与各品牌关联）和营销模型。成效已初步显现，Q3销售费用率同比降近10个百分点，米蓓尔、BM肌活等品牌利润显著改善。研发高投入持续，前三季度研发费用3.61亿元（+15.4%），营收占比达11.42%，投入强度居于行业前列。公司战略聚焦清晰，以全球领先的合成生物平台为底座，战略核心聚焦“细胞外基质（ECM）”研究，并围绕“细胞外-细胞内-细胞通讯”三大维度布局抗衰全产业链，构筑长期壁垒。投资建议：公司战略成效初显，盈利迎来拐点，建议关注长期上行空间。我们预计公司2025-2027年归母净利润分别为3.11/6.09/8.51亿元，同比增长78.26%、96.04%、39.76%，当前股价对应2025-2027年PE为83.62/42.65/30.52倍，维持“推荐”评级。风险提示：皮肤科学业务恢复不及预期的风险，医美市场竞争加剧与价格下滑的风险，海外政策变化的风险，新品商业化不及预期的风险。,,银河证券,推荐,[None],2025-10-31,,买入,7082683,pdf_downloads/2025/2025-10-31/688363-华熙生物（688363）：2025 年三季报业绩点评：经营边际好转，利润修复趋势确立.pdf,688363,华熙生物,华熙生物（688363）：2025 年三季报业绩点评：经营边际好转，利润修复趋势确立,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 3.11,
            ""eps"": null,
            ""pe"": 83.62
        },
        {
            ""year"": 2026,
            ""net_profit"": 6.09,
            ""eps"": null,
            ""pe"": 42.65
        },
        {
            ""year"": 2027,
            ""net_profit"": 8.51,
            ""eps"": null,
            ""pe"": 30.52
        }
    ]
}",,,83.62,42.65,30.52,,,,,,,
黄泽鹏,事件：公司2025Q3归母净利润+55.6%，延续恢复趋势公司发布三季报：2025Q1-Q3实现营收31.6亿元（同比-18.4%，下同）、归母净利润2.5亿元（-30.3%），其中2025Q3实现营收9.0亿元（-15.2%）、归母净利润0.3亿元（+55.6%），实现连续两个季度同比改善。考虑皮肤科学创新转化业务竞争激烈，我们下调盈利预测，预计公司2025-2027年归母净利润为3.73/4.93/6.29亿元（原值4.39/5.81/7.42亿元），对应EPS为0.77/1.02/1.31元，当前股价对应PE为68.1/51.5/40.4倍。公司在业务结构优化和运营效率提升下利润端已显修复，看好公司盈利能力进一步增长，估值合理，维持“买入”评级。前三季度毛利率有所下滑，经营结构改善带动销售费用率优化业务方面，（1）7月公司通过FDA五次零缺陷认证的质量体系，构建起“技术突破—质量控制—全球合规—标准引领”的全链条壁垒；（2）8月公司发布“细胞修护”2.0战略，展现科技与文化双轨并行的品牌愿景，建立更契合公司科研属性的品牌传播模式。（3）9月与塞尔斯医药达成战略合作，推动公司基于统一的生命科学底层逻辑，在抗衰方向形成强协同效应。盈利能力方面，2025Q1-Q3毛利率为70.7%（-3.3pct），略有下滑。期间费用方面，2025Q1-Q3销售/管理/研发费用率分别为35.3%/13.2%/11.4%，同比分别-6.8pct/+2.3pct/+3.3pct，销售费用率下降主要系品牌沟通模式与渠道结构优化。拓宽消费医疗产品矩阵，引领水光产品合规发展（1）原料：完成3款化妆品新原料备案，在全球透明质酸及生物活性材料领域长期占据领先地位。此外，公司战略布局圣诺医药，探索透明质酸等物质在药学领域的研究与应用，并进入小核酸和RNAi领域，进一步拓宽公司消费医疗场景下的产品矩阵与市场空间。（2）医疗终端：自主研发的“润百颜・玻玻”获批国内首款三类械水光产品并成功上市销售，推动中国水光疗法走向规范化发展的全新阶段。（3）功能性护肤品：夸迪发布新品悬油次抛精华2.0，细胞级抗衰领域成果显著，双11李佳琦美妆直播间首日前四小时该精华销售超2万件。风险提示：终端产品推广不及预期、核心人员流失风险、行业竞争加剧。,,开源证券,买入,[None],2025-10-30,,买入,7019790,pdf_downloads/2025/2025-10-30/688363-华熙生物（688363）：公司信息更新报告：2025Q3利润端延续恢复趋势，期待业绩稳步攀升.pdf,688363,华熙生物,华熙生物（688363）：公司信息更新报告：2025Q3利润端延续恢复趋势，期待业绩稳步攀升,"{
  ""forecasts"": [
    {
      ""year"": 2025,
      ""net_profit"": 3.73,
      ""eps"": 0.77,
      ""pe"": 68.1
    },
    {
      ""year"": 2026,
      ""net_profit"": 4.93,
      ""eps"": 1.02,
      ""pe"": 51.5
    },
    {
      ""year"": 2027,
      ""net_profit"": 6.29,
      ""eps"": 1.31,
      ""pe"": 40.4
    }
  ]
}",,,68.1,51.5,40.4,,,,0.77,1.02,1.31,
汤秀洁,事项：华熙生物业绩一览：25H1 收入同比-19.57%，归母净利润同比-35.38%，其中Q2业绩现拐点，归母净利润同比转正。1）25H1：收入22.61亿（同比-19.57%，下同），归母净利润2.21亿（-35.38%），扣非归母净利润1.74亿（-45.00%）。2）25Q2：收入11.83亿（-18.44%），归母净利润1.19亿（+20.89%），扣非归母净利润0.92亿（+8.75%）。评论：Q2 战略性缩减营销投放，费用管控成效显著，盈利能力回升。1）25H1：毛利率70.99%（-3.53pp），净利率9.77%（-2.39pp），销售/管理/研发费用率分别为35.74%/12.17%/10.22%（-6.19pp/+3.40pp/+3.09pp）。2）25Q2：毛利率69.9%（同比-3pp），净利率10.1%（同比+3pp），销售/管理/研发费用率分别为35.0%/11.8%/10.7%（同比-12pp/+3pp/+3pp）。净利率自24Q1以来首次同比上升，主要系公司主动变革，大幅压缩以销售额为单一指标的投放，推动品牌传播向“效益导向”转型，Q2销售费用率大幅下降。此外，H1组织架构升级带来约2900万管理费用，影响短期损益但为长期发展夯实基础。业务拆分：皮肤科学创新转化业务调整拖累整体，三类医疗器械销售展现韧性。1）原料业务：收入6.26亿元（-0.58%），占比27.70%，基本盘稳固。其中，医药级透明质酸原料毛利率高达85.09%，凸显核心壁垒。2）医疗终端业务：收入6.73亿元（-9.44%），占比29.77%。其中皮肤类医疗产品收入4.67亿元（-1.8%），但三类医疗器械销量同比增长20%；注射用透明质酸凝胶产品毛利率维持89.90%的高位。3）皮肤科学创新转化业务：收入9.12亿元（-33.97%），占比40.36%，是上半年收入下滑主因，该业务正处在从流量驱动向科学传播逻辑转型的调整期。4）营养科学创新转化业务：收入0.38亿元（+32.40%），基数较小。组织变革与战略聚焦初显成效，核心业务经营有望企稳回升。2025 公司总经理重返业务一线，下沉管理并对经营理念、业务方向及组织模式进行系统性调整。公司摒弃外聘“职业操盘手”模式，转向内部培养创业型人才。BM肌活、米蓓尔等品牌已率先完成组织优化，人效提升，经营质量改善。同时，公司聚焦高壁垒科技资产转化，25H1推出国内首款合规含麻水光“润百颜·玻玻”与首款合规动能素“润致·缇透”，有望为医美业务带来新增量。投资建议：华熙生物作为全球透明质酸龙头，前期因战略调整及外部环境变化，业绩阶段性承压。我们预计25-27年华熙生物归母净利润分别为4.58、6.18、7.48亿元，当前股价分别对应58、43、36倍PE（25-26年上次预测值为6.95、8.18亿，本次根据25H1业绩调整），参考公司历史估值体系，另考虑到公司系玻尿酸原料龙头，市占率高、行业地位稳固；管理变革成效逐步展现，化妆品业务未来有望凭借较强的研发优势重回增长；此外医美新品审批证不断突破，综合考虑未来产品管线，给予26年业绩50倍PE，目标估值308.9亿，目标价64.13元，维持“推荐”评级。风险提示：市场竞争加剧、新品推广不及预期、医疗器械拿证不及预期等。,,华创证券,推荐,[None],2025-10-09,,增持,6511749,pdf_downloads/2025/2025-10-09/688363-华熙生物（688363）：2025年中报点评：仍处系统性调整阶段，利润端初见成效.pdf,688363,华熙生物,华熙生物（688363）：2025年中报点评：仍处系统性调整阶段，利润端初见成效,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 4.58,
            ""eps"": null,
            ""pe"": 58
        },
        {
            ""year"": 2026,
            ""net_profit"": 6.18,
            ""eps"": null,
            ""pe"": 43
        },
        {
            ""year"": 2027,
            ""net_profit"": 7.48,
            ""eps"": null,
            ""pe"": 36
        }
    ]
}",,,58.0,43.0,36.0,,,,,,,
"邓文慧,郑薇,李英",事件 公司发布2025 年中报：2025H1 营收22.61 亿元（同比-19.6%），归母净利润2.21 亿元（同比-35.4%），扣非归母净利润1.74 亿元（同比-45.0%）；2025Q2 营收11.83 亿元（同比-18.4%），归母净利润1.19 亿元（同比+20.9%），扣非归母净利润0.92 亿元（同比+8.8%）。 2025Q2 利润同比正增长，期待变革成效逐步落地2025H1 公司总经理重回业务一线进行系统性调整：重构品牌传播沟通模式，聚焦效益优先导向，2025Q2 销售费用率同比下降12.46pct；聚焦高壁垒科技资产转化，深化消费品业务优势，研发投入主要集中于原料（高壁垒的透明质酸产品、生物活性物新产品）与医疗终端业务；彻底摒弃外聘“职业操盘手”模式，重点选拔并培养具备科技情怀、契合公司价值观且有领导人格的创业型人才走向管理岗位。2025Q2 公司计提信用减值损失、资产减值损失约4837 万，扣非归母净利润同比+8.8%，夯实资产质量轻装上阵，期待变革成效进一步落地。 医疗终端业务平稳，夯实医美产品与渠道内功2025H1 公司医疗终端业务收入6.73 亿元，其中皮肤类医疗产品收入4.67亿元/同比下降1.8%，收入小幅下降主要系行业竞争持续加剧、市场扩容速度放缓。公司2025H1 推出合规水光产品“润百颜·玻玻”和动能素“润致·缇透”，强化一站式抗衰解决方案；渠道上构建“直销精耕头部+经销覆盖长尾”体系，直销渠道占比超过80%；营销端通过B 端专业IP 项目和C 端“致享荟”IP 提升专业影响力与用户忠诚度。公司持续优化产品结构、夯实渠道布局、构建IP 化商业生态，医疗终端业务有望恢复增长。 盈利预测与投资建议 考虑到公司推动品牌传播向效益导向转型，营收增长承压但盈利能力优化，我们预计公司2025-2027 年收入分别为45.65/50.31/57.10 亿元，对应增速分别为-15.0%/10.2%/13.5%；归母净利润分别为4.63/5.67/6.46 亿元，对应增速分别为165.5%/22.6%/13.9%；EPS 分别为0.96/1.18/1.34 元/股，维持“增持”评级。 风险提示：监管政策大幅度变化；医疗风险事故；行业竞争加剧；产品获批进度不及预期。,,国联民生证券,增持,[None],2025-09-04,,增持,6392237,pdf_downloads/2025/2025-09-04/688363-华熙生物（688363）：2025Q2利润同比正增长，期待变革成效落地.pdf,688363,华熙生物,华熙生物（688363）：2025Q2利润同比正增长，期待变革成效落地,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 4.63,
            ""eps"": 0.96,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 5.67,
            ""eps"": 1.18,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 6.46,
            ""eps"": 1.34,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.96,1.18,1.34,
"张峻豪,柳旭,孙乔容若",单二季度营收降幅收窄，利润实现增长。公司2025 上半年实现营收22.61亿元，同比-19.57%，归母净利润2.21 亿元，同比-35.38%，实现扣非归母净利润1.74 亿元，同比-45%。非经常性损益主要政府补助4786.8 万元等。 单二季度看，营收同比-18.44%至11.83 亿元，降幅较一季度收窄2.33pct，归母净利润同比+20.89%至1.19 亿元，扣非归母净利润同比+8.75%至0.92亿元，较一季度下滑65%的数据实现显著好转。公司收入端在核心功能护肤业务调整期仍有所承压，但二季度利润实现正增长，反映组织管理调整及业务提效优化等措施已逐步见效。 业务优化调整持续推进，重点新品有效贡献增量。分业务看，上半年皮肤科学创新转化业务收入9.12 亿元，同比-33.97%，收入端仍有所承压。不过整体战略从流量驱动向品牌逻辑转变，相关综合费用实现优化，经营质量提升。 医疗终端业务收入6.73 亿元，同比-9.44%，受医美行业层面需求增速放缓及短期竞争加剧等影响。公司持续产品创新，发布了合规水光产品及渠道侧构建“直销精耕头部+经销覆盖长尾”的渠道体系等。原料业务收入6.26 亿元，同比基本稳定。营养科学创新转化业务收入0.38 亿元，同比+32.4%。 毛利率有所下滑，渠道及推广等费用优化。公司上半年毛利率70.99%，同比-3.52pct，受行业竞争加剧及护肤品业务调整影响。销售费用率35.74%，同比-6.19pct，其中二季度销售费用率-12.46pct，实现显著改善，受益于“内容种草-品牌建设-销售转化”的营销闭环建设，优化了投放效率。管理费用率12.17%，同比+3.4pct，因组织架构升级带来约2900 万管理费用影响。研发费用率10.22%，同比+3.09pct，预计未来随着研发项目聚焦，研发费用与效率有望进一步优化。现金流方面，上半年实现经营性现金流净额2.18 亿元，同比-17.49%，受收入端下滑等因素影响。 风险提示：皮肤科学创新转化业务调整不及预期；竞争环境恶化；医美产品推广不及预期等。 投资建议：自年初公司总经理重回业务一线以来，公司持续对业务方向、经营理念及人才组织模式进行系统性调整。包括聚焦效益优先导向、构建高效品牌营销体系及产品创新等，二季度利润端已有所成效，未来有望进一步延续改革成效。我们维持公司2025-2027 年归母净利润预测为4.52/5.45/6.37亿元，对应PE 分别为60.9/50.5/43.2 倍，维持“优于大市”评级。,,国信证券,优于大市,[None],2025-09-01,,买入,6375689,pdf_downloads/2025/2025-09-01/688363-华熙生物（688363）：二季度利润端重回增长，积极变革调整效果初现.pdf,688363,华熙生物,华熙生物（688363）：二季度利润端重回增长，积极变革调整效果初现,"{
  ""forecasts"": [
    {
      ""year"": 2025,
      ""net_profit"": 4.52,
      ""eps"": null,
      ""pe"": 60.9
    },
    {
      ""year"": 2026,
      ""net_profit"": 5.45,
      ""eps"": null,
      ""pe"": 50.5
    },
    {
      ""year"": 2027,
      ""net_profit"": 6.37,
      ""eps"": null,
      ""pe"": 43.2
    }
  ]
}",,,60.9,50.5,43.2,,,,,,,
"訾猛,闫清徽,杨柳,李艺冰",考虑公司处于变革阶段、调整并新增盈利预测，预计公司2025-2027年EPS0.97（-0.62）、1.31（-0.7）、1.76元，公司降费空间显著、对标同业盈利能力提升空间大，我们采用PS估值法，参考同业、给予2025年PS7x，调整目标价至70.74元（-8.12），维持“增持”评级。Q2盈利能力显著优化，盈利拐点显现。25H1公司营收、归母、扣非22.61、2.21、1.74亿同比-20%、-35%、-45%，Q2营收、归母、扣非11.83、1.19、0.92亿元同比-18%、+21%、+9%，收入因业务调整下滑，利润同比实现增长主因销售费用率大幅优化。Q2公司毛利率69.94%同比-3.44pct；Q2销售费用率34.99%同比-12.46%，预计因公司变革带动消费品板块费效大幅优化，Q2管理、研发费用率11.85%、10.66%同比+2.86、3.43pct，费用较为刚性；Q2净利率10.12%同比+3.42pct，盈利能力改善显著。皮肤科学创新转化业务聚焦效益优先导向，收入阶段性承压。分业务看，25H1原料、医疗终端、皮肤科学创新转化业务营收6.26、6.73、9.12亿元，同比-1、-9%、-34%，医疗终端中皮肤医疗产品H1实现收入4.67亿元，同比下降1.8%主要因行业竞争持续加剧；皮肤科学创新转化业务，公司总经理重返一线、将业务从过去流量驱动的销售逻辑调整至科学品牌传播逻辑，收入阶段性承压。公司持续推进变革，总经理重返一线推动提质增效，关注后续经营改善。2025年公司总经理重返业务一线，重回创业状态，对经营理念、业务方向及人才组织模式进行系统性调整。具体包括：重构品牌传播沟通模式，聚焦效益优先导向；聚焦高壁垒科技资产转化，深化消费品业务优势；革新组织与人才体系，夯实长期发展根基；构建科学传播体系等。后续公司有望深化糖生物学和细胞生物学方向的研发基础衰老干预和再生医学领域的应用研究，通过技术创新和产品创新不断实现高质量增长。风险提示：新品表现不及预期、费用率控制不及预期、竞争加剧。,,国泰海通,增持,[None],2025-08-30,,买入,6369265,pdf_downloads/2025/2025-08-30/688363-华熙生物（688363）：2025年半年报点评：总经理重返一线，提质增效下Q2盈利改善.pdf,688363,华熙生物,华熙生物（688363）：2025年半年报点评：总经理重返一线，提质增效下Q2盈利改善,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": null,
            ""eps"": 0.97,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": null,
            ""eps"": 1.31,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": null,
            ""eps"": 1.76,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.97,1.31,1.76,
耿荣晨,事件：公司发布2025年中报。公司1H25收入22.61亿元（同比-19.6%，下同）归母净利润2.21亿元（-35.4%），扣非归母净利润1.74亿元（-45.0%）；其中2Q25收入11.83亿元（-18.4%），归母净利润1.19亿元（+20.9%）。化妆品业务收入承压，盈利能力环比改善。分业务看，原料业务1H25实现收入6.26亿元（-0.6%）；医疗终端1H25实现收入6.73亿元（-9.4%）；皮肤科学创新转化业务1H25实现收入9.12亿元（-34.0%）；营养科学创新转化业务1H25实现收入0.38亿元（+32.4%）。盈利方面，1H25毛利率为71.0%（-3.5pct），归母净利率为9.8%，较1Q25环比提升0.3个pct。费用方面，1H25销售/管理/研发费用率分别为35.7%/12.2%/10.2%，同比分别-0.3pct/+3.6pct/+3.2pct，销售费用减少主要系渠道及推广宣传费用减少，研发费用增加系材料投入及中介服务费增加所致。此外，公司2Q25存货周转天数为321天，较1Q25的391天环比下降，呈现出显著边际优化趋势。原料及医疗业务稳健，营养业务推新带动增长。（1）原料：原料业务在欧洲、东南亚、韩国等地销售额实现近10%的持续增长，在日本实现超20%的增长，医药级透明质酸原料毛利率仍保持稳定且居于行业较高水平。（2）医疗终端：公司构建“直销精耕头部+经销覆盖长尾”的渠道体系，2025年直销渠道占比超80%，供货医院数量超1500家，在全国覆盖超万家医院。（3）护肤：润百颜聚焦修护赛道，推出“全能次抛修护精华”，提供全场景肌肤修护解决方案；夸迪根据不同肌肤靶点覆盖细胞级抗衰全链路人群，进一步强化产品的市场竞争力。（4）营养业务：旗下品牌华熙当康于2H24推出以麦角硫因为核心原料的产品动能丸，1H25推出以红景天苷为核心原料的产品充氧丸。投资建议：公司凭借合成生物学等核心技术，四大业务协同发展，期待公司皮肤业务改善后迎来业绩弹性。我们预计公司2025-2027年实现归母净利润4.71/6.25/8.46亿元，对应PE分别为58.2/43.8/32.4倍，维持“增持”评级。风险提示：竞争加剧风险；监管政策变化风险；新品孵化不及预期风险。,,财通证券,增持,[None],2025-08-30,,增持,6370150,pdf_downloads/2025/2025-08-30/688363-华熙生物（688363）：盈利拐点初现，期待皮肤业务改善迎来业绩弹性.pdf,688363,华熙生物,华熙生物（688363）：盈利拐点初现，期待皮肤业务改善迎来业绩弹性,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 4.71,
            ""eps"": null,
            ""pe"": 58.2
        },
        {
            ""year"": 2026,
            ""net_profit"": 6.25,
            ""eps"": null,
            ""pe"": 43.8
        },
        {
            ""year"": 2027,
            ""net_profit"": 8.46,
            ""eps"": null,
            ""pe"": 32.4
        }
    ]
}",,,58.2,43.8,32.4,,,,,,,
"程培,李璐昕","华熙生物(688363)核心观点事件：2025年8月21日，公司发布2025半年度业绩报告。2025H1实现营业收入22.61亿元，同比-19.57%；归母净利润2.21亿元，同比-35.38%；扣非净利润约1.74亿元，同比-45%。Q2收入承压，盈利边际改善。Q2单季营收11.83亿元，同比-18.44%；Q2单季归母净利润1.19亿元，同比+20.89%，扣非净利润0.92亿元，同比+8.57%，利润端自2024年Q1以来首次实现回升，边际改善明显，拐点显现。费用率优化显著，销售费用率H1同比下降6.19pct，Q2单季度下降12.46pct，公司重构品牌传播模式，压缩非核心投放成效显现；研发费用率为10.22%（同比+3.09pct），研发项目较2024年减少88个，研发进一步聚焦原料与医疗终端。现金流与资产质量改善，H1经营性现金流2.2亿元，盈利现金比率98.6%，应收账款周转效率提升，Q2存货周转天数降至321天，库存原值环比降5.72%，去库存成效显著。剔除一次性费用影响（人员优化约2900万元、供应链战略投入2000万元、计提减值4837万元），核心盈利能力稳健。原料与医美稳健，皮肤科学阶段性成果落地。原料业务实现收入6.26亿元（yoy-0.58%），毛利率66.34%，医药级透明质酸毛利率85.09%，行业领先。海外收入3.31亿元，占比52.93%，日韩市场增速超20%，弗思特品牌收入5,959万元（同比+87.86%），净利改善显著；医疗终端业务收入6.73亿元（yoy-9.44%），注射用透明质酸钠凝胶毛利率达89.90%，推出合规水光“润百颜·玻玻”、动能素“润致·缇透”，直销渠道占比超80%，强化渠道优化；功能性护肤品业务收入9.12亿元（yoy-33.97%），公司全面压缩低效投放，聚焦技术支撑品牌，BM肌活、米蓓尔调整后Q2净利润率由-3.6%提升至12.9%，剔除一次性因素实际利润率可达19.3%。投资建议：公司战略成效初显，盈利迎来拐点，建议关注长期上行空间。我们预计公司2025-2027年归母净利润分别为1.97/6.08/8.50亿元，同比增长13.01%、208.76%、39.82%，当前股价对应2025-2027年PE为142.3/46.09/32.96倍，维持“推荐”评级。风险提示：皮肤科学业务恢复不及预期的风险，医美市场竞争加剧与价格下滑的风险，海外政策变化的风险，新品商业化不及预期的风险。",,银河证券,推荐,[None],2025-08-28,,买入,6361595,pdf_downloads/2025/2025-08-28/688363-华熙生物（688363）：2025年中报业绩点评：盈利边际改善，期待经营拐点.pdf,688363,华熙生物,华熙生物（688363）：2025年中报业绩点评：盈利边际改善，期待经营拐点,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 1.97,
            ""eps"": null,
            ""pe"": 142.3
        },
        {
            ""year"": 2026,
            ""net_profit"": 6.08,
            ""eps"": null,
            ""pe"": 46.09
        },
        {
            ""year"": 2027,
            ""net_profit"": 8.50,
            ""eps"": null,
            ""pe"": 32.96
        }
    ]
}",,,142.3,46.09,32.96,,,,,,,
